1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11318.243),(2 26004.072),(3 44472.793),(4 66381.79),(5 83993.61),(6 104241.23),(7 110052.51),(8 119084.71),(9 133296.25),(10 154832.25),(11 182932.25),(12 202344.63),(13 229645.95),(14 257340.05),(15 285033.47),(16 333954.44),(17 371033.75),(18 423139.1),(19 460662.25),(20 500269.9),(21 549736.3),(22 586024.75),(23 630790.56),(24 673712.8),(25 721991),(26 764532.7),(27 803794.3),(28 858210),(29 897865.94),(30 948474.2),(31 985412.5),(32 1016980.56),(33 1059672),(34 1095673.5),(35 1140570.5),(36 1167289),(37 1190530.6),(38 1235026.8),(39 1268781.1),(40 1302742.5),(41 1323851.6),(42 1365496),(43 1397022.4),(44 1442685),(45 1503936.5),(46 1563686.5),(47 1633374.1),(48 1674221.9),(49 1732480.4),(50 1804350.1),(51 1874795.6),(52 1955462),(53 2016612),(54 2107194.8),(55 2175397),(56 2247765.8),(57 2338388.3),(58 2407371.8),(59 2504090.8),(60 2581645.5),(61 2655582.3),(62 2738020.5),(63 2785559),(64 2873742),(65 2939448),(66 3020762),(67 3083396),(68 3147998),(69 3241521),(70 3310084.8),(71 3406582.3),(72 3472531.3),(73 3532798.8),(74 3601309),(75 3625804),(76 3694026.8),(77 3738297.3),(78 3805349.3),(79 3858499.3),
(1 119.64293),(2 162.68002),(3 178.31407),(4 188.40688),(5 195.17216),(6 202.06433),(7 205.13234),(8 209.00774),(9 208.69966),(10 218.66364),(11 219.5493),(12 220.071),(13 222.86575),(14 223.0205),(15 227.0202),(16 227.37439),(17 227.29366),(18 229.10173),(19 232.17056),(20 234.11238),(21 235.95032),(22 235.85887),(23 234.97404),(24 238.9049),(25 239.15364),(26 240.17537),(27 243.4518),(28 244.55746),(29 243.7142),(30 243.20514),(31 241.64934),(32 242.60477),(33 242.45451),(34 243.94167),(35 244.37889),(36 246.11409),(37 245.36336),(38 244.83557),(39 247.59593),(40 245.33768),(41 245.40146),(42 242.6703),(43 243.87025),(44 243.80971),(45 242.38554),(46 243.41245),(47 246.3085),(48 246.78033),(49 246.99275),(50 245.03139),(51 246.5009),(52 246.57028),(53 247.16393),(54 247.90117),(55 246.37541),(56 243.94739),(57 245.18861),(58 249.93518),(59 247.15558),(60 251.15784),(61 250.03607),(62 247.68242),(63 246.8257),(64 247.0683),(65 248.27478),(66 248.34453),(67 248.07956),(68 248.50278),(69 249.13335),(70 248.43689),(71 246.27548),(72 246.78073),(73 246.42368),(74 246.32695),(75 247.53056),(76 247.40755),(77 250.70338),(78 246.96861),(79 246.2369),
(1 119.331436),(2 164.67374),(3 178.32892),(4 185.825),(5 191.96085),(6 198.18507),(7 204.30673),(8 205.6048),(9 208.72049),(10 214.46796),(11 216.98726),(12 217.5558),(13 219.82458),(14 220.67783),(15 224.74486),(16 224.25266),(17 226.02971),(18 224.4022),(19 227.21042),(20 229.79454),(21 231.87251),(22 233.04634),(23 229.50394),(24 232.00235),(25 232.65414),(26 236.67972),(27 239.01959),(28 240.34494),(29 242.02997),(30 240.15788),(31 239.55559),(32 242.0522),(33 240.33965),(34 242.031),(35 245.44917),(36 243.93726),(37 245.12608),(38 241.72072),(39 242.43707),(40 241.53818),(41 242.37378),(42 242.30075),(43 241.67958),(44 241.19875),(45 241.1687),(46 241.89606),(47 241.6035),(48 239.67915),(49 239.29295),(50 239.72055),(51 239.68031),(52 238.30316),(53 241.11522),(54 240.72668),(55 238.67542),(56 238.54477),(57 238.34576),(58 238.981),(59 238.92471),(60 240.42947),(61 240.84705),(62 238.7914),(63 239.93631),(64 238.5075),(65 237.02292),(66 237.97314),(67 239.20427),(68 236.12083),(69 236.83052),(70 237.57663),(71 238.49426),(72 237.33836),(73 239.80069),(74 239.78055),(75 241.00345),(76 241.01527),(77 241.24548),(78 240.27225),(79 241.66437),
(1 118.565384),(2 160.92218),(3 176.92102),(4 183.7593),(5 188.53334),(6 195.01643),(7 198.41798),(8 202.41374),(9 207.3078),(10 211.80922),(11 211.53986),(12 215.515),(13 218.44035),(14 217.40475),(15 220.36893),(16 219.778),(17 221.8819),(18 224.89665),(19 226.11078),(20 226.64471),(21 228.1287),(22 231.51865),(23 228.8418),(24 230.26614),(25 230.67963),(26 233.08107),(27 235.39555),(28 237.45189),(29 238.66904),(30 238.23752),(31 237.51604),(32 239.50606),(33 240.12445),(34 241.9739),(35 239.84097),(36 241.50963),(37 240.0022),(38 238.8361),(39 239.32228),(40 240.78177),(41 242.01215),(42 240.40576),(43 238.65903),(44 238.26132),(45 237.94594),(46 239.7242),(47 239.48935),(48 240.68756),(49 240.45741),(50 239.59528),(51 241.65083),(52 237.09201),(53 239.326),(54 237.4407),(55 236.3251),(56 236.19765),(57 234.55968),(58 235.84073),(59 235.9871),(60 238.32014),(61 237.57771),(62 237.13264),(63 238.39095),(64 236.50374),(65 239.61696),(66 241.16333),(67 238.2232),(68 240.07184),(69 239.25093),(70 242.002),(71 241.73842),(72 241.11385),(73 242.8048),(74 241.67308),(75 243.7869),(76 244.2574),(77 243.67075),(78 241.83693),(79 241.31429),
(1 116.325294),(2 155.31773),(3 174.05894),(4 180.69896),(5 187.32605),(6 192.41074),(7 197.09137),(8 199.56772),(9 203.94952),(10 208.7407),(11 209.88599),(12 213.6059),(13 214.91313),(14 218.58983),(15 219.88423),(16 219.13791),(17 220.5492),(18 223.2867),(19 225.44496),(20 228.11856),(21 227.38022),(22 228.34203),(23 229.01746),(24 228.9405),(25 230.51996),(26 232.59312),(27 234.82259),(28 233.27853),(29 234.7063),(30 234.27817),(31 234.43135),(32 234.80598),(33 234.74948),(34 236.5099),(35 236.04381),(36 235.95116),(37 234.61133),(38 234.46964),(39 234.30083),(40 235.52917),(41 236.96957),(42 237.37247),(43 236.69902),(44 237.60869),(45 236.25238),(46 236.57454),(47 235.75647),(48 233.42476),(49 233.33438),(50 233.04134),(51 233.2875),(52 230.87096),(53 232.63002),(54 232.09665),(55 230.81181),(56 231.39348),(57 229.87761),(58 231.06625),(59 231.91428),(60 232.0597),(61 234.43265),(62 234.55295),(63 234.3311),(64 232.27757),(65 236.43492),(66 235.72891),(67 234.6313),(68 235.18047),(69 234.48468),(70 233.7754),(71 235.33969),(72 235.0022),(73 235.15303),(74 236.31349),(75 235.46744),(76 235.3777),(77 235.67758),(78 235.51506),(79 234.42548),
(1 114.67506),(2 156.01874),(3 171.4315),(4 179.26625),(5 185.91473),(6 192.07468),(7 194.78378),(8 200.18948),(9 202.609),(10 208.42575),(11 210.51463),(12 214.68266),(13 216.57468),(14 219.1266),(15 220.72418),(16 219.66878),(17 224.11366),(18 223.5889),(19 224.90659),(20 224.06828),(21 225.8565),(22 224.73982),(23 224.98325),(24 225.61147),(25 225.3131),(26 225.3432),(27 230.14386),(28 229.98785),(29 231.4337),(30 230.46631),(31 228.28418),(32 228.79587),(33 230.03741),(34 228.31892),(35 229.73454),(36 228.16095),(37 229.01372),(38 228.78499),(39 230.62862),(40 228.7912),(41 229.89468),(42 230.36345),(43 231.17854),(44 228.15717),(45 228.29254),(46 227.64247),(47 228.32219),(48 225.98941),(49 226.96725),(50 226.06601),(51 224.9975),(52 224.255),(53 226.79271),(54 225.99939),(55 223.15956),(56 225.11438),(57 225.01375),(58 227.8671),(59 228.46147),(60 229.3822),(61 231.88301),(62 228.9776),(63 231.57353),(64 229.38219),(65 232.30595),(66 227.78494),(67 227.58484),(68 228.27222),(69 230.17633),(70 230.26387),(71 230.27505),(72 229.64456),(73 228.487),(74 229.6885),(75 230.84886),(76 230.75174),(77 231.10387),(78 230.98291),(79 228.60564),
(1 112.56917),(2 152.37473),(3 169.29155),(4 175.49042),(5 181.10498),(6 186.79822),(7 187.47563),(8 192.25156),(9 195.57779),(10 201.9772),(11 202.67914),(12 204.46736),(13 207.41823),(14 208.29582),(15 207.75154),(16 210.62737),(17 210.53407),(18 213.16441),(19 212.81386),(20 216.87857),(21 217.51884),(22 220.6579),(23 221.64825),(24 223.08752),(25 222.85413),(26 222.39648),(27 222.19637),(28 224.03851),(29 223.95761),(30 225.8631),(31 225.84927),(32 224.08229),(33 224.98639),(34 224.79955),(35 225.75658),(36 225.84987),(37 225.87999),(38 227.04587),(39 227.93335),(40 227.59164),(41 230.64874),(42 230.47021),(43 229.27664),(44 228.13087),(45 226.88376),(46 228.38684),(47 228.13144),(48 229.75899),(49 228.50478),(50 227.99606),(51 227.0934),(52 225.43842),(53 224.68552),(54 225.82796),(55 225.24649),(56 225.99364),(57 225.25676),(58 229.28006),(59 227.24878),(60 225.24446),(61 225.80757),(62 226.08635),(63 228.54982),(64 226.51936),(65 227.062),(66 224.77115),(67 225.55202),(68 225.57173),(69 225.09895),(70 225.0233),(71 225.22507),(72 226.96034),(73 227.73352),(74 226.51114),(75 228.14584),(76 227.0907),(77 228.72351),(78 226.42683),(79 225.09216),
(1 111.3567),(2 149.28195),(3 165.8467),(4 172.99768),(5 179.38562),(6 183.86688),(7 185.10187),(8 188.99902),(9 193.5672),(10 199.71494),(11 201.80777),(12 203.36945),(13 206.3666),(14 208.051),(15 209.63318),(16 211.33871),(17 213.13733),(18 215.07886),(19 216.16838),(20 219.26814),(21 221.2322),(22 223.91139),(23 223.98003),(24 225.23041),(25 225.45387),(26 225.16714),(27 227.11694),(28 225.4538),(29 226.21773),(30 224.72029),(31 225.07571),(32 225.4783),(33 227.905),(34 228.84152),(35 225.53777),(36 225.3728),(37 226.0903),(38 226.47296),(39 225.50429),(40 225.76363),(41 227.40402),(42 226.87518),(43 226.38927),(44 225.69081),(45 224.7421),(46 226.3191),(47 223.5876),(48 225.48286),(49 224.64648),(50 225.47388),(51 224.47876),(52 223.23708),(53 222.8849),(54 222.11461),(55 221.47594),(56 221.44888),(57 223.16312),(58 222.91895),(59 224.96217),(60 224.98178),(61 225.47198),(62 223.4322),(63 223.72127),(64 223.20712),(65 225.57709),(66 221.94174),(67 220.90941),(68 224.0668),(69 222.95207),(70 223.11679),(71 223.58919),(72 225.88388),(73 225.27913),(74 222.77031),(75 222.88145),(76 223.52354),(77 221.83784),(78 220.73491),(79 221.34634),
(1 110.146126),(2 150.1388),(3 163.17783),(4 171.74142),(5 177.33067),(6 181.30547),(7 184.5379),(8 187.93188),(9 189.76527),(10 195.7777),(11 196.99113),(12 199.89165),(13 202.01819),(14 203.41534),(15 206.5353),(16 206.25067),(17 208.59935),(18 209.85043),(19 210.40376),(20 210.56929),(21 210.70578),(22 215.02765),(23 215.93018),(24 215.40463),(25 217.4307),(26 218.08374),(27 221.36589),(28 222.53677),(29 222.85493),(30 223.83636),(31 222.59352),(32 221.45396),(33 223.95685),(34 223.64238),(35 224.15782),(36 224.24858),(37 224.2703),(38 224.32376),(39 222.29814),(40 221.90706),(41 223.65724),(42 223.65955),(43 224.44295),(44 222.40376),(45 223.78403),(46 224.6073),(47 224.41359),(48 225.26967),(49 223.90546),(50 224.8299),(51 222.00748),(52 222.23392),(53 221.69572),(54 220.662),(55 222.4945),(56 222.39566),(57 221.54393),(58 223.79262),(59 221.80203),(60 223.61914),(61 222.43932),(62 221.5094),(63 224.50784),(64 223.19519),(65 224.99866),(66 224.0862),(67 221.33475),(68 224.07379),(69 222.91328),(70 220.61156),(71 219.81114),(72 223.40092),(73 221.63188),(74 221.00426),(75 222.39145),(76 222.61374),(77 223.8858),(78 220.66008),(79 219.45224),
(1 107.23481),(2 145.56784),(3 162.7835),(4 168.74034),(5 173.52367),(6 177.08052),(7 179.85197),(8 184.79884),(9 186.91656),(10 194.97183),(11 196.43651),(12 197.67767),(13 200.76225),(14 203.09312),(15 202.05244),(16 204.19138),(17 203.925),(18 204.62224),(19 205.54373),(20 205.67563),(21 207.5324),(22 209.49583),(23 210.49686),(24 209.50365),(25 212.06297),(26 212.75613),(27 213.41446),(28 211.67754),(29 211.26364),(30 212.19073),(31 210.91309),(32 213.30826),(33 212.27405),(34 211.63997),(35 209.49248),(36 211.01778),(37 210.19125),(38 210.19814),(39 212.1011),(40 210.5652),(41 211.50554),(42 210.23688),(43 210.08214),(44 212.1558),(45 212.45628),(46 212.62093),(47 212.03995),(48 212.38847),(49 211.53355),(50 212.69907),(51 211.46167),(52 211.25763),(53 211.18723),(54 211.63301),(55 212.34128),(56 211.15564),(57 209.99937),(58 212.82397),(59 212.40715),(60 212.25253),(61 211.57324),(62 211.62651),(63 214.60239),(64 214.50427),(65 213.65936),(66 215.67091),(67 215.84877),(68 217.75653),(69 214.82056),(70 215.2016),(71 215.20758),(72 218.26822),(73 216.88377),(74 216.5805),(75 217.02136),(76 216.57198),(77 218.5747),(78 216.97015),(79 215.5688),
(1 106.1879),(2 145.10614),(3 160.29779),(4 167.67938),(5 172.48831),(6 176.09067),(7 179.24373),(8 183.45996),(9 184.48468),(10 189.54987),(11 190.55876),(12 192.45087),(13 194.49231),(14 197.55264),(15 198.25389),(16 199.83705),(17 200.61542),(18 200.54916),(19 201.37173),(20 205.01134),(21 207.22165),(22 207.18758),(23 205.66737),(24 207.49681),(25 207.74092),(26 208.44283),(27 208.73906),(28 208.41785),(29 211.36299),(30 209.27057),(31 209.04308),(32 208.92314),(33 208.82593),(34 208.83789),(35 208.17278),(36 210.89754),(37 211.7173),(38 213.41759),(39 213.97311),(40 212.82394),(41 213.89137),(42 212.80771),(43 212.06462),(44 213.34808),(45 212.44124),(46 213.4326),(47 215.6691),(48 213.02727),(49 212.64699),(50 213.28404),(51 212.27492),(52 212.26396),(53 214.95274),(54 213.2375),(55 212.19826),(56 213.26656),(57 211.56236),(58 211.98306),(59 210.4326),(60 209.41566),(61 209.7911),(62 209.55783),(63 211.89552),(64 209.39972),(65 208.49072),(66 208.15376),(67 206.61952),(68 208.70215),(69 206.59612),(70 206.85654),(71 206.93536),(72 206.84378),(73 207.1363),(74 207.70111),(75 209.05843),(76 208.2794),(77 211.05),(78 210.49644),(79 210.04556),
(1 106.865944),(2 146.37349),(3 161.4376),(4 168.71954),(5 173.28876),(6 178.79025),(7 181.89224),(8 184.62349),(9 186.11418),(10 190.85593),(11 190.6356),(12 194.58865),(13 197.67238),(14 196.10245),(15 199.369),(16 200.12634),(17 201.82442),(18 204.57475),(19 205.42888),(20 206.85396),(21 208.92677),(22 208.56798),(23 209.90495),(24 211.49184),(25 212.98756),(26 214.19565),(27 213.54306),(28 215.09106),(29 218.44855),(30 217.10612),(31 214.61115),(32 216.15955),(33 215.06354),(34 216.70717),(35 217.02162),(36 216.51172),(37 217.99846),(38 215.80292),(39 216.20128),(40 217.20436),(41 216.95404),(42 216.91281),(43 214.25758),(44 213.64647),(45 215.18),(46 213.68787),(47 214.33597),(48 212.78365),(49 213.89005),(50 212.34474),(51 212.83528),(52 212.8419),(53 213.29584),(54 213.64398),(55 214.517),(56 214.25606),(57 213.0963),(58 215.09995),(59 211.22885),(60 213.6909),(61 212.98775),(62 210.84938),(63 212.808),(64 212.6469),(65 213.35628),(66 212.89201),(67 212.00586),(68 214.3914),(69 212.40776),(70 211.38951),(71 212.50137),(72 214.91983),(73 215.06487),(74 213.97672),(75 214.96228),(76 212.69098),(77 214.66528),(78 214.76988),(79 214.28793),
(1 102.16616),(2 139.51897),(3 152.12093),(4 159.86258),(5 164.00288),(6 169.75621),(7 172.90646),(8 175.03798),(9 177.03723),(10 183.93411),(11 183.33),(12 186.06387),(13 189.13951),(14 190.62758),(15 191.62961),(16 192.21248),(17 195.43326),(18 196.29823),(19 196.813),(20 196.51996),(21 196.38174),(22 197.20712),(23 198.12971),(24 198.87607),(25 199.91779),(26 200.60744),(27 200.94655),(28 202.47012),(29 203.16492),(30 203.16338),(31 202.66875),(32 201.52924),(33 201.92848),(34 203.1868),(35 201.98807),(36 203.07272),(37 204.10127),(38 202.04236),(39 202.74792),(40 203.56908),(41 205.0345),(42 204.56538),(43 204.92368),(44 204.23692),(45 205.57236),(46 204.67941),(47 204.57184),(48 204.23985),(49 205.78835),(50 208.67226),(51 206.87335),(52 205.9131),(53 203.9506),(54 205.01106),(55 205.1774),(56 207.47478),(57 206.20096),(58 206.30212),(59 206.24312),(60 205.69931),(61 206.08136),(62 204.56465),(63 204.71727),(64 204.71204),(65 204.87741),(66 203.60968),(67 203.8105),(68 206.42723),(69 203.75237),(70 206.66107),(71 205.0801),(72 206.39354),(73 207.67992),(74 205.39314),(75 207.92238),(76 204.2163),(77 206.43484),(78 206.59607),(79 205.13736),
(1 101.231255),(2 138.59105),(3 151.2687),(4 158.8305),(5 162.41525),(6 167.14146),(7 169.92697),(8 173.05627),(9 175.18718),(10 180.77086),(11 184.41132),(12 186.44304),(13 187.39899),(14 188.18933),(15 189.68114),(16 191.80296),(17 193.72774),(18 193.56537),(19 194.21625),(20 196.35512),(21 196.23955),(22 196.16066),(23 196.31068),(24 198.77995),(25 197.88245),(26 200.34662),(27 197.87737),(28 200.46365),(29 200.45529),(30 197.53493),(31 200.48593),(32 202.72112),(33 204.1144),(34 203.20349),(35 202.60591),(36 202.91638),(37 203.25104),(38 203.68996),(39 203.79045),(40 204.14078),(41 204.2177),(42 201.49924),(43 201.68967),(44 203.58931),(45 202.40755),(46 201.87828),(47 202.31264),(48 202.74783),(49 203.14195),(50 204.45943),(51 202.38243),(52 204.05907),(53 203.07991),(54 202.00653),(55 201.98222),(56 203.6258),(57 202.56369),(58 202.47345),(59 201.92412),(60 205.05132),(61 203.85368),(62 205.80026),(63 205.79047),(64 204.88626),(65 205.79898),(66 201.71664),(67 200.60558),(68 204.02),(69 202.57077),(70 202.8739),(71 202.59744),(72 202.26355),(73 202.68733),(74 200.7227),(75 202.43585),(76 201.17703),(77 201.23936),(78 199.10939),(79 198.81094),
(1 97.10496),(2 135.17827),(3 147.67282),(4 155.64478),(5 161.75645),(6 163.90036),(7 168.58928),(8 170.709),(9 171.84015),(10 177.97365),(11 178.99373),(12 182.14711),(13 183.95248),(14 183.86307),(15 187.8439),(16 188.43352),(17 190.69963),(18 190.66968),(19 192.39467),(20 194.91513),(21 195.39551),(22 196.26828),(23 196.84764),(24 199.60121),(25 200.03505),(26 199.98647),(27 198.54474),(28 199.47775),(29 201.91359),(30 200.47934),(31 200.97412),(32 200.93251),(33 201.95099),(34 200.01254),(35 200.0867),(36 200.06886),(37 201.94643),(38 199.02794),(39 202.02003),(40 199.71303),(41 197.8306),(42 197.03113),(43 197.65935),(44 200.63916),(45 201.97644),(46 202.34958),(47 201.73848),(48 201.21655),(49 201.1199),(50 199.98488),(51 200.34465),(52 201.66472),(53 199.24992),(54 199.16257),(55 198.43141),(56 197.89081),(57 200.06036),(58 199.58809),(59 198.22893),(60 199.54549),(61 198.29146),(62 199.72777),(63 199.11725),(64 198.58652),(65 198.29073),(66 195.97385),(67 195.42963),(68 196.40996),(69 196.81773),(70 197.87369),(71 197.51056),(72 198.15756),(73 199.03358),(74 198.03334),(75 201.49634),(76 199.725),(77 198.39256),(78 197.21854),(79 197.20769),
(1 98.093285),(2 136.48546),(3 151.1964),(4 157.11028),(5 162.5563),(6 165.61598),(7 169.46826),(8 170.78973),(9 175.14867),(10 179.049),(11 178.80077),(12 181.29106),(13 183.23273),(14 183.85365),(15 183.50438),(16 182.80713),(17 184.60133),(18 186.12859),(19 184.70718),(20 187.52632),(21 190.1714),(22 191.90573),(23 193.9241),(24 195.91777),(25 197.02177),(26 197.21124),(27 197.78783),(28 196.96805),(29 199.74503),(30 197.52794),(31 197.29445),(32 195.9363),(33 196.67354),(34 198.59639),(35 197.99016),(36 197.40483),(37 198.30357),(38 199.57175),(39 201.08302),(40 199.14546),(41 197.57535),(42 197.63141),(43 198.18553),(44 198.94208),(45 200.00893),(46 199.40128),(47 199.26169),(48 197.3857),(49 197.0553),(50 195.07298),(51 196.16785),(52 196.9871),(53 195.37611),(54 197.294),(55 196.05205),(56 193.10242),(57 193.20926),(58 194.25941),(59 193.62637),(60 196.01231),(61 196.36548),(62 197.50871),(63 196.47739),(64 198.09912),(65 196.3605),(66 196.94751),(67 197.94888),(68 195.86487),(69 197.27258),(70 196.5199),(71 194.73494),(72 194.6109),(73 195.10416),(74 194.42262),(75 196.07146),(76 196.34451),(77 196.08618),(78 196.1386),(79 195.46996),
(1 96.14562),(2 132.34747),(3 147.10188),(4 151.88852),(5 158.8455),(6 161.24896),(7 165.63426),(8 167.7079),(9 170.56197),(10 175.1942),(11 177.39072),(12 178.01277),(13 178.75429),(14 180.4202),(15 182.12029),(16 181.92964),(17 182.62535),(18 185.06995),(19 183.98958),(20 183.59158),(21 186.08075),(22 186.52182),(23 187.95589),(24 190.33308),(25 190.56316),(26 191.44127),(27 192.31728),(28 192.59425),(29 194.08878),(30 194.273),(31 195.64435),(32 194.72473),(33 194.04166),(34 193.52594),(35 192.57196),(36 193.36215),(37 193.18977),(38 194.47227),(39 195.16826),(40 194.24806),(41 194.66937),(42 193.72847),(43 194.19496),(44 194.27),(45 192.46216),(46 194.66174),(47 195.35138),(48 193.5863),(49 193.71886),(50 194.157),(51 194.72961),(52 193.44427),(53 191.69803),(54 192.20444),(55 191.27916),(56 191.34328),(57 191.38548),(58 194.07426),(59 192.5758),(60 195.0393),(61 194.58867),(62 194.48143),(63 194.22333),(64 195.09514),(65 194.31862),(66 195.82054),(67 196.54068),(68 194.10468),(69 193.6786),(70 195.34782),(71 195.39604),(72 194.58476),(73 195.82858),(74 195.90396),(75 196.01372),(76 196.88469),(77 195.73053),(78 196.98656),(79 196.55093),
(1 94.61984),(2 130.31898),(3 142.14613),(4 147.05324),(5 152.84619),(6 157.91072),(7 161.1607),(8 163.79091),(9 165.9838),(10 170.73729),(11 172.62961),(12 175.54152),(13 177.42422),(14 178.16553),(15 179.02669),(16 178.37857),(17 177.83394),(18 180.45193),(19 180.88652),(20 182.09413),(21 181.95313),(22 183.24171),(23 183.32202),(24 185.4836),(25 185.58252),(26 186.47972),(27 187.14409),(28 186.67271),(29 188.19383),(30 189.97229),(31 189.13065),(32 187.14943),(33 186.95027),(34 184.96642),(35 186.1006),(36 187.74359),(37 187.69713),(38 189.30112),(39 189.78058),(40 190.61897),(41 190.8258),(42 188.11632),(43 189.04387),(44 191.47212),(45 190.51312),(46 190.08139),(47 190.27754),(48 188.87218),(49 190.0849),(50 190.2622),(51 189.57),(52 189.93318),(53 190.20802),(54 190.92195),(55 189.5055),(56 190.52351),(57 190.45157),(58 191.4611),(59 191.41072),(60 192.10234),(61 192.724),(62 191.54489),(63 192.83437),(64 192.50066),(65 190.76741),(66 188.77843),(67 189.18008),(68 190.2103),(69 190.00963),(70 189.10066),(71 188.38414),(72 189.45937),(73 188.41556),(74 188.56023),(75 189.8316),(76 190.08858),(77 187.94633),(78 188.38512),(79 186.90555),
