1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 106478.49),(2 377899.9),(3 804687),(4 1396136.9),(5 2112030.8),(6 2963478.8),(7 3938670.8),(8 5013668),(9 6117737.5),(10 7273166.5),(11 8483147),(12 9767647),(13 11123201),(14 12580329),(15 14328632),(16 16126892),(17 18048850),(18 20146202),(19 22387046),(20 24863394),(21 27638638),(22 30502486),(23 33709250),(24 37022540),(25 40255840),(26 43617804),(27 46784292),(28 50210900),(29 53753732),(30 57278692),(31 61072750),(32 65094484),(33 69401590),(34 73796456),(35 78414904),(36 83270350),(37 88294344),(38 93496990),(39 98730744),(40 103801280),(41 108730824),(42 113420030),(43 117974250),(44 122281630),(45 126310530),(46 130282730),(47 134039900),(48 138108290),(49 142027780),(50 145568030),(51 149479360),(52 153200130),(53 156597840),(54 160160960),(55 163159840),(56 165954510),(57 168324820),(58 170684590),(59 172697580),(60 174312720),(61 175593420),(62 176609600),(63 177287890),(64 177776480),(65 178122190),(66 178398600),(67 178690580),(68 179256830),(69 179134900),(70 179102480),(71 179466700),(72 179815040),(73 179921090),(74 180672180),(75 181345330),(76 182264780),(77 183219020),(78 184517250),(79 185826740),
(1 1483.4323),(2 1747.5116),(3 1834.17),(4 1859.2235),(5 1895.1146),(6 1902.375),(7 1933.0818),(8 1964.3738),(9 2010.2704),(10 2046.6185),(11 2076.1077),(12 2055.892),(13 2061.53),(14 2069.1975),(15 2067.8916),(16 2105.5488),(17 2087.0999),(18 2109.502),(19 2131.418),(20 2159.7615),(21 2168.4773),(22 2163.345),(23 2204.4382),(24 2214.483),(25 2231.8062),(26 2253.5889),(27 2303.2417),(28 2319.1624),(29 2329.3977),(30 2352.8047),(31 2369.7922),(32 2374.798),(33 2414.4575),(34 2413.9382),(35 2416.4111),(36 2423.8823),(37 2437.3203),(38 2438.112),(39 2446.398),(40 2435.0283),(41 2423.0872),(42 2515.6272),(43 2551.0078),(44 2542.117),(45 2527.4731),(46 2535.4421),(47 2536.9883),(48 2560.2102),(49 2523.3064),(50 2502.0618),(51 2512.6208),(52 2499.5996),(53 2509.371),(54 2470.6316),(55 2492.226),(56 2494.282),(57 2485.1277),(58 2569.016),(59 2521.4963),(60 2540.7102),(61 2547.156),(62 2515.1184),(63 2531.3281),(64 2526.3105),(65 2492.0337),(66 2500.6514),(67 2516.236),(68 2521.34),(69 2497.0806),(70 2488.0376),(71 2491.0945),(72 2465.8184),(73 2460.7358),(74 2455.1677),(75 2510.9028),(76 2474.6572),(77 2450.4592),(78 2427.1462),(79 2446.3171),
(1 1406.3391),(2 1649.5015),(3 1715.3689),(4 1725.289),(5 1787.4579),(6 1813.4541),(7 1874.3638),(8 1922.7834),(9 1952.4685),(10 1990.4244),(11 2032.3868),(12 1984.7006),(13 1964.8687),(14 1975.1151),(15 2000.5105),(16 2013.9779),(17 1991.4207),(18 1990.0524),(19 2019.4586),(20 2057.4397),(21 2052.204),(22 2065.243),(23 2092.088),(24 2096.8562),(25 2135.2122),(26 2136.3638),(27 2173.3818),(28 2188.9697),(29 2185.2532),(30 2180.03),(31 2195.193),(32 2218.7039),(33 2258.6892),(34 2265.127),(35 2258.6357),(36 2266.1746),(37 2307.1875),(38 2278.93),(39 2313.586),(40 2335.4663),(41 2348.8293),(42 2354.5132),(43 2389.8953),(44 2418.752),(45 2423.3472),(46 2379.358),(47 2390.2258),(48 2431.1943),(49 2409.9373),(50 2427.7297),(51 2444.2192),(52 2442.933),(53 2451.5334),(54 2467.4355),(55 2483.2932),(56 2444.6277),(57 2455.1733),(58 2437.1174),(59 2427.6963),(60 2413.267),(61 2443.533),(62 2490.724),(63 2444.7512),(64 2436.493),(65 2429.5115),(66 2423.8596),(67 2422.5615),(68 2459.5754),(69 2415.0352),(70 2401.5764),(71 2406.2288),(72 2405.8333),(73 2349.915),(74 2378.388),(75 2395.1333),(76 2339.0974),(77 2337.4055),(78 2312.9172),(79 2317.3933),
(1 1346.7253),(2 1589.5118),(3 1656.5521),(4 1661.1227),(5 1723.542),(6 1729.8682),(7 1795.9026),(8 1871.5895),(9 1908.5923),(10 1902.8649),(11 1940.2899),(12 1920.2953),(13 1913.4619),(14 1908.9344),(15 1949.0729),(16 1961.914),(17 1926.0098),(18 1975.7422),(19 1963.8171),(20 1979.2102),(21 2013.7532),(22 1969.1765),(23 1999.1083),(24 2029.364),(25 2069.714),(26 2084.3972),(27 2090.6785),(28 2142.361),(29 2148.9683),(30 2150.2517),(31 2138.8208),(32 2154.286),(33 2186.779),(34 2239.9094),(35 2233.0056),(36 2252.228),(37 2256.4993),(38 2267.6296),(39 2284.0574),(40 2262.1616),(41 2327.5867),(42 2360.603),(43 2345.1035),(44 2388.6155),(45 2349.2805),(46 2324.2495),(47 2366.256),(48 2340.546),(49 2329.2878),(50 2353.1135),(51 2350.7246),(52 2360.875),(53 2331.9521),(54 2354.5247),(55 2357.2463),(56 2341.379),(57 2354.3008),(58 2338.9685),(59 2374.301),(60 2355.3975),(61 2348.4507),(62 2336.4065),(63 2332.0278),(64 2304.221),(65 2286.481),(66 2326.0898),(67 2296.9307),(68 2295.2837),(69 2317.223),(70 2322.588),(71 2303.8003),(72 2300.6814),(73 2296.1968),(74 2281.0159),(75 2304.225),(76 2306.7695),(77 2334.9685),(78 2290.1355),(79 2278.0276),
(1 1314.163),(2 1541.3875),(3 1601.106),(4 1634.4491),(5 1669.0585),(6 1669.3823),(7 1734.8035),(8 1793.5237),(9 1805.6674),(10 1822.2892),(11 1837.392),(12 1815.9037),(13 1830.3673),(14 1813.4285),(15 1885.1196),(16 1891.9181),(17 1895.1373),(18 1900.2534),(19 1907.4408),(20 1927.8596),(21 1931.2687),(22 1927.5963),(23 1951.7931),(24 1999.4054),(25 2039.7855),(26 2027.5621),(27 2071.4036),(28 2115.4353),(29 2119.4492),(30 2107.9739),(31 2105.544),(32 2109.181),(33 2099.3154),(34 2149.8274),(35 2168.189),(36 2182.252),(37 2159.7039),(38 2172.6887),(39 2190.138),(40 2192.4001),(41 2232.6362),(42 2237.8982),(43 2298.0313),(44 2292.565),(45 2307.4368),(46 2314.7375),(47 2317.7766),(48 2264.088),(49 2259.921),(50 2295.6597),(51 2299.348),(52 2283.7983),(53 2265.9912),(54 2274.015),(55 2297.3938),(56 2277.7422),(57 2308.9756),(58 2259.5098),(59 2267.441),(60 2306.7405),(61 2289.5923),(62 2248.5854),(63 2249.814),(64 2238.6082),(65 2209.5398),(66 2234.0203),(67 2181.4907),(68 2178.7346),(69 2172.7507),(70 2167.1423),(71 2143.849),(72 2136.6047),(73 2138.9438),(74 2151.124),(75 2138.816),(76 2124.3245),(77 2094.7888),(78 2111.4253),(79 2075.867),
(1 1308.8801),(2 1535.7021),(3 1582.0776),(4 1610.6423),(5 1668.2686),(6 1692.5613),(7 1717.4419),(8 1720.8552),(9 1765.5547),(10 1772.7775),(11 1815.3055),(12 1796.7972),(13 1806.1409),(14 1816.0455),(15 1840.6248),(16 1836.6113),(17 1839.4543),(18 1877.286),(19 1855.619),(20 1870.8844),(21 1873.1921),(22 1875.8596),(23 1945.655),(24 1981.2356),(25 1982.0515),(26 1995.1248),(27 2057.3152),(28 2071.4666),(29 2071.7078),(30 2057.261),(31 2081.957),(32 2048.049),(33 2062.8264),(34 2130.163),(35 2141.5906),(36 2130.3018),(37 2129.4111),(38 2145.005),(39 2203.4814),(40 2233.3018),(41 2241.5823),(42 2261.5889),(43 2302.8298),(44 2305.5093),(45 2315.8484),(46 2323.475),(47 2337.368),(48 2311.727),(49 2326.0945),(50 2272.1594),(51 2308.656),(52 2332.5764),(53 2360.2136),(54 2362.5386),(55 2373.9167),(56 2344.802),(57 2349.645),(58 2326.1824),(59 2337.9521),(60 2349.9224),(61 2340.0225),(62 2335.9468),(63 2341.5354),(64 2333.1042),(65 2302.9116),(66 2319.1992),(67 2288.612),(68 2272.046),(69 2282.92),(70 2307.2043),(71 2284.495),(72 2263.2844),(73 2266.4082),(74 2233.3083),(75 2272.355),(76 2245.5854),(77 2165.9236),(78 2182.3743),(79 2165.1199),
(1 1267.0864),(2 1471.5022),(3 1545.2513),(4 1574.9512),(5 1599.0509),(6 1599.8658),(7 1627.1257),(8 1652.6863),(9 1709.9529),(10 1722.7374),(11 1759.8726),(12 1753.3313),(13 1763.7246),(14 1774.4086),(15 1816.25),(16 1793.4658),(17 1799.877),(18 1841.4639),(19 1800.7117),(20 1819.7582),(21 1840.0398),(22 1839.1561),(23 1898.4445),(24 1909.2694),(25 1897.4774),(26 1951.1884),(27 1981.6505),(28 2013.5869),(29 2005.753),(30 2002.0144),(31 2011.9186),(32 2012.2638),(33 1987.9126),(34 2057.2683),(35 2088.1584),(36 2087.3135),(37 2071.8801),(38 2086.6572),(39 2148.5212),(40 2102.8787),(41 2146.308),(42 2170.4607),(43 2171.963),(44 2142.049),(45 2145.3284),(46 2156.4219),(47 2147.9133),(48 2172.566),(49 2196.0227),(50 2157.5747),(51 2202.874),(52 2188.1646),(53 2196.5547),(54 2182.7158),(55 2169.8142),(56 2178.4165),(57 2197.566),(58 2181.4604),(59 2170.097),(60 2142.3767),(61 2166.4841),(62 2154.6125),(63 2176.781),(64 2186.5332),(65 2177.0354),(66 2154.2566),(67 2127.5452),(68 2104.6345),(69 2137.1365),(70 2138.5564),(71 2106.1),(72 2104.858),(73 2076.3352),(74 2085.9517),(75 2071.0476),(76 2076.1333),(77 2063.7708),(78 2071.9973),(79 2048.6072),
(1 1247.7906),(2 1454.867),(3 1496.3453),(4 1521.4393),(5 1563.0928),(6 1568.6261),(7 1611.7292),(8 1638.6544),(9 1671.6486),(10 1696.4484),(11 1703.7292),(12 1689.1101),(13 1686.1392),(14 1685.7944),(15 1719.6265),(16 1748.9672),(17 1719.5762),(18 1748.9043),(19 1720.5801),(20 1735.9551),(21 1739.9817),(22 1778.0593),(23 1814.9958),(24 1820.2158),(25 1828.9813),(26 1874.5537),(27 1886.528),(28 1893.7825),(29 1907.3016),(30 1913.0978),(31 1901.6617),(32 1933.363),(33 1934.4407),(34 1945.7372),(35 1983.1476),(36 1984.2561),(37 1963.2347),(38 2014.961),(39 2017.8278),(40 2047.285),(41 2074.318),(42 2098.0913),(43 2116.6814),(44 2077.9048),(45 2110.3445),(46 2049.5251),(47 2099.904),(48 2096.4001),(49 2091.3394),(50 2042.6356),(51 2060.084),(52 2040.0713),(53 2057.3113),(54 2095.678),(55 2092.8994),(56 2082.4067),(57 2069.5764),(58 2085.415),(59 2057.3057),(60 2089.8125),(61 2103.748),(62 2068.54),(63 2086.07),(64 2077.875),(65 2064.3604),(66 2060.2793),(67 2033.9283),(68 2041.1624),(69 2054.968),(70 2047.107),(71 2038.4044),(72 2032.3475),(73 2051.8757),(74 2013.662),(75 2034.2224),(76 2012.2651),(77 2006.7985),(78 1959.6095),(79 1957.6011),
(1 1236.2573),(2 1442.1974),(3 1495.8906),(4 1502.4792),(5 1505.9009),(6 1543.1252),(7 1591.3829),(8 1617.211),(9 1663.3629),(10 1671.8175),(11 1663.4929),(12 1642.798),(13 1651.0175),(14 1639.285),(15 1684.9391),(16 1695.5531),(17 1691.5087),(18 1678.8307),(19 1687.2043),(20 1687.8114),(21 1697.3939),(22 1687.1547),(23 1757.1814),(24 1779.903),(25 1791.1785),(26 1816.2703),(27 1869.167),(28 1907.1453),(29 1883.1632),(30 1890.6007),(31 1863.7869),(32 1888.4734),(33 1918.0656),(34 1927.4442),(35 1968.6587),(36 1973.5199),(37 1982.0286),(38 2013.5044),(39 2039.3522),(40 2024.7379),(41 2041.1438),(42 2064.5166),(43 2101.9893),(44 2103.1318),(45 2097.1575),(46 2094.2947),(47 2126.5967),(48 2117.8298),(49 2121.6055),(50 2093.8176),(51 2086.4138),(52 2078.3228),(53 2060.315),(54 2046.1791),(55 2051.7122),(56 2033.0591),(57 2030.0725),(58 2042.823),(59 2046.085),(60 2022.0874),(61 2008.1672),(62 2011.9604),(63 2018.8307),(64 2037.0656),(65 2031.3265),(66 2023.1787),(67 2013.3105),(68 2012.0585),(69 2000.6317),(70 2021.676),(71 2017.5846),(72 2018.7604),(73 2009.0901),(74 2001.2235),(75 1998.9546),(76 1970.3387),(77 1964.2941),(78 1961.9006),(79 1963.8667),
(1 1181.3677),(2 1356.3385),(3 1406.8607),(4 1406.8693),(5 1467.1597),(6 1493.8881),(7 1519.4603),(8 1548.5227),(9 1554.5352),(10 1575.7678),(11 1599.8822),(12 1583.242),(13 1551.989),(14 1564.6614),(15 1602.8499),(16 1603.7776),(17 1567.9951),(18 1581.0884),(19 1589.1011),(20 1594.8512),(21 1592.4292),(22 1599.856),(23 1672.259),(24 1702.7755),(25 1727.0698),(26 1730.7009),(27 1760.2281),(28 1775.4216),(29 1792.3761),(30 1805.5781),(31 1810.9368),(32 1841.6772),(33 1866.6437),(34 1887.1031),(35 1920.1333),(36 1914.2213),(37 1916.4811),(38 1942.7615),(39 1976.9116),(40 1959.8711),(41 1929.2134),(42 1968.7261),(43 1977.886),(44 2003.3384),(45 2045.8906),(46 2023.5276),(47 2011.3948),(48 2009.2189),(49 2025.1688),(50 2031.2028),(51 2053.4253),(52 2018.9357),(53 2042.4845),(54 2042.3435),(55 2018.5691),(56 1998.6339),(57 2007.0667),(58 2042.1454),(59 2035.7794),(60 2020.6409),(61 2040.2952),(62 2052.6775),(63 2058.3813),(64 2035.8588),(65 2003.9977),(66 2008.0981),(67 2035.8057),(68 2038.8778),(69 2000.2034),(70 1965.6868),(71 1967.6018),(72 1963.6001),(73 1943.3442),(74 1938.8954),(75 1939.1315),(76 1927.221),(77 1925.6332),(78 1905.9619),(79 1854.7277),
(1 1170.061),(2 1377.5087),(3 1413.7692),(4 1434.2552),(5 1470.8395),(6 1510.1049),(7 1546.4143),(8 1579.3665),(9 1571.6747),(10 1609.6788),(11 1604.3339),(12 1582.5833),(13 1555.3026),(14 1536.8329),(15 1583.2971),(16 1606.2872),(17 1610.3303),(18 1585.3635),(19 1603.7559),(20 1610.5549),(21 1614.301),(22 1635.4963),(23 1665.2451),(24 1681.2262),(25 1712.707),(26 1736.1506),(27 1748.4567),(28 1771.7926),(29 1773.7789),(30 1768.5028),(31 1792.4109),(32 1819.6462),(33 1815.4034),(34 1823.2516),(35 1855.6672),(36 1866.6631),(37 1875.457),(38 1883.3387),(39 1907.6606),(40 1921.2314),(41 1938.8395),(42 1973.2545),(43 1987.1812),(44 1976.4122),(45 2003.7445),(46 2029.1571),(47 2009.4308),(48 2022.5842),(49 2012.3951),(50 2008.6084),(51 2032.5464),(52 2023.7323),(53 2017.0654),(54 2017.8993),(55 1998.4202),(56 2019.8987),(57 2013.4895),(58 1962.9254),(59 1974.3923),(60 2008.6985),(61 2009.4188),(62 1986.3372),(63 1965.7571),(64 1975.943),(65 1987.8625),(66 1976.1532),(67 1959.8241),(68 1946.5621),(69 1969.8971),(70 1953.8269),(71 1960.9243),(72 1960.7516),(73 1915.5487),(74 1905.2031),(75 1920.0596),(76 1920.2),(77 1885.1812),(78 1878.072),(79 1860.4706),
(1 1119.8418),(2 1307.7959),(3 1372.0513),(4 1389.3583),(5 1397.259),(6 1426.6565),(7 1462.0228),(8 1474.2651),(9 1499.2375),(10 1514.3074),(11 1524.2928),(12 1498.2987),(13 1513.1343),(14 1473.5758),(15 1514.8167),(16 1523.9989),(17 1549.9873),(18 1532.4089),(19 1552.5807),(20 1565.2397),(21 1555.4818),(22 1589.0067),(23 1602.379),(24 1605.9613),(25 1618.7521),(26 1654.0458),(27 1712.345),(28 1753.9031),(29 1752.164),(30 1740.7926),(31 1737.4034),(32 1735.3877),(33 1770.6831),(34 1784.3488),(35 1787.4453),(36 1807.7094),(37 1775.9333),(38 1810.2736),(39 1855.4596),(40 1834.0144),(41 1855.3723),(42 1893.3512),(43 1887.344),(44 1892.4526),(45 1888.6804),(46 1898.711),(47 1891.9723),(48 1840.1932),(49 1833.0809),(50 1863.2711),(51 1891.5486),(52 1884.1199),(53 1926.628),(54 1937.8193),(55 1902.8674),(56 1909.0284),(57 1917.5819),(58 1913.6522),(59 1921.2306),(60 1932.4347),(61 1931.939),(62 1899.0834),(63 1901.5293),(64 1913.9309),(65 1886.935),(66 1892.2955),(67 1904.418),(68 1884.8397),(69 1896.1941),(70 1902.6671),(71 1904.1475),(72 1873.773),(73 1862.1407),(74 1849.2578),(75 1872.0284),(76 1849.5496),(77 1813.1844),(78 1818.909),(79 1799.2755),
(1 1088.4354),(2 1258.5493),(3 1312.2875),(4 1324.3336),(5 1360.6466),(6 1373.3307),(7 1379.6995),(8 1443.7084),(9 1442.4982),(10 1456.7168),(11 1466.2704),(12 1454.9541),(13 1462.1006),(14 1440.3883),(15 1481.1578),(16 1461.325),(17 1473.4226),(18 1469.2136),(19 1482.8267),(20 1497.6484),(21 1501.7733),(22 1511.8221),(23 1557.2705),(24 1560.2655),(25 1613.9987),(26 1599.3414),(27 1635.765),(28 1649.8239),(29 1662.635),(30 1679.4205),(31 1652.9115),(32 1670.1316),(33 1671.8157),(34 1700.3934),(35 1717.3506),(36 1700.8954),(37 1725.0211),(38 1731.7181),(39 1769.2916),(40 1740.575),(41 1765.7462),(42 1772.7389),(43 1813.622),(44 1798.5076),(45 1793.8563),(46 1829.8185),(47 1822.9183),(48 1834.09),(49 1815.727),(50 1827.1316),(51 1828.15),(52 1827.6327),(53 1831.7058),(54 1809.6246),(55 1835.2594),(56 1848.7719),(57 1856.3209),(58 1856.177),(59 1869.7753),(60 1862.7579),(61 1830.267),(62 1839.0889),(63 1830.6003),(64 1800.0181),(65 1815.036),(66 1815.7587),(67 1811.5294),(68 1808.6448),(69 1787.823),(70 1792.6075),(71 1790.3826),(72 1790.7048),(73 1747.0732),(74 1748.0104),(75 1808.6163),(76 1750.1621),(77 1770.4656),(78 1759.0697),(79 1726.5028),
(1 1074.1647),(2 1285.8375),(3 1344.3784),(4 1335.0625),(5 1339.2881),(6 1359.1796),(7 1405.7413),(8 1414.543),(9 1467.4314),(10 1468.765),(11 1490.1864),(12 1465.0264),(13 1460.2515),(14 1445.7537),(15 1477.128),(16 1476.5458),(17 1475.3645),(18 1472.181),(19 1486.8254),(20 1497.7203),(21 1518.9515),(22 1524.0367),(23 1532.4738),(24 1553.8395),(25 1574.6072),(26 1604.3546),(27 1643.2842),(28 1662.7291),(29 1661.9686),(30 1714.7228),(31 1686.2257),(32 1699.9338),(33 1719.1718),(34 1730.4495),(35 1758.3792),(36 1756.538),(37 1792.546),(38 1774.5756),(39 1812.9926),(40 1807.7405),(41 1816.3329),(42 1834.545),(43 1844.1301),(44 1852.74),(45 1836.2183),(46 1842.0995),(47 1822.4324),(48 1789.9279),(49 1810.0236),(50 1811.7449),(51 1812.6816),(52 1807.1431),(53 1791.9565),(54 1791.6124),(55 1792.6907),(56 1780.791),(57 1807.0605),(58 1779.0836),(59 1777.7823),(60 1804.1239),(61 1787.2073),(62 1760.8593),(63 1769.0803),(64 1766.2574),(65 1746.4664),(66 1747.9924),(67 1743.2749),(68 1745.8805),(69 1725.862),(70 1770.838),(71 1747.7705),(72 1737.4631),(73 1730.0919),(74 1728.6278),(75 1752.3416),(76 1740.6454),(77 1704.0566),(78 1704.447),(79 1694.8982),
(1 1057.7788),(2 1244.9022),(3 1311.0262),(4 1289.5802),(5 1316.234),(6 1333.6256),(7 1376.8218),(8 1411.5679),(9 1422.7964),(10 1447.6401),(11 1447.8182),(12 1443.5486),(13 1402.1128),(14 1399.3903),(15 1444.9017),(16 1437.5468),(17 1445.6799),(18 1445.6342),(19 1471.3198),(20 1475.7739),(21 1495.6346),(22 1500.3334),(23 1540.3887),(24 1538.8292),(25 1556.7341),(26 1562.5054),(27 1598.2806),(28 1575.5344),(29 1588.0753),(30 1615.0878),(31 1596.3019),(32 1588.8392),(33 1624.4758),(34 1637.2998),(35 1656.7394),(36 1671.2394),(37 1667.5037),(38 1696.0991),(39 1739.7592),(40 1723.4229),(41 1721.4608),(42 1748.4321),(43 1781.874),(44 1765.9788),(45 1755.7968),(46 1757.9073),(47 1733.6315),(48 1753.4244),(49 1757.1923),(50 1766.6564),(51 1787.4272),(52 1788.3264),(53 1791.3295),(54 1788.7452),(55 1760.222),(56 1785.2699),(57 1772.9989),(58 1799.7931),(59 1815.8064),(60 1815.0013),(61 1799.9846),(62 1821.7574),(63 1816.352),(64 1803.9426),(65 1818.4917),(66 1802.54),(67 1796.0164),(68 1791.1649),(69 1763.8818),(70 1779.4423),(71 1774.7194),(72 1744.8265),(73 1732.8375),(74 1707.2969),(75 1728.5895),(76 1702.3336),(77 1675.4227),(78 1676.663),(79 1678.5559),
(1 990.64264),(2 1187.9844),(3 1256.5419),(4 1245.5134),(5 1267.9128),(6 1282.3428),(7 1327.6375),(8 1354.2675),(9 1376.371),(10 1379.4354),(11 1367.2031),(12 1383.5392),(13 1356.1178),(14 1344.4948),(15 1366.2859),(16 1383.6687),(17 1390.1384),(18 1409.4758),(19 1402.5112),(20 1427.6724),(21 1454.2681),(22 1460.4688),(23 1457.9386),(24 1451.184),(25 1487.6923),(26 1536.8077),(27 1554.6869),(28 1566.9221),(29 1569.8298),(30 1558.5219),(31 1554.2677),(32 1598.4945),(33 1619.1073),(34 1618.4298),(35 1663.0103),(36 1629.5901),(37 1629.4978),(38 1644.8658),(39 1668.1218),(40 1708.0135),(41 1740.4197),(42 1729.4688),(43 1714.5417),(44 1721.9244),(45 1705.7856),(46 1700.0458),(47 1698.1257),(48 1687.4183),(49 1696.1901),(50 1713.64),(51 1717.4945),(52 1689.7482),(53 1692.2573),(54 1707.0156),(55 1684.9834),(56 1668.2659),(57 1669.7181),(58 1671.5084),(59 1674.282),(60 1658.4567),(61 1671.1301),(62 1659.9407),(63 1695.469),(64 1681.5991),(65 1662.3931),(66 1686.1136),(67 1705.7991),(68 1714.6584),(69 1688.765),(70 1679.7096),(71 1671.6945),(72 1669.1821),(73 1658.9673),(74 1656.9521),(75 1658.3939),(76 1657.9956),(77 1654.415),(78 1643.4487),(79 1628.3732),
(1 963.33704),(2 1154.8989),(3 1222.3315),(4 1228.1777),(5 1251.9543),(6 1273.7273),(7 1296.738),(8 1331.1173),(9 1358.3942),(10 1354.6891),(11 1346.1133),(12 1328.2782),(13 1328.4282),(14 1321.2571),(15 1368.4242),(16 1371.077),(17 1361.8458),(18 1364.8186),(19 1354.87),(20 1364.5319),(21 1365.6887),(22 1376.5608),(23 1390.7021),(24 1397.4973),(25 1429.1051),(26 1478.4678),(27 1502.0502),(28 1510.3657),(29 1530.5479),(30 1545.315),(31 1542.6035),(32 1528.0837),(33 1546.015),(34 1567.5957),(35 1577.1244),(36 1604.639),(37 1578.0631),(38 1606.6023),(39 1617.4188),(40 1632.6525),(41 1664.172),(42 1672.4404),(43 1647.1648),(44 1660.3099),(45 1658.1688),(46 1669.459),(47 1666.4025),(48 1675.3304),(49 1670.3281),(50 1656.7213),(51 1678.6832),(52 1665.1183),(53 1685.2026),(54 1680.3577),(55 1683.077),(56 1660.0836),(57 1675.1772),(58 1693.8524),(59 1685.0325),(60 1695.6472),(61 1706.0011),(62 1669.2295),(63 1674.4951),(64 1671.3535),(65 1680.7903),(66 1663.7268),(67 1672.2557),(68 1681.6274),(69 1655.3698),(70 1641.4534),(71 1642.2878),(72 1647.4579),(73 1622.0461),(74 1608.7013),(75 1598.3302),(76 1583.7229),(77 1582.925),(78 1584.4056),(79 1568.3989),
