1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 49470.547),(2 144475.8),(3 329417.97),(4 547652.94),(5 850134.25),(6 1157364.9),(7 1529665.6),(8 1892741),(9 2298644.8),(10 2665569),(11 3057845),(12 3374225.3),(13 3703409),(14 3990851.8),(15 4231795.5),(16 4451103.5),(17 4641723.5),(18 4808268.5),(19 4934020),(20 5041214.5),(21 5103789.5),(22 5146846.5),(23 5136983.5),(24 5105131),(25 5059790),(26 5014530.5),(27 4959732),(28 4899461.5),(29 4836817.5),(30 4777541.5),(31 4725573.5),(32 4705926.5),(33 4669383.5),(34 4674815.5),(35 4703534),(36 4773485.5),(37 4823805.5),(38 4902385.5),(39 5040376.5),(40 5182915.5),(41 5359357.5),(42 5494160.5),(43 5654634.5),(44 5790400),(45 5899238.5),(46 5950761.5),(47 5948384.5),(48 5899662.5),(49 5822810.5),(50 5715938.5),(51 5570357),(52 5426082.5),(53 5307277.5),(54 5173536.5),(55 5089050),(56 5033502),(57 5030702),(58 5022341.5),(59 5092028.5),(60 5165068.5),(61 5306651.5),(62 5413814.5),(63 5531692.5),(64 5639314.5),(65 5737485.5),(66 5800784),(67 5900372),(68 6004298),(69 6118827.5),(70 6253872),(71 6376897.5),(72 6507584),(73 6632100),(74 6743661.5),(75 6844048.5),(76 6937148),(77 7008367.5),(78 7070805.5),(79 7136726.5),
(1 433.43564),(2 685.4432),(3 809.1292),(4 927.2946),(5 1012.5919),(6 1092.7811),(7 1139.1365),(8 1201.8085),(9 1230.7512),(10 1279.4421),(11 1295.8358),(12 1312.5828),(13 1324.4526),(14 1327.4845),(15 1366.9327),(16 1365.7708),(17 1402.945),(18 1412.2416),(19 1433.0527),(20 1426.2114),(21 1437.4324),(22 1432.3995),(23 1425.9349),(24 1432.7683),(25 1454.9991),(26 1467.7192),(27 1481.1163),(28 1463.2289),(29 1476.3202),(30 1470.2979),(31 1470.7767),(32 1491.4115),(33 1517.1099),(34 1519.2268),(35 1521.47),(36 1504.5618),(37 1496.5701),(38 1523.3076),(39 1528.4971),(40 1525.3259),(41 1510.0278),(42 1519.0454),(43 1520.4437),(44 1527.602),(45 1525.4176),(46 1529.5348),(47 1517.2881),(48 1521.6244),(49 1503.9382),(50 1514.3937),(51 1500.7876),(52 1488.5417),(53 1486.567),(54 1499.6005),(55 1471.287),(56 1467.7498),(57 1471.2262),(58 1473.5887),(59 1459.7009),(60 1449.1049),(61 1444.0232),(62 1456.6273),(63 1472.7515),(64 1464.0438),(65 1489.0045),(66 1494.2614),(67 1513.5684),(68 1504.7554),(69 1531.2838),(70 1506.9459),(71 1501.1403),(72 1495.3738),(73 1499.904),(74 1483.1533),(75 1490.4401),(76 1489.121),(77 1493.0248),(78 1480.5641),(79 1479.0989),
(1 420.74216),(2 664.2065),(3 776.29987),(4 889.1806),(5 970.81415),(6 1044.4991),(7 1095.4728),(8 1167.519),(9 1201.8826),(10 1239.2701),(11 1239.8997),(12 1273.7097),(13 1293.9509),(14 1298.3801),(15 1325.5613),(16 1318.0162),(17 1340.753),(18 1357.9951),(19 1381.1351),(20 1387.0542),(21 1417.4613),(22 1423.7769),(23 1439.9442),(24 1417.5613),(25 1442.547),(26 1454.9685),(27 1469.331),(28 1468.6987),(29 1486.2958),(30 1483.4808),(31 1479.4006),(32 1493.5741),(33 1505.2399),(34 1483.009),(35 1481.7728),(36 1467.4835),(37 1456.5807),(38 1476.134),(39 1478.4293),(40 1476.7303),(41 1473.7854),(42 1487.4032),(43 1465.4863),(44 1468.1714),(45 1454.3215),(46 1452.9479),(47 1450.7411),(48 1469.0771),(49 1478.4596),(50 1485.938),(51 1494.4786),(52 1501.9879),(53 1513.0398),(54 1528.845),(55 1535.5974),(56 1540.3091),(57 1537.4291),(58 1549.1265),(59 1544.0294),(60 1532.3933),(61 1543.6804),(62 1522.2001),(63 1531.9706),(64 1528.9772),(65 1518.4722),(66 1507.1029),(67 1522.2356),(68 1513.4102),(69 1515.7966),(70 1505.1013),(71 1508.7695),(72 1487.6964),(73 1504.2181),(74 1498.8458),(75 1506.4277),(76 1489.6995),(77 1497.1556),(78 1484.9199),(79 1496.0221),
(1 395.4358),(2 629.05347),(3 753.15497),(4 861.11914),(5 937.4316),(6 1018.85065),(7 1055.8514),(8 1104.3523),(9 1128.2112),(10 1162.4644),(11 1179.8555),(12 1220.1196),(13 1243.2031),(14 1270.9668),(15 1295.2844),(16 1298.6754),(17 1336.4056),(18 1344.7894),(19 1357.3253),(20 1350.1569),(21 1353.2053),(22 1359.9681),(23 1370.4332),(24 1374.765),(25 1384.1385),(26 1404.5638),(27 1404.9177),(28 1416.5374),(29 1443.1829),(30 1443.8794),(31 1459.3633),(32 1458.2063),(33 1473.2015),(34 1463.4749),(35 1450.2627),(36 1432.1088),(37 1424.3003),(38 1430.2739),(39 1428.6906),(40 1421.9952),(41 1422.8035),(42 1444.1721),(43 1436.8563),(44 1452.5156),(45 1445.6508),(46 1457.5177),(47 1443.7863),(48 1464.9387),(49 1458.8268),(50 1463.7355),(51 1457.4943),(52 1462.3455),(53 1462.4225),(54 1469.111),(55 1462.8352),(56 1439.4717),(57 1448.215),(58 1435.8553),(59 1440.0576),(60 1446.712),(61 1453.2583),(62 1450.9777),(63 1463.8242),(64 1453.8751),(65 1460.2944),(66 1435.1681),(67 1441.5419),(68 1441.7118),(69 1459.6891),(70 1460.5929),(71 1480.3882),(72 1461.1123),(73 1442.4087),(74 1447.057),(75 1458.2916),(76 1453.5872),(77 1474.1248),(78 1468.958),(79 1477.3406),
(1 409.61966),(2 646.3995),(3 751.0316),(4 854.77814),(5 923.53973),(6 971.07294),(7 1022.52185),(8 1081.1185),(9 1103.9591),(10 1131.8708),(11 1155.5924),(12 1174.4685),(13 1190.5894),(14 1217.7506),(15 1232.1875),(16 1227.6132),(17 1241.1757),(18 1269.5396),(19 1266.5157),(20 1288.7148),(21 1300.9059),(22 1300.7084),(23 1294.5436),(24 1289.1361),(25 1310.5044),(26 1312.4401),(27 1332.5708),(28 1366.3392),(29 1378.3469),(30 1371.8865),(31 1397.6266),(32 1400.2468),(33 1419.3839),(34 1402.1095),(35 1412.6171),(36 1406.7957),(37 1410.0184),(38 1432.0779),(39 1435.8303),(40 1428.4713),(41 1415.3894),(42 1423.2169),(43 1416.9154),(44 1409.2786),(45 1404.124),(46 1418.5382),(47 1419.4861),(48 1413.3784),(49 1415.5856),(50 1413.9926),(51 1405.0717),(52 1404.0487),(53 1405.005),(54 1406.5858),(55 1398.7026),(56 1383.565),(57 1370.4117),(58 1387.9154),(59 1377.5881),(60 1371.6013),(61 1369.8337),(62 1366.1068),(63 1383.3339),(64 1370.0193),(65 1368.9725),(66 1363.4702),(67 1361.3019),(68 1376.4246),(69 1379.1614),(70 1364.5409),(71 1384.2355),(72 1380.3533),(73 1384.8763),(74 1378.244),(75 1391.5236),(76 1389.1558),(77 1381.9116),(78 1388.0352),(79 1413.9702),
(1 391.17953),(2 621.82544),(3 733.1649),(4 843.2293),(5 909.95526),(6 979.9345),(7 1034.0942),(8 1074.7919),(9 1098.1257),(10 1135.4384),(11 1151.4951),(12 1171.0135),(13 1176.6177),(14 1191.8204),(15 1202.3967),(16 1194.0144),(17 1223.93),(18 1219.8712),(19 1245.557),(20 1242.8375),(21 1271.708),(22 1278.1267),(23 1293.3773),(24 1295.0571),(25 1314.715),(26 1312.0609),(27 1321.6475),(28 1308.473),(29 1323.4037),(30 1321.8547),(31 1324.7035),(32 1341.1475),(33 1370.221),(34 1356.8094),(35 1370.7969),(36 1358.2068),(37 1362.0187),(38 1374.5485),(39 1363.7793),(40 1358.1827),(41 1346.7191),(42 1359.538),(43 1356.829),(44 1360.1365),(45 1355.7726),(46 1371.7169),(47 1360.0365),(48 1348.1299),(49 1327.9423),(50 1346.826),(51 1336.9417),(52 1340.5952),(53 1327.0251),(54 1325.7013),(55 1325.6508),(56 1329.9037),(57 1318.5712),(58 1318.2976),(59 1298.3748),(60 1287.5862),(61 1302.5481),(62 1298.9067),(63 1315.5552),(64 1288.2284),(65 1313.2458),(66 1312.7906),(67 1329.2444),(68 1325.2306),(69 1344.6592),(70 1340.8512),(71 1350.1678),(72 1331.3632),(73 1343.9757),(74 1339.069),(75 1348.3951),(76 1351.5186),(77 1355.7653),(78 1354.2694),(79 1357.5367),
(1 384.7712),(2 582.5475),(3 689.08734),(4 796.1277),(5 866.688),(6 924.92993),(7 962.06757),(8 1019.1142),(9 1050.7528),(10 1077.9972),(11 1085.7948),(12 1117.3076),(13 1128.6509),(14 1140.265),(15 1158.5175),(16 1173.5621),(17 1195.8755),(18 1202.0071),(19 1214.4917),(20 1212.8119),(21 1226.0371),(22 1210.7452),(23 1214.8363),(24 1218.7894),(25 1225.0297),(26 1242.6981),(27 1258.4788),(28 1251.8118),(29 1266.1567),(30 1256.7411),(31 1271.293),(32 1279.7693),(33 1294.3485),(34 1273.5587),(35 1288.9841),(36 1282.4019),(37 1294.3474),(38 1302.5485),(39 1291.8013),(40 1300.451),(41 1308.6301),(42 1319.7081),(43 1314.5851),(44 1333.8983),(45 1321.9825),(46 1335.3765),(47 1330.3154),(48 1335.2163),(49 1325.2157),(50 1326.9988),(51 1310.9865),(52 1319.6418),(53 1306.305),(54 1301.3397),(55 1293.3667),(56 1297.0039),(57 1282.2932),(58 1266.473),(59 1260.314),(60 1249.4796),(61 1258.7864),(62 1258.9977),(63 1272.6968),(64 1274.2426),(65 1283.4307),(66 1294.7434),(67 1297.778),(68 1299.1073),(69 1306.1366),(70 1302.3359),(71 1313.8015),(72 1292.8154),(73 1298.3988),(74 1301.2495),(75 1313.8849),(76 1306.2266),(77 1321.902),(78 1315.9818),(79 1326.9701),
(1 375.51447),(2 572.8113),(3 697.99457),(4 801.26733),(5 860.2359),(6 919.72437),(7 962.66284),(8 1023.17053),(9 1033.0074),(10 1084.1046),(11 1105.1962),(12 1132.4915),(13 1151.9447),(14 1144.915),(15 1167.7883),(16 1183.6082),(17 1225.151),(18 1234.1191),(19 1254.5706),(20 1270.3341),(21 1273.1998),(22 1295.5286),(23 1314.0688),(24 1321.2992),(25 1332.3435),(26 1323.8138),(27 1328.68),(28 1318.7245),(29 1342.8572),(30 1334.2882),(31 1340.448),(32 1342.7225),(33 1345.4861),(34 1350.0494),(35 1357.9835),(36 1344.0646),(37 1352.5642),(38 1341.1194),(39 1330.167),(40 1346.6206),(41 1337.6737),(42 1341.4512),(43 1340.4531),(44 1346.4895),(45 1330.626),(46 1334.5006),(47 1323.6729),(48 1332.3995),(49 1325.4921),(50 1344.2743),(51 1315.8064),(52 1329.7241),(53 1310.911),(54 1319.888),(55 1301.9514),(56 1316.3086),(57 1320.7006),(58 1317.9701),(59 1302.062),(60 1295.9406),(61 1296.5059),(62 1295.9403),(63 1303.9713),(64 1288.1757),(65 1301.7303),(66 1303.6538),(67 1303.0039),(68 1301.251),(69 1303.8593),(70 1295.923),(71 1288.7772),(72 1298.5076),(73 1304.44),(74 1303.7435),(75 1306.7148),(76 1293.4897),(77 1303.2809),(78 1300.2928),(79 1303.3756),
(1 363.74963),(2 564.92865),(3 675.3858),(4 765.77673),(5 824.6319),(6 897.31616),(7 926.1373),(8 972.0998),(9 993.4839),(10 1021.744),(11 1030.5018),(12 1058.4811),(13 1066.501),(14 1072.8566),(15 1081.1617),(16 1093.7878),(17 1125.7533),(18 1128.5143),(19 1145.3198),(20 1150.7916),(21 1156.8192),(22 1152.8506),(23 1172.834),(24 1174.2249),(25 1185.4442),(26 1176.8862),(27 1194.3484),(28 1206.1705),(29 1220.4962),(30 1218.7239),(31 1215.4219),(32 1226.2045),(33 1238.6721),(34 1239.6638),(35 1247.4763),(36 1229.35),(37 1234.8616),(38 1236.8813),(39 1225.6447),(40 1230.2369),(41 1208.2479),(42 1201.1418),(43 1187.0824),(44 1185.9032),(45 1181.9093),(46 1193.4678),(47 1173.5671),(48 1181.9795),(49 1175.4963),(50 1179.2697),(51 1168.8208),(52 1187.9176),(53 1186.626),(54 1180.8258),(55 1179.2996),(56 1182.5891),(57 1192.8861),(58 1197.5117),(59 1187.6498),(60 1192.8217),(61 1207.7483),(62 1206.3683),(63 1233.0717),(64 1220.2135),(65 1226.7473),(66 1231.273),(67 1257.4985),(68 1269.5542),(69 1267.5098),(70 1257.807),(71 1266.8768),(72 1266.9087),(73 1260.3463),(74 1251.1809),(75 1265.9114),(76 1261.5763),(77 1261.5586),(78 1263.3136),(79 1270.1648),
(1 362.74893),(2 557.3596),(3 651.87494),(4 747.99365),(5 823.00635),(6 892.3588),(7 932.30963),(8 989.07764),(9 1009.6461),(10 1044.1891),(11 1056.1879),(12 1091.1603),(13 1108.7717),(14 1115.6455),(15 1140.8252),(16 1151.1112),(17 1170.9755),(18 1177.9071),(19 1188.1521),(20 1197.1841),(21 1195.8358),(22 1199.4635),(23 1218.1436),(24 1207.2299),(25 1212.1263),(26 1216.6826),(27 1238.9048),(28 1229.2815),(29 1234.7877),(30 1238.69),(31 1244.5215),(32 1245.9482),(33 1251.9905),(34 1245.0094),(35 1267.2639),(36 1256.1716),(37 1251.7137),(38 1268.3969),(39 1270.3074),(40 1270.6464),(41 1263.8969),(42 1272.2925),(43 1267.4535),(44 1270.1003),(45 1265.9917),(46 1269.7627),(47 1273.258),(48 1279.4725),(49 1276.6636),(50 1277.1714),(51 1273.3949),(52 1282.3203),(53 1271.2722),(54 1273.2826),(55 1276.3042),(56 1269.8278),(57 1282.12),(58 1279.6012),(59 1270.0951),(60 1267.4333),(61 1283.4592),(62 1273.632),(63 1285.2861),(64 1290.7747),(65 1283.6803),(66 1283.489),(67 1273.6096),(68 1275.2958),(69 1278.004),(70 1276.5743),(71 1278.5184),(72 1273.8442),(73 1278.6295),(74 1276.0104),(75 1282.4642),(76 1293.5121),(77 1306.3821),(78 1293.2666),(79 1285.5668),
(1 353.91724),(2 539.86694),(3 629.409),(4 726.55725),(5 792.4436),(6 840.67523),(7 884.2043),(8 921.45496),(9 929.81726),(10 958.58374),(11 975.2729),(12 983.3784),(13 994.51666),(14 1020.2635),(15 1027.1056),(16 1038.3469),(17 1049.1278),(18 1034.087),(19 1054.8553),(20 1051.6471),(21 1065.254),(22 1053.6575),(23 1063.8082),(24 1063.571),(25 1075.4906),(26 1078.9453),(27 1093.8624),(28 1079.5381),(29 1102.2081),(30 1095.5026),(31 1110.8378),(32 1126.2234),(33 1129.0364),(34 1138.7568),(35 1144.5234),(36 1142.2822),(37 1143.6825),(38 1149.7365),(39 1141.6194),(40 1145.619),(41 1158.5778),(42 1171.9442),(43 1178.471),(44 1173.7611),(45 1167.9379),(46 1164.8358),(47 1151.0928),(48 1154.0842),(49 1156.6614),(50 1170.0967),(51 1156.4487),(52 1176.7375),(53 1151.7177),(54 1154.6747),(55 1146.9832),(56 1172.7429),(57 1162.0416),(58 1182.9445),(59 1178.8425),(60 1190.4315),(61 1202.2972),(62 1198.7823),(63 1202.0986),(64 1209.113),(65 1220.4067),(66 1212.8591),(67 1207.014),(68 1204.8505),(69 1191.1846),(70 1179.2158),(71 1180.1984),(72 1168.3201),(73 1166.3582),(74 1155.4631),(75 1160.1024),(76 1163.6084),(77 1165.8818),(78 1167.6305),(79 1184.0549),
(1 353.69327),(2 528.38367),(3 635.94275),(4 729.12244),(5 784.14417),(6 842.9322),(7 867.2708),(8 916.9601),(9 945.4958),(10 979.7488),(11 991.1983),(12 1011.8126),(13 1034.8376),(14 1048.0112),(15 1049.4009),(16 1052.6393),(17 1062.8823),(18 1061.2922),(19 1082.6455),(20 1094.6527),(21 1086.335),(22 1079.6063),(23 1096.2002),(24 1093.3251),(25 1103.0127),(26 1110.0115),(27 1134.142),(28 1125.4904),(29 1126.2714),(30 1135.919),(31 1137.0734),(32 1134.9994),(33 1148.5581),(34 1156.5249),(35 1155.8833),(36 1164.5027),(37 1168.1334),(38 1176.6569),(39 1172.426),(40 1180.2902),(41 1170.7023),(42 1172.1139),(43 1176.0785),(44 1180.8652),(45 1177.227),(46 1195.6125),(47 1180.1719),(48 1171.5681),(49 1166.8071),(50 1157.5984),(51 1156.3414),(52 1165.451),(53 1150.336),(54 1153.0321),(55 1150.1776),(56 1163.2631),(57 1158.6499),(58 1163.911),(59 1163.081),(60 1168.3936),(61 1191.4487),(62 1190.7737),(63 1205.4391),(64 1191.6044),(65 1205.3083),(66 1217.861),(67 1219.5817),(68 1215.6604),(69 1210.6599),(70 1202.7609),(71 1211.0714),(72 1202.3068),(73 1208.2084),(74 1190.8839),(75 1199.6747),(76 1194.042),(77 1205.3369),(78 1200.9359),(79 1207.5349),
(1 346.72183),(2 530.06915),(3 635.1768),(4 717.0487),(5 771.7186),(6 819.27246),(7 863.8615),(8 912.3298),(9 935.4537),(10 966.3885),(11 980.0791),(12 1003.6331),(13 1024.6779),(14 1036.0304),(15 1054.6256),(16 1054.7292),(17 1085.7788),(18 1097.7567),(19 1109.4241),(20 1129.3403),(21 1143.564),(22 1138.0889),(23 1142.1815),(24 1140.8678),(25 1147.673),(26 1148.7145),(27 1152.9762),(28 1164.7628),(29 1169.7688),(30 1162.7788),(31 1178.4707),(32 1175.748),(33 1197.5358),(34 1196.5422),(35 1193.929),(36 1196.2927),(37 1189.5769),(38 1198.0283),(39 1187.766),(40 1185.8595),(41 1194.6309),(42 1191.2842),(43 1168.4365),(44 1177.409),(45 1171.08),(46 1170.374),(47 1146.69),(48 1167.0637),(49 1150.0798),(50 1165.6647),(51 1157.7402),(52 1164.4454),(53 1153.6235),(54 1141.8348),(55 1139.2457),(56 1148.288),(57 1153.8601),(58 1161.5437),(59 1166.8425),(60 1169.4486),(61 1168.7589),(62 1173.8766),(63 1191.3866),(64 1185.7471),(65 1210.7742),(66 1221.1954),(67 1231.5159),(68 1225.1461),(69 1239.7653),(70 1236.8046),(71 1234.4253),(72 1221.8967),(73 1213.2821),(74 1203.5936),(75 1193.0989),(76 1192.7037),(77 1199.4957),(78 1197.1554),(79 1206.3851),
(1 327.97046),(2 500.60538),(3 592.3021),(4 665.0361),(5 732.05475),(6 797.15857),(7 831.2188),(8 871.29095),(9 884.277),(10 921.37445),(11 935.19794),(12 960.39374),(13 975.70294),(14 986.51337),(15 995.3449),(16 999.20715),(17 1010.272),(18 1016.74414),(19 1024.8177),(20 1023.11835),(21 1034.8235),(22 1044.4972),(23 1053.3822),(24 1048.071),(25 1068.3857),(26 1081.9408),(27 1086.4065),(28 1078.2311),(29 1088.3278),(30 1087.9156),(31 1102.7494),(32 1102.4471),(33 1119.3329),(34 1111.4742),(35 1121.4146),(36 1110.4595),(37 1111.0255),(38 1114.7975),(39 1109.8585),(40 1107.8469),(41 1100.1593),(42 1097.5647),(43 1087.8776),(44 1086.4084),(45 1092.0951),(46 1096.4103),(47 1098.8046),(48 1120.3617),(49 1117.7622),(50 1125.1875),(51 1111.4731),(52 1118.3744),(53 1121.604),(54 1124.0297),(55 1124.7268),(56 1143.4883),(57 1144.1603),(58 1155.1539),(59 1146.1063),(60 1143.2772),(61 1146.8224),(62 1146.1344),(63 1167.7292),(64 1172.6779),(65 1168.5929),(66 1167.893),(67 1168.831),(68 1171.6586),(69 1186.9515),(70 1181.6212),(71 1173.5327),(72 1175.4583),(73 1165.5778),(74 1158.8076),(75 1156.9724),(76 1145.2925),(77 1133.0477),(78 1124.0577),(79 1130.6501),
(1 332.093),(2 488.80515),(3 576.3711),(4 655.3299),(5 713.924),(6 767.7528),(7 796.4545),(8 837.2351),(9 860.76276),(10 888.6374),(11 903.19324),(12 933.19995),(13 943.64044),(14 954.83014),(15 977.512),(16 992.7389),(17 1006.94696),(18 1018.14954),(19 1027.6544),(20 1022.0885),(21 1025.0277),(22 1027.8159),(23 1035.8516),(24 1028.6357),(25 1041.6401),(26 1050.4911),(27 1062.7439),(28 1048.627),(29 1054.4702),(30 1062.0745),(31 1077.6765),(32 1077.8773),(33 1090.1901),(34 1090.2128),(35 1095.1694),(36 1086.7114),(37 1088.5436),(38 1102.066),(39 1090.0472),(40 1091.465),(41 1091.8545),(42 1101.8632),(43 1106.2899),(44 1117.2686),(45 1111.1055),(46 1113.4052),(47 1114.5673),(48 1111.5582),(49 1105.0562),(50 1116.7617),(51 1116.1095),(52 1114.671),(53 1114.5464),(54 1117.1141),(55 1111.217),(56 1130.6925),(57 1127.1898),(58 1130.1528),(59 1120.8878),(60 1121.8604),(61 1123.9603),(62 1125.1199),(63 1126.9867),(64 1133.2351),(65 1127.8755),(66 1130.5503),(67 1144.3947),(68 1152.222),(69 1172.2377),(70 1175.2336),(71 1173.1674),(72 1158.5049),(73 1168.6667),(74 1171.7295),(75 1168.2169),(76 1149.8303),(77 1151.7937),(78 1148.7263),(79 1153.1803),
(1 322.74448),(2 485.98236),(3 566.27734),(4 643.83246),(5 700.4559),(6 755.7295),(7 784.94904),(8 828.7444),(9 857.1112),(10 896.95624),(11 909.57196),(12 934.8422),(13 950.10785),(14 963.56024),(15 976.29816),(16 978.74335),(17 992.7841),(18 998.5882),(19 1012.7595),(20 1014.16547),(21 1008.9519),(22 1009.19946),(23 1027.9033),(24 1019.9748),(25 1027.169),(26 1026.2975),(27 1042.1444),(28 1051.1111),(29 1056.1011),(30 1054.1229),(31 1065.7592),(32 1057.4984),(33 1065.6725),(34 1051.3065),(35 1053.2299),(36 1045.1633),(37 1047.68),(38 1059.1686),(39 1043.9001),(40 1049.3462),(41 1045.7458),(42 1050.6327),(43 1047.75),(44 1049.013),(45 1033.637),(46 1032.5743),(47 1026.2843),(48 1020.3113),(49 1003.9415),(50 1010.31494),(51 1012.24774),(52 1006.3184),(53 1000.46515),(54 992.78925),(55 982.1991),(56 1003.3027),(57 1001.9572),(58 996.71375),(59 996.51575),(60 996.023),(61 1003.62683),(62 1013.26685),(63 1021.1172),(64 1025.7731),(65 1032.987),(66 1028.3462),(67 1043.7203),(68 1039.4156),(69 1041.7651),(70 1051.9147),(71 1048.9354),(72 1040.851),(73 1033.1515),(74 1025.9995),(75 1030.1838),(76 1026.7562),(77 1023.2433),(78 1025.5588),(79 1025.2583),
(1 324.37863),(2 492.6841),(3 578.96246),(4 659.072),(5 720.63654),(6 771.93945),(7 812.46075),(8 857.97534),(9 882.51935),(10 914.2711),(11 921.204),(12 941.8336),(13 951.48035),(14 961.45294),(15 969.8641),(16 975.9133),(17 993.5699),(18 993.1127),(19 1006.1011),(20 1001.3016),(21 1011.27057),(22 1002.9647),(23 1023.16956),(24 1026.0394),(25 1021.9634),(26 1019.8098),(27 1033.0629),(28 1033.8229),(29 1038.348),(30 1033.7522),(31 1035.6134),(32 1035.7607),(33 1057.4187),(34 1048.8606),(35 1063.1785),(36 1066.1204),(37 1069.3008),(38 1084.3291),(39 1069.6704),(40 1077.9038),(41 1093.685),(42 1102.747),(43 1101.0011),(44 1104.8647),(45 1108.8895),(46 1112.8269),(47 1108.1289),(48 1105.5093),(49 1101.3049),(50 1104.2018),(51 1098.5918),(52 1099.2711),(53 1098.8546),(54 1103.3086),(55 1090.0662),(56 1092.4244),(57 1086.6036),(58 1082.8645),(59 1081.7894),(60 1082.1544),(61 1089.5592),(62 1091.3854),(63 1105.736),(64 1101.0178),(65 1104.0342),(66 1106.7212),(67 1103.352),(68 1090.774),(69 1100.3326),(70 1099.19),(71 1104.8392),(72 1099.3557),(73 1104.3588),(74 1082.9634),(75 1074.6775),(76 1068.8862),(77 1070.5045),(78 1061.3813),(79 1075.2268),
