1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12460.925),(2 38594.375),(3 82836.55),(4 138076.17),(5 189849.02),(6 252605.31),(7 310120.4),(8 355564),(9 376147.9),(10 395388.22),(11 403362.6),(12 417132.97),(13 439134),(14 474438.34),(15 530296.2),(16 596251.8),(17 672465.5),(18 730589.56),(19 793560.56),(20 850071),(21 924077.25),(22 987805.44),(23 1052460.4),(24 1110100),(25 1177595),(26 1265560),(27 1355511.6),(28 1450391.4),(29 1565004),(30 1696886),(31 1826081.4),(32 1977145.5),(33 2115855.8),(34 2246458.3),(35 2381271.5),(36 2513809),(37 2636530),(38 2774607.3),(39 2925511.8),(40 3062229),(41 3209854),(42 3369591),(43 3568228.8),(44 3799613.3),(45 4066123.3),(46 4347657),(47 4686498),(48 4996378.5),(49 5303637.5),(50 5606036),(51 5881550.5),(52 6137165.5),(53 6391484),(54 6636868),(55 6897182.5),(56 7142656),(57 7433048),(58 7748334.5),(59 8071314),(60 8394453),(61 8787516),(62 9184239),(63 9587505),(64 9971857),(65 10313417),(66 10616116),(67 10887907),(68 11103641),(69 11322101),(70 11504429),(71 11661707),(72 11804987),(73 11970392),(74 12144545),(75 12316685),(76 12500624),(77 12682687),(78 12866611),(79 13055405),
(1 332.45398),(2 430.34772),(3 458.9676),(4 502.49908),(5 531.08),(6 545.4327),(7 567.8914),(8 569.70447),(9 576.84235),(10 587.4617),(11 598.5678),(12 607.92),(13 622.3968),(14 634.94806),(15 644.2734),(16 653.1563),(17 651.8779),(18 649.67444),(19 657.18054),(20 666.72986),(21 666.0175),(22 664.7438),(23 675.3506),(24 681.39307),(25 675.3004),(26 682.92554),(27 690.7274),(28 687.87024),(29 679.0068),(30 686.24066),(31 684.9763),(32 677.85516),(33 682.1259),(34 684.43146),(35 686.3492),(36 679.045),(37 686.04395),(38 686.6518),(39 678.3757),(40 687.0869),(41 685.002),(42 691.1576),(43 696.1343),(44 694.4866),(45 698.25323),(46 701.46234),(47 696.1858),(48 695.2281),(49 693.29254),(50 701.21576),(51 707.4292),(52 704.01807),(53 695.3385),(54 697.24445),(55 699.7303),(56 699.0113),(57 713.79083),(58 713.31757),(59 709.83453),(60 705.80896),(61 702.2183),(62 702.249),(63 707.41425),(64 716.68445),(65 722.08624),(66 724.6141),(67 735.71466),(68 730.286),(69 732.385),(70 735.87445),(71 756.0777),(72 744.8822),(73 744.7555),(74 756.8665),(75 754.1389),(76 747.4028),(77 741.6989),(78 752.38544),(79 746.7067),
(1 316.70197),(2 414.17935),(3 443.79764),(4 481.7651),(5 502.80402),(6 518.8434),(7 540.71436),(8 550.0767),(9 566.8203),(10 581.4604),(11 599.463),(12 605.3573),(13 619.8609),(14 622.03986),(15 634.30505),(16 636.4202),(17 647.85315),(18 642.4315),(19 651.9704),(20 656.7538),(21 670.9114),(22 687.26044),(23 691.2681),(24 691.586),(25 691.9358),(26 693.07587),(27 706.04474),(28 703.7721),(29 694.75244),(30 699.00146),(31 705.0816),(32 696.26764),(33 703.401),(34 704.2234),(35 709.478),(36 713.46344),(37 706.4592),(38 706.6107),(39 693.9651),(40 702.465),(41 699.65283),(42 694.09076),(43 692.0548),(44 700.6063),(45 694.4293),(46 693.315),(47 693.51074),(48 686.4955),(49 698.92615),(50 704.11694),(51 712.6626),(52 703.30273),(53 697.5468),(54 700.42676),(55 687.57434),(56 694.5257),(57 705.1679),(58 704.87964),(59 713.5664),(60 716.7823),(61 713.8431),(62 718.14734),(63 723.0959),(64 725.1136),(65 733.2144),(66 727.95526),(67 737.0798),(68 734.5346),(69 741.9246),(70 747.81464),(71 753.4567),(72 752.3369),(73 753.42395),(74 752.82056),(75 758.6393),(76 737.73816),(77 743.6892),(78 737.77155),(79 743.2461),
(1 311.65607),(2 405.76852),(3 446.285),(4 477.76224),(5 500.96942),(6 524.3198),(7 552.22845),(8 558.89056),(9 568.3032),(10 584.31146),(11 589.7002),(12 596.0277),(13 609.4831),(14 600.6224),(15 625.0279),(16 628.4513),(17 631.55054),(18 637.6683),(19 642.99994),(20 638.0179),(21 655.2389),(22 668.0689),(23 676.96735),(24 668.9684),(25 677.5236),(26 681.21735),(27 672.07404),(28 669.6099),(29 671.6166),(30 666.2765),(31 673.12085),(32 676.3578),(33 673.29047),(34 678.92456),(35 676.35474),(36 675.45935),(37 672.4642),(38 672.5408),(39 669.76105),(40 677.86383),(41 685.31683),(42 683.6071),(43 681.37134),(44 678.0182),(45 678.08777),(46 680.2799),(47 678.03143),(48 668.09686),(49 674.4981),(50 688.256),(51 694.0157),(52 691.457),(53 693.87115),(54 686.0159),(55 688.371),(56 699.54486),(57 709.12463),(58 713.58527),(59 723.5751),(60 718.40704),(61 728.3881),(62 728.57666),(63 734.36615),(64 733.0776),(65 732.09296),(66 736.9285),(67 739.8667),(68 734.1733),(69 754.7492),(70 745.05066),(71 743.9487),(72 742.78595),(73 745.0071),(74 742.85583),(75 749.27686),(76 746.4495),(77 751.71234),(78 744.69977),(79 741.1079),
(1 309.47617),(2 405.50748),(3 447.01837),(4 480.81226),(5 495.32147),(6 527.28784),(7 543.6907),(8 548.7902),(9 567.78735),(10 581.2826),(11 578.00946),(12 600.5971),(13 608.59784),(14 608.8326),(15 624.0418),(16 627.41174),(17 635.5112),(18 646.89056),(19 650.00385),(20 649.2516),(21 661.34),(22 664.3542),(23 674.81226),(24 669.49133),(25 677.1042),(26 688.0642),(27 689.51526),(28 693.257),(29 699.50305),(30 694.4865),(31 694.2752),(32 700.6213),(33 702.4548),(34 716.0768),(35 704.8311),(36 708.35974),(37 706.6266),(38 708.2818),(39 716.6045),(40 711.3659),(41 717.39557),(42 718.8526),(43 726.659),(44 710.5559),(45 708.72736),(46 712.7233),(47 716.7517),(48 714.37964),(49 712.7818),(50 718.56934),(51 724.65326),(52 715.66315),(53 724.28815),(54 717.7304),(55 722.2079),(56 732.7225),(57 728.09705),(58 726.4662),(59 723.4768),(60 717.7974),(61 726.35754),(62 726.8573),(63 731.90704),(64 731.23785),(65 730.9868),(66 732.99146),(67 728.6527),(68 723.4286),(69 731.2986),(70 727.22284),(71 728.10114),(72 730.6549),(73 727.8479),(74 726.655),(75 727.8521),(76 729.29626),(77 736.3303),(78 725.64795),(79 725.17633),
(1 304.06134),(2 395.4053),(3 430.26184),(4 459.5617),(5 475.60046),(6 505.49927),(7 515.7567),(8 527.2744),(9 543.7085),(10 561.6855),(11 564.69464),(12 583.6835),(13 590.9041),(14 595.2329),(15 610.58),(16 617.9829),(17 625.6841),(18 632.8063),(19 628.52496),(20 645.6202),(21 650.2073),(22 644.3137),(23 658.9911),(24 644.0913),(25 652.3642),(26 652.9266),(27 654.4715),(28 650.0477),(29 649.39734),(30 642.4928),(31 643.33545),(32 644.19995),(33 649.9472),(34 663.9901),(35 664.37744),(36 666.0012),(37 653.06714),(38 659.4878),(39 672.8241),(40 663.02075),(41 679.8353),(42 685.1149),(43 681.01465),(44 668.6643),(45 673.53064),(46 689.6052),(47 687.19147),(48 700.0338),(49 701.22577),(50 713.90283),(51 724.5422),(52 723.85254),(53 723.23083),(54 726.2796),(55 740.40936),(56 733.50824),(57 732.6877),(58 730.45526),(59 737.8013),(60 733.9467),(61 734.709),(62 738.46173),(63 749.00226),(64 745.84174),(65 748.7821),(66 750.63745),(67 751.4484),(68 748.17377),(69 761.8731),(70 751.5406),(71 745.67194),(72 742.1169),(73 753.80853),(74 750.543),(75 745.3893),(76 741.68994),(77 742.42206),(78 738.2741),(79 742.7091),
(1 297.74014),(2 391.4839),(3 430.3599),(4 462.11627),(5 482.01303),(6 497.0005),(7 525.1049),(8 537.51917),(9 557.4051),(10 569.93823),(11 574.5266),(12 587.3353),(13 591.4014),(14 601.94226),(15 617.8605),(16 624.67303),(17 630.2334),(18 636.3248),(19 641.6802),(20 651.2184),(21 661.5192),(22 658.3039),(23 665.7293),(24 654.1327),(25 658.86884),(26 651.9536),(27 650.3903),(28 656.00757),(29 649.90845),(30 649.8898),(31 656.13947),(32 646.025),(33 652.0149),(34 659.57587),(35 663.27185),(36 663.6312),(37 660.36523),(38 661.41595),(39 668.99225),(40 667.785),(41 675.7139),(42 684.27637),(43 680.4869),(44 680.3045),(45 676.85284),(46 683.8764),(47 689.8739),(48 699.5453),(49 701.13745),(50 699.45276),(51 708.77704),(52 708.9744),(53 712.63416),(54 711.5006),(55 717.48663),(56 706.1793),(57 699.9612),(58 704.7654),(59 703.985),(60 704.1457),(61 701.18097),(62 704.02783),(63 701.0355),(64 695.9777),(65 698.66156),(66 697.2522),(67 684.21545),(68 680.5094),(69 685.8386),(70 682.4489),(71 683.9415),(72 681.47473),(73 689.74963),(74 691.68195),(75 692.90283),(76 698.90564),(77 697.2893),(78 696.33484),(79 703.3387),
(1 293.2075),(2 390.57587),(3 412.52014),(4 451.68527),(5 475.85843),(6 499.33008),(7 526.5593),(8 527.1497),(9 540.6455),(10 556.6216),(11 562.8333),(12 575.98834),(13 589.45557),(14 593.5853),(15 607.21454),(16 612.19073),(17 615.56104),(18 628.5957),(19 629.1292),(20 636.8617),(21 649.3748),(22 651.8947),(23 655.221),(24 649.36926),(25 653.0534),(26 644.617),(27 646.3073),(28 650.6026),(29 648.01685),(30 643.5626),(31 653.075),(32 652.4073),(33 655.13965),(34 643.5935),(35 654.3039),(36 654.04565),(37 657.25055),(38 664.5124),(39 660.17224),(40 659.92944),(41 668.27264),(42 669.19366),(43 671.8623),(44 669.8191),(45 665.05743),(46 671.24744),(47 687.6723),(48 684.09784),(49 685.2755),(50 682.5681),(51 687.44385),(52 686.9411),(53 692.85504),(54 697.3524),(55 717.01373),(56 709.36597),(57 705.64056),(58 706.98315),(59 703.5619),(60 703.1632),(61 699.4431),(62 702.85046),(63 703.61584),(64 705.41547),(65 705.5816),(66 700.69916),(67 692.84393),(68 691.1902),(69 697.9424),(70 690.5966),(71 693.1422),(72 686.5224),(73 677.497),(74 680.12683),(75 678.75244),(76 687.5826),(77 699.8639),(78 686.18756),(79 704.22266),
(1 289.9374),(2 376.65863),(3 403.28735),(4 449.13223),(5 474.27686),(6 496.2041),(7 523.5083),(8 539.2581),(9 555.0327),(10 571.73065),(11 581.73114),(12 596.8422),(13 602.511),(14 609.21686),(15 633.48645),(16 632.95575),(17 633.9635),(18 643.839),(19 638.07263),(20 636.3447),(21 637.25653),(22 641.3298),(23 645.5363),(24 639.5716),(25 638.7378),(26 648.78894),(27 655.7557),(28 649.74396),(29 646.27704),(30 651.31287),(31 653.6035),(32 651.2358),(33 651.9821),(34 650.08496),(35 661.0249),(36 662.0461),(37 661.22314),(38 675.9985),(39 671.6803),(40 680.91473),(41 686.97546),(42 684.1095),(43 694.3852),(44 696.9289),(45 699.1394),(46 704.8564),(47 724.43384),(48 715.35974),(49 732.3618),(50 741.117),(51 740.2526),(52 743.764),(53 740.3225),(54 750.5938),(55 766.4196),(56 751.29944),(57 759.4713),(58 756.83734),(59 752.58716),(60 749.1102),(61 736.36615),(62 728.3304),(63 722.4853),(64 730.7168),(65 718.8899),(66 718.0168),(67 711.87415),(68 710.9053),(69 709.71375),(70 697.89734),(71 698.47797),(72 685.59247),(73 688.11365),(74 689.42395),(75 683.72485),(76 693.9432),(77 695.5019),(78 692.63214),(79 697.75684),
(1 289.00308),(2 369.37735),(3 406.49524),(4 454.1733),(5 478.3754),(6 501.75104),(7 530.7206),(8 542.6458),(9 568.098),(10 582.0051),(11 584.602),(12 596.974),(13 595.74),(14 607.0309),(15 624.8405),(16 629.91583),(17 632.2041),(18 642.5202),(19 637.5949),(20 631.63904),(21 637.0606),(22 632.4163),(23 637.1969),(24 632.10974),(25 630.341),(26 637.7852),(27 642.8422),(28 634.77686),(29 633.81836),(30 628.76013),(31 633.9296),(32 623.72864),(33 628.7464),(34 627.4233),(35 635.67114),(36 637.4258),(37 642.91223),(38 658.5822),(39 654.1118),(40 652.76855),(41 663.3919),(42 665.067),(43 674.52673),(44 677.4044),(45 686.21954),(46 693.56824),(47 712.99585),(48 710.55914),(49 715.94965),(50 729.8596),(51 726.37177),(52 727.86835),(53 724.8971),(54 726.0956),(55 742.35144),(56 728.3307),(57 726.27924),(58 730.8531),(59 727.6048),(60 717.924),(61 711.8374),(62 710.5191),(63 705.8793),(64 705.1943),(65 691.02136),(66 695.0054),(67 694.5493),(68 690.8496),(69 702.24695),(70 690.4027),(71 688.05115),(72 686.4453),(73 684.0727),(74 682.47705),(75 680.9587),(76 676.1205),(77 665.4984),(78 663.93365),(79 665.2484),
(1 283.71246),(2 359.10687),(3 395.6449),(4 426.67953),(5 450.81818),(6 477.94394),(7 496.2871),(8 505.14548),(9 532.6948),(10 555.2589),(11 562.353),(12 569.92694),(13 571.37946),(14 589.2441),(15 602.44257),(16 599.4138),(17 611.2705),(18 618.71643),(19 621.88947),(20 611.1742),(21 621.95276),(22 617.87225),(23 622.18384),(24 615.8998),(25 612.972),(26 614.27075),(27 618.14905),(28 609.045),(29 615.9812),(30 615.4904),(31 618.7681),(32 614.6173),(33 624.14136),(34 621.70685),(35 630.1551),(36 629.2556),(37 630.4755),(38 637.6275),(39 632.1076),(40 639.7318),(41 642.2692),(42 646.2511),(43 644.7706),(44 633.20996),(45 645.9545),(46 646.6702),(47 652.107),(48 652.1907),(49 658.74493),(50 661.5804),(51 659.16644),(52 659.1259),(53 657.9979),(54 657.0167),(55 657.9195),(56 645.50934),(57 660.5566),(58 658.24493),(59 656.0403),(60 653.96594),(61 650.2591),(62 652.3105),(63 650.83856),(64 654.19714),(65 653.569),(66 651.06256),(67 655.12555),(68 656.96674),(69 667.09875),(70 659.0136),(71 666.7968),(72 666.2119),(73 664.0031),(74 668.4195),(75 677.2985),(76 668.92737),(77 665.9505),(78 662.5627),(79 667.22736),
(1 285.00784),(2 366.65546),(3 403.02826),(4 439.67743),(5 469.42896),(6 492.67938),(7 505.8395),(8 520.5211),(9 544.5476),(10 559.8819),(11 571.0221),(12 578.48114),(13 579.8803),(14 592.30774),(15 604.926),(16 610.9593),(17 615.8428),(18 612.7558),(19 620.87726),(20 620.8276),(21 621.9431),(22 631.68585),(23 638.39575),(24 638.3406),(25 638.4106),(26 631.11334),(27 649.33875),(28 644.0876),(29 646.54407),(30 651.55),(31 655.8814),(32 655.5414),(33 667.0155),(34 663.91833),(35 660.5564),(36 663.44727),(37 665.5794),(38 682.8169),(39 680.03674),(40 680.3493),(41 682.66016),(42 676.0108),(43 673.0818),(44 661.9784),(45 673.51825),(46 673.766),(47 671.26715),(48 659.6991),(49 666.1631),(50 671.0816),(51 660.31836),(52 663.7054),(53 659.321),(54 662.51636),(55 662.44305),(56 661.5163),(57 672.2668),(58 676.46906),(59 680.2238),(60 685.984),(61 688.377),(62 698.90967),(63 703.2718),(64 702.2685),(65 698.2029),(66 686.60205),(67 690.92914),(68 684.2517),(69 687.69385),(70 685.07605),(71 698.4964),(72 695.68024),(73 691.67773),(74 693.74524),(75 695.9868),(76 688.1609),(77 693.71893),(78 686.8888),(79 697.1349),
(1 274.1664),(2 341.31024),(3 374.10028),(4 404.58624),(5 432.3617),(6 449.9737),(7 462.38788),(8 482.1174),(9 491.83853),(10 511.54144),(11 520.68427),(12 533.1779),(13 532.33453),(14 548.0264),(15 550.36444),(16 555.6557),(17 560.62006),(18 560.0346),(19 563.11926),(20 563.85516),(21 567.7261),(22 568.15753),(23 581.5034),(24 577.8884),(25 581.956),(26 582.37164),(27 591.9225),(28 587.27985),(29 587.2022),(30 593.9635),(31 590.97815),(32 592.39703),(33 597.24744),(34 587.96423),(35 589.1047),(36 589.17786),(37 594.4868),(38 599.01495),(39 601.30237),(40 587.6526),(41 587.4252),(42 586.00104),(43 599.4952),(44 592.7812),(45 605.6405),(46 606.74695),(47 610.22406),(48 609.1777),(49 617.8062),(50 621.9634),(51 628.9457),(52 630.69836),(53 625.72314),(54 633.21436),(55 637.62274),(56 636.4921),(57 654.2704),(58 649.0112),(59 651.65027),(60 652.5405),(61 660.2435),(62 657.96106),(63 666.53375),(64 664.32697),(65 672.1945),(66 673.27655),(67 675.068),(68 671.7331),(69 683.6427),(70 674.8658),(71 692.0346),(72 685.6711),(73 690.9174),(74 695.69635),(75 696.7011),(76 689.66376),(77 689.2147),(78 678.2921),(79 672.1923),
(1 280.86978),(2 358.56027),(3 396.89185),(4 430.52148),(5 459.44803),(6 490.90604),(7 502.95264),(8 519.6719),(9 532.33),(10 546.5978),(11 556.815),(12 570.77637),(13 569.52625),(14 584.81006),(15 590.0383),(16 599.3086),(17 599.4017),(18 604.0864),(19 603.2215),(20 605.70685),(21 608.1827),(22 602.85455),(23 606.1468),(24 604.91095),(25 600.69836),(26 607.09314),(27 599.4573),(28 598.2097),(29 598.1355),(30 597.54663),(31 602.26434),(32 593.8585),(33 601.46405),(34 603.0522),(35 611.6533),(36 600.2068),(37 618.27264),(38 620.70764),(39 622.8671),(40 610.9054),(41 613.1068),(42 607.2998),(43 611.8714),(44 606.4913),(45 615.1657),(46 620.49426),(47 622.8833),(48 622.37604),(49 618.51605),(50 629.0015),(51 630.36676),(52 633.1636),(53 637.09827),(54 634.9405),(55 635.8954),(56 633.1667),(57 639.2088),(58 631.9401),(59 636.01465),(60 631.301),(61 640.8534),(62 637.80975),(63 641.6315),(64 643.8883),(65 643.6917),(66 647.6377),(67 647.21265),(68 639.2109),(69 650.3491),(70 646.32153),(71 662.1319),(72 654.26105),(73 653.3078),(74 657.03326),(75 664.7986),(76 660.54114),(77 661.8603),(78 652.8105),(79 657.96844),
(1 283.70102),(2 358.34045),(3 398.56128),(4 433.5971),(5 453.5597),(6 481.82227),(7 500.9316),(8 511.88037),(9 529.2354),(10 543.5269),(11 547.99896),(12 559.8293),(13 565.85834),(14 579.5265),(15 585.9884),(16 590.59033),(17 593.92535),(18 594.0442),(19 589.1224),(20 586.52466),(21 592.9026),(22 596.04913),(23 599.3793),(24 606.2959),(25 605.33105),(26 614.31946),(27 607.177),(28 604.0446),(29 607.51117),(30 600.6825),(31 602.8186),(32 604.4672),(33 606.9799),(34 605.91156),(35 610.7555),(36 603.0878),(37 608.5345),(38 606.1266),(39 601.96783),(40 597.3868),(41 600.4309),(42 599.9135),(43 602.24176),(44 604.4881),(45 610.16846),(46 619.5637),(47 625.55396),(48 631.34344),(49 638.2179),(50 650.9139),(51 661.6484),(52 662.0288),(53 663.9308),(54 665.9207),(55 665.6758),(56 664.8829),(57 675.9785),(58 676.61896),(59 670.44794),(60 674.0938),(61 675.0659),(62 680.23413),(63 683.14874),(64 685.7662),(65 689.2734),(66 692.09766),(67 700.73267),(68 689.0067),(69 699.4343),(70 703.3131),(71 704.27454),(72 701.3326),(73 698.16565),(74 697.3286),(75 708.6663),(76 699.1301),(77 698.5928),(78 682.3865),(79 685.38544),
(1 272.9847),(2 348.58945),(3 391.30057),(4 431.78345),(5 458.24393),(6 481.4565),(7 512.1272),(8 529.9356),(9 552.8356),(10 569.3822),(11 573.52856),(12 580.38837),(13 587.5163),(14 596.68524),(15 596.9433),(16 601.9009),(17 607.8717),(18 597.3989),(19 598.6843),(20 597.3749),(21 601.70306),(22 601.8882),(23 600.7909),(24 612.6888),(25 616.2666),(26 612.76416),(27 621.553),(28 614.6348),(29 619.3413),(30 618.8763),(31 623.1557),(32 617.08527),(33 615.97174),(34 606.54877),(35 605.5942),(36 603.44965),(37 604.9162),(38 601.3126),(39 611.75574),(40 611.6301),(41 613.1446),(42 610.1208),(43 610.03125),(44 608.55536),(45 613.0458),(46 615.5185),(47 632.2805),(48 631.0952),(49 647.032),(50 650.15594),(51 655.0333),(52 658.9517),(53 663.068),(54 661.26215),(55 660.9161),(56 664.5664),(57 667.5108),(58 667.48505),(59 662.4412),(60 663.67523),(61 656.8945),(62 664.34863),(63 674.2225),(64 677.6054),(65 678.4905),(66 686.09534),(67 696.3355),(68 684.29956),(69 692.5736),(70 694.3211),(71 689.4812),(72 680.20966),(73 675.4803),(74 673.4886),(75 676.6726),(76 666.54956),(77 654.76666),(78 647.56024),(79 639.02325),
(1 266.68802),(2 348.92737),(3 390.02686),(4 434.3635),(5 471.56635),(6 491.97308),(7 516.8871),(8 537.352),(9 562.6108),(10 589.87524),(11 602.62964),(12 606.75275),(13 613.08105),(14 620.4365),(15 622.9981),(16 631.9003),(17 633.5284),(18 626.7793),(19 619.4846),(20 623.7769),(21 629.303),(22 626.54443),(23 620.1542),(24 634.0303),(25 629.45575),(26 632.9186),(27 633.9363),(28 630.2427),(29 627.7607),(30 628.58594),(31 621.6903),(32 608.14557),(33 609.8295),(34 597.5981),(35 607.3947),(36 608.9685),(37 605.23364),(38 613.8286),(39 619.33276),(40 619.56805),(41 626.1724),(42 624.2974),(43 624.5788),(44 623.30994),(45 621.2745),(46 634.8886),(47 647.5065),(48 649.69666),(49 655.0879),(50 660.9235),(51 653.98474),(52 660.245),(53 661.5727),(54 652.9152),(55 655.0716),(56 645.36584),(57 651.9559),(58 650.9703),(59 651.8542),(60 655.4046),(61 653.8084),(62 660.6553),(63 654.54614),(64 659.102),(65 668.79865),(66 676.4521),(67 683.6112),(68 676.9724),(69 681.1325),(70 689.7287),(71 700.6327),(72 689.06555),(73 687.41943),(74 682.17004),(75 687.4265),(76 679.9953),(77 665.8051),(78 657.5103),(79 650.89655),
(1 259.70776),(2 336.2172),(3 369.2945),(4 410.13074),(5 442.0675),(6 462.6877),(7 481.4953),(8 497.2342),(9 517.55664),(10 536.77295),(11 547.7506),(12 542.49945),(13 543.9439),(14 550.6947),(15 548.7261),(16 552.5892),(17 556.05634),(18 554.2242),(19 555.2233),(20 552.52423),(21 553.27),(22 554.77875),(23 563.44586),(24 557.2834),(25 555.61676),(26 552.6244),(27 557.19293),(28 557.92645),(29 559.4981),(30 566.8147),(31 570.76514),(32 570.575),(33 574.21515),(34 572.108),(35 573.3538),(36 568.66656),(37 572.1245),(38 573.1336),(39 574.1636),(40 580.8316),(41 583.1177),(42 582.12366),(43 587.0926),(44 583.248),(45 587.1415),(46 592.0555),(47 603.6217),(48 606.0453),(49 612.7312),(50 616.5748),(51 619.75543),(52 626.7378),(53 625.39),(54 620.2688),(55 632.16595),(56 627.99176),(57 634.624),(58 638.47906),(59 638.2851),(60 640.21423),(61 643.6934),(62 650.11285),(63 650.81824),(64 649.03546),(65 652.15753),(66 656.3158),(67 657.07153),(68 650.6714),(69 649.83636),(70 651.6291),(71 648.77374),(72 649.23444),(73 638.8734),(74 636.24036),(75 649.3827),(76 645.0727),(77 637.69586),(78 634.28796),(79 630.4121),
(1 262.95358),(2 332.1312),(3 372.63492),(4 404.9409),(5 435.3175),(6 453.49493),(7 467.62604),(8 486.86688),(9 502.43512),(10 517.3534),(11 524.4201),(12 530.1186),(13 528.6258),(14 540.59644),(15 541.6948),(16 543.80804),(17 549.58624),(18 541.60236),(19 553.2664),(20 546.8161),(21 550.5283),(22 553.78125),(23 559.17035),(24 561.8716),(25 563.1844),(26 563.88165),(27 562.1323),(28 567.3451),(29 566.82605),(30 567.9341),(31 570.6915),(32 571.1871),(33 569.9658),(34 574.2131),(35 573.419),(36 571.9795),(37 574.4064),(38 574.07574),(39 573.1822),(40 582.9072),(41 580.9127),(42 586.8687),(43 578.42413),(44 567.9894),(45 580.4456),(46 580.5481),(47 586.02606),(48 587.97845),(49 589.2019),(50 584.7135),(51 588.5198),(52 586.27277),(53 594.9787),(54 597.4077),(55 599.52325),(56 604.1384),(57 609.8068),(58 604.2113),(59 603.92615),(60 598.13586),(61 598.31995),(62 602.23926),(63 607.6562),(64 605.03986),(65 611.6),(66 617.9142),(67 618.7006),(68 608.1893),(69 611.7535),(70 615.7582),(71 613.83527),(72 612.6129),(73 610.38696),(74 605.9201),(75 623.5727),(76 626.33575),(77 621.333),(78 623.0329),(79 628.3322),
