1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11376.867),(2 28079.172),(3 56472),(4 85299.68),(5 116210.01),(6 139714.64),(7 167494.48),(8 191225.92),(9 218667.75),(10 240342.42),(11 266153.4),(12 281354.1),(13 298776.4),(14 306820.1),(15 320425.75),(16 329667.34),(17 340800.34),(18 350834.97),(19 362642.34),(20 375368.6),(21 389878.9),(22 413684.16),(23 436875.53),(24 462768.4),(25 499585.28),(26 537118.2),(27 580913.2),(28 631932.94),(29 687568.2),(30 744389.44),(31 806020.94),(32 884477.5),(33 968706.3),(34 1055008.1),(35 1138207.6),(36 1223337.3),(37 1307221.5),(38 1391570),(39 1465005.5),(40 1531325.9),(41 1596453.1),(42 1655114.5),(43 1704234),(44 1741203.1),(45 1767597.6),(46 1784713.6),(47 1801920),(48 1817938),(49 1837209),(50 1844270.1),(51 1863112.4),(52 1871863.6),(53 1881275),(54 1872287.1),(55 1856789.9),(56 1842739),(57 1824072.5),(58 1810652.5),(59 1784267),(60 1765340.5),(61 1755196.6),(62 1758525.4),(63 1764823.6),(64 1769914),(65 1785064),(66 1791060),(67 1799189.6),(68 1808847.1),(69 1816664),(70 1828674.9),(71 1845216.4),(72 1854117.4),(73 1890347),(74 1918453.4),(75 1959969),(76 2009025.4),(77 2075282.6),(78 2136037.3),(79 2184034.8),
(1 201.37285),(2 247.17221),(3 265.69583),(4 274.9443),(5 283.4888),(6 290.12247),(7 294.3445),(8 300.50244),(9 304.10376),(10 309.85022),(11 313.98657),(12 314.59955),(13 320.2722),(14 318.42194),(15 321.26965),(16 318.86957),(17 316.69388),(18 318.11508),(19 318.63397),(20 315.8288),(21 320.98367),(22 322.91776),(23 320.45984),(24 323.4891),(25 319.94473),(26 322.14328),(27 327.39655),(28 331.0156),(29 334.0711),(30 335.85916),(31 338.38153),(32 336.39243),(33 335.7227),(34 335.4105),(35 334.23425),(36 342.02316),(37 335.8198),(38 334.81265),(39 341.8166),(40 339.17453),(41 341.0312),(42 339.1661),(43 339.8983),(44 335.4495),(45 334.41086),(46 331.6234),(47 327.622),(48 329.8685),(49 328.3771),(50 330.25128),(51 329.1847),(52 332.45755),(53 335.12164),(54 336.5003),(55 337.12976),(56 334.2647),(57 328.01233),(58 334.49396),(59 331.5491),(60 336.41428),(61 341.0628),(62 340.7146),(63 341.92313),(64 341.34555),(65 344.0964),(66 342.8669),(67 343.93097),(68 345.36108),(69 346.8056),(70 343.94244),(71 346.33105),(72 343.83807),(73 342.52646),(74 342.80475),(75 343.9694),(76 342.60623),(77 337.7589),(78 343.6767),(79 345.47977),
(1 198.40178),(2 243.85294),(3 261.9506),(4 272.4415),(5 282.185),(6 286.4372),(7 295.33444),(8 302.33096),(9 303.13388),(10 309.7318),(11 311.00586),(12 311.95267),(13 319.59625),(14 320.50546),(15 317.65646),(16 321.42123),(17 318.7438),(18 325.64914),(19 329.13556),(20 321.6351),(21 328.57718),(22 327.29968),(23 327.5076),(24 330.7458),(25 326.5211),(26 331.34592),(27 330.8086),(28 333.48157),(29 336.19513),(30 338.02084),(31 343.35956),(32 339.8864),(33 340.5751),(34 341.21997),(35 340.08292),(36 343.08896),(37 339.42752),(38 337.529),(39 339.76007),(40 333.13385),(41 331.19788),(42 327.82834),(43 331.72598),(44 331.99753),(45 333.27335),(46 334.252),(47 327.7346),(48 332.51276),(49 331.67233),(50 335.3487),(51 332.0983),(52 334.31845),(53 336.3594),(54 334.26447),(55 335.69083),(56 333.7083),(57 331.8649),(58 332.1822),(59 333.40942),(60 331.70233),(61 332.49176),(62 335.7685),(63 339.8864),(64 334.46753),(65 333.97223),(66 333.8461),(67 332.4366),(68 335.22116),(69 333.87054),(70 326.98553),(71 325.39236),(72 326.04352),(73 327.9327),(74 328.75568),(75 326.63074),(76 330.75143),(77 327.5257),(78 337.5265),(79 334.26663),
(1 193.37048),(2 240.39212),(3 259.52106),(4 269.00012),(5 274.51096),(6 278.81528),(7 283.98315),(8 295.48425),(9 297.93832),(10 306.6422),(11 314.5916),(12 312.0374),(13 313.27997),(14 318.54065),(15 317.53122),(16 317.29846),(17 313.00906),(18 315.8375),(19 318.94574),(20 317.1662),(21 317.40906),(22 319.11417),(23 311.74106),(24 309.5855),(25 316.33844),(26 319.1843),(27 324.2768),(28 322.2881),(29 324.6725),(30 326.79117),(31 324.7765),(32 322.70096),(33 325.52258),(34 324.37595),(35 322.05292),(36 328.54544),(37 324.31323),(38 325.3106),(39 326.786),(40 324.7331),(41 327.50546),(42 322.1541),(43 322.21817),(44 321.13022),(45 322.40176),(46 323.85306),(47 324.75037),(48 324.59003),(49 326.5219),(50 327.2729),(51 330.96854),(52 330.74414),(53 333.59116),(54 328.86792),(55 332.02368),(56 331.92603),(57 328.5685),(58 327.07098),(59 324.78436),(60 324.1339),(61 324.8308),(62 322.2092),(63 325.17966),(64 322.04114),(65 317.6278),(66 320.43298),(67 324.95828),(68 330.11554),(69 324.4093),(70 320.78018),(71 323.09512),(72 326.38522),(73 324.20917),(74 327.63696),(75 328.3217),(76 326.62222),(77 327.72202),(78 328.63867),(79 329.9036),
(1 188.11444),(2 232.82323),(3 252.92381),(4 257.4879),(5 264.06683),(6 270.37146),(7 274.5265),(8 282.34494),(9 282.4113),(10 285.59024),(11 293.90042),(12 291.37424),(13 294.80328),(14 297.61185),(15 295.35422),(16 298.5691),(17 295.97235),(18 293.0499),(19 299.91013),(20 304.29276),(21 303.5134),(22 305.2824),(23 301.81033),(24 302.0916),(25 305.5102),(26 308.86786),(27 312.10446),(28 313.02707),(29 316.24017),(30 317.38342),(31 322.11157),(32 321.81076),(33 315.33014),(34 318.79376),(35 314.4933),(36 318.70218),(37 312.32254),(38 315.32913),(39 312.22485),(40 309.4671),(41 308.47018),(42 311.55466),(43 308.6354),(44 311.93594),(45 308.80807),(46 312.32858),(47 312.1841),(48 315.88358),(49 313.85327),(50 313.3493),(51 319.59793),(52 315.90503),(53 319.5341),(54 318.90005),(55 315.4169),(56 317.00327),(57 321.03925),(58 320.73267),(59 320.5422),(60 318.25436),(61 314.8725),(62 319.56284),(63 319.9305),(64 319.4409),(65 317.97565),(66 321.25967),(67 320.84802),(68 319.20822),(69 317.44745),(70 317.8676),(71 322.96344),(72 326.83942),(73 321.73996),(74 324.388),(75 329.32138),(76 327.04684),(77 331.44754),(78 334.4885),(79 332.1142),
(1 185.5794),(2 228.91621),(3 249.1594),(4 262.7734),(5 267.85672),(6 270.25165),(7 276.449),(8 279.4933),(9 287.70914),(10 290.4953),(11 298.37128),(12 296.2767),(13 297.20343),(14 293.85858),(15 292.6267),(16 294.70258),(17 298.59814),(18 297.1466),(19 297.95517),(20 300.1916),(21 300.63602),(22 304.1647),(23 305.8661),(24 309.01215),(25 311.16803),(26 312.08994),(27 312.0986),(28 312.353),(29 309.26028),(30 313.1082),(31 311.2996),(32 310.77252),(33 312.09116),(34 308.8285),(35 308.80762),(36 306.24918),(37 303.68115),(38 302.26825),(39 307.48093),(40 302.45056),(41 299.4375),(42 307.14886),(43 307.6458),(44 306.91208),(45 307.75034),(46 301.22083),(47 301.20663),(48 306.01215),(49 299.9634),(50 299.45856),(51 302.04657),(52 300.2755),(53 299.57098),(54 302.7789),(55 303.18857),(56 307.09775),(57 308.16876),(58 308.26035),(59 306.4956),(60 307.69843),(61 309.7621),(62 308.97598),(63 308.8845),(64 307.76028),(65 305.2781),(66 310.01227),(67 310.44473),(68 311.8654),(69 313.4916),(70 313.40048),(71 321.38495),(72 318.49048),(73 322.89368),(74 322.4843),(75 323.51627),(76 327.47772),(77 325.80148),(78 327.9404),(79 324.7552),
(1 182.98195),(2 225.55669),(3 241.6733),(4 257.79388),(5 261.5172),(6 265.3141),(7 272.66763),(8 277.7995),(9 283.50555),(10 286.09027),(11 294.74023),(12 290.32797),(13 292.56015),(14 293.70953),(15 297.80798),(16 294.96378),(17 297.12473),(18 297.6033),(19 300.38443),(20 294.28934),(21 297.4284),(22 301.18576),(23 299.0389),(24 301.7681),(25 302.1299),(26 304.48392),(27 305.4591),(28 308.1861),(29 307.40222),(30 304.1264),(31 308.55673),(32 309.69693),(33 312.50018),(34 306.32193),(35 309.94925),(36 308.1368),(37 303.1846),(38 304.7327),(39 310.67825),(40 305.46295),(41 304.80548),(42 306.88275),(43 310.9473),(44 307.0343),(45 309.37372),(46 308.23236),(47 305.08765),(48 310.19788),(49 303.71213),(50 305.9603),(51 305.29068),(52 305.0413),(53 301.79907),(54 307.45203),(55 309.76028),(56 307.2887),(57 306.35742),(58 303.48135),(59 301.08902),(60 305.6326),(61 304.14532),(62 306.5915),(63 309.98795),(64 309.27112),(65 310.76718),(66 305.98773),(67 305.2768),(68 307.0851),(69 308.6951),(70 308.4066),(71 312.17715),(72 315.79095),(73 316.04962),(74 317.29086),(75 315.59085),(76 318.987),(77 317.5007),(78 321.2018),(79 317.95728),
(1 180.97038),(2 216.78268),(3 238.39638),(4 244.78),(5 245.68388),(6 253.68059),(7 260.04065),(8 267.28897),(9 271.1987),(10 276.78003),(11 278.2915),(12 277.8988),(13 281.27612),(14 280.7137),(15 285.66467),(16 286.4811),(17 288.0403),(18 287.84818),(19 291.43433),(20 289.28528),(21 287.84875),(22 289.29248),(23 290.7096),(24 290.18585),(25 291.0762),(26 291.28937),(27 294.74527),(28 294.3706),(29 298.7419),(30 296.2383),(31 297.1691),(32 296.70215),(33 298.18433),(34 296.72513),(35 298.59003),(36 293.0241),(37 289.79498),(38 291.32904),(39 292.85788),(40 291.54922),(41 291.0546),(42 290.46472),(43 294.3952),(44 296.06528),(45 292.29794),(46 292.68588),(47 293.27707),(48 293.05768),(49 291.27042),(50 292.1437),(51 294.60263),(52 296.8498),(53 296.45032),(54 299.81607),(55 298.4911),(56 297.62726),(57 294.26212),(58 296.71713),(59 296.5424),(60 295.56482),(61 299.84436),(62 291.15283),(63 296.52017),(64 294.48572),(65 292.72162),(66 294.2915),(67 294.71585),(68 299.63516),(69 299.14407),(70 298.81265),(71 305.77994),(72 303.8761),(73 304.83533),(74 304.16983),(75 301.25),(76 300.97098),(77 301.63605),(78 304.91394),(79 304.41235),
(1 175.46606),(2 214.9227),(3 231.37617),(4 240.2647),(5 248.03854),(6 255.28787),(7 261.0051),(8 265.7132),(9 268.20895),(10 273.55014),(11 272.4091),(12 274.35306),(13 275.7149),(14 276.31873),(15 280.8455),(16 276.24588),(17 283.7098),(18 281.07117),(19 283.60138),(20 283.88742),(21 285.819),(22 284.6264),(23 284.44113),(24 280.90167),(25 280.6169),(26 283.634),(27 281.9453),(28 282.54208),(29 284.1345),(30 286.2255),(31 286.65),(32 285.85184),(33 286.51385),(34 290.52673),(35 291.7923),(36 289.9364),(37 292.5471),(38 292.53833),(39 292.2604),(40 293.08408),(41 291.53055),(42 287.11676),(43 290.6992),(44 290.03378),(45 289.82883),(46 289.7978),(47 290.68796),(48 285.0128),(49 287.26862),(50 291.78903),(51 291.95868),(52 290.42307),(53 288.43127),(54 287.59543),(55 286.66876),(56 284.13718),(57 285.3245),(58 288.19177),(59 289.70303),(60 289.93567),(61 292.38852),(62 295.59),(63 293.9479),(64 295.686),(65 291.26038),(66 291.37122),(67 294.7953),(68 295.74933),(69 297.17514),(70 296.76868),(71 296.57422),(72 294.391),(73 296.251),(74 296.53552),(75 297.78085),(76 295.6629),(77 295.46872),(78 292.3743),(79 293.24203),
(1 171.64455),(2 208.51915),(3 225.72508),(4 234.84282),(5 237.5172),(6 245.04512),(7 250.36006),(8 252.54433),(9 256.5355),(10 260.83594),(11 265.05875),(12 262.64063),(13 267.0211),(14 268.8727),(15 267.58978),(16 268.528),(17 273.26773),(18 274.85123),(19 280.017),(20 279.72134),(21 281.1572),(22 278.2774),(23 278.96518),(24 276.6033),(25 280.55173),(26 281.51935),(27 281.07635),(28 278.36),(29 279.64905),(30 279.56104),(31 280.76563),(32 283.969),(33 284.96494),(34 286.13815),(35 282.01846),(36 286.78067),(37 285.67834),(38 284.75314),(39 289.00323),(40 285.0878),(41 287.3522),(42 284.0909),(43 282.95038),(44 283.04074),(45 276.8674),(46 277.85043),(47 280.08524),(48 278.62433),(49 281.27414),(50 282.25235),(51 283.6026),(52 285.45438),(53 287.1479),(54 286.58054),(55 287.4987),(56 285.69208),(57 289.99475),(58 289.9605),(59 289.984),(60 287.20117),(61 290.61792),(62 292.165),(63 294.11374),(64 294.40067),(65 288.5516),(66 286.8188),(67 284.67575),(68 285.16803),(69 282.46005),(70 283.14224),(71 283.89767),(72 284.2973),(73 282.23938),(74 280.1045),(75 275.78638),(76 276.26038),(77 277.91248),(78 276.35284),(79 279.9909),
(1 168.84908),(2 207.04793),(3 224.58554),(4 231.84981),(5 241.52092),(6 248.93349),(7 252.88936),(8 252.30486),(9 256.1159),(10 258.2191),(11 261.27853),(12 260.41794),(13 263.36703),(14 264.22968),(15 265.47498),(16 262.9562),(17 268.08765),(18 266.8457),(19 270.41052),(20 269.49112),(21 268.69943),(22 273.47955),(23 272.5807),(24 274.02197),(25 273.77008),(26 273.86414),(27 274.82336),(28 278.62485),(29 272.80127),(30 271.7523),(31 276.1473),(32 278.20065),(33 275.87628),(34 275.40573),(35 272.6665),(36 278.5098),(37 277.26514),(38 278.1539),(39 279.54105),(40 282.40042),(41 283.20813),(42 280.3407),(43 275.70175),(44 275.9056),(45 273.94498),(46 272.16623),(47 268.88776),(48 269.64957),(49 271.70367),(50 267.49905),(51 269.4412),(52 270.91275),(53 269.9981),(54 267.5462),(55 271.04245),(56 271.79633),(57 270.39243),(58 273.00943),(59 271.2078),(60 276.39447),(61 275.9336),(62 277.06775),(63 279.50253),(64 278.69556),(65 276.8934),(66 277.68274),(67 277.433),(68 278.04926),(69 278.1336),(70 279.73242),(71 280.8109),(72 279.56198),(73 280.38168),(74 284.7567),(75 278.76065),(76 280.39038),(77 283.4613),(78 283.23724),(79 281.87158),
(1 171.19441),(2 207.8797),(3 226.40744),(4 230.60107),(5 237.89444),(6 242.74684),(7 244.62845),(8 248.85423),(9 250.40746),(10 260.43292),(11 262.94333),(12 261.54593),(13 263.16785),(14 268.51608),(15 267.34015),(16 266.10162),(17 270.7223),(18 270.91733),(19 270.95175),(20 268.51212),(21 269.36157),(22 270.18286),(23 268.0263),(24 269.57797),(25 271.705),(26 268.20718),(27 270.2377),(28 270.359),(29 273.02567),(30 270.10318),(31 272.09885),(32 270.62814),(33 271.97183),(34 272.80505),(35 269.73712),(36 274.5537),(37 274.5757),(38 275.87677),(39 279.44946),(40 276.55933),(41 280.48657),(42 277.801),(43 275.75507),(44 277.79553),(45 271.42215),(46 272.93884),(47 270.31256),(48 273.43103),(49 275.23135),(50 279.65854),(51 278.5635),(52 284.0726),(53 282.41403),(54 280.72504),(55 285.17157),(56 285.21786),(57 287.68774),(58 284.6261),(59 284.6249),(60 289.31516),(61 284.54666),(62 281.9856),(63 286.33844),(64 286.2359),(65 285.174),(66 285.56055),(67 284.768),(68 288.25024),(69 285.32047),(70 281.02042),(71 283.716),(72 283.02948),(73 283.32413),(74 286.49786),(75 282.19855),(76 284.038),(77 287.0653),(78 289.52393),(79 285.63812),
(1 164.06638),(2 200.12422),(3 218.68428),(4 226.17172),(5 230.85768),(6 234.75255),(7 244.0812),(8 249.75818),(9 251.62051),(10 254.54445),(11 254.69965),(12 250.38808),(13 255.96346),(14 259.94022),(15 257.13428),(16 253.66391),(17 257.1529),(18 254.88179),(19 255.66084),(20 260.32407),(21 260.39807),(22 260.54578),(23 257.8396),(24 258.35425),(25 261.19318),(26 263.3871),(27 262.7621),(28 260.9387),(29 261.9482),(30 261.5439),(31 263.8321),(32 266.92877),(33 265.9665),(34 262.5084),(35 261.67053),(36 262.53476),(37 265.88428),(38 268.7418),(39 268.36728),(40 268.9682),(41 267.69186),(42 270.1306),(43 270.71237),(44 270.83856),(45 267.0693),(46 265.18445),(47 266.7589),(48 264.56946),(49 266.6389),(50 267.07324),(51 269.63358),(52 265.97705),(53 264.4396),(54 263.0485),(55 265.491),(56 263.80508),(57 265.82538),(58 266.47986),(59 267.04184),(60 266.126),(61 268.2056),(62 268.5317),(63 268.14877),(64 269.05466),(65 267.74835),(66 266.0526),(67 266.03345),(68 267.06708),(69 267.37393),(70 264.6728),(71 264.79306),(72 267.01987),(73 265.27588),(74 273.62546),(75 273.68872),(76 273.0859),(77 273.9437),(78 276.12906),(79 275.71054),
(1 161.29318),(2 193.05794),(3 212.05188),(4 219.70898),(5 224.53868),(6 230.8326),(7 237.83713),(8 244.46997),(9 244.04065),(10 245.27737),(11 246.73257),(12 246.62088),(13 250.20319),(14 255.80925),(15 254.42273),(16 254.90425),(17 257.71503),(18 258.55054),(19 258.918),(20 261.14612),(21 257.59787),(22 257.5729),(23 259.42728),(24 257.65567),(25 258.93634),(26 261.00604),(27 262.31),(28 265.7234),(29 261.72183),(30 259.58426),(31 261.62354),(32 260.14),(33 259.88156),(34 262.3074),(35 261.77325),(36 262.21436),(37 261.38422),(38 267.98035),(39 266.3918),(40 263.96738),(41 259.62827),(42 261.72998),(43 263.45502),(44 266.80096),(45 266.71436),(46 264.69537),(47 265.31772),(48 265.61115),(49 264.3398),(50 260.9665),(51 263.89954),(52 263.97437),(53 263.54163),(54 263.56357),(55 265.27695),(56 260.26328),(57 258.15164),(58 259.83487),(59 263.25598),(60 263.64084),(61 264.60574),(62 262.56772),(63 262.52066),(64 264.74622),(65 260.3399),(66 258.17697),(67 257.2928),(68 258.18253),(69 258.17578),(70 255.34366),(71 255.94838),(72 259.02347),(73 261.325),(74 267.8517),(75 268.83118),(76 264.84738),(77 270.44452),(78 275.7695),(79 276.6473),
(1 160.73183),(2 194.08029),(3 207.74117),(4 213.13963),(5 221.99231),(6 225.25745),(7 229.15129),(8 233.33672),(9 234.8119),(10 240.39915),(11 242.76082),(12 243.11322),(13 245.27022),(14 248.77254),(15 248.92865),(16 246.91031),(17 247.63202),(18 249.77019),(19 251.34895),(20 251.8196),(21 251.3496),(22 250.21762),(23 248.28345),(24 249.62756),(25 247.92577),(26 247.90611),(27 252.79495),(28 250.58868),(29 250.86823),(30 251.1475),(31 249.66328),(32 248.47258),(33 247.28793),(34 250.87198),(35 250.77779),(36 254.82248),(37 255.21387),(38 260.03607),(39 259.9627),(40 257.61157),(41 255.14294),(42 257.86932),(43 259.99896),(44 259.95425),(45 260.33936),(46 261.07764),(47 260.20328),(48 263.52734),(49 261.88834),(50 257.80585),(51 265.55664),(52 268.83337),(53 269.71414),(54 270.1143),(55 271.26868),(56 270.8741),(57 269.7378),(58 272.61575),(59 268.69058),(60 268.79822),(61 268.06418),(62 268.5633),(63 265.14554),(64 261.18716),(65 261.54846),(66 263.16406),(67 258.17844),(68 261.1279),(69 261.91794),(70 259.22946),(71 258.74802),(72 261.39838),(73 264.11273),(74 270.47467),(75 270.9341),(76 268.74332),(77 271.75192),(78 271.65335),(79 271.74606),
(1 157.99019),(2 190.50609),(3 202.63051),(4 213.26013),(5 221.46751),(6 224.39166),(7 227.92285),(8 234.43709),(9 237.44873),(10 238.18013),(11 239.2245),(12 241.80995),(13 241.03423),(14 242.93658),(15 244.24455),(16 244.50476),(17 247.32013),(18 248.35417),(19 250.39417),(20 251.69429),(21 253.07451),(22 252.29124),(23 252.24458),(24 252.90596),(25 252.0741),(26 254.75636),(27 257.84253),(28 255.05757),(29 257.18787),(30 253.58337),(31 252.94487),(32 250.96481),(33 251.49016),(34 247.89723),(35 246.45807),(36 249.63684),(37 253.7845),(38 253.85959),(39 252.15833),(40 249.60654),(41 249.45926),(42 252.89383),(43 254.8575),(44 254.69797),(45 250.575),(46 255.27611),(47 252.5815),(48 255.3927),(49 256.5187),(50 255.23561),(51 255.85301),(52 256.96054),(53 256.3717),(54 253.31596),(55 256.96082),(56 259.50583),(57 260.38028),(58 260.5003),(59 258.68024),(60 259.93115),(61 254.96759),(62 257.33392),(63 257.93796),(64 253.71503),(65 255.716),(66 254.88516),(67 252.58582),(68 253.26382),(69 256.55493),(70 255.47058),(71 258.7455),(72 261.7601),(73 260.75787),(74 262.50235),(75 260.64093),(76 261.44205),(77 265.11246),(78 265.8076),(79 265.46646),
(1 155.36496),(2 185.23251),(3 195.81332),(4 204.20816),(5 211.30383),(6 216.70818),(7 216.51866),(8 221.54744),(9 224.17894),(10 229.88799),(11 229.15395),(12 230.98592),(13 231.80498),(14 234.38016),(15 237.63062),(16 234.46954),(17 239.83154),(18 240.94354),(19 244.25278),(20 243.65536),(21 242.88979),(22 241.3534),(23 239.81615),(24 240.99416),(25 244.60564),(26 247.03381),(27 244.9803),(28 245.54803),(29 245.18153),(30 241.19302),(31 243.25342),(32 243.86601),(33 243.57616),(34 243.5906),(35 245.25851),(36 243.94083),(37 246.19284),(38 244.47047),(39 244.18192),(40 244.61458),(41 243.53377),(42 240.74992),(43 243.16486),(44 244.2149),(45 242.40764),(46 243.40576),(47 242.40588),(48 244.23775),(49 243.48811),(50 241.16766),(51 242.94733),(52 239.77203),(53 238.02803),(54 239.58794),(55 242.59698),(56 235.96213),(57 240.37993),(58 243.78168),(59 241.15822),(60 242.98535),(61 243.92204),(62 247.69543),(63 243.15076),(64 243.90637),(65 245.40714),(66 245.91588),(67 246.3388),(68 249.79303),(69 246.38145),(70 245.05061),(71 248.20088),(72 252.56367),(73 249.8571),(74 251.88002),(75 252.57597),(76 252.35414),(77 253.90245),(78 251.22676),(79 250.05922),
(1 152.95871),(2 182.78127),(3 195.3774),(4 200.66232),(5 208.86043),(6 213.19711),(7 216.94048),(8 219.67274),(9 219.66595),(10 222.27339),(11 225.01566),(12 227.00992),(13 228.20541),(14 230.55496),(15 230.96262),(16 231.47894),(17 233.40637),(18 236.35289),(19 235.47595),(20 237.49966),(21 238.88995),(22 237.38753),(23 239.74567),(24 241.29382),(25 242.70013),(26 240.25072),(27 243.10327),(28 243.43878),(29 242.22699),(30 240.7283),(31 243.00134),(32 244.31023),(33 247.03076),(34 249.36496),(35 247.95605),(36 250.70125),(37 247.40106),(38 245.17763),(39 244.86797),(40 250.8005),(41 249.1932),(42 248.98593),(43 243.15054),(44 247.22055),(45 243.36357),(46 245.53386),(47 245.36703),(48 246.447),(49 245.80336),(50 245.48381),(51 245.99097),(52 244.50455),(53 241.94716),(54 239.30898),(55 241.1847),(56 239.0675),(57 240.1723),(58 240.73558),(59 238.65643),(60 237.68468),(61 242.62518),(62 240.5139),(63 240.7023),(64 241.58617),(65 239.87883),(66 241.38046),(67 245.30585),(68 242.5624),(69 242.02269),(70 241.07948),(71 241.66402),(72 244.98297),(73 242.8781),(74 243.41101),(75 245.66066),(76 244.27275),(77 242.5154),(78 246.88564),(79 247.65367),
(1 144.68391),(2 174.60153),(3 189.61247),(4 196.04233),(5 201.589),(6 206.41524),(7 210.17827),(8 214.14975),(9 214.17555),(10 216.80681),(11 220.56467),(12 222.22208),(13 223.07184),(14 225.53615),(15 229.25781),(16 233.7672),(17 233.08885),(18 234.28906),(19 233.14587),(20 231.00494),(21 233.2951),(22 229.04106),(23 228.39897),(24 231.60524),(25 231.81792),(26 232.25623),(27 230.70467),(28 228.2287),(29 226.43617),(30 227.83334),(31 228.45149),(32 229.02362),(33 229.72755),(34 232.7118),(35 230.00533),(36 231.3035),(37 230.67195),(38 230.776),(39 230.21037),(40 233.1681),(41 233.73698),(42 233.2591),(43 232.8559),(44 235.07445),(45 233.23589),(46 233.63702),(47 238.6701),(48 235.2447),(49 233.61629),(50 237.77776),(51 238.38358),(52 235.19783),(53 234.61047),(54 234.79234),(55 236.08295),(56 239.25453),(57 237.88493),(58 240.65392),(59 238.06589),(60 242.3494),(61 245.61055),(62 245.53146),(63 247.1431),(64 246.72588),(65 243.9999),(66 243.47412),(67 246.85826),(68 247.61424),(69 247.40556),(70 247.62057),(71 247.75948),(72 246.63295),(73 246.92303),(74 246.9995),(75 244.37248),(76 245.0317),(77 245.94269),(78 244.08514),(79 242.31073),
