1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10057.243),(2 19226.768),(3 36731.035),(4 50073.188),(5 65327.375),(6 84493.54),(7 100567.336),(8 119982.85),(9 138023.98),(10 160949.52),(11 179460.3),(12 198856.61),(13 218755.38),(14 244636.55),(15 271690.97),(16 293235.4),(17 324107.66),(18 346225),(19 378570.66),(20 404204.9),(21 437079.5),(22 464450.4),(23 495345.63),(24 533682.1),(25 561207.3),(26 603803.56),(27 648907.56),(28 686301),(29 748626.75),(30 797596.7),(31 853624),(32 895538.2),(33 946687.5),(34 990221.3),(35 1018615.75),(36 1057776.4),(37 1088006.9),(38 1120041.6),(39 1150585.1),(40 1173693),(41 1214951.1),(42 1240152.5),(43 1282165.6),(44 1320941.5),(45 1365828),(46 1401718.9),(47 1441896),(48 1493911.6),(49 1547797),(50 1617400),(51 1665607),(52 1707693.9),(53 1791074.9),(54 1856755.9),(55 1949156.6),(56 2040552.1),(57 2146827.8),(58 2241098.3),(59 2331843.3),(60 2459268.3),(61 2538413.3),(62 2667685),(63 2796381.3),(64 2901588.3),(65 3045084),(66 3178348),(67 3322618),(68 3467919),(69 3652850.8),(70 3792383.3),(71 3983009.3),(72 4199601.5),(73 4366218.5),(74 4551047.5),(75 4728876.5),(76 4878777),(77 5069628),(78 5237187),(79 5393818),
(1 150.97668),(2 191.09656),(3 207.81384),(4 216.89076),(5 222.70111),(6 230.46063),(7 236.22986),(8 243.85963),(9 247.82327),(10 248.48004),(11 248.00484),(12 246.27602),(13 248.42665),(14 250.2213),(15 246.84029),(16 248.81693),(17 247.66962),(18 247.4005),(19 250.2455),(20 251.13823),(21 253.81804),(22 253.99382),(23 254.69554),(24 255.32495),(25 254.89694),(26 254.46332),(27 259.2969),(28 254.85315),(29 255.09732),(30 260.72278),(31 261.4958),(32 262.0261),(33 262.8324),(34 263.796),(35 262.62048),(36 265.32248),(37 267.24576),(38 270.59344),(39 273.00238),(40 273.39453),(41 274.34082),(42 275.36148),(43 274.8875),(44 277.83344),(45 277.46173),(46 278.74875),(47 276.82727),(48 277.4512),(49 275.42862),(50 276.66605),(51 279.65088),(52 279.78748),(53 278.95847),(54 276.9552),(55 280.5172),(56 281.22287),(57 280.9641),(58 281.24835),(59 279.74152),(60 280.188),(61 279.21637),(62 280.19177),(63 280.35754),(64 281.9045),(65 281.73083),(66 282.4822),(67 277.4037),(68 276.2968),(69 276.06647),(70 277.0433),(71 278.37183),(72 276.87598),(73 280.14157),(74 277.7485),(75 276.28265),(76 275.83533),(77 276.22348),(78 276.687),(79 274.54517),
(1 146.61035),(2 182.14508),(3 200.89711),(4 210.09729),(5 215.20041),(6 222.3128),(7 225.42941),(8 230.22089),(9 234.45192),(10 236.11064),(11 238.74893),(12 236.82877),(13 239.75961),(14 243.05743),(15 241.1046),(16 243.19147),(17 244.44302),(18 244.21011),(19 245.56209),(20 246.56184),(21 248.7921),(22 251.15979),(23 249.74878),(24 253.14465),(25 251.81288),(26 251.88313),(27 255.25476),(28 252.98283),(29 250.78418),(30 252.96252),(31 253.82771),(32 253.99434),(33 256.22424),(34 257.63263),(35 258.81247),(36 260.44788),(37 262.82642),(38 265.36633),(39 264.0532),(40 263.71054),(41 263.52524),(42 262.4631),(43 261.0735),(44 263.1574),(45 262.66968),(46 264.26532),(47 263.94962),(48 264.8581),(49 262.57922),(50 267.1028),(51 270.48633),(52 269.9928),(53 267.51025),(54 267.70398),(55 269.62857),(56 269.89478),(57 273.85522),(58 273.35522),(59 273.0462),(60 273.8942),(61 272.2427),(62 272.2129),(63 276.66055),(64 276.84717),(65 276.65134),(66 276.17273),(67 272.22943),(68 273.19427),(69 278.09143),(70 278.0482),(71 277.74548),(72 276.29788),(73 277.20697),(74 279.48645),(75 280.92697),(76 280.32642),(77 282.81793),(78 281.6173),(79 279.46106),
(1 145.65494),(2 183.63882),(3 202.18193),(4 208.46518),(5 214.8188),(6 218.79568),(7 222.35191),(8 224.75107),(9 230.03615),(10 231.00679),(11 235.95766),(12 235.35542),(13 236.61148),(14 236.77225),(15 240.68568),(16 241.86824),(17 242.342),(18 241.4708),(19 245.4775),(20 243.67786),(21 247.26659),(22 248.50026),(23 246.29662),(24 250.09392),(25 248.81007),(26 250.77698),(27 253.26231),(28 252.61061),(29 253.79608),(30 251.39577),(31 254.63939),(32 254.30711),(33 255.42264),(34 256.45786),(35 258.78726),(36 257.52554),(37 258.62543),(38 261.94565),(39 261.3137),(40 261.60364),(41 266.15335),(42 263.96338),(43 261.889),(44 261.1864),(45 263.76086),(46 266.20828),(47 262.55112),(48 267.84833),(49 265.92514),(50 268.92783),(51 266.6086),(52 266.3758),(53 268.58258),(54 269.76544),(55 269.59543),(56 269.63992),(57 271.1728),(58 269.6787),(59 267.94772),(60 268.13748),(61 265.52658),(62 266.17828),(63 268.13513),(64 269.19278),(65 269.91196),(66 269.28186),(67 272.81436),(68 270.10168),(69 273.76654),(70 274.90295),(71 274.7074),(72 271.47302),(73 274.09503),(74 275.21143),(75 274.61707),(76 274.37784),(77 276.28265),(78 275.3419),(79 274.1965),
(1 144.4034),(2 178.96413),(3 191.65651),(4 201.81322),(5 209.00307),(6 210.84608),(7 216.95145),(8 222.1938),(9 224.98262),(10 227.21123),(11 232.27324),(12 233.081),(13 234.57329),(14 236.3686),(15 236.2473),(16 238.9785),(17 241.90181),(18 241.8627),(19 243.39731),(20 241.54436),(21 243.32234),(22 245.75409),(23 244.60046),(24 245.46431),(25 245.09077),(26 246.244),(27 248.77759),(28 248.5859),(29 248.0191),(30 248.71149),(31 253.00702),(32 252.00842),(33 251.38744),(34 251.81049),(35 251.1242),(36 251.5359),(37 252.73322),(38 257.25687),(39 253.7746),(40 256.52634),(41 256.58835),(42 256.7128),(43 257.21243),(44 257.6102),(45 258.48032),(46 260.25262),(47 258.7933),(48 260.9793),(49 260.5923),(50 263.78906),(51 263.54565),(52 262.24173),(53 264.22653),(54 266.78415),(55 265.3024),(56 265.144),(57 269.8457),(58 272.72925),(59 268.6033),(60 265.1038),(61 267.20248),(62 268.15723),(63 267.62433),(64 267.71716),(65 268.2662),(66 269.53503),(67 269.60107),(68 268.30966),(69 269.09695),(70 269.64676),(71 269.21994),(72 269.14087),(73 270.29068),(74 268.71774),(75 269.3864),(76 268.85324),(77 268.89502),(78 271.6461),(79 268.47034),
(1 141.31708),(2 176.59312),(3 191.6085),(4 199.54941),(5 206.79141),(6 211.86856),(7 216.3676),(8 221.54625),(9 226.38916),(10 228.63228),(11 231.07794),(12 231.258),(13 232.74937),(14 235.00394),(15 233.64485),(16 234.4764),(17 235.14241),(18 235.7786),(19 235.00052),(20 234.89983),(21 235.25046),(22 236.06279),(23 236.05284),(24 236.95139),(25 236.2074),(26 237.4839),(27 239.21706),(28 238.65547),(29 236.71347),(30 237.72136),(31 239.09413),(32 241.50233),(33 241.03218),(34 242.34805),(35 241.27824),(36 245.75969),(37 244.88834),(38 248.60585),(39 248.42056),(40 246.51749),(41 247.1738),(42 250.8779),(43 251.71986),(44 251.50447),(45 251.30919),(46 253.78369),(47 252.10188),(48 255.84944),(49 256.5789),(50 260.4125),(51 260.30957),(52 260.48206),(53 259.66534),(54 260.59824),(55 262.3262),(56 264.37262),(57 265.0527),(58 265.51025),(59 263.37244),(60 260.65506),(61 261.56323),(62 261.80353),(63 258.77225),(64 258.17502),(65 260.31747),(66 258.25),(67 259.10706),(68 261.87347),(69 262.95728),(70 262.5055),(71 263.81705),(72 265.092),(73 262.9179),(74 264.15704),(75 265.9937),(76 266.6675),(77 263.84485),(78 264.17752),(79 264.7098),
(1 140.96935),(2 177.14508),(3 189.23009),(4 197.67494),(5 206.32338),(6 211.01028),(7 215.93185),(8 218.41585),(9 223.62651),(10 225.3153),(11 228.4323),(12 229.60403),(13 231.4288),(14 233.1392),(15 230.11687),(16 230.1168),(17 230.32211),(18 232.1218),(19 229.74364),(20 230.7296),(21 233.78973),(22 235.6966),(23 234.24367),(24 232.14644),(25 232.29689),(26 234.61047),(27 234.92662),(28 234.9525),(29 237.42918),(30 238.75398),(31 240.28214),(32 238.95264),(33 240.40858),(34 240.50864),(35 239.9457),(36 242.43935),(37 240.22299),(38 247.86777),(39 247.39957),(40 246.89441),(41 248.7073),(42 250.06335),(43 250.77774),(44 253.52722),(45 253.49446),(46 254.27644),(47 253.01175),(48 257.6265),(49 257.1364),(50 260.13007),(51 258.69925),(52 257.07748),(53 257.15335),(54 256.08444),(55 259.5942),(56 257.87292),(57 260.00107),(58 259.05182),(59 257.77036),(60 259.12546),(61 260.6834),(62 264.0044),(63 262.29413),(64 261.4103),(65 263.20792),(66 261.77008),(67 263.69455),(68 262.59256),(69 263.41992),(70 261.9104),(71 263.25928),(72 261.5996),(73 259.55426),(74 263.13278),(75 261.03793),(76 262.3755),(77 261.14087),(78 261.10864),(79 262.48453),
(1 141.01866),(2 175.38106),(3 190.16922),(4 199.20456),(5 205.8873),(6 211.18681),(7 216.85417),(8 217.36017),(9 222.33646),(10 224.47112),(11 227.67664),(12 228.94131),(13 227.93048),(14 233.07652),(15 229.34529),(16 229.65382),(17 230.81493),(18 232.50037),(19 233.63416),(20 232.09155),(21 233.6158),(22 234.91382),(23 234.4227),(24 232.41835),(25 232.85799),(26 232.4849),(27 234.12741),(28 234.57417),(29 237.64095),(30 238.39438),(31 240.22969),(32 239.57663),(33 240.21355),(34 240.2379),(35 240.4163),(36 244.31761),(37 243.76532),(38 247.97577),(39 248.52316),(40 249.91254),(41 246.57468),(42 248.20436),(43 249.01947),(44 249.55574),(45 248.90149),(46 248.13226),(47 247.08032),(48 249.55577),(49 249.59862),(50 252.55266),(51 253.42886),(52 254.74866),(53 257.4368),(54 258.70355),(55 255.57184),(56 257.6657),(57 257.55878),(58 259.18155),(59 260.86398),(60 259.39136),(61 255.467),(62 259.11755),(63 258.58804),(64 255.66122),(65 257.12445),(66 256.8948),(67 257.209),(68 258.66898),(69 257.1334),(70 257.84213),(71 256.21158),(72 259.2707),(73 259.70837),(74 260.2612),(75 259.817),(76 258.73584),(77 259.6641),(78 260.3243),(79 258.5032),
(1 136.66231),(2 170.76498),(3 185.26982),(4 192.85683),(5 194.96988),(6 200.46397),(7 205.23953),(8 210.83449),(9 214.57881),(10 215.47313),(11 216.19678),(12 217.2453),(13 221.25487),(14 222.7845),(15 220.1206),(16 221.7114),(17 225.13437),(18 225.75163),(19 226.01326),(20 223.07262),(21 226.42604),(22 228.4459),(23 230.08882),(24 228.25836),(25 228.3839),(26 228.7681),(27 229.04105),(28 227.00229),(29 225.90654),(30 227.82396),(31 227.8529),(32 230.0563),(33 232.93977),(34 232.13446),(35 230.95673),(36 233.42386),(37 232.06337),(38 236.5208),(39 237.66466),(40 239.12845),(41 240.12051),(42 241.75923),(43 241.93814),(44 244.12277),(45 246.29698),(46 246.83144),(47 244.84174),(48 247.61595),(49 246.52258),(50 249.81297),(51 249.35052),(52 249.93849),(53 251.57053),(54 253.18268),(55 252.6237),(56 257.19324),(57 257.1389),(58 259.3262),(59 258.19153),(60 257.30957),(61 255.24455),(62 258.92896),(63 257.42334),(64 256.40164),(65 255.15135),(66 255.05142),(67 253.07489),(68 252.80232),(69 251.4734),(70 252.59944),(71 252.30238),(72 253.96129),(73 255.10956),(74 253.74287),(75 256.35645),(76 258.06284),(77 255.09264),(78 255.5983),(79 256.8829),
(1 135.72089),(2 167.69788),(3 179.79254),(4 186.13509),(5 192.6808),(6 196.72133),(7 201.78412),(8 204.8149),(9 210.62871),(10 213.29305),(11 211.32253),(12 214.10973),(13 216.83496),(14 218.26854),(15 216.58765),(16 218.55827),(17 219.08768),(18 220.90936),(19 221.28917),(20 221.72127),(21 219.70164),(22 221.32181),(23 222.93022),(24 221.31912),(25 222.39732),(26 224.21553),(27 224.5878),(28 225.79532),(29 226.0643),(30 227.62428),(31 226.42908),(32 225.85562),(33 226.272),(34 226.93088),(35 225.02408),(36 227.1388),(37 226.8724),(38 229.82106),(39 230.84914),(40 232.12016),(41 231.4647),(42 232.69243),(43 236.71242),(44 237.65498),(45 241.08485),(46 243.34618),(47 240.8343),(48 240.70021),(49 240.18489),(50 244.41753),(51 245.0531),(52 241.6161),(53 240.07478),(54 240.80315),(55 244.0344),(56 242.95572),(57 244.72485),(58 243.84181),(59 242.68126),(60 243.09267),(61 242.89795),(62 243.31387),(63 242.48857),(64 243.14828),(65 242.20729),(66 242.35257),(67 245.24557),(68 243.19925),(69 240.34818),(70 243.25876),(71 244.0149),(72 245.30028),(73 246.09409),(74 247.49751),(75 244.93135),(76 245.03058),(77 246.1969),(78 242.49152),(79 243.075),
(1 131.96648),(2 164.31378),(3 179.78456),(4 186.36472),(5 193.638),(6 197.83437),(7 202.6747),(8 202.12979),(9 207.62144),(10 210.42406),(11 211.00896),(12 214.9201),(13 217.46074),(14 218.92802),(15 215.01152),(16 215.00563),(17 216.45883),(18 218.28014),(19 221.67996),(20 219.76566),(21 218.73004),(22 219.48825),(23 218.72801),(24 219.48668),(25 221.411),(26 222.2187),(27 219.63324),(28 220.2602),(29 221.67041),(30 220.8923),(31 221.85245),(32 220.68483),(33 219.2517),(34 218.86394),(35 217.42888),(36 219.92123),(37 221.38058),(38 223.52638),(39 223.57625),(40 224.18422),(41 226.36583),(42 228.04329),(43 228.62685),(44 230.15681),(45 230.65395),(46 229.4477),(47 229.51657),(48 232.5661),(49 233.12021),(50 236.42107),(51 236.88855),(52 234.85199),(53 236.7853),(54 236.7925),(55 239.56628),(56 238.57884),(57 240.54358),(58 240.83711),(59 237.99535),(60 239.98402),(61 238.56648),(62 239.36562),(63 240.21579),(64 240.39644),(65 239.6069),(66 237.2456),(67 237.37392),(68 237.87477),(69 239.2575),(70 240.21732),(71 240.36026),(72 239.8057),(73 239.08334),(74 241.57599),(75 241.3195),(76 241.80719),(77 241.79832),(78 240.5151),(79 241.80582),
(1 134.7905),(2 167.39491),(3 180.58813),(4 187.60524),(5 195.93658),(6 201.31865),(7 203.43085),(8 207.03114),(9 211.55206),(10 212.89523),(11 211.84392),(12 215.31407),(13 213.97362),(14 214.83069),(15 213.78145),(16 214.48817),(17 214.06099),(18 215.27525),(19 218.37233),(20 218.02228),(21 219.21634),(22 221.6007),(23 220.32838),(24 221.53162),(25 223.97754),(26 222.34125),(27 224.63792),(28 224.171),(29 224.0272),(30 223.06552),(31 227.46483),(32 227.46783),(33 227.31033),(34 229.75648),(35 228.3732),(36 231.26318),(37 231.11589),(38 235.49399),(39 235.37483),(40 235.51044),(41 231.55397),(42 230.17345),(43 231.20474),(44 230.43489),(45 232.47285),(46 234.25562),(47 232.82893),(48 234.11104),(49 232.58797),(50 237.25432),(51 236.32756),(52 234.69318),(53 236.25241),(54 236.01091),(55 237.30002),(56 236.2601),(57 241.03268),(58 239.90808),(59 239.68),(60 240.6622),(61 239.1271),(62 242.27673),(63 242.57483),(64 242.63155),(65 244.51158),(66 243.58717),(67 242.28716),(68 243.52817),(69 243.22466),(70 242.6955),(71 243.21785),(72 244.93452),(73 244.62169),(74 245.65755),(75 245.28093),(76 244.08432),(77 247.0465),(78 244.11806),(79 243.56999),
(1 130.83641),(2 163.14539),(3 174.55891),(4 180.73087),(5 187.95953),(6 194.83615),(7 198.99608),(8 198.97589),(9 205.22874),(10 208.15767),(11 207.25067),(12 210.64713),(13 214.07162),(14 213.8266),(15 211.71933),(16 210.21686),(17 210.90321),(18 212.69012),(19 213.36563),(20 213.30571),(21 213.6783),(22 212.46501),(23 211.04262),(24 212.80667),(25 212.62973),(26 213.14163),(27 215.76819),(28 215.60506),(29 217.88718),(30 217.1709),(31 217.41257),(32 218.18275),(33 220.14204),(34 222.00728),(35 221.52191),(36 222.95746),(37 221.17389),(38 225.4367),(39 225.51387),(40 228.43582),(41 227.80728),(42 229.1862),(43 227.18654),(44 227.02254),(45 228.22414),(46 230.46353),(47 228.92778),(48 231.44467),(49 231.62634),(50 235.85204),(51 234.05113),(52 235.54767),(53 234.90312),(54 234.50969),(55 233.5014),(56 235.9437),(57 238.71432),(58 239.31511),(59 237.0286),(60 235.34727),(61 235.58714),(62 237.93109),(63 235.58278),(64 237.39694),(65 238.19643),(66 234.9869),(67 236.42203),(68 237.96545),(69 237.26251),(70 236.67085),(71 235.26443),(72 237.1697),(73 238.82019),(74 238.61026),(75 239.07065),(76 239.41576),(77 240.05865),(78 241.98943),(79 241.66498),
(1 127.081474),(2 157.3889),(3 170.05663),(4 176.82668),(5 183.31406),(6 189.08794),(7 194.51593),(8 197.84494),(9 200.84589),(10 203.20227),(11 204.297),(12 206.0583),(13 205.95355),(14 204.70818),(15 204.98781),(16 207.50363),(17 206.90126),(18 207.2769),(19 208.17839),(20 210.4439),(21 208.85452),(22 207.60115),(23 208.70032),(24 208.51637),(25 212.81236),(26 212.61195),(27 209.81683),(28 208.6342),(29 214.73819),(30 212.75882),(31 214.89644),(32 213.82608),(33 215.90982),(34 217.36821),(35 216.80177),(36 218.21313),(37 219.69122),(38 222.05318),(39 223.22153),(40 224.7706),(41 224.41132),(42 223.99515),(43 225.31758),(44 226.21478),(45 228.10176),(46 229.4358),(47 228.26851),(48 229.84561),(49 229.79521),(50 231.26085),(51 232.06383),(52 230.28268),(53 229.16461),(54 229.26123),(55 229.29555),(56 230.56378),(57 230.60371),(58 232.94017),(59 232.80183),(60 232.37529),(61 230.26746),(62 233.57497),(63 231.68535),(64 232.97363),(65 233.00139),(66 232.95354),(67 232.68263),(68 231.51944),(69 230.93436),(70 232.31735),(71 232.26804),(72 232.31133),(73 234.76285),(74 234.39893),(75 235.22739),(76 234.74536),(77 234.00848),(78 234.5112),(79 233.85744),
(1 124.98308),(2 156.52003),(3 167.6071),(4 175.65523),(5 183.851),(6 189.22815),(7 194.68333),(8 197.93149),(9 200.6328),(10 203.34282),(11 203.68185),(12 207.2194),(13 208.6138),(14 209.52312),(15 211.81305),(16 212.90585),(17 211.9301),(18 210.06535),(19 210.88863),(20 208.89993),(21 212.17397),(22 210.54355),(23 208.64015),(24 211.349),(25 211.99588),(26 211.83124),(27 211.55458),(28 209.34924),(29 210.52574),(30 211.00545),(31 213.97884),(32 214.78804),(33 215.47823),(34 217.30592),(35 214.46672),(36 217.6834),(37 217.05704),(38 222.10962),(39 221.21388),(40 222.84766),(41 221.6877),(42 222.5659),(43 224.70544),(44 225.02681),(45 225.70421),(46 226.80125),(47 226.56348),(48 227.97067),(49 228.8092),(50 227.66927),(51 227.0575),(52 226.92336),(53 229.38338),(54 228.36577),(55 230.74675),(56 231.73132),(57 231.39378),(58 231.89554),(59 230.68182),(60 232.9898),(61 230.30087),(62 231.64607),(63 230.31424),(64 231.56358),(65 231.45856),(66 231.97012),(67 230.63368),(68 230.87286),(69 231.62703),(70 229.05426),(71 231.42429),(72 232.16936),(73 234.07402),(74 232.5334),(75 232.6076),(76 231.88628),(77 232.66211),(78 230.0201),(79 233.18176),
(1 125.15737),(2 153.20488),(3 165.7408),(4 173.18622),(5 180.0617),(6 183.43962),(7 187.79848),(8 192.79494),(9 195.22554),(10 196.98499),(11 196.93864),(12 198.44627),(13 199.7715),(14 199.34435),(15 201.74799),(16 202.44978),(17 204.76486),(18 202.16058),(19 203.76393),(20 202.49467),(21 203.70995),(22 204.83815),(23 205.76906),(24 205.20041),(25 206.46207),(26 206.35667),(27 206.82022),(28 205.61513),(29 205.44243),(30 206.47487),(31 208.46927),(32 206.3662),(33 209.43484),(34 211.00337),(35 209.50394),(36 211.89458),(37 211.36568),(38 213.2181),(39 213.55986),(40 214.60165),(41 213.56819),(42 216.23003),(43 217.84451),(44 216.91762),(45 218.9224),(46 220.59897),(47 217.91899),(48 218.28125),(49 217.80348),(50 218.7697),(51 221.21127),(52 219.16333),(53 221.13965),(54 218.26729),(55 219.14856),(56 221.31645),(57 222.01341),(58 221.62453),(59 219.40175),(60 221.05304),(61 221.9837),(62 222.08688),(63 221.51546),(64 221.1803),(65 222.942),(66 225.46667),(67 225.05565),(68 224.43349),(69 224.33907),(70 225.20068),(71 226.30804),(72 228.87067),(73 229.85861),(74 229.47653),(75 227.6748),(76 227.05788),(77 227.63283),(78 227.55418),(79 229.20552),
(1 124.726425),(2 152.9723),(3 163.32513),(4 170.91754),(5 178.44434),(6 181.61816),(7 183.8627),(8 187.91212),(9 190.27966),(10 192.97499),(11 195.51726),(12 195.28482),(13 197.17004),(14 198.01266),(15 198.1499),(16 197.61264),(17 200.86919),(18 198.70764),(19 200.143),(20 198.9458),(21 200.13345),(22 201.60542),(23 200.52419),(24 200.28545),(25 201.81715),(26 203.1243),(27 202.0728),(28 202.2004),(29 204.1683),(30 202.86511),(31 200.92345),(32 201.64595),(33 202.76027),(34 205.16023),(35 203.30428),(36 204.92989),(37 207.00201),(38 210.09248),(39 212.0356),(40 213.78769),(41 213.86252),(42 212.14948),(43 215.48727),(44 215.25883),(45 215.11958),(46 215.93915),(47 211.4215),(48 211.90866),(49 214.18555),(50 212.78645),(51 213.90717),(52 214.13884),(53 218.13133),(54 216.01399),(55 217.06607),(56 219.66129),(57 219.27779),(58 219.57774),(59 217.55832),(60 217.25912),(61 219.76157),(62 220.3997),(63 219.06903),(64 219.40587),(65 221.48277),(66 219.45236),(67 221.02295),(68 221.55093),(69 222.01741),(70 220.90385),(71 220.55475),(72 222.98056),(73 222.55368),(74 224.94243),(75 224.1705),(76 223.46732),(77 225.12593),(78 223.8423),(79 225.46829),
(1 121.964424),(2 150.9007),(3 161.1839),(4 168.95462),(5 175.02101),(6 179.75468),(7 182.9728),(8 187.6261),(9 192.2097),(10 191.57645),(11 191.56323),(12 191.10854),(13 193.75952),(14 195.51616),(15 194.00783),(16 196.66522),(17 194.9719),(18 196.37735),(19 196.5327),(20 194.89496),(21 198.02437),(22 198.571),(23 199.98213),(24 198.78984),(25 201.53146),(26 202.06479),(27 199.71024),(28 200.22763),(29 201.6558),(30 199.83218),(31 199.7355),(32 199.63959),(33 201.82823),(34 202.02036),(35 201.7984),(36 201.19977),(37 202.15169),(38 206.18076),(39 206.32227),(40 206.11716),(41 207.06064),(42 206.6577),(43 206.85657),(44 207.15414),(45 208.85388),(46 209.33356),(47 208.53065),(48 208.38942),(49 211.41296),(50 213.44447),(51 212.62064),(52 211.32939),(53 212.53488),(54 211.83423),(55 214.1807),(56 212.88867),(57 214.70348),(58 214.7399),(59 215.79305),(60 215.70052),(61 216.55472),(62 217.0204),(63 215.58818),(64 214.04004),(65 214.91934),(66 215.15123),(67 214.08511),(68 217.12885),(69 215.2463),(70 215.373),(71 214.99681),(72 217.20142),(73 218.47903),(74 218.02652),(75 219.88766),(76 217.8568),(77 216.86856),(78 216.21545),(79 214.67546),
