1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64015.95),(2 223225.33),(3 451331.84),(4 747201.75),(5 1107721),(6 1533543),(7 2092975.9),(8 2674028.3),(9 3222694),(10 3843575.3),(11 4578308.5),(12 5453444.5),(13 6461720.5),(14 7506558.5),(15 8566987),(16 9645912),(17 10810431),(18 11976321),(19 13098881),(20 14290029),(21 15506509),(22 16736989),(23 18222818),(24 19892026),(25 21684882),(26 23623162),(27 25669816),(28 27773214),(29 29981370),(30 32504880),(31 35102180),(32 37713256),(33 40326500),(34 43085856),(35 45917788),(36 48812100),(37 51879852),(38 55181484),(39 58440308),(40 62237660),(41 66226292),(42 70549120),(43 75357570),(44 80476870),(45 85939496),(46 91650090),(47 97501750),(48 103168870),(49 108959130),(50 113971290),(51 118582104),(52 123806456),(53 129421920),(54 134831890),(55 139897380),(56 144967660),(57 149449810),(58 154173900),(59 158719200),(60 162785200),(61 165962610),(62 168683120),(63 171037630),(64 172929400),(65 173988460),(66 174609140),(67 175354240),(68 175454640),(69 175436110),(70 175300050),(71 175693170),(72 176556560),(73 177427090),(74 178479760),(75 179579520),(76 180866990),(77 181967800),(78 183410610),(79 185099120),
(1 860.7716),(2 1241.6838),(3 1527.4939),(4 1711.9089),(5 1890.7184),(6 2016.0837),(7 2109.8955),(8 2251.7856),(9 2329.485),(10 2413.4146),(11 2486.1958),(12 2545.2292),(13 2600.1772),(14 2642.7224),(15 2689.3984),(16 2714.0493),(17 2736.9448),(18 2780.2068),(19 2801.609),(20 2818.996),(21 2862.9602),(22 2899.3032),(23 2970.0652),(24 2976.7253),(25 2995.2837),(26 3015.261),(27 3024.8926),(28 3043.5112),(29 3048.6592),(30 3062.7488),(31 3064.621),(32 3065.6912),(33 3076.6758),(34 3104.4146),(35 3109.6814),(36 3104.6978),(37 3125.1218),(38 3129.2607),(39 3106.0325),(40 3104.694),(41 3089.829),(42 3099.9167),(43 3101.1384),(44 3107.8733),(45 3120.9656),(46 3136.8264),(47 3147.9592),(48 3128.776),(49 3146.0618),(50 3130.8696),(51 3159.3804),(52 3167.4436),(53 3187.816),(54 3199.9165),(55 3186.0146),(56 3188.551),(57 3188.695),(58 3198.127),(59 3188.9023),(60 3181.9128),(61 3224.4607),(62 3197.7212),(63 3229.4165),(64 3224.8843),(65 3214.1409),(66 3191.7607),(67 3192.6587),(68 3216.674),(69 3225.2285),(70 3232.333),(71 3248.8875),(72 3264.5757),(73 3271.7612),(74 3260.1738),(75 3276.5337),(76 3295.6863),(77 3317.5588),(78 3320.096),(79 3330.7058),
(1 844.7411),(2 1216.4193),(3 1514.681),(4 1702.755),(5 1861.7891),(6 1996.1816),(7 2102.7969),(8 2232.6162),(9 2319.9392),(10 2396.4646),(11 2459.475),(12 2521.917),(13 2557.6892),(14 2600.0786),(15 2658.6533),(16 2685.6108),(17 2721.5503),(18 2748.1506),(19 2786.2908),(20 2831.5403),(21 2892.415),(22 2897.0989),(23 2956.8003),(24 2953.9014),(25 2976.3967),(26 2981.324),(27 2995.1345),(28 3005.6926),(29 2992.3975),(30 2980.604),(31 2990.7944),(32 2990.2769),(33 2994.9148),(34 2994.655),(35 2994.0347),(36 2992.7805),(37 2989.8608),(38 2983.4534),(39 2979.16),(40 2978.1816),(41 2987.2844),(42 2983.623),(43 2998.8162),(44 2990.468),(45 2995.2139),(46 3010.036),(47 3025.3586),(48 3038.8284),(49 3051.8406),(50 3053.9644),(51 3068.5293),(52 3083.877),(53 3114.0823),(54 3121.7488),(55 3127.5857),(56 3144.393),(57 3142.408),(58 3143.1018),(59 3151.069),(60 3177.5706),(61 3202.831),(62 3173.5935),(63 3165.376),(64 3170.637),(65 3161.7554),(66 3151.6733),(67 3161.739),(68 3208.1958),(69 3216.5298),(70 3231.8315),(71 3248.8093),(72 3259.3916),(73 3280.64),(74 3265.7305),(75 3290.4658),(76 3317.3723),(77 3350.1772),(78 3344.8665),(79 3350.535),
(1 818.4681),(2 1164.1554),(3 1450.6761),(4 1619.3752),(5 1774.7834),(6 1912.8484),(7 2019.945),(8 2171.6587),(9 2252.414),(10 2311.4475),(11 2376.775),(12 2431.2986),(13 2472.705),(14 2497.2786),(15 2532.834),(16 2580.3672),(17 2585.3801),(18 2574.9788),(19 2622.577),(20 2641.8186),(21 2669.539),(22 2683.918),(23 2749.6511),(24 2758.7764),(25 2761.7825),(26 2772.6448),(27 2811.986),(28 2803.3044),(29 2820.6829),(30 2826.553),(31 2838.4993),(32 2834.6714),(33 2838.6807),(34 2846.4285),(35 2856.1567),(36 2866.9155),(37 2870.8262),(38 2868.6233),(39 2879.6016),(40 2889.3704),(41 2901.3542),(42 2921.0444),(43 2938.9653),(44 2961.4143),(45 2969.8608),(46 2964.709),(47 2977.9736),(48 2974.636),(49 2976.081),(50 2966.5051),(51 2991.7542),(52 2992.9954),(53 3027.7732),(54 3014.932),(55 3021.761),(56 3031.9048),(57 3017.128),(58 3015.98),(59 3005.489),(60 3020.614),(61 3021.6145),(62 3012.3828),(63 3033.155),(64 3039.0566),(65 3059.265),(66 3052.7258),(67 3081.5835),(68 3112.1294),(69 3137.501),(70 3155.2175),(71 3162.832),(72 3166.4634),(73 3158.7368),(74 3140.1155),(75 3158.7761),(76 3168.3325),(77 3170.0942),(78 3151.515),(79 3125.4502),
(1 810.84937),(2 1156.1334),(3 1411.4651),(4 1601.7739),(5 1747.7307),(6 1849.597),(7 1947.8086),(8 2081.896),(9 2147.0598),(10 2217.091),(11 2312.5166),(12 2359.852),(13 2419.545),(14 2463.0247),(15 2504.9873),(16 2538.011),(17 2550.078),(18 2596.6836),(19 2634.0696),(20 2654.856),(21 2667.7468),(22 2682.4973),(23 2736.9358),(24 2750.2573),(25 2761.2683),(26 2774.0837),(27 2794.1946),(28 2810.1057),(29 2816.8103),(30 2823.1448),(31 2847.4631),(32 2864.787),(33 2875.3574),(34 2887.7373),(35 2892.9373),(36 2894.514),(37 2892.3965),(38 2897.1377),(39 2898.3694),(40 2892.2048),(41 2882.979),(42 2894.0952),(43 2888.7668),(44 2885.3145),(45 2880.4429),(46 2876.889),(47 2878.6682),(48 2883.6829),(49 2893.0525),(50 2895.5532),(51 2903.1719),(52 2924.111),(53 2965.2847),(54 2940.422),(55 2914.863),(56 2935.7188),(57 2945.23),(58 2920.2407),(59 2929.2239),(60 2932.317),(61 2948.4136),(62 2975.088),(63 2997.7268),(64 2988.0747),(65 2986.8894),(66 2986.6096),(67 2962.15),(68 2992.7532),(69 2967.6687),(70 2951.7014),(71 2941.2249),(72 2943.4324),(73 2935.0269),(74 2932.419),(75 2942.6565),(76 2960.045),(77 2985.042),(78 2998.385),(79 2969.3728),
(1 806.8159),(2 1147.7041),(3 1419.5316),(4 1607.257),(5 1755.008),(6 1875.328),(7 1959.9991),(8 2095.2778),(9 2159.7454),(10 2236.6484),(11 2312.5083),(12 2354.5378),(13 2408.237),(14 2442.0547),(15 2491.9424),(16 2487.2886),(17 2516.0884),(18 2542.9023),(19 2556.4219),(20 2571.7952),(21 2575.275),(22 2594.358),(23 2635.1099),(24 2637.026),(25 2650.854),(26 2665.9744),(27 2686.7952),(28 2681.874),(29 2706.0977),(30 2714.8748),(31 2729.918),(32 2740.8015),(33 2771.7856),(34 2768.9814),(35 2771.1396),(36 2792.0156),(37 2791.736),(38 2813.9194),(39 2804.1953),(40 2809.6946),(41 2834.1538),(42 2839.0376),(43 2848.0125),(44 2863.317),(45 2854.4282),(46 2837.7136),(47 2841.003),(48 2829.0847),(49 2830.5464),(50 2837.6687),(51 2861.1765),(52 2861.9702),(53 2874.4104),(54 2857.4363),(55 2864.961),(56 2855.096),(57 2869.5762),(58 2873.5945),(59 2855.9846),(60 2849.1853),(61 2877.2217),(62 2847.39),(63 2841.5166),(64 2829.2063),(65 2834.3257),(66 2817.562),(67 2832.2961),(68 2874.9023),(69 2857.9775),(70 2869.6453),(71 2851.9219),(72 2851.5603),(73 2862.799),(74 2861.3694),(75 2880.9229),(76 2891.4912),(77 2921.5532),(78 2923.7158),(79 2906.215),
(1 813.0324),(2 1159.3103),(3 1451.9598),(4 1616.2943),(5 1779.7673),(6 1886.0524),(7 1986.5665),(8 2136.4158),(9 2196.5767),(10 2248.767),(11 2314.9202),(12 2361.0671),(13 2400.036),(14 2446.824),(15 2476.3762),(16 2480.7202),(17 2506.4),(18 2540.0664),(19 2573.0466),(20 2576.1328),(21 2602.601),(22 2613.3914),(23 2653.2036),(24 2646.253),(25 2661.6416),(26 2678.6711),(27 2707.932),(28 2701.6958),(29 2710.0635),(30 2726.8076),(31 2758.3694),(32 2789.2195),(33 2792.1543),(34 2792.545),(35 2798.8992),(36 2825.0923),(37 2825.0544),(38 2836.755),(39 2840.0042),(40 2855.0703),(41 2881.8674),(42 2909.6553),(43 2919.3066),(44 2906.498),(45 2921.5227),(46 2933.8281),(47 2959.3018),(48 2967.9846),(49 2972.4067),(50 2966.9255),(51 2974.9448),(52 2973.9805),(53 2970.1465),(54 2954.882),(55 2969.7793),(56 2971.8274),(57 2971.5571),(58 2971.8315),(59 2965.9673),(60 2960.322),(61 2976.9026),(62 2983.0217),(63 2974.2249),(64 2966.7278),(65 2939.3281),(66 2941.545),(67 2910.046),(68 2927.1833),(69 2894.365),(70 2888.6646),(71 2877.9602),(72 2883.3506),(73 2866.7668),(74 2864.1326),(75 2868.1396),(76 2856.589),(77 2857.0835),(78 2867.4822),(79 2843.6963),
(1 792.7436),(2 1133.8075),(3 1409.539),(4 1568.9197),(5 1712.3501),(6 1808.6951),(7 1911.0929),(8 2058.1277),(9 2126.6482),(10 2209.4539),(11 2267.915),(12 2334.014),(13 2390.0928),(14 2423.2393),(15 2458.813),(16 2480.8164),(17 2513.6504),(18 2543.766),(19 2567.3313),(20 2552.727),(21 2592.2798),(22 2624.7725),(23 2658.0576),(24 2667.263),(25 2685.7593),(26 2716.6),(27 2751.1487),(28 2746.9993),(29 2734.5771),(30 2765.1013),(31 2761.7039),(32 2789.9246),(33 2796.0962),(34 2803.6924),(35 2828.9773),(36 2823.088),(37 2817.1104),(38 2804.5),(39 2810.4263),(40 2820.4954),(41 2833.2092),(42 2819.9102),(43 2811.9822),(44 2793.8022),(45 2816.234),(46 2812.8325),(47 2818.0962),(48 2812.5833),(49 2810.761),(50 2811.7715),(51 2817.6394),(52 2828.2666),(53 2824.6409),(54 2814.7751),(55 2819.355),(56 2817.249),(57 2813.9316),(58 2829.4243),(59 2832.0117),(60 2861.2224),(61 2868.5884),(62 2905.1238),(63 2920.117),(64 2920.9355),(65 2925.288),(66 2919.6504),(67 2886.8972),(68 2914.779),(69 2883.9705),(70 2868.02),(71 2856.911),(72 2860.1675),(73 2836.4644),(74 2833.0977),(75 2859.3896),(76 2865.1028),(77 2877.983),(78 2902.7744),(79 2908.52),
(1 770.9883),(2 1104.4452),(3 1376.158),(4 1551.4502),(5 1704.8204),(6 1823.6638),(7 1915.9353),(8 2053.6377),(9 2111.0547),(10 2175.0986),(11 2231.8276),(12 2304.828),(13 2375.3672),(14 2404.5825),(15 2436.638),(16 2468.5454),(17 2504.786),(18 2526.4148),(19 2567.6248),(20 2585.4788),(21 2637.4675),(22 2659.5166),(23 2677.884),(24 2675.7515),(25 2669.3928),(26 2682.6663),(27 2698.3484),(28 2681.7588),(29 2673.1597),(30 2676.3303),(31 2668.5327),(32 2688.3857),(33 2681.8962),(34 2674.9126),(35 2672.3953),(36 2658.3857),(37 2641.27),(38 2646.7014),(39 2645.725),(40 2650.395),(41 2657.6072),(42 2654.764),(43 2665.3743),(44 2670.2905),(45 2686.8428),(46 2686.3948),(47 2695.101),(48 2711.1423),(49 2714.893),(50 2728.4495),(51 2735.5476),(52 2754.399),(53 2776.419),(54 2760.7026),(55 2767.628),(56 2764.0764),(57 2769.8486),(58 2771.357),(59 2778.8887),(60 2789.3154),(61 2798.468),(62 2817.934),(63 2841.7085),(64 2840.1116),(65 2839.9907),(66 2865.7244),(67 2877.6606),(68 2903.9084),(69 2908.0361),(70 2901.0566),(71 2869.2473),(72 2875.1663),(73 2880.5845),(74 2871.6973),(75 2878.4375),(76 2863.4768),(77 2863.9814),(78 2886.375),(79 2882.4226),
(1 762.6292),(2 1076.1256),(3 1325.2059),(4 1478.8135),(5 1629.4247),(6 1737.234),(7 1827.475),(8 1966.6597),(9 2025.9877),(10 2081.2563),(11 2130.2156),(12 2179.1658),(13 2210.4895),(14 2230.4229),(15 2268.862),(16 2305.3306),(17 2358.5632),(18 2394.8188),(19 2429.625),(20 2454.2627),(21 2483.4197),(22 2487.25),(23 2518.8435),(24 2492.933),(25 2495.891),(26 2514.3796),(27 2520.9722),(28 2519.5332),(29 2521.6272),(30 2523.1309),(31 2529.0696),(32 2542.2542),(33 2527.9114),(34 2532.9143),(35 2545.411),(36 2542.6707),(37 2537.534),(38 2548.082),(39 2554.6648),(40 2549.552),(41 2563.3198),(42 2565.2385),(43 2569.9949),(44 2560.008),(45 2557.669),(46 2567.3674),(47 2570.3167),(48 2571.142),(49 2582.3704),(50 2575.7148),(51 2602.229),(52 2633.899),(53 2689.4841),(54 2700.0938),(55 2697.995),(56 2711.7705),(57 2702.3003),(58 2704.7278),(59 2703.6516),(60 2734.1301),(61 2728.2842),(62 2741.8381),(63 2738.6074),(64 2727.7075),(65 2756.0781),(66 2753.7544),(67 2764.252),(68 2784.656),(69 2765.5508),(70 2748.9248),(71 2761.882),(72 2785.298),(73 2816.6006),(74 2808.98),(75 2840.0193),(76 2839.8396),(77 2827.8435),(78 2823.6272),(79 2822.5017),
(1 758.8697),(2 1068.077),(3 1323.0829),(4 1479.2899),(5 1631.2561),(6 1735.9507),(7 1830.9633),(8 1965.8422),(9 2025.7697),(10 2075.9734),(11 2137.6094),(12 2169.4578),(13 2217.452),(14 2244.5103),(15 2288.6877),(16 2306.9097),(17 2339.208),(18 2391.0967),(19 2408.9856),(20 2417.5188),(21 2440.5369),(22 2441.0447),(23 2484.0083),(24 2485.5867),(25 2506.4116),(26 2504.651),(27 2504.1697),(28 2509.7756),(29 2504.0063),(30 2495.355),(31 2494.8994),(32 2491.9841),(33 2517.029),(34 2525.1284),(35 2516.5059),(36 2512.6318),(37 2513.94),(38 2549.704),(39 2541.293),(40 2543.444),(41 2535.4963),(42 2529.5493),(43 2534.9956),(44 2540.325),(45 2534.6484),(46 2546.8083),(47 2569.3762),(48 2569.8196),(49 2580.336),(50 2588.5554),(51 2621.9497),(52 2635.19),(53 2667.4473),(54 2669.9297),(55 2665.9893),(56 2671.0679),(57 2669.954),(58 2684.0715),(59 2681.9377),(60 2694.6484),(61 2676.2234),(62 2675.482),(63 2667.2097),(64 2657.9128),(65 2681.745),(66 2686.5635),(67 2696.8745),(68 2722.9966),(69 2739.137),(70 2735.8865),(71 2749.728),(72 2738.0703),(73 2748.423),(74 2750.1611),(75 2757.2505),(76 2750.0073),(77 2743.3237),(78 2743.252),(79 2755.4102),
(1 732.82983),(2 1033.9995),(3 1281.2155),(4 1433.9094),(5 1570.9532),(6 1684.97),(7 1756.2162),(8 1887.6698),(9 1940.9121),(10 2011.815),(11 2053.6829),(12 2101.174),(13 2149.983),(14 2182.699),(15 2230.4204),(16 2245.849),(17 2267.1638),(18 2306.464),(19 2338.855),(20 2355.3108),(21 2397.4424),(22 2409.938),(23 2459.372),(24 2447.89),(25 2478.155),(26 2494.8767),(27 2523.0034),(28 2536.6758),(29 2523.369),(30 2531.643),(31 2523.9768),(32 2543.0613),(33 2553.1462),(34 2540.259),(35 2537.7944),(36 2528.531),(37 2533.2847),(38 2567.9106),(39 2579.3416),(40 2592.0793),(41 2601.8647),(42 2591.0374),(43 2589.6257),(44 2591.945),(45 2588.2808),(46 2584.05),(47 2584.8816),(48 2564.844),(49 2537.7515),(50 2528.5984),(51 2542.8076),(52 2546.2986),(53 2577.3945),(54 2571.5427),(55 2563.968),(56 2558.3994),(57 2549.8367),(58 2549.1035),(59 2553.7231),(60 2555.8008),(61 2585.0884),(62 2573.8005),(63 2588.039),(64 2580.8315),(65 2567.1084),(66 2591.0093),(67 2607.0496),(68 2613.6455),(69 2630.108),(70 2627.8096),(71 2619.6018),(72 2630.0417),(73 2598.8848),(74 2591.97),(75 2603.4175),(76 2623.4473),(77 2622.2427),(78 2610.0176),(79 2627.1687),
(1 730.6125),(2 1044.9507),(3 1283.6017),(4 1426.1136),(5 1568.2434),(6 1670.456),(7 1743.3347),(8 1858.1804),(9 1918.1272),(10 1996.0966),(11 2041.8333),(12 2073.4211),(13 2132.2617),(14 2160.4778),(15 2212.8696),(16 2250.9453),(17 2279.5593),(18 2291.4255),(19 2316.8704),(20 2339.99),(21 2353.4604),(22 2366.8496),(23 2379.203),(24 2396.063),(25 2417.5015),(26 2436.3022),(27 2447.5083),(28 2440.1829),(29 2457.17),(30 2476.2603),(31 2483.4292),(32 2488.4778),(33 2490.6416),(34 2505.8667),(35 2514.6614),(36 2511.1304),(37 2500.554),(38 2515.777),(39 2514.8208),(40 2511.1296),(41 2500.276),(42 2514.3008),(43 2521.4287),(44 2544.6335),(45 2559.5657),(46 2552.468),(47 2565.7754),(48 2580.1423),(49 2576.2512),(50 2586.9045),(51 2591.388),(52 2605.724),(53 2631),(54 2602.3452),(55 2600.8394),(56 2600.021),(57 2605.1824),(58 2603.6245),(59 2583.6396),(60 2592.8813),(61 2604.0112),(62 2575.2053),(63 2569.0425),(64 2555.2944),(65 2562.8208),(66 2548.252),(67 2548.0332),(68 2564.2788),(69 2561.0134),(70 2555.5881),(71 2548.936),(72 2553.1965),(73 2518.292),(74 2516.1147),(75 2514.7747),(76 2513.6008),(77 2527.6199),(78 2538.8494),(79 2562.2976),
(1 725.26337),(2 1016.45764),(3 1244.2336),(4 1385.4492),(5 1533.506),(6 1645.1403),(7 1733.8673),(8 1864.0542),(9 1944.103),(10 1997.046),(11 2049.9417),(12 2082.6091),(13 2132.6035),(14 2149.451),(15 2194.1394),(16 2220.2803),(17 2237.637),(18 2265.1538),(19 2275.64),(20 2284.508),(21 2291.7957),(22 2299.0574),(23 2327.5925),(24 2338.196),(25 2350.151),(26 2357.5542),(27 2373.3264),(28 2382.7817),(29 2413.5232),(30 2420.493),(31 2433.7283),(32 2447.4973),(33 2467.7852),(34 2473.4233),(35 2492.0818),(36 2508.051),(37 2503.3438),(38 2524.2065),(39 2516.3223),(40 2529.8215),(41 2525.8403),(42 2532.647),(43 2535.7336),(44 2543.8948),(45 2549.6956),(46 2556.3237),(47 2576.8513),(48 2588.7083),(49 2592.7861),(50 2575.0813),(51 2577.64),(52 2577.5254),(53 2596.3357),(54 2589.7969),(55 2607.4949),(56 2618.0005),(57 2600.728),(58 2594.1172),(59 2587.3762),(60 2564.1062),(61 2570.599),(62 2560.61),(63 2550.4885),(64 2541.0322),(65 2556.3845),(66 2541.016),(67 2542.6567),(68 2558.482),(69 2568.455),(70 2553.8938),(71 2552.5205),(72 2541.9802),(73 2539.3835),(74 2527.9973),(75 2535.9043),(76 2543.206),(77 2570.6697),(78 2587.198),(79 2590.0835),
(1 711.1857),(2 996.1188),(3 1221.4008),(4 1362.0134),(5 1500.4156),(6 1609.8363),(7 1701.7781),(8 1840.6871),(9 1910.7212),(10 1975.413),(11 2043.146),(12 2080.9277),(13 2131.0315),(14 2170.7874),(15 2226.7195),(16 2255.1897),(17 2295.433),(18 2323.466),(19 2330.167),(20 2348.268),(21 2377.649),(22 2379.313),(23 2368.6514),(24 2378.7852),(25 2375.058),(26 2366.4597),(27 2380.107),(28 2377.796),(29 2389.3733),(30 2393.493),(31 2393.9072),(32 2410.9194),(33 2405.7754),(34 2413.601),(35 2426.7249),(36 2431.3835),(37 2417.276),(38 2418.7627),(39 2429.1467),(40 2415.9253),(41 2416.6309),(42 2416.9705),(43 2418.393),(44 2426.6204),(45 2405.285),(46 2412.1882),(47 2414.1252),(48 2417.938),(49 2427.1443),(50 2439.146),(51 2457.1897),(52 2463.3372),(53 2504.8608),(54 2505.6458),(55 2522.7722),(56 2547.2483),(57 2551.3948),(58 2554.1318),(59 2550.5706),(60 2547.1602),(61 2543.6099),(62 2541.6511),(63 2536.4116),(64 2537.0466),(65 2568.5088),(66 2577.8179),(67 2600.1306),(68 2652.3674),(69 2665.3892),(70 2677.825),(71 2687.8853),(72 2680.5835),(73 2697.6282),(74 2694.477),(75 2728.7292),(76 2730.3066),(77 2769.1182),(78 2778.446),(79 2780.3848),
(1 711.777),(2 998.6067),(3 1222.84),(4 1370.5333),(5 1506.7246),(6 1608.3832),(7 1688.7802),(8 1825.8889),(9 1899.2358),(10 1964.4015),(11 2005.6681),(12 2071.0986),(13 2120.66),(14 2168.0486),(15 2200.158),(16 2219.6465),(17 2261.6255),(18 2272.466),(19 2309.771),(20 2303.9421),(21 2324.465),(22 2333.4612),(23 2377.9468),(24 2381.1965),(25 2383.5864),(26 2372.9836),(27 2380.1436),(28 2388.3616),(29 2394.8481),(30 2404.3179),(31 2397.5693),(32 2416.0906),(33 2414.69),(34 2408.9993),(35 2418.268),(36 2429.1467),(37 2433.4485),(38 2466.5652),(39 2478.72),(40 2486.7683),(41 2483.1716),(42 2489.9055),(43 2488.472),(44 2488.4055),(45 2495.7185),(46 2506.8442),(47 2519.9949),(48 2522.7727),(49 2539.749),(50 2544.6165),(51 2547.8867),(52 2542.0803),(53 2568.5627),(54 2572.519),(55 2589.1877),(56 2603.2107),(57 2591.9211),(58 2591.4348),(59 2589.9436),(60 2576.579),(61 2561.37),(62 2577.5435),(63 2561.8345),(64 2562.9531),(65 2558.505),(66 2562.1575),(67 2562.2915),(68 2580.918),(69 2593.531),(70 2591.6218),(71 2591.6877),(72 2592.234),(73 2594.1675),(74 2575.8594),(75 2595.0588),(76 2596.1206),(77 2611.611),(78 2619.6897),(79 2596.7947),
(1 694.4941),(2 978.2085),(3 1198.61),(4 1325.5549),(5 1451.1409),(6 1525.1493),(7 1601.1624),(8 1721.798),(9 1774.8298),(10 1834.4133),(11 1877.876),(12 1899.802),(13 1930.3188),(14 1952.1627),(15 1982.0614),(16 2025.2506),(17 2047.419),(18 2061.2007),(19 2104.9631),(20 2119.0894),(21 2162.0173),(22 2173.3613),(23 2214.851),(24 2226.3447),(25 2228.1301),(26 2237.4224),(27 2235.1528),(28 2254.4004),(29 2260.6697),(30 2258.9514),(31 2248.1504),(32 2243.43),(33 2242.5845),(34 2246.9329),(35 2257.4158),(36 2277.3665),(37 2286.2004),(38 2311.073),(39 2335.4177),(40 2335.264),(41 2341.661),(42 2356.1313),(43 2348.773),(44 2350.7393),(45 2354.347),(46 2363.0706),(47 2381.3784),(48 2393.96),(49 2406.6304),(50 2410.2898),(51 2419.8435),(52 2416.5313),(53 2462.3352),(54 2459.0845),(55 2477.525),(56 2484.5347),(57 2478.595),(58 2473.7747),(59 2458.846),(60 2459.3071),(61 2452.7437),(62 2462.062),(63 2484.4944),(64 2486.2197),(65 2486.3735),(66 2482.7632),(67 2493.074),(68 2513.709),(69 2512.5771),(70 2520.0762),(71 2538.325),(72 2545.9316),(73 2542.4185),(74 2552.6814),(75 2554.164),(76 2567.8),(77 2554.8186),(78 2555.5508),(79 2555.8066),
