1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9162.426),(2 27982.928),(3 51148.95),(4 72605.62),(5 94550.71),(6 122397.69),(7 157799.67),(8 200291.31),(9 249958.95),(10 298384.6),(11 341596.56),(12 383380.75),(13 425676.75),(14 471152.97),(15 517336.28),(16 564616.25),(17 607185.44),(18 636152.94),(19 660172.25),(20 683584.3),(21 711160.8),(22 738827.8),(23 763964.3),(24 789056.2),(25 803557.94),(26 824761.3),(27 842565.44),(28 866315.2),(29 900519.06),(30 942934.8),(31 978658.25),(32 1021044.3),(33 1073670.3),(34 1117387.4),(35 1170627.9),(36 1236443.1),(37 1300725),(38 1368150.1),(39 1432720.5),(40 1490921),(41 1538138.6),(42 1582215.6),(43 1611328),(44 1635273.6),(45 1656614.4),(46 1685013),(47 1706678.6),(48 1719748.4),(49 1729941.6),(50 1720537.4),(51 1706274.6),(52 1691997.5),(53 1670694.4),(54 1641009.5),(55 1621778),(56 1606467.4),(57 1608332.4),(58 1613193.4),(59 1608000.5),(60 1601720.4),(61 1617131.6),(62 1637378),(63 1648225.4),(64 1681398),(65 1723407.4),(66 1768138),(67 1823534),(68 1864603.4),(69 1934508.5),(70 2023765),(71 2131750.3),(72 2231996.5),(73 2341089.3),(74 2462001.8),(75 2581470.3),(76 2699679.8),(77 2810109.3),(78 2915578.8),(79 3020146.8),
(1 1279.8956),(2 2343.0837),(3 3387.457),(4 4083.2437),(5 4625.1504),(6 5027.6934),(7 5426.3584),(8 5779.254),(9 6067.3022),(10 6336.5986),(11 6611.7407),(12 6804.877),(13 7033.0947),(14 7200.4443),(15 7341.134),(16 7458.939),(17 7591.532),(18 7713.083),(19 7806.928),(20 7900.6416),(21 8067.9414),(22 8191.955),(23 8333.45),(24 8408.744),(25 8483.869),(26 8567.787),(27 8657.537),(28 8765.428),(29 8799.475),(30 8876.347),(31 8919.518),(32 8984.585),(33 9052.911),(34 9150.9795),(35 9230.083),(36 9282.064),(37 9352.257),(38 9392.638),(39 9392.919),(40 9426.289),(41 9442.625),(42 9472.019),(43 9498.811),(44 9485.456),(45 9483.426),(46 9507.057),(47 9522.678),(48 9514.883),(49 9503.599),(50 9531.389),(51 9623.926),(52 9675.436),(53 9737.332),(54 9803.804),(55 9857.649),(56 9917.715),(57 9951.606),(58 10019.459),(59 10081.096),(60 10092.1455),(61 10117.733),(62 10178.486),(63 10227.179),(64 10275.165),(65 10295.516),(66 10308.555),(67 10362.313),(68 10383.779),(69 10436.928),(70 10488.402),(71 10495.798),(72 10527.512),(73 10547.501),(74 10547.701),(75 10485.189),(76 10439.006),(77 10432.723),(78 10349.488),(79 10351.999),
(1 1280.9401),(2 2297.0122),(3 3343.1704),(4 3998.2708),(5 4523.434),(6 4957.8413),(7 5383.412),(8 5776.037),(9 6069.061),(10 6355.561),(11 6631.44),(12 6826.9746),(13 7022.1846),(14 7188.392),(15 7312.8906),(16 7441.8467),(17 7604.7466),(18 7668.091),(19 7769.2563),(20 7826.0093),(21 7942.672),(22 7994.8696),(23 8066.919),(24 8126.25),(25 8206.152),(26 8270.165),(27 8337.284),(28 8381.738),(29 8401.79),(30 8459.015),(31 8536.926),(32 8610.443),(33 8760.893),(34 8803.675),(35 8846.283),(36 8873.585),(37 8951.909),(38 8996.897),(39 9055.532),(40 9104.308),(41 9149.678),(42 9208.719),(43 9285.622),(44 9274.372),(45 9329.244),(46 9401.448),(47 9373.047),(48 9390.938),(49 9433.602),(50 9502.314),(51 9553.212),(52 9608.117),(53 9654.087),(54 9696.61),(55 9714.012),(56 9729.348),(57 9799.845),(58 9854.85),(59 9959.232),(60 10019.744),(61 10058.408),(62 10074.297),(63 10149.857),(64 10183.781),(65 10193.375),(66 10260.143),(67 10264.179),(68 10228.867),(69 10244.47),(70 10239.541),(71 10234.78),(72 10242.971),(73 10276.08),(74 10310.802),(75 10283.663),(76 10299.936),(77 10338.446),(78 10313.75),(79 10371.402),
(1 1273.7538),(2 2288.378),(3 3311.872),(4 3997.5117),(5 4528.6953),(6 4937.2627),(7 5344.984),(8 5725.7573),(9 6022.53),(10 6324.9795),(11 6570.031),(12 6722.4614),(13 6926.7236),(14 7126.216),(15 7287.8574),(16 7396.071),(17 7496.3735),(18 7626.397),(19 7783.9346),(20 7937.4155),(21 8079.164),(22 8233.938),(23 8338.255),(24 8417.735),(25 8502.452),(26 8506.768),(27 8540.223),(28 8559.088),(29 8551.2295),(30 8568.946),(31 8563.303),(32 8560.674),(33 8609.889),(34 8621.014),(35 8658.767),(36 8663.391),(37 8701.051),(38 8737.074),(39 8744.399),(40 8761.728),(41 8776.641),(42 8819.501),(43 8843.106),(44 8836.042),(45 8837.846),(46 8908.72),(47 8879.309),(48 8811.603),(49 8846.75),(50 8863.668),(51 8882.266),(52 8935.864),(53 8986.485),(54 9072.262),(55 9126.931),(56 9186.933),(57 9260.173),(58 9399.22),(59 9546.314),(60 9606.988),(61 9643.813),(62 9650.707),(63 9698.194),(64 9770.384),(65 9813.956),(66 9904.798),(67 9994.158),(68 9995.996),(69 10043.488),(70 10102.0625),(71 10147.952),(72 10199.034),(73 10250.391),(74 10259.215),(75 10291.499),(76 10317.18),(77 10369.579),(78 10296.168),(79 10275.696),
(1 1258.8073),(2 2223.9795),(3 3187.4817),(4 3834.6414),(5 4309.3794),(6 4740.2505),(7 5164.111),(8 5515.268),(9 5774.172),(10 6024.3125),(11 6256.79),(12 6411.447),(13 6599.9727),(14 6797.1255),(15 6956.89),(16 7114.302),(17 7172.164),(18 7394.2695),(19 7526.194),(20 7627.4775),(21 7754.2534),(22 7895.8647),(23 7999.934),(24 8028.0547),(25 8133.634),(26 8107.785),(27 8133.302),(28 8161.466),(29 8228.944),(30 8272.783),(31 8301.874),(32 8387.518),(33 8381.221),(34 8444.175),(35 8511.061),(36 8557.621),(37 8607.539),(38 8634.301),(39 8679.703),(40 8691.172),(41 8720.845),(42 8757.537),(43 8797.504),(44 8810.832),(45 8834.602),(46 8873.603),(47 8906.069),(48 8881.784),(49 8936.796),(50 9000.589),(51 9025.531),(52 9106.939),(53 9105.499),(54 9057.898),(55 9061.311),(56 9092.385),(57 9131.652),(58 9188.172),(59 9244.216),(60 9267.927),(61 9303.749),(62 9371.77),(63 9509.528),(64 9535.626),(65 9570.696),(66 9590.879),(67 9530.572),(68 9498.062),(69 9510.647),(70 9519.659),(71 9491.721),(72 9491.761),(73 9528.398),(74 9546.672),(75 9613.365),(76 9643.42),(77 9704.758),(78 9691.338),(79 9728.136),
(1 1272.1459),(2 2238.7102),(3 3201.0938),(4 3829.5427),(5 4292.163),(6 4731.2363),(7 5137.7954),(8 5477.9023),(9 5764.4707),(10 6037.4316),(11 6276.537),(12 6465.88),(13 6667.1797),(14 6831.777),(15 7014.4927),(16 7187.593),(17 7295.343),(18 7405.03),(19 7539.793),(20 7676.8867),(21 7750.259),(22 7859.9834),(23 7974.8477),(24 8047.2305),(25 8196.664),(26 8225.97),(27 8364.423),(28 8381.457),(29 8412.47),(30 8486.103),(31 8555.149),(32 8622.49),(33 8583.452),(34 8586.074),(35 8624.398),(36 8660.024),(37 8667.29),(38 8667.538),(39 8698.462),(40 8704.597),(41 8752.743),(42 8780.819),(43 8762.209),(44 8796.838),(45 8819.788),(46 8793.053),(47 8817.176),(48 8782.646),(49 8801.895),(50 8828.269),(51 8848.323),(52 8872.9795),(53 8850.271),(54 8862.197),(55 8890.046),(56 8911.422),(57 8877.288),(58 8878.493),(59 8912.78),(60 8895.288),(61 8924.477),(62 8928.932),(63 8933.139),(64 8943.369),(65 8944.628),(66 8998.657),(67 9032.414),(68 9049.34),(69 9043.993),(70 9093.455),(71 9134.171),(72 9168.563),(73 9192.209),(74 9209.492),(75 9274.2),(76 9343.517),(77 9389.783),(78 9368.796),(79 9413.291),
(1 1225.6455),(2 2196.932),(3 3149.5916),(4 3789.1265),(5 4235.495),(6 4636.4155),(7 4979.002),(8 5296.7383),(9 5569.5005),(10 5833.239),(11 6035.092),(12 6207.5654),(13 6393.787),(14 6599.9),(15 6775.2803),(16 6932.2773),(17 7082.2974),(18 7272.523),(19 7445.126),(20 7584.951),(21 7691.357),(22 7816.387),(23 7879.7383),(24 7977.5723),(25 8083.0825),(26 8101.3726),(27 8173.3896),(28 8189.4155),(29 8208.197),(30 8215.951),(31 8247.625),(32 8240.074),(33 8228.544),(34 8280.242),(35 8316.23),(36 8396.343),(37 8420.497),(38 8408.375),(39 8450.015),(40 8419.561),(41 8457.012),(42 8497.95),(43 8507.691),(44 8539.622),(45 8536.882),(46 8575.261),(47 8581.905),(48 8556.157),(49 8530.754),(50 8489.915),(51 8503.347),(52 8534.476),(53 8540.14),(54 8522.955),(55 8580.18),(56 8633.188),(57 8635.493),(58 8661.337),(59 8694.114),(60 8730.543),(61 8735.677),(62 8770.639),(63 8803.77),(64 8837.72),(65 8860.709),(66 8925.695),(67 8985.106),(68 9014.846),(69 9016.676),(70 9049.858),(71 9083.809),(72 9119.962),(73 9174.922),(74 9195.939),(75 9261.617),(76 9324.387),(77 9384.471),(78 9374.355),(79 9383.249),
(1 1254.035),(2 2205.9846),(3 3134.6033),(4 3734.3096),(5 4220.1055),(6 4627.2256),(7 5000.467),(8 5364.958),(9 5626.6455),(10 5872.762),(11 6099.448),(12 6295.576),(13 6451.637),(14 6645.356),(15 6827.7017),(16 6999.7827),(17 7163.3403),(18 7293.13),(19 7440.3965),(20 7514.98),(21 7624.0776),(22 7760.439),(23 7869.8125),(24 7957.9424),(25 8040.7813),(26 8028.0386),(27 8005.9185),(28 7956.65),(29 7969.214),(30 7997.8486),(31 7994.019),(32 7989.826),(33 7981.1924),(34 8011.234),(35 8091.5576),(36 8153.842),(37 8187.697),(38 8207.103),(39 8274.498),(40 8263.607),(41 8309.282),(42 8393.055),(43 8359.223),(44 8397.496),(45 8439.694),(46 8495.264),(47 8539.22),(48 8640.807),(49 8706.529),(50 8767.669),(51 8821.23),(52 8842.287),(53 8876.729),(54 8882.88),(55 8912.296),(56 8925.161),(57 8942.039),(58 8964.937),(59 8990.137),(60 8987.262),(61 8996.858),(62 9045.285),(63 9024.144),(64 9004.827),(65 9035.266),(66 9090.688),(67 9135.251),(68 9154.097),(69 9184.569),(70 9240.633),(71 9204.437),(72 9192.957),(73 9238.183),(74 9271.343),(75 9315.188),(76 9390.044),(77 9408.654),(78 9378.294),(79 9432.914),
(1 1235.2839),(2 2176.5605),(3 3064.5703),(4 3671.8071),(5 4131.2617),(6 4512.753),(7 4848.9385),(8 5149.965),(9 5399.9204),(10 5650.258),(11 5891.1987),(12 6088.3486),(13 6306.36),(14 6549.124),(15 6765.3027),(16 6942.7046),(17 7125.3276),(18 7256.7485),(19 7391.145),(20 7517.9287),(21 7652.143),(22 7807.9253),(23 7947.5435),(24 8023.831),(25 8132.298),(26 8224.648),(27 8301.288),(28 8340.222),(29 8371.595),(30 8456.079),(31 8496.766),(32 8537.864),(33 8559.379),(34 8624.401),(35 8662.371),(36 8681.251),(37 8689.315),(38 8689.759),(39 8755.82),(40 8782.503),(41 8847.779),(42 8876.93),(43 8841.303),(44 8801.292),(45 8863.204),(46 8889.798),(47 8866.852),(48 8840.1455),(49 8848.766),(50 8856.872),(51 8879.843),(52 8872.775),(53 8862.374),(54 8899.169),(55 8932.638),(56 8966.799),(57 8999.292),(58 9052.183),(59 9089.571),(60 9120.553),(61 9121.125),(62 9123.575),(63 9135.524),(64 9152.177),(65 9178.822),(66 9188.105),(67 9165.015),(68 9194.152),(69 9239.643),(70 9255.207),(71 9279.283),(72 9269.598),(73 9316.838),(74 9296.08),(75 9354.846),(76 9370.768),(77 9351.577),(78 9330.069),(79 9334.677),
(1 1186.7072),(2 2109.2446),(3 3053.855),(4 3643.4927),(5 4139.1875),(6 4553.1294),(7 4941.217),(8 5277.7485),(9 5537.478),(10 5782.207),(11 5999.0195),(12 6188.0703),(13 6416.0903),(14 6602.0063),(15 6801.6274),(16 6938.2305),(17 7093.3457),(18 7223.257),(19 7338.64),(20 7424.28),(21 7510.0825),(22 7614.043),(23 7702.8477),(24 7725.5913),(25 7753.683),(26 7789.252),(27 7837.866),(28 7893.4014),(29 7917.531),(30 7996.5205),(31 8089.3125),(32 8184.2114),(33 8207.507),(34 8265.955),(35 8328.695),(36 8357.526),(37 8429.527),(38 8483.458),(39 8562.671),(40 8657.735),(41 8731.668),(42 8813.149),(43 8852.442),(44 8881.614),(45 8942.265),(46 8977.083),(47 8957.31),(48 8936.012),(49 8945.823),(50 8941.415),(51 8944.956),(52 8855.885),(53 8773.147),(54 8745.097),(55 8714.427),(56 8766.6045),(57 8825.308),(58 8839.564),(59 8883.348),(60 8910.741),(61 8949.496),(62 8968.323),(63 8975.3),(64 8984.928),(65 9064.487),(66 9127.314),(67 9174.1875),(68 9231.256),(69 9296.3545),(70 9319.09),(71 9317.225),(72 9360.159),(73 9429.459),(74 9562.853),(75 9607.893),(76 9645.164),(77 9642.974),(78 9657.965),(79 9724.623),
(1 1208.0519),(2 2108.7068),(3 2964.4424),(4 3585.5725),(5 4042.3047),(6 4406.1294),(7 4793.315),(8 5147.372),(9 5340.8696),(10 5555.1777),(11 5746.639),(12 5883.5635),(13 6084.4595),(14 6251.9106),(15 6436.7583),(16 6544.956),(17 6654.8755),(18 6788.841),(19 6841.173),(20 6920.8613),(21 7059.5894),(22 7157.706),(23 7291.171),(24 7344.983),(25 7402.7026),(26 7441.1484),(27 7523.2563),(28 7527.69),(29 7526.0005),(30 7542.849),(31 7564.688),(32 7599.397),(33 7627.271),(34 7676.7964),(35 7706.7837),(36 7746.278),(37 7747.878),(38 7739.9985),(39 7792.8887),(40 7866.6924),(41 7911.632),(42 7941.1543),(43 7951.7603),(44 7974.726),(45 7988.4336),(46 8032.663),(47 8093.4487),(48 8073.8574),(49 8079.577),(50 8107.522),(51 8149.455),(52 8126.2583),(53 8118.2725),(54 8126.324),(55 8177.4775),(56 8266.989),(57 8276.061),(58 8285.186),(59 8252.422),(60 8240.581),(61 8260.428),(62 8266.145),(63 8269.32),(64 8259.574),(65 8300.916),(66 8351.531),(67 8360.115),(68 8371.215),(69 8410.258),(70 8441.31),(71 8482.499),(72 8508.706),(73 8575.551),(74 8687.142),(75 8816.652),(76 8852.076),(77 8800.188),(78 8778.142),(79 8746.355),
(1 1179.7214),(2 2046.6233),(3 2931.8472),(4 3505.1494),(5 3971.0898),(6 4322.633),(7 4664.832),(8 4981.458),(9 5187.399),(10 5399.1074),(11 5611.776),(12 5800.0513),(13 5948.1895),(14 6102.4004),(15 6293.853),(16 6390.433),(17 6456.093),(18 6567.2896),(19 6613.9795),(20 6699.1646),(21 6804.891),(22 6923.537),(23 7039.611),(24 7098.7134),(25 7211.9717),(26 7266.6836),(27 7321.211),(28 7327.331),(29 7364.9375),(30 7415.634),(31 7484.5703),(32 7520.365),(33 7577.647),(34 7624.4814),(35 7669.052),(36 7744.1265),(37 7779.3403),(38 7817.45),(39 7878.2173),(40 7945.897),(41 8030.7827),(42 8077.7783),(43 8130.809),(44 8145.6216),(45 8164.9136),(46 8197.722),(47 8235.5),(48 8207.612),(49 8229.375),(50 8271.032),(51 8270.056),(52 8255.141),(53 8243.153),(54 8255.744),(55 8213.677),(56 8237.309),(57 8262.646),(58 8322.688),(59 8383.416),(60 8368.886),(61 8415.878),(62 8441.356),(63 8454.805),(64 8426.195),(65 8446.222),(66 8440.994),(67 8453.799),(68 8491.508),(69 8536.644),(70 8570.329),(71 8623.721),(72 8663.719),(73 8716.555),(74 8738.315),(75 8812.445),(76 8850.071),(77 8853.158),(78 8866.544),(79 8844.447),
(1 1171.4288),(2 2041.919),(3 2889.8123),(4 3452.4517),(5 3901.1162),(6 4241.903),(7 4582.095),(8 4932.9316),(9 5201.4873),(10 5429.4834),(11 5695.0815),(12 5849.986),(13 6032.827),(14 6181.531),(15 6360.382),(16 6472.5137),(17 6564.2505),(18 6699.747),(19 6770.697),(20 6878.1113),(21 6970.214),(22 7028.8535),(23 7114.6587),(24 7167.443),(25 7255.3306),(26 7293.2935),(27 7373.07),(28 7360.5356),(29 7400.908),(30 7433.7505),(31 7491.1387),(32 7533.3574),(33 7545.037),(34 7581.0244),(35 7619.955),(36 7650.7114),(37 7729.6504),(38 7783.3154),(39 7836.998),(40 7873.4907),(41 7951.084),(42 8074.3784),(43 8148.7393),(44 8221.32),(45 8329.06),(46 8418.178),(47 8473.375),(48 8492.803),(49 8519.638),(50 8566.099),(51 8637.944),(52 8685.08),(53 8724.654),(54 8792.681),(55 8830.525),(56 8845.119),(57 8867.864),(58 8838.192),(59 8830.018),(60 8821.272),(61 8814.175),(62 8819.485),(63 8846.888),(64 8838.475),(65 8808.554),(66 8772.973),(67 8767.2295),(68 8790.025),(69 8785.19),(70 8758.162),(71 8737.44),(72 8693.448),(73 8678.785),(74 8650.132),(75 8682.957),(76 8630.7),(77 8638.985),(78 8711.733),(79 8741.06),
(1 1175.1863),(2 1998.7612),(3 2855.026),(4 3386.5327),(5 3804.8403),(6 4139.4526),(7 4511.3955),(8 4846.2285),(9 5051.4995),(10 5267.2793),(11 5488.265),(12 5642.889),(13 5802.478),(14 5925.611),(15 6084.099),(16 6200.107),(17 6310.427),(18 6479.3477),(19 6528.6113),(20 6595.153),(21 6676.385),(22 6743.8086),(23 6787.1846),(24 6834.339),(25 6894.0884),(26 6923.9443),(27 6990.6494),(28 7022.953),(29 7048.6655),(30 7088.1157),(31 7191.7227),(32 7221.3623),(33 7274.909),(34 7360.799),(35 7403.1523),(36 7453.3965),(37 7473.696),(38 7458.045),(39 7498.1763),(40 7559.841),(41 7619.142),(42 7615.3677),(43 7674.843),(44 7714.179),(45 7782.1846),(46 7826.023),(47 7851.4697),(48 7808.1187),(49 7811.077),(50 7828.9346),(51 7866.084),(52 7900.292),(53 7915.803),(54 7921.732),(55 7967.414),(56 7977.4697),(57 7988.6543),(58 7962.1313),(59 8006.2974),(60 8065.4663),(61 8093.1475),(62 8100.242),(63 8232.099),(64 8245.178),(65 8237.636),(66 8255.772),(67 8276.412),(68 8317.372),(69 8344.151),(70 8328.122),(71 8338.712),(72 8314.332),(73 8311.039),(74 8335.071),(75 8385.781),(76 8340.425),(77 8325.648),(78 8403.544),(79 8477.1045),
(1 1166.9077),(2 2009.4833),(3 2827.5923),(4 3344.1912),(5 3738.8313),(6 4092.8672),(7 4466.9517),(8 4808.4063),(9 5046.837),(10 5319.8477),(11 5529.7),(12 5660.872),(13 5866.0903),(14 6051.0947),(15 6235.2603),(16 6346.51),(17 6434.8564),(18 6502.9346),(19 6594.5415),(20 6693.9834),(21 6811.81),(22 6868.5757),(23 6930.524),(24 7014.272),(25 7142.041),(26 7190.634),(27 7293.6436),(28 7351.3135),(29 7418.606),(30 7433.263),(31 7479.459),(32 7531.7),(33 7558.2163),(34 7621.428),(35 7635.854),(36 7711.673),(37 7746.862),(38 7749.3457),(39 7744.639),(40 7728.912),(41 7704.7515),(42 7692.0596),(43 7689.416),(44 7711.553),(45 7731.252),(46 7798.046),(47 7843.431),(48 7892.267),(49 7947.1763),(50 7969.7163),(51 8059.671),(52 8107.7876),(53 8149.615),(54 8181.2573),(55 8181.0586),(56 8188.072),(57 8198.438),(58 8149.115),(59 8124.157),(60 8181.2314),(61 8214.222),(62 8228.892),(63 8268.762),(64 8306.54),(65 8316.005),(66 8339.732),(67 8337.194),(68 8344.901),(69 8319.02),(70 8316.784),(71 8335.215),(72 8349.608),(73 8383.352),(74 8396.501),(75 8430.265),(76 8409.037),(77 8403.27),(78 8419.499),(79 8431.076),
(1 1156.3868),(2 1982.2407),(3 2805.5632),(4 3333.914),(5 3749.033),(6 4037.6323),(7 4401.5938),(8 4685.652),(9 4943.1484),(10 5226.0137),(11 5414.6523),(12 5560.244),(13 5733.7656),(14 5914.247),(15 6083.607),(16 6186.839),(17 6306.3047),(18 6460.556),(19 6524.6753),(20 6629.9204),(21 6702.1772),(22 6749.427),(23 6804.7896),(24 6830.8115),(25 6914.2354),(26 6955.3813),(27 7019.9165),(28 7031.4917),(29 7037.6895),(30 7047.8813),(31 7057.314),(32 7089.0405),(33 7117.6846),(34 7188.814),(35 7228.8984),(36 7229.486),(37 7230.5996),(38 7233.234),(39 7237.721),(40 7245.163),(41 7218.114),(42 7250.4385),(43 7260.5747),(44 7271.539),(45 7278.071),(46 7275.782),(47 7259.275),(48 7254.9985),(49 7275.09),(50 7273.0923),(51 7338.473),(52 7394.81),(53 7420.6094),(54 7478.465),(55 7498.716),(56 7539.4233),(57 7574.179),(58 7625.436),(59 7662.7485),(60 7715.452),(61 7746.574),(62 7828.356),(63 7907.326),(64 7939.92),(65 7976.029),(66 7940.333),(67 7948.53),(68 7915.2754),(69 7903.4644),(70 7914.3594),(71 7972.967),(72 8030.034),(73 8109.83),(74 8179.0215),(75 8265.462),(76 8258.708),(77 8264.838),(78 8268.545),(79 8289.851),
(1 1129.0292),(2 1921.0874),(3 2729.2078),(4 3265.002),(5 3663.6892),(6 3994.8267),(7 4350.1855),(8 4665.1113),(9 4885.253),(10 5148.1875),(11 5354.0254),(12 5500.9272),(13 5688.9556),(14 5855.3003),(15 6031.559),(16 6120.84),(17 6233.1836),(18 6413.1685),(19 6491.4224),(20 6601.9814),(21 6702.5825),(22 6771.601),(23 6847.8423),(24 6879.286),(25 6923.5356),(26 6950.1626),(27 7009.2793),(28 7020.261),(29 7011.336),(30 7000.989),(31 7007.2974),(32 6998.1587),(33 7002.447),(34 7001.6147),(35 6985.725),(36 6937.4863),(37 6980.8423),(38 7001.0303),(39 7021.8423),(40 7048.1377),(41 7047.1387),(42 7065.1455),(43 7120.0854),(44 7117.561),(45 7163.3804),(46 7193.3696),(47 7207.0166),(48 7211.8364),(49 7237.7407),(50 7273.63),(51 7361.4326),(52 7434.681),(53 7529.309),(54 7598.7124),(55 7675.3994),(56 7741.7905),(57 7741.6914),(58 7792.8296),(59 7816.0796),(60 7863.441),(61 7857.6597),(62 7865.4575),(63 7883.0977),(64 7898.7866),(65 7961.4863),(66 7980.5396),(67 7982.3423),(68 7990.977),(69 7975.3955),(70 8028.3877),(71 8100.624),(72 8146.4966),(73 8164.511),(74 8210.912),(75 8247.175),(76 8205.423),(77 8214.129),(78 8190.8135),(79 8183.689),
(1 1102.8486),(2 1902.8767),(3 2716.8818),(4 3237.4873),(5 3597.3533),(6 3923.041),(7 4279.858),(8 4578.621),(9 4772.1113),(10 4998.5933),(11 5174.7646),(12 5281.073),(13 5400.826),(14 5504.4185),(15 5619.8384),(16 5708.8105),(17 5849.431),(18 5998.2563),(19 6033.7686),(20 6128.287),(21 6201.513),(22 6245.1196),(23 6311.036),(24 6349.1016),(25 6408.529),(26 6510.672),(27 6629.653),(28 6683.8545),(29 6710.385),(30 6713.81),(31 6777.589),(32 6832.152),(33 6861.658),(34 6855.482),(35 6886.5254),(36 6908.386),(37 6938.203),(38 6937.098),(39 6956.0464),(40 6956.0747),(41 6956.355),(42 7000.214),(43 7014.752),(44 7048.8345),(45 7058.842),(46 7081.989),(47 7083.0264),(48 7092.5366),(49 7106.687),(50 7167.411),(51 7253.018),(52 7344.9756),(53 7418.6304),(54 7452.908),(55 7499.2134),(56 7549.5166),(57 7625.6753),(58 7663.234),(59 7661.458),(60 7684.163),(61 7697.569),(62 7742.5166),(63 7772.695),(64 7762.858),(65 7824.7305),(66 7821.8066),(67 7813.1216),(68 7803.3184),(69 7767.283),(70 7776.2944),(71 7784.8486),(72 7768.27),(73 7769.7915),(74 7783.765),(75 7831.807),(76 7846.898),(77 7865.3237),(78 7896.967),(79 7944.577),
