1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 16976.86),(2 48199.426),(3 103301.01),(4 175946.2),(5 263417.66),(6 356685.88),(7 466247.34),(8 578960.3),(9 689817.8),(10 812575.2),(11 945341.8),(12 1072582.5),(13 1210169.3),(14 1345573.4),(15 1475382.6),(16 1618214),(17 1753204.1),(18 1890085.6),(19 2028935.1),(20 2166588.3),(21 2304202.3),(22 2461697.3),(23 2613137.8),(24 2727223.5),(25 2837892.8),(26 2942739),(27 3050944),(28 3165651.3),(29 3319793.8),(30 3496913.8),(31 3699431.3),(32 3898848.8),(33 4113298.8),(34 4364228.5),(35 4577207.5),(36 4809040.5),(37 5025696),(38 5215447.5),(39 5390700),(40 5592340),(41 5805405.5),(42 6038340),(43 6301864.5),(44 6534268),(45 6807960.5),(46 7099018.5),(47 7376568.5),(48 7668364),(49 7925959.5),(50 8152321.5),(51 8344034),(52 8579591),(53 8774004),(54 8956590),(55 9087989),(56 9233059),(57 9400851),(58 9545967),(59 9709696),(60 9954761),(61 10112227),(62 10291274),(63 10478531),(64 10619887),(65 10733151),(66 10906953),(67 11015433),(68 11134681),(69 11265715),(70 11451436),(71 11640116),(72 11894612),(73 12098421),(74 12350259),(75 12563971),(76 12780661),(77 13019492),(78 13367236),(79 13580253),
(1 666.30316),(2 994.6327),(3 1240.6227),(4 1399.6323),(5 1524.1254),(6 1606.0425),(7 1692.6063),(8 1774.1953),(9 1802.68),(10 1848.8322),(11 1895.4407),(12 1905.5466),(13 1910.7096),(14 1926.4302),(15 1922.4982),(16 1935.5063),(17 1959.5829),(18 1971.6774),(19 1990.714),(20 2031.5228),(21 2005.6226),(22 2026.2833),(23 2061.2532),(24 2067.9949),(25 2069.7283),(26 2078.9812),(27 2071.9458),(28 2098.512),(29 2108.0615),(30 2128.4438),(31 2153.5913),(32 2129.6606),(33 2126.0842),(34 2153.7551),(35 2133.4158),(36 2124.5786),(37 2140.3438),(38 2116.0676),(39 2150.841),(40 2181.899),(41 2159.649),(42 2178.7063),(43 2206.1523),(44 2185.7559),(45 2175.3027),(46 2231.1445),(47 2225.6292),(48 2226.7756),(49 2243.2026),(50 2220.7925),(51 2223.702),(52 2249.4963),(53 2239.2922),(54 2264.305),(55 2234.6628),(56 2231.765),(57 2260.8079),(58 2236.0989),(59 2227.508),(60 2240.7576),(61 2215.3713),(62 2232.4016),(63 2265.6968),(64 2219.0547),(65 2215.8572),(66 2230.749),(67 2219.7068),(68 2218.8306),(69 2246.1106),(70 2229.9124),(71 2228.908),(72 2221.9373),(73 2173.3608),(74 2163.584),(75 2189.7493),(76 2181.9924),(77 2180.0005),(78 2201.8223),(79 2193.701),
(1 663.7902),(2 994.65314),(3 1267.9056),(4 1424.9524),(5 1531.2184),(6 1606.5488),(7 1703.0809),(8 1764.4393),(9 1799.0996),(10 1839.8008),(11 1890.8469),(12 1898.4633),(13 1906.1089),(14 1932.4471),(15 1910.0049),(16 1920.108),(17 1946.1423),(18 1975.1926),(19 2012.3193),(20 2054.9172),(21 2013.545),(22 2031.1311),(23 2061.0806),(24 2054.5515),(25 2090.5142),(26 2101.3613),(27 2066.1401),(28 2104.3896),(29 2090.919),(30 2099.0002),(31 2121.1235),(32 2105.3008),(33 2115.9521),(34 2158.6824),(35 2128.606),(36 2140.8792),(37 2177.4465),(38 2145.0613),(39 2155.1257),(40 2190.285),(41 2176.427),(42 2180.675),(43 2206.7441),(44 2179.3018),(45 2176.7122),(46 2197.9255),(47 2184.7727),(48 2184.3083),(49 2190.9087),(50 2148.915),(51 2137.252),(52 2186.9182),(53 2177.6902),(54 2212.055),(55 2171.1),(56 2181.002),(57 2200.2454),(58 2176.96),(59 2198.5796),(60 2221.2397),(61 2215.0322),(62 2209.6396),(63 2274.948),(64 2240.0605),(65 2218.0337),(66 2245.5188),(67 2206.6565),(68 2207.487),(69 2249.0454),(70 2226.842),(71 2220.8687),(72 2229.6025),(73 2168.0164),(74 2159.3777),(75 2193.9834),(76 2159.1382),(77 2149.8518),(78 2170.8315),(79 2145.5093),
(1 649.9793),(2 958.1628),(3 1212.579),(4 1360.7389),(5 1487.333),(6 1558.0721),(7 1653.4818),(8 1726.4869),(9 1766.3555),(10 1808.394),(11 1852.7338),(12 1844.2332),(13 1852.7021),(14 1887.877),(15 1888.5836),(16 1909.8927),(17 1942.3286),(18 1934.8136),(19 1955.57),(20 1990.3909),(21 1971.993),(22 1988.6523),(23 2020.9153),(24 2004.4265),(25 2032.626),(26 2069.962),(27 2059.5796),(28 2058.9011),(29 2056.4036),(30 2062.776),(31 2086.0498),(32 2046.9663),(33 2076.5308),(34 2128.115),(35 2102.2813),(36 2114.581),(37 2152.9004),(38 2134.255),(39 2132.6194),(40 2151.859),(41 2135.1563),(42 2135.3794),(43 2126.9746),(44 2129.2664),(45 2156.192),(46 2184.7288),(47 2135.1772),(48 2130.1257),(49 2165.8442),(50 2128.131),(51 2162.1177),(52 2189.8428),(53 2183.065),(54 2189.167),(55 2149.0767),(56 2128.7944),(57 2143.135),(58 2116.3784),(59 2115.4346),(60 2162.254),(61 2152.046),(62 2172.2068),(63 2231.7322),(64 2210.101),(65 2206.025),(66 2210.3328),(67 2192.5059),(68 2202.8325),(69 2210.1758),(70 2165.6106),(71 2155.1611),(72 2164.6448),(73 2114.456),(74 2125.7483),(75 2175.9875),(76 2167.6145),(77 2145.8765),(78 2149.8223),(79 2128.549),
(1 643.1025),(2 941.6459),(3 1194.1537),(4 1330.0623),(5 1452.678),(6 1523.1384),(7 1607.2551),(8 1681.9462),(9 1700.8799),(10 1759.0514),(11 1790.2429),(12 1775.8488),(13 1782.8344),(14 1812.2241),(15 1826.1549),(16 1862.346),(17 1899.8821),(18 1884.4225),(19 1902.0156),(20 1941.3531),(21 1947.0525),(22 1959.44),(23 1995.3766),(24 1965.383),(25 1993.3599),(26 2018.144),(27 1997.001),(28 1998.7107),(29 2003.8245),(30 2000.5952),(31 2009.6854),(32 1992.7037),(33 2044.5332),(34 2064.2014),(35 2036.4746),(36 2048.0889),(37 2072.84),(38 2045.7736),(39 2047.384),(40 2059.3076),(41 2014.4391),(42 2013.8683),(43 2029.3531),(44 2000.9348),(45 2043.3093),(46 2098.8235),(47 2048.672),(48 2064.289),(49 2113.7358),(50 2108.1563),(51 2116.7815),(52 2150.0405),(53 2155.5186),(54 2146.279),(55 2100.6282),(56 2092.361),(57 2123.7634),(58 2106.987),(59 2097.1025),(60 2129.025),(61 2097.2026),(62 2114.651),(63 2156.1855),(64 2119.3857),(65 2108.9165),(66 2121.5837),(67 2078.9463),(68 2072.95),(69 2087.787),(70 2041.7544),(71 2034.9603),(72 2069.512),(73 2039.1287),(74 2060.8772),(75 2080.658),(76 2060.287),(77 2046.0847),(78 2078.0813),(79 2076.6758),
(1 644.2082),(2 939.8716),(3 1170.0706),(4 1302.8159),(5 1403.8354),(6 1474.2144),(7 1565.3713),(8 1634.3882),(9 1659.9176),(10 1711.9216),(11 1744.5309),(12 1737.0571),(13 1760.0061),(14 1798.364),(15 1802.4131),(16 1820.2042),(17 1889.2396),(18 1876.5735),(19 1907.4867),(20 1920.6232),(21 1916.5686),(22 1945.0789),(23 1972.0626),(24 1971.5411),(25 1977.7695),(26 1997.0784),(27 2003.4701),(28 2030.6526),(29 2030.9032),(30 2028.4896),(31 2034.6274),(32 2001.1545),(33 2036.9265),(34 2054.5027),(35 2031.2654),(36 2023.0267),(37 2047.2432),(38 2014.7389),(39 2014.116),(40 2021.2952),(41 2006.8573),(42 2017.0834),(43 2042.9839),(44 2018.9252),(45 2036.4736),(46 2098.1921),(47 2056.1912),(48 2066.772),(49 2098.1663),(50 2096.26),(51 2084.438),(52 2120.386),(53 2101.7979),(54 2113.5376),(55 2070.695),(56 2058.8962),(57 2090.7651),(58 2089.6572),(59 2074.0142),(60 2091.3892),(61 2072.1316),(62 2085.7798),(63 2136.5178),(64 2077.2253),(65 2076.459),(66 2066.8315),(67 2040.968),(68 2029.8488),(69 2048.7864),(70 1998.3898),(71 1992.2949),(72 2024.269),(73 1989.2306),(74 2002.5806),(75 2037.3188),(76 2026.4016),(77 2021.0396),(78 2033.9427),(79 2015.353),
(1 621.3398),(2 909.32935),(3 1140.7573),(4 1269.4578),(5 1366.0966),(6 1426.4353),(7 1489.7927),(8 1564.3519),(9 1585.7832),(10 1626.1328),(11 1656.7372),(12 1644.4596),(13 1654.8542),(14 1695.0797),(15 1693.8909),(16 1722.1559),(17 1763.3011),(18 1733.9156),(19 1754.8533),(20 1768.7994),(21 1776.1556),(22 1802.7927),(23 1817.0858),(24 1817.7289),(25 1842.3708),(26 1860.0502),(27 1855.7311),(28 1891.8973),(29 1902.0818),(30 1918.566),(31 1934.1346),(32 1915.4325),(33 1943.66),(34 1970.7567),(35 1945.2563),(36 1952.1749),(37 1989.0094),(38 1963.5226),(39 1983.3369),(40 2007.8672),(41 1989.9225),(42 1987.778),(43 2001.887),(44 1970.6241),(45 1979.3555),(46 2011.0342),(47 2009.9514),(48 1993.9818),(49 2010.8344),(50 1998.6483),(51 1994.452),(52 1995.6038),(53 2004.5369),(54 2015.333),(55 1984.9469),(56 1969.0962),(57 1996.86),(58 1992.1251),(59 1994.9691),(60 2005.8848),(61 1975.4839),(62 1990.9117),(63 2027.1205),(64 1990.2614),(65 1990.5913),(66 2006.5441),(67 1976.1301),(68 1994.0096),(69 2022.9536),(70 1981.19),(71 1972.5087),(72 2014.6927),(73 1999.8772),(74 1996.375),(75 2027.0283),(76 2009.1354),(77 1995.9379),(78 1991.7666),(79 1987.7404),
(1 614.2436),(2 896.08984),(3 1110.8658),(4 1244.8783),(5 1353.2837),(6 1423.377),(7 1491.1692),(8 1560.7926),(9 1577.0502),(10 1626.4556),(11 1655.9026),(12 1651.2021),(13 1666.4053),(14 1686.4921),(15 1706.8424),(16 1735.465),(17 1769.5215),(18 1742.7087),(19 1759.4656),(20 1798.5006),(21 1797.553),(22 1830.2202),(23 1839.4999),(24 1826.9686),(25 1865.482),(26 1886.7761),(27 1856.6475),(28 1890.9642),(29 1904.4774),(30 1921.8251),(31 1944.0079),(32 1915.3171),(33 1924.5851),(34 1945.6407),(35 1921.1007),(36 1945.4963),(37 1963.59),(38 1924.9797),(39 1937.8579),(40 1945.509),(41 1929.4315),(42 1935.3668),(43 1964.5781),(44 1927.7986),(45 1959.2129),(46 1986.0168),(47 1969.1746),(48 1970.8956),(49 1994.8455),(50 1982.6605),(51 2008.5236),(52 2026.6277),(53 1995.0881),(54 2012.055),(55 1971.3496),(56 1960.8074),(57 1974.8916),(58 1953.8978),(59 1945.8846),(60 1952.939),(61 1921.0559),(62 1943.8176),(63 1977.7391),(64 1947.8414),(65 1975.8173),(66 1985.9136),(67 1974.8976),(68 1969.0685),(69 1976.7325),(70 1948.1337),(71 1953.8901),(72 1977.1572),(73 1944.5277),(74 1928.5045),(75 1953.8119),(76 1938.8942),(77 1932.0481),(78 1950.4387),(79 1939.5009),
(1 604.58124),(2 873.2542),(3 1081.9388),(4 1190.7091),(5 1277.8237),(6 1348.0906),(7 1405.0293),(8 1455.3442),(9 1488.0326),(10 1534.2423),(11 1571.222),(12 1577.4258),(13 1585.0447),(14 1630.2268),(15 1649.0593),(16 1659.4335),(17 1689.9133),(18 1673.3975),(19 1674.7471),(20 1708.3151),(21 1705.9323),(22 1731.5922),(23 1743.4355),(24 1753.9203),(25 1760.8893),(26 1782.4966),(27 1773.7328),(28 1796.1737),(29 1786.4375),(30 1795.8928),(31 1802.953),(32 1780.3904),(33 1800.6743),(34 1804.5278),(35 1786.0771),(36 1798.2329),(37 1815.7368),(38 1792.9125),(39 1794.803),(40 1801.1713),(41 1793.3351),(42 1788.2048),(43 1821.754),(44 1800.4766),(45 1823.0095),(46 1847.1692),(47 1830.5983),(48 1837.9481),(49 1855.7399),(50 1842.994),(51 1879.325),(52 1877.6418),(53 1865.4415),(54 1893.0791),(55 1874.6018),(56 1859.3359),(57 1873.1926),(58 1861.7847),(59 1870.5881),(60 1873.6475),(61 1861.0201),(62 1862.4993),(63 1886.096),(64 1858.2035),(65 1870.1061),(66 1877.9945),(67 1854.3699),(68 1843.8357),(69 1847.2817),(70 1823.5295),(71 1824.4292),(72 1853.8108),(73 1819.7993),(74 1815.1055),(75 1864.2897),(76 1846.1436),(77 1852.2201),(78 1873.6869),(79 1876.7184),
(1 609.7357),(2 877.3895),(3 1094.0094),(4 1190.9985),(5 1280.0823),(6 1351.8113),(7 1427.2639),(8 1493.6235),(9 1527.1185),(10 1560.2086),(11 1602.7294),(12 1620.0979),(13 1625.4459),(14 1649.774),(15 1672.3265),(16 1687.8314),(17 1717.1631),(18 1702.722),(19 1707.5178),(20 1733.9294),(21 1720.7251),(22 1742.1678),(23 1751.166),(24 1736.5287),(25 1726.5745),(26 1753.9451),(27 1756.8661),(28 1791.6984),(29 1787.6156),(30 1790.0674),(31 1814.0092),(32 1789.1938),(33 1803.6497),(34 1827.0233),(35 1822.8054),(36 1824.0676),(37 1840.6564),(38 1810.6),(39 1845.6068),(40 1852.7747),(41 1826.5541),(42 1834.7935),(43 1860.6752),(44 1841.2009),(45 1849.8875),(46 1886.6355),(47 1865.7509),(48 1880.5905),(49 1891.653),(50 1867.612),(51 1877.3411),(52 1896.5428),(53 1897.8469),(54 1921.0775),(55 1888.066),(56 1874.933),(57 1893.3965),(58 1853.4531),(59 1879.27),(60 1887.5128),(61 1868.2899),(62 1868.9515),(63 1902.0966),(64 1857.22),(65 1870.166),(66 1876.152),(67 1848.2681),(68 1842.7153),(69 1858.7666),(70 1824.6368),(71 1824.4),(72 1828.0881),(73 1797.28),(74 1802.7445),(75 1833.6519),(76 1819.3141),(77 1822.6849),(78 1835.0483),(79 1834.7881),
(1 614.1764),(2 881.0453),(3 1106.1279),(4 1217.5798),(5 1304.3778),(6 1379.3091),(7 1449.6866),(8 1520.496),(9 1547.4589),(10 1578.8677),(11 1611.8262),(12 1615.1615),(13 1610.2957),(14 1627.3986),(15 1654.399),(16 1680.8776),(17 1717.3712),(18 1714.2627),(19 1716.524),(20 1747.6046),(21 1748.6692),(22 1767.3625),(23 1792.4661),(24 1773.033),(25 1764.4524),(26 1777.4496),(27 1766.2147),(28 1796.3081),(29 1783.5609),(30 1784.0875),(31 1808.3744),(32 1795.7854),(33 1796.3289),(34 1808.6841),(35 1786.2625),(36 1795.7993),(37 1826.7656),(38 1803.6566),(39 1810.2903),(40 1846.4884),(41 1796.675),(42 1808.9409),(43 1816.4279),(44 1805.539),(45 1802.657),(46 1828.6128),(47 1806.1283),(48 1796.3308),(49 1822.7305),(50 1802.1803),(51 1820.7703),(52 1839.2166),(53 1843.8909),(54 1859.8562),(55 1834.9419),(56 1837.055),(57 1853.7585),(58 1826.8618),(59 1836.1777),(60 1864.2501),(61 1841.5457),(62 1855.4182),(63 1881.29),(64 1845.6298),(65 1850.653),(66 1864.1665),(67 1843.6866),(68 1835.275),(69 1843.4541),(70 1807.4332),(71 1812.631),(72 1832.5654),(73 1803.7833),(74 1811.8335),(75 1855.461),(76 1835.5537),(77 1826.8392),(78 1853.1947),(79 1843.9521),
(1 591.17126),(2 866.08997),(3 1062.9467),(4 1163.8564),(5 1259.8671),(6 1321.7222),(7 1390.927),(8 1455.2638),(9 1487.5753),(10 1542.2072),(11 1592.2894),(12 1604.4695),(13 1596.2595),(14 1614.538),(15 1619.8784),(16 1635.1306),(17 1655.8794),(18 1649.1246),(19 1642.4869),(20 1670.459),(21 1661.8344),(22 1678.7424),(23 1698.8428),(24 1674.9069),(25 1673.3948),(26 1683.1733),(27 1656.534),(28 1687.6937),(29 1677.0286),(30 1688.7616),(31 1708.7517),(32 1690.0804),(33 1690.391),(34 1707.368),(35 1689.5175),(36 1716.3743),(37 1733.3872),(38 1706.8518),(39 1725.0928),(40 1781.5972),(41 1744.8568),(42 1747.8916),(43 1775.1473),(44 1764.2057),(45 1771.3729),(46 1796.7571),(47 1780.1586),(48 1791.4922),(49 1819.9291),(50 1781.8054),(51 1804.6727),(52 1828.9325),(53 1822.4918),(54 1848.6935),(55 1823.1956),(56 1832.948),(57 1857.2178),(58 1817.2302),(59 1824.8065),(60 1857.4851),(61 1831.6611),(62 1852.307),(63 1899.3867),(64 1877.517),(65 1876.7292),(66 1897.141),(67 1883.5082),(68 1881.8984),(69 1898.3604),(70 1867.6152),(71 1860.4149),(72 1863.8021),(73 1829.574),(74 1840.7952),(75 1877.1223),(76 1851.2202),(77 1842.5267),(78 1857.1758),(79 1842.1929),
(1 584.16327),(2 851.3318),(3 1066.9063),(4 1174.4597),(5 1270.5149),(6 1330.9329),(7 1378.5931),(8 1434.6957),(9 1454.7092),(10 1493.1382),(11 1550.7235),(12 1542.0171),(13 1554.1321),(14 1572.8385),(15 1590.0146),(16 1588.029),(17 1630.364),(18 1600.0803),(19 1628.7352),(20 1645.7535),(21 1627.3871),(22 1635.748),(23 1627.3365),(24 1627.2217),(25 1630.9934),(26 1666.4465),(27 1649.2958),(28 1675.8363),(29 1680.4303),(30 1680.6393),(31 1727.1165),(32 1695.8867),(33 1706.7034),(34 1707.1719),(35 1684.6255),(36 1694.9701),(37 1726.7367),(38 1705.732),(39 1717.0487),(40 1749.5864),(41 1725.8431),(42 1738.3461),(43 1760.837),(44 1736.1946),(45 1737.3734),(46 1755.2592),(47 1730.7852),(48 1749.4344),(49 1790.3622),(50 1765.8313),(51 1796.9452),(52 1821.8134),(53 1827.2555),(54 1824.1896),(55 1802.033),(56 1813.2766),(57 1846.9573),(58 1817.6312),(59 1820.2946),(60 1848.5397),(61 1831.8763),(62 1849.8965),(63 1878.653),(64 1865.0417),(65 1851.7316),(66 1864.336),(67 1844.9421),(68 1840.2855),(69 1859.227),(70 1831.094),(71 1829.6841),(72 1815.8337),(73 1761.4012),(74 1766.8955),(75 1803.1122),(76 1772.4137),(77 1769.6764),(78 1796.3737),(79 1802.8527),
(1 571.7254),(2 821.5943),(3 1017.09216),(4 1125.6094),(5 1221.2699),(6 1285.5841),(7 1342.921),(8 1386.3656),(9 1423.0917),(10 1455.8326),(11 1505.0216),(12 1499.6007),(13 1511.5292),(14 1522.1744),(15 1547.5767),(16 1569.0251),(17 1585.463),(18 1578.4027),(19 1610.9526),(20 1617.3317),(21 1601.6908),(22 1608.6792),(23 1627.3617),(24 1614.7126),(25 1634.8853),(26 1653.5514),(27 1640.5563),(28 1667.9033),(29 1664.1423),(30 1663.058),(31 1692.7335),(32 1661.5941),(33 1663.5437),(34 1674.8881),(35 1657.1781),(36 1675.8157),(37 1700.8464),(38 1667.6792),(39 1670.8208),(40 1705.1378),(41 1693.9965),(42 1704.4419),(43 1725.5709),(44 1702.368),(45 1713.4922),(46 1746.7264),(47 1708.3202),(48 1713.2062),(49 1711.6708),(50 1699.6306),(51 1715.3881),(52 1747.2026),(53 1742.7888),(54 1762.3785),(55 1737.5133),(56 1731.836),(57 1751.4169),(58 1724.3796),(59 1740.9799),(60 1769.4171),(61 1753.8937),(62 1768.2682),(63 1785.1503),(64 1762.1802),(65 1757.4858),(66 1778.068),(67 1749.7699),(68 1760.2916),(69 1767.1211),(70 1736.5094),(71 1740.9912),(72 1738.3198),(73 1704.9397),(74 1710.9861),(75 1731.6273),(76 1700.3914),(77 1702.9933),(78 1731.6525),(79 1720.9033),
(1 568.7485),(2 817.87445),(3 1000.2748),(4 1110.4039),(5 1199.4828),(6 1244.6674),(7 1306.627),(8 1369.9387),(9 1407.8507),(10 1427.2684),(11 1465.9923),(12 1475.6605),(13 1485.1116),(14 1502.7142),(15 1504.8156),(16 1521.9338),(17 1524.8175),(18 1517.4827),(19 1550.62),(20 1567.5513),(21 1575.8135),(22 1584.1847),(23 1580.7687),(24 1589.4608),(25 1595.1278),(26 1622.4255),(27 1625.4113),(28 1651.7596),(29 1640.3029),(30 1649.7699),(31 1661.7856),(32 1636.3966),(33 1634.8624),(34 1652.0085),(35 1639.5511),(36 1654.9509),(37 1679.4872),(38 1652.137),(39 1668.6542),(40 1673.4293),(41 1655.213),(42 1666.738),(43 1684.8033),(44 1679.222),(45 1684.5068),(46 1710.2216),(47 1708.465),(48 1718.7878),(49 1736.22),(50 1720.6749),(51 1748.2656),(52 1789.0538),(53 1762.7483),(54 1776.103),(55 1746.0677),(56 1757.4601),(57 1768.4601),(58 1744.8928),(59 1761.519),(60 1767.2351),(61 1752.9126),(62 1766.9843),(63 1771.3469),(64 1736.9202),(65 1723.5781),(66 1740.8104),(67 1724.0426),(68 1712.0721),(69 1724.0831),(70 1696.6981),(71 1691.9506),(72 1706.4713),(73 1686.3944),(74 1705.997),(75 1740.5559),(76 1723.1599),(77 1714.1881),(78 1717.3993),(79 1714.6044),
(1 556.3626),(2 806.82666),(3 986.9038),(4 1085.3796),(5 1160.9415),(6 1211.1191),(7 1262.3569),(8 1318.3639),(9 1346.4502),(10 1378.3461),(11 1415.2953),(12 1414.1023),(13 1439.2522),(14 1462.3287),(15 1463.0636),(16 1483.1791),(17 1518.9545),(18 1505.004),(19 1525.6727),(20 1542.4661),(21 1540.9141),(22 1547.3171),(23 1559.4982),(24 1556.6196),(25 1564.1254),(26 1592.1415),(27 1605.1976),(28 1620.3242),(29 1611.6088),(30 1628.0659),(31 1634.7549),(32 1617.6066),(33 1619.0248),(34 1640.2484),(35 1619.1019),(36 1632.4619),(37 1640.7289),(38 1601.6083),(39 1611.4789),(40 1622.0416),(41 1598.8942),(42 1613.7139),(43 1627.4077),(44 1624.562),(45 1616.145),(46 1653.7211),(47 1640.7456),(48 1665.7251),(49 1677.3369),(50 1662.8087),(51 1683.448),(52 1715.5504),(53 1703.5609),(54 1722.9653),(55 1710.4905),(56 1716.6265),(57 1743.2019),(58 1719.4248),(59 1713.1782),(60 1715.239),(61 1700.4806),(62 1715.0046),(63 1721.9108),(64 1703.0232),(65 1702.0475),(66 1715.0624),(67 1682.2246),(68 1673.8894),(69 1684.5228),(70 1652.1152),(71 1645.4672),(72 1668.3739),(73 1651.2753),(74 1656.9963),(75 1684.5922),(76 1669.0629),(77 1661.5151),(78 1672.2969),(79 1663.38),
(1 553.51117),(2 788.93463),(3 984.04),(4 1083.8954),(5 1161.5061),(6 1221.2356),(7 1274.1985),(8 1330.9689),(9 1354.5575),(10 1376.3416),(11 1398.7698),(12 1403.1073),(13 1431.9451),(14 1441.3347),(15 1431.4985),(16 1446.4332),(17 1472.2455),(18 1468.4634),(19 1488.2772),(20 1503.82),(21 1501.3013),(22 1499.5851),(23 1521.1927),(24 1510.7605),(25 1514.5652),(26 1538.8796),(27 1534.1705),(28 1546.2241),(29 1534.2235),(30 1541.2767),(31 1555.0006),(32 1526.8303),(33 1539.3672),(34 1558.8971),(35 1533.9956),(36 1554.7467),(37 1548.9149),(38 1532.1526),(39 1557.4508),(40 1571.7789),(41 1537.8666),(42 1542.9968),(43 1563.8177),(44 1549.3483),(45 1557.229),(46 1587.0413),(47 1569.5696),(48 1575.5864),(49 1605.2067),(50 1580.0942),(51 1578.5247),(52 1594.61),(53 1599.9559),(54 1625.6459),(55 1624.6862),(56 1634.9336),(57 1657.7007),(58 1618.6066),(59 1619.1761),(60 1650.38),(61 1629.2928),(62 1645.2463),(63 1667.8375),(64 1648.5875),(65 1656.4215),(66 1678.4493),(67 1646.5505),(68 1633.7305),(69 1655.1444),(70 1623.6207),(71 1627.4281),(72 1656.9724),(73 1625.6736),(74 1635.7593),(75 1660.3531),(76 1647.6262),(77 1678.3826),(78 1671.3203),(79 1674.7191),
