1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 527619.2),(2 863325.5),(3 889350),(4 1936940),(5 2830121.8),(6 3258826.3),(7 4783889.5),(8 6172854.5),(9 7106000.5),(10 9042185),(11 10757947),(12 11911512),(13 14185948),(14 16063923),(15 17255638),(16 19324354),(17 21461506),(18 22771718),(19 24855846),(20 27027726),(21 28628480),(22 30984984),(23 33063712),(24 33984590),(25 35479230),(26 36947252),(27 37358748),(28 38564268),(29 39405716),(30 39337908),(31 39948140),(32 40527516),(33 40418520),(34 40780572),(35 40901316),(36 40320136),(37 40956436),(38 41799004),(39 42541508),(40 44021836),(41 45063724),(42 45050304),(43 45691732),(44 46369230),(45 46457810),(46 47618268),(47 48951628),(48 49841308),(49 51361700),(50 53340656),(51 54642530),(52 56628160),(53 58737740),(54 59849004),(55 61494812),(56 63421788),(57 64511124),(58 66342796),(59 68257160),(60 68914936),(61 69699016),(62 71082390),(63 71611896),(64 72322250),(65 73533920),(66 74327576),(67 75159710),(68 76430104),(69 76808170),(70 77524900),(71 78497190),(72 78682376),(73 79224310),(74 80409910),(75 80836616),(76 81745990),(77 83356424),(78 84383140),(79 85368930),
(1 1080.1465),(2 1349.7811),(3 1509.6664),(4 1601.4882),(5 1674.5215),(6 1774.0276),(7 1859.0516),(8 1920.3131),(9 1974.3268),(10 2024.3291),(11 2063.3276),(12 2072.2852),(13 2122.9756),(14 2096.9983),(15 2074.5413),(16 2046.6631),(17 2019.2561),(18 2017.3572),(19 2010.2478),(20 2002.1619),(21 1980.7898),(22 1953.4893),(23 1962.618),(24 1985.5537),(25 1990.1842),(26 2004.6136),(27 2043.2837),(28 2099.373),(29 2121.4263),(30 2152.351),(31 2201.3027),(32 2203.421),(33 2187.2207),(34 2189.4023),(35 2181.6296),(36 2152.5403),(37 2148.9233),(38 2156.1772),(39 2134.1074),(40 2125.9478),(41 2092.7388),(42 2074.5427),(43 2079.0234),(44 2033.4619),(45 2037.6947),(46 2029.31),(47 1998.5286),(48 2005.0508),(49 1994.38),(50 1989.4602),(51 2021.7869),(52 2023.1775),(53 2022.4685),(54 2038.4147),(55 2016.7252),(56 2015.7444),(57 2034.4208),(58 2056.7778),(59 2034.6907),(60 2057.4922),(61 2047.0056),(62 2054.753),(63 2062.0146),(64 2057.2676),(65 2041.5339),(66 2023.217),(67 2036.1),(68 2052.1753),(69 2053.8767),(70 2057.882),(71 2054.661),(72 2062.03),(73 2093.5298),(74 2075.095),(75 2106.096),(76 2056.6265),(77 2076.7502),(78 2069.99),(79 2061.241),
(1 1076.5125),(2 1320.6805),(3 1495.498),(4 1585.3942),(5 1684.8561),(6 1762.9019),(7 1838.531),(8 1910.4414),(9 1975.7004),(10 2023.3634),(11 2062.965),(12 2092.3633),(13 2097.3352),(14 2104.6526),(15 2105.073),(16 2061.6682),(17 2033.0205),(18 2008.2769),(19 1998.6241),(20 2000.8666),(21 1981.7756),(22 2005.5702),(23 2026.8567),(24 2019.2072),(25 2032.6326),(26 2054.9792),(27 2094.3906),(28 2142.5083),(29 2185.1157),(30 2163.5115),(31 2203.729),(32 2185.6758),(33 2205.8599),(34 2228.4507),(35 2203.7766),(36 2178.1726),(37 2159.3066),(38 2116.0054),(39 2107.839),(40 2053.0137),(41 2041.0587),(42 2023.0796),(43 2006.7765),(44 1981.7416),(45 1978.1322),(46 1963.2294),(47 1963.2762),(48 1953.2996),(49 1945.1027),(50 1951.8937),(51 1989.3195),(52 1975.4854),(53 1990.3606),(54 1989.1907),(55 2011.1567),(56 2007.4069),(57 2001.0157),(58 2043.8606),(59 2045.0317),(60 2055.8691),(61 2080.9817),(62 2054.007),(63 2051.809),(64 2056.0857),(65 2045.9794),(66 2051.0251),(67 2070.7563),(68 2069.5364),(69 2089.103),(70 2094.3984),(71 2092.8818),(72 2114.6223),(73 2129.5615),(74 2134.5461),(75 2144.067),(76 2127.3555),(77 2136.5332),(78 2114.2993),(79 2125.614),
(1 1077.4792),(2 1304.2996),(3 1462.73),(4 1563.1384),(5 1675.6233),(6 1739.2704),(7 1820.5044),(8 1891.4817),(9 1968.8433),(10 2021.6542),(11 2018.8417),(12 2043.4524),(13 2069.0955),(14 2050.0205),(15 2028.9369),(16 2002.7059),(17 1961.1873),(18 1953.7068),(19 1930.1322),(20 1883.3856),(21 1895.2461),(22 1908.4536),(23 1918.3522),(24 1922.1644),(25 1970.1272),(26 1979.8624),(27 2031.1954),(28 2077.0967),(29 2100.8728),(30 2121.2856),(31 2163.8086),(32 2126.6062),(33 2135.3882),(34 2111.7698),(35 2110.9636),(36 2090.289),(37 2069.6594),(38 2030.017),(39 2017.9949),(40 1994.8501),(41 2005.7305),(42 1998.2418),(43 1998.61),(44 1980.4054),(45 1966.9695),(46 1954.5404),(47 1961.2513),(48 1973.7942),(49 1974.9454),(50 1986.3511),(51 1993.8722),(52 1999.6486),(53 2014.9426),(54 2031.4565),(55 2054.3855),(56 2031.9973),(57 2033.5267),(58 2062.9922),(59 2033.3656),(60 2023.9878),(61 2025.835),(62 2026.388),(63 1988.8323),(64 1995.2341),(65 1998.6351),(66 2004.9027),(67 2020.3158),(68 1985.6028),(69 1998.6185),(70 2012.5984),(71 2007.8464),(72 2017.1068),(73 2020.6703),(74 2030.1836),(75 2027.1876),(76 2036.0607),(77 2028.7944),(78 2039.464),(79 2034.9432),
(1 1059.866),(2 1278.0654),(3 1438.4357),(4 1506.194),(5 1629.9838),(6 1701.679),(7 1762.3219),(8 1811.6584),(9 1862.7704),(10 1906.5345),(11 1934.8206),(12 1925.9265),(13 1953.7455),(14 1917.1627),(15 1919.6498),(16 1882.7015),(17 1865.1597),(18 1864.8082),(19 1861.5295),(20 1820.1989),(21 1821.6536),(22 1810.5822),(23 1824.5166),(24 1835.1074),(25 1883.5901),(26 1904.4515),(27 1950.344),(28 2015.7657),(29 2000.101),(30 1996.6647),(31 2018.7695),(32 2004.7778),(33 1983.5978),(34 1987.7388),(35 1965.1886),(36 1961.568),(37 1927.8086),(38 1932.2399),(39 1915.888),(40 1884.7904),(41 1867.6536),(42 1868.4753),(43 1859.9952),(44 1857.7017),(45 1868.1289),(46 1881.7146),(47 1882.5198),(48 1870.5283),(49 1880.4657),(50 1897.0157),(51 1908.7653),(52 1899.0438),(53 1911.5278),(54 1937.1571),(55 1916.8772),(56 1935.8423),(57 1926.152),(58 1961.491),(59 1946.3945),(60 1940.4647),(61 1951.5198),(62 1932.8055),(63 1946.3429),(64 1926.9569),(65 1905.4741),(66 1911.7197),(67 1917.2565),(68 1906.266),(69 1907.7908),(70 1927.7041),(71 1926.6959),(72 1933.2059),(73 1956.198),(74 1963.279),(75 1965.6294),(76 1954.4132),(77 1947.65),(78 1951.7738),(79 1949.3098),
(1 1041.9554),(2 1278.1484),(3 1452.748),(4 1539.9945),(5 1663.4788),(6 1727.7745),(7 1825.3278),(8 1897.8915),(9 1946.509),(10 1992.2604),(11 2022.0619),(12 2003.323),(13 2024.711),(14 1990.9836),(15 1967.3035),(16 1945.2721),(17 1926.3053),(18 1936.3053),(19 1908.223),(20 1874.7811),(21 1886.9666),(22 1895.1938),(23 1905.8485),(24 1936.2562),(25 1984.6151),(26 1984.4453),(27 2020.9447),(28 2051.809),(29 2076.541),(30 2087.6096),(31 2108.813),(32 2102.4934),(33 2106.488),(34 2104.9824),(35 2091.0093),(36 2062.5725),(37 2067.065),(38 2017.6704),(39 2019.42),(40 1981.4082),(41 1967.7867),(42 1965.4613),(43 1966.1678),(44 1951.633),(45 1943.1481),(46 1929.4607),(47 1921.532),(48 1947.4663),(49 1913.0239),(50 1942.6544),(51 1942.7147),(52 1952.6138),(53 1972.2422),(54 1958.3457),(55 1978.3246),(56 1979.2611),(57 1949.7218),(58 1980.5187),(59 1963.6443),(60 1953.9303),(61 1972.8746),(62 1954.3425),(63 1937.9525),(64 1935.6647),(65 1901.8229),(66 1898.7595),(67 1887.661),(68 1869.1304),(69 1877.0281),(70 1884.9554),(71 1898.1396),(72 1907.2172),(73 1916.8828),(74 1928.7423),(75 1933.3811),(76 1915.5035),(77 1910.9009),(78 1898.8716),(79 1901.0221),
(1 998.1929),(2 1221.8313),(3 1377.3225),(4 1441.3682),(5 1542.3468),(6 1585.1606),(7 1650.4238),(8 1727.6686),(9 1774.8801),(10 1820.7615),(11 1867.849),(12 1875.2164),(13 1882.5603),(14 1854.2928),(15 1851.7214),(16 1811.1506),(17 1816.012),(18 1788.4238),(19 1756.3712),(20 1749.1315),(21 1740.1324),(22 1721.7338),(23 1738.9319),(24 1738.4661),(25 1763.8726),(26 1799.0922),(27 1800.9625),(28 1849.0416),(29 1861.2657),(30 1875.5016),(31 1905.9337),(32 1904.5337),(33 1898.2499),(34 1891.4518),(35 1882.5073),(36 1877.8844),(37 1869.7106),(38 1835.7212),(39 1838.8151),(40 1804.1053),(41 1770.9335),(42 1757.5648),(43 1781.4227),(44 1752.6477),(45 1741.6425),(46 1731.3259),(47 1736.7081),(48 1743.6022),(49 1740.7374),(50 1757.382),(51 1776.0867),(52 1773.2041),(53 1769.8243),(54 1794.3105),(55 1789.8064),(56 1804.7924),(57 1801.1931),(58 1813.6736),(59 1812.7731),(60 1819.4979),(61 1799.4299),(62 1801.8851),(63 1819.7771),(64 1808.8905),(65 1820.5752),(66 1814.0488),(67 1819.5277),(68 1805.1936),(69 1802.7639),(70 1806.2919),(71 1809.7695),(72 1807.8071),(73 1803.483),(74 1815.8303),(75 1841.0461),(76 1833.9683),(77 1834.0958),(78 1820.4618),(79 1830.5532),
(1 979.3865),(2 1209.1218),(3 1352.805),(4 1453.4292),(5 1536.6755),(6 1604.2568),(7 1685.5005),(8 1735.5476),(9 1778.1699),(10 1835.827),(11 1886.0131),(12 1864.9349),(13 1910.8074),(14 1893.1161),(15 1865.1031),(16 1831.1202),(17 1798.4734),(18 1793.6462),(19 1787.9824),(20 1767.7716),(21 1757.7589),(22 1775.2207),(23 1805.1086),(24 1819.4034),(25 1837.0879),(26 1878.1428),(27 1897.9973),(28 1962.838),(29 1991.8025),(30 2015.1576),(31 2031.2723),(32 2062.8674),(33 2041.2948),(34 2021.2375),(35 2009.2174),(36 1967.9692),(37 1935.2476),(38 1902.3987),(39 1885.6475),(40 1865.7223),(41 1826.797),(42 1809.4639),(43 1822.6263),(44 1818.7919),(45 1824.7429),(46 1819.9666),(47 1826.7656),(48 1853.1992),(49 1855.2922),(50 1867.8601),(51 1878.2931),(52 1885.9905),(53 1900.0764),(54 1893.1989),(55 1938.141),(56 1951.262),(57 1938.6498),(58 1952.9077),(59 1971.66),(60 1963.5159),(61 1946.5212),(62 1943.8058),(63 1943.4006),(64 1939.7413),(65 1907.8938),(66 1896.561),(67 1889.1267),(68 1903.0549),(69 1895.3798),(70 1892.7485),(71 1894.4279),(72 1891.4932),(73 1893.2528),(74 1898.0084),(75 1902.7084),(76 1895.6548),(77 1912.6948),(78 1910.9232),(79 1882.3597),
(1 963.20276),(2 1174.8807),(3 1318.8492),(4 1412.3301),(5 1490.5798),(6 1563.1112),(7 1610.8585),(8 1683.6421),(9 1719.3909),(10 1737.5237),(11 1761.8202),(12 1780.5156),(13 1807.9933),(14 1816.2935),(15 1814.544),(16 1774.1085),(17 1764.7205),(18 1763.9982),(19 1742.1146),(20 1737.585),(21 1735.1259),(22 1755.1666),(23 1793.5271),(24 1798.9717),(25 1828.5962),(26 1873.3406),(27 1889.8754),(28 1921.2056),(29 1936.33),(30 1908.8031),(31 1942.1259),(32 1945.4313),(33 1921.4944),(34 1935.6367),(35 1931.8234),(36 1911.3446),(37 1897.2709),(38 1887.0156),(39 1868.6288),(40 1845.5487),(41 1814.3068),(42 1816.5807),(43 1825.9127),(44 1818.2375),(45 1812.6554),(46 1817.6229),(47 1802.3241),(48 1826.7172),(49 1812.6117),(50 1832.7314),(51 1832.7356),(52 1842.0664),(53 1842.446),(54 1839.8662),(55 1857.1202),(56 1852.1461),(57 1835.4816),(58 1850.1055),(59 1840.1482),(60 1820.8259),(61 1819.668),(62 1819.9768),(63 1818.4897),(64 1808.6854),(65 1823.0826),(66 1802.4108),(67 1788.5989),(68 1795.122),(69 1808.2018),(70 1806.2574),(71 1816.2992),(72 1844.4529),(73 1835.6222),(74 1828.3019),(75 1829.7343),(76 1827.544),(77 1845.6075),(78 1847.5325),(79 1845.0789),
(1 958.98517),(2 1139.6395),(3 1276.9528),(4 1362.8972),(5 1444.728),(6 1509.7479),(7 1563.3),(8 1634.2056),(9 1681.7484),(10 1722.7375),(11 1746.5608),(12 1761.4586),(13 1812.8081),(14 1806.4937),(15 1782.4788),(16 1770.8707),(17 1763.351),(18 1736.2079),(19 1719.014),(20 1714.2711),(21 1710.2804),(22 1702.9852),(23 1727.4023),(24 1746.36),(25 1777.3511),(26 1810.1022),(27 1842.7386),(28 1871.8574),(29 1891.6118),(30 1899.3469),(31 1903.6118),(32 1907.7349),(33 1907.528),(34 1899.369),(35 1906.6505),(36 1898.3075),(37 1886.3265),(38 1874.8947),(39 1837.8091),(40 1806.7025),(41 1784.6136),(42 1767.7067),(43 1762.4397),(44 1747.7032),(45 1746.7168),(46 1740.0319),(47 1733.1674),(48 1744.8954),(49 1744.3333),(50 1749.0137),(51 1777.2229),(52 1787.7006),(53 1777.3228),(54 1787.1698),(55 1803.1268),(56 1769.3284),(57 1763.3969),(58 1777.3102),(59 1769.7286),(60 1756.3433),(61 1747.7692),(62 1757.8887),(63 1756.0833),(64 1749.4678),(65 1759.536),(66 1760.1566),(67 1759.958),(68 1756.4697),(69 1766.6382),(70 1780.3511),(71 1789.5166),(72 1788.2491),(73 1780.9952),(74 1781.665),(75 1793.9803),(76 1788.3679),(77 1775.5686),(78 1771.3868),(79 1763.1637),
(1 943.2518),(2 1126.9424),(3 1282.8772),(4 1369.3396),(5 1455.4878),(6 1523.4469),(7 1614.323),(8 1688.7664),(9 1724.7859),(10 1747.3251),(11 1789.0349),(12 1805.3828),(13 1847.7166),(14 1836.0757),(15 1822.2848),(16 1793.423),(17 1793.5143),(18 1780.7119),(19 1761.8517),(20 1746.7498),(21 1725.5631),(22 1725.468),(23 1751.3904),(24 1755.9882),(25 1810.7261),(26 1813.7263),(27 1872.6652),(28 1897.5986),(29 1919.1107),(30 1925.5764),(31 1937.6078),(32 1942.5768),(33 1928.4818),(34 1926.0166),(35 1911.466),(36 1877.739),(37 1847.6837),(38 1823.7335),(39 1809.5787),(40 1772.2515),(41 1760.2711),(42 1753.5211),(43 1768.8539),(44 1772.3433),(45 1770.9642),(46 1764.9417),(47 1769.6172),(48 1781.9154),(49 1791.6652),(50 1797.4016),(51 1813.9507),(52 1812.0345),(53 1814.2019),(54 1822.2743),(55 1845.992),(56 1822.2518),(57 1820.6217),(58 1839.3038),(59 1815.6666),(60 1835.5305),(61 1820.9602),(62 1813.9413),(63 1793.2614),(64 1772.1118),(65 1763.0879),(66 1764.6815),(67 1743.3015),(68 1755.2438),(69 1762.817),(70 1753.8557),(71 1779.9644),(72 1772.1996),(73 1778.6368),(74 1764.4039),(75 1776.4779),(76 1755.106),(77 1763.3771),(78 1763.4788),(79 1768.3828),
(1 898.5981),(2 1084.4169),(3 1228.5698),(4 1312.9252),(5 1390.4952),(6 1440.578),(7 1526.9022),(8 1587.6896),(9 1613.7976),(10 1620.3766),(11 1648.9989),(12 1638.1285),(13 1687.522),(14 1678.9391),(15 1683.6626),(16 1661.5245),(17 1646.084),(18 1637.1665),(19 1622.6915),(20 1622.0735),(21 1627.2643),(22 1618.981),(23 1630.9918),(24 1651.472),(25 1686.7028),(26 1717.5479),(27 1760.2471),(28 1824.374),(29 1817.5858),(30 1829.6827),(31 1841.9491),(32 1850.6007),(33 1844.6654),(34 1823.2404),(35 1803.1897),(36 1793.3989),(37 1758.099),(38 1723.9354),(39 1708.0358),(40 1690.4148),(41 1676.5432),(42 1661.3943),(43 1703.5292),(44 1705.3036),(45 1697.787),(46 1691.8696),(47 1706.8934),(48 1712.279),(49 1693.2979),(50 1679.4255),(51 1714.4583),(52 1703.4277),(53 1713.5276),(54 1697.2489),(55 1715.0903),(56 1716.6144),(57 1716.8574),(58 1745.9741),(59 1729.1597),(60 1729.6782),(61 1711.1078),(62 1721.6598),(63 1699.8301),(64 1698.0122),(65 1686.8971),(66 1681.5696),(67 1697.9965),(68 1681.7432),(69 1683.9603),(70 1690.7184),(71 1691.2854),(72 1674.8665),(73 1706.6682),(74 1694.631),(75 1714.1316),(76 1693.0958),(77 1712.8656),(78 1693.561),(79 1697.8353),
(1 907.06616),(2 1106.2054),(3 1249.3331),(4 1316.7004),(5 1423.866),(6 1466.2394),(7 1550.8765),(8 1624.676),(9 1661.1427),(10 1691.4156),(11 1716.7866),(12 1715.1823),(13 1738.6324),(14 1733.6469),(15 1727.5004),(16 1711.8604),(17 1700.768),(18 1694.8473),(19 1652.2178),(20 1652.1309),(21 1677.8975),(22 1675.9991),(23 1681.3779),(24 1680.2854),(25 1723.9294),(26 1744.9928),(27 1775.2122),(28 1794.5155),(29 1792.1149),(30 1814.7485),(31 1823.7136),(32 1847.979),(33 1833.9084),(34 1819.2704),(35 1799.9745),(36 1801.2802),(37 1753.556),(38 1737.8712),(39 1727.6812),(40 1726.5735),(41 1714.3091),(42 1714.2427),(43 1743.363),(44 1745.5131),(45 1748.6099),(46 1761.3734),(47 1749.8525),(48 1773.442),(49 1735.3905),(50 1757.8788),(51 1757.0665),(52 1755.0812),(53 1731.4686),(54 1733.1854),(55 1728.8673),(56 1727.3837),(57 1720.799),(58 1737.8726),(59 1737.195),(60 1734.5757),(61 1728.9976),(62 1707.635),(63 1725.5597),(64 1707.2589),(65 1706.953),(66 1717.9504),(67 1708.5713),(68 1727.0139),(69 1701.6),(70 1706.5718),(71 1709.785),(72 1715.5995),(73 1716.0914),(74 1699.0076),(75 1713.7327),(76 1701.7932),(77 1698.2568),(78 1709.2037),(79 1708.4819),
(1 890.03314),(2 1061.7499),(3 1197.8668),(4 1269.997),(5 1365.8727),(6 1408.8909),(7 1470.7921),(8 1501.331),(9 1515.8536),(10 1547.68),(11 1577.353),(12 1575.0116),(13 1614.634),(14 1606.3013),(15 1618.1313),(16 1575.1538),(17 1563.5508),(18 1535.9791),(19 1534.706),(20 1530.011),(21 1545.984),(22 1538.2261),(23 1557.6891),(24 1583.9886),(25 1609.7809),(26 1631.2439),(27 1663.9066),(28 1696.5496),(29 1704.2971),(30 1746.5157),(31 1737.9829),(32 1749.333),(33 1739.4568),(34 1729.9674),(35 1718.9685),(36 1716.3939),(37 1697.7399),(38 1663.7346),(39 1667.573),(40 1630.5898),(41 1616.106),(42 1612.8778),(43 1624.3096),(44 1626.716),(45 1610.7328),(46 1626.9907),(47 1619.9465),(48 1626.2606),(49 1610.9484),(50 1618.2574),(51 1605.7773),(52 1611.1295),(53 1593.6891),(54 1594.722),(55 1583.9097),(56 1591.1467),(57 1580.7147),(58 1587.5486),(59 1583.9088),(60 1587.4879),(61 1586.1212),(62 1568.1665),(63 1568.0482),(64 1562.3702),(65 1571.1666),(66 1575.4548),(67 1587.6353),(68 1573.5045),(69 1582.3813),(70 1580.17),(71 1569.8224),(72 1578.0988),(73 1584.8715),(74 1590.7832),(75 1599.3794),(76 1600.4972),(77 1600.2264),(78 1592.1327),(79 1614.2758),
(1 864.0726),(2 1049.2911),(3 1172.298),(4 1231.6434),(5 1303.635),(6 1368.2626),(7 1429.8612),(8 1497.702),(9 1539.6368),(10 1568.4421),(11 1560.0809),(12 1578.7472),(13 1600.6716),(14 1601.4657),(15 1599.6973),(16 1583.6033),(17 1584.8861),(18 1561.01),(19 1536.6956),(20 1534.3657),(21 1531.6918),(22 1538.9607),(23 1568.6259),(24 1587.441),(25 1619.5153),(26 1626.3536),(27 1658.2964),(28 1690.808),(29 1695.8109),(30 1714.4415),(31 1714.947),(32 1738.9818),(33 1722.2853),(34 1716.4087),(35 1699.2743),(36 1685.3794),(37 1666.6138),(38 1652.6025),(39 1616.5862),(40 1618.2267),(41 1602.2471),(42 1609.4153),(43 1627.7957),(44 1633.123),(45 1624.8),(46 1636.6654),(47 1639.9016),(48 1639.8125),(49 1644.2192),(50 1642.719),(51 1636.4036),(52 1650.354),(53 1628.0763),(54 1626.3483),(55 1605.1343),(56 1606.9882),(57 1597.4215),(58 1593.0067),(59 1590.576),(60 1578.6031),(61 1578.1268),(62 1589.1366),(63 1597.1578),(64 1588.964),(65 1586.4141),(66 1564.0989),(67 1569.2986),(68 1562.6985),(69 1572.7803),(70 1594.626),(71 1585.3651),(72 1592.0355),(73 1621.9684),(74 1609.847),(75 1623.6416),(76 1624.4136),(77 1618.7661),(78 1615.3999),(79 1605.3066),
(1 875.5127),(2 1049.2589),(3 1171.3793),(4 1252.7357),(5 1325.4178),(6 1386.1969),(7 1447.811),(8 1507.1216),(9 1525.63),(10 1547.4309),(11 1559.8337),(12 1577.8413),(13 1595.0933),(14 1597.4594),(15 1566.0562),(16 1537.1776),(17 1526.8931),(18 1515.8418),(19 1502.1775),(20 1484.3574),(21 1497.5596),(22 1487.3544),(23 1516.8932),(24 1523.0842),(25 1556.3098),(26 1570.8507),(27 1604.5577),(28 1648.4093),(29 1668.0597),(30 1670.3584),(31 1654.8091),(32 1659.7147),(33 1658.0833),(34 1636.6896),(35 1628.1693),(36 1621.6976),(37 1594.4353),(38 1577.5376),(39 1570.0999),(40 1541.814),(41 1531.8113),(42 1529.5148),(43 1552.5704),(44 1544.841),(45 1550.1152),(46 1545.1571),(47 1553.5548),(48 1550.5161),(49 1557.4305),(50 1563.9661),(51 1567.6298),(52 1563.6086),(53 1559.3651),(54 1554.1678),(55 1560.8523),(56 1557.777),(57 1555.9781),(58 1577.9379),(59 1576.426),(60 1540.4583),(61 1533.3004),(62 1534.7966),(63 1518.493),(64 1514.2496),(65 1511.0613),(66 1496.8267),(67 1485.9276),(68 1489.0211),(69 1475.7194),(70 1482.2789),(71 1489.7019),(72 1486.3464),(73 1521.0631),(74 1539.5471),(75 1543.4886),(76 1564.0343),(77 1556.5653),(78 1564.1869),(79 1574.8564),
(1 843.6473),(2 1013.7562),(3 1153.8345),(4 1216.9369),(5 1309.017),(6 1349.4705),(7 1404.8129),(8 1478.549),(9 1509.4014),(10 1565.8138),(11 1562.6484),(12 1579.5211),(13 1591.5315),(14 1571.5989),(15 1572.4728),(16 1531.494),(17 1508.2257),(18 1490.5261),(19 1467.9987),(20 1443.4325),(21 1452.4755),(22 1454.2834),(23 1486.6237),(24 1489.1208),(25 1515.4614),(26 1549.085),(27 1575.6444),(28 1637.2374),(29 1655.9501),(30 1656.8534),(31 1646.768),(32 1644.9846),(33 1617.1647),(34 1597.6973),(35 1578.3522),(36 1591.8969),(37 1541.171),(38 1551.4197),(39 1520.2115),(40 1501.2864),(41 1487.2715),(42 1488.9995),(43 1528.799),(44 1506.1042),(45 1516.4755),(46 1525.4707),(47 1528.582),(48 1550.6288),(49 1552.9254),(50 1556.6234),(51 1567.0928),(52 1562.383),(53 1577.6997),(54 1565.8939),(55 1578.0714),(56 1585.6884),(57 1576.4335),(58 1584.9719),(59 1587.702),(60 1588.5182),(61 1577.0841),(62 1564.7805),(63 1561.2765),(64 1565.6611),(65 1541.74),(66 1531.044),(67 1530.4227),(68 1512.1906),(69 1508.7561),(70 1520.3575),(71 1530.2306),(72 1541.4087),(73 1572.3796),(74 1570.8998),(75 1581.7432),(76 1587.9436),(77 1594.1083),(78 1590.7856),(79 1594.952),
