1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 25508.4),(2 88635.22),(3 183324.95),(4 289040.88),(5 417810.16),(6 573712.3),(7 736273.2),(8 926013.25),(9 1148374.6),(10 1377051.6),(11 1628283.6),(12 1883438.6),(13 2171513.5),(14 2439987),(15 2732020),(16 3031856.8),(17 3341733.3),(18 3622341.3),(19 3907260.3),(20 4202530.5),(21 4533932),(22 4906197.5),(23 5261417.5),(24 5621038),(25 5942363.5),(26 6254946),(27 6592727.5),(28 6903133.5),(29 7182300),(30 7458656.5),(31 7736928),(32 7997513.5),(33 8261742.5),(34 8483562),(35 8724820),(36 8946337),(37 9133508),(38 9353336),(39 9607279),(40 9905654),(41 10188673),(42 10458898),(43 10723062),(44 10983595),(45 11232515),(46 11468987),(47 11640796),(48 11750620),(49 11765891),(50 11754443),(51 11768171),(52 11771048),(53 11801957),(54 11842521),(55 11894583),(56 11963256),(57 12065645),(58 12244431),(59 12405112),(60 12563981),(61 12722791),(62 12915141),(63 13126200),(64 13345875),(65 13569461),(66 13817587),(67 14087357),(68 14388093),(69 14704513),(70 15048603),(71 15411859),(72 15780415),(73 16238171),(74 16665493),(75 17100800),(76 17577510),(77 18054592),(78 18547234),(79 19068046),
(1 642.9601),(2 862.51337),(3 987.3838),(4 1086.3623),(5 1159.328),(6 1235.1793),(7 1307.3762),(8 1342.5647),(9 1400.2737),(10 1452.3729),(11 1511.7902),(12 1563.4486),(13 1620.9154),(14 1681.0988),(15 1726.3616),(16 1784.3389),(17 1835.4423),(18 1864.2203),(19 1913.5084),(20 1949.5455),(21 2003.4457),(22 2013.6823),(23 2052.2935),(24 2064.874),(25 2086.2595),(26 2106.2795),(27 2150.724),(28 2153.9565),(29 2161.9976),(30 2169.8806),(31 2166.999),(32 2162.385),(33 2168.3774),(34 2162.0647),(35 2165.1975),(36 2163.9858),(37 2182.0217),(38 2182.2153),(39 2184.5876),(40 2190.4346),(41 2171.9346),(42 2164.5813),(43 2163.3733),(44 2144.388),(45 2140.6519),(46 2135.3445),(47 2126.7317),(48 2130.03),(49 2136.3982),(50 2121.971),(51 2124.4424),(52 2114.2656),(53 2099.5925),(54 2103.0588),(55 2117.4954),(56 2108.0352),(57 2118.184),(58 2118.662),(59 2113.251),(60 2122.4404),(61 2121.6575),(62 2117.1946),(63 2116.2834),(64 2107.212),(65 2110.8909),(66 2116.33),(67 2110.9355),(68 2119.4888),(69 2128.557),(70 2140.0886),(71 2155.64),(72 2164.6619),(73 2164.6575),(74 2176.402),(75 2197.462),(76 2213.5762),(77 2225.756),(78 2230.3162),(79 2245.0024),
(1 619.31903),(2 824.3305),(3 960.7491),(4 1057.5381),(5 1137.2697),(6 1217.7639),(7 1278.4897),(8 1332.7216),(9 1386.6188),(10 1456.2633),(11 1506.3895),(12 1560.3857),(13 1637.7079),(14 1702.5372),(15 1752.7104),(16 1791.8668),(17 1870.4366),(18 1901.3633),(19 1946.2056),(20 1985.5345),(21 2041.3961),(22 2084.457),(23 2126.7295),(24 2143.7095),(25 2174.1396),(26 2198.3044),(27 2247.8137),(28 2260.902),(29 2272.0415),(30 2281.0977),(31 2292.187),(32 2295.3586),(33 2288.4167),(34 2291.1118),(35 2291.3062),(36 2290.3237),(37 2293.3435),(38 2283.2422),(39 2287.6),(40 2287.3616),(41 2281.1433),(42 2288.977),(43 2283.0916),(44 2261.936),(45 2275.6465),(46 2274.6357),(47 2266.6123),(48 2271.9243),(49 2283.307),(50 2275.9531),(51 2271.1155),(52 2269.291),(53 2262.2642),(54 2261.9258),(55 2262.446),(56 2251.541),(57 2253.3447),(58 2247.9993),(59 2242.3242),(60 2230.8953),(61 2226.567),(62 2211.154),(63 2211.2466),(64 2206.1409),(65 2220.696),(66 2228.7417),(67 2236.6792),(68 2247.7302),(69 2245.5518),(70 2258.4316),(71 2272.4946),(72 2295.3203),(73 2303.8286),(74 2293.7136),(75 2332.6235),(76 2348.1577),(77 2365.7944),(78 2391.5825),(79 2439.4514),
(1 612.6601),(2 817.8232),(3 941.8693),(4 1038.4725),(5 1105.3611),(6 1173.5117),(7 1236.7661),(8 1279.2811),(9 1331.803),(10 1372.1296),(11 1421.2439),(12 1464.3462),(13 1550.5045),(14 1596.5466),(15 1655.8036),(16 1710.54),(17 1756.5853),(18 1797.8859),(19 1828.3319),(20 1867.7169),(21 1930.6451),(22 1972.5508),(23 2015.7142),(24 2051.0652),(25 2069.602),(26 2097.7375),(27 2135.6113),(28 2149.331),(29 2175.9255),(30 2194.2239),(31 2207.4048),(32 2228.608),(33 2250.2522),(34 2247.1514),(35 2256.0737),(36 2262.135),(37 2281.5872),(38 2278.7136),(39 2297.352),(40 2284.9163),(41 2271.5535),(42 2281.589),(43 2273.453),(44 2269.681),(45 2266.0925),(46 2254.1416),(47 2251.4763),(48 2244.791),(49 2255.4197),(50 2260.556),(51 2256.7412),(52 2240.9175),(53 2236.9734),(54 2233.5823),(55 2223.58),(56 2209.2825),(57 2200.953),(58 2191.271),(59 2198.736),(60 2188.0286),(61 2169.237),(62 2156.9158),(63 2157.9849),(64 2153.4905),(65 2152.0488),(66 2146.1563),(67 2165.0415),(68 2184.0776),(69 2185.2275),(70 2184.5369),(71 2181.6548),(72 2196.3318),(73 2219.5154),(74 2241.5898),(75 2262.4175),(76 2289.26),(77 2316.3792),(78 2342.092),(79 2357.0938),
(1 600.0217),(2 802.12836),(3 916.185),(4 1025.7855),(5 1094.6833),(6 1156.8539),(7 1229.9287),(8 1277.5194),(9 1339.7012),(10 1381.5427),(11 1452.5597),(12 1500.5693),(13 1590.0288),(14 1644.1079),(15 1698.1486),(16 1758.6486),(17 1802.948),(18 1843.289),(19 1873.9089),(20 1932.3604),(21 1974.651),(22 2005.5319),(23 2060.5342),(24 2071.757),(25 2082.9758),(26 2104.4211),(27 2143.1272),(28 2153.3804),(29 2161.525),(30 2189.8),(31 2207.5288),(32 2213.0615),(33 2217.6875),(34 2224.5317),(35 2232.8188),(36 2224.955),(37 2237.194),(38 2232.4246),(39 2242.407),(40 2237.245),(41 2225.874),(42 2214.8555),(43 2221.3289),(44 2220.3928),(45 2223.211),(46 2227.4487),(47 2226.2202),(48 2227.3784),(49 2219.0894),(50 2227.0588),(51 2218.4248),(52 2208.6191),(53 2199.7046),(54 2193.681),(55 2183.5547),(56 2167.0208),(57 2152.2874),(58 2142.8438),(59 2147.0918),(60 2133.5645),(61 2126.133),(62 2127.0186),(63 2120.117),(64 2100.839),(65 2091.9622),(66 2090.5083),(67 2090.953),(68 2100.3445),(69 2097.052),(70 2109.244),(71 2126.034),(72 2125.6611),(73 2135.7454),(74 2151.1338),(75 2170.4634),(76 2202.3477),(77 2212.6563),(78 2227.0632),(79 2260.5615),
(1 600.8021),(2 808.005),(3 933.13763),(4 1024.115),(5 1081.692),(6 1147.5776),(7 1209.8809),(8 1259.0172),(9 1322.4817),(10 1369.8373),(11 1424.4199),(12 1465.3435),(13 1538.0942),(14 1607.1974),(15 1660.7052),(16 1712.8025),(17 1768.2216),(18 1803.0193),(19 1845.0634),(20 1905.6693),(21 1941.8544),(22 1968.7836),(23 1989.92),(24 2013.7317),(25 2025.8318),(26 2048.9917),(27 2076.717),(28 2091.1782),(29 2116.279),(30 2143.905),(31 2177.938),(32 2180.3293),(33 2187.1865),(34 2190.0278),(35 2195.8167),(36 2189.4292),(37 2183.4377),(38 2192.1973),(39 2189.4426),(40 2187.253),(41 2172.834),(42 2167.5188),(43 2172.3704),(44 2170.6606),(45 2172.155),(46 2185.608),(47 2188.0344),(48 2164.7078),(49 2153.8044),(50 2166.3403),(51 2164.789),(52 2169.3853),(53 2175.8796),(54 2161.101),(55 2147.5435),(56 2137.4421),(57 2128.171),(58 2121.797),(59 2116.1052),(60 2110.6687),(61 2108.865),(62 2107.4585),(63 2105.638),(64 2108.3252),(65 2106.3564),(66 2119.3801),(67 2100.2175),(68 2107.4263),(69 2112.5396),(70 2126.965),(71 2151.7654),(72 2161.0017),(73 2166.5667),(74 2187.5947),(75 2216.0278),(76 2229.8276),(77 2238.4468),(78 2256.2563),(79 2289.9463),
(1 592.5401),(2 781.15674),(3 902.62396),(4 993.6602),(5 1053.5007),(6 1125.397),(7 1186.8706),(8 1240.748),(9 1283.3616),(10 1332.1422),(11 1382.3024),(12 1417.5475),(13 1469.1844),(14 1508.3501),(15 1567.0983),(16 1610.6406),(17 1665.4985),(18 1701.7439),(19 1739.4186),(20 1776.2733),(21 1816.3779),(22 1846.9529),(23 1869.5724),(24 1894.034),(25 1909.7212),(26 1921.1022),(27 1940.7361),(28 1938.3055),(29 1948.6615),(30 1970.4843),(31 1995.9148),(32 2005.6173),(33 2002.7522),(34 2012.366),(35 2035.0986),(36 2033.294),(37 2032.4042),(38 2045.905),(39 2044.1239),(40 2030.1929),(41 2024.7607),(42 2015.4359),(43 2017.9531),(44 2019.4797),(45 2019.6128),(46 2027.7518),(47 2026.8169),(48 2018.9167),(49 2020.3251),(50 2018.4269),(51 2022.8491),(52 2019.9792),(53 2010.0709),(54 2014.3705),(55 2018.6985),(56 2009.3666),(57 2015.3945),(58 2010.8501),(59 2002.9069),(60 2014.4125),(61 2008.1542),(62 2012.0627),(63 1999.0994),(64 2006.1172),(65 2009.2118),(66 2025.5211),(67 2013.3175),(68 2016.6774),(69 2015.3992),(70 2025.3647),(71 2031.2065),(72 2042.5897),(73 2050.0684),(74 2069.6738),(75 2090.9548),(76 2101.2488),(77 2122.275),(78 2124.2048),(79 2145.1514),
(1 578.09625),(2 769.8987),(3 893.45685),(4 976.93066),(5 1029.529),(6 1100.0791),(7 1146.1213),(8 1202.2717),(9 1252.5109),(10 1299.3962),(11 1355.3252),(12 1394.8567),(13 1462.862),(14 1497.6497),(15 1564.989),(16 1604.8627),(17 1652.6447),(18 1705.502),(19 1749.6198),(20 1782.0575),(21 1818.5808),(22 1861.7759),(23 1879.6641),(24 1926.9307),(25 1933.6106),(26 1949.5685),(27 1979.1887),(28 1984.184),(29 1977.4257),(30 1993.9518),(31 2011.53),(32 2019.3815),(33 2003.1965),(34 2005.93),(35 2009.1869),(36 2003.4172),(37 1990.581),(38 1996.1274),(39 1992.3002),(40 1982.2892),(41 1988.4019),(42 1961.1769),(43 1963.5667),(44 1966.2719),(45 1949.3167),(46 1941.6113),(47 1957.0294),(48 1960.4094),(49 1960.2692),(50 1963.4064),(51 1977.831),(52 1974.7449),(53 1978.5096),(54 1973.616),(55 1974.309),(56 1964.9728),(57 1967.5614),(58 1976.3756),(59 1967.661),(60 1970.7544),(61 1961.5769),(62 1969.2173),(63 1953.2722),(64 1953.8204),(65 1946.1096),(66 1953.6589),(67 1955.2928),(68 1957.575),(69 1956.3806),(70 1961.6368),(71 1959.4313),(72 1977.814),(73 1989.9181),(74 1994.8936),(75 2011.2875),(76 2023.4143),(77 2025.7015),(78 2030.5541),(79 2042.9296),
(1 569.51715),(2 754.7169),(3 864.003),(4 940.55414),(5 996.7729),(6 1056.5313),(7 1106.8828),(8 1150.9462),(9 1194.0304),(10 1229.7069),(11 1283.2638),(12 1329.236),(13 1386.5541),(14 1422.0209),(15 1470.4098),(16 1507.6555),(17 1554.4001),(18 1592.337),(19 1617.8147),(20 1669.2015),(21 1692.7499),(22 1723.4044),(23 1756.9895),(24 1794.6903),(25 1808.2344),(26 1845.4846),(27 1878.5039),(28 1887.741),(29 1894.8787),(30 1917.1792),(31 1931.8926),(32 1956.4937),(33 1944.6273),(34 1953.5685),(35 1958.3115),(36 1961.4192),(37 1959.9517),(38 1949.4241),(39 1949.623),(40 1934.1007),(41 1932.554),(42 1912.6559),(43 1900.89),(44 1883.2799),(45 1875.8013),(46 1866.7261),(47 1856.317),(48 1847.1936),(49 1846.014),(50 1841.2113),(51 1859.5726),(52 1853.8475),(53 1850.2383),(54 1846.5051),(55 1838.0277),(56 1841.5005),(57 1845.1978),(58 1835.5614),(59 1828.9598),(60 1829.9773),(61 1824.9336),(62 1824.5887),(63 1819.0675),(64 1822.5547),(65 1822.7114),(66 1823.6222),(67 1814.8552),(68 1814.7533),(69 1817.3018),(70 1812.4689),(71 1811.6141),(72 1821.3538),(73 1826.7511),(74 1832.3733),(75 1860.4456),(76 1876.3829),(77 1885.725),(78 1892.2845),(79 1916.1411),
(1 565.479),(2 744.65515),(3 849.6008),(4 930.2008),(5 995.2039),(6 1054.2106),(7 1098.3685),(8 1137.9792),(9 1172.4746),(10 1217.3542),(11 1260.1844),(12 1306.2504),(13 1361.3904),(14 1396.71),(15 1441.9573),(16 1466.4097),(17 1504.7433),(18 1531.0905),(19 1574.8556),(20 1597.0563),(21 1637.2589),(22 1661.7601),(23 1691.972),(24 1732.8475),(25 1754.4423),(26 1776.2534),(27 1801.7257),(28 1801.5969),(29 1802.8032),(30 1830.4149),(31 1847.1779),(32 1859.025),(33 1857.6107),(34 1857.0004),(35 1865.0349),(36 1869.4492),(37 1866.6383),(38 1874.5234),(39 1879.0536),(40 1861.3733),(41 1867.2445),(42 1868.4144),(43 1866.547),(44 1861.6304),(45 1874.0132),(46 1868.0146),(47 1864.7125),(48 1852.1017),(49 1855.4867),(50 1849.7117),(51 1859.03),(52 1856.084),(53 1854.3624),(54 1850.6823),(55 1845.225),(56 1848.4252),(57 1846.8677),(58 1826.8102),(59 1827.4948),(60 1830.9641),(61 1835.5808),(62 1826.2294),(63 1831.4191),(64 1832.2275),(65 1827.8608),(66 1819.5374),(67 1821.9652),(68 1822.4816),(69 1825.1381),(70 1835.8948),(71 1828.7866),(72 1829.948),(73 1834.7266),(74 1845.6077),(75 1850.8151),(76 1859.3191),(77 1852.8611),(78 1869.4669),(79 1876.6224),
(1 545.6477),(2 718.43036),(3 828.0322),(4 919.7181),(5 987.4461),(6 1046.851),(7 1093.3578),(8 1124.2045),(9 1156.8662),(10 1204.6768),(11 1257.4976),(12 1297.703),(13 1353.5513),(14 1383.7194),(15 1425.094),(16 1461.2844),(17 1502.758),(18 1530.6488),(19 1560.572),(20 1589.7201),(21 1620.3744),(22 1645.5836),(23 1662.3735),(24 1694.384),(25 1705.0884),(26 1729.7112),(27 1765.6035),(28 1757.3436),(29 1763.9916),(30 1790.1102),(31 1800.9326),(32 1815.7445),(33 1826.9049),(34 1822.7915),(35 1827.0054),(36 1829.6335),(37 1820.1663),(38 1821.6007),(39 1826.0195),(40 1817.9689),(41 1813.4185),(42 1809.2687),(43 1807.9839),(44 1813.0692),(45 1816.0754),(46 1812.3568),(47 1819.033),(48 1808.213),(49 1809.9258),(50 1803.8037),(51 1802.8066),(52 1802.4526),(53 1799.952),(54 1793.1978),(55 1783.3921),(56 1777.7057),(57 1774.1357),(58 1774.1062),(59 1771.2285),(60 1770.8875),(61 1773.1986),(62 1784.8279),(63 1775.5983),(64 1776.8538),(65 1784.9388),(66 1786.4565),(67 1791.4825),(68 1785.3159),(69 1782.7262),(70 1790.9675),(71 1789.9115),(72 1792.2448),(73 1813.7985),(74 1828.2799),(75 1834.5944),(76 1840.4697),(77 1868.1189),(78 1889.4833),(79 1910.3865),
(1 541.6939),(2 705.07086),(3 803.9845),(4 896.3435),(5 952.67957),(6 1008.439),(7 1055.9069),(8 1077.6094),(9 1118.2397),(10 1148.0267),(11 1191.4476),(12 1224.7848),(13 1296.6646),(14 1322.2828),(15 1363.3948),(16 1389.8494),(17 1423.8735),(18 1448.3463),(19 1460.0734),(20 1488.567),(21 1501.2754),(22 1523.4916),(23 1540.3904),(24 1570.731),(25 1587.1412),(26 1602.0352),(27 1631.3444),(28 1642.3923),(29 1649.733),(30 1671.9764),(31 1669.2614),(32 1685.4208),(33 1688.548),(34 1686.7529),(35 1696.3407),(36 1702.9923),(37 1700.3551),(38 1704.1351),(39 1710.8767),(40 1707.891),(41 1720.9939),(42 1720.4003),(43 1712.5259),(44 1719.1353),(45 1728.1815),(46 1732.6887),(47 1741.8792),(48 1741.1914),(49 1727.3097),(50 1715.9614),(51 1724.9238),(52 1721.905),(53 1711.3677),(54 1699.533),(55 1694.8949),(56 1697.0233),(57 1697.1289),(58 1698.1407),(59 1697.5281),(60 1693.768),(61 1694.0366),(62 1696.6696),(63 1705.5645),(64 1696.6351),(65 1700.299),(66 1703.5591),(67 1700.6407),(68 1696.9847),(69 1694.6396),(70 1694.4562),(71 1711.4816),(72 1707.5806),(73 1725.4098),(74 1732.9131),(75 1753.286),(76 1766.1576),(77 1772.2527),(78 1775.0397),(79 1788.2063),
(1 534.5943),(2 707.17975),(3 809.6131),(4 895.5408),(5 942.2063),(6 999.3243),(7 1046.348),(8 1079.7633),(9 1121.9626),(10 1156.5552),(11 1199.1252),(12 1233.9855),(13 1282.3369),(14 1305.4764),(15 1335.1708),(16 1377.6512),(17 1402.3182),(18 1428.2509),(19 1450.2518),(20 1481.2542),(21 1489.6421),(22 1506.1154),(23 1515.0326),(24 1535.9672),(25 1558.8876),(26 1584.026),(27 1597.4576),(28 1608.0084),(29 1619.0835),(30 1642.9977),(31 1659.3113),(32 1659.4712),(33 1669.3977),(34 1672.4082),(35 1682.7559),(36 1689.0084),(37 1680.4506),(38 1685.4204),(39 1686.1261),(40 1696.1158),(41 1698.4791),(42 1711.8967),(43 1700.8027),(44 1701.2897),(45 1707.0078),(46 1705.3331),(47 1700.2545),(48 1696.0029),(49 1692.6866),(50 1692.9711),(51 1692.5815),(52 1688.12),(53 1696.4542),(54 1690.1627),(55 1686.7355),(56 1690.2098),(57 1694.1477),(58 1682.0228),(59 1670.5679),(60 1666.5316),(61 1651.7972),(62 1645.9996),(63 1649.4257),(64 1640.606),(65 1632.7327),(66 1626.9005),(67 1633.2358),(68 1641.5037),(69 1631.8871),(70 1631.6776),(71 1645.4458),(72 1665.8806),(73 1672.8633),(74 1680.0973),(75 1704.6617),(76 1712.6855),(77 1708.7026),(78 1699.641),(79 1705.6084),
(1 524.8203),(2 699.08386),(3 801.30634),(4 881.5233),(5 929.0321),(6 979.3747),(7 1019.8242),(8 1054.705),(9 1092.6849),(10 1126.4963),(11 1161.8513),(12 1187.3687),(13 1234.3043),(14 1256.3683),(15 1293.7499),(16 1321.1088),(17 1340.3464),(18 1358.5652),(19 1379.5663),(20 1407.3953),(21 1430.0873),(22 1439.869),(23 1461.7026),(24 1472.9067),(25 1492.0997),(26 1513.5988),(27 1530.3392),(28 1539.682),(29 1557.802),(30 1572.7902),(31 1576.2906),(32 1570.8462),(33 1573.0233),(34 1581.33),(35 1597.566),(36 1596.8365),(37 1599.0739),(38 1606.5966),(39 1627.8716),(40 1627.9642),(41 1631.5454),(42 1632.007),(43 1628.424),(44 1631.3729),(45 1630.6732),(46 1626.5339),(47 1624.1364),(48 1616.3737),(49 1623.1418),(50 1618.2344),(51 1602.2303),(52 1598.7318),(53 1608.9296),(54 1610.5255),(55 1606.4331),(56 1605.4307),(57 1610.5402),(58 1598.2471),(59 1596.2472),(60 1589.6995),(61 1577.5533),(62 1567.848),(63 1568.0358),(64 1568.2528),(65 1565.5773),(66 1567.062),(67 1573.074),(68 1580.0215),(69 1589.4309),(70 1577.2322),(71 1592.026),(72 1597.8771),(73 1614.4039),(74 1621.1082),(75 1629.116),(76 1637.9402),(77 1636.7865),(78 1643.948),(79 1651.603),
(1 521.4198),(2 684.1899),(3 796.20276),(4 885.23883),(5 935.81195),(6 985.12854),(7 1025.52),(8 1052.902),(9 1089.3892),(10 1117.5894),(11 1157.1234),(12 1181.9364),(13 1226.9937),(14 1246.8131),(15 1283.4329),(16 1319.3867),(17 1333.2905),(18 1348.3015),(19 1371.2902),(20 1408.5396),(21 1421.9303),(22 1452.1322),(23 1475.3309),(24 1485.356),(25 1512.445),(26 1515.6732),(27 1539.6217),(28 1536.9813),(29 1545.4749),(30 1545.3462),(31 1548.1367),(32 1550.7434),(33 1545.3429),(34 1556.124),(35 1569.2795),(36 1575.0963),(37 1579.0776),(38 1578.8816),(39 1590.4695),(40 1589.4977),(41 1586.2068),(42 1586.5488),(43 1588.6333),(44 1590.3225),(45 1592.0168),(46 1588.964),(47 1591.5071),(48 1574.4023),(49 1584.4541),(50 1585.8405),(51 1581.9493),(52 1585.0387),(53 1579.6204),(54 1582.2001),(55 1587.2654),(56 1578.5088),(57 1577.3987),(58 1563.3495),(59 1553.5269),(60 1549.3807),(61 1534.1953),(62 1535.8174),(63 1546.0255),(64 1540.2347),(65 1540.1707),(66 1528.1024),(67 1524.0681),(68 1526.8716),(69 1532.6802),(70 1519.8608),(71 1520.7035),(72 1521.1244),(73 1533.6494),(74 1544.9413),(75 1551.6721),(76 1565.468),(77 1579.2484),(78 1578.0411),(79 1590.6221),
(1 517.4071),(2 676.4272),(3 780.7921),(4 858.59467),(5 913.8282),(6 964.4607),(7 1008.59607),(8 1043.9153),(9 1086.4829),(10 1115.5294),(11 1148.0833),(12 1181.9205),(13 1226.9438),(14 1256.1323),(15 1291.0363),(16 1323.6733),(17 1339.8661),(18 1366.1908),(19 1381.7338),(20 1417.4523),(21 1420.6678),(22 1443.5135),(23 1458.1158),(24 1474.0731),(25 1488.1487),(26 1505.1396),(27 1523.2507),(28 1530.6012),(29 1540.0935),(30 1546.8898),(31 1557.5697),(32 1571.2295),(33 1578.769),(34 1585.1316),(35 1602.2072),(36 1596.6753),(37 1594.6947),(38 1582.4504),(39 1588.4501),(40 1591.085),(41 1582.3273),(42 1583.9343),(43 1593.5134),(44 1579.9922),(45 1585.4932),(46 1573.6476),(47 1570.4625),(48 1557.6226),(49 1552.5562),(50 1554.4562),(51 1563.0704),(52 1552.7517),(53 1554.8262),(54 1543.849),(55 1539.396),(56 1534.9071),(57 1523.7714),(58 1519.0193),(59 1514.2765),(60 1512.524),(61 1506.0507),(62 1511.5563),(63 1511.8947),(64 1512.5667),(65 1519.7689),(66 1518.7275),(67 1524.7013),(68 1528.0952),(69 1541.0884),(70 1536.6208),(71 1545.4675),(72 1548.7983),(73 1561.0646),(74 1569.3442),(75 1571.4918),(76 1591.2095),(77 1603.9048),(78 1612.3572),(79 1628.5084),
(1 503.00363),(2 652.9949),(3 762.49274),(4 837.2052),(5 894.2314),(6 943.8527),(7 983.37476),(8 1022.4061),(9 1066.8185),(10 1091.708),(11 1125.6511),(12 1157.3503),(13 1198.6124),(14 1232.3962),(15 1266.9718),(16 1299.3331),(17 1334.0791),(18 1353.7313),(19 1379.739),(20 1417.0737),(21 1421.5498),(22 1437.7893),(23 1463.8647),(24 1487.9176),(25 1498.6152),(26 1508.6104),(27 1538.7557),(28 1544.2233),(29 1560.5659),(30 1573.3824),(31 1593.8019),(32 1589.2357),(33 1591.8682),(34 1595.7416),(35 1602.3713),(36 1602.6008),(37 1601.9482),(38 1597.7343),(39 1608.2903),(40 1603.421),(41 1606.1937),(42 1615.3723),(43 1608.8617),(44 1600.1511),(45 1584.0763),(46 1579.0402),(47 1576.1198),(48 1563.316),(49 1558.1117),(50 1565.6484),(51 1567.8984),(52 1558.7656),(53 1560.295),(54 1557.8134),(55 1559.4648),(56 1562.2279),(57 1564.3385),(58 1566.3247),(59 1566.774),(60 1564.838),(61 1546.5165),(62 1535.8044),(63 1539.9087),(64 1532.0238),(65 1533.4313),(66 1539.1022),(67 1545.7393),(68 1543.4802),(69 1540.1991),(70 1524.307),(71 1526.7516),(72 1534.627),(73 1547.8104),(74 1545.9713),(75 1553.2915),(76 1560.1085),(77 1566.0247),(78 1563.5284),(79 1565.6143),
