1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8069.078),(2 15743.394),(3 33724.938),(4 48224.863),(5 66732.87),(6 84004.01),(7 108834.75),(8 132688.7),(9 157296.08),(10 180410.2),(11 213733.92),(12 244673.75),(13 287808.7),(14 329241.22),(15 389766.25),(16 442588.5),(17 488795.75),(18 544637.8),(19 595536.56),(20 646905.25),(21 701477.3),(22 749255),(23 807309.3),(24 856426),(25 915984),(26 983704.56),(27 1066424.6),(28 1136198.9),(29 1227392.1),(30 1312403.6),(31 1405045.4),(32 1495985.4),(33 1585468.6),(34 1670735.1),(35 1752373.6),(36 1837966.4),(37 1925196.4),(38 2021854),(39 2132487.5),(40 2232837),(41 2339689.8),(42 2441864.8),(43 2561997.8),(44 2682375.3),(45 2802283.8),(46 2927864),(47 3050831.3),(48 3171032),(49 3312994.3),(50 3433774),(51 3580116.8),(52 3738388),(53 3899190.8),(54 4066652),(55 4256671.5),(56 4462364),(57 4646065.5),(58 4843877.5),(59 5049238.5),(60 5246860),(61 5479348.5),(62 5709195.5),(63 5961006.5),(64 6190152.5),(65 6426824),(66 6674690.5),(67 6907172),(68 7184179.5),(69 7456280.5),(70 7722976),(71 8001822.5),(72 8260056.5),(73 8515660),(74 8743591),(75 8988733),(76 9219281),(77 9440768),(78 9668303),(79 9948612),
(1 499.43985),(2 748.617),(3 831.9537),(4 841.5062),(5 865.4857),(6 883.42),(7 904.429),(8 925.6662),(9 932.3412),(10 946.3365),(11 967.7517),(12 969.80695),(13 968.07745),(14 986.1844),(15 1008.8101),(16 1002.4906),(17 1017.13385),(18 1027.5839),(19 1024.5671),(20 1041.7375),(21 1050.8595),(22 1055.3943),(23 1048.617),(24 1046.1923),(25 1057.5371),(26 1060.3969),(27 1071.1055),(28 1072.9052),(29 1068.9282),(30 1065.1821),(31 1068.8341),(32 1075.4641),(33 1085.1665),(34 1089.1736),(35 1093.5088),(36 1095.0374),(37 1084.0742),(38 1083.0112),(39 1097.5468),(40 1099.4813),(41 1094.14),(42 1098.6454),(43 1105.3715),(44 1107.6604),(45 1094.8502),(46 1092.6549),(47 1092.2024),(48 1100.8438),(49 1097.9908),(50 1100.4829),(51 1095.0524),(52 1092.9086),(53 1098.3665),(54 1095.3982),(55 1091.5731),(56 1096.2308),(57 1091.0244),(58 1086.5482),(59 1093.249),(60 1092.6592),(61 1089.5713),(62 1104.8749),(63 1111.0607),(64 1098.1791),(65 1097.4365),(66 1098.663),(67 1117.5665),(68 1120.1906),(69 1110.2037),(70 1132.0046),(71 1116.1334),(72 1115.4342),(73 1104.4703),(74 1089.1957),(75 1097.5656),(76 1098.7649),(77 1117.8407),(78 1131.7354),(79 1121.2494),
(1 476.46164),(2 704.8506),(3 800.60565),(4 823.96826),(5 842.50104),(6 857.0513),(7 884.9545),(8 901.9669),(9 921.6347),(10 942.7348),(11 947.457),(12 961.751),(13 958.95734),(14 961.5306),(15 974.131),(16 975.61224),(17 975.55835),(18 983.88165),(19 993.0922),(20 989.28723),(21 999.4329),(22 990.3984),(23 994.97284),(24 1014.4833),(25 1025.8812),(26 1022.12555),(27 1037.8501),(28 1033.418),(29 1031.2544),(30 1035.109),(31 1037.4816),(32 1038.8654),(33 1052.7952),(34 1057.7529),(35 1045.3497),(36 1040.1637),(37 1032.2905),(38 1040.3835),(39 1041.1504),(40 1041.1566),(41 1044.2128),(42 1042.4703),(43 1042.1978),(44 1042.5083),(45 1046.0045),(46 1061.3033),(47 1058.6035),(48 1058.055),(49 1051.3779),(50 1066.3741),(51 1068.3756),(52 1077.7351),(53 1068.9698),(54 1063.5531),(55 1063.1444),(56 1052.8845),(57 1059.1427),(58 1076.3932),(59 1076.1735),(60 1068.6373),(61 1062.9071),(62 1062.1306),(63 1088.6929),(64 1077.0458),(65 1073.7002),(66 1080.5464),(67 1070.6843),(68 1077.7335),(69 1078.4266),(70 1094.4102),(71 1084.2136),(72 1085.6411),(73 1079.2991),(74 1068.832),(75 1084.9429),(76 1092.3162),(77 1093.4768),(78 1091.5929),(79 1085.4275),
(1 464.91318),(2 688.4887),(3 771.84644),(4 788.378),(5 825.53467),(6 846.33997),(7 868.2867),(8 896.29),(9 914.151),(10 929.7927),(11 932.24414),(12 943.006),(13 957.60095),(14 955.7983),(15 970.5642),(16 989.3541),(17 998.2249),(18 1003.9701),(19 1012.3082),(20 1022.0658),(21 1032.1697),(22 1041.2745),(23 1024.6234),(24 1014.9442),(25 1009.23737),(26 1004.53735),(27 1018.422),(28 1018.7063),(29 1019.35657),(30 1022.6832),(31 1010.7162),(32 1019.6976),(33 1027.5336),(34 1040.7036),(35 1045.552),(36 1028.4608),(37 1021.7333),(38 1017.4436),(39 1021.6235),(40 1011.9115),(41 1033.2264),(42 1043.4126),(43 1047.2181),(44 1037.7506),(45 1031.8613),(46 1033.3406),(47 1050.7188),(48 1048.2183),(49 1040.1154),(50 1046.2721),(51 1058.628),(52 1053.2665),(53 1037.3436),(54 1038.2919),(55 1040.4111),(56 1040.2036),(57 1041.6328),(58 1057.1501),(59 1041.967),(60 1034.6031),(61 1037.7343),(62 1057.6304),(63 1070.8594),(64 1043.7651),(65 1059.6205),(66 1049.5621),(67 1047.1312),(68 1050.1483),(69 1048.9861),(70 1053.5793),(71 1051.7667),(72 1056.5409),(73 1043.303),(74 1053.637),(75 1081.7192),(76 1079.5494),(77 1078.2579),(78 1072.227),(79 1081.3752),
(1 454.2215),(2 664.81976),(3 743.67316),(4 762.2637),(5 785.46893),(6 811.0093),(7 828.6575),(8 842.2802),(9 852.34625),(10 870.31683),(11 882.5638),(12 892.57465),(13 905.5294),(14 900.84015),(15 902.5093),(16 911.9751),(17 924.8739),(18 934.8065),(19 951.5213),(20 959.67084),(21 957.33887),(22 951.86615),(23 952.16046),(24 939.32764),(25 940.0691),(26 947.1762),(27 973.0856),(28 970.3263),(29 964.23456),(30 977.4771),(31 980.5741),(32 977.0018),(33 990.123),(34 998.71875),(35 1004.6826),(36 994.3966),(37 985.77466),(38 990.95807),(39 1012.22687),(40 1006.0262),(41 1002.99963),(42 996.95825),(43 986.2384),(44 984.3496),(45 986.3065),(46 987.7255),(47 996.9395),(48 996.6236),(49 1002.30194),(50 1005.7445),(51 1002.97534),(52 1003.5251),(53 1018.4114),(54 993.41956),(55 990.7689),(56 996.9911),(57 999.17535),(58 1005.4506),(59 1012.9582),(60 1010.746),(61 1004.5296),(62 1008.597),(63 1033.1108),(64 1014.11914),(65 1008.20825),(66 1002.3645),(67 1011.4341),(68 1025.7316),(69 1027.1725),(70 1038.0897),(71 1025.162),(72 1026.9615),(73 1028.7888),(74 1033.4885),(75 1058.9537),(76 1047.2659),(77 1048.1877),(78 1050.8436),(79 1050.0829),
(1 450.52435),(2 645.0147),(3 730.1),(4 754.5424),(5 787.1575),(6 818.4568),(7 825.1206),(8 851.41785),(9 856.8628),(10 868.4372),(11 872.208),(12 887.67957),(13 896.28906),(14 898.1864),(15 911.2958),(16 923.8416),(17 927.40906),(18 951.2678),(19 949.9133),(20 952.2958),(21 960.24615),(22 960.7848),(23 947.3499),(24 945.5999),(25 957.9769),(26 963.98865),(27 975.315),(28 963.8266),(29 964.84235),(30 978.5644),(31 978.3738),(32 968.1164),(33 966.67706),(34 970.67017),(35 973.0849),(36 977.0452),(37 972.3319),(38 997.5424),(39 1016.38824),(40 996.98035),(41 1000.74805),(42 988.9615),(43 988.8616),(44 1006.4444),(45 1004.6693),(46 994.1403),(47 995.1458),(48 997.79877),(49 995.8035),(50 1013.67413),(51 1024.7902),(52 1032.3179),(53 1020.36163),(54 1001.3514),(55 993.9641),(56 992.1522),(57 999.39264),(58 1006.7313),(59 998.9333),(60 996.5671),(61 992.9777),(62 1003.6346),(63 1005.4064),(64 1001.9368),(65 1021.3789),(66 1012.6765),(67 1005.4756),(68 1012.5913),(69 1005.7585),(70 1003.42096),(71 999.2376),(72 1004.2438),(73 1010.79877),(74 1022.3854),(75 1041.2646),(76 1032.8705),(77 1037.6329),(78 1040.259),(79 1046.3162),
(1 434.0334),(2 624.18964),(3 701.9884),(4 724.8112),(5 754.6843),(6 768.2572),(7 779.9029),(8 797.03156),(9 805.3971),(10 820.0447),(11 820.9505),(12 833.56494),(13 848.35645),(14 846.9922),(15 848.3988),(16 859.53125),(17 861.34656),(18 866.0728),(19 868.1445),(20 870.87646),(21 886.2511),(22 893.84265),(23 890.70807),(24 900.2457),(25 899.38983),(26 912.6445),(27 924.59845),(28 912.1709),(29 904.8034),(30 917.3486),(31 923.0811),(32 938.6419),(33 929.0065),(34 931.34033),(35 937.98035),(36 939.1511),(37 931.69055),(38 942.35),(39 953.24445),(40 943.53735),(41 949.99304),(42 945.75665),(43 938.64087),(44 938.17175),(45 939.7304),(46 936.513),(47 931.2632),(48 931.24),(49 924.96857),(50 943.2079),(51 960.42694),(52 956.9579),(53 946.0091),(54 944.9609),(55 945.0293),(56 942.9806),(57 939.1545),(58 931.9416),(59 933.9696),(60 929.8884),(61 935.14874),(62 933.38214),(63 938.232),(64 947.7239),(65 940.213),(66 947.25073),(67 946.39355),(68 947.22266),(69 944.8786),(70 952.5086),(71 956.2709),(72 936.71735),(73 927.9498),(74 939.5509),(75 961.0878),(76 956.3913),(77 964.2653),(78 965.0225),(79 965.07916),
(1 433.61798),(2 614.4043),(3 682.9611),(4 712.99066),(5 743.8987),(6 767.95734),(7 778.26025),(8 792.17896),(9 810.7439),(10 827.0388),(11 836.45416),(12 849.5835),(13 861.8315),(14 871.3175),(15 865.0863),(16 863.49115),(17 865.0227),(18 869.20374),(19 877.40656),(20 877.3553),(21 868.9007),(22 884.4502),(23 883.5215),(24 875.86633),(25 875.95435),(26 879.9796),(27 889.43646),(28 875.6859),(29 884.61017),(30 890.8743),(31 895.10535),(32 913.0016),(33 913.4052),(34 898.97034),(35 881.1552),(36 888.52765),(37 889.55865),(38 898.7276),(39 919.09705),(40 908.8145),(41 920.23157),(42 925.44525),(43 919.0036),(44 918.91077),(45 917.7819),(46 925.6654),(47 926.98035),(48 925.7619),(49 925.8798),(50 932.70435),(51 937.45905),(52 929.6846),(53 924.86597),(54 912.37964),(55 922.0773),(56 922.1738),(57 929.5874),(58 921.43225),(59 913.58167),(60 914.7159),(61 914.8992),(62 912.34393),(63 925.63055),(64 922.86145),(65 924.97943),(66 938.61945),(67 927.41675),(68 931.50793),(69 929.9304),(70 930.1983),(71 931.25104),(72 921.68427),(73 934.5858),(74 936.63354),(75 961.2086),(76 968.18317),(77 960.851),(78 957.13495),(79 951.72473),
(1 421.30045),(2 601.08875),(3 675.1488),(4 704.1015),(5 733.7931),(6 745.5914),(7 746.4441),(8 765.05347),(9 776.5961),(10 793.02844),(11 786.58746),(12 807.51337),(13 814.82086),(14 816.5353),(15 814.11896),(16 816.6481),(17 812.91736),(18 829.2849),(19 834.5123),(20 837.17847),(21 840.4573),(22 844.7036),(23 839.87134),(24 848.1642),(25 843.7713),(26 850.02203),(27 867.08093),(28 866.6401),(29 869.82434),(30 876.46356),(31 874.77496),(32 862.71094),(33 864.775),(34 883.6666),(35 873.5838),(36 867.9694),(37 870.1059),(38 877.41266),(39 889.50244),(40 890.5306),(41 894.5151),(42 895.1337),(43 888.85126),(44 891.408),(45 891.61255),(46 895.66437),(47 896.3309),(48 894.6952),(49 892.0735),(50 892.40936),(51 901.1724),(52 889.20013),(53 894.349),(54 875.88434),(55 875.6082),(56 879.46594),(57 881.74963),(58 881.663),(59 894.5321),(60 886.9052),(61 884.69794),(62 894.74927),(63 905.5209),(64 910.3101),(65 909.2401),(66 910.8969),(67 901.0776),(68 908.94275),(69 901.33685),(70 905.33154),(71 920.2918),(72 925.05835),(73 925.8106),(74 929.5318),(75 936.00665),(76 931.342),(77 937.6806),(78 935.8494),(79 937.4429),
(1 422.48166),(2 591.196),(3 662.8795),(4 685.45624),(5 718.1577),(6 729.81805),(7 733.4857),(8 753.5486),(9 763.5489),(10 766.3341),(11 771.9987),(12 787.16705),(13 789.3854),(14 789.5725),(15 792.7489),(16 801.2852),(17 804.0631),(18 805.9106),(19 816.36365),(20 826.15436),(21 819.92957),(22 832.8953),(23 831.29126),(24 823.7549),(25 828.49115),(26 830.32117),(27 838.3341),(28 837.015),(29 837.57635),(30 844.5212),(31 849.5513),(32 841.5587),(33 852.2947),(34 856.63074),(35 849.4385),(36 849.1067),(37 850.6467),(38 840.31744),(39 859.13367),(40 855.8995),(41 874.58954),(42 886.80005),(43 872.2663),(44 867.25946),(45 865.2896),(46 880.0587),(47 886.54315),(48 884.94293),(49 884.0384),(50 882.19885),(51 889.4448),(52 865.14734),(53 875.7248),(54 877.0552),(55 877.23737),(56 875.53656),(57 872.4137),(58 864.0808),(59 853.8016),(60 862.3008),(61 872.7146),(62 872.91516),(63 875.79736),(64 862.1625),(65 855.82745),(66 861.3613),(67 880.4254),(68 883.37213),(69 887.11365),(70 886.6489),(71 877.683),(72 881.4034),(73 886.5833),(74 882.24225),(75 900.4098),(76 900.9311),(77 889.8907),(78 890.95044),(79 895.5288),
(1 406.8896),(2 568.3062),(3 634.60126),(4 664.18146),(5 689.0815),(6 703.72284),(7 712.5991),(8 717.03296),(9 732.0777),(10 733.1845),(11 729.8441),(12 733.1465),(13 747.6851),(14 757.99286),(15 760.5188),(16 768.9744),(17 778.44464),(18 791.4199),(19 795.08594),(20 798.1563),(21 798.4574),(22 803.17615),(23 804.7706),(24 814.15344),(25 815.6005),(26 802.91724),(27 808.79846),(28 818.4827),(29 816.8835),(30 823.0563),(31 828.01654),(32 824.8051),(33 823.7195),(34 827.9503),(35 827.9688),(36 822.975),(37 830.68787),(38 826.8265),(39 837.2843),(40 830.8509),(41 842.6364),(42 837.72327),(43 836.7248),(44 827.68195),(45 826.7868),(46 834.9125),(47 834.18365),(48 832.5591),(49 852.94604),(50 842.4015),(51 855.3924),(52 849.9903),(53 853.8848),(54 848.0209),(55 850.56195),(56 843.6199),(57 847.9536),(58 849.5525),(59 839.3631),(60 851.86017),(61 845.0489),(62 844.461),(63 859.95496),(64 860.4247),(65 863.5818),(66 868.5142),(67 859.5235),(68 865.5044),(69 863.71045),(70 855.27344),(71 859.77844),(72 863.22614),(73 859.1441),(74 863.974),(75 879.2924),(76 871.30194),(77 875.7475),(78 874.57495),(79 868.4316),
(1 403.81287),(2 554.31104),(3 623.03564),(4 657.0632),(5 686.26556),(6 699.8982),(7 705.2069),(8 725.4572),(9 739.57715),(10 762.1558),(11 753.59814),(12 755.92535),(13 757.95197),(14 764.62317),(15 780.6429),(16 774.8028),(17 772.5487),(18 776.53766),(19 774.50024),(20 783.0989),(21 789.72595),(22 795.5722),(23 785.3039),(24 794.1873),(25 802.23267),(26 794.69025),(27 804.6254),(28 796.0933),(29 806.5798),(30 805.06396),(31 801.55676),(32 795.40295),(33 802.6936),(34 807.5298),(35 791.2076),(36 791.9463),(37 793.63086),(38 794.8507),(39 807.23083),(40 817.17487),(41 823.95685),(42 829.73016),(43 832.6614),(44 817.1066),(45 815.6239),(46 822.80646),(47 816.9756),(48 815.7688),(49 810.6362),(50 809.79596),(51 812.00116),(52 824.02075),(53 823.5068),(54 818.189),(55 815.64545),(56 821.10236),(57 814.4726),(58 823.9665),(59 826.9449),(60 832.3623),(61 826.5893),(62 836.55493),(63 844.8379),(64 827.17303),(65 825.1675),(66 827.03235),(67 822.7228),(68 835.0226),(69 833.0377),(70 832.91345),(71 827.9503),(72 827.4683),(73 826.00977),(74 850.04614),(75 861.8486),(76 855.9081),(77 870.125),(78 876.16364),(79 882.1873),
(1 391.33655),(2 547.16626),(3 603.45325),(4 638.7956),(5 678.24316),(6 687.392),(7 692.2276),(8 695.48395),(9 704.71985),(10 706.50354),(11 719.68286),(12 735.83795),(13 732.33014),(14 723.7677),(15 738.13635),(16 751.7138),(17 757.8348),(18 760.3716),(19 766.7283),(20 777.0608),(21 783.5014),(22 785.5704),(23 784.0232),(24 781.17676),(25 788.84247),(26 780.4678),(27 786.09875),(28 780.7139),(29 788.86676),(30 803.5604),(31 803.2517),(32 800.03046),(33 794.5197),(34 789.36536),(35 788.6585),(36 783.58105),(37 780.0337),(38 789.8426),(39 796.2004),(40 776.17194),(41 787.1856),(42 797.69556),(43 809.7222),(44 807.2741),(45 798.25635),(46 790.1513),(47 796.4502),(48 810.93866),(49 811.38135),(50 800.91125),(51 814.47455),(52 805.7548),(53 811.0928),(54 810.1501),(55 805.6288),(56 818.5257),(57 816.81824),(58 810.8284),(59 802.45703),(60 815.38916),(61 819.5243),(62 814.7053),(63 813.2395),(64 814.3741),(65 813.8798),(66 818.8556),(67 814.2768),(68 817.38116),(69 810.2105),(70 810.5364),(71 806.88464),(72 803.1378),(73 800.69),(74 813.5286),(75 822.58545),(76 822.31036),(77 816.6944),(78 817.0036),(79 822.20703),
(1 377.7555),(2 519.2198),(3 579.16046),(4 608.4537),(5 641.9357),(6 645.7629),(7 661.439),(8 683.60345),(9 694.8034),(10 697.87646),(11 704.86145),(12 711.5072),(13 734.5356),(14 726.18524),(15 736.89874),(16 731.30707),(17 724.6003),(18 727.5897),(19 739.0356),(20 742.03864),(21 737.95636),(22 750.6172),(23 742.1478),(24 745.6437),(25 740.13153),(26 745.5763),(27 763.35016),(28 773.48883),(29 781.5376),(30 771.96344),(31 773.1514),(32 787.0595),(33 788.8867),(34 778.21436),(35 770.45795),(36 770.7418),(37 770.4554),(38 765.9534),(39 768.4076),(40 763.49866),(41 775.8394),(42 780.97455),(43 772.41736),(44 772.66425),(45 782.1218),(46 793.9188),(47 776.94464),(48 782.5716),(49 788.52014),(50 779.5308),(51 783.6019),(52 777.96265),(53 771.6781),(54 775.6352),(55 778.27295),(56 787.2373),(57 779.58246),(58 772.54333),(59 768.39557),(60 777.6972),(61 780.92255),(62 807.15326),(63 807.8392),(64 791.69965),(65 802.83344),(66 820.70856),(67 814.06665),(68 826.6505),(69 826.7303),(70 817.81464),(71 810.1435),(72 803.4698),(73 810.34515),(74 816.4045),(75 827.6853),(76 821.1389),(77 817.55237),(78 820.96277),(79 839.0727),
(1 373.10138),(2 516.34125),(3 571.3645),(4 600.33563),(5 632.7615),(6 634.1601),(7 647.0101),(8 662.1739),(9 666.2283),(10 663.0313),(11 674.22125),(12 685.1895),(13 684.2947),(14 688.5516),(15 706.88007),(16 710.32367),(17 726.4456),(18 734.00555),(19 734.10315),(20 734.81055),(21 735.61163),(22 732.4176),(23 726.553),(24 735.5882),(25 746.60626),(26 751.8299),(27 750.8627),(28 754.4641),(29 753.85034),(30 751.34076),(31 754.80237),(32 759.5564),(33 758.348),(34 762.9215),(35 755.93384),(36 767.4819),(37 764.31134),(38 759.8551),(39 764.73615),(40 760.9194),(41 765.3033),(42 745.4234),(43 747.79645),(44 759.9675),(45 758.1471),(46 757.86176),(47 745.9322),(48 753.50525),(49 761.9131),(50 755.6226),(51 756.1241),(52 750.40533),(53 742.33923),(54 743.77106),(55 757.6787),(56 757.7994),(57 756.7955),(58 750.4716),(59 740.4721),(60 744.8965),(61 746.29706),(62 763.19653),(63 778.3555),(64 779.09186),(65 781.2649),(66 785.1691),(67 794.33685),(68 786.36346),(69 791.2445),(70 787.80396),(71 788.70996),(72 791.6226),(73 789.83984),(74 802.9604),(75 814.4731),(76 795.44806),(77 806.9073),(78 800.45026),(79 799.4635),
(1 364.3033),(2 494.7394),(3 544.99554),(4 569.0677),(5 594.9187),(6 609.20416),(7 623.2899),(8 628.40845),(9 642.4046),(10 649.951),(11 660.10297),(12 672.972),(13 682.5442),(14 680.04816),(15 684.43756),(16 685.73474),(17 692.43097),(18 706.01996),(19 709.2482),(20 713.91547),(21 709.45154),(22 697.2187),(23 694.8097),(24 692.6933),(25 694.89935),(26 700.95905),(27 713.37274),(28 710.5021),(29 711.84534),(30 718.5254),(31 721.78094),(32 716.19574),(33 722.906),(34 723.6449),(35 719.8794),(36 730.7467),(37 726.42914),(38 718.44946),(39 708.7642),(40 717.9257),(41 728.8387),(42 724.8964),(43 719.9379),(44 722.4861),(45 726.06006),(46 734.1059),(47 729.72064),(48 725.4364),(49 725.57184),(50 730.5593),(51 726.82367),(52 727.3536),(53 722.9565),(54 721.919),(55 723.0269),(56 725.4068),(57 731.08374),(58 733.5487),(59 728.65704),(60 730.5546),(61 722.2027),(62 724.069),(63 743.0682),(64 746.3461),(65 753.14075),(66 745.70306),(67 748.25134),(68 752.24475),(69 748.9345),(70 751.39655),(71 752.7275),(72 748.5887),(73 755.47656),(74 752.3754),(75 763.0338),(76 764.06305),(77 766.27496),(78 763.7603),(79 766.0944),
(1 360.39392),(2 493.59738),(3 541.6311),(4 574.5498),(5 599.72906),(6 608.3763),(7 619.80365),(8 628.5316),(9 638.93286),(10 639.99054),(11 643.2286),(12 656.7621),(13 652.06995),(14 653.39667),(15 666.3631),(16 672.1404),(17 679.5647),(18 687.90454),(19 680.3245),(20 680.7206),(21 688.41364),(22 687.4297),(23 680.8774),(24 689.926),(25 693.8448),(26 703.78687),(27 705.9854),(28 709.51776),(29 710.88354),(30 706.57),(31 718.9043),(32 711.45435),(33 700.7381),(34 710.4525),(35 704.8432),(36 703.59955),(37 702.5727),(38 695.8326),(39 705.8097),(40 712.3641),(41 717.69293),(42 705.3147),(43 710.41833),(44 716.4863),(45 716.7339),(46 720.2322),(47 717.1798),(48 721.84705),(49 724.60297),(50 734.10614),(51 729.12103),(52 721.60156),(53 719.4739),(54 721.05273),(55 722.1995),(56 731.4102),(57 730.0849),(58 730.8258),(59 729.1106),(60 729.7867),(61 724.93896),(62 729.4381),(63 739.82367),(64 737.69855),(65 746.9527),(66 744.3124),(67 740.63226),(68 744.79065),(69 745.37244),(70 743.699),(71 743.2039),(72 741.61554),(73 745.5165),(74 759.572),(75 757.65985),(76 756.4397),(77 763.8635),(78 759.5988),(79 762.95135),
(1 348.64554),(2 468.10458),(3 532.70984),(4 554.0185),(5 575.98956),(6 577.51),(7 590.6353),(8 609.281),(9 616.45465),(10 619.9339),(11 625.0531),(12 636.08215),(13 647.8242),(14 650.3925),(15 657.8083),(16 650.1492),(17 652.4308),(18 660.7526),(19 653.0098),(20 650.1606),(21 645.97876),(22 655.5965),(23 655.573),(24 655.6257),(25 655.9252),(26 657.2152),(27 665.86224),(28 675.76025),(29 684.1125),(30 674.8514),(31 680.99005),(32 678.0035),(33 681.55896),(34 671.02374),(35 663.3932),(36 665.90356),(37 671.20074),(38 675.124),(39 670.2054),(40 679.45624),(41 682.8773),(42 678.88214),(43 682.8174),(44 682.79504),(45 688.24255),(46 681.8321),(47 678.18274),(48 686.8641),(49 693.63403),(50 695.5076),(51 698.8476),(52 695.01715),(53 688.3097),(54 688.8366),(55 693.18964),(56 698.6331),(57 700.5528),(58 701.7608),(59 702.64014),(60 695.1157),(61 705.29614),(62 704.969),(63 711.5744),(64 709.5636),(65 708.4107),(66 704.98865),(67 713.26074),(68 714.8058),(69 705.12836),(70 713.20966),(71 704.3289),(72 710.88574),(73 720.0587),(74 731.6782),(75 734.3503),(76 734.8669),(77 730.3855),(78 726.33575),(79 721.96814),
