1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 80634),(2 291739.78),(3 600503.7),(4 973405.8),(5 1386308.9),(6 1814792.4),(7 2246928.3),(8 2675826),(9 3106481.3),(10 3539862.8),(11 3975769.8),(12 4416726),(13 4862642),(14 5307584),(15 5747398),(16 6172945.5),(17 6589794.5),(18 6998760),(19 7403672),(20 7801903.5),(21 8201613.5),(22 8597331),(23 8991203),(24 9383097),(25 9773191),(26 10161829),(27 10541743),(28 10913073),(29 11284017),(30 11672811),(31 12075403),(32 12479477),(33 12872133),(34 13248129),(35 13615261),(36 13975571),(37 14335419),(38 14692555),(39 15047595),(40 15408867),(41 15783021),(42 16158541),(43 16549812),(44 16942210),(45 17349448),(46 17770358),(47 18199130),(48 18608378),(49 19010250),(50 19406550),(51 19802566),(52 20186160),(53 20569478),(54 20950128),(55 21332848),(56 21711164),(57 22087888),(58 22459464),(59 22820438),(60 23173928),(61 23510614),(62 23829786),(63 24136234),(64 24430432),(65 24706322),(66 24962910),(67 25207758),(68 25453962),(69 25707678),(70 25981070),(71 26269910),(72 26573992),(73 26890894),(74 27208898),(75 27528200),(76 27838816),(77 28140638),(78 28413400),(79 28662854),
(1 324.6891),(2 604.7865),(3 824.487),(4 980.13696),(5 1089.6829),(6 1162.122),(7 1205.6738),(8 1234.7457),(9 1259.8813),(10 1281.3815),(11 1304.0829),(12 1321.6709),(13 1335.0679),(14 1344.8517),(15 1355.4426),(16 1365.4933),(17 1376.337),(18 1383.6527),(19 1394.2365),(20 1406.7384),(21 1417.162),(22 1422.0708),(23 1430.8752),(24 1437.186),(25 1444.6959),(26 1447.2684),(27 1452.7515),(28 1455.5533),(29 1459.6559),(30 1464.6304),(31 1468.9802),(32 1473.748),(33 1478.4849),(34 1480.2513),(35 1481.5887),(36 1481.159),(37 1484.4579),(38 1483.5443),(39 1487.4753),(40 1492.1667),(41 1497.1499),(42 1500.3274),(43 1502.5112),(44 1500.785),(45 1502.6711),(46 1501.0883),(47 1500.871),(48 1500.0273),(49 1503.2224),(50 1504.2954),(51 1506.5205),(52 1505.6693),(53 1503.5806),(54 1501.025),(55 1503.319),(56 1504.1045),(57 1504.1743),(58 1503.4457),(59 1503.3226),(60 1500.1536),(61 1503.6804),(62 1503.8777),(63 1507.5645),(64 1508.9989),(65 1513.6869),(66 1512.9393),(67 1513.1833),(68 1511.3214),(69 1512.1096),(70 1510.8196),(71 1510.4745),(72 1511.6106),(73 1513.622),(74 1512.832),(75 1516.5673),(76 1517.9307),(77 1520.7693),(78 1521.0752),(79 1520.2568),
(1 319.61963),(2 599.98553),(3 821.6179),(4 976.19727),(5 1082.7681),(6 1149.033),(7 1187.4391),(8 1211.9685),(9 1233.9534),(10 1255.3998),(11 1279.698),(12 1299.8677),(13 1316.9727),(14 1330.5271),(15 1342.5686),(16 1350.3623),(17 1357.5945),(18 1362.0017),(19 1369.9867),(20 1379.0948),(21 1390.2152),(22 1399.4926),(23 1406.5763),(24 1410.8959),(25 1417.3048),(26 1423.9038),(27 1430.2372),(28 1437.677),(29 1447.3918),(30 1453.5511),(31 1459.9381),(32 1462.6104),(33 1467.224),(34 1467.8542),(35 1469.3531),(36 1468.2468),(37 1469.0796),(38 1466.4811),(39 1465.2146),(40 1463.6624),(41 1462.3776),(42 1462.4624),(43 1462.8507),(44 1463.3483),(45 1467.7632),(46 1470.9211),(47 1476.9717),(48 1476.63),(49 1477.7113),(50 1479.8142),(51 1482.4982),(52 1483.0435),(53 1481.5487),(54 1480.3217),(55 1483.2123),(56 1483.1079),(57 1480.0328),(58 1475.2262),(59 1473.8527),(60 1472.2573),(61 1473.2339),(62 1468.7749),(63 1466.5724),(64 1463.5857),(65 1463.4971),(66 1460.7454),(67 1460.5736),(68 1458.9347),(69 1461.3713),(70 1460.9518),(71 1461.294),(72 1461.7695),(73 1464.8237),(74 1462.6914),(75 1462.7955),(76 1463.7708),(77 1464.9199),(78 1466.9271),(79 1467.6195),
(1 307.0378),(2 572.88617),(3 781.34784),(4 928.4739),(5 1030.0928),(6 1098.1665),(7 1140.6934),(8 1168.3574),(9 1192.5576),(10 1210.3188),(11 1227.6724),(12 1241.5822),(13 1252.6738),(14 1260.8906),(15 1272.6517),(16 1282.3922),(17 1290.1205),(18 1296.7141),(19 1303.6631),(20 1311.0956),(21 1319.2874),(22 1323.3455),(23 1329.6575),(24 1334.6351),(25 1341.0956),(26 1346.8453),(27 1351.9006),(28 1358.3075),(29 1363.8926),(30 1365.1482),(31 1366.3524),(32 1367.1055),(33 1371.2852),(34 1372.4929),(35 1373.4998),(36 1374.0269),(37 1377.0469),(38 1375.8252),(39 1377.7178),(40 1381.9554),(41 1385.7961),(42 1386.7136),(43 1391.3756),(44 1393.3661),(45 1394.0621),(46 1393.1758),(47 1395.844),(48 1396.3545),(49 1398.6584),(50 1399.2134),(51 1401.1149),(52 1397.4976),(53 1398.5931),(54 1397.892),(55 1398.6162),(56 1395.6881),(57 1394.352),(58 1393.8502),(59 1394.8042),(60 1395.0513),(61 1396.5007),(62 1392.2998),(63 1392.3744),(64 1391.2085),(65 1393.8433),(66 1394.0402),(67 1393.5262),(68 1393.3215),(69 1395.9773),(70 1396.1675),(71 1396.8232),(72 1394.6758),(73 1395.6554),(74 1395.1553),(75 1399.9637),(76 1403.9669),(77 1408.0398),(78 1410.1862),(79 1411.9302),
(1 302.06073),(2 561.26636),(3 762.99854),(4 903.92773),(5 1001.079),(6 1064.6729),(7 1107.164),(8 1135.7456),(9 1162.4956),(10 1183.2542),(11 1204.547),(12 1221.4099),(13 1235.8419),(14 1246.8693),(15 1255.1738),(16 1263.0844),(17 1271.1924),(18 1272.8602),(19 1278.2399),(20 1285.046),(21 1292.734),(22 1297.8795),(23 1308.359),(24 1318.0878),(25 1326.8258),(26 1331.3397),(27 1335.9528),(28 1339.6187),(29 1345.7891),(30 1347.2561),(31 1347.278),(32 1344.8085),(33 1346.0632),(34 1347.0627),(35 1349.7972),(36 1349.8925),(37 1354.4948),(38 1357.5372),(39 1360.8243),(40 1359.1538),(41 1360.0122),(42 1359.3064),(43 1362.4844),(44 1363.0514),(45 1363.7059),(46 1363.6627),(47 1369.4963),(48 1373.5801),(49 1377.4904),(50 1381.7396),(51 1385.6458),(52 1385.4227),(53 1386.6831),(54 1384.7518),(55 1383.6172),(56 1378.0286),(57 1373.3047),(58 1369.0739),(59 1367.6361),(60 1366.649),(61 1371.1749),(62 1370.9258),(63 1371.726),(64 1368.541),(65 1365.4667),(66 1363.1547),(67 1361.7599),(68 1360.5842),(69 1363.7501),(70 1367.7736),(71 1370.0653),(72 1370.439),(73 1370.4222),(74 1365.3611),(75 1365.5892),(76 1366.7085),(77 1370.6504),(78 1372.1587),(79 1370.5596),
(1 298.03503),(2 552.33234),(3 747.4216),(4 883.88116),(5 977.29193),(6 1035.8798),(7 1071.0947),(8 1097.3075),(9 1120.669),(10 1137.2056),(11 1154.1442),(12 1171.7743),(13 1189.9565),(14 1201.9274),(15 1212.6842),(16 1220.9882),(17 1226.6775),(18 1231.351),(19 1239.4531),(20 1247.2286),(21 1257.1896),(22 1266.5515),(23 1277.0688),(24 1282.953),(25 1289.6232),(26 1291.6232),(27 1293.0972),(28 1295.2025),(29 1299.1117),(30 1300.319),(31 1300.3883),(32 1302.4684),(33 1309.001),(34 1315.2931),(35 1321.592),(36 1325.1531),(37 1326.7349),(38 1323.4768),(39 1324.7876),(40 1326.2759),(41 1328.8394),(42 1330.0254),(43 1334.0632),(44 1334.6178),(45 1336.3748),(46 1337.9124),(47 1339.1047),(48 1340.6722),(49 1340.7446),(50 1340.7334),(51 1340.7389),(52 1340.4086),(53 1340.3838),(54 1338.3951),(55 1341.1088),(56 1338.2653),(57 1339.5785),(58 1339.0826),(59 1340.7062),(60 1340.7479),(61 1341.1053),(62 1339.9213),(63 1337.737),(64 1337.0851),(65 1339.4049),(66 1335.9584),(67 1334.5088),(68 1332.0712),(69 1333.365),(70 1330.2362),(71 1328.3988),(72 1325.9889),(73 1326.4264),(74 1325.7379),(75 1329.9039),(76 1332.781),(77 1334.3318),(78 1335.3306),(79 1333.7561),
(1 291.74286),(2 537.8702),(3 728.5547),(4 863.5493),(5 954.8268),(6 1012.2448),(7 1046.2737),(8 1071.574),(9 1092.0662),(10 1109.8998),(11 1129.2711),(12 1144.6202),(13 1160.4381),(14 1173.3005),(15 1183.1576),(16 1192.1642),(17 1202.2291),(18 1209.5911),(19 1218.4309),(20 1225.7198),(21 1235.6641),(22 1241.4928),(23 1251.2278),(24 1256.179),(25 1258.7565),(26 1259.5283),(27 1261.1605),(28 1262.1617),(29 1265.1298),(30 1267.7572),(31 1270.2516),(32 1273.1396),(33 1275.9553),(34 1278.4261),(35 1283.0396),(36 1287.8616),(37 1292.6204),(38 1295.8944),(39 1300.2317),(40 1303.2424),(41 1303.4917),(42 1302.8674),(43 1304.6023),(44 1299.7197),(45 1297.1979),(46 1296.7241),(47 1298.0608),(48 1297.1084),(49 1299.8243),(50 1302.818),(51 1309.6866),(52 1312.2764),(53 1313.901),(54 1309.8809),(55 1310.4695),(56 1309.6246),(57 1308.9745),(58 1308.4758),(59 1310.0355),(60 1311.21),(61 1315.4849),(62 1319.3865),(63 1323.3542),(64 1322.048),(65 1321.6832),(66 1319.0115),(67 1316.4445),(68 1313.4841),(69 1315.1832),(70 1313.4376),(71 1311.485),(72 1309.9506),(73 1313.8931),(74 1313.4221),(75 1315.7607),(76 1313.3977),(77 1310.8102),(78 1311.0645),(79 1311.1443),
(1 282.61194),(2 521.83234),(3 708.5508),(4 840.5178),(5 929.92444),(6 985.17145),(7 1019.98785),(8 1043.3293),(9 1064.2797),(10 1081.7139),(11 1105.0752),(12 1125.936),(13 1141.013),(14 1152.0919),(15 1159.2373),(16 1162.6914),(17 1169.7163),(18 1177.2262),(19 1185.8337),(20 1193.0852),(21 1201.7921),(22 1209.3516),(23 1219.1019),(24 1227.8407),(25 1234.7351),(26 1237.6544),(27 1239.8422),(28 1241.88),(29 1245.7728),(30 1245.1354),(31 1246.2064),(32 1244.9553),(33 1245.9034),(34 1246.505),(35 1247.8077),(36 1248.8611),(37 1250.7365),(38 1254.6989),(39 1262.5791),(40 1267.9086),(41 1272.1781),(42 1272.5345),(43 1274.3821),(44 1274.3405),(45 1274.8131),(46 1275.4633),(47 1277.7668),(48 1275.9038),(49 1275.6554),(50 1273.3384),(51 1276.898),(52 1277.024),(53 1277.1481),(54 1277.7035),(55 1279.8287),(56 1278.0039),(57 1274.1621),(58 1270.5337),(59 1270.4642),(60 1268.4224),(61 1269.641),(62 1268.681),(63 1271.5778),(64 1270.8687),(65 1272.8075),(66 1269.0472),(67 1267.4006),(68 1268.2904),(69 1271.4215),(70 1269.4412),(71 1268.3595),(72 1268.7031),(73 1270.2368),(74 1268.0914),(75 1269.0273),(76 1266.9775),(77 1267.8048),(78 1268.4315),(79 1268.1909),
(1 277.05304),(2 510.86646),(3 690.54126),(4 816.7439),(5 903.6975),(6 961.798),(7 997.7864),(8 1023.7262),(9 1046.8185),(10 1064.3325),(11 1081.6289),(12 1094.1198),(13 1107.3934),(14 1119.08),(15 1130.1044),(16 1137.3359),(17 1143.7338),(18 1148.6334),(19 1157.0533),(20 1165.0175),(21 1171.5659),(22 1177.7667),(23 1183.5345),(24 1190.6139),(25 1196.8192),(26 1199.474),(27 1200.8234),(28 1200.285),(29 1200.7649),(30 1200.492),(31 1201.5969),(32 1201.5985),(33 1204.7272),(34 1205.5656),(35 1206.7639),(36 1210.6317),(37 1216.3868),(38 1222.0452),(39 1228.9384),(40 1233.0391),(41 1237.7938),(42 1238.0748),(43 1238.4406),(44 1234.1777),(45 1230.3605),(46 1226.6005),(47 1228.0458),(48 1231.0851),(49 1234.7787),(50 1237.1426),(51 1244.117),(52 1247.5548),(53 1249.1405),(54 1248.0482),(55 1249.0638),(56 1248.6154),(57 1248.2542),(58 1250.2405),(59 1253.1187),(60 1253.5319),(61 1256.0555),(62 1252.9841),(63 1252.8782),(64 1250.0427),(65 1249.2725),(66 1246.4167),(67 1245.8005),(68 1246.1461),(69 1248.3785),(70 1247.0067),(71 1244.3436),(72 1242.3839),(73 1244.8491),(74 1246.9222),(75 1247.8633),(76 1248.8607),(77 1251.2296),(78 1253.8248),(79 1254.2034),
(1 273.2735),(2 502.31445),(3 679.3793),(4 803.7075),(5 885.4454),(6 937.53784),(7 968.97754),(8 990.27515),(9 1008.68036),(10 1022.4873),(11 1040.2756),(12 1056.9856),(13 1071.7466),(14 1085.1465),(15 1096.1288),(16 1103.4191),(17 1111.0232),(18 1117.0691),(19 1123.68),(20 1129.4122),(21 1135.5205),(22 1139.3069),(23 1148.8884),(24 1155.7728),(25 1157.7622),(26 1158.0093),(27 1161.3105),(28 1163.2347),(29 1166.0885),(30 1169.264),(31 1171.2622),(32 1173.0615),(33 1177.649),(34 1180.3448),(35 1184.4688),(36 1185.956),(37 1189.1307),(38 1191.6626),(39 1197.66),(40 1202.6968),(41 1206.4784),(42 1208.7974),(43 1212.5353),(44 1211.9834),(45 1210.3859),(46 1207.1876),(47 1206.7958),(48 1205.2622),(49 1205.1353),(50 1206.8751),(51 1210.074),(52 1207.8247),(53 1206.6584),(54 1205.4769),(55 1208.5405),(56 1208.2975),(57 1208.2404),(58 1208.9214),(59 1209.4082),(60 1208.9602),(61 1211.481),(62 1212.1448),(63 1214.1907),(64 1213.7144),(65 1214.5383),(66 1210.2445),(67 1208.4258),(68 1208.5133),(69 1209.0979),(70 1209.3018),(71 1211.222),(72 1212.9926),(73 1213.8921),(74 1212.4565),(75 1211.6857),(76 1211.9795),(77 1213.2151),(78 1213.8574),(79 1214.9075),
(1 267.4842),(2 490.79504),(3 664.8173),(4 786.761),(5 867.3012),(6 919.0422),(7 949.4699),(8 971.75244),(9 991.6273),(10 1008.1764),(11 1023.8547),(12 1037.493),(13 1050.3004),(14 1060.0009),(15 1069.0303),(16 1075.2119),(17 1081.8624),(18 1087.9905),(19 1096.7266),(20 1105.5242),(21 1114.4478),(22 1119.8254),(23 1127.3632),(24 1131.7188),(25 1138.7494),(26 1144.0112),(27 1149.3595),(28 1150.4683),(29 1153.5684),(30 1154.2677),(31 1157.9619),(32 1160.1073),(33 1163.6167),(34 1165.4259),(35 1168.7411),(36 1170.4761),(37 1173.2902),(38 1174.1655),(39 1180.7246),(40 1181.5184),(41 1182.2239),(42 1183.1273),(43 1184.2677),(44 1180.4706),(45 1179.2468),(46 1178.4597),(47 1181.7621),(48 1183.743),(49 1186.4497),(50 1186.5419),(51 1188.5089),(52 1187.118),(53 1189.2666),(54 1189.6957),(55 1190.9427),(56 1188.7867),(57 1185.9747),(58 1182.7429),(59 1182.3726),(60 1183.0902),(61 1184.2213),(62 1182.3695),(63 1180.641),(64 1179.8953),(65 1181.8971),(66 1180.0714),(67 1179.798),(68 1178.5775),(69 1181.4878),(70 1180.7462),(71 1178.0479),(72 1176.4178),(73 1178.3262),(74 1175.9878),(75 1175.7854),(76 1177.5703),(77 1179.0446),(78 1182.304),(79 1184.2313),
(1 261.7371),(2 477.88348),(3 643.4069),(4 760.8001),(5 840.8448),(6 890.25),(7 918.8368),(8 942.94293),(9 962.5426),(10 978.43256),(11 993.8451),(12 1005.53876),(13 1016.4903),(14 1022.7777),(15 1029.657),(16 1036.0227),(17 1043.0211),(18 1048.2037),(19 1054.9474),(20 1060.4417),(21 1071.249),(22 1077.4957),(23 1086.0217),(24 1093.4479),(25 1101.3417),(26 1105.2056),(27 1109.5247),(28 1113.1416),(29 1115.8878),(30 1116.8782),(31 1119.9224),(32 1119.5918),(33 1121.5571),(34 1121.2723),(35 1125.4064),(36 1126.5798),(37 1129.048),(38 1131.1986),(39 1132.6227),(40 1133.7256),(41 1137.4551),(42 1139.3788),(43 1140.8741),(44 1140.0519),(45 1141.901),(46 1141.067),(47 1143.8822),(48 1144.0507),(49 1146.6493),(50 1146.8054),(51 1151.194),(52 1152.4642),(53 1154.3153),(54 1155.9907),(55 1158.8916),(56 1157.5548),(57 1156.2289),(58 1154.9558),(59 1156.7056),(60 1153.724),(61 1153.4314),(62 1155.2151),(63 1157.6134),(64 1157.781),(65 1160.8982),(66 1159.3964),(67 1158.1287),(68 1156.473),(69 1159.5626),(70 1158.0168),(71 1156.1797),(72 1154.4102),(73 1153.5477),(74 1154.9581),(75 1157.421),(76 1159.805),(77 1161.5547),(78 1161.6501),(79 1162.3438),
(1 257.62415),(2 470.57635),(3 632.79596),(4 747.7354),(5 824.8789),(6 872.1918),(7 902.37555),(8 923.6199),(9 942.87994),(10 958.1099),(11 975.3787),(12 990.1951),(13 1002.51636),(14 1011.0024),(15 1018.78705),(16 1027.2957),(17 1033.8038),(18 1040.6984),(19 1047.7898),(20 1056.3129),(21 1063.4266),(22 1070.1838),(23 1077.9003),(24 1083.5503),(25 1090.2542),(26 1093.4191),(27 1099.5874),(28 1105.1017),(29 1108.8771),(30 1111.6597),(31 1113.1361),(32 1113.575),(33 1117.8036),(34 1122.258),(35 1127.1522),(36 1129.5848),(37 1134.9451),(38 1135.7845),(39 1138.8406),(40 1139.1427),(41 1140.2263),(42 1140.9843),(43 1144.4393),(44 1145.9409),(45 1145.5605),(46 1144.6774),(47 1147.2988),(48 1148.3064),(49 1152.8666),(50 1152.6173),(51 1153.9524),(52 1153.4747),(53 1153.0874),(54 1152.3461),(55 1152.6915),(56 1150.8562),(57 1149.7361),(58 1147.4861),(59 1148.5156),(60 1148.9321),(61 1152.1761),(62 1152.8159),(63 1152.726),(64 1152.2819),(65 1153.5477),(66 1151.3339),(67 1151.6825),(68 1148.5121),(69 1146.786),(70 1143.827),(71 1143.2784),(72 1144.022),(73 1145.2499),(74 1145.9309),(75 1147.1483),(76 1147.6332),(77 1149.0555),(78 1150.326),(79 1150.4073),
(1 250.301),(2 454.03485),(3 610.47205),(4 718.7535),(5 791.27704),(6 838.40607),(7 870.7018),(8 892.1565),(9 911.32587),(10 925.1595),(11 940.1542),(12 951.9326),(13 961.81213),(14 969.5171),(15 977.4115),(16 983.9633),(17 990.27826),(18 996.6278),(19 1002.9389),(20 1008.7796),(21 1015.8389),(22 1018.83203),(23 1022.80206),(24 1029.2571),(25 1037.0985),(26 1040.645),(27 1044.8866),(28 1047.783),(29 1052.3241),(30 1053.7526),(31 1055.0151),(32 1055.1707),(33 1058.0842),(34 1059.6508),(35 1062.9517),(36 1067.6356),(37 1073.295),(38 1076.0992),(39 1080.4194),(40 1079.9154),(41 1082.1985),(42 1083.1895),(43 1085.1609),(44 1084.3033),(45 1083.0396),(46 1082.4362),(47 1084.7584),(48 1083.8959),(49 1083.3501),(50 1082.9047),(51 1085.489),(52 1085.6168),(53 1086.4067),(54 1087.3567),(55 1092.235),(56 1090.2805),(57 1089.782),(58 1088.9259),(59 1090.9655),(60 1089.7113),(61 1091.3191),(62 1089.6127),(63 1089.315),(64 1090.8511),(65 1092.5327),(66 1091.5211),(67 1091.8503),(68 1093.2047),(69 1094.3956),(70 1092.3177),(71 1091.8062),(72 1090.041),(73 1089.3462),(74 1089.0132),(75 1091.0143),(76 1091.9513),(77 1095.0846),(78 1096.0106),(79 1096.8143),
(1 246.69547),(2 447.85593),(3 602.2257),(4 710.9403),(5 782.8354),(6 829.3174),(7 859.11383),(8 880.6796),(9 898.38104),(10 913.48114),(11 927.5382),(12 939.3632),(13 949.1856),(14 955.6807),(15 961.68915),(16 966.2827),(17 971.3438),(18 977.40424),(19 984.7757),(20 990.9749),(21 996.6843),(22 999.81555),(23 1004.36646),(24 1010.82544),(25 1015.23395),(26 1017.73413),(27 1023.4121),(28 1026.6812),(29 1029.0525),(30 1030.4136),(31 1033.3279),(32 1035.6409),(33 1039.0935),(34 1041.6166),(35 1046.3073),(36 1049.6578),(37 1052.8146),(38 1053.6115),(39 1056.0253),(40 1055.2148),(41 1055.6866),(42 1057.1705),(43 1060.3784),(44 1061.2664),(45 1063.215),(46 1063.7886),(47 1064.3029),(48 1063.1333),(49 1065.6298),(50 1065.9664),(51 1069.5244),(52 1070.704),(53 1073.0259),(54 1071.7727),(55 1072.4666),(56 1070.2593),(57 1067.6487),(58 1067.048),(59 1066.9932),(60 1065.6622),(61 1068.9948),(62 1069.7412),(63 1072.9985),(64 1074.464),(65 1077.01),(66 1076.95),(67 1076.5477),(68 1077.1592),(69 1078.9995),(70 1075.6548),(71 1076.3937),(72 1075.4364),(73 1074.6703),(74 1074.1267),(75 1074.8693),(76 1075.1108),(77 1076.2716),(78 1077.3541),(79 1079.3511),
(1 238.93796),(2 431.7788),(3 576.51715),(4 678.2775),(5 744.7101),(6 789.2395),(7 815.3047),(8 833.84125),(9 850.43713),(10 863.1407),(11 877.79803),(12 891.01135),(13 901.83453),(14 911.5541),(15 918.65924),(16 922.8412),(17 929.68665),(18 936.82574),(19 944.7282),(20 950.1517),(21 958.32086),(22 964.4958),(23 971.90894),(24 977.2553),(25 980.07336),(26 983.09033),(27 986.92487),(28 988.22174),(29 991.4423),(30 994.1885),(31 997.17786),(32 1000.98987),(33 1004.5912),(34 1007.3874),(35 1011.1332),(36 1016.1682),(37 1021.53613),(38 1023.6516),(39 1028.1002),(40 1030.1205),(41 1031.3787),(42 1031.0653),(43 1033.0656),(44 1032.5013),(45 1034.1144),(46 1032.8105),(47 1032.0234),(48 1030.4116),(49 1029.6099),(50 1028.0691),(51 1028.4309),(52 1028.8828),(53 1030.2195),(54 1031.6942),(55 1034.6614),(56 1034.8752),(57 1035.4158),(58 1035.2633),(59 1035.9421),(60 1036.9587),(61 1040.7097),(62 1041.2906),(63 1041.3792),(64 1042.0422),(65 1043.1195),(66 1040.7677),(67 1038.8961),(68 1036.4999),(69 1036.8401),(70 1035.325),(71 1035.2542),(72 1035.8463),(73 1036.5565),(74 1035.3088),(75 1036.0708),(76 1036.321),(77 1035.5782),(78 1034.3752),(79 1032.4585),
(1 237.39203),(2 428.7676),(3 573.3555),(4 670.94763),(5 737.0064),(6 780.17615),(7 806.16254),(8 823.70233),(9 840.00824),(10 854.7216),(11 869.69946),(12 878.42896),(13 887.0613),(14 895.352),(15 904.5057),(16 910.581),(17 918.13794),(18 923.76135),(19 930.4109),(20 937.7486),(21 945.5838),(22 950.1933),(23 957.1321),(24 962.8678),(25 971.45),(26 974.2455),(27 977.97675),(28 979.35834),(29 981.9186),(30 981.5502),(31 984.83167),(32 989.32556),(33 992.2219),(34 994.209),(35 998.55396),(36 1002.37134),(37 1004.9041),(38 1007.344),(39 1013.64435),(40 1018.11597),(41 1021.3149),(42 1022.75),(43 1024.9507),(44 1024.8687),(45 1021.7518),(46 1019.7883),(47 1020.5189),(48 1020.89825),(49 1021.69),(50 1021.51733),(51 1023.10034),(52 1021.4802),(53 1020.468),(54 1019.2491),(55 1020.6472),(56 1018.1178),(57 1018.42303),(58 1019.8901),(59 1021.6094),(60 1021.6431),(61 1024.4064),(62 1023.93713),(63 1024.0792),(64 1022.2012),(65 1021.94965),(66 1022.405),(67 1023.27155),(68 1024.8032),(69 1028.2269),(70 1026.1567),(71 1025.5483),(72 1023.82733),(73 1023.03455),(74 1022.03394),(75 1023.4082),(76 1023.913),(77 1027.2863),(78 1028.9276),(79 1029.6063),
