1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42127.82),(2 138142.3),(3 262767.97),(4 424926.34),(5 625002.3),(6 887200),(7 1159733.3),(8 1432134.9),(9 1710658.1),(10 2011858.9),(11 2318628.8),(12 2693408.8),(13 3067765.3),(14 3522565),(15 4020143.3),(16 4540396.5),(17 5090588.5),(18 5669037.5),(19 6217380.5),(20 6825170.5),(21 7460478.5),(22 8100768.5),(23 8745369),(24 9464528),(25 10233763),(26 11063312),(27 11827844),(28 12631933),(29 13434672),(30 14299615),(31 15052949),(32 15861464),(33 16538693),(34 17280966),(35 17878064),(36 18501940),(37 19014322),(38 19471144),(39 19868350),(40 20241126),(41 20534394),(42 20794674),(43 21028374),(44 21226778),(45 21312134),(46 21403838),(47 21462542),(48 21480562),(49 21419346),(50 21377504),(51 21326422),(52 21317980),(53 21260922),(54 21331184),(55 21260006),(56 21166814),(57 21040010),(58 20919318),(59 20796256),(60 20689460),(61 20686440),(62 20627058),(63 20602992),(64 20633498),(65 20590808),(66 20577774),(67 20482448),(68 20327514),(69 20136382),(70 19980808),(71 19779874),(72 19573072),(73 19360590),(74 19175688),(75 18991756),(76 18880194),(77 18821402),(78 18828346),(79 18892172),
(1 137.3336),(2 175.45033),(3 198.56807),(4 209.89943),(5 218.32109),(6 228.95657),(7 233.957),(8 238.28696),(9 246.20717),(10 254.88539),(11 262.08224),(12 270.55368),(13 275.66403),(14 281.64786),(15 282.24417),(16 285.91663),(17 290.3846),(18 302.56696),(19 305.87842),(20 309.71637),(21 311.14407),(22 314.4987),(23 311.7745),(24 312.3699),(25 313.58542),(26 317.38742),(27 316.2731),(28 318.3297),(29 317.40247),(30 322.47452),(31 318.91583),(32 320.0835),(33 322.75726),(34 323.32303),(35 324.3264),(36 326.43228),(37 330.2705),(38 332.13602),(39 330.67435),(40 330.47195),(41 327.7318),(42 330.88342),(43 327.93243),(44 327.6111),(45 325.23367),(46 321.21024),(47 318.67426),(48 315.53986),(49 309.83945),(50 308.26028),(51 306.4653),(52 306.60422),(53 305.31064),(54 310.9006),(55 308.8307),(56 305.572),(57 301.89014),(58 300.05307),(59 298.982),(60 297.24435),(61 296.87976),(62 296.83945),(63 296.105),(64 299.71237),(65 299.07034),(66 303.48358),(67 305.37936),(68 305.6024),(69 307.53284),(70 309.52136),(71 314.28534),(72 310.9373),(73 312.02707),(74 313.57095),(75 311.3272),(76 309.67578),(77 311.63617),(78 319.41595),(79 319.1767),
(1 133.46266),(2 172.87508),(3 193.15437),(4 205.05692),(5 212.80637),(6 225.2231),(7 229.42245),(8 235.12694),(9 240.89418),(10 248.09064),(11 254.97078),(12 261.93036),(13 263.41504),(14 268.55606),(15 267.38168),(16 274.45154),(17 277.23093),(18 285.96838),(19 290.86194),(20 293.9226),(21 295.31302),(22 296.5265),(23 295.90814),(24 297.7314),(25 296.39777),(26 299.74454),(27 300.03238),(28 297.7732),(29 300.65576),(30 304.9634),(31 307.6482),(32 309.34317),(33 312.8038),(34 313.844),(35 315.74518),(36 318.8451),(37 320.36783),(38 322.1135),(39 321.41217),(40 322.94012),(41 320.65195),(42 323.68127),(43 321.145),(44 322.2639),(45 318.05692),(46 318.81287),(47 317.00143),(48 317.76926),(49 316.26852),(50 313.11075),(51 311.7997),(52 312.28693),(53 309.6909),(54 311.84637),(55 311.5498),(56 306.86905),(57 305.03384),(58 306.62897),(59 303.86185),(60 301.71234),(61 302.38712),(62 300.63507),(63 300.21085),(64 297.04758),(65 298.3309),(66 304.03253),(67 305.46143),(68 305.29257),(69 305.55737),(70 307.45004),(71 307.70508),(72 309.17603),(73 310.02902),(74 312.25558),(75 309.62192),(76 311.94702),(77 314.02237),(78 321.35608),(79 323.73108),
(1 133.27286),(2 169.1387),(3 191.12038),(4 201.93297),(5 213.63165),(6 223.04897),(7 227.20277),(8 233.07022),(9 240.57346),(10 248.11401),(11 254.14764),(12 257.08783),(13 261.24826),(14 266.44272),(15 266.86713),(16 270.08447),(17 277.61984),(18 284.45862),(19 287.56915),(20 292.2662),(21 293.25873),(22 294.63223),(23 293.21365),(24 294.67554),(25 294.12015),(26 297.944),(27 295.59415),(28 295.5948),(29 297.60416),(30 300.308),(31 299.65137),(32 300.42203),(33 302.52997),(34 303.74277),(35 306.14572),(36 308.9676),(37 311.71326),(38 312.45203),(39 313.4539),(40 310.58496),(41 307.0751),(42 307.63385),(43 303.66693),(44 303.17447),(45 301.8215),(46 300.97662),(47 299.40207),(48 299.0118),(49 298.03958),(50 297.99155),(51 296.51962),(52 299.14996),(53 297.6474),(54 302.69),(55 300.68018),(56 295.83615),(57 293.2058),(58 294.91525),(59 290.4915),(60 292.6427),(61 293.50977),(62 293.03806),(63 290.97568),(64 293.8463),(65 294.55167),(66 299.99045),(67 299.2724),(68 299.64532),(69 300.76514),(70 303.5941),(71 308.59442),(72 306.22983),(73 304.3768),(74 304.86926),(75 303.22748),(76 302.66702),(77 302.96887),(78 307.95016),(79 307.74283),
(1 130.69536),(2 167.31897),(3 184.85751),(4 197.23277),(5 206.22574),(6 216.70036),(7 222.50142),(8 225.5698),(9 230.6874),(10 239.2976),(11 247.90424),(12 254.311),(13 258.25705),(14 263.68695),(15 268.29364),(16 271.8857),(17 273.3767),(18 282.7803),(19 285.1528),(20 289.78726),(21 289.8528),(22 287.84937),(23 288.0514),(24 288.54242),(25 294.41718),(26 294.08536),(27 297.42914),(28 298.74048),(29 298.26025),(30 303.2318),(31 301.8565),(32 303.13962),(33 303.42273),(34 305.3716),(35 304.9894),(36 306.4417),(37 307.36127),(38 310.6321),(39 310.23657),(40 312.17368),(41 308.5753),(42 312.50836),(43 310.5637),(44 306.4882),(45 302.65247),(46 301.05),(47 300.79602),(48 299.44086),(49 297.47876),(50 294.66992),(51 293.69055),(52 290.23795),(53 289.49963),(54 291.1318),(55 288.36182),(56 286.93518),(57 285.20978),(58 285.31418),(59 283.8078),(60 284.42694),(61 284.88016),(62 284.5716),(63 283.70996),(64 281.7299),(65 283.10718),(66 288.18478),(67 290.723),(68 292.74277),(69 292.0236),(70 294.80237),(71 295.13),(72 297.15454),(73 297.21848),(74 298.2137),(75 294.90134),(76 296.15033),(77 298.77838),(78 302.22406),(79 298.56348),
(1 130.38461),(2 167.33972),(3 184.70367),(4 194.82114),(5 203.54518),(6 213.66914),(7 218.17838),(8 223.03403),(9 229.76038),(10 236.45357),(11 240.73886),(12 244.3239),(13 250.60591),(14 255.71858),(15 258.28427),(16 262.4333),(17 263.4628),(18 272.72263),(19 277.0632),(20 278.58972),(21 279.1746),(22 277.83078),(23 279.1374),(24 280.4083),(25 284.3444),(26 284.6753),(27 285.49628),(28 284.3556),(29 287.532),(30 292.379),(31 292.9956),(32 296.07617),(33 295.60883),(34 297.99094),(35 298.3748),(36 300.9467),(37 302.67432),(38 305.3179),(39 303.72278),(40 302.2496),(41 298.99445),(42 301.1833),(43 300.06396),(44 301.28717),(45 297.8171),(46 299.02795),(47 297.97025),(48 297.01938),(49 295.10434),(50 293.5049),(51 292.44397),(52 291.3844),(53 290.9091),(54 294.67862),(55 290.0109),(56 288.26544),(57 288.55914),(58 288.28265),(59 288.43164),(60 286.6737),(61 288.7609),(62 288.2919),(63 287.80472),(64 284.35876),(65 287.2724),(66 291.31195),(67 292.46838),(68 294.4662),(69 295.85468),(70 294.19266),(71 295.83545),(72 294.78467),(73 296.6576),(74 297.27597),(75 295.53293),(76 294.22446),(77 295.27332),(78 299.15417),(79 297.96817),
(1 128.94333),(2 164.28798),(3 181.44196),(4 193.91733),(5 203.58562),(6 213.78896),(7 220.61757),(8 226.8081),(9 233.83784),(10 238.52579),(11 244.53487),(12 249.945),(13 252.43604),(14 262.33066),(15 262.7365),(16 265.89688),(17 270.78882),(18 278.9548),(19 282.58426),(20 286.2978),(21 286.25677),(22 287.01498),(23 284.75754),(24 285.87747),(25 288.45135),(26 289.52344),(27 287.70752),(28 287.8682),(29 292.19608),(30 293.71313),(31 293.80112),(32 294.3543),(33 295.85236),(34 296.07535),(35 295.96738),(36 296.7736),(37 298.6877),(38 298.1791),(39 296.7144),(40 297.02234),(41 298.3577),(42 296.21783),(43 296.45538),(44 297.95712),(45 296.54016),(46 298.3333),(47 297.92346),(48 295.58218),(49 292.99463),(50 292.07242),(51 287.32706),(52 286.30048),(53 287.31534),(54 289.27206),(55 286.3177),(56 284.99487),(57 282.255),(58 284.64423),(59 281.27573),(60 283.11255),(61 285.72015),(62 285.0646),(63 282.66974),(64 284.76956),(65 287.04175),(66 290.1978),(67 292.34082),(68 291.3481),(69 293.5642),(70 294.39728),(71 294.3861),(72 292.02365),(73 291.98782),(74 294.82553),(75 290.95993),(76 290.5217),(77 292.50516),(78 297.89612),(79 295.0505),
(1 125.01889),(2 159.05344),(3 177.55196),(4 189.14445),(5 197.0684),(6 208.81758),(7 216.18251),(8 218.62178),(9 224.2334),(10 231.75385),(11 239.22186),(12 245.65883),(13 246.59868),(14 250.10779),(15 252.69861),(16 256.3257),(17 264.49588),(18 274.01047),(19 277.71255),(20 279.91595),(21 280.38086),(22 281.36502),(23 282.49893),(24 280.94608),(25 281.61548),(26 283.23013),(27 284.78528),(28 285.2248),(29 284.28674),(30 289.53058),(31 290.15454),(32 290.13684),(33 289.14407),(34 289.98727),(35 292.1211),(36 292.57486),(37 294.96658),(38 295.62836),(39 296.02203),(40 296.34457),(41 296.86197),(42 298.92355),(43 298.93906),(44 296.9548),(45 292.78287),(46 290.68716),(47 290.95407),(48 290.3023),(49 288.64267),(50 281.4846),(51 281.97128),(52 280.45407),(53 281.38483),(54 282.5406),(55 279.38406),(56 274.83524),(57 276.24338),(58 274.93927),(59 275.61264),(60 274.58533),(61 276.11923),(62 276.53516),(63 274.15146),(64 276.7334),(65 276.58087),(66 282.49463),(67 284.30817),(68 287.21652),(69 287.3164),(70 290.18283),(71 293.29224),(72 291.14114),(73 291.67413),(74 294.57056),(75 289.55014),(76 290.67184),(77 292.8515),(78 294.30063),(79 292.94482),
(1 123.93385),(2 160.48195),(3 175.1565),(4 186.3916),(5 192.42792),(6 203.13612),(7 209.4297),(8 213.40454),(9 216.98592),(10 222.68268),(11 230.2709),(12 236.22813),(13 240.26338),(14 243.11446),(15 248.49298),(16 249.62556),(17 255.34738),(18 263.64923),(19 264.29688),(20 269.28085),(21 272.23837),(22 272.3148),(23 271.9835),(24 272.34015),(25 275.26514),(26 276.393),(27 275.21002),(28 275.14258),(29 273.7001),(30 275.8312),(31 276.7722),(32 278.38434),(33 280.12622),(34 282.41727),(35 286.2997),(36 287.9816),(37 292.00095),(38 289.78473),(39 288.14023),(40 289.14532),(41 289.96582),(42 292.83746),(43 293.06564),(44 291.26514),(45 289.26675),(46 287.32623),(47 284.21396),(48 283.376),(49 282.01984),(50 281.41528),(51 279.27667),(52 277.00406),(53 276.97137),(54 281.47556),(55 277.27472),(56 272.8582),(57 273.60452),(58 273.0665),(59 272.81027),(60 274.26547),(61 273.00327),(62 275.2733),(63 272.34854),(64 273.06873),(65 276.12088),(66 280.8112),(67 281.71884),(68 283.53134),(69 284.30215),(70 287.0481),(71 286.6949),(72 286.00116),(73 289.22812),(74 288.534),(75 289.80872),(76 289.7005),(77 290.63464),(78 294.8252),(79 292.31122),
(1 123.95554),(2 157.11937),(3 175.30927),(4 186.20145),(5 197.91187),(6 206.09134),(7 213.20413),(8 219.36716),(9 224.73634),(10 232.26833),(11 241.66536),(12 245.17235),(13 251.63272),(14 257.80975),(15 257.94135),(16 260.55414),(17 264.08292),(18 272.95532),(19 276.4334),(20 280.5843),(21 282.13303),(22 281.4785),(23 281.07147),(24 278.59283),(25 278.76672),(26 277.53275),(27 276.70773),(28 276.93564),(29 277.5454),(30 283.88574),(31 284.10318),(32 285.0566),(33 285.7891),(34 290.87213),(35 290.94223),(36 292.53726),(37 293.2835),(38 295.49277),(39 292.911),(40 294.80515),(41 292.0913),(42 292.8652),(43 293.01328),(44 291.57693),(45 290.69766),(46 290.4178),(47 290.22534),(48 289.38348),(49 286.69666),(50 287.65466),(51 281.5153),(52 281.0333),(53 280.1067),(54 286.09183),(55 282.60873),(56 282.268),(57 279.75488),(58 282.8917),(59 280.61426),(60 281.2334),(61 281.74203),(62 284.05753),(63 282.10623),(64 282.76257),(65 282.80066),(66 288.0854),(67 288.2417),(68 288.50882),(69 291.64142),(70 292.30167),(71 295.45892),(72 295.17596),(73 292.3539),(74 292.8891),(75 289.5142),(76 289.3226),(77 287.3952),(78 293.27795),(79 290.20132),
(1 120.609825),(2 153.2276),(3 168.11954),(4 180.73639),(5 187.22641),(6 194.84702),(7 199.96986),(8 206.25739),(9 212.16815),(10 219.58392),(11 227.36723),(12 232.74855),(13 239.03523),(14 242.35237),(15 245.38744),(16 249.69696),(17 256.07925),(18 267.20486),(19 273.49667),(20 275.6734),(21 279.4642),(22 279.32468),(23 279.81198),(24 281.12155),(25 282.30603),(26 283.10284),(27 282.96222),(28 284.52332),(29 284.56122),(30 286.45306),(31 286.77893),(32 288.48343),(33 287.88812),(34 289.76602),(35 288.89365),(36 291.61786),(37 291.3985),(38 292.3389),(39 290.01932),(40 290.4499),(41 290.17426),(42 292.01114),(43 288.89774),(44 288.7658),(45 287.18094),(46 284.2595),(47 282.53857),(48 282.13443),(49 279.16824),(50 275.55573),(51 272.42685),(52 270.9743),(53 267.4895),(54 272.73935),(55 268.90726),(56 267.5696),(57 266.11536),(58 266.11255),(59 267.2894),(60 269.41177),(61 269.5077),(62 271.53592),(63 270.7144),(64 270.1179),(65 273.1337),(66 277.2285),(67 281.12494),(68 282.18832),(69 284.57953),(70 283.63983),(71 283.43723),(72 281.48166),(73 282.74698),(74 283.0368),(75 280.10522),(76 280.35043),(77 278.9466),(78 282.86566),(79 282.00647),
(1 121.05817),(2 153.78113),(3 168.26245),(4 183.04984),(5 188.4923),(6 200.89325),(7 205.0127),(8 211.70073),(9 218.5472),(10 226.29501),(11 233.47137),(12 240.68742),(13 246.07205),(14 252.73732),(15 250.83769),(16 254.53531),(17 258.89014),(18 267.43692),(19 269.23013),(20 272.94473),(21 276.9012),(22 277.25018),(23 278.0935),(24 277.3601),(25 275.24506),(26 275.60956),(27 273.2731),(28 276.99396),(29 277.57712),(30 280.56168),(31 280.036),(32 280.12048),(33 283.12857),(34 284.82077),(35 287.61365),(36 291.1216),(37 291.72928),(38 294.02478),(39 294.09763),(40 294.7689),(41 296.31546),(42 298.5673),(43 297.72086),(44 296.67673),(45 296.0488),(46 294.71915),(47 292.38925),(48 291.2861),(49 289.7069),(50 288.81534),(51 285.49756),(52 284.5998),(53 284.43317),(54 286.27725),(55 283.51807),(56 283.42606),(57 280.91705),(58 284.09494),(59 280.01657),(60 278.68066),(61 278.0947),(62 277.4226),(63 276.0518),(64 276.05472),(65 276.53314),(66 280.12366),(67 281.4539),(68 283.30145),(69 284.3074),(70 287.87793),(71 285.69183),(72 286.72202),(73 287.51447),(74 287.31876),(75 288.73352),(76 287.65323),(77 284.76608),(78 288.81973),(79 288.686),
(1 119.03662),(2 151.6963),(3 166.70451),(4 179.00597),(5 184.07616),(6 195.61726),(7 200.51971),(8 208.36197),(9 214.3171),(10 221.17538),(11 225.43121),(12 233.56381),(13 237.77072),(14 242.50789),(15 244.27345),(16 246.8533),(17 252.19109),(18 257.76907),(19 260.10458),(20 263.8231),(21 266.53857),(22 268.3498),(23 268.72687),(24 266.7617),(25 265.67538),(26 267.32355),(27 266.54443),(28 265.61777),(29 267.63058),(30 272.87137),(31 270.37833),(32 271.71188),(33 273.60196),(34 273.18582),(35 274.0356),(36 277.4204),(37 278.67822),(38 279.3244),(39 276.66864),(40 278.3093),(41 277.81104),(42 279.83804),(43 277.33963),(44 276.1848),(45 275.90866),(46 276.06772),(47 272.84235),(48 272.6275),(49 270.3421),(50 269.7795),(51 266.54492),(52 265.10703),(53 261.82092),(54 266.15292),(55 264.5618),(56 263.88956),(57 264.49908),(58 265.1948),(59 265.6918),(60 264.03842),(61 265.61432),(62 263.17105),(63 265.38522),(64 264.53882),(65 266.3166),(66 269.1606),(67 269.29294),(68 271.8066),(69 275.15222),(70 276.47488),(71 278.4337),(72 279.6589),(73 277.26978),(74 278.09024),(75 275.58176),(76 274.0389),(77 276.926),(78 282.78494),(79 280.76013),
(1 116.01613),(2 147.23528),(3 163.4813),(4 176.99376),(5 183.72733),(6 191.1041),(7 200.50877),(8 205.68553),(9 208.32718),(10 214.83366),(11 219.60674),(12 226.75768),(13 231.43799),(14 238.04057),(15 239.0588),(16 243.74962),(17 250.07167),(18 256.71695),(19 257.72162),(20 263.0217),(21 263.96173),(22 265.24832),(23 265.0479),(24 265.3965),(25 264.63458),(26 265.75284),(27 265.93707),(28 266.46246),(29 265.70477),(30 270.9933),(31 269.99197),(32 270.73975),(33 272.71094),(34 272.50333),(35 276.28506),(36 276.69147),(37 279.33997),(38 280.1479),(39 276.18878),(40 278.22382),(41 278.17703),(42 280.02557),(43 276.9295),(44 277.04504),(45 275.15964),(46 273.47504),(47 269.01953),(48 268.66086),(49 264.55612),(50 265.45395),(51 262.96136),(52 260.16125),(53 258.94528),(54 259.61816),(55 255.66432),(56 255.99384),(57 253.62857),(58 255.90282),(59 254.17664),(60 252.9757),(61 256.33643),(62 255.97758),(63 253.9539),(64 256.6147),(65 255.87212),(66 261.67267),(67 263.6851),(68 264.86557),(69 268.22888),(70 269.55783),(71 271.02292),(72 270.0211),(73 271.79703),(74 274.85562),(75 273.04425),(76 271.78006),(77 273.023),(78 281.07162),(79 281.1598),
(1 117.64173),(2 148.65602),(3 164.1122),(4 177.93137),(5 182.73557),(6 193.03366),(7 198.21494),(8 205.62271),(9 209.86815),(10 217.1167),(11 223.181),(12 229.37741),(13 233.17323),(14 236.6749),(15 237.71115),(16 241.10262),(17 245.9682),(18 255.21233),(19 260.41245),(20 262.7436),(21 267.1865),(22 264.63065),(23 263.72327),(24 263.5623),(25 263.88998),(26 265.77243),(27 266.0529),(28 268.81067),(29 268.38123),(30 271.76337),(31 273.01376),(32 276.94547),(33 275.96732),(34 276.25085),(35 280.4136),(36 280.74454),(37 283.6271),(38 281.17255),(39 278.68118),(40 278.90787),(41 276.77258),(42 278.26508),(43 274.3701),(44 274.9456),(45 274.93344),(46 274.7919),(47 274.2835),(48 273.816),(49 270.29703),(50 268.4054),(51 265.8213),(52 264.6271),(53 266.2055),(54 265.70132),(55 266.617),(56 265.80527),(57 264.25397),(58 265.5187),(59 266.23538),(60 262.6563),(61 262.95255),(62 263.0578),(63 262.3698),(64 262.42007),(65 263.64102),(66 266.56796),(67 267.3941),(68 270.10675),(69 272.04413),(70 272.90436),(71 275.28036),(72 275.53394),(73 273.35828),(74 275.27682),(75 273.24945),(76 274.6339),(77 275.2694),(78 277.54297),(79 276.4614),
(1 116.966324),(2 145.93596),(3 160.68376),(4 168.77391),(5 176.17537),(6 186.66905),(7 190.9868),(8 194.97678),(9 202.43315),(10 208.70146),(11 214.12589),(12 217.57468),(13 221.56787),(14 225.87726),(15 226.80223),(16 231.1363),(17 234.44803),(18 241.75256),(19 242.44614),(20 247.11581),(21 247.99089),(22 248.26727),(23 248.65494),(24 250.6589),(25 248.47473),(26 250.20468),(27 250.15913),(28 248.60854),(29 248.02103),(30 254.29861),(31 252.56543),(32 254.60939),(33 255.0027),(34 254.36238),(35 257.12375),(36 258.57053),(37 259.28748),(38 259.08444),(39 255.84106),(40 256.25595),(41 256.50345),(42 260.00906),(43 256.93463),(44 255.06819),(45 255.27739),(46 254.7918),(47 254.02838),(48 253.47182),(49 253.81764),(50 250.03969),(51 248.081),(52 248.81181),(53 248.15944),(54 253.15776),(55 251.39362),(56 248.53168),(57 250.0195),(58 248.64645),(59 248.70181),(60 248.84134),(61 248.74326),(62 249.52068),(63 246.30844),(64 247.10706),(65 247.59438),(66 252.9256),(67 253.02075),(68 255.43364),(69 257.9032),(70 260.46094),(71 262.972),(72 263.95972),(73 262.67404),(74 262.00467),(75 258.6667),(76 259.1895),(77 260.6998),(78 263.02118),(79 261.522),
(1 116.13496),(2 147.1523),(3 161.51845),(4 174.61583),(5 180.55914),(6 188.45528),(7 192.88202),(8 198.16489),(9 207.38687),(10 213.53856),(11 221.52742),(12 226.42969),(13 233.04639),(14 237.72786),(15 237.74542),(16 242.0024),(17 246.92923),(18 253.74849),(19 257.2049),(20 261.76257),(21 263.21286),(22 264.89557),(23 263.435),(24 264.12253),(25 266.79654),(26 268.3106),(27 268.2926),(28 265.06854),(29 266.46133),(30 272.26645),(31 271.1785),(32 271.0076),(33 272.0882),(34 271.03638),(35 273.06073),(36 272.30823),(37 276.09882),(38 275.48557),(39 274.6484),(40 274.49466),(41 272.17947),(42 275.72842),(43 270.9333),(44 269.42792),(45 268.0348),(46 265.0846),(47 263.5043),(48 265.0792),(49 262.8072),(50 260.1056),(51 256.7259),(52 254.21243),(53 254.18077),(54 259.11163),(55 256.52042),(56 256.1355),(57 252.58348),(58 255.04362),(59 252.57758),(60 253.29483),(61 253.13922),(62 253.3993),(63 253.48192),(64 255.21365),(65 256.268),(66 260.0683),(67 261.14975),(68 263.8801),(69 265.531),(70 268.54755),(71 268.62366),(72 269.10916),(73 269.7657),(74 269.20718),(75 266.54645),(76 265.7319),(77 264.78592),(78 267.819),(79 269.64697),
(1 112.739365),(2 141.90991),(3 156.06027),(4 168.595),(5 174.24562),(6 181.65187),(7 187.06342),(8 191.55363),(9 197.17279),(10 200.50772),(11 206.28381),(12 208.76886),(13 215.24242),(14 219.30269),(15 222.17813),(16 224.18427),(17 227.64015),(18 233.75139),(19 234.59483),(20 237.76926),(21 237.68254),(22 240.21988),(23 239.89868),(24 240.9511),(25 242.1128),(26 244.27779),(27 243.97449),(28 243.84612),(29 244.77971),(30 248.95895),(31 247.69635),(32 250.58095),(33 254.46512),(34 255.0173),(35 257.1029),(36 258.77567),(37 258.89615),(38 260.1596),(39 258.5525),(40 256.82434),(41 259.4204),(42 262.25253),(43 259.6256),(44 260.26813),(45 259.1603),(46 258.08798),(47 258.3298),(48 256.40048),(49 253.6983),(50 252.7315),(51 248.05464),(52 246.32016),(53 244.09692),(54 247.83926),(55 245.2183),(56 245.39856),(57 244.0997),(58 243.57964),(59 244.29634),(60 243.59244),(61 245.98457),(62 246.2948),(63 245.53381),(64 244.6012),(65 247.68211),(66 251.17316),(67 252.445),(68 252.8915),(69 253.80455),(70 256.65286),(71 257.85532),(72 257.17532),(73 259.59592),(74 258.7476),(75 254.6063),(76 256.52365),(77 257.4509),(78 263.23544),(79 264.61456),
(1 111.66764),(2 142.13936),(3 154.14664),(4 163.85008),(5 172.29248),(6 179.79092),(7 186.40054),(8 188.82683),(9 194.80428),(10 199.4011),(11 204.9583),(12 209.55888),(13 215.36319),(14 219.51332),(15 220.76274),(16 224.97977),(17 227.76176),(18 237.29451),(19 237.74582),(20 242.3234),(21 244.83093),(22 245.6586),(23 244.4545),(24 246.51678),(25 245.38899),(26 250.0965),(27 249.34372),(28 250.84659),(29 252.19862),(30 254.14291),(31 254.79709),(32 253.6285),(33 256.60873),(34 259.22678),(35 259.76083),(36 262.28812),(37 261.81964),(38 262.09232),(39 259.86017),(40 260.48355),(41 256.5856),(42 259.37732),(43 258.45914),(44 256.32916),(45 254.691),(46 251.48505),(47 248.55693),(48 249.99571),(49 247.00093),(50 244.42857),(51 243.54068),(52 244.93378),(53 243.78122),(54 247.65161),(55 244.83109),(56 244.33691),(57 242.55536),(58 242.33298),(59 243.12463),(60 242.31567),(61 241.86702),(62 242.59206),(63 245.09773),(64 242.95113),(65 243.67229),(66 247.1806),(67 248.68008),(68 252.81227),(69 252.75009),(70 251.58922),(71 253.56674),(72 253.527),(73 252.15816),(74 252.48253),(75 251.99132),(76 253.8847),(77 255.19005),(78 257.6255),(79 258.48257),
