1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11036.266),(2 36136.652),(3 77316.72),(4 127593.76),(5 192680.8),(6 266789.5),(7 349307),(8 430155.63),(9 515065.6),(10 589056),(11 655283.9),(12 710235.3),(13 763706.25),(14 808962.56),(15 853818.06),(16 895451.56),(17 938403.25),(18 984072.2),(19 1042561.7),(20 1108854),(21 1189857.3),(22 1268866.5),(23 1358259.8),(24 1433454),(25 1516410),(26 1589751.1),(27 1666491.5),(28 1737150.1),(29 1813571.5),(30 1884820.6),(31 1967668.1),(32 2056104.9),(33 2155283.8),(34 2243609.3),(35 2342917.3),(36 2422283.5),(37 2505541.3),(38 2566771.5),(39 2631656.3),(40 2682776.8),(41 2735065.3),(42 2777416.3),(43 2835858.3),(44 2882200.3),(45 2950844),(46 3028523.3),(47 3132148),(48 3246466),(49 3353998.8),(50 3438397),(51 3549063.3),(52 3649086.8),(53 3749476),(54 3832175.3),(55 3938483.3),(56 4034913.3),(57 4151791.3),(58 4271864.5),(59 4429579),(60 4565272.5),(61 4716944.5),(62 4849614),(63 5007711),(64 5158895),(65 5315942.5),(66 5445516),(67 5584268),(68 5706507.5),(69 5842112),(70 5981513.5),(71 6165212.5),(72 6356221.5),(73 6571168),(74 6770270.5),(75 6951952.5),(76 7122384),(77 7314500),(78 7488188),(79 7684722.5),
(1 181.84648),(2 244.59256),(3 291.07053),(4 322.4618),(5 350.4044),(6 367.1132),(7 381.0451),(8 397.23654),(9 400.87292),(10 413.91052),(11 424.86966),(12 434.87317),(13 436.9815),(14 442.32208),(15 452.58383),(16 451.96558),(17 455.87827),(18 459.41473),(19 460.62506),(20 460.96738),(21 464.3732),(22 464.0925),(23 466.7317),(24 463.22974),(25 464.1591),(26 465.7556),(27 473.22406),(28 470.42072),(29 472.86603),(30 471.17682),(31 467.22687),(32 466.1602),(33 464.40845),(34 468.4472),(35 471.0735),(36 478.31677),(37 481.3981),(38 481.2088),(39 485.69955),(40 484.1413),(41 485.7237),(42 486.75595),(43 483.6847),(44 481.03778),(45 486.47824),(46 496.79965),(47 499.4815),(48 498.8274),(49 502.1502),(50 499.30344),(51 499.80823),(52 501.36163),(53 498.68884),(54 493.7527),(55 490.98907),(56 490.60916),(57 489.83908),(58 488.67557),(59 485.58905),(60 488.38907),(61 489.05237),(62 483.78088),(63 486.9486),(64 486.6499),(65 490.3409),(66 489.213),(67 491.78555),(68 485.66547),(69 490.80737),(70 486.92978),(71 487.7444),(72 498.03998),(73 500.04355),(74 497.27368),(75 502.39127),(76 503.2352),(77 505.91513),(78 509.18066),(79 512.1477),
(1 182.50893),(2 242.90833),(3 289.31686),(4 316.82242),(5 341.16068),(6 360.9475),(7 372.55362),(8 383.57352),(9 392.401),(10 400.63815),(11 403.108),(12 409.55682),(13 423.14545),(14 425.53702),(15 434.98154),(16 432.3919),(17 436.89185),(18 442.19754),(19 446.86627),(20 449.10007),(21 448.8342),(22 454.75305),(23 457.81235),(24 460.11133),(25 460.19833),(26 463.39642),(27 470.0083),(28 469.61087),(29 472.3933),(30 468.90738),(31 473.67557),(32 475.5782),(33 478.28494),(34 483.4134),(35 480.73312),(36 483.49893),(37 484.66052),(38 481.221),(39 480.19122),(40 478.6105),(41 479.68295),(42 481.87494),(43 482.46997),(44 484.99695),(45 489.8733),(46 493.06366),(47 489.94376),(48 491.69864),(49 495.11115),(50 492.352),(51 503.80142),(52 507.01505),(53 508.94797),(54 507.7204),(55 512.59924),(56 516.0952),(57 515.76794),(58 515.8979),(59 517.13196),(60 515.8145),(61 511.48273),(62 507.6471),(63 510.67758),(64 510.70682),(65 516.2278),(66 514.40405),(67 515.44714),(68 511.21457),(69 511.87457),(70 510.55478),(71 509.16992),(72 509.23657),(73 511.1342),(74 509.0897),(75 511.61954),(76 509.90662),(77 516.39514),(78 513.42883),(79 512.9711),
(1 178.77986),(2 240.05885),(3 283.7383),(4 316.98795),(5 345.19153),(6 364.18372),(7 379.63458),(8 394.1115),(9 401.11832),(10 412.30957),(11 419.07416),(12 425.31836),(13 437.29047),(14 443.9175),(15 455.96848),(16 461.806),(17 469.64163),(18 472.64865),(19 477.2302),(20 474.20947),(21 473.4036),(22 476.7269),(23 475.80786),(24 482.5611),(25 480.47),(26 477.3704),(27 478.8463),(28 480.0752),(29 480.4456),(30 473.8294),(31 475.89716),(32 471.1357),(33 473.22043),(34 473.66174),(35 468.6443),(36 470.4414),(37 465.95233),(38 457.69818),(39 458.018),(40 451.51917),(41 450.9423),(42 455.71146),(43 459.49713),(44 456.49365),(45 454.15924),(46 454.80722),(47 453.10968),(48 456.09445),(49 456.9066),(50 451.29288),(51 452.6785),(52 452.9319),(53 456.10788),(54 452.16745),(55 452.61383),(56 457.2467),(57 453.50327),(58 449.0644),(59 451.98087),(60 457.9151),(61 464.43817),(62 466.70187),(63 469.4475),(64 469.11566),(65 467.98288),(66 465.6175),(67 468.27283),(68 467.5829),(69 468.23618),(70 465.01135),(71 461.91287),(72 464.8411),(73 469.17435),(74 467.63638),(75 474.3224),(76 469.08115),(77 468.83432),(78 472.97968),(79 473.89615),
(1 176.38522),(2 240.58664),(3 285.42493),(4 314.57916),(5 342.9564),(6 363.9679),(7 375.8538),(8 389.46887),(9 396.27213),(10 409.6269),(11 413.6571),(12 424.65463),(13 432.7654),(14 435.3183),(15 442.62234),(16 438.81943),(17 438.38266),(18 440.2604),(19 441.80383),(20 440.47684),(21 440.46658),(22 442.82138),(23 447.96564),(24 455.22757),(25 453.53125),(26 451.55743),(27 453.60318),(28 450.30826),(29 454.16833),(30 449.0763),(31 449.88184),(32 452.13495),(33 448.6481),(34 450.15024),(35 448.21246),(36 448.3736),(37 450.48587),(38 449.97006),(39 452.19403),(40 446.56644),(41 451.85626),(42 452.80478),(43 458.95905),(44 461.4308),(45 459.69107),(46 463.74792),(47 464.34946),(48 462.28024),(49 464.50858),(50 461.37143),(51 473.4867),(52 475.8499),(53 480.33774),(54 479.71167),(55 482.19586),(56 480.21027),(57 478.71613),(58 479.45306),(59 474.6112),(60 476.08923),(61 481.1439),(62 478.7433),(63 482.78278),(64 484.1479),(65 484.16254),(66 482.62607),(67 486.49933),(68 481.13535),(69 481.67584),(70 480.66174),(71 478.23013),(72 480.40598),(73 484.65002),(74 484.6086),(75 483.95538),(76 483.5756),(77 486.1787),(78 488.4904),(79 492.02374),
(1 176.4706),(2 242.50523),(3 287.25476),(4 311.6788),(5 333.43997),(6 347.78452),(7 359.3983),(8 369.45132),(9 376.25607),(10 387.49292),(11 391.1049),(12 402.81714),(13 408.16702),(14 411.6472),(15 414.1809),(16 413.38757),(17 412.98248),(18 419.16165),(19 415.68393),(20 419.0489),(21 422.38733),(22 429.5008),(23 435.78287),(24 436.0705),(25 439.21503),(26 437.26956),(27 439.35947),(28 441.35162),(29 448.6781),(30 448.375),(31 452.82822),(32 460.43698),(33 457.62894),(34 462.81253),(35 461.6215),(36 461.9454),(37 457.63193),(38 456.77893),(39 457.56046),(40 457.5919),(41 465.65582),(42 464.26932),(43 465.9109),(44 471.64514),(45 473.2654),(46 475.68985),(47 477.5907),(48 471.90738),(49 476.95377),(50 471.39288),(51 479.0989),(52 477.7318),(53 475.6823),(54 471.80582),(55 472.58707),(56 471.56427),(57 469.93777),(58 473.41623),(59 468.64566),(60 467.6879),(61 469.34808),(62 466.8458),(63 470.6344),(64 468.5339),(65 469.24768),(66 473.25085),(67 476.37073),(68 474.0695),(69 473.06287),(70 476.25516),(71 473.8911),(72 473.68567),(73 477.57346),(74 472.81143),(75 474.1181),(76 467.6129),(77 467.35373),(78 465.87427),(79 468.28854),
(1 178.77782),(2 241.53276),(3 288.05478),(4 319.31287),(5 339.86154),(6 355.35843),(7 367.2039),(8 378.688),(9 383.81506),(10 393.00513),(11 399.76935),(12 408.90216),(13 419.87866),(14 421.63107),(15 423.21262),(16 426.26077),(17 431.5091),(18 426.81024),(19 428.93457),(20 427.8867),(21 432.31277),(22 437.64322),(23 438.79138),(24 439.2994),(25 436.26166),(26 438.80765),(27 447.6027),(28 445.94446),(29 445.8245),(30 442.87027),(31 445.48236),(32 446.008),(33 441.8176),(34 446.014),(35 442.00833),(36 444.62674),(37 437.7985),(38 432.8196),(39 436.96332),(40 439.10712),(41 442.07095),(42 445.80414),(43 442.31638),(44 441.0779),(45 443.32953),(46 446.0352),(47 443.23224),(48 442.8893),(49 442.53824),(50 448.00818),(51 451.36734),(52 451.38492),(53 454.09506),(54 454.493),(55 460.42053),(56 457.3255),(57 455.8254),(58 458.04807),(59 457.85226),(60 456.35333),(61 457.04694),(62 457.8584),(63 459.48486),(64 454.71735),(65 459.69672),(66 456.34305),(67 457.2666),(68 457.30307),(69 459.45743),(70 463.54993),(71 462.04266),(72 463.50964),(73 460.64822),(74 461.70358),(75 464.61035),(76 462.30093),(77 461.71255),(78 459.7203),(79 459.80927),
(1 176.61418),(2 237.88185),(3 280.1128),(4 303.53693),(5 320.4548),(6 334.07455),(7 346.7954),(8 365.10333),(9 371.46515),(10 378.15918),(11 384.97934),(12 395.87),(13 405.67218),(14 409.1033),(15 412.76944),(16 413.41214),(17 419.9741),(18 425.2124),(19 430.18158),(20 435.78256),(21 434.78122),(22 439.9088),(23 443.1531),(24 444.75217),(25 439.98193),(26 435.98535),(27 437.17328),(28 435.50778),(29 438.155),(30 440.9823),(31 443.83273),(32 442.23798),(33 443.51114),(34 442.3443),(35 437.13684),(36 432.7857),(37 432.04636),(38 428.32123),(39 437.3574),(40 436.19064),(41 438.18756),(42 437.18494),(43 436.25705),(44 437.53174),(45 431.98166),(46 434.06915),(47 432.29974),(48 428.22012),(49 432.06183),(50 435.29166),(51 438.61353),(52 439.03214),(53 440.10394),(54 438.144),(55 440.2441),(56 441.50168),(57 440.71838),(58 446.38635),(59 448.2459),(60 444.68573),(61 449.65634),(62 450.2318),(63 451.8448),(64 450.4744),(65 447.67715),(66 446.13284),(67 449.73654),(68 445.09705),(69 446.78616),(70 449.22137),(71 451.18985),(72 448.58493),(73 454.0437),(74 449.01807),(75 456.3013),(76 452.9569),(77 453.64743),(78 455.0367),(79 460.5452),
(1 173.14366),(2 229.75743),(3 275.9548),(4 303.3003),(5 323.7107),(6 343.36118),(7 358.04175),(8 368.63358),(9 369.90387),(10 384.46603),(11 396.32968),(12 406.58978),(13 407.50662),(14 411.1723),(15 410.95218),(16 411.1994),(17 417.11423),(18 415.66177),(19 422.38577),(20 422.61255),(21 429.22324),(22 430.9945),(23 430.6402),(24 430.02844),(25 427.4957),(26 428.00052),(27 433.9499),(28 429.87802),(29 431.51678),(30 427.74106),(31 424.69632),(32 423.72885),(33 420.9939),(34 420.01065),(35 413.87286),(36 411.04086),(37 412.466),(38 411.6361),(39 419.17966),(40 414.83423),(41 419.1379),(42 418.83524),(43 421.68835),(44 424.80927),(45 425.3003),(46 431.76624),(47 433.95303),(48 433.1415),(49 437.4643),(50 437.90042),(51 444.66605),(52 439.65073),(53 444.96283),(54 448.56464),(55 450.04327),(56 449.41467),(57 445.7133),(58 450.69647),(59 454.53555),(60 457.04593),(61 460.684),(62 461.26276),(63 466.64615),(64 463.87057),(65 467.3338),(66 460.56067),(67 462.92566),(68 460.6155),(69 458.9684),(70 454.97263),(71 455.31747),(72 456.61575),(73 455.7931),(74 449.98773),(75 454.81903),(76 453.138),(77 454.1637),(78 456.27826),(79 457.78586),
(1 171.2268),(2 230.93658),(3 277.09924),(4 303.60257),(5 326.02106),(6 342.79297),(7 356.86517),(8 366.11414),(9 364.49316),(10 376.00842),(11 387.29755),(12 390.42215),(13 396.5589),(14 399.6499),(15 402.97104),(16 400.13626),(17 401.5209),(18 402.5832),(19 406.4517),(20 409.63318),(21 412.53043),(22 415.52182),(23 416.63736),(24 416.27652),(25 410.6303),(26 411.86694),(27 420.4716),(28 417.05603),(29 413.5921),(30 413.53976),(31 417.2607),(32 414.27734),(33 415.40067),(34 411.08334),(35 411.35803),(36 411.45294),(37 413.6037),(38 415.83807),(39 425.0781),(40 423.9273),(41 424.42398),(42 428.40707),(43 431.15167),(44 429.6914),(45 426.5914),(46 432.8947),(47 428.9538),(48 425.19186),(49 421.61),(50 424.0552),(51 430.02835),(52 421.94012),(53 423.3545),(54 426.20642),(55 432.13254),(56 433.27112),(57 432.30087),(58 437.44574),(59 442.0887),(60 440.58646),(61 444.76935),(62 440.67618),(63 440.17392),(64 436.9756),(65 440.4607),(66 442.03842),(67 442.68576),(68 440.2458),(69 435.97333),(70 432.78552),(71 434.06622),(72 437.11423),(73 441.85657),(74 439.02753),(75 442.73895),(76 442.29877),(77 440.6859),(78 440.6103),(79 439.67575),
(1 165.78577),(2 222.53395),(3 263.73358),(4 291.29163),(5 311.82166),(6 327.09848),(7 341.23364),(8 354.38895),(9 360.7732),(10 371.37967),(11 378.7562),(12 386.11578),(13 385.6121),(14 389.2132),(15 390.76617),(16 395.30527),(17 402.33353),(18 405.99683),(19 401.7708),(20 409.11105),(21 409.24942),(22 404.6351),(23 401.3301),(24 400.2099),(25 398.78314),(26 395.0148),(27 404.87915),(28 406.23633),(29 403.8089),(30 400.5421),(31 398.59528),(32 397.35614),(33 399.65604),(34 404.97653),(35 403.30347),(36 403.55823),(37 402.46222),(38 404.59564),(39 411.56116),(40 409.87762),(41 413.1199),(42 417.2075),(43 412.42535),(44 412.7955),(45 409.7084),(46 413.56076),(47 413.20074),(48 413.47043),(49 412.85904),(50 412.90274),(51 419.59653),(52 416.30185),(53 416.72275),(54 418.76135),(55 420.99106),(56 421.323),(57 418.92108),(58 414.26852),(59 417.70035),(60 411.64386),(61 410.20865),(62 410.3782),(63 414.1171),(64 414.38983),(65 420.90457),(66 419.65488),(67 417.68402),(68 419.35126),(69 413.4685),(70 412.962),(71 410.29507),(72 412.95688),(73 411.61578),(74 409.75537),(75 413.07755),(76 407.62448),(77 410.46722),(78 403.33176),(79 405.53372),
(1 165.89867),(2 223.61201),(3 264.0844),(4 288.8142),(5 312.77734),(6 327.6163),(7 342.6889),(8 351.05264),(9 355.24716),(10 367.9387),(11 376.59207),(12 380.08945),(13 386.13486),(14 392.76834),(15 395.3532),(16 398.83313),(17 405.50528),(18 405.78918),(19 412.15665),(20 411.27045),(21 415.50333),(22 415.4042),(23 412.25793),(24 412.19897),(25 409.2599),(26 403.7436),(27 412.41797),(28 415.24976),(29 416.95322),(30 415.30402),(31 416.52695),(32 414.2418),(33 415.31683),(34 413.6471),(35 412.86835),(36 413.28143),(37 414.52933),(38 411.52927),(39 412.12793),(40 408.68097),(41 410.0772),(42 409.5113),(43 406.87366),(44 403.45834),(45 405.35315),(46 407.01678),(47 411.69852),(48 420.30484),(49 419.98105),(50 416.70154),(51 418.64178),(52 416.67746),(53 418.87073),(54 417.27502),(55 418.94836),(56 418.5059),(57 417.22205),(58 420.24506),(59 419.76813),(60 417.68863),(61 416.96255),(62 422.74628),(63 426.5991),(64 423.48172),(65 422.77942),(66 423.27933),(67 420.6012),(68 419.1032),(69 417.11487),(70 418.79913),(71 419.731),(72 423.25113),(73 429.28506),(74 424.29343),(75 430.61508),(76 423.9616),(77 424.83044),(78 418.68457),(79 418.41705),
(1 166.09738),(2 225.42188),(3 266.33197),(4 291.1456),(5 313.0546),(6 324.676),(7 331.456),(8 343.0079),(9 346.77863),(10 358.3287),(11 366.7534),(12 371.91797),(13 374.1504),(14 377.38068),(15 380.4517),(16 382.50873),(17 386.58722),(18 388.13892),(19 395.75836),(20 397.93512),(21 397.69998),(22 399.69748),(23 393.43112),(24 389.10342),(25 391.1377),(26 391.6342),(27 397.00778),(28 395.6956),(29 396.0417),(30 395.14856),(31 394.11392),(32 389.99457),(33 391.8544),(34 392.43738),(35 396.4816),(36 395.79745),(37 397.83774),(38 398.23355),(39 398.81308),(40 391.73996),(41 389.82324),(42 385.86404),(43 388.36063),(44 395.28192),(45 394.0916),(46 390.60223),(47 389.48447),(48 390.18304),(49 389.2621),(50 384.02786),(51 389.38785),(52 386.32324),(53 389.9972),(54 387.25568),(55 388.45203),(56 387.05923),(57 383.57867),(58 383.6143),(59 386.80957),(60 385.4072),(61 387.0717),(62 385.91882),(63 390.18536),(64 389.02417),(65 390.88193),(66 395.0728),(67 398.37982),(68 400.4943),(69 400.87976),(70 403.40057),(71 407.74216),(72 411.78226),(73 413.9296),(74 412.99124),(75 422.94217),(76 423.96326),(77 430.9235),(78 432.4291),(79 430.82642),
(1 164.94653),(2 221.72783),(3 260.19342),(4 284.41153),(5 306.03406),(6 318.646),(7 332.2965),(8 342.80157),(9 348.847),(10 359.7311),(11 362.86218),(12 364.50455),(13 369.52686),(14 371.44324),(15 374.99115),(16 376.36707),(17 377.43478),(18 380.4369),(19 384.07947),(20 382.70212),(21 383.80154),(22 384.43716),(23 379.12555),(24 379.7493),(25 381.1506),(26 384.09613),(27 387.63342),(28 389.5078),(29 391.67352),(30 386.27182),(31 386.8472),(32 380.6992),(33 377.4435),(34 378.25748),(35 380.8754),(36 383.2038),(37 389.4831),(38 388.9209),(39 396.1268),(40 392.96777),(41 397.06973),(42 398.6574),(43 400.82324),(44 402.4958),(45 402.214),(46 404.59552),(47 408.58072),(48 410.54803),(49 415.00867),(50 415.09433),(51 418.77725),(52 412.43073),(53 411.95218),(54 408.5274),(55 407.05576),(56 404.6656),(57 405.3472),(58 408.4765),(59 412.07553),(60 410.6427),(61 413.5487),(62 413.54828),(63 415.4831),(64 411.04767),(65 412.45917),(66 408.73663),(67 411.1378),(68 414.3807),(69 415.0157),(70 416.65845),(71 416.23962),(72 414.38635),(73 415.81732),(74 416.26248),(75 419.31763),(76 417.3296),(77 422.19284),(78 420.2771),(79 427.03986),
(1 166.6841),(2 222.14545),(3 262.9313),(4 286.7727),(5 307.57385),(6 322.12613),(7 331.25537),(8 339.8342),(9 347.49335),(10 362.48297),(11 368.58008),(12 375.12146),(13 388.28964),(14 387.17502),(15 391.50677),(16 389.8438),(17 391.9041),(18 390.53162),(19 391.1367),(20 395.26978),(21 396.7867),(22 397.30853),(23 397.35715),(24 393.12485),(25 396.06757),(26 392.7685),(27 398.27185),(28 395.49713),(29 395.30817),(30 399.16858),(31 396.07584),(32 394.68204),(33 393.90997),(34 389.6933),(35 389.19565),(36 387.5446),(37 388.5684),(38 383.57993),(39 388.68875),(40 386.0958),(41 388.26175),(42 386.98373),(43 390.67288),(44 393.7636),(45 396.86618),(46 397.5207),(47 394.84985),(48 394.2928),(49 393.79724),(50 392.6658),(51 392.7257),(52 396.41937),(53 397.47543),(54 399.3418),(55 398.87085),(56 397.83163),(57 398.2011),(58 399.86365),(59 398.2359),(60 400.23755),(61 403.0046),(62 408.55573),(63 409.16528),(64 408.22638),(65 411.18906),(66 409.51688),(67 409.65427),(68 410.3748),(69 412.31528),(70 414.40015),(71 409.2903),(72 410.2283),(73 408.90198),(74 409.18658),(75 411.18744),(76 409.10693),(77 411.96356),(78 411.5404),(79 413.00732),
(1 161.9914),(2 217.77277),(3 259.32498),(4 283.855),(5 302.16837),(6 311.9117),(7 321.03656),(8 331.07312),(9 334.793),(10 337.56277),(11 341.98376),(12 347.74023),(13 355.91904),(14 360.0561),(15 363.0426),(16 366.45563),(17 373.0447),(18 372.20392),(19 376.44485),(20 382.5987),(21 380.10242),(22 380.6717),(23 382.91525),(24 383.02808),(25 386.60037),(26 390.9158),(27 397.40454),(28 394.25568),(29 394.35953),(30 393.06738),(31 393.1881),(32 392.5305),(33 397.63028),(34 398.1136),(35 396.30975),(36 399.01978),(37 396.9632),(38 394.21262),(39 398.59586),(40 396.92386),(41 400.43967),(42 401.7007),(43 402.338),(44 400.27368),(45 398.49603),(46 399.71222),(47 396.49533),(48 395.05075),(49 393.29858),(50 389.23434),(51 395.38544),(52 396.30737),(53 396.40067),(54 392.78186),(55 389.54504),(56 388.94473),(57 391.15546),(58 394.53595),(59 397.6945),(60 399.1758),(61 401.07477),(62 401.92505),(63 398.45615),(64 394.6641),(65 394.39484),(66 393.15955),(67 390.87207),(68 386.8607),(69 386.37527),(70 385.87646),(71 386.7716),(72 384.86765),(73 386.1837),(74 382.5464),(75 385.85562),(76 381.83456),(77 387.31204),(78 383.20102),(79 387.49112),
(1 164.53053),(2 220.33855),(3 258.8045),(4 281.15735),(5 301.1119),(6 315.71283),(7 331.36304),(8 341.62613),(9 347.79108),(10 353.1078),(11 357.34607),(12 362.70804),(13 369.17313),(14 368.12903),(15 372.09048),(16 374.13165),(17 381.8044),(18 384.0027),(19 389.14777),(20 389.31943),(21 392.48138),(22 394.4943),(23 398.83957),(24 397.3377),(25 399.11935),(26 400.88452),(27 406.55246),(28 400.66406),(29 401.11984),(30 396.30148),(31 393.7691),(32 394.86093),(33 392.48654),(34 393.04214),(35 394.18878),(36 398.85278),(37 396.56998),(38 389.655),(39 392.08267),(40 391.3615),(41 398.8501),(42 400.97534),(43 402.06555),(44 404.585),(45 406.04227),(46 409.4856),(47 407.3316),(48 412.62158),(49 413.16827),(50 412.46295),(51 418.5119),(52 415.05768),(53 412.86652),(54 411.24008),(55 415.5608),(56 415.3987),(57 415.33853),(58 417.15536),(59 416.48853),(60 418.68835),(61 421.00983),(62 419.18958),(63 416.89923),(64 418.9422),(65 421.32092),(66 418.6365),(67 415.50925),(68 416.3158),(69 411.32806),(70 412.2304),(71 409.16104),(72 407.43362),(73 404.61206),(74 405.10138),(75 402.2879),(76 398.35898),(77 405.389),(78 405.6881),(79 409.68304),
(1 157.87431),(2 213.4098),(3 258.08463),(4 284.5823),(5 304.81442),(6 318.78214),(7 331.73868),(8 344.49802),(9 350.64264),(10 356.49875),(11 363.33347),(12 362.3104),(13 366.01245),(14 365.02646),(15 371.22708),(16 374.52005),(17 380.13162),(18 383.3202),(19 386.57623),(20 390.09775),(21 389.34406),(22 387.8769),(23 384.3896),(24 383.70456),(25 387.95673),(26 386.4886),(27 391.63895),(28 387.3116),(29 387.1883),(30 388.43475),(31 390.79742),(32 392.45734),(33 394.78143),(34 391.0558),(35 393.48926),(36 395.6327),(37 393.64813),(38 392.4265),(39 397.63965),(40 403.0126),(41 406.92355),(42 406.99756),(43 404.5934),(44 401.79874),(45 397.6524),(46 395.86972),(47 392.55322),(48 393.63174),(49 393.89087),(50 390.4899),(51 388.428),(52 382.02795),(53 382.95767),(54 382.7705),(55 384.4129),(56 387.00064),(57 382.90585),(58 384.7786),(59 385.22202),(60 386.98212),(61 389.8372),(62 392.07178),(63 391.26154),(64 395.63834),(65 393.59302),(66 394.03146),(67 398.70587),(68 398.1992),(69 401.99515),(70 402.17),(71 404.78372),(72 410.87888),(73 408.1448),(74 411.36008),(75 412.8569),(76 412.75555),(77 413.40512),(78 410.51556),(79 414.6871),
