1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50900.31),(2 123329.23),(3 219128.83),(4 324899.63),(5 439119.88),(6 546389.44),(7 664579.4),(8 787888.7),(9 898756.7),(10 1021412.06),(11 1128045),(12 1222803.4),(13 1316224.6),(14 1405020),(15 1501184),(16 1604731),(17 1701262.4),(18 1771726.5),(19 1840429.6),(20 1903832.9),(21 1952456.9),(22 2003388),(23 2034905),(24 2053026.1),(25 2061887.9),(26 2062357.6),(27 2061285.6),(28 2055313.1),(29 2047146.9),(30 2036040.9),(31 2032744.1),(32 2034475),(33 2054295.1),(34 2093974.9),(35 2115523.8),(36 2113689.3),(37 2143377.8),(38 2148064.8),(39 2226781.5),(40 2253813.3),(41 2269708),(42 2263451.5),(43 2258065.3),(44 2248286.8),(45 2229594.3),(46 2205581),(47 2194379),(48 2196177),(49 2199119.3),(50 2203802),(51 2217469.3),(52 2233803),(53 2271288.8),(54 2307051.3),(55 2346029.8),(56 2400000.3),(57 2465438.8),(58 2517887.3),(59 2588456.3),(60 2644462),(61 2732607.8),(62 2816180.8),(63 2904876.3),(64 2997486),(65 3095411.3),(66 3191014.8),(67 3281671.3),(68 3378961.3),(69 3465760),(70 3541805.8),(71 3590064.3),(72 3619614.3),(73 3647885.3),(74 3666914.8),(75 3646847.8),(76 3653321),(77 3659090.8),(78 3640463.3),(79 3630212),
(1 1244.6903),(2 1874.1606),(3 2198.7063),(4 2448.2766),(5 2663.0273),(6 2788.3418),(7 2851.0105),(8 2930.4082),(9 2982.2703),(10 3063.7336),(11 3195.983),(12 3220.0552),(13 3241.0967),(14 3305.5618),(15 3348.5325),(16 3350.674),(17 3427.665),(18 3435.2556),(19 3417.8318),(20 3421.8132),(21 3459.7717),(22 3493.0676),(23 3481.7412),(24 3442.5537),(25 3448.3618),(26 3478.1843),(27 3463.1262),(28 3485.4836),(29 3503.6755),(30 3496.9058),(31 3511.533),(32 3570.6206),(33 3571.1213),(34 3622.4138),(35 3687.592),(36 3698.013),(37 3715.3782),(38 3712.582),(39 3713.3655),(40 3760.8425),(41 3764.8767),(42 3749.6357),(43 3781.8894),(44 3766.1057),(45 3748.1),(46 3762.7993),(47 3708.0117),(48 3750.4382),(49 3784.3542),(50 3764.4087),(51 3799.5305),(52 3808.5632),(53 3812.673),(54 3860.1226),(55 3900.53),(56 3866.6594),(57 3828.1843),(58 3835.5344),(59 3803.4788),(60 3834.8013),(61 3802.1267),(62 3782.1694),(63 3861.567),(64 3798.6199),(65 3755.9592),(66 3799.5652),(67 3756.0476),(68 3773.3376),(69 3775.0095),(70 3742.7532),(71 3728.7224),(72 3696.4688),(73 3667.48),(74 3707.925),(75 3745.1863),(76 3718.3289),(77 3715.0889),(78 3777.4956),(79 3754.0168),
(1 1258.259),(2 1884.5709),(3 2221.6685),(4 2501.493),(5 2722.6892),(6 2862.099),(7 2932.765),(8 2986.379),(9 3037.4907),(10 3103.14),(11 3196.4429),(12 3233.2495),(13 3203.4688),(14 3202.3218),(15 3223.7065),(16 3202.7275),(17 3294.601),(18 3294.7705),(19 3299.5247),(20 3345.364),(21 3359.336),(22 3395.1902),(23 3395.742),(24 3379.9685),(25 3385.7092),(26 3422.301),(27 3396.0928),(28 3429.1626),(29 3501.5037),(30 3478.8315),(31 3489.666),(32 3543.2607),(33 3566.5854),(34 3563.9214),(35 3600.0823),(36 3586.3303),(37 3604.6145),(38 3622.605),(39 3616.5203),(40 3651.0435),(41 3662.1519),(42 3687.9817),(43 3706.9065),(44 3724.9429),(45 3710.826),(46 3743.665),(47 3666.169),(48 3671.6206),(49 3700.085),(50 3684.4133),(51 3729.6013),(52 3737.1658),(53 3717.8467),(54 3692.5862),(55 3696.601),(56 3647.968),(57 3667.8428),(58 3703.9832),(59 3733.639),(60 3724.6501),(61 3713.1914),(62 3678.5674),(63 3730.2305),(64 3680.3738),(65 3660.8767),(66 3678.813),(67 3678.3354),(68 3701.4685),(69 3726.1162),(70 3707.9988),(71 3676.0364),(72 3679.851),(73 3672.0828),(74 3677.964),(75 3728.512),(76 3724.1426),(77 3711.483),(78 3786.8777),(79 3747.6318),
(1 1228.1533),(2 1840.3337),(3 2184.385),(4 2444.88),(5 2683.8018),(6 2778.515),(7 2880.8972),(8 2959.4133),(9 2997.5557),(10 3044.2024),(11 3132.5623),(12 3160.8057),(13 3169.012),(14 3180.862),(15 3190.3906),(16 3176.373),(17 3252.3567),(18 3258.76),(19 3266.1624),(20 3313.8657),(21 3351.2202),(22 3374.9697),(23 3374.9216),(24 3362.5825),(25 3373.7559),(26 3374.8325),(27 3389.444),(28 3400.3232),(29 3441.9973),(30 3445.4836),(31 3460.3247),(32 3541.824),(33 3567.2297),(34 3555.6165),(35 3580.3582),(36 3579.8672),(37 3578.9888),(38 3581.5842),(39 3640.361),(40 3714.9365),(41 3733.9045),(42 3726.1191),(43 3718.9697),(44 3679.5327),(45 3682.2258),(46 3680.6948),(47 3639.486),(48 3605.2874),(49 3630.2188),(50 3590.8298),(51 3647.5764),(52 3683.0806),(53 3622.7832),(54 3601.9727),(55 3598.9783),(56 3593.5896),(57 3592.8997),(58 3619.1838),(59 3613.68),(60 3581.8962),(61 3579.7012),(62 3549.9216),(63 3583.817),(64 3523.813),(65 3480.382),(66 3505.4956),(67 3505.9097),(68 3518.8232),(69 3543.8628),(70 3511.0344),(71 3532.5747),(72 3580.0098),(73 3568.747),(74 3613.2507),(75 3691.2847),(76 3684.0962),(77 3682.0183),(78 3743.918),(79 3725.2866),
(1 1207.6268),(2 1841.631),(3 2165.198),(4 2419.6267),(5 2622.4219),(6 2749.8718),(7 2823.351),(8 2902.5115),(9 2923.6023),(10 2992.8396),(11 3057.8313),(12 3052.1558),(13 3064.1204),(14 3101.1416),(15 3153.63),(16 3151.2742),(17 3235.3677),(18 3236.1523),(19 3236.9182),(20 3313.2727),(21 3334.699),(22 3332.1023),(23 3341.9316),(24 3298.2842),(25 3290.8306),(26 3316.8972),(27 3323.6277),(28 3333.9321),(29 3325.748),(30 3280.438),(31 3265.4624),(32 3313.4692),(33 3341.738),(34 3352.8918),(35 3390.3809),(36 3365.2656),(37 3347.0674),(38 3361.9763),(39 3464.2021),(40 3495.0593),(41 3513.0425),(42 3513.67),(43 3526.3765),(44 3490.7278),(45 3478.6995),(46 3497.8286),(47 3415.678),(48 3371.3318),(49 3393.0713),(50 3372.9448),(51 3422.9065),(52 3441.3494),(53 3383.6565),(54 3369.27),(55 3395.4568),(56 3357.2385),(57 3388.1729),(58 3430.5898),(59 3459.7178),(60 3539.2708),(61 3535.4182),(62 3508.3987),(63 3536.6477),(64 3481.2688),(65 3495.4873),(66 3553.139),(67 3518.8853),(68 3517.603),(69 3552.8777),(70 3525.8083),(71 3557.453),(72 3631.84),(73 3615.5166),(74 3624.4487),(75 3684.248),(76 3690.9792),(77 3708.8335),(78 3771.7903),(79 3750.9824),
(1 1197.3947),(2 1784.7693),(3 2108.2188),(4 2317.3284),(5 2506.7295),(6 2610.163),(7 2697.6914),(8 2756.92),(9 2809.825),(10 2868.76),(11 2925.6506),(12 2943.9495),(13 2961.5552),(14 3004.8376),(15 3024.8376),(16 3037.203),(17 3139.892),(18 3117.392),(19 3115.0635),(20 3203.6968),(21 3192.9595),(22 3198.0205),(23 3167.4297),(24 3164.6748),(25 3193.9014),(26 3227.293),(27 3211.118),(28 3181.1746),(29 3191.9795),(30 3148.7114),(31 3146.2634),(32 3198.1628),(33 3193.1106),(34 3247.8723),(35 3287.8762),(36 3249.8472),(37 3196.1),(38 3174.6497),(39 3223.103),(40 3231.7942),(41 3237.5898),(42 3247.8682),(43 3281.7817),(44 3279.6638),(45 3291.3342),(46 3304.3613),(47 3309.125),(48 3336.3196),(49 3360.8555),(50 3293.9695),(51 3321.9414),(52 3338.468),(53 3301.1272),(54 3275.5422),(55 3347.0996),(56 3331.674),(57 3379.0083),(58 3411.237),(59 3430.063),(60 3460.889),(61 3421.1038),(62 3414.8804),(63 3429.2874),(64 3390.1887),(65 3438.5747),(66 3495.1714),(67 3485.8796),(68 3486.8755),(69 3499.8848),(70 3435.0974),(71 3466.2383),(72 3513.3708),(73 3476.8137),(74 3476.2505),(75 3529.6204),(76 3510.627),(77 3510.4387),(78 3595.5762),(79 3571.1204),
(1 1183.74),(2 1730.405),(3 2038.6571),(4 2268.9443),(5 2467.468),(6 2599.084),(7 2649.9907),(8 2690.786),(9 2731.5173),(10 2775.8662),(11 2812.4963),(12 2865.4612),(13 2911.8232),(14 2941.9473),(15 2989.7803),(16 3016.8396),(17 3103.215),(18 3087.0266),(19 3145.5874),(20 3199.1096),(21 3164.8064),(22 3144.4224),(23 3127.9683),(24 3096.157),(25 3134.9026),(26 3186.1243),(27 3228.391),(28 3227.5022),(29 3257.386),(30 3267.2976),(31 3247.615),(32 3328.5212),(33 3377.3635),(34 3375.0347),(35 3416.7397),(36 3398.375),(37 3345.8406),(38 3352.5488),(39 3386.9583),(40 3398.2231),(41 3376.3726),(42 3377.2114),(43 3391.237),(44 3349.6018),(45 3344.798),(46 3348.8032),(47 3330.3396),(48 3338.8303),(49 3354.2058),(50 3290.8455),(51 3307.2556),(52 3295.71),(53 3275.4478),(54 3253.7134),(55 3262.3633),(56 3241.5574),(57 3302.6301),(58 3320.3667),(59 3280.42),(60 3289.8787),(61 3265.2686),(62 3283.861),(63 3342.286),(64 3310.8916),(65 3359.6577),(66 3428.815),(67 3435.7358),(68 3454.4512),(69 3499.2168),(70 3484.3206),(71 3499.8232),(72 3541.5884),(73 3522.9065),(74 3532.4963),(75 3620.9668),(76 3608.5005),(77 3623.6077),(78 3657.6924),(79 3640.111),
(1 1152.4048),(2 1695.636),(3 2007.5032),(4 2204.737),(5 2386.462),(6 2501.2698),(7 2576.2622),(8 2640.0588),(9 2641.0356),(10 2654.5725),(11 2671.293),(12 2713.842),(13 2772.6228),(14 2856.5464),(15 2933.181),(16 2907.7366),(17 2950.1958),(18 2984.5984),(19 3065.4717),(20 3105.9346),(21 3127.34),(22 3065.5947),(23 3043.2375),(24 3047.4043),(25 3040.0056),(26 3078.3796),(27 3082.7512),(28 3088.3022),(29 3092.551),(30 3119.754),(31 3118.3235),(32 3159.3096),(33 3175.8142),(34 3210.7246),(35 3222.2666),(36 3207.3367),(37 3175.104),(38 3161.5688),(39 3177.2107),(40 3220.5889),(41 3205.2178),(42 3236.943),(43 3246.056),(44 3211.2446),(45 3223.866),(46 3246.0696),(47 3194.7397),(48 3159.7585),(49 3193.7473),(50 3184.1523),(51 3228.5579),(52 3233.4182),(53 3147.296),(54 3138.2285),(55 3153.3145),(56 3142.03),(57 3182.0933),(58 3265.7754),(59 3236.3135),(60 3251.2324),(61 3266.3503),(62 3285.0098),(63 3332.0442),(64 3287.7964),(65 3299.4688),(66 3341.5342),(67 3313.063),(68 3325.616),(69 3362.1313),(70 3311.6914),(71 3336.0356),(72 3322.2454),(73 3314.7432),(74 3358.4407),(75 3424.7144),(76 3415.682),(77 3461.8503),(78 3453.3914),(79 3477.2922),
(1 1159.4574),(2 1677.3253),(3 2001.3899),(4 2224.2932),(5 2406.173),(6 2502.3088),(7 2553.733),(8 2578.368),(9 2582.0417),(10 2622.5186),(11 2656.8389),(12 2675.331),(13 2690.6096),(14 2736.252),(15 2749.161),(16 2736.03),(17 2825.3992),(18 2895.0203),(19 2958.5015),(20 3021.266),(21 3059.1814),(22 3030.7842),(23 3017.42),(24 3016.6968),(25 3008.883),(26 3008.4355),(27 2999.6345),(28 3020.1328),(29 3037.9238),(30 3032.1057),(31 3084.569),(32 3149.6497),(33 3178.0686),(34 3215.3328),(35 3240.9421),(36 3238.4797),(37 3220.041),(38 3196.55),(39 3241.2063),(40 3243.6714),(41 3200.0637),(42 3220.1724),(43 3245.6838),(44 3228.9285),(45 3251.8064),(46 3284.8057),(47 3256.3694),(48 3238.822),(49 3284.723),(50 3239.9036),(51 3267.029),(52 3264.4863),(53 3186.3682),(54 3184.7693),(55 3192.1047),(56 3172.1755),(57 3140.3606),(58 3134.8186),(59 3151.4744),(60 3169.9814),(61 3199.0918),(62 3204.5967),(63 3249.3062),(64 3206.2327),(65 3209.0999),(66 3253.0293),(67 3225.3352),(68 3227.6091),(69 3234.5308),(70 3203.43),(71 3236.9653),(72 3275.0547),(73 3287.837),(74 3336.5957),(75 3420.8674),(76 3430.0112),(77 3463.516),(78 3508.552),(79 3513.5466),
(1 1112.6454),(2 1611.0099),(3 1877.6045),(4 2076.8052),(5 2239.9365),(6 2357.7378),(7 2434.726),(8 2511.5684),(9 2532.3599),(10 2591.7183),(11 2638.8965),(12 2649.362),(13 2676.7117),(14 2705.3477),(15 2721.2925),(16 2790.9995),(17 2825.835),(18 2865.3086),(19 2883.9766),(20 2911.244),(21 2940.9011),(22 2932.0046),(23 2918.9875),(24 2930.276),(25 2951.613),(26 2974.8613),(27 2977.6772),(28 2970.1704),(29 3010.4846),(30 3028.013),(31 3033.394),(32 3044.2546),(33 3039.1033),(34 3079.3853),(35 3099.6802),(36 3075.1309),(37 3066.6287),(38 3057.2803),(39 3115.388),(40 3132.6904),(41 3110.1863),(42 3117.7861),(43 3148.7024),(44 3126.6667),(45 3129.0374),(46 3173.8052),(47 3146.0422),(48 3132.6946),(49 3166.5007),(50 3123.14),(51 3161.4448),(52 3143.02),(53 3083.017),(54 3094.4675),(55 3111.4),(56 3065.1707),(57 3044.6484),(58 3084.0078),(59 3071.4585),(60 3093.4358),(61 3064.5835),(62 3067.9133),(63 3095.289),(64 3082.5662),(65 3079.438),(66 3110.5486),(67 3099.7295),(68 3102.6904),(69 3114.6785),(70 3110.167),(71 3153.1838),(72 3195.004),(73 3209.0083),(74 3229.8206),(75 3322.7063),(76 3364.0273),(77 3373.9016),(78 3416.9773),(79 3419.2231),
(1 1109.5449),(2 1601.376),(3 1852.6472),(4 2034.9603),(5 2186.5889),(6 2278.6177),(7 2356.5776),(8 2441.601),(9 2475.5444),(10 2529.8472),(11 2544.3708),(12 2578.5278),(13 2631.175),(14 2691.69),(15 2723.4976),(16 2765.4246),(17 2812.3418),(18 2832.8523),(19 2850.4844),(20 2845.11),(21 2842.763),(22 2809.1243),(23 2799.1948),(24 2786.003),(25 2801.5854),(26 2813.062),(27 2861.2861),(28 2851.3447),(29 2875.053),(30 2875.6455),(31 2859.383),(32 2889.3777),(33 2881.8093),(34 2941.6553),(35 3003.8489),(36 2993.1272),(37 3027.1147),(38 3041.812),(39 3103.8867),(40 3137.5745),(41 3139.602),(42 3149.7087),(43 3159.0613),(44 3128.5842),(45 3104.9692),(46 3130.181),(47 3079.3882),(48 3056.5818),(49 3071.9045),(50 3042.8313),(51 3061.2485),(52 3065.4465),(53 3036.193),(54 3069.4766),(55 3072.5266),(56 3026.9773),(57 3019.7478),(58 3052.9534),(59 3044.3845),(60 3058.087),(61 3001.6736),(62 2995.2795),(63 3029.8013),(64 3023.149),(65 3018.519),(66 3029.6428),(67 3019.5942),(68 3021.0295),(69 3005.1511),(70 2986.5347),(71 2991.2476),(72 3031.8376),(73 3009.479),(74 3050.2642),(75 3117.581),(76 3126.5981),(77 3126.617),(78 3113.1948),(79 3104.0574),
(1 1094.0886),(2 1596.9261),(3 1870.7747),(4 2068.275),(5 2232.2449),(6 2361.699),(7 2416.0442),(8 2514.507),(9 2569.518),(10 2629.789),(11 2674.41),(12 2719.6453),(13 2756.1414),(14 2801.667),(15 2835.4963),(16 2834.6838),(17 2923.9492),(18 2940.3533),(19 2945.0107),(20 2976.406),(21 2971.1863),(22 2942.2349),(23 2920.431),(24 2901.425),(25 2943.9014),(26 2973.2988),(27 2990.8184),(28 2961.3992),(29 2945.1443),(30 2961.713),(31 2952.0486),(32 2971.469),(33 3009.546),(34 3060.7637),(35 3084.446),(36 3093.6543),(37 3079.7522),(38 3110.4834),(39 3152.4043),(40 3185.9927),(41 3158.8872),(42 3163.5479),(43 3174.2065),(44 3132.8306),(45 3113.3772),(46 3146.7742),(47 3127.9475),(48 3118.9055),(49 3135.7415),(50 3143.828),(51 3198.4426),(52 3184.6816),(53 3172.5198),(54 3190.9258),(55 3223.5415),(56 3182.7964),(57 3167.8984),(58 3200.1033),(59 3166.3044),(60 3193.8657),(61 3127.9312),(62 3140.7603),(63 3206.3743),(64 3214.7534),(65 3194.2898),(66 3248.154),(67 3225.061),(68 3229.7876),(69 3234.0376),(70 3199.3545),(71 3199.5254),(72 3226.1306),(73 3221.9316),(74 3244.9106),(75 3323.3599),(76 3292.3728),(77 3258.45),(78 3239.0654),(79 3231.1926),
(1 1079.3523),(2 1564.2296),(3 1817.4697),(4 1999.0586),(5 2197.9373),(6 2302.821),(7 2378.4275),(8 2463.3477),(9 2503.828),(10 2506.4895),(11 2543.6904),(12 2568.0222),(13 2618.4521),(14 2672.0037),(15 2744.2112),(16 2774.5344),(17 2867.9827),(18 2871.6978),(19 2878.43),(20 2937.6274),(21 2913.812),(22 2898.0845),(23 2867.713),(24 2847.891),(25 2866.4697),(26 2906.9736),(27 2938.574),(28 2914.1943),(29 2933.8),(30 2948.215),(31 2948.5588),(32 2964.6577),(33 2960.5044),(34 2984.2632),(35 2988.3215),(36 2978.6577),(37 2989.9722),(38 3024.5798),(39 3059.6624),(40 3075.9053),(41 3034.5828),(42 3045.2683),(43 3050.4458),(44 3018.138),(45 3001.9167),(46 3001.7717),(47 3002.3247),(48 2990.4934),(49 3012.964),(50 2980.2964),(51 3013.0776),(52 3034.7903),(53 3014.4268),(54 3039.1687),(55 3058.4246),(56 3061.021),(57 3033.4),(58 3064.6118),(59 3034.1199),(60 3064.7766),(61 3030.7954),(62 2994.5183),(63 3020.32),(64 3016.1548),(65 3015.2559),(66 3085.667),(67 3071.72),(68 3074.451),(69 3103.2424),(70 3056.798),(71 3054.9946),(72 3080.8228),(73 3093.3286),(74 3084.228),(75 3116.6167),(76 3109.6382),(77 3076.2395),(78 3083.617),(79 3084.3247),
(1 1028.1107),(2 1498.2448),(3 1716.3235),(4 1887.036),(5 2066.3147),(6 2178.0425),(7 2254.0237),(8 2293.3462),(9 2328.0706),(10 2385.7212),(11 2433.676),(12 2442.427),(13 2476.5908),(14 2528.357),(15 2574.055),(16 2607.096),(17 2696.89),(18 2699.3755),(19 2722.05),(20 2755.1602),(21 2764.3167),(22 2739.9456),(23 2726.5105),(24 2726.0142),(25 2782.7476),(26 2806.7559),(27 2844.1423),(28 2807.4465),(29 2807.9324),(30 2817.8367),(31 2804.6145),(32 2841.7449),(33 2872.2861),(34 2881.0898),(35 2917.053),(36 2879.7803),(37 2894.3267),(38 2929.45),(39 2933.3054),(40 2931.3542),(41 2906.2703),(42 2859.2861),(43 2866.333),(44 2882.4573),(45 2903.7175),(46 2935.3142),(47 2951.4543),(48 2953.667),(49 2997.583),(50 2975.9895),(51 2995.9895),(52 3020.0876),(53 2988.985),(54 2974.5967),(55 2980.0828),(56 2975.9631),(57 2959.6318),(58 2960.5571),(59 2964.829),(60 2998.4204),(61 2992.944),(62 2969.094),(63 3000.3728),(64 2986.7227),(65 2987.1348),(66 3017.2234),(67 2990.9878),(68 2971.4973),(69 3025.7307),(70 2988.7388),(71 3004.4287),(72 3030.6902),(73 3015.9824),(74 2987.6167),(75 2993.4316),(76 2996.9434),(77 3004.6494),(78 3025.9072),(79 3019.3767),
(1 1029.6499),(2 1467.789),(3 1717.7212),(4 1886.4838),(5 2047.757),(6 2124.4915),(7 2194.3354),(8 2241.5044),(9 2297.5405),(10 2347.5283),(11 2391.752),(12 2409.7278),(13 2421.6687),(14 2455.6313),(15 2500.1904),(16 2510.0244),(17 2585.2683),(18 2584.229),(19 2640.2139),(20 2676.5505),(21 2681.2139),(22 2679.811),(23 2685.7512),(24 2706.1704),(25 2752.5337),(26 2790.4001),(27 2806.8586),(28 2844.5222),(29 2858.4292),(30 2837.3943),(31 2842.6455),(32 2884.9097),(33 2908.1326),(34 2954.7886),(35 2974.12),(36 2974.5317),(37 3018.2673),(38 3035.0334),(39 3027.8008),(40 3024.275),(41 2973.2603),(42 2970.9153),(43 3012.917),(44 3038.8054),(45 3047.9211),(46 3058.8196),(47 3066.5313),(48 3059.6223),(49 3065.1335),(50 3051.1096),(51 3086.2173),(52 3094.0513),(53 3053.7568),(54 3063.2405),(55 3071.0247),(56 3060.605),(57 3051.7625),(58 3053.2212),(59 3007.722),(60 3030.1157),(61 3050.223),(62 3081.8723),(63 3158.8481),(64 3129.4248),(65 3146.0757),(66 3162.4124),(67 3141.4583),(68 3125.52),(69 3155.4868),(70 3124.3708),(71 3148.7673),(72 3156.5432),(73 3133.9539),(74 3116.571),(75 3122.5215),(76 3134.6147),(77 3128.3008),(78 3145.0325),(79 3136.1987),
(1 1030.4177),(2 1472.1259),(3 1728.6511),(4 1879.6962),(5 2010.6508),(6 2095.3977),(7 2173.5251),(8 2240.5686),(9 2307.157),(10 2355.6887),(11 2407.5208),(12 2421.6265),(13 2445.9224),(14 2506.882),(15 2530.3665),(16 2537.4963),(17 2608.6936),(18 2662.1492),(19 2690.9792),(20 2686.1047),(21 2711),(22 2700.4734),(23 2712.0767),(24 2724.5332),(25 2744.4917),(26 2763.218),(27 2775.247),(28 2781.7917),(29 2816.4585),(30 2796.6387),(31 2804.1172),(32 2862.2737),(33 2905.3528),(34 2946.738),(35 2999.5073),(36 2984.806),(37 2998.377),(38 2999.8228),(39 2985.8196),(40 2991.7112),(41 2950.2441),(42 2969.716),(43 2974.4358),(44 2996.7686),(45 2977.009),(46 3011.2375),(47 2978.3423),(48 2933.4165),(49 2943.9314),(50 2961.095),(51 2974.8162),(52 2989.6064),(53 2979.0835),(54 2948.2693),(55 2944.9429),(56 2916.521),(57 2901.9766),(58 2918.4849),(59 2884.0916),(60 2952.345),(61 2973.2854),(62 2965.1245),(63 2983.7244),(64 2969.7056),(65 2994.413),(66 3026.9602),(67 3033.8918),(68 3029.3235),(69 3067.6597),(70 3016.99),(71 3016.4165),(72 3014.5583),(73 2996.266),(74 3008.5938),(75 3060.1516),(76 3053.278),(77 3050.4048),(78 3089.272),(79 3077.1633),
(1 1034.972),(2 1478.891),(3 1742.2208),(4 1884.5345),(5 2007.7114),(6 2105.315),(7 2140.3826),(8 2200.3262),(9 2234.4424),(10 2275.3677),(11 2319.5217),(12 2329.24),(13 2358.8372),(14 2430.4946),(15 2449.3877),(16 2475.3672),(17 2542.2153),(18 2552.717),(19 2585.1707),(20 2567.4211),(21 2550.462),(22 2551.8252),(23 2574.5315),(24 2587.4087),(25 2588.478),(26 2592.69),(27 2605.651),(28 2599.1733),(29 2640.528),(30 2641.5188),(31 2625.9365),(32 2660.9646),(33 2674.0007),(34 2693.4487),(35 2722.3044),(36 2717.3396),(37 2731.3257),(38 2742.7356),(39 2771.8423),(40 2775.4255),(41 2765.1025),(42 2776.1953),(43 2804.073),(44 2806.133),(45 2772.1826),(46 2797.5278),(47 2761.3147),(48 2748.5388),(49 2796.2334),(50 2775.4468),(51 2821.8638),(52 2853.8892),(53 2847.295),(54 2836.912),(55 2834.0127),(56 2794.3972),(57 2788.1672),(58 2820.3093),(59 2793.2231),(60 2826.7832),(61 2819.4453),(62 2815.2944),(63 2851.497),(64 2825.499),(65 2819.8193),(66 2855.512),(67 2879.6963),(68 2878.634),(69 2897.038),(70 2880.3909),(71 2885.4797),(72 2884.8772),(73 2889.9429),(74 2933.8596),(75 2953.209),(76 2935.772),(77 2904.1335),(78 2948.9038),(79 2919.6484),
