1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 188997.36),(2 444421.88),(3 728849.8),(4 1302254.3),(5 1960409.6),(6 2624098.3),(7 3582705.3),(8 4564520.5),(9 5538853.5),(10 6806086.5),(11 8099478.5),(12 9386329),(13 10926012),(14 12541963),(15 14012819),(16 15751984),(17 17643208),(18 19375764),(19 21558070),(20 23935978),(21 25823922),(22 28016654),(23 30368778),(24 32381698),(25 34594700),(26 36935868),(27 38792148),(28 40700420),(29 42898716),(30 44718496),(31 46897700),(32 49519884),(33 51615790),(34 54193268),(35 57555532),(36 60533132),(37 63678828),(38 67328030),(39 70488260),(40 73924730),(41 77806830),(42 81141384),(43 84477380),(44 88020700),(45 90758630),(46 93603480),(47 97255550),(48 100269270),(49 103664010),(50 107818180),(51 111378040),(52 114722390),(53 118414360),(54 121686080),(55 124394890),(56 127163240),(57 129586776),(58 131899140),(59 134674400),(60 137219920),(61 139162160),(62 140740140),(63 141227440),(64 141749090),(65 143124050),(66 144446720),(67 145946820),(68 147610800),(69 148513620),(70 149176450),(71 150113600),(72 150616690),(73 151348820),(74 152662350),(75 153746240),(76 155292350),(77 157092750),(78 159195090),(79 160688270),
(1 716.3847),(2 870.252),(3 935.95807),(4 1007.26843),(5 1079.5436),(6 1131.3969),(7 1187.0682),(8 1245.1957),(9 1283.9883),(10 1330.5984),(11 1373.8076),(12 1429.6833),(13 1456.2042),(14 1484.4865),(15 1532.5939),(16 1582.1207),(17 1601.9631),(18 1630.4733),(19 1669.7578),(20 1704.213),(21 1726.9738),(22 1742.0261),(23 1753.9531),(24 1764.0703),(25 1770.3058),(26 1771.4501),(27 1753.0961),(28 1748.5189),(29 1741.0808),(30 1758.7367),(31 1763.9845),(32 1767.408),(33 1753.4642),(34 1769.3176),(35 1784.0469),(36 1761.6708),(37 1778.2483),(38 1780.0812),(39 1818.3416),(40 1822.7577),(41 1820.4308),(42 1833.8329),(43 1847.7915),(44 1853.0756),(45 1869.3903),(46 1868.8826),(47 1857.7441),(48 1875.4865),(49 1867.7605),(50 1853.5161),(51 1864.6428),(52 1853.6471),(53 1841.0458),(54 1846.1492),(55 1843.0875),(56 1842.4103),(57 1817.3617),(58 1810.3827),(59 1816.9879),(60 1829.652),(61 1812.4707),(62 1822.6797),(63 1823.8772),(64 1796.0409),(65 1811.2242),(66 1816.822),(67 1815.0651),(68 1809.5587),(69 1795.807),(70 1821.1963),(71 1825.641),(72 1817.3049),(73 1821.2672),(74 1820.6276),(75 1834.1642),(76 1828.5347),(77 1803.6328),(78 1809.3805),(79 1823.6606),
(1 722.13916),(2 882.65656),(3 955.46625),(4 1019.0298),(5 1098.0831),(6 1168.8639),(7 1210.2649),(8 1281.5964),(9 1303.4683),(10 1351.752),(11 1393.3876),(12 1429.0061),(13 1480.2195),(14 1508.9679),(15 1567.3789),(16 1594.292),(17 1642.552),(18 1677.0654),(19 1711.806),(20 1752.2308),(21 1764.4874),(22 1766.2144),(23 1783.3749),(24 1781.59),(25 1800.8065),(26 1805.306),(27 1776.0029),(28 1770.9979),(29 1773.1791),(30 1773.7734),(31 1781.6019),(32 1787.4409),(33 1781.0704),(34 1794.358),(35 1830.9404),(36 1811.7976),(37 1821.5305),(38 1826.2823),(39 1839.8091),(40 1851.9877),(41 1837.9708),(42 1844.9717),(43 1846.1055),(44 1833.8484),(45 1830.8975),(46 1820.7158),(47 1820.8499),(48 1813.0665),(49 1803.235),(50 1805.4784),(51 1808.2865),(52 1803.3672),(53 1787.6719),(54 1797.5686),(55 1791.3265),(56 1803.3164),(57 1778.724),(58 1798.8625),(59 1779.0809),(60 1781.0027),(61 1790.8171),(62 1798.8773),(63 1802.2289),(64 1803.71),(65 1817.9539),(66 1828.3425),(67 1866.9984),(68 1875.7949),(69 1876.7876),(70 1891.8408),(71 1890.0859),(72 1898.9926),(73 1892.6431),(74 1887.768),(75 1902.6158),(76 1915.7455),(77 1896.739),(78 1901.4438),(79 1896.544),
(1 700.84985),(2 867.4053),(3 927.0368),(4 1003.045),(5 1103.9509),(6 1162.3126),(7 1208.5288),(8 1277.4858),(9 1320.0697),(10 1353.8815),(11 1394.5359),(12 1445.1859),(13 1490.7452),(14 1512.5591),(15 1584.9509),(16 1625.6794),(17 1643.2927),(18 1669.9716),(19 1705.1724),(20 1751.4664),(21 1774.8982),(22 1775.2626),(23 1776.236),(24 1768.8514),(25 1777.5643),(26 1774.4971),(27 1754.7859),(28 1735.7145),(29 1742.4294),(30 1746.3595),(31 1750.93),(32 1746.1125),(33 1737.2814),(34 1731.0747),(35 1735.181),(36 1718.3993),(37 1706.0599),(38 1705.3121),(39 1714.2781),(40 1691.0161),(41 1691.1744),(42 1695.0059),(43 1706.1396),(44 1706.1375),(45 1693.904),(46 1715.5165),(47 1722.0875),(48 1734.778),(49 1723.9875),(50 1713.7053),(51 1712.3068),(52 1714.0286),(53 1704.105),(54 1711.128),(55 1720.9288),(56 1714.8566),(57 1706.8813),(58 1723.5793),(59 1719.3768),(60 1732.5741),(61 1737.0519),(62 1733.0436),(63 1764.0515),(64 1739.5483),(65 1769.5321),(66 1787.3667),(67 1809.7322),(68 1825.0688),(69 1805.547),(70 1826.7616),(71 1818.3309),(72 1828.8721),(73 1833.542),(74 1836.5457),(75 1870.5901),(76 1861.7603),(77 1855.3228),(78 1869.9907),(79 1871.6268),
(1 692.7735),(2 841.1052),(3 907.17236),(4 968.78033),(5 1063.3608),(6 1118.6812),(7 1182.1042),(8 1239.507),(9 1294.8179),(10 1329.9601),(11 1366.7275),(12 1408.658),(13 1440.4724),(14 1458.0531),(15 1528.1002),(16 1554.1437),(17 1584.2861),(18 1624.0878),(19 1634.6075),(20 1669.8502),(21 1687.6167),(22 1701.8179),(23 1723.143),(24 1708.7944),(25 1714.9374),(26 1732.8489),(27 1724.9023),(28 1713.7428),(29 1724.9468),(30 1737.4075),(31 1741.6539),(32 1733.8989),(33 1749.2025),(34 1755.3915),(35 1789.5452),(36 1796.3568),(37 1796.5049),(38 1793.6512),(39 1825.7473),(40 1817.5214),(41 1826.1677),(42 1851.1107),(43 1856.7032),(44 1842.7897),(45 1849.3064),(46 1860.8483),(47 1845.5728),(48 1831.4783),(49 1830.1497),(50 1843.1621),(51 1848.8197),(52 1844.8623),(53 1836.5839),(54 1818.2775),(55 1812.3982),(56 1801.7611),(57 1774.6471),(58 1768.255),(59 1766.9364),(60 1768.1573),(61 1747.5945),(62 1767.5938),(63 1757.5383),(64 1741.965),(65 1776.0083),(66 1773.3931),(67 1769.3287),(68 1782.1047),(69 1788.0662),(70 1794.812),(71 1811.3903),(72 1803.2495),(73 1808.0723),(74 1804.7008),(75 1812.6123),(76 1824.9529),(77 1835.5558),(78 1819.9379),(79 1847.8225),
(1 691.8948),(2 841.0299),(3 903.65906),(4 960.3975),(5 1061.012),(6 1100.6049),(7 1147.2094),(8 1195.9313),(9 1244.5215),(10 1284.21),(11 1322.5314),(12 1358.315),(13 1412.1093),(14 1448.8237),(15 1498.3718),(16 1518.8019),(17 1557.2407),(18 1572.9858),(19 1591.9354),(20 1637.8058),(21 1657.4153),(22 1673.7958),(23 1673.9773),(24 1667.7024),(25 1653.6093),(26 1656.8033),(27 1659.5344),(28 1652.6606),(29 1671.0681),(30 1681.3413),(31 1667.1056),(32 1666.295),(33 1683.8173),(34 1702.8037),(35 1696.4287),(36 1700.9672),(37 1697.9491),(38 1719.971),(39 1736.1414),(40 1730.6952),(41 1723.498),(42 1740.8792),(43 1724.2886),(44 1732.3453),(45 1738.0824),(46 1730.2621),(47 1734.7719),(48 1736.3525),(49 1724.4625),(50 1723.2156),(51 1716.247),(52 1700.6519),(53 1688.1049),(54 1705.6968),(55 1682.6803),(56 1665.5616),(57 1654.9341),(58 1656.3733),(59 1663.0397),(60 1663.5363),(61 1651.9712),(62 1670.7766),(63 1664.6904),(64 1665.7954),(65 1678.899),(66 1664.0422),(67 1698.2754),(68 1701.0217),(69 1703.5254),(70 1720.9269),(71 1725.6831),(72 1717.8866),(73 1736.7372),(74 1734.2566),(75 1752.2766),(76 1764.41),(77 1778.2295),(78 1783.6428),(79 1807.1467),
(1 680.9622),(2 821.83875),(3 879.23883),(4 943.477),(5 1030.2982),(6 1071.6917),(7 1126.3264),(8 1178.5992),(9 1206.5686),(10 1237.486),(11 1280.4875),(12 1315.2596),(13 1344.6001),(14 1377.4012),(15 1409.0553),(16 1436.71),(17 1456.2749),(18 1468.993),(19 1496.4825),(20 1527.8732),(21 1541.9686),(22 1554.2782),(23 1560.6456),(24 1568.7192),(25 1564.9731),(26 1589.3108),(27 1582.4623),(28 1590.2549),(29 1602.8401),(30 1621.9287),(31 1634.0869),(32 1632.2532),(33 1657.6882),(34 1670.2517),(35 1670.4128),(36 1681.3718),(37 1681.5377),(38 1705.5372),(39 1718.0223),(40 1718.756),(41 1716.3813),(42 1712.4791),(43 1740.0289),(44 1734.0198),(45 1726.4596),(46 1718.6863),(47 1710.5912),(48 1707.302),(49 1702.0052),(50 1673.4126),(51 1662.1376),(52 1645.5281),(53 1639.5126),(54 1642.0162),(55 1625.4362),(56 1627.9001),(57 1617.6099),(58 1613.653),(59 1614.4365),(60 1614.4408),(61 1613.9178),(62 1613.3029),(63 1620.8549),(64 1615.9696),(65 1630.8131),(66 1624.4291),(67 1644.0122),(68 1646.3429),(69 1660.3766),(70 1649.9021),(71 1652.3903),(72 1651.8611),(73 1657.8027),(74 1685.824),(75 1691.7151),(76 1702.4012),(77 1710.8953),(78 1710.7646),(79 1720.9894),
(1 672.306),(2 829.45074),(3 876.5216),(4 945.1233),(5 1017.5442),(6 1063.3243),(7 1114.5524),(8 1168.1057),(9 1199.7186),(10 1231.4141),(11 1256.3145),(12 1316.7146),(13 1341.3379),(14 1340.5042),(15 1397.396),(16 1424.0494),(17 1451.7527),(18 1469.0969),(19 1506.4683),(20 1513.4451),(21 1522.1818),(22 1535.0851),(23 1532.3802),(24 1532.2832),(25 1535.3285),(26 1528.0195),(27 1527.9407),(28 1528.9543),(29 1537.4836),(30 1547.4429),(31 1546.5885),(32 1547.3215),(33 1546.0756),(34 1562.5204),(35 1573.7076),(36 1589.5314),(37 1578.5099),(38 1594.084),(39 1636.5751),(40 1629.568),(41 1629.1097),(42 1638.1595),(43 1653.5289),(44 1640.9984),(45 1633.6135),(46 1629.1143),(47 1637.3528),(48 1622.3169),(49 1619.8405),(50 1620.5641),(51 1621.3921),(52 1605.8923),(53 1596.1711),(54 1616.3567),(55 1615.2053),(56 1604.4397),(57 1595.7539),(58 1597.028),(59 1605.5309),(60 1585.4934),(61 1593.1362),(62 1597.4218),(63 1615.0265),(64 1607.4908),(65 1615.3427),(66 1606.183),(67 1611.2157),(68 1619.7505),(69 1616.1346),(70 1610.3696),(71 1600.9536),(72 1576.9293),(73 1581.0237),(74 1603.5824),(75 1582.562),(76 1604.049),(77 1621.3472),(78 1609.2412),(79 1615.4309),
(1 645.3604),(2 801.6176),(3 852.8803),(4 904.0534),(5 981.3968),(6 1035.3192),(7 1094.9042),(8 1161.2888),(9 1196.1622),(10 1239.0492),(11 1266.6284),(12 1316.7932),(13 1339.8274),(14 1382.3733),(15 1428.4105),(16 1472.8923),(17 1513.0161),(18 1527.0321),(19 1548.6311),(20 1579.0209),(21 1600.3137),(22 1611.2544),(23 1620.8411),(24 1631.8057),(25 1611.3517),(26 1619.5653),(27 1618.2595),(28 1619.6155),(29 1624.7003),(30 1632.0123),(31 1631.9468),(32 1614.4131),(33 1630.1975),(34 1628.4116),(35 1652.9382),(36 1645.8667),(37 1670.1249),(38 1670.7006),(39 1694.8815),(40 1694.9132),(41 1707.0957),(42 1704.4601),(43 1700.4131),(44 1685.8386),(45 1697.8256),(46 1703.2073),(47 1698.9962),(48 1691.8364),(49 1689.9706),(50 1687.9131),(51 1678.1329),(52 1672.8319),(53 1675.4165),(54 1686.332),(55 1677.7186),(56 1667.1361),(57 1650.397),(58 1637.8682),(59 1654.0569),(60 1641.698),(61 1658.7064),(62 1645.094),(63 1651.2208),(64 1648.5487),(65 1678.8801),(66 1665.3265),(67 1677.0962),(68 1664.246),(69 1678.4935),(70 1695.1045),(71 1688.2189),(72 1680.8341),(73 1687.9446),(74 1727.9899),(75 1722.5469),(76 1728.2544),(77 1741.2667),(78 1747.2627),(79 1754.6144),
(1 628.3075),(2 764.5019),(3 815.40045),(4 865.12976),(5 960.62067),(6 1002.47614),(7 1051.6034),(8 1089.9307),(9 1139.7168),(10 1185.2057),(11 1221.6744),(12 1277.4509),(13 1310.8265),(14 1345.9331),(15 1379.9861),(16 1411.6581),(17 1460.6448),(18 1475.0146),(19 1500.9501),(20 1510.2201),(21 1535.9249),(22 1555.2192),(23 1536.9149),(24 1553.3794),(25 1535.3851),(26 1535.5203),(27 1498.5627),(28 1514.0297),(29 1505.8535),(30 1503.8062),(31 1509.6554),(32 1499.8492),(33 1495.8171),(34 1496.3977),(35 1504.6128),(36 1491.2468),(37 1498.4421),(38 1499.8351),(39 1508.9207),(40 1495.5316),(41 1498.6799),(42 1509.4495),(43 1505.5934),(44 1516.2335),(45 1528.836),(46 1544.6855),(47 1556.5397),(48 1567.5409),(49 1569.0873),(50 1576.3992),(51 1590.3015),(52 1591.2444),(53 1608.7441),(54 1596.5663),(55 1591.3295),(56 1574.1252),(57 1580.3611),(58 1584.6232),(59 1598.4154),(60 1595.1914),(61 1606.714),(62 1597.8383),(63 1595.5958),(64 1601.7012),(65 1604.3378),(66 1611.498),(67 1610.729),(68 1598.4153),(69 1583.5848),(70 1599.8088),(71 1584.3922),(72 1597.956),(73 1587.2574),(74 1593.4355),(75 1595.5006),(76 1582.4994),(77 1598.1014),(78 1584.346),(79 1590.5336),
(1 625.0942),(2 766.8113),(3 825.06665),(4 877.10504),(5 951.15656),(6 1001.75867),(7 1046.1301),(8 1076.3594),(9 1124.7598),(10 1159.4102),(11 1197.6893),(12 1235.701),(13 1267.2794),(14 1296.6156),(15 1329.998),(16 1363.0293),(17 1386.0685),(18 1421.551),(19 1435.5924),(20 1443.409),(21 1451.6919),(22 1471.0374),(23 1471.1704),(24 1488.3923),(25 1493.5754),(26 1478.5222),(27 1482.5273),(28 1482.1117),(29 1491.2966),(30 1489.3105),(31 1493.5076),(32 1498.8125),(33 1495.3838),(34 1495.8363),(35 1518.0922),(36 1529.0452),(37 1539.9125),(38 1568.916),(39 1568.7957),(40 1556.8085),(41 1580.0094),(42 1597.5206),(43 1620.428),(44 1633.2141),(45 1637.0095),(46 1645.6127),(47 1643.2278),(48 1656.7772),(49 1648.0674),(50 1650.5333),(51 1647.6613),(52 1641.574),(53 1622.8463),(54 1633.3739),(55 1627.4828),(56 1585.834),(57 1580.3174),(58 1572.3909),(59 1535.682),(60 1539.5669),(61 1559.3896),(62 1550.2549),(63 1531.3743),(64 1523.0375),(65 1518.3185),(66 1533.2091),(67 1534.1847),(68 1535.0673),(69 1535.7805),(70 1541.9039),(71 1538.6077),(72 1549.0132),(73 1554.0619),(74 1559.2516),(75 1573.4244),(76 1572.4822),(77 1576.781),(78 1594.3953),(79 1602.4691),
(1 621.6244),(2 770.18665),(3 820.76984),(4 874.5441),(5 950.9582),(6 990.1674),(7 1035.9502),(8 1075.8695),(9 1112.2977),(10 1163.5286),(11 1183.0316),(12 1217.9817),(13 1241.1788),(14 1279.5189),(15 1326.2942),(16 1363.3881),(17 1402.3973),(18 1428.7385),(19 1451.9292),(20 1466.0994),(21 1489.6797),(22 1496.2167),(23 1509.6617),(24 1516.4044),(25 1520.1996),(26 1511.2717),(27 1491.7407),(28 1494.7388),(29 1511.4595),(30 1502.0226),(31 1506.9802),(32 1500.1564),(33 1499.5585),(34 1505.6724),(35 1513.2223),(36 1508.4387),(37 1506.6144),(38 1516.4597),(39 1533.8208),(40 1529.7137),(41 1535.7529),(42 1516.6104),(43 1536.8768),(44 1535.2408),(45 1519.0288),(46 1529.3882),(47 1524.5703),(48 1538.1726),(49 1525.6523),(50 1537.7529),(51 1529.0902),(52 1526.0228),(53 1529.1245),(54 1517.4788),(55 1519.0803),(56 1517.9143),(57 1513.2227),(58 1504.3688),(59 1495.8094),(60 1494.2136),(61 1478.9989),(62 1487.0427),(63 1498.8483),(64 1487.3193),(65 1513.8425),(66 1520.3528),(67 1520.7068),(68 1531.7732),(69 1545.5646),(70 1548.1206),(71 1557.8595),(72 1581.1176),(73 1574.4763),(74 1581.15),(75 1591.066),(76 1584.8926),(77 1598.4841),(78 1608.3595),(79 1602.3893),
(1 623.29944),(2 760.2608),(3 824.299),(4 874.22723),(5 935.8258),(6 967.6784),(7 1026.7908),(8 1060.761),(9 1094.418),(10 1133.1663),(11 1167.8026),(12 1205.6724),(13 1240.771),(14 1274.5681),(15 1311.8724),(16 1323.2107),(17 1370.2496),(18 1390.9154),(19 1397.369),(20 1440.5509),(21 1449.1157),(22 1454.1322),(23 1469.7003),(24 1475.5294),(25 1485.3037),(26 1460.233),(27 1453.3878),(28 1464.4849),(29 1470.7538),(30 1484.7351),(31 1502.3965),(32 1504.5912),(33 1509.4465),(34 1525.603),(35 1548.0237),(36 1545.0211),(37 1538.2031),(38 1576.1984),(39 1585.8419),(40 1573.8508),(41 1579.7335),(42 1591.4966),(43 1592.8804),(44 1591.167),(45 1600.1199),(46 1608.8292),(47 1602.8486),(48 1611.1672),(49 1610.745),(50 1607.4042),(51 1601.3882),(52 1585.2355),(53 1575.4324),(54 1577.4025),(55 1570.5901),(56 1568.3583),(57 1548.4966),(58 1545.9148),(59 1529.5834),(60 1541.6854),(61 1539.2517),(62 1531.9524),(63 1553.0111),(64 1543.2504),(65 1556.9812),(66 1552.3862),(67 1550.62),(68 1556.0411),(69 1549.5697),(70 1534.8685),(71 1543.7096),(72 1545.3171),(73 1558.3463),(74 1548.6278),(75 1552.9215),(76 1557.8978),(77 1537.6056),(78 1537.0394),(79 1539.8074),
(1 577.49963),(2 718.134),(3 773.23224),(4 830.852),(5 905.01434),(6 935.71545),(7 979.9763),(8 1009.9753),(9 1043.815),(10 1088.0916),(11 1115.5295),(12 1141.1343),(13 1180.5859),(14 1208.2185),(15 1247.5515),(16 1265.7748),(17 1278.6421),(18 1297.9482),(19 1312.4336),(20 1348.9065),(21 1344.9579),(22 1356.1594),(23 1357.4564),(24 1353.7639),(25 1357.7842),(26 1340.0857),(27 1344.2689),(28 1348.6449),(29 1352.3447),(30 1353.1302),(31 1362.1993),(32 1361.6692),(33 1360.7443),(34 1354.9417),(35 1365.6678),(36 1371.0986),(37 1381.3198),(38 1381.3975),(39 1394.975),(40 1393.5928),(41 1394.5524),(42 1394.3407),(43 1416.8392),(44 1429.6047),(45 1437.4912),(46 1455.8065),(47 1463.0758),(48 1469.9967),(49 1459.2448),(50 1466.8966),(51 1477.4752),(52 1458.2616),(53 1449.5831),(54 1438.5775),(55 1439.6223),(56 1436.7458),(57 1439.5779),(58 1441.4554),(59 1419.6311),(60 1405.5883),(61 1407.0104),(62 1396.8064),(63 1403.0735),(64 1396.4551),(65 1426.0469),(66 1415.1693),(67 1414.0824),(68 1417.1125),(69 1401.3524),(70 1405.3097),(71 1417.5731),(72 1406.2),(73 1418.2659),(74 1402.3889),(75 1422.7993),(76 1414.3237),(77 1412.5751),(78 1419.3293),(79 1432.1073),
(1 568.72015),(2 701.34436),(3 767.3865),(4 812.8027),(5 885.1839),(6 933.22406),(7 982.2248),(8 1012.5423),(9 1047.0985),(10 1081.7766),(11 1128.4775),(12 1150.1301),(13 1187.224),(14 1218.3678),(15 1258.0441),(16 1281.2322),(17 1315.1),(18 1333.9158),(19 1337.1295),(20 1362.2502),(21 1371.558),(22 1382.6259),(23 1381.0919),(24 1383.304),(25 1395.9017),(26 1383.5623),(27 1366.0907),(28 1373.8558),(29 1375.7762),(30 1361.2539),(31 1365.6099),(32 1370.6371),(33 1381.3716),(34 1382.9204),(35 1386.528),(36 1396.96),(37 1411.4653),(38 1394.5857),(39 1408.1912),(40 1410.9574),(41 1428.2437),(42 1440.9419),(43 1447.1812),(44 1451.7615),(45 1449.3539),(46 1449.5454),(47 1455.359),(48 1470.669),(49 1468.9043),(50 1483.9323),(51 1472.2761),(52 1477.7938),(53 1457.2606),(54 1448.0371),(55 1439.4178),(56 1447.486),(57 1446.1538),(58 1435.0665),(59 1438.8196),(60 1422.9409),(61 1422.9369),(62 1418.9554),(63 1412.3497),(64 1405.9896),(65 1421.1459),(66 1413.6979),(67 1415.9867),(68 1426.3889),(69 1427.1938),(70 1422.1763),(71 1418.4132),(72 1416.5123),(73 1426.2302),(74 1431.8525),(75 1456.5123),(76 1446.1992),(77 1453.6766),(78 1454.1067),(79 1456.9243),
(1 544.08466),(2 691.7542),(3 742.58514),(4 786.1849),(5 847.6844),(6 895.7385),(7 935.4562),(8 970.4298),(9 1007.98987),(10 1045.8109),(11 1088.9882),(12 1106.2596),(13 1137.4753),(14 1149.4626),(15 1187.9585),(16 1222.3007),(17 1248.7543),(18 1269.7683),(19 1273.7103),(20 1292.5741),(21 1298.806),(22 1294.4635),(23 1298.5593),(24 1310.5706),(25 1309.9728),(26 1303.9532),(27 1296.7758),(28 1313.0121),(29 1310.8743),(30 1302.2355),(31 1308.2518),(32 1300.6086),(33 1312.8202),(34 1314.4064),(35 1310.919),(36 1329.8328),(37 1322.5321),(38 1308.973),(39 1329.9867),(40 1343.4269),(41 1348.0244),(42 1344.4867),(43 1355.0015),(44 1370.248),(45 1387.9238),(46 1381.9519),(47 1390.9692),(48 1400.831),(49 1390.5183),(50 1403.8263),(51 1405.7535),(52 1393.7266),(53 1417.7274),(54 1413.0713),(55 1429.3232),(56 1413.0398),(57 1405.5784),(58 1402.8148),(59 1392.2684),(60 1392.0903),(61 1378.4346),(62 1378.3013),(63 1388.4639),(64 1378.5519),(65 1390.6132),(66 1385.5248),(67 1408.8265),(68 1391.5485),(69 1386.3182),(70 1379.7449),(71 1387.5941),(72 1385.6389),(73 1382.7886),(74 1388.507),(75 1399.5044),(76 1389.0284),(77 1383.2979),(78 1377.6687),(79 1368.1489),
(1 555.10736),(2 707.19867),(3 765.7256),(4 807.4059),(5 875.8468),(6 911.54956),(7 961.926),(8 988.7899),(9 1035.0566),(10 1071.333),(11 1094.2094),(12 1130.9586),(13 1159.032),(14 1181.0358),(15 1204.1312),(16 1240.1698),(17 1264.0928),(18 1271.1033),(19 1277.61),(20 1300.4585),(21 1294.305),(22 1301.7219),(23 1312.015),(24 1306.9854),(25 1312.0084),(26 1301.6702),(27 1298.0123),(28 1303.4578),(29 1290.0526),(30 1284.6448),(31 1284.5106),(32 1285.0951),(33 1285.101),(34 1292.0105),(35 1308.4696),(36 1325.5736),(37 1327.1029),(38 1322.9968),(39 1348.7335),(40 1346.0724),(41 1362.8505),(42 1358.657),(43 1367.0011),(44 1383.4618),(45 1383.7106),(46 1384.9584),(47 1389.7235),(48 1380.9275),(49 1375.0686),(50 1392.2797),(51 1397.9872),(52 1396.8813),(53 1400.3949),(54 1394.7067),(55 1400.9349),(56 1388.6367),(57 1380.9736),(58 1367.3638),(59 1348.4229),(60 1342.8534),(61 1347.3011),(62 1349.71),(63 1360.6229),(64 1343.3142),(65 1355.1163),(66 1369.8552),(67 1356.7234),(68 1366),(69 1364.4952),(70 1355.1332),(71 1356.3107),(72 1336.4333),(73 1343.7637),(74 1347.3386),(75 1361.5957),(76 1360.7019),(77 1355.9114),(78 1352.6213),(79 1355.068),
