1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 58842.574),(2 31528.922),(3 121242.664),(4 121859.53),(5 234717.33),(6 256879.36),(7 389852.88),(8 430593.72),(9 578805.3),(10 640119.6),(11 802896.7),(12 886735),(13 1068592.6),(14 1163564),(15 1339602.6),(16 1443457.5),(17 1652771.5),(18 1791450),(19 2013953.4),(20 2173581.8),(21 2429050.3),(22 2620841),(23 2881386.8),(24 3079138),(25 3361009),(26 3568547.3),(27 3884757),(28 4109508.8),(29 4424334.5),(30 4652320.5),(31 4953109.5),(32 5155605.5),(33 5455822),(34 5614805.5),(35 5831276.5),(36 5986150.5),(37 6217344),(38 6374432),(39 6577030.5),(40 6716812),(41 6918662.5),(42 7049838.5),(43 7212275.5),(44 7314622.5),(45 7440064.5),(46 7512197.5),(47 7616222.5),(48 7637705.5),(49 7712081.5),(50 7717224),(51 7768900),(52 7772518.5),(53 7829118),(54 7815086.5),(55 7873977.5),(56 7888916.5),(57 7971606.5),(58 7976929.5),(59 8047630.5),(60 8062290.5),(61 8134794.5),(62 8148311.5),(63 8249525.5),(64 8287009.5),(65 8409230),(66 8473760),(67 8596263),(68 8680116),(69 8829936),(70 8959995),(71 9165261),(72 9334968),(73 9524505),(74 9665278),(75 9878207),(76 9989256),(77 10145623),(78 10220636),(79 10346212),
(1 755.1274),(2 560.24927),(3 983.0653),(4 676.9873),(5 1055.1093),(6 745.8348),(7 1085.3702),(8 766.0798),(9 1126.3568),(10 799.4928),(11 1136.6805),(12 806.32446),(13 1146.5371),(14 819.4669),(15 1162.3048),(16 844.98553),(17 1201.4169),(18 890.2628),(19 1241.0665),(20 958.0111),(21 1346.5298),(22 1061.6866),(23 1436.7808),(24 1170.762),(25 1552.9473),(26 1285.1221),(27 1661.676),(28 1390.4233),(29 1794.9634),(30 1540.5836),(31 1927.6167),(32 1648.311),(33 2037.1493),(34 1761.8569),(35 2144.0178),(36 1858.7257),(37 2225.3262),(38 1917.627),(39 2258.08),(40 1940.7395),(41 2277.9187),(42 1980.507),(43 2323.7131),(44 2037.4069),(45 2374.3938),(46 2064.7644),(47 2392.5515),(48 2084.0464),(49 2440.967),(50 2134.5444),(51 2473.298),(52 2159.044),(53 2496.525),(54 2181.445),(55 2513.4778),(56 2198.7908),(57 2532.495),(58 2210.8044),(59 2531.9265),(60 2237.6777),(61 2578.3044),(62 2290.625),(63 2645.7012),(64 2353.4575),(65 2685.3342),(66 2340.5493),(67 2645.1013),(68 2300.953),(69 2610.758),(70 2264.0774),(71 2563.273),(72 2206.1982),(73 2501.9258),(74 2147.2761),(75 2447.068),(76 2084.3442),(77 2383.244),(78 2028.1743),(79 2335.599),
(1 709.73145),(2 545.60535),(3 936.0741),(4 662.3571),(5 990.69855),(6 712.0584),(7 1023.9979),(8 726.7252),(9 1050.5311),(10 753.56274),(11 1056.9412),(12 759.7754),(13 1068.48),(14 776.9745),(15 1086.09),(16 796.6794),(17 1118.1481),(18 828.0347),(19 1154.0582),(20 890.3566),(21 1263.3074),(22 1012.56464),(23 1378.2727),(24 1125.8082),(25 1498.6228),(26 1252.149),(27 1615.9514),(28 1373.7084),(29 1753.126),(30 1525.0387),(31 1901.3217),(32 1670.3733),(33 2032.7059),(34 1804.7742),(35 2153.0496),(36 1900.1952),(37 2246.873),(38 1968.02),(39 2266.215),(40 1981.3881),(41 2296.8247),(42 2038.9536),(43 2344.8657),(44 2074.9683),(45 2395.871),(46 2125.3123),(47 2442.6252),(48 2158.4248),(49 2472.7754),(50 2190.8284),(51 2487.0637),(52 2199.163),(53 2506.7139),(54 2213.196),(55 2490.4927),(56 2206.6433),(57 2500.1257),(58 2208.5325),(59 2501.0974),(60 2231.8174),(61 2538.4915),(62 2274.5757),(63 2582.7058),(64 2304.9402),(65 2600.1428),(66 2290.0313),(67 2567.0764),(68 2259.2908),(69 2538.9324),(70 2235.8801),(71 2502.952),(72 2187.8142),(73 2461.089),(74 2144.7678),(75 2399.6836),(76 2080.657),(77 2343.4138),(78 2019.8395),(79 2288.408),
(1 723.7308),(2 541.1118),(3 949.261),(4 661.1576),(5 1006.55005),(6 712.34106),(7 1045.769),(8 738.51953),(9 1086.5859),(10 770.96906),(11 1083.6912),(12 767.19525),(13 1088.0791),(14 779.7018),(15 1117.0735),(16 816.56976),(17 1155.5126),(18 846.74207),(19 1194.6788),(20 923.165),(21 1299.3636),(22 1029.2146),(23 1417.8085),(24 1145.7651),(25 1537.7754),(26 1252.5829),(27 1628.6573),(28 1352.7853),(29 1730.708),(30 1464.8627),(31 1859.5286),(32 1596.7628),(33 1981.7766),(34 1717.0789),(35 2069.6077),(36 1789.7421),(37 2137.6572),(38 1828.6604),(39 2150.9653),(40 1834.5796),(41 2178.0107),(42 1893.0415),(43 2234.7124),(44 1942.6105),(45 2297.7078),(46 2010.6085),(47 2356.5232),(48 2054.1875),(49 2402.2417),(50 2095.1384),(51 2426.1313),(52 2113.2754),(53 2443.459),(54 2128.0015),(55 2441.7239),(56 2124.9946),(57 2444.8923),(58 2129.7341),(59 2455.223),(60 2161.6619),(61 2499.7593),(62 2203.5654),(63 2517.8142),(64 2234.1638),(65 2553.2717),(66 2234.4983),(67 2524.9492),(68 2181.1084),(69 2472.1074),(70 2139.9363),(71 2417.0347),(72 2084.9128),(73 2362.896),(74 2015.4574),(75 2292.3918),(76 1935.8289),(77 2231.4849),(78 1887.8549),(79 2179.4685),
(1 716.47577),(2 540.42584),(3 946.93066),(4 665.49805),(5 997.89655),(6 704.3591),(7 1023.1551),(8 725.58356),(9 1064.9834),(10 744.6834),(11 1055.9142),(12 745.9833),(13 1060.4583),(14 761.674),(15 1070.6058),(16 772.9249),(17 1112.0413),(18 818.117),(19 1162.8741),(20 896.8324),(21 1277.2347),(22 1005.33167),(23 1380.7792),(24 1130.2292),(25 1503.0127),(26 1250.5475),(27 1631.186),(28 1369.3212),(29 1767.1052),(30 1514.421),(31 1903.9889),(32 1638.8473),(33 2027.7834),(34 1781.0309),(35 2159.3054),(36 1902.2164),(37 2248.4436),(38 1940.146),(39 2266.8057),(40 1954.2292),(41 2298.6824),(42 1997.5677),(43 2338.3743),(44 2044.6658),(45 2395.483),(46 2089.3403),(47 2394.0962),(48 2105.9849),(49 2442.3381),(50 2144.5706),(51 2455.3865),(52 2141.8987),(53 2465.2979),(54 2144.2026),(55 2465.8303),(56 2150.4185),(57 2471.7146),(58 2167.3254),(59 2500.4456),(60 2220.139),(61 2556.913),(62 2268.0806),(63 2592.9583),(64 2302.5574),(65 2629.203),(66 2320.0784),(67 2588.253),(68 2253.5916),(69 2540.9407),(70 2201.9958),(71 2476.2534),(72 2132.3071),(73 2414.8206),(74 2066.6682),(75 2345.5618),(76 1994.6279),(77 2283.675),(78 1936.8741),(79 2217.806),
(1 690.6529),(2 515.2123),(3 900.1922),(4 630.40265),(5 953.00366),(6 676.00385),(7 984.35736),(8 688.0471),(9 1028.3241),(10 719.0888),(11 1019.2544),(12 713.9079),(13 1020.32477),(14 719.3094),(15 1038.7163),(16 750.6744),(17 1076.9121),(18 794.677),(19 1137.4413),(20 868.17),(21 1234.6741),(22 982.7826),(23 1349.0942),(24 1099.958),(25 1466.799),(26 1220.7716),(27 1589.777),(28 1333.0242),(29 1704.2761),(30 1463.1279),(31 1838.8214),(32 1588.6782),(33 1958.0505),(34 1711.8168),(35 2080.2322),(36 1829.3351),(37 2163.8403),(38 1872.8208),(39 2165.3845),(40 1861.4429),(41 2190.2705),(42 1923.8575),(43 2252.998),(44 1985.368),(45 2327.078),(46 2034.1979),(47 2343.277),(48 2056.3047),(49 2385.5002),(50 2096.3035),(51 2402.6978),(52 2126.189),(53 2436.2432),(54 2135.8252),(55 2440.0835),(56 2161.3206),(57 2476.4263),(58 2175.018),(59 2500.3352),(60 2216.112),(61 2553.7507),(62 2284.254),(63 2627.513),(64 2342.6907),(65 2659.3938),(66 2352.1116),(67 2614.913),(68 2284.542),(69 2570.5413),(70 2235.3845),(71 2515.4426),(72 2167.3035),(73 2447.828),(74 2109.1824),(75 2374.6938),(76 2031.8668),(77 2301.445),(78 1944.4003),(79 2221.6055),
(1 696.0864),(2 512.2696),(3 911.37415),(4 625.00555),(5 964.0514),(6 664.8367),(7 987.1226),(8 690.43085),(9 1040.4247),(10 722.9174),(11 1039.908),(12 720.0286),(13 1043.4994),(14 733.0513),(15 1062.823),(16 763.3237),(17 1099.428),(18 807.50433),(19 1151.5507),(20 875.8521),(21 1243.6697),(22 987.0747),(23 1367.8903),(24 1104.3726),(25 1482.9854),(26 1215.6212),(27 1586.032),(28 1335.9167),(29 1712.2264),(30 1453.9056),(31 1829.9153),(32 1569.1688),(33 1939.2964),(34 1688.8466),(35 2053.8137),(36 1782.5809),(37 2123.672),(38 1826.2845),(39 2133.9897),(40 1835.4852),(41 2162.344),(42 1891.8298),(43 2222.358),(44 1942.8821),(45 2296.3435),(46 2006.1702),(47 2325.6843),(48 2022.1754),(49 2363.4336),(50 2074.9531),(51 2406.3003),(52 2096.6394),(53 2410.8513),(54 2101.0435),(55 2407.8384),(56 2104.361),(57 2415.2822),(58 2103.9001),(59 2426.4973),(60 2152.6528),(61 2485.7024),(62 2191.812),(63 2512.9468),(64 2230.3608),(65 2544.5742),(66 2226.9001),(67 2505.126),(68 2175.7754),(69 2458.4902),(70 2129.1328),(71 2403.4705),(72 2055.7957),(73 2330.319),(74 1993.036),(75 2262.497),(76 1911.3258),(77 2188.7268),(78 1837.946),(79 2106.275),
(1 677.51044),(2 497.52103),(3 876.6673),(4 602.94305),(5 928.20776),(6 642.3095),(7 954.9429),(8 659.6777),(9 990.9284),(10 684.4952),(11 987.6523),(12 681.0899),(13 986.98444),(14 689.0609),(15 1010.6666),(16 721.503),(17 1031.7809),(18 749.1326),(19 1086.5181),(20 818.216),(21 1167.815),(22 913.93896),(23 1260.5217),(24 1010.33466),(25 1366.1813),(26 1108.7352),(27 1474.6237),(28 1215.6879),(29 1579.8146),(30 1319.2758),(31 1688.2201),(32 1437.3677),(33 1800.3208),(34 1548.3518),(35 1898.6051),(36 1629.233),(37 1959.8281),(38 1675.3536),(39 1987.4476),(40 1696.3851),(41 2013.6624),(42 1739.3585),(43 2056.456),(44 1780.7909),(45 2117.582),(46 1824.2004),(47 2124.659),(48 1824.3495),(49 2146.4775),(50 1843.5117),(51 2147.4827),(52 1853.577),(53 2160.1274),(54 1857.7787),(55 2144.6243),(56 1846.24),(57 2142.942),(58 1851.7975),(59 2159.261),(60 1879.6097),(61 2195.895),(62 1922.7098),(63 2223.1292),(64 1942.8206),(65 2248.9502),(66 1932.8555),(67 2207.4348),(68 1900.1198),(69 2172.8962),(70 1869.5094),(71 2132.2507),(72 1821.964),(73 2096.6191),(74 1771.8599),(75 2041.1002),(76 1718.0168),(77 1994.2848),(78 1675.1333),(79 1946.639),
(1 680.2315),(2 490.63818),(3 878.18195),(4 599.3958),(5 937.95654),(6 645.81067),(7 967.4478),(8 662.9383),(9 1000.3562),(10 677.7515),(11 1004.05414),(12 681.60986),(13 1002.42566),(14 689.3484),(15 1017.319),(16 711.3566),(17 1052.6542),(18 753.0848),(19 1092.8119),(20 814.263),(21 1174.0524),(22 904.79144),(23 1272.6067),(24 994.19556),(25 1353.8676),(26 1084.4056),(27 1464.0436),(28 1202.3444),(29 1555.4337),(30 1298.064),(31 1666.2655),(32 1397.8856),(33 1745.4348),(34 1480.4412),(35 1837.9489),(36 1562.1799),(37 1905.932),(38 1609.4752),(39 1934.1332),(40 1633.571),(41 1966.2113),(42 1665.0173),(43 2007.4921),(44 1718.5736),(45 2047.9526),(46 1735.5436),(47 2050.0818),(48 1748.5298),(49 2059.2197),(50 1754.0298),(51 2066.1648),(52 1749.6455),(53 2060.7964),(54 1749.3611),(55 2055.6235),(56 1762.0007),(57 2070.1614),(58 1765.6887),(59 2080.4158),(60 1785.7307),(61 2107.9302),(62 1825.405),(63 2144.5757),(64 1858.9481),(65 2173.3274),(66 1870.4224),(67 2165.002),(68 1840.6439),(69 2134.8826),(70 1815.4148),(71 2094.0667),(72 1757.8586),(73 2027.1461),(74 1698.0112),(75 1984.848),(76 1660.9316),(77 1939.2213),(78 1621.3119),(79 1908.3405),
(1 660.8908),(2 469.60284),(3 859.4635),(4 588.15924),(5 911.7815),(6 636.4215),(7 946.43823),(8 639.00977),(9 968.72003),(10 660.20386),(11 967.1252),(12 652.25903),(13 960.901),(14 664.0838),(15 987.1158),(16 694.88806),(17 1022.47284),(18 725.24774),(19 1053.0796),(20 785.10815),(21 1158.1366),(22 897.78046),(23 1260.743),(24 1004.0202),(25 1371.4126),(26 1108.3807),(27 1470.1101),(28 1211.9551),(29 1574.7776),(30 1328.7092),(31 1691.5939),(32 1446.0454),(33 1807.7925),(34 1553.8479),(35 1891.5619),(36 1641.2891),(37 1978.4591),(38 1699.483),(39 2003.0819),(40 1716.0354),(41 2041.813),(42 1751.6796),(43 2083.7415),(44 1804.3209),(45 2134.8235),(46 1832.0217),(47 2139.4163),(48 1852.7056),(49 2165.6472),(50 1879.1299),(51 2189.0903),(52 1878.7822),(53 2182.7817),(54 1870.1896),(55 2180.7354),(56 1877.6481),(57 2178.8127),(58 1879.4138),(59 2185.4106),(60 1902.0353),(61 2219.6626),(62 1940.598),(63 2262.0425),(64 1965.9828),(65 2278.853),(66 1964.2611),(67 2250.748),(68 1931.4191),(69 2218.2515),(70 1890.9508),(71 2160.7527),(72 1828.5194),(73 2102.07),(74 1776.8313),(75 2059.8767),(76 1724.2959),(77 2002.2323),(78 1679.8877),(79 1952.8445),
(1 652.3285),(2 478.38586),(3 850.5215),(4 581.02295),(5 895.21844),(6 624.88245),(7 926.66095),(8 643.02686),(9 958.32135),(10 662.28534),(11 956.2662),(12 660.8994),(13 963.4845),(14 687.2336),(15 991.76013),(16 706.5787),(17 1018.4186),(18 736.71686),(19 1047.6586),(20 797.358),(21 1149.5845),(22 901.46124),(23 1254.4137),(24 1004.803),(25 1356.089),(26 1103.9685),(27 1454.2677),(28 1205.0337),(29 1573.4348),(30 1335.2151),(31 1689.9211),(32 1460.2323),(33 1805.1635),(34 1554.3726),(35 1890.2322),(36 1634.7689),(37 1951.7728),(38 1669.3624),(39 1968.7697),(40 1686.9381),(41 2001.9083),(42 1732.0215),(43 2053.6309),(44 1783.5345),(45 2090.769),(46 1816.2316),(47 2109.5503),(48 1830.1168),(49 2142.2053),(50 1855.323),(51 2144.4087),(52 1859.5381),(53 2141.4285),(54 1862.9995),(55 2148.8066),(56 1864.4281),(57 2163.5554),(58 1879.6813),(59 2191.6328),(60 1924.8215),(61 2233.5237),(62 1969.1919),(63 2275.0483),(64 1994.0682),(65 2290.3638),(66 2012.8118),(67 2271.9297),(68 1951.4797),(69 2208.766),(70 1896.3076),(71 2144.2593),(72 1828.1036),(73 2082.2822),(74 1750.5807),(75 2003.6848),(76 1680.5315),(77 1942.9147),(78 1626.9482),(79 1887.373),
(1 633.5786),(2 461.5091),(3 827.3702),(4 564.623),(5 875.3744),(6 596.03253),(7 901.4613),(8 617.9596),(9 934.53485),(10 641.1444),(11 925.7706),(12 634.8908),(13 940.55963),(14 656.7619),(15 961.37146),(16 671.211),(17 984.6884),(18 710.07965),(19 1028.061),(20 773.2735),(21 1122.4086),(22 878.681),(23 1222.148),(24 972.73773),(25 1314.9648),(26 1074.7588),(27 1428.5168),(28 1188.3232),(29 1537.795),(30 1295.4677),(31 1643.2739),(32 1407.4419),(33 1752.5153),(34 1525.6394),(35 1856.3279),(36 1602.3367),(37 1929.1392),(38 1643.1588),(39 1923.0773),(40 1630.9167),(41 1959.7557),(42 1688.6952),(43 2005.7252),(44 1734.2675),(45 2052.8623),(46 1765.1862),(47 2062.181),(48 1775.6511),(49 2072.9783),(50 1789.0862),(51 2084.7427),(52 1804.6781),(53 2089.0403),(54 1797.4762),(55 2085.1172),(56 1787.8826),(57 2080.066),(58 1788.212),(59 2084.253),(60 1816.9054),(61 2130.323),(62 1855.5576),(63 2153.6287),(64 1886.7059),(65 2177.3367),(66 1904.6023),(67 2169.2651),(68 1861.1998),(69 2125.204),(70 1821.7758),(71 2063.8271),(72 1748.4637),(73 2001.6826),(74 1696.5642),(75 1959.4264),(76 1647.565),(77 1914.8281),(78 1599.457),(79 1864.9088),
(1 640.1073),(2 455.63083),(3 821.2718),(4 558.0452),(5 876.56085),(6 591.50696),(7 894.8123),(8 608.41095),(9 931.2951),(10 629.4209),(11 925.33887),(12 627.1721),(13 937.7042),(14 644.0276),(15 955.1776),(16 664.53754),(17 979.2481),(18 695.34937),(19 1018.69403),(20 758.00006),(21 1102.0254),(22 848.9481),(23 1202.3104),(24 952.97235),(25 1304.2893),(26 1060.5044),(27 1420.5292),(28 1178.3033),(29 1562.8073),(30 1321.7743),(31 1677.3914),(32 1436.5687),(33 1789.7583),(34 1542.7424),(35 1896.4363),(36 1630.4365),(37 1960.6741),(38 1668.6473),(39 1972.1823),(40 1671.2772),(41 2005.8011),(42 1720.5522),(43 2052.2932),(44 1773.4297),(45 2098.8906),(46 1821.0673),(47 2122.6482),(48 1839.8011),(49 2155.1704),(50 1866.5658),(51 2177.2498),(52 1889.7556),(53 2198.362),(54 1901.2086),(55 2190.2625),(56 1903.3447),(57 2196.7556),(58 1903.8868),(59 2217.3733),(60 1948.9697),(61 2261.7087),(62 1984.7561),(63 2297.0764),(64 2017.1437),(65 2323.745),(66 2031.7659),(67 2312.7148),(68 1994.0902),(69 2259.4492),(70 1939.2634),(71 2189.6724),(72 1853.8657),(73 2112.5234),(74 1778.0481),(75 2031.7125),(76 1696.3604),(77 1965.6714),(78 1639.1805),(79 1912.3018),
(1 639.0779),(2 448.15817),(3 808.7337),(4 534.9121),(5 854.71985),(6 574.74976),(7 881.1496),(8 600.3578),(9 912.03143),(10 610.49506),(11 905.3598),(12 607.31366),(13 916.9431),(14 620.71606),(15 938.1909),(16 644.64777),(17 964.81946),(18 684.81),(19 1000.8907),(20 735.01025),(21 1081.8585),(22 811.99976),(23 1157.1736),(24 901.6568),(25 1243.2245),(26 995.9359),(27 1348.6537),(28 1097.7947),(29 1465.7742),(30 1208.3699),(31 1560.4098),(32 1308.9296),(33 1650.8473),(34 1388.1151),(35 1728.6605),(36 1465.6205),(37 1786.5823),(38 1499.8656),(39 1800.5532),(40 1510.7914),(41 1822.3912),(42 1557.927),(43 1873.6113),(44 1603.412),(45 1925.8685),(46 1641.6619),(47 1945.0958),(48 1658.0033),(49 1967.384),(50 1682.6992),(51 1978.938),(52 1696.3107),(53 1988.3146),(54 1690.3175),(55 1983.6146),(56 1687.3793),(57 1974.0018),(58 1672.0176),(59 1965.8068),(60 1694.7412),(61 2002.5641),(62 1729.0913),(63 2025.9758),(64 1752.5537),(65 2047.1024),(66 1768.4192),(67 2043.0624),(68 1739.0892),(69 1999.0597),(70 1685.3933),(71 1944.4634),(72 1628.7866),(73 1895.3817),(74 1578.293),(75 1850.0658),(76 1534.6575),(77 1810.4966),(78 1497.4038),(79 1769.2266),
(1 618.4033),(2 438.94116),(3 788.51776),(4 524.69366),(5 825.0341),(6 556.1726),(7 850.04834),(8 582.8929),(9 884.39307),(10 592.368),(11 878.2226),(12 590.8187),(13 887.53217),(14 606.8688),(15 907.05286),(16 617.58203),(17 920.6096),(18 654.6629),(19 958.4685),(20 707.798),(21 1042.8221),(22 787.7354),(23 1118.0226),(24 875.73694),(25 1209.8556),(26 969.15375),(27 1308.0675),(28 1059.062),(29 1402.7618),(30 1163.047),(31 1495.9985),(32 1252.2446),(33 1577.8191),(34 1324.71),(35 1655.0272),(36 1394.1302),(37 1706.4783),(38 1421.6385),(39 1711.7006),(40 1431.7659),(41 1734.7026),(42 1467.2756),(43 1780.5476),(44 1522.7489),(45 1834.1394),(46 1549.8153),(47 1837.6118),(48 1553.8304),(49 1854.4342),(50 1566.0336),(51 1861.6099),(52 1581.3105),(53 1864.108),(54 1580.6478),(55 1858.8724),(56 1574.1848),(57 1856.5763),(58 1562.6143),(59 1863.2598),(60 1590.2327),(61 1886.2665),(62 1615.3474),(63 1899.9116),(64 1630.333),(65 1926.0057),(66 1656.5288),(67 1930.4698),(68 1638.6555),(69 1908.4574),(70 1606.8159),(71 1860.6348),(72 1551.0217),(73 1806.591),(74 1497.6744),(75 1757.0546),(76 1453.817),(77 1713.6641),(78 1413.1301),(79 1673.8157),
(1 620.3545),(2 437.07626),(3 794.21173),(4 532.278),(5 836.77466),(6 563.67615),(7 861.498),(8 587.9331),(9 890.11743),(10 596.60095),(11 884.3248),(12 592.8617),(13 900.20416),(14 616.0684),(15 915.8622),(16 625.63),(17 932.1641),(18 666.08215),(19 973.172),(20 709.03784),(21 1051.736),(22 800.2692),(23 1131.7451),(24 882.56116),(25 1219.242),(26 974.6209),(27 1316.7451),(28 1070.615),(29 1417.8688),(30 1173.3485),(31 1520.991),(32 1283.9093),(33 1614.7014),(34 1360.9816),(35 1689.3237),(36 1428.7107),(37 1735.533),(38 1455.7177),(39 1763.6111),(40 1480.4888),(41 1784.4363),(42 1508.6565),(43 1824.2064),(44 1552.3033),(45 1857.7334),(46 1577.2137),(47 1868.2283),(48 1590.1259),(49 1882.7572),(50 1592.7808),(51 1881.5397),(52 1604.7908),(53 1891.1603),(54 1596.1158),(55 1883.1913),(56 1592.7559),(57 1874.0852),(58 1586.6492),(59 1881.2938),(60 1610.0459),(61 1911.2935),(62 1640.3474),(63 1937.6696),(64 1671.8143),(65 1959.6733),(66 1689.9752),(67 1962.4211),(68 1667.7256),(69 1923.057),(70 1615.4154),(71 1867.3937),(72 1555.5333),(73 1808.4985),(74 1496.4082),(75 1757.4259),(76 1449.3088),(77 1721.7168),(78 1418.4373),(79 1682.3203),
(1 613.3339),(2 430.8748),(3 780.0293),(4 517.4292),(5 827.2758),(6 550.3433),(7 844.7409),(8 567.01904),(9 862.1767),(10 578.9759),(11 866.1331),(12 581.8135),(13 884.70337),(14 609.0438),(15 897.00885),(16 619.06946),(17 918.48486),(18 651.5303),(19 964.99713),(20 712.20233),(21 1036.4728),(22 796.1598),(23 1122.9116),(24 865.958),(25 1195.8269),(26 949.071),(27 1277.0675),(28 1029.3566),(29 1356.1066),(30 1108.5195),(31 1433.9973),(32 1200.7357),(33 1535.2628),(34 1278.5773),(35 1598.1351),(36 1338.1409),(37 1649.7281),(38 1370.1538),(39 1666.329),(40 1387.1722),(41 1706.4418),(42 1448.688),(43 1758.4752),(44 1499.0696),(45 1804.7046),(46 1534.3186),(47 1826.3726),(48 1547.4513),(49 1828.598),(50 1540.2056),(51 1816.2736),(52 1541.0463),(53 1823.273),(54 1528.2924),(55 1807.2582),(56 1522.3655),(57 1805.3468),(58 1523.5505),(59 1816.4332),(60 1551.7817),(61 1840.7303),(62 1575.5156),(63 1867.0491),(64 1600.2786),(65 1886.6953),(66 1603.3558),(67 1866.6724),(68 1570.8838),(69 1837.4198),(70 1544.1927),(71 1793.3624),(72 1501.7874),(73 1749.0676),(74 1443.8313),(75 1694.0095),(76 1394.0404),(77 1662.6825),(78 1367.8365),(79 1623.186),
