1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 132543.56),(2 350363.66),(3 735138.8),(4 1140684),(5 1676878.1),(6 2220630),(7 2854897.3),(8 3444966.8),(9 4146561.3),(10 4843720.5),(11 5685043.5),(12 6582182.5),(13 7635706.5),(14 8799037),(15 10184883),(16 11606072),(17 13128472),(18 14746492),(19 16324737),(20 17783534),(21 19279882),(22 20742718),(23 22450178),(24 23994480),(25 26090520),(26 27887952),(27 29853470),(28 31802064),(29 33739750),(30 35716590),(31 37607664),(32 39559284),(33 41426240),(34 43296476),(35 45051244),(36 46901136),(37 48611644),(38 50457388),(39 52221744),(40 54123890),(41 55935444),(42 57918224),(43 59865810),(44 61786268),(45 63732940),(46 65533140),(47 67304900),(48 68935780),(49 70715704),(50 72957610),(51 74637730),(52 76404440),(53 78181150),(54 79902230),(55 81818070),(56 83911624),(57 85859624),(58 87810056),(59 89857920),(60 91674600),(61 93621310),(62 95597560),(63 97607960),(64 100104424),(65 102531736),(66 104858410),(67 107319580),(68 109965290),(69 112988190),(70 115876320),(71 118747864),(72 121816856),(73 124699990),(74 127978370),(75 131561240),(76 134634770),(77 137587020),(78 140528140),(79 143155250),
(1 707.88226),(2 923.4795),(3 1022.7977),(4 1084.623),(5 1106.8373),(6 1172.4329),(7 1187.3035),(8 1219.886),(9 1231.1243),(10 1271.9612),(11 1280.237),(12 1352.6279),(13 1321.7096),(14 1375.8026),(15 1336.086),(16 1360.709),(17 1334.3387),(18 1358.7426),(19 1325.9133),(20 1333.0406),(21 1328.5669),(22 1356.0039),(23 1359.8975),(24 1374.4071),(25 1361.5927),(26 1365.6455),(27 1363.3975),(28 1388.9668),(29 1376.1462),(30 1378.6263),(31 1357.5182),(32 1370.0701),(33 1335.0962),(34 1335.9519),(35 1303.6736),(36 1323.0337),(37 1293.6),(38 1326.1075),(39 1294.8595),(40 1332.7689),(41 1343.5106),(42 1364.2678),(43 1365.3955),(44 1404.9711),(45 1391.5186),(46 1417.5476),(47 1395.9209),(48 1396.307),(49 1361.7898),(50 1359.7021),(51 1342.0143),(52 1355.5481),(53 1323.084),(54 1348.2241),(55 1322.307),(56 1333.9016),(57 1318.0524),(58 1346.4929),(59 1332.1321),(60 1360.7864),(61 1339.9565),(62 1364.779),(63 1347.53),(64 1360.2263),(65 1327.4645),(66 1337.7738),(67 1314.0264),(68 1332.3539),(69 1318.6796),(70 1347.9346),(71 1339.9978),(72 1382.1158),(73 1345.8496),(74 1379.6665),(75 1357.1127),(76 1378.5717),(77 1385.2761),(78 1398.0686),(79 1367.6033),
(1 714.40784),(2 926.6588),(3 1019.6981),(4 1065.557),(5 1086.8152),(6 1149.7373),(7 1179.6969),(8 1209.4801),(9 1244.7739),(10 1302.5442),(11 1305.5009),(12 1386.686),(13 1356.2699),(14 1411.2843),(15 1358.314),(16 1385.32),(17 1343.004),(18 1345.6858),(19 1307.7281),(20 1332.2134),(21 1337.3645),(22 1357.3809),(23 1349.438),(24 1362.4387),(25 1357.3384),(26 1387.7517),(27 1379.6973),(28 1408.8442),(29 1394.3546),(30 1410.828),(31 1349.4374),(32 1365.4004),(33 1324.8116),(34 1341.7249),(35 1310.7092),(36 1330.4983),(37 1290.8064),(38 1317.2838),(39 1315.9731),(40 1349.755),(41 1370.433),(42 1399.3309),(43 1387.71),(44 1430.2394),(45 1412.8136),(46 1431.7122),(47 1402.9135),(48 1412.0066),(49 1374.0535),(50 1392.9672),(51 1349.1298),(52 1373.9868),(53 1348.6083),(54 1380.0277),(55 1347.1583),(56 1353.5321),(57 1341.06),(58 1376.4694),(59 1358.6027),(60 1390.4116),(61 1379.2512),(62 1382.1884),(63 1350.9714),(64 1382.4279),(65 1355.9047),(66 1369.8146),(67 1312.5339),(68 1338.9595),(69 1320.4966),(70 1366.1204),(71 1348.6781),(72 1387.0093),(73 1363.1926),(74 1405.8713),(75 1388.4124),(76 1411.5022),(77 1397.9415),(78 1416.2606),(79 1396.1509),
(1 727.84937),(2 950.0234),(3 1023.75494),(4 1077.5631),(5 1112.6844),(6 1170.4082),(7 1191.7728),(8 1218.9858),(9 1232.7185),(10 1287.4751),(11 1303.805),(12 1348.8881),(13 1318.7502),(14 1362.6996),(15 1309.7867),(16 1334.1879),(17 1299.2584),(18 1323.2733),(19 1294.1077),(20 1309.8475),(21 1295.6377),(22 1318.1731),(23 1301.8036),(24 1341.0977),(25 1330.7003),(26 1363.6106),(27 1346.4648),(28 1366.3756),(29 1372.2384),(30 1385.1257),(31 1324.4817),(32 1322.8499),(33 1285.0225),(34 1289.7045),(35 1266.6449),(36 1286.6119),(37 1269.217),(38 1297.3356),(39 1276.931),(40 1297.6459),(41 1299.7772),(42 1342.8236),(43 1331.1133),(44 1377.7803),(45 1351.7595),(46 1388.0258),(47 1369.8252),(48 1402.8625),(49 1355.231),(50 1377.9565),(51 1338.082),(52 1354.5034),(53 1316.6503),(54 1334.9714),(55 1318.78),(56 1339.2916),(57 1319.5581),(58 1345.2386),(59 1327.6583),(60 1363.0044),(61 1356.5161),(62 1387.9532),(63 1332.4272),(64 1347.4012),(65 1320.54),(66 1341.4788),(67 1317.2323),(68 1333.5219),(69 1309.8608),(70 1343.1293),(71 1326.8303),(72 1372.991),(73 1353.165),(74 1391.9734),(75 1388.6368),(76 1402.8103),(77 1376.9849),(78 1389.8142),(79 1371.2593),
(1 698.84735),(2 908.7547),(3 984.3889),(4 1018.8719),(5 1050.9647),(6 1111.1821),(7 1116.3615),(8 1163.243),(9 1168.7205),(10 1247.4268),(11 1254.4849),(12 1302.2587),(13 1276.4004),(14 1318.0605),(15 1284.9935),(16 1317.3315),(17 1284.796),(18 1295.8431),(19 1263.1447),(20 1279.5784),(21 1273.0422),(22 1298.7993),(23 1294.7959),(24 1312.9172),(25 1275.572),(26 1305.9738),(27 1290.9912),(28 1331.9519),(29 1309.7539),(30 1321.7625),(31 1283.5607),(32 1302.2911),(33 1258.0929),(34 1260.1244),(35 1223.0645),(36 1244.9021),(37 1210.0065),(38 1224.8145),(39 1216.8353),(40 1251.2671),(41 1248.9506),(42 1283.2074),(43 1275.8531),(44 1307.7092),(45 1284.4381),(46 1319.4225),(47 1312.3301),(48 1328.4545),(49 1284.7557),(50 1283.9883),(51 1262.5375),(52 1271.137),(53 1228.621),(54 1251.577),(55 1238.4648),(56 1260.6632),(57 1241.6908),(58 1281.7926),(59 1273.5823),(60 1295.5183),(61 1266.4585),(62 1297.5801),(63 1257.154),(64 1275.0823),(65 1234.1871),(66 1252.0596),(67 1227.1921),(68 1240.8549),(69 1208.343),(70 1254.0574),(71 1244.5868),(72 1293.1144),(73 1281.065),(74 1305.0334),(75 1307.911),(76 1322.5071),(77 1312.7644),(78 1326.8779),(79 1300.9188),
(1 721.49585),(2 925.23975),(3 1009.2592),(4 1057.0382),(5 1090.6759),(6 1148.8448),(7 1163.0841),(8 1223.5255),(9 1231.3279),(10 1294.3042),(11 1296.3867),(12 1361.1099),(13 1315.0647),(14 1350.1895),(15 1305.2438),(16 1321.915),(17 1297.2898),(18 1325.1416),(19 1298.4512),(20 1318.5386),(21 1307.4244),(22 1322.469),(23 1321.0203),(24 1347.8837),(25 1342.7866),(26 1360.5072),(27 1339.5525),(28 1373.1007),(29 1354.5166),(30 1365.5776),(31 1325.5172),(32 1332.9803),(33 1290.6132),(34 1305.1011),(35 1282.0101),(36 1284.9523),(37 1255.575),(38 1283.6196),(39 1271.083),(40 1301.7188),(41 1292.0911),(42 1339.2273),(43 1326.2699),(44 1371.6007),(45 1350.1017),(46 1400.0593),(47 1379.887),(48 1406.611),(49 1356.0803),(50 1353.5498),(51 1313.5194),(52 1332.0881),(53 1299.5212),(54 1318.1859),(55 1300.4967),(56 1326.1807),(57 1300.2811),(58 1356.7764),(59 1333.5166),(60 1355.4031),(61 1332.0123),(62 1350.9869),(63 1314.2372),(64 1318.0182),(65 1276.9742),(66 1292.2896),(67 1263.3083),(68 1298.517),(69 1262.9009),(70 1298.1821),(71 1280.4207),(72 1317.5457),(73 1295.1783),(74 1338.7894),(75 1319.239),(76 1337.0781),(77 1326.1615),(78 1345.3693),(79 1332.8658),
(1 674.8876),(2 870.2086),(3 953.40515),(4 1000.1274),(5 1020.9448),(6 1074.8197),(7 1096.5397),(8 1164.3578),(9 1158.522),(10 1217.0764),(11 1228.1857),(12 1277.6443),(13 1250.8588),(14 1272.0164),(15 1229.0316),(16 1236.1414),(17 1216.8708),(18 1238.0333),(19 1215.7349),(20 1243.5178),(21 1233.0175),(22 1248.2595),(23 1244.6493),(24 1270.0475),(25 1268.6522),(26 1277.7738),(27 1274.9478),(28 1290.5625),(29 1273.8832),(30 1289.4874),(31 1262.7533),(32 1260.4744),(33 1211.3132),(34 1213.5662),(35 1208.2356),(36 1216.987),(37 1205.9823),(38 1228.5975),(39 1219.5914),(40 1232.4156),(41 1228.8362),(42 1262.9895),(43 1258.4485),(44 1277.864),(45 1270.9391),(46 1287.6747),(47 1277.0415),(48 1295.8772),(49 1252.9675),(50 1262.3894),(51 1229.8859),(52 1247.671),(53 1222.4258),(54 1266.6299),(55 1244.4203),(56 1273.8069),(57 1236.5889),(58 1243.1036),(59 1219.4584),(60 1269.6102),(61 1264.6643),(62 1298.4836),(63 1258.6302),(64 1266.4651),(65 1242.7189),(66 1246.7075),(67 1220.163),(68 1235.2041),(69 1229.1658),(70 1264.2664),(71 1246.81),(72 1271.4111),(73 1256.1248),(74 1279.2698),(75 1273.3322),(76 1298.2311),(77 1295.4595),(78 1306.737),(79 1274.8391),
(1 682.32776),(2 880.03894),(3 970.6944),(4 1017.2799),(5 1039.6014),(6 1094.1393),(7 1102.2899),(8 1153.2424),(9 1176.9604),(10 1221.2535),(11 1241.6162),(12 1290.9105),(13 1274.7474),(14 1299.4078),(15 1260.1399),(16 1285.4011),(17 1247.4363),(18 1275.2787),(19 1250.6818),(20 1285.1006),(21 1280.132),(22 1306.5752),(23 1297.1206),(24 1322.0518),(25 1304.4847),(26 1311.2068),(27 1314.6117),(28 1347.259),(29 1332.3787),(30 1351.5968),(31 1322.1356),(32 1317.0955),(33 1270.9662),(34 1282.4065),(35 1257.5841),(36 1273.6276),(37 1257.227),(38 1283.5352),(39 1270.5156),(40 1303.1136),(41 1281.4121),(42 1303.4255),(43 1291.434),(44 1334.2847),(45 1312.0344),(46 1348.0372),(47 1322.1376),(48 1342.0211),(49 1302.4573),(50 1321.9357),(51 1289.2924),(52 1300.5109),(53 1287.2883),(54 1298.2968),(55 1277.8473),(56 1305.9136),(57 1286.812),(58 1310.2455),(59 1297.6904),(60 1340.5879),(61 1324.084),(62 1345.1282),(63 1313.2627),(64 1321.0273),(65 1276.811),(66 1284.4846),(67 1265.138),(68 1269.6738),(69 1248.6841),(70 1285.6938),(71 1271.9398),(72 1299.4355),(73 1279.947),(74 1330.7814),(75 1316.0828),(76 1328.7375),(77 1293.4508),(78 1304.3677),(79 1297.6385),
(1 675.90857),(2 872.68005),(3 951.686),(4 1009.8509),(5 1029.1125),(6 1101.5392),(7 1108.1055),(8 1140.7786),(9 1163.7229),(10 1215.2563),(11 1205.338),(12 1251.6843),(13 1218.9027),(14 1244.3081),(15 1216.5334),(16 1254.3942),(17 1226.2393),(18 1241.9459),(19 1224.9182),(20 1259.0186),(21 1237.0035),(22 1255.5504),(23 1242.1373),(24 1275.6685),(25 1272.8457),(26 1302.731),(27 1299.6722),(28 1330.5302),(29 1312.5156),(30 1327.3121),(31 1301.6912),(32 1297.4572),(33 1255.8773),(34 1257.0656),(35 1228.695),(36 1241.0898),(37 1214.8458),(38 1237.6036),(39 1234.0985),(40 1270.6381),(41 1255.5663),(42 1301.7247),(43 1286.5817),(44 1302.7451),(45 1291.0847),(46 1320.8954),(47 1296.4014),(48 1329.4839),(49 1277.8384),(50 1281.216),(51 1246.857),(52 1262.2034),(53 1240.5979),(54 1269.3971),(55 1257.2784),(56 1274.874),(57 1253.4846),(58 1279.5449),(59 1260.9159),(60 1294.1937),(61 1281.379),(62 1305.2769),(63 1272.1338),(64 1274.0359),(65 1228.3903),(66 1247.6411),(67 1225.062),(68 1235.586),(69 1216.8416),(70 1253.5004),(71 1237.82),(72 1277.9551),(73 1283.3578),(74 1310.1138),(75 1284.4662),(76 1288.3027),(77 1279.1294),(78 1293.6013),(79 1285.3746),
(1 670.0165),(2 874.688),(3 945.0647),(4 999.45404),(5 1036.3599),(6 1085.5175),(7 1106.2864),(8 1147.7083),(9 1168.7123),(10 1227.8734),(11 1210.0927),(12 1247.9186),(13 1224.3887),(14 1266.4647),(15 1235.8411),(16 1252.0197),(17 1209.2256),(18 1254.3036),(19 1235.2433),(20 1263.6617),(21 1233.2316),(22 1245.015),(23 1231.0729),(24 1255.8011),(25 1243.3568),(26 1260.6809),(27 1267.7239),(28 1297.892),(29 1284.9104),(30 1290.2499),(31 1264.174),(32 1277.196),(33 1236.8717),(34 1242.7379),(35 1213.6904),(36 1217.1438),(37 1184.367),(38 1213.6407),(39 1192.7181),(40 1216.8958),(41 1217.3105),(42 1231.435),(43 1230.126),(44 1276.0347),(45 1257.7717),(46 1289.107),(47 1260.5651),(48 1268.4055),(49 1225.9915),(50 1232.2595),(51 1200.8186),(52 1221.8043),(53 1211.4674),(54 1240.2288),(55 1216.5442),(56 1237.2888),(57 1225.3835),(58 1253.0352),(59 1231.6893),(60 1274.9458),(61 1279.5687),(62 1300.1697),(63 1290.8616),(64 1302.0334),(65 1268.0558),(66 1290.132),(67 1246.679),(68 1269.0286),(69 1242.0398),(70 1280.6484),(71 1261.0409),(72 1300.0299),(73 1298.882),(74 1320.3165),(75 1294.3049),(76 1313.7135),(77 1314.7727),(78 1330.5728),(79 1313.0575),
(1 671.2896),(2 860.9739),(3 929.0818),(4 978.88947),(5 1009.1597),(6 1064.72),(7 1071.8878),(8 1120.6062),(9 1128.209),(10 1178.0697),(11 1169.1906),(12 1218.3263),(13 1198.4122),(14 1231.3405),(15 1212.9591),(16 1225.8025),(17 1198.0355),(18 1223.862),(19 1218.3689),(20 1239.1501),(21 1204.2932),(22 1219.6162),(23 1212.5487),(24 1228.465),(25 1234.7328),(26 1256.4762),(27 1259.5308),(28 1278.0905),(29 1259.0721),(30 1255.6569),(31 1220.9246),(32 1236.3022),(33 1200.3914),(34 1211.3859),(35 1174.6829),(36 1180.4716),(37 1162.3483),(38 1192.479),(39 1196.7573),(40 1219.0115),(41 1209.2195),(42 1234.9308),(43 1232.3783),(44 1265.2223),(45 1242.3124),(46 1262.6953),(47 1252.4745),(48 1280.8279),(49 1238.5762),(50 1251.475),(51 1217.4452),(52 1249.3232),(53 1225.3562),(54 1243.6571),(55 1218.58),(56 1234.6785),(57 1216.0944),(58 1239.655),(59 1224.1437),(60 1260.3777),(61 1241.5931),(62 1265.0444),(63 1240.0057),(64 1244.215),(65 1213.8519),(66 1233.3081),(67 1195.8156),(68 1219.7461),(69 1182.503),(70 1227.7247),(71 1238.7523),(72 1277.2789),(73 1242.9933),(74 1273.6228),(75 1275.6625),(76 1292.0924),(77 1281.0747),(78 1296.121),(79 1257.969),
(1 637.91406),(2 826.8884),(3 907.3627),(4 958.4382),(5 993.2982),(6 1048.8601),(7 1051.3481),(8 1081.9545),(9 1099.95),(10 1136.0795),(11 1134.6948),(12 1166.8171),(13 1151.6714),(14 1183.2186),(15 1172.7482),(16 1200.5654),(17 1170.6986),(18 1193.8417),(19 1180.6555),(20 1200.2158),(21 1189.8589),(22 1197.2338),(23 1174.7424),(24 1188.5466),(25 1208.8954),(26 1229.415),(27 1219.7654),(28 1250.2114),(29 1255.1637),(30 1263.9349),(31 1237.7375),(32 1243.7941),(33 1203.3813),(34 1203.7268),(35 1160.6864),(36 1159.3903),(37 1140.9213),(38 1164.7537),(39 1146.0762),(40 1172.9808),(41 1172.4911),(42 1205.3192),(43 1205.0895),(44 1245.8364),(45 1213.6658),(46 1234.2523),(47 1221.5298),(48 1244.2382),(49 1214.3568),(50 1219.1792),(51 1195.4862),(52 1222.5974),(53 1197.2981),(54 1209.6038),(55 1179.4554),(56 1206.2555),(57 1193.0974),(58 1224.87),(59 1211.1049),(60 1245.2606),(61 1229.8212),(62 1245.4263),(63 1209.1257),(64 1218.2992),(65 1195.69),(66 1204.7218),(67 1173.8679),(68 1189.6042),(69 1173.2922),(70 1202.8497),(71 1199.1707),(72 1219.2928),(73 1187.3542),(74 1231.0677),(75 1212.0122),(76 1219.6317),(77 1221.0317),(78 1241.0331),(79 1222.2079),
(1 654.3779),(2 846.1303),(3 912.52454),(4 976.86334),(5 1010.59155),(6 1056.4841),(7 1075.4744),(8 1126.5226),(9 1145.7393),(10 1189.5139),(11 1190.7256),(12 1241.8768),(13 1225.0941),(14 1248.0065),(15 1219.0293),(16 1225.7896),(17 1188.7725),(18 1212.8627),(19 1189.1416),(20 1204.1578),(21 1179.8094),(22 1192.9637),(23 1181.9093),(24 1194.3574),(25 1191.5493),(26 1214.7477),(27 1213.5227),(28 1238.4877),(29 1222.162),(30 1227.838),(31 1201.1414),(32 1212.3763),(33 1159.4923),(34 1161.1716),(35 1133.8414),(36 1145.9103),(37 1128.8212),(38 1162.5839),(39 1144.8992),(40 1181.5894),(41 1177.8025),(42 1204.5016),(43 1198.7697),(44 1239.7231),(45 1221.011),(46 1243.17),(47 1224.2609),(48 1248.6635),(49 1203.6919),(50 1215.1528),(51 1204.3082),(52 1220.3356),(53 1193.0637),(54 1195.5645),(55 1170.1113),(56 1192.0121),(57 1192.244),(58 1220.7699),(59 1211.8159),(60 1252.1201),(61 1226.2153),(62 1238.9171),(63 1202.6202),(64 1229.8566),(65 1188.3062),(66 1195.8425),(67 1179.7233),(68 1208.533),(69 1166.4893),(70 1199.3124),(71 1199.1967),(72 1230.869),(73 1217.2401),(74 1263.6204),(75 1236.8461),(76 1247.8472),(77 1242.1571),(78 1259.8159),(79 1247.0865),
(1 650.462),(2 831.9797),(3 895.8279),(4 959.7718),(5 975.3605),(6 1015.82587),(7 1027.288),(8 1075.9094),(9 1079.7665),(10 1116.507),(11 1113.4537),(12 1157.7384),(13 1131.5973),(14 1166.9501),(15 1134.7985),(16 1164.2843),(17 1142.3192),(18 1166.7151),(19 1150.0521),(20 1157.1099),(21 1138.0607),(22 1150.5487),(23 1140.9907),(24 1158.0719),(25 1156.6304),(26 1181.8776),(27 1170.7765),(28 1201.9524),(29 1195.85),(30 1226.4539),(31 1193.9199),(32 1175.986),(33 1144.5112),(34 1151.6451),(35 1118.1625),(36 1134.4615),(37 1109.6228),(38 1135.3662),(39 1124.2782),(40 1169.2703),(41 1152.3613),(42 1193.4102),(43 1187.6034),(44 1234.4757),(45 1207.2263),(46 1221.1714),(47 1203.4332),(48 1213.8289),(49 1175.0974),(50 1191.2683),(51 1159.5006),(52 1178.6715),(53 1162.1019),(54 1171.8214),(55 1161.7954),(56 1178.0134),(57 1170.0253),(58 1196.9832),(59 1181.8617),(60 1212.5066),(61 1198.4734),(62 1225.9125),(63 1184.5646),(64 1205.5204),(65 1161.1354),(66 1180.1985),(67 1151.4365),(68 1173.656),(69 1145.8522),(70 1179.6671),(71 1152.7736),(72 1180.612),(73 1168.7571),(74 1214.193),(75 1193.009),(76 1198.8912),(77 1193.4321),(78 1212.9216),(79 1196.1377),
(1 644.0478),(2 824.55176),(3 895.86847),(4 960.0316),(5 993.8266),(6 1055.1058),(7 1054.7181),(8 1093.4679),(9 1108.6941),(10 1144.1499),(11 1154.5255),(12 1203.5115),(13 1177.2614),(14 1209.1298),(15 1171.5171),(16 1199.2858),(17 1179.0533),(18 1189.7711),(19 1161.3043),(20 1172.9019),(21 1154.7258),(22 1175.3713),(23 1157.2275),(24 1171.7782),(25 1168.471),(26 1178.6703),(27 1165.879),(28 1198.9779),(29 1185.189),(30 1204.0142),(31 1172.7527),(32 1168.9133),(33 1137.0697),(34 1155.6782),(35 1122.3999),(36 1128.8107),(37 1111.7306),(38 1131.6559),(39 1125.1377),(40 1155.7155),(41 1144.0155),(42 1177.9878),(43 1176.5999),(44 1218.4794),(45 1194.167),(46 1222.6372),(47 1195.6759),(48 1226.4604),(49 1205.6296),(50 1210.8035),(51 1186.1533),(52 1193.5576),(53 1160.6779),(54 1178.7854),(55 1167.6758),(56 1185.8776),(57 1175.512),(58 1199.1582),(59 1162.26),(60 1180.7595),(61 1155.2389),(62 1174.2166),(63 1145.37),(64 1163.985),(65 1129.1407),(66 1149.3324),(67 1125.0092),(68 1152.8987),(69 1127.0841),(70 1152.7),(71 1134.1998),(72 1181.1757),(73 1170.4327),(74 1207.9436),(75 1181.185),(76 1206.7435),(77 1180.9169),(78 1212.7058),(79 1188.666),
(1 635.50555),(2 831.6963),(3 891.82556),(4 956.76917),(5 972.8127),(6 1009.1415),(7 1032.231),(8 1063.4939),(9 1066.9984),(10 1101.9993),(11 1111.4657),(12 1150.3262),(13 1129.3969),(14 1151.02),(15 1137.4369),(16 1142.9086),(17 1121.3722),(18 1135.6064),(19 1109.9788),(20 1128.5353),(21 1120.4491),(22 1139.985),(23 1121.635),(24 1146.1245),(25 1131.437),(26 1128.4767),(27 1139.8335),(28 1170.4049),(29 1163.7828),(30 1177.9233),(31 1145.1729),(32 1159.3192),(33 1111.7682),(34 1122.0596),(35 1101.1528),(36 1107.5981),(37 1080.7671),(38 1109.5562),(39 1105.5612),(40 1138.9386),(41 1123.5814),(42 1150.4939),(43 1139.731),(44 1161.9479),(45 1138.967),(46 1155.2174),(47 1139.5646),(48 1164.953),(49 1143.5143),(50 1160.9336),(51 1136.871),(52 1145.0648),(53 1106.3389),(54 1121.6191),(55 1121.9742),(56 1137.4045),(57 1122.0509),(58 1148.6271),(59 1124.422),(60 1154.6906),(61 1145.0365),(62 1170.156),(63 1134.7476),(64 1154.3358),(65 1113.1781),(66 1126.2966),(67 1098.9583),(68 1122.4807),(69 1116.3777),(70 1155.7283),(71 1135.718),(72 1174.9336),(73 1160.4207),(74 1180.3735),(75 1152.3646),(76 1176.3982),(77 1159.9979),(78 1181.4788),(79 1156.2794),
(1 616.77454),(2 801.74036),(3 873.2568),(4 926.51733),(5 950.07214),(6 995.1531),(7 1010.42145),(8 1041.613),(9 1052.0876),(10 1086.716),(11 1095.8822),(12 1141.029),(13 1112.3917),(14 1145.8019),(15 1103.0212),(16 1125.8649),(17 1093.4746),(18 1107.9059),(19 1084.8851),(20 1108.2465),(21 1091.7977),(22 1110.7833),(23 1109.0011),(24 1143.4679),(25 1138.3739),(26 1159.0698),(27 1140.9066),(28 1177.8861),(29 1166.3986),(30 1170.5955),(31 1143.5521),(32 1142.0647),(33 1106.4915),(34 1104.633),(35 1067.2671),(36 1079.9177),(37 1070.5269),(38 1105.1403),(39 1100.7783),(40 1126.448),(41 1109.0002),(42 1140.1047),(43 1130.9205),(44 1166.965),(45 1162.7794),(46 1179.2947),(47 1155.0294),(48 1167.8168),(49 1127.7098),(50 1136.0985),(51 1118.6765),(52 1126.7286),(53 1112.1631),(54 1123.586),(55 1109.9188),(56 1132.5936),(57 1114.1044),(58 1131.347),(59 1104.7501),(60 1128.5844),(61 1108.4308),(62 1137.7074),(63 1107.0504),(64 1127.3876),(65 1108.1748),(66 1125.9166),(67 1096.0154),(68 1105.3883),(69 1088.4224),(70 1125.4004),(71 1099.5264),(72 1133.145),(73 1124.8853),(74 1142.674),(75 1125.9827),(76 1143.2496),(77 1130.1034),(78 1167.5165),(79 1151.0596),
