1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13947.489),(2 29795.47),(3 56500.49),(4 85563.414),(5 124971.18),(6 158149.58),(7 195722.95),(8 239057.11),(9 277029.97),(10 303581.72),(11 345245.53),(12 372172.6),(13 416610.66),(14 445290.03),(15 486158.66),(16 512550),(17 560861.44),(18 593365.2),(19 631663.3),(20 665264.8),(21 706173.2),(22 737003.8),(23 792471.25),(24 849409.75),(25 904051.25),(26 950333.3),(27 995733.75),(28 1022706.2),(29 1049843.4),(30 1084715.6),(31 1118897.9),(32 1148039.9),(33 1203965.1),(34 1232447),(35 1279553.3),(36 1311706.9),(37 1364595.1),(38 1376821.4),(39 1437595),(40 1483377.5),(41 1536919),(42 1602295.4),(43 1670807.4),(44 1721063.1),(45 1781094),(46 1824687.1),(47 1886759),(48 1954937.9),(49 2022458.9),(50 2058312.6),(51 2100084.8),(52 2129910.5),(53 2213605.3),(54 2236388.5),(55 2276775),(56 2336384),(57 2370076.8),(58 2459088.8),(59 2500764.3),(60 2571412.3),(61 2600913),(62 2676838),(63 2726018.8),(64 2797063),(65 2830754),(66 2897119.8),(67 3001246),(68 3050907.3),(69 3110470.3),(70 3171600),(71 3231120),(72 3311400),(73 3405833.3),(74 3497304),(75 3621352.8),(76 3749834.8),(77 3893242.3),(78 4345922.5),(79 4541686),
(1 876.0197),(2 1194.3823),(3 1410.8567),(4 1598.7421),(5 1685.9127),(6 1757.9889),(7 1866.0323),(8 1877.0917),(9 1920.3259),(10 1989.2415),(11 1991.12),(12 2026.8398),(13 2016.953),(14 2053.3887),(15 2056.9812),(16 2092.636),(17 2092.9097),(18 2080.3643),(19 2115.5215),(20 2116.3972),(21 2138.7),(22 2152.2883),(23 2130.2046),(24 2132.2258),(25 2165.141),(26 2141.7468),(27 2170.9126),(28 2187.3481),(29 2185.9585),(30 2170.5107),(31 2180.0015),(32 2169.1133),(33 2178.1912),(34 2182.2302),(35 2178.6155),(36 2165.2634),(37 2163.7173),(38 2168.5813),(39 2234.708),(40 2170.7676),(41 2174.302),(42 2214.947),(43 2190.3323),(44 2181.8074),(45 2209.2324),(46 2185.493),(47 2203.2488),(48 2234.0393),(49 2208.1948),(50 2219.532),(51 2266.929),(52 2244.5952),(53 2258.134),(54 2222.6377),(55 2228.3584),(56 2263.71),(57 2244.005),(58 2265.1792),(59 2247.061),(60 2258.397),(61 2246.526),(62 2279.0496),(63 2269.4802),(64 2272.8206),(65 2268.5164),(66 2283.8972),(67 2309.974),(68 2241.0703),(69 2218.2239),(70 2237.1333),(71 2223.865),(72 2191.7998),(73 2231.97),(74 2203.0688),(75 2222.3188),(76 2215.11),(77 2185.778),(78 2252.3074),(79 2253.7686),
(1 849.0109),(2 1159.9492),(3 1420.8605),(4 1590.2224),(5 1692.733),(6 1758.1652),(7 1852.4321),(8 1852.8429),(9 1882.2314),(10 1952.8885),(11 1950.5566),(12 1983.067),(13 1968.826),(14 2004.6948),(15 2024.5006),(16 2054.2625),(17 2041.7705),(18 2072.0571),(19 2112.6262),(20 2107.4724),(21 2130.2944),(22 2152.643),(23 2130.3303),(24 2137.3645),(25 2166.0266),(26 2153.5212),(27 2168.0972),(28 2172.3257),(29 2137.039),(30 2135.559),(31 2154.9338),(32 2125.6553),(33 2142.1755),(34 2122.0996),(35 2138.4592),(36 2146.7773),(37 2159.2678),(38 2138.0212),(39 2157.048),(40 2106.3093),(41 2110.422),(42 2104.5886),(43 2080.9463),(44 2065.7217),(45 2092.0972),(46 2049.6394),(47 2068.383),(48 2098.698),(49 2101.783),(50 2088.5076),(51 2135.7761),(52 2077.0313),(53 2141.057),(54 2105.265),(55 2103.632),(56 2147.6394),(57 2120.5166),(58 2161.503),(59 2136.5203),(60 2143.3977),(61 2131.8616),(62 2153.8176),(63 2138.0725),(64 2158.837),(65 2152.972),(66 2155.8496),(67 2173.6472),(68 2143.2368),(69 2130.8574),(70 2149.3616),(71 2129.7786),(72 2103.1543),(73 2119.6055),(74 2113.7222),(75 2132.201),(76 2165.7744),(77 2153.601),(78 2226.976),(79 2228.1296),
(1 853.7913),(2 1167.8793),(3 1396.8978),(4 1557.051),(5 1656.7374),(6 1724.432),(7 1811.6038),(8 1847.0936),(9 1878.0988),(10 1914.7512),(11 1905.7169),(12 1939.9171),(13 1928.7196),(14 1951.642),(15 1939.5925),(16 1971.818),(17 1949.8722),(18 1969.5342),(19 1996.7007),(20 1992.5265),(21 2000.8557),(22 2031.9629),(23 2013.1445),(24 2041.7213),(25 2072.6978),(26 2095.121),(27 2120.388),(28 2145.722),(29 2137.5325),(30 2139.125),(31 2167.943),(32 2133.1697),(33 2131.6577),(34 2128.6707),(35 2136.3237),(36 2129.3792),(37 2143.0896),(38 2117.41),(39 2172.9597),(40 2123.2986),(41 2122.6377),(42 2110.5906),(43 2087.3325),(44 2067.869),(45 2078.7544),(46 2014.1462),(47 2025.8234),(48 2029.0869),(49 2050.4077),(50 2059.5005),(51 2109.1953),(52 2065.2769),(53 2111.6077),(54 2094.5183),(55 2099.1921),(56 2126.5596),(57 2095.8765),(58 2118.127),(59 2096.7776),(60 2109.0823),(61 2068.3193),(62 2079.51),(63 2044.7913),(64 2062.3997),(65 2077.2),(66 2086.546),(67 2120.138),(68 2117.3655),(69 2109.1655),(70 2123.7424),(71 2130.8093),(72 2107.216),(73 2127.1594),(74 2089.4966),(75 2096.0588),(76 2134.2354),(77 2102.9563),(78 2134.5212),(79 2130.537),
(1 832.15704),(2 1133.7177),(3 1349.5032),(4 1503.512),(5 1577.4594),(6 1642.992),(7 1737.1976),(8 1756.7075),(9 1807.2916),(10 1835.1486),(11 1829.5686),(12 1872.4092),(13 1840.3364),(14 1855.9481),(15 1841.8694),(16 1861.5396),(17 1845.8112),(18 1855.789),(19 1906.6953),(20 1917.8075),(21 1910.5946),(22 1932.0875),(23 1931.0844),(24 1950.8589),(25 1974.9044),(26 1981.1859),(27 2009.3641),(28 2024.5016),(29 1996.7849),(30 1983.4915),(31 2001.013),(32 1978.7184),(33 1991.3329),(34 1958.9205),(35 1984.9119),(36 1990.7537),(37 1989.7432),(38 1966.7971),(39 2025.1874),(40 2000.1394),(41 2022.3696),(42 2030.8928),(43 1978.562),(44 1982.753),(45 1992.2172),(46 1961.2563),(47 1974.8209),(48 1989.8175),(49 1979.5426),(50 1999.7324),(51 2059.9722),(52 2016.091),(53 2057.3413),(54 2038.4779),(55 2045.6075),(56 2055.0156),(57 2015.7726),(58 2028.927),(59 2010.0895),(60 2020.1685),(61 2014.6965),(62 2034.8608),(63 2026.3094),(64 2057.5322),(65 2064.96),(66 2043.5375),(67 2077.4724),(68 2068.8586),(69 2056.3582),(70 2091.4138),(71 2065.9407),(72 2046.9469),(73 2073.0627),(74 2057.7527),(75 2064.946),(76 2100.8435),(77 2069.9998),(78 2104.3767),(79 2076.8499),
(1 838.8568),(2 1139.9631),(3 1379.1758),(4 1516.8698),(5 1599.9949),(6 1673.317),(7 1770.7194),(8 1790.6736),(9 1842.9489),(10 1906.8339),(11 1903.7899),(12 1925.6719),(13 1919.7488),(14 1932.1158),(15 1915.9728),(16 1940.7529),(17 1916.8662),(18 1926.806),(19 1967.9669),(20 1960.1354),(21 1951.3998),(22 1982.1416),(23 1953.264),(24 1962.5997),(25 1984.604),(26 1991.6572),(27 2016.0018),(28 2042.2448),(29 2020.0896),(30 2031.6113),(31 2032.2068),(32 2022.1837),(33 2046.233),(34 2035.6168),(35 2062.0972),(36 2046.733),(37 2056.2676),(38 2040.2426),(39 2069.2446),(40 2039.5051),(41 2025.3899),(42 2030.8871),(43 1985.01),(44 1996.8076),(45 1998.121),(46 1973.0314),(47 1988.5267),(48 2028.4021),(49 2030.3043),(50 2059.8313),(51 2106.6606),(52 2069.3303),(53 2052.0825),(54 2036.8074),(55 2062.1003),(56 2075.154),(57 2052.819),(58 2057.55),(59 2036.4),(60 2034.8967),(61 2025.8999),(62 2019.2029),(63 2025.2214),(64 2047.178),(65 2028.0217),(66 2036.82),(67 2051.3516),(68 2039.8314),(69 2057.0432),(70 2074.509),(71 2040.6017),(72 2011.5173),(73 2064.6277),(74 2039.2622),(75 2060.5703),(76 2100.3276),(77 2079.5203),(78 2113.586),(79 2101.7288),
(1 819.9396),(2 1092.4487),(3 1278.7928),(4 1414.228),(5 1493.3335),(6 1570.5526),(7 1634.9407),(8 1646.1371),(9 1674.0115),(10 1718.456),(11 1699.9907),(12 1723.1193),(13 1713.3386),(14 1748.9465),(15 1760.7179),(16 1780.0383),(17 1795.333),(18 1818.7831),(19 1863.4722),(20 1859.8844),(21 1868.4298),(22 1905.0508),(23 1916.4766),(24 1932.3257),(25 1980.705),(26 1937.1698),(27 1945.8645),(28 1953.8126),(29 1948.2816),(30 1940.0835),(31 1943.3933),(32 1934.7722),(33 1980.6062),(34 1958.102),(35 1973.4376),(36 1944.05),(37 1967.7627),(38 1928.2915),(39 1969.292),(40 1941.1133),(41 1932.4784),(42 1954.0425),(43 1924.0813),(44 1929.7001),(45 1949.7489),(46 1920.652),(47 1950.0316),(48 1980.3286),(49 1966.101),(50 1956.4431),(51 1999.997),(52 1947.2601),(53 1954.1213),(54 1933.3447),(55 1947.5068),(56 1956.6965),(57 1940.0293),(58 1949.0022),(59 1930.4802),(60 1926.0524),(61 1895.9962),(62 1916.8439),(63 1917.7974),(64 1947.1729),(65 1937.0355),(66 1937.9122),(67 1958.636),(68 1948.7013),(69 1960.216),(70 1966.9766),(71 1931.2299),(72 1928.4001),(73 1939.2391),(74 1926.3113),(75 1957.8341),(76 1995.1691),(77 1960.0496),(78 2021.2915),(79 2004.9888),
(1 811.12305),(2 1109.2402),(3 1311.1838),(4 1452.617),(5 1517.4572),(6 1583.4165),(7 1658.331),(8 1649.9718),(9 1686.8098),(10 1738.4404),(11 1722.5979),(12 1737.2246),(13 1730.1256),(14 1757.7949),(15 1767.8219),(16 1791.8716),(17 1784.4784),(18 1810.6836),(19 1852.5596),(20 1846.1047),(21 1858.3531),(22 1888.1613),(23 1868.753),(24 1883.6625),(25 1907.5306),(26 1907.1371),(27 1918.4934),(28 1942.1299),(29 1922.6987),(30 1916.3514),(31 1898.7625),(32 1892.0137),(33 1910.7546),(34 1877.8191),(35 1895.6317),(36 1878.578),(37 1901.0273),(38 1874.8595),(39 1934.1578),(40 1915.0646),(41 1919.3295),(42 1972.2551),(43 1960.4446),(44 1980.6116),(45 1986.7075),(46 1954.0334),(47 1971.5676),(48 1983.9277),(49 1970.131),(50 1985.2062),(51 2031.2655),(52 1987.865),(53 2016.1603),(54 2003.457),(55 2024.5385),(56 2051.916),(57 2026.008),(58 2045.9475),(59 2036.9794),(60 2056.0244),(61 2033.7631),(62 2041.2753),(63 2030.3625),(64 2040.6836),(65 2025.5873),(66 2025.5938),(67 2041.6561),(68 2029.184),(69 2030.2455),(70 2059.7998),(71 2037.4003),(72 2045.9331),(73 2065.8486),(74 2054.0059),(75 2085.5608),(76 2100.1663),(77 2069.0505),(78 2111.7227),(79 2098.262),
(1 792.15173),(2 1069.6279),(3 1265.115),(4 1417.4963),(5 1466.842),(6 1531.6522),(7 1615.3745),(8 1614.0554),(9 1635.1855),(10 1675.0693),(11 1676.4266),(12 1707.2753),(13 1682.2533),(14 1708.3367),(15 1729.3329),(16 1781.9291),(17 1770.9381),(18 1815.5419),(19 1863.0077),(20 1845.8994),(21 1865.8818),(22 1892.512),(23 1884.1586),(24 1905.2443),(25 1929.7883),(26 1899.4513),(27 1894.1937),(28 1912.1339),(29 1872.3682),(30 1889.0079),(31 1907.0988),(32 1872.1088),(33 1888.4033),(34 1866.8918),(35 1867.7228),(36 1852.1469),(37 1869.4951),(38 1846.9159),(39 1866.926),(40 1854.501),(41 1857.1664),(42 1897.5758),(43 1880.4286),(44 1865.2761),(45 1876.1313),(46 1836.2059),(47 1845.5013),(48 1868.4523),(49 1863.3076),(50 1865.8583),(51 1899.771),(52 1858.2134),(53 1921.3009),(54 1889.9727),(55 1904.9462),(56 1939.7976),(57 1918.5023),(58 1944.2361),(59 1944.123),(60 1941.0425),(61 1931.8608),(62 1945.8674),(63 1954.2429),(64 1979.2473),(65 1961.5931),(66 1966.3768),(67 1996.5886),(68 1997.634),(69 1983.7252),(70 2018.1654),(71 2013.729),(72 1992.7072),(73 2031.6049),(74 2000.8801),(75 2018.7052),(76 2043.5459),(77 2015.8488),(78 2051.9834),(79 2035.8656),
(1 756.26764),(2 1009.4652),(3 1191.9012),(4 1307.0448),(5 1368.1451),(6 1429.311),(7 1502.951),(8 1514.6307),(9 1552.2166),(10 1594.5048),(11 1591.0641),(12 1609.9406),(13 1596.4872),(14 1616.1189),(15 1657.0482),(16 1697.6711),(17 1710.5582),(18 1745.2617),(19 1767.1464),(20 1760.0596),(21 1764.5635),(22 1793.4397),(23 1779.512),(24 1804.3759),(25 1838.2494),(26 1807.6262),(27 1817.8237),(28 1831.3772),(29 1798.3818),(30 1814.4475),(31 1828.3802),(32 1802.0281),(33 1832.8922),(34 1834.1736),(35 1857.8108),(36 1857.4431),(37 1876.033),(38 1861.0594),(39 1866.5494),(40 1832.738),(41 1824.8352),(42 1840.2432),(43 1801.7001),(44 1789.7401),(45 1796.7117),(46 1785.8264),(47 1810.4519),(48 1855.0603),(49 1817.5898),(50 1837.297),(51 1856.8857),(52 1811.1709),(53 1854.2474),(54 1833.3427),(55 1847.5796),(56 1867.7476),(57 1844.5919),(58 1840.69),(59 1835.1993),(60 1854.0988),(61 1845.0118),(62 1858.5625),(63 1854.8162),(64 1871.4178),(65 1859.0719),(66 1862.8726),(67 1871.4525),(68 1842.8485),(69 1828.5392),(70 1852.3635),(71 1842.1058),(72 1837.387),(73 1857.8105),(74 1830.7362),(75 1856.9056),(76 1869.2349),(77 1829.6012),(78 1847.3134),(79 1846.9617),
(1 769.6517),(2 1036.7006),(3 1203.6228),(4 1331.456),(5 1409.5823),(6 1474.0881),(7 1551.4233),(8 1558.5806),(9 1610.0225),(10 1661.29),(11 1656.4874),(12 1684.0468),(13 1681.6127),(14 1704.1993),(15 1731.7606),(16 1797.5853),(17 1779.3755),(18 1821.9453),(19 1831.3503),(20 1832.4723),(21 1854.8387),(22 1893.132),(23 1885.2091),(24 1892.9283),(25 1915.8046),(26 1908.4923),(27 1911.9167),(28 1884.5579),(29 1866.7445),(30 1857.7175),(31 1868.0437),(32 1830.0607),(33 1854.8906),(34 1841.6454),(35 1846.198),(36 1816.382),(37 1828.2728),(38 1813.6669),(39 1835.4387),(40 1816.023),(41 1809.6672),(42 1837.9177),(43 1803.0938),(44 1800.5757),(45 1828.1807),(46 1815.6809),(47 1827.2522),(48 1882.148),(49 1883.8444),(50 1901.5463),(51 1904.8765),(52 1888.9293),(53 1939.7025),(54 1940.9357),(55 1937.9753),(56 1968.555),(57 1959.5511),(58 1959.6757),(59 1954.7905),(60 1974.8663),(61 1940.0883),(62 1969.4569),(63 1929.9756),(64 1961.82),(65 1960.5575),(66 1946.8308),(67 1969.0535),(68 1926.3768),(69 1911.3351),(70 1927.0502),(71 1908.0529),(72 1901.0188),(73 1924.1812),(74 1885.8212),(75 1883.8184),(76 1916.4146),(77 1867.2765),(78 1908.4406),(79 1912.065),
(1 749.6124),(2 1002.8587),(3 1163.6903),(4 1300.5436),(5 1378.8984),(6 1450.465),(7 1514.623),(8 1519.3522),(9 1555.687),(10 1586.002),(11 1590.4283),(12 1624.1143),(13 1616.1299),(14 1636.9465),(15 1664.9335),(16 1692.2942),(17 1704.823),(18 1749.9161),(19 1782.543),(20 1785.6996),(21 1805.0133),(22 1823.3654),(23 1804.4165),(24 1812.0626),(25 1829.8877),(26 1832.4976),(27 1833.7745),(28 1852.049),(29 1814.8071),(30 1834.032),(31 1848.1942),(32 1796.8738),(33 1788.1665),(34 1769.4291),(35 1776.3209),(36 1742.838),(37 1743.4222),(38 1731.2859),(39 1746.5669),(40 1721.431),(41 1703.2517),(42 1715.244),(43 1696.9329),(44 1716.3958),(45 1738.9248),(46 1741.573),(47 1735.8424),(48 1773.2792),(49 1757.6403),(50 1769.4365),(51 1784.1193),(52 1757.4731),(53 1801.9655),(54 1796.7211),(55 1784.8556),(56 1827.2678),(57 1800.834),(58 1794.249),(59 1788.5403),(60 1810.3053),(61 1790.3767),(62 1797.8083),(63 1785.7482),(64 1813.3517),(65 1814.0894),(66 1812.0374),(67 1836.2704),(68 1817.0819),(69 1810.6),(70 1836.4481),(71 1801.7551),(72 1778.449),(73 1800.2921),(74 1771.7454),(75 1784.4625),(76 1781.8813),(77 1768.4231),(78 1805.3679),(79 1805.8799),
(1 738.71277),(2 990.46106),(3 1178.1274),(4 1304.51),(5 1397.689),(6 1455.955),(7 1533.4215),(8 1546.6555),(9 1576.9664),(10 1619.68),(11 1623.9626),(12 1664.6871),(13 1659.5111),(14 1670.714),(15 1701.2214),(16 1742.2959),(17 1735.9662),(18 1761.3773),(19 1789.3076),(20 1802.023),(21 1829.204),(22 1841.2655),(23 1851.0391),(24 1855.6721),(25 1861.3467),(26 1865.7053),(27 1871.2849),(28 1866.7955),(29 1829.2885),(30 1821.4512),(31 1812.8799),(32 1771.9154),(33 1784.2769),(34 1772.5588),(35 1781.376),(36 1762.9617),(37 1758.6694),(38 1743.5862),(39 1777.2544),(40 1761.4326),(41 1747.9679),(42 1750.5402),(43 1733.0101),(44 1744.7734),(45 1769.4324),(46 1757.4146),(47 1770.6859),(48 1818.9729),(49 1815.2816),(50 1834.5669),(51 1883.333),(52 1838.4598),(53 1861.8726),(54 1828.5594),(55 1827.5085),(56 1840.3267),(57 1821.2905),(58 1836.576),(59 1818.2749),(60 1839.1371),(61 1803.3151),(62 1823.3553),(63 1784.7861),(64 1821.2465),(65 1826.5826),(66 1838.1605),(67 1848.8691),(68 1825.9092),(69 1841.5963),(70 1868.4977),(71 1837.4481),(72 1813.519),(73 1848.9945),(74 1818.7421),(75 1837.4456),(76 1849.587),(77 1828.3486),(78 1869.9929),(79 1870.6669),
(1 736.70105),(2 982.98596),(3 1173.1494),(4 1309.5726),(5 1379.9404),(6 1444.6469),(7 1528.6556),(8 1535.2354),(9 1564.279),(10 1591.3995),(11 1595.0568),(12 1623.5156),(13 1620.2595),(14 1625.4729),(15 1644.5176),(16 1702.8381),(17 1694.7727),(18 1703.2203),(19 1751.5825),(20 1766.1405),(21 1791.0311),(22 1819.0577),(23 1818.6005),(24 1810.9836),(25 1844.082),(26 1845.8949),(27 1851.2833),(28 1853.56),(29 1829.5265),(30 1838.7673),(31 1834.0024),(32 1808.8032),(33 1828.3556),(34 1790.4752),(35 1790.1768),(36 1764.1906),(37 1759.7606),(38 1759.5542),(39 1800.9962),(40 1778.046),(41 1764.2738),(42 1769.4979),(43 1717.4119),(44 1714.295),(45 1726.9917),(46 1709.6232),(47 1711.4625),(48 1762.462),(49 1750.404),(50 1777.8328),(51 1818.3865),(52 1774.5999),(53 1815.2659),(54 1786.5529),(55 1804.0914),(56 1832.1002),(57 1823.4119),(58 1826.2637),(59 1812.1978),(60 1818.919),(61 1816.0078),(62 1812.2307),(63 1794.354),(64 1817.0139),(65 1785.0454),(66 1792.4839),(67 1803.2848),(68 1790.2156),(69 1771.227),(70 1785.8687),(71 1767.414),(72 1753.4768),(73 1806.5354),(74 1787.1206),(75 1807.1542),(76 1818.9575),(77 1811.667),(78 1851.5479),(79 1845.096),
(1 712.96027),(2 948.8756),(3 1133.7104),(4 1252.7877),(5 1326.135),(6 1385.7805),(7 1456.5415),(8 1456.1323),(9 1493.2559),(10 1531.0273),(11 1543.6093),(12 1569.1448),(13 1561.694),(14 1587.5256),(15 1589.9523),(16 1626.2422),(17 1639.7957),(18 1642.5449),(19 1688.7845),(20 1694.876),(21 1726.164),(22 1748.3932),(23 1732.0681),(24 1736.6139),(25 1790.8488),(26 1782.3026),(27 1783.3466),(28 1794.3009),(29 1761.8549),(30 1759.5618),(31 1768.7632),(32 1746.3043),(33 1770.4492),(34 1754.3119),(35 1757.3129),(36 1747.2299),(37 1743.1321),(38 1735.419),(39 1772.5247),(40 1734.4375),(41 1723.8875),(42 1727.2615),(43 1685.5848),(44 1687.4886),(45 1715.204),(46 1691.5958),(47 1716.8264),(48 1769.5553),(49 1748.0793),(50 1797.7507),(51 1842.0774),(52 1786.3575),(53 1808.1655),(54 1792.3612),(55 1789.9176),(56 1821.1093),(57 1804.5148),(58 1820.6222),(59 1793.1737),(60 1803.4744),(61 1779.3591),(62 1780.7429),(63 1746.0327),(64 1764.904),(65 1732.4205),(66 1727.5718),(67 1749.468),(68 1730.8923),(69 1701.415),(70 1706.0117),(71 1690.9291),(72 1681.1863),(73 1725.6868),(74 1705.8359),(75 1728.6119),(76 1757.6997),(77 1762.3121),(78 1791.0476),(79 1770.8242),
(1 744.81433),(2 1004.35205),(3 1182.0819),(4 1290.431),(5 1354.4343),(6 1399.438),(7 1466.5848),(8 1468.9768),(9 1498.8506),(10 1537.9136),(11 1547.3632),(12 1577.3348),(13 1572.1835),(14 1587.0468),(15 1612.525),(16 1632.3766),(17 1651.1997),(18 1672.7242),(19 1704.0791),(20 1709.3159),(21 1721.0925),(22 1749.2819),(23 1745.3575),(24 1773.9176),(25 1792.6118),(26 1790.6305),(27 1800.4231),(28 1809.8807),(29 1787.0111),(30 1791.0482),(31 1793.072),(32 1790.4105),(33 1808.0511),(34 1806.9661),(35 1824.6353),(36 1810.5991),(37 1807.5055),(38 1790.955),(39 1807.7933),(40 1789.851),(41 1777.937),(42 1794.972),(43 1770.1469),(44 1770.4158),(45 1767.0479),(46 1764.9801),(47 1789.1937),(48 1807.9973),(49 1809.9503),(50 1847.5712),(51 1867.6896),(52 1824.8156),(53 1833.2819),(54 1829.877),(55 1829.8033),(56 1854.634),(57 1825.6719),(58 1845.6454),(59 1836.9559),(60 1842.6539),(61 1828.1627),(62 1835.9338),(63 1831.2069),(64 1834.6033),(65 1819.1312),(66 1803.4991),(67 1811.342),(68 1794.1204),(69 1773.6306),(70 1769.165),(71 1756.2859),(72 1756.0281),(73 1776.5579),(74 1771.8815),(75 1784.6423),(76 1826.3453),(77 1827.3861),(78 1858.7831),(79 1860.0316),
(1 721.0293),(2 965.6808),(3 1130.2191),(4 1247.5594),(5 1293.7684),(6 1339.339),(7 1409.5748),(8 1416.3796),(9 1450.3799),(10 1471.1194),(11 1469.982),(12 1497.1543),(13 1503.9495),(14 1522.0753),(15 1537.322),(16 1580.4099),(17 1567.9286),(18 1599.1945),(19 1666.0366),(20 1670.1484),(21 1681.209),(22 1691.705),(23 1698.1392),(24 1726.2609),(25 1716.7036),(26 1704.8676),(27 1725.6605),(28 1727.4863),(29 1717.9689),(30 1711.791),(31 1709.809),(32 1699.4628),(33 1711.0332),(34 1704.5063),(35 1712.201),(36 1695.3322),(37 1704.1415),(38 1693.7472),(39 1747.2534),(40 1707.0203),(41 1704.2036),(42 1724.1454),(43 1696.0077),(44 1693.9319),(45 1710.5343),(46 1707.7163),(47 1697.8873),(48 1734.2628),(49 1727.1368),(50 1728.5593),(51 1764.97),(52 1730.4292),(53 1756.3553),(54 1751.5889),(55 1755.5305),(56 1784.8627),(57 1777.9015),(58 1783.119),(59 1767.5472),(60 1780.0961),(61 1772.2281),(62 1780.8682),(63 1775.6733),(64 1781.2603),(65 1763.1902),(66 1754.3661),(67 1755.6116),(68 1741.704),(69 1712.3889),(70 1705.9025),(71 1703.8792),(72 1685.1356),(73 1714.8148),(74 1726.0293),(75 1752.7021),(76 1767.103),(77 1749.0367),(78 1781.8334),(79 1784.0475),
