1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 57473.074),(2 206642.7),(3 422873.22),(4 667298.2),(5 902020.2),(6 1088178.3),(7 1221194.6),(8 1294497.8),(9 1345718.8),(10 1391630.4),(11 1451861.5),(12 1541745.1),(13 1676268.1),(14 1839846),(15 2016658),(16 2204318.3),(17 2360169),(18 2497985.5),(19 2584969.3),(20 2637567),(21 2669589.3),(22 2690547.3),(23 2726242),(24 2821354.8),(25 2948735.3),(26 3129298),(27 3391830),(28 3690906),(29 4029405.8),(30 4384986),(31 4722005.5),(32 5039144.5),(33 5274604.5),(34 5457317),(35 5601530.5),(36 5806132),(37 6006117.5),(38 6212861.5),(39 6448798),(40 6700975.5),(41 6919514.5),(42 7119082.5),(43 7237200.5),(44 7302214.5),(45 7300587.5),(46 7269360.5),(47 7212292),(48 7192128.5),(49 7203390.5),(50 7299288),(51 7399690.5),(52 7514574.5),(53 7661976),(54 7781574),(55 7932717.5),(56 8104984),(57 8228163.5),(58 8329098.5),(59 8372531.5),(60 8381815.5),(61 8431094),(62 8492199),(63 8623167),(64 8816149),(65 9039448),(66 9311745),(67 9609343),(68 9938908),(69 10276278),(70 10593262),(71 10892597),(72 11192744),(73 11478723),(74 11798309),(75 12167941),(76 12580496),(77 12966013),(78 13399500),(79 13875051),
(1 519.39496),(2 801.823),(3 943.3704),(4 1031.3345),(5 1093.8894),(6 1135.4244),(7 1168.8427),(8 1208.7109),(9 1224.6752),(10 1239.6782),(11 1243.7183),(12 1256.7323),(13 1259.0435),(14 1258.6323),(15 1255.9525),(16 1245.7986),(17 1258.6085),(18 1258.3586),(19 1267.5028),(20 1279.3702),(21 1275.9559),(22 1282.2443),(23 1282.7712),(24 1270.8142),(25 1263.5447),(26 1271.6001),(27 1271.954),(28 1273.1544),(29 1265.4598),(30 1274.8114),(31 1281.611),(32 1287.2019),(33 1278.9137),(34 1282.0438),(35 1281.8295),(36 1282.5508),(37 1278.2439),(38 1290.0338),(39 1301.6577),(40 1310.1136),(41 1309.2228),(42 1308.7139),(43 1308.137),(44 1317.2231),(45 1323.8632),(46 1323.067),(47 1323.425),(48 1318.2699),(49 1315.655),(50 1321.6621),(51 1330.2458),(52 1330.2695),(53 1318.2476),(54 1309.9432),(55 1315.6149),(56 1309.9393),(57 1315.7631),(58 1323.8649),(59 1313.9906),(60 1318.5698),(61 1307.0907),(62 1302.662),(63 1322.756),(64 1326.3483),(65 1325.4822),(66 1333.5408),(67 1332.688),(68 1336.086),(69 1340.0259),(70 1342.8494),(71 1341.8125),(72 1344.8809),(73 1338.3499),(74 1342.2428),(75 1340.0131),(76 1329.1414),(77 1341.9512),(78 1343.0492),(79 1339.7119),
(1 515.5105),(2 777.9403),(3 924.738),(4 1005.0879),(5 1056.6023),(6 1093.389),(7 1126.477),(8 1155.5076),(9 1173.3116),(10 1190.5625),(11 1201.4084),(12 1198.8402),(13 1208.7363),(14 1229.0635),(15 1236.5565),(16 1238.5574),(17 1244.2484),(18 1245.3373),(19 1238.0957),(20 1231.6027),(21 1220.1333),(22 1212.8699),(23 1228.6422),(24 1226.7947),(25 1224.332),(26 1231.2795),(27 1228.8282),(28 1232.1938),(29 1232.9066),(30 1236.1335),(31 1227.3472),(32 1229.4867),(33 1228.7448),(34 1237.2803),(35 1232.7451),(36 1242.3451),(37 1241.6301),(38 1243.5339),(39 1250.172),(40 1262.1521),(41 1267.4347),(42 1281.6294),(43 1291.9288),(44 1283.8594),(45 1276.2161),(46 1280.1453),(47 1274.2814),(48 1272.7324),(49 1274.3506),(50 1278.4954),(51 1274.875),(52 1269.2837),(53 1278.3267),(54 1279.6897),(55 1284.3495),(56 1293.2739),(57 1294.479),(58 1294.0695),(59 1302.5881),(60 1284.2043),(61 1273.6119),(62 1283.9824),(63 1280.5128),(64 1289.006),(65 1294.0095),(66 1284.7185),(67 1273.884),(68 1261.2542),(69 1253.1746),(70 1256.7965),(71 1254.3419),(72 1262.3964),(73 1265.1824),(74 1262.4028),(75 1259.295),(76 1251.1122),(77 1269.614),(78 1272.6145),(79 1277.4021),
(1 515.04504),(2 768.4705),(3 915.34344),(4 1011.67004),(5 1065.7928),(6 1103.803),(7 1125.0126),(8 1146.7661),(9 1151.0536),(10 1159.4392),(11 1163.4498),(12 1166.537),(13 1182.2601),(14 1196.7252),(15 1215.941),(16 1211.318),(17 1199.3071),(18 1217.036),(19 1223.3002),(20 1221.3274),(21 1211.0569),(22 1198.7518),(23 1203.9752),(24 1206.8271),(25 1217.5001),(26 1231.016),(27 1229.0555),(28 1221.707),(29 1222.087),(30 1216.6014),(31 1203.2415),(32 1202.6584),(33 1206.2628),(34 1210.3331),(35 1211.5863),(36 1221.9717),(37 1224.1367),(38 1227.7765),(39 1233.3525),(40 1231.8376),(41 1242.9803),(42 1247.9752),(43 1253.3269),(44 1239.6787),(45 1240.322),(46 1239.1729),(47 1231.8038),(48 1218.8163),(49 1218.9137),(50 1226.2748),(51 1226.4554),(52 1214.6147),(53 1222.5383),(54 1228.0272),(55 1237.0171),(56 1244.841),(57 1237.2021),(58 1245.6025),(59 1247.1335),(60 1243.8269),(61 1239.2911),(62 1238.1733),(63 1237.6633),(64 1240.9432),(65 1250.3854),(66 1248.334),(67 1243.4111),(68 1246.8682),(69 1240.7384),(70 1241.8673),(71 1237.8556),(72 1231.1833),(73 1227.8414),(74 1224.0905),(75 1227.4814),(76 1218.3008),(77 1216.7253),(78 1232.2859),(79 1235.4423),
(1 498.40472),(2 743.5207),(3 883.50946),(4 963.2422),(5 1003.288),(6 1031.9272),(7 1052.0933),(8 1060.1184),(9 1069.1105),(10 1084.8904),(11 1090.1335),(12 1091.6232),(13 1099.9049),(14 1112.8508),(15 1129.5771),(16 1128.6271),(17 1140.612),(18 1144.7329),(19 1152.2006),(20 1167.478),(21 1160.7106),(22 1162.4443),(23 1169.9955),(24 1167.7595),(25 1166.7562),(26 1176.5447),(27 1185.9941),(28 1182.7396),(29 1183.8386),(30 1182.0334),(31 1177.0764),(32 1168.2463),(33 1157.983),(34 1163.7157),(35 1172.5365),(36 1176.5532),(37 1169.265),(38 1188.0259),(39 1182.0692),(40 1172.6995),(41 1182.7878),(42 1190.6432),(43 1203.9193),(44 1201.3168),(45 1203.0786),(46 1206.6846),(47 1203.9248),(48 1200.3169),(49 1196.4884),(50 1216.3275),(51 1215.5605),(52 1203.6252),(53 1195.6895),(54 1203.6136),(55 1205.7626),(56 1200.7816),(57 1199.4788),(58 1185.3282),(59 1182.0553),(60 1192.9447),(61 1195.0887),(62 1189.1069),(63 1182.524),(64 1175.4949),(65 1185.6537),(66 1184.4908),(67 1179.9791),(68 1189.9515),(69 1183.4749),(70 1175.6328),(71 1165.7084),(72 1168.349),(73 1171.9873),(74 1182.5094),(75 1173.3368),(76 1167.0353),(77 1158.9651),(78 1170.5719),(79 1177.5688),
(1 477.33194),(2 712.7935),(3 843.32227),(4 926.5551),(5 966.47125),(6 987.4478),(7 1008.68555),(8 1032.8832),(9 1056.7749),(10 1060.3033),(11 1067.1326),(12 1075.2814),(13 1091.292),(14 1098.069),(15 1103.9321),(16 1109.244),(17 1118.4924),(18 1119.1135),(19 1122.503),(20 1118.4227),(21 1116.6284),(22 1120.561),(23 1125.2632),(24 1141.9135),(25 1136.7197),(26 1153.0657),(27 1156.7163),(28 1151.1176),(29 1149.1041),(30 1136.8363),(31 1135.9816),(32 1136.0262),(33 1129.714),(34 1137.0742),(35 1139.0302),(36 1141.729),(37 1151.6237),(38 1166.8334),(39 1174.6324),(40 1175.6521),(41 1179.8848),(42 1170.271),(43 1174.7113),(44 1174.5919),(45 1174.1671),(46 1182.0205),(47 1175.7543),(48 1181.3864),(49 1192.0754),(50 1197.1025),(51 1195.0118),(52 1189.1589),(53 1186.5334),(54 1184.276),(55 1194.9712),(56 1198.5789),(57 1188.6633),(58 1191.0161),(59 1174.8833),(60 1170.2803),(61 1180.6439),(62 1181.2225),(63 1182.5167),(64 1176.5061),(65 1183.9355),(66 1201.2992),(67 1196.7249),(68 1210.272),(69 1208.0457),(70 1187.7223),(71 1192.2941),(72 1202.5305),(73 1203.1204),(74 1199.0404),(75 1191.6335),(76 1188.531),(77 1176.4355),(78 1181.3246),(79 1189.2404),
(1 479.77075),(2 719.4809),(3 848.16046),(4 919.90594),(5 962.08307),(6 997.97955),(7 1029.1239),(8 1043.223),(9 1048.0875),(10 1055.2948),(11 1062.6383),(12 1062.8169),(13 1066.2128),(14 1063.5338),(15 1064.8198),(16 1076.2551),(17 1088.1898),(18 1087.018),(19 1086.1106),(20 1092.8754),(21 1094.214),(22 1113.4207),(23 1109.7966),(24 1117.7426),(25 1120.5867),(26 1134.5282),(27 1132.032),(28 1129.0717),(29 1129.0111),(30 1128.5807),(31 1129.113),(32 1133.2167),(33 1120.2738),(34 1121.5004),(35 1118.8969),(36 1124.5513),(37 1128.4471),(38 1129.8567),(39 1140.0123),(40 1138.0038),(41 1130.4336),(42 1149.7211),(43 1164.6261),(44 1157.3224),(45 1146.9819),(46 1153.6852),(47 1157.5348),(48 1139.7621),(49 1145.9434),(50 1148.1046),(51 1146.829),(52 1149.056),(53 1144.8279),(54 1149.285),(55 1150.0745),(56 1154.7108),(57 1158.4652),(58 1161.5536),(59 1161.421),(60 1144.78),(61 1147.9434),(62 1145.4341),(63 1163.2274),(64 1155.7433),(65 1155.5194),(66 1159.986),(67 1149.1223),(68 1147.4977),(69 1146.8104),(70 1147.8745),(71 1143.6378),(72 1147.7091),(73 1142.732),(74 1142.8171),(75 1147.6775),(76 1151.867),(77 1148.807),(78 1134.0751),(79 1135.7412),
(1 480.6699),(2 719.9467),(3 847.5081),(4 916.1933),(5 954.2797),(6 974.2837),(7 987.97687),(8 1002.1598),(9 1023.15155),(10 1029.0359),(11 1030.4198),(12 1036.5256),(13 1040.1123),(14 1052.4899),(15 1059.8993),(16 1062.7747),(17 1074.3204),(18 1076.0043),(19 1090.4207),(20 1091.895),(21 1082.8795),(22 1082.9403),(23 1082.0355),(24 1089.645),(25 1095.2501),(26 1107.252),(27 1104.0857),(28 1105.9894),(29 1102.739),(30 1104.2594),(31 1113.2462),(32 1113.0372),(33 1106.2198),(34 1104.9148),(35 1088.3994),(36 1086.687),(37 1090.725),(38 1103.1018),(39 1105.2926),(40 1119.159),(41 1113.5321),(42 1124.6371),(43 1125.0261),(44 1130.3644),(45 1126.3398),(46 1122.2753),(47 1127.7466),(48 1120.6318),(49 1117.3146),(50 1131.1362),(51 1121.57),(52 1117.0775),(53 1121.7811),(54 1136.445),(55 1148.9811),(56 1138.6794),(57 1147.2162),(58 1156.191),(59 1150.5664),(60 1139.9137),(61 1130.5137),(62 1121.4716),(63 1120.9958),(64 1122.0404),(65 1106.0056),(66 1114.4498),(67 1111.4982),(68 1116.8442),(69 1123.8514),(70 1135.633),(71 1142.477),(72 1123.9393),(73 1121.7424),(74 1129.4075),(75 1129.3256),(76 1116.4392),(77 1117.1031),(78 1118.2488),(79 1126.3638),
(1 461.5464),(2 681.37317),(3 805.2196),(4 879.72314),(5 923.604),(6 946.5346),(7 961.85364),(8 992.2409),(9 1016.09186),(10 1028.5621),(11 1039.3823),(12 1049.4904),(13 1064.6797),(14 1070.4423),(15 1070.465),(16 1068.8523),(17 1064.876),(18 1066.8457),(19 1072.1777),(20 1071.2793),(21 1063.401),(22 1062.0793),(23 1052.2257),(24 1060.1512),(25 1078.3662),(26 1095.4438),(27 1096.4275),(28 1090.9651),(29 1097.7657),(30 1100.5815),(31 1089.3905),(32 1090.2527),(33 1089.1051),(34 1082.1262),(35 1082.402),(36 1078.0773),(37 1084.6227),(38 1103.9434),(39 1098.0857),(40 1094.5654),(41 1096.0997),(42 1095.2538),(43 1101.7146),(44 1100.112),(45 1095.4854),(46 1094.5859),(47 1099.155),(48 1101.1876),(49 1102.3376),(50 1116.1481),(51 1111.9554),(52 1109.2299),(53 1105.7426),(54 1103.4811),(55 1097.8416),(56 1096.8845),(57 1109.8767),(58 1108.4204),(59 1095.8314),(60 1098.0498),(61 1082.7612),(62 1088.5807),(63 1078.2943),(64 1071.514),(65 1073.1987),(66 1078.9637),(67 1090.2551),(68 1110.1741),(69 1112.1411),(70 1119.1885),(71 1111.7008),(72 1101.8258),(73 1099.4767),(74 1090.7019),(75 1086.3981),(76 1079.8246),(77 1075.044),(78 1080.5758),(79 1086.4368),
(1 460.66818),(2 665.08484),(3 796.0898),(4 863.76117),(5 899.8565),(6 927.04895),(7 947.3806),(8 965.5961),(9 982.26624),(10 998.4933),(11 997.8204),(12 1008.6475),(13 1018.092),(14 1034.8286),(15 1039.4838),(16 1040.9652),(17 1040.4148),(18 1039.2443),(19 1036.2778),(20 1033.8138),(21 1034.9575),(22 1045.469),(23 1039.111),(24 1044.4437),(25 1055.675),(26 1070.0206),(27 1076.8907),(28 1087.3118),(29 1092.3815),(30 1093.3838),(31 1094.8529),(32 1079.7147),(33 1071.6738),(34 1076.6477),(35 1081.601),(36 1078.4669),(37 1081.0593),(38 1087.4602),(39 1089.1251),(40 1093.378),(41 1108.2904),(42 1117.3517),(43 1118.6531),(44 1109.6597),(45 1106.7963),(46 1104.4453),(47 1098.3866),(48 1104.1335),(49 1102.228),(50 1108.7384),(51 1101.7435),(52 1097.2604),(53 1089.9875),(54 1089.1497),(55 1088.5614),(56 1084.4904),(57 1083.5786),(58 1074.5885),(59 1078.0369),(60 1070.4979),(61 1062.8171),(62 1063.385),(63 1061.585),(64 1055.0975),(65 1053.4452),(66 1059.676),(67 1059.8987),(68 1059.2838),(69 1063.5353),(70 1060.594),(71 1057.8861),(72 1042.718),(73 1043.7897),(74 1053.4371),(75 1055.5082),(76 1069.2247),(77 1058.3374),(78 1062.096),(79 1068.4806),
(1 442.15823),(2 646.44165),(3 764.87933),(4 838.8995),(5 879.6476),(6 900.67194),(7 920.4162),(8 944.3593),(9 962.60144),(10 969.2999),(11 980.2736),(12 993.21967),(13 993.585),(14 1002.6157),(15 1013.31616),(16 1028.6824),(17 1032.4882),(18 1026.3131),(19 1024.1099),(20 1021.33826),(21 1019.27686),(22 1032.428),(23 1029.7931),(24 1031.7026),(25 1046.687),(26 1051.9409),(27 1044.3813),(28 1055.6189),(29 1059.5492),(30 1057.961),(31 1067.2662),(32 1069.4187),(33 1065.5753),(34 1061.0386),(35 1067.8815),(36 1077.8251),(37 1084.1019),(38 1086.4469),(39 1093.3984),(40 1098.1339),(41 1096.147),(42 1096.6605),(43 1090.9142),(44 1095.0834),(45 1081.0153),(46 1073.2775),(47 1069.4935),(48 1067.9045),(49 1075.5457),(50 1073.0189),(51 1066.5784),(52 1059.03),(53 1055.0587),(54 1061.3412),(55 1054.5436),(56 1051.9921),(57 1055.2823),(58 1053.0631),(59 1058.3264),(60 1049.3488),(61 1049.3932),(62 1064.7423),(63 1054.8738),(64 1058.519),(65 1054.4465),(66 1054.8721),(67 1065.0547),(68 1055.3855),(69 1048.7124),(70 1043.4081),(71 1040.5062),(72 1034.815),(73 1037.0981),(74 1038.4722),(75 1040.3093),(76 1038.6924),(77 1037.0483),(78 1042.8792),(79 1039.3047),
(1 440.91855),(2 652.6505),(3 765.7899),(4 842.2879),(5 884.12286),(6 910.58795),(7 923.4256),(8 927.07733),(9 946.8395),(10 958.8483),(11 973.3578),(12 993.82654),(13 988.89655),(14 1010.874),(15 1021.1988),(16 1016.06433),(17 1028.4348),(18 1026.4014),(19 1024.5992),(20 1028.7275),(21 1030.2451),(22 1030.8083),(23 1027.7594),(24 1024.6552),(25 1029.4604),(26 1028.3339),(27 1026.4695),(28 1027.7249),(29 1029.179),(30 1027.6566),(31 1019.9334),(32 1023.1571),(33 1041.3594),(34 1035.218),(35 1038.4779),(36 1031.1648),(37 1043.2427),(38 1046.6726),(39 1050.3096),(40 1049.4889),(41 1042.9858),(42 1055.939),(43 1062.2605),(44 1061.0033),(45 1043.0767),(46 1047.7512),(47 1041.6213),(48 1041.6179),(49 1054.8119),(50 1054.6366),(51 1048.8557),(52 1034.856),(53 1039.7721),(54 1034.681),(55 1027.9734),(56 1031.3949),(57 1027.9429),(58 1027.1002),(59 1033.6847),(60 1024.6835),(61 1019.27875),(62 1021.3907),(63 1022.8275),(64 1013.6089),(65 1018.6153),(66 1028.2334),(67 1040.9493),(68 1039.6345),(69 1029.6597),(70 1027.3835),(71 1031.3466),(72 1020.88513),(73 1013.2685),(74 1019.2535),(75 1015.17377),(76 1022.6677),(77 1030.3021),(78 1041.972),(79 1023.75385),
(1 444.07617),(2 654.38196),(3 763.0787),(4 825.0654),(5 860.31586),(6 891.63196),(7 909.0934),(8 927.1457),(9 936.5872),(10 948.8822),(11 959.86945),(12 959.2487),(13 964.00116),(14 965.3926),(15 972.16205),(16 981.96295),(17 980.81934),(18 986.2517),(19 987.7661),(20 997.58905),(21 999.8731),(22 1011.70374),(23 1010.80695),(24 999.83734),(25 999.8112),(26 1008.7415),(27 1005.0102),(28 998.94006),(29 997.94037),(30 992.9339),(31 994.3558),(32 996.9357),(33 996.68463),(34 997.1909),(35 1005.98834),(36 1001.61273),(37 1006.8177),(38 1008.9325),(39 1013.7796),(40 1011.08246),(41 1002.49457),(42 1000.75256),(43 1007.6015),(44 1004.7813),(45 1010.352),(46 1007.2609),(47 1009.1153),(48 1019.0229),(49 1013.9852),(50 1004.53015),(51 1010.8199),(52 1005.63635),(53 1008.69244),(54 1009.274),(55 1017.7613),(56 1026.6537),(57 1023.78894),(58 1020.2418),(59 1011.39886),(60 1009.8773),(61 1000.8884),(62 998.16046),(63 1006.6541),(64 1006.74304),(65 1010.24365),(66 1011.3227),(67 1011.355),(68 1006.24115),(69 1015.2763),(70 1016.5817),(71 1011.5453),(72 1005.6299),(73 1000.1781),(74 1016.00635),(75 1002.92773),(76 1002.7608),(77 1011.0754),(78 1011.17523),(79 998.602),
(1 430.3533),(2 638.1219),(3 735.51917),(4 792.5366),(5 825.6363),(6 853.38007),(7 870.81934),(8 889.5995),(9 895.973),(10 907.35596),(11 920.11554),(12 923.7297),(13 938.6506),(14 930.44324),(15 940.8506),(16 945.181),(17 951.80585),(18 953.96185),(19 955.39014),(20 961.2622),(21 969.1928),(22 973.6403),(23 970.9152),(24 967.2668),(25 960.6968),(26 960.09357),(27 962.3263),(28 964.44324),(29 959.0736),(30 968.3032),(31 959.635),(32 952.5517),(33 960.6748),(34 952.81726),(35 953.5578),(36 962.808),(37 959.9749),(38 970.395),(39 973.09863),(40 965.5625),(41 957.5532),(42 958.66974),(43 974.94525),(44 955.6523),(45 955.16077),(46 961.8749),(47 957.29626),(48 957.11444),(49 961.8315),(50 964.82153),(51 969.8786),(52 967.19244),(53 966.6201),(54 968.1791),(55 977.79266),(56 976.15375),(57 974.2214),(58 966.2243),(59 966.1397),(60 963.8681),(61 954.31903),(62 952.3212),(63 949.1177),(64 942.0026),(65 940.6405),(66 955.1406),(67 961.8103),(68 968.8528),(69 976.23865),(70 978.8137),(71 977.1614),(72 973.5699),(73 969.77545),(74 981.22626),(75 977.092),(76 971.3038),(77 969.06714),(78 968.0843),(79 978.26086),
(1 418.25815),(2 614.08057),(3 724.2345),(4 770.0039),(5 800.059),(6 832.6983),(7 850.91223),(8 860.224),(9 872.97833),(10 877.87585),(11 890.0206),(12 906.1602),(13 907.9547),(14 907.75134),(15 906.1068),(16 917.8385),(17 925.16113),(18 919.608),(19 922.42456),(20 935.0752),(21 936.3498),(22 941.00824),(23 932.9168),(24 932.43335),(25 930.9609),(26 940.2352),(27 938.9663),(28 941.40295),(29 950.26685),(30 947.50146),(31 946.8144),(32 950.0298),(33 947.45386),(34 952.20135),(35 957.0874),(36 959.3076),(37 952.7081),(38 957.9642),(39 960.5953),(40 962.94446),(41 956.4157),(42 968.35846),(43 970.2993),(44 965.2454),(45 966.9976),(46 958.5183),(47 953.6301),(48 942.8242),(49 947.58624),(50 947.28687),(51 949.7794),(52 948.4696),(53 956.43164),(54 954.90875),(55 956.43274),(56 954.9057),(57 954.5769),(58 941.4673),(59 940.77576),(60 940.949),(61 935.2709),(62 936.54755),(63 935.75977),(64 936.0559),(65 941.2077),(66 949.6751),(67 948.0299),(68 962.89764),(69 955.5986),(70 960.95197),(71 950.3602),(72 944.7018),(73 947.0363),(74 952.4324),(75 952.0051),(76 948.33923),(77 948.7479),(78 956.17114),(79 953.4615),
(1 410.84467),(2 602.4225),(3 703.8951),(4 759.80206),(5 793.1664),(6 824.9034),(7 846.44543),(8 856.0036),(9 858.37494),(10 869.15405),(11 878.8454),(12 886.0316),(13 898.42206),(14 912.6579),(15 923.3726),(16 926.3618),(17 928.3067),(18 931.06165),(19 923.1821),(20 928.7635),(21 930.5406),(22 942.2037),(23 935.2185),(24 924.10364),(25 928.74786),(26 940.7434),(27 944.84924),(28 941.0808),(29 939.03094),(30 935.75885),(31 928.3103),(32 931.79236),(33 933.3229),(34 933.6463),(35 938.3917),(36 935.21967),(37 925.6276),(38 928.0915),(39 930.50757),(40 945.82196),(41 950.9699),(42 942.53876),(43 941.43726),(44 941.1117),(45 948.9902),(46 950.38257),(47 954.93835),(48 951.5243),(49 957.10297),(50 959.2849),(51 954.2989),(52 953.0282),(53 947.76337),(54 948.9468),(55 943.9828),(56 943.6225),(57 934.87756),(58 938.66364),(59 934.9986),(60 946.0793),(61 944.8112),(62 950.54193),(63 953.23676),(64 955.38153),(65 961.20074),(66 954.4189),(67 954.6067),(68 952.03174),(69 955.41693),(70 960.9029),(71 960.8511),(72 949.4311),(73 950.09845),(74 957.66516),(75 963.8991),(76 949.712),(77 943.5541),(78 943.9612),(79 955.4738),
(1 402.16946),(2 575.49713),(3 676.00336),(4 736.37134),(5 766.59094),(6 792.6824),(7 814.0766),(8 817.9252),(9 832.59155),(10 847.7378),(11 849.5065),(12 847.23773),(13 850.8247),(14 856.4851),(15 862.8895),(16 865.7771),(17 876.84296),(18 878.63226),(19 878.5066),(20 892.84045),(21 893.1839),(22 885.70886),(23 890.8036),(24 889.94135),(25 892.88794),(26 897.33997),(27 893.3862),(28 881.8742),(29 892.80505),(30 901.1361),(31 895.2739),(32 892.3161),(33 897.3341),(34 888.8257),(35 890.53284),(36 892.94073),(37 893.7944),(38 909.426),(39 910.94775),(40 916.4281),(41 913.15173),(42 914.8186),(43 924.2175),(44 923.8823),(45 926.32935),(46 918.31854),(47 921.8638),(48 919.987),(49 923.3922),(50 919.077),(51 922.8901),(52 910.8223),(53 918.69775),(54 916.29834),(55 914.34485),(56 926.70715),(57 922.4302),(58 914.294),(59 902.19305),(60 907.09064),(61 906.1946),(62 909.66895),(63 910.0743),(64 906.38513),(65 910.32434),(66 903.326),(67 897.44946),(68 901.69714),(69 898.63586),(70 901.6238),(71 906.40015),(72 894.4633),(73 897.82825),(74 902.64307),(75 902.17914),(76 897.0256),(77 899.2892),(78 892.60156),(79 881.03503),
