1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 70975.15),(2 223554.67),(3 440536),(4 692990.44),(5 982536.8),(6 1286102.9),(7 1596502.6),(8 1893981.6),(9 2140689.5),(10 2378770.3),(11 2658207.8),(12 2940128),(13 3243970.8),(14 3594105.3),(15 3947717.8),(16 4333174),(17 4727620),(18 5159465),(19 5567538),(20 6021074.5),(21 6442915.5),(22 6870345.5),(23 7281324),(24 7669944),(25 8187238.5),(26 8637676),(27 9102051),(28 9611809),(29 10059185),(30 10547430),(31 11050407),(32 11540931),(33 11992876),(34 12432843),(35 12780568),(36 13187699),(37 13522301),(38 13800200),(39 13977712),(40 14171347),(41 14291421),(42 14469448),(43 14621256),(44 14826277),(45 15012043),(46 15207432),(47 15454704),(48 15699285),(49 15776795),(50 15897829),(51 15868308),(52 15812751),(53 15707023),(54 15634709),(55 15563667),(56 15473220),(57 15434701),(58 15254421),(59 15087695),(60 15061149),(61 15055271),(62 15116203),(63 15144837),(64 15229203),(65 15276720),(66 15411079),(67 15567953),(68 15820963),(69 16122405),(70 16458775),(71 16923116),(72 17452706),(73 18067502),(74 18814046),(75 19631930),(76 20558102),(77 21557230),(78 22616920),(79 23773334),
(1 2237.6604),(2 3297.155),(3 3903.0657),(4 4335.4717),(5 4510.3486),(6 4711.4375),(7 4842.6465),(8 5008.9487),(9 5059.098),(10 5233.105),(11 5185.5728),(12 5403.4756),(13 5460.1543),(14 5513.643),(15 5645.322),(16 5597.203),(17 5633.0747),(18 5734.5674),(19 5688.496),(20 5744.7524),(21 5717.7505),(22 5782.3374),(23 5813.4175),(24 5915.1523),(25 6017.6865),(26 6120.8877),(27 6086.0884),(28 6077.7524),(29 6252.664),(30 6297.3877),(31 6282.731),(32 6331.7725),(33 6195.3115),(34 6327.574),(35 6233.7305),(36 6275.81),(37 6258.6616),(38 6408.025),(39 6352.7896),(40 6438.0884),(41 6389.24),(42 6491.619),(43 6439.114),(44 6537.374),(45 6484.003),(46 6616.4463),(47 6546.9087),(48 6660.116),(49 6531.5146),(50 6672.794),(51 6618.9194),(52 6597.2515),(53 6665.3794),(54 6561.639),(55 6627.653),(56 6604.333),(57 6680.092),(58 6701.131),(59 6664.134),(60 6581.9673),(61 6569.5356),(62 6526.313),(63 6704.157),(64 6618.4805),(65 6674.8047),(66 6655.993),(67 6694.4067),(68 6629.705),(69 6671.989),(70 6670.362),(71 6708.6035),(72 6732.557),(73 6812.5234),(74 6631.807),(75 6772.929),(76 6641.4155),(77 6587.908),(78 6651.395),(79 6567.842),
(1 2232.6868),(2 3226.9067),(3 3791.607),(4 4175.4478),(5 4364.1035),(6 4519.2046),(7 4578.849),(8 4745.762),(9 4825.651),(10 4991.2397),(11 5040.8154),(12 5152.219),(13 5140.9233),(14 5274.779),(15 5397.933),(16 5335.105),(17 5414.139),(18 5494.643),(19 5420.1846),(20 5521.3774),(21 5525.8965),(22 5645.5933),(23 5664.1953),(24 5794.866),(25 5878.563),(26 5952.823),(27 5995.5425),(28 6001.6816),(29 6186.8413),(30 6163.6294),(31 6152.0615),(32 6272.5254),(33 6186.7563),(34 6240.9844),(35 6188.3755),(36 6311.9375),(37 6272.3413),(38 6405.31),(39 6388.8833),(40 6448.185),(41 6375.0864),(42 6482.329),(43 6378.8906),(44 6474.642),(45 6438.5127),(46 6531.18),(47 6420.564),(48 6508.679),(49 6451.517),(50 6564.4004),(51 6606.4526),(52 6644.5747),(53 6685.44),(54 6640.7544),(55 6704.82),(56 6601.846),(57 6672.5806),(58 6640.94),(59 6762.887),(60 6751.637),(61 6800.4097),(62 6711.668),(63 6751.8135),(64 6700.911),(65 6754.979),(66 6714.04),(67 6711.6274),(68 6671.68),(69 6754.146),(70 6729.1885),(71 6764.65),(72 6728.7754),(73 6796.3823),(74 6646.165),(75 6859.9873),(76 6729.7065),(77 6736.5723),(78 6755.5083),(79 6662.0767),
(1 2188.2542),(2 3239.6194),(3 3825.5842),(4 4304.3657),(5 4440.8633),(6 4562.1274),(7 4572.551),(8 4701.636),(9 4757.3203),(10 4941.118),(11 4948.1895),(12 5048.19),(13 5031.6606),(14 5075.3105),(15 5291.6733),(16 5285.1733),(17 5357.533),(18 5487.784),(19 5479.992),(20 5536.837),(21 5589.2197),(22 5668.333),(23 5746.561),(24 5880.9375),(25 5884.3833),(26 5952.632),(27 5930.3745),(28 5902.7305),(29 5981.6694),(30 5960.5986),(31 5969.852),(32 6078.5005),(33 6069.9087),(34 6105.9033),(35 6140.01),(36 6204.044),(37 6171.065),(38 6294.9473),(39 6277.3394),(40 6347.5103),(41 6286.547),(42 6399),(43 6252.9614),(44 6399.9287),(45 6334.3457),(46 6398.787),(47 6273.2544),(48 6375.053),(49 6273.8276),(50 6409.158),(51 6423.052),(52 6426.668),(53 6498.769),(54 6401.3677),(55 6430.6763),(56 6348.5317),(57 6379.8047),(58 6366.4365),(59 6428.724),(60 6446.5903),(61 6511.7104),(62 6422.0835),(63 6459.9688),(64 6414.1997),(65 6444.418),(66 6452.1924),(67 6509.2803),(68 6482.529),(69 6545.762),(70 6513.2827),(71 6529.3223),(72 6426.383),(73 6428.697),(74 6339.999),(75 6463.791),(76 6345.6963),(77 6307.262),(78 6320.232),(79 6293.1567),
(1 2122.943),(2 3119.597),(3 3682.045),(4 4146.7744),(5 4340.8003),(6 4502.138),(7 4536.734),(8 4681.6025),(9 4729.7285),(10 4882.7524),(11 4918.2866),(12 5079.7715),(13 5100.207),(14 5166.586),(15 5291.495),(16 5307.661),(17 5371.196),(18 5518.0107),(19 5512.612),(20 5590.081),(21 5579.056),(22 5666.9087),(23 5729.943),(24 5881.306),(25 5885.5034),(26 5884.2803),(27 5831.126),(28 5804.419),(29 5837.46),(30 5803.0366),(31 5845.2246),(32 5941.9624),(33 5845.0205),(34 5929.244),(35 5918.3096),(36 5959.5205),(37 5962.533),(38 6159.765),(39 6065.481),(40 6146.91),(41 6083.167),(42 6132.874),(43 6045.731),(44 6216.1543),(45 6159.9546),(46 6206.3604),(47 6194.7646),(48 6312.5815),(49 6267.616),(50 6417.898),(51 6383.8936),(52 6360.013),(53 6386.905),(54 6347.8247),(55 6406.6855),(56 6350.2266),(57 6394.5503),(58 6410.944),(59 6442.1875),(60 6382.253),(61 6417.0884),(62 6368.978),(63 6449.1885),(64 6409.134),(65 6423.988),(66 6341.4395),(67 6342.138),(68 6308.5713),(69 6369.684),(70 6337.497),(71 6318.5747),(72 6223.5933),(73 6194.7563),(74 6080.9204),(75 6300.212),(76 6188.768),(77 6162.989),(78 6245.0645),(79 6309.4355),
(1 2127.7534),(2 3043.0112),(3 3579.2458),(4 3982.5588),(5 4140.8774),(6 4343.869),(7 4398.6436),(8 4530.446),(9 4566.9414),(10 4734.7383),(11 4752.8936),(12 4925.4385),(13 4944.887),(14 5055.028),(15 5216.944),(16 5234.5635),(17 5306.2925),(18 5438.736),(19 5378.999),(20 5459.6987),(21 5452.7803),(22 5497.972),(23 5539.432),(24 5643.928),(25 5666.3877),(26 5704.9688),(27 5618.531),(28 5659.575),(29 5661.4263),(30 5678.519),(31 5688.76),(32 5833.321),(33 5802.5454),(34 5912.3506),(35 5902.48),(36 6030.007),(37 5975.923),(38 6145.913),(39 6072.283),(40 6156.0815),(41 6078.9917),(42 6156.676),(43 6102.6563),(44 6209.664),(45 6179.407),(46 6173.1133),(47 6164.4395),(48 6291.8877),(49 6271.972),(50 6403.425),(51 6397.5117),(52 6372.657),(53 6407.304),(54 6337.798),(55 6422.042),(56 6343.654),(57 6352.715),(58 6346.074),(59 6319.433),(60 6319.92),(61 6366.6978),(62 6317.167),(63 6369.8564),(64 6300.555),(65 6363.5146),(66 6310.001),(67 6317.2554),(68 6317.011),(69 6362.475),(70 6295.023),(71 6253.086),(72 6163.906),(73 6155.099),(74 6083.8496),(75 6296.852),(76 6160.511),(77 6165.5435),(78 6348.1885),(79 6319.231),
(1 2108.2322),(2 2993.3396),(3 3486.169),(4 3861.596),(5 4012.2183),(6 4250.009),(7 4292.6587),(8 4421.162),(9 4461.6904),(10 4611.1035),(11 4625.41),(12 4814.9004),(13 4835.744),(14 4946.178),(15 5183.2925),(16 5152.1455),(17 5163.5137),(18 5230.7573),(19 5226.6367),(20 5293.9346),(21 5289.216),(22 5369.42),(23 5396.1265),(24 5532.7466),(25 5624.297),(26 5720.607),(27 5635.3257),(28 5644.292),(29 5693.1763),(30 5648.3125),(31 5652.6494),(32 5749.2607),(33 5691.1494),(34 5762.9004),(35 5728.2305),(36 5783.3125),(37 5771.7817),(38 5904.8315),(39 5804.18),(40 5865.8926),(41 5827.493),(42 5880.7407),(43 5872.7705),(44 5975.697),(45 5916.26),(46 5984.152),(47 5951.99),(48 6070.836),(49 6004.0386),(50 6158.2617),(51 6096.2695),(52 6117.1494),(53 6161.014),(54 6030.045),(55 6023.703),(56 5931.366),(57 5978.988),(58 5892.194),(59 5914.4697),(60 5896.3457),(61 5966.093),(62 5928.6055),(63 5986.338),(64 5962.0195),(65 5945.2627),(66 5958.9956),(67 6057.2656),(68 6061.5596),(69 6066.177),(70 6023.958),(71 6041.881),(72 5944.0723),(73 5996.2344),(74 5892.3804),(75 6133.214),(76 6027.218),(77 6022.0137),(78 6076.853),(79 6078.4614),
(1 2052.602),(2 2953.214),(3 3449.8728),(4 3795.2998),(5 3963.7773),(6 4177.106),(7 4283.5586),(8 4383.7334),(9 4472.3145),(10 4614.082),(11 4617.0103),(12 4796.1304),(13 4784.7383),(14 4832.854),(15 5044.379),(16 5044.9116),(17 5082.4297),(18 5171.1875),(19 5203.1025),(20 5250.858),(21 5192.5215),(22 5236.806),(23 5263.9375),(24 5369.422),(25 5500.4873),(26 5561.534),(27 5566.451),(28 5598.511),(29 5597.3867),(30 5578.453),(31 5544.4253),(32 5650.223),(33 5573.105),(34 5664.3247),(35 5631.3784),(36 5700.4106),(37 5670.653),(38 5761.9375),(39 5711.4795),(40 5826.9785),(41 5718.4404),(42 5743.7813),(43 5692.0376),(44 5755.1626),(45 5679.2954),(46 5705.757),(47 5680.7676),(48 5795.3623),(49 5720.927),(50 5850.2046),(51 5761.4365),(52 5738.326),(53 5803.1123),(54 5774.0176),(55 5768.5806),(56 5704.2295),(57 5779.6055),(58 5738.406),(59 5760.8076),(60 5769.647),(61 5880.483),(62 5823.9414),(63 5902.9434),(64 5814.206),(65 5815.2324),(66 5829.283),(67 5984.507),(68 5959.701),(69 5959.143),(70 5916.5054),(71 5899.416),(72 5805.9404),(73 5767.8574),(74 5691.603),(75 5826.6704),(76 5789.2183),(77 5850.75),(78 5925.943),(79 5906.626),
(1 2033.4896),(2 2856.564),(3 3361.528),(4 3733.927),(5 3913.0825),(6 4126.8857),(7 4188.6455),(8 4350.111),(9 4390.2354),(10 4583.728),(11 4573.5),(12 4682.0503),(13 4721.9824),(14 4735.0146),(15 4849.733),(16 4896.325),(17 4910.41),(18 5007.0522),(19 4974.6924),(20 5063.053),(21 5007.468),(22 5075.632),(23 5142.9136),(24 5254.9043),(25 5284.5967),(26 5360.173),(27 5299.022),(28 5295.6855),(29 5359.1816),(30 5315.8345),(31 5336.514),(32 5440.912),(33 5407.2554),(34 5510.7485),(35 5451.4653),(36 5541.4614),(37 5517.915),(38 5608.0386),(39 5563.194),(40 5631.191),(41 5625.629),(42 5734.489),(43 5673.5444),(44 5719.5464),(45 5636.551),(46 5746.174),(47 5636.0913),(48 5784.2466),(49 5739.387),(50 5830.9043),(51 5808.1753),(52 5838.5684),(53 5924.982),(54 5925.101),(55 5962.617),(56 5846.669),(57 5913.5327),(58 5876.754),(59 5847.9404),(60 5774.8955),(61 5806.7095),(62 5699.5615),(63 5785.201),(64 5699.582),(65 5718.7446),(66 5714.243),(67 5757.7705),(68 5732.96),(69 5759.9365),(70 5702.1416),(71 5753.562),(72 5770.6216),(73 5811.614),(74 5731.4434),(75 5937.519),(76 5854.977),(77 5875.1055),(78 5936.1904),(79 5905.5815),
(1 2043.1499),(2 2903.336),(3 3340.311),(4 3677.9104),(5 3859.4307),(6 4025.5498),(7 4131.4785),(8 4263.6694),(9 4322.5366),(10 4495.247),(11 4489.767),(12 4643.289),(13 4638.9087),(14 4665.072),(15 4810.751),(16 4802.966),(17 4836.54),(18 4977.9614),(19 4980.466),(20 5047.884),(21 5053.577),(22 5133.487),(23 5171.875),(24 5289.095),(25 5338.006),(26 5341.9785),(27 5312.5137),(28 5341.246),(29 5429.313),(30 5390.218),(31 5383.8857),(32 5530.081),(33 5435.4136),(34 5479.922),(35 5432.6387),(36 5477.2153),(37 5396.929),(38 5526.2046),(39 5453.8433),(40 5513.7646),(41 5473.4097),(42 5620.981),(43 5583.2124),(44 5591.2344),(45 5508.7783),(46 5548.594),(47 5446.5957),(48 5553.6943),(49 5493.9697),(50 5665.995),(51 5585.9907),(52 5589.3906),(53 5687.669),(54 5659.1885),(55 5700.149),(56 5644.7603),(57 5729.3267),(58 5675.863),(59 5699.67),(60 5644.8066),(61 5719.4746),(62 5640.329),(63 5712.1104),(64 5671.5747),(65 5682.8223),(66 5694.37),(67 5685.698),(68 5666.912),(69 5658.8013),(70 5590.7593),(71 5662.3833),(72 5624.901),(73 5699.6885),(74 5603.971),(75 5818.7085),(76 5711.141),(77 5750.067),(78 5765.983),(79 5766.087),
(1 2018.3037),(2 2863.8813),(3 3311.4949),(4 3648.134),(5 3840.4453),(6 4003.4077),(7 4075.8188),(8 4205.439),(9 4282.0884),(10 4410.156),(11 4437.3247),(12 4562.8867),(13 4542.4775),(14 4620.4805),(15 4799.669),(16 4805.1587),(17 4902.0874),(18 5031.8413),(19 5071.683),(20 5109.652),(21 5145.9844),(22 5277.1436),(23 5296.5293),(24 5388.2437),(25 5378.4814),(26 5501.491),(27 5462.7866),(28 5513.8066),(29 5611.299),(30 5575.3804),(31 5526.4517),(32 5603.4736),(33 5509.339),(34 5558.0615),(35 5489.961),(36 5485.7227),(37 5463.38),(38 5540.855),(39 5481.1123),(40 5548.4365),(41 5440.907),(42 5476.15),(43 5447.7593),(44 5486.397),(45 5402.259),(46 5466.3237),(47 5347.353),(48 5379.0156),(49 5343.042),(50 5489.188),(51 5491.9717),(52 5454.4497),(53 5543.4775),(54 5446.748),(55 5518.684),(56 5519.432),(57 5575.6533),(58 5535.4136),(59 5544.034),(60 5512.077),(61 5553.76),(62 5532.9507),(63 5621.5156),(64 5563.531),(65 5616.5464),(66 5558.5513),(67 5548.4907),(68 5507.7446),(69 5527.686),(70 5433.108),(71 5433.2646),(72 5435.129),(73 5408.092),(74 5267.534),(75 5419.2793),(76 5326.669),(77 5337.6133),(78 5411.4766),(79 5380.9814),
(1 2011.197),(2 2843.8752),(3 3316.166),(4 3626.4604),(5 3787.5793),(6 3972.3977),(7 4070.8896),(8 4222.958),(9 4272.6533),(10 4405.7363),(11 4396.6694),(12 4528.1797),(13 4538.201),(14 4552.4375),(15 4613.2275),(16 4614.8755),(17 4681.284),(18 4793.5454),(19 4747.116),(20 4726.417),(21 4680.684),(22 4743.7905),(23 4785.86),(24 4932.939),(25 4985.2773),(26 5055.185),(27 4999.6313),(28 5023.0366),(29 5068.922),(30 5050.861),(31 5046.8057),(32 5085.424),(33 5000.7026),(34 5060.7188),(35 5012.818),(36 5066.998),(37 5021.982),(38 5093.608),(39 5082.336),(40 5228.8),(41 5153.0547),(42 5212.713),(43 5169.2813),(44 5318.076),(45 5266.0034),(46 5325.431),(47 5255.0283),(48 5340.9014),(49 5296.9937),(50 5369.826),(51 5355.0664),(52 5265.761),(53 5348.2314),(54 5293.565),(55 5374.333),(56 5351.22),(57 5356.6426),(58 5274.895),(59 5331.496),(60 5291.476),(61 5346.8677),(62 5312.707),(63 5389.884),(64 5370.818),(65 5372.585),(66 5304.3306),(67 5373.2583),(68 5307.5366),(69 5337.7183),(70 5300.9463),(71 5306.594),(72 5246.9663),(73 5323.4937),(74 5217.1563),(75 5330.6514),(76 5221.1616),(77 5286.2056),(78 5296.1934),(79 5240.686),
(1 1974.708),(2 2766.5134),(3 3199.5818),(4 3538.8977),(5 3720.2896),(6 3908.4006),(7 3963.4358),(8 4083.509),(9 4150.1255),(10 4262.1235),(11 4247.651),(12 4407.56),(13 4385.65),(14 4449.8306),(15 4538.492),(16 4478.7256),(17 4533.235),(18 4638.3545),(19 4606.027),(20 4611.1353),(21 4574.5283),(22 4688.996),(23 4714.6426),(24 4849.572),(25 4864.7974),(26 4937.4194),(27 4891.4175),(28 4919.0103),(29 4995.549),(30 4959.5625),(31 4924.826),(32 4986.916),(33 4958.7344),(34 4983.8174),(35 4934.2837),(36 4980.314),(37 4946.2837),(38 5072.949),(39 5037.828),(40 5107.8105),(41 5057.251),(42 5143.923),(43 5081.38),(44 5210.653),(45 5129.684),(46 5223.1577),(47 5179.614),(48 5315.151),(49 5249.336),(50 5341.688),(51 5246.9985),(52 5245.954),(53 5289.7397),(54 5228.591),(55 5243.3867),(56 5165.1284),(57 5224.006),(58 5207.228),(59 5249.7363),(60 5204.0195),(61 5267.1323),(62 5169.466),(63 5271.1875),(64 5235.773),(65 5262.897),(66 5220.4688),(67 5292.4644),(68 5203.3174),(69 5254.981),(70 5285.3896),(71 5269.291),(72 5240.84),(73 5317.6587),(74 5265.6504),(75 5420.6807),(76 5307.7783),(77 5327.006),(78 5404.7256),(79 5373.2114),
(1 1981.1508),(2 2763.6885),(3 3178.714),(4 3501.7983),(5 3675.784),(6 3852.567),(7 3901.0989),(8 4009.7483),(9 4072.678),(10 4212.909),(11 4203.7383),(12 4360.508),(13 4364.192),(14 4376.9336),(15 4524.5337),(16 4501.313),(17 4562.6533),(18 4638.7427),(19 4659.8643),(20 4681.3203),(21 4651.5044),(22 4764.213),(23 4798.681),(24 4903.6035),(25 4955.6885),(26 4978.1675),(27 4948.5117),(28 4986.244),(29 5048.904),(30 5009.869),(31 4991.003),(32 5023.072),(33 4958.7964),(34 5037.098),(35 4968.8022),(36 5010.791),(37 4990.058),(38 5115.62),(39 5052.4736),(40 5140.3555),(41 5088.775),(42 5128.4785),(43 5105.6997),(44 5168.959),(45 5066.4404),(46 5159.4995),(47 5122.946),(48 5204.913),(49 5098.1934),(50 5199.643),(51 5187.3125),(52 5203.9575),(53 5282.6577),(54 5237.0415),(55 5278.7593),(56 5239.522),(57 5281.2803),(58 5238.7363),(59 5246.2637),(60 5201.483),(61 5236.776),(62 5182.136),(63 5261.4546),(64 5268.2007),(65 5284.434),(66 5271.701),(67 5318.884),(68 5229.8374),(69 5220.2627),(70 5222.7505),(71 5217.308),(72 5197.052),(73 5194.247),(74 5140.37),(75 5303.758),(76 5177.6924),(77 5225.8804),(78 5242.506),(79 5227.7783),
(1 1938.5255),(2 2697.4763),(3 3096.8599),(4 3391.2373),(5 3549.7986),(6 3701.2427),(7 3801.9966),(8 3883.2563),(9 3886.0088),(10 4043.8628),(11 4014.4468),(12 4140.602),(13 4211.517),(14 4240.555),(15 4370.4336),(16 4326.094),(17 4421.872),(18 4486.8496),(19 4438.9756),(20 4519.1333),(21 4466.9326),(22 4564.319),(23 4578.8965),(24 4723.218),(25 4767.9316),(26 4857.5493),(27 4823.2744),(28 4834.7197),(29 4874.7837),(30 4843.8657),(31 4805.6396),(32 4812.9575),(33 4777.5337),(34 4820.4004),(35 4783.148),(36 4808.1597),(37 4822.7803),(38 4952.061),(39 4919.645),(40 4999.1797),(41 4952.781),(42 4993.021),(43 4969.881),(44 5064.6777),(45 5030.9556),(46 5054.177),(47 5003.4194),(48 5096.9004),(49 5067.3955),(50 5172.0254),(51 5179.0864),(52 5153.9224),(53 5248.322),(54 5145.959),(55 5207.123),(56 5155.834),(57 5227.687),(58 5166.4263),(59 5164.3213),(60 5107.465),(61 5117.7246),(62 5099.5244),(63 5142.912),(64 5120.497),(65 5131.887),(66 5101.0903),(67 5194.6006),(68 5076.703),(69 5139.016),(70 5084.168),(71 5090.199),(72 5054.366),(73 5102.463),(74 4996.6045),(75 5187.6357),(76 5065.9595),(77 5064.1343),(78 5114.1636),(79 5092.8906),
(1 1909.4927),(2 2624.8926),(3 3036.3662),(4 3315.8296),(5 3467.7024),(6 3646.5798),(7 3723.2014),(8 3833.996),(9 3845.779),(10 3969.758),(11 3931.9602),(12 4080.631),(13 4125.2026),(14 4104.7827),(15 4236.67),(16 4202.1387),(17 4294.295),(18 4416.0713),(19 4434.9487),(20 4498.0654),(21 4474.3174),(22 4553.23),(23 4595.437),(24 4746.369),(25 4740.201),(26 4784.777),(27 4772.1523),(28 4810.6987),(29 4851.44),(30 4841.9043),(31 4812.882),(32 4853.244),(33 4756.3037),(34 4802.646),(35 4797.684),(36 4830.3184),(37 4798.919),(38 4824.242),(39 4784.012),(40 4819.869),(41 4765.615),(42 4828.2227),(43 4790.8774),(44 4853.9697),(45 4783.688),(46 4828.6255),(47 4794.3276),(48 4901.8374),(49 4863.615),(50 4978.063),(51 4973.7544),(52 4997.3438),(53 5063.1226),(54 5042.5957),(55 5056.381),(56 5007.001),(57 4975.7427),(58 4981.54),(59 5008.955),(60 4972.623),(61 5007.4443),(62 4963.8345),(63 5009.191),(64 5010.9224),(65 5018.5464),(66 5020.1113),(67 5056.7676),(68 5070.3013),(69 5103.403),(70 5098.9844),(71 5152.8247),(72 5098.275),(73 5146.316),(74 5051.265),(75 5162.569),(76 5100.5386),(77 5061.8027),(78 5080.6206),(79 5065.4253),
(1 1853.3708),(2 2599.7732),(3 2993.7756),(4 3294.495),(5 3402.5425),(6 3539.421),(7 3651.7073),(8 3760.5764),(9 3809.4966),(10 3873.0896),(11 3840.6274),(12 3952.8462),(13 4039.7563),(14 4047.3),(15 4152.375),(16 4167.0566),(17 4269.736),(18 4348.294),(19 4275.294),(20 4298.166),(21 4280.5054),(22 4349.131),(23 4363.123),(24 4484.074),(25 4481.5635),(26 4544.5938),(27 4539.464),(28 4613.161),(29 4710.637),(30 4701.294),(31 4693.6406),(32 4727.5933),(33 4653.726),(34 4727.117),(35 4661.7466),(36 4675.9526),(37 4703.0464),(38 4752.601),(39 4701.8687),(40 4776.4155),(41 4699.421),(42 4743.8223),(43 4678.9956),(44 4754.4077),(45 4678.275),(46 4737.622),(47 4710.6763),(48 4844.856),(49 4781.2173),(50 4856.898),(51 4795.7734),(52 4822.1885),(53 4864.5825),(54 4802.917),(55 4816.742),(56 4752.49),(57 4789.1587),(58 4755.1753),(59 4802.555),(60 4790.739),(61 4851.013),(62 4852.6855),(63 4931.6343),(64 4913.075),(65 4968.1465),(66 4925.457),(67 5000.362),(68 4952.7046),(69 5026.6206),(70 4991.398),(71 5012.02),(72 4966.549),(73 4958.165),(74 4881.0615),(75 5005.3887),(76 4928.3955),(77 4904.227),(78 4988.3643),(79 4888.8447),
