q, (a, b, c)
218.5, (12012.701159903985,2.858358124045432,163.83873141914796,1.0867546281582936)
219.5, (11490.49842291001,2.9411464159385825,319.61141093690776,1.0872780543173317)
220.5, (11360.607544717977,2.7476657455804383,63.577775427312616,1.086890847782631)
221.5, (10978.910220891936,2.7420569210896417,39.98829313174607,1.0881093613038242)
222.5, (10534.828534463504,2.846485751590094,270.325788850737,1.0882255126352656)
223.5, (10157.938009613232,2.714389553194783,144.84048147507315,1.0874701928655364)
224.5, (9574.761813720394,2.927453514161475,480.52887187112356,1.089708069149363)
225.5, (9258.896407857246,2.8105639423703956,335.0131025557363,1.089468900631705)
226.5, (8877.01606623075,2.6833211143079905,252.9276157044068,1.9106704248425248)
227.5, (8574.765070931753,2.9199286645933173,495.37739925779005,1.0918116174494368)
228.5, (8514.853270877671,2.661480718033186,182.40918282980695,1.0908745880360886)
229.5, (7933.5344452832305,2.9428126757078568,529.6773399381043,1.0907098692617523)
230.5, (7603.894998478739,2.833149376566311,445.19711253209067,1.0918683798281206)
231.5, (7382.47395752699,2.771353890006134,423.62934456538136,1.0919948203227685)
232.5, (7076.45091336257,2.8167736587725734,432.4207216239169,1.0932862997229915)
233.5, (6972.470835044674,2.6341242731994847,248.59740737809867,1.0926244678512254)
234.5, (6510.767403910073,2.8440280782176095,502.3493719573271,1.0929214060523955)
235.5, (6267.090927644655,2.6799956225190695,347.2111934540571,1.0940489542291025)
236.5, (5995.534130889988,2.6652238915645667,384.8450130539692,0.9062277666964068)
237.5, (5707.895247026471,2.8572252586327305,480.52700204391044,0.9050256984572733)
238.5, (5502.208670644779,2.6371948143905506,343.2764132533828,0.9050441790042576)
239.5, (5138.684098924224,2.8028219667302334,534.3204162983106,0.9050701553723782)
240.5, (4910.135916059137,2.754221540437854,435.5216605335908,0.9039242270425915)
241.5, (4805.219490775069,2.8013759113891776,461.4472702089964,0.9039985760173391)
242.5, (4426.248044047297,2.838488683626472,528.7011554101302,0.9048428660962599)
243.5, (4309.971004734806,2.735894126870865,428.58128397690905,0.9021294110062502)
244.5, (4083.806010344529,2.8619401878910677,520.1331016618028,0.9025569684075152)
245.5, (3841.4047977868718,2.7007043047952797,429.97210742408146,0.9017737763985827)
246.5, (3701.3935311549535,2.787307673169561,471.7304116334097,0.9024008946769889)
247.5, (3436.313055416426,2.8852676755754896,500.5378441204548,0.9020351431030187)
248.5, (3312.5515590232944,2.861641576595991,488.42577176614884,0.899686136080284)
249.5, (3227.043399362964,2.8615911258222964,452.3382218406511,0.9009846972172807)
250.5, (2957.3407006841485,2.758617072665762,416.4014326797996,0.9006295881418241)
251.5, (2885.8161638109736,2.836140183289248,461.91294266023283,0.9000180253714181)
252.5, (2650.6710608553867,2.7956614550498293,394.4436565635029,0.8984519486907643)
253.5, (2541.3502449794883,2.9393615663189405,453.7963276174396,0.8978540138139272)
254.5, (2410.100992880426,2.842410613830437,414.98442016339743,0.8986339902194741)
255.5, (2232.02591072896,3.1258523442207933,458.6666006821719,0.8975005448401496)
256.5, (2085.513294162847,3.0701073362628,471.9582171755308,0.897886124892021)
257.5, (1964.0627905404963,2.898690932344043,386.129625434303,0.896576267603804)
258.5, (1939.9160410436664,2.869927711782583,382.3328222674412,0.8976712790692128)
259.5, (1765.1830955616344,2.9937708270136625,384.08333496267204,0.897654312990195)
260.5, (1729.9115888333154,2.854006522469701,342.61537877707536,0.8965273356222497)
261.5, (1614.5672888971103,2.9605658268161155,356.9056563112783,0.8960135306752899)
262.5, (1495.007852907825,2.9889223165551106,337.6974449582683,0.8951472222340383)
263.5, (1431.120477626299,2.9519324570463854,338.56675135350224,0.8938700510925764)
264.5, (1336.3263497675255,2.8096104178475523,300.4915547479667,0.8962283441444854)
265.5, (1289.672048228319,3.0497028461718716,320.8628021614444,0.89516655668367)
266.5, (1173.5298404085365,3.0263021954147784,305.7174869956635,0.8932232832012588)
267.5, (1095.435983564594,3.0193970068681426,291.35788564547414,0.8943309377457461)
268.5, (1056.1781538699183,2.9500954172547367,284.9754044806436,0.8931089574495946)
269.5, (1027.4485728244044,2.855403610650201,243.92611032625362,0.8924591761981076)
270.5, (954.7556725017522,3.1014584499876277,288.3576822751693,0.8921186894854322)
271.5, (890.1596791602192,2.9030718701106792,233.77042388572386,0.8918566630105469)
272.5, (834.6484062064306,2.7945142655638615,237.7406799141459,0.893160611372387)
273.5, (800.8041216479935,3.0135321361474063,245.42369071652254,0.8922064368928768)
274.5, (780.8623917918895,2.8940894053185984,224.0753238354128,0.8902026293485608)
275.5, (766.4333730803186,2.675584675358684,206.25475675062867,0.8901358359819098)
276.5, (704.8380121590567,2.9480133759591967,214.83773256645085,0.8889841688731143)
277.5, (709.8349318273551,2.6894100030377124,195.00005169115644,0.8873803342311031)
278.5, (671.1682638167642,2.6020077096843606,181.5586459677708,0.8882600219680721)
279.5, (643.1602295736805,2.690180122634623,183.85047930896076,0.8881365171051363)
