1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 6859.155),(2 7692.1685),(3 9006.535),(4 8246.295),(5 10473.859),(6 9520.704),(7 11609.544),(8 11679.84),(9 12574.242),(10 9658.056),(11 13363.03),(12 12984.419),(13 13499.733),(14 12129.117),(15 13743.505),(16 12235.147),(17 13778.961),(18 13341.267),(19 13713.086),(20 10312.2295),(21 13945.075),(22 13784.8545),(23 14455.29),(24 13267.653),(25 14993.368),(26 13592.362),(27 15152.852),(28 14921.802),(29 15386.362),(30 12028.961),(31 15515.753),(32 15209.169),(33 15650.648),(34 14210.77),(35 15623.341),(36 13975.829),(37 15435.133),(38 14948.403),(39 15103.97),(40 11712.481),(41 15568.024),(42 15436.672),(43 16300.602),(44 15160.677),(45 16945.6),(46 15656),(47 17430.756),(48 17043.852),(49 17741.646),(50 14495.198),(51 17977.826),(52 17603.178),(53 18155.35),(54 16618.295),(55 18215.41),(56 16690.467),(57 18005.012),(58 17493.283),(59 17939.615),(60 14256.958),(61 17927.725),(62 17719.85),(63 18409.416),(64 17301.281),(65 19036.547),(66 17689.244),(67 19374.404),(68 19091.746),(69 19742.744),(70 16469.79),(71 20036.768),(72 19828.02),(73 20393.064),(74 18992.818),(75 20583.709),(76 19097.756),(77 20560.6),(78 20033.62),(79 20388.973),
(1 147.62549),(2 175.81865),(3 186.88544),(4 192.56454),(5 195.27528),(6 197.67476),(7 198.72485),(8 200.23288),(9 202.60739),(10 190.75609),(11 204.63806),(12 204.33777),(13 205.14462),(14 206.22845),(15 205.8828),(16 206.27563),(17 205.56226),(18 205.48882),(19 205.84482),(20 192.86473),(21 206.48132),(22 206.10309),(23 206.75668),(24 207.71169),(25 207.70789),(26 208.33304),(27 207.70676),(28 207.49623),(29 208.1986),(30 195.59454),(31 208.9292),(32 208.8032),(33 209.34576),(34 210.57877),(35 210.45131),(36 211.136),(37 210.49934),(38 210.3162),(39 210.85495),(40 198.40895),(41 211.46649),(42 211.00188),(43 211.49243),(44 212.62686),(45 212.35732),(46 212.75479),(47 211.61989),(48 211.77654),(49 212.22778),(50 199.90726),(51 212.60466),(52 212.21219),(53 212.77962),(54 213.93321),(55 213.49818),(56 214.1457),(57 213.30295),(58 213.42436),(59 214.23212),(60 202.29164),(61 214.66432),(62 214.22525),(63 214.38301),(64 215.25925),(65 215.04152),(66 215.18953),(67 214.48799),(68 214.2958),(69 214.68831),(70 203.01822),(71 214.90486),(72 214.54999),(73 215.21762),(74 216.1069),(75 215.81987),(76 216.14082),(77 215.17616),(78 215.04997),(79 215.86702),
(1 146.93974),(2 175.20604),(3 185.82852),(4 191.24434),(5 194.31854),(6 196.61256),(7 197.59795),(8 199.37964),(9 201.39713),(10 189.73486),(11 203.26086),(12 203.3391),(13 203.63222),(14 204.88148),(15 204.54811),(16 205.17767),(17 204.45401),(18 204.5392),(19 204.72116),(20 191.74434),(21 205.18056),(22 205.27213),(23 205.86006),(24 206.819),(25 206.54994),(26 207.08633),(27 206.3949),(28 206.52504),(29 206.6553),(30 194.13097),(31 207.23409),(32 207.12993),(33 207.5696),(34 208.73044),(35 208.7968),(36 209.46417),(37 208.83492),(38 209.11417),(39 209.35915),(40 197.3091),(41 209.92505),(42 209.70924),(43 210.08655),(44 210.62636),(45 210.52168),(46 210.99084),(47 210.34662),(48 210.28667),(49 210.53442),(50 198.71494),(51 211.01349),(52 211.0004),(53 211.35974),(54 212.60208),(55 212.30833),(56 212.84874),(57 212.16502),(58 212.17586),(59 212.4774),(60 201.0883),(61 213.14876),(62 213.04349),(63 212.96703),(64 213.82083),(65 213.62154),(66 213.80411),(67 212.76408),(68 212.88643),(69 212.778),(70 201.51834),(71 213.31831),(72 213.5199),(73 213.65724),(74 214.88763),(75 214.86523),(76 215.14165),(77 214.44485),(78 214.51865),(79 214.63751),
(1 146.6052),(2 175.36702),(3 186.02777),(4 191.6535),(5 194.26183),(6 196.73228),(7 197.67496),(8 199.25511),(9 201.26723),(10 189.76321),(11 203.48059),(12 203.42554),(13 204.05154),(14 205.04674),(15 204.88509),(16 205.42598),(17 204.5854),(18 204.49593),(19 204.85599),(20 192.00662),(21 205.1793),(22 205.17337),(23 205.49394),(24 206.53798),(25 206.2827),(26 206.80113),(27 206.16417),(28 206.07036),(29 206.51746),(30 194.09047),(31 207.26813),(32 207.24217),(33 207.74844),(34 208.76872),(35 208.74458),(36 209.43105),(37 208.7742),(38 208.92494),(39 209.27098),(40 196.80666),(41 209.61795),(42 209.61618),(43 210.04207),(44 211.08832),(45 210.7418),(46 211.03784),(47 210.11208),(48 210.13348),(49 210.24117),(50 198.39355),(51 210.80782),(52 210.68472),(53 211.3332),(54 212.35178),(55 212.05307),(56 212.4743),(57 211.99445),(58 212.0001),(59 212.21736),(60 200.6213),(61 212.70187),(62 212.54758),(63 212.88911),(64 213.54625),(65 213.2174),(66 213.715),(67 212.99454),(68 212.97893),(69 212.73834),(70 201.34044),(71 213.25739),(72 213.18709),(73 213.51978),(74 214.64546),(75 214.44742),(76 214.88414),(77 214.23398),(78 214.52864),(79 214.5784),
(1 146.31386),(2 175.25969),(3 185.74068),(4 191.19069),(5 193.80621),(6 196.36774),(7 197.48917),(8 199.18117),(9 201.26425),(10 189.79192),(11 203.39449),(12 203.34749),(13 203.6512),(14 204.93388),(15 204.6134),(16 204.92145),(17 204.1306),(18 204.3292),(19 204.83992),(20 191.9582),(21 205.2883),(22 205.04274),(23 205.10594),(24 206.20436),(25 205.8585),(26 206.63782),(27 205.78119),(28 206.0407),(29 206.1699),(30 193.97073),(31 206.82115),(32 206.99184),(33 207.34903),(34 208.5431),(35 208.53993),(36 209.20697),(37 208.42906),(38 208.78323),(39 208.97585),(40 196.99261),(41 209.6378),(42 209.4578),(43 209.56732),(44 210.46977),(45 210.14127),(46 210.78668),(47 209.67712),(48 210.14455),(49 210.01811),(50 198.03474),(51 210.55666),(52 210.53966),(53 210.90213),(54 212.0128),(55 211.79884),(56 212.15929),(57 211.51962),(58 211.96693),(59 212.36185),(60 200.57419),(61 212.47449),(62 212.27),(63 212.31126),(64 213.37096),(65 213.03821),(66 213.46771),(67 212.35922),(68 212.43088),(69 212.61917),(70 201.21773),(71 212.77602),(72 212.73598),(73 213.22182),(74 214.25844),(75 214.06577),(76 214.51572),(77 213.65332),(78 213.97192),(79 214.09732),
(1 146.41643),(2 174.73735),(3 184.85356),(4 190.60033),(5 192.79388),(6 195.59177),(7 196.60959),(8 198.88312),(9 200.91753),(10 189.03557),(11 202.67915),(12 202.43425),(13 202.52695),(14 203.79181),(15 203.49715),(16 204.24095),(17 203.07439),(18 203.5755),(19 203.83115),(20 190.92903),(21 204.32721),(22 204.24945),(23 204.49077),(24 205.46202),(25 205.21611),(26 205.66826),(27 204.56851),(28 205.28314),(29 205.56586),(30 192.916),(31 205.92897),(32 206.2138),(33 206.35544),(34 207.61368),(35 207.22455),(36 207.95303),(37 207.30699),(38 207.70308),(39 208.2557),(40 195.71748),(41 208.6808),(42 208.57072),(43 208.42815),(44 209.45126),(45 209.02095),(46 209.7709),(47 209.03806),(48 209.30403),(49 209.27374),(50 197.11693),(51 209.76682),(52 209.8846),(53 209.81055),(54 211.02817),(55 210.77777),(56 211.5008),(57 210.72185),(58 211.0576),(59 211.3146),(60 199.44011),(61 211.65933),(62 211.35995),(63 211.35222),(64 212.07603),(65 211.5384),(66 212.24706),(67 211.20029),(68 211.61317),(69 212.18143),(70 200.3705),(71 212.31856),(72 212.07326),(73 212.04945),(74 212.93246),(75 212.69899),(76 213.50235),(77 212.53027),(78 213.40265),(79 213.66573),
(1 146.6173),(2 174.75377),(3 185.22092),(4 190.82161),(5 193.10054),(6 196.07509),(7 196.82008),(8 199.01869),(9 201.36768),(10 189.23055),(11 203.19295),(12 203.00182),(13 203.4794),(14 204.5326),(15 203.7587),(16 204.98007),(17 203.84235),(18 204.1491),(19 204.57605),(20 191.30309),(21 205.0176),(22 204.73207),(23 204.82103),(24 206.0488),(25 205.6066),(26 206.43686),(27 205.58492),(28 205.79158),(29 206.16092),(30 193.32692),(31 206.74841),(32 206.66238),(33 206.74),(34 208.11613),(35 207.46858),(36 208.77884),(37 208.12321),(38 208.50952),(39 209.00014),(40 196.3937),(41 209.14647),(42 209.02682),(43 208.96637),(44 210.02916),(45 209.54564),(46 210.18611),(47 209.11458),(48 209.23087),(49 210.02911),(50 197.47003),(51 210.13359),(52 209.99655),(53 210.11156),(54 211.20088),(55 210.83138),(56 211.65323),(57 210.80115),(58 211.34758),(59 211.90088),(60 199.94983),(61 212.07138),(62 211.8708),(63 211.97408),(64 212.70064),(65 211.97977),(66 212.80081),(67 211.63484),(68 212.0334),(69 212.26347),(70 200.71454),(71 212.68533),(72 212.67876),(73 212.97679),(74 213.78963),(75 213.56526),(76 214.50711),(77 213.63895),(78 213.80267),(79 214.3127),
(1 146.26732),(2 174.44022),(3 184.77753),(4 190.43399),(5 193.1758),(6 195.60164),(7 196.67917),(8 198.63374),(9 201.09506),(10 189.00682),(11 202.84917),(12 202.58783),(13 202.70494),(14 204.08107),(15 203.53954),(16 204.34358),(17 203.38272),(18 203.69887),(19 204.24268),(20 190.99081),(21 204.32486),(22 204.22351),(23 204.12575),(24 205.3465),(25 205.03793),(26 205.60033),(27 204.44385),(28 204.84961),(29 205.45543),(30 192.43512),(31 205.60155),(32 205.57187),(33 205.81688),(34 207.14203),(35 207.13261),(36 208.01851),(37 206.9517),(38 207.57053),(39 208.34193),(40 195.68074),(41 208.55426),(42 208.11407),(43 207.93076),(44 209.04953),(45 208.65024),(46 209.25659),(47 208.35764),(48 209.06126),(49 209.38422),(50 196.5719),(51 209.29729),(52 209.23473),(53 209.3755),(54 210.88593),(55 210.59116),(56 211.30952),(57 210.57211),(58 210.83522),(59 211.38844),(60 199.13654),(61 211.40924),(62 211.1476),(63 211.0638),(64 212.2508),(65 211.72516),(66 212.20949),(67 211.06842),(68 211.38416),(69 211.89116),(70 199.85422),(71 212.02429),(72 211.92572),(73 212.10509),(74 213.13951),(75 212.77676),(76 213.59042),(77 212.71907),(78 213.3275),(79 213.68022),
(1 146.84148),(2 174.9202),(3 185.42929),(4 190.78867),(5 193.18092),(6 195.97253),(7 197.09315),(8 199.03738),(9 201.54381),(10 189.11058),(11 203.9003),(12 203.20326),(13 203.49695),(14 204.55154),(15 203.96425),(16 204.64348),(17 203.9736),(18 204.2152),(19 204.84811),(20 190.98041),(21 205.12204),(22 204.9659),(23 204.9452),(24 205.90543),(25 205.7474),(26 206.37872),(27 205.57597),(28 205.89032),(29 206.5265),(30 192.99586),(31 206.7254),(32 206.35379),(33 206.89948),(34 208.08536),(35 207.7988),(36 208.64397),(37 208.02919),(38 208.4239),(39 208.9605),(40 195.77821),(41 209.26181),(42 208.91495),(43 209.08247),(44 209.99794),(45 209.59758),(46 210.03508),(47 209.4399),(48 209.53587),(49 210.13498),(50 197.03452),(51 210.2524),(52 210.19472),(53 210.25984),(54 211.2434),(55 210.93301),(56 211.5915),(57 211.00671),(58 211.37308),(59 212.22534),(60 199.56088),(61 212.38869),(62 211.86855),(63 211.8442),(64 212.5492),(65 212.31198),(66 212.84789),(67 212.12724),(68 212.45985),(69 213.00247),(70 200.59476),(71 213.13881),(72 212.83124),(73 213.0027),(74 214.14365),(75 213.90448),(76 214.3497),(77 213.60408),(78 213.69669),(79 214.5612),
(1 146.2555),(2 174.16228),(3 184.94453),(4 190.27515),(5 192.6992),(6 195.777),(7 196.83649),(8 198.89555),(9 201.78067),(10 189.59215),(11 203.60635),(12 202.88722),(13 203.37602),(14 204.22697),(15 203.51158),(16 204.62329),(17 203.77327),(18 203.99283),(19 204.95148),(20 191.34705),(21 205.33142),(22 204.62808),(23 204.73885),(24 205.69823),(25 205.19818),(26 206.47803),(27 205.6114),(28 205.89232),(29 206.91997),(30 193.00298),(31 206.71227),(32 206.2774),(33 206.4426),(34 207.97885),(35 207.5249),(36 208.62871),(37 207.83546),(38 208.31593),(39 209.09511),(40 195.97604),(41 209.58244),(42 208.98372),(43 209.04573),(44 209.69989),(45 208.77),(46 209.85223),(47 208.97981),(48 209.20018),(49 209.82642),(50 196.94841),(51 210.1464),(52 209.6179),(53 209.95905),(54 211.16795),(55 210.54692),(56 211.78514),(57 211.01514),(58 211.30258),(59 212.18883),(60 199.5297),(61 212.38652),(62 211.77025),(63 212.01842),(64 212.87894),(65 212.15823),(66 212.86304),(67 212.1292),(68 212.34793),(69 213.17497),(70 200.81647),(71 213.1563),(72 212.51578),(73 212.69717),(74 213.79004),(75 213.15588),(76 214.0926),(77 213.58842),(78 213.80972),(79 214.57141),
(1 146.71165),(2 174.29211),(3 184.96584),(4 190.5887),(5 193.0262),(6 195.8132),(7 197.34395),(8 199.35182),(9 202.40562),(10 189.71112),(11 204.29178),(12 203.2407),(13 203.5726),(14 204.58376),(15 203.81146),(16 204.70767),(17 203.90845),(18 204.11296),(19 205.04909),(20 190.91986),(21 205.52339),(22 204.75777),(23 204.99875),(24 205.85214),(25 205.3615),(26 206.24202),(27 205.63829),(28 205.45674),(29 206.79697),(30 192.79498),(31 207.20654),(32 206.46721),(33 206.95566),(34 207.95532),(35 207.54585),(36 208.48431),(37 208.03624),(38 208.28593),(39 209.7239),(40 196.22133),(41 209.94844),(42 209.04362),(43 209.00943),(44 210.12956),(45 209.61299),(46 210.1164),(47 209.29309),(48 209.30211),(49 210.59251),(50 197.10931),(51 210.85464),(52 210.23172),(53 210.36577),(54 211.24788),(55 210.85811),(56 211.78357),(57 211.38736),(58 211.84251),(59 212.94086),(60 199.85614),(61 213.23795),(62 212.29839),(63 212.34851),(64 213.03906),(65 212.40378),(66 213.03581),(67 212.33412),(68 212.26056),(69 213.5472),(70 200.59517),(71 213.79153),(72 212.93565),(73 213.13312),(74 214.1626),(75 213.85124),(76 214.31398),(77 213.77446),(78 214.03499),(79 215.05725),
(1 146.80002),(2 174.077),(3 184.90005),(4 190.30276),(5 192.60732),(6 195.59921),(7 197.15782),(8 199.03781),(9 202.33899),(10 189.55658),(11 204.18825),(12 203.00354),(13 203.4322),(14 204.45522),(15 203.54984),(16 204.40193),(17 203.715),(18 203.54167),(19 204.92928),(20 190.87073),(21 205.4079),(22 204.17099),(23 204.55133),(24 205.36975),(25 205.05728),(26 205.67648),(27 205.0566),(28 205.2553),(29 206.7033),(30 192.95158),(31 207.19759),(32 206.31784),(33 206.97484),(34 207.85205),(35 207.18661),(36 208.37645),(37 207.90717),(38 208.11488),(39 209.42426),(40 195.79204),(41 209.67302),(42 208.49663),(43 208.52489),(44 209.48389),(45 208.85443),(46 209.72066),(47 209.193),(48 208.95277),(49 210.22577),(50 196.92606),(51 210.76495),(52 210.02556),(53 210.40836),(54 211.32083),(55 210.77847),(56 211.9344),(57 211.30342),(58 211.2478),(59 212.58908),(60 199.66287),(61 213.1502),(62 211.98288),(63 212.21394),(64 213.15494),(65 212.50337),(66 213.368),(67 212.67908),(68 212.60667),(69 213.86507),(70 200.83107),(71 213.88728),(72 212.86061),(73 213.2427),(74 213.86052),(75 213.70697),(76 214.15341),(77 213.82677),(78 213.90385),(79 215.2546),
(1 146.26488),(2 173.44456),(3 184.08014),(4 189.64995),(5 192.42554),(6 194.98994),(7 196.54962),(8 198.38776),(9 201.45403),(10 188.87192),(11 203.85799),(12 202.62268),(13 202.78714),(14 203.27634),(15 202.89296),(16 203.49951),(17 203.0686),(18 202.98471),(19 204.26895),(20 189.87807),(21 204.62492),(22 203.47482),(23 203.66371),(24 204.52287),(25 204.33504),(26 205.14005),(27 204.6256),(28 204.60767),(29 206.13268),(30 192.20671),(31 206.34587),(32 205.41652),(33 205.59865),(34 206.54158),(35 206.50021),(36 207.2624),(37 206.89508),(38 207.0493),(39 208.46701),(40 194.78204),(41 208.93398),(42 207.6158),(43 207.73923),(44 208.601),(45 208.09834),(46 208.83975),(47 208.36362),(48 208.42842),(49 209.47075),(50 196.11905),(51 209.91995),(52 208.8684),(53 209.27444),(54 209.94022),(55 209.71053),(56 210.53069),(57 210.23442),(58 210.2868),(59 211.64615),(60 198.3292),(61 211.74857),(62 210.71584),(63 211.04048),(64 212.07895),(65 211.61919),(66 212.24283),(67 211.60617),(68 211.5028),(69 212.71558),(70 199.90273),(71 212.81125),(72 211.9763),(73 212.10454),(74 212.85356),(75 212.81258),(76 213.30722),(77 213.014),(78 212.82245),(79 214.047),
(1 146.74704),(2 174.14775),(3 184.88051),(4 190.07709),(5 192.7039),(6 195.3756),(7 197.15706),(8 199.0659),(9 202.6583),(10 189.45752),(11 204.63158),(12 203.50829),(13 203.67558),(14 204.21255),(15 203.68277),(16 204.11989),(17 203.84377),(18 203.71785),(19 205.28224),(20 190.85349),(21 205.6054),(22 204.32759),(23 204.5786),(24 205.35262),(25 205.14032),(26 205.90344),(27 205.63416),(28 205.3787),(29 207.16035),(30 192.88338),(31 207.44606),(32 206.43196),(33 206.99913),(34 207.86623),(35 207.56879),(36 208.26266),(37 208.20978),(38 208.19205),(39 209.70436),(40 195.65994),(41 210.24513),(42 209.03526),(43 209.06267),(44 209.8112),(45 209.45155),(46 209.97292),(47 209.4661),(48 209.42188),(49 210.83311),(50 197.15108),(51 211.15202),(52 210.04343),(53 210.56909),(54 211.20503),(55 210.96162),(56 211.72888),(57 211.44014),(58 211.56703),(59 213.07013),(60 199.7419),(61 213.62263),(62 212.41913),(63 212.64334),(64 213.0536),(65 212.92523),(66 213.47891),(67 213.22523),(68 213.04948),(69 214.43074),(70 201.03775),(71 214.5402),(72 213.44395),(73 213.62749),(74 214.22206),(75 214.1079),(76 214.64204),(77 214.06657),(78 213.90991),(79 215.43822),
(1 146.22093),(2 172.73314),(3 183.57332),(4 188.80615),(5 191.61415),(6 194.29588),(7 196.0447),(8 197.55862),(9 201.01357),(10 187.94612),(11 203.08467),(12 201.60796),(13 202.1796),(14 202.32326),(15 201.86882),(16 202.47095),(17 202.19449),(18 201.72649),(19 203.55116),(20 188.90968),(21 203.70648),(22 202.4041),(23 202.58716),(24 203.4227),(25 203.29404),(26 204.13472),(27 203.86348),(28 203.53441),(29 205.47667),(30 191.45403),(31 206.07574),(32 204.73575),(33 205.21216),(34 206.00699),(35 205.96718),(36 206.11884),(37 206.23463),(38 206.06012),(39 208.16275),(40 194.36412),(41 208.40868),(42 206.87474),(43 207.05664),(44 207.63464),(45 207.42296),(46 208.00067),(47 207.80827),(48 207.63602),(49 209.4318),(50 195.53165),(51 209.59558),(52 208.52457),(53 208.90987),(54 209.48584),(55 209.27193),(56 209.89122),(57 209.79837),(58 209.759),(59 211.40166),(60 197.97403),(61 211.64282),(62 210.31165),(63 210.59332),(64 211.06178),(65 210.6767),(66 211.28441),(67 211.1176),(68 210.72679),(69 212.31868),(70 199.1913),(71 212.56525),(72 211.55386),(73 211.86906),(74 212.05621),(75 211.90714),(76 212.4048),(77 212.06055),(78 211.79495),(79 213.62053),
(1 146.30827),(2 172.89291),(3 183.8785),(4 188.987),(5 191.84752),(6 194.36302),(7 196.4697),(8 198.03911),(9 201.7528),(10 188.42188),(11 203.46533),(12 201.5787),(13 202.25371),(14 202.218),(15 201.96518),(16 202.40073),(17 202.57939),(18 202.26921),(19 203.80582),(20 189.15279),(21 203.95386),(22 202.59624),(23 203.02574),(24 203.65181),(25 203.81252),(26 203.98651),(27 204.1795),(28 204.10692),(29 205.80865),(30 191.56584),(31 206.29208),(32 205.01408),(33 205.12279),(34 205.98935),(35 205.78653),(36 206.20769),(37 206.1943),(38 205.8333),(39 207.86206),(40 193.82416),(41 208.24344),(42 206.88036),(43 207.30685),(44 207.73634),(45 207.46907),(46 207.84393),(47 207.55208),(48 207.2581),(49 209.06476),(50 195.2153),(51 209.47807),(52 207.93999),(53 208.57556),(54 209.07344),(55 208.87111),(56 209.36882),(57 209.43327),(58 209.20403),(59 211.00655),(60 197.71877),(61 211.49088),(62 210.12285),(63 210.46748),(64 210.76018),(65 210.72295),(66 211.19994),(67 211.09592),(68 210.82306),(69 212.46588),(70 198.94846),(71 212.69109),(72 211.44417),(73 211.64357),(74 212.01288),(75 211.91232),(76 212.37285),(77 212.59576),(78 212.19707),(79 213.80457),
(1 146.03249),(2 172.82486),(3 183.92877),(4 188.61925),(5 191.99623),(6 194.16035),(7 196.30804),(8 197.7459),(9 201.80441),(10 189.00511),(11 203.97089),(12 201.8882),(13 202.38048),(14 202.54526),(15 202.6867),(16 202.76297),(17 202.65999),(18 202.06323),(19 203.83504),(20 189.19),(21 203.8469),(22 202.49187),(23 203.2045),(24 203.71095),(25 203.71342),(26 203.94426),(27 204.19635),(28 203.76509),(29 205.80754),(30 191.62463),(31 206.2033),(32 204.48195),(33 205.16173),(34 205.65836),(35 205.86676),(36 206.01671),(37 206.2836),(38 205.89964),(39 207.83487),(40 194.06015),(41 208.46075),(42 206.83524),(43 207.0798),(44 207.22124),(45 207.53275),(46 207.65678),(47 207.8214),(48 207.5041),(49 209.20107),(50 195.4648),(51 209.64542),(52 208.18985),(53 208.52502),(54 209.03107),(55 209.18942),(56 209.46703),(57 209.60152),(58 209.42123),(59 211.03944),(60 197.3895),(61 211.33595),(62 210.08192),(63 210.51549),(64 210.8672),(65 211.02753),(66 211.13573),(67 211.20804),(68 210.81874),(69 212.54916),(70 199.43582),(71 213.08797),(72 211.567),(73 211.99336),(74 212.31877),(75 212.26819),(76 212.25171),(77 212.41891),(78 211.86671),(79 213.51628),
(1 145.32968),(2 171.81302),(3 183.06265),(4 187.79922),(5 190.53767),(6 192.93227),(7 195.1732),(8 196.50883),(9 200.5295),(10 187.74075),(11 202.40392),(12 200.50224),(13 201.06712),(14 200.86906),(15 200.86479),(16 200.8993),(17 201.14484),(18 200.6397),(19 202.2075),(20 187.85078),(21 202.56908),(22 201.10535),(23 201.75),(24 201.8958),(25 202.1086),(26 202.25165),(27 202.48605),(28 202.31114),(29 204.38545),(30 190.51108),(31 204.82019),(32 203.28746),(33 204.01465),(34 204.0414),(35 203.7004),(36 204.14185),(37 204.43251),(38 204.33871),(39 206.15067),(40 192.73679),(41 206.68387),(42 205.16028),(43 205.57423),(44 205.79866),(45 206.04741),(46 206.07915),(47 206.38785),(48 206.04501),(49 208.0241),(50 194.35301),(51 207.9521),(52 206.55522),(53 207.35484),(54 207.65327),(55 207.43779),(56 207.88776),(57 208.07175),(58 207.853),(59 209.6868),(60 196.49321),(61 209.85147),(62 208.32823),(63 209.08049),(64 209.06091),(65 208.90962),(66 209.17665),(67 209.61177),(68 209.07205),(69 211.10959),(70 198.19507),(71 211.26283),(72 209.64702),(73 210.34766),(74 210.4478),(75 210.23956),(76 210.20479),(77 210.48477),(78 210.03815),(79 211.73564),
