1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46923.785),(2 120002.445),(3 228615.2),(4 354052.16),(5 492098.84),(6 659831.8),(7 818681.94),(8 1001360.3),(9 1343350.3),(10 1548902.1),(11 1755852.4),(12 2031369.1),(13 2245230.3),(14 2474821.8),(15 2702882.5),(16 2977923.3),(17 3230476),(18 3514612),(19 3744251.3),(20 3990944.3),(21 4254235.5),(22 4477639.5),(23 4709871.5),(24 4958456),(25 5162673.5),(26 5389143.5),(27 5589849.5),(28 5760838),(29 5934964.5),(30 6046950),(31 6120592.5),(32 6232088),(33 6375606.5),(34 6533177.5),(35 6706216.5),(36 6914054),(37 7091493.5),(38 7271792),(39 7486092),(40 7790464.5),(41 8051112),(42 8288782),(43 8525697),(44 8772478),(45 9024197),(46 9298242),(47 9593951),(48 9902485),(49 10237347),(50 10547779),(51 10883897),(52 11461325),(53 11942875),(54 12353089),(55 12773040),(56 13168301),(57 13583393),(58 14004464),(59 14372293),(60 14728892),(61 15086607),(62 15417725),(63 15807325),(64 16173421),(65 16514509),(66 16863008),(67 17179974),(68 17482284),(69 17729214),(70 17955000),(71 18278166),(72 18574986),(73 18927790),(74 19591182),(75 20078000),(76 20549852),(77 21083558),(78 21723890),(79 22231030),
(1 944.8383),(2 1284.4807),(3 1530.5398),(4 1629.8269),(5 1748.9272),(6 1865.4872),(7 1914.0881),(8 1956.9535),(9 2044.9663),(10 2106.678),(11 2154.5833),(12 2203.8276),(13 2221.0942),(14 2222.9185),(15 2258.035),(16 2220.0442),(17 2240.1348),(18 2228.8125),(19 2230.0964),(20 2208.061),(21 2227.2249),(22 2205.5933),(23 2189.7764),(24 2161.1204),(25 2158.522),(26 2142.1218),(27 2135.5093),(28 2122.2278),(29 2140.3606),(30 2182.8772),(31 2172.2769),(32 2170.256),(33 2189.4253),(34 2172.246),(35 2151.6887),(36 2131.5234),(37 2134.4414),(38 2141.158),(39 2166.8733),(40 2158.9883),(41 2195.9565),(42 2182.5906),(43 2188.356),(44 2197.446),(45 2201.3057),(46 2206.2058),(47 2202.06),(48 2201.3699),(49 2207.9944),(50 2202.7383),(51 2221.5286),(52 2213.4783),(53 2202.5686),(54 2198.1282),(55 2209.281),(56 2219.8784),(57 2240.5667),(58 2228.3984),(59 2250.134),(60 2254.76),(61 2246.0247),(62 2255.0356),(63 2304.0837),(64 2326.8606),(65 2336.138),(66 2351.4407),(67 2335.4802),(68 2340.7747),(69 2349.0176),(70 2360.8513),(71 2368.2168),(72 2386.825),(73 2401.7878),(74 2357.7256),(75 2365.7073),(76 2339.861),(77 2328.3528),(78 2369.7683),(79 2352.5227),
(1 933.6049),(2 1270.3628),(3 1468.4624),(4 1574.2827),(5 1685.3895),(6 1776.2142),(7 1827.8754),(8 1873.2618),(9 1993.0107),(10 2042.9004),(11 2059.7737),(12 2106.2659),(13 2109.278),(14 2117.4446),(15 2166.3506),(16 2141.9946),(17 2119.1677),(18 2155.2852),(19 2160.7957),(20 2150.1348),(21 2180.0806),(22 2144.9705),(23 2134.1902),(24 2145.4063),(25 2154.256),(26 2152.6318),(27 2178.0261),(28 2169.4084),(29 2188.5571),(30 2205.9932),(31 2208.402),(32 2181.6338),(33 2176.0625),(34 2145.5598),(35 2152.013),(36 2159.017),(37 2150.9644),(38 2175.732),(39 2212.1643),(40 2205.6765),(41 2214.231),(42 2234.803),(43 2222.8774),(44 2211.9229),(45 2199.7827),(46 2196.1343),(47 2200.1497),(48 2197.8525),(49 2186.2134),(50 2205.2295),(51 2221.4805),(52 2195.7979),(53 2183.248),(54 2209.259),(55 2211.7297),(56 2207.939),(57 2211.3303),(58 2215.555),(59 2248.8347),(60 2289.846),(61 2279.7349),(62 2294.9182),(63 2346.1357),(64 2378.8276),(65 2382.316),(66 2413.116),(67 2392.2185),(68 2371.9238),(69 2378.262),(70 2397.026),(71 2401.5674),(72 2390.4697),(73 2377.328),(74 2350.3237),(75 2364.9475),(76 2326.848),(77 2302.7327),(78 2331.4597),(79 2317.1155),
(1 923.5886),(2 1279.0084),(3 1511.3013),(4 1595.8062),(5 1706.6691),(6 1811.8082),(7 1881.5101),(8 1925.7391),(9 1997.8235),(10 2034.6921),(11 2048.0876),(12 2090.203),(13 2078.3552),(14 2100.136),(15 2138.9429),(16 2119.4548),(17 2111.911),(18 2141.5437),(19 2126.4211),(20 2097.8848),(21 2102.6636),(22 2100.9495),(23 2085.1514),(24 2084.3792),(25 2058.0256),(26 2076.1318),(27 2094.8806),(28 2084.047),(29 2079.5952),(30 2105.1226),(31 2104.1328),(32 2098.5361),(33 2111.8318),(34 2085.62),(35 2093.8135),(36 2096.691),(37 2101.6445),(38 2127.979),(39 2131.8828),(40 2127.1824),(41 2138.4314),(42 2128.9365),(43 2108.664),(44 2126.6956),(45 2093.5376),(46 2094.1335),(47 2095.5256),(48 2083.6904),(49 2078.5898),(50 2079.4758),(51 2085.4656),(52 2093.3804),(53 2065.3938),(54 2062.9421),(55 2058.8464),(56 2071.418),(57 2080.5454),(58 2099.9727),(59 2083.2288),(60 2115.8254),(61 2110.3857),(62 2126.424),(63 2164.956),(64 2186.5432),(65 2184.392),(66 2194.6157),(67 2188.5225),(68 2160.7712),(69 2173.0735),(70 2185.9482),(71 2173.2048),(72 2145.4392),(73 2160.519),(74 2177.2637),(75 2193.5168),(76 2167.8247),(77 2148.875),(78 2160.8425),(79 2164.4456),
(1 924.146),(2 1228.452),(3 1449.6709),(4 1544.9814),(5 1638.7462),(6 1752.0609),(7 1798.0582),(8 1853.4714),(9 1931.9471),(10 1947.6407),(11 1976.4187),(12 2011.236),(13 2022.8158),(14 2026.6106),(15 2057.806),(16 2009.9543),(17 2032.6233),(18 2054.967),(19 2069.5247),(20 2060.5679),(21 2060.6326),(22 2060.62),(23 2046.5333),(24 2040.463),(25 2040.5447),(26 2036.8024),(27 2035.7386),(28 2024.7064),(29 2031.9078),(30 2044.2906),(31 2038.8712),(32 2058.518),(33 2068.1543),(34 2075.0203),(35 2062.6724),(36 2058.9348),(37 2030.582),(38 2018.8623),(39 2018.8616),(40 2027.5514),(41 2059.5098),(42 2059.2104),(43 2044.8213),(44 2069.5361),(45 2066.4358),(46 2052.6924),(47 2070.8843),(48 2066.0112),(49 2070.2593),(50 2073.1057),(51 2092.9978),(52 2088.2524),(53 2083.6055),(54 2079.3545),(55 2091.4202),(56 2109.787),(57 2124.3535),(58 2162.0684),(59 2181.2947),(60 2201.9868),(61 2220.846),(62 2237.671),(63 2268.776),(64 2277.2395),(65 2277.5781),(66 2267.6057),(67 2271.6453),(68 2226.3943),(69 2237.2932),(70 2248.7932),(71 2242.854),(72 2263.592),(73 2277.5327),(74 2263.1067),(75 2283.2095),(76 2253.615),(77 2230.7607),(78 2248.3665),(79 2246.5227),
(1 882.33154),(2 1196.0616),(3 1397.1854),(4 1510.031),(5 1603.4357),(6 1721.1143),(7 1748.392),(8 1812.2496),(9 1888.9084),(10 1928.4827),(11 1941.3499),(12 2000.5317),(13 2009.8954),(14 2026.3639),(15 2049.637),(16 2020.1582),(17 2022.1477),(18 2013.8826),(19 2008.854),(20 1993.5507),(21 2006.7986),(22 1999.1669),(23 2004.3953),(24 1983.1422),(25 1957.9572),(26 1954.1672),(27 1990.5045),(28 1966.435),(29 1971.8177),(30 1994.618),(31 1953.2797),(32 1962.0083),(33 1960.328),(34 1961.7738),(35 1954.1212),(36 1988.643),(37 1974.3988),(38 1975.6346),(39 2004.4071),(40 2011.5006),(41 2033.2065),(42 2053.8245),(43 2034.5369),(44 2041.9368),(45 2046.5408),(46 2043.8629),(47 2042.4647),(48 2023.0898),(49 2012.2631),(50 2012.8903),(51 2011.539),(52 2029.4562),(53 2013.2007),(54 2017.7552),(55 2020.972),(56 2004.5486),(57 2025.0052),(58 2043.2677),(59 2046.3242),(60 2053.3289),(61 2027.0253),(62 2044.9192),(63 2088.529),(64 2095.2217),(65 2081.7336),(66 2107.5413),(67 2095.4573),(68 2077.6802),(69 2085.549),(70 2096.3557),(71 2091.5403),(72 2110.362),(73 2135.2356),(74 2109.3477),(75 2130.6921),(76 2088.7532),(77 2099.608),(78 2129.7424),(79 2126.9553),
(1 877.7792),(2 1188.9624),(3 1386.2826),(4 1504.433),(5 1615.6196),(6 1747.3279),(7 1789.3702),(8 1854.7878),(9 1909.657),(10 1938.8112),(11 1967.2365),(12 1978.3182),(13 1991.345),(14 2023.6273),(15 2059.3562),(16 2019.303),(17 2017.2914),(18 2039.3326),(19 2016.6283),(20 1989.9594),(21 2004.2667),(22 1986.6201),(23 1977.7523),(24 1980.6954),(25 1976.2622),(26 1985.6534),(27 2024.5266),(28 2051.9707),(29 2057.4746),(30 2059.587),(31 2037.6863),(32 2037.7313),(33 2033.6084),(34 2009.5891),(35 2022.4333),(36 2009.8151),(37 2006.7467),(38 2014.2007),(39 2009.9946),(40 1999.3939),(41 2008.7991),(42 1984.4156),(43 2000.1842),(44 1998.5026),(45 1998.3062),(46 2015.7603),(47 2002.8955),(48 1970.2502),(49 1962.4485),(50 1955.1248),(51 1969.0327),(52 1986.3071),(53 1967.5499),(54 1973.7494),(55 1971.0154),(56 1976.284),(57 2000.8763),(58 2025.5116),(59 2034.3619),(60 2056.3657),(61 2078.861),(62 2091.365),(63 2120.5205),(64 2112.0496),(65 2107.2302),(66 2139.9688),(67 2134.6428),(68 2120.3928),(69 2128.6572),(70 2116.7522),(71 2124.8723),(72 2101.3857),(73 2099.291),(74 2107.8647),(75 2125.5842),(76 2101.6543),(77 2106.0544),(78 2113.559),(79 2069.0898),
(1 855.8969),(2 1137.0509),(3 1335.675),(4 1426.1766),(5 1506.4523),(6 1623.3346),(7 1657.0232),(8 1696.3179),(9 1751.8573),(10 1821.4321),(11 1834.9434),(12 1856.9939),(13 1868.2863),(14 1894.1056),(15 1938.705),(16 1939.1356),(17 1929.1647),(18 1931.663),(19 1928.6826),(20 1914.4535),(21 1921.3676),(22 1879.0007),(23 1870.0653),(24 1855.5522),(25 1842.386),(26 1843.052),(27 1878.3815),(28 1910.6172),(29 1942.5317),(30 1943.3398),(31 1914.7063),(32 1919.5397),(33 1940.769),(34 1920.7065),(35 1921.7738),(36 1908.7755),(37 1893.5455),(38 1915.8275),(39 1929.8214),(40 1936.1932),(41 1971.7118),(42 1969.0841),(43 1976.9003),(44 1973.692),(45 1977.6288),(46 1977.0007),(47 1982.4286),(48 1941.9094),(49 1940.3641),(50 1928.0353),(51 1936.546),(52 1957.6482),(53 1912.8972),(54 1919.466),(55 1925.4471),(56 1940.1786),(57 1958.6575),(58 1974.1237),(59 1976.102),(60 1982.3418),(61 2008.0549),(62 2002.9781),(63 2035.0707),(64 2005.2579),(65 2003.9344),(66 2015.144),(67 1997.7883),(68 2004.3552),(69 2011.9874),(70 2022.4508),(71 2035.1116),(72 2041.071),(73 2024.2617),(74 2034.2555),(75 2050.5042),(76 1999.7878),(77 1979.9509),(78 1981.8556),(79 1955.3245),
(1 835.57574),(2 1131.7399),(3 1308.0737),(4 1402.6772),(5 1501.3558),(6 1594.9819),(7 1630.066),(8 1677.0758),(9 1745.0316),(10 1755.7018),(11 1773.5239),(12 1778.0497),(13 1779.0063),(14 1793.9945),(15 1830.4833),(16 1826.9535),(17 1819.7864),(18 1834.8855),(19 1816.185),(20 1800.9305),(21 1803.398),(22 1789.7954),(23 1771.0587),(24 1765.4742),(25 1762.1018),(26 1759.8865),(27 1807.4778),(28 1819.6896),(29 1826.0739),(30 1855.9573),(31 1833.6385),(32 1858.0635),(33 1871.6434),(34 1837.4285),(35 1839.8861),(36 1856.8213),(37 1850.3636),(38 1884.9198),(39 1887.5347),(40 1883.0052),(41 1894.8374),(42 1891.8434),(43 1886.3757),(44 1897.4827),(45 1890.0673),(46 1883.2065),(47 1876.282),(48 1865.7212),(49 1866.1472),(50 1884.2924),(51 1886.2507),(52 1888.3431),(53 1877.9347),(54 1876.5225),(55 1911.2517),(56 1912.4718),(57 1934.1598),(58 1958.9667),(59 1958.5444),(60 1979.1854),(61 1987.6476),(62 1995.0907),(63 2025.2233),(64 2003.2063),(65 1987.2969),(66 2009.3102),(67 2012.0118),(68 2026.3517),(69 2036.349),(70 2049.3413),(71 2052.6921),(72 2065.2578),(73 2065.1118),(74 2074.5742),(75 2110.0398),(76 2059.332),(77 2060.0715),(78 2074.7139),(79 2042.4996),
(1 842.28156),(2 1141.2538),(3 1325.2781),(4 1427.7943),(5 1518.0858),(6 1616.7982),(7 1652.4122),(8 1701.802),(9 1797.8495),(10 1815.0933),(11 1832.2004),(12 1878.0448),(13 1894.2189),(14 1895.6957),(15 1930.598),(16 1917.1736),(17 1907.9113),(18 1939.6603),(19 1917.3412),(20 1896.5249),(21 1907.8064),(22 1885.8807),(23 1880.0359),(24 1900.0358),(25 1893.3708),(26 1903.2189),(27 1948.0156),(28 1945.6671),(29 1956.0591),(30 1967.2938),(31 1959.4843),(32 1953.3566),(33 1927.413),(34 1908.591),(35 1909.538),(36 1902.3792),(37 1916.1178),(38 1913.1724),(39 1928.7991),(40 1916.5781),(41 1927.2759),(42 1963.3049),(43 1937.097),(44 1929.9679),(45 1927.6615),(46 1905.5109),(47 1900.5393),(48 1871.0957),(49 1839.148),(50 1832.9891),(51 1843.8542),(52 1828.167),(53 1810.7827),(54 1826.3661),(55 1855.0007),(56 1850.5048),(57 1866.0137),(58 1867.311),(59 1871.295),(60 1906.3761),(61 1911.0936),(62 1922.7383),(63 1966.5348),(64 1953.0421),(65 1959.1075),(66 1984.4102),(67 1975.7477),(68 2007.0072),(69 2023.1271),(70 2048.5496),(71 2029.403),(72 2030.3368),(73 2049.372),(74 2034.3081),(75 2058.6833),(76 2030.6265),(77 2035.2811),(78 2057.9558),(79 2063.063),
(1 832.841),(2 1089.4867),(3 1285.3674),(4 1373.0759),(5 1436.8497),(6 1556.0406),(7 1602.0065),(8 1638.2937),(9 1694.2189),(10 1706.7325),(11 1744.0017),(12 1779.8634),(13 1786.2783),(14 1816.8242),(15 1838.1646),(16 1823.5004),(17 1827.8662),(18 1848.666),(19 1822.106),(20 1799.0642),(21 1808.1162),(22 1766.9205),(23 1743.6755),(24 1733.0754),(25 1724.0243),(26 1757.5342),(27 1808.6997),(28 1784.1584),(29 1795.2742),(30 1820.6941),(31 1819.5673),(32 1809.6622),(33 1797.2776),(34 1779.2152),(35 1773.9727),(36 1785.9601),(37 1786.6786),(38 1794.2476),(39 1823.2142),(40 1816.817),(41 1815.945),(42 1809.7383),(43 1810.0509),(44 1825.6858),(45 1826.4675),(46 1794.4116),(47 1796.1608),(48 1776.4563),(49 1752.7725),(50 1749.454),(51 1775.0916),(52 1782.6843),(53 1766.5994),(54 1775.6039),(55 1783.0708),(56 1787.1321),(57 1794.1003),(58 1781.731),(59 1789.1677),(60 1802.9594),(61 1805.5065),(62 1812.1581),(63 1822.0638),(64 1813.0824),(65 1825.5636),(66 1840.2861),(67 1862.0571),(68 1881.845),(69 1917.5914),(70 1912.0095),(71 1919.1147),(72 1900.2489),(73 1920.2979),(74 1900.4092),(75 1911.6083),(76 1878.0494),(77 1859.0273),(78 1896.4113),(79 1894.4922),
(1 813.97186),(2 1081.9352),(3 1270.8949),(4 1363.4904),(5 1438.5284),(6 1551.2281),(7 1595.489),(8 1665.3129),(9 1721.5378),(10 1731.8848),(11 1768.8037),(12 1805.2784),(13 1815.0515),(14 1818.565),(15 1845.2402),(16 1813.4432),(17 1828.132),(18 1854.4525),(19 1807.5051),(20 1787.2449),(21 1779.8914),(22 1749.7833),(23 1751.2438),(24 1748.1373),(25 1745.2467),(26 1762.186),(27 1762.6475),(28 1759.8364),(29 1762.8993),(30 1782.9669),(31 1770.7053),(32 1777.9575),(33 1784.803),(34 1777.7555),(35 1770.1329),(36 1754.0872),(37 1756.505),(38 1766.2234),(39 1781.0941),(40 1794.4233),(41 1795.8171),(42 1798.7572),(43 1789.909),(44 1791.3357),(45 1783.9899),(46 1769.4797),(47 1763.7145),(48 1752.1737),(49 1731.8427),(50 1736.0132),(51 1764.9392),(52 1752.9666),(53 1746.3096),(54 1756.3969),(55 1754.9259),(56 1756.5657),(57 1770.2594),(58 1792.6077),(59 1787.4528),(60 1816.6587),(61 1824.765),(62 1840.133),(63 1857.0735),(64 1849.2921),(65 1852.1704),(66 1865.3756),(67 1868.5054),(68 1880.5149),(69 1865.36),(70 1876.4059),(71 1876.5455),(72 1880.1656),(73 1869.0531),(74 1898.1566),(75 1935.6584),(76 1917.6334),(77 1903.4702),(78 1934.1072),(79 1929.1722),
(1 797.2833),(2 1048.9369),(3 1222.907),(4 1310.707),(5 1384.3466),(6 1489.6901),(7 1528.7421),(8 1562.9608),(9 1631.4692),(10 1669.8569),(11 1696.8535),(12 1730.8186),(13 1729.7252),(14 1738.1215),(15 1750.0911),(16 1733.0326),(17 1751.1741),(18 1774.9487),(19 1743.7133),(20 1748.3973),(21 1750.0103),(22 1709.743),(23 1697.0082),(24 1708.9377),(25 1683.6515),(26 1700.6748),(27 1724.7507),(28 1719.0502),(29 1723.6204),(30 1724.8926),(31 1705.1373),(32 1706.925),(33 1700.5608),(34 1702.2677),(35 1699.213),(36 1713.9222),(37 1700.6448),(38 1715.4503),(39 1744.3546),(40 1725.7715),(41 1720.4084),(42 1718.4346),(43 1714.5487),(44 1707.8679),(45 1706.9346),(46 1683.9213),(47 1709.48),(48 1688.7217),(49 1681.9946),(50 1679.3998),(51 1673.7625),(52 1654.1643),(53 1640.5371),(54 1636.2466),(55 1651.9392),(56 1643.359),(57 1655.4587),(58 1686.8002),(59 1687.0363),(60 1712.8655),(61 1728.726),(62 1755.1705),(63 1766.3823),(64 1765.1829),(65 1766.1136),(66 1787.97),(67 1774.586),(68 1767.9326),(69 1787.0793),(70 1780.9015),(71 1778.4503),(72 1781.8785),(73 1791.8718),(74 1791.8976),(75 1816.3284),(76 1783.8043),(77 1802.5812),(78 1836.7012),(79 1843.8384),
(1 796.35785),(2 1052.1571),(3 1222.9099),(4 1304.8799),(5 1390.7521),(6 1489.8271),(7 1520.3834),(8 1556.5875),(9 1621.4142),(10 1658.9851),(11 1682.8446),(12 1711.9761),(13 1692.4421),(14 1690.9874),(15 1714.9385),(16 1667.1946),(17 1674.8153),(18 1678.3505),(19 1674.2418),(20 1671.1925),(21 1675.989),(22 1653.3224),(23 1675.5903),(24 1693.3379),(25 1696.5607),(26 1698.9032),(27 1718.2108),(28 1724.5854),(29 1732.3407),(30 1727.9783),(31 1696.9379),(32 1711.4948),(33 1715.4335),(34 1712.2964),(35 1720.778),(36 1733.1532),(37 1725.2856),(38 1729.5751),(39 1753.9983),(40 1759.4321),(41 1768.1517),(42 1766.7706),(43 1759.2324),(44 1773.5),(45 1784.2968),(46 1757.0889),(47 1776.3282),(48 1750.6332),(49 1716.265),(50 1697.9147),(51 1691.8175),(52 1669.3278),(53 1655.826),(54 1667.6237),(55 1672.57),(56 1661.2136),(57 1684.3936),(58 1703.6143),(59 1696.1688),(60 1732.6042),(61 1743.3192),(62 1748.7703),(63 1760.1829),(64 1756.7826),(65 1750.4133),(66 1772.7732),(67 1784.5828),(68 1785.6588),(69 1784.9647),(70 1798.2133),(71 1803.8164),(72 1816.1039),(73 1817.6179),(74 1823.5536),(75 1833.6029),(76 1798.1542),(77 1804.9818),(78 1816.6129),(79 1812.105),
(1 798.69635),(2 1072.0397),(3 1223.5958),(4 1301.1991),(5 1365.4685),(6 1453.6309),(7 1484.5801),(8 1516.6588),(9 1566.2933),(10 1593.8436),(11 1627.9904),(12 1649.2716),(13 1652.1864),(14 1660.7692),(15 1692.9155),(16 1684.6735),(17 1685.9495),(18 1698.1892),(19 1676.6162),(20 1683.5343),(21 1694.0454),(22 1652.1897),(23 1646.9014),(24 1660.59),(25 1625.5148),(26 1646.6138),(27 1704.3064),(28 1686.255),(29 1694.9746),(30 1695.1285),(31 1680.7208),(32 1688.8949),(33 1688.7235),(34 1674.0194),(35 1671.7515),(36 1672.2732),(37 1651.3699),(38 1655.6663),(39 1667.186),(40 1695.9412),(41 1731.6511),(42 1726.7268),(43 1704.6383),(44 1710.8119),(45 1717.2244),(46 1692.5011),(47 1703.6477),(48 1700.2078),(49 1684.8767),(50 1686.7247),(51 1708.0516),(52 1707.9769),(53 1698.8147),(54 1718.4639),(55 1728.5939),(56 1708.7539),(57 1736.1117),(58 1745.9718),(59 1736.9462),(60 1764.0387),(61 1756.9287),(62 1754.5864),(63 1781.2377),(64 1764.3801),(65 1765.4423),(66 1793.3273),(67 1799.0485),(68 1796.0712),(69 1789.8021),(70 1793.5654),(71 1788.5524),(72 1802.0907),(73 1791.275),(74 1794.8973),(75 1803.0581),(76 1792.3027),(77 1794.3599),(78 1830.9244),(79 1824.3193),
(1 795.35535),(2 1056.3683),(3 1217.3391),(4 1300.781),(5 1371.1918),(6 1481.4124),(7 1504.9977),(8 1561.4307),(9 1600.1326),(10 1630.7017),(11 1652.3666),(12 1682.4347),(13 1686.0059),(14 1697.3534),(15 1718.5039),(16 1702.5941),(17 1707.5098),(18 1713.0292),(19 1694.7432),(20 1679.8677),(21 1688.5149),(22 1648.7406),(23 1656.8358),(24 1660.9246),(25 1643.8486),(26 1651.5598),(27 1677.4587),(28 1668.4669),(29 1660.8948),(30 1668.7014),(31 1655.7018),(32 1675.9742),(33 1655.0652),(34 1640.0681),(35 1650.289),(36 1655.1375),(37 1647.0303),(38 1671.2847),(39 1677.4045),(40 1690.638),(41 1697.1815),(42 1688.2653),(43 1671.7609),(44 1704.6589),(45 1693.349),(46 1685.765),(47 1695.6688),(48 1702.1902),(49 1683.0923),(50 1708.1674),(51 1702.7749),(52 1678.3438),(53 1672.9844),(54 1676.9702),(55 1682.286),(56 1687.5878),(57 1696.7649),(58 1702.1212),(59 1703.8212),(60 1731.5676),(61 1739.7146),(62 1720.2136),(63 1759.2119),(64 1754.2267),(65 1767.9288),(66 1790.4764),(67 1803.9441),(68 1815.602),(69 1821.6437),(70 1825.71),(71 1829.7462),(72 1848.3878),(73 1833.4838),(74 1841.6577),(75 1847.9489),(76 1811.6039),(77 1808.567),(78 1842.731),(79 1838.1608),
(1 768.1583),(2 1020.9104),(3 1202.992),(4 1304.8304),(5 1365.7887),(6 1457.562),(7 1478.293),(8 1528.1617),(9 1591.0428),(10 1627.7671),(11 1648.0677),(12 1671.3591),(13 1667.0879),(14 1657.9144),(15 1679.1765),(16 1674.6802),(17 1681.687),(18 1703.8804),(19 1671.2864),(20 1676.6383),(21 1679.8514),(22 1678.8057),(23 1661.1306),(24 1669.038),(25 1648.2073),(26 1645.9535),(27 1668.3535),(28 1662.3401),(29 1661.9796),(30 1679.1348),(31 1661.2269),(32 1665.5061),(33 1678.7794),(34 1665.1475),(35 1656.8284),(36 1659.8505),(37 1645.031),(38 1663.8405),(39 1666.0516),(40 1662.0992),(41 1661.5148),(42 1676.3422),(43 1669.0242),(44 1685.5171),(45 1677.7646),(46 1676.2341),(47 1678.189),(48 1653.6019),(49 1622.2577),(50 1629.1954),(51 1626.4246),(52 1635.2784),(53 1643.9342),(54 1632.341),(55 1637.1171),(56 1648.2118),(57 1653.6475),(58 1660.9042),(59 1668.906),(60 1679.8336),(61 1681.9924),(62 1689.4406),(63 1696.2697),(64 1680.8346),(65 1682.5065),(66 1683.5958),(67 1680.0394),(68 1675.3383),(69 1684.6921),(70 1687.5461),(71 1690.3307),(72 1706.0751),(73 1704.7103),(74 1710.6776),(75 1710.703),(76 1711.5751),(77 1717.8058),(78 1758.1931),(79 1745.7073),
