1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 114255.46),(2 221001.23),(3 331838.2),(4 387908.34),(5 523272.6),(6 701961.5),(7 876763.5),(8 841722.8),(9 882427.7),(10 951233.06),(11 984074.3),(12 922474.8),(13 918091.7),(14 976569.2),(15 981302.2),(16 991517.3),(17 986909.25),(18 1076241),(19 1128285.1),(20 1180304.9),(21 1202184),(22 1255953.9),(23 1318091),(24 1382296.9),(25 1399808),(26 1436873),(27 1508901),(28 1565401.6),(29 1637799.6),(30 1657420.5),(31 1714800.6),(32 1811369.4),(33 1970134.6),(34 1958990),(35 1980926),(36 1991465.4),(37 2073880.6),(38 1992827),(39 1925245.4),(40 1853256.1),(41 1812138.6),(42 1766508.9),(43 1706106.4),(44 1651991.4),(45 1606194.5),(46 1535402.1),(47 1485478.1),(48 1456857),(49 1519614.6),(50 1504579),(51 1443202.4),(52 1457630.4),(53 1504423.4),(54 1547216.6),(55 1550621.6),(56 1535003.6),(57 1631723.6),(58 1630272),(59 1638542.4),(60 1577478.6),(61 1582361),(62 1630271),(63 1630434.9),(64 1579126),(65 1538209),(66 1599158),(67 1680504.6),(68 1634296.4),(69 1661047),(70 1689385.1),(71 1754982.4),(72 1787021.6),(73 1849323),(74 1928653),(75 2020078.4),(76 2036019.6),(77 2087212.5),(78 2116014.8),(79 2176664.3),
(1 357.19788),(2 466.29297),(3 525.05554),(4 550.6256),(5 571.9174),(6 572.7574),(7 588.5202),(8 586.8984),(9 602.5498),(10 599.3611),(11 601.6611),(12 595.3607),(13 605.43195),(14 602.0682),(15 619.1569),(16 607.6438),(17 611.0777),(18 599.4446),(19 600.8629),(20 599.8069),(21 604.8594),(22 601.4743),(23 602.9151),(24 600.43195),(25 598.1987),(26 591.74677),(27 604.5533),(28 598.2057),(29 599.5262),(30 589.79095),(31 585.9958),(32 586.98315),(33 589.89655),(34 587.6302),(35 596.26904),(36 584.4452),(37 595.4313),(38 587.73566),(39 604.69904),(40 590.72675),(41 598.2256),(42 598.7311),(43 598.68506),(44 589.1206),(45 602.56604),(46 596.3677),(47 598.69305),(48 596.47925),(49 604.7172),(50 591.095),(51 593.8678),(52 596.4643),(53 603.0689),(54 596.2521),(55 606.3846),(56 603.3557),(57 607.85004),(58 598.8517),(59 599.7733),(60 594.2755),(61 605.8893),(62 610.11884),(63 622.79047),(64 608.03235),(65 616.62506),(66 615.1222),(67 616.3743),(68 610.6028),(69 620.70703),(70 621.60614),(71 629.3096),(72 627.3647),(73 631.29675),(74 616.8631),(75 625.3513),(76 620.60144),(77 625.3782),(78 624.9691),(79 626.75574),
(1 364.06497),(2 474.45752),(3 528.7448),(4 551.0804),(5 562.88),(6 568.15686),(7 584.316),(8 581.5465),(9 589.92505),(10 595.2879),(11 597.84814),(12 587.15546),(13 589.6171),(14 588.29395),(15 595.491),(16 593.06726),(17 598.9712),(18 587.8997),(19 593.10785),(20 582.82007),(21 586.8187),(22 586.41077),(23 585.15454),(24 587.1602),(25 588.9939),(26 580.95087),(27 587.43884),(28 586.4884),(29 589.3078),(30 578.31476),(31 589.3011),(32 588.70624),(33 583.55725),(34 578.06024),(35 586.66907),(36 587.94446),(37 593.19714),(38 587.8604),(39 602.2471),(40 596.24335),(41 600.57965),(42 595.5487),(43 596.75256),(44 594.5698),(45 601.47205),(46 598.31647),(47 609.437),(48 609.8166),(49 611.6415),(50 606.3536),(51 605.44403),(52 603.2965),(53 608.0489),(54 608.9927),(55 627.17944),(56 618.49615),(57 622.9321),(58 616.00214),(59 620.3395),(60 614.5057),(61 626.2642),(62 620.92267),(63 631.89465),(64 622.41144),(65 626.9119),(66 622.2365),(67 622.78314),(68 617.54443),(69 626.42975),(70 622.1664),(71 634.2745),(72 626.781),(73 630.14874),(74 625.0146),(75 627.60834),(76 621.78503),(77 619.21954),(78 616.93524),(79 621.026),
(1 355.159),(2 459.3044),(3 521.8191),(4 543.4266),(5 557.23926),(6 564.12354),(7 575.3908),(8 575.10126),(9 582.6586),(10 585.8123),(11 590.6392),(12 589.18616),(13 595.85333),(14 591.6029),(15 599.0263),(16 596.8558),(17 604.61676),(18 599.7453),(19 607.04095),(20 600.5631),(21 611.0042),(22 609.278),(23 605.6113),(24 605.82874),(25 599.10046),(26 597.5078),(27 606.1973),(28 600.28705),(29 601.84534),(30 593.09076),(31 600.7236),(32 589.0312),(33 597.37494),(34 586.6184),(35 593.37384),(36 587.42773),(37 600.6682),(38 599.2073),(39 615.5775),(40 601.8595),(41 603.38574),(42 593.84357),(43 598.44305),(44 595.95),(45 600.3715),(46 596.96106),(47 605.5892),(48 594.5952),(49 593.3513),(50 589.8468),(51 600.4589),(52 598.05743),(53 608.4059),(54 606.4904),(55 615.81915),(56 605.70294),(57 607.1321),(58 601.6786),(59 609.8907),(60 598.5833),(61 600.1783),(62 600.4309),(63 613.9708),(64 606.8305),(65 610.58624),(66 611.1212),(67 605.2919),(68 606.5474),(69 612.5729),(70 605.46375),(71 610.16895),(72 601.9806),(73 605.8878),(74 599.68),(75 604.12164),(76 594.39435),(77 603.62805),(78 601.5999),(79 608.9999),
(1 347.4409),(2 451.73547),(3 508.08685),(4 525.60095),(5 542.38367),(6 545.18634),(7 557.32104),(8 559.4581),(9 568.48505),(10 564.4847),(11 573.444),(12 571.3984),(13 577.6891),(14 573.76294),(15 588.9996),(16 573.03546),(17 582.4733),(18 574.6899),(19 579.1548),(20 567.1332),(21 579.9793),(22 570.7757),(23 571.3617),(24 570.92316),(25 577.2619),(26 569.12213),(27 578.94965),(28 568.2081),(29 572.75555),(30 570.5967),(31 571.4231),(32 574.64746),(33 579.05414),(34 569.98114),(35 580.3801),(36 569.18),(37 573.4635),(38 567.9744),(39 579.3794),(40 572.52783),(41 576.2996),(42 571.7836),(43 578.7048),(44 575.46063),(45 581.5758),(46 572.33887),(47 581.67),(48 571.10504),(49 580.96606),(50 574.8838),(51 581.819),(52 571.0388),(53 575.9208),(54 571.0483),(55 573.1138),(56 570.7015),(57 575.6791),(58 573.0478),(59 583.05286),(60 577.9841),(61 581.6579),(62 573.5778),(63 587.96136),(64 589.94714),(65 589.80457),(66 586.70734),(67 591.81805),(68 589.93884),(69 592.198),(70 592.3296),(71 601.49896),(72 589.01526),(73 599.58356),(74 591.9659),(75 597.6953),(76 594.05084),(77 589.8832),(78 583.5254),(79 591.0542),
(1 354.8278),(2 458.99133),(3 520.3276),(4 536.1047),(5 558.31976),(6 557.52765),(7 569.2148),(8 569.8041),(9 583.26135),(10 589.0062),(11 597.991),(12 593.0051),(13 591.6589),(14 586.1121),(15 597.3794),(16 586.4418),(17 589.04333),(18 592.4731),(19 595.1975),(20 589.5257),(21 591.33636),(22 589.5464),(23 588.35065),(24 581.8363),(25 586.0732),(26 577.6304),(27 586.82227),(28 577.837),(29 588.05255),(30 581.59467),(31 580.7886),(32 574.9497),(33 575.70013),(34 573.52264),(35 578.1314),(36 567.09515),(37 579.5836),(38 575.3828),(39 596.28174),(40 589.8467),(41 590.7393),(42 584.2099),(43 586.52277),(44 577.7486),(45 580.5069),(46 585.50946),(47 592.1583),(48 589.4708),(49 589.2479),(50 580.41925),(51 584.90375),(52 587.8638),(53 594.1018),(54 591.43475),(55 594.22516),(56 593.4307),(57 595.03033),(58 592.18585),(59 603.76483),(60 592.0979),(61 595.58154),(62 593.54645),(63 599.5843),(64 599.9048),(65 602.85077),(66 601.6258),(67 607.1918),(68 605.3033),(69 610.44836),(70 608.6437),(71 620.95593),(72 605.4807),(73 616.438),(74 610.0471),(75 618.88043),(76 604.8279),(77 609.938),(78 604.1934),(79 604.42773),
(1 340.2492),(2 443.26212),(3 495.13617),(4 515.64526),(5 533.57153),(6 535.601),(7 547.08685),(8 552.27216),(9 562.63837),(10 564.97394),(11 573.43494),(12 570.5314),(13 570.5737),(14 570.4722),(15 586.82965),(16 569.31793),(17 568.8607),(18 569.3742),(19 570.9555),(20 568.1962),(21 576.24756),(22 568.4621),(23 574.9848),(24 565.12714),(25 565.23944),(26 557.1303),(27 570.68365),(28 563.97406),(29 561.82544),(30 562.6852),(31 567.38245),(32 561.8055),(33 563.8566),(34 556.0306),(35 562.68994),(36 558.98083),(37 560.1623),(38 558.54315),(39 573.61847),(40 562.36084),(41 567.4286),(42 568.5661),(43 572.2444),(44 567.11993),(45 569.0941),(46 558.7687),(47 572.27893),(48 564.8055),(49 555.5802),(50 552.9667),(51 561.32776),(52 555.9502),(53 561.7194),(54 555.5843),(55 567.7728),(56 566.0455),(57 572.0702),(58 571.0344),(59 580.9553),(60 576.584),(61 578.2171),(62 573.67303),(63 578.8387),(64 571.23804),(65 571.89166),(66 567.23395),(67 569.036),(68 566.43744),(69 572.82623),(70 576.1133),(71 588.17145),(72 583.2111),(73 586.9982),(74 585.07556),(75 588.0974),(76 576.82166),(77 578.1052),(78 572.7249),(79 580.848),
(1 336.0799),(2 431.95456),(3 493.39032),(4 508.36572),(5 525.18695),(6 534.1736),(7 547.3507),(8 552.8245),(9 562.3095),(10 563.4298),(11 569.7354),(12 569.09753),(13 562.55554),(14 557.49),(15 561.6176),(16 548.50806),(17 555.9308),(18 560.0163),(19 564.0167),(20 557.266),(21 562.00464),(22 556.5662),(23 559.63416),(24 550.97076),(25 551.8406),(26 547.58685),(27 551.88776),(28 554.4648),(29 562.10126),(30 553.639),(31 556.86523),(32 554.2658),(33 555.74725),(34 556.8698),(35 569.17303),(36 561.4161),(37 567.0357),(38 558.40607),(39 575.42065),(40 569.0239),(41 570.38654),(42 566.76984),(43 569.8158),(44 557.7699),(45 567.49493),(46 565.1111),(47 567.88),(48 559.7799),(49 562.4661),(50 551.14374),(51 562.85614),(52 558.3912),(53 556.7931),(54 556.3469),(55 568.9853),(56 568.6418),(57 569.43005),(58 566.7083),(59 568.0666),(60 567.16907),(61 569.8079),(62 564.5526),(63 577.32733),(64 572.7847),(65 569.60254),(66 568.1054),(67 572.47217),(68 570.8943),(69 571.3741),(70 563.97797),(71 575.34247),(72 569.03046),(73 571.93054),(74 573.6099),(75 576.32324),(76 564.8793),(77 568.55707),(78 568.5817),(79 573.0505),
(1 342.30026),(2 441.4016),(3 487.84494),(4 504.6536),(5 523.3086),(6 523.8447),(7 537.2205),(8 537.8357),(9 546.5046),(10 547.0532),(11 556.0158),(12 551.3779),(13 558.5116),(14 557.0235),(15 569.1261),(16 548.93),(17 564.26886),(18 558.32294),(19 563.43805),(20 560.1142),(21 566.75586),(22 553.8435),(23 565.4721),(24 556.82355),(25 562.7423),(26 552.6138),(27 559.3259),(28 547.2724),(29 555.0049),(30 554.12714),(31 555.81244),(32 552.6904),(33 550.04114),(34 546.2466),(35 556.35126),(36 552.1601),(37 549.02),(38 543.9785),(39 553.1345),(40 543.4771),(41 549.2959),(42 546.66144),(43 551.68945),(44 546.2173),(45 557.84906),(46 548.3595),(47 552.3527),(48 543.1261),(49 550.5047),(50 537.46234),(51 548.7288),(52 548.58997),(53 555.47797),(54 552.45026),(55 565.9756),(56 560.14624),(57 564.38684),(58 562.4893),(59 568.2226),(60 568.80225),(61 566.2387),(62 558.5085),(63 570.0671),(64 559.9508),(65 564.8114),(66 564.98627),(67 572.42664),(68 564.7917),(69 559.39813),(70 560.18054),(71 574.75757),(72 568.88184),(73 567.0399),(74 559.2125),(75 567.1685),(76 561.47644),(77 561.9265),(78 563.59143),(79 566.35785),
(1 332.188),(2 428.2918),(3 479.2024),(4 497.87094),(5 514.5743),(6 522.8757),(7 534.52313),(8 535.7049),(9 546.48236),(10 547.76984),(11 554.0932),(12 548.851),(13 552.84204),(14 552.2412),(15 565.07074),(16 555.63293),(17 557.00476),(18 551.7524),(19 557.27795),(20 552.2842),(21 551.7306),(22 548.0814),(23 549.6689),(24 544.4687),(25 546.7483),(26 541.69495),(27 543.26794),(28 532.58215),(29 543.2323),(30 537.20123),(31 535.07513),(32 532.4165),(33 538.89197),(34 538.3746),(35 546.7597),(36 544.27277),(37 546.1501),(38 535.8967),(39 550.6254),(40 541.2712),(41 543.78455),(42 536.7826),(43 544.8985),(44 542.6239),(45 548.75604),(46 546.7227),(47 546.6515),(48 540.8306),(49 542.6551),(50 533.7783),(51 544.85895),(52 543.97534),(53 555.98566),(54 546.63257),(55 562.92194),(56 554.29553),(57 561.3515),(58 553.31335),(59 557.4197),(60 554.7395),(61 560.215),(62 556.3568),(63 565.14856),(64 554.4138),(65 552.6394),(66 553.5658),(67 561.4379),(68 557.8317),(69 561.74493),(70 565.4345),(71 568.6214),(72 562.8859),(73 562.88086),(74 558.0009),(75 564.44824),(76 557.9739),(77 554.5511),(78 558.0182),(79 562.8311),
(1 329.37302),(2 418.26428),(3 470.87598),(4 484.74554),(5 506.2061),(6 512.3051),(7 524.02893),(8 523.1659),(9 533.7676),(10 533.7751),(11 545.22644),(12 545.30774),(13 551.3461),(14 541.8949),(15 554.7182),(16 545.0646),(17 551.07196),(18 546.8413),(19 551.09534),(20 551.92145),(21 553.99646),(22 542.96295),(23 549.0714),(24 550.6171),(25 545.43896),(26 541.8003),(27 548.19946),(28 537.187),(29 541.32104),(30 534.68933),(31 535.7123),(32 533.9822),(33 540.3101),(34 535.8152),(35 540.2768),(36 536.6096),(37 540.3766),(38 539.5793),(39 550.10596),(40 540.66614),(41 548.5657),(42 537.15454),(43 545.1771),(44 539.173),(45 539.95197),(46 533.6455),(47 542.08734),(48 537.8532),(49 544.36224),(50 537.2377),(51 539.9213),(52 544.60406),(53 551.5133),(54 544.4867),(55 552.2904),(56 548.72577),(57 551.2249),(58 553.6153),(59 555.59045),(60 547.33356),(61 554.08966),(62 544.23676),(63 557.9184),(64 553.7176),(65 554.55206),(66 550.07367),(67 551.7409),(68 542.6101),(69 546.3832),(70 548.29767),(71 555.14966),(72 547.4223),(73 553.7777),(74 548.3442),(75 554.72015),(76 546.41583),(77 544.8154),(78 541.7387),(79 545.9098),
(1 325.48358),(2 407.8126),(3 465.67242),(4 483.77133),(5 504.88675),(6 509.89322),(7 518.39636),(8 517.65326),(9 533.9194),(10 540.2949),(11 548.01685),(12 541.3774),(13 545.9966),(14 541.2791),(15 549.88916),(16 545.6539),(17 542.6155),(18 539.90173),(19 541.3834),(20 540.98303),(21 541.005),(22 529.4567),(23 529.6017),(24 523.95233),(25 527.5757),(26 522.3323),(27 530.56335),(28 520.2518),(29 528.6731),(30 527.2484),(31 525.5577),(32 527.67444),(33 537.28424),(34 537.5554),(35 541.6519),(36 532.9394),(37 537.32367),(38 530.5296),(39 542.03174),(40 525.88837),(41 530.54205),(42 529.25104),(43 531.36273),(44 519.91815),(45 528.48315),(46 525.26245),(47 526.7247),(48 522.7365),(49 529.369),(50 520.91614),(51 530.8114),(52 533.42645),(53 541.44635),(54 541.72266),(55 550.0366),(56 549.4777),(57 550.8466),(58 558.9057),(59 559.102),(60 555.9235),(61 565.63916),(62 566.303),(63 573.8021),(64 564.99567),(65 571.68665),(66 568.0973),(67 571.8369),(68 560.49945),(69 563.5563),(70 554.561),(71 560.43207),(72 549.4819),(73 557.0693),(74 548.8641),(75 554.8768),(76 545.4997),(77 544.7637),(78 543.10114),(79 553.05005),
(1 323.3779),(2 415.8387),(3 470.18787),(4 486.64417),(5 503.7923),(6 508.5812),(7 518.1721),(8 517.70386),(9 528.3329),(10 531.61786),(11 540.2829),(12 536.62054),(13 547.17535),(14 545.6055),(15 549.18616),(16 540.863),(17 543.9887),(18 535.764),(19 534.969),(20 532.1239),(21 532.2181),(22 521.6637),(23 528.117),(24 517.31537),(25 518.1424),(26 515.9873),(27 527.409),(28 516.4603),(29 523.6372),(30 526.72266),(31 526.07214),(32 522.6445),(33 527.3785),(34 527.1796),(35 535.5704),(36 528.9928),(37 531.2449),(38 531.86304),(39 538.2313),(40 531.9554),(41 538.9976),(42 537.77405),(43 537.60345),(44 527.9454),(45 536.6445),(46 533.1862),(47 532.69214),(48 524.3064),(49 530.9562),(50 525.239),(51 538.22345),(52 538.26215),(53 542.5915),(54 536.8453),(55 554.2821),(56 545.9573),(57 553.3101),(58 557.28174),(59 561.05725),(60 558.3254),(61 553.633),(62 550.74084),(63 560.5265),(64 553.08777),(65 554.8937),(66 543.715),(67 547.2279),(68 541.75146),(69 537.66437),(70 531.16925),(71 541.60486),(72 534.9733),(73 541.3028),(74 536.4002),(75 547.68585),(76 534.1134),(77 534.04865),(78 529.8613),(79 544.07336),
(1 302.81668),(2 394.2562),(3 444.39642),(4 457.37015),(5 471.8326),(6 476.67126),(7 491.86945),(8 492.93167),(9 499.29376),(10 499.95987),(11 501.4802),(12 495.45285),(13 504.79715),(14 504.69046),(15 512.5953),(16 509.08887),(17 514.34576),(18 505.18228),(19 510.52573),(20 506.5762),(21 510.21292),(22 507.62292),(23 512.21295),(24 502.86722),(25 500.29602),(26 494.98663),(27 506.68112),(28 504.50284),(29 508.8355),(30 503.9428),(31 501.88843),(32 500.8435),(33 501.13394),(34 500.39578),(35 506.71545),(36 493.8306),(37 497.74066),(38 495.91565),(39 504.33636),(40 499.74423),(41 505.04495),(42 503.78082),(43 507.95746),(44 504.79202),(45 508.13736),(46 506.35742),(47 509.2236),(48 501.73856),(49 506.40863),(50 496.9985),(51 503.15213),(52 498.8498),(53 504.48315),(54 508.3265),(55 512.82855),(56 509.40683),(57 516.1105),(58 512.37787),(59 520.16254),(60 512.2482),(61 515.1815),(62 511.30463),(63 522.9002),(64 515.91754),(65 518.24426),(66 514.83234),(67 519.4234),(68 513.0783),(69 518.94165),(70 516.5754),(71 526.09515),(72 518.4843),(73 528.63727),(74 520.2749),(75 525.0189),(76 517.5866),(77 519.45514),(78 515.4416),(79 521.4154),
(1 310.49673),(2 395.40317),(3 446.56448),(4 462.536),(5 476.50363),(6 480.4839),(7 487.21548),(8 488.95712),(9 496.05692),(10 498.06683),(11 506.56073),(12 501.09442),(13 508.91876),(14 506.23236),(15 512.89636),(16 508.4621),(17 511.54208),(18 509.3431),(19 515.44495),(20 504.4813),(21 508.1934),(22 505.9891),(23 510.76883),(24 505.34113),(25 505.68887),(26 494.39084),(27 506.90317),(28 499.19803),(29 498.79196),(30 496.45245),(31 501.62164),(32 497.42386),(33 504.86954),(34 500.1049),(35 500.67288),(36 492.97516),(37 500.45917),(38 507.25204),(39 515.93036),(40 503.09222),(41 501.92084),(42 498.13284),(43 501.83752),(44 494.57025),(45 503.06604),(46 502.94736),(47 506.58002),(48 493.49454),(49 498.0356),(50 488.2149),(51 502.0326),(52 506.5481),(53 506.93237),(54 507.8222),(55 518.662),(56 518.6043),(57 519.3888),(58 511.87137),(59 515.8686),(60 513.8024),(61 518.3351),(62 515.3687),(63 518.7626),(64 512.1037),(65 519.099),(66 521.714),(67 522.19653),(68 516.3184),(69 521.9322),(70 520.8926),(71 523.8792),(72 516.4289),(73 520.80347),(74 512.2956),(75 517.5815),(76 508.29047),(77 514.40894),(78 516.1419),(79 512.6242),
(1 309.107),(2 389.24393),(3 437.73187),(4 451.14496),(5 467.46237),(6 473.948),(7 481.44876),(8 484.01068),(9 490.33405),(10 491.02408),(11 496.56302),(12 494.96176),(13 505.914),(14 499.44733),(15 502.79965),(16 500.90152),(17 502.27347),(18 496.09787),(19 503.37958),(20 504.27625),(21 513.56775),(22 507.2795),(23 510.50888),(24 504.04382),(25 505.18692),(26 494.1185),(27 495.96194),(28 487.88773),(29 490.4302),(30 483.9157),(31 489.33722),(32 489.00085),(33 492.60977),(34 489.53635),(35 494.76105),(36 486.526),(37 489.267),(38 484.88663),(39 494.69843),(40 484.98264),(41 493.3516),(42 484.66586),(43 490.87668),(44 492.97574),(45 502.74756),(46 491.9643),(47 497.08685),(48 494.51877),(49 496.8807),(50 491.20795),(51 502.56445),(52 502.89185),(53 508.82132),(54 506.10583),(55 512.21564),(56 514.14795),(57 519.5845),(58 518.50934),(59 520.8764),(60 516.01416),(61 522.03033),(62 520.29535),(63 531.23663),(64 520.52484),(65 516.47296),(66 516.20013),(67 522.8634),(68 519.2657),(69 523.34515),(70 520.29706),(71 524.1279),(72 518.1019),(73 522.5159),(74 514.5084),(75 524.1275),(76 514.263),(77 520.9334),(78 515.86005),(79 515.1668),
(1 300.73315),(2 380.02646),(3 417.28082),(4 434.30966),(5 454.24493),(6 459.04047),(7 472.72302),(8 474.11047),(9 477.69202),(10 475.56238),(11 476.08252),(12 475.33292),(13 484.81454),(14 485.58002),(15 490.126),(16 481.42593),(17 482.99838),(18 481.34042),(19 483.4056),(20 483.66452),(21 494.21323),(22 478.0588),(23 483.1863),(24 478.65225),(25 481.49118),(26 472.80072),(27 481.0384),(28 470.14752),(29 476.07495),(30 476.7767),(31 478.99176),(32 475.90717),(33 478.16684),(34 475.30237),(35 484.82788),(36 481.73108),(37 482.9376),(38 484.42145),(39 498.2804),(40 492.3391),(41 489.88406),(42 483.69156),(43 488.20822),(44 483.5753),(45 486.7284),(46 488.1586),(47 489.9137),(48 485.4098),(49 487.76758),(50 479.6001),(51 484.03958),(52 485.59357),(53 490.11264),(54 487.08246),(55 492.2705),(56 492.9615),(57 497.57364),(58 492.6039),(59 498.81772),(60 493.49008),(61 493.1284),(62 490.64087),(63 498.2264),(64 492.88214),(65 496.29468),(66 496.15527),(67 497.86386),(68 491.5939),(69 496.04086),(70 499.88718),(71 509.37408),(72 504.2877),(73 501.31693),(74 494.0682),(75 493.8391),(76 489.1778),(77 490.2383),(78 492.21585),(79 495.20303),
(1 299.1827),(2 376.42215),(3 423.9534),(4 436.6769),(5 450.41794),(6 452.5589),(7 465.95303),(8 463.9268),(9 475.00723),(10 477.4269),(11 486.07645),(12 482.37918),(13 489.47702),(14 485.11752),(15 491.13608),(16 478.11597),(17 482.64536),(18 479.60306),(19 482.63266),(20 482.35794),(21 486.46097),(22 483.55865),(23 484.6672),(24 483.19656),(25 486.57138),(26 477.7505),(27 483.4963),(28 478.40176),(29 482.03012),(30 478.7919),(31 482.39557),(32 482.44095),(33 478.47043),(34 478.993),(35 483.0415),(36 475.45044),(37 479.14926),(38 475.64282),(39 485.93582),(40 481.13184),(41 485.74985),(42 478.06387),(43 475.99246),(44 478.02475),(45 484.89877),(46 478.6742),(47 482.5545),(48 476.75623),(49 482.19943),(50 480.56897),(51 490.35394),(52 487.19968),(53 489.25827),(54 486.76398),(55 491.059),(56 492.0795),(57 497.70074),(58 490.8763),(59 499.617),(60 496.4151),(61 497.51285),(62 494.38196),(63 505.38602),(64 502.89523),(65 503.8009),(66 506.37018),(67 501.96594),(68 497.6961),(69 502.01004),(70 498.1356),(71 506.9436),(72 501.7746),(73 502.59793),(74 493.7989),(75 494.1706),(76 494.89413),(77 496.30078),(78 487.53595),(79 489.6185),
(1 291.88995),(2 373.03683),(3 415.85474),(4 426.2651),(5 445.4317),(6 450.77933),(7 459.31656),(8 461.50427),(9 473.4854),(10 472.283),(11 478.58536),(12 473.20514),(13 478.22946),(14 478.20828),(15 482.20978),(16 476.42108),(17 479.80112),(18 481.60223),(19 478.8413),(20 474.463),(21 478.58563),(22 471.33206),(23 470.95947),(24 476.57324),(25 473.1305),(26 467.84314),(27 477.00662),(28 468.84402),(29 471.72113),(30 470.03882),(31 476.06268),(32 473.01675),(33 473.26465),(34 471.2309),(35 472.3474),(36 461.6282),(37 469.80627),(38 465.44116),(39 480.5438),(40 470.74222),(41 473.15878),(42 470.7161),(43 474.70514),(44 471.01675),(45 480.19458),(46 474.1816),(47 475.8529),(48 472.92465),(49 476.00476),(50 470.54462),(51 475.58878),(52 472.8785),(53 480.36862),(54 480.23926),(55 486.72827),(56 480.60785),(57 480.60953),(58 478.14456),(59 479.08527),(60 478.08096),(61 482.37357),(62 479.53717),(63 485.29303),(64 478.5318),(65 478.3529),(66 477.78494),(67 485.52402),(68 484.8947),(69 487.29224),(70 488.47415),(71 494.94086),(72 489.08884),(73 495.1287),(74 485.47842),(75 485.71283),(76 478.71863),(77 478.18796),(78 477.4491),(79 481.80362),
