1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18523.568),(2 42512.586),(3 62977.145),(4 106227.75),(5 136960.86),(6 168024.98),(7 196027.38),(8 221660.83),(9 251718.67),(10 283548.38),(11 311289.72),(12 334793.34),(13 369914.16),(14 399529.6),(15 428988.5),(16 456713.88),(17 490498.25),(18 520883.72),(19 556225.7),(20 588132.75),(21 624022.44),(22 677595.2),(23 727766.2),(24 768286.7),(25 857054.7),(26 916244),(27 969661.75),(28 1046093.3),(29 1120675.6),(30 1217008.5),(31 1335604),(32 1427992.9),(33 1500207.6),(34 1570289.6),(35 1624148),(36 1667196.1),(37 1711026.5),(38 1762098.6),(39 1803420.6),(40 1841187.5),(41 1841621.5),(42 1857196.4),(43 1861919.6),(44 1853774),(45 1844677.1),(46 1858994.5),(47 1854062),(48 1854667.9),(49 1861259.1),(50 1858583),(51 1839819),(52 1830258.1),(53 1796196),(54 1761803.1),(55 1726275.4),(56 1685652.4),(57 1650132),(58 1614926.5),(59 1578746),(60 1566241.5),(61 1559834.1),(62 1564459),(63 1549167.9),(64 1538498.9),(65 1532260.5),(66 1513203.4),(67 1519624.6),(68 1523360.9),(69 1605427.1),(70 1632149.1),(71 1667560.4),(72 1647562.1),(73 1669018.6),(74 1668677.9),(75 1675639),(76 1716176.6),(77 1743385.5),(78 1757084.6),(79 1824954.4),
(1 438.9772),(2 573.399),(3 652.80066),(4 724.1217),(5 744.2924),(6 778.6002),(7 810.90894),(8 820.722),(9 833.6085),(10 846.6825),(11 849.89667),(12 854.14215),(13 874.0774),(14 870.1428),(15 880.50433),(16 901.8051),(17 892.2555),(18 890.39325),(19 903.972),(20 899.88586),(21 894.3244),(22 912.126),(23 898.3762),(24 885.1552),(25 896.58276),(26 886.9643),(27 894.43256),(28 882.0452),(29 893.13293),(30 891.62933),(31 914.65393),(32 901.98236),(33 909.7004),(34 913.92456),(35 920.00507),(36 915.18396),(37 932.66406),(38 931.38446),(39 939.1995),(40 947.7876),(41 940.2942),(42 936.64734),(43 953.1714),(44 938.3696),(45 945.9914),(46 957.6088),(47 954.81726),(48 955.27563),(49 949.4208),(50 957.07306),(51 972.7854),(52 953.5343),(53 959.15594),(54 974.2538),(55 953.2783),(56 949.1651),(57 957.9835),(58 942.5927),(59 937.701),(60 946.4133),(61 950.6904),(62 960.76196),(63 969.4353),(64 937.2933),(65 948.2345),(66 978.0486),(67 975.07574),(68 989.7299),(69 1001.9527),(70 988.65894),(71 982.7592),(72 983.3531),(73 968.9534),(74 962.12195),(75 978.4932),(76 965.401),(77 962.61084),(78 976.5418),(79 955.2396),
(1 435.6925),(2 564.7501),(3 639.94196),(4 705.00146),(5 736.6058),(6 770.3204),(7 793.49),(8 811.79315),(9 820.2862),(10 833.2466),(11 831.67694),(12 839.4391),(13 857.69214),(14 857.1933),(15 862.51886),(16 884.611),(17 862.7147),(18 866.4107),(19 878.0388),(20 872.749),(21 871.753),(22 882.75836),(23 861.3021),(24 852.374),(25 856.76404),(26 855.4862),(27 860.7022),(28 863.35187),(29 861.82477),(30 860.67706),(31 875.46765),(32 875.1559),(33 879.63556),(34 895.1284),(35 868.03503),(36 870.45856),(37 883.4916),(38 878.42145),(39 887.3169),(40 899.9635),(41 889.0794),(42 895.3621),(43 903.0467),(44 887.3457),(45 898.1452),(46 920.4828),(47 907.12506),(48 914.31934),(49 911.68317),(50 907.9441),(51 937.6188),(52 917.65015),(53 931.0063),(54 933.77496),(55 921.9357),(56 910.179),(57 917.22046),(58 906.4546),(59 918.5253),(60 918.40125),(61 913.0216),(62 912.4935),(63 938.3232),(64 912.0298),(65 936.4907),(66 951.4081),(67 948.3513),(68 958.2522),(69 972.7901),(70 960.3253),(71 975.01886),(72 971.8341),(73 954.70514),(74 945.3548),(75 961.5939),(76 946.3191),(77 956.5655),(78 960.3671),(79 950.33246),
(1 423.31064),(2 553.0577),(3 623.25214),(4 697.07904),(5 717.4935),(6 746.5316),(7 767.5147),(8 784.8831),(9 788.01685),(10 803.0735),(11 808.00665),(12 807.2311),(13 822.8248),(14 814.4327),(15 825.2294),(16 843.3799),(17 829.29065),(18 836.69196),(19 849.64355),(20 850.4105),(21 852.15295),(22 864.7261),(23 854.3044),(24 839.50385),(25 855.463),(26 846.18604),(27 837.4414),(28 851.9228),(29 841.3031),(30 834.1785),(31 842.883),(32 840.8534),(33 845.0795),(34 862.26636),(35 848.40485),(36 863.33984),(37 864.2952),(38 860.51917),(39 869.7472),(40 882.8887),(41 857.94635),(42 859.1787),(43 872.0992),(44 864.0954),(45 868.4109),(46 881.97565),(47 871.4144),(48 876.79926),(49 873.7718),(50 876.6266),(51 899.4292),(52 881.83484),(53 900.60376),(54 914.99036),(55 896.68585),(56 888.0207),(57 896.43176),(58 887.30115),(59 889.35443),(60 902.93414),(61 900.9975),(62 907.32153),(63 934.93695),(64 919.47424),(65 925.529),(66 941.9074),(67 940.56726),(68 946.51495),(69 943.22546),(70 937.3685),(71 941.2225),(72 949.95026),(73 939.9045),(74 934.1889),(75 949.11456),(76 927.8134),(77 931.42285),(78 944.81744),(79 934.2548),
(1 425.0289),(2 558.235),(3 626.3891),(4 699.2528),(5 721.48706),(6 753.8142),(7 774.0335),(8 781.26624),(9 786.45306),(10 809.5362),(11 810.40955),(12 818.301),(13 839.5674),(14 835.29407),(15 845.3601),(16 862.65106),(17 866.5843),(18 858.6172),(19 873.05914),(20 869.98126),(21 863.2389),(22 872.4217),(23 864.50104),(24 849.223),(25 858.38586),(26 850.265),(27 853.0979),(28 864.2729),(29 865.8452),(30 858.74774),(31 873.2848),(32 867.4592),(33 870.35583),(34 878.1697),(35 866.1534),(36 882.3056),(37 884.65894),(38 866.0323),(39 873.4348),(40 885.3093),(41 871.1322),(42 869.8356),(43 880.49133),(44 865.08887),(45 875.6041),(46 889.743),(47 885.6723),(48 889.5915),(49 882.16724),(50 879.1624),(51 906.96356),(52 891.425),(53 898.93854),(54 910.08356),(55 898.021),(56 890.9609),(57 896.788),(58 885.802),(59 896.2453),(60 916.6177),(61 901.3157),(62 917.79016),(63 942.15674),(64 929.7877),(65 944.95325),(66 957.544),(67 943.50977),(68 951.1938),(69 951.4651),(70 937.784),(71 946.8089),(72 952.7352),(73 931.5465),(74 930.0209),(75 945.50616),(76 936.21387),(77 923.9173),(78 927.54083),(79 923.0311),
(1 413.4097),(2 537.5289),(3 607.414),(4 677.86884),(5 703.41644),(6 735.5049),(7 754.3797),(8 763.0331),(9 772.22595),(10 780.5355),(11 780.7156),(12 781.5876),(13 788.9486),(14 792.2604),(15 806.91327),(16 821.856),(17 821.7435),(18 821.1178),(19 837.0991),(20 825.3174),(21 826.9247),(22 842.12616),(23 828.7646),(24 821.43555),(25 818.89276),(26 817.2716),(27 810.8581),(28 813.99164),(29 821.7036),(30 819.0996),(31 835.00336),(32 831.32227),(33 835.21375),(34 843.9879),(35 839.94824),(36 843.05035),(37 858.59467),(38 846.6956),(39 854.72015),(40 864.8217),(41 845.99615),(42 855.0881),(43 862.0871),(44 845.59625),(45 853.4555),(46 871.46704),(47 874.1025),(48 889.71594),(49 876.3977),(50 881.3704),(51 897.21484),(52 886.7007),(53 892.2052),(54 903.07544),(55 893.8507),(56 889.2422),(57 893.0338),(58 885.7657),(59 880.36774),(60 891.9462),(61 880.6832),(62 884.677),(63 913.57007),(64 897.909),(65 903.42694),(66 932.9669),(67 921.8666),(68 923.2241),(69 912.3554),(70 907.53125),(71 911.1964),(72 911.5218),(73 899.0245),(74 890.1266),(75 915.5221),(76 904.8361),(77 885.7468),(78 891.8936),(79 882.27844),
(1 418.26782),(2 533.2694),(3 607.13965),(4 670.9684),(5 706.1721),(6 737.86285),(7 756.59985),(8 772.71625),(9 777.363),(10 786.0813),(11 784.7358),(12 793.9576),(13 794.80493),(14 798.3433),(15 808.3775),(16 826.6359),(17 823.35547),(18 829.84546),(19 845.1378),(20 838.05475),(21 836.5034),(22 848.5147),(23 841.1618),(24 826.01685),(25 827.2364),(26 827.83624),(27 822.8474),(28 822.0675),(29 823.47003),(30 832.89307),(31 840.8876),(32 839.79297),(33 841.74054),(34 848.4665),(35 851.8977),(36 857.3414),(37 875.651),(38 867.2578),(39 873.5136),(40 879.4173),(41 865.6555),(42 867.7246),(43 881.0883),(44 862.99084),(45 869.2629),(46 876.0207),(47 881.2589),(48 895.08215),(49 881.6984),(50 891.664),(51 907.75916),(52 898.16693),(53 901.3555),(54 904.5322),(55 894.37805),(56 893.7973),(57 894.2699),(58 888.9687),(59 888.0547),(60 904.8424),(61 888.27466),(62 889.15076),(63 916.11554),(64 897.67505),(65 907.3524),(66 936.85284),(67 931.3723),(68 917.85345),(69 908.71515),(70 899.8676),(71 899.1522),(72 899.94977),(73 883.0059),(74 881.70044),(75 884.56006),(76 880.5406),(77 883.0187),(78 879.98206),(79 867.2717),
(1 409.06952),(2 522.916),(3 601.1836),(4 663.6801),(5 692.05756),(6 721.5265),(7 748.0532),(8 761.2267),(9 774.94653),(10 786.2535),(11 777.6853),(12 784.6936),(13 792.74695),(14 785.5919),(15 794.11066),(16 802.11835),(17 798.68243),(18 805.0312),(19 817.3766),(20 817.02216),(21 809.98834),(22 818.026),(23 813.29877),(24 797.66046),(25 805.1929),(26 798.7797),(27 802.1008),(28 806.0026),(29 798.3523),(30 797.91754),(31 818.0674),(32 811.4151),(33 815.44116),(34 831.10126),(35 825.7522),(36 834.0342),(37 845.1076),(38 839.3481),(39 847.0513),(40 857.51526),(41 846.2825),(42 850.96735),(43 867.3867),(44 850.94556),(45 856.5298),(46 866.43945),(47 867.5195),(48 869.78485),(49 860.36566),(50 865.72797),(51 881.7826),(52 868.7879),(53 875.55414),(54 888.7122),(55 878.52136),(56 868.01685),(57 870.84906),(58 876.0881),(59 877.5235),(60 887.373),(61 884.783),(62 888.9207),(63 923.11865),(64 907.3523),(65 910.7167),(66 928.3782),(67 921.9266),(68 925.5098),(69 919.94025),(70 895.56366),(71 896.88513),(72 897.99567),(73 881.5081),(74 880.43427),(75 884.9947),(76 877.66943),(77 877.4311),(78 890.9082),(79 879.8335),
(1 404.834),(2 522.8084),(3 591.5275),(4 658.146),(5 681.0423),(6 705.9438),(7 735.6264),(8 753.35895),(9 772.64465),(10 781.58765),(11 775.66815),(12 778.5368),(13 793.79126),(14 783.7884),(15 788.5381),(16 798.5686),(17 790.60596),(18 799.19025),(19 806.34106),(20 805.811),(21 801.09894),(22 809.24426),(23 805.7718),(24 792.1917),(25 791.9731),(26 786.72986),(27 796.4025),(28 801.22516),(29 801.68823),(30 799.13824),(31 805.46967),(32 798.26044),(33 803.9406),(34 813.82947),(35 802.19525),(36 815.28595),(37 828.876),(38 824.2136),(39 823.55914),(40 839.7053),(41 825.40985),(42 835.07733),(43 842.009),(44 826.8167),(45 838.8142),(46 853.6066),(47 849.713),(48 845.4306),(49 838.9731),(50 842.1445),(51 857.39606),(52 845.15497),(53 851.30707),(54 863.99976),(55 845.35187),(56 844.43085),(57 849.4668),(58 845.2385),(59 845.0327),(60 859.5236),(61 855.7886),(62 862.41034),(63 895.51587),(64 873.6152),(65 883.964),(66 896.5228),(67 898.9483),(68 886.99225),(69 893.2875),(70 878.2562),(71 885.9064),(72 882.4132),(73 872.2697),(74 862.1094),(75 876.32074),(76 866.20807),(77 874.6162),(78 887.57056),(79 876.75323),
(1 397.88916),(2 512.823),(3 580.80914),(4 644.34204),(5 680.40247),(6 702.953),(7 737.5672),(8 754.83093),(9 769.1998),(10 774.0635),(11 767.9246),(12 772.4769),(13 790.0206),(14 774.181),(15 787.59595),(16 795.6995),(17 797.9052),(18 797.2589),(19 812.3807),(20 799.3223),(21 793.8154),(22 804.58856),(23 796.83624),(24 789.56775),(25 796.6134),(26 791.8726),(27 789.19794),(28 797.4547),(29 800.57764),(30 802.3859),(31 819.3173),(32 813.67303),(33 816.65576),(34 820.34674),(35 819.4057),(36 823.13934),(37 835.75116),(38 829.0763),(39 828.3286),(40 835.6919),(41 832.89526),(42 833.8808),(43 849.77435),(44 823.095),(45 823.78156),(46 836.99817),(47 827.9214),(48 829.58746),(49 828.46747),(50 833.54877),(51 851.87115),(52 837.0792),(53 849.60516),(54 872.18115),(55 860.88947),(56 855.4702),(57 847.55365),(58 844.3692),(59 851.61285),(60 871.45514),(61 861.72614),(62 857.812),(63 884.2675),(64 870.3804),(65 881.13055),(66 894.1897),(67 903.46124),(68 894.57214),(69 904.24945),(70 890.8941),(71 899.33325),(72 893.1161),(73 874.5356),(74 862.8042),(75 877.3813),(76 863.5529),(77 864.4757),(78 880.9961),(79 870.801),
(1 382.69846),(2 493.78217),(3 559.96265),(4 615.9189),(5 634.94696),(6 667.1553),(7 687.02875),(8 696.713),(9 711.1268),(10 715.50635),(11 724.20087),(12 733.8834),(13 744.534),(14 742.1999),(15 759.1958),(16 776.9958),(17 773.8282),(18 776.71783),(19 790.3773),(20 773.60724),(21 758.6134),(22 778.9609),(23 766.3492),(24 757.15015),(25 772.02814),(26 766.80054),(27 772.81445),(28 782.0044),(29 783.67706),(30 783.2865),(31 798.569),(32 798.4813),(33 803.1718),(34 815.5832),(35 808.988),(36 806.38434),(37 816.00055),(38 808.1937),(39 800.2026),(40 811.7781),(41 799.6798),(42 807.804),(43 820.90753),(44 797.71216),(45 794.89545),(46 809.3762),(47 800.37646),(48 812.70776),(49 801.6404),(50 807.1529),(51 824.4405),(52 815.77673),(53 814.17004),(54 836.3657),(55 823.4155),(56 825.6168),(57 829.7678),(58 821.73303),(59 838.805),(60 848.2283),(61 837.44385),(62 835.8098),(63 859.70447),(64 844.1974),(65 853.07544),(66 871.30035),(67 879.197),(68 874.33704),(69 870.56854),(70 859.3529),(71 862.45154),(72 864.8693),(73 844.7773),(74 842.1015),(75 847.8061),(76 832.5105),(77 829.6583),(78 837.06146),(79 823.06177),
(1 393.5735),(2 505.50537),(3 573.0545),(4 632.3493),(5 650.9457),(6 680.10254),(7 697.6753),(8 697.9527),(9 713.69977),(10 724.49695),(11 736.3507),(12 742.6565),(13 761.51526),(14 758.51996),(15 765.07825),(16 780.43494),(17 780.4328),(18 787.0909),(19 793.46234),(20 778.7992),(21 767.0872),(22 782.7312),(23 773.79944),(24 761.17554),(25 772.6238),(26 766.00446),(27 759.7836),(28 772.31793),(29 764.12445),(30 767.8877),(31 784.0715),(32 781.7664),(33 788.9299),(34 800.8866),(35 793.0172),(36 793.9194),(37 807.06134),(38 801.5504),(39 803.8877),(40 821.0786),(41 806.94446),(42 816.7646),(43 828.5663),(44 812.8659),(45 814.47186),(46 826.1236),(47 816.128),(48 824.1442),(49 811.2519),(50 811.8179),(51 833.80646),(52 812.7261),(53 816.25745),(54 830.6225),(55 820.0193),(56 822.80853),(57 832.07855),(58 825.8724),(59 826.6136),(60 843.03827),(61 826.27026),(62 827.66534),(63 847.7273),(64 829.93304),(65 847.4323),(66 848.78546),(67 863.2424),(68 847.8828),(69 852.9284),(70 836.99585),(71 852.6834),(72 858.70026),(73 847.0355),(74 849.99976),(75 864.7829),(76 843.7789),(77 837.382),(78 848.28265),(79 832.1393),
(1 380.38025),(2 494.77097),(3 556.9671),(4 618.1212),(5 632.1631),(6 659.8258),(7 677.9009),(8 688.9927),(9 700.742),(10 710.4387),(11 717.3884),(12 721.89233),(13 746.5362),(14 739.5513),(15 741.8006),(16 753.5239),(17 745.0069),(18 746.9512),(19 750.8557),(20 748.0302),(21 739.28485),(22 749.9902),(23 741.3496),(24 732.83923),(25 736.55896),(26 737.467),(27 730.2083),(28 745.56866),(29 746.4203),(30 734.49164),(31 756.61865),(32 756.94495),(33 760.92883),(34 775.6072),(35 770.3947),(36 773.5102),(37 787.71436),(38 778.9225),(39 788.8916),(40 804.85657),(41 794.8549),(42 800.44635),(43 815.4097),(44 804.71564),(45 806.8052),(46 821.44403),(47 807.2806),(48 813.7083),(49 799.74744),(50 808.68695),(51 826.4666),(52 813.7261),(53 813.72833),(54 826.8576),(55 809.5448),(56 804.7515),(57 805.93695),(58 802.3992),(59 803.1445),(60 818.02515),(61 799.9284),(62 802.8723),(63 822.8211),(64 810.1922),(65 814.3544),(66 824.12256),(67 830.79596),(68 820.28033),(69 820.7087),(70 811.2751),(71 819.5505),(72 822.9342),(73 806.42065),(74 805.46497),(75 817.1122),(76 798.6688),(77 795.67163),(78 809.34125),(79 797.0443),
(1 377.7784),(2 496.20398),(3 554.8641),(4 610.80414),(5 627.60474),(6 661.48505),(7 677.46234),(8 686.36224),(9 702.6069),(10 713.1426),(11 715.6871),(12 714.9529),(13 730.0493),(14 728.85956),(15 725.403),(16 738.87646),(17 732.115),(18 735.7204),(19 741.8736),(20 737.268),(21 729.5843),(22 736.13074),(23 728.70166),(24 718.8065),(25 715.53015),(26 722.1108),(27 725.4173),(28 736.9438),(29 735.39233),(30 736.46027),(31 751.49054),(32 748.4817),(33 750.57513),(34 760.1042),(35 751.01196),(36 749.7377),(37 766.436),(38 767.09906),(39 770.64905),(40 778.5178),(41 772.79834),(42 776.8395),(43 795.31287),(44 781.2788),(45 783.9429),(46 792.8953),(47 791.05255),(48 794.12225),(49 776.5249),(50 787.2243),(51 813.9211),(52 798.2716),(53 809.0766),(54 814.7234),(55 797.6861),(56 801.8033),(57 805.025),(58 796.05396),(59 791.3125),(60 801.9322),(61 790.9243),(62 801.3861),(63 826.5761),(64 798.0891),(65 812.8735),(66 825.8605),(67 833.1383),(68 820.7254),(69 822.36035),(70 825.65045),(71 829.8699),(72 832.38165),(73 822.9348),(74 813.1286),(75 830.32794),(76 802.43933),(77 805.10516),(78 802.6577),(79 786.6222),
(1 377.18256),(2 486.1536),(3 547.8557),(4 601.2583),(5 625.18915),(6 646.1428),(7 660.8799),(8 675.30493),(9 682.3811),(10 700.3543),(11 704.2857),(12 710.66473),(13 723.64886),(14 725.42694),(15 727.73663),(16 744.93585),(17 736.29016),(18 746.1844),(19 757.8976),(20 751.0059),(21 745.3339),(22 745.8643),(23 748.2232),(24 740.3704),(25 744.9747),(26 735.17194),(27 728.6845),(28 736.8501),(29 745.2433),(30 744.7171),(31 757.5114),(32 753.3806),(33 756.1292),(34 761.7903),(35 752.5048),(36 761.0398),(37 770.11615),(38 767.8985),(39 770.71387),(40 774.75824),(41 761.71155),(42 767.98645),(43 782.414),(44 767.91943),(45 772.6384),(46 781.30676),(47 782.73267),(48 780.5583),(49 785.6686),(50 789.0822),(51 803.0162),(52 799.50354),(53 811.4736),(54 820.021),(55 801.3227),(56 804.46075),(57 804.88025),(58 792.06036),(59 787.9762),(60 794.94977),(61 789.67456),(62 792.025),(63 815.63934),(64 792.45575),(65 809.52405),(66 817.86664),(67 808.92114),(68 808.30505),(69 817.29736),(70 809.1005),(71 819.8849),(72 831.00714),(73 811.7556),(74 805.886),(75 824.3817),(76 801.0077),(77 802.2091),(78 806.6986),(79 799.1785),
(1 370.80423),(2 473.04642),(3 539.76965),(4 592.18353),(5 616.5883),(6 649.66846),(7 660.9454),(8 664.3057),(9 677.35297),(10 687.5799),(11 694.5448),(12 692.0046),(13 711.6927),(14 702.82776),(15 705.0412),(16 714.23114),(17 700.89246),(18 705.07916),(19 709.69324),(20 703.95386),(21 695.7189),(22 706.32385),(23 704.8374),(24 703.67224),(25 706.245),(26 699.2751),(27 695.9644),(28 706.436),(29 712.5006),(30 712.8183),(31 729.2842),(32 726.1649),(33 730.93933),(34 739.80133),(35 728.5721),(36 735.46954),(37 742.4267),(38 733.68066),(39 728.5509),(40 742.389),(41 726.2643),(42 737.9059),(43 757.2137),(44 747.20154),(45 748.495),(46 764.78625),(47 758.1583),(48 763.9846),(49 758.2107),(50 767.8773),(51 774.0854),(52 768.37335),(53 765.96545),(54 777.3914),(55 757.069),(56 754.32355),(57 765.28754),(58 751.57263),(59 750.2206),(60 766.0445),(61 752.9315),(62 758.1647),(63 775.9741),(64 754.6065),(65 771.02936),(66 779.3079),(67 774.1779),(68 769.07043),(69 781.0025),(70 771.09845),(71 778.4192),(72 794.24274),(73 781.87665),(74 779.7207),(75 789.14056),(76 775.5276),(77 774.22205),(78 777.6584),(79 766.9321),
(1 374.6139),(2 482.6438),(3 541.9039),(4 600.3665),(5 623.165),(6 650.48474),(7 670.35974),(8 672.83344),(9 684.737),(10 699.7952),(11 703.9756),(12 709.34607),(13 724.2208),(14 717.0084),(15 712.65356),(16 726.3871),(17 717.1788),(18 717.88525),(19 724.78284),(20 718.80475),(21 707.8969),(22 720.6997),(23 727.94696),(24 728.8341),(25 728.595),(26 720.79266),(27 723.8827),(28 729.9804),(29 726.24567),(30 723.3909),(31 739.03534),(32 729.65393),(33 728.2057),(34 730.66156),(35 724.8114),(36 734.9447),(37 736.21014),(38 730.1573),(39 722.88586),(40 742.95197),(41 726.262),(42 737.17395),(43 768.0887),(44 756.1491),(45 764.2364),(46 774.3011),(47 754.8066),(48 761.2539),(49 764.2936),(50 767.0869),(51 784.05475),(52 771.23425),(53 774.9712),(54 791.55804),(55 768.97375),(56 770.9221),(57 777.0081),(58 763.6464),(59 770.7337),(60 785.9396),(61 773.3541),(62 774.2618),(63 789.2915),(64 766.7542),(65 775.3148),(66 791.01886),(67 785.21014),(68 786.4079),(69 787.2465),(70 773.9515),(71 779.6292),(72 792.2836),(73 776.6156),(74 775.8755),(75 789.9149),(76 776.44226),(77 781.2728),(78 791.17096),(79 778.53467),
(1 365.5799),(2 472.75592),(3 525.77954),(4 574.4824),(5 596.0563),(6 624.8591),(7 644.51276),(8 657.66296),(9 665.97125),(10 675.25305),(11 682.3691),(12 688.87274),(13 706.8989),(14 697.08405),(15 703.6149),(16 714.2237),(17 705.36053),(18 711.1762),(19 712.4581),(20 699.6437),(21 693.8912),(22 701.4926),(23 696.84686),(24 693.16406),(25 699.76733),(26 697.66754),(27 699.34314),(28 705.67114),(29 712.5704),(30 708.94226),(31 722.38806),(32 710.2389),(33 705.9714),(34 714.8319),(35 714.10675),(36 715.5263),(37 719.87244),(38 718.52277),(39 709.8953),(40 731.188),(41 716.2018),(42 717.8943),(43 734.6273),(44 721.08093),(45 729.50574),(46 737.6681),(47 723.0552),(48 728.2533),(49 726.92664),(50 730.5357),(51 744.78156),(52 735.9077),(53 743.6594),(54 753.8709),(55 739.6475),(56 747.44586),(57 759.95416),(58 746.76117),(59 747.61145),(60 759.03534),(61 744.0246),(62 745.49005),(63 759.64734),(64 748.2358),(65 752.22363),(66 772.40546),(67 767.4576),(68 763.14044),(69 768.9306),(70 758.66815),(71 758.17413),(72 774.1451),(73 757.8508),(74 756.27185),(75 771.46936),(76 763.73004),(77 768.30176),(78 776.5174),(79 764.8576),
(1 362.6073),(2 469.35342),(3 527.76776),(4 578.21106),(5 601.63684),(6 635.18097),(7 649.8346),(8 657.0276),(9 667.30084),(10 681.5805),(11 686.1952),(12 693.1868),(13 709.0594),(14 698.9636),(15 705.3162),(16 716.4714),(17 705.054),(18 705.09766),(19 713.89496),(20 711.23395),(21 704.96246),(22 712.5318),(23 707.0216),(24 708.88983),(25 717.8459),(26 717.22144),(27 712.72266),(28 720.5415),(29 726.87103),(30 725.10724),(31 728.927),(32 721.3219),(33 732.52014),(34 733.63696),(35 728.7971),(36 733.25635),(37 729.2562),(38 730.7589),(39 718.9648),(40 727.6764),(41 714.1281),(42 716.7868),(43 728.986),(44 721.5619),(45 728.355),(46 735.37415),(47 726.2815),(48 732.88354),(49 733.1356),(50 731.94165),(51 742.6508),(52 727.82056),(53 730.78375),(54 747.2084),(55 732.3433),(56 730.90234),(57 749.22186),(58 732.44916),(59 731.86847),(60 743.49054),(61 735.8081),(62 747.6835),(63 757.9575),(64 748.8785),(65 754.00055),(66 768.6277),(67 761.22424),(68 756.20435),(69 755.35736),(70 752.1608),(71 746.1906),(72 758.2727),(73 745.9951),(74 740.57666),(75 750.32874),(76 750.26404),(77 763.0248),(78 778.8694),(79 766.1821),
