1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 163047.39),(2 555505.6),(3 1111277.9),(4 1748039.9),(5 2431500.5),(6 3166634.8),(7 3928789.3),(8 4726218.5),(9 5546374.5),(10 6393225.5),(11 7255646.5),(12 8181403.5),(13 9107907),(14 10025417),(15 11172259),(16 12476199),(17 13755648),(18 15189288),(19 16725772),(20 18428184),(21 20318320),(22 22127586),(23 24090928),(24 26153878),(25 28431808),(26 30846136),(27 33408638),(28 36402900),(29 39372188),(30 42529364),(31 45761076),(32 49162676),(33 52531904),(34 56045716),(35 59867056),(36 63870740),(37 67910020),(38 71910590),(39 76319030),(40 80587670),(41 85200020),(42 90031300),(43 95601864),(44 100926920),(45 106806780),(46 112780220),(47 118880904),(48 125005976),(49 131383870),(50 137633340),(51 144101010),(52 150675000),(53 157329520),(54 163694530),(55 170493940),(56 176842080),(57 183512910),(58 190525250),(59 197107630),(60 203755780),(61 210825330),(62 217924880),(63 225567060),(64 232808450),(65 240057300),(66 246955260),(67 253804270),(68 260587570),(69 268043950),(70 274993630),(71 282658850),(72 290148450),(73 297964400),(74 305212000),(75 312771800),(76 320269920),(77 327937800),(78 335042720),(79 342379230),
(1 687.64844),(2 828.9591),(3 914.6848),(4 954.78284),(5 973.7529),(6 996.56616),(7 994.0075),(8 1013.2246),(9 1011.6836),(10 1020.49713),(11 1028.2703),(12 1032.9597),(13 1058.1506),(14 1062.8629),(15 1079.7711),(16 1083.9684),(17 1093.5006),(18 1096.4191),(19 1105.0144),(20 1104.8414),(21 1111.3792),(22 1125.1215),(23 1133.6669),(24 1143.3851),(25 1144.4148),(26 1155.3496),(27 1158.2104),(28 1179.4899),(29 1180.3356),(30 1196.248),(31 1184.75),(32 1178.5498),(33 1186.3597),(34 1182.1394),(35 1184.3688),(36 1181.8678),(37 1189.9957),(38 1198.6613),(39 1193.457),(40 1201.008),(41 1207.6581),(42 1221.7771),(43 1234.2334),(44 1238.1018),(45 1239.5446),(46 1238.4552),(47 1237.3627),(48 1246.5096),(49 1244.5471),(50 1237.3561),(51 1244.6022),(52 1257.8528),(53 1266.3938),(54 1271.4717),(55 1264.31),(56 1258.3314),(57 1257.5721),(58 1275.8179),(59 1275.7771),(60 1278.1948),(61 1273.7661),(62 1277.5616),(63 1279.4244),(64 1273.215),(65 1290.6151),(66 1269.1554),(67 1272.4454),(68 1273.212),(69 1274.7101),(70 1271.1351),(71 1269.8181),(72 1273.9557),(73 1282.7734),(74 1270.1895),(75 1269.84),(76 1266.6079),(77 1272.8154),(78 1263.726),(79 1253.8873),
(1 691.6673),(2 823.2864),(3 907.98364),(4 936.2704),(5 946.3199),(6 974.3496),(7 986.6899),(8 997.8891),(9 1010.59735),(10 1022.7693),(11 1014.72766),(12 1024.772),(13 1049.551),(14 1062.8395),(15 1079.6821),(16 1094.9547),(17 1090.3026),(18 1088.2445),(19 1089.4827),(20 1097.4392),(21 1111.406),(22 1108.9476),(23 1117.6014),(24 1126.2556),(25 1140.8525),(26 1139.035),(27 1138.9792),(28 1154.3981),(29 1150.7754),(30 1160.7748),(31 1167.678),(32 1173.1558),(33 1164.6046),(34 1167.5315),(35 1153.0815),(36 1151.535),(37 1148.2916),(38 1150.3811),(39 1168.1007),(40 1152.6812),(41 1158.4725),(42 1164.7134),(43 1184.6467),(44 1184.8344),(45 1193.2982),(46 1184.961),(47 1181.0609),(48 1172.6727),(49 1189.9315),(50 1184.9979),(51 1186.453),(52 1180.53),(53 1195.5089),(54 1190.0647),(55 1188.5299),(56 1190.9119),(57 1194.7859),(58 1206.3091),(59 1197.7128),(60 1210.9758),(61 1221.4875),(62 1224.8025),(63 1242.3878),(64 1244.0702),(65 1244.6852),(66 1237.5986),(67 1236.6243),(68 1228.2365),(69 1243.8524),(70 1231.0864),(71 1231.5226),(72 1223.2538),(73 1249.1348),(74 1215.681),(75 1215.1671),(76 1219.0385),(77 1223.5397),(78 1216.9076),(79 1214.1615),
(1 671.8308),(2 816.8488),(3 886.70184),(4 920.7061),(5 934.288),(6 950.5972),(7 965.952),(8 972.4846),(9 977.2197),(10 978.7527),(11 985.0619),(12 997.13153),(13 1012.1348),(14 1035.3785),(15 1037.0376),(16 1053.2911),(17 1045.5665),(18 1048.994),(19 1049.5045),(20 1058.4288),(21 1068.1055),(22 1063.4052),(23 1076.5732),(24 1085.1514),(25 1093.2338),(26 1094.6772),(27 1091.5706),(28 1104.5074),(29 1095.9756),(30 1096.8002),(31 1104.68),(32 1120.91),(33 1111.3693),(34 1108.1792),(35 1116.5255),(36 1095.7457),(37 1107.6938),(38 1113.41),(39 1114.8933),(40 1115.6624),(41 1120.062),(42 1115.1133),(43 1130.3867),(44 1140.9878),(45 1147.7054),(46 1145.3364),(47 1155.2045),(48 1148.9622),(49 1150.0651),(50 1150.2668),(51 1152.8416),(52 1159.3801),(53 1153.777),(54 1165.3904),(55 1167.6863),(56 1168.9486),(57 1165.9901),(58 1191.6764),(59 1181.5372),(60 1184.6453),(61 1194.6653),(62 1185.8999),(63 1209.4291),(64 1206.6802),(65 1203.7207),(66 1198.1217),(67 1199.5427),(68 1185.3119),(69 1194.5502),(70 1193.9697),(71 1185.3582),(72 1185.6724),(73 1212.4578),(74 1208.994),(75 1196.445),(76 1203.0322),(77 1207.1355),(78 1189.4711),(79 1179.9323),
(1 651.1595),(2 792.25055),(3 860.9049),(4 900.3091),(5 911.28),(6 922.8487),(7 929.3358),(8 955.8414),(9 961.32434),(10 970.07874),(11 974.2733),(12 997.53314),(13 1011.21234),(14 1019.57404),(15 1030.9407),(16 1032.3795),(17 1047.6768),(18 1044.0713),(19 1038.926),(20 1042.2958),(21 1039.1844),(22 1046.9751),(23 1051.6174),(24 1064.9264),(25 1054.5933),(26 1069.4371),(27 1063.6998),(28 1089.2499),(29 1080.5776),(30 1085.7161),(31 1091.2395),(32 1088.3763),(33 1096.425),(34 1098.6741),(35 1093.4208),(36 1094.0154),(37 1086.4205),(38 1088.0647),(39 1086.2865),(40 1090.6874),(41 1087.119),(42 1096.4578),(43 1098.0624),(44 1106.3112),(45 1118.0138),(46 1123.7942),(47 1105.8245),(48 1108.0762),(49 1113.9365),(50 1114.617),(51 1117.0991),(52 1124.2151),(53 1122.0354),(54 1126.0316),(55 1123.4407),(56 1126.3195),(57 1123.7115),(58 1127.9266),(59 1144.9114),(60 1147.7543),(61 1153.6497),(62 1163.0553),(63 1177.883),(64 1179.6053),(65 1182.4559),(66 1171.1929),(67 1174.722),(68 1185.3677),(69 1183.997),(70 1171.4127),(71 1175.8726),(72 1168.8768),(73 1174.0918),(74 1163.3401),(75 1172.8069),(76 1166.0629),(77 1178.7369),(78 1161.9166),(79 1157.1832),
(1 656.98816),(2 788.0927),(3 858.32544),(4 882.3458),(5 904.20496),(6 913.5836),(7 922.8068),(8 930.15265),(9 950.49725),(10 970.84766),(11 978.5839),(12 981.49304),(13 1001.4567),(14 1029.852),(15 1032.8116),(16 1048.4825),(17 1044.7185),(18 1049.7244),(19 1051.0979),(20 1050.6085),(21 1055.8802),(22 1052.012),(23 1062.6227),(24 1067.4797),(25 1071.6165),(26 1071.2393),(27 1074.4026),(28 1084.3894),(29 1092.8867),(30 1092.9088),(31 1086.5105),(32 1092.6091),(33 1098.5552),(34 1098.4231),(35 1092.5049),(36 1098.1495),(37 1096.4015),(38 1093.1156),(39 1090.6666),(40 1075.5654),(41 1082.8251),(42 1089.1586),(43 1109.1174),(44 1104.4845),(45 1112.989),(46 1120.7434),(47 1122.0707),(48 1123.6376),(49 1125.8114),(50 1124.6298),(51 1120.3529),(52 1122.6981),(53 1124.0188),(54 1119.5796),(55 1140.1195),(56 1138.9658),(57 1135.9961),(58 1153.9268),(59 1153.0486),(60 1156.4498),(61 1175.1783),(62 1169.4363),(63 1166.7913),(64 1186.5375),(65 1188.7644),(66 1192.9952),(67 1192.7026),(68 1193.3247),(69 1197.2537),(70 1192.2157),(71 1179.2959),(72 1154.7666),(73 1182.2869),(74 1166.6714),(75 1172.5615),(76 1171.6382),(77 1173.5313),(78 1177.6613),(79 1162.3741),
(1 646.8568),(2 768.6313),(3 834.1331),(4 871.31396),(5 873.74603),(6 900.9236),(7 909.2067),(8 910.316),(9 931.6303),(10 928.1073),(11 930.97974),(12 955.5121),(13 963.58685),(14 976.921),(15 982.55914),(16 996.8182),(17 1009.33954),(18 1004.12726),(19 999.74615),(20 1001.204),(21 1015.1757),(22 1010.9417),(23 1023.09357),(24 1026.918),(25 1027.6077),(26 1029.6082),(27 1033.0891),(28 1050.9177),(29 1046.8657),(30 1058.6631),(31 1038.9205),(32 1039.1434),(33 1040.0326),(34 1036.0687),(35 1032.9935),(36 1047.3988),(37 1047.1039),(38 1050.3263),(39 1043.5646),(40 1039.7705),(41 1039.4032),(42 1047.8586),(43 1064.6559),(44 1074.3615),(45 1080.486),(46 1079.4213),(47 1091.087),(48 1083.2052),(49 1086.4967),(50 1085.3052),(51 1087.4741),(52 1102.1172),(53 1099.4744),(54 1094.3247),(55 1112.8054),(56 1111.3109),(57 1108.4822),(58 1115.7551),(59 1119.2299),(60 1115.992),(61 1132.2632),(62 1124.5037),(63 1132.5027),(64 1128.4669),(65 1122.0522),(66 1132.2421),(67 1128.385),(68 1130.2275),(69 1123.7882),(70 1117.9697),(71 1100.1908),(72 1098.9227),(73 1114.7126),(74 1101.2045),(75 1102.0955),(76 1102.4476),(77 1109.3662),(78 1096.8275),(79 1087.2284),
(1 640.6026),(2 758.7547),(3 830.572),(4 869.49896),(5 870.4177),(6 891.2957),(7 897.94183),(8 917.01166),(9 917.45996),(10 936.20953),(11 942.3001),(12 957.20123),(13 968.7223),(14 962.8291),(15 980.32446),(16 979.6852),(17 998.5088),(18 1005.351),(19 1001.7636),(20 1013.71405),(21 1013.3084),(22 1019.07556),(23 1029.3538),(24 1033.168),(25 1032.5906),(26 1052.8267),(27 1040.5645),(28 1049.898),(29 1062.2146),(30 1074.359),(31 1064.3936),(32 1071.5287),(33 1068.5934),(34 1063.6454),(35 1064.2145),(36 1054.5114),(37 1060.3232),(38 1063.1361),(39 1078.7627),(40 1071.7516),(41 1071.51),(42 1068.7047),(43 1095.8512),(44 1094.0687),(45 1104.4526),(46 1109.9279),(47 1115.7059),(48 1102.0005),(49 1116.0831),(50 1116.9834),(51 1118.7041),(52 1116.0677),(53 1128.9171),(54 1130.017),(55 1136.9011),(56 1132.7883),(57 1136.8989),(58 1146.5009),(59 1151.4324),(60 1154.0527),(61 1160.2217),(62 1150.7042),(63 1173.4792),(64 1172.2693),(65 1168.5508),(66 1166.2354),(67 1147.6462),(68 1159.494),(69 1146.238),(70 1126.513),(71 1122.158),(72 1135.9447),(73 1137.311),(74 1135.456),(75 1140.6715),(76 1147.3403),(77 1147.389),(78 1141.4147),(79 1134.9148),
(1 619.33057),(2 736.3953),(3 806.52136),(4 842.8593),(5 859.5578),(6 884.04803),(7 884.78107),(8 895.1583),(9 914.3704),(10 915.3982),(11 916.4746),(12 921.6912),(13 942.4031),(14 958.1118),(15 962.78375),(16 959.43115),(17 978.5915),(18 984.8752),(19 992.3812),(20 984.0317),(21 990.25977),(22 990.20276),(23 1004.21466),(24 1007.4808),(25 1005.4462),(26 1023.9257),(27 1021.24963),(28 1026.9435),(29 1036.0125),(30 1036.3369),(31 1037.1841),(32 1039.5674),(33 1035.7728),(34 1034.7942),(35 1035.5123),(36 1036.8352),(37 1033.8014),(38 1026.8821),(39 1034.0704),(40 1034.598),(41 1038.698),(42 1046.1227),(43 1075.1133),(44 1059.0474),(45 1068.4751),(46 1058.9266),(47 1075.0774),(48 1070.9327),(49 1080.5872),(50 1084.7344),(51 1093.9563),(52 1104.4353),(53 1114.3845),(54 1116.904),(55 1118.3159),(56 1122.8193),(57 1115.801),(58 1129.0475),(59 1127.471),(60 1134.1938),(61 1137.8418),(62 1130.1132),(63 1136.2882),(64 1135.7921),(65 1135.851),(66 1133.7125),(67 1126.0686),(68 1140.8157),(69 1134.3435),(70 1111.8927),(71 1103.9896),(72 1119.1346),(73 1115.5198),(74 1105.7129),(75 1111.2312),(76 1120.2502),(77 1117.037),(78 1127.878),(79 1125.647),
(1 613.3967),(2 732.4916),(3 802.44214),(4 839.56555),(5 859.6309),(6 878.1775),(7 882.4052),(8 900.01855),(9 906.9861),(10 914.10254),(11 924.28656),(12 925.26886),(13 922.03143),(14 934.975),(15 955.38794),(16 943.4682),(17 962.8654),(18 967.341),(19 978.16205),(20 979.9647),(21 985.3108),(22 990.0835),(23 1011.2247),(24 1015.53735),(25 1021.2861),(26 1020.94),(27 1014.26526),(28 1025.0237),(29 1037.2197),(30 1033.9543),(31 1045.4071),(32 1048.9651),(33 1049.5775),(34 1049.3536),(35 1046.6493),(36 1044.2936),(37 1035.9347),(38 1034.1885),(39 1043.5895),(40 1038.2566),(41 1039.4656),(42 1044.0244),(43 1054.9434),(44 1073.2725),(45 1075.4854),(46 1076.3275),(47 1070.3441),(48 1077.4718),(49 1081.5339),(50 1079.2764),(51 1089.2548),(52 1101.0538),(53 1094.6675),(54 1091.5262),(55 1095.4208),(56 1111.0536),(57 1108.1503),(58 1116.6127),(59 1117.5642),(60 1133.6362),(61 1138.2208),(62 1132.3132),(63 1136.7158),(64 1138.6635),(65 1131.8903),(66 1134.1912),(67 1134.6033),(68 1132.9019),(69 1127.0522),(70 1120.8567),(71 1123.327),(72 1115.7433),(73 1129.2645),(74 1117.7944),(75 1122.5289),(76 1125.2247),(77 1118.0437),(78 1107.6139),(79 1101.6117),
(1 595.77905),(2 702.9835),(3 766.2564),(4 795.7124),(5 815.77466),(6 822.80444),(7 836.63477),(8 855.34595),(9 855.0388),(10 859.75195),(11 873.86633),(12 900.4748),(13 906.7583),(14 920.2221),(15 925.6806),(16 925.57385),(17 931.06866),(18 933.35626),(19 942.2871),(20 936.90674),(21 949.02655),(22 948.74615),(23 954.493),(24 962.32434),(25 966.9256),(26 966.3641),(27 972.33954),(28 974.88214),(29 993.7555),(30 986.6323),(31 994.286),(32 994.646),(33 992.92096),(34 990.67694),(35 991.9022),(36 994.5102),(37 995.194),(38 987.70264),(39 997.6662),(40 1003.7138),(41 1001.79694),(42 1006.17535),(43 1025.9812),(44 1020.6335),(45 1030.8291),(46 1036.9817),(47 1026.0571),(48 1034.8552),(49 1037.2725),(50 1047.3102),(51 1039.118),(52 1060.8773),(53 1062.4537),(54 1063.4869),(55 1071.2064),(56 1068.3218),(57 1068.0717),(58 1069.8914),(59 1070.5701),(60 1074.082),(61 1074.9548),(62 1076.797),(63 1076.8734),(64 1081.7834),(65 1076.6324),(66 1078.8164),(67 1086.6337),(68 1086.1174),(69 1071.7861),(70 1069.0763),(71 1060.1143),(72 1068.8306),(73 1077.8027),(74 1065.0602),(75 1059.4458),(76 1048.5476),(77 1056.3088),(78 1055.8794),(79 1049.5363),
(1 579.20905),(2 691.98425),(3 751.8548),(4 792.16846),(5 803.86664),(6 817.9454),(7 826.25745),(8 834.3352),(9 831.98584),(10 840.95856),(11 856.0703),(12 862.23413),(13 881.06635),(14 892.9285),(15 898.6294),(16 911.5319),(17 903.0479),(18 909.6305),(19 908.2083),(20 903.93866),(21 919.6694),(22 924.81),(23 931.0562),(24 923.98627),(25 926.51746),(26 941.7199),(27 938.84863),(28 959.09906),(29 957.68396),(30 960.671),(31 962.24384),(32 955.76904),(33 958.23016),(34 951.4658),(35 956.25006),(36 947.456),(37 946.8011),(38 960.58936),(39 957.66174),(40 966.4844),(41 970.5806),(42 970.1262),(43 990.5913),(44 991.60803),(45 994.22363),(46 991.6339),(47 1002.6606),(48 992.42676),(49 992.8344),(50 993.45807),(51 995.57434),(52 1003.8795),(53 1017.66345),(54 1014.79443),(55 1023.6502),(56 1012.50903),(57 1026.117),(58 1029.1895),(59 1036.0566),(60 1045.3066),(61 1028.8336),(62 1045.4722),(63 1037.0765),(64 1047.9404),(65 1039.2119),(66 1044.009),(67 1039.2963),(68 1048.1139),(69 1045.053),(70 1047.1691),(71 1036.4822),(72 1038.2303),(73 1043.8767),(74 1034.1798),(75 1023.34735),(76 1026.7699),(77 1024.8794),(78 1013.11383),(79 1011.4038),
(1 578.8642),(2 688.5492),(3 757.578),(4 785.9275),(5 798.3915),(6 809.45),(7 830.5112),(8 850.7783),(9 843.9283),(10 847.15344),(11 852.63086),(12 856.306),(13 881.29865),(14 891.97424),(15 898.67865),(16 908.0589),(17 917.8561),(18 910.84247),(19 913.11566),(20 916.241),(21 923.343),(22 924.1384),(23 922.6205),(24 929.1205),(25 939.62244),(26 936.7784),(27 940.718),(28 959.74304),(29 956.30884),(30 953.17255),(31 956.3411),(32 962.59265),(33 957.4285),(34 959.57947),(35 958.3144),(36 946.4919),(37 946.1362),(38 947.4468),(39 946.8915),(40 952.25793),(41 943.5221),(42 939.1775),(43 962.1341),(44 976.54956),(45 969.11725),(46 967.9177),(47 965.63446),(48 960.55927),(49 964.3047),(50 968.34326),(51 959.10974),(52 967.1907),(53 976.7545),(54 971.39905),(55 970.6673),(56 973.52924),(57 980.59784),(58 988.1415),(59 992.22943),(60 996.0204),(61 1002.79205),(62 1016.7762),(63 1025.3494),(64 1016.2682),(65 1009.6586),(66 1016.62915),(67 1007.13403),(68 1010.6762),(69 1015.357),(70 1005.6368),(71 997.11316),(72 1004.8801),(73 1022.398),(74 1016.62695),(75 1015.0636),(76 1009.1712),(77 1020.15674),(78 1003.4122),(79 1000.09247),
(1 560.70734),(2 671.0306),(3 737.26935),(4 762.78705),(5 770.3902),(6 786.4269),(7 797.058),(8 808.8917),(9 817.66797),(10 810.74854),(11 819.3371),(12 820.4573),(13 840.7956),(14 847.69),(15 859.4691),(16 876.26825),(17 874.8367),(18 880.0099),(19 867.48834),(20 872.44476),(21 870.73175),(22 874.0143),(23 871.98376),(24 874.8365),(25 867.6881),(26 866.0247),(27 871.2589),(28 883.54193),(29 885.6511),(30 888.56683),(31 887.4367),(32 884.08966),(33 883.5516),(34 881.8864),(35 884.87256),(36 890.26825),(37 880.5715),(38 883.02966),(39 879.34344),(40 887.3837),(41 878.7479),(42 875.0594),(43 905.9277),(44 910.92584),(45 914.4706),(46 916.9554),(47 932.6841),(48 926.868),(49 923.76807),(50 924.3682),(51 929.0647),(52 914.8681),(53 923.3462),(54 925.5439),(55 925.8534),(56 936.8798),(57 938.59625),(58 945.9187),(59 941.50397),(60 946.90393),(61 954.1789),(62 952.79297),(63 968.01294),(64 961.84503),(65 943.59546),(66 946.7443),(67 952.2957),(68 945.1646),(69 945.3478),(70 940.42236),(71 937.01355),(72 928.4896),(73 941.74884),(74 932.0563),(75 930.6218),(76 941.4647),(77 946.7924),(78 925.3234),(79 924.72485),
(1 546.9179),(2 654.74567),(3 710.49554),(4 744.37024),(5 763.6575),(6 773.51434),(7 780.5424),(8 798.3819),(9 807.67957),(10 810.2681),(11 824.91876),(12 836.9346),(13 843.4403),(14 854.2487),(15 865.9862),(16 870.9837),(17 873.8655),(18 887.049),(19 882.6572),(20 871.6507),(21 883.5451),(22 880.4141),(23 895.2635),(24 896.9662),(25 894.0221),(26 894.02545),(27 896.77496),(28 912.43964),(29 907.4991),(30 913.67285),(31 915.1193),(32 910.1594),(33 919.26654),(34 919.6851),(35 920.3927),(36 905.82904),(37 917.6567),(38 915.2975),(39 910.72424),(40 912.5506),(41 914.6917),(42 917.8896),(43 937.1915),(44 936.3865),(45 926.68567),(46 930.3296),(47 939.29846),(48 937.1878),(49 936.0604),(50 927.1417),(51 936.4547),(52 936.92926),(53 936.0404),(54 944.74005),(55 948.3683),(56 953.5003),(57 959.0892),(58 967.78217),(59 969.25024),(60 978.982),(61 972.2825),(62 967.65424),(63 971.1493),(64 972.29846),(65 973.91077),(66 978.6847),(67 975.0992),(68 973.8889),(69 976.648),(70 962.01355),(71 962.8703),(72 957.46423),(73 958.8885),(74 951.1144),(75 944.6806),(76 941.1372),(77 945.59247),(78 942.46747),(79 938.1483),
(1 525.2444),(2 630.7546),(3 690.6979),(4 719.9218),(5 734.4762),(6 754.0832),(7 767.69574),(8 777.8114),(9 778.12103),(10 774.4006),(11 799.1822),(12 803.749),(13 816.5135),(14 813.5029),(15 831.4224),(16 841.2476),(17 847.918),(18 848.0099),(19 847.5334),(20 848.28925),(21 856.3532),(22 863.53754),(23 862.0138),(24 866.1796),(25 867.37146),(26 868.14325),(27 866.3875),(28 877.9808),(29 881.9809),(30 899.79834),(31 903.4553),(32 903.01666),(33 899.31116),(34 897.4121),(35 893.19446),(36 892.4567),(37 893.4018),(38 893.6853),(39 894.5377),(40 891.5233),(41 892.46564),(42 904.43274),(43 923.02814),(44 927.73615),(45 927.3348),(46 935.1429),(47 932.96686),(48 931.5706),(49 939.483),(50 937.37524),(51 945.5335),(52 941.4053),(53 951.05786),(54 947.30273),(55 946.13446),(56 949.8416),(57 957.3477),(58 953.83765),(59 955.5465),(60 963.49536),(61 962.0458),(62 961.8199),(63 957.7032),(64 956.4545),(65 955.0972),(66 952.222),(67 955.5135),(68 950.2956),(69 950.2524),(70 936.2975),(71 929.9848),(72 933.4372),(73 939.8837),(74 936.4776),(75 932.8512),(76 933.0946),(77 930.60046),(78 921.6199),(79 923.0286),
(1 530.9492),(2 628.3157),(3 686.10657),(4 709.55066),(5 724.26465),(6 738.0795),(7 758.4173),(8 756.9489),(9 765.13245),(10 769.4903),(11 780.0045),(12 779.0778),(13 797.332),(14 811.938),(15 830.7946),(16 838.2984),(17 831.58887),(18 834.4386),(19 830.7808),(20 837.62994),(21 844.2242),(22 854.2973),(23 850.276),(24 844.6284),(25 851.3605),(26 854.26685),(27 849.4813),(28 870.9646),(29 870.9455),(30 876.86127),(31 874.6374),(32 878.0125),(33 877.9996),(34 870.2631),(35 869.6394),(36 869.0885),(37 862.89014),(38 856.67017),(39 861.1857),(40 850.5432),(41 851.16174),(42 851.0359),(43 864.36365),(44 876.2366),(45 873.8411),(46 888.342),(47 900.2595),(48 893.1045),(49 902.29474),(50 906.756),(51 913.1026),(52 908.0304),(53 914.4916),(54 909.01965),(55 910.65814),(56 903.76154),(57 898.62354),(58 907.39795),(59 916.8495),(60 926.5379),(61 921.8358),(62 924.29645),(63 925.2389),(64 921.32166),(65 914.2013),(66 917.90845),(67 923.145),(68 916.5414),(69 912.73517),(70 899.8181),(71 896.9658),(72 907.8581),(73 914.53625),(74 904.66766),(75 905.5638),(76 906.5151),(77 905.6718),(78 914.9231),(79 906.74536),
(1 525.57654),(2 631.49146),(3 689.15625),(4 718.46564),(5 729.2036),(6 740.295),(7 741.92786),(8 747.005),(9 764.8176),(10 766.6065),(11 778.2324),(12 782.94196),(13 802.1283),(14 822.9673),(15 824.34106),(16 830.8216),(17 841.4046),(18 845.0879),(19 847.7146),(20 848.9837),(21 849.2983),(22 859.18427),(23 860.1087),(24 850.74976),(25 862.23566),(26 868.54),(27 873.27606),(28 884.7462),(29 892.0367),(30 897.8849),(31 887.7789),(32 882.6759),(33 896.48676),(34 897.047),(35 891.8287),(36 887.01886),(37 881.95795),(38 876.0086),(39 883.48627),(40 879.8395),(41 887.2607),(42 889.54767),(43 909.8568),(44 923.9758),(45 920.79645),(46 924.8355),(47 930.5443),(48 923.76294),(49 924.1783),(50 922.4833),(51 924.8071),(52 941.8122),(53 938.0715),(54 935.2329),(55 947.4169),(56 946.20404),(57 937.39105),(58 957.24445),(59 954.4163),(60 962.4458),(61 967.8752),(62 955.7614),(63 950.5825),(64 949.285),(65 952.68353),(66 952.4809),(67 950.8639),(68 945.6421),(69 938.74854),(70 934.7812),(71 932.58386),(72 943.88794),(73 955.96906),(74 944.98956),(75 948.5499),(76 950.76746),(77 955.5128),(78 958.9311),(79 949.3334),
