1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 89102.02),(2 315194.3),(3 630956.3),(4 1013582.94),(5 1410893.5),(6 1867401.6),(7 2329679.3),(8 2733127.8),(9 3032591.3),(10 3299556),(11 3554622.8),(12 3904032),(13 4355074),(14 4886665.5),(15 5415057.5),(16 5942387.5),(17 6533862),(18 7052522.5),(19 7569811.5),(20 7933914.5),(21 8210248),(22 8295641.5),(23 8373144.5),(24 8425420),(25 8671425),(26 9001905),(27 9367571),(28 9795100),(29 10239081),(30 10726045),(31 11139531),(32 11492772),(33 11671289),(34 11740455),(35 11759780),(36 11748467),(37 11734640),(38 11763309),(39 11804053),(40 11775856),(41 11733080),(42 11698437),(43 11708125),(44 11580997),(45 11463127),(46 11261837),(47 11012031),(48 10745560),(49 10442671),(50 10186489),(51 10030701),(52 10042473),(53 10083641),(54 10151999),(55 10202923),(56 10291908),(57 10392111),(58 10464894),(59 10588323),(60 10854931),(61 11194533),(62 11699445),(63 12333359),(64 13092972),(65 13917280),(66 14869723),(67 15941175),(68 17060192),(69 18213422),(70 19503474),(71 20799556),(72 22044158),(73 23198752),(74 24428878),(75 25589358),(76 26824768),(77 28131718),(78 29575726),(79 31069320),
(1 317.87024),(2 369.842),(3 409.40533),(4 431.865),(5 448.6252),(6 467.67487),(7 476.33487),(8 490.65237),(9 507.9826),(10 517.3092),(11 517.2838),(12 523.716),(13 531.2316),(14 537.9425),(15 551.9816),(16 552.8786),(17 554.35223),(18 563.6245),(19 565.39716),(20 570.0236),(21 568.13934),(22 564.5234),(23 568.36115),(24 570.93225),(25 571.5969),(26 565.6343),(27 572.69495),(28 573.13367),(29 570.6774),(30 567.6472),(31 568.22864),(32 569.73627),(33 565.34174),(34 561.3525),(35 558.1687),(36 564.07794),(37 555.8268),(38 557.26086),(39 562.24695),(40 556.6219),(41 562.9003),(42 565.7546),(43 563.618),(44 565.3012),(45 567.5995),(46 572.3629),(47 573.47485),(48 574.9896),(49 575.1513),(50 578.95557),(51 575.03796),(52 569.1734),(53 576.2091),(54 577.03265),(55 578.10474),(56 578.6118),(57 583.2141),(58 578.1752),(59 586.89233),(60 587.976),(61 589.79803),(62 584.0316),(63 587.81177),(64 583.34326),(65 578.6524),(66 580.11884),(67 577.1612),(68 575.6759),(69 573.137),(70 573.24786),(71 577.269),(72 574.28125),(73 572.0243),(74 576.12604),(75 573.4183),(76 572.0832),(77 575.90656),(78 578.32965),(79 583.5257),
(1 308.49844),(2 357.25232),(3 396.12576),(4 406.48645),(5 424.42627),(6 442.47577),(7 455.97348),(8 469.36676),(9 484.63397),(10 495.84152),(11 498.21167),(12 500.76526),(13 506.7622),(14 515.0327),(15 523.4577),(16 531.1892),(17 530.7629),(18 536.00726),(19 531.1846),(20 534.16943),(21 534.31213),(22 527.15216),(23 536.0098),(24 537.06494),(25 544.5736),(26 539.1536),(27 547.3557),(28 556.11536),(29 553.2572),(30 554.0651),(31 543.9729),(32 550.15967),(33 548.9676),(34 543.4928),(35 542.5965),(36 547.64197),(37 546.46106),(38 544.5853),(39 554.1731),(40 542.9434),(41 552.64624),(42 546.6348),(43 545.4017),(44 546.4754),(45 553.4483),(46 548.24963),(47 549.94867),(48 552.2865),(49 546.95197),(50 545.8817),(51 551.504),(52 551.8643),(53 561.7256),(54 560.44415),(55 561.4287),(56 557.1705),(57 564.95294),(58 565.99066),(59 562.4085),(60 566.1407),(61 567.5228),(62 564.7474),(63 564.38995),(64 568.1212),(65 567.47656),(66 569.6628),(67 570.3994),(68 561.67065),(69 561.0395),(70 554.36145),(71 562.94543),(72 562.9441),(73 549.9993),(74 555.8672),(75 560.97876),(76 560.8606),(77 558.97955),(78 558.8303),(79 564.7),
(1 300.19894),(2 349.5448),(3 390.21243),(4 403.0448),(5 423.24524),(6 434.32748),(7 448.9018),(8 461.21823),(9 467.51566),(10 478.0529),(11 480.1278),(12 485.25012),(13 498.2122),(14 505.05896),(15 510.90463),(16 519.7022),(17 522.9201),(18 526.847),(19 532.7105),(20 532.24365),(21 539.2692),(22 539.5964),(23 542.0295),(24 544.1492),(25 545.01764),(26 552.7871),(27 555.9521),(28 556.03894),(29 556.6329),(30 559.28125),(31 554.6379),(32 551.26385),(33 546.08057),(34 547.67523),(35 543.10004),(36 541.42676),(37 542.1912),(38 533.89374),(39 553.35614),(40 546.25165),(41 544.9537),(42 545.79663),(43 548.629),(44 545.7166),(45 556.45575),(46 560.3781),(47 563.8614),(48 557.8014),(49 557.5662),(50 555.06854),(51 567.15344),(52 557.8949),(53 557.3483),(54 555.5111),(55 556.9106),(56 560.3336),(57 562.9953),(58 559.16425),(59 564.2898),(60 561.81494),(61 562.924),(62 564.22034),(63 568.28253),(64 572.3804),(65 568.58154),(66 578.4046),(67 566.6268),(68 567.20514),(69 567.51825),(70 562.4794),(71 561.958),(72 561.719),(73 557.4926),(74 564.498),(75 565.5116),(76 571.54675),(77 569.6403),(78 568.4389),(79 566.6985),
(1 298.08734),(2 348.30783),(3 388.66446),(4 410.09155),(5 421.16745),(6 440.07578),(7 446.60043),(8 459.634),(9 471.1438),(10 483.33777),(11 484.5004),(12 492.10895),(13 507.53876),(14 505.6586),(15 513.116),(16 521.168),(17 524.4386),(18 524.0044),(19 528.9182),(20 531.48834),(21 527.8686),(22 534.3105),(23 532.5352),(24 532.4191),(25 534.60425),(26 533.2909),(27 539.3951),(28 546.5241),(29 542.1167),(30 543.1523),(31 539.0828),(32 539.5895),(33 537.21735),(34 539.7996),(35 540.1827),(36 544.0636),(37 535.27905),(38 539.8504),(39 548.2223),(40 542.11926),(41 539.2505),(42 543.7),(43 552.30273),(44 544.845),(45 542.06415),(46 552.51135),(47 545.93097),(48 542.053),(49 539.8438),(50 539.25867),(51 542.8026),(52 538.4023),(53 540.18134),(54 539.969),(55 537.7629),(56 543.55835),(57 547.2739),(58 543.0296),(59 546.42566),(60 548.05505),(61 545.08923),(62 540.8202),(63 545.6378),(64 547.8766),(65 551.29767),(66 552.7994),(67 545.412),(68 547.97614),(69 546.83527),(70 544.585),(71 538.3651),(72 537.06165),(73 536.56305),(74 539.2423),(75 539.6997),(76 543.60974),(77 542.1021),(78 540.91235),(79 543.1088),
(1 288.7356),(2 338.0661),(3 367.6883),(4 387.16537),(5 404.5539),(6 418.00784),(7 434.24222),(8 443.14798),(9 456.05978),(10 461.78653),(11 459.8221),(12 470.4294),(13 478.40588),(14 478.5561),(15 487.78326),(16 498.09265),(17 496.438),(18 497.87933),(19 502.17676),(20 501.03214),(21 498.8517),(22 503.19092),(23 506.24075),(24 500.91098),(25 499.38715),(26 499.4861),(27 506.63913),(28 509.35986),(29 500.6873),(30 506.5141),(31 499.07248),(32 498.6001),(33 500.63272),(34 505.55765),(35 507.55652),(36 512.7829),(37 506.44833),(38 509.83575),(39 512.4596),(40 508.37216),(41 515.2649),(42 512.6767),(43 513.9984),(44 509.56973),(45 515.5465),(46 523.6134),(47 514.7787),(48 513.75195),(49 516.8314),(50 520.0113),(51 514.5725),(52 518.79816),(53 521.2057),(54 521.7801),(55 519.9751),(56 519.5771),(57 521.54443),(58 516.43976),(59 524.006),(60 523.9857),(61 520.7853),(62 525.7858),(63 522.1379),(64 529.7473),(65 529.9587),(66 529.15686),(67 522.57513),(68 526.9274),(69 527.65936),(70 523.72473),(71 521.1028),(72 521.0693),(73 525.6617),(74 515.8591),(75 519.2515),(76 527.9215),(77 531.3449),(78 527.0848),(79 532.28046),
(1 284.24344),(2 332.25107),(3 366.3435),(4 388.25107),(5 404.29926),(6 410.0275),(7 421.40573),(8 434.93826),(9 449.8637),(10 455.54132),(11 457.74966),(12 472.72293),(13 477.1325),(14 481.24933),(15 490.96634),(16 486.39853),(17 494.41708),(18 492.1908),(19 505.1054),(20 499.2927),(21 495.3157),(22 496.26266),(23 497.04913),(24 494.43073),(25 498.90497),(26 503.05347),(27 510.78107),(28 512.189),(29 501.89716),(30 506.23206),(31 501.80838),(32 489.74002),(33 493.14627),(34 495.64807),(35 496.15027),(36 502.07568),(37 503.25043),(38 505.26706),(39 507.0376),(40 505.65338),(41 509.41763),(42 510.63208),(43 516.79834),(44 515.11414),(45 518.2668),(46 520.0858),(47 515.0898),(48 513.8958),(49 514.69684),(50 516.6624),(51 523.8134),(52 524.4042),(53 528.6228),(54 526.3694),(55 520.91364),(56 522.77466),(57 510.95593),(58 517.55426),(59 514.8894),(60 517.64996),(61 521.99274),(62 520.1677),(63 519.3944),(64 516.54474),(65 520.67365),(66 520.3745),(67 518.6752),(68 522.32434),(69 522.71387),(70 515.21234),(71 518.67566),(72 518.80884),(73 515.635),(74 511.87552),(75 515.2256),(76 514.0984),(77 515.59827),(78 513.7649),(79 512.3769),
(1 269.75574),(2 316.65372),(3 350.35556),(4 369.39386),(5 380.19443),(6 391.59256),(7 402.86835),(8 422.3001),(9 429.15338),(10 425.38922),(11 432.2012),(12 439.8117),(13 445.48328),(14 455.1622),(15 465.56772),(16 464.3809),(17 468.1144),(18 470.21533),(19 475.46616),(20 474.39087),(21 473.81516),(22 473.85095),(23 478.4279),(24 483.8127),(25 488.9262),(26 495.93896),(27 498.45322),(28 500.18854),(29 494.77066),(30 499.69656),(31 491.98663),(32 481.98593),(33 490.9225),(34 489.36813),(35 491.59918),(36 487.4265),(37 481.08676),(38 488.3517),(39 492.80734),(40 493.60074),(41 499.9028),(42 495.96664),(43 495.94315),(44 491.95602),(45 491.63522),(46 490.82776),(47 493.49506),(48 491.60574),(49 490.88068),(50 490.84665),(51 496.5412),(52 490.5243),(53 498.48862),(54 493.53903),(55 494.6776),(56 499.37793),(57 496.6881),(58 499.7295),(59 501.124),(60 507.342),(61 505.1577),(62 499.4601),(63 501.77505),(64 496.76627),(65 502.61197),(66 498.00656),(67 495.24518),(68 498.1355),(69 498.513),(70 495.65515),(71 497.6872),(72 496.65817),(73 499.1922),(74 489.95468),(75 490.13638),(76 489.64636),(77 490.33984),(78 492.53732),(79 486.64453),
(1 270.99783),(2 320.27582),(3 346.7775),(4 365.7341),(5 379.07187),(6 391.95163),(7 402.50992),(8 418.61505),(9 422.7225),(10 431.29187),(11 432.52927),(12 438.3915),(13 450.27014),(14 454.58252),(15 463.05078),(16 463.975),(17 467.31024),(18 467.55215),(19 471.04974),(20 473.23953),(21 480.03897),(22 482.30585),(23 476.7059),(24 484.32043),(25 482.51285),(26 484.12714),(27 483.4994),(28 483.0231),(29 478.34134),(30 480.24246),(31 479.49948),(32 472.8532),(33 481.8994),(34 475.48264),(35 476.0625),(36 475.09952),(37 471.22314),(38 470.86227),(39 479.26852),(40 488.28027),(41 487.6773),(42 483.37527),(43 480.96243),(44 492.4621),(45 499.31696),(46 493.12073),(47 495.98642),(48 495.2579),(49 498.48352),(50 500.0073),(51 502.50146),(52 498.27316),(53 502.30157),(54 496.24445),(55 498.31726),(56 503.08105),(57 502.974),(58 501.66003),(59 504.06854),(60 512.19116),(61 511.4093),(62 508.41052),(63 509.6184),(64 511.56113),(65 508.85974),(66 506.99997),(67 499.55392),(68 503.93494),(69 503.12704),(70 503.84503),(71 500.9231),(72 507.28323),(73 508.1578),(74 501.3328),(75 504.25793),(76 513.7929),(77 513.06885),(78 511.37946),(79 508.87256),
(1 265.02048),(2 310.76672),(3 336.74704),(4 354.38095),(5 368.6776),(6 379.65518),(7 394.80658),(8 404.4822),(9 416.05737),(10 426.04608),(11 425.5887),(12 432.4252),(13 441.4624),(14 443.4308),(15 456.41922),(16 459.3657),(17 458.19073),(18 456.42773),(19 464.03818),(20 466.1763),(21 463.6574),(22 469.20554),(23 470.3466),(24 472.04184),(25 476.7851),(26 479.29034),(27 479.13248),(28 475.8576),(29 474.11197),(30 479.01968),(31 475.08444),(32 470.71967),(33 471.70923),(34 468.98914),(35 469.3888),(36 470.94714),(37 468.60138),(38 470.50372),(39 478.28696),(40 482.67316),(41 482.0648),(42 476.80463),(43 472.85782),(44 476.87332),(45 482.4393),(46 477.35986),(47 481.64624),(48 481.85965),(49 477.3742),(50 476.65457),(51 473.44492),(52 473.7604),(53 482.0198),(54 479.2896),(55 479.00906),(56 482.90765),(57 487.8811),(58 483.58423),(59 497.6622),(60 495.42953),(61 498.9891),(62 497.4876),(63 499.4649),(64 496.93918),(65 500.0564),(66 503.39612),(67 495.2733),(68 499.6437),(69 499.73782),(70 497.99426),(71 491.19287),(72 491.38406),(73 492.24527),(74 489.26077),(75 492.4589),(76 494.1783),(77 487.07584),(78 487.17117),(79 483.71472),
(1 256.5562),(2 299.3233),(3 323.46567),(4 343.27313),(5 354.64178),(6 368.79922),(7 381.0296),(8 393.1743),(9 402.7565),(10 414.44876),(11 417.98648),(12 425.7694),(13 427.6995),(14 437.55347),(15 446.36417),(16 449.5411),(17 447.47833),(18 448.4562),(19 448.5589),(20 453.99066),(21 450.97214),(22 452.99448),(23 453.85907),(24 457.74164),(25 462.36),(26 469.2372),(27 470.27145),(28 473.12955),(29 470.20392),(30 475.91025),(31 470.56454),(32 473.40543),(33 468.46576),(34 470.29614),(35 470.09207),(36 465.3913),(37 467.8524),(38 464.53278),(39 466.8106),(40 467.0128),(41 464.26404),(42 470.13843),(43 472.11414),(44 474.32928),(45 479.29208),(46 473.93152),(47 477.53262),(48 480.4193),(49 471.91946),(50 482.09146),(51 473.93323),(52 473.72745),(53 482.07416),(54 483.90094),(55 480.73804),(56 490.64),(57 486.7296),(58 489.81882),(59 492.38666),(60 497.69577),(61 494.72647),(62 495.82864),(63 499.1863),(64 496.60443),(65 496.86792),(66 501.01096),(67 497.26364),(68 499.4957),(69 496.35242),(70 497.70065),(71 487.56415),(72 493.65726),(73 488.433),(74 485.11984),(75 487.5997),(76 483.42276),(77 484.72626),(78 496.569),(79 489.58173),
(1 250.47968),(2 290.37814),(3 319.87442),(4 340.0919),(5 352.53915),(6 361.94406),(7 380.46967),(8 392.33524),(9 401.10925),(10 405.0619),(11 412.46747),(12 413.279),(13 419.2383),(14 426.39197),(15 439.67972),(16 441.28574),(17 435.7814),(18 438.84137),(19 440.68512),(20 446.03598),(21 445.96695),(22 443.08008),(23 437.49197),(24 444.0832),(25 442.98886),(26 449.05023),(27 445.15005),(28 450.46957),(29 445.9643),(30 453.8636),(31 453.38626),(32 449.94357),(33 448.54587),(34 444.706),(35 448.0155),(36 450.62653),(37 450.8162),(38 448.56442),(39 449.9183),(40 453.20084),(41 449.26837),(42 446.98038),(43 446.92004),(44 454.4014),(45 459.07843),(46 456.53616),(47 457.13785),(48 458.13858),(49 457.70093),(50 469.5674),(51 462.20276),(52 465.11734),(53 469.67108),(54 470.12802),(55 473.8125),(56 472.90305),(57 473.88818),(58 479.2336),(59 480.27792),(60 479.6697),(61 480.5919),(62 481.4656),(63 482.10284),(64 477.50296),(65 477.29077),(66 475.78723),(67 469.06134),(68 468.49445),(69 470.11774),(70 471.967),(71 468.4373),(72 476.11774),(73 469.18048),(74 467.08264),(75 467.06674),(76 461.2456),(77 464.4829),(78 464.96152),(79 465.53036),
(1 248.1264),(2 285.93878),(3 307.29572),(4 326.79727),(5 341.94827),(6 351.4421),(7 364.61932),(8 375.38098),(9 383.0899),(10 391.225),(11 400.44006),(12 401.81772),(13 405.90714),(14 409.35788),(15 415.02396),(16 414.1378),(17 415.19788),(18 417.88376),(19 424.77682),(20 426.8015),(21 430.98016),(22 426.36758),(23 427.9333),(24 428.13928),(25 432.91888),(26 436.28015),(27 437.01846),(28 435.98795),(29 436.72787),(30 435.60367),(31 433.86777),(32 430.72302),(33 430.4174),(34 425.77496),(35 426.28143),(36 432.33493),(37 429.42163),(38 431.51953),(39 440.66208),(40 438.06088),(41 438.661),(42 438.50195),(43 440.0174),(44 441.38754),(45 446.4742),(46 440.60828),(47 440.91653),(48 441.4775),(49 441.02814),(50 439.70718),(51 445.9696),(52 444.3464),(53 449.03464),(54 448.81998),(55 444.05212),(56 444.89746),(57 442.43417),(58 445.70367),(59 446.50122),(60 439.24197),(61 450.30313),(62 453.86722),(63 453.28116),(64 456.3383),(65 453.2615),(66 455.46686),(67 452.72073),(68 451.00613),(69 454.07678),(70 451.8016),(71 449.35107),(72 447.92905),(73 449.47675),(74 452.06863),(75 452.4084),(76 450.2556),(77 449.78247),(78 448.58304),(79 451.34528),
(1 242.51413),(2 280.21564),(3 302.52267),(4 320.05972),(5 330.92343),(6 345.03616),(7 361.44977),(8 365.92786),(9 375.08148),(10 379.67862),(11 387.37567),(12 395.89554),(13 396.12646),(14 403.05154),(15 409.6381),(16 417.49863),(17 418.45203),(18 421.9189),(19 424.1035),(20 423.56964),(21 424.69437),(22 427.3674),(23 431.57013),(24 430.04926),(25 430.05466),(26 427.5583),(27 428.24487),(28 431.18362),(29 426.69308),(30 435.00833),(31 434.49847),(32 435.8174),(33 430.8209),(34 432.00235),(35 437.50574),(36 437.11047),(37 433.73224),(38 430.82358),(39 437.83542),(40 438.09253),(41 440.91812),(42 444.2521),(43 445.3019),(44 444.61084),(45 443.596),(46 442.87585),(47 445.0686),(48 444.4741),(49 446.74634),(50 443.1189),(51 451.69446),(52 452.58524),(53 447.21317),(54 449.06348),(55 450.80322),(56 448.79004),(57 455.66504),(58 452.62302),(59 460.322),(60 456.4319),(61 460.1162),(62 466.57315),(63 463.7189),(64 460.04388),(65 457.2034),(66 457.54834),(67 455.18317),(68 452.28867),(69 454.89996),(70 453.95108),(71 451.1161),(72 450.38287),(73 449.462),(74 447.75937),(75 449.1779),(76 444.62827),(77 443.62775),(78 448.33215),(79 443.7515),
(1 238.13614),(2 275.97348),(3 298.83484),(4 314.0683),(5 329.74142),(6 342.97516),(7 353.59268),(8 360.59766),(9 372.44092),(10 376.75873),(11 386.1179),(12 389.67477),(13 397.72626),(14 400.8823),(15 409.4328),(16 411.6948),(17 415.2436),(18 416.16205),(19 419.52713),(20 419.49988),(21 415.48764),(22 417.75485),(23 421.69928),(24 416.17612),(25 416.97455),(26 417.81393),(27 412.29037),(28 419.43204),(29 417.95178),(30 422.12497),(31 419.26355),(32 416.91785),(33 412.8515),(34 410.4745),(35 410.75122),(36 416.4731),(37 417.9553),(38 421.79855),(39 422.23206),(40 421.0829),(41 423.6767),(42 428.76184),(43 426.91663),(44 428.2126),(45 432.43448),(46 433.34338),(47 438.71024),(48 439.34244),(49 437.09094),(50 438.35938),(51 435.89075),(52 435.98328),(53 434.929),(54 436.085),(55 436.2025),(56 436.57922),(57 439.18994),(58 436.6739),(59 439.80853),(60 442.98328),(61 443.80365),(62 449.00003),(63 442.9484),(64 444.8543),(65 448.5798),(66 444.6223),(67 449.1399),(68 450.09256),(69 441.08972),(70 440.5102),(71 444.32172),(72 443.62985),(73 444.32108),(74 442.23618),(75 446.53104),(76 442.498),(77 437.8967),(78 438.35928),(79 434.40186),
(1 234.68938),(2 269.51675),(3 292.5687),(4 306.3861),(5 320.5982),(6 334.16562),(7 343.7257),(8 356.77768),(9 361.76468),(10 364.8828),(11 371.14676),(12 375.02408),(13 381.71014),(14 381.9531),(15 393.69626),(16 397.64517),(17 400.12888),(18 397.26468),(19 403.8421),(20 401.4508),(21 400.9903),(22 407.97223),(23 407.5011),(24 408.75073),(25 411.92532),(26 412.77386),(27 412.50974),(28 412.7103),(29 409.51108),(30 411.88135),(31 410.53015),(32 405.24002),(33 406.91223),(34 406.82465),(35 405.70844),(36 405.93295),(37 409.37323),(38 409.15805),(39 411.23672),(40 410.1467),(41 410.0822),(42 414.38266),(43 409.3047),(44 411.47473),(45 415.19376),(46 412.28714),(47 414.02124),(48 410.4762),(49 414.7451),(50 416.25204),(51 417.6491),(52 418.67896),(53 420.89502),(54 420.0655),(55 421.96942),(56 418.872),(57 422.9036),(58 422.5169),(59 430.04593),(60 427.15927),(61 424.3381),(62 425.81384),(63 428.70062),(64 425.81378),(65 427.61115),(66 430.84378),(67 433.41782),(68 431.16168),(69 429.14404),(70 423.46204),(71 423.81442),(72 429.7193),(73 426.51785),(74 428.09872),(75 424.9927),(76 429.88718),(77 429.14154),(78 426.8928),(79 426.82776),
(1 231.89719),(2 269.04425),(3 291.087),(4 301.33746),(5 320.732),(6 334.19473),(7 335.83945),(8 349.174),(9 355.0059),(10 361.95392),(11 369.19537),(12 371.81516),(13 378.49747),(14 384.915),(15 393.2816),(16 394.15057),(17 395.04944),(18 397.5287),(19 399.79037),(20 398.3909),(21 400.603),(22 406.13785),(23 406.42404),(24 405.7331),(25 411.69357),(26 406.4371),(27 403.91772),(28 407.3692),(29 406.83197),(30 411.09732),(31 411.04242),(32 407.3891),(33 408.66528),(34 406.05353),(35 409.3224),(36 405.55472),(37 413.98715),(38 406.39407),(39 411.7773),(40 413.92084),(41 419.76434),(42 416.3208),(43 415.07504),(44 421.70514),(45 422.96814),(46 423.90375),(47 419.1983),(48 414.42648),(49 420.44537),(50 417.7214),(51 420.73984),(52 422.3911),(53 422.73434),(54 418.83633),(55 421.6467),(56 417.62802),(57 421.61118),(58 415.82504),(59 424.57788),(60 426.4938),(61 425.08282),(62 424.72913),(63 428.6371),(64 425.53128),(65 428.8786),(66 426.6714),(67 428.6132),(68 425.26572),(69 429.16248),(70 423.9553),(71 426.32117),(72 424.849),(73 425.46948),(74 425.17947),(75 424.4928),(76 421.65634),(77 425.8535),(78 424.63712),(79 426.52805),
(1 228.48901),(2 262.23267),(3 290.24664),(4 300.51874),(5 312.66696),(6 321.4422),(7 329.72687),(8 340.29083),(9 345.98618),(10 345.22357),(11 353.34668),(12 355.71677),(13 363.45914),(14 367.42725),(15 373.77045),(16 372.52615),(17 373.089),(18 373.62384),(19 377.67395),(20 381.7684),(21 383.3297),(22 387.10687),(23 385.55283),(24 382.5013),(25 391.30222),(26 387.34125),(27 389.31183),(28 391.41946),(29 397.2095),(30 397.03787),(31 393.78116),(32 390.15216),(33 389.3198),(34 389.73535),(35 391.88232),(36 393.88434),(37 396.0284),(38 393.7065),(39 393.6202),(40 396.49942),(41 395.95428),(42 396.1033),(43 399.81885),(44 401.60126),(45 407.71442),(46 399.43655),(47 401.48764),(48 399.32022),(49 399.06662),(50 397.43765),(51 406.11978),(52 398.5376),(53 403.74396),(54 401.16995),(55 400.48718),(56 402.82437),(57 402.39954),(58 395.26617),(59 396.5472),(60 404.64444),(61 399.46198),(62 400.5828),(63 398.33887),(64 401.46667),(65 398.41528),(66 398.95465),(67 400.3856),(68 398.44815),(69 401.7489),(70 397.81644),(71 405.90698),(72 401.104),(73 397.67703),(74 396.68695),(75 395.4182),(76 399.6151),(77 398.8457),(78 399.40424),(79 405.0999),
(1 231.14244),(2 266.82455),(3 290.9861),(4 302.96176),(5 314.32977),(6 328.29),(7 334.26157),(8 346.9857),(9 353.26575),(10 359.52408),(11 368.6234),(12 375.07114),(13 372.61035),(14 377.15662),(15 382.6255),(16 383.9763),(17 388.01108),(18 382.53955),(19 391.3032),(20 395.76483),(21 394.20728),(22 395.97263),(23 402.07782),(24 397.8887),(25 402.22095),(26 399.56024),(27 397.97992),(28 398.94104),(29 400.46954),(30 397.34708),(31 399.47507),(32 396.6834),(33 398.3221),(34 394.00772),(35 394.2407),(36 396.9984),(37 398.19495),(38 397.5646),(39 403.40286),(40 400.68317),(41 405.7944),(42 404.42038),(43 405.98517),(44 408.53897),(45 408.79315),(46 409.47128),(47 409.7833),(48 409.17184),(49 412.25394),(50 411.4706),(51 414.6814),(52 410.2833),(53 411.2617),(54 409.71265),(55 413.53983),(56 412.29373),(57 414.78464),(58 420.1102),(59 422.33557),(60 430.1214),(61 422.9114),(62 422.8164),(63 422.69238),(64 421.16516),(65 416.74316),(66 419.14273),(67 423.93076),(68 422.97614),(69 421.59143),(70 417.96313),(71 421.17993),(72 422.6743),(73 421.88834),(74 425.18494),(75 418.00955),(76 419.2772),(77 417.11966),(78 420.75113),(79 420.6738),
