1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88896.16),(2 292732.03),(3 605527.2),(4 1032595.3),(5 1577867.9),(6 2204158.3),(7 2875019),(8 3644136.3),(9 4354212.5),(10 5140851.5),(11 5923248),(12 6705922),(13 7493973.5),(14 8239054.5),(15 9029049),(16 9845652),(17 10626463),(18 11414989),(19 12241317),(20 13118216),(21 14051335),(22 15007809),(23 16154381),(24 17121662),(25 18122216),(26 19102728),(27 20072338),(28 21051182),(29 21912782),(30 22822352),(31 23800886),(32 24830634),(33 25976182),(34 27082838),(35 28224746),(36 29338746),(37 30452674),(38 31636922),(39 32601824),(40 33753052),(41 34804092),(42 35923470),(43 37176890),(44 38355380),(45 39758156),(46 41228876),(47 42693130),(48 44232308),(49 45892340),(50 47813108),(51 49792964),(52 51737236),(53 53492252),(54 55328828),(55 57305090),(56 59264910),(57 61153044),(58 62896428),(59 64603036),(60 66287680),(61 67899384),(62 69517620),(63 71029416),(64 72342000),(65 73501490),(66 74538860),(67 75464020),(68 76247080),(69 76915210),(70 77618250),(71 77901950),(72 77729160),(73 77341070),(74 77092040),(75 76657410),(76 76096730),(77 75356160),(78 74515704),(79 73829976),
(1 2968.5315),(2 3521.9985),(3 3796.4536),(4 4143.6323),(5 4133.8325),(6 4313.7046),(7 4426.393),(8 4404.4424),(9 4598.799),(10 4725.451),(11 4967.585),(12 5105.164),(13 5196.4736),(14 5361.1772),(15 5376.726),(16 5508.965),(17 5638.998),(18 5728.3765),(19 5907.828),(20 6027.115),(21 6132.455),(22 6286.63),(23 6400.13),(24 6497.821),(25 6547.631),(26 6588.589),(27 6715.5986),(28 6915.313),(29 7065.948),(30 7134.5166),(31 7200.8823),(32 7186.749),(33 7257.8384),(34 7434.593),(35 7396.2637),(36 7367.936),(37 7420.235),(38 7366.261),(39 7290.8486),(40 7304.1855),(41 7148.2666),(42 7176.751),(43 7152.6772),(44 6954.0713),(45 7005.0303),(46 6811.5503),(47 6758.4717),(48 6659.881),(49 6556.6475),(50 6426.85),(51 6542.8853),(52 6356.9224),(53 6264.649),(54 6073.4536),(55 5980.2666),(56 5916.8105),(57 5803.1963),(58 5731.34),(59 5673.3213),(60 5557.918),(61 5562.5693),(62 5569.5186),(63 5431.6),(64 5383.5522),(65 5330.81),(66 5278.856),(67 5241.148),(68 5177.313),(69 5291.9746),(70 5317.2695),(71 5201.2935),(72 5156.326),(73 5182.669),(74 5227.8213),(75 5188.304),(76 5227.607),(77 5177.444),(78 5144.5815),(79 5193.036),
(1 2853.5332),(2 3428.6807),(3 3805.1328),(4 4155.611),(5 4113.689),(6 4345.1104),(7 4393.549),(8 4410.032),(9 4601.6587),(10 4704.0454),(11 4743.281),(12 4950.1885),(13 5029.253),(14 5160.328),(15 5246.68),(16 5271.4614),(17 5375.8003),(18 5522.445),(19 5611.45),(20 5767.854),(21 5923.9644),(22 5975.9727),(23 6006.5313),(24 6054.229),(25 6164.903),(26 6195.57),(27 6435.1636),(28 6497.4443),(29 6640.695),(30 6799.322),(31 6862.417),(32 6901.9595),(33 6939.0137),(34 7061.3135),(35 7061.555),(36 7024.467),(37 7043.912),(38 7038.632),(39 6982.637),(40 6970.201),(41 6852.672),(42 6888.7407),(43 6858.3057),(44 6668.988),(45 6746.521),(46 6620.6055),(47 6632.215),(48 6522.3296),(49 6362.033),(50 6315.929),(51 6321.7017),(52 6184.444),(53 6133.8755),(54 5923.88),(55 5877.409),(56 5831.1626),(57 5759.543),(58 5666.751),(59 5620.001),(60 5506.332),(61 5482.108),(62 5448.7456),(63 5336.7246),(64 5339.174),(65 5295.4907),(66 5275.0596),(67 5282.52),(68 5146.1265),(69 5257.728),(70 5203.5566),(71 5122.195),(72 5156.494),(73 5133.4873),(74 5147.0327),(75 5196.222),(76 5166.9126),(77 5195.3657),(78 5142.038),(79 5167.1484),
(1 2751.4312),(2 3273.7478),(3 3629.3435),(4 3928.4412),(5 3929.3313),(6 4167.9893),(7 4258.4116),(8 4259.8516),(9 4559.2285),(10 4598.5522),(11 4785.7896),(12 4919.9756),(13 5055.708),(14 5203.468),(15 5290.828),(16 5352.0205),(17 5541.8066),(18 5657.907),(19 5742.449),(20 5957.626),(21 6173.484),(22 6274.9043),(23 6402.1294),(24 6503.59),(25 6608.114),(26 6708.9536),(27 6877.016),(28 6966.4253),(29 7243.71),(30 7306.3853),(31 7335.589),(32 7346.485),(33 7439.845),(34 7551.3125),(35 7517.235),(36 7418.713),(37 7497.8706),(38 7525.8706),(39 7447.653),(40 7548.5747),(41 7289.7783),(42 7359.007),(43 7248.127),(44 7064.5767),(45 7065.0327),(46 6900.9014),(47 6829.4316),(48 6713.157),(49 6598.449),(50 6527.9346),(51 6470.048),(52 6245.8623),(53 6156.9077),(54 6042.924),(55 6004.499),(56 5981.4653),(57 5897.506),(58 5792.5264),(59 5755.121),(60 5658.907),(61 5578.7046),(62 5546.776),(63 5372.899),(64 5471.462),(65 5328.2236),(66 5313.456),(67 5385.5195),(68 5277.7456),(69 5361.95),(70 5302.632),(71 5280.9224),(72 5352.5938),(73 5396.2183),(74 5371.701),(75 5327.7563),(76 5422.891),(77 5388.5547),(78 5377.041),(79 5340.9375),
(1 2621.4106),(2 3167.1409),(3 3598.2056),(4 3864.0142),(5 3929.3103),(6 4102.5986),(7 4144.7944),(8 4113.066),(9 4363.193),(10 4416.585),(11 4620.9683),(12 4764.4355),(13 4830.892),(14 4949.6226),(15 4989.8765),(16 5014.357),(17 5174.4697),(18 5272.8306),(19 5430.9307),(20 5558.1523),(21 5745.7603),(22 5859.236),(23 5989.438),(24 5990.7637),(25 6064.9263),(26 6168.971),(27 6274.9116),(28 6442.3853),(29 6635.1406),(30 6688.9),(31 6673.5044),(32 6785.5205),(33 6852.8657),(34 6988.4),(35 6916.489),(36 6909.116),(37 6918.652),(38 6928.4785),(39 6894.411),(40 6938.0425),(41 6749.0874),(42 6805.093),(43 6772.037),(44 6656.6187),(45 6640.9233),(46 6552.256),(47 6490.0093),(48 6393.25),(49 6264.083),(50 6207.085),(51 6187.956),(52 5978.6978),(53 5951.7256),(54 5788.7134),(55 5778.4736),(56 5734.4263),(57 5686.8706),(58 5520.982),(59 5469.444),(60 5468.857),(61 5363.747),(62 5379.146),(63 5221.602),(64 5253.6465),(65 5213.3257),(66 5192.8325),(67 5211.4653),(68 5202.3276),(69 5223.2915),(70 5189.943),(71 5161.749),(72 5238.37),(73 5219.7617),(74 5228.1807),(75 5212.8403),(76 5224.31),(77 5216.8823),(78 5232.6787),(79 5231.6377),
(1 2639.399),(2 3086.4973),(3 3465.1528),(4 3790.5278),(5 3844.2625),(6 4089.7607),(7 4083.1895),(8 4170.6836),(9 4366.0913),(10 4433.272),(11 4585.712),(12 4713.9873),(13 4786.0464),(14 4894.696),(15 4935.291),(16 5003.044),(17 5166.023),(18 5225.7866),(19 5409.324),(20 5527.103),(21 5725.892),(22 5798.575),(23 5943.7476),(24 5976.886),(25 6174.203),(26 6215.2266),(27 6310.6353),(28 6442.4814),(29 6533.525),(30 6609.266),(31 6603.231),(32 6659.2793),(33 6710.744),(34 6803.8984),(35 6829.2236),(36 6786.3545),(37 6927.81),(38 6848.413),(39 6797.5586),(40 6902.9277),(41 6703.5557),(42 6676.596),(43 6651.483),(44 6478.362),(45 6463.7383),(46 6363.2646),(47 6329.7227),(48 6202.6235),(49 6090.385),(50 5972.6274),(51 5862.936),(52 5738.7993),(53 5629.255),(54 5591.695),(55 5531.3013),(56 5531.28),(57 5456.07),(58 5310.5063),(59 5288.974),(60 5211.629),(61 5167.6216),(62 5171.7256),(63 5070.9),(64 5081.86),(65 5017.5347),(66 5010.15),(67 5074.7744),(68 5023.519),(69 5060.8237),(70 4999.0273),(71 5058.9697),(72 5084.0273),(73 5001.157),(74 5034.0547),(75 5058.496),(76 5057.2837),(77 5057.0527),(78 5000.761),(79 5011.339),
(1 2620.5334),(2 3135.1921),(3 3474.1887),(4 3801.2847),(5 3858.1948),(6 4070.6455),(7 4176.491),(8 4181.809),(9 4276.8647),(10 4309.5625),(11 4539.0396),(12 4646.924),(13 4740.5513),(14 4924.684),(15 4943.5845),(16 4993.33),(17 5132.295),(18 5264.2114),(19 5387.9385),(20 5559.77),(21 5699.977),(22 5730.406),(23 5851.2666),(24 5904.6064),(25 6013.0864),(26 6188.5283),(27 6271.185),(28 6506.4717),(29 6609.1304),(30 6718.8813),(31 6854.4917),(32 6847.8335),(33 6932.3804),(34 6942.339),(35 6986.455),(36 6950.825),(37 7005.4336),(38 7003.7686),(39 6983.9395),(40 7160.015),(41 6908.4595),(42 6859.3335),(43 6908.265),(44 6737.6724),(45 6740.9043),(46 6614.52),(47 6546.0566),(48 6392.9277),(49 6229.8613),(50 6133.1226),(51 6080.866),(52 5890.1685),(53 5744.045),(54 5622.8237),(55 5642.079),(56 5461.302),(57 5462.4746),(58 5310.153),(59 5331.4653),(60 5231.7095),(61 5196.6104),(62 5217.4873),(63 5090.1855),(64 5085.126),(65 5024.5825),(66 4983.9165),(67 4971.5527),(68 5031.213),(69 5060.817),(70 5012.646),(71 5009.7783),(72 5041.829),(73 5030.431),(74 5110.9404),(75 5140.4004),(76 5142.776),(77 5110.0874),(78 5157.9004),(79 5171.0884),
(1 2628.84),(2 3048.3374),(3 3402.9602),(4 3710.0466),(5 3759.3264),(6 3935.5452),(7 4068.9102),(8 4034.2263),(9 4187.8066),(10 4250.458),(11 4424.704),(12 4607.0283),(13 4665.5903),(14 4807.626),(15 4804.2803),(16 4938.316),(17 5015.803),(18 5123.7275),(19 5327.8057),(20 5562.4194),(21 5737.902),(22 5790.8154),(23 5863.6743),(24 5987.168),(25 6149.4575),(26 6235.2944),(27 6379.6753),(28 6610.763),(29 6698.913),(30 6849.546),(31 6946.8647),(32 7045.2876),(33 7099.0347),(34 7120.764),(35 7141.1553),(36 7127.2544),(37 7171.9688),(38 7142.8555),(39 7042.814),(40 7229.4014),(41 6910.373),(42 6880.4297),(43 6816.066),(44 6665.534),(45 6604.8516),(46 6443.9346),(47 6381.8213),(48 6139.6353),(49 5988.226),(50 5857.4404),(51 5811.5483),(52 5606.021),(53 5492.121),(54 5369.6597),(55 5276.9097),(56 5267.6494),(57 5162.118),(58 5008.112),(59 5075.874),(60 4922.9106),(61 4863.931),(62 4824.337),(63 4790.9316),(64 4816.9863),(65 4748.919),(66 4822.044),(67 4822.058),(68 4868.903),(69 4871.209),(70 4887.0107),(71 4957.047),(72 4949.438),(73 4984.3735),(74 5002.573),(75 5073.1016),(76 5098.1484),(77 5044.7393),(78 5104.672),(79 5076.959),
(1 2627.5168),(2 3044.786),(3 3408.034),(4 3640.0938),(5 3598.6208),(6 3901.5454),(7 4036.7297),(8 3963.8303),(9 4166.3887),(10 4180.076),(11 4359.614),(12 4631.9),(13 4640.8003),(14 4722.8594),(15 4701.177),(16 4808.053),(17 4961.189),(18 5019.947),(19 5130.579),(20 5326.323),(21 5454.0137),(22 5547.74),(23 5569.8984),(24 5610.692),(25 5725.0835),(26 5734.8853),(27 5785.927),(28 5980.2803),(29 6106.2617),(30 6195.6636),(31 6226.1255),(32 6254.2617),(33 6264.283),(34 6296.405),(35 6254.6587),(36 6195.528),(37 6253.2397),(38 6299.2656),(39 6219.003),(40 6269.308),(41 6033.877),(42 6086.1),(43 6002.221),(44 5891.873),(45 5846.257),(46 5703.3745),(47 5663.9995),(48 5531.2397),(49 5450.546),(50 5369.282),(51 5311.416),(52 5174.608),(53 5120.1055),(54 5070.8164),(55 4986.2275),(56 4971.8613),(57 4914.0083),(58 4811.647),(59 4940.0127),(60 4774.55),(61 4767.389),(62 4784.366),(63 4788.7524),(64 4775.637),(65 4737.212),(66 4816.785),(67 4841.6133),(68 4792.837),(69 4843.2656),(70 4867.0273),(71 4891.6333),(72 4911.5137),(73 4891.8267),(74 4972.0083),(75 5025.0444),(76 5076.508),(77 5078.8906),(78 5094.1406),(79 5117.8447),
(1 2469.4585),(2 2979.2627),(3 3304.5347),(4 3529.0007),(5 3468.7134),(6 3748.6409),(7 3788.0037),(8 3792.021),(9 3952.7034),(10 3975.298),(11 4184.2314),(12 4385.49),(13 4474.595),(14 4581.2583),(15 4529.701),(16 4589.6455),(17 4704.002),(18 4724.1426),(19 4890.736),(20 5049.787),(21 5204.6836),(22 5182.219),(23 5273.1924),(24 5363.86),(25 5411.197),(26 5440.315),(27 5476.857),(28 5637.685),(29 5853.089),(30 5865.0903),(31 5875.4795),(32 5951.667),(33 5943.6006),(34 5895.1816),(35 5963.411),(36 5891.732),(37 5913.9707),(38 5945.611),(39 5854.113),(40 5940.649),(41 5694.524),(42 5730.514),(43 5657.6914),(44 5548.4316),(45 5538.338),(46 5427.357),(47 5359.958),(48 5273.256),(49 5272.3096),(50 5191.6475),(51 5125.0483),(52 4975.3613),(53 4945.2163),(54 4952.7163),(55 4890.9634),(56 4822.8438),(57 4743.405),(58 4700.275),(59 4727.562),(60 4721.0703),(61 4676.173),(62 4667.4766),(63 4641.858),(64 4679.61),(65 4682.073),(66 4679.0024),(67 4672.641),(68 4662.401),(69 4717.039),(70 4738.389),(71 4807.9814),(72 4832.4595),(73 4811.499),(74 4805.7603),(75 4878.344),(76 4849.594),(77 4849.376),(78 4948.4697),(79 4993.832),
(1 2344.2048),(2 2736.9653),(3 3080.359),(4 3267.956),(5 3317.6372),(6 3514.7053),(7 3533.0415),(8 3615.3608),(9 3733.8486),(10 3810.7017),(11 3952.853),(12 4095.3818),(13 4176.7163),(14 4205.961),(15 4216.448),(16 4338.1685),(17 4441.041),(18 4542.388),(19 4622.2466),(20 4767.211),(21 4900.7036),(22 4869.083),(23 4950.4463),(24 4959.8843),(25 5072.6797),(26 5155.661),(27 5224.099),(28 5337.0005),(29 5429.0996),(30 5444.626),(31 5450.056),(32 5587.873),(33 5635.3335),(34 5577.3745),(35 5630.657),(36 5571.5454),(37 5595.682),(38 5648.22),(39 5503.385),(40 5597.6377),(41 5413.038),(42 5342.0483),(43 5311.9785),(44 5243.917),(45 5263.7827),(46 5105.764),(47 5059.5996),(48 5007.0366),(49 4912.081),(50 4895.9526),(51 4795.2056),(52 4727.9077),(53 4659.138),(54 4636.73),(55 4516.9497),(56 4483.8784),(57 4472.168),(58 4427.84),(59 4459.6367),(60 4417.6816),(61 4399.1655),(62 4368.904),(63 4320.1353),(64 4340.7983),(65 4359.4214),(66 4316.652),(67 4336.8633),(68 4335.592),(69 4334.779),(70 4380.668),(71 4377.841),(72 4460.303),(73 4453.5884),(74 4517.77),(75 4526.0537),(76 4468.8564),(77 4529.5747),(78 4605.936),(79 4572.208),
(1 2362.0398),(2 2719.1191),(3 3139.375),(4 3286.1665),(5 3336.8047),(6 3556.3335),(7 3545.925),(8 3640.115),(9 3793.9963),(10 3900.1455),(11 4095.8242),(12 4188.0225),(13 4250.1943),(14 4302.6934),(15 4337.1904),(16 4434.172),(17 4551.292),(18 4666.68),(19 4769.5435),(20 4937.603),(21 5086.3413),(22 5144.707),(23 5259.2783),(24 5283.84),(25 5443.82),(26 5509.4346),(27 5586.7715),(28 5778.0044),(29 5954.995),(30 5978.1846),(31 5993.5156),(32 6091.3896),(33 6105.492),(34 6074.814),(35 6081.441),(36 6055.6045),(37 6114.7495),(38 6137.6367),(39 6038.6724),(40 6142.4453),(41 5934.759),(42 5901.7505),(43 5844.55),(44 5683.5146),(45 5656.3687),(46 5467.462),(47 5484.9663),(48 5368.074),(49 5232.4595),(50 5125.701),(51 5043.877),(52 4941.0854),(53 4898.921),(54 4800.167),(55 4705.168),(56 4653.9414),(57 4647.7583),(58 4554.9434),(59 4587.4844),(60 4507.304),(61 4508.5107),(62 4460.086),(63 4380.5586),(64 4409.814),(65 4380.9004),(66 4405.1694),(67 4499.478),(68 4376.582),(69 4428.362),(70 4444.7944),(71 4448.306),(72 4526.498),(73 4551.689),(74 4605.8374),(75 4592.7686),(76 4622.871),(77 4603.859),(78 4689.9805),(79 4682.97),
(1 2369.5703),(2 2779.1091),(3 3130.413),(4 3308.9204),(5 3310.7617),(6 3502.0103),(7 3573.927),(8 3602.7927),(9 3788.6191),(10 3854.314),(11 3989.401),(12 4078.6367),(13 4137.248),(14 4182.286),(15 4267.6196),(16 4333.2603),(17 4453.736),(18 4509.8394),(19 4688.146),(20 4856.5146),(21 4938.4717),(22 5038.923),(23 5117.3525),(24 5155.4136),(25 5229.7144),(26 5318.386),(27 5376.666),(28 5562.0605),(29 5715.5386),(30 5751.086),(31 5712.7813),(32 5862.1587),(33 5884.762),(34 5812.425),(35 5798.536),(36 5782.711),(37 5820.9854),(38 5847.858),(39 5726.34),(40 5797.6025),(41 5575.8174),(42 5549.898),(43 5482.601),(44 5406.6514),(45 5377.5635),(46 5209.2173),(47 5206.9727),(48 5105.446),(49 5081.34),(50 4967.6387),(51 4890.2695),(52 4789.1255),(53 4747.623),(54 4653.1343),(55 4527.541),(56 4542.4404),(57 4518.938),(58 4413.2993),(59 4455.561),(60 4375.5747),(61 4400.559),(62 4416.477),(63 4343.934),(64 4371.4043),(65 4315.5356),(66 4412.384),(67 4481.627),(68 4401.546),(69 4442.701),(70 4544.659),(71 4490.091),(72 4560.2026),(73 4581.5938),(74 4640.3506),(75 4646.389),(76 4620.0107),(77 4683.97),(78 4710.816),(79 4736.774),
(1 2267.3872),(2 2684.596),(3 2994.2056),(4 3160.1497),(5 3150.9011),(6 3347.22),(7 3472.257),(8 3478.5452),(9 3595.634),(10 3676.4204),(11 3863.9949),(12 3938.4082),(13 4024.1157),(14 4088.6082),(15 4124.1367),(16 4224.646),(17 4360.5664),(18 4469.946),(19 4615.3657),(20 4771.6943),(21 4925.802),(22 4981.816),(23 5093.7637),(24 5109.4067),(25 5167.9927),(26 5324.9907),(27 5420.8516),(28 5571.8867),(29 5650.002),(30 5724.0015),(31 5719.7495),(32 5856.345),(33 5802.012),(34 5784.3945),(35 5867.678),(36 5836.9565),(37 5814.0186),(38 5778.623),(39 5700.449),(40 5771.8745),(41 5534.1084),(42 5517.4395),(43 5411.8057),(44 5233.9214),(45 5185.6943),(46 5095.725),(47 5073.072),(48 4932.4053),(49 4852.012),(50 4729.287),(51 4615.705),(52 4542.2427),(53 4502.8057),(54 4354.251),(55 4302.2495),(56 4210.644),(57 4210.303),(58 4105.107),(59 4120.5557),(60 4025.0205),(61 4036.423),(62 4060.6797),(63 4001.3901),(64 4038.7246),(65 3973.9219),(66 4098.3096),(67 4087.2178),(68 4049.5867),(69 4088.2375),(70 4180.6875),(71 4151.6875),(72 4284.608),(73 4274.244),(74 4352.494),(75 4357.824),(76 4365.447),(77 4428.509),(78 4442.378),(79 4443.3174),
(1 2217.8923),(2 2672.1604),(3 2971.8057),(4 3111.4817),(5 3131.0212),(6 3272.699),(7 3352.4736),(8 3420.1602),(9 3525.3904),(10 3566.7068),(11 3760.4124),(12 3907.4321),(13 3932.086),(14 3971.9385),(15 4060.8113),(16 4129.9907),(17 4183.631),(18 4295.3857),(19 4415.657),(20 4512.2227),(21 4645.508),(22 4663.9033),(23 4822.223),(24 4825.0283),(25 4907.8286),(26 5009.1655),(27 5113.8247),(28 5179.3423),(29 5245.303),(30 5281.2935),(31 5368.1787),(32 5401.218),(33 5408.15),(34 5319.1597),(35 5378.3916),(36 5370.5728),(37 5351.5176),(38 5353.253),(39 5301.699),(40 5320.392),(41 5175.15),(42 5201.9746),(43 5143.681),(44 5056.9097),(45 5059.1333),(46 4893.6953),(47 4910.0654),(48 4740.934),(49 4706.977),(50 4648.4063),(51 4548.985),(52 4417.8193),(53 4401.0737),(54 4312.262),(55 4274.512),(56 4252.392),(57 4243.717),(58 4143.905),(59 4188.067),(60 4104.8706),(61 4138.169),(62 4214.015),(63 4121.0273),(64 4188.477),(65 4110.113),(66 4143.6655),(67 4133.9893),(68 4109.835),(69 4178.6855),(70 4240.754),(71 4242.0884),(72 4319.6675),(73 4320.2275),(74 4421.6016),(75 4379.9224),(76 4397.1313),(77 4352.104),(78 4419.0723),(79 4431.586),
(1 2093.7178),(2 2522.0623),(3 2844.4458),(4 2972.0193),(5 3026.9993),(6 3144.9932),(7 3195.294),(8 3235.9756),(9 3376.5369),(10 3396.575),(11 3557.9),(12 3632.864),(13 3717.9797),(14 3714.3892),(15 3731.6453),(16 3808.46),(17 3838.074),(18 3972.5798),(19 4047.5874),(20 4084.286),(21 4212.1934),(22 4304.3105),(23 4388.913),(24 4405.2124),(25 4393.2705),(26 4443.8403),(27 4583.126),(28 4650.7495),(29 4722.42),(30 4796.0547),(31 4784.024),(32 4826.9966),(33 4825.207),(34 4782.0933),(35 4881.3447),(36 4836.1855),(37 4790.0347),(38 4804.0635),(39 4783.603),(40 4832.3047),(41 4701.8755),(42 4668.387),(43 4636.384),(44 4562.4395),(45 4519.438),(46 4442.108),(47 4463.2007),(48 4347.059),(49 4297.656),(50 4213.049),(51 4152.8115),(52 4137.405),(53 4097.1963),(54 4048.1995),(55 4014.0923),(56 3962.0405),(57 3939.4421),(58 3881.4946),(59 3896.7576),(60 3827.193),(61 3815.5884),(62 3851.1116),(63 3776.5562),(64 3816.5593),(65 3799.38),(66 3792.473),(67 3798.064),(68 3799.036),(69 3903.7703),(70 3911.2717),(71 3949.3337),(72 3897.746),(73 3963.4727),(74 4033.4773),(75 4065.132),(76 4035.0388),(77 4006.4094),(78 4036.0938),(79 4025.029),
(1 2035.6277),(2 2394.9065),(3 2763.142),(4 2871.0776),(5 2940.366),(6 3083.2002),(7 3084.3643),(8 3125.2397),(9 3311.4224),(10 3310.1565),(11 3486.0183),(12 3505.9556),(13 3534.374),(14 3560.3315),(15 3577.5886),(16 3606.476),(17 3667.0647),(18 3739.3386),(19 3863.7554),(20 3853.0225),(21 3959.0266),(22 4024.8645),(23 4062.2986),(24 4112.49),(25 4175.42),(26 4165.1846),(27 4264.8286),(28 4287.885),(29 4362.995),(30 4429.028),(31 4418.284),(32 4453.916),(33 4425.3916),(34 4449.331),(35 4447.5264),(36 4446.0327),(37 4468.7754),(38 4424.206),(39 4396.482),(40 4391.9517),(41 4329.195),(42 4330.5747),(43 4319.252),(44 4257.785),(45 4211.3755),(46 4181.372),(47 4183.4946),(48 4136.29),(49 4152.9146),(50 4048.6062),(51 4030.2314),(52 4039.3337),(53 3989.3438),(54 3937.9775),(55 3902.6328),(56 3888.0452),(57 3857.0615),(58 3831.6792),(59 3843.8848),(60 3849.7412),(61 3830.084),(62 3862.4082),(63 3859.3853),(64 3874.824),(65 3880.3218),(66 3838.5986),(67 3807.8486),(68 3889.5461),(69 3851.017),(70 3892.1758),(71 3878.824),(72 3910.4731),(73 3955.035),(74 3960.9082),(75 3964.2288),(76 3911.4766),(77 3905.0798),(78 3944.729),(79 3941.3352),
