1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12271.816),(2 39055.855),(3 83020.586),(4 139796.11),(5 203716.58),(6 261375.33),(7 325685.97),(8 404015.34),(9 474964.63),(10 550506.44),(11 633567.56),(12 739941.44),(13 852312.75),(14 986349),(15 1151457.4),(16 1324302.5),(17 1502736.1),(18 1688173.4),(19 1904986.6),(20 2134763),(21 2352161.3),(22 2584254.8),(23 2808211.3),(24 3057122.8),(25 3312610.8),(26 3599530.8),(27 3975324),(28 4358986.5),(29 4740877),(30 5218119.5),(31 5658296.5),(32 6129092),(33 6561521.5),(34 6991064),(35 7414197.5),(36 7833580),(37 8244606.5),(38 8672944),(39 9130784),(40 9625225),(41 10093247),(42 10614895),(43 11158509),(44 11746789),(45 12311741),(46 12912591),(47 13522744),(48 14081125),(49 14619725),(50 15144451),(51 15666651),(52 16199063),(53 16730783),(54 17278808),(55 17860766),(56 18465258),(57 19057558),(58 19565448),(59 20105330),(60 20671052),(61 21229990),(62 21774966),(63 22338758),(64 22912498),(65 23428762),(66 23957478),(67 24483190),(68 24963554),(69 25535390),(70 26092608),(71 26690170),(72 27251594),(73 27821310),(74 28352438),(75 28885934),(76 29394880),(77 29925494),(78 30441018),(79 31039186),
(1 193.1764),(2 227.63393),(3 243.21361),(4 257.62967),(5 262.9268),(6 267.72873),(7 272.499),(8 273.20627),(9 279.75296),(10 286.6611),(11 287.79437),(12 290.61456),(13 292.55414),(14 296.35507),(15 301.04654),(16 301.94186),(17 304.12726),(18 309.576),(19 311.39194),(20 314.7118),(21 313.4845),(22 314.89093),(23 322.25305),(24 322.50888),(25 329.0854),(26 330.43115),(27 334.86826),(28 332.76865),(29 331.9635),(30 334.2674),(31 335.20224),(32 340.4582),(33 339.17636),(34 339.03485),(35 342.64545),(36 342.79605),(37 343.41272),(38 338.09543),(39 344.09457),(40 344.73773),(41 339.92953),(42 338.121),(43 338.96393),(44 338.52496),(45 346.3214),(46 338.96664),(47 339.53186),(48 337.44046),(49 337.86816),(50 338.1248),(51 337.91785),(52 335.41357),(53 332.49384),(54 333.72745),(55 333.01196),(56 338.54065),(57 339.21432),(58 338.59354),(59 339.95468),(60 340.16257),(61 343.35226),(62 337.2563),(63 346.82602),(64 345.56253),(65 343.77),(66 344.97778),(67 343.937),(68 340.18762),(69 344.4047),(70 343.04367),(71 341.64478),(72 334.87033),(73 341.0633),(74 339.407),(75 342.6299),(76 344.84644),(77 342.85513),(78 342.67953),(79 339.01868),
(1 192.13176),(2 223.74643),(3 243.45564),(4 258.24808),(5 262.97314),(6 271.7275),(7 275.4253),(8 278.9449),(9 284.93033),(10 287.38635),(11 290.53528),(12 296.41202),(13 295.56168),(14 304.46918),(15 311.04),(16 309.23944),(17 313.75296),(18 313.87833),(19 321.67398),(20 325.84982),(21 320.4692),(22 323.4628),(23 328.8184),(24 322.98645),(25 332.17593),(26 329.53937),(27 334.7925),(28 332.1525),(29 336.43207),(30 338.3118),(31 336.93845),(32 334.11487),(33 334.3162),(34 333.77933),(35 335.7828),(36 332.21423),(37 334.9546),(38 333.2412),(39 337.06287),(40 334.18625),(41 330.48297),(42 333.92404),(43 334.65503),(44 335.10712),(45 335.51385),(46 335.2383),(47 330.33453),(48 326.29913),(49 328.097),(50 322.72125),(51 330.61975),(52 329.982),(53 326.9053),(54 328.91193),(55 329.9706),(56 331.31006),(57 329.6596),(58 332.15225),(59 331.69235),(60 337.59653),(61 338.9354),(62 329.84436),(63 333.90744),(64 334.702),(65 333.2483),(66 335.6155),(67 336.62964),(68 337.27615),(69 342.38858),(70 347.19254),(71 345.67703),(72 341.10352),(73 344.62326),(74 346.84366),(75 350.99567),(76 347.7712),(77 351.71048),(78 351.5071),(79 346.37857),
(1 186.60274),(2 215.67763),(3 230.4937),(4 245.20708),(5 245.98364),(6 259.4409),(7 263.7978),(8 269.5023),(9 278.40872),(10 280.5603),(11 286.67377),(12 293.01828),(13 297.01236),(14 299.78436),(15 307.34125),(16 307.33737),(17 310.9208),(18 315.5905),(19 318.6421),(20 323.7819),(21 323.6955),(22 320.44775),(23 323.86716),(24 323.63248),(25 324.93097),(26 330.2076),(27 330.91263),(28 327.8457),(29 328.474),(30 333.9633),(31 335.0478),(32 339.44373),(33 338.30853),(34 339.1298),(35 338.13156),(36 338.69525),(37 341.68216),(38 338.15552),(39 340.74237),(40 340.46234),(41 337.154),(42 329.85062),(43 330.2283),(44 329.35287),(45 330.51056),(46 327.5588),(47 330.1418),(48 326.0434),(49 327.5257),(50 324.73172),(51 325.6166),(52 328.58337),(53 324.45154),(54 328.11545),(55 329.09613),(56 329.21695),(57 334.9964),(58 328.11813),(59 326.85397),(60 327.09067),(61 333.16568),(62 325.41812),(63 329.37228),(64 334.39386),(65 332.74216),(66 333.46017),(67 331.35178),(68 329.5621),(69 333.7002),(70 329.67392),(71 329.6106),(72 330.09552),(73 329.26904),(74 331.06232),(75 329.28366),(76 329.48035),(77 329.46765),(78 324.96127),(79 324.6306),
(1 184.43367),(2 211.4872),(3 231.26588),(4 245.45248),(5 248.30548),(6 254.65356),(7 264.7702),(8 270.8932),(9 278.83777),(10 281.0865),(11 285.7304),(12 290.6774),(13 295.32864),(14 296.6461),(15 296.52167),(16 301.9394),(17 303.77478),(18 309.7954),(19 309.86768),(20 311.00604),(21 312.53314),(22 311.44437),(23 315.08325),(24 309.45184),(25 313.71976),(26 315.5891),(27 320.9379),(28 320.61682),(29 321.89716),(30 327.8041),(31 322.409),(32 326.58908),(33 325.89063),(34 327.8795),(35 332.71863),(36 333.36942),(37 336.06128),(38 332.3025),(39 333.00653),(40 331.98132),(41 330.00027),(42 330.9358),(43 328.64215),(44 328.1819),(45 327.9079),(46 324.0016),(47 325.62772),(48 324.2311),(49 325.95135),(50 328.4496),(51 326.95355),(52 332.87125),(53 328.11084),(54 329.29102),(55 329.92062),(56 333.58774),(57 340.48547),(58 335.5424),(59 336.84622),(60 334.555),(61 333.27734),(62 331.2031),(63 339.02286),(64 341.52496),(65 339.47562),(66 340.9536),(67 341.55914),(68 340.75476),(69 337.46878),(70 335.76392),(71 335.41885),(72 337.4496),(73 334.70267),(74 336.326),(75 334.0954),(76 336.43954),(77 335.86703),(78 334.92752),(79 332.92203),
(1 183.49893),(2 216.52628),(3 234.95628),(4 246.55789),(5 253.5536),(6 261.2715),(7 269.9076),(8 273.6598),(9 283.8334),(10 289.6653),(11 299.07642),(12 304.53848),(13 308.42715),(14 313.28442),(15 319.4451),(16 320.65536),(17 318.88623),(18 325.19476),(19 330.00232),(20 332.54147),(21 333.8393),(22 335.2361),(23 335.96695),(24 332.6255),(25 334.41833),(26 340.31464),(27 344.10312),(28 343.2742),(29 341.7931),(30 342.09915),(31 338.62866),(32 344.2636),(33 342.16815),(34 338.5197),(35 339.5971),(36 338.2418),(37 338.02136),(38 331.49216),(39 339.61044),(40 335.72055),(41 331.5212),(42 332.79587),(43 330.20676),(44 329.56723),(45 333.24216),(46 333.98148),(47 336.14243),(48 331.20673),(49 332.80197),(50 334.3459),(51 337.64264),(52 333.07468),(53 328.66675),(54 331.23218),(55 336.26895),(56 338.88394),(57 335.15805),(58 330.52084),(59 334.94266),(60 329.94583),(61 329.62515),(62 324.80643),(63 330.18213),(64 327.5052),(65 329.6201),(66 329.07703),(67 325.70084),(68 328.3292),(69 325.4695),(70 320.39072),(71 324.45157),(72 318.24902),(73 322.02988),(74 321.05887),(75 323.4225),(76 326.80637),(77 322.84357),(78 324.84982),(79 324.26813),
(1 178.80133),(2 208.78693),(3 228.4319),(4 244.58221),(5 246.22636),(6 251.79004),(7 259.1839),(8 267.464),(9 269.3665),(10 276.98093),(11 286.26205),(12 284.90714),(13 295.504),(14 297.45132),(15 297.24222),(16 301.308),(17 301.11002),(18 309.04547),(19 310.18518),(20 315.0896),(21 316.5844),(22 318.20187),(23 320.4443),(24 316.8641),(25 324.5533),(26 329.81165),(27 330.56104),(28 331.26205),(29 332.08887),(30 333.14212),(31 333.3154),(32 335.9619),(33 335.912),(34 336.10864),(35 334.5764),(36 336.96057),(37 337.06128),(38 334.82584),(39 336.87546),(40 333.38382),(41 331.44614),(42 331.46295),(43 332.7673),(44 332.72824),(45 336.13858),(46 333.6919),(47 333.97858),(48 335.09787),(49 331.83185),(50 331.90033),(51 331.76892),(52 330.70047),(53 324.7317),(54 325.747),(55 325.97754),(56 325.95203),(57 326.4102),(58 318.06088),(59 318.3283),(60 321.0386),(61 321.89505),(62 320.01584),(63 325.21405),(64 323.377),(65 322.22845),(66 323.6187),(67 324.43936),(68 326.52887),(69 323.4548),(70 322.1794),(71 322.25156),(72 318.7728),(73 323.50183),(74 327.47534),(75 330.5894),(76 326.00137),(77 325.9967),(78 323.4657),(79 323.34686),
(1 181.30812),(2 210.62303),(3 230.40659),(4 246.40048),(5 248.84857),(6 256.41824),(7 262.93597),(8 273.80853),(9 278.19318),(10 279.2379),(11 288.08197),(12 291.02722),(13 298.3322),(14 294.0301),(15 299.02164),(16 300.5279),(17 299.4434),(18 304.84753),(19 306.1621),(20 306.6867),(21 310.73627),(22 307.22662),(23 312.612),(24 306.33475),(25 310.42148),(26 312.10184),(27 313.29092),(28 315.9108),(29 316.5348),(30 319.7818),(31 317.18225),(32 321.4782),(33 323.55765),(34 325.39218),(35 324.33978),(36 325.79562),(37 324.67084),(38 321.44055),(39 322.54196),(40 320.0179),(41 319.7285),(42 317.60904),(43 314.54178),(44 317.33157),(45 321.45676),(46 322.17032),(47 327.56973),(48 322.21014),(49 323.45895),(50 327.76248),(51 328.6604),(52 332.70425),(53 332.14804),(54 331.7069),(55 335.5483),(56 336.76337),(57 330.68747),(58 324.4489),(59 329.07843),(60 328.66245),(61 331.01483),(62 328.04037),(63 332.5695),(64 330.27795),(65 327.60287),(66 327.76382),(67 322.37793),(68 325.4119),(69 324.98987),(70 320.61646),(71 321.0121),(72 319.5281),(73 321.65146),(74 319.39523),(75 320.36835),(76 316.86774),(77 315.46896),(78 317.30804),(79 319.7033),
(1 174.53972),(2 202.17749),(3 220.19016),(4 234.05878),(5 237.83208),(6 248.6204),(7 254.93243),(8 262.46286),(9 266.89053),(10 272.31198),(11 279.53876),(12 278.56436),(13 285.26404),(14 287.35287),(15 296.17215),(16 298.95047),(17 297.6087),(18 297.65234),(19 302.14865),(20 306.4743),(21 309.47583),(22 306.85822),(23 307.4727),(24 299.2962),(25 300.9268),(26 303.00018),(27 305.8647),(28 304.13144),(29 303.09702),(30 302.64917),(31 301.6367),(32 302.45987),(33 298.50708),(34 299.1591),(35 302.53876),(36 297.26215),(37 297.4631),(38 298.9782),(39 301.86377),(40 302.98477),(41 302.73718),(42 301.93576),(43 300.23743),(44 299.82843),(45 301.6344),(46 300.05835),(47 305.63672),(48 300.1945),(49 300.6697),(50 295.29373),(51 299.8737),(52 300.083),(53 299.2996),(54 299.15158),(55 304.23138),(56 303.14258),(57 305.30457),(58 297.3233),(59 300.75775),(60 300.18457),(61 303.51376),(62 303.2544),(63 301.41986),(64 302.3881),(65 302.34842),(66 304.27594),(67 303.25464),(68 302.4754),(69 303.50458),(70 304.52353),(71 304.07578),(72 300.70663),(73 304.46384),(74 303.30783),(75 303.04288),(76 301.13297),(77 299.8282),(78 299.695),(79 300.93613),
(1 176.33238),(2 207.4121),(3 225.92276),(4 239.32532),(5 242.28859),(6 254.9979),(7 264.2092),(8 273.69394),(9 282.76453),(10 286.46912),(11 291.41974),(12 295.5342),(13 297.68204),(14 306.016),(15 310.30835),(16 314.29028),(17 316.78033),(18 320.3703),(19 324.39166),(20 328.12387),(21 329.8175),(22 331.116),(23 330.06076),(24 327.63803),(25 328.64154),(26 330.2672),(27 331.26263),(28 335.86746),(29 323.53024),(30 326.9483),(31 326.48886),(32 329.26672),(33 330.10767),(34 327.97385),(35 325.92627),(36 324.5608),(37 323.72675),(38 322.33423),(39 326.35025),(40 323.7061),(41 319.8559),(42 321.5727),(43 321.11203),(44 319.03177),(45 323.1154),(46 318.88843),(47 317.02374),(48 313.76843),(49 317.03668),(50 316.2646),(51 316.33365),(52 319.15756),(53 318.1594),(54 319.77145),(55 322.34494),(56 321.66486),(57 320.978),(58 316.3873),(59 322.17142),(60 325.44785),(61 326.92755),(62 328.00943),(63 329.36932),(64 329.65033),(65 323.3355),(66 325.0742),(67 328.19278),(68 329.95706),(69 325.54736),(70 323.408),(71 324.8338),(72 323.6249),(73 326.8036),(74 325.1425),(75 325.3537),(76 327.34036),(77 321.68848),(78 328.26825),(79 324.0459),
(1 167.72717),(2 195.43521),(3 217.63864),(4 235.13995),(5 240.98085),(6 251.17001),(7 255.29398),(8 267.9199),(9 277.8205),(10 280.18335),(11 286.29224),(12 289.1455),(13 297.24908),(14 301.42676),(15 305.41397),(16 309.34232),(17 307.87915),(18 314.13873),(19 313.58844),(20 318.6028),(21 313.8117),(22 314.28793),(23 316.24255),(24 313.35187),(25 317.31793),(26 317.98508),(27 317.97726),(28 323.47824),(29 325.5633),(30 321.89816),(31 321.78406),(32 320.18097),(33 321.896),(34 319.96436),(35 323.00244),(36 321.70157),(37 327.7436),(38 321.55936),(39 326.35782),(40 323.91455),(41 326.33832),(42 329.89404),(43 330.80115),(44 329.73502),(45 333.69196),(46 329.53),(47 328.57733),(48 323.2987),(49 325.40195),(50 322.32462),(51 325.6399),(52 324.49496),(53 318.7678),(54 321.85898),(55 319.52844),(56 321.58768),(57 320.1062),(58 317.43784),(59 317.99866),(60 317.9479),(61 321.7666),(62 319.87082),(63 323.7915),(64 318.61792),(65 316.44507),(66 314.73843),(67 311.13055),(68 310.33832),(69 310.17966),(70 303.68546),(71 308.98654),(72 305.25757),(73 307.15366),(74 308.05203),(75 310.27155),(76 309.62552),(77 309.63614),(78 309.41803),(79 308.75696),
(1 164.23877),(2 190.86508),(3 212.26627),(4 220.77998),(5 228.45302),(6 238.7532),(7 242.62329),(8 252.96588),(9 258.3782),(10 259.09637),(11 267.05203),(12 271.76648),(13 277.89847),(14 279.83206),(15 282.7464),(16 286.47385),(17 288.12888),(18 296.06906),(19 298.08948),(20 298.4572),(21 302.51282),(22 302.28696),(23 303.65833),(24 301.68503),(25 307.0327),(26 307.88925),(27 313.11975),(28 312.51492),(29 314.7633),(30 317.5799),(31 320.23892),(32 321.22775),(33 318.56375),(34 318.1201),(35 317.33856),(36 311.2557),(37 312.63507),(38 309.3311),(39 313.2767),(40 311.13245),(41 306.756),(42 310.10925),(43 308.12534),(44 305.04816),(45 306.39426),(46 306.8957),(47 309.24353),(48 307.45837),(49 312.24002),(50 310.93967),(51 313.88428),(52 313.44882),(53 312.40857),(54 312.1953),(55 313.93158),(56 317.69855),(57 319.953),(58 315.59537),(59 318.3707),(60 319.6446),(61 321.11847),(62 319.87143),(63 322.7335),(64 316.6646),(65 320.82785),(66 322.91818),(67 322.461),(68 318.97995),(69 315.71524),(70 316.47803),(71 314.25598),(72 309.7103),(73 313.85443),(74 312.44534),(75 316.22858),(76 311.81723),(77 310.1149),(78 305.81213),(79 308.5209),
(1 163.81255),(2 191.09753),(3 210.32394),(4 223.7242),(5 236.33817),(6 246.07858),(7 254.5171),(8 265.67734),(9 274.19812),(10 280.43784),(11 288.48395),(12 291.97314),(13 291.79648),(14 298.43814),(15 302.06027),(16 300.09357),(17 299.5066),(18 305.99152),(19 303.90988),(20 299.23666),(21 301.2086),(22 300.804),(23 300.62558),(24 297.96707),(25 300.06564),(26 302.38245),(27 302.89993),(28 302.2512),(29 298.01364),(30 300.3013),(31 303.48282),(32 305.25595),(33 302.96255),(34 298.15167),(35 302.274),(36 295.29016),(37 298.24603),(38 300.76202),(39 304.64087),(40 300.1361),(41 297.39362),(42 303.26764),(43 302.17496),(44 302.55054),(45 304.69705),(46 302.9415),(47 308.49323),(48 301.18472),(49 303.45728),(50 307.0495),(51 306.648),(52 303.32022),(53 299.94617),(54 299.9698),(55 298.43143),(56 295.4517),(57 298.7603),(58 290.90143),(59 292.76532),(60 294.22327),(61 301.35754),(62 299.9103),(63 302.24792),(64 301.13992),(65 303.9308),(66 306.25092),(67 307.04944),(68 306.67197),(69 310.68262),(70 311.32782),(71 313.07968),(72 309.42935),(73 312.55716),(74 313.98203),(75 317.8789),(76 312.1823),(77 311.23865),(78 310.31445),(79 308.74536),
(1 161.71341),(2 190.50737),(3 211.97668),(4 226.21626),(5 233.15445),(6 240.34198),(7 250.27821),(8 258.33752),(9 262.82568),(10 269.2408),(11 276.68237),(12 276.63443),(13 280.88788),(14 285.8028),(15 287.93427),(16 284.8354),(17 288.32544),(18 291.6345),(19 290.8105),(20 295.9506),(21 298.41547),(22 298.07925),(23 298.83893),(24 300.41882),(25 303.22595),(26 305.90262),(27 305.78006),(28 306.2425),(29 298.61478),(30 300.4891),(31 301.16742),(32 302.59943),(33 297.48712),(34 295.24313),(35 293.16324),(36 293.5781),(37 291.95575),(38 292.32474),(39 298.26437),(40 295.15158),(41 289.86536),(42 291.0267),(43 287.92532),(44 285.14423),(45 286.8898),(46 288.58563),(47 288.77023),(48 287.7136),(49 289.29422),(50 286.54202),(51 293.37415),(52 288.86984),(53 289.33752),(54 290.45395),(55 295.33292),(56 296.26932),(57 295.48022),(58 296.30246),(59 301.2697),(60 297.75156),(61 299.40448),(62 301.67715),(63 304.01035),(64 304.7924),(65 303.77228),(66 305.43167),(67 303.83676),(68 297.18234),(69 296.74286),(70 300.64984),(71 297.4078),(72 295.57462),(73 299.09775),(74 300.62994),(75 301.70862),(76 299.93088),(77 297.86966),(78 302.12418),(79 299.66006),
(1 165.01129),(2 190.95267),(3 211.60805),(4 226.78),(5 237.81865),(6 249.08806),(7 255.767),(8 266.5762),(9 271.84503),(10 277.1596),(11 281.54828),(12 290.1082),(13 295.13797),(14 296.62643),(15 298.32034),(16 303.69733),(17 301.02518),(18 307.3382),(19 304.38306),(20 305.0545),(21 307.88165),(22 307.8552),(23 308.73737),(24 303.97205),(25 309.1464),(26 307.73328),(27 312.44052),(28 312.15503),(29 308.35233),(30 310.08218),(31 312.50027),(32 313.46146),(33 314.03067),(34 314.10117),(35 316.49927),(36 309.65317),(37 314.19092),(38 312.39102),(39 311.08582),(40 305.61633),(41 306.7906),(42 308.34515),(43 303.42474),(44 300.7427),(45 307.89783),(46 301.28967),(47 305.90164),(48 303.51392),(49 305.4137),(50 304.43726),(51 303.92633),(52 302.58286),(53 305.89017),(54 305.97293),(55 302.88815),(56 301.29312),(57 306.32742),(58 300.81216),(59 305.67737),(60 301.62326),(61 305.10065),(62 300.18488),(63 303.7657),(64 303.13687),(65 303.9512),(66 306.34747),(67 307.22894),(68 305.43387),(69 305.63687),(70 301.3185),(71 302.05243),(72 300.10825),(73 304.5702),(74 308.2757),(75 315.47086),(76 316.28128),(77 316.86917),(78 321.66873),(79 316.69693),
(1 161.3657),(2 186.03181),(3 202.03674),(4 214.45427),(5 220.1812),(6 230.08687),(7 238.37737),(8 243.76416),(9 250.30074),(10 251.68227),(11 256.2263),(12 258.03418),(13 262.51782),(14 268.16714),(15 273.853),(16 275.0587),(17 278.10788),(18 278.89566),(19 283.19583),(20 284.79544),(21 289.60535),(22 290.3429),(23 289.10022),(24 287.45804),(25 289.6266),(26 292.10437),(27 293.60596),(28 290.4548),(29 289.02728),(30 291.88892),(31 287.42865),(32 288.07858),(33 291.32712),(34 289.0075),(35 290.6985),(36 284.88303),(37 290.4026),(38 290.06543),(39 294.94583),(40 290.98105),(41 289.7193),(42 290.15878),(43 287.1737),(44 282.1403),(45 289.14362),(46 286.05084),(47 287.02075),(48 280.7216),(49 284.53143),(50 280.16992),(51 281.6272),(52 278.3628),(53 280.7707),(54 283.29135),(55 283.10934),(56 284.04813),(57 282.91287),(58 284.9921),(59 286.1299),(60 287.17075),(61 287.65607),(62 287.70038),(63 287.13715),(64 289.97964),(65 289.69623),(66 290.5989),(67 289.72556),(68 289.71274),(69 288.13602),(70 286.4135),(71 290.18295),(72 289.36572),(73 294.17062),(74 290.67584),(75 291.38046),(76 291.18884),(77 290.8673),(78 292.14438),(79 291.9098),
(1 156.32939),(2 184.72688),(3 202.11401),(4 217.18788),(5 230.41963),(6 238.3766),(7 242.25792),(8 253.15482),(9 256.95932),(10 260.38174),(11 269.1679),(12 268.062),(13 271.7412),(14 273.5678),(15 275.6895),(16 275.3483),(17 274.19925),(18 281.10974),(19 284.64926),(20 288.38455),(21 292.85992),(22 292.24747),(23 294.998),(24 293.44177),(25 292.27252),(26 295.21765),(27 296.53973),(28 295.22842),(29 293.50577),(30 294.33295),(31 292.3393),(32 290.4883),(33 292.7112),(34 294.39987),(35 296.10776),(36 295.0908),(37 296.86624),(38 296.70102),(39 299.7272),(40 298.16272),(41 294.4619),(42 295.25464),(43 295.3115),(44 291.06335),(45 290.94693),(46 288.9704),(47 287.8074),(48 279.33557),(49 282.0936),(50 284.21115),(51 284.88007),(52 282.47513),(53 282.9237),(54 287.0847),(55 284.4691),(56 286.54294),(57 288.50632),(58 288.85684),(59 290.48367),(60 288.4153),(61 288.43066),(62 288.37646),(63 289.67886),(64 286.444),(65 286.2545),(66 288.44217),(67 288.97086),(68 282.7031),(69 290.53714),(70 287.96426),(71 287.62558),(72 287.6004),(73 292.83286),(74 296.89954),(75 296.20923),(76 292.28107),(77 296.6722),(78 300.8501),(79 298.24606),
(1 152.24701),(2 179.13408),(3 196.43398),(4 213.7762),(5 223.61456),(6 234.99852),(7 244.0939),(8 251.21936),(9 253.81992),(10 260.48343),(11 263.04013),(12 262.57178),(13 263.79855),(14 266.80304),(15 268.83362),(16 268.77765),(17 269.48758),(18 271.69757),(19 276.65384),(20 274.4022),(21 279.10492),(22 276.33743),(23 276.8763),(24 272.8152),(25 271.05756),(26 269.52798),(27 273.98615),(28 272.8643),(29 271.44244),(30 274.18982),(31 274.64755),(32 272.71225),(33 274.23642),(34 277.13306),(35 282.66544),(36 279.6118),(37 283.18448),(38 284.91614),(39 283.10666),(40 284.56537),(41 284.37567),(42 284.73407),(43 285.59814),(44 280.2905),(45 279.60406),(46 281.1494),(47 277.34692),(48 274.248),(49 277.61212),(50 275.40375),(51 277.9148),(52 278.33496),(53 277.31058),(54 276.45895),(55 277.77902),(56 278.04037),(57 278.03613),(58 280.56143),(59 283.3194),(60 282.3704),(61 285.0488),(62 284.6841),(63 284.77448),(64 287.6484),(65 282.4991),(66 281.1519),(67 285.5712),(68 285.40353),(69 287.84528),(70 285.5053),(71 288.58585),(72 285.3749),(73 286.20172),(74 286.0196),(75 290.89026),(76 291.08817),(77 287.08093),(78 290.12985),(79 286.4766),
(1 148.8384),(2 175.556),(3 195.3338),(4 208.21535),(5 212.95879),(6 220.79875),(7 228.83247),(8 233.99553),(9 238.18466),(10 237.20758),(11 238.6584),(12 240.7559),(13 245.53577),(14 249.40611),(15 254.50334),(16 258.1075),(17 258.60638),(18 266.39236),(19 267.53748),(20 265.7786),(21 271.90543),(22 270.52872),(23 276.67447),(24 273.13367),(25 271.17215),(26 276.30695),(27 280.38885),(28 279.83792),(29 280.32477),(30 286.58347),(31 284.1026),(32 283.94046),(33 286.85712),(34 287.85077),(35 287.55814),(36 291.77933),(37 286.28717),(38 290.28186),(39 290.8182),(40 287.43808),(41 283.699),(42 280.1024),(43 280.87683),(44 278.83252),(45 281.31805),(46 278.2391),(47 276.44693),(48 273.42615),(49 276.61853),(50 269.68262),(51 275.57236),(52 272.3428),(53 273.54523),(54 275.71036),(55 278.48782),(56 274.69403),(57 279.64633),(58 276.96967),(59 280.85535),(60 278.7275),(61 283.64926),(62 283.2553),(63 282.7746),(64 285.68008),(65 285.8175),(66 286.35562),(67 288.08047),(68 289.2854),(69 286.31464),(70 285.3974),(71 287.52005),(72 283.25003),(73 284.32025),(74 285.33554),(75 286.79324),(76 291.22293),(77 286.00446),(78 285.92004),(79 285.6893),
