1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 52914.11),(2 162064.8),(3 291417.5),(4 437319.9),(5 581726.7),(6 744296.5),(7 886697.8),(8 1023094.94),(9 1148563.5),(10 1248484.6),(11 1340092.6),(12 1426317.4),(13 1540060),(14 1684680.4),(15 1821752.4),(16 1965965.4),(17 2122831.8),(18 2250421.3),(19 2354403.3),(20 2403085.3),(21 2431438),(22 2442068.3),(23 2434105.8),(24 2423256),(25 2410689),(26 2431707),(27 2477258.3),(28 2529107.8),(29 2614715.5),(30 2710544.3),(31 2774201),(32 2819536),(33 2893143.8),(34 2917842),(35 2953782.8),(36 2991723.3),(37 3009402),(38 3066218.8),(39 3112338.8),(40 3166067.3),(41 3258550),(42 3376950.8),(43 3503230),(44 3641734),(45 3731980),(46 3764671.3),(47 3773460.8),(48 3765257.3),(49 3744215.3),(50 3669106.8),(51 3587520.8),(52 3525502.3),(53 3490424.8),(54 3465317.3),(55 3443119.3),(56 3450115.3),(57 3453036),(58 3456209.3),(59 3485122),(60 3503202.3),(61 3527066.8),(62 3592733.8),(63 3620244.8),(64 3658682.8),(65 3750343.3),(66 3826976.8),(67 3940305.8),(68 4067504),(69 4213712.5),(70 4385745.5),(71 4574145.5),(72 4729052.5),(73 4932953.5),(74 5117874),(75 5301267),(76 5499442),(77 5696279.5),(78 5901048.5),(79 6116144.5),
(1 120.96063),(2 183.76688),(3 215.82976),(4 236.03473),(5 251.82127),(6 262.35916),(7 269.04193),(8 275.0852),(9 278.20883),(10 281.4186),(11 283.7017),(12 286.69894),(13 288.67337),(14 294.18417),(15 296.13522),(16 299.18982),(17 300.77063),(18 300.61383),(19 302.47302),(20 304.57108),(21 303.99924),(22 306.70337),(23 305.9971),(24 307.46054),(25 308.02887),(26 308.43372),(27 308.62378),(28 310.6377),(29 313.8935),(30 314.98465),(31 317.11737),(32 316.48035),(33 315.27087),(34 315.72067),(35 316.63284),(36 315.04202),(37 317.8609),(38 323.66025),(39 321.15808),(40 322.29208),(41 325.62424),(42 326.30148),(43 327.09872),(44 328.0536),(45 326.60547),(46 328.68115),(47 324.987),(48 326.80573),(49 328.5988),(50 329.76172),(51 331.96103),(52 331.9675),(53 332.4439),(54 331.57083),(55 333.78827),(56 328.89136),(57 326.04144),(58 325.5674),(59 325.4759),(60 325.7421),(61 323.779),(62 328.17087),(63 328.5427),(64 329.04407),(65 325.9073),(66 326.69492),(67 324.04468),(68 321.66974),(69 322.10794),(70 324.0235),(71 322.91745),(72 321.53604),(73 321.3406),(74 325.58054),(75 322.6598),(76 323.56494),(77 322.2718),(78 323.13318),(79 324.83752),
(1 120.471725),(2 186.22993),(3 218.61397),(4 241.1989),(5 258.90878),(6 271.08813),(7 278.5655),(8 281.68875),(9 287.98627),(10 287.89478),(11 290.816),(12 292.03195),(13 290.97128),(14 299.09738),(15 302.4483),(16 305.56342),(17 308.07025),(18 310.63382),(19 310.95242),(20 312.36484),(21 314.23492),(22 316.01382),(23 317.85623),(24 318.2938),(25 321.09158),(26 323.42084),(27 325.00888),(28 324.19516),(29 325.91544),(30 325.6262),(31 328.2597),(32 327.98297),(33 327.6489),(34 327.89352),(35 331.2012),(36 329.26355),(37 330.2936),(38 334.41586),(39 334.46985),(40 335.68683),(41 339.8294),(42 341.24002),(43 342.68607),(44 341.17877),(45 343.10757),(46 342.13443),(47 339.05606),(48 336.1736),(49 338.81165),(50 340.14896),(51 336.26422),(52 334.46152),(53 335.72833),(54 339.6398),(55 341.36777),(56 337.19766),(57 334.7217),(58 333.96265),(59 333.1501),(60 333.24625),(61 333.89957),(62 336.32336),(63 333.99252),(64 332.57684),(65 332.3925),(66 329.5169),(67 327.40775),(68 327.84955),(69 326.37775),(70 327.6994),(71 323.05444),(72 321.67758),(73 325.56683),(74 329.5413),(75 325.09647),(76 325.28067),(77 326.4775),(78 325.56473),(79 326.59088),
(1 118.52033),(2 179.81018),(3 211.17122),(4 233.56294),(5 247.83228),(6 259.7059),(7 268.01852),(8 272.91806),(9 279.33606),(10 283.946),(11 284.91516),(12 287.48743),(13 288.03467),(14 291.68176),(15 290.56186),(16 292.31317),(17 291.99936),(18 292.49005),(19 293.97852),(20 295.13547),(21 293.41074),(22 297.54633),(23 297.24683),(24 296.58344),(25 296.65845),(26 298.3335),(27 297.13052),(28 297.92145),(29 298.14325),(30 298.53314),(31 301.197),(32 300.41003),(33 300.88303),(34 301.56726),(35 299.06552),(36 300.66046),(37 299.9244),(38 306.31592),(39 306.8862),(40 309.22687),(41 310.59604),(42 309.63593),(43 306.7693),(44 307.27347),(45 309.1882),(46 311.36896),(47 309.9731),(48 313.55954),(49 315.20877),(50 320.05154),(51 318.37933),(52 319.20013),(53 319.35245),(54 321.11035),(55 320.1425),(56 320.0137),(57 319.70773),(58 319.9576),(59 319.67252),(60 316.52557),(61 318.58572),(62 321.94333),(63 320.10385),(64 317.95505),(65 318.59814),(66 317.88715),(67 318.21423),(68 316.96152),(69 316.7857),(70 314.36237),(71 317.45853),(72 318.0676),(73 319.28125),(74 321.78424),(75 317.70355),(76 316.11246),(77 315.15833),(78 314.1422),(79 316.63043),
(1 119.815216),(2 180.33687),(3 211.41808),(4 230.29951),(5 244.95876),(6 256.31085),(7 264.1115),(8 269.70737),(9 271.61414),(10 274.91205),(11 279.05786),(12 279.80154),(13 283.61365),(14 288.22998),(15 289.23306),(16 290.2944),(17 290.61093),(18 292.35562),(19 294.64597),(20 295.79672),(21 293.2373),(22 296.19785),(23 294.98453),(24 294.5598),(25 299.08292),(26 304.45294),(27 300.37054),(28 305.3752),(29 306.15),(30 308.32263),(31 311.29785),(32 309.51517),(33 310.01236),(34 309.31076),(35 309.13556),(36 309.47855),(37 310.46234),(38 314.3925),(39 313.62222),(40 311.9699),(41 311.47845),(42 310.50156),(43 312.3259),(44 313.4445),(45 316.991),(46 312.31705),(47 311.72543),(48 312.7372),(49 317.09717),(50 317.50388),(51 316.4192),(52 313.02664),(53 312.48917),(54 313.03052),(55 312.95572),(56 310.41928),(57 312.10492),(58 310.20175),(59 309.0789),(60 311.0644),(61 310.01352),(62 318.0351),(63 317.35046),(64 319.71066),(65 317.149),(66 315.8573),(67 315.6624),(68 318.216),(69 318.8366),(70 321.25574),(71 321.0704),(72 322.38538),(73 321.44962),(74 326.89197),(75 325.41986),(76 322.33084),(77 322.78488),(78 321.5076),(79 321.03226),
(1 114.78088),(2 174.36992),(3 202.50414),(4 223.54433),(5 240.65974),(6 251.1751),(7 257.58237),(8 263.4469),(9 266.6148),(10 271.06598),(11 271.10464),(12 274.4227),(13 276.67813),(14 285.55307),(15 286.04724),(16 286.08463),(17 287.9077),(18 288.5762),(19 290.94058),(20 292.31),(21 292.46683),(22 294.29208),(23 295.6395),(24 296.33987),(25 296.78717),(26 301.50806),(27 300.83542),(28 300.6897),(29 298.29282),(30 298.6084),(31 299.16547),(32 299.5876),(33 297.28308),(34 297.63373),(35 299.13654),(36 300.82077),(37 301.77866),(38 306.17093),(39 307.16788),(40 308.70276),(41 308.19296),(42 309.41174),(43 309.5758),(44 309.60748),(45 312.06146),(46 312.10742),(47 311.34137),(48 309.63513),(49 313.5815),(50 314.95538),(51 312.45428),(52 309.6244),(53 309.38315),(54 307.04944),(55 307.68887),(56 308.09552),(57 305.44946),(58 305.65552),(59 305.19696),(60 305.44437),(61 305.40237),(62 309.8965),(63 305.22952),(64 304.982),(65 305.82294),(66 302.25623),(67 302.86356),(68 302.25195),(69 303.0404),(70 303.06052),(71 300.9624),(72 302.10614),(73 303.65073),(74 307.38126),(75 307.66943),(76 308.6501),(77 307.6893),(78 307.92282),(79 308.44174),
(1 114.75594),(2 173.34193),(3 202.09523),(4 219.80537),(5 235.02206),(6 248.34166),(7 252.52415),(8 259.93417),(9 262.91342),(10 265.27768),(11 265.1046),(12 268.6283),(13 272.73312),(14 278.43176),(15 278.65457),(16 279.89954),(17 282.55743),(18 282.60907),(19 288.05252),(20 289.8434),(21 292.65836),(22 291.93274),(23 292.56274),(24 295.69885),(25 294.7349),(26 297.5725),(27 297.49915),(28 298.34503),(29 298.38135),(30 299.6209),(31 298.87122),(32 298.26895),(33 298.5379),(34 298.49463),(35 300.56442),(36 299.1241),(37 297.90482),(38 301.293),(39 299.96103),(40 300.73737),(41 299.23065),(42 299.0802),(43 300.30566),(44 300.71472),(45 301.0289),(46 299.44696),(47 302.46484),(48 302.73364),(49 302.2901),(50 303.44385),(51 300.3709),(52 299.80032),(53 299.9878),(54 299.61728),(55 301.81543),(56 301.45493),(57 301.88675),(58 300.7547),(59 300.23718),(60 300.05096),(61 301.4715),(62 303.24368),(63 300.2589),(64 300.1944),(65 302.8611),(66 302.1075),(67 302.97714),(68 303.25314),(69 306.64212),(70 306.50504),(71 306.3335),(72 307.95395),(73 307.50168),(74 314.56314),(75 313.20468),(76 315.5678),(77 314.75677),(78 315.6665),(79 315.1734),
(1 114.589775),(2 171.77834),(3 201.78374),(4 221.73349),(5 237.53642),(6 249.3174),(7 259.19067),(8 262.64804),(9 266.4034),(10 267.74246),(11 270.8788),(12 270.20935),(13 271.80255),(14 278.82443),(15 279.49658),(16 283.2363),(17 282.75433),(18 284.16156),(19 284.8736),(20 287.77484),(21 289.3679),(22 290.08948),(23 292.59283),(24 292.73694),(25 294.05405),(26 292.95648),(27 294.21164),(28 292.9326),(29 294.10065),(30 295.85434),(31 296.57483),(32 296.8571),(33 295.65924),(34 298.86557),(35 299.0301),(36 299.13644),(37 299.31387),(38 302.75168),(39 303.15857),(40 301.61078),(41 302.54703),(42 304.67685),(43 304.0551),(44 302.6384),(45 303.5796),(46 301.16937),(47 302.35837),(48 300.71738),(49 302.0359),(50 303.6009),(51 301.74765),(52 301.94247),(53 304.44183),(54 305.47638),(55 306.72656),(56 304.014),(57 302.4295),(58 304.00613),(59 299.5453),(60 299.6945),(61 297.21524),(62 296.3189),(63 296.37274),(64 293.14542),(65 294.13824),(66 294.1204),(67 296.28656),(68 297.0551),(69 299.17023),(70 299.15244),(71 300.3548),(72 302.25156),(73 299.56244),(74 306.3977),(75 303.2086),(76 305.33337),(77 306.40762),(78 305.26242),(79 307.1801),
(1 111.750046),(2 165.33649),(3 192.44727),(4 210.50447),(5 227.27998),(6 236.52388),(7 242.60571),(8 247.0387),(9 250.69048),(10 251.21294),(11 252.55957),(12 256.15552),(13 260.5418),(14 265.56708),(15 265.4859),(16 265.94528),(17 264.98163),(18 268.9076),(19 267.13727),(20 270.90543),(21 271.98416),(22 273.45038),(23 274.44046),(24 274.80753),(25 275.61078),(26 276.10208),(27 278.4447),(28 278.7095),(29 281.53134),(30 282.2037),(31 283.2114),(32 282.88687),(33 284.90665),(34 287.8774),(35 287.2755),(36 283.9016),(37 283.97714),(38 287.61337),(39 289.29193),(40 287.36716),(41 285.60455),(42 290.64398),(43 287.9726),(44 290.49646),(45 292.15817),(46 292.32324),(47 293.42386),(48 290.93814),(49 293.00174),(50 295.95947),(51 292.83276),(52 289.31207),(53 288.68304),(54 288.58432),(55 291.79822),(56 290.81363),(57 291.65533),(58 293.94522),(59 293.46124),(60 292.43088),(61 292.1666),(62 295.6027),(63 294.92712),(64 293.94254),(65 292.40964),(66 292.6428),(67 293.11572),(68 290.64938),(69 289.46695),(70 293.64752),(71 292.33575),(72 293.3665),(73 293.03278),(74 295.82037),(75 293.9451),(76 292.8615),(77 292.6961),(78 291.76022),(79 293.54367),
(1 110.887215),(2 166.31668),(3 192.34499),(4 210.06772),(5 227.40085),(6 236.59271),(7 244.05496),(8 248.71478),(9 253.04192),(10 255.66852),(11 256.79068),(12 259.17697),(13 260.44308),(14 265.23053),(15 268.0509),(16 272.11505),(17 273.42676),(18 274.47525),(19 274.56442),(20 277.32242),(21 279.50302),(22 282.2469),(23 281.44992),(24 281.34967),(25 282.57498),(26 283.37265),(27 283.1949),(28 284.86456),(29 286.74655),(30 287.78094),(31 287.76138),(32 285.5327),(33 283.5879),(34 284.8098),(35 286.6744),(36 284.60275),(37 282.8796),(38 287.51068),(39 285.15475),(40 287.84198),(41 288.73328),(42 289.51202),(43 292.3322),(44 293.25418),(45 295.73868),(46 298.10373),(47 297.04288),(48 296.709),(49 296.69556),(50 299.34912),(51 295.2042),(52 296.856),(53 297.41547),(54 296.98044),(55 299.95337),(56 298.65845),(57 297.67044),(58 297.9346),(59 298.56073),(60 300.04178),(61 297.9651),(62 302.58047),(63 300.14413),(64 299.72556),(65 298.7933),(66 296.35028),(67 297.0162),(68 295.131),(69 295.79324),(70 297.23856),(71 295.60626),(72 292.25168),(73 293.77753),(74 298.12735),(75 294.59943),(76 295.04712),(77 297.22818),(78 297.7412),(79 299.9823),
(1 109.4928),(2 163.32907),(3 189.47499),(4 204.48772),(5 219.92268),(6 229.42697),(7 234.8327),(8 241.54898),(9 244.66025),(10 245.67537),(11 245.47234),(12 247.67542),(13 250.6233),(14 257.4233),(15 257.5605),(16 258.22754),(17 260.06116),(18 261.9055),(19 263.4582),(20 263.94876),(21 263.8654),(22 268.7626),(23 271.22034),(24 271.34665),(25 273.07004),(26 276.55984),(27 279.2985),(28 279.06592),(29 282.8622),(30 285.32675),(31 285.4201),(32 286.29144),(33 287.0067),(34 286.39865),(35 282.69095),(36 282.49332),(37 280.79407),(38 285.82526),(39 285.6107),(40 288.567),(41 290.03958),(42 291.45322),(43 291.99472),(44 293.4748),(45 293.31195),(46 292.80734),(47 291.24762),(48 290.6558),(49 292.67325),(50 291.93796),(51 290.79233),(52 289.326),(53 288.33563),(54 289.31042),(55 289.86322),(56 290.23627),(57 290.25772),(58 290.61157),(59 290.66443),(60 291.29272),(61 291.5454),(62 293.46194),(63 292.05798),(64 291.63904),(65 293.23044),(66 294.67972),(67 294.47455),(68 294.72565),(69 296.86536),(70 297.25598),(71 297.2694),(72 297.07938),(73 297.52963),(74 298.48853),(75 293.58823),(76 292.3062),(77 292.24054),(78 293.3332),(79 294.42493),
(1 108.21232),(2 164.32631),(3 192.86632),(4 209.95598),(5 223.3614),(6 234.0803),(7 239.02061),(8 245.97775),(9 252.04741),(10 254.46593),(11 257.28882),(12 257.2529),(13 259.35693),(14 264.83295),(15 265.17294),(16 264.96835),(17 268.38647),(18 269.95453),(19 269.84378),(20 271.66232),(21 270.93082),(22 273.16162),(23 271.08246),(24 271.1274),(25 272.47684),(26 274.15485),(27 273.06107),(28 272.94287),(29 273.59567),(30 272.96732),(31 271.27524),(32 271.12234),(33 271.03256),(34 271.50006),(35 272.96198),(36 274.88904),(37 275.29254),(38 277.41953),(39 276.2378),(40 279.07626),(41 279.13858),(42 281.3921),(43 281.28424),(44 282.18024),(45 283.0896),(46 282.19238),(47 283.67853),(48 285.97427),(49 286.74103),(50 289.4248),(51 288.95535),(52 287.83878),(53 286.78146),(54 285.59045),(55 285.0739),(56 284.2012),(57 283.71655),(58 282.47955),(59 282.35507),(60 284.94244),(61 285.30038),(62 288.75574),(63 286.78726),(64 285.46518),(65 285.33054),(66 286.7905),(67 287.36566),(68 286.5444),(69 285.18585),(70 287.0335),(71 286.54514),(72 289.067),(73 288.3826),(74 292.42093),(75 290.5787),(76 291.57718),(77 291.18677),(78 289.32242),(79 292.1309),
(1 109.724594),(2 164.64572),(3 191.11679),(4 209.49365),(5 221.12453),(6 229.63187),(7 236.7324),(8 242.27246),(9 247.68166),(10 249.12723),(11 248.50365),(12 250.47253),(13 253.71503),(14 255.97693),(15 256.7339),(16 258.075),(17 260.19373),(18 261.1966),(19 260.09677),(20 262.67505),(21 261.25995),(22 262.5645),(23 263.22983),(24 261.94202),(25 266.07864),(26 268.54877),(27 270.56024),(28 271.76337),(29 274.1466),(30 276.55002),(31 274.4543),(32 274.3671),(33 274.70627),(34 275.9386),(35 274.8744),(36 275.9688),(37 275.68088),(38 277.5232),(39 274.85672),(40 278.18643),(41 277.54333),(42 277.9172),(43 280.10175),(44 281.13226),(45 283.29196),(46 283.63098),(47 283.3005),(48 284.53818),(49 282.37057),(50 284.94794),(51 279.7858),(52 279.1462),(53 279.11957),(54 279.91357),(55 279.9074),(56 278.50317),(57 277.53458),(58 280.34274),(59 278.87),(60 280.50073),(61 280.951),(62 285.58762),(63 282.53394),(64 283.12262),(65 283.6461),(66 284.0625),(67 283.53632),(68 281.88406),(69 281.255),(70 281.4041),(71 279.55),(72 279.24652),(73 278.23126),(74 278.01685),(75 275.20206),(76 275.7705),(77 278.43405),(78 278.93317),(79 278.92032),
(1 106.86361),(2 160.96965),(3 183.37712),(4 202.8208),(5 215.04927),(6 223.80005),(7 229.57489),(8 230.55066),(9 232.12288),(10 234.44652),(11 236.2531),(12 239.7605),(13 238.90984),(14 243.50293),(15 246.55496),(16 248.34494),(17 248.73988),(18 249.41228),(19 249.5289),(20 250.04137),(21 249.38385),(22 252.13771),(23 252.38062),(24 254.45369),(25 256.4868),(26 257.89658),(27 259.15582),(28 259.41046),(29 262.06854),(30 262.5474),(31 263.97595),(32 264.85004),(33 265.63602),(34 265.74304),(35 266.4798),(36 266.90594),(37 265.73325),(38 268.209),(39 267.96518),(40 269.31134),(41 271.47266),(42 272.0305),(43 272.6771),(44 271.74036),(45 272.5788),(46 272.59525),(47 272.09912),(48 272.27283),(49 271.43234),(50 273.47052),(51 269.65234),(52 269.62793),(53 269.44586),(54 270.35233),(55 267.43658),(56 266.5875),(57 265.5492),(58 269.76602),(59 267.756),(60 267.0235),(61 264.89413),(62 267.38486),(63 263.12634),(64 263.553),(65 265.1408),(66 263.85065),(67 263.2421),(68 262.27716),(69 262.07428),(70 262.8134),(71 264.02832),(72 262.15652),(73 263.24097),(74 264.53793),(75 264.54517),(76 265.0796),(77 268.40598),(78 268.91412),(79 267.02673),
(1 107.79086),(2 163.60745),(3 188.71654),(4 208.65456),(5 220.62955),(6 228.01694),(7 234.62482),(8 236.17647),(9 239.6815),(10 241.48611),(11 242.64232),(12 242.97975),(13 245.24454),(14 250.29027),(15 251.33072),(16 253.6936),(17 256.17383),(18 258.91208),(19 258.0132),(20 259.8336),(21 262.39026),(22 263.35605),(23 262.1109),(24 261.76102),(25 262.7031),(26 263.05157),(27 261.68677),(28 260.11398),(29 260.95105),(30 260.81494),(31 260.90384),(32 260.86194),(33 260.0171),(34 262.30524),(35 262.01022),(36 263.45337),(37 264.00806),(38 264.30078),(39 264.73358),(40 266.004),(41 266.00003),(42 265.82034),(43 265.73953),(44 266.75626),(45 268.75095),(46 267.3223),(47 268.40604),(48 267.64822),(49 267.16455),(50 269.82996),(51 268.23566),(52 269.55487),(53 271.09845),(54 273.2088),(55 272.0776),(56 271.92477),(57 271.28244),(58 273.53125),(59 271.6365),(60 272.0355),(61 271.4187),(62 274.39932),(63 272.5699),(64 272.24255),(65 274.47385),(66 272.82303),(67 271.64896),(68 274.01932),(69 275.85535),(70 275.7842),(71 274.61423),(72 274.33762),(73 276.68616),(74 278.02988),(75 274.79333),(76 274.46936),(77 273.22076),(78 273.41776),(79 273.96036),
(1 104.77066),(2 158.459),(3 182.62688),(4 200.00768),(5 209.61787),(6 220.04019),(7 226.76436),(8 230.15794),(9 234.39314),(10 237.2181),(11 237.2652),(12 239.5547),(13 241.46901),(14 245.81516),(15 246.90868),(16 248.52914),(17 248.96378),(18 249.65527),(19 250.68883),(20 253.20319),(21 255.21906),(22 255.74693),(23 255.40839),(24 259.04535),(25 260.44135),(26 262.08734),(27 260.50806),(28 260.061),(29 261.46817),(30 259.77142),(31 261.1444),(32 262.60107),(33 260.6962),(34 262.95764),(35 262.86423),(36 261.83417),(37 262.51736),(38 267.4577),(39 268.31027),(40 267.9876),(41 269.66895),(42 270.58734),(43 271.23874),(44 275.51138),(45 274.5976),(46 276.63342),(47 275.1168),(48 275.08746),(49 277.12424),(50 279.56006),(51 278.87112),(52 278.17944),(53 278.90057),(54 277.11374),(55 274.73962),(56 275.34433),(57 276.0166),(58 276.44998),(59 272.8546),(60 274.19614),(61 273.74826),(62 275.14514),(63 272.7052),(64 270.27713),(65 268.33432),(66 268.49597),(67 267.9344),(68 264.87543),(69 266.29636),(70 265.9203),(71 264.73773),(72 267.14304),(73 269.351),(74 271.86444),(75 271.81772),(76 272.05066),(77 271.90817),(78 271.46802),(79 270.63977),
(1 103.47167),(2 155.70143),(3 179.43282),(4 193.90965),(5 206.90068),(6 217.25966),(7 224.09132),(8 226.42177),(9 229.45445),(10 230.18411),(11 229.70132),(12 229.42078),(13 231.59662),(14 233.98697),(15 237.15396),(16 237.07924),(17 239.02861),(18 241.87228),(19 243.9917),(20 247.48224),(21 248.4367),(22 249.34396),(23 248.56042),(24 250.53668),(25 249.93947),(26 252.62021),(27 250.74005),(28 252.80797),(29 253.33679),(30 253.7312),(31 252.82947),(32 254.76546),(33 257.9234),(34 258.8289),(35 259.42307),(36 258.58014),(37 258.6734),(38 258.7549),(39 259.35876),(40 259.78195),(41 260.10422),(42 258.858),(43 257.41116),(44 259.28186),(45 256.00372),(46 254.89043),(47 253.03224),(48 255.92776),(49 258.85776),(50 260.67578),(51 261.18015),(52 260.40695),(53 260.3398),(54 262.30774),(55 263.18835),(56 262.6676),(57 263.14636),(58 264.8137),(59 264.02655),(60 264.16888),(61 261.1946),(62 266.0705),(63 264.55893),(64 263.9629),(65 263.64304),(66 262.97217),(67 263.24344),(68 264.181),(69 267.65555),(70 267.25977),(71 269.02844),(72 266.90073),(73 267.92545),(74 273.16824),(75 269.40103),(76 268.3448),(77 270.39056),(78 269.6034),(79 270.4603),
(1 103.299736),(2 152.50394),(3 175.10403),(4 190.77225),(5 202.23322),(6 212.70981),(7 222.05388),(8 225.60191),(9 230.73589),(10 231.60538),(11 233.08975),(12 232.34195),(13 231.39317),(14 235.69554),(15 237.34897),(16 238.5925),(17 237.89581),(18 242.66728),(19 246.91852),(20 247.11813),(21 249.5418),(22 248.21849),(23 249.78468),(24 251.26436),(25 251.85397),(26 255.43878),(27 253.8935),(28 256.30142),(29 257.39185),(30 259.40808),(31 259.6438),(32 258.54364),(33 261.227),(34 261.21487),(35 259.36496),(36 260.63632),(37 260.09348),(38 262.77792),(39 261.95078),(40 262.66534),(41 263.49106),(42 264.65775),(43 262.79855),(44 265.71545),(45 262.6638),(46 264.1987),(47 265.135),(48 266.39886),(49 266.80414),(50 268.80814),(51 268.17218),(52 266.88797),(53 265.8774),(54 264.77786),(55 265.4126),(56 264.7877),(57 266.1066),(58 268.12115),(59 268.70193),(60 268.50958),(61 269.36053),(62 276.4915),(63 273.73572),(64 273.82126),(65 273.97665),(66 272.13162),(67 270.10532),(68 271.68082),(69 272.96124),(70 274.675),(71 274.17914),(72 271.32303),(73 273.20633),(74 274.72128),(75 272.47507),(76 272.42877),(77 273.9691),(78 273.9432),(79 273.764),
