1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 67437.26),(2 209642.8),(3 424239.66),(4 702046.5),(5 1018878.75),(6 1345658.9),(7 1655068.5),(8 1936773),(9 2252697.8),(10 2579778.8),(11 2899857.8),(12 3244435.3),(13 3654992),(14 4031615.3),(15 4369553.5),(16 4691650),(17 4956998),(18 5137656),(19 5286408),(20 5385737.5),(21 5441016.5),(22 5552704),(23 5665009.5),(24 5785449.5),(25 5932352.5),(26 6070136),(27 6225373.5),(28 6344564.5),(29 6456438.5),(30 6596846.5),(31 6715220.5),(32 6795341.5),(33 6895221.5),(34 6954262.5),(35 6918770.5),(36 6866672),(37 6816141.5),(38 6746829.5),(39 6725237.5),(40 6716457.5),(41 6688101.5),(42 6719789.5),(43 6769732),(44 6801220.5),(45 6993732),(46 7136812),(47 7313086),(48 7540572.5),(49 7756948),(50 7978847.5),(51 8205066.5),(52 8393614),(53 8622157),(54 8831288),(55 9045401),(56 9267077),(57 9416182),(58 9603682),(59 9720984),(60 9834207),(61 9924183),(62 9961799),(63 9982047),(64 10037744),(65 10033980),(66 10010247),(67 9980744),(68 9948543),(69 9903100),(70 10012008),(71 10055556),(72 10158575),(73 10288086),(74 10332837),(75 10449142),(76 10588087),(77 10733473),(78 11210264),(79 11464859),
(1 1736.6729),(2 2586.866),(3 3126.2278),(4 3578.0889),(5 3792.4768),(6 4008.2285),(7 4254.9673),(8 4387.725),(9 4545.9736),(10 4690.318),(11 4680.7656),(12 4729.2676),(13 4802.779),(14 4815.7046),(15 4865.4634),(16 4951.7734),(17 4996.759),(18 5065.1777),(19 5147.528),(20 5180.098),(21 5299.851),(22 5238.13),(23 5291.678),(24 5388.476),(25 5312.0356),(26 5314.2393),(27 5399.183),(28 5302.6807),(29 5323.357),(30 5386.672),(31 5272.1787),(32 5346.785),(33 5345.295),(34 5452.416),(35 5376.064),(36 5380.337),(37 5385.1187),(38 5377.271),(39 5412.5396),(40 5516.0024),(41 5479.7637),(42 5491.838),(43 5610.208),(44 5533.106),(45 5562.8315),(46 5485.303),(47 5435.025),(48 5466.213),(49 5454.471),(50 5524.0596),(51 5523.249),(52 5610.7476),(53 5586.4355),(54 5591.971),(55 5655.284),(56 5643.841),(57 5636.1753),(58 5703.546),(59 5679.0186),(60 5705.527),(61 5694.256),(62 5643.505),(63 5628.7695),(64 5697.6597),(65 5639.3022),(66 5559.2666),(67 5669.239),(68 5610.413),(69 5557.4604),(70 5669.5654),(71 5590.322),(72 5633.053),(73 5695.1465),(74 5683.758),(75 5812.0596),(76 5747.2935),(77 5770.1724),(78 5963.8477),(79 5880.916),
(1 1750.1008),(2 2537.125),(3 3161.436),(4 3556.3506),(5 3809.192),(6 3974.7834),(7 4233.406),(8 4317.3276),(9 4456.9365),(10 4560.9243),(11 4584.748),(12 4651.485),(13 4816.7456),(14 4805.635),(15 4894.755),(16 5008.791),(17 5001.233),(18 4986.506),(19 4988.4546),(20 4984.0137),(21 5093.3237),(22 5072.3037),(23 5063.144),(24 5111.6035),(25 5074.428),(26 5128.4785),(27 5227.124),(28 5153.2217),(29 5153.1235),(30 5216.3555),(31 5159.701),(32 5220.828),(33 5206.4517),(34 5268.229),(35 5299.554),(36 5247.326),(37 5302.286),(38 5310.441),(39 5330.7627),(40 5335.313),(41 5350.467),(42 5347.018),(43 5422.291),(44 5382.0625),(45 5419.662),(46 5375.1143),(47 5378.4043),(48 5398.826),(49 5314.1953),(50 5364.43),(51 5294.608),(52 5344.016),(53 5236.294),(54 5256.099),(55 5297.894),(56 5272.8945),(57 5301.0854),(58 5424.253),(59 5386.965),(60 5416.178),(61 5469.937),(62 5444.659),(63 5496.6343),(64 5502.4116),(65 5367.18),(66 5328.4844),(67 5405.323),(68 5344.8),(69 5337.863),(70 5404.998),(71 5371.503),(72 5400.4487),(73 5462.6675),(74 5459.693),(75 5549.55),(76 5517.7163),(77 5558.195),(78 5730.943),(79 5673.372),
(1 1720.3368),(2 2480.8884),(3 3038.228),(4 3403.0413),(5 3670.4358),(6 3898.5874),(7 4135.435),(8 4223.9956),(9 4336.399),(10 4468.4136),(11 4525.667),(12 4590.183),(13 4702.734),(14 4671.3794),(15 4781.791),(16 4824.5264),(17 4849.566),(18 4922.2324),(19 4981.8623),(20 4949.4966),(21 4978.2407),(22 5007.431),(23 5028.483),(24 5101.894),(25 5011.901),(26 5041.537),(27 5184.456),(28 5114.7417),(29 5127.4873),(30 5212.9814),(31 5151.1836),(32 5177.3164),(33 5205.056),(34 5294.5864),(35 5308.3413),(36 5322.4814),(37 5403.166),(38 5425.3228),(39 5500.9653),(40 5567.2515),(41 5554.9624),(42 5555.6943),(43 5649.225),(44 5591.0967),(45 5582.0786),(46 5538.7827),(47 5498.2554),(48 5484.6245),(49 5405.443),(50 5422.17),(51 5405.8315),(52 5530.46),(53 5443.127),(54 5468.3745),(55 5546.0176),(56 5499.056),(57 5524.3765),(58 5580.842),(59 5568.571),(60 5545.067),(61 5547.3154),(62 5491.518),(63 5451.825),(64 5469.0713),(65 5285.49),(66 5273.6514),(67 5305.271),(68 5244.713),(69 5178.43),(70 5242.2896),(71 5189.7363),(72 5165.8613),(73 5224.6255),(74 5196.077),(75 5293.5313),(76 5274.4277),(77 5361.5938),(78 5526.48),(79 5454.2534),
(1 1657.1593),(2 2391.4036),(3 2923.0007),(4 3294.6953),(5 3508.6968),(6 3730.9749),(7 3959.176),(8 4058.687),(9 4181.519),(10 4327.0503),(11 4367.6826),(12 4422.2236),(13 4464.82),(14 4403.237),(15 4512.105),(16 4567.6357),(17 4506.5146),(18 4508.861),(19 4532.4575),(20 4596.0156),(21 4643.515),(22 4657.8374),(23 4715.3),(24 4815.456),(25 4765.1577),(26 4791.1807),(27 4865.3335),(28 4817.563),(29 4810.55),(30 4891.879),(31 4806.8345),(32 4840.378),(33 4796.9565),(34 4889.9404),(35 4915.3174),(36 4991.674),(37 5158.542),(38 5141.8013),(39 5209.4937),(40 5322.643),(41 5230.051),(42 5289.907),(43 5359.7344),(44 5307.7725),(45 5355.369),(46 5361.7017),(47 5379.6113),(48 5428.06),(49 5377.949),(50 5404.3403),(51 5426.9653),(52 5519.877),(53 5460.159),(54 5500.4746),(55 5608.084),(56 5529.2827),(57 5522.462),(58 5545.927),(59 5494.25),(60 5486.9004),(61 5532.611),(62 5371.936),(63 5333.691),(64 5270.599),(65 5178.1455),(66 5177.444),(67 5242.9707),(68 5187.998),(69 5147.191),(70 5191.063),(71 5166.4326),(72 5149.6973),(73 5238.802),(74 5215.3066),(75 5363.9707),(76 5306.31),(77 5418.4087),(78 5592.0747),(79 5550.8555),
(1 1683.5385),(2 2433.3635),(3 2962.9014),(4 3347.374),(5 3547.138),(6 3729.6147),(7 3941.726),(8 4076.883),(9 4183.003),(10 4332.3774),(11 4340.3237),(12 4390.615),(13 4440.4614),(14 4466.307),(15 4563.7866),(16 4726.1846),(17 4753.6245),(18 4770.735),(19 4827.5977),(20 4891.8994),(21 4896.6416),(22 4953.505),(23 4957.149),(24 5076.849),(25 4968.6436),(26 4960.2954),(27 4996.9795),(28 4935.0283),(29 4930.5884),(30 4989.8433),(31 4906.3164),(32 4966.72),(33 4921.0615),(34 4981.436),(35 4963.588),(36 4984.9443),(37 5056.314),(38 5062.372),(39 5126.4424),(40 5121.786),(41 5086.891),(42 5064.237),(43 5119.1396),(44 5067.848),(45 5132.6143),(46 5117.6367),(47 5144.0444),(48 5233.26),(49 5256.7085),(50 5335.8857),(51 5372.46),(52 5511.8716),(53 5431.4355),(54 5494.29),(55 5583.8403),(56 5512.869),(57 5466.921),(58 5516.6934),(59 5452.224),(60 5398.5034),(61 5442.1973),(62 5352.8486),(63 5381.421),(64 5392.9834),(65 5204.937),(66 5114.289),(67 5131.952),(68 5136.0884),(69 5080.1265),(70 5110.103),(71 5039.9604),(72 5083.292),(73 5132.571),(74 5082.2676),(75 5186.779),(76 5122.2085),(77 5205.111),(78 5406.7603),(79 5347.2915),
(1 1640.9907),(2 2377.678),(3 2883.9583),(4 3251.536),(5 3458.1182),(6 3650.5093),(7 3810.3054),(8 3937.655),(9 4009.8384),(10 4153.6616),(11 4206.7866),(12 4218.693),(13 4328.4233),(14 4344.2285),(15 4448.9443),(16 4619.47),(17 4556.6357),(18 4610.6724),(19 4624.3447),(20 4585.9795),(21 4669.7754),(22 4616.6387),(23 4633.2183),(24 4699.8765),(25 4620.2896),(26 4671.7705),(27 4784.194),(28 4694.611),(29 4709.342),(30 4789.9033),(31 4765.2803),(32 4815.7783),(33 4767.161),(34 4795.241),(35 4794.0293),(36 4805.677),(37 4851.3613),(38 4849.218),(39 4887.706),(40 4897.0425),(41 4882.3496),(42 4880.137),(43 4939.5376),(44 4898.5894),(45 4972.919),(46 4952.8696),(47 4927.258),(48 4945.699),(49 4973.5215),(50 5091.31),(51 5102.9946),(52 5230.6494),(53 5164.305),(54 5198.1675),(55 5261.205),(56 5226.2954),(57 5236.948),(58 5288.337),(59 5278.801),(60 5302.515),(61 5319.351),(62 5292.768),(63 5321.6943),(64 5309.9),(65 5227.9116),(66 5205.858),(67 5230.354),(68 5177.651),(69 5139.9233),(70 5140.4585),(71 5015.145),(72 5006.048),(73 5032.435),(74 4991.8584),(75 5113.182),(76 5054.226),(77 5150.523),(78 5304.7637),(79 5257.4307),
(1 1669.7687),(2 2461.0908),(3 3002.1829),(4 3327.2976),(5 3551.9812),(6 3751.8835),(7 3906.578),(8 4043.1716),(9 4084.363),(10 4177.6772),(11 4159.07),(12 4201.5347),(13 4248.406),(14 4252.881),(15 4305.4727),(16 4409.396),(17 4369.2397),(18 4401.9316),(19 4477.4956),(20 4576.1187),(21 4651.352),(22 4589.5737),(23 4602.0566),(24 4695.188),(25 4591.101),(26 4603.505),(27 4694.37),(28 4651.882),(29 4635.886),(30 4691.201),(31 4614.3403),(32 4695.344),(33 4647.3267),(34 4764.553),(35 4778.514),(36 4811.68),(37 4873.736),(38 4878.5547),(39 4933.886),(40 4988.7935),(41 5008.1626),(42 5049.5225),(43 5093.607),(44 5091.3438),(45 5158.5903),(46 5096.1924),(47 5089.245),(48 5135.0776),(49 5162.376),(50 5274.082),(51 5239.899),(52 5330.8667),(53 5272.7046),(54 5256.4585),(55 5280.1675),(56 5206.0313),(57 5242.5044),(58 5287.6953),(59 5260.025),(60 5181.881),(61 5262.973),(62 5203.6304),(63 5275.5938),(64 5262.805),(65 5189.1563),(66 5195.043),(67 5231.4844),(68 5152.5015),(69 5096.1387),(70 5102.9453),(71 4997.571),(72 4962.1465),(73 4980.999),(74 4897.209),(75 4994.655),(76 4929.4473),(77 5007.9146),(78 5155.1006),(79 5108.226),
(1 1645.4454),(2 2380.5862),(3 2909.25),(4 3262.4055),(5 3463.8591),(6 3679.9106),(7 3888.6345),(8 4001.321),(9 4077.774),(10 4188.6284),(11 4269.879),(12 4317.675),(13 4333.555),(14 4326.7495),(15 4372.9243),(16 4487.1865),(17 4413.4414),(18 4434.652),(19 4518.375),(20 4554.026),(21 4616.6787),(22 4562.903),(23 4578.0303),(24 4663.9277),(25 4566.849),(26 4587.0835),(27 4676.8945),(28 4607.4873),(29 4616.3545),(30 4638.8306),(31 4558.764),(32 4665.839),(33 4666.973),(34 4783.1426),(35 4819.934),(36 4871.926),(37 4919.09),(38 4924.093),(39 4996.1807),(40 5038.0093),(41 5035.5903),(42 4994.01),(43 5054.341),(44 5047.5024),(45 5096.0117),(46 5118.383),(47 5139.576),(48 5218.1387),(49 5218.3804),(50 5279.2754),(51 5254.3276),(52 5286.6406),(53 5230.0615),(54 5258.3403),(55 5290.877),(56 5233.903),(57 5180.7515),(58 5232.089),(59 5176.9272),(60 5103.5737),(61 5124.856),(62 5059.104),(63 5088.5605),(64 5160.042),(65 5121.122),(66 5124.7847),(67 5207.138),(68 5084.028),(69 5029.178),(70 5101.6826),(71 5009.693),(72 5018.5054),(73 5043.057),(74 5026.501),(75 5098.3213),(76 5018.9775),(77 5064.978),(78 5166.757),(79 5065.2407),
(1 1580.3948),(2 2310.4343),(3 2782.7988),(4 3151.8413),(5 3314.1575),(6 3532.931),(7 3713.2358),(8 3807.7534),(9 3893.527),(10 3991.1025),(11 4022.754),(12 4087.1743),(13 4178.699),(14 4166.928),(15 4229.4653),(16 4333.808),(17 4325.6577),(18 4349.6494),(19 4429.8403),(20 4447.632),(21 4533.209),(22 4509.1016),(23 4537.2676),(24 4600.9727),(25 4540.704),(26 4514.8804),(27 4587.839),(28 4511.5205),(29 4519.7153),(30 4540.279),(31 4504.0244),(32 4565.116),(33 4530.2046),(34 4628.9937),(35 4646.112),(36 4702.0674),(37 4775.632),(38 4791.0947),(39 4871.6924),(40 4912.736),(41 4883.193),(42 4911.1704),(43 4931.151),(44 4927.601),(45 4958.074),(46 4922.6304),(47 4912.9),(48 4963.856),(49 4921.7324),(50 4971.953),(51 4924.4897),(52 4964.702),(53 4906.7314),(54 4908.403),(55 4929.795),(56 4923.526),(57 4904.887),(58 4977.5786),(59 4994.713),(60 4960.9756),(61 4994.018),(62 4951.33),(63 4966.406),(64 4943.1187),(65 4945.409),(66 4922.2485),(67 4940.133),(68 4876.432),(69 4791.04),(70 4842.6445),(71 4750.669),(72 4776.5483),(73 4848.7793),(74 4805.8945),(75 4863.7783),(76 4786.5435),(77 4843.488),(78 4954.2153),(79 4921.9385),
(1 1525.395),(2 2221.1814),(3 2702.7957),(4 3055.0837),(5 3226.951),(6 3390.5776),(7 3557.0583),(8 3655.1787),(9 3730.9119),(10 3874.2805),(11 3885.667),(12 3929.5557),(13 3980.9126),(14 3961.192),(15 3982.8372),(16 4037.2415),(17 4074.9094),(18 4153.247),(19 4257.3193),(20 4206.623),(21 4254.6006),(22 4245.527),(23 4212.307),(24 4310.3926),(25 4297.556),(26 4283.084),(27 4377.184),(28 4344.889),(29 4392.5728),(30 4447.2075),(31 4380.9644),(32 4470.3804),(33 4421.556),(34 4450.3345),(35 4461.098),(36 4526.7383),(37 4559.7305),(38 4499.1235),(39 4551.17),(40 4571.972),(41 4526.642),(42 4610.381),(43 4659.728),(44 4616.6553),(45 4662.1016),(46 4671.306),(47 4656.4346),(48 4704.4014),(49 4656.6226),(50 4700.673),(51 4682.9155),(52 4742.7026),(53 4743.5576),(54 4764.049),(55 4768.031),(56 4733.773),(57 4744.2847),(58 4795.865),(59 4809.2705),(60 4813.411),(61 4889.927),(62 4839.6743),(63 4809.927),(64 4807.1177),(65 4733.0444),(66 4724.728),(67 4821.937),(68 4711.602),(69 4608.584),(70 4645.913),(71 4574.248),(72 4545.6587),(73 4611.597),(74 4536.9854),(75 4587.975),(76 4539.931),(77 4623.1235),(78 4758.598),(79 4649.135),
(1 1505.8881),(2 2149.6392),(3 2573.688),(4 2890.4714),(5 3055.792),(6 3230.9294),(7 3418.2034),(8 3488.3132),(9 3553.745),(10 3679.0093),(11 3688.5122),(12 3726.177),(13 3823.8757),(14 3851.5127),(15 3873.427),(16 3925.103),(17 3951.5256),(18 4010.6553),(19 4101.729),(20 4125.991),(21 4169.612),(22 4143.878),(23 4163.735),(24 4224.084),(25 4198.5273),(26 4199.928),(27 4262.1436),(28 4259.8296),(29 4285.2373),(30 4315.9614),(31 4276.6216),(32 4367.0127),(33 4383.4756),(34 4453.9673),(35 4412.808),(36 4467.4395),(37 4503.73),(38 4512.8296),(39 4590.876),(40 4620.4683),(41 4533.8643),(42 4559.5654),(43 4604.728),(44 4486.9365),(45 4505.049),(46 4478.4087),(47 4488.7163),(48 4500.332),(49 4494.833),(50 4516.5093),(51 4486.9126),(52 4562.422),(53 4522.9614),(54 4545.4365),(55 4583.2544),(56 4563.702),(57 4566.202),(58 4600.9873),(59 4607.8467),(60 4618.173),(61 4692.544),(62 4617.67),(63 4620.0933),(64 4636.452),(65 4569.47),(66 4606.9243),(67 4663.745),(68 4600.179),(69 4571.0293),(70 4589.899),(71 4512.622),(72 4474.6943),(73 4496.4893),(74 4491.454),(75 4595.697),(76 4543.554),(77 4593.27),(78 4752.522),(79 4630.3086),
(1 1499.8673),(2 2177.157),(3 2626.5112),(4 2914.087),(5 3087.2966),(6 3289.109),(7 3472.8013),(8 3534.5313),(9 3606.9675),(10 3724.5056),(11 3743.0442),(12 3800.6523),(13 3898.5635),(14 3912.8618),(15 3978.839),(16 4026.7742),(17 4036.6016),(18 4091.7385),(19 4189.65),(20 4164.52),(21 4212.979),(22 4120.4526),(23 4155.2705),(24 4191.6387),(25 4151.426),(26 4183.4937),(27 4277.199),(28 4260.864),(29 4260.381),(30 4290.6963),(31 4252.09),(32 4342.5664),(33 4361.7954),(34 4466.297),(35 4420.443),(36 4501.603),(37 4583.744),(38 4598.2637),(39 4656.6035),(40 4723.439),(41 4700.0566),(42 4690.666),(43 4714.464),(44 4662.6675),(45 4711.174),(46 4685.29),(47 4708.2705),(48 4724.076),(49 4716.113),(50 4748.3613),(51 4642.8013),(52 4695.81),(53 4604.116),(54 4585.898),(55 4636.682),(56 4600.6387),(57 4615.455),(58 4648.6133),(59 4646.8633),(60 4649.349),(61 4649.573),(62 4578.561),(63 4564.4385),(64 4586.815),(65 4524.7837),(66 4567.373),(67 4635.1484),(68 4589.891),(69 4559.6553),(70 4655.898),(71 4550.6646),(72 4569.7866),(73 4626.019),(74 4605.358),(75 4710.1123),(76 4656.3125),(77 4711.736),(78 4816.433),(79 4744.825),
(1 1474.0328),(2 2107.1147),(3 2539.2175),(4 2835.9648),(5 3034.8665),(6 3231.521),(7 3403.04),(8 3481.8308),(9 3497.6697),(10 3577.4766),(11 3545.933),(12 3607.4766),(13 3688.6853),(14 3696.1533),(15 3755.067),(16 3801.5469),(17 3825.728),(18 3889.1755),(19 4018.1357),(20 3980.3438),(21 4010.9595),(22 3971.677),(23 4010.9531),(24 4083.151),(25 4042.6995),(26 4063.7844),(27 4120.219),(28 4133.6104),(29 4112.3496),(30 4178.99),(31 4104.8647),(32 4192.635),(33 4175.577),(34 4174.7407),(35 4181.21),(36 4225.157),(37 4311.5522),(38 4301.004),(39 4298.774),(40 4348.222),(41 4337.8115),(42 4350.801),(43 4416.5806),(44 4385.7065),(45 4463.2803),(46 4463.4077),(47 4451.456),(48 4496.321),(49 4461.049),(50 4508.98),(51 4458.506),(52 4501.2227),(53 4451.371),(54 4404.7217),(55 4452.478),(56 4413.7993),(57 4454.8926),(58 4559.164),(59 4490.608),(60 4450.6323),(61 4457.758),(62 4456.3794),(63 4445.2334),(64 4484.8335),(65 4449.3115),(66 4422.9326),(67 4507.5015),(68 4453.093),(69 4447.6987),(70 4539.471),(71 4409.955),(72 4429.188),(73 4475.9326),(74 4428.1094),(75 4587.045),(76 4543.316),(77 4601.69),(78 4753.086),(79 4712.9854),
(1 1436.655),(2 2028.6172),(3 2466.2644),(4 2765.4033),(5 2950.059),(6 3113.91),(7 3265.5833),(8 3350.4092),(9 3376.6145),(10 3491.912),(11 3492.406),(12 3553.0754),(13 3589.0771),(14 3628.8162),(15 3680.424),(16 3724.2664),(17 3761.5693),(18 3858.993),(19 3964.5977),(20 3879.0674),(21 3897.4229),(22 3874.0862),(23 3858.8572),(24 3942.5793),(25 3904.912),(26 3960.0315),(27 4011.1028),(28 3963.0798),(29 3947.9324),(30 3960.648),(31 3918.3145),(32 3964.3262),(33 3931.5867),(34 3956.9172),(35 3949.4436),(36 4016.243),(37 4132.322),(38 4133.7363),(39 4150.894),(40 4230.1655),(41 4235.0728),(42 4281.181),(43 4347.5503),(44 4310.4155),(45 4375.329),(46 4366.196),(47 4333.8564),(48 4339.3813),(49 4342.2017),(50 4387.706),(51 4363.098),(52 4404.2944),(53 4395.5444),(54 4371.193),(55 4457.4663),(56 4458.022),(57 4488.7725),(58 4533.7837),(59 4497.3096),(60 4467.3623),(61 4473.2246),(62 4377.996),(63 4407.2617),(64 4401.4834),(65 4351.5063),(66 4288.115),(67 4390.0005),(68 4344.6406),(69 4340.33),(70 4383.09),(71 4298.4),(72 4290.25),(73 4330.363),(74 4258.982),(75 4340.5117),(76 4296.8677),(77 4360.0415),(78 4476.353),(79 4421.9526),
(1 1432.0039),(2 2044.7203),(3 2453.1714),(4 2762.3538),(5 2898.4653),(6 3035.3035),(7 3183.791),(8 3219.0967),(9 3261.3176),(10 3356.5872),(11 3375.2285),(12 3424.3787),(13 3458.0593),(14 3508.3682),(15 3566.191),(16 3640.3357),(17 3609.7432),(18 3707.7163),(19 3796.2483),(20 3767.0818),(21 3821.9097),(22 3871.1018),(23 3905.913),(24 3958.822),(25 3917.6213),(26 3916.7039),(27 3970.9475),(28 3914.1438),(29 3883.421),(30 3968.1318),(31 3931.4922),(32 3950.2146),(33 3919.1655),(34 3950.5947),(35 3919.2817),(36 3945.7568),(37 4056.6904),(38 4024.986),(39 4031.75),(40 4046.622),(41 4072.8118),(42 4153.544),(43 4186.8555),(44 4147.6377),(45 4191.7104),(46 4178.666),(47 4225.2935),(48 4272.968),(49 4228.8647),(50 4296.485),(51 4221.4785),(52 4293.426),(53 4240.0537),(54 4238.341),(55 4301.802),(56 4281.5425),(57 4309.595),(58 4370.9575),(59 4408.764),(60 4379.4365),(61 4411.4517),(62 4367.6924),(63 4409.841),(64 4436.501),(65 4407.6685),(66 4370.292),(67 4403.397),(68 4329.2964),(69 4281.295),(70 4346.968),(71 4235.0083),(72 4214.6636),(73 4278.759),(74 4240.5464),(75 4337.9097),(76 4241.3857),(77 4287.9946),(78 4374.7373),(79 4283.7124),
(1 1409.5266),(2 2007.814),(3 2436.3628),(4 2730.1047),(5 2850.957),(6 3003.2263),(7 3134.0208),(8 3213.7263),(9 3261.1968),(10 3321.7424),(11 3351.6729),(12 3414.664),(13 3471.7004),(14 3485.3281),(15 3556.4954),(16 3594.8608),(17 3609.9932),(18 3674.6387),(19 3754.8062),(20 3669.601),(21 3713.8464),(22 3715.6648),(23 3697.4023),(24 3779.0208),(25 3731.7651),(26 3746.0361),(27 3821.441),(28 3761.6648),(29 3754.1272),(30 3820.9128),(31 3773.3396),(32 3806.5894),(33 3760.8435),(34 3808.3403),(35 3818.2756),(36 3866.4722),(37 3943.5828),(38 3912.769),(39 3978.1711),(40 3981.191),(41 3959.8518),(42 3997.0356),(43 4039.7207),(44 4049.8857),(45 4082.707),(46 4034.3923),(47 4033.8271),(48 4079.0503),(49 4062.371),(50 4112.529),(51 4071.6313),(52 4124.794),(53 4045.082),(54 4086.2212),(55 4174.0947),(56 4116.6987),(57 4156.8066),(58 4229.9556),(59 4138.855),(60 4146.3457),(61 4178.112),(62 4084.7146),(63 4080.1125),(64 4079.8054),(65 4060.2644),(66 4051.7493),(67 4100.4146),(68 4012.3254),(69 3991.8606),(70 4091.5063),(71 3985.6042),(72 3992.7883),(73 3996.7847),(74 4000.5242),(75 4074.8289),(76 3991.8293),(77 4064.046),(78 4184.448),(79 4163.8857),
