1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 28992.244),(2 99550.23),(3 202556.11),(4 315444.5),(5 417992.84),(6 497675.5),(7 559421.5),(8 601872.2),(9 622622.3),(10 618840.94),(11 610797.44),(12 616394),(13 653801.7),(14 744408.7),(15 868172.3),(16 1003415.94),(17 1147013.8),(18 1263995.9),(19 1363948.1),(20 1443458.4),(21 1494618.6),(22 1535605.9),(23 1573642.4),(24 1612056),(25 1670819),(26 1753821.4),(27 1844442),(28 1928975.4),(29 1978983.6),(30 2035083.9),(31 2083774.1),(32 2128334.8),(33 2166946.8),(34 2214987.5),(35 2249413),(36 2301752.8),(37 2354993.8),(38 2412942.3),(39 2487248.3),(40 2565558.5),(41 2653820.8),(42 2756855.8),(43 2868878.8),(44 2980652.3),(45 3096197.3),(46 3202014.8),(47 3313913),(48 3404006.3),(49 3493942.3),(50 3587363.3),(51 3687546.3),(52 3810916),(53 3945667.3),(54 4073625.3),(55 4220116.5),(56 4368391.5),(57 4519060),(58 4648440),(59 4739646.5),(60 4802733),(61 4857974),(62 4891879.5),(63 4935823),(64 4994372),(65 5084330.5),(66 5187082),(67 5297220.5),(68 5398966.5),(69 5536088.5),(70 5702169.5),(71 5873599.5),(72 6025160),(73 6203137.5),(74 6361962.5),(75 6592976),(76 6857152),(77 7123122),(78 7332974.5),(79 7554365.5),
(1 763.45074),(2 1197.2373),(3 1492.4125),(4 1661.3096),(5 1774.2656),(6 1838.3966),(7 1868.2537),(8 1903.9615),(9 1928.1008),(10 1948.2201),(11 1973.6375),(12 1984.1385),(13 1979.9926),(14 1973.965),(15 1987.7279),(16 2000.9961),(17 2025.5903),(18 2048.0176),(19 2049.4565),(20 2071.27),(21 2063.3489),(22 2067.4402),(23 2072.1863),(24 2087.753),(25 2098.9553),(26 2114.953),(27 2112.8918),(28 2126.4868),(29 2099.411),(30 2091.823),(31 2095.4707),(32 2078.4236),(33 2085.2883),(34 2063.6682),(35 2064.9229),(36 2074.5447),(37 2113.3542),(38 2129.0205),(39 2140.1687),(40 2130.4573),(41 2142.0173),(42 2167.3174),(43 2175.5046),(44 2167.563),(45 2172.3728),(46 2167.5579),(47 2167.4136),(48 2181.6245),(49 2180.3884),(50 2186.2144),(51 2170.4468),(52 2157.6042),(53 2131.2322),(54 2141.406),(55 2129.4258),(56 2144.1309),(57 2132.0376),(58 2123.0708),(59 2121.9434),(60 2122.4539),(61 2137.233),(62 2132.9688),(63 2142.6677),(64 2129.02),(65 2132.202),(66 2140.8562),(67 2142.9675),(68 2175.7961),(69 2202.5847),(70 2199.7363),(71 2188.266),(72 2184.898),(73 2186.6448),(74 2182.1267),(75 2164.2822),(76 2159.9893),(77 2162.9216),(78 2173.3037),(79 2195.0156),
(1 755.65326),(2 1193.6243),(3 1473.604),(4 1636.3314),(5 1728.2738),(6 1786.3943),(7 1824.804),(8 1854.0966),(9 1877.0499),(10 1907.1671),(11 1909.2098),(12 1923.8535),(13 1937.062),(14 1946.397),(15 1966.9672),(16 1968.3523),(17 1977.5457),(18 1991.401),(19 1993.2737),(20 1989.699),(21 2015.1157),(22 2039.0538),(23 2037.656),(24 2048.763),(25 2046.0852),(26 2072.2585),(27 2093.864),(28 2116.2866),(29 2114.7297),(30 2108.868),(31 2090.2668),(32 2102.4102),(33 2117.1704),(34 2112.042),(35 2082.7722),(36 2099.7546),(37 2137.0706),(38 2137.642),(39 2134.1897),(40 2114.3552),(41 2113.8596),(42 2134.2512),(43 2131.9014),(44 2132.1606),(45 2128.5745),(46 2107.511),(47 2085.5234),(48 2089.4004),(49 2101.5725),(50 2099.925),(51 2113.1912),(52 2106.4365),(53 2088.1382),(54 2100.4155),(55 2104.886),(56 2101.073),(57 2083.5444),(58 2069.8074),(59 2092.513),(60 2124.199),(61 2120.7979),(62 2131.3884),(63 2126.07),(64 2139.0947),(65 2138.48),(66 2152.0847),(67 2154.6353),(68 2150.855),(69 2129.4897),(70 2142.643),(71 2137.7827),(72 2146.7434),(73 2153.3481),(74 2137.78),(75 2126.723),(76 2116.2607),(77 2113.1628),(78 2129.413),(79 2120.3193),
(1 730.31384),(2 1147.5103),(3 1421.5433),(4 1573.0791),(5 1665.3087),(6 1739.4169),(7 1769.1923),(8 1810.4713),(9 1836.7076),(10 1882.5322),(11 1900.9742),(12 1913.0443),(13 1938.0635),(14 1935.9984),(15 1927.379),(16 1905.6868),(17 1930.2367),(18 1939.7725),(19 1935.8875),(20 1941.8151),(21 1952.2831),(22 1957.0155),(23 1972.725),(24 1977.2827),(25 1978.1919),(26 1985.6616),(27 1993.5475),(28 2010.9525),(29 2020.6924),(30 2021.558),(31 2012.551),(32 1996.9554),(33 2010.0092),(34 1989.4557),(35 1998.7483),(36 1995.6919),(37 2011.2594),(38 2006.402),(39 2000.6941),(40 1993.7527),(41 2006.1792),(42 2011.6793),(43 2011.5636),(44 2019.0989),(45 2037.6064),(46 2035.8595),(47 2027.8878),(48 2031.4589),(49 2046.669),(50 2022.3804),(51 2024.3666),(52 2034.4928),(53 2029.8279),(54 2039.9059),(55 2028.0005),(56 2014.5087),(57 2026.26),(58 2022.3236),(59 2038.1573),(60 2039.0056),(61 2037.5961),(62 2036.4703),(63 2054.8547),(64 2049.1125),(65 2070.3096),(66 2095.3792),(67 2100.6768),(68 2092.604),(69 2075.2969),(70 2067.3264),(71 2066.8274),(72 2067.7554),(73 2074.1707),(74 2063.0408),(75 2069.1755),(76 2057.0476),(77 2069.2683),(78 2088.0376),(79 2087.509),
(1 711.1247),(2 1129.3206),(3 1397.6676),(4 1539.0717),(5 1642.8898),(6 1722.7816),(7 1767.6632),(8 1781.3663),(9 1802.5022),(10 1829.9926),(11 1860.66),(12 1874.5782),(13 1875.7576),(14 1862.1569),(15 1870.3734),(16 1869.8644),(17 1876.803),(18 1894.2836),(19 1886.4325),(20 1905.6514),(21 1895.8893),(22 1897.0149),(23 1923.9026),(24 1928.4797),(25 1948.4188),(26 1965.028),(27 1980.4746),(28 1980.2113),(29 1975.9755),(30 1977.9182),(31 1970.0319),(32 1964.4762),(33 1966.2958),(34 1983.9476),(35 1972.2343),(36 1967.4984),(37 1971.5739),(38 1960.5645),(39 1952.2018),(40 1946.7224),(41 1948.4672),(42 1963.5048),(43 1970.4486),(44 1958.3805),(45 1941.3475),(46 1950.72),(47 1965.723),(48 1968.2915),(49 1971.5563),(50 1992.4078),(51 1987.8182),(52 1968.1073),(53 1979.7031),(54 1982.7092),(55 1966.191),(56 1968.062),(57 1966.9602),(58 1964.7013),(59 1977.9137),(60 1994.0402),(61 2008.7902),(62 2022.8647),(63 2020.5365),(64 2002.7804),(65 2009.9473),(66 2001.2947),(67 2018.9772),(68 2019.3119),(69 2016.5422),(70 2030.9803),(71 2031.5021),(72 2029.9877),(73 2044.8114),(74 2050.8052),(75 2026.5175),(76 2022.7382),(77 2009.7139),(78 2025.5016),(79 2033.352),
(1 694.1218),(2 1074.615),(3 1316.7642),(4 1471.4207),(5 1567.6443),(6 1653.8779),(7 1693.5963),(8 1720.9672),(9 1732.7715),(10 1761.3818),(11 1769.5597),(12 1782.2251),(13 1787.8113),(14 1783.8303),(15 1807.4934),(16 1816.3589),(17 1834.2753),(18 1861.9005),(19 1846.8768),(20 1856.5889),(21 1869.3818),(22 1874.1948),(23 1889.9504),(24 1909.774),(25 1909.9691),(26 1920.6088),(27 1937.3538),(28 1944.2725),(29 1941.1716),(30 1943.7161),(31 1943.0156),(32 1939.588),(33 1950.2651),(34 1958.0695),(35 1954.2764),(36 1950.1006),(37 1959.34),(38 1955.6338),(39 1939.1805),(40 1923.8433),(41 1926.5446),(42 1967.2468),(43 1963.5258),(44 1958.69),(45 1964.8845),(46 1973.5254),(47 1972.2262),(48 1958.6316),(49 1964.204),(50 1966.9934),(51 1981.2468),(52 1971.3965),(53 1971.2524),(54 1980.0524),(55 1967.7578),(56 1973.4465),(57 1985.3906),(58 1972.1305),(59 1965.2085),(60 1952.393),(61 1945.4591),(62 1941.552),(63 1938.9438),(64 1926.5558),(65 1908.1488),(66 1893.8535),(67 1892.0923),(68 1885.2106),(69 1882.7473),(70 1904.5643),(71 1911.2843),(72 1891.1982),(73 1898.1323),(74 1894.8),(75 1912.2235),(76 1901.4707),(77 1905.4661),(78 1910.1772),(79 1912.4435),
(1 687.2515),(2 1066.6499),(3 1319.6097),(4 1473.0963),(5 1560.4741),(6 1632.916),(7 1664.6847),(8 1693.1654),(9 1711.0975),(10 1741.6997),(11 1761.4579),(12 1775.247),(13 1770.5939),(14 1770.7738),(15 1778.9504),(16 1773.6918),(17 1769.9662),(18 1786.668),(19 1794.4474),(20 1803.9757),(21 1815.0983),(22 1822.868),(23 1830.8193),(24 1848.9827),(25 1865.6747),(26 1879.575),(27 1882.4934),(28 1892.2662),(29 1899.8108),(30 1910.2534),(31 1904.5759),(32 1906.9716),(33 1913.5933),(34 1919.5576),(35 1924.1367),(36 1910.5231),(37 1924.7452),(38 1925.5247),(39 1943.215),(40 1939.0267),(41 1943.4019),(42 1923.6074),(43 1916.8994),(44 1911.1111),(45 1919.3999),(46 1935.6146),(47 1952.4471),(48 1957.8182),(49 1944.8834),(50 1956.3325),(51 1977.345),(52 1987.2664),(53 1985.673),(54 1995.6859),(55 1964.9192),(56 1948.6036),(57 1926.3878),(58 1920.3689),(59 1916.3971),(60 1912.285),(61 1895.7128),(62 1907.0168),(63 1908.375),(64 1898.0205),(65 1900.5134),(66 1921.8384),(67 1925.1165),(68 1913.6476),(69 1909.3202),(70 1928.6086),(71 1932.7485),(72 1911.389),(73 1890.4957),(74 1881.453),(75 1900.3157),(76 1919.9288),(77 1931.1653),(78 1939.2001),(79 1937.4073),
(1 669.16266),(2 1034.6168),(3 1270.4097),(4 1412.1876),(5 1508.2467),(6 1581.6224),(7 1611.647),(8 1643.735),(9 1645.142),(10 1650.057),(11 1667.614),(12 1687.9393),(13 1682.3475),(14 1696.6954),(15 1717.7108),(16 1713.7338),(17 1739.85),(18 1762.296),(19 1781.0538),(20 1773.395),(21 1780.9736),(22 1795.3162),(23 1801.4392),(24 1807.9032),(25 1805.1976),(26 1805.8447),(27 1797.8359),(28 1807.2678),(29 1804.1394),(30 1816.2572),(31 1818.2749),(32 1838.0245),(33 1841.1998),(34 1844.0217),(35 1859.2454),(36 1860.1106),(37 1862.5929),(38 1856.051),(39 1852.8037),(40 1855.4719),(41 1857.8489),(42 1859.0073),(43 1863.4144),(44 1857.8323),(45 1847.729),(46 1861.6155),(47 1853.3065),(48 1868.7794),(49 1861.6604),(50 1858.9343),(51 1851.8458),(52 1857.5309),(53 1860.9702),(54 1879.3102),(55 1888.4265),(56 1882.604),(57 1892.8743),(58 1891.9479),(59 1878.6254),(60 1875.5464),(61 1882.6705),(62 1872.1976),(63 1872.104),(64 1852.9253),(65 1855.2733),(66 1881.73),(67 1876.6621),(68 1883.9608),(69 1879.1196),(70 1889.5892),(71 1891.8165),(72 1869.0067),(73 1868.5607),(74 1847.1149),(75 1839.4651),(76 1842.9165),(77 1853.6963),(78 1868.9418),(79 1866.8346),
(1 659.9791),(2 1014.50684),(3 1238.9727),(4 1370.8683),(5 1465.1832),(6 1534.443),(7 1556.4036),(8 1575.5005),(9 1588.0118),(10 1588.3606),(11 1595.0221),(12 1617.9564),(13 1625.759),(14 1649.4912),(15 1655.5089),(16 1651.2961),(17 1656.4117),(18 1668.5284),(19 1685.7041),(20 1677.4364),(21 1679.259),(22 1686.5952),(23 1704.3107),(24 1725.2067),(25 1733.2258),(26 1759.9131),(27 1789.0156),(28 1802.657),(29 1815.0101),(30 1794.2716),(31 1779.296),(32 1787.4238),(33 1796.6742),(34 1789.6793),(35 1787.8611),(36 1788.9894),(37 1779.5127),(38 1786.6946),(39 1797.3585),(40 1790.2349),(41 1805.0254),(42 1815.302),(43 1811.9279),(44 1810.7949),(45 1799.6896),(46 1792.2981),(47 1784.9102),(48 1804.0164),(49 1791.62),(50 1783.3553),(51 1781.3966),(52 1790.6985),(53 1790.3782),(54 1782.6655),(55 1767.2177),(56 1752.7316),(57 1758.1615),(58 1765.0731),(59 1759.8076),(60 1777.2772),(61 1782.4749),(62 1768.627),(63 1768.7075),(64 1756.2521),(65 1752.2968),(66 1768.5365),(67 1772.5793),(68 1769.9368),(69 1767.178),(70 1768.5823),(71 1771.6997),(72 1779.1064),(73 1766.7288),(74 1745.6987),(75 1748.3948),(76 1737.8414),(77 1755.1643),(78 1763.019),(79 1763.009),
(1 638.7572),(2 978.68665),(3 1209.5126),(4 1349.4825),(5 1434.7826),(6 1499.8291),(7 1517.3633),(8 1528.9899),(9 1549.1022),(10 1555.6075),(11 1555.982),(12 1568.2203),(13 1574.4738),(14 1586.7191),(15 1609.1881),(16 1620.9019),(17 1627.9708),(18 1645.9718),(19 1649.1111),(20 1636.7148),(21 1646.8302),(22 1667.7499),(23 1679.8025),(24 1693.99),(25 1711.6141),(26 1709.2211),(27 1735.7903),(28 1750.462),(29 1763.0195),(30 1763.1383),(31 1769.0032),(32 1765.2167),(33 1768.0742),(34 1760.6382),(35 1759.5547),(36 1753.5525),(37 1750.9291),(38 1752.2186),(39 1741.0092),(40 1718.4105),(41 1727.1104),(42 1741.5778),(43 1741.1776),(44 1747.6923),(45 1751.4048),(46 1757.9082),(47 1745.7197),(48 1760.8835),(49 1734.0266),(50 1736.8755),(51 1745.6803),(52 1728.8911),(53 1718.6383),(54 1722.7726),(55 1730.8817),(56 1731.1267),(57 1726.3446),(58 1728.6642),(59 1730.6174),(60 1742.5703),(61 1745.8284),(62 1745.6044),(63 1746.3899),(64 1749.1056),(65 1744.5139),(66 1750.253),(67 1745.1665),(68 1737.8118),(69 1732.3185),(70 1736.2034),(71 1740.4097),(72 1741.2339),(73 1755.9894),(74 1741.5125),(75 1736.4333),(76 1738.1975),(77 1739.5529),(78 1746.225),(79 1732.9949),
(1 621.19403),(2 953.09686),(3 1156.996),(4 1283.1268),(5 1349.168),(6 1417.082),(7 1459.1411),(8 1473.0825),(9 1482.2618),(10 1477.4873),(11 1497.1786),(12 1521.26),(13 1537.7671),(14 1549.4443),(15 1563.9941),(16 1576.5022),(17 1594.0732),(18 1622.2034),(19 1633.4113),(20 1610.2448),(21 1602.9917),(22 1627.9005),(23 1627.057),(24 1638.167),(25 1629.6477),(26 1620.276),(27 1632.2336),(28 1635.0592),(29 1635.91),(30 1642.9742),(31 1635.2305),(32 1630.8132),(33 1638.6583),(34 1654.0176),(35 1660.0272),(36 1671.1384),(37 1671.4678),(38 1679.7167),(39 1682.905),(40 1683.0682),(41 1685.2069),(42 1692.4517),(43 1687.2823),(44 1689.3083),(45 1685.2041),(46 1698.4337),(47 1710.6965),(48 1682.8467),(49 1666.8324),(50 1647.5725),(51 1651.1932),(52 1649.4891),(53 1654.41),(54 1665.8103),(55 1662.5896),(56 1673.2809),(57 1703.1448),(58 1718.413),(59 1729.647),(60 1741.68),(61 1735.3671),(62 1721.5326),(63 1719.754),(64 1727.5479),(65 1739.3654),(66 1729.8585),(67 1726.134),(68 1720.7948),(69 1700.204),(70 1691.1129),(71 1707.4762),(72 1708.275),(73 1706.9722),(74 1708.8582),(75 1693.8552),(76 1702.003),(77 1701.3225),(78 1714.8896),(79 1705.5771),
(1 608.2583),(2 931.9917),(3 1129.8331),(4 1245.5865),(5 1321.3193),(6 1378.1787),(7 1425.1683),(8 1451.2164),(9 1463.256),(10 1478.5178),(11 1473.6366),(12 1488.8087),(13 1503.6173),(14 1498.9093),(15 1504.47),(16 1528.114),(17 1539.3302),(18 1563.1096),(19 1572.2798),(20 1569.1615),(21 1578.5668),(22 1583.0122),(23 1587.6256),(24 1597.3246),(25 1613.988),(26 1618.2839),(27 1617.5961),(28 1612.6752),(29 1606.4779),(30 1603.1641),(31 1605.5867),(32 1605.1644),(33 1611.9718),(34 1614.9917),(35 1627.485),(36 1647.3323),(37 1657.8009),(38 1655.3971),(39 1642.8347),(40 1640.4459),(41 1641.7655),(42 1650.1218),(43 1639.5077),(44 1645.953),(45 1659.5874),(46 1671.9888),(47 1655.7693),(48 1626.2363),(49 1614.8506),(50 1599.9794),(51 1587.6438),(52 1568.4286),(53 1574.5354),(54 1582.3716),(55 1590.459),(56 1584.0021),(57 1602.4078),(58 1620.5046),(59 1621.4115),(60 1634.3776),(61 1626.3008),(62 1619.5206),(63 1619.0276),(64 1626.4703),(65 1631.0599),(66 1653.2518),(67 1647.1428),(68 1616.1533),(69 1598.2721),(70 1589.2992),(71 1604.6539),(72 1613.8395),(73 1608.7579),(74 1602.8109),(75 1613.1831),(76 1621.0814),(77 1639.8547),(78 1657.645),(79 1650.9646),
(1 598.3335),(2 913.73126),(3 1117.7994),(4 1241.9379),(5 1322.3046),(6 1363.304),(7 1396.7101),(8 1422.2461),(9 1430.4728),(10 1430.7979),(11 1428.6909),(12 1433.5919),(13 1438.3362),(14 1449.541),(15 1449.4238),(16 1477.6495),(17 1486.6967),(18 1505.8942),(19 1509.3279),(20 1540.1936),(21 1556.2712),(22 1562.8785),(23 1562.2849),(24 1576.3855),(25 1567.2666),(26 1565.6544),(27 1582.0685),(28 1593.9849),(29 1587.9185),(30 1586.3344),(31 1580.3973),(32 1577.3617),(33 1593.9749),(34 1592.8461),(35 1594.2347),(36 1604.8724),(37 1607.6199),(38 1608.3632),(39 1617.9835),(40 1625.7091),(41 1625.5397),(42 1623.7268),(43 1629.1504),(44 1613.7767),(45 1608.8743),(46 1603.9586),(47 1599.3474),(48 1581.775),(49 1579.9512),(50 1584.2362),(51 1586.6862),(52 1582.5824),(53 1595.4928),(54 1600.4485),(55 1611.2131),(56 1625.9309),(57 1636.7554),(58 1647.0756),(59 1641.3594),(60 1636.2961),(61 1624.8246),(62 1614.7704),(63 1605.6462),(64 1610.748),(65 1622.6215),(66 1635.4988),(67 1629.5195),(68 1626.6105),(69 1598.9802),(70 1586.5466),(71 1575.84),(72 1577.3436),(73 1571.1077),(74 1571.991),(75 1578.995),(76 1577.3242),(77 1571.8379),(78 1581.1658),(79 1582.9624),
(1 591.344),(2 902.36633),(3 1101.8804),(4 1218.6403),(5 1305.7693),(6 1357.859),(7 1380.8748),(8 1407.2769),(9 1432.0803),(10 1436.7113),(11 1447.9883),(12 1454.466),(13 1453.3611),(14 1458.2142),(15 1474.8446),(16 1477.5835),(17 1487.362),(18 1485.2268),(19 1479.4758),(20 1492.3273),(21 1510.266),(22 1511.3495),(23 1525.1597),(24 1530.5114),(25 1532.3253),(26 1534.9955),(27 1536.5281),(28 1550.4133),(29 1544.0018),(30 1543.4156),(31 1539.2186),(32 1553.7234),(33 1566.1676),(34 1566.4457),(35 1567.2781),(36 1563.8457),(37 1558.5789),(38 1545.4432),(39 1550.6193),(40 1553.2952),(41 1566.1216),(42 1571.6307),(43 1577.5474),(44 1583.7737),(45 1587.3331),(46 1597.0707),(47 1597.7643),(48 1589.0281),(49 1584.1359),(50 1584.171),(51 1592.7635),(52 1582.1842),(53 1598.0413),(54 1610.7972),(55 1603.5952),(56 1608.1724),(57 1607.7687),(58 1609.9109),(59 1590.2489),(60 1590.6877),(61 1587.2743),(62 1583.6926),(63 1586.7468),(64 1574.5544),(65 1576.0199),(66 1608.2004),(67 1601.9388),(68 1585.5529),(69 1583.3943),(70 1587.3859),(71 1579.6622),(72 1595.012),(73 1589.1722),(74 1577.3936),(75 1577.6558),(76 1571.3245),(77 1584.174),(78 1583.2365),(79 1583.138),
(1 588.1518),(2 879.35767),(3 1064.796),(4 1173.9938),(5 1237.9475),(6 1276.825),(7 1299.894),(8 1329.803),(9 1346.4878),(10 1362.1251),(11 1375.4872),(12 1388.6852),(13 1393.4575),(14 1393.3596),(15 1403.5728),(16 1426.5759),(17 1434.1086),(18 1459.4414),(19 1454.2075),(20 1461.5664),(21 1462.2166),(22 1466.9897),(23 1466.0475),(24 1474.9436),(25 1496.6132),(26 1495.6648),(27 1488.7695),(28 1469.1649),(29 1477.94),(30 1486.8484),(31 1491.187),(32 1496.5067),(33 1529.0233),(34 1524.4027),(35 1524.1003),(36 1529.9994),(37 1539.2189),(38 1529.1516),(39 1509.7903),(40 1504.6206),(41 1506.2928),(42 1519.7091),(43 1517.1921),(44 1522.8578),(45 1529.3455),(46 1525.7125),(47 1521.3411),(48 1519.7255),(49 1526.3094),(50 1524.7186),(51 1538.3237),(52 1530.9863),(53 1524.1984),(54 1527.2169),(55 1527.3528),(56 1542.9838),(57 1546.8953),(58 1558.1731),(59 1558.6539),(60 1553.1195),(61 1541.5194),(62 1534.9929),(63 1545.1691),(64 1553.372),(65 1533.8357),(66 1546.9994),(67 1540.8751),(68 1529.0114),(69 1517.8416),(70 1510.8258),(71 1501.1858),(72 1501.7477),(73 1525.6523),(74 1519.3137),(75 1515.5236),(76 1524.6642),(77 1520.133),(78 1519.5493),(79 1524.5994),
(1 568.3217),(2 856.0737),(3 1041.2147),(4 1132.604),(5 1195.0874),(6 1237.6072),(7 1257.9908),(8 1290.4308),(9 1310.9729),(10 1345.5184),(11 1364.6869),(12 1361.9542),(13 1353.8656),(14 1366.7123),(15 1371.4171),(16 1366.9922),(17 1374.5051),(18 1381.8867),(19 1393.1583),(20 1395.711),(21 1396.0999),(22 1396.4419),(23 1400.9363),(24 1426.5885),(25 1442.3823),(26 1455.3275),(27 1468.9529),(28 1461.4244),(29 1457.1713),(30 1475.3553),(31 1472.2327),(32 1466.9832),(33 1469.5947),(34 1471.867),(35 1461.9912),(36 1471.1951),(37 1488.875),(38 1479.1283),(39 1461.2318),(40 1461.5321),(41 1462.7264),(42 1470.1436),(43 1469.1935),(44 1463.7877),(45 1468.0057),(46 1472.7184),(47 1468.9214),(48 1470.6091),(49 1477.696),(50 1477.1118),(51 1481.86),(52 1473.8682),(53 1454.4294),(54 1465.6089),(55 1477.4398),(56 1483.5736),(57 1481.3098),(58 1484.9375),(59 1503.078),(60 1514.3271),(61 1508.2817),(62 1511.4794),(63 1509.2285),(64 1505.8956),(65 1504.5865),(66 1506.4746),(67 1508.6367),(68 1492.5311),(69 1505.679),(70 1506.2991),(71 1494.9178),(72 1500.6968),(73 1497.089),(74 1504.2278),(75 1515.8801),(76 1506.2894),(77 1499.0803),(78 1500.5361),(79 1492.1604),
(1 561.5815),(2 839.01355),(3 1025.228),(4 1114.6721),(5 1189.0906),(6 1233.1759),(7 1258.4628),(8 1281.428),(9 1294.9474),(10 1306.523),(11 1315.7401),(12 1316.8445),(13 1331.0094),(14 1350.028),(15 1346.061),(16 1339.919),(17 1358.538),(18 1370.8662),(19 1370.5155),(20 1376.2756),(21 1384.542),(22 1391.46),(23 1387.6063),(24 1397.7294),(25 1416.785),(26 1428.2388),(27 1437.1642),(28 1433.1836),(29 1432.9888),(30 1454.4749),(31 1451.717),(32 1438.7451),(33 1450.5538),(34 1449.9011),(35 1456.1405),(36 1443.0181),(37 1436.7343),(38 1425.1482),(39 1435.3134),(40 1424.1936),(41 1427.3429),(42 1429.0255),(43 1428.9851),(44 1408.6902),(45 1399.3224),(46 1401.1091),(47 1405.1348),(48 1412.2167),(49 1418.8676),(50 1423.3324),(51 1429.4149),(52 1421.0929),(53 1414.0002),(54 1426.7214),(55 1431.0729),(56 1450.5963),(57 1464.2257),(58 1460.3969),(59 1475.0118),(60 1487.5588),(61 1486.063),(62 1495.967),(63 1499.518),(64 1492.0244),(65 1499.617),(66 1508.132),(67 1503.5194),(68 1498.2798),(69 1497.4192),(70 1504.2802),(71 1485.6167),(72 1474.6241),(73 1475.4244),(74 1483.2379),(75 1499.0963),(76 1481.2823),(77 1466.8867),(78 1467.5813),(79 1469.3733),
