1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 54196.965),(2 157343.8),(3 303951.1),(4 492627.6),(5 697852.94),(6 906946.8),(7 1141037.9),(8 1349556),(9 1551763),(10 1750384.4),(11 1909052.5),(12 2068275.1),(13 2246448.3),(14 2387252.3),(15 2533609.3),(16 2696354.3),(17 2818623),(18 2999584.3),(19 3204618.8),(20 3392768.8),(21 3515801),(22 3606772),(23 3681909.8),(24 3719721.8),(25 3699996),(26 3713090.8),(27 3691073.3),(28 3652727.8),(29 3644524.8),(30 3630405.3),(31 3618267.3),(32 3621522),(33 3627405.3),(34 3626695.3),(35 3618822),(36 3609028.8),(37 3586093.8),(38 3567894),(39 3545140),(40 3502683.3),(41 3444696.8),(42 3398844.3),(43 3318706.3),(44 3253592.8),(45 3183947),(46 3139679.3),(47 3084348),(48 3043382.8),(49 2999911.8),(50 2922485.3),(51 2898896.3),(52 2867408.8),(53 2847498),(54 2883663.3),(55 2928961.8),(56 3000356.8),(57 3102067.3),(58 3210114),(59 3345710),(60 3507604),(61 3662434.8),(62 3804084.8),(63 3963698.8),(64 4103974),(65 4202071),(66 4246330),(67 4235193),(68 4220296.5),(69 4172332.8),(70 4128712.8),(71 4081712.8),(72 4026084.3),(73 3989617),(74 3988456.3),(75 3988975.3),(76 3989088),(77 3977605),(78 4003217),(79 4031923.3),
(1 846.8654),(2 1124.0355),(3 1304.4894),(4 1435.2631),(5 1498.9941),(6 1560.7112),(7 1623.2521),(8 1662.3317),(9 1678.792),(10 1728.7786),(11 1751.7101),(12 1770.5024),(13 1828.952),(14 1836.1292),(15 1870.7162),(16 1895.4037),(17 1902.1284),(18 1900.6469),(19 1955.012),(20 1932.9088),(21 1960.7545),(22 1945.8943),(23 1964.1597),(24 2009.6501),(25 1980.4171),(26 1983.6277),(27 2031.2968),(28 1997.4185),(29 2017.1814),(30 2055.3591),(31 2034.3387),(32 2060.2532),(33 2068.6018),(34 2053.3713),(35 2070.111),(36 2089.622),(37 2076.4949),(38 2095.2144),(39 2157.6248),(40 2125.298),(41 2133.3562),(42 2180.4521),(43 2155.355),(44 2159.4255),(45 2182.6406),(46 2177.3389),(47 2188.1575),(48 2199.5002),(49 2164.454),(50 2137.6025),(51 2160.4526),(52 2135.984),(53 2120.7725),(54 2132.2827),(55 2101.5613),(56 2081.6416),(57 2089.3054),(58 2050.4685),(59 2061.208),(60 2083.4138),(61 2037.7848),(62 2044.155),(63 2094.165),(64 2087.8542),(65 2105.6782),(66 2169.993),(67 2164.219),(68 2168.907),(69 2214.643),(70 2178.0024),(71 2181.2542),(72 2131.8857),(73 2149.9316),(74 2149.5823),(75 2149.2148),(76 2123.056),(77 2155.6506),(78 2117.6748),(79 2109.7217),
(1 838.1124),(2 1113.8871),(3 1315.9218),(4 1439.7761),(5 1496.3263),(6 1575.4163),(7 1660.9894),(8 1695.7539),(9 1733.0426),(10 1777.8197),(11 1795.7435),(12 1806.048),(13 1879.8994),(14 1870.1814),(15 1906.4392),(16 1921.8956),(17 1928.6099),(18 1947.3075),(19 1978.1763),(20 1973.3287),(21 1973.6707),(22 1979.8496),(23 1984.1873),(24 2046.201),(25 2021.9053),(26 2037.1597),(27 2063.2234),(28 2019.6104),(29 2031.042),(30 2063.9067),(31 2039.7787),(32 2043.4646),(33 2071.4487),(34 2049.008),(35 2057.0215),(36 2091.9167),(37 2062.1978),(38 2067.656),(39 2101.3142),(40 2075.35),(41 2073.4683),(42 2100.5925),(43 2085.268),(44 2099.3418),(45 2121.7),(46 2106.8987),(47 2103.8274),(48 2120.7185),(49 2102.4614),(50 2080.7693),(51 2115.3276),(52 2091.6719),(53 2087.9963),(54 2098.183),(55 2068.0845),(56 2064.511),(57 2048.073),(58 2039.8723),(59 2047.2784),(60 2062.1443),(61 2038.637),(62 2055.5154),(63 2109.7021),(64 2107.8958),(65 2149.8062),(66 2173.2913),(67 2180.2778),(68 2179.4314),(69 2227.5134),(70 2149.911),(71 2165.1318),(72 2121.2102),(73 2115.171),(74 2131.0378),(75 2105.45),(76 2097.9102),(77 2136.422),(78 2108.1458),(79 2117.701),
(1 812.8006),(2 1078.9792),(3 1276.8624),(4 1408.4321),(5 1474.1799),(6 1528.3832),(7 1599.3922),(8 1618.9349),(9 1641.0902),(10 1669.82),(11 1684.8204),(12 1688.5426),(13 1709.5923),(14 1711.7524),(15 1732.4353),(16 1768.6245),(17 1771.503),(18 1794.2556),(19 1822.3688),(20 1836.7073),(21 1842.8926),(22 1847.1174),(23 1842.7478),(24 1889.09),(25 1876.5612),(26 1902.0092),(27 1951.2662),(28 1889.5935),(29 1888.2549),(30 1925.2677),(31 1908.171),(32 1927.5599),(33 1952.4493),(34 1930.5577),(35 1923.1235),(36 1958.0431),(37 1943.5061),(38 1949.3896),(39 2004.0881),(40 1961.2407),(41 1968.7686),(42 1999.8981),(43 2004.5963),(44 2009.4932),(45 2042.5896),(46 2031.831),(47 2049.6414),(48 2065.8086),(49 2038.3533),(50 2025.0989),(51 2054.6873),(52 2013.7253),(53 1998.7968),(54 2017.0012),(55 1999.8232),(56 1995.1344),(57 2002.1737),(58 1963.8406),(59 1959.7401),(60 1966.0592),(61 1934.1605),(62 1936.8649),(63 1981.8617),(64 1989.5712),(65 2026.1356),(66 2101.1638),(67 2096.3594),(68 2103.5554),(69 2130.3748),(70 2071.2512),(71 2104.8071),(72 2073.2102),(73 2059.7598),(74 2072.636),(75 2035.9237),(76 2019.4142),(77 2053.309),(78 2020.4708),(79 2017.0748),
(1 826.1118),(2 1089.9377),(3 1287.5896),(4 1417.0327),(5 1492.0422),(6 1553.4619),(7 1640.0221),(8 1647.1967),(9 1672.5883),(10 1711.7831),(11 1730.8123),(12 1743.7382),(13 1767.1799),(14 1772.6464),(15 1793.7972),(16 1823.3431),(17 1806.6611),(18 1813.6722),(19 1841.316),(20 1845.3546),(21 1858.2946),(22 1850.4102),(23 1846.9714),(24 1886.0813),(25 1882.9564),(26 1895.08),(27 1942.1487),(28 1884.2831),(29 1877.7811),(30 1900.1154),(31 1884.6245),(32 1876.7341),(33 1908.9832),(34 1876.3461),(35 1892.682),(36 1928.6703),(37 1916.0898),(38 1943.3784),(39 2003.5261),(40 1974.3528),(41 1982.256),(42 2013.994),(43 1998.9998),(44 2008.6735),(45 2024.1249),(46 2005.4763),(47 2015.4574),(48 2024.4047),(49 2031.8925),(50 2041.5897),(51 2100.9993),(52 2069.3044),(53 2052.4895),(54 2082.6165),(55 2062.9355),(56 2050.1997),(57 2049.0444),(58 2011.2756),(59 2006.7811),(60 2002.1005),(61 1977.6492),(62 1966.172),(63 1980.7898),(64 1963.8851),(65 1999.1296),(66 2040.5702),(67 2053.4216),(68 2059.111),(69 2096.9065),(70 2057.318),(71 2094.2288),(72 2069.6587),(73 2067.808),(74 2075.0115),(75 2054.163),(76 2044.8306),(77 2094.6394),(78 2044.7258),(79 2036.0729),
(1 806.54254),(2 1076.8147),(3 1252.0771),(4 1375.7418),(5 1445.9354),(6 1511.9304),(7 1576.0245),(8 1603.8008),(9 1651.352),(10 1687.8959),(11 1699.7576),(12 1713.8077),(13 1768.9406),(14 1767.2892),(15 1781.9534),(16 1794.9342),(17 1785.1073),(18 1807.0332),(19 1839.8031),(20 1836.677),(21 1848.0273),(22 1841.2324),(23 1857.6941),(24 1886.6094),(25 1848.7516),(26 1853.8651),(27 1902.363),(28 1873.1063),(29 1872.4592),(30 1895.4181),(31 1886.0887),(32 1873.422),(33 1889.0942),(34 1873.3623),(35 1890.6537),(36 1917.8596),(37 1900.0704),(38 1908.8853),(39 1983.9469),(40 1942.4965),(41 1966.3699),(42 1988.1874),(43 1977.7753),(44 1996.6039),(45 2007.0996),(46 1983.8127),(47 1999.3197),(48 2026.9497),(49 2013.1372),(50 2018.4979),(51 2031.2231),(52 1991.625),(53 1994.4122),(54 1988.8175),(55 1963.745),(56 1953.3247),(57 1958.2064),(58 1935.9186),(59 1957.4486),(60 1965.9084),(61 1925.074),(62 1938.5919),(63 1971.872),(64 1961.3347),(65 1990.3239),(66 2032.926),(67 2038.6024),(68 2057.1443),(69 2081.3584),(70 2040.0371),(71 2061.8594),(72 2034.9604),(73 2041.4923),(74 2059.4465),(75 2040.6365),(76 2025.5868),(77 2069.644),(78 2032.6764),(79 2012.0637),
(1 779.4481),(2 1055.025),(3 1223.9177),(4 1342.7168),(5 1399.5371),(6 1459.3118),(7 1521.0422),(8 1569.9229),(9 1612.9242),(10 1653.2538),(11 1663.2002),(12 1666.745),(13 1726.2744),(14 1731.82),(15 1750.3312),(16 1763.165),(17 1764.7219),(18 1788.1226),(19 1828.4447),(20 1808.5657),(21 1813.5013),(22 1798.9204),(23 1817.5109),(24 1848.0079),(25 1805.5214),(26 1818.3374),(27 1847.4236),(28 1816.8485),(29 1809.2164),(30 1828.1735),(31 1798.8785),(32 1793.9156),(33 1817.8734),(34 1782.4164),(35 1786.6721),(36 1817.9897),(37 1808.9624),(38 1840.7351),(39 1890.2882),(40 1866.2394),(41 1887.0398),(42 1925.0359),(43 1932.4429),(44 1933.4319),(45 1958.7256),(46 1967.1182),(47 1971.5151),(48 2006.2522),(49 1968.6947),(50 1970.2864),(51 1984.3206),(52 1949.1469),(53 1962.8075),(54 1953.5563),(55 1931.76),(56 1922.6693),(57 1931.4349),(58 1894.7247),(59 1907.7319),(60 1916.6289),(61 1902.6531),(62 1915.0753),(63 1990.5701),(64 2006.2108),(65 2035.482),(66 2065.5142),(67 2064.7043),(68 2097.563),(69 2111.4324),(70 2052.3967),(71 2073.7595),(72 2026.6099),(73 2029.4666),(74 2039.785),(75 1999.8071),(76 1998.447),(77 2030.352),(78 1995.3822),(79 1987.6825),
(1 776.63153),(2 1033.9454),(3 1204.9297),(4 1315.5896),(5 1381.3807),(6 1452.5098),(7 1514.2595),(8 1534.38),(9 1586.809),(10 1630.2473),(11 1644.9213),(12 1664.8286),(13 1683.5818),(14 1679.6001),(15 1705.2534),(16 1710.7762),(17 1725.1886),(18 1740.414),(19 1778.9126),(20 1760.0068),(21 1760.0065),(22 1749.2467),(23 1771.9474),(24 1809.8254),(25 1793.6146),(26 1778.2589),(27 1829.0571),(28 1807.4291),(29 1805.2716),(30 1821.7982),(31 1799.2278),(32 1794.0931),(33 1807.2872),(34 1773.8281),(35 1793.5498),(36 1835.7502),(37 1838.832),(38 1867.0348),(39 1934.4628),(40 1922.0078),(41 1919.6987),(42 1958.7344),(43 1941.971),(44 1945.5319),(45 1942.4552),(46 1936.7345),(47 1936.046),(48 1925.6836),(49 1896.7408),(50 1884.667),(51 1901.5149),(52 1859.0211),(53 1867.5275),(54 1890.2632),(55 1855.4437),(56 1827.2255),(57 1825.4156),(58 1805.798),(59 1808.8862),(60 1813.6312),(61 1817.4086),(62 1831.1583),(63 1907.3138),(64 1896.2909),(65 1903.2646),(66 1923.8298),(67 1930.6556),(68 1957.0605),(69 2008.6443),(70 1962.6167),(71 1995.1791),(72 1957.3285),(73 1962.9983),(74 1987.559),(75 1976.8602),(76 1969.2136),(77 2013.0781),(78 1992.4506),(79 2003.1659),
(1 788.30096),(2 1044.6996),(3 1210.1814),(4 1322.0852),(5 1385.7478),(6 1432.9907),(7 1493.4265),(8 1506.8752),(9 1548.1823),(10 1585.3143),(11 1604.2009),(12 1609.9939),(13 1645.8004),(14 1659.1099),(15 1668.3672),(16 1696.2462),(17 1697.6199),(18 1718.2009),(19 1759.7472),(20 1743.8585),(21 1740.7965),(22 1726.9938),(23 1755.2738),(24 1780.2372),(25 1743.3049),(26 1733.0525),(27 1781.4817),(28 1770.5128),(29 1786.4696),(30 1805.1866),(31 1780.4918),(32 1772.1683),(33 1779.799),(34 1760.9666),(35 1772.4927),(36 1817.6593),(37 1811.8154),(38 1826.1407),(39 1883.4728),(40 1855.683),(41 1869.094),(42 1896.8783),(43 1878.2212),(44 1890.4526),(45 1904.6088),(46 1888.3351),(47 1885.6798),(48 1903.4265),(49 1903.9102),(50 1880.9476),(51 1930.3995),(52 1894.2727),(53 1894.7886),(54 1909.2206),(55 1892.3132),(56 1885.0116),(57 1881.4183),(58 1878.8855),(59 1878.2606),(60 1881.7941),(61 1869.1952),(62 1869.1531),(63 1896.074),(64 1897.4121),(65 1898.2628),(66 1928.8179),(67 1925.1263),(68 1943.0254),(69 1992.1238),(70 1938.3431),(71 1959.4823),(72 1916.1244),(73 1906.8276),(74 1924.4642),(75 1905.6144),(76 1892.8707),(77 1935.2955),(78 1895.6238),(79 1917.9009),
(1 766.47614),(2 1010.8753),(3 1175.0607),(4 1280.8632),(5 1356.7855),(6 1414.3469),(7 1482.5957),(8 1498.787),(9 1513.3726),(10 1544.4042),(11 1550.1024),(12 1562.1163),(13 1599.5211),(14 1598.8124),(15 1608.3185),(16 1635.9806),(17 1642.8152),(18 1657.3453),(19 1687.1558),(20 1666.9222),(21 1672.4587),(22 1674.1818),(23 1684.0635),(24 1720.8081),(25 1674.1357),(26 1658.8927),(27 1705.4149),(28 1703.7258),(29 1705.7582),(30 1722.0715),(31 1710.5544),(32 1714.731),(33 1723.2914),(34 1706.1167),(35 1699.502),(36 1738.0476),(37 1743.6696),(38 1738.188),(39 1793.2008),(40 1762.9087),(41 1778.1514),(42 1837.2721),(43 1824.2957),(44 1824.2162),(45 1852.7991),(46 1837.276),(47 1851.5693),(48 1881.1259),(49 1855.9581),(50 1832.6609),(51 1875.9625),(52 1842.9338),(53 1833.5044),(54 1864.9924),(55 1837.9792),(56 1838.3247),(57 1848.3529),(58 1825.3865),(59 1808.3276),(60 1828.3022),(61 1802.0446),(62 1828.442),(63 1867.1965),(64 1873.6748),(65 1872.4264),(66 1911.4847),(67 1927.8882),(68 1951.3771),(69 1990.708),(70 1955.0874),(71 1963.298),(72 1908.2201),(73 1903.9728),(74 1928.039),(75 1895.4185),(76 1897.9402),(77 1918.7274),(78 1902.6913),(79 1908.5265),
(1 733.4241),(2 971.69714),(3 1126.4291),(4 1230.7057),(5 1293.8469),(6 1352.6755),(7 1419.9421),(8 1452.4812),(9 1481.4612),(10 1500.7319),(11 1517.0176),(12 1541.8092),(13 1575.5369),(14 1581.0002),(15 1584.6699),(16 1610.5905),(17 1594.5535),(18 1597.7592),(19 1610.7324),(20 1618.204),(21 1614.0875),(22 1603.0695),(23 1597.3217),(24 1637.6721),(25 1617.4924),(26 1621.6539),(27 1675.5238),(28 1648.6163),(29 1652.2408),(30 1674.21),(31 1660.4182),(32 1648.191),(33 1667.7186),(34 1646.0118),(35 1653.5171),(36 1696.4064),(37 1681.8645),(38 1675.7808),(39 1731.9176),(40 1718.7156),(41 1741.2554),(42 1808.3624),(43 1792.2603),(44 1795.1296),(45 1824.6294),(46 1819.0975),(47 1811.3313),(48 1815.9097),(49 1791.2306),(50 1785.308),(51 1801.8928),(52 1762.3997),(53 1758.7627),(54 1786.1475),(55 1773.4984),(56 1774.1759),(57 1769.936),(58 1738.1775),(59 1751.401),(60 1778.8145),(61 1750.227),(62 1757.7444),(63 1804.7957),(64 1788.2122),(65 1803.9462),(66 1827.9128),(67 1845.936),(68 1869.6414),(69 1912.2101),(70 1866.7637),(71 1893.4075),(72 1844.6493),(73 1850.0544),(74 1879.7369),(75 1832.7238),(76 1826.6935),(77 1845.2616),(78 1819.8461),(79 1821.1881),
(1 749.7091),(2 1005.2868),(3 1154.5977),(4 1269.7509),(5 1322.1564),(6 1381.5304),(7 1442.0778),(8 1481.4697),(9 1514.4982),(10 1524.101),(11 1541.7836),(12 1558.887),(13 1582.5818),(14 1595.1279),(15 1609.3433),(16 1630.9089),(17 1625.3846),(18 1650.2084),(19 1666.417),(20 1669.6067),(21 1693.7795),(22 1683.2968),(23 1703.1149),(24 1723.5912),(25 1710.8103),(26 1713.3884),(27 1754.5112),(28 1721.718),(29 1700.3303),(30 1724.9125),(31 1714.7291),(32 1712.6835),(33 1726.2484),(34 1698.9044),(35 1680.3173),(36 1729.6948),(37 1689.0111),(38 1703.4117),(39 1747.9573),(40 1724.0114),(41 1762.9845),(42 1801.1898),(43 1783.3171),(44 1798.4095),(45 1834.8684),(46 1818.4586),(47 1826.9518),(48 1855.4305),(49 1815.6808),(50 1807.9775),(51 1838.9631),(52 1815.0367),(53 1821.6504),(54 1848.5702),(55 1833.6218),(56 1834.919),(57 1829.0297),(58 1796.2501),(59 1799.2054),(60 1835.5863),(61 1810.5251),(62 1807.7902),(63 1854.153),(64 1857.17),(65 1866.0322),(66 1900.4573),(67 1905.3536),(68 1922.614),(69 1958.315),(70 1906.068),(71 1939.9458),(72 1910.7214),(73 1913.943),(74 1939.8163),(75 1900.3759),(76 1898.3004),(77 1910.0994),(78 1873.3312),(79 1884.8373),
(1 737.40173),(2 961.2741),(3 1117.3287),(4 1222.148),(5 1274.0768),(6 1315.1947),(7 1363.0773),(8 1388.6647),(9 1432.5262),(10 1466.9188),(11 1470.6742),(12 1480.1292),(13 1511.3765),(14 1515.8528),(15 1528.032),(16 1555.7406),(17 1560.0153),(18 1563.5234),(19 1575.373),(20 1564.8801),(21 1583.7181),(22 1572.9214),(23 1581.2415),(24 1614.8064),(25 1590.3744),(26 1583.0966),(27 1617.05),(28 1594.7083),(29 1588.0818),(30 1614.5518),(31 1598.6444),(32 1611.0161),(33 1640.411),(34 1612.3215),(35 1624.8114),(36 1651.5857),(37 1624.2555),(38 1640.5314),(39 1696.9331),(40 1670.8823),(41 1698.5582),(42 1747.8152),(43 1732.0077),(44 1745.1548),(45 1735.1561),(46 1716.4667),(47 1697.6512),(48 1728.7218),(49 1714.9043),(50 1709.4242),(51 1733.1018),(52 1718.2051),(53 1723.9984),(54 1728.6174),(55 1708.2688),(56 1722.0256),(57 1744.5729),(58 1718.9517),(59 1729.0579),(60 1741.2996),(61 1728.9508),(62 1725.7715),(63 1782.3735),(64 1784.6666),(65 1804.2095),(66 1860.9541),(67 1852.3118),(68 1878.6893),(69 1914.2413),(70 1860.9032),(71 1881.8339),(72 1862.0333),(73 1882.8806),(74 1912.2911),(75 1892.4437),(76 1875.5734),(77 1906.4994),(78 1875.0518),(79 1880.6364),
(1 747.8592),(2 986.9),(3 1136.3461),(4 1238.9974),(5 1279.0648),(6 1329.2223),(7 1380.5106),(8 1407.6263),(9 1435.1345),(10 1451.9325),(11 1464.8461),(12 1493.4554),(13 1524.6312),(14 1536.7814),(15 1548.0566),(16 1567.1256),(17 1558.2485),(18 1573.3167),(19 1572.7494),(20 1589.9819),(21 1598.9854),(22 1580.0939),(23 1583.7756),(24 1612.7778),(25 1614.6626),(26 1611.464),(27 1650.9513),(28 1619.2927),(29 1612.4615),(30 1635.5054),(31 1623.9021),(32 1616.8844),(33 1647.9767),(34 1644.4926),(35 1662.5625),(36 1687.0387),(37 1684.7129),(38 1691.8292),(39 1747.2599),(40 1709.1975),(41 1718.3726),(42 1776.59),(43 1755.4268),(44 1775.2045),(45 1779.0184),(46 1761.2362),(47 1753.9337),(48 1764.7745),(49 1750.6438),(50 1753.5536),(51 1779.3428),(52 1762.8728),(53 1759.0193),(54 1764.8523),(55 1748.0131),(56 1744.2958),(57 1765.0247),(58 1735.2667),(59 1744.0627),(60 1772.9446),(61 1749.7031),(62 1748.8971),(63 1804.7008),(64 1785.057),(65 1802.3807),(66 1846.3247),(67 1868.129),(68 1908.3503),(69 1929.8807),(70 1877.4634),(71 1885.7367),(72 1877.8494),(73 1897.1354),(74 1915.8009),(75 1875.266),(76 1869.9106),(77 1906.2925),(78 1850.8666),(79 1844.1167),
(1 728.0111),(2 957.4405),(3 1121.4855),(4 1235.6388),(5 1295.0695),(6 1337.702),(7 1397.2028),(8 1413.7067),(9 1450.1128),(10 1466.4989),(11 1480.0897),(12 1502.7987),(13 1527.3402),(14 1525.1012),(15 1553.4945),(16 1571.3481),(17 1563.5283),(18 1579.6418),(19 1583.5133),(20 1585.2006),(21 1593.69),(22 1575.1754),(23 1592.7621),(24 1620.048),(25 1601.0851),(26 1604.762),(27 1635.3109),(28 1605.1),(29 1611.939),(30 1643.5543),(31 1617.8223),(32 1631.5747),(33 1646.5448),(34 1630.2562),(35 1653.1934),(36 1661.2803),(37 1657.9421),(38 1656.5469),(39 1696.0171),(40 1655.3651),(41 1651.0072),(42 1707.8729),(43 1693.6309),(44 1689.4884),(45 1727.0066),(46 1693.7783),(47 1689.4081),(48 1718.9897),(49 1700.8218),(50 1683.7102),(51 1705.8209),(52 1685.5001),(53 1684.4971),(54 1706.184),(55 1699.7988),(56 1683.4893),(57 1707.8713),(58 1676.8188),(59 1690.1224),(60 1693.3074),(61 1674.045),(62 1692.963),(63 1737.6444),(64 1747.083),(65 1772.8888),(66 1822.9178),(67 1846.3865),(68 1871.8892),(69 1888.4137),(70 1827.2737),(71 1853.2816),(72 1813.2863),(73 1829.463),(74 1835.9633),(75 1805.185),(76 1803.2266),(77 1843.6222),(78 1804.9749),(79 1800.3342),
(1 702.1794),(2 926.1264),(3 1082.2551),(4 1189.448),(5 1259.5686),(6 1302.3706),(7 1342.3951),(8 1356.104),(9 1381.909),(10 1415.6659),(11 1443.1472),(12 1460.7728),(13 1490.1674),(14 1489.0028),(15 1506.2957),(16 1544.6035),(17 1530.5021),(18 1542.58),(19 1571.26),(20 1558.4811),(21 1556.8359),(22 1540.9578),(23 1540.8044),(24 1574.9869),(25 1538.784),(26 1516.1337),(27 1537.7072),(28 1516.0215),(29 1522.7843),(30 1563.299),(31 1551.0217),(32 1562.366),(33 1568.4144),(34 1539.2856),(35 1547.8807),(36 1561.8276),(37 1559.4476),(38 1553.9534),(39 1610.9137),(40 1566.0212),(41 1591.374),(42 1633.8043),(43 1627.7556),(44 1614.3384),(45 1626.7133),(46 1600.5969),(47 1614.0781),(48 1654.7593),(49 1640.3458),(50 1643.7303),(51 1678.8632),(52 1648.3403),(53 1629.8204),(54 1660.135),(55 1658.1952),(56 1640.0466),(57 1647.768),(58 1629.9784),(59 1637.1843),(60 1637.2037),(61 1610.8828),(62 1621.2444),(63 1654.848),(64 1657.6641),(65 1679.9254),(66 1716.9816),(67 1748.788),(68 1791.962),(69 1814.6182),(70 1780.0646),(71 1792.7407),(72 1768.9814),(73 1772.6947),(74 1771.5706),(75 1735.5437),(76 1725.0671),(77 1771.2788),(78 1738.5435),(79 1718.7261),
(1 703.43274),(2 929.4388),(3 1070.7207),(4 1178.2722),(5 1256.0181),(6 1295.5936),(7 1344.3558),(8 1360.5216),(9 1392.881),(10 1429.461),(11 1444.177),(12 1450.7958),(13 1484.9932),(14 1490.256),(15 1513.32),(16 1555.1653),(17 1535.8772),(18 1560.0143),(19 1583.6444),(20 1538.1885),(21 1538.0223),(22 1521.2657),(23 1525.1373),(24 1566.2263),(25 1545.0974),(26 1548.2224),(27 1584.9324),(28 1572.6942),(29 1578.6534),(30 1647.4312),(31 1625.0765),(32 1626.8447),(33 1627.8599),(34 1619.4357),(35 1627.5433),(36 1652.3314),(37 1648.6056),(38 1673.0519),(39 1732.9641),(40 1694.9495),(41 1711.7676),(42 1749.7516),(43 1731.0232),(44 1729.9878),(45 1750.181),(46 1719.755),(47 1717.1451),(48 1737.0261),(49 1725.7959),(50 1711.0391),(51 1723.2731),(52 1720.5824),(53 1727.1442),(54 1750.3282),(55 1729.7515),(56 1706.4882),(57 1705.7225),(58 1698.6328),(59 1706.9125),(60 1698.8737),(61 1666.5428),(62 1677.3203),(63 1703.4572),(64 1712.5332),(65 1742.8528),(66 1786.0598),(67 1784.3872),(68 1805.7684),(69 1834.7457),(70 1801.4519),(71 1826.7183),(72 1793.2228),(73 1784.1302),(74 1805.5901),(75 1780.4993),(76 1782.2218),(77 1802.2982),(78 1772.1885),(79 1781.314),
