1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 254936.38),(2 550396.06),(3 815331.5),(4 1280892.6),(5 1691340),(6 2086037.9),(7 2592260),(8 3079869.3),(9 3596206.8),(10 4163355),(11 4622374),(12 5071284.5),(13 5843417.5),(14 6491488),(15 7106705.5),(16 7980332),(17 8638934),(18 9232326),(19 10138385),(20 10843842),(21 11458765),(22 12096271),(23 12539795),(24 13024437),(25 13557877),(26 14149283),(27 14659564),(28 14959829),(29 15268008),(30 15649663),(31 16108261),(32 16721744),(33 17209806),(34 17732684),(35 18318342),(36 18848568),(37 19311378),(38 19860826),(39 20322674),(40 20692502),(41 21773526),(42 22280630),(43 22655810),(44 23279504),(45 23687622),(46 24070000),(47 24290054),(48 24465042),(49 24662226),(50 24921318),(51 25368166),(52 25738486),(53 26327846),(54 27062422),(55 27630728),(56 28471480),(57 29481958),(58 30265014),(59 31355234),(60 32592874),(61 33505758),(62 34524684),(63 36535950),(64 37890452),(65 39079092),(66 40202852),(67 41253588),(68 42266028),(69 42950140),(70 43790820),(71 44642052),(72 44801876),(73 45368068),(74 45859796),(75 46230028),(76 46576276),(77 46869732),(78 46702944),(79 46561936),
(1 172.75862),(2 278.142),(3 381.31107),(4 403.1497),(5 420.4578),(6 430.0273),(7 443.30823),(8 453.24802),(9 459.15356),(10 465.18692),(11 466.67114),(12 468.42953),(13 465.76974),(14 468.87723),(15 482.23502),(16 482.72913),(17 488.69754),(18 493.798),(19 495.1994),(20 498.23486),(21 500.15417),(22 504.3216),(23 506.98038),(24 507.5756),(25 508.81607),(26 510.34854),(27 517.2904),(28 510.29044),(29 511.4855),(30 515.01306),(31 522.0026),(32 521.68494),(33 522.94006),(34 519.377),(35 524.6778),(36 525.9005),(37 527.81354),(38 538.5338),(39 546.7697),(40 554.29913),(41 554.3508),(42 561.73645),(43 564.75305),(44 565.2444),(45 567.56946),(46 571.2991),(47 574.7766),(48 578.20715),(49 579.5182),(50 578.36),(51 579.4431),(52 581.51733),(53 588.17755),(54 595.19745),(55 600.9585),(56 602.81683),(57 602.601),(58 600.59375),(59 596.8219),(60 591.6136),(61 586.4733),(62 586.4785),(63 592.3821),(64 589.7553),(65 590.6559),(66 592.0376),(67 595.28314),(68 600.04193),(69 591.88806),(70 594.1328),(71 595.95435),(72 591.1479),(73 584.9704),(74 584.1063),(75 573.9246),(76 560.50604),(77 556.7902),(78 549.7701),(79 560.77057),
(1 165.95125),(2 265.5933),(3 359.92715),(4 386.37625),(5 401.37982),(6 414.03195),(7 424.03073),(8 435.57422),(9 440.96613),(10 439.4725),(11 438.574),(12 438.675),(13 433.23007),(14 434.91644),(15 439.53546),(16 445.88336),(17 453.01846),(18 461.01224),(19 465.9873),(20 468.99152),(21 468.7809),(22 467.7031),(23 462.5859),(24 462.2723),(25 465.5236),(26 469.87302),(27 477.6681),(28 473.6554),(29 470.25842),(30 465.07162),(31 472.07773),(32 469.177),(33 470.66464),(34 468.4619),(35 467.55905),(36 466.26764),(37 463.1752),(38 468.5665),(39 476.5102),(40 483.61652),(41 489.02444),(42 496.12436),(43 504.85263),(44 497.22818),(45 499.7017),(46 504.2951),(47 509.85632),(48 506.8494),(49 507.52164),(50 505.54266),(51 509.69934),(52 512.79474),(53 516.01495),(54 524.3291),(55 529.6342),(56 531.8384),(57 537.17816),(58 537.9973),(59 532.7026),(60 537.19495),(61 541.214),(62 544.1429),(63 547.5767),(64 545.53754),(65 543.4397),(66 547.30084),(67 550.25183),(68 555.0506),(69 548.79724),(70 552.79926),(71 557.7737),(72 555.46313),(73 551.9678),(74 553.56976),(75 544.97687),(76 539.9065),(77 539.44727),(78 530.34406),(79 535.52026),
(1 167.05566),(2 265.54474),(3 357.02075),(4 378.06506),(5 394.26102),(6 404.6878),(7 410.4027),(8 419.855),(9 427.84714),(10 433.0925),(11 435.8121),(12 439.4375),(13 436.32547),(14 439.00674),(15 444.83087),(16 443.53958),(17 446.5998),(18 452.97968),(19 454.96417),(20 456.0211),(21 455.8128),(22 454.74368),(23 456.50516),(24 460.2295),(25 463.91467),(26 468.07813),(27 474.30994),(28 476.3242),(29 478.84375),(30 479.3077),(31 479.7132),(32 476.84747),(33 476.58557),(34 474.71133),(35 478.58652),(36 479.4263),(37 479.0723),(38 483.12253),(39 493.18152),(40 499.11212),(41 499.9116),(42 504.25735),(43 507.95993),(44 509.85754),(45 513.86285),(46 520.6272),(47 522.56323),(48 523.97314),(49 527.87103),(50 526.5293),(51 532.1051),(52 534.1851),(53 535.12134),(54 543.19037),(55 549.43646),(56 551.8857),(57 556.8841),(58 559.0242),(59 558.40924),(60 556.869),(61 556.0839),(62 556.9294),(63 560.1655),(64 560.33405),(65 560.40894),(66 555.7178),(67 557.3307),(68 558.30194),(69 552.18555),(70 552.8623),(71 556.04663),(72 553.5691),(73 549.91736),(74 549.3228),(75 547.75214),(76 537.2213),(77 533.78815),(78 525.6098),(79 535.724),
(1 168.11075),(2 264.72818),(3 358.6167),(4 377.91623),(5 392.0524),(6 401.4281),(7 412.59183),(8 425.1884),(9 431.97632),(10 433.50748),(11 438.12582),(12 441.33902),(13 440.05344),(14 442.9031),(15 447.89365),(16 447.48175),(17 447.6787),(18 451.72702),(19 452.87833),(20 457.22882),(21 459.75928),(22 462.33194),(23 464.27457),(24 465.2025),(25 464.1108),(26 466.43326),(27 475.4353),(28 474.46408),(29 475.16986),(30 476.84967),(31 478.47427),(32 474.05435),(33 471.24368),(34 466.69537),(35 470.77026),(36 476.50745),(37 481.41623),(38 488.1419),(39 498.62378),(40 505.0484),(41 504.12033),(42 509.05164),(43 514.88324),(44 512.8524),(45 514.6561),(46 517.8308),(47 522.5033),(48 525.3976),(49 529.9728),(50 531.1059),(51 532.6538),(52 536.1895),(53 543.5223),(54 552.61664),(55 557.07404),(56 560.7748),(57 558.98846),(58 559.1186),(59 557.29926),(60 552.6288),(61 547.4201),(62 546.74097),(63 549.85425),(64 550.3896),(65 545.26715),(66 544.27075),(67 542.4661),(68 543.1731),(69 536.4909),(70 536.6305),(71 537.0445),(72 539.10126),(73 536.4337),(74 534.18036),(75 526.2683),(76 521.5994),(77 516.953),(78 509.52457),(79 519.0702),
(1 159.88548),(2 254.68929),(3 342.2838),(4 364.1575),(5 377.75534),(6 389.94745),(7 395.41003),(8 402.8003),(9 411.53476),(10 416.57724),(11 421.23077),(12 422.3991),(13 422.3316),(14 426.03464),(15 430.1023),(16 429.4508),(17 433.6456),(18 438.8752),(19 448.3075),(20 452.79187),(21 451.67505),(22 448.00598),(23 444.85638),(24 445.16867),(25 438.7525),(26 446.79172),(27 452.3915),(28 451.53333),(29 452.1307),(30 454.13318),(31 458.42996),(32 461.22043),(33 460.22104),(34 458.53604),(35 461.72153),(36 463.33487),(37 466.45728),(38 470.6615),(39 475.014),(40 478.07336),(41 475.6422),(42 482.40344),(43 489.7126),(44 492.21057),(45 493.28018),(46 496.07034),(47 497.51773),(48 500.32205),(49 506.41055),(50 508.75198),(51 510.05206),(52 511.17615),(53 515.08044),(54 520.45013),(55 527.3743),(56 531.25037),(57 531.35516),(58 532.1893),(59 526.91156),(60 527.4885),(61 524.6137),(62 524.52234),(63 526.3931),(64 527.67914),(65 529.2592),(66 532.5147),(67 535.25616),(68 535.87476),(69 529.01953),(70 530.1067),(71 531.862),(72 533.4385),(73 532.085),(74 530.5262),(75 524.3523),(76 518.06573),(77 516.7686),(78 509.37332),(79 515.09906),
(1 158.21004),(2 251.04832),(3 338.19138),(4 359.13626),(5 371.13947),(6 377.63504),(7 387.17047),(8 396.81076),(9 405.6675),(10 403.03885),(11 403.81302),(12 404.14243),(13 408.572),(14 410.98932),(15 416.58255),(16 416.58002),(17 420.87225),(18 424.47675),(19 431.93314),(20 430.936),(21 425.67767),(22 424.91382),(23 424.64844),(24 421.32104),(25 421.61182),(26 423.07568),(27 432.2574),(28 430.71725),(29 431.47397),(30 435.27386),(31 442.1214),(32 443.1846),(33 446.23334),(34 441.47668),(35 442.71414),(36 441.7504),(37 442.50888),(38 444.3534),(39 450.5135),(40 456.48798),(41 460.24402),(42 466.15778),(43 472.28546),(44 474.73584),(45 478.2678),(46 482.1611),(47 481.5148),(48 484.07126),(49 489.26852),(50 492.87347),(51 496.6001),(52 503.58444),(53 512.19336),(54 516.1863),(55 516.79266),(56 518.02423),(57 512.09155),(58 507.99112),(59 505.9886),(60 508.19003),(61 508.5492),(62 511.1035),(63 516.61414),(64 521.3252),(65 524.9625),(66 526.6089),(67 528.28784),(68 529.397),(69 529.16016),(70 526.8797),(71 528.13544),(72 524.4398),(73 522.0467),(74 520.56683),(75 510.83826),(76 508.5172),(77 506.57687),(78 499.7185),(79 502.65012),
(1 155.48471),(2 244.79219),(3 325.3383),(4 347.24048),(5 362.6703),(6 372.96344),(7 381.1652),(8 387.77475),(9 393.22116),(10 391.5145),(11 393.71307),(12 395.1609),(13 400.2849),(14 403.08612),(15 411.01285),(16 412.5424),(17 414.22595),(18 417.51978),(19 420.895),(20 421.08414),(21 422.58545),(22 423.3737),(23 421.5741),(24 418.10495),(25 419.67474),(26 418.52072),(27 425.0295),(28 427.94458),(29 428.1053),(30 431.64365),(31 437.1348),(32 437.079),(33 440.88275),(34 441.57635),(35 449.19522),(36 448.3213),(37 449.29767),(38 453.17255),(39 461.74222),(40 469.36993),(41 469.56705),(42 472.28323),(43 475.20673),(44 472.10938),(45 476.76758),(46 483.09863),(47 486.7759),(48 489.2141),(49 491.6548),(50 493.6296),(51 490.95602),(52 493.28738),(53 497.73834),(54 502.18567),(55 503.5471),(56 502.31894),(57 495.19247),(58 495.51785),(59 499.3479),(60 500.40686),(61 500.01538),(62 500.15372),(63 502.0801),(64 501.55762),(65 502.5617),(66 506.13654),(67 508.80508),(68 509.6397),(69 510.65408),(70 514.20795),(71 519.99243),(72 514.8121),(73 515.1867),(74 512.0293),(75 504.98215),(76 498.3087),(77 495.56064),(78 494.9343),(79 495.97397),
(1 152.83743),(2 236.8782),(3 315.43527),(4 332.67267),(5 347.44666),(6 361.36115),(7 373.3493),(8 384.35684),(9 393.17413),(10 394.418),(11 396.01794),(12 401.56607),(13 399.01047),(14 404.27145),(15 411.79416),(16 412.53763),(17 414.97382),(18 420.31998),(19 427.85733),(20 428.82358),(21 430.9832),(22 426.391),(23 426.14258),(24 423.31873),(25 423.24466),(26 424.6484),(27 429.80884),(28 427.6109),(29 427.6027),(30 431.18887),(31 433.65643),(32 433.44476),(33 434.2923),(34 431.22208),(35 430.74033),(36 428.4285),(37 427.94363),(38 431.99692),(39 435.75784),(40 441.74963),(41 444.52213),(42 450.16013),(43 457.50882),(44 453.53775),(45 455.09964),(46 457.75275),(47 461.4382),(48 464.39063),(49 465.97397),(50 468.45728),(51 469.68155),(52 471.2955),(53 479.1576),(54 485.11673),(55 486.9901),(56 483.9674),(57 484.73358),(58 486.2398),(59 489.46616),(60 491.86154),(61 495.25357),(62 498.1275),(63 501.4355),(64 498.34064),(65 500.85278),(66 501.14337),(67 504.17496),(68 505.97922),(69 502.64462),(70 501.94882),(71 503.17752),(72 501.83737),(73 502.6839),(74 503.52545),(75 498.13953),(76 491.4833),(77 491.35617),(78 489.13177),(79 494.31357),
(1 149.53941),(2 234.87334),(3 316.7695),(4 334.14063),(5 349.49777),(6 364.02545),(7 374.96704),(8 381.08124),(9 383.67993),(10 387.19717),(11 391.89386),(12 395.86166),(13 388.34598),(14 389.35562),(15 397.49112),(16 399.8534),(17 405.70242),(18 412.0175),(19 412.53735),(20 413.85672),(21 412.52316),(22 412.22968),(23 411.03983),(24 411.11273),(25 411.52005),(26 411.21417),(27 417.34808),(28 420.2198),(29 422.73587),(30 424.48346),(31 425.2972),(32 426.48193),(33 427.3967),(34 424.53555),(35 427.06876),(36 425.63443),(37 425.26666),(38 427.6009),(39 430.5902),(40 435.59903),(41 433.83182),(42 438.94998),(43 446.55634),(44 445.5498),(45 449.80707),(46 454.0857),(47 457.2399),(48 459.51508),(49 460.46616),(50 461.9913),(51 460.6596),(52 464.4737),(53 469.25955),(54 472.05463),(55 472.23004),(56 469.42447),(57 470.95593),(58 471.5238),(59 472.883),(60 476.77887),(61 477.95624),(62 481.754),(63 478.51593),(64 478.5539),(65 479.5327),(66 479.98837),(67 481.83755),(68 485.47858),(69 480.50943),(70 481.6987),(71 484.27756),(72 481.1457),(73 483.7392),(74 482.85065),(75 473.8959),(76 466.71658),(77 460.07364),(78 454.4028),(79 461.39883),
(1 147.06525),(2 232.68237),(3 314.6689),(4 328.77676),(5 342.2695),(6 354.19363),(7 359.76627),(8 367.43195),(9 372.65735),(10 380.10458),(11 381.81268),(12 381.45877),(13 380.30823),(14 385.1528),(15 392.2379),(16 394.6072),(17 401.7649),(18 406.4101),(19 410.14246),(20 411.18063),(21 407.369),(22 404.60474),(23 404.12253),(24 401.98264),(25 406.30875),(26 409.0225),(27 416.00696),(28 416.15445),(29 414.42972),(30 415.3408),(31 418.41202),(32 417.86398),(33 418.71512),(34 421.6328),(35 425.68823),(36 425.10434),(37 425.34662),(38 430.70227),(39 434.61313),(40 437.2307),(41 439.4364),(42 441.96268),(43 442.67178),(44 441.60724),(45 440.29376),(46 441.74698),(47 442.73865),(48 444.2105),(49 446.6832),(50 448.84592),(51 447.6873),(52 451.0903),(53 452.44177),(54 460.49628),(55 463.8674),(56 465.6751),(57 464.55618),(58 461.95547),(59 460.37433),(60 459.59656),(61 461.78552),(62 465.95654),(63 471.0928),(64 471.17554),(65 471.9907),(66 478.9607),(67 481.75406),(68 484.8884),(69 482.48798),(70 481.7563),(71 480.59192),(72 482.94513),(73 482.81122),(74 480.48746),(75 476.42938),(76 462.41388),(77 458.05997),(78 454.1234),(79 459.99557),
(1 140.76727),(2 223.02171),(3 306.03998),(4 323.4582),(5 334.70016),(6 345.1934),(7 355.3891),(8 363.3085),(9 370.2681),(10 375.10318),(11 378.07257),(12 380.472),(13 379.34494),(14 384.2119),(15 392.97),(16 392.29977),(17 395.71213),(18 401.9087),(19 410.40378),(20 407.95847),(21 407.60593),(22 404.99014),(23 405.60492),(24 402.56158),(25 402.1362),(26 404.22116),(27 409.7897),(28 412.12674),(29 414.18652),(30 416.2556),(31 421.02048),(32 419.56848),(33 420.13272),(34 415.83887),(35 419.12585),(36 416.69827),(37 414.9641),(38 418.00586),(39 424.3024),(40 429.79932),(41 431.79257),(42 438.25607),(43 441.6157),(44 443.41122),(45 446.49902),(46 448.94336),(47 449.89487),(48 451.63745),(49 455.91492),(50 459.16248),(51 459.1223),(52 460.56436),(53 462.92477),(54 467.6108),(55 469.58432),(56 468.0227),(57 464.06073),(58 463.4743),(59 460.07776),(60 460.19147),(61 458.95456),(62 459.34497),(63 467.36847),(64 470.56558),(65 475.2861),(66 469.46893),(67 471.78986),(68 473.78738),(69 473.31436),(70 474.92468),(71 476.45282),(72 475.56894),(73 474.9429),(74 474.6886),(75 468.2163),(76 462.77353),(77 459.88684),(78 453.82437),(79 459.24454),
(1 143.35019),(2 226.26044),(3 305.02765),(4 322.44037),(5 336.73627),(6 352.2693),(7 361.8893),(8 371.6376),(9 375.36856),(10 374.4164),(11 376.0966),(12 377.63498),(13 379.1033),(14 386.4711),(15 394.07254),(16 392.16873),(17 395.97745),(18 400.56036),(19 402.28217),(20 398.6052),(21 397.6009),(22 393.05713),(23 395.4772),(24 391.3509),(25 387.04272),(26 390.18094),(27 397.62738),(28 401.32657),(29 402.61853),(30 407.03485),(31 408.3124),(32 407.88766),(33 409.30908),(34 405.93472),(35 410.70703),(36 414.14145),(37 418.39178),(38 421.45132),(39 423.86554),(40 426.6757),(41 430.20227),(42 434.11603),(43 438.28625),(44 433.78305),(45 434.3752),(46 434.89),(47 439.9536),(48 436.50934),(49 439.56348),(50 441.48285),(51 445.54306),(52 448.79797),(53 452.7413),(54 460.26443),(55 463.9158),(56 468.64505),(57 459.6966),(58 459.33768),(59 458.16116),(60 459.0092),(61 456.70444),(62 454.78323),(63 464.49274),(64 464.38943),(65 468.8581),(66 464.6115),(67 468.41934),(68 471.95517),(69 474.21292),(70 478.4839),(71 481.06464),(72 478.21036),(73 476.698),(74 473.7482),(75 464.09244),(76 459.56442),(77 454.28708),(78 450.25598),(79 458.4083),
(1 139.96892),(2 218.2215),(3 292.036),(4 311.14407),(5 326.66495),(6 337.83127),(7 344.3818),(8 353.13763),(9 357.97903),(10 359.33664),(11 361.25247),(12 360.4997),(13 360.76468),(14 368.21564),(15 376.13718),(16 379.57928),(17 377.54352),(18 380.53665),(19 380.15298),(20 380.28754),(21 382.04108),(22 382.22406),(23 379.85294),(24 374.7544),(25 370.7568),(26 373.91644),(27 378.71335),(28 377.87695),(29 380.49),(30 384.097),(31 387.50784),(32 389.84653),(33 389.80154),(34 390.47867),(35 388.75186),(36 388.87878),(37 389.91647),(38 392.43112),(39 396.5953),(40 396.59872),(41 400.5117),(42 408.4236),(43 414.8258),(44 414.83746),(45 419.78992),(46 422.17273),(47 421.83426),(48 417.66425),(49 416.971),(50 416.47226),(51 420.98456),(52 423.81418),(53 427.45883),(54 432.64584),(55 439.73648),(56 445.10104),(57 443.67978),(58 442.9607),(59 438.86664),(60 441.08878),(61 443.3175),(62 446.38605),(63 458.47253),(64 462.4768),(65 463.46957),(66 454.66232),(67 456.30978),(68 460.54886),(69 460.59863),(70 458.1174),(71 459.49576),(72 453.10336),(73 451.44885),(74 450.93646),(75 449.56635),(76 443.52875),(77 435.0276),(78 427.0421),(79 437.03186),
(1 144.5649),(2 224.04129),(3 302.05054),(4 314.11948),(5 328.21417),(6 339.7652),(7 347.00845),(8 354.48782),(9 360.47552),(10 365.73926),(11 365.96695),(12 368.80206),(13 364.99768),(14 368.96652),(15 377.89682),(16 380.27966),(17 384.91122),(18 388.246),(19 389.34476),(20 386.96573),(21 386.3966),(22 384.84955),(23 383.9101),(24 384.50595),(25 383.96646),(26 383.6508),(27 387.4971),(28 387.72614),(29 390.56274),(30 392.1116),(31 396.54337),(32 397.8082),(33 399.3092),(34 397.80887),(35 396.291),(36 397.99194),(37 398.43585),(38 402.4588),(39 402.75235),(40 404.87323),(41 408.23474),(42 412.48584),(43 413.44888),(44 416.71252),(45 418.58563),(46 419.72665),(47 421.5644),(48 420.9753),(49 421.6086),(50 420.15134),(51 426.41403),(52 433.0012),(53 437.06128),(54 447.06064),(55 451.7599),(56 453.696),(57 450.93033),(58 451.33163),(59 452.6022),(60 455.1539),(61 457.3285),(62 460.04587),(63 467.26184),(64 469.79553),(65 471.05783),(66 469.09167),(67 470.99887),(68 475.3986),(69 474.5567),(70 476.53702),(71 480.91248),(72 476.073),(73 473.64374),(74 474.4412),(75 464.39438),(76 458.12842),(77 457.43973),(78 448.4623),(79 456.66614),
(1 139.53064),(2 216.23405),(3 291.96527),(4 304.70352),(5 317.38007),(6 326.50064),(7 334.7158),(8 340.20505),(9 346.49573),(10 348.08102),(11 350.2098),(12 353.27737),(13 351.6743),(14 354.4954),(15 359.6767),(16 361.0311),(17 363.0913),(18 366.10468),(19 365.65063),(20 366.28802),(21 367.57388),(22 369.41287),(23 368.1513),(24 369.03226),(25 371.34073),(26 374.14206),(27 379.0552),(28 379.5248),(29 380.71243),(30 383.8734),(31 388.0075),(32 385.3001),(33 385.2231),(34 382.19067),(35 384.02444),(36 384.02255),(37 384.64163),(38 391.42734),(39 396.36713),(40 396.51498),(41 396.55386),(42 398.06488),(43 401.83807),(44 398.97894),(45 401.7701),(46 405.17343),(47 409.81543),(48 409.98508),(49 413.7195),(50 412.66702),(51 417.1945),(52 421.06653),(53 426.26633),(54 429.26767),(55 432.32846),(56 431.78998),(57 428.56284),(58 427.79193),(59 427.0789),(60 430.4935),(61 431.28177),(62 431.91898),(63 434.4009),(64 433.475),(65 432.37067),(66 430.69162),(67 434.2295),(68 441.58112),(69 437.9793),(70 438.2957),(71 439.3112),(72 435.9851),(73 436.3509),(74 437.9816),(75 430.96558),(76 426.29953),(77 422.8292),(78 415.2502),(79 422.29993),
(1 136.65446),(2 214.56514),(3 290.5077),(4 308.32822),(5 321.70306),(6 331.26572),(7 341.72626),(8 345.2057),(9 348.22852),(10 348.267),(11 348.59097),(12 349.52377),(13 348.8704),(14 351.45105),(15 359.34543),(16 358.95184),(17 360.8877),(18 363.15848),(19 365.35242),(20 367.6905),(21 368.44656),(22 369.885),(23 367.30545),(24 364.84344),(25 363.76096),(26 361.98572),(27 364.79507),(28 364.72266),(29 367.66522),(30 370.96136),(31 377.54343),(32 376.81876),(33 380.19897),(34 377.5684),(35 383.05566),(36 385.2797),(37 385.31232),(38 392.65686),(39 395.17062),(40 398.4054),(41 400.25784),(42 404.6346),(43 410.25528),(44 409.52997),(45 412.30023),(46 415.75583),(47 418.6832),(48 418.3785),(49 418.91376),(50 418.1218),(51 424.64856),(52 430.03262),(53 433.10757),(54 434.93552),(55 437.89737),(56 442.72247),(57 435.2494),(58 432.95316),(59 431.44666),(60 434.03223),(61 435.65338),(62 434.16013),(63 435.31503),(64 433.1104),(65 433.48694),(66 434.7104),(67 435.05362),(68 439.99854),(69 438.31332),(70 437.88544),(71 438.14),(72 442.2515),(73 441.5847),(74 441.69266),(75 435.62448),(76 429.91656),(77 427.129),(78 423.9702),(79 429.6972),
(1 135.41472),(2 212.62505),(3 287.67896),(4 302.7519),(5 313.77084),(6 323.44727),(7 332.1217),(8 338.9099),(9 342.67352),(10 342.0946),(11 339.17603),(12 335.80905),(13 337.83847),(14 344.12585),(15 354.2231),(16 357.34476),(17 360.78),(18 364.00723),(19 367.80215),(20 371.6434),(21 373.9664),(22 373.02866),(23 368.8538),(24 364.51346),(25 362.608),(26 362.98697),(27 366.97433),(28 363.41666),(29 368.0709),(30 373.4315),(31 377.00876),(32 377.96964),(33 379.5299),(34 376.20715),(35 378.5905),(36 379.0505),(37 379.66272),(38 386.24997),(39 383.92114),(40 385.22278),(41 387.32352),(42 392.56573),(43 397.11548),(44 396.7267),(45 398.26337),(46 401.44437),(47 405.3641),(48 404.78925),(49 408.5641),(50 408.99283),(51 410.20163),(52 411.50958),(53 416.64383),(54 422.91312),(55 427.5957),(56 430.88788),(57 431.50992),(58 432.90613),(59 429.78),(60 434.69415),(61 435.93988),(62 437.14148),(63 435.83316),(64 433.92987),(65 434.39655),(66 436.2508),(67 437.07913),(68 442.8695),(69 442.04666),(70 444.8066),(71 445.16565),(72 445.56464),(73 444.5754),(74 444.45734),(75 437.85748),(76 433.0455),(77 428.2679),(78 421.59836),(79 425.51898),
(1 134.24637),(2 208.21432),(3 276.91977),(4 287.4411),(5 299.9954),(6 313.38614),(7 324.00522),(8 331.8913),(9 336.92273),(10 340.21228),(11 340.4148),(12 340.30246),(13 340.1047),(14 345.51596),(15 353.2109),(16 355.50372),(17 358.00922),(18 360.16846),(19 362.42734),(20 365.39383),(21 367.257),(22 365.36578),(23 362.83914),(24 362.26373),(25 363.80243),(26 365.58295),(27 370.12457),(28 369.33603),(29 370.50745),(30 375.2655),(31 381.20972),(32 382.09442),(33 385.12195),(34 384.24533),(35 385.362),(36 385.40027),(37 387.1007),(38 393.14468),(39 395.49835),(40 397.75702),(41 399.25375),(42 401.99652),(43 403.718),(44 399.9235),(45 398.76254),(46 398.5935),(47 398.65005),(48 397.45087),(49 399.02975),(50 402.5904),(51 407.12766),(52 410.50473),(53 415.03943),(54 418.38284),(55 421.63538),(56 420.25723),(57 417.69308),(58 420.38098),(59 418.50787),(60 417.8785),(61 418.04297),(62 421.02954),(63 425.80258),(64 423.29428),(65 423.76083),(66 423.89478),(67 423.5283),(68 428.02243),(69 428.5212),(70 429.93127),(71 428.43103),(72 428.45944),(73 427.15524),(74 428.2334),(75 422.68567),(76 414.468),(77 408.65268),(78 405.60526),(79 407.74103),
