1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 937675.8),(2 2782657.8),(3 5281310.5),(4 8314009.5),(5 11209989),(6 13452648),(7 15529197),(8 17336552),(9 18786194),(10 19604090),(11 20062642),(12 20240030),(13 19904744),(14 19270646),(15 18455626),(16 17578426),(17 16651984),(18 15647480),(19 14804035),(20 14093137),(21 13873875),(22 13670284),(23 13961765),(24 14354680),(25 14380597),(26 14530096),(27 14719739),(28 15214777),(29 15606221),(30 15954779),(31 15941252),(32 15646732),(33 15199203),(34 14241017),(35 13102152),(36 12066355),(37 11371581),(38 10718094),(39 10282987),(40 9787121),(41 9275332),(42 8819897),(43 8602854),(44 8687049),(45 8926673),(46 9256353),(47 9771103),(48 10314099),(49 10818155),(50 11138837),(51 11224732),(52 11084370),(53 10758219),(54 10188361),(55 9565688),(56 9010492),(57 8599124),(58 8181196),(59 7814014),(60 7516042.5),(61 7297064),(62 7156885.5),(63 7203082.5),(64 7376068),(65 7649284),(66 7816595.5),(67 7898716),(68 7821515.5),(69 7735976),(70 7686212),(71 7713862.5),(72 7790782.5),(73 7881603.5),(74 7997510),(75 8119367.5),(76 8230346.5),(77 8238157.5),(78 8328942.5),(79 8423533),
(1 227.92397),(2 316.5288),(3 373.13416),(4 410.07794),(5 451.44424),(6 474.66602),(7 493.83334),(8 512.2543),(9 531.1048),(10 539.4612),(11 551.0343),(12 560.7596),(13 570.15674),(14 568.9531),(15 584.604),(16 587.41095),(17 597.58575),(18 608.4513),(19 622.2808),(20 626.1813),(21 630.9889),(22 639.33685),(23 650.37415),(24 650.0036),(25 654.0444),(26 658.97534),(27 671.58014),(28 671.2467),(29 677.0597),(30 679.5957),(31 687.2779),(32 687.19275),(33 689.7151),(34 687.0722),(35 693.4238),(36 689.6251),(37 693.5234),(38 699.4063),(39 706.11115),(40 703.0305),(41 706.93463),(42 707.89856),(43 719.61847),(44 725.0886),(45 740.4455),(46 754.14417),(47 765.2653),(48 763.6277),(49 768.40814),(50 768.321),(51 775.06915),(52 767.8552),(53 766.6504),(54 765.0835),(55 766.9516),(56 758.82904),(57 759.52264),(58 752.4451),(59 750.73126),(60 738.6363),(61 734.7846),(62 731.8853),(63 734.09375),(64 734.17645),(65 733.91705),(66 733.54333),(67 734.767),(68 734.4084),(69 737.75226),(70 734.3644),(71 739.53796),(72 738.41437),(73 746.51825),(74 749.5315),(75 752.1245),(76 751.76447),(77 755.3609),(78 758.3255),(79 772.3402),
(1 224.51291),(2 309.45682),(3 366.02277),(4 402.6983),(5 438.80368),(6 467.03824),(7 485.6087),(8 505.13367),(9 525.9157),(10 535.09314),(11 546.44104),(12 555.4257),(13 559.9639),(14 562.2139),(15 582.4982),(16 586.4803),(17 597.30597),(18 606.55774),(19 626.28595),(20 626.93195),(21 632.6394),(22 634.51733),(23 642.3967),(24 638.3439),(25 646.5616),(26 648.8721),(27 656.0473),(28 657.303),(29 664.94086),(30 666.5193),(31 674.9751),(32 672.1572),(33 674.5016),(34 673.4175),(35 681.93024),(36 671.34875),(37 675.20215),(38 680.90155),(39 691.82446),(40 688.7245),(41 694.77783),(42 698.8757),(43 706.3078),(44 708.7374),(45 723.2458),(46 732.953),(47 741.4454),(48 743.0434),(49 750.0217),(50 747.33484),(51 746.7693),(52 742.1308),(53 745.54816),(54 742.06),(55 744.3681),(56 739.16077),(57 733.4964),(58 724.5401),(59 722.6442),(60 709.4617),(61 703.8846),(62 702.7014),(63 707.8856),(64 702.2406),(65 703.7272),(66 702.53284),(67 700.85565),(68 702.4297),(69 700.96454),(70 698.4494),(71 702.5153),(72 703.2072),(73 706.3825),(74 710.36743),(75 714.86005),(76 718.63495),(77 725.3591),(78 728.29083),(79 740.0256),
(1 220.93546),(2 306.61768),(3 361.00198),(4 394.53586),(5 436.50778),(6 465.37552),(7 484.98187),(8 499.04144),(9 514.19775),(10 525.459),(11 538.506),(12 547.9781),(13 554.8477),(14 559.38434),(15 580.4397),(16 586.12573),(17 594.436),(18 604.0175),(19 616.442),(20 620.6855),(21 626.9445),(22 625.665),(23 634.21063),(24 629.2013),(25 633.195),(26 634.0264),(27 639.79114),(28 642.3256),(29 650.19305),(30 653.13),(31 662.0968),(32 663.5043),(33 665.1085),(34 665.1615),(35 667.0965),(36 655.87463),(37 661.4912),(38 664.4295),(39 674.16437),(40 669.76904),(41 673.02954),(42 673.445),(43 684.9348),(44 686.2596),(45 698.856),(46 705.6484),(47 716.65125),(48 720.8412),(49 727.08594),(50 724.3954),(51 726.99774),(52 724.53064),(53 724.50525),(54 720.2447),(55 723.7011),(56 719.28625),(57 712.1743),(58 704.1951),(59 701.9234),(60 692.2803),(61 687.40204),(62 682.9419),(63 688.80383),(64 687.29535),(65 690.8185),(66 692.2111),(67 695.05536),(68 690.46094),(69 691.47327),(70 688.9989),(71 692.56946),(72 691.31714),(73 694.3135),(74 695.67334),(75 705.5771),(76 708.7358),(77 715.32605),(78 717.4809),(79 732.2774),
(1 217.1396),(2 304.8808),(3 363.2893),(4 396.4548),(5 435.26566),(6 457.99832),(7 471.73135),(8 487.763),(9 499.87653),(10 508.97534),(11 523.0738),(12 531.9372),(13 541.0614),(14 542.24536),(15 560.8766),(16 560.0495),(17 566.47296),(18 575.8443),(19 586.4304),(20 590.6584),(21 591.99176),(22 589.39307),(23 599.50525),(24 599.4404),(25 604.1551),(26 602.8148),(27 615.4065),(28 614.39233),(29 621.6531),(30 621.39154),(31 626.4943),(32 622.8661),(33 624.735),(34 624.2433),(35 620.41315),(36 616.7163),(37 618.215),(38 618.9973),(39 628.98566),(40 629.5536),(41 635.108),(42 639.34296),(43 649.3496),(44 648.1752),(45 660.69836),(46 668.1256),(47 674.07434),(48 679.74475),(49 687.4442),(50 682.6968),(51 687.7405),(52 682.4766),(53 683.83606),(54 681.86566),(55 683.201),(56 676.3292),(57 672.02),(58 662.7798),(59 665.3088),(60 662.70435),(61 660.7495),(62 653.93176),(63 657.2916),(64 654.4379),(65 655.14685),(66 650.7653),(67 656.2856),(68 654.4381),(69 655.2788),(70 651.2737),(71 657.2587),(72 657.02264),(73 662.1097),(74 663.51105),(75 673.7421),(76 680.05164),(77 689.76056),(78 692.656),(79 702.0358),
(1 213.26335),(2 296.6304),(3 348.385),(4 386.6446),(5 430.06854),(6 451.38034),(7 464.9327),(8 480.79355),(9 493.47238),(10 499.74164),(11 510.21063),(12 517.9928),(13 531.2097),(14 531.13385),(15 552.0171),(16 548.6769),(17 554.2123),(18 563.1574),(19 574.78265),(20 575.5744),(21 577.38556),(22 575.46655),(23 578.37054),(24 577.53656),(25 583.35596),(26 581.07666),(27 599.21515),(28 595.73035),(29 603.671),(30 605.20715),(31 618.9938),(32 616.01324),(33 617.9763),(34 619.515),(35 618.5736),(36 613.4264),(37 614.09906),(38 618.6603),(39 629.1469),(40 630.21436),(41 635.9096),(42 640.9384),(43 650.2907),(44 651.6643),(45 661.31976),(46 668.3128),(47 679.8949),(48 680.45355),(49 682.8775),(50 679.88306),(51 682.24835),(52 676.1225),(53 676.856),(54 675.1237),(55 672.055),(56 665.7806),(57 660.44684),(58 654.3754),(59 654.2752),(60 653.1449),(61 653.6572),(62 649.6292),(63 650.9123),(64 650.61176),(65 654.5631),(66 654.6404),(67 656.21045),(68 656.3691),(69 656.32336),(70 654.3013),(71 658.47534),(72 656.09753),(73 662.3103),(74 665.97876),(75 672.81256),(76 673.94617),(77 680.53827),(78 687.51465),(79 702.19476),
(1 206.58127),(2 286.40234),(3 341.69193),(4 381.85556),(5 414.70245),(6 438.24908),(7 453.33936),(8 464.04718),(9 477.86044),(10 482.73767),(11 492.93204),(12 498.51205),(13 506.223),(14 504.74374),(15 524.4058),(16 525.3324),(17 531.4944),(18 537.71027),(19 546.8963),(20 546.1354),(21 549.8933),(22 555.8885),(23 556.2192),(24 555.15295),(25 560.09576),(26 560.68634),(27 578.2211),(28 579.68286),(29 587.1746),(30 586.93994),(31 599.89777),(32 597.0707),(33 594.1785),(34 596.7339),(35 601.318),(36 598.3282),(37 604.3931),(38 605.81805),(39 618.27905),(40 616.56213),(41 620.3233),(42 624.2325),(43 639.1772),(44 639.55804),(45 650.9592),(46 655.6169),(47 664.7826),(48 664.8368),(49 664.31683),(50 662.1274),(51 666.12),(52 660.902),(53 661.07477),(54 658.75494),(55 657.4222),(56 644.34204),(57 637.9381),(58 628.21826),(59 625.574),(60 618.12415),(61 620.3479),(62 614.1957),(63 614.808),(64 610.9835),(65 611.3812),(66 611.48596),(67 613.0091),(68 614.2176),(69 615.52484),(70 614.8137),(71 616.5451),(72 615.86365),(73 617.95197),(74 620.0154),(75 626.96356),(76 628.98346),(77 637.0071),(78 641.9203),(79 657.24756),
(1 202.81543),(2 283.4055),(3 336.63202),(4 373.41092),(5 414.65237),(6 437.4044),(7 451.3241),(8 466.90515),(9 481.6839),(10 486.94156),(11 491.7612),(12 498.53308),(13 505.69562),(14 505.04855),(15 520.21655),(16 522.41046),(17 534.5902),(18 541.56976),(19 555.61755),(20 558.9997),(21 565.9826),(22 565.655),(23 568.5072),(24 566.2783),(25 569.9958),(26 568.9763),(27 583.237),(28 579.6053),(29 585.2958),(30 587.0931),(31 596.30524),(32 593.7259),(33 592.4118),(34 595.8866),(35 596.9191),(36 591.6824),(37 594.5842),(38 598.13574),(39 605.6446),(40 599.0577),(41 602.7977),(42 603.2914),(43 611.8561),(44 615.4841),(45 630.37506),(46 634.6351),(47 644.0845),(48 647.9984),(49 654.8436),(50 651.3528),(51 660.34344),(52 658.866),(53 658.91266),(54 657.7706),(55 655.8568),(56 647.9672),(57 641.3063),(58 634.29333),(59 629.0843),(60 620.2251),(61 615.3713),(62 609.4486),(63 617.1927),(64 617.25214),(65 618.7404),(66 617.44464),(67 618.7967),(68 615.08606),(69 613.72437),(70 611.7022),(71 615.77094),(72 611.96515),(73 617.31396),(74 619.65826),(75 626.91797),(76 628.8036),(77 635.28345),(78 637.75336),(79 651.38385),
(1 200.44615),(2 281.75446),(3 331.87054),(4 369.4511),(5 408.43524),(6 428.24777),(7 440.94522),(8 453.37167),(9 470.7697),(10 471.2747),(11 477.5592),(12 484.79874),(13 487.38065),(14 489.0314),(15 502.64505),(16 506.6554),(17 515.1164),(18 525.2718),(19 533.32495),(20 536.8798),(21 538.50214),(22 543.6034),(23 549.06305),(24 543.90765),(25 548.01495),(26 545.04865),(27 556.0227),(28 549.1393),(29 553.6822),(30 557.62085),(31 567.9398),(32 570.3155),(33 573.68365),(34 576.48413),(35 575.02747),(36 567.2899),(37 568.04736),(38 569.7848),(39 572.9485),(40 570.8446),(41 573.01465),(42 571.30695),(43 582.70197),(44 587.29755),(45 598.67865),(46 604.85114),(47 612.04156),(48 616.94165),(49 624.33923),(50 621.387),(51 627.8527),(52 621.68896),(53 619.3572),(54 618.2878),(55 616.2805),(56 613.0714),(57 606.66644),(58 599.2851),(59 596.60065),(60 593.63324),(61 590.7007),(62 585.2846),(63 587.98364),(64 585.48615),(65 586.30164),(66 586.27405),(67 591.1512),(68 586.3746),(69 588.31384),(70 587.7028),(71 592.5279),(72 591.60583),(73 596.3118),(74 598.5482),(75 602.931),(76 605.7692),(77 609.877),(78 611.9311),(79 623.3948),
(1 200.78487),(2 282.34253),(3 335.42194),(4 373.30704),(5 410.5095),(6 429.61188),(7 443.98453),(8 455.61447),(9 471.1395),(10 477.15128),(11 488.76498),(12 490.046),(13 493.13116),(14 490.98285),(15 504.16107),(16 506.5427),(17 512.6182),(18 520.661),(19 531.51056),(20 534.0947),(21 539.102),(22 535.2453),(23 538.84076),(24 537.50397),(25 540.63525),(26 539.3102),(27 552.438),(28 547.939),(29 554.301),(30 561.3426),(31 575.0108),(32 580.0858),(33 578.94946),(34 578.05725),(35 576.11383),(36 573.82965),(37 575.55444),(38 578.88464),(39 591.20575),(40 592.5725),(41 596.4728),(42 596.72675),(43 606.86194),(44 609.1464),(45 619.3737),(46 627.2105),(47 636.3471),(48 637.76483),(49 643.9018),(50 639.561),(51 643.62683),(52 634.66425),(53 632.38086),(54 627.91754),(55 630.013),(56 627.28796),(57 623.4416),(58 619.9612),(59 618.6859),(60 613.1909),(61 611.9098),(62 606.8326),(63 605.91815),(64 602.7869),(65 602.65405),(66 598.7961),(67 599.97156),(68 593.8761),(69 592.21),(70 591.5723),(71 595.40674),(72 593.8606),(73 595.81964),(74 597.9894),(75 602.4502),(76 604.4449),(77 608.93365),(78 610.4431),(79 618.4633),
(1 198.38086),(2 273.47375),(3 326.63034),(4 362.3679),(5 394.03503),(6 413.37204),(7 431.4843),(8 442.37033),(9 456.73187),(10 464.66028),(11 471.38876),(12 474.7823),(13 477.14804),(14 480.6133),(15 494.9777),(16 494.75186),(17 501.18176),(18 505.65222),(19 515.009),(20 510.33957),(21 515.96265),(22 514.5049),(23 518.92786),(24 517.1118),(25 520.82056),(26 521.8233),(27 528.808),(28 526.5823),(29 530.94073),(30 533),(31 541.7095),(32 539.40106),(33 537.6268),(34 536.381),(35 538.06995),(36 533.7605),(37 539.2517),(38 541.87964),(39 552.4928),(40 547.89404),(41 551.7835),(42 554.4727),(43 563.9954),(44 567.2784),(45 575.67346),(46 578.1776),(47 583.00977),(48 585.32855),(49 587.6181),(50 589.1913),(51 593.47546),(52 588.73175),(53 589.9773),(54 587.8053),(55 592.46466),(56 588.0906),(57 591.1953),(58 582.15546),(59 582.28687),(60 579.4627),(61 582.1643),(62 580.78046),(63 583.3582),(64 580.3256),(65 579.1904),(66 577.20496),(67 578.8122),(68 575.6279),(69 576.8484),(70 577.3126),(71 583.79663),(72 580.985),(73 581.7584),(74 581.4663),(75 587.7321),(76 590.3846),(77 595.70135),(78 597.69604),(79 609.71606),
(1 193.09837),(2 270.23047),(3 320.30487),(4 356.4825),(5 385.48175),(6 406.90878),(7 417.73828),(8 427.53647),(9 442.63992),(10 449.51703),(11 460.45743),(12 467.43295),(13 472.18402),(14 477.82742),(15 489.54538),(16 490.4889),(17 495.8863),(18 503.7241),(19 513.40924),(20 515.846),(21 519.6476),(22 521.7726),(23 527.9056),(24 528.09155),(25 533.6417),(26 534.1584),(27 545.40814),(28 542.1693),(29 546.48224),(30 551.6537),(31 557.9143),(32 559.0059),(33 558.5523),(34 559.9614),(35 558.83984),(36 556.2363),(37 553.4205),(38 554.2345),(39 558.98486),(40 558.09827),(41 560.3652),(42 556.937),(43 565.2021),(44 566.3687),(45 574.1372),(46 576.1705),(47 579.79376),(48 578.4132),(49 582.11194),(50 582.89215),(51 584.4063),(52 578.3826),(53 578.8689),(54 577.08167),(55 573.76154),(56 569.3204),(57 567.8964),(58 563.098),(59 563.1946),(60 562.3646),(61 558.24567),(62 555.1183),(63 552.7427),(64 547.7759),(65 549.1872),(66 548.13806),(67 550.32263),(68 550.3769),(69 554.0886),(70 550.4808),(71 552.70435),(72 552.7112),(73 554.7275),(74 556.87823),(75 563.0022),(76 565.8104),(77 572.6517),(78 576.0274),(79 586.78986),
(1 193.614),(2 267.4527),(3 317.45572),(4 357.64868),(5 389.67908),(6 414.84708),(7 426.0869),(8 438.8802),(9 453.82425),(10 460.13702),(11 470.20477),(12 476.35858),(13 481.99542),(14 484.39328),(15 495.07193),(16 498.87744),(17 504.59128),(18 517.03766),(19 524.07184),(20 528.5943),(21 535.13855),(22 533.1793),(23 542.79724),(24 541.3186),(25 543.3757),(26 545.14886),(27 552.46466),(28 553.67053),(29 564.8002),(30 567.0417),(31 570.8882),(32 567.00586),(33 567.8978),(34 569.2409),(35 566.15295),(36 565.0222),(37 561.6525),(38 562.88434),(39 570.5163),(40 567.81055),(41 570.50226),(42 567.24945),(43 574.57135),(44 574.23065),(45 582.15137),(46 589.7329),(47 599.10657),(48 598.775),(49 607.4213),(50 609.498),(51 608.3934),(52 604.0705),(53 601.72705),(54 594.5506),(55 593.4749),(56 586.88275),(57 584.8268),(58 579.1235),(59 578.67255),(60 576.6732),(61 572.66016),(62 570.25134),(63 568.5151),(64 566.51056),(65 567.84485),(66 568.29974),(67 569.561),(68 568.1537),(69 570.3909),(70 574.14294),(71 577.68756),(72 578.7844),(73 583.4049),(74 585.49927),(75 592.2525),(76 596.56335),(77 600.17377),(78 604.90857),(79 618.1532),
(1 187.02075),(2 263.60007),(3 314.16898),(4 351.11966),(5 382.53152),(6 405.19687),(7 419.5378),(8 429.62128),(9 441.76083),(10 446.6729),(11 458.57465),(12 464.61273),(13 470.9387),(14 473.764),(15 484.03256),(16 484.01538),(17 490.89142),(18 498.869),(19 506.55185),(20 510.23798),(21 516.5049),(22 518.2756),(23 523.4412),(24 523.94403),(25 526.1946),(26 526.11896),(27 535.3328),(28 539.1629),(29 543.91797),(30 544.96814),(31 551.2479),(32 551.47504),(33 555.2237),(34 555.9059),(35 563.6359),(36 561.0341),(37 566.0992),(38 570.8677),(39 582.39526),(40 579.8997),(41 585.00183),(42 587.0343),(43 594.5339),(44 593.11017),(45 601.5815),(46 607.0285),(47 614.9718),(48 613.80066),(49 619.22235),(50 617.82886),(51 619.3889),(52 614.0948),(53 613.57965),(54 604.9448),(55 606.6593),(56 599.6325),(57 597.8463),(58 591.23584),(59 593.25616),(60 587.80396),(61 585.1755),(62 582.8261),(63 583.4723),(64 578.43365),(65 579.3095),(66 579.3753),(67 579.29065),(68 579.11804),(69 580.58856),(70 579.95856),(71 581.0184),(72 583.2133),(73 587.16797),(74 587.42505),(75 596.54834),(76 599.261),(77 604.53094),(78 605.6752),(79 617.5643),
(1 186.20921),(2 258.21436),(3 308.18118),(4 340.66656),(5 371.9647),(6 397.06757),(7 413.4166),(8 424.36682),(9 436.24582),(10 441.6051),(11 452.2625),(12 458.61383),(13 461.80283),(14 463.08093),(15 473.80518),(16 475.74487),(17 476.78543),(18 483.0964),(19 493.6378),(20 497.90195),(21 501.85406),(22 502.04303),(23 504.57047),(24 505.34726),(25 513.1331),(26 514.4179),(27 522.62915),(28 521.35205),(29 524.71735),(30 523.20544),(31 528.30444),(32 528.49445),(33 531.5036),(34 532.0101),(35 537.5122),(36 531.0711),(37 528.41486),(38 530.78973),(39 540.4165),(40 537.50946),(41 538.48267),(42 541.6286),(43 548.4299),(44 550.59485),(45 559.83435),(46 562.298),(47 570.30457),(48 570.2509),(49 574.25146),(50 573.9097),(51 578.9039),(52 572.22845),(53 572.23975),(54 567.75183),(55 572.0756),(56 566.285),(57 565.0183),(58 563.1894),(59 565.9221),(60 565.3264),(61 564.98773),(62 561.358),(63 564.9934),(64 564.584),(65 567.45105),(66 564.3709),(67 567.26465),(68 563.9858),(69 562.70886),(70 561.36957),(71 561.9528),(72 560.97833),(73 565.9746),(74 565.86395),(75 571.3801),(76 574.9242),(77 580.36127),(78 578.2223),(79 589.26373),
(1 182.5356),(2 251.44347),(3 298.72293),(4 331.4876),(5 360.4561),(6 383.33664),(7 399.09283),(8 408.24802),(9 423.19836),(10 430.48447),(11 438.8323),(12 445.6139),(13 450.9481),(14 452.66602),(15 459.6501),(16 462.77612),(17 467.996),(18 477.7051),(19 486.94943),(20 488.85248),(21 493.9175),(22 497.1848),(23 496.56918),(24 497.5212),(25 502.8058),(26 499.443),(27 504.944),(28 502.1571),(29 501.0597),(30 503.572),(31 508.7686),(32 505.93808),(33 507.762),(34 509.5764),(35 513.57495),(36 507.52222),(37 506.94394),(38 506.60257),(39 514.0739),(40 512.54065),(41 516.0472),(42 519.81116),(43 525.12744),(44 531.5902),(45 537.28705),(46 543.1641),(47 555.00775),(48 557.4208),(49 567.17993),(50 567.4526),(51 576.98773),(52 568.7485),(53 565.3777),(54 564.2891),(55 562.7198),(56 558.44214),(57 556.0654),(58 550.60474),(59 547.50867),(60 545.4397),(61 544.8648),(62 539.65515),(63 544.54333),(64 541.18097),(65 541.73486),(66 536.63135),(67 538.2696),(68 536.57214),(69 532.9936),(70 533.10236),(71 536.50073),(72 537.16595),(73 540.7665),(74 541.46387),(75 550.4829),(76 555.58685),(77 560.535),(78 563.1559),(79 571.30084),
(1 176.35013),(2 242.97299),(3 288.49933),(4 320.33002),(5 347.23328),(6 370.44162),(7 388.8453),(8 402.57605),(9 413.97952),(10 425.07413),(11 435.2911),(12 439.14685),(13 446.51727),(14 450.5937),(15 463.56622),(16 464.86435),(17 469.04544),(18 476.80453),(19 486.77008),(20 490.9266),(21 493.248),(22 493.5283),(23 489.88693),(24 490.56845),(25 495.78894),(26 494.5231),(27 497.59286),(28 500.26324),(29 502.14444),(30 501.35367),(31 507.30087),(32 503.37497),(33 504.71075),(34 505.42358),(35 510.29614),(36 504.83182),(37 507.31345),(38 510.69885),(39 515.47296),(40 513.0802),(41 513.19403),(42 512.8197),(43 520.5024),(44 525.3658),(45 530.3461),(46 536.72455),(47 546.2101),(48 546.70953),(49 552.4684),(50 555.66614),(51 565.5845),(52 557.435),(53 556.7464),(54 554.68024),(55 556.0007),(56 552.1702),(57 550.25586),(58 544.7967),(59 542.6152),(60 539.95355),(61 537.946),(62 538.3923),(63 540.80225),(64 541.3572),(65 543.2095),(66 541.94867),(67 543.982),(68 545.8051),(69 546.9062),(70 548.2345),(71 552.4805),(72 554.1278),(73 555.23303),(74 558.18176),(75 565.31537),(76 571.464),(77 577.9793),(78 582.16296),(79 591.7216),
(1 177.02792),(2 245.07567),(3 292.09784),(4 327.9564),(5 357.8971),(6 376.12714),(7 390.99155),(8 404.08005),(9 419.02924),(10 427.72458),(11 433.38474),(12 439.35077),(13 444.3612),(14 443.72952),(15 457.94568),(16 462.10645),(17 467.55487),(18 475.2043),(19 482.9808),(20 484.6957),(21 487.40457),(22 486.44315),(23 485.82358),(24 485.55295),(25 488.2323),(26 489.4729),(27 500.0999),(28 500.94165),(29 503.90103),(30 507.08368),(31 512.56104),(32 510.9595),(33 516.6228),(34 518.89966),(35 529.22217),(36 527.98224),(37 527.52716),(38 529.2159),(39 533.68475),(40 529.0724),(41 525.8507),(42 523.4847),(43 530.29004),(44 532.371),(45 537.96234),(46 540.9485),(47 552.145),(48 550.8424),(49 560.9117),(50 561.5084),(51 563.1937),(52 556.8445),(53 555.89716),(54 555.7343),(55 558.35846),(56 555.6523),(57 553.32733),(58 547.09845),(59 544.722),(60 540.3743),(61 541.21875),(62 536.4912),(63 538.05804),(64 539.2417),(65 541.8936),(66 541.34924),(67 543.8014),(68 542.9688),(69 546.21844),(70 543.7628),(71 548.44214),(72 547.9803),(73 551.36847),(74 552.9801),(75 554.98846),(76 560.187),(77 565.6562),(78 567.08887),(79 580.1389),
(1 173.44319),(2 238.97057),(3 285.7697),(4 320.396),(5 346.4869),(6 368.884),(7 382.4096),(8 395.89252),(9 411.11575),(10 416.29376),(11 428.52377),(12 433.26587),(13 442.30536),(14 444.1271),(15 456.9352),(16 458.75122),(17 463.8732),(18 473.03),(19 475.33264),(20 480.87296),(21 482.33832),(22 481.936),(23 483.86395),(24 480.45004),(25 486.93335),(26 492.76694),(27 496.54904),(28 501.7353),(29 505.39624),(30 509.70203),(31 511.97455),(32 509.70303),(33 511.36893),(34 514.93024),(35 520.2832),(36 519.15875),(37 522.4927),(38 522.265),(39 527.0561),(40 525.9085),(41 525.67883),(42 526.9542),(43 534.9464),(44 533.31726),(45 539.6805),(46 545.08746),(47 556.62256),(48 555.1091),(49 560.88745),(50 561.06085),(51 564.00476),(52 560.38153),(53 558.85345),(54 558.5851),(55 556.7429),(56 551.51385),(57 545.94806),(58 539.39355),(59 536.6648),(60 534.26434),(61 532.2825),(62 530.6485),(63 533.6602),(64 531.5692),(65 535.8687),(66 536.6422),(67 537.83795),(68 536.5726),(69 538.80475),(70 538.26514),(71 545.6175),(72 545.49774),(73 547.25183),(74 548.12866),(75 555.0173),(76 558.7322),(77 564.83405),(78 569.58325),(79 581.91907),
