1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 31953.453),(2 102855.34),(3 208263.19),(4 328566.13),(5 469344.22),(6 621635.44),(7 790957),(8 965834.3),(9 1150776.1),(10 1337827.8),(11 1511710.5),(12 1680640.6),(13 1865098.4),(14 2049223.1),(15 2260381.3),(16 2492136),(17 2730095.8),(18 2945745),(19 3153133),(20 3350129),(21 3544934.8),(22 3705802),(23 3828374),(24 3945928.3),(25 4091364),(26 4253865.5),(27 4420960),(28 4596637.5),(29 4750578.5),(30 4906320),(31 5034238.5),(32 5164523.5),(33 5308460),(34 5444452.5),(35 5579169.5),(36 5728724),(37 5836862.5),(38 5936958),(39 6026192),(40 6143760.5),(41 6273521.5),(42 6415392.5),(43 6546214),(44 6692840.5),(45 6789134),(46 6873361.5),(47 6916250),(48 6931606),(49 6869204),(50 6812175.5),(51 6734166.5),(52 6708788),(53 6691794),(54 6719032.5),(55 6753809.5),(56 6829940),(57 6887100),(58 6892906.5),(59 6842451.5),(60 6803296.5),(61 6743338.5),(62 6695242),(63 6627546.5),(64 6563672.5),(65 6496250.5),(66 6476334.5),(67 6462021.5),(68 6476278),(69 6493182.5),(70 6531430.5),(71 6526490.5),(72 6534678.5),(73 6522173.5),(74 6513948),(75 6468324.5),(76 6405111.5),(77 6338746),(78 6326030.5),(79 6338556),
(1 313.9386),(2 372.09476),(3 442.73297),(4 446.00507),(5 486.91922),(6 486.2908),(7 518.9063),(8 502.20657),(9 533.1747),(10 527.8855),(11 560.8523),(12 552.46173),(13 575.4693),(14 564.7537),(15 597.5122),(16 573.3367),(17 601.9228),(18 595.33875),(19 619.69995),(20 600.04065),(21 619.37177),(22 608.4909),(23 626.4627),(24 602.988),(25 621.3508),(26 614.4275),(27 649.0982),(28 633.03955),(29 658.25543),(30 634.74243),(31 658.3097),(32 623.22986),(33 648.5152),(34 624.9883),(35 643.9674),(36 626.68994),(37 643.33966),(38 630.8001),(39 661.0899),(40 629.6372),(41 644.2563),(42 631.1017),(43 647.82605),(44 619.9319),(45 639.637),(46 623.939),(47 644.349),(48 620.95325),(49 636.81934),(50 616.81006),(51 637.6391),(52 612.9228),(53 625.8838),(54 609.55756),(55 629.51605),(56 605.8014),(57 625.6341),(58 607.95795),(59 624.373),(60 600.1482),(61 616.78845),(62 600.9444),(63 628.09827),(64 599.7863),(65 619.0629),(66 607.82263),(67 629.79236),(68 598.71375),(69 611.2498),(70 598.4519),(71 619.4009),(72 602.5664),(73 621.34515),(74 610.90155),(75 640.82855),(76 605.2699),(77 622.8954),(78 610.13934),(79 632.9243),
(1 299.6102),(2 365.2976),(3 433.73267),(4 435.32816),(5 478.40225),(6 478.33746),(7 508.21014),(8 493.2367),(9 518.5013),(10 516.07935),(11 541.1425),(12 533.14856),(13 558.0563),(14 551.4208),(15 572.8836),(16 554.73596),(17 575.28015),(18 570.8679),(19 599.3458),(20 583.9255),(21 602.613),(22 597.74054),(23 611.7652),(24 585.69446),(25 607.285),(26 593.8164),(27 620.7771),(28 607.41077),(29 635.2654),(30 620.52875),(31 637.05194),(32 610.5124),(33 627.3342),(34 607.6558),(35 622.56146),(36 606.2489),(37 623.56714),(38 617.75415),(39 639.7845),(40 610.9634),(41 621.5917),(42 605.38477),(43 615.72174),(44 597.35),(45 615.14764),(46 604.54156),(47 621.87256),(48 598.04095),(49 613.063),(50 598.851),(51 612.1),(52 586.2617),(53 607.24365),(54 598.3763),(55 617.59064),(56 599.4376),(57 613.2332),(58 606.513),(59 617.7257),(60 595.48706),(61 611.09827),(62 602.1246),(63 618.0125),(64 598.53625),(65 614.5823),(66 602.3433),(67 623.229),(68 590.23706),(69 603.9787),(70 592.29315),(71 606.711),(72 594.91266),(73 615.5185),(74 600.9367),(75 635.93756),(76 597.2187),(77 609.1764),(78 593.4457),(79 610.21844),
(1 294.2902),(2 353.03296),(3 418.55173),(4 418.0388),(5 462.08444),(6 458.60452),(7 484.41342),(8 469.50287),(9 494.04886),(10 490.90564),(11 521.1564),(12 505.4878),(13 535.919),(14 523.42847),(15 547.4937),(16 530.4374),(17 556.1107),(18 546.6669),(19 576.69586),(20 562.6001),(21 584.2342),(22 566.93585),(23 587.68005),(24 557.9321),(25 583.6102),(26 564.552),(27 596.84015),(28 573.71606),(29 606.43304),(30 589.08154),(31 610.57196),(32 581.20685),(33 598.5877),(34 582.41547),(35 598.3187),(36 580.8002),(37 604.2819),(38 589.1318),(39 606.47),(40 584.0112),(41 593.29614),(42 576.71796),(43 579.62555),(44 565.1215),(45 582.37067),(46 571.8629),(47 588.0881),(48 569.94775),(49 578.7162),(50 563.71643),(51 579.8649),(52 552.4374),(53 573.9116),(54 564.1001),(55 586.3216),(56 569.3753),(57 588.5027),(58 574.7603),(59 589.83746),(60 568.2908),(61 581.82336),(62 570.71466),(63 595.8551),(64 572.14636),(65 595.08777),(66 578.9725),(67 596.3366),(68 575.3968),(69 586.19275),(70 573.84656),(71 591.2051),(72 571.57806),(73 593.87744),(74 585.1791),(75 611.5572),(76 580.5699),(77 597.5072),(78 577.2277),(79 593.7673),
(1 294.13733),(2 354.1189),(3 416.57996),(4 419.82166),(5 461.13077),(6 457.01636),(7 485.08377),(8 468.75916),(9 495.50162),(10 491.1356),(11 520.379),(12 509.53223),(13 532.0729),(14 521.80994),(15 549.0425),(16 528.5368),(17 547.84564),(18 542.1722),(19 570.0154),(20 554.2921),(21 568.9161),(22 561.357),(23 578.61),(24 555.0744),(25 573.28375),(26 565.4259),(27 588.11304),(28 563.9131),(29 585.5524),(30 579.5497),(31 592.88666),(32 568.0969),(33 584.4501),(34 566.38385),(35 579.44214),(36 564.0864),(37 586.1792),(38 570.69147),(39 591.7809),(40 563.809),(41 575.2135),(42 565.2714),(43 577.7081),(44 558.11005),(45 573.52264),(46 571.3075),(47 589.6015),(48 567.85144),(49 581.23975),(50 568.2509),(51 580.7018),(52 556.5959),(53 574.7369),(54 562.01044),(55 582.85364),(56 563.24176),(57 578.2667),(58 557.0094),(59 570.7878),(60 544.7342),(61 564.47687),(62 559.1822),(63 576.5364),(64 553.2627),(65 569.1928),(66 559.1892),(67 574.6984),(68 557.521),(69 568.8602),(70 558.4589),(71 574.1974),(72 554.6813),(73 567.6226),(74 560.6554),(75 589.72363),(76 556.1465),(77 571.18134),(78 554.3671),(79 571.04095),
(1 290.2654),(2 348.0456),(3 407.8718),(4 410.27863),(5 453.87802),(6 452.53918),(7 476.90912),(8 460.75186),(9 487.81784),(10 485.71906),(11 506.98044),(12 501.58475),(13 522.37115),(14 514.1564),(15 539.2673),(16 521.86163),(17 544.08966),(18 532.77924),(19 562.06396),(20 545.7084),(21 573.3623),(22 556.35187),(23 572.1994),(24 545.3073),(25 561.2417),(26 544.56146),(27 571.29987),(28 553.4894),(29 574.032),(30 563.47327),(31 585.8301),(32 560.30444),(33 577.0395),(34 555.2726),(35 575.6097),(36 558.97626),(37 576.20337),(38 563.5671),(39 583.8016),(40 559.57),(41 575.6648),(42 557.1003),(43 569.7986),(44 554.0087),(45 574.8798),(46 563.25867),(47 581.4),(48 563.02637),(49 574.42206),(50 563.50287),(51 576.54004),(52 551.0079),(53 575.0128),(54 559.17804),(55 577.5525),(56 562.2183),(57 578.72815),(58 561.5552),(59 573.3387),(60 549.39343),(61 566.02386),(62 553.6952),(63 571.0961),(64 547.5597),(65 573.49207),(66 564.4347),(67 579.85675),(68 557.94275),(69 570.9512),(70 555.5962),(71 572.4637),(72 554.21765),(73 572.18024),(74 559.4247),(75 577.48083),(76 546.76715),(77 557.48364),(78 550.5885),(79 565.37286),
(1 286.42),(2 342.3496),(3 407.61374),(4 409.3342),(5 449.12393),(6 445.53162),(7 472.9964),(8 458.99887),(9 486.34628),(10 486.47595),(11 511.87756),(12 495.97617),(13 521.45764),(14 511.1838),(15 537.7895),(16 521.4671),(17 538.3052),(18 528.0797),(19 552.5289),(20 535.45013),(21 555.9582),(22 543.7907),(23 560.33105),(24 540.2365),(25 558.8941),(26 541.231),(27 574.4417),(28 561.6032),(29 582.6218),(30 569.52985),(31 582.89813),(32 556.46234),(33 574.9779),(34 561.3271),(35 576.9036),(36 556.9198),(37 573.3206),(38 563.5664),(39 583.3468),(40 558.28827),(41 565.9181),(42 555.29474),(43 565.6004),(44 542.89465),(45 556.6073),(46 546.1503),(47 568.20215),(48 545.8677),(49 561.8075),(50 549.4591),(51 559.2497),(52 532.51935),(53 550.7798),(54 544.2978),(55 557.7351),(56 533.5677),(57 554.9579),(58 545.5211),(59 556.7591),(60 536.6433),(61 551.38635),(62 539.94556),(63 562.8053),(64 537.4757),(65 558.52924),(66 547.26337),(67 560.3936),(68 535.726),(69 547.28723),(70 534.43115),(71 554.4652),(72 535.18054),(73 559.228),(74 548.11646),(75 565.7683),(76 534.86237),(77 556.3831),(78 546.9556),(79 560.63025),
(1 278.55838),(2 334.2293),(3 397.79803),(4 401.5611),(5 440.06006),(6 436.02274),(7 462.78644),(8 448.05914),(9 473.41907),(10 471.3573),(11 500.40656),(12 489.78345),(13 511.19562),(14 504.41748),(15 527.75116),(16 515.72754),(17 533.1055),(18 526.52295),(19 543.9231),(20 526.2769),(21 549.9972),(22 541.18146),(23 551.3573),(24 531.5593),(25 547.9036),(26 535.9033),(27 568.2132),(28 551.7041),(29 571.17303),(30 563.99994),(31 571.9565),(32 547.8091),(33 563.15076),(34 549.87445),(35 567.4658),(36 548.1295),(37 570.19037),(38 560.47174),(39 580.48834),(40 554.1002),(41 567.7008),(42 557.0219),(43 568.1224),(44 545.37244),(45 562.3007),(46 554.8882),(47 568.06866),(48 544.62317),(49 562.67377),(50 542.4318),(51 554.34015),(52 535.2154),(53 552.1377),(54 543.22833),(55 562.91693),(56 544.74805),(57 562.0071),(58 547.65656),(59 563.0326),(60 542.31006),(61 552.5712),(62 551.17224),(63 566.4424),(64 545.8358),(65 567.21857),(66 552.98376),(67 568.7096),(68 546.0958),(69 559.3681),(70 546.4162),(71 564.17596),(72 552.4465),(73 564.5663),(74 557.52466),(75 575.0356),(76 548.0464),(77 565.63513),(78 552.56384),(79 567.1055),
(1 274.79553),(2 330.36093),(3 391.8777),(4 388.8645),(5 422.25836),(6 422.99597),(7 453.2442),(8 438.56177),(9 461.3057),(10 463.17087),(11 486.8107),(12 478.93414),(13 499.3107),(14 489.41504),(15 512.8045),(16 499.5944),(17 517.82654),(18 508.6885),(19 537.32416),(20 515.5982),(21 534.5851),(22 528.4568),(23 542.7583),(24 514.0781),(25 534.37286),(26 529.384),(27 560.74365),(28 541.65234),(29 563.1696),(30 552.4432),(31 564.49756),(32 537.4851),(33 547.7629),(34 536.78815),(35 556.45575),(36 534.49005),(37 554.2156),(38 548.9769),(39 563.97894),(40 532.40405),(41 547.26495),(42 535.8956),(43 545.71265),(44 523.6889),(45 541.17694),(46 536.076),(47 547.94977),(48 530.4598),(49 543.02075),(50 525.8876),(51 541.8365),(52 518.363),(53 534.25354),(54 521.06274),(55 537.1504),(56 523.0712),(57 540.89575),(58 528.1568),(59 539.98193),(60 524.6383),(61 538.5641),(62 530.0214),(63 549.4689),(64 527.3674),(65 551.4216),(66 536.08295),(67 551.3761),(68 525.76086),(69 536.3943),(70 525.74554),(71 544.33936),(72 524.92633),(73 543.2527),(74 535.2403),(75 561.3823),(76 534.5496),(77 547.0241),(78 534.3158),(79 551.26013),
(1 270.76547),(2 322.93375),(3 387.07593),(4 390.25067),(5 429.72443),(6 423.59406),(7 455.06345),(8 440.44843),(9 458.7308),(10 458.0002),(11 479.92523),(12 470.53668),(13 494.00577),(14 483.75708),(15 510.65704),(16 488.12265),(17 508.28558),(18 503.46085),(19 528.7008),(20 507.7214),(21 526.96265),(22 523.7416),(23 535.9437),(24 507.4282),(25 528.94006),(26 517.52875),(27 548.4169),(28 529.5375),(29 549.4512),(30 530.58264),(31 554.01953),(32 526.49225),(33 539.3853),(34 528.71246),(35 543.3802),(36 525.23334),(37 545.5346),(38 535.3886),(39 550.2874),(40 521.22864),(41 534.0439),(42 518.9029),(43 535.36743),(44 512.41235),(45 527.52765),(46 516.5541),(47 530.9974),(48 513.7031),(49 530.9578),(50 517.68365),(51 534.3732),(52 508.56717),(53 520.5807),(54 513.1702),(55 527.4493),(56 511.77756),(57 527.81854),(58 509.55032),(59 532.23206),(60 509.12927),(61 524.5923),(62 516.32434),(63 531.92633),(64 510.35147),(65 533.53613),(66 519.65137),(67 528.5027),(68 510.24048),(69 520.6628),(70 508.99673),(71 526.64435),(72 509.5101),(73 529.62256),(74 521.747),(75 544.49445),(76 516.0811),(77 533.20856),(78 518.6208),(79 535.0095),
(1 268.9002),(2 320.32953),(3 379.15558),(4 382.26337),(5 416.4947),(6 416.87817),(7 440.1121),(8 431.88324),(9 450.03934),(10 454.7192),(11 476.4674),(12 470.2099),(13 491.95288),(14 480.6639),(15 498.84586),(16 486.58514),(17 503.90463),(18 497.70898),(19 522.3729),(20 505.66107),(21 522.17334),(22 511.95685),(23 528.11),(24 505.34326),(25 517.8526),(26 506.05493),(27 528.99915),(28 517.88135),(29 536.38086),(30 525.989),(31 540.14655),(32 520.1585),(33 533.07635),(34 524.68634),(35 538.7477),(36 523.0671),(37 538.58923),(38 529.50366),(39 544.2936),(40 523.91895),(41 529.6442),(42 519.02704),(43 533.1579),(44 515.8278),(45 536.2675),(46 527.4633),(47 539.6642),(48 525.66797),(49 533.89966),(50 521.8727),(51 531.1867),(52 507.38168),(53 527.29474),(54 514.7312),(55 527.6031),(56 512.10596),(57 524.64374),(58 509.43652),(59 520.5413),(60 501.76096),(61 514.7639),(62 516.3121),(63 529.86957),(64 512.88153),(65 533.53),(66 519.0811),(67 527.7046),(68 506.2945),(69 515.47125),(70 510.95056),(71 525.00604),(72 511.66595),(73 526.42285),(74 517.5295),(75 537.18134),(76 505.54437),(77 516.1851),(78 504.42493),(79 520.1941),
(1 266.94122),(2 312.19974),(3 373.5488),(4 370.7917),(5 406.0218),(6 399.28687),(7 425.94055),(8 413.117),(9 439.4483),(10 436.24957),(11 461.03546),(12 451.24814),(13 472.85672),(14 462.87933),(15 488.76843),(16 463.36655),(17 481.00143),(18 477.47757),(19 513.4317),(20 494.0701),(21 509.9678),(22 493.3161),(23 513.44244),(24 488.599),(25 502.94507),(26 489.39294),(27 522.8728),(28 506.02383),(29 530.28766),(30 517.8608),(31 533.11365),(32 504.67996),(33 519.66815),(34 506.6088),(35 525.13965),(36 509.35162),(37 525.63794),(38 518.76746),(39 534.18994),(40 516.1622),(41 526.5707),(42 509.1816),(43 528.2856),(44 506.52478),(45 523.09894),(46 510.34122),(47 525.8067),(48 502.8576),(49 516.2126),(50 501.42584),(51 514.3619),(52 492.2974),(53 504.5642),(54 496.9838),(55 513.3162),(56 493.7167),(57 511.83612),(58 495.00113),(59 514.8836),(60 492.709),(61 511.67273),(62 505.41187),(63 530.72296),(64 507.9886),(65 526.79736),(66 517.30707),(67 530.52325),(68 503.4214),(69 517.74194),(70 504.38766),(71 526.834),(72 510.47656),(73 529.5268),(74 519.1158),(75 539.691),(76 508.08423),(77 521.1696),(78 504.04758),(79 525.629),
(1 255.69185),(2 308.2513),(3 363.5327),(4 364.87683),(5 400.01068),(6 404.40045),(7 425.4945),(8 411.89777),(9 435.34766),(10 433.76523),(11 456.96634),(12 451.6579),(13 463.23724),(14 456.14783),(15 476.22015),(16 465.19113),(17 476.7376),(18 470.50742),(19 496.27905),(20 478.00888),(21 493.87213),(22 485.56693),(23 499.29916),(24 473.84717),(25 490.86566),(26 479.7276),(27 503.20218),(28 491.13004),(29 507.09882),(30 502.1817),(31 516.4625),(32 492.15927),(33 511.37976),(34 498.69827),(35 509.9346),(36 500.79095),(37 510.36456),(38 506.44055),(39 527.1152),(40 502.95792),(41 515.967),(42 506.4412),(43 511.74884),(44 497.93625),(45 512.88293),(46 501.66428),(47 514.38873),(48 500.40317),(49 510.4853),(50 493.91412),(51 502.46008),(52 480.16006),(53 499.46942),(54 486.70184),(55 499.21124),(56 485.49323),(57 500.157),(58 486.06577),(59 499.4904),(60 478.14096),(61 493.9852),(62 486.28964),(63 502.51456),(64 484.72842),(65 507.10956),(66 490.36377),(67 504.14218),(68 486.23068),(69 493.44946),(70 483.84528),(71 502.8868),(72 490.38608),(73 504.3988),(74 495.32248),(75 517.683),(76 486.44244),(77 497.11212),(78 485.95627),(79 498.81757),
(1 258.98438),(2 309.12375),(3 360.72446),(4 359.66217),(5 394.58328),(6 394.22192),(7 409.1064),(8 403.74542),(9 423.3184),(10 422.9068),(11 449.373),(12 439.98523),(13 454.7765),(14 443.5788),(15 466.81104),(16 453.1811),(17 466.9269),(18 459.86304),(19 489.29852),(20 471.43167),(21 489.1414),(22 482.1599),(23 494.41858),(24 472.3815),(25 483.45242),(26 471.38757),(27 499.2419),(28 484.7096),(29 501.40005),(30 492.70166),(31 508.0606),(32 483.6052),(33 506.2814),(34 495.59082),(35 511.6742),(36 494.5803),(37 505.2469),(38 501.26648),(39 516.925),(40 496.37766),(41 506.69608),(42 494.18204),(43 503.5729),(44 488.42862),(45 500.4234),(46 487.7975),(47 500.1621),(48 486.51648),(49 494.68542),(50 483.9228),(51 497.21533),(52 476.13498),(53 490.46152),(54 479.07904),(55 489.86792),(56 474.50702),(57 489.53882),(58 479.2921),(59 493.84244),(60 475.94467),(61 491.6209),(62 482.85104),(63 493.8977),(64 480.81604),(65 499.03546),(66 489.85278),(67 500.5737),(68 481.68423),(69 492.94098),(70 478.25107),(71 491.82626),(72 478.6211),(73 494.50882),(74 485.41025),(75 504.71744),(76 477.5961),(77 491.36987),(78 481.29816),(79 495.33792),
(1 251.06703),(2 299.83746),(3 351.12457),(4 357.25568),(5 388.72665),(6 387.99246),(7 411.59055),(8 404.71286),(9 424.86826),(10 423.2633),(11 444.5603),(12 435.26227),(13 449.39975),(14 445.94992),(15 462.5052),(16 450.98453),(17 463.45074),(18 462.5845),(19 488.8022),(20 473.08694),(21 492.7093),(22 490.20834),(23 501.65784),(24 479.10953),(25 493.3633),(26 482.58844),(27 504.4023),(28 495.24857),(29 508.6978),(30 500.75043),(31 506.16006),(32 485.42703),(33 499.87027),(34 492.59753),(35 507.7743),(36 496.56366),(37 504.375),(38 501.78552),(39 513.6234),(40 490.46832),(41 501.41864),(42 489.04205),(43 501.01126),(44 486.71008),(45 492.66495),(46 490.60672),(47 500.96133),(48 479.53223),(49 489.7376),(50 478.56116),(51 489.85205),(52 474.48737),(53 484.86124),(54 479.3088),(55 487.92422),(56 471.95816),(57 483.84375),(58 472.60977),(59 482.82788),(60 468.50613),(61 481.85587),(62 474.4255),(63 482.62073),(64 471.72156),(65 487.19302),(66 480.43707),(67 489.38675),(68 474.45398),(69 483.48138),(70 478.92276),(71 491.28763),(72 478.21716),(73 492.51215),(74 490.9298),(75 506.63596),(76 483.395),(77 497.22275),(78 488.15668),(79 499.1799),
(1 247.00337),(2 298.1712),(3 357.82068),(4 362.01624),(5 391.4225),(6 389.56427),(7 410.34152),(8 399.0701),(9 418.02737),(10 415.48834),(11 436.43063),(12 430.07062),(13 451.36255),(14 445.5906),(15 459.83737),(16 443.5896),(17 454.75027),(18 450.7133),(19 469.17603),(20 459.8807),(21 473.50662),(22 470.82123),(23 479.07333),(24 464.35193),(25 478.33545),(26 469.92468),(27 493.86246),(28 482.0082),(29 498.0315),(30 491.19974),(31 498.82425),(32 479.11276),(33 491.20184),(34 479.7287),(35 493.52347),(36 477.1421),(37 492.23813),(38 483.24915),(39 495.15564),(40 476.1245),(41 489.48096),(42 471.61166),(43 483.12704),(44 470.0835),(45 481.25912),(46 473.28604),(47 484.9694),(48 475.3584),(49 481.60104),(50 469.3158),(51 477.0313),(52 457.87637),(53 468.29507),(54 463.46533),(55 473.78305),(56 461.55753),(57 479.6884),(58 471.28452),(59 481.2626),(60 467.74945),(61 475.21207),(62 470.88193),(63 486.03293),(64 471.0556),(65 483.67987),(66 475.1715),(67 481.81668),(68 467.95505),(69 476.9233),(70 472.55048),(71 485.44226),(72 473.46854),(73 493.9535),(74 485.31763),(75 501.49014),(76 474.58276),(77 489.1445),(78 479.58643),(79 491.17395),
(1 245.7661),(2 297.62128),(3 352.13943),(4 353.94098),(5 379.48102),(6 381.5583),(7 401.74606),(8 395.20346),(9 414.1657),(10 412.727),(11 434.36847),(12 422.12027),(13 439.29465),(14 434.32788),(15 452.07227),(16 438.34805),(17 451.79865),(18 448.82907),(19 468.64484),(20 456.43256),(21 472.6736),(22 467.3788),(23 483.22086),(24 464.06845),(25 481.81595),(26 473.11438),(27 497.20905),(28 482.8296),(29 496.48462),(30 486.3487),(31 501.77264),(32 480.3519),(33 493.37296),(34 483.83887),(35 493.4035),(36 479.97443),(37 493.66428),(38 482.1627),(39 496.42532),(40 480.5602),(41 491.71027),(42 480.83215),(43 489.63),(44 470.63034),(45 478.36887),(46 473.7134),(47 486.20578),(48 467.9985),(49 476.51822),(50 464.24066),(51 472.32687),(52 448.42587),(53 461.79382),(54 455.09518),(55 462.95972),(56 449.56927),(57 462.9989),(58 449.18182),(59 462.41202),(60 448.32028),(61 460.3806),(62 457.5439),(63 474.9719),(64 456.1025),(65 470.10858),(66 462.26987),(67 469.73618),(68 456.61487),(69 467.4415),(70 465.1562),(71 477.70065),(72 468.92255),(73 482.76923),(74 478.66357),(75 493.01196),(76 471.0316),(77 481.26932),(78 475.24533),(79 482.7159),
(1 245.64769),(2 289.6451),(3 343.1583),(4 345.19952),(5 373.1568),(6 371.80783),(7 395.0385),(8 384.9322),(9 404.00928),(10 404.05856),(11 422.45068),(12 412.89014),(13 437.57095),(14 429.53802),(15 444.01764),(16 431.6093),(17 445.96957),(18 441.98273),(19 466.68073),(20 458.5843),(21 473.3491),(22 466.2346),(23 481.6492),(24 457.92773),(25 469.3156),(26 465.94815),(27 486.80502),(28 476.13974),(29 494.36392),(30 479.78214),(31 489.3431),(32 468.41888),(33 483.30597),(34 469.1706),(35 477.39194),(36 464.83957),(37 476.9374),(38 465.6925),(39 480.6647),(40 458.409),(41 468.41245),(42 457.50998),(43 471.76694),(44 455.59048),(45 468.05228),(46 461.3473),(47 475.80807),(48 460.34772),(49 466.45514),(50 455.05524),(51 468.4842),(52 446.6951),(53 461.58127),(54 454.38345),(55 463.5133),(56 450.67853),(57 463.81836),(58 451.96954),(59 462.5609),(60 446.461),(61 456.28214),(62 453.39832),(63 471.27643),(64 450.04883),(65 467.50638),(66 462.0239),(67 470.72635),(68 453.2788),(69 466.28586),(70 459.96005),(71 475.89774),(72 467.36783),(73 479.27756),(74 474.8681),(75 488.89615),(76 469.37286),(77 484.05743),(78 475.8742),(79 483.03918),
(1 243.92519),(2 283.90082),(3 336.32468),(4 339.95242),(5 372.3468),(6 368.4879),(7 393.20978),(8 384.5628),(9 404.58737),(10 405.45175),(11 418.0483),(12 414.9006),(13 430.0322),(14 426.40872),(15 444.21146),(16 430.42813),(17 448.29642),(18 441.992),(19 463.74173),(20 448.2523),(21 463.5542),(22 457.5634),(23 468.71573),(24 451.49142),(25 462.9558),(26 457.21005),(27 476.61185),(28 454.51486),(29 474.58524),(30 464.71494),(31 477.05032),(32 453.98618),(33 467.22336),(34 454.4526),(35 469.24036),(36 458.1924),(37 473.8075),(38 464.81323),(39 476.948),(40 456.02518),(41 465.58667),(42 454.8068),(43 462.0519),(44 453.04214),(45 468.8574),(46 459.13162),(47 468.48264),(48 452.162),(49 465.17676),(50 452.59366),(51 458.8027),(52 440.9373),(53 457.42877),(54 451.31393),(55 460.32187),(56 450.34924),(57 463.03766),(58 449.613),(59 459.23914),(60 443.01904),(61 454.3897),(62 452.799),(63 467.33978),(64 449.38388),(65 462.62265),(66 459.06522),(67 465.3901),(68 447.61728),(69 455.98474),(70 449.79303),(71 465.87546),(72 454.6253),(73 472.07144),(74 464.3109),(75 478.6192),(76 451.76813),(77 461.48822),(78 459.5841),(79 470.69937),
