1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 82649.24),(2 217438.45),(3 414566.97),(4 658597),(5 919216),(6 1235043.1),(7 1568107),(8 1942279.6),(9 2306588.3),(10 2729059.5),(11 3177543.3),(12 3598033.3),(13 4030856),(14 4481666.5),(15 4904938.5),(16 5439227.5),(17 5913138.5),(18 6262142.5),(19 6604022.5),(20 6933324),(21 7284068),(22 7588126.5),(23 7926356),(24 8261698.5),(25 8680589),(26 9094823),(27 9515477),(28 10008599),(29 10446179),(30 10750583),(31 11079071),(32 11338939),(33 11642493),(34 11828435),(35 12031045),(36 12197372),(37 12225755),(38 12203403),(39 12354047),(40 12621241),(41 13352583),(42 13660092),(43 14052967),(44 14511772),(45 14865297),(46 15055067),(47 15319240),(48 15686967),(49 16035197),(50 16223779),(51 16446475),(52 16709245),(53 16963154),(54 17138210),(55 17294354),(56 17378186),(57 17460790),(58 17489574),(59 17622202),(60 17792452),(61 17905192),(62 17834394),(63 17743826),(64 17847642),(65 17886946),(66 18558910),(67 18981766),(68 19486526),(69 20002590),(70 20468882),(71 21002988),(72 21573718),(73 22195330),(74 22817656),(75 23484298),(76 24245042),(77 25072906),(78 25979382),(79 26944720),
(1 1333.0311),(2 1796.9254),(3 2120.0771),(4 2243.1248),(5 2440.2517),(6 2494.931),(7 2642.2312),(8 2648.5332),(9 2767.835),(10 2802.2737),(11 2900.4329),(12 2794.078),(13 2834.6697),(14 2820.133),(15 2876.0952),(16 2879.9824),(17 2972.5183),(18 2926.435),(19 3011.981),(20 2946.3982),(21 3026.1682),(22 3010.0732),(23 3077.5376),(24 3031.9124),(25 3099.2217),(26 3055.3943),(27 3128.0957),(28 3026.8167),(29 3035.3381),(30 2944.1135),(31 2964.872),(32 2900.7466),(33 2949.556),(34 2897.8508),(35 2950.9324),(36 2908.4763),(37 2972.9617),(38 2921.4587),(39 3008.1726),(40 2923.6577),(41 3042.1008),(42 3010.9722),(43 3046.637),(44 3109.6934),(45 3052.381),(46 3038.9758),(47 3073.3271),(48 3027.2273),(49 3036.5085),(50 2961.114),(51 3030.5942),(52 2970.181),(53 2991.0535),(54 2989.722),(55 3093.6472),(56 3042.9204),(57 3084.4543),(58 3029.242),(59 3113.6992),(60 3110.5051),(61 3205.4355),(62 3123.1072),(63 3171.4177),(64 3136.4111),(65 3107.117),(66 3055.763),(67 3071.5808),(68 2978.094),(69 3037.7964),(70 2967.4182),(71 3003.2612),(72 2932.9358),(73 2994.3894),(74 2976.7769),(75 3063.3535),(76 2986.299),(77 3045.3767),(78 3001.3447),(79 2997.2708),
(1 1311.0352),(2 1754.6708),(3 2038.7681),(4 2141.8232),(5 2312.9646),(6 2389.0693),(7 2534.88),(8 2535.0623),(9 2657.4941),(10 2628.8315),(11 2740.2725),(12 2650.5107),(13 2685.1426),(14 2652.7134),(15 2694.651),(16 2674.8682),(17 2712.571),(18 2673.9182),(19 2753.4373),(20 2724.1826),(21 2810.339),(22 2773.5454),(23 2810.1943),(24 2761.8892),(25 2830.1787),(26 2799.9968),(27 2888.6123),(28 2780.3555),(29 2804.8125),(30 2765.1306),(31 2830.2405),(32 2773.7131),(33 2806.1387),(34 2781.596),(35 2808.55),(36 2798.318),(37 2871.3357),(38 2828.2903),(39 2946.8984),(40 2907.5637),(41 2964.938),(42 2940.2432),(43 2947.6401),(44 3009.2883),(45 2937.494),(46 2891.137),(47 2892.5847),(48 2839.862),(49 2851.1895),(50 2801.3171),(51 2860.714),(52 2788.3462),(53 2842.2153),(54 2827.7551),(55 2899.0981),(56 2836.5796),(57 2892.527),(58 2871.296),(59 2938.1511),(60 2878.943),(61 2971.21),(62 2947.821),(63 3030.8364),(64 2971.5044),(65 2969.6597),(66 2885.5518),(67 2860.4756),(68 2813.865),(69 2853.8115),(70 2832.0728),(71 2884.7034),(72 2817.7222),(73 2850.8718),(74 2845.062),(75 2952.1563),(76 2890.137),(77 2937.2173),(78 2889.2583),(79 2896.349),
(1 1322.1416),(2 1775.7778),(3 2077.416),(4 2178.6768),(5 2346.1755),(6 2426.098),(7 2613.333),(8 2661.5876),(9 2763.0198),(10 2769.5095),(11 2804.8894),(12 2742.7878),(13 2803.986),(14 2787.3813),(15 2843.7354),(16 2801.072),(17 2833.0107),(18 2793.8245),(19 2860.7686),(20 2840.0857),(21 2881.7961),(22 2855.3748),(23 2925.7139),(24 2849.9128),(25 2923.0623),(26 2870.9045),(27 2913.5251),(28 2871.9827),(29 2913.4712),(30 2848.3625),(31 2839.352),(32 2794.4148),(33 2817.8416),(34 2768.7837),(35 2820.2324),(36 2796.1443),(37 2817.7046),(38 2778.8347),(39 2852.4412),(40 2820.6768),(41 2894.13),(42 2871.4714),(43 2877.7744),(44 2915.3225),(45 2862.7156),(46 2845.0042),(47 2844.333),(48 2817.6697),(49 2861.2664),(50 2835.4453),(51 2880.0283),(52 2825.3376),(53 2856.2239),(54 2841.7227),(55 2924.2698),(56 2878.1663),(57 2929.4053),(58 2907.8281),(59 2967.7961),(60 2916.348),(61 2952.7217),(62 2877.585),(63 2943.1057),(64 2888.246),(65 2926.2861),(66 2883.9324),(67 2893.346),(68 2824.4468),(69 2883.2412),(70 2849.06),(71 2905.7495),(72 2830.5237),(73 2873.0354),(74 2805.79),(75 2882.6736),(76 2838.0862),(77 2900.156),(78 2874.115),(79 2900.2297),
(1 1283.3083),(2 1704.523),(3 2039.0166),(4 2149.8547),(5 2292.9128),(6 2361.6555),(7 2501.9968),(8 2521.1382),(9 2633.757),(10 2621.1196),(11 2695.4502),(12 2667.4692),(13 2721.9673),(14 2673.7188),(15 2699.8757),(16 2689.362),(17 2753.4048),(18 2704.5896),(19 2736.3137),(20 2714.8123),(21 2805.1648),(22 2808.437),(23 2827.2898),(24 2783.0186),(25 2828.0015),(26 2810.6868),(27 2882.791),(28 2827.6191),(29 2842.5317),(30 2776.8823),(31 2803.8276),(32 2748.2742),(33 2747.2476),(34 2722.4397),(35 2758.8032),(36 2716.4631),(37 2754.5237),(38 2739.9756),(39 2798.7468),(40 2763.4814),(41 2881.407),(42 2848.6604),(43 2856.4993),(44 2899.4602),(45 2856.939),(46 2827.2366),(47 2869.7026),(48 2828.5188),(49 2854.1724),(50 2769.699),(51 2817.554),(52 2795.7913),(53 2836.4329),(54 2817.1812),(55 2890.3232),(56 2861.4692),(57 2917.5713),(58 2893.2666),(59 2959.9348),(60 2925.3262),(61 2978.6135),(62 2895.419),(63 2922.9963),(64 2876.7834),(65 2914.8672),(66 2852.2268),(67 2886.4207),(68 2807.3237),(69 2833.4766),(70 2808.563),(71 2870.0796),(72 2814.0864),(73 2846.8271),(74 2773.858),(75 2803.2756),(76 2769.2024),(77 2809.772),(78 2780.1475),(79 2840.084),
(1 1276.7573),(2 1694.3641),(3 2011.1564),(4 2106.6514),(5 2252.3718),(6 2294.7744),(7 2445.9644),(8 2494.8232),(9 2592.3796),(10 2618.3628),(11 2692.1965),(12 2634.4214),(13 2659.6028),(14 2627.8765),(15 2668.8162),(16 2678.6099),(17 2711.0432),(18 2710.684),(19 2771.1248),(20 2703.8418),(21 2770.302),(22 2716.1172),(23 2775.069),(24 2738.7825),(25 2855.294),(26 2811.35),(27 2882.9727),(28 2794.0002),(29 2826.627),(30 2773.4473),(31 2799.7832),(32 2718.333),(33 2715.6035),(34 2662.442),(35 2736.5684),(36 2695.9346),(37 2707.3855),(38 2682.6292),(39 2776.2385),(40 2726.1887),(41 2818.789),(42 2789.0283),(43 2785.5605),(44 2834.63),(45 2801.6746),(46 2758.606),(47 2777.309),(48 2756.2356),(49 2787.1667),(50 2705.8552),(51 2731.303),(52 2693.6045),(53 2755.5908),(54 2708.1848),(55 2761.7598),(56 2733.842),(57 2836.5583),(58 2810.789),(59 2900.0315),(60 2860.5854),(61 2917.9763),(62 2880.9912),(63 2910.778),(64 2850.948),(65 2863.8003),(66 2822.0325),(67 2794.8186),(68 2771.0347),(69 2798.3),(70 2752.4832),(71 2772.2349),(72 2766.6091),(73 2799.1685),(74 2734.5747),(75 2777.3184),(76 2748.0981),(77 2802.3142),(78 2743.7864),(79 2765.9226),
(1 1262.8501),(2 1652.8176),(3 1935.2491),(4 2036.2269),(5 2206.1516),(6 2223.4343),(7 2375.8645),(8 2460.799),(9 2548.1099),(10 2512.701),(11 2563.1611),(12 2496.5474),(13 2549.6265),(14 2563.8215),(15 2618.3376),(16 2582.502),(17 2642.651),(18 2595.0752),(19 2658.9116),(20 2644.3423),(21 2695.6294),(22 2699.7378),(23 2760.6453),(24 2739.6963),(25 2822.4575),(26 2779.4163),(27 2864.1838),(28 2797.7222),(29 2824.2378),(30 2742.4163),(31 2771.8472),(32 2660.0208),(33 2635.183),(34 2571.111),(35 2591.5078),(36 2560.891),(37 2624.6511),(38 2619.0884),(39 2713.9426),(40 2656.811),(41 2718.6577),(42 2696.695),(43 2692.6008),(44 2697.6975),(45 2658.9314),(46 2632.9485),(47 2649.5322),(48 2573.597),(49 2597.921),(50 2549.2588),(51 2632.8267),(52 2570.6707),(53 2600.9685),(54 2581.0032),(55 2659.5127),(56 2626.8564),(57 2701.282),(58 2670.677),(59 2736.1956),(60 2708.4146),(61 2763.8684),(62 2714.0557),(63 2769.904),(64 2722.1438),(65 2734.958),(66 2667.7046),(67 2658.5679),(68 2614.7986),(69 2680.6995),(70 2593.5862),(71 2617.4468),(72 2568.3652),(73 2588.4224),(74 2563.281),(75 2605.2236),(76 2571.0913),(77 2624.0632),(78 2577.763),(79 2632.0144),
(1 1253.7473),(2 1657.3158),(3 1915.0549),(4 2032.3333),(5 2232.565),(6 2286.7678),(7 2419.761),(8 2450.6758),(9 2551.366),(10 2501.8228),(11 2566.2437),(12 2513.3477),(13 2554.6443),(14 2535.1536),(15 2608.1414),(16 2587.7668),(17 2640.3582),(18 2596.0186),(19 2640.8118),(20 2596.5752),(21 2679.1367),(22 2668.4438),(23 2711.4895),(24 2686.0024),(25 2749.3943),(26 2714.791),(27 2760.0525),(28 2699.2625),(29 2772.3464),(30 2701.4314),(31 2711.4937),(32 2610.3333),(33 2611.185),(34 2537.4111),(35 2587.3704),(36 2527.396),(37 2557.8955),(38 2540.7527),(39 2641.498),(40 2591.268),(41 2665.6108),(42 2636.915),(43 2652.1704),(44 2687.2668),(45 2627.4688),(46 2597.1694),(47 2605.8364),(48 2558.6418),(49 2600.403),(50 2532.7373),(51 2567.928),(52 2503.678),(53 2561.0105),(54 2525.9473),(55 2598.7104),(56 2560.061),(57 2614.9673),(58 2597.1423),(59 2685.7058),(60 2627.5347),(61 2681.5874),(62 2663.7883),(63 2696.9646),(64 2660.1516),(65 2648.9282),(66 2591.0142),(67 2635.788),(68 2592.2817),(69 2633.0942),(70 2560.077),(71 2575.2415),(72 2528.7126),(73 2573.2524),(74 2558.3816),(75 2626.8914),(76 2614.7417),(77 2649.1646),(78 2604.8342),(79 2627.443),
(1 1233.9265),(2 1606.2866),(3 1876.2229),(4 1973.7748),(5 2104.8242),(6 2194.3281),(7 2325.702),(8 2362.5442),(9 2454.088),(10 2441.0012),(11 2530.6826),(12 2475.6318),(13 2508.1907),(14 2470.0017),(15 2527.2935),(16 2529.0535),(17 2529.372),(18 2501.5693),(19 2568.4773),(20 2534.0408),(21 2617.6396),(22 2630.9905),(23 2692.4915),(24 2646.9507),(25 2703.3152),(26 2658.4666),(27 2743.777),(28 2667.9001),(29 2702.7305),(30 2639.653),(31 2662.1038),(32 2594.4365),(33 2594.5774),(34 2558.7258),(35 2624.2417),(36 2578.4248),(37 2618.9917),(38 2569.6802),(39 2651.0183),(40 2638.1187),(41 2715.0432),(42 2695.5508),(43 2668.1392),(44 2674.0596),(45 2606.9785),(46 2575.2283),(47 2633.184),(48 2598.5444),(49 2638.4392),(50 2575.1426),(51 2630.7317),(52 2577.446),(53 2619.1243),(54 2590.998),(55 2625.3923),(56 2601.4192),(57 2666.8933),(58 2639.693),(59 2727.5173),(60 2681.9512),(61 2722.0964),(62 2665.3616),(63 2721.875),(64 2688.205),(65 2710.4688),(66 2687.8806),(67 2673.463),(68 2646.9258),(69 2692.9607),(70 2654.2312),(71 2693.8232),(72 2614.2197),(73 2623.122),(74 2599.18),(75 2668.6575),(76 2616.7678),(77 2687.5688),(78 2629.4524),(79 2681.0486),
(1 1188.0704),(2 1567.9932),(3 1836.6736),(4 1928.9618),(5 2075.7612),(6 2160.0103),(7 2250.8308),(8 2264.6184),(9 2360.7605),(10 2328.0808),(11 2423.6572),(12 2389.2766),(13 2428.2712),(14 2382.794),(15 2455.925),(16 2437.1877),(17 2457.3328),(18 2458.0203),(19 2508.5203),(20 2490.6926),(21 2584.811),(22 2554.2173),(23 2627.3745),(24 2597.72),(25 2672.7363),(26 2642.594),(27 2685.9084),(28 2625.4204),(29 2627.69),(30 2563.0273),(31 2569.8525),(32 2508.95),(33 2541.1003),(34 2471.2625),(35 2510.2788),(36 2474.9058),(37 2520.7163),(38 2467.9666),(39 2534.6375),(40 2490.7146),(41 2583.1877),(42 2543.9026),(43 2537.3164),(44 2533.1953),(45 2512.246),(46 2484.1592),(47 2502.394),(48 2443.1067),(49 2462.6445),(50 2417.2275),(51 2489.328),(52 2409.8328),(53 2464.5576),(54 2464.3513),(55 2530.5283),(56 2489.4458),(57 2522.9429),(58 2505.7993),(59 2558.301),(60 2537.2695),(61 2591.847),(62 2566.2273),(63 2593.703),(64 2559.1045),(65 2561.9722),(66 2545.9663),(67 2567.8293),(68 2517.6472),(69 2547.3784),(70 2500.158),(71 2537.2603),(72 2490.1587),(73 2513.001),(74 2480.7288),(75 2541.6355),(76 2494.6511),(77 2550.3086),(78 2528.4304),(79 2598.8809),
(1 1191.7858),(2 1556.9331),(3 1805.8055),(4 1883.042),(5 1986.9586),(6 2074.7173),(7 2202.9326),(8 2214.2808),(9 2311.277),(10 2307.799),(11 2388.621),(12 2329.6816),(13 2369.4563),(14 2326.71),(15 2385.3855),(16 2361.5127),(17 2415.1816),(18 2416.5945),(19 2461.59),(20 2435.8997),(21 2460.035),(22 2467.4775),(23 2531.3755),(24 2483.817),(25 2545.7866),(26 2510.6445),(27 2562.532),(28 2548.246),(29 2569.9226),(30 2521.6191),(31 2528.292),(32 2477.9712),(33 2516.4963),(34 2454.3313),(35 2518.542),(36 2467.1714),(37 2491.0476),(38 2446.9595),(39 2500.6638),(40 2455.5156),(41 2549.715),(42 2514.0867),(43 2509.0342),(44 2550.959),(45 2495.0925),(46 2475.2258),(47 2514.3962),(48 2476.9412),(49 2497.828),(50 2420.6812),(51 2492.8445),(52 2442.3037),(53 2496.2737),(54 2464.1438),(55 2510.7021),(56 2477.6934),(57 2523.325),(58 2498.4946),(59 2547.612),(60 2532.7207),(61 2571.137),(62 2514.2246),(63 2560.4878),(64 2523.5068),(65 2511.7996),(66 2485.1045),(67 2489.6667),(68 2429.5725),(69 2441.486),(70 2404.5662),(71 2438.3806),(72 2397.242),(73 2441.4358),(74 2436.4092),(75 2494.3276),(76 2442.8965),(77 2519.5083),(78 2495.2913),(79 2550.4014),
(1 1165.9381),(2 1524.5352),(3 1757.6426),(4 1821.3221),(5 1933.114),(6 2006.3188),(7 2131.4036),(8 2124.276),(9 2235.827),(10 2201.0247),(11 2234.7996),(12 2200.6003),(13 2261.1367),(14 2256.0313),(15 2285.0737),(16 2252.6973),(17 2294.1018),(18 2294.561),(19 2318.745),(20 2301.06),(21 2347.8232),(22 2349.1875),(23 2435.309),(24 2373.1514),(25 2425.6711),(26 2371.802),(27 2431.0823),(28 2348.6587),(29 2361.8845),(30 2328.6016),(31 2364.6677),(32 2329.6797),(33 2350.2805),(34 2305.8103),(35 2348.491),(36 2307.8552),(37 2357.0203),(38 2351.2388),(39 2424.3022),(40 2365.3147),(41 2439.0688),(42 2401.8274),(43 2409.0007),(44 2439.1055),(45 2418.8394),(46 2383.107),(47 2414.3096),(48 2348.2234),(49 2378.0583),(50 2322.5427),(51 2381.4856),(52 2315.3813),(53 2350.68),(54 2287.8516),(55 2344.79),(56 2310.009),(57 2361.24),(58 2349.9187),(59 2430.726),(60 2396.2769),(61 2470.9524),(62 2407.0732),(63 2444.562),(64 2392.4568),(65 2414.839),(66 2402.4336),(67 2417.7615),(68 2355.8667),(69 2384.2131),(70 2330.1318),(71 2376.379),(72 2333.7295),(73 2369.5383),(74 2371.528),(75 2430.963),(76 2395.9297),(77 2428.6003),(78 2412.471),(79 2444.3542),
(1 1154.7432),(2 1493.6235),(3 1725.3711),(4 1810.8253),(5 1942.5615),(6 1998.2471),(7 2122.3242),(8 2144.2712),(9 2252.0684),(10 2217.1013),(11 2247.7915),(12 2176.8347),(13 2235.1016),(14 2224.2437),(15 2278.43),(16 2252.77),(17 2279.4817),(18 2288.9233),(19 2324.7466),(20 2291.272),(21 2345.0044),(22 2324.1265),(23 2360.0322),(24 2316.7554),(25 2376.6946),(26 2370.332),(27 2438.0771),(28 2372.3682),(29 2393.1477),(30 2317.2554),(31 2348.6394),(32 2298.7922),(33 2334.4512),(34 2293.792),(35 2357.2878),(36 2331.9775),(37 2405.5188),(38 2377.9744),(39 2441.2458),(40 2371.6775),(41 2440.1055),(42 2428.4731),(43 2436.918),(44 2469.968),(45 2437.0889),(46 2407.469),(47 2431.9912),(48 2377.8467),(49 2383.555),(50 2321.1724),(51 2354.3572),(52 2339.9814),(53 2368.9712),(54 2330.666),(55 2374.4482),(56 2356.4385),(57 2402.4924),(58 2378.1433),(59 2451.0571),(60 2420.9363),(61 2468.1877),(62 2426.0337),(63 2450.661),(64 2421.3982),(65 2431.6692),(66 2392.3215),(67 2402.2773),(68 2359.663),(69 2385.879),(70 2329.0786),(71 2356.8682),(72 2317.9475),(73 2374.5762),(74 2351.4717),(75 2394.7803),(76 2349.5562),(77 2381.8262),(78 2345.8516),(79 2384.002),
(1 1145.0892),(2 1478.9453),(3 1742.5334),(4 1803.9067),(5 1946.0679),(6 2004.1528),(7 2118.5374),(8 2134.4133),(9 2219.8154),(10 2162.9258),(11 2198.7473),(12 2152.8303),(13 2188.1821),(14 2170.9458),(15 2211.3276),(16 2212.7715),(17 2267.758),(18 2247.4094),(19 2302.4182),(20 2266.3157),(21 2315.3667),(22 2289.7083),(23 2355.5774),(24 2333.8047),(25 2415.2092),(26 2399.0642),(27 2444.002),(28 2379.2336),(29 2392.6118),(30 2339.324),(31 2358.8003),(32 2304.7458),(33 2328.433),(34 2300.502),(35 2340.1895),(36 2295.3975),(37 2349.6523),(38 2312.028),(39 2374.8323),(40 2343.4785),(41 2411.4458),(42 2363.326),(43 2365.1543),(44 2409.3074),(45 2350.7874),(46 2341.8628),(47 2355.1614),(48 2308.7747),(49 2324.234),(50 2276.4956),(51 2341.2197),(52 2289.1943),(53 2331.6826),(54 2292.5073),(55 2346.834),(56 2301.2344),(57 2366.4385),(58 2356.0295),(59 2428.9473),(60 2406.5542),(61 2441.5168),(62 2415.0686),(63 2410.921),(64 2365.3904),(65 2366.827),(66 2337.7063),(67 2355.2231),(68 2310.1992),(69 2340.1648),(70 2318.787),(71 2371.055),(72 2329.4392),(73 2366.629),(74 2356.4993),(75 2398.9883),(76 2339.7476),(77 2366.3977),(78 2316.97),(79 2370.4592),
(1 1122.057),(2 1435.2148),(3 1668.1445),(4 1740.9972),(5 1858.937),(6 1906.59),(7 2018.4257),(8 2047.4667),(9 2135.6943),(10 2099.0613),(11 2171.7314),(12 2120.0762),(13 2158.87),(14 2132.8604),(15 2164.1975),(16 2148.3281),(17 2181.9512),(18 2162.085),(19 2227.2117),(20 2227.558),(21 2272.0198),(22 2267.2573),(23 2337.31),(24 2288.489),(25 2337.869),(26 2308.9846),(27 2383.892),(28 2343.0889),(29 2360.1987),(30 2291.4866),(31 2301.2866),(32 2242.0913),(33 2270.084),(34 2234.9824),(35 2271.0242),(36 2226.441),(37 2285.986),(38 2247.7786),(39 2313.5193),(40 2256.5754),(41 2330.183),(42 2274.1213),(43 2249.9807),(44 2284.7322),(45 2250.666),(46 2247.0427),(47 2225.976),(48 2169.9148),(49 2177.0276),(50 2137.5513),(51 2180.1863),(52 2181.7502),(53 2230.578),(54 2196.4753),(55 2241.8025),(56 2230.6997),(57 2298.5667),(58 2270.5867),(59 2329.5764),(60 2309.0762),(61 2342.7622),(62 2296.8438),(63 2357.7656),(64 2326.6855),(65 2335.1802),(66 2305.5955),(67 2332.3953),(68 2264.3645),(69 2287.6775),(70 2242.1685),(71 2307.4329),(72 2257.8564),(73 2332.916),(74 2321.9878),(75 2396.823),(76 2325.8782),(77 2359.179),(78 2311.1257),(79 2331.0906),
(1 1110.9127),(2 1436.2565),(3 1649.4926),(4 1721.427),(5 1836.2937),(6 1894.705),(7 1998.317),(8 2019.7125),(9 2108.3613),(10 2084.0452),(11 2129.7593),(12 2085.4988),(13 2117.0623),(14 2116.1445),(15 2154.6367),(16 2163.951),(17 2217.3093),(18 2201.2573),(19 2276.9233),(20 2251.673),(21 2296.3665),(22 2286.0117),(23 2373.6877),(24 2329.352),(25 2385.0105),(26 2347.2502),(27 2392.0571),(28 2333.7014),(29 2348.3464),(30 2288.025),(31 2296.012),(32 2241.8167),(33 2288.5728),(34 2246.2017),(35 2272.3235),(36 2213.5623),(37 2249.1726),(38 2206.7874),(39 2258.8403),(40 2201.5574),(41 2281.287),(42 2238.484),(43 2250.6282),(44 2302.115),(45 2235.404),(46 2214.086),(47 2231.0586),(48 2174.2532),(49 2202.4722),(50 2163.9106),(51 2198.608),(52 2142.3274),(53 2182.8215),(54 2172.4978),(55 2218.721),(56 2218.1995),(57 2260.051),(58 2237.7466),(59 2304.849),(60 2285.0803),(61 2329.8738),(62 2310.115),(63 2350.3591),(64 2320.7202),(65 2332.5642),(66 2299.235),(67 2334.602),(68 2277.5493),(69 2293.1997),(70 2273.8782),(71 2299.765),(72 2276.6787),(73 2294.3796),(74 2283.7114),(75 2348.6804),(76 2300.7102),(77 2356.7986),(78 2315.0657),(79 2355.8955),
(1 1098.8889),(2 1407.6931),(3 1630.8783),(4 1719.9667),(5 1855.6287),(6 1914.3369),(7 2030.5405),(8 2055.9822),(9 2128.5386),(10 2098.8567),(11 2173.676),(12 2128.5535),(13 2163.5103),(14 2138.6553),(15 2198.1392),(16 2166.2107),(17 2199.909),(18 2184.9346),(19 2250.2341),(20 2235.065),(21 2316.02),(22 2274.6594),(23 2340.9453),(24 2300.1113),(25 2352.126),(26 2291.523),(27 2310.116),(28 2265.9033),(29 2304.0356),(30 2239.6677),(31 2269.9402),(32 2209.8223),(33 2222.7705),(34 2195.3477),(35 2249.0857),(36 2202.92),(37 2251.5247),(38 2214.2104),(39 2312.8862),(40 2258.259),(41 2353.023),(42 2345.3452),(43 2348.8328),(44 2388.3997),(45 2318.7278),(46 2311.3538),(47 2340.5642),(48 2271.9788),(49 2269.3179),(50 2221.2964),(51 2267.161),(52 2208.1848),(53 2258.6545),(54 2239.3325),(55 2286.83),(56 2248.1123),(57 2277.354),(58 2243.178),(59 2310.2747),(60 2277.7202),(61 2341.592),(62 2290.07),(63 2343.7668),(64 2304.4343),(65 2314.6958),(66 2295.9258),(67 2328.9575),(68 2299.9492),(69 2302.1936),(70 2263.3623),(71 2339.7305),(72 2302.903),(73 2346.3955),(74 2315.1125),(75 2379.649),(76 2344.199),(77 2410.7476),(78 2363.9146),(79 2375.943),
