1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 71594.78),(2 40934.355),(3 140994.7),(4 141372.56),(5 256068.42),(6 279510.63),(7 402792),(8 441328.9),(9 569454.56),(10 611762.94),(11 730566),(12 789171.44),(13 919992.25),(14 1007657.56),(15 1153830.4),(16 1242296.1),(17 1382829.9),(18 1501805.4),(19 1647988.6),(20 1780417.6),(21 1939015.4),(22 2084525.6),(23 2271491.8),(24 2462088),(25 2640706.8),(26 2823773),(27 3010556),(28 3191819),(29 3372359.8),(30 3559849.8),(31 3739355.8),(32 3917014),(33 4061020),(34 4219557.5),(35 4346692),(36 4477516),(37 4572984),(38 4707827.5),(39 4812760),(40 4927113.5),(41 5011307),(42 5117719.5),(43 5205448.5),(44 5311354.5),(45 5386933.5),(46 5482771.5),(47 5542512),(48 5633202),(49 5703438),(50 5806716.5),(51 5905575.5),(52 6024752),(53 6112028.5),(54 6248392.5),(55 6367188),(56 6516908.5),(57 6667272),(58 6840994),(59 6976473.5),(60 7144160),(61 7309197.5),(62 7511088),(63 7656377.5),(64 7837212.5),(65 7967093.5),(66 8136696.5),(67 8296175.5),(68 8527196),(69 8709227),(70 8910682),(71 9099831),(72 9333117),(73 9518133),(74 9745633),(75 9942991),(76 10187829),(77 10383409),(78 10628769),(79 10836895),
(1 708.1281),(2 560.67413),(3 995.1874),(4 774.8927),(5 1179.7733),(6 931.2116),(7 1298.4045),(8 1025.2479),(9 1361.5779),(10 1062.3777),(11 1376.4617),(12 1073.8),(13 1381.5376),(14 1070.6772),(15 1403.8881),(16 1124.9098),(17 1462.3682),(18 1176.6127),(19 1508.4309),(20 1209.137),(21 1527.8848),(22 1208.2274),(23 1500.691),(24 1171.5011),(25 1467.8545),(26 1126.1135),(27 1424.4642),(28 1096.1895),(29 1399.8282),(30 1075.2527),(31 1393.641),(32 1099.4885),(33 1425.6885),(34 1109.9058),(35 1442.1487),(36 1145.3373),(37 1460.3911),(38 1145.3695),(39 1448.5516),(40 1129.6022),(41 1442.7899),(42 1127.8109),(43 1442.4521),(44 1133.3899),(45 1445.1917),(46 1126.0764),(47 1440.425),(48 1130.1481),(49 1443.5437),(50 1140.6864),(51 1447.0675),(52 1141.3234),(53 1448.1101),(54 1127.7904),(55 1436.16),(56 1127.0742),(57 1428.6812),(58 1127.1946),(59 1429.0072),(60 1113.3063),(61 1427.8864),(62 1107.5092),(63 1423.4546),(64 1111.3339),(65 1431.1101),(66 1112.0476),(67 1411.5786),(68 1097.2352),(69 1388.9642),(70 1076.3759),(71 1368.1056),(72 1055.7302),(73 1366.462),(74 1067.7583),(75 1381.8529),(76 1092.0928),(77 1396.6704),(78 1111.5066),(79 1424.823),
(1 706.5249),(2 549.15356),(3 986.9367),(4 769.91486),(5 1188.5413),(6 930.4924),(7 1301.9335),(8 1014.32513),(9 1357.8574),(10 1037.2754),(11 1360.5602),(12 1050.9543),(13 1371.3474),(14 1043.0507),(15 1403.5133),(16 1100.2673),(17 1445.7332),(18 1152.1477),(19 1499.8704),(20 1190.2745),(21 1514.3643),(22 1188.3344),(23 1494.8245),(24 1152.0278),(25 1460.3157),(26 1112.7794),(27 1413.9755),(28 1070.0432),(29 1380.5016),(30 1059.9768),(31 1382.608),(32 1080.7037),(33 1413.3573),(34 1101.3826),(35 1444.2871),(36 1138.9353),(37 1462.3671),(38 1150.0765),(39 1469.2118),(40 1144.2716),(41 1455.9819),(42 1134.4779),(43 1451.2308),(44 1129.5603),(45 1454.4662),(46 1146.259),(47 1454.2814),(48 1144.635),(49 1472.4716),(50 1160.9982),(51 1476.8176),(52 1158.4097),(53 1480.5951),(54 1146.6361),(55 1445.2135),(56 1123.0472),(57 1422.715),(58 1102.032),(59 1415.9802),(60 1104.6494),(61 1421.3077),(62 1109.3488),(63 1421.1471),(64 1101.6625),(65 1419.3009),(66 1105.1774),(67 1400.9731),(68 1083.9874),(69 1380.2054),(70 1068.2295),(71 1362.8601),(72 1058.7275),(73 1380.3031),(74 1079.1576),(75 1400.9908),(76 1106.3088),(77 1421.7676),(78 1126.7311),(79 1439.4294),
(1 700.1508),(2 543.78436),(3 979.93994),(4 763.0963),(5 1169.7654),(6 925.0884),(7 1293.7726),(8 999.3888),(9 1338.3148),(10 1024.7899),(11 1345.1865),(12 1031.044),(13 1362.1477),(14 1037.0564),(15 1384.6172),(16 1084.6127),(17 1424.7294),(18 1117.8119),(19 1460.4746),(20 1157.6355),(21 1486.6533),(22 1145.5715),(23 1455.794),(24 1120.5895),(25 1418.7483),(26 1077.2118),(27 1382.1506),(28 1043.6611),(29 1348.9608),(30 1024.8656),(31 1336.7975),(32 1039.5929),(33 1365.2454),(34 1060.33),(35 1388.4475),(36 1087.6273),(37 1422.5115),(38 1108.707),(39 1431.5465),(40 1116.389),(41 1427.2982),(42 1115.1675),(43 1423.4404),(44 1114.5481),(45 1421.7631),(46 1112.8325),(47 1427.5226),(48 1116.2217),(49 1432.9215),(50 1119.9235),(51 1443.3379),(52 1115.7571),(53 1427.5453),(54 1104.5626),(55 1410.6378),(56 1090.0328),(57 1396.3995),(58 1092.2859),(59 1392.7007),(60 1076.6622),(61 1394.5707),(62 1082.2015),(63 1401.1544),(64 1086.1453),(65 1406.9194),(66 1091.4384),(67 1386.0532),(68 1072.6431),(69 1367.5808),(70 1048.3988),(71 1351.65),(72 1037.7262),(73 1354.8424),(74 1053.0924),(75 1370.486),(76 1066.8665),(77 1392.807),(78 1095.3446),(79 1417.0243),
(1 695.77496),(2 528.43274),(3 963.9644),(4 741.217),(5 1152.026),(6 906.9038),(7 1267.5383),(8 982.1014),(9 1309.7391),(10 1004.38074),(11 1323.4297),(12 1023.3438),(13 1350.0863),(14 1032.9618),(15 1380.4417),(16 1077.8783),(17 1429.4657),(18 1118.1256),(19 1459.6002),(20 1155.5271),(21 1489.9451),(22 1154.2587),(23 1460.392),(24 1124.5032),(25 1431.8242),(26 1092.2987),(27 1385.0708),(28 1044.6611),(29 1355.2465),(30 1037.041),(31 1363.244),(32 1049.8744),(33 1376.7998),(34 1071.2892),(35 1398.49),(36 1090.5231),(37 1414.4446),(38 1096.6514),(39 1417.4808),(40 1090.1887),(41 1414.058),(42 1099.3608),(43 1410.0476),(44 1089.017),(45 1409.4891),(46 1095.4987),(47 1410.5591),(48 1100.0653),(49 1416.5802),(50 1103.3232),(51 1424.2963),(52 1096.4325),(53 1411.0167),(54 1088.2659),(55 1396.1498),(56 1073.0946),(57 1374.0664),(58 1048.9999),(59 1353.3872),(60 1042.9606),(61 1364.2605),(62 1055.1841),(63 1370.1814),(64 1051.4387),(65 1365.3464),(66 1043.5178),(67 1342.7037),(68 1032.2853),(69 1330.3484),(70 1007.85565),(71 1306.1038),(72 1003.5059),(73 1306.0382),(74 1007.6521),(75 1320.2759),(76 1028.3857),(77 1340.2286),(78 1056.498),(79 1375.2501),
(1 674.4552),(2 514.3885),(3 928.266),(4 711.2795),(5 1099.3683),(6 854.7895),(7 1195.4246),(8 922.3703),(9 1236.5171),(10 932.8307),(11 1246.9883),(12 942.28687),(13 1244.4148),(14 944.5362),(15 1278.7538),(16 989.46094),(17 1312.5934),(18 1021.1267),(19 1344.2822),(20 1061.31),(21 1366.7412),(22 1055.0134),(23 1346.5968),(24 1035.0067),(25 1327.4622),(26 1005.41705),(27 1296.2633),(28 981.1349),(29 1277.3254),(30 978.24194),(31 1290.3632),(32 1000.2986),(33 1326.0295),(34 1032.2369),(35 1337.0812),(36 1047.5123),(37 1357.6886),(38 1058.0659),(39 1372.4974),(40 1068.1779),(41 1370.0569),(42 1067.3323),(43 1370.5532),(44 1061.2946),(45 1365.1849),(46 1059.556),(47 1360.1725),(48 1060.9386),(49 1365.8595),(50 1061.9174),(51 1357.5109),(52 1053.8116),(53 1349.1561),(54 1041.6447),(55 1335.8765),(56 1029.5992),(57 1323.6919),(58 1018.0241),(59 1309.0596),(60 1012.4611),(61 1310.5316),(62 1005.3755),(63 1301.217),(64 996.4077),(65 1285.2717),(66 989.0607),(67 1268.376),(68 972.05707),(69 1257.3417),(70 959.87445),(71 1246.2906),(72 956.8056),(73 1259.1262),(74 971.6324),(75 1261.9037),(76 989.597),(77 1290.09),(78 1001.85974),(79 1302.6304),
(1 677.8873),(2 509.0149),(3 926.8871),(4 701.93634),(5 1097.5851),(6 840.36707),(7 1192.0798),(8 912.80505),(9 1246.6537),(10 935.83105),(11 1262.7806),(12 963.5279),(13 1266.8387),(14 964.1866),(15 1305.7385),(16 1005.39197),(17 1350.3643),(18 1050.0817),(19 1379.367),(20 1089.9425),(21 1398.1011),(22 1079.8286),(23 1370.1329),(24 1043.872),(25 1337.9514),(26 1003.1835),(27 1294.1976),(28 970.47437),(29 1278.1736),(30 962.16455),(31 1284.4934),(32 992.4699),(33 1317.3945),(34 1012.8178),(35 1325.8933),(36 1030.6846),(37 1339.0005),(38 1030.6547),(39 1344.758),(40 1025.6469),(41 1338.6954),(42 1032.673),(43 1343.7789),(44 1029.3884),(45 1339.2717),(46 1024.202),(47 1333.6926),(48 1021.3388),(49 1333.7964),(50 1025.959),(51 1339.3422),(52 1027.984),(53 1340.3815),(54 1022.3271),(55 1326.9984),(56 1015.0001),(57 1308.6296),(58 999.744),(59 1300.636),(60 998.60144),(61 1310.6644),(62 1007.34186),(63 1307.8206),(64 1003.7513),(65 1308.6451),(66 995.4334),(67 1293.2891),(68 982.30316),(69 1275.6906),(70 964.39197),(71 1265.8488),(72 961.3734),(73 1270.5796),(74 965.5497),(75 1269.0089),(76 969.4817),(77 1283.6248),(78 997.4869),(79 1311.8036),
(1 663.85535),(2 497.91284),(3 897.71655),(4 675.1573),(5 1049.891),(6 804.13995),(7 1143.1678),(8 866.0727),(9 1185.0869),(10 886.7623),(11 1192.5264),(12 912.1777),(13 1207.223),(14 911.4228),(15 1230.3871),(16 933.65466),(17 1248.2094),(18 940.9876),(19 1267.3689),(20 973.07587),(21 1290.9991),(22 987.29083),(23 1271.8185),(24 956.1436),(25 1251.0627),(26 932.22986),(27 1230.7253),(28 908.8107),(29 1210.0516),(30 909.6985),(31 1213.7391),(32 922.0459),(33 1238.5708),(34 945.5971),(35 1262.9912),(36 968.50543),(37 1271.5692),(38 964.17126),(39 1268.3066),(40 965.17163),(41 1276.0903),(42 972.713),(43 1276.9949),(44 966.6339),(45 1279.3907),(46 974.1357),(47 1274.2439),(48 972.5307),(49 1271.4684),(50 972.7585),(51 1274.6752),(52 974.87445),(53 1272.4249),(54 959.3877),(55 1259.9226),(56 952.3394),(57 1242.36),(58 941.0515),(59 1234.4607),(60 938.07513),(61 1245.3037),(62 943.5998),(63 1240.4167),(64 937.6551),(65 1229.1681),(66 924.7996),(67 1218.7559),(68 917.05817),(69 1208.1813),(70 907.2462),(71 1197.2344),(72 898.9633),(73 1198.1453),(74 908.29144),(75 1213.3832),(76 931.22577),(77 1238.8557),(78 944.75793),(79 1257.9736),
(1 656.1904),(2 486.25406),(3 903.18317),(4 682.6506),(5 1056.0236),(6 818.07635),(7 1151.9995),(8 876.3185),(9 1191.8049),(10 887.25616),(11 1191.6702),(12 900.52765),(13 1199.2195),(14 898.44025),(15 1219.2422),(16 938.56323),(17 1262.0315),(18 971.29663),(19 1289.4448),(20 1003.63367),(21 1308.4865),(22 1002.83276),(23 1279.9613),(24 964.9701),(25 1254.5305),(26 934.67053),(27 1217.8231),(28 915.6036),(29 1210.6893),(30 918.29065),(31 1217.1455),(32 940.6488),(33 1250.7653),(34 967.1181),(35 1272.4612),(36 986.5929),(37 1285.2476),(38 982.88214),(39 1272.2849),(40 978.86615),(41 1271.5609),(42 975.5552),(43 1265.0494),(44 970.70386),(45 1270.119),(46 985.6055),(47 1275.2417),(48 980.40826),(49 1273.7783),(50 981.64374),(51 1273.01),(52 979.78235),(53 1271.6766),(54 970.2182),(55 1255.7057),(56 957.19714),(57 1246.491),(58 948.33795),(59 1235.4283),(60 941.7362),(61 1232.7738),(62 934.07837),(63 1220.895),(64 924.60266),(65 1214.2063),(66 917.9719),(67 1208.2329),(68 915.77405),(69 1203.3522),(70 906.91077),(71 1200.8273),(72 912.8177),(73 1216.2097),(74 930.5228),(75 1222.5914),(76 946.541),(77 1252.3313),(78 966.70746),(79 1266.427),
(1 656.40686),(2 487.827),(3 893.66846),(4 667.98566),(5 1045.1531),(6 796.8018),(7 1142.3219),(8 867.716),(9 1184.5449),(10 880.56647),(11 1184.1486),(12 887.8086),(13 1187.5807),(14 894.64636),(15 1213.6117),(16 925.5333),(17 1239.4094),(18 949.8029),(19 1261.9374),(20 973.7674),(21 1275.0222),(22 970.09436),(23 1248.3999),(24 945.8621),(25 1234.7709),(26 916.9036),(27 1200.9128),(28 900.8879),(29 1195.2195),(30 899.8053),(31 1205.7236),(32 920.9335),(33 1226.1442),(34 946.47614),(35 1251.8804),(36 964.9332),(37 1252.4243),(38 953.5991),(39 1238.7633),(40 939.97626),(41 1234.2347),(42 939.4647),(43 1221.1563),(44 928.0197),(45 1221.1036),(46 926.8931),(47 1224.6604),(48 932.98724),(49 1223.0216),(50 930.1494),(51 1224.1409),(52 927.69916),(53 1219.3759),(54 915.88904),(55 1207.6871),(56 907.1531),(57 1197.338),(58 899.9815),(59 1188.394),(60 895.31104),(61 1194.7092),(62 900.9635),(63 1195.4415),(64 906.87146),(65 1195.4984),(66 898.92535),(67 1186.6482),(68 893.72314),(69 1183.0118),(70 883.12225),(71 1179.8293),(72 878.54205),(73 1182.3848),(74 901.8427),(75 1195.9047),(76 910.3434),(77 1202.7196),(78 916.10406),(79 1208.343),
(1 637.58984),(2 468.99637),(3 862.4479),(4 637.22217),(5 998.7857),(6 761.2152),(7 1091.0254),(8 811.8156),(9 1115.1796),(10 817.51953),(11 1122.1956),(12 838.9418),(13 1140.7465),(14 845.77875),(15 1152.9624),(16 873.6579),(17 1183.2318),(18 895.0293),(19 1205.5127),(20 919.1593),(21 1217.7527),(22 915.25134),(23 1190.9298),(24 884.9197),(25 1164.3434),(26 849.96326),(27 1131.5121),(28 827.0675),(29 1123.1628),(30 831.30664),(31 1138.0211),(32 859.9334),(33 1165.1284),(34 880.6601),(35 1179.9247),(36 898.7475),(37 1195.847),(38 899.616),(39 1189.2012),(40 894.02094),(41 1182.1337),(42 892.8739),(43 1185.5171),(44 895.25146),(45 1181.354),(46 883.21497),(47 1174.6383),(48 883.6273),(49 1165.6284),(50 874.1935),(51 1168.3293),(52 884.73676),(53 1173.9788),(54 878.73926),(55 1161.9375),(56 872.4588),(57 1153.6926),(58 851.20667),(59 1140.4136),(60 854.9763),(61 1145.1776),(62 847.7943),(63 1143.7946),(64 849.066),(65 1137.3812),(66 848.135),(67 1134.1664),(68 844.5151),(69 1129.1346),(70 826.861),(71 1109.0464),(72 825.0031),(73 1116.0969),(74 834.23004),(75 1125.699),(76 847.677),(77 1140.0082),(78 862.9288),(79 1149.8267),
(1 643.0696),(2 470.23395),(3 868.11383),(4 645.81616),(5 1009.9154),(6 766.5912),(7 1094.0546),(8 824.4382),(9 1138.1306),(10 845.0471),(11 1139.0636),(12 852.33136),(13 1147.1857),(14 848.22723),(15 1162.3049),(16 879.66077),(17 1202.0013),(18 908.4099),(19 1225.0311),(20 937.31525),(21 1228.3782),(22 925.47217),(23 1210.0974),(24 901.23425),(25 1190.3569),(26 877.49365),(27 1158.2648),(28 852.71265),(29 1149.5591),(30 859.0268),(31 1158.7615),(32 880.26953),(33 1183.9657),(34 891.61285),(35 1192.304),(36 904.41376),(37 1204.5658),(38 902.61664),(39 1192.8429),(40 899.53424),(41 1186.4338),(42 897.18634),(43 1189.4827),(44 894.9884),(45 1178.4252),(46 882.5296),(47 1170.032),(48 875.74084),(49 1164.5829),(50 877.36237),(51 1169.4257),(52 879.3605),(53 1169.9326),(54 871.4155),(55 1156.7585),(56 866.2539),(57 1160.6738),(58 871.0082),(59 1154.9506),(60 867.2168),(61 1155.6805),(62 865.50183),(63 1156.2966),(64 867.498),(65 1156.3927),(66 866.55963),(67 1150.2145),(68 859.5926),(69 1139.446),(70 839.1175),(71 1118.4635),(72 836.6429),(73 1121.0347),(74 838.66077),(75 1138.5713),(76 866.3896),(77 1162.4094),(78 893.7281),(79 1188.2219),
(1 629.9196),(2 461.6106),(3 843.4207),(4 626.0611),(5 983.29016),(6 737.48303),(7 1061.8832),(8 794.28735),(9 1091.4683),(10 792.7102),(11 1082.2163),(12 802.32654),(13 1091.218),(14 809.0179),(15 1118.6302),(16 846.4213),(17 1157.7),(18 871.0387),(19 1175.4423),(20 896.4455),(21 1185.6158),(22 883.36084),(23 1157.6953),(24 858.7243),(25 1136.6439),(26 822.5462),(27 1098.6482),(28 797.7867),(29 1087.1134),(30 801.5775),(31 1116.636),(32 848.0583),(33 1147.262),(34 861.98474),(35 1161.2211),(36 879.02966),(37 1170.3994),(38 879.40814),(39 1167.1288),(40 873.31384),(41 1158.7831),(42 865.7926),(43 1155.8628),(44 863.96277),(45 1156.6044),(46 867.0162),(47 1154.8756),(48 865.116),(49 1153.8529),(50 865.1242),(51 1154.6151),(52 866.2772),(53 1152.3871),(54 859.2188),(55 1145.8156),(56 859.702),(57 1147.5872),(58 855.8794),(59 1144.3622),(60 850.01416),(61 1126.7588),(62 844.3877),(63 1124.3795),(64 835.07166),(65 1119.104),(66 833.0975),(67 1117.4695),(68 831.9167),(69 1111.2991),(70 818.89655),(71 1101.1469),(72 819.1031),(73 1105.9491),(74 826.1612),(75 1118.9539),(76 845.571),(77 1134.9397),(78 859.826),(79 1152.7026),
(1 615.34143),(2 446.8813),(3 824.78253),(4 611.7535),(5 960.4429),(6 721.0518),(7 1048.589),(8 781.3602),(9 1075.7571),(10 786.58636),(11 1065.6244),(12 780.3037),(13 1061.9991),(14 783.8908),(15 1094.2556),(16 811.6205),(17 1120.7019),(18 834.8424),(19 1131.0195),(20 854.54407),(21 1144.4316),(22 850.3733),(23 1127.5665),(24 830.6968),(25 1108.2223),(26 807.91235),(27 1085.413),(28 798.5575),(29 1086.4501),(30 796.93585),(31 1094.9692),(32 827.9182),(33 1125.5135),(34 836.3402),(35 1128.2278),(36 853.19604),(37 1145.7769),(38 855.4861),(39 1142.3864),(40 851.899),(41 1136.8959),(42 846.9749),(43 1137.633),(44 850.05646),(45 1137.2689),(46 845.3822),(47 1131.7609),(48 848.1765),(49 1137.1698),(50 846.7434),(51 1125.7517),(52 843.06683),(53 1123.8872),(54 831.1713),(55 1111.4597),(56 820.921),(57 1100.7578),(58 816.6307),(59 1097.5024),(60 818.0546),(61 1098.9667),(62 818.4738),(63 1101.7101),(64 815.3761),(65 1098.7554),(66 814.1591),(67 1089.4666),(68 802.2572),(69 1083.4248),(70 796.88464),(71 1073.5659),(72 796.62445),(73 1083.3729),(74 799.4339),(75 1094.9938),(76 816.2216),(77 1105.6709),(78 815.97327),(79 1097.7952),
(1 607.18646),(2 442.69165),(3 813.92163),(4 595.245),(5 934.8982),(6 701.34296),(7 1015.02936),(8 754.26056),(9 1040.9518),(10 762.33795),(11 1040.7286),(12 762.8818),(13 1047.1207),(14 769.3671),(15 1059.967),(16 784.3182),(17 1079.7622),(18 807.57385),(19 1098.9292),(20 826.8154),(21 1109.9058),(22 821.8969),(23 1090.1355),(24 803.8043),(25 1076.6819),(26 778.2201),(27 1044.502),(28 773.0711),(29 1054.7002),(30 780.53107),(31 1067.0992),(32 803.8665),(33 1089.3605),(34 812.56824),(35 1102.0026),(36 835.6237),(37 1108.6067),(38 825.63434),(39 1097.7914),(40 816.9698),(41 1091.0526),(42 814.201),(43 1085.156),(44 815.1174),(45 1087.0835),(46 807.79724),(47 1082.061),(48 805.19836),(49 1079.8124),(50 804.5423),(51 1072.644),(52 800.7774),(53 1074.9082),(54 796.90466),(55 1068.9954),(56 798.6916),(57 1069.9502),(58 793.7843),(59 1066.2465),(60 796.96204),(61 1067.6558),(62 793.3622),(63 1061.8568),(64 789.3019),(65 1049.9954),(66 778.4672),(67 1037.8239),(68 767.91864),(69 1033.5988),(70 762.0083),(71 1028.6637),(72 766.2698),(73 1037.691),(74 778.7182),(75 1070.2936),(76 805.30347),(77 1079.2034),(78 817.62897),(79 1094.3473),
(1 611.64734),(2 439.46387),(3 811.69104),(4 587.1943),(5 937.733),(6 696.49475),(7 1020.1468),(8 749.72406),(9 1049.3468),(10 756.6528),(11 1044.4387),(12 765.6607),(13 1043.3826),(14 771.98083),(15 1079.0245),(16 790.69586),(17 1098.0405),(18 810.7017),(19 1109.7115),(20 825.6783),(21 1113.642),(22 823.42194),(23 1096.0072),(24 803.0978),(25 1078.2529),(26 770.2044),(27 1040.7479),(28 752.09357),(29 1032.953),(30 754.87067),(31 1042.9408),(32 773.69037),(33 1069.2466),(34 785.2134),(35 1076.3477),(36 796.74164),(37 1082.9766),(38 797.79517),(39 1076.7997),(40 786.77124),(41 1060.4822),(42 779.62134),(43 1059.1104),(44 779.25977),(45 1059.9127),(46 778.81555),(47 1061.1652),(48 779.8626),(49 1058.7542),(50 776.2841),(51 1050.4092),(52 771.7193),(53 1053.3341),(54 771.2575),(55 1054.7997),(56 776.0167),(57 1056.996),(58 778.3047),(59 1057.4471),(60 776.9121),(61 1057.3778),(62 776.4112),(63 1050.9937),(64 772.23883),(65 1053.6407),(66 777.93805),(67 1048.073),(68 771.69257),(69 1044.7991),(70 768.5006),(71 1040.4834),(72 768.239),(73 1049.4886),(74 779.66406),(75 1063.9061),(76 788.203),(77 1070.8895),(78 792.1876),(79 1070.2144),
(1 609.4982),(2 432.15604),(3 815.5087),(4 583.2324),(5 936.0546),(6 682.6288),(7 1001.6428),(8 723.2689),(9 1025.5446),(10 733.2041),(11 1018.6179),(12 735.3788),(13 1027.3947),(14 753.2624),(15 1059.4032),(16 782.6844),(17 1081.283),(18 796.5543),(19 1089.7435),(20 805.3231),(21 1095.7827),(22 796.28735),(23 1068.5187),(24 772.6277),(25 1052.0106),(26 745.61584),(27 1022.80237),(28 723.87256),(29 1008.7739),(30 726.73004),(31 1029.2195),(32 757.70514),(33 1053.1367),(34 774.81995),(35 1072.0228),(36 786.39185),(37 1069.3063),(38 778.94934),(39 1062.0944),(40 771.9779),(41 1057.8317),(42 775.99274),(43 1060.618),(44 775.3263),(45 1063.548),(46 774.4955),(47 1061.5094),(48 769.06464),(49 1053.4489),(50 768.5751),(51 1051.7821),(52 763.0327),(53 1048.0632),(54 759.331),(55 1045.9204),(56 757.05255),(57 1036.2323),(58 746.36273),(59 1030.166),(60 748),(61 1034.3959),(62 749.109),(63 1037.4791),(64 746.7458),(65 1030.536),(66 735.4943),(67 1017.99634),(68 730.77954),(69 1012.5521),(70 730.5157),(71 1010.3097),(72 737.2084),(73 1024.4846),(74 744.6305),(75 1033.3315),(76 745.6522),(77 1037.502),(78 749.5989),(79 1035.8358),
