1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 203919.42),(2 562485.2),(3 882198.8),(4 1200133.1),(5 1582555),(6 1952062.1),(7 2259436.8),(8 2516771.8),(9 2739225.8),(10 3129988.8),(11 3495771),(12 3884250),(13 4244400.5),(14 4551337.5),(15 4840519.5),(16 5000094.5),(17 5108614.5),(18 5212156),(19 5323537.5),(20 5541835.5),(21 5705391.5),(22 5794377.5),(23 5936660.5),(24 6139368),(25 6366262.5),(26 6696866),(27 6971364.5),(28 7044243.5),(29 7078231.5),(30 6967235.5),(31 6751065.5),(32 6557044.5),(33 6369568.5),(34 6162994.5),(35 5896548),(36 5642412.5),(37 5586348.5),(38 5685145.5),(39 5605832),(40 5358024.5),(41 5190711),(42 5127028),(43 5095940.5),(44 5081890),(45 5224718.5),(46 5390680),(47 5469081.5),(48 5541716),(49 5728868.5),(50 5949642.5),(51 6123184.5),(52 6283025.5),(53 6391623.5),(54 6351994.5),(55 6389570.5),(56 6444578),(57 6553547.5),(58 6465238),(59 6408038.5),(60 6366084),(61 6554661.5),(62 6735674.5),(63 7012985.5),(64 7314306),(65 7440557.5),(66 7337004),(67 7294863.5),(68 7454207.5),(69 7659403.5),(70 7814478),(71 8050631.5),(72 8170805.5),(73 8279106),(74 8325474.5),(75 8217368),(76 8148937.5),(77 8345715.5),(78 8669792),(79 9033312),
(1 79555.2),(2 178401.45),(3 191831.05),(4 185296.52),(5 198983.45),(6 208255.9),(7 208962.55),(8 208197.86),(9 214061.33),(10 220059.92),(11 225976.95),(12 223764.7),(13 225120.3),(14 223667.25),(15 229799.06),(16 236055.8),(17 233199.14),(18 223360.64),(19 217374.52),(20 224982.78),(21 241937.25),(22 242560.94),(23 229559.63),(24 220405.95),(25 229486.36),(26 238867.84),(27 245107.1),(28 246302.39),(29 247389.33),(30 245954.05),(31 245321.84),(32 249999.3),(33 257807.95),(34 255985.4),(35 249316.36),(36 239523.45),(37 240772.16),(38 237849.25),(39 225567.69),(40 221928.67),(41 229979.78),(42 235228.31),(43 234458.95),(44 221131),(45 222330.38),(46 229002.67),(47 239200.78),(48 242421.45),(49 244583),(50 249506.23),(51 254676.64),(52 248898),(53 241581.84),(54 244933.47),(55 252315.16),(56 244721.77),(57 244135.77),(58 246856.7),(59 246006.55),(60 247121.48),(61 249273.28),(62 247355.63),(63 251094.78),(64 249433.36),(65 248649.56),(66 249162.75),(67 244415.17),(68 235187.2),(69 235634.56),(70 232526.95),(71 230610.84),(72 227185.75),(73 231507.2),(74 232259.02),(75 228613.56),(76 226829.45),(77 236208.28),(78 232983.9),(79 225561.14),
(1 73457.37),(2 162899.8),(3 176722.8),(4 176049.83),(5 187245.25),(6 198584.11),(7 202734.83),(8 200289.69),(9 204166.36),(10 208986.8),(11 208074.25),(12 205394.73),(13 210464.64),(14 212703.55),(15 216371.08),(16 222288.08),(17 224043.7),(18 214791.14),(19 204711.56),(20 206053.92),(21 214129.75),(22 211520.39),(23 205872.61),(24 200863.81),(25 212662.83),(26 224087.63),(27 220067.11),(28 210167.69),(29 207536.13),(30 207494.42),(31 208247.48),(32 211598.36),(33 217294.13),(34 217968.13),(35 219725),(36 217049.75),(37 216913.83),(38 213981.02),(39 202461.63),(40 194277.25),(41 199477.7),(42 206485.36),(43 207610.38),(44 196063.27),(45 196463.83),(46 205448),(47 208344.38),(48 204167.64),(49 203155.88),(50 212817),(51 228597.38),(52 228029.2),(53 223801.95),(54 227993.2),(55 235999.92),(56 231304.45),(57 227902.61),(58 225414.25),(59 226261.56),(60 229298.05),(61 230006.83),(62 228621.55),(63 234228.44),(64 228523.14),(65 225104.48),(66 225674.45),(67 221038.64),(68 214790.13),(69 218542.08),(70 220011.88),(71 218285.75),(72 207651.17),(73 210696.19),(74 218752.38),(75 217228.83),(76 207644.83),(77 210285.13),(78 213402.11),(79 211552.31),
(1 70449.164),(2 158187.69),(3 175875.75),(4 175018.47),(5 187206.63),(6 198923.56),(7 198715.2),(8 195234.11),(9 204924.3),(10 211669.61),(11 203138.22),(12 194297.25),(13 200906.38),(14 202765.73),(15 198338.53),(16 196515.72),(17 202677.19),(18 202417.11),(19 199890.64),(20 200575.27),(21 207751.83),(22 206691.33),(23 199649.33),(24 188711.64),(25 193497.13),(26 200448.11),(27 201226.27),(28 194800.56),(29 195335.45),(30 193452.36),(31 189249.28),(32 189499.16),(33 195469.48),(34 193865.27),(35 195248.45),(36 190530.17),(37 192898.55),(38 195524.55),(39 193086.58),(40 190122.81),(41 200235.64),(42 200574.34),(43 193230.83),(44 185659.83),(45 184197.55),(46 183050.28),(47 188001.2),(48 189133.11),(49 187091.17),(50 186326.88),(51 195894.75),(52 198734.48),(53 198112.64),(54 202967.25),(55 214277.81),(56 211717.97),(57 210399.42),(58 208514.61),(59 203615.48),(60 201069.47),(61 202954.34),(62 208850.7),(63 215732.44),(64 214187.64),(65 210275.63),(66 210077.92),(67 207763.94),(68 195246.64),(69 196090.33),(70 204261.48),(71 205630.81),(72 196213.88),(73 200683.06),(74 211041.45),(75 210956.98),(76 200699.36),(77 200620.33),(78 201669.81),(79 195067.84),
(1 65305.43),(2 149631.3),(3 164620.78),(4 157911.52),(5 172589.56),(6 183701.98),(7 179100.33),(8 174298.92),(9 189340.95),(10 196945.72),(11 185374.28),(12 174729.84),(13 176405.02),(14 179067.31),(15 175606.55),(16 179606.28),(17 192484.84),(18 190925.78),(19 181463.63),(20 179863.56),(21 185195.8),(22 188771.31),(23 184862.75),(24 175029.94),(25 178687.72),(26 188494.67),(27 190252.78),(28 184338.14),(29 187079.75),(30 187693.38),(31 187911.48),(32 188278.94),(33 197328.52),(34 197995.69),(35 195269.17),(36 186069.06),(37 189688.36),(38 191746.45),(39 191523.4),(40 192729.75),(41 197539.88),(42 192206.94),(43 184348.94),(44 175677.33),(45 174457.31),(46 179644.06),(47 183608.92),(48 181439.22),(49 177918),(50 177023.22),(51 180128.94),(52 179978.47),(53 178667.72),(54 183010.33),(55 193205.47),(56 191833.06),(57 189573.7),(58 186590.36),(59 187285.14),(60 184099.92),(61 177935.78),(62 183702.63),(63 195728.9),(64 193773.48),(65 191297.39),(66 189343.63),(67 187129.77),(68 176796.25),(69 174341.8),(70 178830.64),(71 179408.8),(72 174139.48),(73 182106.22),(74 196782.25),(75 197821.83),(76 186471.14),(77 183448.77),(78 186970.6),(79 184136.33),
(1 60571.2),(2 133639.22),(3 147169.97),(4 142462.53),(5 155884.03),(6 173305.45),(7 173115.98),(8 165597.88),(9 172223.98),(10 177435.16),(11 170856.42),(12 160952.9),(13 165232.95),(14 172061.31),(15 169336.55),(16 165434.42),(17 170410.11),(18 166385.25),(19 157831.14),(20 152317.25),(21 157362.86),(22 168226.58),(23 169574.42),(24 159453.52),(25 163256.92),(26 172981.38),(27 172354.48),(28 162781.25),(29 162502.42),(30 165372.95),(31 164100.77),(32 164521.81),(33 174089.75),(34 177103.4),(35 176073.53),(36 173372.66),(37 176511.48),(38 173432.89),(39 168225.34),(40 164075.8),(41 168507.22),(42 172531.13),(43 170611.81),(44 163890.66),(45 162823.9),(46 166121.22),(47 166628.4),(48 158756.56),(49 160117.45),(50 160507.67),(51 162752.92),(52 159870.77),(53 158169.6),(54 163057.95),(55 170970),(56 167414.48),(57 163542.98),(58 164941.1),(59 168999.03),(60 169718.38),(61 167915.95),(62 171756.53),(63 182939.02),(64 182261.02),(65 180310.36),(66 179639.48),(67 178588.47),(68 169699.8),(69 164346.13),(70 164450.77),(71 163440.22),(72 158577.56),(73 168326),(74 177370.34),(75 173157.58),(76 165088.95),(77 167715.64),(78 169559.45),(79 172801.52),
(1 56375.59),(2 124774.914),(3 136482.36),(4 131700.98),(5 144610.06),(6 157975.2),(7 156748.08),(8 149642.55),(9 150800.47),(10 156751.22),(11 154875.22),(12 151302.4),(13 155580.97),(14 159896.95),(15 161384.02),(16 160016.81),(17 154872.64),(18 147595.73),(19 146103.06),(20 149650.39),(21 155749.75),(22 158161.17),(23 154330.92),(24 144621.52),(25 150422.72),(26 155874.53),(27 156598.5),(28 153727.1),(29 157749.02),(30 160891.05),(31 156200.97),(32 147208.36),(33 150088.52),(34 154457.33),(35 154004.19),(36 152217.6),(37 162298.6),(38 162059.25),(39 151136.75),(40 141212.19),(41 141181.1),(42 147957.36),(43 151515.67),(44 144197.67),(45 143993.6),(46 149106.1),(47 150588.11),(48 143423.56),(49 145500.67),(50 150323.6),(51 154887.14),(52 153188.48),(53 151696.42),(54 152428.52),(55 154582.25),(56 151823.78),(57 152868.83),(58 151067.23),(59 151291.61),(60 150482.9),(61 148254.22),(62 150592.67),(63 160101.42),(64 161994.72),(65 159240.5),(66 156923.47),(67 154999.67),(68 152147.83),(69 151840.8),(70 152320.1),(71 150219),(72 142335.39),(73 145983.31),(74 153000.23),(75 155183.31),(76 151628.75),(77 150725.98),(78 147299.36),(79 147752.05),
(1 50573.14),(2 111006.51),(3 126027.04),(4 126813.21),(5 134381.52),(6 138281.16),(7 140247.97),(8 139323.33),(9 141617.83),(10 144100.98),(11 140825.02),(12 137645.95),(13 140346.63),(14 141072.78),(15 142683.02),(16 148129.92),(17 149383.11),(18 143688.45),(19 137555.27),(20 136079.7),(21 142949.19),(22 146835.16),(23 141322.17),(24 129052.56),(25 132241.94),(26 137636.1),(27 138306.94),(28 136332.56),(29 142013.28),(30 148580.42),(31 145887.92),(32 138329.25),(33 139369.67),(34 143419.42),(35 143766.16),(36 141641.58),(37 147291.6),(38 145200.11),(39 140240.64),(40 135883.25),(41 138087.7),(42 140009.25),(43 140552.7),(44 134684.53),(45 134743.3),(46 137171.25),(47 141052.8),(48 139118.02),(49 141153.52),(50 144652.3),(51 144741.27),(52 141538.34),(53 144857.9),(54 148043.67),(55 147060.13),(56 142027.94),(57 142168.5),(58 140737.83),(59 142458.88),(60 140645.75),(61 139721.8),(62 144472.98),(63 152222.67),(64 152805.69),(65 150340.27),(66 151710.72),(67 153953.06),(68 144755.11),(69 139437.38),(70 139086.8),(71 139671.81),(72 136887.97),(73 140096.36),(74 147311.84),(75 154717.67),(76 151878.3),(77 150988.63),(78 147693.3),(79 141046.06),
(1 45489.45),(2 96931.12),(3 109524.89),(4 115943.23),(5 123067.66),(6 125510.69),(7 126128.55),(8 128039.08),(9 130035.99),(10 128847.67),(11 125506.15),(12 122164.24),(13 124069.97),(14 125237.28),(15 127945.805),(16 130459.61),(17 129179.73),(18 124801.39),(19 124468.836),(20 125120.266),(21 128709.24),(22 129709.97),(23 125202.14),(24 117145.67),(25 120224.76),(26 125546.11),(27 129552.56),(28 131132.69),(29 134768.61),(30 135971.23),(31 132387.06),(32 128298.97),(33 130444.83),(34 133249.78),(35 132253.78),(36 128217.91),(37 133224.95),(38 136465.39),(39 134257.86),(40 126893.37),(41 125612.51),(42 129807.664),(43 135314.6),(44 132978.08),(45 132862.11),(46 133866.45),(47 137951.3),(48 135954.02),(49 136370.2),(50 138593.94),(51 137918.25),(52 133488.67),(53 132310.98),(54 133264.2),(55 133503.03),(56 128648.34),(57 127434.805),(58 126887.98),(59 130267.836),(60 133392.77),(61 133996.4),(62 135749.92),(63 143469.77),(64 144043.13),(65 137546.94),(66 132835.98),(67 132544.95),(68 127951.055),(69 125520.34),(70 127154.9),(71 131061.18),(72 130831.24),(73 128637.8),(74 131859.64),(75 140790.27),(76 143382.13),(77 141229.11),(78 135052.31),(79 131663),
(1 41480.17),(2 88152.555),(3 99456.42),(4 107028.66),(5 115856.01),(6 117659.57),(7 117228.81),(8 117697.07),(9 121066.9),(10 121824),(11 119697.73),(12 118425.1),(13 121146.6),(14 120369.164),(15 120917.95),(16 123059.13),(17 122587.2),(18 118550.4),(19 117745.66),(20 119176.195),(21 122024.78),(22 123158.086),(23 121130.63),(24 115769.19),(25 116867.75),(26 118839.87),(27 122327.66),(28 118156.95),(29 115382.8),(30 115631.83),(31 115510.08),(32 112081.78),(33 116904.195),(34 120880.97),(35 120255.555),(36 114561.3),(37 116111.2),(38 118317.95),(39 117222.17),(40 114986.24),(41 118619.13),(42 124652.5),(43 130208.61),(44 127444.586),(45 122965.59),(46 121420.17),(47 125523.836),(48 125371.15),(49 125803.15),(50 129237.03),(51 132745.73),(52 132367.13),(53 129196.59),(54 124850.47),(55 123792.94),(56 121130.484),(57 121912.63),(58 120505.336),(59 122254.47),(60 123462.836),(61 121016.97),(62 117796.53),(63 121961.73),(64 124057.16),(65 119016.63),(66 114665.91),(67 115888.5),(68 116519.914),(69 114451.08),(70 114421.06),(71 116532.27),(72 116169.17),(73 116393.914),(74 120183.516),(75 125488.64),(76 126403.15),(77 127144.3),(78 123826.17),(79 120505.93),
(1 37969.27),(2 80045.03),(3 88664.08),(4 92244.85),(5 101113.555),(6 103777.664),(7 103856.26),(8 104991.28),(9 109588.75),(10 108595.99),(11 105995.664),(12 105732.76),(13 108200.39),(14 106641.984),(15 105740.59),(16 109028.97),(17 110397.93),(18 106862),(19 105580.516),(20 106789.72),(21 107753.74),(22 109870.63),(23 113320.64),(24 111264.47),(25 109653.836),(26 110441.89),(27 114202.94),(28 112007.45),(29 108604.88),(30 110287.9),(31 112002.04),(32 105479.04),(33 105650.11),(34 106789.11),(35 102640.56),(36 98051.89),(37 100357.95),(38 107006.26),(39 109549.516),(40 104237.7),(41 101857.39),(42 104433.664),(43 109737.15),(44 108327.805),(45 107299.82),(46 111084.36),(47 116833.805),(48 115447.56),(49 114523.43),(50 114494.016),(51 117810.51),(52 116709.35),(53 111356.6),(54 106981.7),(55 106647.1),(56 107006.086),(57 108614.94),(58 107315.95),(59 105819.586),(60 104803.586),(61 104555.5),(62 101797.69),(63 102914.14),(64 102485.75),(65 102661.48),(66 105557.92),(67 109331.18),(68 106297.24),(69 102343.03),(70 100988.414),(71 103173.4),(72 103777.37),(73 105790.7),(74 110758.164),(75 110604.03),(76 106254.43),(77 106547.32),(78 107448.05),(79 109679.51),
(1 35816.7),(2 75289.3),(3 82778.14),(4 87003.49),(5 95504.49),(6 100125.08),(7 101253.67),(8 100150.766),(9 102037.32),(10 103806.09),(11 103893),(12 99597.664),(13 99672.27),(14 98328),(15 97890.01),(16 101983.695),(17 105908.37),(18 103075.68),(19 99093.36),(20 97672.4),(21 99126.72),(22 102323.62),(23 105082.234),(24 103470.21),(25 99025.125),(26 97445.336),(27 101640.234),(28 100190.77),(29 97938.984),(30 100488.01),(31 102694.31),(32 97832.54),(33 98275.75),(34 100678.11),(35 100655.016),(36 96247.875),(37 96794.875),(38 101507.734),(39 105317.234),(40 101358.03),(41 99478.78),(42 102550.695),(43 109108.8),(44 107930.73),(45 104123.52),(46 104786.25),(47 109141.17),(48 107148.91),(49 106760.07),(50 108793.73),(51 112732.67),(52 111460.664),(53 105564.27),(54 101247.86),(55 101048.92),(56 101582.84),(57 104459.625),(58 102512.56),(59 98675.47),(60 95536.06),(61 93733.03),(62 92581.016),(63 94867.06),(64 96671.4),(65 97584.72),(66 100497.65),(67 102569.71),(68 97541.22),(69 96044.53),(70 94318.55),(71 93589.94),(72 92540.6),(73 98137.06),(74 104349.91),(75 103497.15),(76 99025.555),(77 101571.37),(78 104779.89),(79 105030.35),
(1 32249.424),(2 69005.13),(3 78168.73),(4 82200.766),(5 88637.79),(6 91753.24),(7 92560.64),(8 92151.97),(9 94042.79),(10 95330.4),(11 95311.32),(12 90433.64),(13 89661.71),(14 90345.54),(15 92388.34),(16 95215.56),(17 99333.11),(18 96243.26),(19 93172.55),(20 90437.95),(21 92130.53),(22 95482.1),(23 96522.555),(24 95718.51),(25 92216.555),(26 91480.61),(27 96631.7),(28 95852.2),(29 95861.95),(30 96921.32),(31 97201.445),(32 89858.484),(33 87669.19),(34 90629.234),(35 94720.516),(36 92585.78),(37 92914.68),(38 96332.96),(39 99359.2),(40 97400.26),(41 97595.31),(42 97225.27),(43 98341.85),(44 96118.31),(45 92487.72),(46 91551.5),(47 95120.53),(48 95798.78),(49 96880.35),(50 98744.54),(51 101686.67),(52 102537.66),(53 102996.555),(54 99396.336),(55 96756.28),(56 94093.1),(57 94459.93),(58 92346.35),(59 89667.86),(60 87505.72),(61 88279.15),(62 89398.38),(63 91720.66),(64 91344.305),(65 92353.484),(66 94394.164),(67 97904.7),(68 96115.76),(69 93238.73),(70 89150.44),(71 86617.164),(72 85489.06),(73 90276.984),(74 94629.01),(75 95897.93),(76 92653.25),(77 94024.81),(78 95999.76),(79 94701.4),
(1 30786.518),(2 66536.24),(3 75762.74),(4 77255.18),(5 82005.11),(6 85639.68),(7 85475.05),(8 84676.46),(9 84944.664),(10 84253.625),(11 83433.93),(12 82320.73),(13 83654.84),(14 83235.04),(15 82837.76),(16 85279.164),(17 88333.33),(18 87505.92),(19 85434.305),(20 80998.59),(21 81042.37),(22 86024.72),(23 89300.336),(24 86014.86),(25 84479.71),(26 86720.2),(27 90769.78),(28 89018.95),(29 88317.1),(30 89623.71),(31 89467.42),(32 83866.984),(33 81224.02),(34 84600.92),(35 89404.46),(36 87113.57),(37 84832.97),(38 86457.74),(39 90752.625),(40 91400.41),(41 91799.56),(42 91178.28),(43 90996.61),(44 85480.68),(45 82020.85),(46 84656.125),(47 86652.31),(48 84425.43),(49 87449.19),(50 91286.16),(51 93447.06),(52 90544.95),(53 86681.41),(54 83001.69),(55 82043.05),(56 81917.79),(57 83829.766),(58 82816.31),(59 83058.64),(60 81430.53),(61 80673.68),(62 80811.06),(63 81768.16),(64 79952.16),(65 82935.055),(66 85930.3),(67 86016.4),(68 83340.62),(69 85565.29),(70 85916.71),(71 82696.35),(72 81539.95),(73 85716.05),(74 89188.4),(75 90063.71),(76 84923.12),(77 85672.05),(78 87714.77),(79 86554.99),
(1 28050.078),(2 59818.406),(3 68800.85),(4 71213.39),(5 75237.93),(6 79076.34),(7 79947.7),(8 77350.09),(9 76720.22),(10 78557.17),(11 79118.34),(12 77275.125),(13 77338.69),(14 75872.46),(15 75413.12),(16 77311.625),(17 80344.734),(18 82069.35),(19 81709.984),(20 76848.74),(21 74305.7),(22 76425.22),(23 82742.82),(24 82204.695),(25 81636.86),(26 82011.62),(27 84027.69),(28 82407.08),(29 81019.125),(30 82271.39),(31 83783.1),(32 80948.88),(33 76589.91),(34 76651.77),(35 79960.39),(36 80586.23),(37 82299.1),(38 82541.7),(39 85384.73),(40 85832.36),(41 84177.42),(42 84142.234),(43 85694.555),(44 82254.375),(45 78879.664),(46 79790.24),(47 82170.984),(48 79004.85),(49 79777.15),(50 82008.91),(51 86160.85),(52 87111.72),(53 86699.32),(54 84083.12),(55 82434.53),(56 80661.414),(57 80994.22),(58 78372.64),(59 79506.25),(60 80068.92),(61 79231.95),(62 79653.63),(63 81613.414),(64 80082.15),(65 81022.375),(66 83911.625),(67 83614.414),(68 79670.35),(69 80478.75),(70 80446.71),(71 78463.75),(72 77761.09),(73 80935.28),(74 85219.414),(75 87642.69),(76 83544.85),(77 83277.62),(78 82348.41),(79 82342.61),
(1 26525.54),(2 56595.957),(3 64402.87),(4 65153.355),(5 67276.94),(6 70526.5),(7 71978.945),(8 70626.26),(9 70653.36),(10 72057.63),(11 73672.086),(12 71963.414),(13 70650.97),(14 70461.92),(15 72036.91),(16 74047.9),(17 75008.664),(18 74347.16),(19 74656.02),(20 71886.25),(21 71186.07),(22 71527),(23 73344.66),(24 73161.086),(25 72095.555),(26 72715.22),(27 75454.45),(28 75946.01),(29 74671.1),(30 74450.766),(31 74003.07),(32 72773.914),(33 71787.95),(34 72701.37),(35 75116.12),(36 74136.1),(37 74799.734),(38 74345.84),(39 74499.63),(40 73162.9),(41 73544.24),(42 74704.37),(43 75367.17),(44 73293.56),(45 73111.37),(46 73555.41),(47 74357.18),(48 70983.48),(49 70762.086),(50 72680.016),(51 75568.9),(52 75060.47),(53 74495.53),(54 75399.305),(55 76319.72),(56 75100.69),(57 74104.695),(58 71348.3),(59 72728.016),(60 74013.08),(61 73263.97),(62 73314.84),(63 76029.71),(64 74438.72),(65 75470.03),(66 77304.336),(67 76409.836),(68 74156.22),(69 74450.3),(70 73127.164),(71 71238.375),(72 71010.55),(73 73176.94),(74 74787.7),(75 75409.45),(76 73550.805),(77 74941.36),(78 75375.52),(79 75589.41),
(1 24112.932),(2 51549.94),(3 59957.61),(4 62763.18),(5 64925.145),(6 66139.14),(7 67620.945),(8 67764.76),(9 67319.16),(10 68306.266),(11 69415.586),(12 67385.66),(13 66680.27),(14 66644.24),(15 66531.24),(16 66406.16),(17 66560.06),(18 66070.51),(19 66007.3),(20 64937.188),(21 65898.25),(22 65682.61),(23 67145.71),(24 68370.016),(25 69063.37),(26 69518.54),(27 71770.234),(28 73589.03),(29 73021.68),(30 69992.08),(31 68506.75),(32 68497),(33 67392.59),(34 67574.03),(35 68881.29),(36 66662.87),(37 65788.86),(38 65121.445),(39 64797.277),(40 64087.195),(41 65753.695),(42 66244.13),(43 66358.53),(44 65841.49),(45 67737.25),(46 66964.96),(47 64592.785),(48 63066.582),(49 64588.61),(50 66462.69),(51 68672.96),(52 67513.56),(53 67037.1),(54 66328.305),(55 66769.5),(56 67237.03),(57 69073.32),(58 68191.72),(59 68939.95),(60 68915.59),(61 68160.875),(62 66439.04),(63 67329.58),(64 66925.74),(65 69353.03),(66 72631.52),(67 72974.375),(68 69856.07),(69 68521.89),(70 66364.11),(71 65304.14),(72 65039.91),(73 65605.3),(74 65639.59),(75 67602.12),(76 66484.53),(77 67402.22),(78 67804.75),(79 69166.766),
(1 22358.852),(2 46792.523),(3 55114.19),(4 58813.39),(5 60121.65),(6 60340.5),(7 62769.914),(8 63553.754),(9 64133.492),(10 65389.84),(11 67486.67),(12 66081.305),(13 67357.43),(14 66238.17),(15 65126.58),(16 64622.516),(17 64278.617),(18 63130.55),(19 63265.457),(20 62176.086),(21 63000.516),(22 61902.145),(23 62859.87),(24 64231.32),(25 65994.91),(26 66245.17),(27 68962.66),(28 71218.36),(29 71379.68),(30 69579.48),(31 69362.73),(32 67639.95),(33 64586.754),(34 63868.035),(35 64557.977),(36 63138.797),(37 63597.203),(38 63435.05),(39 62785.95),(40 63322.08),(41 65357.813),(42 64836.94),(43 64032.324),(44 62477.55),(45 62457.1),(46 62321.117),(47 60541.586),(48 58538.926),(49 60126.777),(50 62656.305),(51 64944.313),(52 63131.168),(53 63445.965),(54 64264.094),(55 65371.977),(56 65348.176),(57 66148.945),(58 63941.71),(59 63294.805),(60 63567.24),(61 63762.56),(62 63670.16),(63 66468.695),(64 64855.027),(65 65783.266),(66 68837.95),(67 70401.945),(68 67877.22),(69 65878.06),(70 63956.625),(71 63451.18),(72 63359.305),(73 63897.28),(74 63588.55),(75 64957.527),(76 65109.74),(77 64050.695),(78 63255.6),(79 65042.465),
