1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 70844.61),(2 162054.28),(3 277417.1),(4 365316.88),(5 506717.4),(6 630118.8),(7 770338.75),(8 897883.94),(9 1042010.8),(10 1226214),(11 1619748.1),(12 2166967.3),(13 2880644.3),(14 3241064.8),(15 3342146.3),(16 3389381.3),(17 3504013.3),(18 3653076),(19 3743155.3),(20 3805227),(21 3741816),(22 3727893.3),(23 3701142.8),(24 3698795.3),(25 3751939),(26 3774891.3),(27 3947707),(28 4215258.5),(29 5016751.5),(30 5472783),(31 5672371.5),(32 5692918.5),(33 5592956),(34 5408903.5),(35 5248433.5),(36 5188249),(37 5153971.5),(38 5175515.5),(39 5163307.5),(40 5116119.5),(41 4971104.5),(42 5031174.5),(43 5210888.5),(44 5413320.5),(45 5495091.5),(46 5582024),(47 5661881.5),(48 5734578),(49 5792885.5),(50 5599458),(51 5525354),(52 5505954.5),(53 5816139.5),(54 5989736),(55 6015360),(56 5959666.5),(57 5881992),(58 5909652),(59 5942688),(60 5929099.5),(61 5927437.5),(62 6001776.5),(63 6065490.5),(64 6112788),(65 6029014),(66 6025088),(67 5950928.5),(68 5906706),(69 5757286.5),(70 5646186),(71 5551559.5),(72 5438785.5),(73 5298648.5),(74 5091188.5),(75 4912126.5),(76 4798702),(77 4666890),(78 4571579.5),(79 4576932),
(1 257.68845),(2 416.44778),(3 562.12866),(4 667.03766),(5 766.19257),(6 839.2425),(7 906.99817),(8 963.81915),(9 1021.60724),(10 1061.1941),(11 1119.3309),(12 1152.4966),(13 1183.4924),(14 1200.0494),(15 1233.3767),(16 1251.2264),(17 1272.1818),(18 1310.5328),(19 1393.9447),(20 1456.8191),(21 1558.516),(22 1628.7898),(23 1714.5044),(24 1801.0203),(25 1920.2363),(26 1999.577),(27 2094.8137),(28 2168.126),(29 2240.9521),(30 2322.3716),(31 2426.4941),(32 2498.967),(33 2560.2288),(34 2625.8638),(35 2697.8943),(36 2753.7358),(37 2809.5437),(38 2859.7615),(39 2931.7869),(40 2974.2356),(41 3035.3296),(42 3060.8752),(43 3087.8784),(44 3126.1184),(45 3172.9236),(46 3217.763),(47 3308.0122),(48 3360.7454),(49 3395.345),(50 3442.574),(51 3510.0378),(52 3546.195),(53 3577.8386),(54 3560.6816),(55 3552.5808),(56 3524.7356),(57 3497.0193),(58 3444.5027),(59 3400.2559),(60 3352.285),(61 3301.957),(62 3232.7258),(63 3203.4148),(64 3159.6104),(65 3124.2703),(66 3075.1985),(67 3044.616),(68 2989.6099),(69 2937.028),(70 2896.9749),(71 2884.758),(72 2865.867),(73 2865.4773),(74 2839.3328),(75 2858.1096),(76 2845.7246),(77 2855.3035),(78 2855.1538),(79 2896.2903),
(1 251.79547),(2 416.34503),(3 561.4685),(4 668.2871),(5 770.5668),(6 844.6451),(7 912.99023),(8 968.76324),(9 1026.4647),(10 1066.1254),(11 1123.1553),(12 1156.4977),(13 1191.7035),(14 1209.3431),(15 1243.869),(16 1262.4791),(17 1293.6868),(18 1341.1213),(19 1446.929),(20 1526.3596),(21 1651.4204),(22 1735.7268),(23 1841.0518),(24 1940.9237),(25 2064.4043),(26 2158.3628),(27 2268.4119),(28 2358.007),(29 2429.0256),(30 2522.7644),(31 2627.108),(32 2697.0254),(33 2763.2415),(34 2820.2366),(35 2890.2053),(36 2947.4878),(37 3011.9463),(38 3074.6116),(39 3156.527),(40 3201.9595),(41 3269.283),(42 3302.9968),(43 3338.6877),(44 3386.8264),(45 3442.3823),(46 3490.7778),(47 3570.3188),(48 3630.8423),(49 3679.7188),(50 3709.7468),(51 3764.4272),(52 3785.8196),(53 3818.2388),(54 3801.8257),(55 3781.8428),(56 3744.711),(57 3717.2283),(58 3674.3726),(59 3640.2397),(60 3589.5342),(61 3542.0996),(62 3473.871),(63 3430.8816),(64 3383.2463),(65 3331.9736),(66 3264.2312),(67 3228.4856),(68 3170.1514),(69 3124.9885),(70 3074.699),(71 3072.6638),(72 3047.5876),(73 3055.934),(74 3036.7097),(75 3034.9663),(76 3036.62),(77 3031.4097),(78 3023.0376),(79 3060.1682),
(1 242.07109),(2 396.3578),(3 540.5684),(4 645.75183),(5 749.5893),(6 830.4918),(7 903.1271),(8 964.53815),(9 1022.2573),(10 1063.9225),(11 1120.5898),(12 1151.0734),(13 1191.5691),(14 1216.914),(15 1254.267),(16 1276.0297),(17 1308.7719),(18 1357.8789),(19 1460.2618),(20 1539.2274),(21 1648.4291),(22 1727.3164),(23 1825.9208),(24 1922.8938),(25 2041.1631),(26 2133.842),(27 2243.6409),(28 2334.7917),(29 2423.9202),(30 2519.051),(31 2636.4443),(32 2717.0498),(33 2775.4016),(34 2841.0984),(35 2927.0813),(36 2988.8892),(37 3068.748),(38 3141.666),(39 3234.3994),(40 3294.6157),(41 3380.15),(42 3415.828),(43 3454.728),(44 3516.442),(45 3583.5588),(46 3648.4612),(47 3716.3506),(48 3772.5134),(49 3835.001),(50 3866.152),(51 3937.032),(52 3956.7627),(53 3996.373),(54 3989.9788),(55 3967.141),(56 3933.79),(57 3913.452),(58 3872.874),(59 3843.637),(60 3794.8064),(61 3749.7256),(62 3678.3625),(63 3659.0657),(64 3603.4746),(65 3532.3547),(66 3468.5195),(67 3426.8286),(68 3368.8694),(69 3322.0562),(70 3268.5913),(71 3254.3967),(72 3210.276),(73 3212.0405),(74 3166.6306),(75 3157.6982),(76 3162.8196),(77 3166.283),(78 3171.0657),(79 3224.3274),
(1 240.87726),(2 389.4925),(3 526.18677),(4 625.8464),(5 720.4586),(6 789.9551),(7 852.9509),(8 908.616),(9 955.7681),(10 979.5236),(11 1023.9031),(12 1049.7417),(13 1095.3341),(14 1117.1726),(15 1152.6577),(16 1167.6267),(17 1204.4657),(18 1250.2247),(19 1329.5433),(20 1418.025),(21 1530.9574),(22 1602.9879),(23 1692.5637),(24 1787.8175),(25 1901.332),(26 1999.5831),(27 2099.3635),(28 2184.781),(29 2269.8997),(30 2363.035),(31 2461.4048),(32 2531.4834),(33 2597.5198),(34 2679.6902),(35 2765.8242),(36 2829.7754),(37 2903.6675),(38 2964.4695),(39 3059.9211),(40 3129.7922),(41 3204.8748),(42 3237.9907),(43 3296.0024),(44 3350.0024),(45 3411.4854),(46 3471.7927),(47 3552.7554),(48 3631.1682),(49 3705.4038),(50 3738.089),(51 3804.0232),(52 3838.5938),(53 3885.8088),(54 3887.837),(55 3890.621),(56 3862.214),(57 3840.4836),(58 3799.2312),(59 3769.9307),(60 3723.2905),(61 3679.85),(62 3610.9033),(63 3587.9563),(64 3534.3572),(65 3475.0334),(66 3410.4329),(67 3360.261),(68 3293.4783),(69 3235.794),(70 3175.3943),(71 3151.0408),(72 3100.892),(73 3089.9001),(74 3046.875),(75 3034.8743),(76 3034.0217),(77 3046.861),(78 3067.542),(79 3119.368),
(1 229.28871),(2 368.34335),(3 497.59354),(4 586.24023),(5 669.49664),(6 730.54474),(7 794.8602),(8 841.2424),(9 883.8845),(10 914.5414),(11 962.0585),(12 990.6302),(13 1032.0823),(14 1052.4349),(15 1085.5719),(16 1102.9918),(17 1122.28),(18 1153.1882),(19 1216.0635),(20 1275.3896),(21 1355.3888),(22 1409.6998),(23 1484.1976),(24 1542.802),(25 1634.1227),(26 1710.0305),(27 1787.9318),(28 1850.9863),(29 1920.1765),(30 1991.8854),(31 2062.6584),(32 2116.0684),(33 2156.7246),(34 2203.8103),(35 2254.965),(36 2302.4106),(37 2360.7087),(38 2403.3306),(39 2467.5022),(40 2517.5269),(41 2578.9353),(42 2616.4558),(43 2664.102),(44 2701.0984),(45 2744.186),(46 2784.892),(47 2855.8132),(48 2913.5808),(49 2961.8171),(50 2996.8105),(51 3058.6482),(52 3074.3018),(53 3111.7612),(54 3107.9905),(55 3136.2354),(56 3112.8984),(57 3097.6614),(58 3076.287),(59 3061.351),(60 3033.2764),(61 3002.4397),(62 2949.8462),(63 2914.7144),(64 2867.3994),(65 2822.6565),(66 2777.61),(67 2743.2664),(68 2692.8257),(69 2646.1177),(70 2598.8418),(71 2584.8171),(72 2554.8342),(73 2555.0635),(74 2528.553),(75 2534.522),(76 2545.7896),(77 2579.6162),(78 2595.4063),(79 2652.3066),
(1 222.47945),(2 352.42496),(3 479.37827),(4 557.78705),(5 644.0968),(6 704.1156),(7 764.4739),(8 807.1232),(9 849.5667),(10 878.02246),(11 923.89526),(12 947.6983),(13 981.7603),(14 1002.4148),(15 1026.509),(16 1042.2444),(17 1067.7485),(18 1095.2328),(19 1145.3915),(20 1179.6406),(21 1241.3544),(22 1286.4471),(23 1354.7168),(24 1404.2272),(25 1471.0873),(26 1518.4446),(27 1581.4913),(28 1630.6641),(29 1694.4972),(30 1767.2682),(31 1846.2134),(32 1890.8622),(33 1916.4832),(34 1949.3448),(35 1987.2667),(36 2014.3351),(37 2053.8682),(38 2082.582),(39 2138.0667),(40 2174.5278),(41 2213.8132),(42 2249.4453),(43 2297.0632),(44 2318.8218),(45 2354.2422),(46 2378.8687),(47 2429.7761),(48 2474.2148),(49 2502.3608),(50 2517.0378),(51 2542.3643),(52 2543.8538),(53 2569.4934),(54 2552.0564),(55 2568.12),(56 2547.6948),(57 2536.0667),(58 2511.6892),(59 2506.5742),(60 2483.4736),(61 2461.3333),(62 2430.9983),(63 2415.5605),(64 2374.2996),(65 2349.61),(66 2311.248),(67 2289.593),(68 2259.4485),(69 2222.7144),(70 2202.7854),(71 2205.3638),(72 2187.3247),(73 2201.274),(74 2171.4663),(75 2188.4766),(76 2188.0588),(77 2210.9106),(78 2209.3748),(79 2262.641),
(1 222.97487),(2 350.89392),(3 472.53412),(4 551.06067),(5 627.1442),(6 683.0469),(7 738.2543),(8 776.6334),(9 822.92224),(10 851.7834),(11 900.44696),(12 924.9848),(13 957.97577),(14 977.03296),(15 993.92706),(16 1004.4782),(17 1031.0096),(18 1057.1224),(19 1112.2217),(20 1148.7388),(21 1219.9249),(22 1275.4812),(23 1335.9843),(24 1391.5935),(25 1456.7068),(26 1504.4854),(27 1577.6567),(28 1640.9231),(29 1706.5552),(30 1782.717),(31 1876.0652),(32 1929.4348),(33 1962.984),(34 1992.9834),(35 2031.556),(36 2060.1775),(37 2097.4526),(38 2131.5483),(39 2194.2024),(40 2231.1436),(41 2282.2239),(42 2313.1235),(43 2352.1787),(44 2380.4377),(45 2431.3809),(46 2464.5115),(47 2525.0486),(48 2559.0288),(49 2602.3293),(50 2630.0508),(51 2674.8672),(52 2678.593),(53 2705.9849),(54 2699.164),(55 2698.9702),(56 2670.5872),(57 2662.1655),(58 2639.268),(59 2620.9253),(60 2593.201),(61 2563.2356),(62 2522.3015),(63 2493.3445),(64 2454.9866),(65 2412.031),(66 2367.2705),(67 2348.3538),(68 2310.3054),(69 2276.3),(70 2239.5537),(71 2233.1418),(72 2206.945),(73 2215.9683),(74 2182.5227),(75 2189.153),(76 2195.1367),(77 2215.8982),(78 2215.2402),(79 2251.3623),
(1 220.4994),(2 353.9491),(3 477.581),(4 559.44305),(5 644.4056),(6 706.9704),(7 769.7507),(8 812.1078),(9 855.3088),(10 883.40717),(11 937.69257),(12 962.62103),(13 994.0479),(14 1010.47797),(15 1040.9545),(16 1052.7953),(17 1070.387),(18 1097.9688),(19 1163.8987),(20 1216.07),(21 1300.917),(22 1360.0084),(23 1432.5638),(24 1495.4823),(25 1569.2249),(26 1624.2338),(27 1697.4686),(28 1756.2522),(29 1819.605),(30 1908.733),(31 2020.9515),(32 2084.6113),(33 2107.4177),(34 2150.2632),(35 2204.4138),(36 2246.6694),(37 2294.9185),(38 2341.6978),(39 2403.6348),(40 2450.8733),(41 2520.8857),(42 2565.3213),(43 2623.471),(44 2666.0322),(45 2719.6824),(46 2768.5874),(47 2841.8557),(48 2892.002),(49 2934.5898),(50 2966.6492),(51 3007.2666),(52 3014.1538),(53 3060.5193),(54 3060.963),(55 3068.2678),(56 3034.2742),(57 3028.6262),(58 2998.7476),(59 2974.6985),(60 2939.0725),(61 2902.86),(62 2853.913),(63 2812.13),(64 2755.7192),(65 2706.209),(66 2648.1553),(67 2624.8054),(68 2572.6033),(69 2531.1138),(70 2490.46),(71 2486.8547),(72 2452.8096),(73 2456.1936),(74 2401.7786),(75 2398.925),(76 2403.8535),(77 2413.152),(78 2410.6833),(79 2447.751),
(1 219.50145),(2 356.87842),(3 485.64917),(4 577.435),(5 666.49207),(6 733.1468),(7 805.2809),(8 854.0443),(9 906.4536),(10 941.84924),(11 998.1799),(12 1033.0054),(13 1063.5507),(14 1078.043),(15 1101.2842),(16 1115.7913),(17 1141.8002),(18 1187.5195),(19 1279.2413),(20 1354.2058),(21 1452.9166),(22 1525.7585),(23 1617.6538),(24 1692.118),(25 1772.67),(26 1837.5009),(27 1934.0353),(28 2005.1921),(29 2090.5854),(30 2206.0188),(31 2342.5173),(32 2429.5325),(33 2451.89),(34 2508.273),(35 2583.4983),(36 2633.3313),(37 2687.9353),(38 2748.2488),(39 2826.1975),(40 2879.4697),(41 2967.8936),(42 3013.469),(43 3081.5808),(44 3133.8423),(45 3191.2312),(46 3237.3127),(47 3313.1614),(48 3362.6716),(49 3416.8997),(50 3458.2576),(51 3482.8562),(52 3484.6396),(53 3536.5676),(54 3539.3416),(55 3537.4658),(56 3489.3572),(57 3471.546),(58 3434.7422),(59 3406.0667),(60 3366.163),(61 3326.2688),(62 3265.3267),(63 3219.166),(64 3158.4277),(65 3083.4377),(66 3020.5476),(67 2989.5085),(68 2940.2844),(69 2892.176),(70 2833.8674),(71 2809.7676),(72 2770.8354),(73 2759.5273),(74 2694.2527),(75 2676.8525),(76 2663.8354),(77 2681.304),(78 2673.9192),(79 2711.3528),
(1 214.85858),(2 346.37418),(3 468.4307),(4 550.44867),(5 630.6315),(6 690.0667),(7 752.0663),(8 794.57117),(9 839.4744),(10 869.5241),(11 918.3713),(12 942.4167),(13 966.8375),(14 977.71295),(15 1002.9597),(16 1007.37756),(17 1031.1074),(18 1069.3204),(19 1159.0726),(20 1225.3499),(21 1324.3745),(22 1387.6517),(23 1476.7837),(24 1557.8779),(25 1635.2144),(26 1695.4227),(27 1787.0944),(28 1856.8619),(29 1943.232),(30 2047.6488),(31 2159.4487),(32 2237.0935),(33 2260.877),(34 2317.699),(35 2381.016),(36 2433.6223),(37 2486.9585),(38 2541.3074),(39 2613.769),(40 2661.955),(41 2750.255),(42 2794.2397),(43 2856.5044),(44 2909.7332),(45 2969.6938),(46 3025.2424),(47 3103.2634),(48 3162.0947),(49 3230.4407),(50 3270.6318),(51 3286.2058),(52 3307.5586),(53 3354.2466),(54 3359.3416),(55 3346.677),(56 3307.4705),(57 3284.2651),(58 3263.4504),(59 3237.0686),(60 3203.12),(61 3175.1191),(62 3121.1846),(63 3078.8733),(64 3015.079),(65 2952.605),(66 2892.7058),(67 2852.023),(68 2798.579),(69 2741.3484),(70 2680.4673),(71 2664.5266),(72 2639.3086),(73 2624.693),(74 2571.7107),(75 2544.0325),(76 2528.2368),(77 2541.4827),(78 2540.5183),(79 2568.2883),
(1 210.38081),(2 336.3122),(3 448.26147),(4 523.2549),(5 598.03845),(6 651.7643),(7 707.6102),(8 743.7804),(9 783.6548),(10 810.3603),(11 851.6644),(12 872.5328),(13 894.0017),(14 906.91113),(15 936.09326),(16 940.65283),(17 965.22754),(18 999.286),(19 1069.852),(20 1126.1493),(21 1217.3942),(22 1273.5339),(23 1344.3007),(24 1412.417),(25 1486.9606),(26 1539.0369),(27 1600.3073),(28 1651.4623),(29 1721.6332),(30 1793.3617),(31 1874.9755),(32 1939.0282),(33 1961.2933),(34 2005.8557),(35 2055.0583),(36 2096.3132),(37 2131.5815),(38 2178.0051),(39 2230.5127),(40 2275.8425),(41 2347.263),(42 2377.854),(43 2434.6897),(44 2478.3904),(45 2530.5198),(46 2576.891),(47 2645.1938),(48 2685.9038),(49 2740.5789),(50 2773.8342),(51 2815.4333),(52 2828.3384),(53 2857.172),(54 2867.0967),(55 2873.4016),(56 2844.3955),(57 2826.0571),(58 2803.9038),(59 2784.888),(60 2757.4246),(61 2730.2983),(62 2689.0847),(63 2666.4202),(64 2608.5112),(65 2569.8923),(66 2523.4878),(67 2493.3296),(68 2443.5452),(69 2405.5388),(70 2359.9392),(71 2343.3093),(72 2305.0117),(73 2299.9734),(74 2262.4106),(75 2251.4797),(76 2239.5833),(77 2233.8357),(78 2218.9504),(79 2236.2554),
(1 202.89645),(2 322.11923),(3 432.91803),(4 494.75418),(5 562.4114),(6 613.39685),(7 665.40845),(8 700.8666),(9 735.98035),(10 764.46606),(11 806.5919),(12 826.6345),(13 847.84937),(14 860.44),(15 887.873),(16 898.06854),(17 915.89496),(18 944.4129),(19 997.64294),(20 1041.0267),(21 1116.2427),(22 1158.4001),(23 1211.136),(24 1272.1046),(25 1332.6454),(26 1376.2557),(27 1439.0106),(28 1490.3777),(29 1546.4072),(30 1599.0559),(31 1672.4257),(32 1708.6835),(33 1729.5939),(34 1762.4434),(35 1800.0393),(36 1832.0358),(37 1860.013),(38 1896.098),(39 1943.2131),(40 1982.8932),(41 2035.5844),(42 2061.0747),(43 2098.5193),(44 2131.0676),(45 2161.6987),(46 2193.9788),(47 2250.3948),(48 2275.5688),(49 2312.7612),(50 2341.958),(51 2390.818),(52 2409.0986),(53 2446.9363),(54 2463.804),(55 2470.1382),(56 2450.6877),(57 2447.186),(58 2429.4172),(59 2426.429),(60 2407.3606),(61 2399.2961),(62 2365.8235),(63 2347.303),(64 2302.4553),(65 2269.8823),(66 2238.0837),(67 2221.343),(68 2182.4636),(69 2158.5562),(70 2112.7173),(71 2094.5078),(72 2056.04),(73 2036.0828),(74 1992.7712),(75 1964.6099),(76 1954.503),(77 1957.144),(78 1938.448),(79 1966.6243),
(1 199.50276),(2 312.2632),(3 418.96252),(4 481.6932),(5 541.42566),(6 586.2983),(7 631.31104),(8 664.28955),(9 693.80817),(10 717.21686),(11 752.7696),(12 770.9076),(13 783.95905),(14 790.4658),(15 811.76385),(16 814.8996),(17 833.9717),(18 856.6444),(19 900.98083),(20 931.7782),(21 985.938),(22 1023.8864),(23 1076.553),(24 1120.2664),(25 1175.0027),(26 1220.9785),(27 1281.8876),(28 1326.2322),(29 1371.8344),(30 1422.1547),(31 1488.8813),(32 1530.0154),(33 1552.5776),(34 1579.1755),(35 1605.5463),(36 1630.8755),(37 1657.9259),(38 1692.2456),(39 1735.7633),(40 1761.3597),(41 1797.2559),(42 1824.8458),(43 1858.6554),(44 1876.2866),(45 1918.6069),(46 1958.6069),(47 2016.9705),(48 2033.5751),(49 2069.1704),(50 2085.6953),(51 2106.5408),(52 2111.2405),(53 2133.328),(54 2124.8604),(55 2127.4587),(56 2105.7212),(57 2098.356),(58 2086.3562),(59 2088.5293),(60 2056.6292),(61 2042.2534),(62 2013.5826),(63 2001.4823),(64 1970.5342),(65 1950.2938),(66 1931.6271),(67 1910.877),(68 1868.5807),(69 1850.0138),(70 1810.5077),(71 1797.9183),(72 1765.9829),(73 1765.3527),(74 1735.3046),(75 1726.8721),(76 1714.5553),(77 1722.061),(78 1717.5809),(79 1736.6208),
(1 196.05891),(2 302.59256),(3 408.29916),(4 469.9829),(5 525.0664),(6 567.10175),(7 604.49475),(8 629.96484),(9 662.49603),(10 685.4336),(11 725.34814),(12 741.70984),(13 762.09296),(14 773.225),(15 796.9835),(16 800.05536),(17 809.30066),(18 830.5238),(19 871.94183),(20 899.4697),(21 951.05743),(22 980.99817),(23 1029.1381),(24 1068.8616),(25 1114.4526),(26 1152.6285),(27 1206.8387),(28 1237.3959),(29 1293.465),(30 1332.4955),(31 1377.0845),(32 1405.0378),(33 1424.1891),(34 1449.1108),(35 1466.8274),(36 1481.6199),(37 1503.625),(38 1540.152),(39 1589.498),(40 1616.0016),(41 1651.8392),(42 1679.2876),(43 1704.993),(44 1718.0715),(45 1749.2646),(46 1789.7249),(47 1833.6953),(48 1843.5696),(49 1871.9017),(50 1882.898),(51 1917.4126),(52 1919.343),(53 1938.0895),(54 1917.899),(55 1925.351),(56 1909.394),(57 1907.5083),(58 1897.6554),(59 1899.3712),(60 1866.0178),(61 1852.1667),(62 1824.3951),(63 1814.0145),(64 1791.4813),(65 1777.3124),(66 1753.2136),(67 1737.8932),(68 1706.9204),(69 1694.2059),(70 1672.312),(71 1675.755),(72 1643.2129),(73 1643.6417),(74 1630.253),(75 1639.2491),(76 1628.6906),(77 1643.1826),(78 1637.0247),(79 1655.7062),
(1 190.97762),(2 295.56537),(3 395.60275),(4 454.2733),(5 512.79083),(6 554.2794),(7 597.3642),(8 627.2453),(9 656.638),(10 679.63605),(11 721.4144),(12 743.14124),(13 774.002),(14 792.3703),(15 816.48035),(16 824.81244),(17 836.0516),(18 859.37683),(19 910.94666),(20 940.8455),(21 991.33215),(22 1030.093),(23 1076.8147),(24 1114.7561),(25 1163.83),(26 1207.4215),(27 1263.8478),(28 1296.7848),(29 1354.807),(30 1402.4276),(31 1446.1371),(32 1472.894),(33 1493.7273),(34 1520.7002),(35 1538.9344),(36 1548.2251),(37 1564.9814),(38 1606.2566),(39 1663.8223),(40 1689.8026),(41 1724.2268),(42 1746.1445),(43 1770.5209),(44 1785.6769),(45 1811.577),(46 1847.7513),(47 1898.9828),(48 1906.9873),(49 1932.816),(50 1946.2957),(51 1962.8098),(52 1960.0391),(53 1967.6903),(54 1959.8693),(55 1956.6619),(56 1943.1393),(57 1936.4926),(58 1934.0165),(59 1925.7798),(60 1895.2495),(61 1871.2717),(62 1847.0094),(63 1837.6282),(64 1801.5),(65 1787.5488),(66 1761.3235),(67 1744.863),(68 1716.507),(69 1698.0315),(70 1674.8789),(71 1674.6144),(72 1652.5558),(73 1649.368),(74 1635.7025),(75 1646.2296),(76 1636.1768),(77 1651.0854),(78 1654.9614),(79 1673.29),
(1 191.59755),(2 294.8329),(3 394.41888),(4 461.53052),(5 521.0394),(6 567.4521),(7 616.4016),(8 650.2134),(9 681.8816),(10 706.7677),(11 758.11743),(12 784.15094),(13 817.2631),(14 842.54126),(15 867.0901),(16 881.0067),(17 907.9736),(18 938.08093),(19 1000.4126),(20 1038.8757),(21 1098.2474),(22 1137.767),(23 1195.1985),(24 1241.93),(25 1298.0522),(26 1344.8384),(27 1402.4391),(28 1446.1051),(29 1513.5377),(30 1572.9791),(31 1632.516),(32 1675.3397),(33 1701.8589),(34 1743.3541),(35 1771.7031),(36 1796.3745),(37 1833.1285),(38 1883.1013),(39 1951.972),(40 1987.8068),(41 2017.83),(42 2041.7474),(43 2071.7083),(44 2103.644),(45 2136.2905),(46 2175.798),(47 2225.2463),(48 2242.4968),(49 2266.5984),(50 2277.1738),(51 2301.0557),(52 2294.4595),(53 2312.3718),(54 2303.415),(55 2309.0425),(56 2292.4597),(57 2280.0505),(58 2264.4824),(59 2246.5662),(60 2209.151),(61 2172.2087),(62 2140.2024),(63 2122.8792),(64 2074.8699),(65 2042.9478),(66 2005.7408),(67 1969.3396),(68 1925.3724),(69 1898.6821),(70 1869.4762),(71 1859.1837),(72 1838.8296),(73 1845.1919),(74 1824.7048),(75 1827.2456),(76 1814.8212),(77 1816.1512),(78 1812.7882),(79 1828.7736),
