1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 45726.27),(2 135942.45),(3 258888.23),(4 407366.5),(5 600252.25),(6 765100.2),(7 946877.7),(8 1130965.6),(9 1273089.6),(10 1405858.1),(11 1567144.6),(12 1746885),(13 1938910.1),(14 2198214.3),(15 2504383),(16 2820315.3),(17 3192859.8),(18 3551575),(19 3877143),(20 4144952.8),(21 4356299.5),(22 4595898.5),(23 4809096.5),(24 4972842.5),(25 5195239.5),(26 5380355.5),(27 5633170.5),(28 5875914.5),(29 6147686.5),(30 6411164.5),(31 6720426),(32 7010872.5),(33 7297138),(34 7563198),(35 7756004.5),(36 7884450.5),(37 8031124),(38 8128672),(39 8239418.5),(40 8324598.5),(41 8423866),(42 8576216),(43 8797202),(44 9036441),(45 9264934),(46 9488081),(47 9712707),(48 9847859),(49 10015985),(50 10143629),(51 10256552),(52 10400626),(53 10524238),(54 10677619),(55 10813109),(56 11001782),(57 11148151),(58 11324088),(59 11590047),(60 11822203),(61 12107088),(62 12432847),(63 12792619),(64 13108101),(65 13504044),(66 13819999),(67 14363885),(68 14822828),(69 15353576),(70 16078535),(71 16725891),(72 17377608),(73 17976994),(74 18510036),(75 19077506),(76 19660040),(77 20214978),(78 20752692),(79 21412128),
(1 2420.3723),(2 3608.2302),(3 4349.161),(4 4938.5566),(5 5228.501),(6 5573.713),(7 5946.3477),(8 6177.1006),(9 6389.801),(10 6690.531),(11 6814.724),(12 6931.801),(13 7149.124),(14 7105.526),(15 7278.4614),(16 7355.071),(17 7388.05),(18 7420.4053),(19 7484.9487),(20 7569.045),(21 7681.8716),(22 7571.823),(23 7631.7104),(24 7832.952),(25 7779.867),(26 7888.14),(27 8030.1494),(28 7934.3247),(29 7972.0547),(30 8050.6177),(31 7973.828),(32 7906.6567),(33 8029.185),(34 7917.7617),(35 8006.3306),(36 8196.726),(37 8125.8203),(38 8143.491),(39 8285.027),(40 8232.131),(41 8249.382),(42 8344.156),(43 8417.533),(44 8381.971),(45 8461.523),(46 8494.997),(47 8503.204),(48 8541.809),(49 8401.92),(50 8406.095),(51 8496.783),(52 8314.729),(53 8346.306),(54 8448.971),(55 8418.711),(56 8423.004),(57 8462.12),(58 8400.6),(59 8376.288),(60 8436.244),(61 8472.327),(62 8431.319),(63 8485.983),(64 8403.296),(65 8403.791),(66 8448.306),(67 8373.36),(68 8378.916),(69 8434.299),(70 8413.48),(71 8427.299),(72 8287.011),(73 8266.768),(74 8233.853),(75 8113.0947),(76 8126.306),(77 8245.031),(78 8207.647),(79 8202.725),
(1 2376.3472),(2 3669.9558),(3 4438.2207),(4 4974.723),(5 5275.7676),(6 5619.834),(7 6018.254),(8 6242.6025),(9 6441.4326),(10 6690.2056),(11 6822.1025),(12 6950.782),(13 7116.336),(14 7118.8574),(15 7260.6313),(16 7449.5483),(17 7390.115),(18 7437.5635),(19 7510.1343),(20 7459.935),(21 7520.003),(22 7396.72),(23 7488.7866),(24 7620.5347),(25 7629.8643),(26 7609.743),(27 7816.8794),(28 7824.782),(29 7956.309),(30 8103.4717),(31 8031.4854),(32 7958.306),(33 8089.8228),(34 8041.6563),(35 8084.0684),(36 8167.6475),(37 8129.5376),(38 8197.099),(39 8364.036),(40 8346.256),(41 8461.26),(42 8590.905),(43 8657.378),(44 8642.802),(45 8827.695),(46 8815.023),(47 8820.961),(48 8930.879),(49 8726.334),(50 8668.536),(51 8731.691),(52 8664.662),(53 8613.296),(54 8585.507),(55 8553.995),(56 8562.931),(57 8658.569),(58 8617.679),(59 8667.151),(60 8670.609),(61 8568.211),(62 8627.013),(63 8744.375),(64 8641.991),(65 8668.683),(66 8699.572),(67 8557.5625),(68 8570.027),(69 8571.661),(70 8528.216),(71 8584.025),(72 8353.042),(73 8214.757),(74 8272.524),(75 8163.0063),(76 8217.916),(77 8327.579),(78 8196.698),(79 8190.5674),
(1 2319.2336),(2 3489.3992),(3 4206.1353),(4 4729.9893),(5 5002.8125),(6 5250.5107),(7 5644.8584),(8 5790.2905),(9 6071.582),(10 6292.162),(11 6358.873),(12 6440.0273),(13 6581.971),(14 6616.204),(15 6778.294),(16 6927.6675),(17 6848.1504),(18 6875.304),(19 6933.4155),(20 7008.967),(21 7123.018),(22 7069.5347),(23 7216.355),(24 7300.713),(25 7324.941),(26 7391.6626),(27 7586.355),(28 7582.488),(29 7621.841),(30 7694.469),(31 7683.461),(32 7726.6675),(33 7928.59),(34 7859.006),(35 7888.156),(36 7897.104),(37 7764.869),(38 7784.395),(39 7923.256),(40 7844.8823),(41 7889.204),(42 7966.7393),(43 7931.036),(44 7932.081),(45 8002.2847),(46 8008.957),(47 8101.361),(48 8184.133),(49 8030.2974),(50 8078.2983),(51 8160.917),(52 8057.5884),(53 8033.265),(54 8045.1367),(55 8000.5513),(56 7994.639),(57 7957.139),(58 7982.3276),(59 7937.3438),(60 8011.2793),(61 7939.901),(62 8012.843),(63 8096.5415),(64 7954.617),(65 8010.8994),(66 8050.0264),(67 7970.376),(68 8025.769),(69 7985.0234),(70 8053.46),(71 8096.467),(72 7993.969),(73 7967.541),(74 8063.0776),(75 8012.399),(76 8033.671),(77 8150.169),(78 8014.497),(79 7993.515),
(1 2378.71),(2 3530.8777),(3 4276.73),(4 4814.19),(5 5082.4893),(6 5351.044),(7 5729.91),(8 5894.8853),(9 6160.928),(10 6452.2754),(11 6537.261),(12 6680.5977),(13 6899.7515),(14 6960.341),(15 7102.2446),(16 7127.9077),(17 7055.814),(18 7133.499),(19 7267.071),(20 7292.982),(21 7283.8486),(22 7165.835),(23 7193.923),(24 7348.913),(25 7218.904),(26 7274.4526),(27 7365.4077),(28 7288.885),(29 7286.1606),(30 7451.6113),(31 7493.1426),(32 7549.396),(33 7691.538),(34 7558.1255),(35 7535.523),(36 7688.913),(37 7609.1704),(38 7652.3013),(39 7791.55),(40 7640.392),(41 7671.489),(42 7765.2524),(43 7734.219),(44 7738.1587),(45 7845.5015),(46 7787.5293),(47 7886.874),(48 7916.292),(49 7905.0835),(50 8057.9575),(51 8209.351),(52 8180.7896),(53 8096.727),(54 8198.549),(55 8136.177),(56 8099.0015),(57 8141.989),(58 8096.272),(59 8121.8667),(60 8173.282),(61 8174.8013),(62 8205.928),(63 8251.1875),(64 8146.473),(65 8043.841),(66 8057.2983),(67 7933.568),(68 7967.55),(69 8007.6587),(70 8067.4067),(71 8044.085),(72 7950.8022),(73 7990.3374),(74 8075.2573),(75 8064.8228),(76 8110.05),(77 8152.462),(78 8085.913),(79 8123.1523),
(1 2313.68),(2 3428.905),(3 4067.3716),(4 4605.6616),(5 4908.193),(6 5134.545),(7 5498.4116),(8 5756.3804),(9 5858.461),(10 6086.96),(11 6207.747),(12 6366.2266),(13 6590.791),(14 6588.328),(15 6729.597),(16 6833.0728),(17 6779.9985),(18 6860.5435),(19 6976.516),(20 6996.4375),(21 7057.54),(22 7032.807),(23 7082.1377),(24 7157.254),(25 7058.0767),(26 7094.0693),(27 7101.4507),(28 7092.713),(29 7124.4033),(30 7209.8535),(31 7188.687),(32 7200.545),(33 7194.997),(34 7150.4575),(35 7158.8296),(36 7274.239),(37 7186.756),(38 7239.638),(39 7424.9),(40 7367.585),(41 7400.4116),(42 7438.766),(43 7396.6514),(44 7385.869),(45 7560.1943),(46 7496.6104),(47 7528.859),(48 7639.6787),(49 7591.1694),(50 7692.0083),(51 7720.959),(52 7665.674),(53 7724.1465),(54 7836.116),(55 7825.687),(56 7860.593),(57 7879.5806),(58 7827.098),(59 7968.352),(60 8058.316),(61 8112.99),(62 8219.46),(63 8341.694),(64 8359.636),(65 8290.917),(66 8353.596),(67 8289.909),(68 8279.314),(69 8368.488),(70 8377.976),(71 8437.925),(72 8290.873),(73 8340.111),(74 8463.368),(75 8397.121),(76 8390.669),(77 8436.854),(78 8347.826),(79 8357.186),
(1 2268.8083),(2 3384.136),(3 4078.6624),(4 4671.794),(5 4878.5903),(6 5104.5986),(7 5442.7007),(8 5615.667),(9 5719.486),(10 5915.558),(11 6018.5957),(12 6194.2573),(13 6346.333),(14 6356.546),(15 6601.2446),(16 6655.053),(17 6674.4023),(18 6786.343),(19 6871.5815),(20 6888.7886),(21 6968.3945),(22 6833.5303),(23 6886.5195),(24 6903.718),(25 6893.2246),(26 6861.039),(27 6910.985),(28 6848.4253),(29 6875.6045),(30 6972.6094),(31 6992.54),(32 7002.969),(33 7048.9277),(34 7003.042),(35 7011.836),(36 7087.2876),(37 6947.5776),(38 6966.3857),(39 7150.6943),(40 7067.3247),(41 7130.14),(42 7238.417),(43 7153.4277),(44 7176.7207),(45 7308.19),(46 7271.3223),(47 7256.2905),(48 7353.5557),(49 7320.0957),(50 7331.085),(51 7387.4155),(52 7389.068),(53 7440.32),(54 7461.8916),(55 7391.4526),(56 7441.6406),(57 7487.5747),(58 7461.149),(59 7582.8374),(60 7615.442),(61 7647.375),(62 7760.414),(63 7964.3433),(64 7895.2817),(65 7894.0503),(66 7939.088),(67 7859.2417),(68 7845.161),(69 7851.932),(70 7801.8345),(71 7861.3833),(72 7836.1934),(73 7805.7295),(74 7854.494),(75 7852.189),(76 7855.3125),(77 7918.5073),(78 7922.629),(79 7944),
(1 2241.808),(2 3301.5518),(3 3990.6545),(4 4507.722),(5 4723.721),(6 4992.847),(7 5241.4897),(8 5408.3877),(9 5513.632),(10 5689.6865),(11 5732.367),(12 5911.3896),(13 6147.614),(14 6152.56),(15 6272.3364),(16 6407.821),(17 6425.738),(18 6557.045),(19 6710.138),(20 6787.2993),(21 6823.988),(22 6743.3076),(23 6762.6504),(24 6891.7285),(25 6881.633),(26 6924.6943),(27 6986.09),(28 6944.641),(29 6962.646),(30 7026.686),(31 6977.579),(32 6993.8784),(33 7090.1187),(34 7060.2476),(35 7134.2065),(36 7210.493),(37 7113.258),(38 7100.3677),(39 7300.873),(40 7162.515),(41 7258.9854),(42 7412.891),(43 7371.608),(44 7374.9946),(45 7546.8364),(46 7615.108),(47 7574.675),(48 7600.515),(49 7577.6445),(50 7554.2183),(51 7662.1343),(52 7576.753),(53 7560.775),(54 7669.8384),(55 7616.361),(56 7604.318),(57 7642.448),(58 7556.911),(59 7552.351),(60 7576.3228),(61 7614.5215),(62 7729.4424),(63 7902.607),(64 7755.511),(65 7711.8022),(66 7727.2183),(67 7665.1504),(68 7665.7524),(69 7691.664),(70 7686.354),(71 7748.8364),(72 7689.167),(73 7632.1978),(74 7702.0815),(75 7654.5454),(76 7706.4287),(77 7784.09),(78 7759.5537),(79 7832.3784),
(1 2212.171),(2 3289.1816),(3 3903.8293),(4 4438.033),(5 4712.904),(6 4945.0864),(7 5207.913),(8 5366.2847),(9 5449.676),(10 5591.4087),(11 5651.193),(12 5732.552),(13 5976.514),(14 6033.892),(15 6107.5327),(16 6212.92),(17 6277.526),(18 6386.9575),(19 6409.5605),(20 6583.8823),(21 6656.918),(22 6550.936),(23 6626.496),(24 6684.025),(25 6679.6953),(26 6760.545),(27 6820.019),(28 6763.671),(29 6786.2813),(30 6929.202),(31 6839.7173),(32 6902.3965),(33 7036.0625),(34 6999.022),(35 7085.191),(36 7267.8335),(37 7209.9688),(38 7250.978),(39 7435.1616),(40 7393.8223),(41 7464.8047),(42 7593.626),(43 7568.5054),(44 7508.474),(45 7680.4165),(46 7679.092),(47 7671.772),(48 7705.8784),(49 7689.544),(50 7730.5264),(51 7798.7935),(52 7744.1533),(53 7728.7554),(54 7836.092),(55 7811.407),(56 7763.798),(57 7757.142),(58 7762.9004),(59 7803.2866),(60 7767.9043),(61 7716.047),(62 7702.8433),(63 7750.6274),(64 7703.2324),(65 7788.664),(66 7787.053),(67 7717.2485),(68 7735.605),(69 7821.29),(70 7799.0547),(71 7865.68),(72 7875.88),(73 7887.821),(74 7995.231),(75 7914.8853),(76 7919.022),(77 8039.9697),(78 8028.0166),(79 7982.025),
(1 2162.7466),(2 3192.5298),(3 3786.8904),(4 4356.6685),(5 4622.818),(6 4795.225),(7 5095.135),(8 5269.769),(9 5392.6367),(10 5598.876),(11 5677.5825),(12 5751.744),(13 5894.4272),(14 5921.746),(15 6086.7603),(16 6171.968),(17 6133.651),(18 6187.442),(19 6317.324),(20 6417.266),(21 6599.379),(22 6506.8115),(23 6596.0815),(24 6713.0884),(25 6667.8604),(26 6674.391),(27 6761.9307),(28 6720.369),(29 6698.794),(30 6794.6396),(31 6814.555),(32 6803.6123),(33 6972.429),(34 6953.9814),(35 7009.5903),(36 7159.121),(37 7144.1704),(38 7104.7705),(39 7281.882),(40 7143.6543),(41 7104.7373),(42 7193.337),(43 7211.0884),(44 7199.533),(45 7349.567),(46 7276.7573),(47 7297.222),(48 7367.3604),(49 7288.379),(50 7407.5625),(51 7470.361),(52 7460.4917),(53 7525.1973),(54 7559.9546),(55 7434.879),(56 7460.206),(57 7516.108),(58 7418.141),(59 7424.997),(60 7534.1885),(61 7496.798),(62 7463.0044),(63 7561.641),(64 7526.526),(65 7547.1646),(66 7535.7256),(67 7521.462),(68 7562.6494),(69 7633.029),(70 7585.69),(71 7643.686),(72 7593.9575),(73 7610.2656),(74 7706.6235),(75 7596.6294),(76 7625.081),(77 7687.3545),(78 7587.134),(79 7634.702),
(1 2185.2742),(2 3186.2212),(3 3812.2014),(4 4332.3936),(5 4554.19),(6 4801.1265),(7 5124.3345),(8 5279.909),(9 5402.575),(10 5623.5625),(11 5687.943),(12 5793.422),(13 6027.5083),(14 6006.5024),(15 6188.8447),(16 6282.438),(17 6257.9077),(18 6302.556),(19 6320.6006),(20 6434.315),(21 6608.065),(22 6637.134),(23 6691.697),(24 6780.27),(25 6728.218),(26 6709.0396),(27 6822.551),(28 6841.5747),(29 6846.718),(30 6872.2134),(31 6817.8237),(32 6762.366),(33 6765.4297),(34 6713.4927),(35 6719.633),(36 6740.4897),(37 6705.7036),(38 6662.3677),(39 6863.493),(40 6733.736),(41 6768.133),(42 6863.0215),(43 6837.281),(44 6808.5737),(45 6958.4717),(46 6922.715),(47 6977.825),(48 6992.6367),(49 6932.627),(50 7017.491),(51 7158.9375),(52 7083.0137),(53 7147.246),(54 7252.1895),(55 7169.112),(56 7224.979),(57 7267.02),(58 7135.7573),(59 7117.6763),(60 7186.1797),(61 7145.1133),(62 7133.8633),(63 7258.9565),(64 7124.801),(65 7131.2886),(66 7090.4575),(67 7032.2173),(68 7061.784),(69 7111.418),(70 7047.485),(71 7117.5454),(72 7021.0073),(73 7039.6313),(74 7176.558),(75 7075.743),(76 7118.9604),(77 7199.4326),(78 7052.719),(79 7097.5337),
(1 2103.5115),(2 3092.9995),(3 3688.1262),(4 4153.2695),(5 4383.1353),(6 4577.244),(7 4899.7583),(8 5037.054),(9 5171.9683),(10 5403.217),(11 5441.249),(12 5536.0347),(13 5739.9146),(14 5762.4014),(15 5896.0996),(16 5985.407),(17 6031.905),(18 6091.271),(19 6164.7695),(20 6249.601),(21 6384.473),(22 6355.627),(23 6401.26),(24 6529.8545),(25 6493.6655),(26 6519.7324),(27 6619.47),(28 6580.377),(29 6590.7925),(30 6678.203),(31 6539.299),(32 6511.947),(33 6602.923),(34 6526.819),(35 6516.5547),(36 6591.0146),(37 6568.5796),(38 6564.948),(39 6743.8647),(40 6682.5757),(41 6726.3716),(42 6810.6455),(43 6814.1396),(44 6785.8467),(45 6997.447),(46 6892.524),(47 6867.9824),(48 6921.6133),(49 6899.0273),(50 6941.8413),(51 7018.297),(52 6979.9673),(53 6961.6157),(54 7077.6943),(55 7012.236),(56 7161.906),(57 7202.673),(58 7109.9683),(59 7072.724),(60 7066.5947),(61 7034.267),(62 7040.0483),(63 7051.254),(64 7029.4824),(65 7033.6357),(66 7046.3813),(67 7090.6353),(68 7171.753),(69 7231.6196),(70 7186.8975),(71 7233.721),(72 7094.0728),(73 7093.0073),(74 7085.597),(75 7021.7925),(76 7035.463),(77 7132.0313),(78 7015.1943),(79 7049.0884),
(1 2107.6191),(2 3134.1519),(3 3762.724),(4 4171.9263),(5 4376.2188),(6 4557.944),(7 4850.0845),(8 5000.994),(9 5115.308),(10 5311.5024),(11 5354.563),(12 5459.5605),(13 5578.7764),(14 5568.24),(15 5752.621),(16 5817.5415),(17 5844.4214),(18 5847.696),(19 5925.173),(20 5941.3667),(21 6062.8486),(22 6012.687),(23 6100.9844),(24 6231.36),(25 6157.791),(26 6150.5767),(27 6266.663),(28 6227.135),(29 6249.441),(30 6366.345),(31 6253.494),(32 6263.153),(33 6374.585),(34 6381.779),(35 6378.5146),(36 6516.575),(37 6446.1196),(38 6463.331),(39 6539.817),(40 6446.3745),(41 6490.741),(42 6615.9033),(43 6596.5596),(44 6520.749),(45 6692.4404),(46 6678.028),(47 6662.9653),(48 6750.877),(49 6749.0913),(50 6800.2935),(51 6907.344),(52 6827.2227),(53 6827.513),(54 6929.413),(55 6906.75),(56 7004.522),(57 7013.778),(58 6979.601),(59 6919.256),(60 6928.5522),(61 6929.4116),(62 6935.4316),(63 7002.016),(64 6968.1724),(65 6998.0493),(66 7076.886),(67 7048.416),(68 7074.579),(69 7120.8467),(70 7038.1333),(71 7064.139),(72 6934.9727),(73 6887.175),(74 6941.329),(75 6896.27),(76 6931.461),(77 7018.16),(78 6930.5015),(79 6932.4165),
(1 2044.4484),(2 2977.0522),(3 3533.3687),(4 4021.7979),(5 4296.064),(6 4506.7246),(7 4759.7725),(8 4865.273),(9 4966.818),(10 5149.2754),(11 5195.585),(12 5339.8823),(13 5481.4155),(14 5479.802),(15 5629.998),(16 5665.754),(17 5719.241),(18 5798.8457),(19 5940.579),(20 6019.09),(21 6118.7407),(22 6055.228),(23 6096.17),(24 6201.222),(25 6077.5186),(26 6126.8315),(27 6204.0815),(28 6209.5933),(29 6209.363),(30 6264.8003),(31 6145.9434),(32 6136.887),(33 6227.0273),(34 6248.782),(35 6270.9434),(36 6376.585),(37 6375.149),(38 6367.351),(39 6462.036),(40 6423.608),(41 6504.4043),(42 6565.512),(43 6581.7954),(44 6583.9043),(45 6732.735),(46 6757.464),(47 6696.488),(48 6732.2446),(49 6625.0693),(50 6571.244),(51 6689.0376),(52 6566.821),(53 6578.408),(54 6619.621),(55 6610.3945),(56 6670.2876),(57 6758.818),(58 6752.5083),(59 6794.8657),(60 6863.2695),(61 6814.068),(62 6885.399),(63 6935.4927),(64 6901.2),(65 6910.4097),(66 6951.894),(67 6852.107),(68 6862.363),(69 6926.4907),(70 6821.2183),(71 6826.4683),(72 6697.1626),(73 6701.6763),(74 6739.4683),(75 6697.968),(76 6715.661),(77 6760.8643),(78 6724.2295),(79 6689.1655),
(1 1973.7327),(2 2896.1472),(3 3400.0364),(4 3877.9834),(5 4080.5964),(6 4251.9243),(7 4546.7227),(8 4664.6406),(9 4769.359),(10 4971.7783),(11 5084.9873),(12 5183.8555),(13 5367.7373),(14 5340.748),(15 5410.6914),(16 5538.7017),(17 5626.439),(18 5673.9565),(19 5772.5356),(20 5917.9067),(21 6013.814),(22 5914.993),(23 5985.847),(24 6086.292),(25 6052.8804),(26 6048.6587),(27 6092.87),(28 6071.6875),(29 6103.947),(30 6131.724),(31 6030.2754),(32 6082.2686),(33 6148.291),(34 6121.9316),(35 6171.8076),(36 6270.66),(37 6256.6616),(38 6281.7397),(39 6435.5664),(40 6305.83),(41 6373.015),(42 6411.7866),(43 6422.891),(44 6403.987),(45 6563.826),(46 6418.2793),(47 6398.0747),(48 6418.8276),(49 6293.4937),(50 6339.612),(51 6375.2534),(52 6321.7383),(53 6318.962),(54 6300.983),(55 6270.464),(56 6294.804),(57 6298.4653),(58 6307.85),(59 6347.1436),(60 6369.727),(61 6334.046),(62 6321.701),(63 6449.5664),(64 6378.907),(65 6362.8804),(66 6357.4165),(67 6310.773),(68 6294.779),(69 6335.656),(70 6282.1787),(71 6323.2905),(72 6187.9844),(73 6231.186),(74 6307.789),(75 6284.2207),(76 6279.1216),(77 6303.7925),(78 6216.4556),(79 6199.5913),
(1 1944.7196),(2 2894.194),(3 3456.9165),(4 3882.4744),(5 4131.7397),(6 4325.918),(7 4569.502),(8 4766.854),(9 4921.1475),(10 5087.244),(11 5156.005),(12 5222.035),(13 5359.196),(14 5399.268),(15 5504.0063),(16 5611.5503),(17 5620.138),(18 5685.1597),(19 5847.184),(20 5880.2246),(21 5958.326),(22 5889.199),(23 5978.4907),(24 6125.564),(25 5993.8804),(26 6005.304),(27 6150.9985),(28 6116.943),(29 6140.1167),(30 6159.054),(31 6047.34),(32 5992.1035),(33 6066.441),(34 6002.85),(35 6025.4805),(36 6149.116),(37 6070.7656),(38 6078.3467),(39 6206.1875),(40 6066.3853),(41 6072.841),(42 6217.439),(43 6134.8125),(44 6084.7246),(45 6218.577),(46 6248.1255),(47 6295.2935),(48 6315.783),(49 6308.09),(50 6345.3867),(51 6390.835),(52 6405.8086),(53 6454.4136),(54 6478.0957),(55 6460.608),(56 6488.6895),(57 6523.0894),(58 6484.324),(59 6495.4253),(60 6455.6475),(61 6409.95),(62 6411.8823),(63 6549.982),(64 6528.105),(65 6561.438),(66 6569.788),(67 6468.5376),(68 6446.093),(69 6426.4224),(70 6401.523),(71 6418.673),(72 6334.7773),(73 6366.3013),(74 6478.4395),(75 6429.673),(76 6365.443),(77 6443.974),(78 6373.432),(79 6391.0244),
(1 1928.4272),(2 2821.988),(3 3382.6177),(4 3724.9153),(5 3961.1294),(6 4131.778),(7 4358.5825),(8 4512.431),(9 4611.7383),(10 4732.057),(11 4811.918),(12 4922.747),(13 5070.065),(14 5069.892),(15 5151.2603),(16 5295.032),(17 5263.9487),(18 5330.399),(19 5474.4585),(20 5599.745),(21 5644.8696),(22 5539.226),(23 5652.4824),(24 5707.483),(25 5683.125),(26 5683.6187),(27 5844.413),(28 5808.087),(29 5849.8906),(30 5920.887),(31 5893.2275),(32 5928.2705),(33 6029.2485),(34 5988.6416),(35 6077.537),(36 6160.1997),(37 6053.6826),(38 6046.997),(39 6185.1235),(40 6054.35),(41 6122.1694),(42 6225.104),(43 6175.7188),(44 6199.848),(45 6276.133),(46 6293.381),(47 6268.5044),(48 6270.094),(49 6220.463),(50 6273.2305),(51 6336.4),(52 6274.972),(53 6256.0703),(54 6232.1953),(55 6203.7),(56 6219.384),(57 6269.412),(58 6223.691),(59 6272.81),(60 6303.19),(61 6263.3496),(62 6223.4307),(63 6269.2295),(64 6210.997),(65 6260.7515),(66 6362.64),(67 6275.2188),(68 6289.9956),(69 6335.4546),(70 6313.16),(71 6324.0693),(72 6235.1323),(73 6259.4424),(74 6412.0386),(75 6426.54),(76 6431.153),(77 6529.1987),(78 6383.5293),(79 6400.0425),
(1 1921.1737),(2 2791.9448),(3 3315.0215),(4 3696.2905),(5 3905.9917),(6 4103.8555),(7 4367.146),(8 4478.903),(9 4558.9727),(10 4709.638),(11 4760.414),(12 4835.9053),(13 5000.304),(14 5032.257),(15 5073.226),(16 5127.238),(17 5205.261),(18 5320.4795),(19 5425.779),(20 5534.245),(21 5583.067),(22 5466.1753),(23 5540.321),(24 5588.0923),(25 5620.7627),(26 5611.3535),(27 5764.209),(28 5786.3022),(29 5780.737),(30 5896.471),(31 5813.13),(32 5844.378),(33 5899.2603),(34 5847.5957),(35 5913.8926),(36 5979.7715),(37 5929.142),(38 5957.2285),(39 6098.281),(40 6016.0034),(41 6024.1396),(42 6121.7505),(43 6095.318),(44 6094.8975),(45 6184.569),(46 6204.2827),(47 6174.9897),(48 6237.1685),(49 6158.12),(50 6188.69),(51 6293.7944),(52 6189.785),(53 6178.25),(54 6170.075),(55 6116.0967),(56 6124.796),(57 6178.3594),(58 6146.4307),(59 6120.0215),(60 6210.5845),(61 6244.505),(62 6239.293),(63 6326.679),(64 6313.3438),(65 6358.776),(66 6382.454),(67 6239.271),(68 6187.8633),(69 6243.077),(70 6218.2866),(71 6242.4556),(72 6193.1055),(73 6141.9966),(74 6158.9097),(75 6037.5195),(76 6019.238),(77 6122.8037),(78 5998.846),(79 5993.5103),
