1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,512.5,513.5,514.5,515.5,516.5,517.5,518.5,519.5,520.5,521.5,522.5,523.5,524.5,525.5,526.5,527.5,528.5,529.5,530.5,531.5,532.5,533.5,534.5,535.5,536.5,537.5,538.5,539.5,540.5,541.5,542.5,543.5,544.5,545.5,546.5,547.5,548.5,549.5,550.5,551.5,552.5,553.5,554.5,555.5,556.5,557.5,558.5,559.5,560.5,561.5,562.5,563.5,564.5,565.5,566.5,567.5,568.5,569.5,570.5,571.5,572.5,573.5,574.5,575.5,576.5,577.5,578.5,579.5,580.5,581.5,582.5,583.5,584.5,585.5,586.5,587.5,588.5,589.5,590.5,591.5,592.5,593.5,594.5,595.5,596.5,597.5,598.5,599.5,600.5,601.5,602.5,603.5,604.5,605.5,606.5,607.5,608.5,609.5,610.5,611.5,612.5,613.5,614.5,615.5,616.5,617.5,618.5,619.5,620.5,621.5,622.5,623.5,624.5,625.5,626.5,627.5,628.5,629.5,630.5,631.5,632.5,633.5,634.5,635.5,636.5,637.5,638.5,639.5,640.5,641.5,642.5,643.5,644.5,645.5,646.5,647.5,648.5,649.5,650.5,651.5,652.5,653.5,654.5,655.5,656.5,657.5,658.5,659.5,660.5,661.5,662.5,663.5,664.5,665.5,666.5,667.5,668.5,669.5,670.5,671.5,672.5,673.5,674.5,675.5,676.5,677.5,678.5,679.5,680.5,681.5,682.5,683.5,684.5,685.5,686.5,687.5,688.5,689.5,690.5,691.5,692.5,693.5,694.5,695.5,696.5,697.5,698.5,699.5,700.5,701.5,702.5,703.5,704.5,705.5,706.5,707.5,708.5,709.5,710.5,711.5,712.5,713.5,714.5,715.5,716.5,717.5,718.5,719.5,720.5,721.5,722.5,723.5,724.5,725.5,726.5,727.5,728.5,729.5,730.5,731.5,732.5,733.5,734.5,735.5,736.5,737.5,738.5,739.5,740.5,741.5,742.5,743.5,744.5,745.5,746.5,747.5,748.5,749.5,750.5,751.5,752.5,753.5,754.5,755.5,756.5,757.5,758.5,759.5,760.5,761.5,762.5,763.5,764.5,765.5,766.5,767.5,768.5,769.5,770.5,771.5,772.5,773.5,774.5,775.5,776.5,777.5,778.5,779.5,780.5,781.5,782.5,783.5,784.5,785.5,786.5,787.5,788.5,789.5,790.5,791.5,792.5,793.5,794.5,795.5,796.5,797.5,798.5,799.5,800.5,801.5,802.5,803.5,804.5,805.5,806.5,807.5,808.5,809.5,810.5,811.5,812.5,813.5,814.5,815.5,816.5,817.5,818.5,819.5,820.5,821.5,822.5,823.5,824.5,825.5,826.5,827.5,828.5,829.5,830.5,831.5,832.5,833.5,834.5,835.5,836.5,837.5,838.5,839.5,840.5,841.5,842.5,843.5,844.5,845.5,846.5,847.5,848.5,849.5,850.5,851.5,852.5,853.5,854.5,855.5,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.5,879.5,880.5,881.5,882.5,883.5,884.5,885.5,886.5,887.5,888.5,889.5,890.5,891.5,892.5,893.5,894.5,895.5,896.5,897.5,898.5,899.5,900.5,901.5,902.5,903.5,904.5,905.5,906.5,907.5,908.5,909.5,910.5,911.5,912.5,913.5,914.5,915.5,916.5,917.5,918.5,919.5,920.5,921.5,922.5,923.5,924.5,925.5,926.5,927.5,928.5,929.5,930.5,931.5,932.5,933.5,934.5,935.5,936.5,937.5,938.5,939.5,940.5,941.5,942.5,943.5,944.5,945.5,946.5,947.5,948.5,949.5,950.5,951.5,952.5,953.5,954.5,955.5,956.5,957.5,958.5,959.5,
(1 37253.65),(2 17830.682),(3 39736.66),(4 10354.927),(5 42773.895),(6 20982.12),(7 44237.863),(8 15836.078),(9 45609),(10 19722.295),(11 45911.74),(12 16155.825),(13 44820.55),(14 22705.967),(15 45393.168),(16 13794.438),(17 44908.83),(18 24416.672),(19 44798.76),(20 9492.944),(21 45075.285),(22 24680.553),(23 45202.605),(24 14633.003),(25 46421.39),(26 23961.227),(27 46749.26),(28 17865.273),(29 46841.24),(30 21515.186),(31 48767.76),(32 19467.494),(33 47550.84),(34 24905.104),(35 48191.066),(36 16794.895),(37 46973.043),(38 25635.584),(39 47085.566),(40 12157.629),(41 47206.156),(42 26261.04),(43 48134.656),(44 18363.787),(45 49223.27),(46 26012.99),(47 50533.12),(48 22658.361),(49 50492.24),(50 23837.766),(51 51460.88),(52 23007.078),(53 50161.3),(54 26714.479),(55 50808.543),(56 20735.768),(57 50093.254),(58 28327.541),(59 50975.047),(60 16779.29),(61 50934.098),(62 29170.693),(63 51563.004),(64 22490.479),(65 52476.5),(66 28362.615),(67 53473.035),(68 26421.99),(69 54180.668),(70 26623.146),(71 55574.605),(72 28073.805),(73 54847.656),(74 31179.338),(75 56062.324),(76 26770.229),(77 55943.906),(78 33856.8),(79 55757.754),
(1 25.505522),(2 37.914577),(3 46.486736),(4 52.126774),(5 56.12584),(6 58.175964),(7 60.465965),(8 62.152065),(9 64.31953),(10 61.972836),(11 67.37831),(12 68.027054),(13 69.02801),(14 69.637505),(15 70.802505),(16 71.18238),(17 71.93408),(18 72.38494),(19 73.1498),(20 69.77949),(21 74.129486),(22 74.286316),(23 74.74459),(24 74.90449),(25 75.53253),(26 75.46947),(27 75.79602),(28 75.91941),(29 76.3051),(30 73.09988),(31 76.890945),(32 76.8547),(33 77.24202),(34 77.333694),(35 77.66494),(36 77.41431),(37 77.69382),(38 77.71621),(39 77.83274),(40 74.3422),(41 77.937996),(42 77.986244),(43 78.19924),(44 78.24026),(45 78.68891),(46 78.65897),(47 78.75823),(48 78.81467),(49 79.145966),(50 76.121056),(51 79.30245),(52 79.10562),(53 79.12901),(54 79.06764),(55 79.32613),(56 79.14938),(57 79.247734),(58 79.33791),(59 79.358925),(60 76.33494),(61 79.40946),(62 79.31585),(63 79.396835),(64 79.21132),(65 79.465866),(66 79.34704),(67 79.35275),(68 79.21301),(69 79.419235),(70 76.76058),(71 79.70838),(72 79.631355),(73 79.810486),(74 79.81496),(75 80.12806),(76 79.940506),(77 80.03534),(78 80.03634),(79 80.14153),
(1 25.393122),(2 37.868114),(3 46.5025),(4 52.014156),(5 56.007355),(6 58.06332),(7 60.251484),(8 61.75591),(9 63.855213),(10 61.65677),(11 66.65063),(12 67.31736),(13 68.39402),(14 68.93652),(15 70.12284),(16 70.547874),(17 71.369225),(18 71.83165),(19 72.586716),(20 69.35262),(21 73.46429),(22 73.60676),(23 74.075516),(24 74.11762),(25 74.75552),(26 74.75399),(27 75.07848),(28 75.20086),(29 75.532776),(30 72.38672),(31 76.013084),(32 75.91747),(33 76.413734),(34 76.561264),(35 77.01598),(36 76.80718),(37 77.11829),(38 77.289665),(39 77.39713),(40 74.04348),(41 77.51462),(42 77.54879),(43 77.77299),(44 77.61147),(45 78.10497),(46 78.14386),(47 78.3302),(48 78.18087),(49 78.45793),(50 75.45969),(51 78.5419),(52 78.30975),(53 78.56385),(54 78.51104),(55 78.68917),(56 78.40325),(57 78.51208),(58 78.44518),(59 78.532524),(60 75.62082),(61 78.66433),(62 78.67273),(63 78.91049),(64 78.83017),(65 79.238304),(66 79.24265),(67 79.236755),(68 79.08024),(69 79.27142),(70 76.56565),(71 79.2282),(72 79.04271),(73 79.266716),(74 79.23987),(75 79.42627),(76 79.21332),(77 79.32567),(78 79.35396),(79 79.50854),
(1 25.239506),(2 37.64825),(3 46.199078),(4 51.721554),(5 55.79801),(6 57.839703),(7 60.20695),(8 61.759518),(9 63.89133),(10 61.718254),(11 66.66076),(12 67.46132),(13 68.50077),(14 69.142654),(15 70.41072),(16 70.83333),(17 71.686264),(18 72.171234),(19 72.92546),(20 69.74688),(21 73.901375),(22 74.09792),(23 74.596794),(24 74.7441),(25 75.35629),(26 75.23308),(27 75.54142),(28 75.66472),(29 76.101616),(30 73.00976),(31 76.5132),(32 76.41881),(33 76.77263),(34 76.85651),(35 77.231705),(36 76.960526),(37 77.19919),(38 77.28427),(39 77.407616),(40 74.22976),(41 77.719246),(42 77.78623),(43 78.07533),(44 78.01352),(45 78.44241),(46 78.37304),(47 78.49878),(48 78.37867),(49 78.68434),(50 75.77739),(51 78.84976),(52 78.69336),(53 78.87928),(54 78.8117),(55 79.07877),(56 78.78966),(57 78.89219),(58 78.80237),(59 78.80335),(60 75.92209),(61 78.95026),(62 78.96201),(63 79.13853),(64 79.011055),(65 79.43504),(66 79.26791),(67 79.32922),(68 79.206665),(69 79.375595),(70 76.81624),(71 79.56332),(72 79.46878),(73 79.72398),(74 79.640915),(75 79.932594),(76 79.662056),(77 79.70628),(78 79.665054),(79 79.91477),
(1 25.131855),(2 37.493988),(3 46.046333),(4 51.6387),(5 55.70025),(6 57.685944),(7 59.96927),(8 61.520332),(9 63.564186),(10 61.486248),(11 66.3797),(12 67.206184),(13 68.252785),(14 68.89834),(15 70.10963),(16 70.50358),(17 71.27037),(18 71.73603),(19 72.489914),(20 69.48247),(21 73.5108),(22 73.67788),(23 74.20614),(24 74.42613),(25 75.02314),(26 74.91258),(27 75.266846),(28 75.33966),(29 75.657776),(30 72.63019),(31 76.14005),(32 76.060555),(33 76.32897),(34 76.41399),(35 76.780685),(36 76.60497),(37 76.83492),(38 76.91493),(39 77.10315),(40 73.92969),(41 77.30371),(42 77.40166),(43 77.51037),(44 77.43164),(45 77.80785),(46 77.62616),(47 77.73653),(48 77.70949),(49 77.99174),(50 75.36779),(51 78.36143),(52 78.21788),(53 78.29139),(54 78.23871),(55 78.46208),(56 78.10998),(57 78.14316),(58 78.141975),(59 78.17952),(60 75.38576),(61 78.26329),(62 78.19054),(63 78.266205),(64 78.12761),(65 78.474556),(66 78.38549),(67 78.453384),(68 78.29382),(69 78.39976),(70 75.99585),(71 78.626),(72 78.55878),(73 78.65123),(74 78.61056),(75 78.88039),(76 78.67705),(77 78.73474),(78 78.85023),(79 79.07748),
(1 25.039953),(2 37.426754),(3 46.08856),(4 51.71423),(5 55.63462),(6 57.667416),(7 59.90439),(8 61.40331),(9 63.49566),(10 61.51314),(11 66.34182),(12 67.12819),(13 68.25883),(14 68.77208),(15 69.8814),(16 70.25752),(17 71.02616),(18 71.40532),(19 72.16092),(20 69.27221),(21 73.16377),(22 73.39118),(23 73.856064),(24 74.00277),(25 74.545975),(26 74.45524),(27 74.779816),(28 74.85167),(29 75.26396),(30 72.312065),(31 75.66446),(32 75.69416),(33 76.05234),(34 76.1803),(35 76.4477),(36 76.27712),(37 76.53937),(38 76.598564),(39 76.83874),(40 73.81657),(41 77.11882),(42 77.12438),(43 77.308014),(44 77.234),(45 77.48155),(46 77.343376),(47 77.395706),(48 77.301315),(49 77.67892),(50 75.12437),(51 77.98662),(52 77.82616),(53 78.06098),(54 78.06202),(55 78.18297),(56 77.92649),(57 78.03215),(58 77.95914),(59 78.07305),(60 75.33947),(61 78.14907),(62 78.25574),(63 78.39774),(64 78.31927),(65 78.54204),(66 78.47668),(67 78.48738),(68 78.240105),(69 78.39945),(70 76.007385),(71 78.56033),(72 78.41962),(73 78.67926),(74 78.66866),(75 78.85001),(76 78.6584),(77 78.75389),(78 78.67316),(79 78.91051),
(1 24.941458),(2 37.243324),(3 45.815845),(4 51.302467),(5 55.26157),(6 57.25707),(7 59.516796),(8 61.06072),(9 63.133133),(10 61.17186),(11 65.9617),(12 66.67115),(13 67.702),(14 68.29088),(15 69.47525),(16 69.8639),(17 70.63765),(18 71.04927),(19 71.83856),(20 68.87304),(21 72.72638),(22 72.804),(23 73.407074),(24 73.54612),(25 74.11361),(26 74.04239),(27 74.45204),(28 74.49232),(29 74.92164),(30 72.00277),(31 75.398575),(32 75.36417),(33 75.75788),(34 75.74963),(35 76.06671),(36 75.858925),(37 76.133064),(38 76.130424),(39 76.31193),(40 73.26467),(41 76.51187),(42 76.546524),(43 76.77442),(44 76.632225),(45 76.9481),(46 76.74538),(47 76.89279),(48 76.7703),(49 77.10598),(50 74.44396),(51 77.4561),(52 77.40365),(53 77.5635),(54 77.49841),(55 77.772125),(56 77.5552),(57 77.75966),(58 77.70536),(59 77.864334),(60 75.15454),(61 77.94378),(62 78.023705),(63 78.10799),(64 77.931915),(65 78.19898),(66 78.09716),(67 78.1792),(68 78.113396),(69 78.26889),(70 75.9058),(71 78.40664),(72 78.299484),(73 78.3943),(74 78.24751),(75 78.46966),(76 78.24804),(77 78.359024),(78 78.33635),(79 78.6145),
(1 24.7346),(2 37.00925),(3 45.482983),(4 50.877018),(5 54.755814),(6 56.716022),(7 58.943317),(8 60.451756),(9 62.47111),(10 60.640602),(11 65.28196),(12 66.036514),(13 67.175575),(14 67.89529),(15 69.04831),(16 69.358284),(17 70.16646),(18 70.54847),(19 71.27019),(20 68.42394),(21 72.11951),(22 72.331696),(23 72.910675),(24 73.06027),(25 73.65851),(26 73.70901),(27 74.0305),(28 74.07168),(29 74.47494),(30 71.72715),(31 74.97031),(32 74.89083),(33 75.29577),(34 75.40568),(35 75.758224),(36 75.64016),(37 75.88138),(38 75.84536),(39 75.96045),(40 72.89245),(41 76.00009),(42 76.04175),(43 76.219734),(44 75.993546),(45 76.34915),(46 76.248924),(47 76.38639),(48 76.26489),(49 76.53859),(50 73.94033),(51 76.64708),(52 76.53926),(53 76.737564),(54 76.789536),(55 77.002014),(56 76.83309),(57 76.95766),(58 76.968155),(59 77.12879),(60 74.54044),(61 77.141785),(62 77.180214),(63 77.227104),(64 77.02806),(65 77.34204),(66 77.34726),(67 77.47426),(68 77.31874),(69 77.505325),(70 75.18283),(71 77.47564),(72 77.31793),(73 77.56677),(74 77.55067),(75 77.718315),(76 77.50762),(77 77.602325),(78 77.50059),(79 77.71176),
(1 24.64501),(2 36.95006),(3 45.454193),(4 50.879078),(5 54.72789),(6 56.67133),(7 58.922),(8 60.50172),(9 62.596596),(10 60.81689),(11 65.43887),(12 66.122215),(13 67.18033),(14 67.80954),(15 68.94317),(16 69.304245),(17 70.02915),(18 70.27484),(19 70.98936),(20 68.22961),(21 71.87052),(22 72.02397),(23 72.60119),(24 72.85089),(25 73.41393),(26 73.35307),(27 73.70419),(28 73.78179),(29 74.15992),(30 71.47914),(31 74.76623),(32 74.642265),(33 75.02763),(34 75.11322),(35 75.34258),(36 75.09139),(37 75.322174),(38 75.43172),(39 75.625626),(40 72.716156),(41 75.80002),(42 75.862686),(43 76.02877),(44 75.899),(45 76.23595),(46 76.123344),(47 76.25892),(48 76.07247),(49 76.35366),(50 73.75214),(51 76.400345),(52 76.239136),(53 76.39981),(54 76.47116),(55 76.62515),(56 76.38118),(57 76.560616),(58 76.51418),(59 76.68199),(60 74.16951),(61 76.88268),(62 76.955055),(63 77.04265),(64 76.86076),(65 77.03763),(66 76.94892),(67 77.04082),(68 76.8857),(69 77.06874),(70 74.84233),(71 77.25385),(72 77.07949),(73 77.235535),(74 77.19719),(75 77.43007),(76 77.2421),(77 77.34622),(78 77.28295),(79 77.52052),
(1 24.562216),(2 36.783863),(3 45.34861),(4 50.677998),(5 54.48145),(6 56.387295),(7 58.55587),(8 59.984917),(9 62.04441),(10 60.32448),(11 64.78921),(12 65.50442),(13 66.627975),(14 67.13647),(15 68.252106),(16 68.70756),(17 69.55428),(18 69.84136),(19 70.5523),(20 67.82337),(21 71.49676),(22 71.641975),(23 72.199554),(24 72.28765),(25 72.795975),(26 72.736305),(27 73.0807),(28 73.00652),(29 73.42174),(30 70.78055),(31 74.015396),(32 74.07542),(33 74.53921),(34 74.61757),(35 74.83807),(36 74.61358),(37 74.951996),(38 74.98085),(39 75.221565),(40 72.366714),(41 75.3648),(42 75.36458),(43 75.64107),(44 75.5497),(45 75.7602),(46 75.62344),(47 75.790375),(48 75.643654),(49 75.982025),(50 73.53079),(51 76.1466),(52 75.924255),(53 76.25688),(54 76.3046),(55 76.4131),(56 76.2196),(57 76.41955),(58 76.28817),(59 76.49863),(60 74.002914),(61 76.580635),(62 76.55309),(63 76.74491),(64 76.56118),(65 76.85315),(66 76.813866),(67 76.93691),(68 76.66361),(69 76.78849),(70 74.56556),(71 76.90208),(72 76.74119),(73 76.95174),(74 76.90213),(75 77.121475),(76 77.0274),(77 77.20457),(78 77.15414),(79 77.41827),
(1 24.521944),(2 36.741005),(3 45.213142),(4 50.542923),(5 54.356094),(6 56.331673),(7 58.608097),(8 60.120857),(9 62.233383),(10 60.5),(11 64.95718),(12 65.66448),(13 66.79872),(14 67.354996),(15 68.55425),(16 69.01868),(17 69.85909),(18 70.22636),(19 70.97427),(20 68.18567),(21 71.85582),(22 71.966866),(23 72.46077),(24 72.58335),(25 73.15424),(26 73.167984),(27 73.58696),(28 73.58891),(29 74.06572),(30 71.40068),(31 74.5216),(32 74.41799),(33 74.77444),(34 74.82472),(35 75.058426),(36 74.84536),(37 75.134766),(38 75.095406),(39 75.31136),(40 72.54689),(41 75.49992),(42 75.55193),(43 75.76501),(44 75.60052),(45 75.90519),(46 75.81122),(47 75.98389),(48 75.8129),(49 76.199814),(50 73.76239),(51 76.435715),(52 76.28453),(53 76.50256),(54 76.504196),(55 76.66161),(56 76.40833),(57 76.60266),(58 76.42153),(59 76.65897),(60 74.202576),(61 76.7077),(62 76.66634),(63 76.70691),(64 76.525116),(65 76.84268),(66 76.841034),(67 76.94023),(68 76.816414),(69 77.083046),(70 74.9476),(71 77.210976),(72 77.09877),(73 77.33376),(74 77.33412),(75 77.47237),(76 77.30463),(77 77.39258),(78 77.21982),(79 77.471794),
(1 24.380285),(2 36.55989),(3 45.068413),(4 50.324806),(5 54.097992),(6 56.04982),(7 58.361954),(8 59.82548),(9 61.861423),(10 60.127323),(11 64.60458),(12 65.314095),(13 66.42647),(14 66.97991),(15 68.13587),(16 68.57881),(17 69.4495),(18 69.69411),(19 70.38797),(20 67.666756),(21 71.227554),(22 71.40204),(23 71.9352),(24 72.01868),(25 72.580605),(26 72.543655),(27 72.994804),(28 72.94665),(29 73.379234),(30 70.75293),(31 73.86492),(32 73.73494),(33 74.123474),(34 74.18291),(35 74.39932),(36 74.123055),(37 74.420815),(38 74.38559),(39 74.646515),(40 71.8919),(41 74.84587),(42 74.85532),(43 75.09192),(44 74.98907),(45 75.29983),(46 75.27366),(47 75.54742),(48 75.30755),(49 75.572105),(50 73.13679),(51 75.786026),(52 75.5369),(53 75.65934),(54 75.591774),(55 75.772194),(56 75.549126),(57 75.84),(58 75.83856),(59 75.98661),(60 73.56198),(61 76.05825),(62 76.118645),(63 76.264366),(64 76.16763),(65 76.42831),(66 76.33626),(67 76.412125),(68 76.25768),(69 76.46042),(70 74.35327),(71 76.48925),(72 76.31032),(73 76.45149),(74 76.37682),(75 76.46799),(76 76.25868),(77 76.42142),(78 76.283226),(79 76.49232),
(1 24.33294),(2 36.399178),(3 44.853794),(4 50.08307),(5 53.905212),(6 55.980938),(7 58.25722),(8 59.709034),(9 61.83878),(10 60.155296),(11 64.47252),(12 65.120705),(13 66.17736),(14 66.691444),(15 67.789314),(16 68.25358),(17 69.17347),(18 69.48283),(19 70.24532),(20 67.62515),(21 71.133965),(22 71.17578),(23 71.730995),(24 71.77027),(25 72.32899),(26 72.43596),(27 72.895256),(28 72.941154),(29 73.47332),(30 70.85651),(31 73.91384),(32 73.73109),(33 74.11498),(34 74.17355),(35 74.49227),(36 74.30919),(37 74.64526),(38 74.63494),(39 74.84854),(40 72.05075),(41 74.86728),(42 74.87538),(43 75.12812),(44 75.07267),(45 75.32294),(46 75.23158),(47 75.445076),(48 75.26905),(49 75.58506),(50 73.175354),(51 75.799286),(52 75.54565),(53 75.77986),(54 75.7546),(55 75.99013),(56 75.75081),(57 76.01333),(58 75.86493),(59 76.035164),(60 73.63952),(61 76.1371),(62 76.09681),(63 76.23886),(64 76.12945),(65 76.28537),(66 76.19835),(67 76.34491),(68 76.10163),(69 76.365486),(70 74.30576),(71 76.41092),(72 76.17708),(73 76.33051),(74 76.25364),(75 76.41904),(76 76.21608),(77 76.46262),(78 76.40346),(79 76.64849),
(1 24.244854),(2 36.3314),(3 44.753407),(4 49.982807),(5 53.625725),(6 55.519176),(7 57.730537),(8 59.013996),(9 61.074646),(10 59.52703),(11 63.918163),(12 64.667114),(13 65.8606),(14 66.38083),(15 67.50972),(16 67.89233),(17 68.7463),(18 68.98629),(19 69.8584),(20 67.2297),(21 70.700745),(22 70.90048),(23 71.49087),(24 71.62579),(25 72.09277),(26 72.09717),(27 72.50614),(28 72.37425),(29 72.7966),(30 70.29522),(31 73.21851),(32 73.109505),(33 73.542465),(34 73.58432),(35 73.867065),(36 73.598816),(37 73.999),(38 73.98471),(39 74.19978),(40 71.39691),(41 74.16373),(42 74.183495),(43 74.450035),(44 74.33899),(45 74.6716),(46 74.60764),(47 74.86711),(48 74.66114),(49 74.9605),(50 72.62401),(51 75.15513),(52 74.89935),(53 75.25983),(54 75.29975),(55 75.53531),(56 75.23781),(57 75.39266),(58 75.22483),(59 75.46139),(60 73.12404),(61 75.62149),(62 75.53483),(63 75.69383),(64 75.561134),(65 75.707695),(66 75.57255),(67 75.76503),(68 75.437065),(69 75.78627),(70 73.76586),(71 75.83831),(72 75.62288),(73 75.83405),(74 75.89686),(75 76.02037),(76 75.80062),(77 76.02271),(78 75.83834),(79 76.19052),
(1 23.990585),(2 36.02505),(3 44.352375),(4 49.64479),(5 53.3213),(6 55.33281),(7 57.487225),(8 58.82886),(9 60.891224),(10 59.385624),(11 63.63287),(12 64.37379),(13 65.52372),(14 66.16491),(15 67.19012),(16 67.62956),(17 68.51904),(18 68.86572),(19 69.62204),(20 67.03454),(21 70.376434),(22 70.52286),(23 71.11818),(24 71.29904),(25 71.725174),(26 71.70705),(27 72.08559),(28 71.993744),(29 72.46311),(30 70.036255),(31 73.01676),(32 72.93356),(33 73.2989),(34 73.32631),(35 73.5517),(36 73.31772),(37 73.604614),(38 73.6119),(39 73.74972),(40 71.0737),(41 73.76374),(42 73.708435),(43 73.96855),(44 73.89954),(45 74.197044),(46 74.15725),(47 74.31308),(48 74.06872),(49 74.34787),(50 71.96228),(51 74.439445),(52 74.30025),(53 74.64505),(54 74.75992),(55 74.91057),(56 74.70062),(57 74.9031),(58 74.76138),(59 74.95397),(60 72.59618),(61 74.98427),(62 75.088776),(63 75.27955),(64 75.17762),(65 75.30704),(66 75.263),(67 75.42764),(68 75.10425),(69 75.406265),(70 73.28811),(71 75.320335),(72 75.14097),(73 75.38865),(74 75.39554),(75 75.551025),(76 75.38057),(77 75.50425),(78 75.32346),(79 75.6272),
(1 24.090431),(2 36.1249),(3 44.557392),(4 49.820274),(5 53.52608),(6 55.554134),(7 57.693253),(8 58.997757),(9 61.035786),(10 59.50251),(11 63.739056),(12 64.5),(13 65.58),(14 66.15544),(15 67.13957),(16 67.67002),(17 68.535194),(18 68.756905),(19 69.593254),(20 67.13096),(21 70.572365),(22 70.68349),(23 71.207146),(24 71.27499),(25 71.74745),(26 71.79381),(27 72.257706),(28 72.17912),(29 72.69271),(30 70.2946),(31 73.29486),(32 73.20146),(33 73.654015),(34 73.7736),(35 74.03551),(36 73.79883),(37 74.108475),(38 74.05552),(39 74.313545),(40 71.59674),(41 74.31203),(42 74.227806),(43 74.50103),(44 74.3816),(45 74.5112),(46 74.36451),(47 74.549545),(48 74.25607),(49 74.54453),(50 72.227936),(51 74.68812),(52 74.56205),(53 74.85422),(54 74.915436),(55 75.11481),(56 74.8972),(57 75.17418),(58 75.014244),(59 75.18375),(60 72.85023),(61 75.15227),(62 75.22194),(63 75.438515),(64 75.36028),(65 75.679085),(66 75.66133),(67 75.84365),(68 75.56054),(69 75.82569),(70 73.82747),(71 75.81705),(72 75.57706),(73 75.73629),(74 75.65931),(75 75.836685),(76 75.54386),(77 75.72619),(78 75.5906),(79 75.89324),
