1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 44288.105),(2 132221.86),(3 284231.8),(4 462744.9),(5 706774.94),(6 969348.3),(7 1250088.9),(8 1582796),(9 1942954.4),(10 2317056.3),(11 2722240.5),(12 3126749),(13 3542946.8),(14 3969752.3),(15 4380518.5),(16 4777756.5),(17 5169369),(18 5533517.5),(19 5901289.5),(20 6252510.5),(21 6613226.5),(22 6979372),(23 7328504.5),(24 7706405.5),(25 8065768.5),(26 8444395),(27 8764037),(28 9142031),(29 9467165),(30 9787065),(31 10040340),(32 10295897),(33 10585079),(34 10844175),(35 11120457),(36 11395849),(37 11674629),(38 11904313),(39 12199817),(40 12492064),(41 12836164),(42 13158985),(43 13517621),(44 13877404),(45 14276773),(46 14667215),(47 15123969),(48 15556657),(49 16009611),(50 16418384),(51 16892448),(52 17374362),(53 17957716),(54 18409274),(55 18992806),(56 19543054),(57 20105410),(58 20729236),(59 21419008),(60 22089636),(61 22784318),(62 23432920),(63 24118790),(64 24860014),(65 25596970),(66 26333926),(67 27130856),(68 27908784),(69 28638386),(70 29408986),(71 30188552),(72 30926768),(73 31629846),(74 32193960),(75 32713568),(76 33170102),(77 33630132),(78 34049100),(79 34481610),
(1 388.49576),(2 600.80597),(3 732.5682),(4 836.6978),(5 921.1035),(6 997.6079),(7 1043.4249),(8 1082.4149),(9 1129.7842),(10 1159.5455),(11 1197.4308),(12 1207.4849),(13 1219.486),(14 1253.3429),(15 1278.2092),(16 1282.7294),(17 1299.6195),(18 1314.7338),(19 1329.1135),(20 1338.5493),(21 1334.0487),(22 1336.4312),(23 1347.1067),(24 1347.9106),(25 1353.7579),(26 1341.198),(27 1363.4865),(28 1349.872),(29 1352.5105),(30 1368.7181),(31 1367.8768),(32 1383.8085),(33 1389.9454),(34 1410.8243),(35 1412.765),(36 1420.076),(37 1445.7864),(38 1466.0262),(39 1466.7559),(40 1465.791),(41 1475.3717),(42 1475.9342),(43 1471.9023),(44 1478.5623),(45 1480.3094),(46 1494.6395),(47 1483.5114),(48 1480.2035),(49 1490.2543),(50 1494.9453),(51 1486.0354),(52 1497.2776),(53 1485.9636),(54 1489.0806),(55 1497.6804),(56 1494.9186),(57 1504.7288),(58 1517.9601),(59 1523.033),(60 1525.8843),(61 1512.9177),(62 1513.4506),(63 1532.8275),(64 1519.4895),(65 1509.6646),(66 1503.1515),(67 1514.5876),(68 1509.9761),(69 1517.1133),(70 1511.1228),(71 1517.906),(72 1502.8442),(73 1506.6687),(74 1495.4172),(75 1520.4619),(76 1509.5331),(77 1506.975),(78 1506.8015),(79 1505.0112),
(1 367.319),(2 574.8226),(3 703.3002),(4 795.38666),(5 871.5135),(6 951.44617),(7 998.81445),(8 1031.1469),(9 1067.3),(10 1091.1434),(11 1119.7567),(12 1147.2948),(13 1180.3934),(14 1195.9224),(15 1229.4117),(16 1240.9839),(17 1258.1156),(18 1268.3955),(19 1282.2115),(20 1291.3804),(21 1299.6387),(22 1306.4186),(23 1314.5592),(24 1314.0398),(25 1332.5015),(26 1332.3823),(27 1363.0919),(28 1354.5342),(29 1364.0497),(30 1356.7805),(31 1354.3082),(32 1357.0886),(33 1354.4254),(34 1359.1268),(35 1348.0015),(36 1343.1475),(37 1348.7863),(38 1357.7947),(39 1346.3966),(40 1349.5065),(41 1366.6581),(42 1369.9075),(43 1372.9021),(44 1373.1954),(45 1366.6561),(46 1362.5758),(47 1366.301),(48 1373.7294),(49 1366.4034),(50 1390.7136),(51 1375.4493),(52 1403.1519),(53 1400.6947),(54 1417.8337),(55 1440.4132),(56 1440.0074),(57 1449.1956),(58 1433.4694),(59 1420.1134),(60 1412.0458),(61 1413.5844),(62 1398.6396),(63 1392.0503),(64 1402.531),(65 1412.9391),(66 1413.1183),(67 1407.6674),(68 1422.8524),(69 1414.8425),(70 1418.9121),(71 1423.069),(72 1415.7582),(73 1410.9938),(74 1401.647),(75 1422.4313),(76 1414.6592),(77 1422.2135),(78 1416.4554),(79 1423.9359),
(1 367.4408),(2 570.3339),(3 685.9659),(4 771.23663),(5 845.4598),(6 922.9412),(7 973.7663),(8 1011.8422),(9 1037.2751),(10 1067.415),(11 1108.5061),(12 1141.0763),(13 1165.5199),(14 1172.0664),(15 1181.9098),(16 1194.8196),(17 1212.1724),(18 1232.4254),(19 1250.3799),(20 1267.6423),(21 1273.2506),(22 1285.5521),(23 1292.0819),(24 1284.5374),(25 1314.8081),(26 1317.3765),(27 1331.6549),(28 1323.2239),(29 1318.775),(30 1320.7832),(31 1318.9987),(32 1321.5834),(33 1317.3647),(34 1334.2089),(35 1336.6074),(36 1338.2284),(37 1347.681),(38 1348.4257),(39 1332.1549),(40 1344.9154),(41 1345.0168),(42 1351.4973),(43 1345.2467),(44 1340.28),(45 1330.2075),(46 1332.7511),(47 1318.9264),(48 1328.5177),(49 1310.8531),(50 1322.7086),(51 1327.2206),(52 1345.4868),(53 1344.7542),(54 1351.9073),(55 1353.1533),(56 1342.781),(57 1351.0968),(58 1348.396),(59 1350.4962),(60 1331.415),(61 1341.7493),(62 1336.5394),(63 1343.773),(64 1337.1937),(65 1349.1266),(66 1352.1747),(67 1351.1583),(68 1330.5209),(69 1334.7611),(70 1335.905),(71 1339.9692),(72 1344.7059),(73 1361.7235),(74 1360.255),(75 1366.0116),(76 1362.8597),(77 1366.8752),(78 1371.7906),(79 1365.4486),
(1 374.40182),(2 572.9563),(3 681.2802),(4 768.3192),(5 838.37866),(6 902.2486),(7 935.10913),(8 978.0793),(9 1018.20807),(10 1061.1935),(11 1084.8488),(12 1099.4119),(13 1129.1892),(14 1136.6492),(15 1163.7875),(16 1165.1129),(17 1197.3925),(18 1206.4368),(19 1215.8923),(20 1224.2418),(21 1236.4626),(22 1236.1854),(23 1246.8497),(24 1249.3237),(25 1274.4412),(26 1275.89),(27 1285.1309),(28 1275.1746),(29 1279.2904),(30 1274.5574),(31 1270.9645),(32 1285.5739),(33 1284.1758),(34 1294.6062),(35 1301.9236),(36 1302.4124),(37 1296.4427),(38 1301.177),(39 1301.2291),(40 1300.3634),(41 1295.0468),(42 1298.0851),(43 1298.6328),(44 1298.5205),(45 1304.6558),(46 1333.6106),(47 1325.2314),(48 1311.2788),(49 1307.7875),(50 1315.9114),(51 1315.6116),(52 1319.9099),(53 1315.0822),(54 1313.0618),(55 1323.1583),(56 1308.2726),(57 1319.013),(58 1300.2482),(59 1310.0739),(60 1310.9413),(61 1322.1453),(62 1323.8438),(63 1346.6454),(64 1336.3153),(65 1343.0878),(66 1326.6456),(67 1327.0382),(68 1330.7269),(69 1338.793),(70 1331.3372),(71 1339.9845),(72 1339.6735),(73 1354.6447),(74 1352.9403),(75 1372.6732),(76 1366.0663),(77 1362.1256),(78 1377.4564),(79 1372.6974),
(1 357.978),(2 571.7088),(3 659.1587),(4 750.9005),(5 824.3867),(6 896.6504),(7 940.74493),(8 971.6221),(9 1008.86475),(10 1020.72437),(11 1048.8438),(12 1086.8506),(13 1122.2043),(14 1132.9087),(15 1158.2987),(16 1156.6233),(17 1183.4542),(18 1203.5719),(19 1216.211),(20 1221.0237),(21 1218.0491),(22 1235.988),(23 1249.705),(24 1256.7007),(25 1277.3385),(26 1265.6354),(27 1283.638),(28 1287.5299),(29 1285.0094),(30 1279.6466),(31 1280.2708),(32 1296.7236),(33 1285.8472),(34 1293.5072),(35 1271.7145),(36 1276.1304),(37 1279.6553),(38 1295.1553),(39 1288.0264),(40 1297.948),(41 1295.4642),(42 1313.7931),(43 1313.4747),(44 1308.1774),(45 1308.7682),(46 1302.0537),(47 1300.7277),(48 1291.3029),(49 1272.3074),(50 1276.2012),(51 1270.5103),(52 1273.7604),(53 1270.9319),(54 1282.5767),(55 1294.5706),(56 1281.3417),(57 1278.803),(58 1274.3535),(59 1280.7821),(60 1273.9355),(61 1270.5259),(62 1275.0223),(63 1289.3655),(64 1295.2019),(65 1294.4836),(66 1283.6223),(67 1296.9553),(68 1307.9221),(69 1321.2079),(70 1314.4861),(71 1324.1478),(72 1334.9302),(73 1338.3478),(74 1342.2263),(75 1354.3389),(76 1359.067),(77 1363.6389),(78 1374.5278),(79 1363.5697),
(1 356.82092),(2 561.76044),(3 662.64484),(4 760.05347),(5 831.6974),(6 899.8053),(7 945.5607),(8 983.09265),(9 1025.3323),(10 1032.5996),(11 1071.5227),(12 1089.8855),(13 1120.8711),(14 1136.798),(15 1160.0022),(16 1156.2428),(17 1178.487),(18 1191.5488),(19 1206.7726),(20 1215.6285),(21 1217.035),(22 1227.9143),(23 1244.926),(24 1240.2657),(25 1224.6208),(26 1218.518),(27 1239.684),(28 1235.3185),(29 1255.8278),(30 1241.0918),(31 1229.8556),(32 1241.136),(33 1243.4249),(34 1257.5206),(35 1245.3552),(36 1256.215),(37 1249.9032),(38 1263.4034),(39 1268.0486),(40 1271.5139),(41 1260.0968),(42 1275.1172),(43 1258.0615),(44 1267.451),(45 1267.6676),(46 1294.0278),(47 1285.0945),(48 1289.0499),(49 1275.3461),(50 1281.4204),(51 1292.9073),(52 1303.6866),(53 1291.2113),(54 1289.6968),(55 1293.5753),(56 1289.5884),(57 1290.5178),(58 1276.633),(59 1278.8876),(60 1276.8967),(61 1269.8119),(62 1264.4517),(63 1270.5966),(64 1274.2642),(65 1277.7095),(66 1273.8197),(67 1262.637),(68 1260.9459),(69 1262.3186),(70 1281.336),(71 1272.603),(72 1275.8326),(73 1280.7795),(74 1278.3959),(75 1292.515),(76 1286.4366),(77 1297.9221),(78 1303.0576),(79 1294.6249),
(1 350.0056),(2 538.0549),(3 652.67267),(4 727.9395),(5 790.4129),(6 859.78577),(7 902.0762),(8 936.66876),(9 967.1714),(10 1004.5171),(11 1033.149),(12 1055.6699),(13 1084.8977),(14 1095.1149),(15 1118.3126),(16 1129.9642),(17 1150.6173),(18 1175.0127),(19 1194.7876),(20 1181.6194),(21 1194.8501),(22 1194.067),(23 1206.0842),(24 1216.2283),(25 1220.6827),(26 1230.608),(27 1266.9047),(28 1266.2932),(29 1285.1869),(30 1271.8091),(31 1268.9087),(32 1261.4463),(33 1266.2083),(34 1288.241),(35 1286.7206),(36 1298.6263),(37 1295.8981),(38 1305.1273),(39 1312.6289),(40 1295.2021),(41 1286.3741),(42 1307.6803),(43 1306.521),(44 1324.5924),(45 1314.0184),(46 1327.6434),(47 1334.5359),(48 1336.4149),(49 1333.8867),(50 1328.0952),(51 1322.9746),(52 1330.0759),(53 1317.7284),(54 1300.2024),(55 1299.1537),(56 1288.5441),(57 1274.7227),(58 1264.9305),(59 1270.5857),(60 1264.5098),(61 1264.1486),(62 1273.7081),(63 1300.6128),(64 1299.328),(65 1272.7845),(66 1274.1953),(67 1278.4377),(68 1253.6844),(69 1260.2134),(70 1255.665),(71 1264.0665),(72 1259.699),(73 1259.2594),(74 1271.6277),(75 1278.4589),(76 1268.0865),(77 1263.5308),(78 1260.3428),(79 1242.6461),
(1 339.41458),(2 530.75696),(3 637.4019),(4 717.4554),(5 783.32043),(6 848.24396),(7 883.35754),(8 926.2495),(9 967.01807),(10 990.90704),(11 1019.6628),(12 1027.3236),(13 1041.6771),(14 1058.5834),(15 1067.7314),(16 1078.5194),(17 1087.2476),(18 1096.2776),(19 1112.6648),(20 1113.0138),(21 1128.53),(22 1143.0543),(23 1160.8326),(24 1162.245),(25 1167.1359),(26 1156.8492),(27 1174.0011),(28 1190.9314),(29 1191.4879),(30 1182.854),(31 1179.2562),(32 1191.6692),(33 1192.3152),(34 1205.0549),(35 1199.8141),(36 1194.8839),(37 1196.323),(38 1212.4536),(39 1218.7286),(40 1218.5476),(41 1214.5728),(42 1235.0582),(43 1229.1614),(44 1246.2423),(45 1244.076),(46 1253.2546),(47 1242.7295),(48 1240.3729),(49 1227.4937),(50 1245.3556),(51 1229.0499),(52 1230.5496),(53 1221.0774),(54 1209.7323),(55 1224.0645),(56 1211.7533),(57 1212.8234),(58 1209.5079),(59 1213.5477),(60 1204.1678),(61 1211.3146),(62 1210.8713),(63 1212.057),(64 1201.2412),(65 1195.6792),(66 1171.772),(67 1160.8617),(68 1158.5928),(69 1164.9211),(70 1185.7096),(71 1191.0366),(72 1191.2577),(73 1191.3386),(74 1191.2412),(75 1196.6173),(76 1178.9092),(77 1180.5913),(78 1182.0262),(79 1188.2408),
(1 338.67395),(2 519.50037),(3 622.7767),(4 695.63654),(5 767.7736),(6 835.7347),(7 871.3698),(8 896.8177),(9 929.8807),(10 962.98816),(11 1011.3176),(12 1022.4152),(13 1055.4718),(14 1077.8419),(15 1095.4098),(16 1109.3715),(17 1111.2284),(18 1112.8488),(19 1125.697),(20 1134.2867),(21 1150.252),(22 1139.4706),(23 1156.296),(24 1152.5193),(25 1156.8755),(26 1156.1632),(27 1168.2709),(28 1161.2749),(29 1176.9286),(30 1168.8514),(31 1167.5043),(32 1188.9269),(33 1177.6979),(34 1192.9418),(35 1189.5905),(36 1188.8934),(37 1181.8314),(38 1201.6935),(39 1195.2898),(40 1200.5717),(41 1196.9353),(42 1203.1296),(43 1197.8792),(44 1221.4017),(45 1222.4547),(46 1252.2501),(47 1234.1649),(48 1237.8547),(49 1240.7743),(50 1254.7698),(51 1241.3174),(52 1260.3678),(53 1251.1426),(54 1253.7684),(55 1259.6769),(56 1247.943),(57 1239.3561),(58 1224.6537),(59 1233.6259),(60 1237.063),(61 1248.2385),(62 1239.977),(63 1256.859),(64 1254.2844),(65 1253.1426),(66 1237.5988),(67 1237.7233),(68 1223.01),(69 1215.9279),(70 1208.5681),(71 1213.9813),(72 1210.0886),(73 1213.7316),(74 1217.1888),(75 1231.3456),(76 1211.8529),(77 1209.4496),(78 1202.9644),(79 1195.9286),
(1 325.35114),(2 495.39532),(3 608.8024),(4 678.51825),(5 735.80225),(6 798.3388),(7 826.56116),(8 848.13324),(9 900.5379),(10 920.23267),(11 946.38513),(12 972.4028),(13 1000.4618),(14 1026.0402),(15 1054.4087),(16 1061.0592),(17 1086.2372),(18 1094.6022),(19 1111.1433),(20 1122.5585),(21 1134.335),(22 1139.7917),(23 1157.6251),(24 1154.834),(25 1166.5632),(26 1167.3933),(27 1183.025),(28 1177.4615),(29 1180.9296),(30 1187.3129),(31 1184.6962),(32 1197.2555),(33 1196.3092),(34 1214.1578),(35 1206.508),(36 1198.9521),(37 1195.4498),(38 1192.6256),(39 1185.4086),(40 1184.716),(41 1172.5531),(42 1186.9851),(43 1177.5353),(44 1184.3458),(45 1167.338),(46 1174.3993),(47 1166.4012),(48 1170.1229),(49 1163.8992),(50 1183.0813),(51 1178.5835),(52 1184.3292),(53 1184.7859),(54 1178.8525),(55 1186.3492),(56 1175.1423),(57 1182.3422),(58 1181.0758),(59 1191.6332),(60 1185.45),(61 1188.0918),(62 1176.7278),(63 1163.4819),(64 1157.8019),(65 1172.5337),(66 1167.772),(67 1168.4077),(68 1171.741),(69 1178.6157),(70 1174.3024),(71 1183.647),(72 1189.2561),(73 1192.9653),(74 1177.0099),(75 1186.3505),(76 1192.643),(77 1193.6622),(78 1187.127),(79 1187.8431),
(1 314.47064),(2 484.4102),(3 588.6677),(4 648.70667),(5 710.8164),(6 766.67303),(7 791.19745),(8 812.1438),(9 851.80414),(10 884.7798),(11 916.5888),(12 931.70483),(13 962.1276),(14 973.61694),(15 998.6851),(16 994.8508),(17 1026.5593),(18 1041.3566),(19 1036.4456),(20 1036.243),(21 1040.5458),(22 1057.1882),(23 1064.0514),(24 1067.03),(25 1077.167),(26 1073.8231),(27 1088.0153),(28 1080.3627),(29 1086.618),(30 1074.3862),(31 1065.5809),(32 1065.3613),(33 1061.9288),(34 1076.6853),(35 1076.3057),(36 1078.2771),(37 1073.3286),(38 1084.5513),(39 1079.6377),(40 1092.9897),(41 1094.5732),(42 1096.6578),(43 1091.707),(44 1097.5356),(45 1097.4698),(46 1089.5488),(47 1090.6892),(48 1105.8407),(49 1101.9373),(50 1100.1262),(51 1087.9099),(52 1093.9274),(53 1096.8235),(54 1099.3976),(55 1103.5726),(56 1083.4722),(57 1086.993),(58 1084.5525),(59 1099.9698),(60 1091.7781),(61 1089.2217),(62 1091.5352),(63 1106.9231),(64 1092.4598),(65 1090.197),(66 1089.2754),(67 1094.6975),(68 1097.8928),(69 1095.2114),(70 1094.065),(71 1109.0095),(72 1098.4464),(73 1094.8048),(74 1092.5973),(75 1101.2319),(76 1084.9601),(77 1089.3252),(78 1079.5779),(79 1075.8353),
(1 318.1757),(2 489.79263),(3 580.63556),(4 643.7487),(5 708.60504),(6 761.8662),(7 792.50085),(8 814.14075),(9 851.37427),(10 886.854),(11 916.69324),(12 939.67633),(13 961.00757),(14 966.4646),(15 991.8863),(16 991.6084),(17 1019.5774),(18 1042.0669),(19 1039.6102),(20 1031.8741),(21 1045.9431),(22 1049.7253),(23 1054.3383),(24 1042.2435),(25 1051.1862),(26 1044.8822),(27 1059.6165),(28 1055.6656),(29 1065.7389),(30 1053.3907),(31 1057.9893),(32 1064.0306),(33 1072.7941),(34 1086.3132),(35 1081.378),(36 1087.8507),(37 1098.9418),(38 1097.4434),(39 1086.5299),(40 1096.0643),(41 1086.5914),(42 1099.409),(43 1085.1814),(44 1086.6932),(45 1083.7104),(46 1104.2524),(47 1097.8203),(48 1095.0121),(49 1096.5641),(50 1095.4961),(51 1092.0664),(52 1099.7672),(53 1106.0077),(54 1112.1965),(55 1116.7545),(56 1116.6387),(57 1122.5609),(58 1113.3562),(59 1128.6516),(60 1110.9507),(61 1119.2047),(62 1113.9412),(63 1129.7062),(64 1121.8022),(65 1119.8999),(66 1117.7372),(67 1126.0248),(68 1123.3501),(69 1127.5956),(70 1140.9974),(71 1149.5734),(72 1144.5623),(73 1148.5214),(74 1132.8483),(75 1133.3951),(76 1128.9937),(77 1128.0173),(78 1126.7354),(79 1100.0778),
(1 304.77637),(2 463.66647),(3 545.0336),(4 604.3396),(5 674.97174),(6 742.5484),(7 777.36096),(8 812.85693),(9 846.2151),(10 873.60815),(11 901.60944),(12 919.6309),(13 938.8273),(14 951.6654),(15 978.32),(16 981.9353),(17 996.3653),(18 1008.3713),(19 1019.0895),(20 1024.2719),(21 1031.6111),(22 1033.755),(23 1049.3162),(24 1049.9622),(25 1056.1504),(26 1057.9773),(27 1065.9607),(28 1054.1134),(29 1063.5146),(30 1048.7042),(31 1046.0834),(32 1050.9672),(33 1048.0946),(34 1039.445),(35 1042.3817),(36 1039.6906),(37 1044.124),(38 1047.1981),(39 1050.892),(40 1066.0841),(41 1048.8254),(42 1060.8306),(43 1056.5944),(44 1058.6663),(45 1048.6145),(46 1057.6914),(47 1056.1523),(48 1064.8728),(49 1055.2195),(50 1064.1453),(51 1073.3864),(52 1094.0011),(53 1093.1963),(54 1106.6046),(55 1105.5505),(56 1107.7452),(57 1124.6437),(58 1126.1575),(59 1131.8232),(60 1124.6294),(61 1136.3525),(62 1131.1174),(63 1137.5486),(64 1144.0792),(65 1136.4506),(66 1139.697),(67 1133.5344),(68 1138.7837),(69 1147.9116),(70 1143.3645),(71 1157.7998),(72 1168.154),(73 1175.6056),(74 1168.7275),(75 1162.231),(76 1151.0839),(77 1154.4916),(78 1150.9562),(79 1136.7065),
(1 299.13007),(2 469.05237),(3 562.27423),(4 625.05005),(5 688.1806),(6 738.8975),(7 774.6878),(8 801.0845),(9 838.3093),(10 876.59314),(11 906.4504),(12 927.0527),(13 945.2685),(14 955.9518),(15 970.714),(16 981.067),(17 1002.1806),(18 1015.69635),(19 1019.4021),(20 1024.5797),(21 1040.403),(22 1047.8939),(23 1063.7075),(24 1069.1842),(25 1066.0052),(26 1070.2777),(27 1076.0104),(28 1073.0385),(29 1090.1718),(30 1075.3264),(31 1078.2043),(32 1089.8485),(33 1079.9911),(34 1092.28),(35 1091.4647),(36 1092.5764),(37 1086.9136),(38 1089.6808),(39 1072.9346),(40 1080.8677),(41 1071.5297),(42 1071.996),(43 1054.0308),(44 1062.6938),(45 1053.5851),(46 1062.988),(47 1057.0154),(48 1059.7301),(49 1057.0209),(50 1048.4421),(51 1038.1348),(52 1042.5034),(53 1035.5903),(54 1037.7622),(55 1038.6003),(56 1028.5765),(57 1035.3667),(58 1034.4492),(59 1037.8744),(60 1036.5504),(61 1039.1185),(62 1036.6536),(63 1032.17),(64 1035.264),(65 1047.1119),(66 1043.9833),(67 1056.3817),(68 1060.7966),(69 1060.4772),(70 1057.2115),(71 1051.4642),(72 1055.4728),(73 1059.6274),(74 1053.7662),(75 1058.1813),(76 1052.5688),(77 1052.9172),(78 1057.1179),(79 1063.3306),
(1 291.37048),(2 449.5798),(3 540.5533),(4 601.40094),(5 649.93115),(6 703.92487),(7 735.6155),(8 762.90955),(9 787.4659),(10 810.0349),(11 836.0777),(12 843.2083),(13 864.0301),(14 870.5326),(15 885.61475),(16 900.8369),(17 909.5822),(18 923.1532),(19 928.7316),(20 933.765),(21 947.62463),(22 951.2098),(23 972.55365),(24 971.071),(25 981.2468),(26 979.38055),(27 1008.04535),(28 995.4657),(29 1005.1743),(30 1004.4385),(31 1005.3532),(32 1004.8394),(33 1003.55646),(34 1024.154),(35 1027.08),(36 1034.0352),(37 1029.29),(38 1040.3771),(39 1036.0853),(40 1043.5287),(41 1044.4308),(42 1048.7054),(43 1040.8232),(44 1050.7571),(45 1059.7019),(46 1072.2946),(47 1059.419),(48 1064.9464),(49 1063.7189),(50 1057.8115),(51 1059.5604),(52 1051.2516),(53 1042.3384),(54 1039.6738),(55 1043.3525),(56 1040.9354),(57 1040.0079),(58 1037.2833),(59 1048.6534),(60 1051.0386),(61 1052.9402),(62 1041.1879),(63 1042.9513),(64 1033.3302),(65 1036.3706),(66 1037.391),(67 1044.8861),(68 1042.6956),(69 1052.908),(70 1048.9232),(71 1041.4224),(72 1035.4315),(73 1045.1145),(74 1039.4552),(75 1051.2992),(76 1039.0442),(77 1036.7997),(78 1039.0479),(79 1033.066),
(1 293.4545),(2 442.11737),(3 544.7889),(4 603.9227),(5 656.499),(6 709.32623),(7 735.1166),(8 766.6051),(9 781.42737),(10 815.2615),(11 837.47253),(12 850.31494),(13 860.89105),(14 875.0957),(15 910.00977),(16 918.276),(17 936.55725),(18 946.74835),(19 949.92725),(20 948.7435),(21 958.9767),(22 967.35657),(23 963.4442),(24 966.88165),(25 980.10126),(26 978.7694),(27 989.26056),(28 974.0604),(29 976.6963),(30 968.0263),(31 966.63727),(32 964.26807),(33 960.3629),(34 972.6501),(35 973.657),(36 980.71234),(37 983.3529),(38 984.871),(39 987.6212),(40 1007.76886),(41 1009.14343),(42 1005.2208),(43 1001.8818),(44 1017.17584),(45 1020.5387),(46 1023.4981),(47 1010.5928),(48 1004.471),(49 1001.37177),(50 995.25934),(51 995.652),(52 993.15137),(53 984.40295),(54 986.60364),(55 990.1478),(56 985.2222),(57 987.82367),(58 983.57996),(59 994.49255),(60 995.0578),(61 998.2942),(62 998.81323),(63 1014.9041),(64 1013.08527),(65 1018.7914),(66 1003.45703),(67 1017.44965),(68 1000.783),(69 1014.69183),(70 1018.475),(71 1033.9867),(72 1017.52313),(73 1025.0753),(74 1025.9761),(75 1040.3138),(76 1033.3167),(77 1036.6956),(78 1032.9537),(79 1031.7708),
