1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8150.3345),(2 26081.658),(3 48167.3),(4 70894.32),(5 97098.74),(6 123076.48),(7 152711.42),(8 180981.83),(9 207221.95),(10 234538.08),(11 264059.1),(12 291148.72),(13 316109.9),(14 336479),(15 351829.72),(16 358072.16),(17 371577.78),(18 384104.1),(19 396385.63),(20 407968.4),(21 422710.6),(22 425888),(23 430836.88),(24 438322.5),(25 455534.66),(26 472596.16),(27 497225.66),(28 528125.2),(29 551406.56),(30 582129.25),(31 622211.06),(32 658582.7),(33 703993.8),(34 748555.5),(35 787612),(36 821587),(37 855289.75),(38 881985.8),(39 908072.5),(40 929112),(41 957136.2),(42 981030.5),(43 1013217.5),(44 1045034),(45 1073651.6),(46 1083606.9),(47 1097885.4),(48 1123292.1),(49 1169012),(50 1206857.1),(51 1248967.5),(52 1286209.9),(53 1318794.3),(54 1343185),(55 1355871.1),(56 1368030.5),(57 1394074.4),(58 1413635),(59 1444428.6),(60 1474259.1),(61 1506712),(62 1544503.4),(63 1588445.5),(64 1632645.9),(65 1665291.6),(66 1693974.4),(67 1727642.6),(68 1771923.6),(69 1829420),(70 1894869.4),(71 1960565.6),(72 2018342),(73 2073043.4),(74 2126478.3),(75 2184872.3),(76 2240398.5),(77 2307077),(78 2369026),(79 2432530.3),
(1 1072.7305),(2 2061.218),(3 2806.2568),(4 3389.0886),(5 3746.2573),(6 4189.7026),(7 4652.4194),(8 5150.843),(9 5550.6675),(10 6020.38),(11 6492.776),(12 7082.254),(13 7567.675),(14 7978.6685),(15 8319.689),(16 8630.293),(17 8881.86),(18 9107.711),(19 9433.355),(20 9734.8545),(21 9958.319),(22 10136.48),(23 10362.679),(24 10446.149),(25 10586.383),(26 10809.745),(27 10981.864),(28 11106.693),(29 11243.25),(30 11431.441),(31 11793.461),(32 12074.399),(33 12279.981),(34 12609.905),(35 12744.369),(36 12846.641),(37 12859.14),(38 12874.373),(39 12814.205),(40 12684.283),(41 12489.369),(42 12232.935),(43 12053.95),(44 11866.536),(45 11785.432),(46 11669.122),(47 11686.215),(48 11705.547),(49 11679.535),(50 11734.439),(51 11690.417),(52 11689.279),(53 11676.248),(54 11646.935),(55 11557.398),(56 11403.74),(57 11205.637),(58 11095.832),(59 10949.886),(60 10767.038),(61 10720.435),(62 10704.532),(63 10729.212),(64 10720.837),(65 10753.97),(66 10814.986),(67 10955.008),(68 11103.59),(69 11187.162),(70 11242.596),(71 11294.37),(72 11362.226),(73 11462.163),(74 11531.005),(75 11592.24),(76 11656.1),(77 11746.158),(78 11882.98),(79 12002.427),
(1 1072.8561),(2 2019.0797),(3 2803.5916),(4 3424.3599),(5 3797.1094),(6 4227.2036),(7 4639.4624),(8 5067.678),(9 5428.911),(10 5887.215),(11 6352.911),(12 6898.8403),(13 7253.0767),(14 7594.841),(15 7921.3364),(16 8127.7827),(17 8328.646),(18 8521.091),(19 8737.86),(20 8964.317),(21 9141.893),(22 9330.072),(23 9595.721),(24 9743.661),(25 9912.215),(26 10104.958),(27 10302.686),(28 10361.018),(29 10462.1455),(30 10665.423),(31 10984.119),(32 11251.984),(33 11475.73),(34 11747.427),(35 11969.353),(36 12052.634),(37 12030.146),(38 12091.772),(39 12048.059),(40 12011.293),(41 11902.289),(42 11675.66),(43 11531.414),(44 11420.198),(45 11329.574),(46 11195.921),(47 11207.672),(48 11271.946),(49 11298.046),(50 11305.857),(51 11357.061),(52 11373.968),(53 11331.366),(54 11270.536),(55 11256.7295),(56 11227.958),(57 11195.037),(58 11114.162),(59 10968.575),(60 10821.861),(61 10751.365),(62 10731.35),(63 10717.91),(64 10814.465),(65 10880.627),(66 10941.138),(67 11114.672),(68 11348.818),(69 11450.722),(70 11515.051),(71 11533.623),(72 11664.778),(73 11815.5205),(74 11945.257),(75 11986.892),(76 12044.734),(77 12111.283),(78 12146.429),(79 12227.941),
(1 1038.5618),(2 1978.5615),(3 2743.0967),(4 3334.6829),(5 3682.4744),(6 4164.523),(7 4639.819),(8 5152.5313),(9 5558.808),(10 6052.5723),(11 6569.526),(12 7165.609),(13 7548.85),(14 7953.4375),(15 8338.755),(16 8677.597),(17 9045.79),(18 9336.608),(19 9616.432),(20 9894.269),(21 10171.48),(22 10406.891),(23 10490.542),(24 10636.517),(25 10850.869),(26 10970.34),(27 11134.707),(28 11229.324),(29 11324.042),(30 11502.542),(31 11733.21),(32 11954.577),(33 12137.068),(34 12243.776),(35 12354.85),(36 12319.11),(37 12196.515),(38 12119.296),(39 12035.977),(40 11900.376),(41 11708.35),(42 11426.931),(43 11202.369),(44 11014.352),(45 10881.808),(46 10788.806),(47 10778.1455),(48 10712.023),(49 10669.044),(50 10661.957),(51 10640.323),(52 10695.291),(53 10700.489),(54 10632.367),(55 10646.22),(56 10563.529),(57 10511.894),(58 10378.588),(59 10225.193),(60 10109.232),(61 10012.59),(62 9954.126),(63 9957.748),(64 10050.189),(65 10103.161),(66 10177.817),(67 10276.482),(68 10446.768),(69 10549.244),(70 10627.194),(71 10638.879),(72 10686.376),(73 10777.478),(74 10925.536),(75 10911.762),(76 10971.658),(77 11089.29),(78 11161.077),(79 11245.163),
(1 1020.0756),(2 1958.2546),(3 2680.8523),(4 3238.8335),(5 3532.513),(6 3928.2817),(7 4300.8115),(8 4739.013),(9 5100.8384),(10 5527.6826),(11 5932.8633),(12 6408.332),(13 6714.6816),(14 7106.7705),(15 7452.99),(16 7736.497),(17 7968.2134),(18 8113.944),(19 8340.32),(20 8550.124),(21 8706.366),(22 8846.474),(23 8942.316),(24 9042.848),(25 9156.727),(26 9267.347),(27 9341.982),(28 9467.98),(29 9557.876),(30 9691.834),(31 9875.394),(32 10036.05),(33 10233.8),(34 10390.946),(35 10581.511),(36 10706.914),(37 10694.747),(38 10765.295),(39 10792.109),(40 10765.21),(41 10643.366),(42 10484.633),(43 10405.144),(44 10302.62),(45 10161.13),(46 10130.148),(47 10145.598),(48 10200.029),(49 10186.218),(50 10267.245),(51 10320.687),(52 10293.222),(53 10219.259),(54 10156.27),(55 10116.541),(56 10088.7),(57 9940.805),(58 9760.811),(59 9599.53),(60 9516.569),(61 9462.323),(62 9425.691),(63 9379.099),(64 9399.9375),(65 9383.774),(66 9388.578),(67 9431.104),(68 9529.966),(69 9549.336),(70 9527.255),(71 9550.487),(72 9579.069),(73 9649.546),(74 9756.644),(75 9779.051),(76 9822.88),(77 9920.953),(78 10001.558),(79 10136.751),
(1 1013.53766),(2 1915.597),(3 2652.888),(4 3194.804),(5 3515.1704),(6 3939.0747),(7 4337.5024),(8 4778.4526),(9 5104.6465),(10 5554.389),(11 5993.4434),(12 6550.0557),(13 7023.051),(14 7416.841),(15 7755.344),(16 8029.1064),(17 8249.246),(18 8482.293),(19 8865.229),(20 9151.578),(21 9387.672),(22 9542.138),(23 9667.714),(24 9802.952),(25 9983.528),(26 10148.142),(27 10210.919),(28 10265.839),(29 10268.657),(30 10249.035),(31 10319.331),(32 10380.094),(33 10408.331),(34 10490.121),(35 10519.325),(36 10486.475),(37 10466.027),(38 10390.497),(39 10350.968),(40 10237.582),(41 10119.972),(42 9896.574),(43 9829.713),(44 9742.014),(45 9652.835),(46 9698.886),(47 9784.318),(48 9837.475),(49 9894.531),(50 9983.738),(51 10104.148),(52 10194.484),(53 10288.216),(54 10399.932),(55 10421.603),(56 10475.355),(57 10474.981),(58 10432.912),(59 10382.799),(60 10415.875),(61 10486.826),(62 10498.13),(63 10467.707),(64 10464.282),(65 10466.845),(66 10477.922),(67 10583.218),(68 10638.472),(69 10703.119),(70 10729.807),(71 10718.618),(72 10663.4375),(73 10754.479),(74 10888.435),(75 10915.099),(76 11013.126),(77 11132.514),(78 11199.324),(79 11297.643),
(1 1016.7845),(2 1940.966),(3 2667.0728),(4 3256.6736),(5 3629.1543),(6 4116.1436),(7 4603.8486),(8 5014.4155),(9 5413.982),(10 5885.614),(11 6364.7285),(12 6996.806),(13 7519.6206),(14 7920.2373),(15 8288.692),(16 8654.543),(17 8989.354),(18 9287.944),(19 9580.639),(20 9804.731),(21 9996.149),(22 10221.353),(23 10508.545),(24 10608.295),(25 10750.088),(26 10926.548),(27 10996.629),(28 11022.384),(29 11067.542),(30 11081.361),(31 11184.813),(32 11283.695),(33 11442.748),(34 11545.448),(35 11620.499),(36 11617.051),(37 11501.125),(38 11376.621),(39 11224.038),(40 11001.684),(41 10757.623),(42 10426.022),(43 10241.332),(44 10035.035),(45 9977.07),(46 9925.007),(47 9925.19),(48 9969.531),(49 9930.05),(50 9996.297),(51 10013.321),(52 10017.778),(53 10095.942),(54 10101.91),(55 10149.957),(56 10110.89),(57 10044.9795),(58 9969.116),(59 9886.194),(60 9912.833),(61 9924.372),(62 9935.17),(63 9966.33),(64 10056.284),(65 10128.628),(66 10251.823),(67 10438.469),(68 10678.406),(69 10797.604),(70 10901.154),(71 10998.811),(72 11120.072),(73 11240.526),(74 11317.006),(75 11355.348),(76 11375.946),(77 11534.543),(78 11665.52),(79 11760.668),
(1 1013.2966),(2 1911.9539),(3 2645.1836),(4 3201.116),(5 3526.951),(6 3970.6155),(7 4398.8037),(8 4795.402),(9 5166.046),(10 5642.0313),(11 6132.131),(12 6677.0015),(13 7110.874),(14 7411.314),(15 7806.295),(16 8121.489),(17 8370.336),(18 8546.046),(19 8811.076),(20 9005.834),(21 9309.879),(22 9436.334),(23 9498.835),(24 9592.183),(25 9759.879),(26 9952.594),(27 10111.758),(28 10137.857),(29 10217.529),(30 10258.519),(31 10507.25),(32 10608.32),(33 10762.37),(34 10938.07),(35 11101.925),(36 11090.103),(37 11043.766),(38 10953.299),(39 10912.851),(40 10785.91),(41 10598.102),(42 10313.123),(43 10171.549),(44 10035.939),(45 10045.782),(46 10045.405),(47 10158.086),(48 10195.86),(49 10186.304),(50 10158.812),(51 10184.705),(52 10143.245),(53 10093.214),(54 10046.918),(55 10022.616),(56 9905.0205),(57 9852.661),(58 9766.42),(59 9727.623),(60 9709.875),(61 9754.885),(62 9715.48),(63 9737.78),(64 9717.632),(65 9711.618),(66 9840.484),(67 10053.406),(68 10247.212),(69 10289.159),(70 10267.882),(71 10308.098),(72 10410.343),(73 10469.197),(74 10624.711),(75 10742.406),(76 10738.782),(77 10857.86),(78 10905.451),(79 10975.607),
(1 1002.7471),(2 1888.35),(3 2575.9248),(4 3095.421),(5 3417.68),(6 3877.1633),(7 4302.833),(8 4692.479),(9 5110.726),(10 5578.1934),(11 5997.9053),(12 6551.31),(13 6901.2705),(14 7284.658),(15 7650.0635),(16 8084.5234),(17 8412.577),(18 8694.923),(19 9002.709),(20 9247.575),(21 9499.613),(22 9783.726),(23 9888.692),(24 10057.924),(25 10295.442),(26 10540.18),(27 10570.154),(28 10663.417),(29 10684.441),(30 10757.941),(31 11005.532),(32 11039.601),(33 11162.086),(34 11280.844),(35 11412.176),(36 11403.485),(37 11325.44),(38 11212.788),(39 11062.469),(40 10905.837),(41 10695.715),(42 10466.102),(43 10278.958),(44 10156.512),(45 10053.88),(46 10046.599),(47 10109.081),(48 10167.567),(49 10186.603),(50 10224.292),(51 10193.03),(52 10157.702),(53 10106.604),(54 10118.95),(55 10084.521),(56 10029.801),(57 10016.196),(58 9900.436),(59 9817.794),(60 9809.344),(61 9786.208),(62 9812.686),(63 9787.531),(64 9886.868),(65 9952.577),(66 10075.019),(67 10252.238),(68 10420.288),(69 10522.48),(70 10630.984),(71 10658.062),(72 10803.236),(73 10946.012),(74 11077.248),(75 11205.061),(76 11313.516),(77 11529.975),(78 11616.224),(79 11645.801),
(1 973.17303),(2 1843.0851),(3 2567.3381),(4 3087.0945),(5 3400.916),(6 3839.284),(7 4198.15),(8 4586.976),(9 4987.94),(10 5487.9204),(11 5916.1963),(12 6467.6035),(13 6759.0737),(14 7009.2695),(15 7312.136),(16 7601.1885),(17 7944.604),(18 8229.07),(19 8501.803),(20 8713.161),(21 8956.623),(22 9168.919),(23 9346.598),(24 9450.167),(25 9788.704),(26 10061.825),(27 10234.475),(28 10321.099),(29 10354.309),(30 10445.611),(31 10699.178),(32 10803.32),(33 10885.319),(34 11059.407),(35 11252.739),(36 11262.581),(37 11233.185),(38 11177.307),(39 11094.815),(40 10920.062),(41 10789.942),(42 10512.71),(43 10386.3545),(44 10297.222),(45 10199.736),(46 10150.146),(47 10196.453),(48 10107.627),(49 10089.152),(50 10041.978),(51 10021.355),(52 9960.629),(53 9944.029),(54 9853.077),(55 9811.055),(56 9781.327),(57 9722.44),(58 9579.781),(59 9488.397),(60 9447.608),(61 9461.509),(62 9410.621),(63 9386.994),(64 9438.143),(65 9405.099),(66 9463.614),(67 9578.491),(68 9788.686),(69 9890.218),(70 9964.195),(71 9957.704),(72 10037.981),(73 10140.67),(74 10217.967),(75 10242.841),(76 10331.648),(77 10431.505),(78 10532.772),(79 10650.543),
(1 995.9271),(2 1873.9434),(3 2625.4502),(4 3177.4263),(5 3548.8928),(6 3952.465),(7 4369.3125),(8 4811.0547),(9 5217.8315),(10 5716.4585),(11 6161.1377),(12 6624.81),(13 6970.0454),(14 7319.5713),(15 7655.869),(16 7903.952),(17 8232.481),(18 8471.7705),(19 8736.536),(20 8983.651),(21 9169.228),(22 9322.544),(23 9515.199),(24 9653.566),(25 9864.345),(26 10055.516),(27 10194.837),(28 10304.725),(29 10374.568),(30 10393.021),(31 10531.453),(32 10625.032),(33 10735.194),(34 10866.19),(35 10893.647),(36 10836.188),(37 10664.931),(38 10580.982),(39 10512.959),(40 10404.811),(41 10229.53),(42 9983.978),(43 9834.363),(44 9708.63),(45 9597.93),(46 9484.962),(47 9570.658),(48 9696.714),(49 9710.125),(50 9759.19),(51 9808.3),(52 9837.423),(53 9846.733),(54 9837.246),(55 9832.073),(56 9817.573),(57 9825.785),(58 9839.36),(59 9806.892),(60 9738.789),(61 9672.624),(62 9591.641),(63 9598.199),(64 9607.93),(65 9634.327),(66 9690.512),(67 9778.368),(68 9930.713),(69 10035.026),(70 10099.84),(71 10129.219),(72 10193.251),(73 10300.928),(74 10414.805),(75 10496.704),(76 10522.566),(77 10543.243),(78 10650.077),(79 10740.532),
(1 1005.9679),(2 1845.3231),(3 2523.8916),(4 2980.9358),(5 3308.6707),(6 3728.439),(7 4131.0576),(8 4526.6567),(9 4933.0894),(10 5329.916),(11 5738.7944),(12 6185.667),(13 6530.2075),(14 6808.5083),(15 7093.2837),(16 7307.417),(17 7515.5728),(18 7732.7603),(19 7982.5767),(20 8203.076),(21 8346.238),(22 8566.982),(23 8749.546),(24 8848.498),(25 8948.65),(26 9080.893),(27 9139.412),(28 9230.344),(29 9253.686),(30 9276.719),(31 9415.819),(32 9519.228),(33 9627.296),(34 9846.923),(35 9956.347),(36 10048.172),(37 10053.688),(38 10018.706),(39 10064.844),(40 10078.469),(41 9983.159),(42 9850.718),(43 9781.486),(44 9778.285),(45 9786.946),(46 9846.427),(47 9979.733),(48 10071.963),(49 10171.188),(50 10269.116),(51 10324.972),(52 10297.369),(53 10259.084),(54 10219.743),(55 10183.288),(56 10103.671),(57 10054.059),(58 9984.902),(59 9918.745),(60 9822.483),(61 9669.557),(62 9584.925),(63 9490.543),(64 9454.833),(65 9467.895),(66 9412.245),(67 9446.689),(68 9467.57),(69 9487.438),(70 9468.165),(71 9368.029),(72 9337.669),(73 9447.6875),(74 9496.607),(75 9560.535),(76 9602.6),(77 9709.376),(78 9827.642),(79 9863.174),
(1 995.3872),(2 1846.6722),(3 2519.6782),(4 3003.709),(5 3287.031),(6 3712.5881),(7 4086.6667),(8 4513.0127),(9 4913.287),(10 5317.37),(11 5678.1753),(12 6196.0723),(13 6510.3545),(14 6755.1133),(15 6987.281),(16 7269.165),(17 7456.6606),(18 7646.1685),(19 7825.62),(20 8043.326),(21 8153.117),(22 8292.588),(23 8511.924),(24 8622.768),(25 8685.6),(26 8886.338),(27 8961.899),(28 9135.436),(29 9170.851),(30 9240.393),(31 9374.514),(32 9447.473),(33 9535.768),(34 9675.618),(35 9735.9),(36 9771.581),(37 9809.998),(38 9874.255),(39 9829.505),(40 9826.893),(41 9764.948),(42 9637.466),(43 9579.74),(44 9579.974),(45 9588.22),(46 9555.748),(47 9604.248),(48 9643.073),(49 9673.16),(50 9747.533),(51 9763.856),(52 9723.96),(53 9661.498),(54 9629.141),(55 9659.837),(56 9618.97),(57 9561.667),(58 9571.426),(59 9549.773),(60 9502.327),(61 9462.179),(62 9416.185),(63 9363.87),(64 9384.117),(65 9313.903),(66 9273.682),(67 9283.88),(68 9358.737),(69 9407.941),(70 9425.847),(71 9385.277),(72 9360.293),(73 9415.366),(74 9450.784),(75 9521.839),(76 9553.566),(77 9643.495),(78 9733.119),(79 9807.119),
(1 975.4629),(2 1816.1232),(3 2455.5115),(4 2911.117),(5 3199.913),(6 3573.8228),(7 3927.9836),(8 4319.5386),(9 4667.5083),(10 5014.677),(11 5379.1704),(12 5717.2075),(13 5995.882),(14 6228.203),(15 6425.8),(16 6638.3896),(17 6848.442),(18 7028.0327),(19 7246.1753),(20 7489.0957),(21 7637.8667),(22 7747.399),(23 7951.683),(24 8137.914),(25 8256.436),(26 8395.947),(27 8499.826),(28 8569.443),(29 8591.05),(30 8670.359),(31 8809.399),(32 8956.696),(33 9004.432),(34 9168.017),(35 9265.716),(36 9340.449),(37 9365.77),(38 9440.911),(39 9516.032),(40 9542.35),(41 9474.335),(42 9318.968),(43 9249.761),(44 9246.147),(45 9241.126),(46 9158.9795),(47 9182.795),(48 9208.443),(49 9244.035),(50 9292.021),(51 9302.013),(52 9250.982),(53 9193.062),(54 9181.909),(55 9153.769),(56 9150.461),(57 9056.705),(58 8987.3125),(59 8887.571),(60 8806.612),(61 8765.471),(62 8679.434),(63 8607.616),(64 8552.272),(65 8538.26),(66 8512.851),(67 8563.936),(68 8708.245),(69 8801.897),(70 8836.209),(71 8847.844),(72 8895.187),(73 8923.226),(74 8985.015),(75 9030.164),(76 9113.834),(77 9199.063),(78 9330.576),(79 9453.218),
(1 937.31885),(2 1722.0802),(3 2328.7356),(4 2751.2944),(5 3045.7673),(6 3463.264),(7 3860.4124),(8 4187.947),(9 4499.734),(10 4808.1685),(11 5120.4585),(12 5430.566),(13 5687.484),(14 5905.374),(15 6122.2886),(16 6301.1304),(17 6519.8105),(18 6718.1616),(19 6945.058),(20 7152.0986),(21 7294.647),(22 7435.4316),(23 7600.9497),(24 7777.1665),(25 7902.2715),(26 8080.6167),(27 8182.5737),(28 8253.817),(29 8319.327),(30 8437.281),(31 8622.667),(32 8763.4375),(33 8881.48),(34 9036.448),(35 9201.965),(36 9255.136),(37 9292.046),(38 9369.552),(39 9438.327),(40 9413.788),(41 9386.855),(42 9263.408),(43 9249.725),(44 9208.149),(45 9266.825),(46 9269.781),(47 9299.576),(48 9359.738),(49 9426.662),(50 9505.683),(51 9466.745),(52 9459.231),(53 9423.941),(54 9370.727),(55 9267.001),(56 9180.682),(57 9053.336),(58 8900.683),(59 8737.643),(60 8599.633),(61 8479.406),(62 8383.3),(63 8237.248),(64 8167.3916),(65 8062.9756),(66 8025.419),(67 8012.9873),(68 8114.373),(69 8196.146),(70 8255.755),(71 8250.659),(72 8321.48),(73 8358.824),(74 8457.051),(75 8469.397),(76 8527.942),(77 8640.68),(78 8747.958),(79 8799.344),
(1 945.75714),(2 1729.494),(3 2349.6382),(4 2787.2217),(5 3102.2222),(6 3523.695),(7 3915.4924),(8 4354.267),(9 4743.486),(10 5170.5933),(11 5579.5522),(12 5957.4614),(13 6318.6357),(14 6561.8066),(15 6868.7695),(16 7160.2183),(17 7382.254),(18 7576.911),(19 7813.779),(20 8008.887),(21 8186.5166),(22 8257.135),(23 8349.326),(24 8402.769),(25 8503.669),(26 8664.922),(27 8732.031),(28 8821.318),(29 8890.555),(30 9006.511),(31 9212.014),(32 9350.025),(33 9516.308),(34 9734.38),(35 9924.092),(36 9996.066),(37 10016.847),(38 10132.829),(39 10175.045),(40 10191.43),(41 10190.394),(42 10068.349),(43 10028.215),(44 9929.253),(45 9931.885),(46 9895.633),(47 9885.649),(48 9907.693),(49 9963.216),(50 9985.606),(51 9930.831),(52 9827.808),(53 9826.763),(54 9755.403),(55 9690.598),(56 9532.796),(57 9406.687),(58 9272.49),(59 9125.01),(60 9007.24),(61 8892.284),(62 8775.513),(63 8637.533),(64 8530.56),(65 8486.948),(66 8524.031),(67 8584.782),(68 8623.114),(69 8695.694),(70 8749.271),(71 8722.19),(72 8763.928),(73 8823.813),(74 8889.563),(75 8932.077),(76 8964.077),(77 9056.163),(78 9145.84),(79 9229.518),
(1 940.90436),(2 1745.6041),(3 2391.0835),(4 2881.5688),(5 3160.9385),(6 3544.1611),(7 3953.7021),(8 4346.8223),(9 4681.473),(10 5056.6606),(11 5450.847),(12 5820.708),(13 6147.324),(14 6418.3823),(15 6699.698),(16 6876.0444),(17 7097.036),(18 7307.0864),(19 7473.3965),(20 7670.655),(21 7821.5957),(22 7953.997),(23 8096.7715),(24 8162.3755),(25 8294.572),(26 8453.608),(27 8526.973),(28 8628.651),(29 8686.242),(30 8722.891),(31 8875.385),(32 8897.095),(33 8967.593),(34 9069.578),(35 9135.001),(36 9134.434),(37 9077.152),(38 9137.728),(39 9071.537),(40 9029.578),(41 8961.225),(42 8795.409),(43 8742.337),(44 8649.046),(45 8629.317),(46 8548.925),(47 8570.963),(48 8639.327),(49 8691.837),(50 8796.6455),(51 8838.384),(52 8792.27),(53 8753.095),(54 8735.751),(55 8706.868),(56 8682.319),(57 8656.913),(58 8556.601),(59 8447.448),(60 8338.162),(61 8265.095),(62 8267.598),(63 8249.567),(64 8213.587),(65 8179.1606),(66 8230.381),(67 8350.145),(68 8534.688),(69 8602.744),(70 8635.869),(71 8626.679),(72 8585.253),(73 8587.177),(74 8625.271),(75 8639.794),(76 8648.5205),(77 8688.328),(78 8725.567),(79 8733.76),
(1 925.83563),(2 1690.2292),(3 2252.4395),(4 2649.022),(5 2932.8005),(6 3342.4468),(7 3689.2874),(8 4023.584),(9 4326.775),(10 4663.5684),(11 5076.601),(12 5483.377),(13 5754.5005),(14 5957.6396),(15 6221.535),(16 6443.5156),(17 6597.085),(18 6789.8687),(19 7032.5835),(20 7198.407),(21 7314.9395),(22 7439.701),(23 7509.314),(24 7646.8364),(25 7785.361),(26 7948.848),(27 8025.4956),(28 8124.3223),(29 8225.932),(30 8317.578),(31 8497.663),(32 8582.115),(33 8661.392),(34 8763.59),(35 8867.123),(36 8927.527),(37 8913.571),(38 8926.266),(39 8868.919),(40 8781.963),(41 8739.366),(42 8596.423),(43 8466.767),(44 8334.101),(45 8286.592),(46 8161.6064),(47 8179.2393),(48 8237.395),(49 8267.182),(50 8327.531),(51 8305.885),(52 8295.999),(53 8228.971),(54 8218.433),(55 8146.0986),(56 8085.5283),(57 8085.8486),(58 7974.097),(59 7884.3604),(60 7814.889),(61 7784.1465),(62 7736.476),(63 7722.347),(64 7732.2134),(65 7722.2407),(66 7785.3716),(67 7908.5723),(68 8007.7876),(69 8058.0005),(70 8021.245),(71 8042.6914),(72 8101.5366),(73 8124.9956),(74 8237.156),(75 8252.494),(76 8273.041),(77 8311.432),(78 8318.973),(79 8327.388),
