1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64424.566),(2 46810.25),(3 150444.25),(4 163641.19),(5 301239.63),(6 348006.53),(7 513321.03),(8 578696.7),(9 762184.5),(10 847126.25),(11 1056926.6),(12 1178836.6),(13 1438631.5),(14 1589946.4),(15 1862846.1),(16 2013388.4),(17 2280527.3),(18 2444845),(19 2750047.8),(20 2940785.3),(21 3264361.8),(22 3481278),(23 3822666.8),(24 4021017.3),(25 4384136),(26 4621415.5),(27 4983195),(28 5205844),(29 5575669.5),(30 5795688),(31 6158955.5),(32 6347427.5),(33 6643653.5),(34 6778850.5),(35 7052444.5),(36 7252553.5),(37 7627543.5),(38 7878418.5),(39 8296701.5),(40 8540268),(41 8916999),(42 9133723),(43 9493053),(44 9683373),(45 10016775),(46 10176464),(47 10428219),(48 10529736),(49 10771721),(50 10872699),(51 11092064),(52 11198136),(53 11462117),(54 11585027),(55 11808359),(56 11860773),(57 12021409),(58 11980557),(59 12043187),(60 11917364),(61 11902819),(62 11747356),(63 11775093),(64 11715701),(65 11769499),(66 11648780),(67 11707067),(68 11644600),(69 11718811),(70 11651695),(71 11699303),(72 11590477),(73 11619227),(74 11427821),(75 11368841),(76 11125243),(77 11078917),(78 10913943),(79 10934342),
(1 788.9946),(2 648.46155),(3 1181.6007),(4 900.7139),(5 1367.4095),(6 1051.6305),(7 1480.6418),(8 1126.5824),(9 1548.7855),(10 1191.8799),(11 1587.7091),(12 1228.817),(13 1652.2073),(14 1292.288),(15 1700.1724),(16 1327.07),(17 1719.7332),(18 1345.3477),(19 1720.6879),(20 1356.5847),(21 1746.606),(22 1360.0745),(23 1732.8802),(24 1352.5541),(25 1729.0996),(26 1343.8427),(27 1717.9896),(28 1340.9718),(29 1737.2158),(30 1369.274),(31 1752.8231),(32 1387.9036),(33 1791.6389),(34 1422.4762),(35 1806.6943),(36 1444.3793),(37 1835.4442),(38 1465.0889),(39 1865.9518),(40 1506.9683),(41 1896.7606),(42 1526.3405),(43 1920.4294),(44 1561.7034),(45 1972.7067),(46 1606.7065),(47 2004.9575),(48 1653.1233),(49 2048.7341),(50 1691.9407),(51 2111.7925),(52 1744.0958),(53 2145.2952),(54 1788.2662),(55 2194.9277),(56 1855.4344),(57 2275.9573),(58 1938.8982),(59 2376.3872),(60 2028.4929),(61 2435.0493),(62 2085.6108),(63 2545.5413),(64 2213.4775),(65 2634.0662),(66 2296.0364),(67 2701.1758),(68 2368.2659),(69 2790.1128),(70 2461.835),(71 2882.8745),(72 2560.6619),(73 2984.9084),(74 2669.2192),(75 3136.7598),(76 2827.4548),(77 3275.934),(78 2973.031),(79 3415.792),
(1 767.872),(2 647.8276),(3 1146.8085),(4 884.3242),(5 1332.2357),(6 1038.0259),(7 1442.4834),(8 1124.5433),(9 1533.2106),(10 1192.5183),(11 1577.4556),(12 1234.8911),(13 1624.4725),(14 1271.4457),(15 1661.867),(16 1315.7563),(17 1703.8894),(18 1361.9413),(19 1719.2347),(20 1370.3691),(21 1746.0492),(22 1380.6945),(23 1741.2914),(24 1374.8644),(25 1749.4714),(26 1390.696),(27 1750.0544),(28 1375.9988),(29 1751.2623),(30 1402.764),(31 1768.5253),(32 1415.763),(33 1797.6362),(34 1448.63),(35 1826.2604),(36 1482.7568),(37 1858.2644),(38 1515.4949),(39 1888.5189),(40 1540.984),(41 1916.2311),(42 1570.1257),(43 1945.4293),(44 1603.4459),(45 1984.3032),(46 1637.5461),(47 2014.423),(48 1674.1251),(49 2064.3784),(50 1719.8229),(51 2116.0583),(52 1784.4298),(53 2164.2117),(54 1831.549),(55 2234.4292),(56 1902.5526),(57 2308.2344),(58 1983.2714),(59 2394.8843),(60 2069.32),(61 2475.3826),(62 2144.2083),(63 2551.7627),(64 2224.127),(65 2607.8699),(66 2275.879),(67 2659.5928),(68 2354.8394),(69 2757.7527),(70 2443.17),(71 2859.3174),(72 2555.4338),(73 2972.8535),(74 2685.0168),(75 3117.5786),(76 2829.0952),(77 3273.8477),(78 2967.4878),(79 3392.4026),
(1 738.4377),(2 618.565),(3 1104.0704),(4 864.4077),(5 1300.4197),(6 1009.9056),(7 1390.1461),(8 1090.4854),(9 1474.7325),(10 1148.8892),(11 1512.6343),(12 1194.8213),(13 1567.7925),(14 1240.601),(15 1615.5356),(16 1283.3793),(17 1651.785),(18 1316.3054),(19 1664.7946),(20 1328.2976),(21 1693.5916),(22 1347.0464),(23 1679.8639),(24 1336.8647),(25 1683.4934),(26 1327.829),(27 1676.3314),(28 1331.3271),(29 1687.8602),(30 1353.1249),(31 1700.0392),(32 1350.0343),(33 1718.3314),(34 1390.8723),(35 1732.4825),(36 1409.4922),(37 1768.5474),(38 1435.6458),(39 1800.5758),(40 1465.1489),(41 1823.2698),(42 1485.6052),(43 1840.1329),(44 1513.525),(45 1871.0093),(46 1553.7769),(47 1910.4811),(48 1609.5159),(49 1981.225),(50 1678.6982),(51 2043.4094),(52 1723.6829),(53 2089.0977),(54 1773.0314),(55 2148.8818),(56 1853.8259),(57 2229.067),(58 1925.6353),(59 2312.787),(60 2001.4608),(61 2368.364),(62 2065.115),(63 2455.3699),(64 2137.1294),(65 2514.4883),(66 2194.414),(67 2561.5313),(68 2249.125),(69 2626.0198),(70 2320.543),(71 2704.9146),(72 2420.6255),(73 2811.2307),(74 2518.168),(75 2928.634),(76 2648.958),(77 3048.3157),(78 2770.7117),(79 3173.1028),
(1 775.3313),(2 610.09314),(3 1129.7605),(4 837.801),(5 1311.2986),(6 982.9969),(7 1423.4329),(8 1089.9563),(9 1521.4818),(10 1163.4558),(11 1557.4968),(12 1198.7465),(13 1598.1079),(14 1236.3988),(15 1649.0492),(16 1263.006),(17 1670.1075),(18 1302.0753),(19 1679.7003),(20 1314.3707),(21 1711.7128),(22 1317.4431),(23 1699.078),(24 1314.0632),(25 1699.9585),(26 1324.2761),(27 1712.7035),(28 1326.9166),(29 1719.9333),(30 1344.7936),(31 1724.8469),(32 1349.9156),(33 1754.271),(34 1377.4327),(35 1768.9873),(36 1405.6401),(37 1800.5454),(38 1429.7927),(39 1836.0176),(40 1459.0334),(41 1853.1097),(42 1477.939),(43 1869.2047),(44 1505.6722),(45 1908.8627),(46 1549.7728),(47 1931.6354),(48 1576.6957),(49 1974.6646),(50 1613.9935),(51 2032.2094),(52 1666.1622),(53 2063.3604),(54 1703.7551),(55 2112.0442),(56 1767.4594),(57 2181.2126),(58 1831.3344),(59 2244.4026),(60 1893.5739),(61 2295.3806),(62 1946.0225),(63 2368.4622),(64 2013.3008),(65 2435.702),(66 2085.22),(67 2482.4197),(68 2146.1387),(69 2557.506),(70 2231.2021),(71 2660.2568),(72 2324.349),(73 2745.328),(74 2433.5708),(75 2873.9297),(76 2565.9626),(77 3002.4773),(78 2701.3496),(79 3136.9175),
(1 750.04443),(2 606.2174),(3 1090.9779),(4 821.0769),(5 1276.4319),(6 964.38837),(7 1376.1348),(8 1037.755),(9 1447.1912),(10 1089.7788),(11 1460.9828),(12 1103.552),(13 1496.4586),(14 1143.2457),(15 1552.7911),(16 1187.0114),(17 1583.6096),(18 1229.3456),(19 1604.5315),(20 1254.4634),(21 1640.1519),(22 1265.6062),(23 1622.9438),(24 1254.2683),(25 1635.7933),(26 1278.6135),(27 1657.4558),(28 1285.5149),(29 1668.1003),(30 1304.5956),(31 1681.0134),(32 1309.9636),(33 1703.3851),(34 1328.6178),(35 1694.0112),(36 1331.7606),(37 1701.3774),(38 1343.4395),(39 1746.989),(40 1385.3971),(41 1765.3389),(42 1396.0343),(43 1767.6827),(44 1404.9226),(45 1797.13),(46 1436.5034),(47 1819.8436),(48 1461.7903),(49 1868.2054),(50 1509.6598),(51 1890.0416),(52 1534.7793),(53 1936.8898),(54 1573.8674),(55 1978.2782),(56 1639.0126),(57 2047.3602),(58 1701.2239),(59 2114.7944),(60 1774.3507),(61 2168.873),(62 1821.4036),(63 2249.8525),(64 1888.8171),(65 2290.4197),(66 1945.751),(67 2360.8945),(68 2027.5944),(69 2454.2593),(70 2118.3809),(71 2551.939),(72 2227.62),(73 2663.5435),(74 2338.286),(75 2789.0254),(76 2482.4226),(77 2930.2502),(78 2624.807),(79 3073.5789),
(1 734.7667),(2 595.50775),(3 1082.4391),(4 819.6299),(5 1265.3289),(6 954.6934),(7 1369.524),(8 1039.345),(9 1427.0892),(10 1080.2428),(11 1452.2235),(12 1097.2979),(13 1477.8047),(14 1133.3737),(15 1522.4294),(16 1163.3441),(17 1547.1542),(18 1211.911),(19 1579.9757),(20 1221.8884),(21 1598.3258),(22 1232.1024),(23 1584.9088),(24 1216.8542),(25 1584.4156),(26 1244.0438),(27 1617.2034),(28 1248.6746),(29 1619.1267),(30 1255.939),(31 1619.1707),(32 1256.7396),(33 1632.5155),(34 1277.5111),(35 1657.0796),(36 1316.6844),(37 1701.7981),(38 1342.5845),(39 1744.6339),(40 1388.7853),(41 1767.7242),(42 1408.2612),(43 1790.6571),(44 1449.2925),(45 1838.3407),(46 1482.1327),(47 1862.617),(48 1511.7196),(49 1924.0638),(50 1577.479),(51 1974.6495),(52 1635.8708),(53 2033.1125),(54 1674.1951),(55 2071.8867),(56 1738.6323),(57 2127.9006),(58 1795.3817),(59 2213.4397),(60 1875.407),(61 2277.2778),(62 1950.4105),(63 2375.5007),(64 2025.0643),(65 2436.3496),(66 2093.32),(67 2483.3628),(68 2130.5078),(69 2545.7622),(70 2214.9583),(71 2647.9998),(72 2316.7312),(73 2752.0894),(74 2416.16),(75 2853.472),(76 2538.4856),(77 2976.3088),(78 2653.1155),(79 3093.269),
(1 729.65265),(2 580.4171),(3 1063.5559),(4 784.9696),(5 1230.9097),(6 927.96545),(7 1331.457),(8 1002.5986),(9 1403.0984),(10 1060.3123),(11 1446.1299),(12 1094.2732),(13 1484.4835),(14 1126.8029),(15 1520.2855),(16 1152.0266),(17 1532.656),(18 1191.3445),(19 1558.9889),(20 1198.7566),(21 1572.6699),(22 1216.0425),(23 1573.4716),(24 1216.5745),(25 1564.8629),(26 1227.3396),(27 1594.7151),(28 1231.4716),(29 1599.3561),(30 1247.5651),(31 1598.4908),(32 1241.0344),(33 1610.6796),(34 1249.8588),(35 1608.4791),(36 1268.8529),(37 1635.8706),(38 1302.2683),(39 1683.0161),(40 1331.066),(41 1708.3673),(42 1361.8982),(43 1724.8809),(44 1369.3477),(45 1743.5155),(46 1396.7805),(47 1769.3403),(48 1431.7137),(49 1827.0204),(50 1486.8085),(51 1869.4166),(52 1527.9163),(53 1906.2495),(54 1566.3063),(55 1943.6259),(56 1609.4653),(57 1997.7906),(58 1676.46),(59 2083.213),(60 1749.1699),(61 2132.205),(62 1804.886),(63 2207.116),(64 1869.7335),(65 2254.6733),(66 1915.8218),(67 2307.3228),(68 1973.6912),(69 2355.403),(70 2033.5492),(71 2436.4404),(72 2117.9429),(73 2535.455),(74 2212.8872),(75 2630.307),(76 2321.3923),(77 2735.1292),(78 2441.6287),(79 2849.5693),
(1 715.2201),(2 573.1112),(3 1036.9131),(4 779.78796),(5 1190.8639),(6 898.72534),(7 1285.9954),(8 966.43414),(9 1346.0956),(10 1016.5585),(11 1387.0586),(12 1057.3224),(13 1435.4194),(14 1095.6913),(15 1473.1096),(16 1132.6266),(17 1503.7467),(18 1168.53),(19 1518.8793),(20 1172.6852),(21 1538.8472),(22 1202.1819),(23 1545.3901),(24 1201.9357),(25 1556.3718),(26 1210.4044),(27 1563.8602),(28 1223.2372),(29 1582.9027),(30 1236.7944),(31 1587.4884),(32 1249.1849),(33 1605.1951),(34 1261.9803),(35 1621.4994),(36 1279.1256),(37 1650.4231),(38 1310.3104),(39 1680.2751),(40 1317.4136),(41 1696.8154),(42 1346.8662),(43 1693.9977),(44 1349.59),(45 1744.5068),(46 1397.9012),(47 1767.3427),(48 1419.7743),(49 1804.2203),(50 1459.1456),(51 1825.7314),(52 1479.5605),(53 1857.6886),(54 1522.1593),(55 1914.0428),(56 1585.6061),(57 1984.6244),(58 1659.3513),(59 2061.062),(60 1720.4296),(61 2107.4907),(62 1769.4832),(63 2183.9968),(64 1840.9939),(65 2248.7222),(66 1917.3835),(67 2317.7148),(68 1971.2971),(69 2367.7317),(70 2030.9553),(71 2426.7632),(72 2111.8877),(73 2532.1985),(74 2201.0532),(75 2624.4854),(76 2325.246),(77 2748.906),(78 2448.0037),(79 2872.7615),
(1 727.0962),(2 567.0184),(3 1040.8866),(4 744.43915),(5 1180.5829),(6 875.6517),(7 1285.6582),(8 956.72015),(9 1358.6583),(10 1012.461),(11 1404.1536),(12 1056.8779),(13 1453.0101),(14 1092.7085),(15 1491.922),(16 1130.2239),(17 1516.5117),(18 1157.5941),(19 1528.7101),(20 1171.7666),(21 1551.6863),(22 1173.1655),(23 1532.5146),(24 1160.0695),(25 1527.7988),(26 1172.7192),(27 1544.9409),(28 1179.4601),(29 1551.2751),(30 1181.325),(31 1546.4766),(32 1182.7578),(33 1553.4438),(34 1183.2467),(35 1567.8901),(36 1199.0408),(37 1588.0686),(38 1225.2491),(39 1628.5629),(40 1252.9807),(41 1647.6545),(42 1295.9255),(43 1677.8641),(44 1317.6128),(45 1714.7046),(46 1350.5442),(47 1727.335),(48 1376.6277),(49 1784.7162),(50 1434.2097),(51 1824.7676),(52 1478.2599),(53 1880.5654),(54 1532.9626),(55 1931.879),(56 1576.1941),(57 1987.392),(58 1624.7524),(59 2038.0809),(60 1691.3909),(61 2098.3826),(62 1741.9135),(63 2160.6135),(64 1825.0463),(65 2238.7832),(66 1896.46),(67 2293.1465),(68 1950.7887),(69 2358.2449),(70 2014.4825),(71 2423.5781),(72 2087.2295),(73 2499.3828),(74 2166.9165),(75 2613.4968),(76 2298.6794),(77 2729.0605),(78 2417.0645),(79 2844.7551),
(1 719.69586),(2 566.4131),(3 1040.9789),(4 765.3987),(5 1197.1371),(6 888.3947),(7 1274.7455),(8 961.3843),(9 1355.1213),(10 1019.65985),(11 1399.8242),(12 1058.833),(13 1433.2552),(14 1092.1362),(15 1464.1857),(16 1106.1847),(17 1473.2643),(18 1131.8563),(19 1501.4452),(20 1154.0275),(21 1518.1934),(22 1168.7594),(23 1511.5276),(24 1154.8622),(25 1512.8755),(26 1166.5702),(27 1514.516),(28 1157.706),(29 1531.8286),(30 1178.1173),(31 1535.9817),(32 1171.2388),(33 1539.6005),(34 1194.1245),(35 1566.3475),(36 1229.5326),(37 1599.6235),(38 1247.6871),(39 1617.6843),(40 1270.9629),(41 1651.1909),(42 1313.4181),(43 1678.3085),(44 1340.3718),(45 1711.672),(46 1369.5107),(47 1740.395),(48 1411.6515),(49 1801.9791),(50 1465.8567),(51 1846.7053),(52 1508.0111),(53 1895.7148),(54 1555.8219),(55 1935.6162),(56 1604.702),(57 2004.6648),(58 1657.3816),(59 2064.0264),(60 1737.594),(61 2122.1563),(62 1789.538),(63 2186.6826),(64 1867.34),(65 2262.092),(66 1933.0934),(67 2318.8606),(68 2002.0773),(69 2382.1433),(70 2043.6476),(71 2446.1494),(72 2120.4255),(73 2528.2256),(74 2211.759),(75 2644.365),(76 2335.2305),(77 2759.774),(78 2427.757),(79 2850.0276),
(1 697.9057),(2 551.90894),(3 996.59973),(4 726.09296),(5 1140.4199),(6 846.4121),(7 1226.3824),(8 922.9266),(9 1294.337),(10 971.71674),(11 1333.749),(12 1007.3382),(13 1366.2026),(14 1036.1958),(15 1393.5963),(16 1052.2515),(17 1408.7828),(18 1073.5424),(19 1423.8386),(20 1095.4534),(21 1454.2831),(22 1110.6774),(23 1445.4569),(24 1101.6245),(25 1444.5261),(26 1120.8822),(27 1460.3905),(28 1115.6963),(29 1471.8896),(30 1134.4744),(31 1480.1313),(32 1150.101),(33 1516.3634),(34 1189.473),(35 1541.6938),(36 1213.0111),(37 1571.5228),(38 1241.367),(39 1622.7407),(40 1285.3927),(41 1646.7656),(42 1319.3146),(43 1676.3146),(44 1346.8525),(45 1708.0852),(46 1365.4679),(47 1716.1937),(48 1397.9957),(49 1781.8735),(50 1457.4829),(51 1814.5359),(52 1485.402),(53 1864.5184),(54 1536.3988),(55 1912.602),(56 1583.727),(57 1965.9684),(58 1655.6185),(59 2037.8909),(60 1708.0934),(61 2106.1003),(62 1786.8541),(63 2174.386),(64 1850.1646),(65 2237.5598),(66 1912.5596),(67 2296.846),(68 1981.623),(69 2381.3682),(70 2050.6936),(71 2457.4058),(72 2149.391),(73 2552.2207),(74 2237.1433),(75 2660.5378),(76 2346.8005),(77 2757.644),(78 2436.327),(79 2831.775),
(1 711.3159),(2 538.64307),(3 1000.69),(4 705.59625),(5 1138.161),(6 808.35645),(7 1201.8555),(8 871.90674),(9 1260.7156),(10 913.13116),(11 1294.0632),(12 945.6883),(13 1322.072),(14 978.5442),(15 1366.911),(16 1002.0042),(17 1378.4548),(18 1026.5267),(19 1393.1798),(20 1041.2042),(21 1418.5482),(22 1066.339),(23 1419.4194),(24 1058.5111),(25 1428.7349),(26 1078.5592),(27 1435.8972),(28 1080.2229),(29 1455.089),(30 1105.2296),(31 1467.6359),(32 1119.7256),(33 1496.0126),(34 1143.3818),(35 1507.7108),(36 1162.5278),(37 1539.479),(38 1201.3928),(39 1575.6127),(40 1220.3407),(41 1594.172),(42 1243.8815),(43 1610.1162),(44 1272.5111),(45 1642.6013),(46 1294.2216),(47 1662.758),(48 1323.6116),(49 1712.0187),(50 1377.8788),(51 1755.3159),(52 1408.1393),(53 1788.0039),(54 1447.1925),(55 1839.3007),(56 1508.9777),(57 1905.0692),(58 1584.9214),(59 1979.7351),(60 1642.3978),(61 2046.7374),(62 1720.9333),(63 2107.33),(64 1775.3665),(65 2188.4292),(66 1860.683),(67 2244.207),(68 1915.5508),(69 2318.477),(70 1988.1714),(71 2396.9568),(72 2077.971),(73 2496.3665),(74 2174.0999),(75 2618.3906),(76 2303.89),(77 2729.7275),(78 2411.899),(79 2834.9373),
(1 688.4517),(2 535.11646),(3 976.5771),(4 699.6526),(5 1112.5029),(6 808.51733),(7 1177.4419),(8 868.19617),(9 1238.6633),(10 916.79803),(11 1276.3958),(12 953.3633),(13 1304.0773),(14 984.3905),(15 1348.4901),(16 1006.05945),(17 1355.7769),(18 1029.5448),(19 1376.5546),(20 1048.4033),(21 1398.1906),(22 1068.2854),(23 1408.3976),(24 1068.3799),(25 1410.1366),(26 1074.8744),(27 1427.0891),(28 1084.5876),(29 1435.2418),(30 1101.5371),(31 1439.6359),(32 1112.2057),(33 1461.2064),(34 1135.2753),(35 1472.0037),(36 1144.2783),(37 1484.4813),(38 1152.4915),(39 1509.396),(40 1179.3099),(41 1525.8491),(42 1197.4512),(43 1538.7676),(44 1227.3967),(45 1580.623),(46 1252.018),(47 1596.8531),(48 1281.8668),(49 1640.1371),(50 1326.6709),(51 1689.0515),(52 1384.7592),(53 1748.4094),(54 1431.6776),(55 1797.1184),(56 1485.3855),(57 1861.6108),(58 1558.9713),(59 1931.381),(60 1625.9569),(61 2008.1187),(62 1698.7704),(63 2079.913),(64 1784.4014),(65 2175.0164),(66 1857.213),(67 2240.541),(68 1934.4982),(69 2326.2192),(70 2040.4844),(71 2417.0757),(72 2128.1716),(73 2528.4531),(74 2246.6577),(75 2662.2275),(76 2385.2825),(77 2796.1958),(78 2491.9692),(79 2865.0427),
(1 690.6282),(2 519.7494),(3 971.9458),(4 688.5551),(5 1110.8641),(6 799.5372),(7 1185.3904),(8 859.7889),(9 1242.1162),(10 899.75104),(11 1274.2274),(12 929.90955),(13 1298.2056),(14 966.1494),(15 1338.8113),(16 991.70233),(17 1356.3998),(18 1019.7417),(19 1372.8005),(20 1036.5128),(21 1404.4142),(22 1060.4354),(23 1404.3367),(24 1054.5759),(25 1408.1371),(26 1072.4574),(27 1451.2147),(28 1110.4467),(29 1471.7151),(30 1127.1531),(31 1474.7377),(32 1130.0676),(33 1487.3174),(34 1152.7728),(35 1518.3187),(36 1179.5582),(37 1534.7317),(38 1204.5115),(39 1577.129),(40 1246.4302),(41 1612.6526),(42 1280.135),(43 1644.1853),(44 1318.5906),(45 1689.4791),(46 1346.7452),(47 1706.8474),(48 1370.3701),(49 1736.8915),(50 1412.6395),(51 1771.434),(52 1454.1553),(53 1823.3588),(54 1492.5144),(55 1858.1083),(56 1524.7058),(57 1927.903),(58 1612.7184),(59 1994.6597),(60 1677.6652),(61 2052.1694),(62 1746.354),(63 2141.7239),(64 1826.2191),(65 2209.146),(66 1874.3467),(67 2254.5562),(68 1937.1404),(69 2331.3623),(70 2004.8201),(71 2399.167),(72 2083.5168),(73 2489.1096),(74 2168.5762),(75 2591.4543),(76 2294.2107),(77 2725.5547),(78 2406.8608),(79 2803.4377),
(1 661.89856),(2 507.60916),(3 936.5407),(4 674.5798),(5 1064.11),(6 768.96606),(7 1131.1849),(8 837.83435),(9 1200.6527),(10 885.49426),(11 1237.9586),(12 917.1169),(13 1255.4415),(14 942.31903),(15 1291.0817),(16 969.7552),(17 1317.1189),(18 994.99866),(19 1330.7932),(20 1005.69885),(21 1346.1301),(22 1025.051),(23 1344.9957),(24 1018.18304),(25 1349.2686),(26 1029.4768),(27 1366.5245),(28 1051.8336),(29 1388.7212),(30 1064.2521),(31 1395.5437),(32 1069.5227),(33 1415.5427),(34 1107.352),(35 1441.5046),(36 1118.9949),(37 1466.0818),(38 1154.1401),(39 1506.1335),(40 1191.4604),(41 1538.027),(42 1220.0287),(43 1571.3772),(44 1256.2257),(45 1602.7299),(46 1283.9263),(47 1617.0665),(48 1301.9373),(49 1652.3193),(50 1341.3771),(51 1675.3258),(52 1367.5597),(53 1720.7015),(54 1413.7762),(55 1762.2506),(56 1467.2488),(57 1832.4202),(58 1549.8282),(59 1915.2556),(60 1628.3462),(61 1996.5267),(62 1696.8488),(63 2078.692),(64 1788.6975),(65 2152.6196),(66 1846.1208),(67 2188.9849),(68 1899.5912),(69 2253.5457),(70 1956.4111),(71 2329.79),(72 2048.7004),(73 2434.9805),(74 2134.5706),(75 2542.35),(76 2249.6582),(77 2639.691),(78 2357.3206),(79 2729.4077),
(1 666.4716),(2 509.91467),(3 940.6343),(4 667.2028),(5 1068.483),(6 771.44604),(7 1144.0657),(8 842.4408),(9 1207.4121),(10 885.85455),(11 1245.172),(12 918.5847),(13 1269.4886),(14 951.8861),(15 1316.1414),(16 978.5295),(17 1329.9552),(18 1004.1562),(19 1349.2822),(20 1024.0253),(21 1377.7314),(22 1044.7942),(23 1380.9854),(24 1052.5638),(25 1389.6564),(26 1061.346),(27 1404.0323),(28 1067.1299),(29 1421.683),(30 1086.9906),(31 1425.1743),(32 1089.6503),(33 1436.3408),(34 1119.2699),(35 1472.0546),(36 1154.5269),(37 1502.2384),(38 1181.4465),(39 1538.1392),(40 1210.4293),(41 1552.326),(42 1223.4044),(43 1566.609),(44 1249.1766),(45 1608.383),(46 1286.9),(47 1636.078),(48 1326.6569),(49 1680.0282),(50 1362.7373),(51 1715.3656),(52 1393.8257),(53 1749.5475),(54 1442.8259),(55 1794.495),(56 1494.2083),(57 1862.998),(58 1541.761),(59 1906.3604),(60 1598.1814),(61 1965.0161),(62 1656.947),(63 2034.9558),(64 1731.0752),(65 2099.917),(66 1789.2478),(67 2143.1472),(68 1826.144),(69 2181.2646),(70 1887.7288),(71 2262.9558),(72 1969.4949),(73 2348.276),(74 2065.6055),(75 2457.4126),(76 2190.486),(77 2571.4495),(78 2285.4666),(79 2652.0798),
