1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4227),(2 12260.28),(3 22544.678),(4 35212.76),(5 52423.49),(6 73015.62),(7 96162.445),(8 115786.48),(9 140758.25),(10 162555.42),(11 186896.75),(12 208331.75),(13 230735.7),(14 256192.5),(15 283088.9),(16 308637),(17 336819.66),(18 364290.84),(19 393047.13),(20 416576.6),(21 438883.9),(22 464702.1),(23 491865.16),(24 521970.6),(25 551530.06),(26 579979.44),(27 603645.94),(28 618900.44),(29 636839.1),(30 650770.5),(31 665647.56),(32 686438.3),(33 710347.3),(34 735359.5),(35 753415.2),(36 763393.8),(37 773232.3),(38 778389.7),(39 788112.06),(40 788213.7),(41 791347),(42 790494.25),(43 788872),(44 780994.8),(45 767211.7),(46 759508.5),(47 750006),(48 739001.75),(49 738852.5),(50 735924.3),(51 733935),(52 735684.94),(53 735159.44),(54 729921.94),(55 724827.25),(56 717128.5),(57 713014.7),(58 707834.06),(59 711618.25),(60 708650),(61 706656.75),(62 702633.2),(63 702901.44),(64 701704.06),(65 701690.8),(66 702661.3),(67 697774.3),(68 689194.7),(69 683645.3),(70 665535.56),(71 641528.56),(72 620796.7),(73 599134.8),(74 578475.3),(75 557942.4),(76 537731.3),(77 522725.34),(78 507633),(79 497592.6),
(1 812.606),(2 1368.3462),(3 1833.058),(4 2138.4412),(5 2405.713),(6 2624.964),(7 2849.877),(8 3020.912),(9 3187.0603),(10 3356.4946),(11 3514.3428),(12 3654.6458),(13 3895.934),(14 4044.842),(15 4189.98),(16 4285.861),(17 4339.388),(18 4387.212),(19 4432.2744),(20 4471.8916),(21 4541.074),(22 4602.8174),(23 4637.1553),(24 4670.171),(25 4701.028),(26 4713.1313),(27 4726.714),(28 4761.9575),(29 4790.0967),(30 4852.7007),(31 4878.903),(32 4911.3623),(33 4950.102),(34 4978.3154),(35 5018.4717),(36 5043.937),(37 5065.523),(38 5090.786),(39 5125.2915),(40 5145.2256),(41 5180.0576),(42 5221.211),(43 5244.9033),(44 5274.261),(45 5288.2314),(46 5316.4424),(47 5360.9263),(48 5380.563),(49 5397.4727),(50 5411.8145),(51 5449.8584),(52 5457.447),(53 5456.1577),(54 5476.3857),(55 5506.139),(56 5501.0654),(57 5529.113),(58 5575.482),(59 5587.039),(60 5585.53),(61 5597.0713),(62 5591.302),(63 5593.8716),(64 5611.206),(65 5627.1),(66 5658.565),(67 5703.1997),(68 5730.2305),(69 5760.64),(70 5772.577),(71 5790.1846),(72 5770.286),(73 5811.2725),(74 5825.699),(75 5859.611),(76 5903.438),(77 5916.476),(78 5921.374),(79 5914.3555),
(1 813.3129),(2 1365.0068),(3 1810.6202),(4 2100.3848),(5 2387.6477),(6 2614.1697),(7 2806.4011),(8 2956.2795),(9 3130.2192),(10 3280.177),(11 3455.963),(12 3600.8901),(13 3815.563),(14 3934.1355),(15 4077.7495),(16 4147.0527),(17 4214.6387),(18 4292.7515),(19 4348.536),(20 4399.401),(21 4454.454),(22 4484.161),(23 4500.357),(24 4542.8813),(25 4594.3374),(26 4648.287),(27 4670.5405),(28 4706.0513),(29 4722.582),(30 4781.38),(31 4850.7646),(32 4902.894),(33 4954.3076),(34 4974.6294),(35 5014.675),(36 5046.323),(37 5076.3047),(38 5101.411),(39 5149.5825),(40 5160.522),(41 5204.636),(42 5238.5527),(43 5252.2446),(44 5286.164),(45 5310.3267),(46 5314.832),(47 5333.02),(48 5315.396),(49 5340.6245),(50 5366.997),(51 5430.444),(52 5416.532),(53 5418.6787),(54 5433.766),(55 5454.4233),(56 5461.424),(57 5506.3115),(58 5499.259),(59 5516.172),(60 5507.1934),(61 5512.463),(62 5524.483),(63 5574.46),(64 5592.7),(65 5635.437),(66 5663.7837),(67 5698.6367),(68 5714.2017),(69 5713.535),(70 5707.0483),(71 5715.385),(72 5705.6025),(73 5715.261),(74 5730.2935),(75 5760.7617),(76 5796.0225),(77 5808.63),(78 5791.45),(79 5825.911),
(1 816.51355),(2 1382.3042),(3 1823.24),(4 2091.3748),(5 2348.63),(6 2569.2766),(7 2780.2627),(8 2936.1501),(9 3103.3816),(10 3265.1843),(11 3421.9119),(12 3560.0444),(13 3765.5837),(14 3890.941),(15 4038.631),(16 4112.685),(17 4205.34),(18 4293.1255),(19 4336.1157),(20 4388.597),(21 4431.802),(22 4466.65),(23 4501.0903),(24 4539.2144),(25 4588.561),(26 4616.2876),(27 4662.23),(28 4684.553),(29 4715.413),(30 4752.757),(31 4778.065),(32 4805.9336),(33 4831.985),(34 4835.3955),(35 4862.988),(36 4915.683),(37 4916.2446),(38 4935.497),(39 4979.4497),(40 5030.5747),(41 5078.942),(42 5102.2466),(43 5129.4453),(44 5147.006),(45 5163.413),(46 5180.585),(47 5191.332),(48 5198.4546),(49 5229.843),(50 5241.8096),(51 5316.6924),(52 5342.6694),(53 5341.024),(54 5346.635),(55 5375.1255),(56 5376.8755),(57 5418.158),(58 5451.7715),(59 5498.3213),(60 5484.453),(61 5492.593),(62 5524.9507),(63 5565.937),(64 5599.9087),(65 5634.151),(66 5664.334),(67 5685.7524),(68 5714.988),(69 5758.3735),(70 5770.353),(71 5780.693),(72 5799.7085),(73 5791.8667),(74 5786.6104),(75 5838.89),(76 5843.1973),(77 5848.8555),(78 5858.078),(79 5888.0166),
(1 809.5055),(2 1358.6626),(3 1819.0237),(4 2102.986),(5 2365.7852),(6 2563.6267),(7 2772.0854),(8 2923.0417),(9 3076.7732),(10 3223.1997),(11 3387.4456),(12 3528.8376),(13 3746.8394),(14 3885.2927),(15 4022.2856),(16 4073.6313),(17 4130.956),(18 4204.379),(19 4242.977),(20 4273.8657),(21 4337.134),(22 4386.584),(23 4394.144),(24 4442.5537),(25 4469.973),(26 4478.8647),(27 4504.246),(28 4502.448),(29 4503.2573),(30 4524.859),(31 4542.5703),(32 4593.0654),(33 4628.299),(34 4640.8423),(35 4672.3525),(36 4713.4604),(37 4724.1587),(38 4758.7305),(39 4825.3237),(40 4853.574),(41 4913.4473),(42 4946.2275),(43 4970.9346),(44 4990.509),(45 4991.658),(46 5035.869),(47 5056.086),(48 5080.5767),(49 5115.349),(50 5140.271),(51 5187.2993),(52 5187.219),(53 5187.944),(54 5211.706),(55 5231.808),(56 5259.014),(57 5279.158),(58 5295.1885),(59 5318.395),(60 5301.171),(61 5304.5283),(62 5313.609),(63 5358.007),(64 5351.413),(65 5386.318),(66 5414.561),(67 5431.106),(68 5439.957),(69 5457.7896),(70 5474.779),(71 5512.766),(72 5537.1787),(73 5550.3125),(74 5570.515),(75 5600.1255),(76 5584.007),(77 5596.9854),(78 5625.1655),(79 5665.11),
(1 797.72754),(2 1337.1277),(3 1778.7158),(4 2060.3953),(5 2317.5537),(6 2516.0764),(7 2703.563),(8 2854.5818),(9 3015.617),(10 3171.287),(11 3338.7742),(12 3463.174),(13 3693.1523),(14 3812.9758),(15 3937.6907),(16 3998.444),(17 4056.1172),(18 4112.3228),(19 4157.34),(20 4193.1567),(21 4249.7104),(22 4300.136),(23 4326.1763),(24 4372.08),(25 4427.11),(26 4447.123),(27 4487.7256),(28 4527.58),(29 4547.147),(30 4563.7935),(31 4598.952),(32 4638.116),(33 4679.4517),(34 4720.6226),(35 4755.1177),(36 4766.4004),(37 4784.838),(38 4803.17),(39 4838.4175),(40 4859.541),(41 4895.397),(42 4920.8228),(43 4957.964),(44 4994.0503),(45 5004.161),(46 5020.7983),(47 5051.4224),(48 5065.7104),(49 5088.7837),(50 5114.297),(51 5148.57),(52 5166.52),(53 5180.6704),(54 5232.346),(55 5260.6387),(56 5279.32),(57 5281.758),(58 5296.337),(59 5328.4585),(60 5317.403),(61 5309.713),(62 5325.0474),(63 5342.669),(64 5370.8247),(65 5381.0464),(66 5414.2295),(67 5428.9897),(68 5458.308),(69 5475.3823),(70 5487.688),(71 5498.273),(72 5503.9478),(73 5532.033),(74 5552.797),(75 5592.5786),(76 5598.861),(77 5597.6616),(78 5613.4575),(79 5644.297),
(1 796.22955),(2 1337.3704),(3 1802.8856),(4 2070.3596),(5 2307.4382),(6 2519.2312),(7 2710.0698),(8 2865.614),(9 3006.83),(10 3163.889),(11 3319.3528),(12 3435.3037),(13 3649.0605),(14 3761.7615),(15 3881.517),(16 3925.5154),(17 3973.7598),(18 4035.6567),(19 4073.5044),(20 4125.345),(21 4172.9517),(22 4210.9517),(23 4253.7544),(24 4286.398),(25 4309.267),(26 4353.327),(27 4397.2505),(28 4446.085),(29 4488.2407),(30 4524.259),(31 4553.633),(32 4588.1997),(33 4637.413),(34 4673.255),(35 4703.779),(36 4694.4766),(37 4719.29),(38 4766.242),(39 4785.6777),(40 4827.9375),(41 4873.7397),(42 4897.5254),(43 4927.1606),(44 4930.158),(45 4952.951),(46 4970.544),(47 4979.334),(48 4989.755),(49 5017.776),(50 5022.3706),(51 5066.355),(52 5083.2837),(53 5108.2974),(54 5134.8564),(55 5134.262),(56 5152.491),(57 5181.231),(58 5174.803),(59 5174.2813),(60 5156.6094),(61 5157.0107),(62 5157.8813),(63 5189.6997),(64 5201.604),(65 5187.739),(66 5180.091),(67 5184.529),(68 5225.7607),(69 5227.9243),(70 5218.5034),(71 5253.093),(72 5256.6636),(73 5285.4814),(74 5322.818),(75 5352.7876),(76 5363.262),(77 5352.3276),(78 5351.7246),(79 5390.0376),
(1 782.3888),(2 1326.3501),(3 1775.4572),(4 2072.836),(5 2307.6162),(6 2513.1882),(7 2711.7495),(8 2878.2551),(9 3031.7893),(10 3194.3162),(11 3347.3333),(12 3456.8052),(13 3602.646),(14 3696.684),(15 3819.9275),(16 3856.1123),(17 3901.3396),(18 3950.0054),(19 3991.7124),(20 4045.7642),(21 4089.5408),(22 4124.6826),(23 4146.6245),(24 4150.6074),(25 4181.1045),(26 4219.9805),(27 4273.798),(28 4340.947),(29 4386.19),(30 4429.778),(31 4471.4805),(32 4514.341),(33 4538.3657),(34 4577.3193),(35 4616.2505),(36 4633.7305),(37 4659.4243),(38 4698.209),(39 4739.688),(40 4772.368),(41 4818.324),(42 4865.961),(43 4879.753),(44 4915.2993),(45 4966.153),(46 4987.185),(47 5026.1377),(48 5059.9385),(49 5064.6265),(50 5093.1743),(51 5125.0703),(52 5132.5337),(53 5163.233),(54 5205.9653),(55 5207.306),(56 5224.1094),(57 5235.5327),(58 5206.519),(59 5203.724),(60 5170.147),(61 5160.119),(62 5175.695),(63 5195.8867),(64 5200.3477),(65 5209.923),(66 5195.8584),(67 5205.5527),(68 5215.4346),(69 5204.342),(70 5171.484),(71 5183.0386),(72 5184.4883),(73 5199.38),(74 5200.2817),(75 5208.186),(76 5216.808),(77 5211.2544),(78 5194.5947),(79 5194.2534),
(1 772.1311),(2 1285.0204),(3 1715.1754),(4 1995.1649),(5 2243.6162),(6 2441.7932),(7 2641.3115),(8 2812.6392),(9 2950.3364),(10 3104.92),(11 3279.3333),(12 3430.503),(13 3639.9736),(14 3765.3608),(15 3890.1245),(16 3948.4753),(17 4026.1558),(18 4087.373),(19 4139.968),(20 4164.8257),(21 4203.7725),(22 4247.348),(23 4273.786),(24 4279.775),(25 4295.5396),(26 4330.8525),(27 4380.9517),(28 4429.9844),(29 4478.0435),(30 4518.199),(31 4567.02),(32 4627.3696),(33 4663.947),(34 4700.678),(35 4722.5474),(36 4753.487),(37 4760.048),(38 4803.058),(39 4850.0713),(40 4876.958),(41 4889.6714),(42 4918.563),(43 4922.4697),(44 4952.1914),(45 5000.321),(46 5001.1563),(47 5010.494),(48 5013.928),(49 5009.754),(50 5025.983),(51 5044.4604),(52 5029.0884),(53 5023.459),(54 5005.6816),(55 4997.75),(56 4988.7983),(57 4976.7856),(58 5000.905),(59 4991.386),(60 4969.0234),(61 4966.3623),(62 4994.1416),(63 5027.3345),(64 5043.4824),(65 5075.3438),(66 5098.701),(67 5114.1763),(68 5132.496),(69 5156.3022),(70 5184.4185),(71 5194.04),(72 5190.074),(73 5208.383),(74 5237.6304),(75 5277.2827),(76 5298.7285),(77 5319.2705),(78 5338.715),(79 5353.8906),
(1 771.31274),(2 1273.8286),(3 1715.9962),(4 1991.5394),(5 2224.1768),(6 2427.101),(7 2613.7246),(8 2784.065),(9 2934.2664),(10 3080.7627),(11 3219.8186),(12 3358.3633),(13 3574.5032),(14 3699.8252),(15 3833.304),(16 3876.6538),(17 3954.9883),(18 4009.2131),(19 4068.37),(20 4111.374),(21 4157.581),(22 4178.457),(23 4198.411),(24 4217.9043),(25 4241.4185),(26 4278.8193),(27 4333.396),(28 4348.0757),(29 4374.559),(30 4398.528),(31 4415.6943),(32 4448.6836),(33 4466.66),(34 4503.4136),(35 4526.6064),(36 4536.123),(37 4562.8687),(38 4557.679),(39 4582.235),(40 4601.7886),(41 4635.3467),(42 4688.269),(43 4707.1455),(44 4739.859),(45 4750.8057),(46 4753.794),(47 4765.1997),(48 4774.5957),(49 4788.344),(50 4795.1733),(51 4831.524),(52 4831.58),(53 4838.158),(54 4832.0977),(55 4843.9673),(56 4840.8066),(57 4866.638),(58 4869.1685),(59 4873.7744),(60 4866.3335),(61 4886.807),(62 4898.585),(63 4926.4688),(64 4963.0903),(65 4967.552),(66 4962.6367),(67 4967.643),(68 4976.8223),(69 4982.8438),(70 4974.4946),(71 4989.548),(72 4981.3203),(73 5021.417),(74 5063.8574),(75 5092.9214),(76 5125.141),(77 5175.8545),(78 5202.435),(79 5223.972),
(1 767.33856),(2 1279.6743),(3 1707.8264),(4 1951.7686),(5 2192.518),(6 2402.7842),(7 2606.118),(8 2761.5076),(9 2908.8035),(10 3021.0386),(11 3135.2212),(12 3212.1191),(13 3417.7383),(14 3520.9023),(15 3665.9443),(16 3741.1882),(17 3813.1516),(18 3860.5798),(19 3922.0024),(20 3956.5466),(21 4007.9387),(22 4067.6274),(23 4097.0894),(24 4125.961),(25 4160.4683),(26 4198.1416),(27 4232.1797),(28 4253.7153),(29 4288.824),(30 4335.694),(31 4348.991),(32 4413.805),(33 4438.263),(34 4478.6094),(35 4528.238),(36 4531.775),(37 4555.458),(38 4586.527),(39 4647.534),(40 4688.551),(41 4701.888),(42 4748.757),(43 4812.9346),(44 4854.2544),(45 4890.5703),(46 4894.8247),(47 4911.245),(48 4965.4146),(49 5005.0605),(50 5028.88),(51 5052.732),(52 5064.656),(53 5103.335),(54 5113.7607),(55 5159.4316),(56 5166.346),(57 5185.0356),(58 5150.5205),(59 5162.821),(60 5156.4565),(61 5171.8423),(62 5204.52),(63 5239.254),(64 5259.13),(65 5272.2036),(66 5273.433),(67 5294.8447),(68 5303.7275),(69 5300.8037),(70 5291.1904),(71 5298.5313),(72 5299.113),(73 5284.7314),(74 5288.2495),(75 5301.4673),(76 5297.7744),(77 5307.055),(78 5304.739),(79 5310.6436),
(1 754.97675),(2 1271.8322),(3 1698.7981),(4 1939.8748),(5 2164.8318),(6 2353.406),(7 2526.7896),(8 2680.6218),(9 2820.4788),(10 2957.7407),(11 3099.2024),(12 3187.7952),(13 3379.1238),(14 3486.9998),(15 3621.8445),(16 3711.9521),(17 3773.7737),(18 3849.8833),(19 3907.934),(20 3930.0615),(21 3993.7852),(22 4024.488),(23 4050.661),(24 4093.3323),(25 4137.808),(26 4164.79),(27 4200.8286),(28 4255.0625),(29 4294.2754),(30 4350.2256),(31 4359.4536),(32 4386.8325),(33 4394.622),(34 4419.81),(35 4436.9814),(36 4422.806),(37 4432.2656),(38 4440.7983),(39 4484.823),(40 4520.257),(41 4561.0674),(42 4624.4907),(43 4650.445),(44 4673.6196),(45 4702.1563),(46 4730.235),(47 4770.6416),(48 4814.8164),(49 4857.2837),(50 4881.0977),(51 4904.7334),(52 4924.21),(53 4951.0786),(54 4948.446),(55 4954.1064),(56 4960.938),(57 4960.4634),(58 4952.8555),(59 4966.052),(60 4973.4995),(61 4976.0137),(62 4966.0957),(63 4983.809),(64 4988.9707),(65 5009.6665),(66 5027.0425),(67 5045.09),(68 5060.506),(69 5075.0396),(70 5083.5513),(71 5104.1665),(72 5115.636),(73 5101.558),(74 5120.6514),(75 5178.6533),(76 5158.2007),(77 5169.297),(78 5174.5317),(79 5204.704),
(1 748.17334),(2 1251.6669),(3 1680.523),(4 1943.6953),(5 2180.7527),(6 2403.3892),(7 2598.8574),(8 2767.5894),(9 2925.5283),(10 3075.508),(11 3228.03),(12 3332.8179),(13 3522.0935),(14 3637.2722),(15 3785.3022),(16 3855.5083),(17 3915.5847),(18 3975.3833),(19 4001.5227),(20 4046.2175),(21 4087.3538),(22 4129.6167),(23 4152.1675),(24 4188.426),(25 4230.3364),(26 4255.955),(27 4315.0205),(28 4317.321),(29 4332.982),(30 4362.14),(31 4361.884),(32 4382.7246),(33 4364.534),(34 4373.878),(35 4375.1733),(36 4375.878),(37 4374.7705),(38 4380.4253),(39 4397.8423),(40 4428.0645),(41 4481.6157),(42 4523.758),(43 4539.065),(44 4566.5483),(45 4578.638),(46 4613.959),(47 4616.529),(48 4634.1333),(49 4647.8833),(50 4683.8506),(51 4739.652),(52 4756.447),(53 4773.2417),(54 4782.331),(55 4793.2417),(56 4778.6343),(57 4777.4556),(58 4781.877),(59 4784.1914),(60 4776.864),(61 4794.664),(62 4802.228),(63 4838.573),(64 4861.562),(65 4865.5415),(66 4838.9717),(67 4826.672),(68 4839.9463),(69 4864.871),(70 4875.266),(71 4899.953),(72 4929.5293),(73 4924.2686),(74 4964.0244),(75 4992.722),(76 4989.0405),(77 4997.9995),(78 5009.0566),(79 5041.328),
(1 749.3425),(2 1236.0256),(3 1649.9921),(4 1892.288),(5 2135.6868),(6 2343.336),(7 2541.8188),(8 2686.3901),(9 2831.385),(10 2986.4434),(11 3109.0542),(12 3221.111),(13 3437.4072),(14 3556.0112),(15 3680.3877),(16 3756.9705),(17 3802.714),(18 3870.344),(19 3891.7478),(20 3940.6052),(21 3986.7903),(22 4045.364),(23 4083.113),(24 4127.4194),(25 4169.937),(26 4210.0435),(27 4251.3145),(28 4248.388),(29 4273.9595),(30 4288.858),(31 4307.8813),(32 4333.2227),(33 4349.6367),(34 4365.048),(35 4382.7246),(36 4395.2935),(37 4409.732),(38 4433.981),(39 4468.4316),(40 4485.209),(41 4506.6123),(42 4560.9243),(43 4578.455),(44 4604.6924),(45 4612.7007),(46 4638.943),(47 4656.6455),(48 4681.3623),(49 4706.42),(50 4748.2104),(51 4799.3955),(52 4819.411),(53 4842.2266),(54 4857.434),(55 4839.8774),(56 4841.929),(57 4877.2935),(58 4883.756),(59 4903.437),(60 4905.839),(61 4908.593),(62 4906.6875),(63 4938.311),(64 4953.2227),(65 4990.359),(66 4999.6865),(67 4998.974),(68 5038.0654),(69 5054.842),(70 5061.1206),(71 5054.8677),(72 5089.4653),(73 5061.4263),(74 5058.89),(75 5077.8735),(76 5086.5605),(77 5100.178),(78 5078.616),(79 5094.8794),
(1 737.66675),(2 1217.4707),(3 1612.7501),(4 1855.999),(5 2073.9387),(6 2267.1165),(7 2448.3394),(8 2593.5667),(9 2737.2058),(10 2886.2737),(11 2997.044),(12 3102.407),(13 3281.311),(14 3383.016),(15 3523.703),(16 3579.9998),(17 3639.6138),(18 3710.5127),(19 3766.0679),(20 3810.852),(21 3851.0825),(22 3897.2173),(23 3926.5718),(24 3956.5432),(25 3979.1804),(26 4011.8423),(27 4054.2207),(28 4079.3179),(29 4107.765),(30 4140.37),(31 4172.286),(32 4191.146),(33 4220.0313),(34 4235.1177),(35 4268.736),(36 4275.457),(37 4296.0767),(38 4279.6514),(39 4315.6133),(40 4354.275),(41 4390.5127),(42 4426.985),(43 4458.631),(44 4501.184),(45 4490.025),(46 4518.808),(47 4535.5093),(48 4568.6563),(49 4587.774),(50 4602.7314),(51 4642.899),(52 4618.682),(53 4630.2505),(54 4633.819),(55 4659.7505),(56 4696.471),(57 4742.873),(58 4725.5684),(59 4744.5757),(60 4750.274),(61 4750.5107),(62 4749.296),(63 4781.533),(64 4792.613),(65 4803.002),(66 4833.477),(67 4863.2466),(68 4888.1274),(69 4910.2065),(70 4906.961),(71 4920.0186),(72 4920.8745),(73 4906.3906),(74 4902.6),(75 4939.367),(76 4951.069),(77 4971.251),(78 4968.002),(79 4994.8213),
(1 722.73),(2 1191.5691),(3 1594.785),(4 1839.0217),(5 2060.3696),(6 2246.6516),(7 2405.444),(8 2553.1487),(9 2729.2756),(10 2865.2434),(11 3003.1743),(12 3108.496),(13 3314.2756),(14 3431.315),(15 3602.3945),(16 3681.3105),(17 3762.4993),(18 3834.459),(19 3865.5713),(20 3924.4548),(21 3980.2224),(22 3995.0955),(23 4042.7466),(24 4069.1162),(25 4082.9893),(26 4086.9338),(27 4146.2803),(28 4140.7075),(29 4151.057),(30 4161.583),(31 4199.5347),(32 4207.8135),(33 4242.9155),(34 4264.262),(35 4288.639),(36 4277.2817),(37 4286.6167),(38 4282.565),(39 4319.2886),(40 4336.1626),(41 4365.8545),(42 4392.411),(43 4434.5405),(44 4464.127),(45 4463.096),(46 4492.7324),(47 4497.3867),(48 4525.141),(49 4535.164),(50 4565.914),(51 4622.6245),(52 4628.781),(53 4655.679),(54 4640.946),(55 4658.7295),(56 4688.853),(57 4708.02),(58 4709.4976),(59 4700.133),(60 4698.338),(61 4692.337),(62 4699.4995),(63 4735.1367),(64 4750.8438),(65 4758.574),(66 4765.333),(67 4772.429),(68 4781.5913),(69 4777.6133),(70 4767.2813),(71 4776.671),(72 4780.1655),(73 4754.4854),(74 4746.4478),(75 4765.4937),(76 4786.621),(77 4804.1245),(78 4811.194),(79 4822.696),
(1 722.44434),(2 1195.3375),(3 1588.1167),(4 1838.8696),(5 2058.0337),(6 2241.086),(7 2400.2883),(8 2526.9663),(9 2688.7656),(10 2820.41),(11 2969.8608),(12 3061.69),(13 3240.1973),(14 3359.1038),(15 3500.0186),(16 3564.2488),(17 3638.4092),(18 3700.7842),(19 3751.3738),(20 3815.7131),(21 3867.5698),(22 3856.233),(23 3898.47),(24 3933.4524),(25 3990.7317),(26 4012.1482),(27 4054.3743),(28 4062.3843),(29 4096.45),(30 4124.7617),(31 4163.471),(32 4205.6333),(33 4242.316),(34 4261.178),(35 4277.563),(36 4287.2495),(37 4304.6895),(38 4309.712),(39 4344.657),(40 4373.64),(41 4384.36),(42 4403.3735),(43 4423.465),(44 4442.9966),(45 4451.6797),(46 4452.1147),(47 4445.5947),(48 4456.2573),(49 4471.5674),(50 4493.8403),(51 4528.0435),(52 4526.979),(53 4533.912),(54 4548.6484),(55 4576.207),(56 4607.1143),(57 4612.755),(58 4597.5786),(59 4597.5),(60 4601.7515),(61 4596.64),(62 4613.435),(63 4635.7344),(64 4660.0996),(65 4650.7856),(66 4640.555),(67 4626.8887),(68 4637.562),(69 4633.113),(70 4623.6694),(71 4611.557),(72 4596.5566),(73 4603.509),(74 4610.525),(75 4641.553),(76 4668.049),(77 4670.251),(78 4682.9634),(79 4716.4434),
