1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 78658.38),(2 285020.9),(3 578715.3),(4 930178),(5 1327069.4),(6 1733126.5),(7 2060157.6),(8 2335638.8),(9 2573455),(10 2690926.3),(11 2748424.3),(12 2751258.8),(13 2704342.3),(14 2626930.3),(15 2507774.3),(16 2390063.3),(17 2276850.8),(18 2192793.8),(19 2176364.3),(20 2241930.3),(21 2349741.8),(22 2512221.8),(23 2745081.3),(24 2982881.3),(25 3268496.8),(26 3575878),(27 3889716.8),(28 4182198),(29 4463160.5),(30 4738186.5),(31 5030920.5),(32 5359808),(33 5662698.5),(34 5943841.5),(35 6224478),(36 6496398.5),(37 6766868),(38 7007868),(39 7183348),(40 7335493.5),(41 7430408),(42 7462432.5),(43 7429371.5),(44 7460625.5),(45 7510826),(46 7567946),(47 7624510.5),(48 7627677.5),(49 7628163.5),(50 7603732),(51 7570298),(52 7499102.5),(53 7396762),(54 7244163.5),(55 7115297.5),(56 7013275.5),(57 6915303.5),(58 6860298.5),(59 6839676),(60 6908132),(61 6996766.5),(62 7227148.5),(63 7542209.5),(64 7995263.5),(65 8581874),(66 9395207),(67 10370343),(68 11455435),(69 12474003),(70 13659936),(71 14893312),(72 16088115),(73 17311530),(74 18677266),(75 20041932),(76 21390876),(77 22853040),(78 24280586),(79 25724768),
(1 1742.013),(2 1882.1008),(3 2013.2546),(4 2087.754),(5 2041.972),(6 2181.7258),(7 2026.2592),(8 2195.6099),(9 2174.4927),(10 2266.855),(11 2341.3394),(12 2240.4001),(13 2360.9514),(14 2305.7456),(15 2346.0808),(16 2403.5872),(17 2424.067),(18 2470.9863),(19 2450.6787),(20 2472.2585),(21 2593.4116),(22 2507.8506),(23 2669.7449),(24 2590.4937),(25 2710.2524),(26 2744.2002),(27 2798.617),(28 2834.0781),(29 2760.6343),(30 2876.964),(31 2819.9456),(32 2938.1733),(33 2848.7573),(34 2925.458),(35 2928.289),(36 2912.639),(37 2925.1904),(38 2943.0798),(39 2959.4575),(40 2875.66),(41 2939.9236),(42 2920.5022),(43 2874.2712),(44 2942.2622),(45 2815.7217),(46 2884.6238),(47 2846.3857),(48 2827.268),(49 2834.611),(50 2763.0571),(51 2848.148),(52 2849.0022),(53 2806.82),(54 2878.4746),(55 2830.7236),(56 2843.5254),(57 2854.0427),(58 2834.5488),(59 2802.037),(60 2746.824),(61 2748.2356),(62 2714.7678),(63 2755.9646),(64 2690.8037),(65 2659.7139),(66 2686.5825),(67 2662.1282),(68 2674.1929),(69 2586.3308),(70 2653.8574),(71 2551.8174),(72 2662.683),(73 2552.261),(74 2616.2046),(75 2620.6929),(76 2597.4402),(77 2639.7573),(78 2575.4717),(79 2723.6157),
(1 1634.1151),(2 1800.5922),(3 1952.6674),(4 2009.4229),(5 1983.8293),(6 2150.6917),(7 1996.3763),(8 2176.5288),(9 2114.8286),(10 2198.3257),(11 2278.7407),(12 2200.5354),(13 2310.2869),(14 2250.6877),(15 2311.821),(16 2301.8308),(17 2320.5479),(18 2407.9707),(19 2379.474),(20 2394.7832),(21 2483.6597),(22 2456.2148),(23 2561.3315),(24 2553.3147),(25 2591.3386),(26 2618.3372),(27 2650.462),(28 2728.1973),(29 2668.4983),(30 2746.6108),(31 2759.7678),(32 2840.7297),(33 2764.7832),(34 2800.7703),(35 2803.1943),(36 2827.4307),(37 2872.5337),(38 2828.9412),(39 2919.5647),(40 2853.0908),(41 2890.3513),(42 2900.7317),(43 2836.476),(44 2908.9854),(45 2797.4863),(46 2830.7698),(47 2799.0713),(48 2792.8022),(49 2828.6013),(50 2689.1748),(51 2805.511),(52 2812.788),(53 2803.6907),(54 2786.649),(55 2787.1423),(56 2801.5752),(57 2780.8167),(58 2735.0093),(59 2756.2422),(60 2679.6672),(61 2687.7021),(62 2667.5427),(63 2684.7034),(64 2605.9353),(65 2594.009),(66 2564.2761),(67 2509.8271),(68 2541.0117),(69 2503.7065),(70 2552.2646),(71 2442.332),(72 2554.9414),(73 2432.3022),(74 2519.098),(75 2463.9106),(76 2495.261),(77 2536.1733),(78 2445.76),(79 2550.3909),
(1 1720.0818),(2 1792.8655),(3 1972.2751),(4 2052.925),(5 1986.4897),(6 2189.6714),(7 2031.2776),(8 2259.4504),(9 2157.5847),(10 2250.023),(11 2363.5212),(12 2230.9028),(13 2350.7039),(14 2290.5977),(15 2325.3074),(16 2409.697),(17 2384.5317),(18 2491.9988),(19 2518.7102),(20 2491.2822),(21 2629.3748),(22 2603.203),(23 2757.4949),(24 2667.3281),(25 2803.995),(26 2776.1921),(27 2816.8792),(28 2941.0127),(29 2878.7344),(30 3015.882),(31 2932.7212),(32 3107.881),(33 2970.0012),(34 3056.0264),(35 3023.4692),(36 3053.395),(37 3056.307),(38 3019.822),(39 3094.4556),(40 3018.976),(41 3035.23),(42 2998.0107),(43 2953.6338),(44 3017.8643),(45 2882.1416),(46 2954.1646),(47 2869.6016),(48 2875.602),(49 2905.5823),(50 2777.4321),(51 2912.493),(52 2839.076),(53 2884.998),(54 2862.213),(55 2859.842),(56 2884.1143),(57 2886.6416),(58 2771.0986),(59 2800.11),(60 2733.668),(61 2751.949),(62 2599.2961),(63 2670.045),(64 2614.1113),(65 2629.8228),(66 2576.0632),(67 2541.0884),(68 2589.806),(69 2548.0374),(70 2598.4187),(71 2475.2996),(72 2600.1858),(73 2465.326),(74 2573.64),(75 2555.066),(76 2519.988),(77 2559.9717),(78 2518.804),(79 2652.3762),
(1 1649.9514),(2 1745.517),(3 1880.4677),(4 1956.28),(5 1881.478),(6 2065.018),(7 1920.5541),(8 2143.6794),(9 2021.1526),(10 2109.3496),(11 2236.7166),(12 2150.102),(13 2239.3052),(14 2166.7803),(15 2208.9736),(16 2277.3523),(17 2265.8975),(18 2325.1794),(19 2327.1829),(20 2323.596),(21 2383.4368),(22 2407.6592),(23 2496.9888),(24 2432.3894),(25 2539.5664),(26 2507.8582),(27 2584.7896),(28 2663.9028),(29 2590.799),(30 2725.45),(31 2625.862),(32 2808.0417),(33 2681.8699),(34 2746.532),(35 2730.4836),(36 2749.4016),(37 2756.5293),(38 2766.1643),(39 2837.3926),(40 2772.8765),(41 2756.3984),(42 2775.6008),(43 2755.2114),(44 2801.9915),(45 2690.2073),(46 2713.0364),(47 2717.5132),(48 2686.694),(49 2708.8071),(50 2663.2476),(51 2708.3147),(52 2698.6758),(53 2702.2761),(54 2655.5566),(55 2691.6472),(56 2665.8599),(57 2650.191),(58 2595.6484),(59 2589.2756),(60 2531.8435),(61 2522.705),(62 2457.6099),(63 2467.3286),(64 2461.3188),(65 2462.1018),(66 2430.9792),(67 2393.9072),(68 2446.842),(69 2374.02),(70 2454.8237),(71 2353.6543),(72 2424.3906),(73 2326.706),(74 2408.5544),(75 2391.8208),(76 2387.1501),(77 2406.2698),(78 2358.5786),(79 2465.5317),
(1 1598.2301),(2 1730.1514),(3 1845.0713),(4 1930.9846),(5 1858.9055),(6 2017.6078),(7 1891.1738),(8 2069.878),(9 1983.0361),(10 2083.3274),(11 2143.5974),(12 2089.1233),(13 2189.9597),(14 2108.8623),(15 2148.653),(16 2205.4143),(17 2182.0674),(18 2252.6895),(19 2257.1155),(20 2267.2668),(21 2308.9746),(22 2343.482),(23 2410),(24 2358.7312),(25 2481.968),(26 2466.3606),(27 2501.7969),(28 2575.4138),(29 2526.4543),(30 2654.371),(31 2563.0144),(32 2690.7979),(33 2626.7888),(34 2679.0186),(35 2665.9636),(36 2693.3418),(37 2671.796),(38 2664.1482),(39 2774.0237),(40 2720.4185),(41 2712.4834),(42 2692.3164),(43 2680.4053),(44 2692.1167),(45 2622.3052),(46 2641.7976),(47 2607.7869),(48 2603.4834),(49 2627.7415),(50 2602.9636),(51 2631.1897),(52 2605.4673),(53 2588.9595),(54 2600.3818),(55 2610.4556),(56 2568.855),(57 2579.0845),(58 2533.104),(59 2551.2283),(60 2489.9666),(61 2454.6726),(62 2440.4602),(63 2481.5486),(64 2437.1238),(65 2397.0002),(66 2448.1094),(67 2385.6135),(68 2448.301),(69 2369.5618),(70 2427.142),(71 2337.5427),(72 2412.694),(73 2316.425),(74 2403.6304),(75 2385.9321),(76 2368.8193),(77 2430.8777),(78 2376.6772),(79 2469.7356),
(1 1534.6713),(2 1639.7809),(3 1789.6355),(4 1849.5497),(5 1811.379),(6 1980.6936),(7 1813.7347),(8 1987.7917),(9 1924.7762),(10 2011.4385),(11 2068.4556),(12 2011.673),(13 2097.045),(14 2026.7899),(15 2097.7283),(16 2117.4438),(17 2131.4001),(18 2164.064),(19 2199.0103),(20 2166.585),(21 2212.0757),(22 2210.8555),(23 2327.672),(24 2278.0476),(25 2335.133),(26 2341.392),(27 2407.3584),(28 2464.614),(29 2389.331),(30 2539.489),(31 2457.634),(32 2567.3008),(33 2483.0352),(34 2555.377),(35 2534.4739),(36 2560.8594),(37 2538.7478),(38 2535.9985),(39 2610.6755),(40 2594.452),(41 2594.8496),(42 2590.1184),(43 2554.3157),(44 2563.8374),(45 2530.5718),(46 2550.5088),(47 2514.2004),(48 2515.4016),(49 2533.2717),(50 2475.4238),(51 2552.851),(52 2504.3367),(53 2481.7048),(54 2518.7253),(55 2489.1335),(56 2512.336),(57 2493.1118),(58 2458.726),(59 2472.2769),(60 2415.2207),(61 2420.0007),(62 2358.8105),(63 2385.6868),(64 2349.4717),(65 2347.3984),(66 2381.4329),(67 2339.4844),(68 2375.3352),(69 2340.7615),(70 2384.6145),(71 2306.14),(72 2380.0518),(73 2286.2952),(74 2320.73),(75 2353.9639),(76 2341.4155),(77 2356.1965),(78 2336.3726),(79 2412.3252),
(1 1554.2822),(2 1686.467),(3 1791.7915),(4 1900.3226),(5 1829.6483),(6 2004.4111),(7 1914.2035),(8 2054.2935),(9 1991.7899),(10 2061.1306),(11 2111.3962),(12 2074.7534),(13 2198.786),(14 2107.442),(15 2150.1873),(16 2164.9734),(17 2183.1582),(18 2214.616),(19 2214.7727),(20 2190.393),(21 2230.8682),(22 2247.1216),(23 2339.266),(24 2321.9502),(25 2399.8386),(26 2372.1538),(27 2469.6372),(28 2497.8335),(29 2435.969),(30 2531.0872),(31 2450.2913),(32 2553.886),(33 2520.4592),(34 2598.8909),(35 2567.5315),(36 2575.5305),(37 2601.5024),(38 2547.052),(39 2608.6401),(40 2589.5583),(41 2558.2104),(42 2584.1062),(43 2574.0005),(44 2575.651),(45 2520.3342),(46 2531.1548),(47 2524.599),(48 2521.3296),(49 2533.7139),(50 2525.7896),(51 2536.0037),(52 2524.5151),(53 2562.5205),(54 2542.5417),(55 2567.4248),(56 2565.2842),(57 2567.7783),(58 2479.426),(59 2506.886),(60 2444.9124),(61 2472.9932),(62 2414.2266),(63 2432.3706),(64 2417.9016),(65 2400.8616),(66 2418.532),(67 2363.9207),(68 2375.78),(69 2333.6748),(70 2363.3745),(71 2313.0488),(72 2374.2961),(73 2306.6577),(74 2361.9631),(75 2372.3435),(76 2380.658),(77 2381.8499),(78 2367.9336),(79 2473.1997),
(1 1512.2925),(2 1622.089),(3 1717.986),(4 1841.2833),(5 1743.3003),(6 1946.5038),(7 1808.1892),(8 1952.7069),(9 1922.3015),(10 2001.6256),(11 2063.102),(12 1979.833),(13 2074.0188),(14 2003.0692),(15 2066.3499),(16 2084.515),(17 2087.5378),(18 2140.8176),(19 2121.744),(20 2098.171),(21 2175.8276),(22 2171.9644),(23 2246.5476),(24 2257.811),(25 2309.0042),(26 2317.285),(27 2377.1384),(28 2398.3936),(29 2394.5303),(30 2460.8735),(31 2388.001),(32 2510.276),(33 2444.5225),(34 2537.2002),(35 2488.2314),(36 2512.982),(37 2513.6729),(38 2446.808),(39 2554.6233),(40 2510.8408),(41 2559.6038),(42 2543.557),(43 2506.0642),(44 2533.883),(45 2463.5525),(46 2508.3828),(47 2470.511),(48 2423.3032),(49 2518.0825),(50 2431.8928),(51 2480.3652),(52 2499.6716),(53 2485.1816),(54 2521.1528),(55 2524.765),(56 2512.195),(57 2498.393),(58 2443.3826),(59 2450.1606),(60 2399.5103),(61 2399.0754),(62 2356.477),(63 2373.1948),(64 2343.6924),(65 2345.1934),(66 2328.852),(67 2279.645),(68 2332.1787),(69 2280.5054),(70 2294.7634),(71 2237.0864),(72 2312.133),(73 2234.1824),(74 2282.0068),(75 2250.7146),(76 2258.3262),(77 2295.4927),(78 2294.6672),(79 2370.679),
(1 1467.5846),(2 1569.0557),(3 1675.1798),(4 1789.2758),(5 1720.8419),(6 1899.5463),(7 1757.793),(8 1971.4696),(9 1916.1619),(10 1977.5162),(11 2018.0062),(12 1949.5358),(13 2054.8474),(14 1978.6611),(15 2047.367),(16 2078.5586),(17 2056.114),(18 2069.0537),(19 2117.039),(20 2113.22),(21 2159.8772),(22 2131.4114),(23 2270.5793),(24 2223.212),(25 2325.127),(26 2301.2456),(27 2358.0742),(28 2421.735),(29 2400.6182),(30 2460.3364),(31 2441.1675),(32 2538.9014),(33 2440.3684),(34 2526.7024),(35 2516.1917),(36 2553.0635),(37 2512.862),(38 2471.2844),(39 2591.6511),(40 2498.5005),(41 2530.6658),(42 2557.7573),(43 2466.628),(44 2535.3782),(45 2468.3325),(46 2506.2969),(47 2443.4067),(48 2451.5928),(49 2497.9087),(50 2419.8967),(51 2514.5825),(52 2480.631),(53 2463.3062),(54 2470.6443),(55 2463.159),(56 2454.724),(57 2457.8054),(58 2412.1191),(59 2435.3704),(60 2351.3857),(61 2351.3306),(62 2296.716),(63 2324.452),(64 2287.4973),(65 2264.124),(66 2264.3184),(67 2250.3337),(68 2249.2068),(69 2219.547),(70 2283.5447),(71 2174.9685),(72 2267.7952),(73 2172.9568),(74 2226.3645),(75 2222.0806),(76 2234.9644),(77 2269.487),(78 2288.3628),(79 2336.382),
(1 1450.201),(2 1560.3004),(3 1671.1552),(4 1752.3716),(5 1690.243),(6 1870.9441),(7 1753.5132),(8 1925.6869),(9 1868.193),(10 1942.891),(11 1994.6117),(12 1960.3833),(13 2035.6542),(14 2020.4114),(15 2074.8496),(16 2066.061),(17 2055.7903),(18 2112.7983),(19 2118.1738),(20 2109.4177),(21 2153.9033),(22 2123.5205),(23 2270.3499),(24 2213.6575),(25 2289.5403),(26 2265.22),(27 2327.878),(28 2331.488),(29 2349.595),(30 2366.0593),(31 2314.324),(32 2411.602),(33 2329.8362),(34 2390.1392),(35 2346.7507),(36 2389.1921),(37 2364.3171),(38 2338.5076),(39 2428.9705),(40 2401.2036),(41 2389.364),(42 2397.8928),(43 2361.4187),(44 2411.8706),(45 2334.7104),(46 2385.496),(47 2358.504),(48 2347.6128),(49 2374.0986),(50 2350.5276),(51 2389.9788),(52 2402.8306),(53 2376.9116),(54 2429.9612),(55 2378.7837),(56 2373.62),(57 2377.7627),(58 2346.1082),(59 2363.3074),(60 2287.3818),(61 2302.1387),(62 2267.4014),(63 2302.967),(64 2258.9321),(65 2218.133),(66 2261.8567),(67 2178.5625),(68 2203.905),(69 2195.5896),(70 2219.893),(71 2158.735),(72 2194.765),(73 2126.348),(74 2151.3218),(75 2172.3647),(76 2160.3296),(77 2183.3032),(78 2202.8118),(79 2243.3206),
(1 1418.0972),(2 1528.579),(3 1615.1385),(4 1696.1461),(5 1625.3704),(6 1796.8663),(7 1667.6387),(8 1818.8629),(9 1753.4674),(10 1844.855),(11 1921.7651),(12 1847.5024),(13 1957.1466),(14 1872.9437),(15 1942.4945),(16 1953.1385),(17 1955.3949),(18 1980.8159),(19 1988.0028),(20 1985.8324),(21 2030.2189),(22 2037.9999),(23 2126.5144),(24 2084.4446),(25 2194.0056),(26 2165.258),(27 2187.9612),(28 2212.6765),(29 2202.8264),(30 2268.5588),(31 2203.1711),(32 2310.2542),(33 2253.0996),(34 2291.9343),(35 2276.9436),(36 2275.9966),(37 2270.6565),(38 2282.8918),(39 2333.1),(40 2296.3499),(41 2286.9956),(42 2296.647),(43 2257.9507),(44 2298.755),(45 2240.8882),(46 2287.2517),(47 2232.619),(48 2252.782),(49 2280.5977),(50 2252.1785),(51 2268.2793),(52 2255.191),(53 2281.4119),(54 2274.2778),(55 2289.484),(56 2316.5242),(57 2293.706),(58 2264.5198),(59 2215.1707),(60 2206.0713),(61 2204.09),(62 2206.4934),(63 2194.0327),(64 2168.4626),(65 2141.7617),(66 2138.8042),(67 2103.9646),(68 2151.3154),(69 2112.1833),(70 2129.3435),(71 2087.4836),(72 2116.194),(73 2083.7212),(74 2081.0554),(75 2080.469),(76 2107.2031),(77 2117.6594),(78 2099.697),(79 2199.7932),
(1 1408.3939),(2 1497.5286),(3 1613.13),(4 1673.9841),(5 1614.2257),(6 1759.0803),(7 1654.63),(8 1818.2079),(9 1737.8689),(10 1807.5375),(11 1899.7118),(12 1841.8662),(13 1953.323),(14 1884.1808),(15 1911.3485),(16 1929.1879),(17 1972.5138),(18 1956.4563),(19 1972.676),(20 2001.1007),(21 2038.3562),(22 2038.9877),(23 2130.623),(24 2100.3352),(25 2169.6865),(26 2204.271),(27 2208.5474),(28 2245.3862),(29 2243.6511),(30 2270.0447),(31 2238.6338),(32 2338.3406),(33 2290.856),(34 2331.8687),(35 2302.1143),(36 2311.426),(37 2309.3425),(38 2336.6846),(39 2363.3738),(40 2332.0522),(41 2351.4355),(42 2321.5928),(43 2289.0964),(44 2337.2708),(45 2258.3813),(46 2286.6157),(47 2258.4382),(48 2240.2205),(49 2281.1672),(50 2255.8848),(51 2291.9878),(52 2282.4163),(53 2288.74),(54 2286.3083),(55 2278.7256),(56 2271.1606),(57 2298.5295),(58 2206.4614),(59 2219.0066),(60 2192.1648),(61 2198.5752),(62 2125.5142),(63 2152.0225),(64 2130.0408),(65 2112.3667),(66 2128.5425),(67 2092.1396),(68 2097.2253),(69 2083.1082),(70 2131.2947),(71 2046.5968),(72 2107.6018),(73 2045.7517),(74 2095.4124),(75 2065.2686),(76 2100.5935),(77 2141.69),(78 2096.5066),(79 2145.5168),
(1 1387.3995),(2 1437.8221),(3 1568.6969),(4 1644.82),(5 1577.0724),(6 1753.9467),(7 1603.2811),(8 1803.3446),(9 1696.2164),(10 1794.264),(11 1859.2542),(12 1805.1115),(13 1880.2186),(14 1821.7511),(15 1840.5479),(16 1867.2124),(17 1880.613),(18 1924.6261),(19 1905.7928),(20 1931.2118),(21 2002.393),(22 1985.2987),(23 2061.3628),(24 2044.2803),(25 2103.0334),(26 2128.1138),(27 2158.864),(28 2220.6138),(29 2168.2478),(30 2234.1956),(31 2175.3855),(32 2292.665),(33 2181.3958),(34 2275.0566),(35 2245.2334),(36 2245.062),(37 2286.2498),(38 2239.2437),(39 2291.5354),(40 2255.5276),(41 2267.3076),(42 2252.32),(43 2230.3396),(44 2248.97),(45 2186.8115),(46 2243.0479),(47 2186.9639),(48 2181.2456),(49 2181.807),(50 2179.9417),(51 2217.2524),(52 2187.9746),(53 2203.835),(54 2199.6187),(55 2176.2205),(56 2181.064),(57 2216.8196),(58 2157.2537),(59 2139.9219),(60 2113.329),(61 2137.502),(62 2071.0896),(63 2090.2817),(64 2071.3442),(65 2033.5642),(66 2042.3373),(67 2024.9434),(68 2047.6154),(69 2020.8695),(70 2063.682),(71 1991.7344),(72 2037.9493),(73 1983.0018),(74 2024.098),(75 1991.6019),(76 2044.8984),(77 2046.5192),(78 2033.31),(79 2074.5593),
(1 1350.6532),(2 1396.4656),(3 1551.5656),(4 1633.6055),(5 1558.1908),(6 1724.091),(7 1583.868),(8 1759.6809),(9 1695.568),(10 1762.2665),(11 1835.9663),(12 1789.9957),(13 1857.2224),(14 1800.5006),(15 1865.8395),(16 1909.8773),(17 1878.4469),(18 1934.5695),(19 1954.8124),(20 1937.7385),(21 1995.762),(22 1978.8578),(23 2075.275),(24 2021.6217),(25 2096.9253),(26 2116.7302),(27 2134.0579),(28 2202.2786),(29 2150.835),(30 2192.8862),(31 2159.1965),(32 2244.6472),(33 2159.5637),(34 2226.8008),(35 2242.633),(36 2264.647),(37 2250.9194),(38 2217.903),(39 2284.9373),(40 2246.614),(41 2247.4895),(42 2244.77),(43 2223.2393),(44 2230.114),(45 2185.2886),(46 2221.3691),(47 2167.7295),(48 2183.088),(49 2159.8306),(50 2155.8672),(51 2180.461),(52 2157.8408),(53 2169.499),(54 2206.4436),(55 2136.9478),(56 2176.972),(57 2172.6765),(58 2122.1594),(59 2124.8374),(60 2068.7156),(61 2087.476),(62 2066.987),(63 2064.7908),(64 2027.3805),(65 2040.2135),(66 2023.1176),(67 2019.8193),(68 2028.2897),(69 2016.2218),(70 2044.5323),(71 1976.5209),(72 2005.696),(73 1977.8506),(74 2005.9102),(75 2004.7168),(76 2003.3472),(77 2011.5642),(78 2006.1016),(79 2052.768),
(1 1329.3043),(2 1414.488),(3 1511.0366),(4 1600.7792),(5 1522.1433),(6 1658.6259),(7 1565.3555),(8 1734.5518),(9 1666.3035),(10 1728.4673),(11 1799.2235),(12 1758.5369),(13 1814.1774),(14 1783.0026),(15 1818.3219),(16 1833.4453),(17 1819.142),(18 1859.0245),(19 1903.995),(20 1870.5278),(21 1936.9642),(22 1913.1866),(23 2012.0819),(24 1959.6844),(25 2031.4955),(26 2051.2893),(27 2081.8997),(28 2124.6572),(29 2097.0703),(30 2152.6743),(31 2119.9824),(32 2199.4324),(33 2107.0493),(34 2182.022),(35 2172.3108),(36 2202.765),(37 2206.3098),(38 2204.3088),(39 2237.9302),(40 2200.1694),(41 2213.6897),(42 2214.937),(43 2186.3228),(44 2178.0881),(45 2140.3408),(46 2141.7634),(47 2114.3882),(48 2123.508),(49 2112.8096),(50 2113.4644),(51 2120.5293),(52 2112.3596),(53 2117.8047),(54 2096.2861),(55 2094.1367),(56 2122.1113),(57 2100.9395),(58 2088.6216),(59 2084.4297),(60 2010.5431),(61 2038.8289),(62 2000.8334),(63 2006.7288),(64 1957.1017),(65 1936.0947),(66 1939.0168),(67 1942.563),(68 1922.9424),(69 1946.436),(70 1966.6244),(71 1886.5999),(72 1924.0283),(73 1911.9792),(74 1943.6215),(75 1912.7374),(76 1942.5247),(77 1950.9847),(78 1923.0322),(79 1999.041),
(1 1308.0249),(2 1398.6606),(3 1519.5303),(4 1561.4014),(5 1511.815),(6 1654.308),(7 1552.4194),(8 1707.1199),(9 1624.0852),(10 1696.8591),(11 1728.5731),(12 1695.9382),(13 1771.3823),(14 1718.3804),(15 1739.8737),(16 1781.5958),(17 1749.4078),(18 1803.6462),(19 1818.7483),(20 1822.2437),(21 1872.45),(22 1853.697),(23 1925.0784),(24 1895.7426),(25 1948.0463),(26 1960.6079),(27 1997.078),(28 2054.7886),(29 1989.9307),(30 2026.2653),(31 2005.588),(32 2070.3064),(33 2017.2987),(34 2064.8),(35 2069.8716),(36 2084.765),(37 2093.0107),(38 2087.858),(39 2102.4055),(40 2078.492),(41 2078.4849),(42 2094.0764),(43 2104.6572),(44 2041.0033),(45 2029.4677),(46 2028.2134),(47 2027.102),(48 2034.5906),(49 2045.2422),(50 2012.3666),(51 2068.6672),(52 2073.9443),(53 2052.9602),(54 2048.434),(55 2052.6042),(56 2082.4941),(57 2074.4546),(58 2033.2555),(59 2022.9305),(60 1996.0142),(61 1970.2521),(62 1971.0852),(63 2004.3923),(64 1964.4791),(65 1968.8083),(66 1956.5162),(67 1941.6411),(68 1931.19),(69 1930.1991),(70 1967.6084),(71 1888.1283),(72 1961.6399),(73 1896.8579),(74 1926.6635),(75 1926.44),(76 1948.1274),(77 1950.1007),(78 1926.927),(79 1957.8713),
