1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40541.43),(2 79028.305),(3 111974.875),(4 207073.06),(5 303026.72),(6 383225.34),(7 516357.97),(8 637230.44),(9 728945.06),(10 863103.25),(11 1021493.3),(12 1130422.9),(13 1337951.6),(14 1490542),(15 1609596.6),(16 1800601.4),(17 1942035.6),(18 2064115.6),(19 2227088.5),(20 2378130.3),(21 2490587),(22 2657334.3),(23 2799652.3),(24 2924288.3),(25 3085227),(26 3223052),(27 3317001.8),(28 3479988.8),(29 3597579),(30 3687877.3),(31 3836632),(32 3963947.3),(33 4072899),(34 4225387.5),(35 4351567.5),(36 4462377.5),(37 4592670.5),(38 4714066.5),(39 4832484.5),(40 4987519.5),(41 5108956),(42 5235688.5),(43 5391206.5),(44 5522242),(45 5621238.5),(46 5775862),(47 5908230.5),(48 6028531.5),(49 6184022),(50 6332709.5),(51 6480959.5),(52 6643012),(53 6805119.5),(54 6941062.5),(55 7099935.5),(56 7255968.5),(57 7368388),(58 7531541.5),(59 7667622.5),(60 7764635.5),(61 7885604.5),(62 8021798),(63 8131711.5),(64 8281392),(65 8429558),(66 8543589),(67 8666395),(68 8821697),(69 8899348),(70 9026153),(71 9149045),(72 9242626),(73 9367316),(74 9472272),(75 9556659),(76 9678510),(77 9770683),(78 9822895),(79 9909703),
(1 474.81717),(2 702.63086),(3 823.3151),(4 906.8367),(5 968.8814),(6 1002.4452),(7 1034.5817),(8 1064.817),(9 1095.5535),(10 1134.309),(11 1156.4142),(12 1166.555),(13 1203.6813),(14 1219.8246),(15 1234.8065),(16 1241.1344),(17 1255.0837),(18 1265.349),(19 1271.1304),(20 1285.5638),(21 1289.1261),(22 1306.5875),(23 1322.1598),(24 1336.2294),(25 1353.8385),(26 1373.1407),(27 1383.5363),(28 1387.0035),(29 1389.1864),(30 1399.495),(31 1390.0144),(32 1395.6244),(33 1399.8861),(34 1387.9321),(35 1391.2683),(36 1398.0706),(37 1417.11),(38 1432.0824),(39 1445.7446),(40 1438.2983),(41 1441.3292),(42 1445.4083),(43 1448.9624),(44 1440.2694),(45 1436.8274),(46 1443.5068),(47 1433.6952),(48 1419.8859),(49 1424.899),(50 1417.2527),(51 1400.6298),(52 1401.2461),(53 1410.1808),(54 1410.3442),(55 1415.111),(56 1404.5844),(57 1403.9603),(58 1400.3765),(59 1388.2399),(60 1388.9283),(61 1401.8102),(62 1409.5614),(63 1420.4733),(64 1425.3933),(65 1414.3302),(66 1416.0518),(67 1421.6427),(68 1416.9552),(69 1426.1765),(70 1426.3744),(71 1423.5068),(72 1423.9541),(73 1419.5388),(74 1418.3695),(75 1433.5944),(76 1428.9629),(77 1430.6962),(78 1425.7865),(79 1429.983),
(1 471.45856),(2 680.80096),(3 807.8525),(4 891.14056),(5 962.57996),(6 1002.71313),(7 1040.8906),(8 1071.419),(9 1105.9664),(10 1129.9684),(11 1136.7389),(12 1151.6344),(13 1177.2422),(14 1200.1382),(15 1229.8425),(16 1260.4899),(17 1281.9373),(18 1282.484),(19 1280.9875),(20 1284.7948),(21 1296.8458),(22 1304.5936),(23 1315.3123),(24 1334.948),(25 1340.4392),(26 1350.6859),(27 1359.9437),(28 1363.6329),(29 1356.0803),(30 1365.8737),(31 1353.9086),(32 1361.4805),(33 1353.6764),(34 1349.3168),(35 1351.2772),(36 1360.5443),(37 1378.1497),(38 1373.3501),(39 1381.8201),(40 1389.5205),(41 1383.4928),(42 1389.301),(43 1396.7633),(44 1406.9774),(45 1413.7987),(46 1421.2002),(47 1415.4138),(48 1411.3661),(49 1415.3534),(50 1409.1877),(51 1396.5148),(52 1389.6758),(53 1383.5206),(54 1368.7034),(55 1362.1852),(56 1364.4167),(57 1351.6902),(58 1351.1023),(59 1353.1578),(60 1353.4755),(61 1367.0864),(62 1384.3397),(63 1398.6377),(64 1400.4624),(65 1397.1699),(66 1399.1792),(67 1391.9281),(68 1396.2122),(69 1400.4319),(70 1390.4751),(71 1394.9695),(72 1406.5757),(73 1416.2682),(74 1413.106),(75 1418.6826),(76 1421.9423),(77 1409.5602),(78 1415.418),(79 1420.4114),
(1 470.78876),(2 671.32196),(3 800.8331),(4 883.83356),(5 950.40924),(6 1001.05),(7 1043.7802),(8 1078.23),(9 1103.055),(10 1133.081),(11 1148.0173),(12 1158.4214),(13 1201.8363),(14 1220.4858),(15 1256.7856),(16 1283.5217),(17 1314.3551),(18 1340.1301),(19 1346.148),(20 1355.574),(21 1374.611),(22 1389.8475),(23 1399.7064),(24 1414.2201),(25 1422.001),(26 1422.0833),(27 1428.4076),(28 1435.232),(29 1430.2894),(30 1424.2583),(31 1413.8768),(32 1408.4464),(33 1405.6578),(34 1412.6907),(35 1410.0695),(36 1410.2644),(37 1428.5919),(38 1426.922),(39 1441.9497),(40 1447.4541),(41 1454.9257),(42 1464.2549),(43 1479.3809),(44 1466.0302),(45 1456.906),(46 1463.488),(47 1460.1528),(48 1454.5969),(49 1444.7512),(50 1440.7924),(51 1439.6936),(52 1452.3593),(53 1452.1338),(54 1442.0828),(55 1425.007),(56 1415.3297),(57 1412.9532),(58 1423.9958),(59 1419.2428),(60 1417.0621),(61 1429.7648),(62 1434.4224),(63 1444.233),(64 1440.791),(65 1445.8818),(66 1458.8337),(67 1446.6987),(68 1456.0878),(69 1472.247),(70 1478.7179),(71 1491.3877),(72 1487.9424),(73 1485.2292),(74 1471.7191),(75 1473.1611),(76 1468.3442),(77 1476.8325),(78 1490.6522),(79 1488.8491),
(1 461.99103),(2 665.4217),(3 793.62427),(4 879.0675),(5 932.8825),(6 976.90045),(7 1022.9323),(8 1057.0208),(9 1081.0345),(10 1113.959),(11 1136.5107),(12 1155.0883),(13 1193.0167),(14 1214.5427),(15 1249.8599),(16 1269.2988),(17 1289.8722),(18 1302.0094),(19 1314.9425),(20 1334.9174),(21 1348.5746),(22 1350.3196),(23 1362.1293),(24 1366.1875),(25 1374.8062),(26 1379.0728),(27 1383.113),(28 1402.2953),(29 1399.6072),(30 1398.6378),(31 1392.775),(32 1372.6272),(33 1374.9668),(34 1373.9711),(35 1370.9747),(36 1377.1387),(37 1387.628),(38 1393.5109),(39 1415.7234),(40 1422.4796),(41 1425.8407),(42 1427.0204),(43 1427.8893),(44 1409.6395),(45 1402.8058),(46 1407.6416),(47 1397.4922),(48 1407.1892),(49 1399.7098),(50 1393.559),(51 1392.476),(52 1400.21),(53 1397.5245),(54 1396.1029),(55 1392.4546),(56 1373.1877),(57 1367.3975),(58 1374.1162),(59 1366.9045),(60 1361.0846),(61 1362.225),(62 1358.4038),(63 1358.6858),(64 1334.7758),(65 1337.5745),(66 1333.7335),(67 1335.2307),(68 1336.0936),(69 1330.435),(70 1336.4532),(71 1335.401),(72 1330.3191),(73 1345.4122),(74 1336.2347),(75 1342.1017),(76 1339.8523),(77 1332.2555),(78 1336.2881),(79 1337.3762),
(1 454.31418),(2 645.4915),(3 772.39716),(4 841.6983),(5 897.1349),(6 935.6202),(7 972.61255),(8 995.0882),(9 1030.5693),(10 1050.4517),(11 1083.7992),(12 1106.5823),(13 1141.883),(14 1154.056),(15 1184.2502),(16 1203.2316),(17 1229.7667),(18 1253.17),(19 1268.2118),(20 1274.8649),(21 1280.7184),(22 1275.7494),(23 1298.3837),(24 1316.7731),(25 1340.057),(26 1342.8),(27 1367.0616),(28 1371.1152),(29 1381.7471),(30 1382.8674),(31 1394.7588),(32 1391.1613),(33 1390.9612),(34 1388.6423),(35 1401.3909),(36 1410.9994),(37 1410.6951),(38 1411.6119),(39 1419.8367),(40 1432.2532),(41 1426.8746),(42 1422.0143),(43 1413.4093),(44 1410.9784),(45 1416.4185),(46 1417.1982),(47 1417.7511),(48 1421.7515),(49 1418.4073),(50 1405.5969),(51 1404.8519),(52 1401.6288),(53 1397.609),(54 1391.8711),(55 1398.955),(56 1402.2435),(57 1395.5363),(58 1394.7083),(59 1383.9486),(60 1374.2761),(61 1372.6592),(62 1364.0657),(63 1365.361),(64 1361.2864),(65 1369.0265),(66 1374.6262),(67 1365.0443),(68 1378.4993),(69 1376.0017),(70 1379.3762),(71 1381.4044),(72 1382.0023),(73 1385.1481),(74 1373.9872),(75 1374.7408),(76 1372.6223),(77 1371.8077),(78 1391.1481),(79 1396.439),
(1 443.85297),(2 633.75354),(3 753.2965),(4 811.2122),(5 872.48035),(6 918.9708),(7 959.3669),(8 981.4952),(9 1004.1468),(10 1028.004),(11 1058.9072),(12 1080.7788),(13 1104.505),(14 1131.2045),(15 1167.5208),(16 1178.7782),(17 1192.781),(18 1200.9537),(19 1202.9733),(20 1217.8605),(21 1233.1345),(22 1243.974),(23 1260.5598),(24 1258.0066),(25 1278.7697),(26 1289.7883),(27 1310.5316),(28 1317.1665),(29 1332.7303),(30 1336.5416),(31 1331.3331),(32 1334.5192),(33 1340.0033),(34 1332.305),(35 1321.0374),(36 1324.0518),(37 1324.411),(38 1336.4427),(39 1346.5164),(40 1345.4624),(41 1330.0779),(42 1326.7014),(43 1330.82),(44 1331.7042),(45 1341.5441),(46 1334.6274),(47 1338.7605),(48 1333.745),(49 1327.622),(50 1331.2081),(51 1326.719),(52 1323.7732),(53 1323.9219),(54 1311.7605),(55 1313.4613),(56 1318.8188),(57 1330.1516),(58 1343.6031),(59 1337.8627),(60 1335.661),(61 1334.2742),(62 1323.4071),(63 1322.7654),(64 1316.1342),(65 1311.1318),(66 1306.6425),(67 1304.5256),(68 1320.3466),(69 1320.5833),(70 1321.7343),(71 1320.1029),(72 1314.6158),(73 1323.7177),(74 1316.711),(75 1307.1758),(76 1298.3379),(77 1305.687),(78 1311.4642),(79 1317.2943),
(1 429.8401),(2 611.7338),(3 720.687),(4 794.0476),(5 849.9644),(6 890.5167),(7 924.09033),(8 945.7868),(9 967.29407),(10 993.21295),(11 1027.824),(12 1050.3536),(13 1096.8635),(14 1113.0239),(15 1136.7607),(16 1151.9039),(17 1157.5621),(18 1171.8503),(19 1195.2572),(20 1207.0654),(21 1217.9098),(22 1226.2325),(23 1242.5964),(24 1259.6066),(25 1276.8147),(26 1276.759),(27 1293.9065),(28 1305.1205),(29 1306.5773),(30 1317.8688),(31 1310.9489),(32 1321.3986),(33 1324.1052),(34 1300.4648),(35 1307.2922),(36 1299.5575),(37 1300.8429),(38 1297.2181),(39 1295.5872),(40 1291.909),(41 1279.8364),(42 1276.7426),(43 1287.9386),(44 1288.2754),(45 1284.5491),(46 1281.0564),(47 1291.9528),(48 1292.8013),(49 1293.1099),(50 1292.1871),(51 1287.5645),(52 1287.068),(53 1300.5453),(54 1307.7428),(55 1315.0759),(56 1320.2118),(57 1322.2268),(58 1341.0706),(59 1346.4191),(60 1338.445),(61 1338.554),(62 1333.3662),(63 1330.5297),(64 1328.4835),(65 1314.008),(66 1318.6748),(67 1318.8357),(68 1317.1606),(69 1323.5116),(70 1324.486),(71 1328.856),(72 1333.0206),(73 1350.9608),(74 1347.1632),(75 1357.2792),(76 1363.1088),(77 1353.4259),(78 1354.7305),(79 1348.4053),
(1 433.30313),(2 618.23065),(3 727.676),(4 800.3764),(5 854.6548),(6 898.88434),(7 926.9672),(8 960.73004),(9 988.29785),(10 1015.53107),(11 1034.2184),(12 1051.8832),(13 1080.1094),(14 1096.3406),(15 1127.8948),(16 1136.2284),(17 1154.8492),(18 1184.0492),(19 1199.9617),(20 1215.4633),(21 1226.9576),(22 1230.9528),(23 1235.0459),(24 1247.6088),(25 1266.3678),(26 1273.6616),(27 1286.4666),(28 1308.336),(29 1311.9916),(30 1314.0879),(31 1322.9994),(32 1334.466),(33 1340.3885),(34 1323.5073),(35 1312.3508),(36 1307.3859),(37 1314.2382),(38 1302.54),(39 1303.184),(40 1303.6213),(41 1293.8668),(42 1288.9087),(43 1289.3889),(44 1288.9337),(45 1293.0135),(46 1297.0631),(47 1308.3177),(48 1306.0558),(49 1295.6754),(50 1296.5361),(51 1297.5323),(52 1283.6705),(53 1301.4788),(54 1309.7816),(55 1320.5558),(56 1332.9799),(57 1323.8717),(58 1337.3405),(59 1331.5167),(60 1331.7037),(61 1337.3932),(62 1342.9658),(63 1356.2767),(64 1344.7839),(65 1336.7021),(66 1330.4315),(67 1328.6274),(68 1322.3241),(69 1325.9059),(70 1326.1774),(71 1317.6085),(72 1312.4607),(73 1327.5317),(74 1331.4778),(75 1345.2771),(76 1351.461),(77 1342.7483),(78 1346.594),(79 1331.9424),
(1 425.94083),(2 597.35504),(3 701.9705),(4 765.25995),(5 821.0421),(6 863.2353),(7 888.86957),(8 916.89844),(9 952.9858),(10 976.69507),(11 994.63617),(12 1019.05896),(13 1045.238),(14 1057.8541),(15 1077.6132),(16 1083.4762),(17 1108.9497),(18 1125.2961),(19 1148.1621),(20 1155.6366),(21 1162.6897),(22 1168.1619),(23 1173.6034),(24 1184.5817),(25 1189.9221),(26 1193.2173),(27 1202.7993),(28 1218.9125),(29 1230.7728),(30 1239.2924),(31 1244.8064),(32 1261.0736),(33 1257.9695),(34 1264.151),(35 1261.3842),(36 1264.9993),(37 1269.1493),(38 1274.2998),(39 1286.2987),(40 1282.9338),(41 1283.7817),(42 1287.4291),(43 1281.1235),(44 1280.4469),(45 1285.5476),(46 1288.942),(47 1292.6598),(48 1296.4307),(49 1294.1061),(50 1291.2898),(51 1279.0378),(52 1277.3563),(53 1276.0752),(54 1279.4235),(55 1274.7069),(56 1276.6173),(57 1275.1737),(58 1284.4092),(59 1282.7308),(60 1277.6599),(61 1283.1344),(62 1292.1492),(63 1300.3134),(64 1295.047),(65 1278.2808),(66 1287.1794),(67 1284.6289),(68 1288.9175),(69 1288.8578),(70 1282.3569),(71 1287.3717),(72 1295.1421),(73 1318.3502),(74 1317.9424),(75 1321.0775),(76 1315.8829),(77 1321.0712),(78 1319.2616),(79 1311.7997),
(1 421.98483),(2 586.22974),(3 688.6164),(4 752.2919),(5 814.8787),(6 851.96436),(7 893.0274),(8 925.5947),(9 954.0565),(10 989.63965),(11 1004.9367),(12 1039.5089),(13 1073.309),(14 1084.491),(15 1106.8798),(16 1125.7535),(17 1143.7458),(18 1156.5319),(19 1185.9645),(20 1201.2335),(21 1210.4338),(22 1222.1514),(23 1233.6467),(24 1243.9979),(25 1240.2686),(26 1240.2914),(27 1256.6208),(28 1274.8162),(29 1279.8055),(30 1290.4258),(31 1300.9972),(32 1310.6172),(33 1306.3408),(34 1308.1357),(35 1312.2892),(36 1312.7507),(37 1313.696),(38 1316.4467),(39 1329.769),(40 1343.9282),(41 1354.2372),(42 1352.7115),(43 1348.8561),(44 1345.792),(45 1341.2104),(46 1340.9235),(47 1348.3407),(48 1347.5184),(49 1343.4846),(50 1339.3976),(51 1339.7373),(52 1333.2805),(53 1333.3912),(54 1334.3873),(55 1330.8483),(56 1327.683),(57 1327.5643),(58 1338.6841),(59 1330.5842),(60 1322.0596),(61 1316.3855),(62 1310.9482),(63 1304.7312),(64 1313.9019),(65 1315.629),(66 1312.1956),(67 1311.3003),(68 1319.8386),(69 1308.5964),(70 1302.2146),(71 1298.8324),(72 1301.1298),(73 1319.0985),(74 1318.6837),(75 1310.108),(76 1303.0063),(77 1307.7458),(78 1306.409),(79 1302.7338),
(1 412.59933),(2 580.7106),(3 691.79),(4 751.7795),(5 803.9536),(6 843.6112),(7 878.9517),(8 912.4417),(9 943.0358),(10 965.2731),(11 980.5608),(12 1011.0205),(13 1050.2526),(14 1072.6848),(15 1090.1426),(16 1107.5743),(17 1115.8446),(18 1139.232),(19 1159.4932),(20 1162.1375),(21 1162.1471),(22 1169.8357),(23 1182.4233),(24 1191.6259),(25 1190.4672),(26 1189.9368),(27 1207.8483),(28 1219.197),(29 1235.8065),(30 1251.881),(31 1261.2119),(32 1264.643),(33 1264.7961),(34 1268.0681),(35 1268.872),(36 1264.371),(37 1265.3529),(38 1267.6785),(39 1281.1897),(40 1272.66),(41 1268.3959),(42 1265.379),(43 1267.0604),(44 1256.7528),(45 1253.3649),(46 1259.865),(47 1265.272),(48 1263.3798),(49 1260.2667),(50 1250.3499),(51 1241.5339),(52 1229.0267),(53 1225.7338),(54 1221.7567),(55 1218.4152),(56 1214.8641),(57 1217.7863),(58 1226.5695),(59 1203.3578),(60 1201.6958),(61 1194.8934),(62 1209.4255),(63 1205.7611),(64 1214.0001),(65 1225.7668),(66 1227.5051),(67 1232.5851),(68 1237.2554),(69 1237.0352),(70 1227.0153),(71 1220.7413),(72 1216.2328),(73 1218.36),(74 1236.7598),(75 1236.263),(76 1238.7543),(77 1244.9663),(78 1247.9504),(79 1251.7174),
(1 418.7217),(2 598.4591),(3 703.6472),(4 762.8776),(5 808.99976),(6 845.04443),(7 873.7458),(8 900.4562),(9 920.9307),(10 950.0647),(11 964.84576),(12 987.828),(13 1019.17224),(14 1044.4723),(15 1059.5306),(16 1065.5444),(17 1085.236),(18 1101.1847),(19 1114.423),(20 1127.8291),(21 1133.6204),(22 1135.8192),(23 1148.6754),(24 1151.1503),(25 1155.7478),(26 1159.7228),(27 1162.9468),(28 1175.4031),(29 1178.4612),(30 1188.2426),(31 1199.7532),(32 1202.8345),(33 1213.4734),(34 1206.7545),(35 1200.6959),(36 1209.456),(37 1213.0386),(38 1206.9186),(39 1220.255),(40 1219.5217),(41 1213.9885),(42 1215.0236),(43 1218.0984),(44 1214.8304),(45 1200.4404),(46 1201.7256),(47 1204.0416),(48 1209.1621),(49 1212.1002),(50 1220.3201),(51 1219.065),(52 1217.2146),(53 1221.6255),(54 1214.4586),(55 1211.3717),(56 1211.6754),(57 1218.6423),(58 1230.636),(59 1222.8763),(60 1215.3505),(61 1208.1093),(62 1208.9628),(63 1211.0573),(64 1218.1108),(65 1221.3188),(66 1221.0077),(67 1225.6805),(68 1235.5365),(69 1233.9839),(70 1230.8932),(71 1221.1926),(72 1210.6907),(73 1215.9006),(74 1209.0361),(75 1218.1675),(76 1224.6738),(77 1225.107),(78 1230.8665),(79 1236.296),
(1 404.7678),(2 570.3752),(3 680.7579),(4 746.84766),(5 796.54706),(6 831.029),(7 854.58215),(8 883.7325),(9 907.02106),(10 940.2034),(11 956.44165),(12 972.664),(13 1006.3545),(14 1022.76404),(15 1045.5986),(16 1052.7971),(17 1075.286),(18 1083.8497),(19 1098.5194),(20 1108.2306),(21 1117.039),(22 1120.9849),(23 1139.82),(24 1150.9106),(25 1158.509),(26 1168.9741),(27 1170.1782),(28 1176.0754),(29 1180.0796),(30 1181.384),(31 1189.3645),(32 1196.8826),(33 1204.8829),(34 1203.5106),(35 1204.2316),(36 1212.1146),(37 1213.7913),(38 1212.4276),(39 1210.4485),(40 1215.7042),(41 1210.0295),(42 1203.7899),(43 1199.887),(44 1196.2296),(45 1202.6846),(46 1199.3134),(47 1199.6791),(48 1203.125),(49 1202.4344),(50 1202.7002),(51 1218.2795),(52 1216.8038),(53 1218.8778),(54 1222.4768),(55 1218.1794),(56 1215.3861),(57 1214.4017),(58 1220.7045),(59 1218.5868),(60 1214.3779),(61 1209.4214),(62 1212.4758),(63 1217.6763),(64 1222.1931),(65 1222.1909),(66 1224.8887),(67 1230.4885),(68 1238.5634),(69 1230.5796),(70 1239.454),(71 1238.65),(72 1227.242),(73 1238.2026),(74 1236.0309),(75 1241.2598),(76 1241.109),(77 1237.403),(78 1237.9755),(79 1231.5995),
(1 400.0092),(2 563.4778),(3 673.6088),(4 741.41736),(5 788.25714),(6 829.21173),(7 861.2562),(8 884.3773),(9 916.98175),(10 945.7083),(11 958.3598),(12 966.33185),(13 1001.37134),(14 1016.6229),(15 1032.3582),(16 1037.1936),(17 1050.1141),(18 1057.2976),(19 1061.7894),(20 1069.7881),(21 1082.6632),(22 1092.4562),(23 1117.0807),(24 1132.5281),(25 1128.8483),(26 1138.8008),(27 1151.597),(28 1150.1584),(29 1142.6519),(30 1149.2354),(31 1148.0177),(32 1157.7296),(33 1170.4895),(34 1169.2632),(35 1168.1715),(36 1174.3907),(37 1177.7823),(38 1182.5552),(39 1177.9392),(40 1174.0404),(41 1171.3887),(42 1170.8877),(43 1168.3864),(44 1153.311),(45 1156.8099),(46 1158.057),(47 1157.0745),(48 1155.3302),(49 1162.1796),(50 1165.8575),(51 1177.8287),(52 1179.3997),(53 1177.071),(54 1176.4199),(55 1170.5173),(56 1175.9313),(57 1182.0671),(58 1184.3636),(59 1173.8103),(60 1165.3286),(61 1160.3784),(62 1167.5839),(63 1164.2028),(64 1161.4082),(65 1169.9852),(66 1175.5948),(67 1173.5355),(68 1178.8317),(69 1180.4927),(70 1183.4028),(71 1196.9722),(72 1192.5212),(73 1204.7092),(74 1193.6329),(75 1194.0737),(76 1202.1055),(77 1200.481),(78 1190.6338),(79 1185.2416),
(1 400.30536),(2 562.0096),(3 660.3752),(4 714.92596),(5 764.4006),(6 806.50165),(7 852.24585),(8 879.63336),(9 900.2096),(10 923.4875),(11 935.7221),(12 958.64496),(13 990.68054),(14 1011.3221),(15 1028.81),(16 1039.3606),(17 1054.6655),(18 1068.0068),(19 1062.5967),(20 1060.1854),(21 1068.6425),(22 1084.0344),(23 1099.3633),(24 1109.8528),(25 1117.9064),(26 1122.8818),(27 1143.9918),(28 1141.5798),(29 1154.9785),(30 1163.733),(31 1165.5742),(32 1166.4791),(33 1159.0084),(34 1149.0758),(35 1155.327),(36 1153.1561),(37 1152.2007),(38 1159.1382),(39 1156.0809),(40 1158.9708),(41 1171.026),(42 1182.268),(43 1178.0591),(44 1173.7223),(45 1163.6497),(46 1164.8822),(47 1158.2155),(48 1159.224),(49 1158.7931),(50 1154.903),(51 1158.3058),(52 1165.5101),(53 1164.954),(54 1180.4417),(55 1174.4255),(56 1181.5243),(57 1179.6519),(58 1178.284),(59 1170.9305),(60 1161.4952),(61 1160.7799),(62 1154.6759),(63 1158.2438),(64 1152.6656),(65 1157.3984),(66 1150.1317),(67 1154.6903),(68 1155.4551),(69 1147.284),(70 1149.7769),(71 1153.3043),(72 1156.2094),(73 1160.4397),(74 1154.163),(75 1157.4506),(76 1156.2909),(77 1149.0114),(78 1152.7837),(79 1162.2804),
(1 393.76825),(2 544.84186),(3 641.6005),(4 709.4481),(5 757.0611),(6 798.23816),(7 830.65845),(8 864.12476),(9 906.3187),(10 921.2165),(11 933.84344),(12 941.82245),(13 971.7903),(14 982.9485),(15 1004.43823),(16 1023.6588),(17 1033.9568),(18 1049.8628),(19 1060.3849),(20 1054.2571),(21 1059.5563),(22 1066.3151),(23 1086.9258),(24 1096.829),(25 1106.6085),(26 1115.87),(27 1123.0992),(28 1130.3855),(29 1142.6538),(30 1155.1626),(31 1155.5557),(32 1154.1207),(33 1151.9436),(34 1149.0851),(35 1140.647),(36 1146.5775),(37 1150.7029),(38 1152.5648),(39 1154.8671),(40 1149.2164),(41 1145.1602),(42 1150.3112),(43 1151.3202),(44 1142.7543),(45 1141.9808),(46 1137.4397),(47 1133.1805),(48 1136.1396),(49 1138.1896),(50 1129.6929),(51 1141.809),(52 1147.4226),(53 1155.6202),(54 1158.4365),(55 1161.2462),(56 1167.6816),(57 1177.9384),(58 1193.765),(59 1184.6803),(60 1179.5712),(61 1189.3093),(62 1178.7618),(63 1182.8468),(64 1181.1929),(65 1187.7394),(66 1183.1064),(67 1180.6276),(68 1181.563),(69 1182.54),(70 1175.0114),(71 1167.4589),(72 1158.9424),(73 1156.909),(74 1158.5383),(75 1146.9558),(76 1144.864),(77 1148.0139),(78 1147.2142),(79 1147.638),
