1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17777.746),(2 65172.887),(3 156444.27),(4 250574.73),(5 365971.66),(6 494635.16),(7 632853.2),(8 767770.8),(9 906630),(10 1051357.9),(11 1212944.9),(12 1392290),(13 1581249),(14 1783327.6),(15 2032161),(16 2288988),(17 2552150),(18 2832455.8),(19 3113388.3),(20 3390142.3),(21 3673467.3),(22 3944286.8),(23 4188707.3),(24 4379432.5),(25 4555904.5),(26 4717496),(27 4860409.5),(28 4983938.5),(29 5105263.5),(30 5216675),(31 5338038),(32 5442129),(33 5536128.5),(34 5630395.5),(35 5713527.5),(36 5771824),(37 5839012.5),(38 5890850),(39 5950945.5),(40 5913624.5),(41 5955773.5),(42 5989312),(43 6028272.5),(44 6075521.5),(45 6124822),(46 6216861.5),(47 6322951.5),(48 6477480),(49 6664270),(50 6877284.5),(51 7132738.5),(52 7400144.5),(53 7664466.5),(54 7940561.5),(55 8224642.5),(56 8493825),(57 8768044),(58 9056029),(59 9363040),(60 9676081),(61 10039449),(62 10401833),(63 10789905),(64 11149349),(65 11503747),(66 11789333),(67 12039871),(68 12275301),(69 12511596),(70 12723216),(71 12944621),(72 13138381),(73 13323107),(74 13497193),(75 13671227),(76 13834220),(77 13966127),(78 14114213),(79 14199899),
(1 2192.2314),(2 3233.8772),(3 4175.041),(4 4847.374),(5 5396.3726),(6 5904.8857),(7 6467.3677),(8 6966.8174),(9 7510.5557),(10 7957.3677),(11 8337.036),(12 8673.455),(13 8953.002),(14 9213.373),(15 9420.988),(16 9587.077),(17 9672.648),(18 9605.098),(19 9679.015),(20 9580.035),(21 9506.272),(22 9383.603),(23 9249.829),(24 9184.553),(25 9074.555),(26 8947.361),(27 8816.995),(28 8741.008),(29 8627.685),(30 8483.704),(31 8416.994),(32 8274.144),(33 8230.429),(34 8144.756),(35 8035.599),(36 7869.352),(37 7849.138),(38 7889.174),(39 7984.1797),(40 7959.558),(41 7973.0093),(42 8071.844),(43 8022.9917),(44 8031.4863),(45 8032.389),(46 8075.5156),(47 8150.4307),(48 8238.282),(49 8302.52),(50 8389.834),(51 8309.975),(52 8309.873),(53 8335.062),(54 8290.549),(55 8246.985),(56 8208.307),(57 8256.225),(58 8211.269),(59 8210.692),(60 8121.604),(61 8130.5845),(62 8164.858),(63 8214.688),(64 8257.455),(65 8222.512),(66 8337.389),(67 8394.535),(68 8516.346),(69 8591.127),(70 8632.318),(71 8736.991),(72 8809.979),(73 8895.125),(74 9006.172),(75 9100.368),(76 9130.768),(77 9136.899),(78 9164.914),(79 9132.722),
(1 2232.4458),(2 3222.6533),(3 4102.755),(4 4689.8345),(5 5175.86),(6 5663.687),(7 6207.388),(8 6609.631),(9 7038.063),(10 7470.959),(11 7863.1396),(12 8238.7),(13 8501.959),(14 8716.376),(15 9075.561),(16 9251.664),(17 9317.551),(18 9343.977),(19 9400.263),(20 9347.933),(21 9350.051),(22 9228.403),(23 9174.27),(24 9048.039),(25 8907.591),(26 8791.516),(27 8754.372),(28 8696.883),(29 8643.402),(30 8542.289),(31 8510.059),(32 8386.097),(33 8212.462),(34 8099.5527),(35 7996.0894),(36 7865.4126),(37 7821.968),(38 7840.9004),(39 7870.741),(40 7740.119),(41 7763.718),(42 7836.0503),(43 7849.9575),(44 7875.7715),(45 7902.91),(46 7924.717),(47 7946.3574),(48 7831.445),(49 7938.214),(50 8054.2515),(51 8006.65),(52 8003.0483),(53 7926.03),(54 7997.7485),(55 7880.568),(56 7838.374),(57 7821.5356),(58 7790.791),(59 7858.3833),(60 7812.601),(61 7809.9907),(62 7814.818),(63 7790.7104),(64 7746.681),(65 7884.549),(66 8008.4985),(67 8065.28),(68 8165.5176),(69 8210.403),(70 8318.647),(71 8337.478),(72 8443.149),(73 8558.23),(74 8696.556),(75 8778.185),(76 8840.342),(77 8921.76),(78 8943.73),(79 8953.88),
(1 2179.1416),(2 3176.039),(3 4030.8308),(4 4702.392),(5 5190.711),(6 5694.1377),(7 6280.936),(8 6735.958),(9 7180.2925),(10 7649.4355),(11 8033.993),(12 8434.39),(13 8637.234),(14 8929.149),(15 9255.117),(16 9315.601),(17 9461.19),(18 9502.982),(19 9557.496),(20 9492.86),(21 9482.053),(22 9366.277),(23 9286.406),(24 9179.173),(25 9056.573),(26 8953.664),(27 8837.529),(28 8716.543),(29 8539.082),(30 8509.447),(31 8464.62),(32 8368.066),(33 8259.775),(34 8168.015),(35 8046.406),(36 7916.343),(37 7899.7188),(38 7826.3086),(39 7860.4453),(40 7776.0137),(41 7830.04),(42 7919.493),(43 7912.3555),(44 7906.6875),(45 7911.3687),(46 7952.2476),(47 7950.5454),(48 7953.453),(49 7970.8115),(50 7990.0273),(51 8015.191),(52 7951.775),(53 7922.1406),(54 7976.0537),(55 7956.2666),(56 8001.533),(57 7940),(58 7976.4277),(59 8028.0234),(60 7964.9497),(61 8052.153),(62 8003.3843),(63 8026.2456),(64 7986.7197),(65 8016.1187),(66 8096.735),(67 8121.1475),(68 8202.449),(69 8177.728),(70 8197.794),(71 8269.841),(72 8349.06),(73 8425.564),(74 8549.34),(75 8562.139),(76 8514.38),(77 8497.599),(78 8470.045),(79 8495.614),
(1 2129.9941),(2 3133.3975),(3 4018.304),(4 4580.283),(5 5011.139),(6 5487.7847),(7 6065.1978),(8 6444.9697),(9 6858.3345),(10 7233.499),(11 7545.4087),(12 7823.9697),(13 8112.2393),(14 8313.528),(15 8559.535),(16 8590.888),(17 8690.168),(18 8784.484),(19 8897.069),(20 8837.685),(21 8832.038),(22 8743.195),(23 8662.476),(24 8583.59),(25 8463.216),(26 8403.159),(27 8327.88),(28 8155.079),(29 8050.4834),(30 7950.2954),(31 7898.8247),(32 7793.4805),(33 7756.9844),(34 7659.7637),(35 7549.4233),(36 7461.396),(37 7441.4136),(38 7401.2705),(39 7411.982),(40 7406.6523),(41 7368.189),(42 7419.068),(43 7443.624),(44 7430.9873),(45 7450.889),(46 7507.5615),(47 7536.3315),(48 7528.142),(49 7573.754),(50 7524.332),(51 7539.4736),(52 7554.7153),(53 7555.6777),(54 7610.889),(55 7566.447),(56 7579.8657),(57 7562.0454),(58 7507.2954),(59 7564.178),(60 7556.6196),(61 7532.8765),(62 7595.371),(63 7694.2725),(64 7666.247),(65 7732.082),(66 7778.761),(67 7803.135),(68 7828.805),(69 7890.3857),(70 7931.7544),(71 7986.5415),(72 8082.876),(73 8207.852),(74 8285.56),(75 8332.731),(76 8312.178),(77 8349.399),(78 8358.048),(79 8416.707),
(1 2095.5723),(2 3042.4458),(3 3928.5479),(4 4465.582),(5 4989.071),(6 5488.604),(7 5984.3696),(8 6451.4067),(9 6875.001),(10 7275.059),(11 7708.205),(12 8037.925),(13 8331.211),(14 8680.522),(15 8989.728),(16 9084.6045),(17 9120.298),(18 9296.311),(19 9317.8125),(20 9269.872),(21 9165.223),(22 9095.07),(23 8952.437),(24 8813.017),(25 8689.778),(26 8636.794),(27 8552.464),(28 8361.337),(29 8221.479),(30 8110.471),(31 8051.6406),(32 7979.8345),(33 7853.757),(34 7739.889),(35 7650.845),(36 7511.131),(37 7459.3853),(38 7410.41),(39 7369.44),(40 7343.7476),(41 7341.932),(42 7399.5234),(43 7385.7188),(44 7404.291),(45 7468.933),(46 7467.79),(47 7519.1445),(48 7530.9116),(49 7587.1274),(50 7643.825),(51 7646.314),(52 7658.462),(53 7695.4263),(54 7789.8594),(55 7742.63),(56 7701.3247),(57 7657.557),(58 7656.1025),(59 7656.932),(60 7675.258),(61 7613.424),(62 7705.3726),(63 7741.357),(64 7728.38),(65 7770.059),(66 7777.9155),(67 7876.8853),(68 7839.367),(69 7982.5366),(70 7992.5176),(71 8057.449),(72 8092.788),(73 8217.016),(74 8317.899),(75 8371.053),(76 8427.65),(77 8462.407),(78 8385.819),(79 8489.464),
(1 2050.241),(2 3003.8591),(3 3873.1987),(4 4459.594),(5 5013.1465),(6 5535.8276),(7 6067.828),(8 6532.092),(9 6909.5264),(10 7239.4287),(11 7623.432),(12 8009.8267),(13 8247.707),(14 8474.859),(15 8753.566),(16 8813.649),(17 8885.777),(18 8913.228),(19 8893.868),(20 8812.497),(21 8713.553),(22 8640.868),(23 8494.744),(24 8301.089),(25 8192.998),(26 8105.4946),(27 7993.518),(28 7888.576),(29 7765.533),(30 7597.202),(31 7460.3745),(32 7384.9614),(33 7384.4756),(34 7359.508),(35 7237.3486),(36 7136.978),(37 7070.78),(38 6994.1997),(39 7039.6587),(40 6996.1895),(41 7006.658),(42 7116.9165),(43 7150.059),(44 7163.0654),(45 7198.313),(46 7227.9697),(47 7244.034),(48 7311.4697),(49 7255.455),(50 7290.788),(51 7357.3335),(52 7325.593),(53 7322.698),(54 7419.8486),(55 7392.418),(56 7407.146),(57 7299.1123),(58 7289.5933),(59 7305.608),(60 7337.285),(61 7380.1177),(62 7445.8125),(63 7571.0615),(64 7613.0195),(65 7613.008),(66 7700.153),(67 7790.56),(68 7853.0176),(69 7890.2305),(70 7908.74),(71 7939.329),(72 7998.534),(73 8052.1636),(74 8119.966),(75 8135.988),(76 8254.073),(77 8332.491),(78 8403.633),(79 8467.842),
(1 2101.3264),(2 2951.7407),(3 3807.1604),(4 4356.811),(5 4839.616),(6 5324.2954),(7 5891.5186),(8 6351.4443),(9 6777.608),(10 7141.4634),(11 7481.9546),(12 7794.1523),(13 8088.9023),(14 8339.052),(15 8609.202),(16 8679.529),(17 8770.0625),(18 8886.885),(19 8914.069),(20 8880.698),(21 8838.064),(22 8769.725),(23 8684.176),(24 8542.727),(25 8449.127),(26 8297.968),(27 8228.603),(28 8118.2793),(29 8040.3994),(30 7928.3374),(31 7815.9727),(32 7713.56),(33 7615.249),(34 7563.6104),(35 7445.1196),(36 7327.9653),(37 7254.869),(38 7217.7104),(39 7214.44),(40 7253.6587),(41 7297.318),(42 7324.603),(43 7266.2485),(44 7253.6006),(45 7263.3853),(46 7273.5522),(47 7374.122),(48 7394.5957),(49 7426.3936),(50 7467.764),(51 7496.736),(52 7486.491),(53 7546.795),(54 7544.1494),(55 7456.2603),(56 7445.142),(57 7381.6074),(58 7336.661),(59 7403.442),(60 7412.84),(61 7376.4766),(62 7420.378),(63 7474.0405),(64 7505.548),(65 7550.5366),(66 7617.875),(67 7699.935),(68 7798.4575),(69 7820.169),(70 7931.1646),(71 7984.362),(72 7979.837),(73 8061.719),(74 8091.164),(75 8127.0615),(76 8176.66),(77 8201.893),(78 8181.922),(79 8167.9604),
(1 2016.4946),(2 2950.8252),(3 3776.0642),(4 4368.822),(5 4876.5703),(6 5419.606),(7 5927.9336),(8 6363.715),(9 6801.749),(10 7169.0215),(11 7491.367),(12 7832.9634),(13 8044.2573),(14 8301.643),(15 8562.735),(16 8671.794),(17 8766.469),(18 8844.653),(19 8822.612),(20 8833.796),(21 8743.028),(22 8708.725),(23 8557.503),(24 8436.559),(25 8286.131),(26 8183.5186),(27 8091.4688),(28 7936.1655),(29 7845.5083),(30 7739.3457),(31 7659.6733),(32 7560.3545),(33 7434.366),(34 7309.2217),(35 7161.1426),(36 7041.7373),(37 6964.764),(38 6895.2476),(39 6901.489),(40 6918.589),(41 6891.1846),(42 6962.206),(43 6923.301),(44 6900.2925),(45 6930.1357),(46 6899.344),(47 6874.8125),(48 6881.075),(49 6931.67),(50 7052.3657),(51 7121.7363),(52 7165.353),(53 7242.6313),(54 7209.784),(55 7213.7573),(56 7192.912),(57 7156.4185),(58 7185.9365),(59 7240.6484),(60 7334.4224),(61 7330.67),(62 7339.181),(63 7323.553),(64 7335.941),(65 7377.3506),(66 7451.463),(67 7582.774),(68 7699.282),(69 7705.564),(70 7705.065),(71 7705.044),(72 7706.72),(73 7747.4194),(74 7793.9023),(75 7867.129),(76 7903.747),(77 7923.9023),(78 7895.8745),(79 7934.6274),
(1 1952.8618),(2 2831.5383),(3 3619.6614),(4 4134.665),(5 4658.906),(6 5103.976),(7 5635.5957),(8 6050.229),(9 6488.807),(10 6832.506),(11 7233.9873),(12 7537.524),(13 7831.009),(14 8086.3857),(15 8298.916),(16 8387.201),(17 8497.386),(18 8605.445),(19 8599.185),(20 8612.196),(21 8567.554),(22 8459.449),(23 8325.747),(24 8238.492),(25 8104.249),(26 7965.76),(27 7869.9404),(28 7795.9805),(29 7704.1455),(30 7617.0684),(31 7491.3945),(32 7342.706),(33 7243.394),(34 7198.006),(35 7143.1304),(36 7053.247),(37 6969.3),(38 6885.4517),(39 6865.1504),(40 6867.888),(41 6903.4204),(42 7019.3013),(43 6990.526),(44 7005.194),(45 7016.5796),(46 6981.5674),(47 7049.911),(48 6945.6333),(49 6940.733),(50 6978.7305),(51 6965.714),(52 6973.2104),(53 6993.3833),(54 7033.8057),(55 6976.7817),(56 7012.428),(57 6975.5454),(58 7004.3403),(59 7083.2744),(60 7089.0503),(61 7088.6367),(62 7090.3154),(63 7070.244),(64 7087.9624),(65 7186.076),(66 7255.276),(67 7347.9243),(68 7398.181),(69 7487.0347),(70 7511.499),(71 7637.3213),(72 7646.536),(73 7729.7446),(74 7796.473),(75 7865.8447),(76 7933.592),(77 7911.8145),(78 7881.0254),(79 7869.6157),
(1 1961.2208),(2 2917.962),(3 3699.3445),(4 4239.0396),(5 4759.69),(6 5265.8457),(7 5828.5835),(8 6299.5884),(9 6766.828),(10 7058.9585),(11 7486.594),(12 7795.231),(13 8125.149),(14 8442.813),(15 8701.592),(16 8796.387),(17 8908.699),(18 8995.251),(19 9031.989),(20 9043.089),(21 9035.666),(22 8934.579),(23 8864.333),(24 8724.083),(25 8631.998),(26 8518.764),(27 8356.584),(28 8187.421),(29 8119.9585),(30 8006.351),(31 7898.1333),(32 7804.9756),(33 7616.2974),(34 7533.236),(35 7423.0605),(36 7329.6963),(37 7204.0806),(38 7118.407),(39 7011.043),(40 7003.1406),(41 7019.9395),(42 7063.2163),(43 7031.749),(44 7106.595),(45 7155.386),(46 7116.02),(47 7197.9106),(48 7138.1016),(49 7101.135),(50 7164.3975),(51 7193.6675),(52 7135.097),(53 7170.8325),(54 7208.4814),(55 7101.906),(56 7075.481),(57 7056.555),(58 7065.8423),(59 7096.921),(60 7064.772),(61 7062.1807),(62 7048.529),(63 7125.983),(64 7146.736),(65 7258.963),(66 7368.3833),(67 7480.345),(68 7570.617),(69 7609.3154),(70 7725.6045),(71 7818.214),(72 7871.4844),(73 7942.152),(74 7959.848),(75 8017.424),(76 8012.019),(77 8029.1978),(78 8008.674),(79 8083.913),
(1 1930.4105),(2 2870.0867),(3 3638.4597),(4 4217.744),(5 4801.1206),(6 5238.588),(7 5756.975),(8 6185.313),(9 6595.496),(10 6976.3657),(11 7308.9707),(12 7635.946),(13 7980.615),(14 8272.309),(15 8492.808),(16 8609.717),(17 8711.681),(18 8819.814),(19 8781.115),(20 8788.4375),(21 8773.325),(22 8686.945),(23 8597.805),(24 8512.2705),(25 8399.331),(26 8281.237),(27 8169.451),(28 8027.635),(29 7921.814),(30 7825.985),(31 7754.8804),(32 7692.0933),(33 7521.893),(34 7414.149),(35 7349.302),(36 7292.661),(37 7228.6997),(38 7124.001),(39 7054.4863),(40 7020.111),(41 7026.6875),(42 7044.6016),(43 7051.09),(44 7081.5),(45 7108.244),(46 7147.631),(47 7155.0166),(48 7125.6484),(49 7210.8774),(50 7198.969),(51 7342.369),(52 7342.0776),(53 7364.5483),(54 7399.552),(55 7328.9404),(56 7369.265),(57 7378.549),(58 7326.696),(59 7336.1846),(60 7288.483),(61 7300.41),(62 7393.039),(63 7393.3027),(64 7466.068),(65 7469.986),(66 7468.7114),(67 7556.796),(68 7570.7915),(69 7633.4224),(70 7732.279),(71 7860.9),(72 7915.7817),(73 7930.1143),(74 7889.4517),(75 7855.8843),(76 7884.589),(77 7894.381),(78 7955.8643),(79 7989.088),
(1 1904.5868),(2 2776.883),(3 3518.5627),(4 4050.0151),(5 4593.075),(6 5042.6587),(7 5612.5522),(8 6017.7534),(9 6495.164),(10 6894.8853),(11 7299.106),(12 7622.208),(13 7951.5317),(14 8214.986),(15 8443.438),(16 8553.4795),(17 8675.74),(18 8803.062),(19 8780.56),(20 8739.029),(21 8641.078),(22 8573.389),(23 8502.855),(24 8385.0625),(25 8273.861),(26 8170.8813),(27 8116.462),(28 8014.3154),(29 7926.9893),(30 7838.608),(31 7713.09),(32 7607.141),(33 7539.059),(34 7508.9653),(35 7428.533),(36 7360.4893),(37 7257.0254),(38 7184.294),(39 7093.8833),(40 7126.188),(41 7136.9746),(42 7221.5444),(43 7216.733),(44 7192.079),(45 7213.432),(46 7226.097),(47 7252.712),(48 7192.1123),(49 7250.394),(50 7239.6606),(51 7341.82),(52 7311.517),(53 7321.2866),(54 7358.17),(55 7267.8076),(56 7318.167),(57 7351.1587),(58 7272.0747),(59 7268.7397),(60 7248.9883),(61 7244.753),(62 7224.8013),(63 7321.8853),(64 7305.053),(65 7343.5254),(66 7346.969),(67 7411.781),(68 7464.094),(69 7560.674),(70 7630.0737),(71 7737.171),(72 7767.8364),(73 7845.3545),(74 7922.701),(75 8005.6973),(76 8101.7075),(77 8196.33),(78 8285.277),(79 8369.391),
(1 1880.9137),(2 2750.6555),(3 3484.7998),(4 3950.5881),(5 4451.8633),(6 4927.432),(7 5438.7954),(8 5827.949),(9 6286.571),(10 6636.624),(11 6962.6),(12 7203.488),(13 7489.238),(14 7771.024),(15 7973.5884),(16 8085.8926),(17 8180.6743),(18 8241.608),(19 8240.899),(20 8206.001),(21 8165.3286),(22 8111.144),(23 7971.2285),(24 7865.3965),(25 7806.5474),(26 7686.9395),(27 7617.4375),(28 7553.462),(29 7524.2065),(30 7399.3726),(31 7306.3867),(32 7237.529),(33 7164.6914),(34 7082.6636),(35 7019.8574),(36 6932.3687),(37 6818.5146),(38 6755.34),(39 6691.1284),(40 6605.853),(41 6603.3823),(42 6728.9746),(43 6694.0347),(44 6666.8257),(45 6681.2637),(46 6689.3154),(47 6688.1694),(48 6663.9243),(49 6639.0913),(50 6629.794),(51 6699.9414),(52 6734.1123),(53 6692.5967),(54 6755.0015),(55 6698.2227),(56 6648.8276),(57 6697.9497),(58 6709.9937),(59 6699.98),(60 6698.8906),(61 6705.2075),(62 6800.0913),(63 6888.635),(64 6946.9746),(65 7014.021),(66 7049.412),(67 7115.3784),(68 7207.274),(69 7278.9546),(70 7318.1763),(71 7405.8525),(72 7421.6245),(73 7488.356),(74 7528.0996),(75 7580.2256),(76 7594.2754),(77 7667.1973),(78 7711.888),(79 7755.7246),
(1 1905.0009),(2 2724.2234),(3 3436.6396),(4 3885.9993),(5 4342.571),(6 4852.344),(7 5303.9463),(8 5725.652),(9 6139.2515),(10 6435.5396),(11 6776.37),(12 7037.653),(13 7333.8027),(14 7595.6943),(15 7787.531),(16 7887.8765),(17 7982.206),(18 8070.7505),(19 8084.032),(20 8099.038),(21 8036.3813),(22 7969.184),(23 7797.019),(24 7700.159),(25 7574.084),(26 7469.262),(27 7398.134),(28 7270.016),(29 7170.772),(30 7075.343),(31 6976.7734),(32 6929.5674),(33 6833.4175),(34 6778.938),(35 6722.6543),(36 6683.8765),(37 6629.5825),(38 6578.244),(39 6514.5137),(40 6548.659),(41 6517.2275),(42 6635.556),(43 6588.438),(44 6599.8525),(45 6599.4014),(46 6658.9146),(47 6629.2866),(48 6629.341),(49 6559.9194),(50 6621.8916),(51 6692.407),(52 6717.653),(53 6625.3657),(54 6572.1),(55 6538.047),(56 6532.226),(57 6515.913),(58 6469.7246),(59 6536.443),(60 6566.7603),(61 6552.8555),(62 6637.5063),(63 6685.396),(64 6797.8545),(65 6930.287),(66 6945.0225),(67 6991.4194),(68 7142.079),(69 7154.384),(70 7230.872),(71 7257.3267),(72 7277.669),(73 7364.915),(74 7425.2534),(75 7488.5166),(76 7548.2837),(77 7570.0576),(78 7628.0776),(79 7642.363),
(1 1828.0464),(2 2712.2153),(3 3439.7998),(4 3899.036),(5 4438.591),(6 4950.0225),(7 5406.623),(8 5759.2427),(9 6155.1934),(10 6507.67),(11 6839.3926),(12 7139.922),(13 7407.576),(14 7654.6914),(15 7810.3926),(16 7918.8193),(17 7919.1084),(18 8016.1826),(19 7980.5986),(20 7985.348),(21 7911.4834),(22 7853.197),(23 7800.0166),(24 7703.6084),(25 7558.0156),(26 7458.6416),(27 7331.022),(28 7237.9014),(29 7100.279),(30 7052.2603),(31 6951.871),(32 6846.6826),(33 6754.762),(34 6666.3623),(35 6571.816),(36 6474.482),(37 6410.8867),(38 6327.485),(39 6290.1416),(40 6320.092),(41 6304.3555),(42 6359.3096),(43 6371.904),(44 6433.13),(45 6466.416),(46 6504.859),(47 6485.664),(48 6483.471),(49 6440.5),(50 6492.3667),(51 6528.0938),(52 6548.2036),(53 6559.7866),(54 6505.549),(55 6525.225),(56 6549.0317),(57 6578.4185),(58 6538.2036),(59 6571.5596),(60 6584.0557),(61 6596.8755),(62 6638.3926),(63 6725.549),(64 6761.8403),(65 6783.281),(66 6837.069),(67 6871.2085),(68 6977.057),(69 7066.982),(70 7136.454),(71 7209.528),(72 7234.868),(73 7269.8115),(74 7245.615),(75 7356.912),(76 7397.4785),(77 7471.219),(78 7467.4126),(79 7513.959),
(1 1763.533),(2 2585.1978),(3 3255.499),(4 3756.3445),(5 4272.012),(6 4722.282),(7 5173.7036),(8 5514.0264),(9 5850.5176),(10 6146.9717),(11 6381.2783),(12 6662.7593),(13 6905.6597),(14 7130.0776),(15 7237.983),(16 7311.5425),(17 7372.112),(18 7435.914),(19 7486.8105),(20 7532.72),(21 7509.2515),(22 7433.2266),(23 7350.147),(24 7305.804),(25 7198.4087),(26 7078.4634),(27 6984.169),(28 6909.228),(29 6810.1963),(30 6728.325),(31 6646.9175),(32 6560.347),(33 6413.0425),(34 6354.452),(35 6265.806),(36 6241.928),(37 6239.128),(38 6169.276),(39 6168.8394),(40 6207.3423),(41 6172.0674),(42 6216.5864),(43 6145.1816),(44 6148.7217),(45 6152.79),(46 6162.757),(47 6155.4185),(48 6113.6606),(49 6090.5425),(50 6144.6245),(51 6226.903),(52 6250.0234),(53 6267.0903),(54 6171.6484),(55 6121.7065),(56 6090.0894),(57 6134.3457),(58 6131.116),(59 6175.796),(60 6154.3467),(61 6189.492),(62 6226.629),(63 6279.653),(64 6319.881),(65 6353.719),(66 6372.83),(67 6440.3755),(68 6486.7886),(69 6572.061),(70 6636.002),(71 6644.5005),(72 6655.5337),(73 6694.1914),(74 6700.2803),(75 6779.7393),(76 6855.531),(77 6888.0664),(78 6956.53),(79 7035.3755),
(1 1753.0067),(2 2543.8499),(3 3214.1428),(4 3667.5615),(5 4144.691),(6 4635.3125),(7 5065.9775),(8 5401.2207),(9 5777.9824),(10 6058.472),(11 6363.1533),(12 6616.859),(13 6863.4487),(14 7146.3687),(15 7262.897),(16 7359.97),(17 7379.486),(18 7483.4785),(19 7461.192),(20 7476.1216),(21 7428.8887),(22 7377.2144),(23 7240.3403),(24 7147.8574),(25 7066.52),(26 6979.2505),(27 6896.0503),(28 6776.484),(29 6659.461),(30 6588.248),(31 6449.0254),(32 6382.853),(33 6314.7437),(34 6235.7505),(35 6185.3438),(36 6133.002),(37 6106.2246),(38 6045.0313),(39 6022.939),(40 5988.155),(41 5928.7188),(42 5986.0156),(43 5970.7124),(44 5936.841),(45 5968.6343),(46 5965.049),(47 5983.416),(48 5924.246),(49 5984.6016),(50 6015.9863),(51 6055.0083),(52 6091.4067),(53 6074.8),(54 6120.2095),(55 6060.2847),(56 6089.9316),(57 6068.0933),(58 6107.6904),(59 6087.7964),(60 6081.93),(61 6129.8364),(62 6183.661),(63 6261.072),(64 6357.922),(65 6418.0176),(66 6490.6904),(67 6594.5405),(68 6683.602),(69 6681.447),(70 6802.508),(71 6824.135),(72 6823.483),(73 6871.162),(74 6901.3364),(75 6952.675),(76 6961.411),(77 6991.5015),(78 7014.8076),(79 7112.2124),
