1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 130197.54),(2 431060.28),(3 892246.7),(4 1449971.5),(5 2077746.1),(6 2745613),(7 3403841),(8 4064296.3),(9 4710793.5),(10 5407218),(11 6240038.5),(12 7292872),(13 8550576),(14 9837445),(15 11175964),(16 12626247),(17 14108008),(18 15627792),(19 17037046),(20 18373600),(21 19517446),(22 20506654),(23 21437910),(24 22229650),(25 22984384),(26 23591350),(27 24162650),(28 24642914),(29 25207658),(30 25848950),(31 26584374),(32 27323494),(33 27918542),(34 28570960),(35 29157680),(36 29691360),(37 30179850),(38 30465954),(39 30489154),(40 30404482),(41 30230454),(42 30144362),(43 30230730),(44 30457750),(45 30821712),(46 31206106),(47 31617750),(48 32087824),(49 32726942),(50 33394438),(51 34077220),(52 34605420),(53 35059420),(54 35351932),(55 35622900),(56 35786030),(57 35754356),(58 35758428),(59 35825556),(60 36034076),(61 36461950),(62 36873710),(63 37188964),(64 37655724),(65 38332268),(66 39358132),(67 40569610),(68 42201184),(69 43848548),(70 45660260),(71 47650668),(72 49795376),(73 51664884),(74 53568404),(75 55470176),(76 57299620),(77 58866660),(78 60471616),(79 62076460),
(1 1069.965),(2 1228.5906),(3 1339.5891),(4 1361.6489),(5 1373.4814),(6 1394.3092),(7 1388.9834),(8 1422.726),(9 1432.9895),(10 1443.224),(11 1456.0428),(12 1442.7473),(13 1455.7162),(14 1451.9657),(15 1449.7871),(16 1446.7468),(17 1447.3088),(18 1437.4515),(19 1426.4816),(20 1432.4794),(21 1442.7765),(22 1449.1753),(23 1454.9625),(24 1464.0573),(25 1493.2083),(26 1502.8141),(27 1533.6038),(28 1548.377),(29 1556.9908),(30 1586.7235),(31 1611.4188),(32 1611.0205),(33 1638.1177),(34 1644.6558),(35 1653.4482),(36 1664.3119),(37 1671.3936),(38 1715.742),(39 1706.245),(40 1717.455),(41 1729.0277),(42 1744.9551),(43 1751.6191),(44 1784.2313),(45 1780.957),(46 1783.9515),(47 1783.2758),(48 1800.3693),(49 1808.0336),(50 1816.3153),(51 1809.868),(52 1813.0555),(53 1817.0955),(54 1814.0945),(55 1826.1578),(56 1816.7349),(57 1830.378),(58 1840.2427),(59 1847.5328),(60 1841.9375),(61 1833.3137),(62 1829.531),(63 1839.9648),(64 1844.0262),(65 1843.4791),(66 1843.9287),(67 1857.0558),(68 1911.6807),(69 1942.7006),(70 1944.3352),(71 1956.3651),(72 1968.5942),(73 1973.0334),(74 1968.0094),(75 1970.4904),(76 1984.6995),(77 1994.9922),(78 2003.0873),(79 2011.1876),
(1 1061.7609),(2 1243.374),(3 1322.646),(4 1351.1277),(5 1352.6558),(6 1368.162),(7 1369.2501),(8 1386.7118),(9 1398.6027),(10 1418.206),(11 1433.4476),(12 1422.9714),(13 1440.7393),(14 1412.238),(15 1411.2103),(16 1408.9181),(17 1400.0045),(18 1392.3287),(19 1397.7229),(20 1408.0747),(21 1417.984),(22 1434.6256),(23 1460.813),(24 1458.9281),(25 1481.556),(26 1486.5126),(27 1512.4185),(28 1524.1781),(29 1543.6659),(30 1564.1584),(31 1569.2947),(32 1565.4639),(33 1573.9148),(34 1586.9387),(35 1590.7552),(36 1599.8438),(37 1633.0236),(38 1678.2013),(39 1704.3125),(40 1722.3169),(41 1735.7559),(42 1746.3496),(43 1740.835),(44 1740.422),(45 1734.0558),(46 1735.3452),(47 1733.543),(48 1736.3762),(49 1748.196),(50 1768.463),(51 1771.2391),(52 1762.006),(53 1769.0358),(54 1772.305),(55 1779.3685),(56 1770.3281),(57 1778.3315),(58 1758.9178),(59 1760.7524),(60 1747.4076),(61 1731.778),(62 1733.0187),(63 1765.8682),(64 1772.4225),(65 1775.879),(66 1777.3358),(67 1782.035),(68 1821.3031),(69 1845.8179),(70 1855.685),(71 1867.9303),(72 1878.9938),(73 1902.0421),(74 1917.1752),(75 1942.2477),(76 1936.622),(77 1952.7393),(78 1949.927),(79 1938.7656),
(1 1032.1616),(2 1210.4435),(3 1336.7281),(4 1353.5543),(5 1356.296),(6 1364.8828),(7 1363.524),(8 1398.443),(9 1401.0359),(10 1421.3074),(11 1455.8484),(12 1433.816),(13 1429.6946),(14 1411.6227),(15 1406.8674),(16 1411.1003),(17 1401.9685),(18 1402.9673),(19 1393.7561),(20 1403.0918),(21 1407.9497),(22 1403.1831),(23 1477.3075),(24 1452.3784),(25 1451.2798),(26 1473.9048),(27 1489.4094),(28 1504.5338),(29 1524.5411),(30 1540.3551),(31 1552.3927),(32 1557.5261),(33 1562.3585),(34 1569.6411),(35 1580.058),(36 1612.1621),(37 1615.8698),(38 1670.0592),(39 1693.743),(40 1692.3643),(41 1731.2759),(42 1737.7183),(43 1744.6697),(44 1726.6462),(45 1743.1927),(46 1732.2626),(47 1742.2991),(48 1733.4971),(49 1725.2611),(50 1743.8118),(51 1756.9745),(52 1738.5461),(53 1760.7194),(54 1744.9165),(55 1744.091),(56 1739.5314),(57 1728.1349),(58 1718.2301),(59 1715.0289),(60 1716.738),(61 1719.7649),(62 1714.1636),(63 1736.191),(64 1742.1808),(65 1755.838),(66 1769.6476),(67 1751.5872),(68 1793.6136),(69 1792.2521),(70 1825.3483),(71 1832.5166),(72 1833.0714),(73 1833.821),(74 1842.8132),(75 1847.2854),(76 1860.069),(77 1856.1931),(78 1846.1072),(79 1865.5985),
(1 999.9946),(2 1168.0469),(3 1259.7114),(4 1286.0714),(5 1311.7819),(6 1313.7621),(7 1316.0245),(8 1345.4342),(9 1348.3306),(10 1358.2382),(11 1363.7876),(12 1349.7981),(13 1347.5045),(14 1337.2028),(15 1334.2413),(16 1338.7611),(17 1314.3055),(18 1323.5253),(19 1330.2664),(20 1332.4843),(21 1334.3158),(22 1345.6659),(23 1373.684),(24 1368.5911),(25 1364.6735),(26 1390.8839),(27 1402.0326),(28 1397.2725),(29 1432.1924),(30 1447.896),(31 1456.3),(32 1474.4781),(33 1477.5184),(34 1488.0791),(35 1502.6931),(36 1512.4436),(37 1520.5089),(38 1552.7395),(39 1569.6892),(40 1569.7288),(41 1576.6642),(42 1570.56),(43 1596.2667),(44 1595.0491),(45 1626.3535),(46 1619.3458),(47 1613.8384),(48 1617.5906),(49 1623.4899),(50 1621.6326),(51 1622.2255),(52 1623.8319),(53 1652.4037),(54 1630.5747),(55 1638.1042),(56 1630.3186),(57 1625.4807),(58 1639.0447),(59 1621.916),(60 1614.0659),(61 1600.7388),(62 1622.552),(63 1630.1893),(64 1646.9719),(65 1660.3237),(66 1676.748),(67 1675.7831),(68 1714.1929),(69 1710.9187),(70 1719.5631),(71 1715.565),(72 1739.705),(73 1739.1294),(74 1751.9559),(75 1734.4033),(76 1753.3928),(77 1752.6102),(78 1759.7048),(79 1768.4924),
(1 1023.55115),(2 1166.5677),(3 1262.8438),(4 1291.0916),(5 1294.3011),(6 1297.2899),(7 1287.4539),(8 1314.0055),(9 1322.2113),(10 1331.2378),(11 1331.2056),(12 1318.4175),(13 1312.2396),(14 1311.1522),(15 1327.1754),(16 1335.1193),(17 1328.4823),(18 1340.6456),(19 1357.1073),(20 1354.7317),(21 1358.7428),(22 1355.439),(23 1404.4059),(24 1386.2908),(25 1417.744),(26 1423.35),(27 1439.5402),(28 1449.4763),(29 1461.8857),(30 1493.8309),(31 1516.587),(32 1520.6165),(33 1522.3125),(34 1547.0537),(35 1565.3634),(36 1575.9902),(37 1587.3114),(38 1622.0964),(39 1626.9039),(40 1622.0829),(41 1653.0718),(42 1654.9637),(43 1655.9843),(44 1652.5951),(45 1663.4327),(46 1668.7007),(47 1668.9777),(48 1667.5935),(49 1671.1517),(50 1673.2205),(51 1664.3975),(52 1657.8927),(53 1690.7074),(54 1698.1667),(55 1698.3221),(56 1678.3073),(57 1691.9865),(58 1678.4851),(59 1675.1455),(60 1656.1685),(61 1654.2712),(62 1671.0837),(63 1691.6891),(64 1701.8054),(65 1693.6711),(66 1698.6663),(67 1708.3048),(68 1752.2643),(69 1751.7809),(70 1765.8983),(71 1777.3641),(72 1801.4834),(73 1814.5837),(74 1818.9248),(75 1829.43),(76 1828.3625),(77 1841.4135),(78 1835.3677),(79 1841.9672),
(1 986.0533),(2 1135.7778),(3 1223.0856),(4 1240.819),(5 1256.0908),(6 1280.8782),(7 1279.6019),(8 1317.781),(9 1328.3801),(10 1333.7098),(11 1339.4915),(12 1349.3708),(13 1339.6143),(14 1335.8992),(15 1357.8516),(16 1338.9673),(17 1332.4817),(18 1336.6118),(19 1334.2405),(20 1332.3422),(21 1341.3425),(22 1325.9863),(23 1349.7047),(24 1349.4067),(25 1353.3962),(26 1385.5066),(27 1390.7677),(28 1402.7516),(29 1429.9),(30 1462.8734),(31 1477.8894),(32 1482.6979),(33 1486.6512),(34 1498.6317),(35 1526.9824),(36 1550.0175),(37 1544.9375),(38 1593.4896),(39 1597.061),(40 1609.8146),(41 1641.9093),(42 1638.0718),(43 1651.8323),(44 1644.7953),(45 1680.2219),(46 1674.28),(47 1674.6598),(48 1668.8795),(49 1665.156),(50 1666.4755),(51 1646.8665),(52 1655.6348),(53 1655.7468),(54 1650.9017),(55 1679.1257),(56 1675.2548),(57 1663.329),(58 1664.1235),(59 1655.7084),(60 1666.0327),(61 1659.1172),(62 1674.4668),(63 1690.8417),(64 1703.6809),(65 1696.2245),(66 1706.0531),(67 1725.5657),(68 1773.7449),(69 1772.355),(70 1789.2994),(71 1804.7013),(72 1803.1285),(73 1817.7898),(74 1839.8271),(75 1834.1663),(76 1847.3668),(77 1834.23),(78 1845.7113),(79 1863.855),
(1 980.33264),(2 1152.1232),(3 1222.2268),(4 1238.5546),(5 1246.4894),(6 1274.9932),(7 1273.366),(8 1296.8763),(9 1292.5239),(10 1297.2336),(11 1301.4875),(12 1292.736),(13 1290.3873),(14 1285.601),(15 1310.5724),(16 1310.0065),(17 1315.9274),(18 1314.5331),(19 1318.7427),(20 1318.966),(21 1310.7589),(22 1308.9042),(23 1331.2515),(24 1326.4015),(25 1341.775),(26 1361.1035),(27 1392.0339),(28 1414.3712),(29 1440.3351),(30 1457.6967),(31 1486.1969),(32 1489.2847),(33 1512.6477),(34 1516.0497),(35 1531.6132),(36 1559.9567),(37 1567.5753),(38 1597.2133),(39 1600.2645),(40 1598.1812),(41 1631.5393),(42 1632.339),(43 1625.0245),(44 1639.6437),(45 1632.4551),(46 1657.0565),(47 1662.9064),(48 1664.2301),(49 1655.4658),(50 1656.2301),(51 1651.9417),(52 1628.938),(53 1644.4252),(54 1633.1504),(55 1640.6427),(56 1641.3962),(57 1642.2684),(58 1637.1166),(59 1630.569),(60 1641.6215),(61 1628.5656),(62 1634.58),(63 1659.6232),(64 1657.3087),(65 1666.6438),(66 1668.5629),(67 1660.9834),(68 1720.7988),(69 1728.3553),(70 1735.9473),(71 1758.1534),(72 1753.284),(73 1779.9047),(74 1790.0289),(75 1790.5306),(76 1804.5841),(77 1808.1475),(78 1815.6),(79 1826.1302),
(1 974.78925),(2 1143.1265),(3 1224.6987),(4 1233.7505),(5 1249.1935),(6 1263.8339),(7 1275.253),(8 1285.2631),(9 1286.4286),(10 1301.5458),(11 1306.6128),(12 1300.453),(13 1306.3788),(14 1282.4705),(15 1305.2952),(16 1308.5045),(17 1298.7369),(18 1304.4235),(19 1300.7109),(20 1311.5267),(21 1326.3152),(22 1308.8351),(23 1335.7042),(24 1341.1249),(25 1352.1621),(26 1369.8239),(27 1389.5679),(28 1418.3109),(29 1439.6436),(30 1461.0757),(31 1482.3636),(32 1489.5026),(33 1509.063),(34 1521.2432),(35 1525.4943),(36 1547.5653),(37 1550.056),(38 1586.2715),(39 1589.8567),(40 1592.1073),(41 1616.3041),(42 1616.5206),(43 1615.0221),(44 1628.8843),(45 1615.9414),(46 1625.0197),(47 1629.308),(48 1642.0342),(49 1639.3463),(50 1630.6229),(51 1613.1917),(52 1606.2682),(53 1622.8846),(54 1595.7465),(55 1600.6781),(56 1604.8322),(57 1585.523),(58 1604.0851),(59 1584.6925),(60 1585.8557),(61 1570.5225),(62 1597.3892),(63 1597.4489),(64 1607.897),(65 1600.6195),(66 1615.4869),(67 1608.6841),(68 1646.2192),(69 1635.7286),(70 1654.8491),(71 1650.7548),(72 1661.199),(73 1660.8843),(74 1679.5414),(75 1689.1971),(76 1687.9008),(77 1677.2606),(78 1703.8501),(79 1705.5603),
(1 935.5024),(2 1095.6802),(3 1193.063),(4 1225.6825),(5 1248.4238),(6 1240.9281),(7 1247.6113),(8 1265.9191),(9 1248.3951),(10 1259.2533),(11 1264.8467),(12 1270.4138),(13 1283.1681),(14 1273.1371),(15 1276.1912),(16 1279.2045),(17 1270.6444),(18 1267.7452),(19 1260.805),(20 1269.9188),(21 1260.8522),(22 1262.3069),(23 1286.7385),(24 1283.1115),(25 1301.0313),(26 1298.1698),(27 1331.1339),(28 1362.8793),(29 1364.0106),(30 1389.1738),(31 1408.9268),(32 1405.5697),(33 1421.9067),(34 1439.3519),(35 1443.1733),(36 1439.7755),(37 1445.266),(38 1482.5675),(39 1492.7983),(40 1504.6812),(41 1505.4874),(42 1529.2433),(43 1505.8662),(44 1515.2026),(45 1505.8236),(46 1516.7664),(47 1516.5878),(48 1525.087),(49 1527.0935),(50 1510.7203),(51 1520.7605),(52 1528.716),(53 1551.4912),(54 1533.186),(55 1561.8158),(56 1560.6895),(57 1573.2555),(58 1577.9346),(59 1569.5865),(60 1562.708),(61 1564.7567),(62 1567.7788),(63 1566.6659),(64 1587.6228),(65 1594.1069),(66 1595.8042),(67 1582.931),(68 1641.8718),(69 1639.4015),(70 1649.9674),(71 1653.8748),(72 1654.1342),(73 1668.9603),(74 1637.8857),(75 1624.9902),(76 1624.6469),(77 1613.3063),(78 1625.9628),(79 1618.4261),
(1 924.8084),(2 1098.2495),(3 1202.9153),(4 1232.6237),(5 1246.5339),(6 1258.8876),(7 1255.3914),(8 1282.7994),(9 1247.3485),(10 1271.8268),(11 1264.4473),(12 1260.3715),(13 1270.6714),(14 1253.8324),(15 1266.7623),(16 1271.5139),(17 1256.1984),(18 1239.6528),(19 1237.6243),(20 1237.0492),(21 1252.8367),(22 1259.289),(23 1294.3538),(24 1292.0972),(25 1301.6622),(26 1307.6788),(27 1332.195),(28 1362.129),(29 1383.8424),(30 1386.6631),(31 1412.5886),(32 1412.4355),(33 1446.5752),(34 1461.9674),(35 1486.746),(36 1501.8513),(37 1501.8018),(38 1536.7511),(39 1545.3643),(40 1542.9855),(41 1548.9922),(42 1554.0022),(43 1554.4348),(44 1579.3798),(45 1577.2811),(46 1606.0581),(47 1587.9188),(48 1603.1326),(49 1608.7689),(50 1602.8411),(51 1612.3551),(52 1620.0482),(53 1623.7809),(54 1612.7611),(55 1625.9424),(56 1626.6786),(57 1630.0585),(58 1632.877),(59 1635.222),(60 1630.5408),(61 1628.7848),(62 1639.1412),(63 1640.8599),(64 1645.3807),(65 1637.6484),(66 1637.6633),(67 1630.8135),(68 1673.0642),(69 1672.9252),(70 1688.3734),(71 1718.7675),(72 1706.243),(73 1690.1063),(74 1669.5896),(75 1677.8988),(76 1683.3506),(77 1667.2549),(78 1664.8354),(79 1663.8701),
(1 908.26715),(2 1085.7019),(3 1216.7244),(4 1240.2963),(5 1248.094),(6 1257.4873),(7 1242.4518),(8 1251.598),(9 1241.2603),(10 1252.4958),(11 1254.0702),(12 1270.5447),(13 1274.7522),(14 1263.5682),(15 1273.115),(16 1267.0374),(17 1263.6346),(18 1252.0522),(19 1232.7728),(20 1221.8007),(21 1235.4783),(22 1255.0494),(23 1269.5463),(24 1272.1584),(25 1285.9459),(26 1296.0082),(27 1321.9962),(28 1332.4299),(29 1339.6733),(30 1371.5289),(31 1384.6222),(32 1398.9131),(33 1414.8969),(34 1431.8127),(35 1440.686),(36 1462.3555),(37 1467.7014),(38 1496.897),(39 1521.3733),(40 1519.5776),(41 1546.993),(42 1550.9868),(43 1565.7244),(44 1553.631),(45 1573.3829),(46 1577.2217),(47 1572.6073),(48 1577.7034),(49 1585.1917),(50 1583.0348),(51 1583.4008),(52 1579.9727),(53 1584.8206),(54 1576.0073),(55 1580.9038),(56 1607.501),(57 1617.327),(58 1604.6213),(59 1600.9723),(60 1591.5278),(61 1581.4498),(62 1608.3328),(63 1596.1238),(64 1602.715),(65 1596.7931),(66 1589.3652),(67 1576.0789),(68 1629.9814),(69 1630.4602),(70 1633.8317),(71 1651.0299),(72 1640.5951),(73 1661.3988),(74 1645.9077),(75 1652.9259),(76 1640.4634),(77 1654.6096),(78 1661.7867),(79 1640.5381),
(1 898.70856),(2 1079.2686),(3 1219.7169),(4 1244.8582),(5 1250.0791),(6 1231.1719),(7 1217.7153),(8 1227.0912),(9 1217.2319),(10 1224.604),(11 1227.9486),(12 1247.2916),(13 1250.124),(14 1260.8127),(15 1263.65),(16 1269.9147),(17 1261.5668),(18 1246.4712),(19 1236.1389),(20 1231.1536),(21 1235.5529),(22 1240.8972),(23 1268.1885),(24 1277.4019),(25 1282.5779),(26 1300.302),(27 1323.1644),(28 1331.3009),(29 1349.9309),(30 1368.0347),(31 1380.4905),(32 1375.7354),(33 1410.93),(34 1425.7654),(35 1443.424),(36 1474.395),(37 1487.7161),(38 1529.2618),(39 1526.9628),(40 1536.6097),(41 1538.1788),(42 1546.3928),(43 1567.8293),(44 1562.8606),(45 1573.6669),(46 1570.5479),(47 1573.6187),(48 1579.3253),(49 1586.9921),(50 1594.1471),(51 1601.8777),(52 1591.0251),(53 1584.3674),(54 1594.7382),(55 1602.2925),(56 1619.4359),(57 1628.3547),(58 1596.3036),(59 1615.1563),(60 1595.2268),(61 1591.3898),(62 1603.2174),(63 1593.6199),(64 1606.2964),(65 1615.322),(66 1615.1061),(67 1616.7046),(68 1664.7964),(69 1653.8658),(70 1645.424),(71 1675.0447),(72 1680.2837),(73 1686.319),(74 1664.0057),(75 1648.1381),(76 1659.6608),(77 1642.984),(78 1649.7114),(79 1635.9355),
(1 910.203),(2 1092.8129),(3 1239.5701),(4 1264.5289),(5 1268.4844),(6 1253.6602),(7 1215.3074),(8 1222.8455),(9 1226.7003),(10 1240.3738),(11 1255.3789),(12 1254.3884),(13 1251.7681),(14 1256.443),(15 1274.4302),(16 1281.4963),(17 1270.3983),(18 1249.2954),(19 1240.7318),(20 1222.0547),(21 1227.7112),(22 1224.1705),(23 1253.7455),(24 1272.921),(25 1268.837),(26 1307.2162),(27 1320.157),(28 1326.7874),(29 1341.7498),(30 1352.0667),(31 1359.2578),(32 1366.4629),(33 1389.0924),(34 1401.3099),(35 1407.4205),(36 1428.6093),(37 1447.3013),(38 1492.9199),(39 1504.6747),(40 1502.779),(41 1516.3752),(42 1520.8029),(43 1532.0261),(44 1526.4177),(45 1549.9952),(46 1558.1472),(47 1560.0522),(48 1546.7697),(49 1572.1871),(50 1580.3208),(51 1594.948),(52 1590.662),(53 1603.0198),(54 1609.1821),(55 1614.261),(56 1647.1232),(57 1659.0051),(58 1634.737),(59 1628.6028),(60 1609.5802),(61 1603.9733),(62 1598.666),(63 1613.375),(64 1617.4418),(65 1626.5931),(66 1611.4954),(67 1601.5566),(68 1631.4915),(69 1625.6149),(70 1630.2605),(71 1654.5221),(72 1665.7238),(73 1674.0552),(74 1654.8655),(75 1651.4596),(76 1624.6774),(77 1633.7264),(78 1634.7621),(79 1635.1957),
(1 884.90796),(2 1068.5593),(3 1214.0116),(4 1263.8785),(5 1260.669),(6 1227.6488),(7 1198.7712),(8 1201.5472),(9 1208.601),(10 1216.7845),(11 1233.6276),(12 1238.8082),(13 1260.8142),(14 1251.6954),(15 1282.2817),(16 1280.4265),(17 1269.8905),(18 1264.4833),(19 1248.3489),(20 1231.9174),(21 1233.9103),(22 1222.7891),(23 1248.379),(24 1258.6697),(25 1279.6672),(26 1288.9553),(27 1310.2496),(28 1328.2428),(29 1330.9191),(30 1330.4142),(31 1346.2675),(32 1363.2379),(33 1381.2189),(34 1395.8805),(35 1394.5642),(36 1421.6381),(37 1447.5114),(38 1465.203),(39 1473.7513),(40 1484.0238),(41 1504.9282),(42 1512.2559),(43 1520.8964),(44 1521.8319),(45 1538.3997),(46 1549.5775),(47 1545.8395),(48 1550.1794),(49 1561.4575),(50 1560.967),(51 1570.5374),(52 1580.7687),(53 1606.3761),(54 1597.1636),(55 1601.6262),(56 1607.3972),(57 1616.6638),(58 1601.6108),(59 1608.0587),(60 1609.0321),(61 1607.2745),(62 1618.8108),(63 1619.5386),(64 1612.1296),(65 1603.3132),(66 1601.4954),(67 1573.7715),(68 1624.5852),(69 1605.6167),(70 1609.666),(71 1627.257),(72 1646.5756),(73 1624.5049),(74 1611.779),(75 1598.3657),(76 1597.0563),(77 1595.573),(78 1583.868),(79 1584.4205),
(1 895.63293),(2 1120.9097),(3 1272.3636),(4 1335.2413),(5 1337.9019),(6 1309.7288),(7 1285.7028),(8 1286.095),(9 1281.0663),(10 1285.3832),(11 1314.6404),(12 1318.078),(13 1335.895),(14 1333.0042),(15 1360.6145),(16 1348.136),(17 1331.4364),(18 1319.234),(19 1315.818),(20 1295.6266),(21 1287.0125),(22 1294.9363),(23 1296.199),(24 1305.6274),(25 1307.1255),(26 1313.9509),(27 1357.9493),(28 1372.944),(29 1374.4756),(30 1399.5327),(31 1399.5947),(32 1417.4137),(33 1448.6563),(34 1464.6339),(35 1469.4822),(36 1484.7012),(37 1494.6433),(38 1530.3595),(39 1564.6031),(40 1569.628),(41 1600.2908),(42 1629.2102),(43 1642.7273),(44 1647.2233),(45 1656.5662),(46 1681.0311),(47 1674.078),(48 1690.3604),(49 1677.453),(50 1687.037),(51 1694.9565),(52 1691.2695),(53 1714.3141),(54 1694.4657),(55 1701.1566),(56 1704.8372),(57 1727.1292),(58 1704.2449),(59 1701.4675),(60 1669.654),(61 1655.6349),(62 1670.0515),(63 1666.2874),(64 1646.6725),(65 1632.1719),(66 1629.5436),(67 1624.5392),(68 1676.1835),(69 1674.9778),(70 1678.7781),(71 1702.4575),(72 1692.8608),(73 1694.8784),(74 1690.7721),(75 1669.5894),(76 1672.0072),(77 1678.3414),(78 1659.8452),(79 1665.5282),
(1 879.63),(2 1103.6251),(3 1277.6139),(4 1344.1678),(5 1324.2578),(6 1294.6324),(7 1240.8202),(8 1242.5553),(9 1215.0317),(10 1237.8269),(11 1250.026),(12 1265.7936),(13 1274.045),(14 1284.7865),(15 1294.0898),(16 1299.4663),(17 1289.6663),(18 1291.4229),(19 1280.1786),(20 1264.0372),(21 1252.1416),(22 1253.9318),(23 1251.052),(24 1260.8345),(25 1268.2042),(26 1281.9326),(27 1305.2599),(28 1326.785),(29 1328.7329),(30 1348.4502),(31 1336.906),(32 1351.0945),(33 1375.5319),(34 1393.5452),(35 1416.0685),(36 1432.1068),(37 1446.485),(38 1476.7876),(39 1491.5499),(40 1489.6345),(41 1496.8881),(42 1515.5284),(43 1520.8348),(44 1538.5892),(45 1551.1694),(46 1575.2799),(47 1576.4252),(48 1579.7069),(49 1574.9648),(50 1561.65),(51 1590.0254),(52 1589.0494),(53 1617.1879),(54 1614.4829),(55 1627.9247),(56 1626.1432),(57 1641.7466),(58 1632.9907),(59 1625.6881),(60 1609.4016),(61 1602.0857),(62 1575.6453),(63 1573.0322),(64 1559.0667),(65 1561.5713),(66 1568.3673),(67 1571.4443),(68 1627.5773),(69 1606.391),(70 1592.4905),(71 1600.5491),(72 1609.6361),(73 1614.1354),(74 1623.2817),(75 1619.7828),(76 1615.6106),(77 1603.251),(78 1571.7809),(79 1570.2754),
