1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23004.93),(2 36829.766),(3 93355.06),(4 133230.44),(5 171961.05),(6 218972.81),(7 266434.1),(8 315941.72),(9 366775.5),(10 424179.66),(11 469293.47),(12 520816.16),(13 576188.3),(14 622207.25),(15 673773.75),(16 741148.56),(17 808985.8),(18 881302.2),(19 949289.06),(20 1032034.25),(21 1103218.1),(22 1172733.1),(23 1253829.6),(24 1312424),(25 1363209.1),(26 1434173.1),(27 1481862.9),(28 1588777.1),(29 1663407.4),(30 1728451.9),(31 1785308.1),(32 1866834.1),(33 1944092.6),(34 2023204),(35 2122877.3),(36 2218656.8),(37 2318731),(38 2458906.3),(39 2584143.3),(40 2680403.8),(41 2848640.3),(42 2972335.3),(43 3159685.8),(44 3283017.8),(45 3460215),(46 3627309),(47 3769115),(48 3966738),(49 4126285.3),(50 4282641.5),(51 4461213.5),(52 4658921),(53 4840671.5),(54 5035169),(55 5230379.5),(56 5380075.5),(57 5570522.5),(58 5757282),(59 5907333.5),(60 6043743.5),(61 6176097.5),(62 6252646.5),(63 6368054.5),(64 6448493.5),(65 6513448),(66 6616039.5),(67 6709866.5),(68 6784739.5),(69 6907744),(70 6998410),(71 7081468.5),(72 7185570),(73 7285398),(74 7360461.5),(75 7463508),(76 7554603.5),(77 7637376),(78 7694682.5),(79 7791740),
(1 737.6009),(2 998.5235),(3 1235.6052),(4 1315.076),(5 1402.2179),(6 1483.9916),(7 1520.967),(8 1574.5972),(9 1635.6233),(10 1638.958),(11 1652.3315),(12 1698.2877),(13 1684.4911),(14 1688.2909),(15 1718.0011),(16 1713.0371),(17 1755.1964),(18 1749.2056),(19 1783.6812),(20 1777.5593),(21 1775.6853),(22 1817.6506),(23 1804.9554),(24 1804.6709),(25 1839.315),(26 1844.201),(27 1835.1796),(28 1852.192),(29 1848.4172),(30 1850.0042),(31 1888.3499),(32 1856.2145),(33 1859.7145),(34 1912.427),(35 1880.4933),(36 1862.8026),(37 1904.0077),(38 1878.3976),(39 1881.8705),(40 1887.0651),(41 1852.6162),(42 1883.5366),(43 1852.8779),(44 1868.7933),(45 1857.9752),(46 1828.0076),(47 1843.9546),(48 1822.7891),(49 1808.8584),(50 1805.8057),(51 1774.2164),(52 1737.9127),(53 1799.6255),(54 1768.4781),(55 1735.565),(56 1772.9384),(57 1754.1337),(58 1743.7886),(59 1769.6266),(60 1748.498),(61 1732.5708),(62 1752.6653),(63 1737.6974),(64 1740.498),(65 1778.1364),(66 1759.7981),(67 1782.7299),(68 1810.6926),(69 1798.1904),(70 1799.9423),(71 1815.1215),(72 1815.2842),(73 1848.2391),(74 1876.5367),(75 1865.8436),(76 1873.6627),(77 1892.3446),(78 1939.5566),(79 1931.6473),
(1 740.3756),(2 1026.705),(3 1282.5905),(4 1372.9078),(5 1450.279),(6 1531.0403),(7 1557.1965),(8 1611.3827),(9 1657.1835),(10 1669.5725),(11 1701.6917),(12 1752.4374),(13 1725.6869),(14 1738.2491),(15 1773.2299),(16 1733.6074),(17 1739.3627),(18 1744.8126),(19 1777.5422),(20 1778.3191),(21 1783.8713),(22 1800.5872),(23 1807.8723),(24 1806.1287),(25 1825.4297),(26 1820.2068),(27 1827.2954),(28 1860.0974),(29 1850.0162),(30 1866.2395),(31 1886.8506),(32 1879.3276),(33 1896.815),(34 1924.6448),(35 1899.3667),(36 1891.6001),(37 1917.8035),(38 1893.9778),(39 1893.0577),(40 1896.209),(41 1863.0695),(42 1882.2637),(43 1860.2996),(44 1888.9681),(45 1874.3402),(46 1855.5048),(47 1876.5988),(48 1863.3546),(49 1842.916),(50 1857.6176),(51 1821.4453),(52 1807.3322),(53 1837.9259),(54 1809.0502),(55 1818.5543),(56 1837.9633),(57 1831.3632),(58 1831.0562),(59 1836.9154),(60 1820.3951),(61 1820.2894),(62 1836.8613),(63 1817.87),(64 1812.8152),(65 1814.7062),(66 1786.9567),(67 1811.6963),(68 1820.4669),(69 1813.0358),(70 1796.0499),(71 1839.5284),(72 1821.9358),(73 1832.0856),(74 1864.7747),(75 1857.363),(76 1876.754),(77 1902.6035),(78 1961.2704),(79 1918.28),
(1 735.592),(2 1001.5763),(3 1256.4641),(4 1333.9891),(5 1392.6555),(6 1471.972),(7 1514.751),(8 1569.3416),(9 1595.1084),(10 1607.6404),(11 1622.5479),(12 1648.1675),(13 1617.4506),(14 1630.2162),(15 1676.7942),(16 1653.9579),(17 1676.7742),(18 1670.0588),(19 1695.69),(20 1675.7983),(21 1692.8062),(22 1708.2874),(23 1719.5565),(24 1727.0059),(25 1760.2422),(26 1752.6233),(27 1762.5415),(28 1779.776),(29 1750.3062),(30 1766.0356),(31 1780.9957),(32 1753.8853),(33 1769.6237),(34 1819.6487),(35 1787.0758),(36 1766.6665),(37 1791.373),(38 1767.3373),(39 1764.2944),(40 1789.8217),(41 1776.9365),(42 1795.7144),(43 1775.9484),(44 1783.3121),(45 1799.2977),(46 1766.4131),(47 1787.1428),(48 1757.9672),(49 1741.8042),(50 1768.571),(51 1734.5625),(52 1721.0314),(53 1746.8867),(54 1724.4429),(55 1730.8185),(56 1770.425),(57 1766.7644),(58 1775.9751),(59 1790.538),(60 1746.6539),(61 1757.174),(62 1785.8746),(63 1753.224),(64 1757.7386),(65 1766.9054),(66 1744.1227),(67 1754.0695),(68 1773.781),(69 1772.1285),(70 1766.2495),(71 1784.4819),(72 1781.9076),(73 1793.3744),(74 1802.9954),(75 1782.235),(76 1797.997),(77 1799.0648),(78 1852.7141),(79 1835.627),
(1 720.9832),(2 969.4354),(3 1208.3406),(4 1287.0146),(5 1341.3934),(6 1422.2399),(7 1457.4188),(8 1499.1774),(9 1534.825),(10 1540.9506),(11 1550.5939),(12 1572.2385),(13 1555.1449),(14 1565.2623),(15 1597.4099),(16 1582.5226),(17 1602.4521),(18 1615.9655),(19 1630.9174),(20 1616.6659),(21 1627.1895),(22 1654.0344),(23 1664.8102),(24 1667.9496),(25 1696.9191),(26 1681.6282),(27 1698.6526),(28 1731.5271),(29 1725.234),(30 1732.602),(31 1744.1974),(32 1740.0598),(33 1751.6405),(34 1769.7184),(35 1768.4594),(36 1756.7345),(37 1777.8861),(38 1752.0004),(39 1753.4498),(40 1773.6289),(41 1753.2258),(42 1782.2081),(43 1778.9252),(44 1799.8634),(45 1786.6875),(46 1760.2614),(47 1779.8295),(48 1729.165),(49 1718.874),(50 1742.5549),(51 1706.242),(52 1699.5476),(53 1720.3785),(54 1706.659),(55 1710.3604),(56 1733.113),(57 1717.4501),(58 1718.6041),(59 1756.484),(60 1742.2994),(61 1736.6005),(62 1767.5688),(63 1748.3046),(64 1750.3425),(65 1762.5347),(66 1732.1368),(67 1747.1626),(68 1756.7296),(69 1744.7568),(70 1728.2495),(71 1763.2819),(72 1730.8303),(73 1753.7258),(74 1786.6707),(75 1773.831),(76 1788.0106),(77 1811.2719),(78 1864.294),(79 1846.7477),
(1 709.1493),(2 969.3725),(3 1194.4006),(4 1267.966),(5 1345.6852),(6 1417.642),(7 1448.2069),(8 1509.2383),(9 1539.2258),(10 1538.7206),(11 1557.2872),(12 1580.5033),(13 1564.1271),(14 1574.863),(15 1622.1888),(16 1602.016),(17 1626.9265),(18 1628.3766),(19 1626.8795),(20 1623.8875),(21 1619.1665),(22 1632.5083),(23 1641.5251),(24 1634.5441),(25 1692.7932),(26 1664.4246),(27 1669.44),(28 1699.5629),(29 1687.3633),(30 1699.435),(31 1746.1888),(32 1733.4725),(33 1754.0365),(34 1775.5441),(35 1765.3306),(36 1769.1643),(37 1789.3474),(38 1776.343),(39 1783.0793),(40 1795.305),(41 1756.6854),(42 1760.1077),(43 1759.0609),(44 1762.9199),(45 1750.4434),(46 1733.515),(47 1749.5024),(48 1724.7211),(49 1706.9957),(50 1725.9941),(51 1705.0331),(52 1684.856),(53 1696.1891),(54 1680.5961),(55 1675.4263),(56 1720.7041),(57 1727.2979),(58 1698.9814),(59 1730.0331),(60 1706.9816),(61 1710.6638),(62 1736.3195),(63 1696.3217),(64 1693.6409),(65 1718.8441),(66 1696.797),(67 1714.923),(68 1720.6202),(69 1711.3986),(70 1705.9594),(71 1724.0029),(72 1717.7242),(73 1731.813),(74 1765.4308),(75 1753.0643),(76 1749.9308),(77 1776.699),(78 1810.0233),(79 1790.2646),
(1 706.71545),(2 953.30475),(3 1156.9116),(4 1226.4211),(5 1282.8105),(6 1362.8499),(7 1369.8152),(8 1411.3762),(9 1449.9072),(10 1452.8033),(11 1465.351),(12 1498.9061),(13 1488.3848),(14 1499.8773),(15 1545.4758),(16 1521.375),(17 1548.4645),(18 1559.1931),(19 1559.8491),(20 1569.8804),(21 1598.5723),(22 1627.0488),(23 1612.113),(24 1606.2709),(25 1647.8125),(26 1642.9026),(27 1644.1356),(28 1681.5542),(29 1678.9579),(30 1678.2274),(31 1716.0295),(32 1707.6592),(33 1712.6864),(34 1729.3878),(35 1719.9264),(36 1720.0433),(37 1744.0565),(38 1722.7494),(39 1737.731),(40 1761.9058),(41 1736.794),(42 1752.9944),(43 1735.1254),(44 1765.2261),(45 1733.5173),(46 1726.6775),(47 1740.4584),(48 1698.6555),(49 1676.8992),(50 1679.3076),(51 1653.2714),(52 1627.5298),(53 1634.2723),(54 1629.7731),(55 1636.6787),(56 1670.278),(57 1670.769),(58 1678.7805),(59 1692.4713),(60 1662.4248),(61 1653.4609),(62 1688.2704),(63 1660.1333),(64 1658.1627),(65 1665.6661),(66 1659.7334),(67 1655.6738),(68 1663.4106),(69 1644.1523),(70 1655.6665),(71 1680.3958),(72 1679.4656),(73 1699.8773),(74 1721.3976),(75 1707.3263),(76 1710.9193),(77 1734.3883),(78 1789.1282),(79 1751.6016),
(1 703.7472),(2 937.6262),(3 1154.6339),(4 1213.6257),(5 1268.9287),(6 1333.5496),(7 1361.3444),(8 1393.899),(9 1436.1519),(10 1447.2074),(11 1452.4487),(12 1490.9427),(13 1473.349),(14 1487.066),(15 1546.4319),(16 1519.2478),(17 1549.7374),(18 1529.1266),(19 1538.7006),(20 1560.448),(21 1571.0424),(22 1617.68),(23 1630.6418),(24 1610.3287),(25 1656.4858),(26 1653.9513),(27 1674.873),(28 1692.3225),(29 1674.96),(30 1711.3286),(31 1732.0426),(32 1731.7327),(33 1743.7719),(34 1788.6322),(35 1755.4653),(36 1735.7623),(37 1754.9493),(38 1740.6403),(39 1758.042),(40 1775.0728),(41 1752.1787),(42 1775.3922),(43 1751.7794),(44 1770.506),(45 1733.5238),(46 1725.4608),(47 1751.092),(48 1687.914),(49 1679.0647),(50 1690.955),(51 1663.4486),(52 1656.9717),(53 1693.0494),(54 1681.6884),(55 1685.4539),(56 1704.0428),(57 1701.0568),(58 1708.8394),(59 1735.3796),(60 1701.8516),(61 1694.9338),(62 1714.5629),(63 1690.4828),(64 1696.7334),(65 1716.5376),(66 1710.3196),(67 1698.5143),(68 1724.847),(69 1707.0723),(70 1715.4858),(71 1725.4698),(72 1727.5396),(73 1754.1815),(74 1781.3121),(75 1755.0309),(76 1755.5908),(77 1781.1493),(78 1827.1682),(79 1809.1061),
(1 683.4651),(2 903.7502),(3 1110.4082),(4 1166.0924),(5 1229.6731),(6 1308.5005),(7 1335.5427),(8 1378.8397),(9 1408.724),(10 1409.9165),(11 1411.5427),(12 1435.1403),(13 1412.5298),(14 1427.5475),(15 1471.0598),(16 1439.6307),(17 1453.5143),(18 1447.4741),(19 1466.2826),(20 1458.0094),(21 1465.1144),(22 1490.399),(23 1504.0354),(24 1496.3301),(25 1540.4994),(26 1541.1086),(27 1554.1864),(28 1570.4365),(29 1560.6543),(30 1573.3119),(31 1585.1818),(32 1579.6234),(33 1585.2489),(34 1610.2308),(35 1600.8318),(36 1575.4199),(37 1606.1783),(38 1589.218),(39 1610.7073),(40 1624.9863),(41 1619.0433),(42 1649.5417),(43 1626.3977),(44 1650.9348),(45 1630.7506),(46 1605.6768),(47 1622.1327),(48 1586.0405),(49 1570.7899),(50 1584.0725),(51 1575.4221),(52 1547.2297),(53 1563.1396),(54 1549.5219),(55 1549.8008),(56 1595.2137),(57 1591.3712),(58 1588.4661),(59 1617.7787),(60 1608.4249),(61 1612.3824),(62 1625.3666),(63 1602.7483),(64 1593.8141),(65 1603.1113),(66 1593.4037),(67 1595.5325),(68 1616.307),(69 1599.4801),(70 1593.1091),(71 1598.7395),(72 1590.2646),(73 1609.155),(74 1625.4083),(75 1626.7352),(76 1628.3529),(77 1658.2714),(78 1710.7389),(79 1685.6003),
(1 692.6568),(2 905.56866),(3 1134.4799),(4 1188.7474),(5 1240.6199),(6 1309.2266),(7 1342.6342),(8 1386.6195),(9 1420.1512),(10 1421.3137),(11 1424.2765),(12 1462.423),(13 1457.3341),(14 1458.2069),(15 1490.8835),(16 1465.2351),(17 1490.283),(18 1467.3608),(19 1491.9371),(20 1487.0247),(21 1496.4548),(22 1530.0282),(23 1534.1708),(24 1526.8433),(25 1561.2042),(26 1550.257),(27 1584.1079),(28 1629.0543),(29 1619.7008),(30 1632.1315),(31 1649.8892),(32 1655.7717),(33 1652.2405),(34 1686.3705),(35 1689.0839),(36 1667.4928),(37 1692.3972),(38 1679.6288),(39 1676.9686),(40 1702.4005),(41 1684.953),(42 1726.2457),(43 1684.78),(44 1710.0442),(45 1684.9321),(46 1677.6342),(47 1700.3922),(48 1668.4347),(49 1655.569),(50 1656.9785),(51 1640.8447),(52 1614.9053),(53 1628.2086),(54 1616.6213),(55 1595.2992),(56 1639.7205),(57 1645.3789),(58 1638.4896),(59 1674.5511),(60 1643.915),(61 1637.9956),(62 1653.9102),(63 1636.6774),(64 1639.2611),(65 1653.5011),(66 1638.5112),(67 1644.0388),(68 1652.5461),(69 1658.4762),(70 1647.41),(71 1659.2494),(72 1650.7786),(73 1661.4021),(74 1679.7671),(75 1678.47),(76 1676.0691),(77 1689.4943),(78 1722.5459),(79 1700.1995),
(1 663.1999),(2 883.3445),(3 1088.8042),(4 1142.2212),(5 1210.1727),(6 1287.1326),(7 1313.9158),(8 1368.6464),(9 1393.7305),(10 1400.5513),(11 1398.1245),(12 1438.9109),(13 1444.3114),(14 1443.9435),(15 1483.5204),(16 1449.4767),(17 1501.4994),(18 1484.1578),(19 1506.0614),(20 1517.1669),(21 1506.3735),(22 1516.6105),(23 1501.5419),(24 1490.2075),(25 1523.6764),(26 1492.2261),(27 1503.823),(28 1563.5936),(29 1564.9592),(30 1582.6589),(31 1595.5736),(32 1585.2086),(33 1572.2279),(34 1599.3623),(35 1589.1621),(36 1578.0115),(37 1589.0602),(38 1571.9553),(39 1581.212),(40 1579.7914),(41 1571.9031),(42 1618.6492),(43 1581.1105),(44 1599.411),(45 1571.9689),(46 1562.2233),(47 1569.6727),(48 1539.1943),(49 1529.7263),(50 1556.3883),(51 1516.5139),(52 1501.2595),(53 1537.1052),(54 1509.2584),(55 1506.2169),(56 1554.2421),(57 1534.3264),(58 1541.1577),(59 1570.9164),(60 1544.818),(61 1536.3253),(62 1549.4336),(63 1527.8735),(64 1528.8219),(65 1556.0176),(66 1534.1448),(67 1542.759),(68 1557.4995),(69 1556.6705),(70 1560.494),(71 1580.4359),(72 1564.9158),(73 1576.4481),(74 1570.2272),(75 1595.6565),(76 1590.7557),(77 1622.0668),(78 1648.3038),(79 1633.6692),
(1 657.67114),(2 884.3986),(3 1080.7625),(4 1137.9873),(5 1208.0626),(6 1281.2675),(7 1301.3575),(8 1345.4598),(9 1402.3918),(10 1409.4692),(11 1405.611),(12 1448.7096),(13 1438.2925),(14 1454.3441),(15 1490.178),(16 1475.8213),(17 1505.2648),(18 1495.0802),(19 1495.3998),(20 1494.8868),(21 1498.7134),(22 1524.0122),(23 1513.9363),(24 1489.1343),(25 1530.1814),(26 1531.3473),(27 1540.1669),(28 1579.4274),(29 1558.1846),(30 1562.5911),(31 1576.6398),(32 1554.2822),(33 1544.0942),(34 1588.7261),(35 1570.9105),(36 1542.7338),(37 1564.6685),(38 1536.433),(39 1543.2588),(40 1565.8066),(41 1531.6711),(42 1566.5785),(43 1551.9537),(44 1577.011),(45 1545.7216),(46 1526.8826),(47 1528.9349),(48 1501.7235),(49 1499.8467),(50 1501.4197),(51 1457.7202),(52 1463.6907),(53 1490.8251),(54 1487.5115),(55 1487.0884),(56 1515.4061),(57 1504.3865),(58 1499.9529),(59 1516.8192),(60 1508.4116),(61 1486.9506),(62 1500.4863),(63 1478.3212),(64 1462.7524),(65 1492.1548),(66 1454.9943),(67 1455.8549),(68 1481.6062),(69 1482.6345),(70 1477.885),(71 1510.6754),(72 1489.3834),(73 1511.6698),(74 1520.9669),(75 1513.6294),(76 1512.5693),(77 1560.6969),(78 1586.9563),(79 1563.5386),
(1 649.61163),(2 870.453),(3 1066.591),(4 1133.5618),(5 1199.8248),(6 1275.3978),(7 1300.3339),(8 1348.0697),(9 1407.2595),(10 1424.9602),(11 1434.3531),(12 1462.9209),(13 1438.6798),(14 1440.0334),(15 1479.7072),(16 1447.3529),(17 1465.018),(18 1466.5732),(19 1471.3302),(20 1452.7899),(21 1468.0822),(22 1484.2793),(23 1485.698),(24 1470.0751),(25 1502.7262),(26 1489.6927),(27 1488.1171),(28 1560.7617),(29 1546.0314),(30 1559.5524),(31 1589.2802),(32 1561.1138),(33 1568.5875),(34 1600.4797),(35 1574.9785),(36 1574.7584),(37 1588.4136),(38 1556.6732),(39 1551.8188),(40 1574.2858),(41 1568.7793),(42 1582.9061),(43 1559.4965),(44 1570.037),(45 1541.2046),(46 1528.324),(47 1536.7644),(48 1504.1385),(49 1490.9254),(50 1506.5504),(51 1457.4641),(52 1461.001),(53 1483.4736),(54 1476.8917),(55 1483.6971),(56 1528.513),(57 1510.3823),(58 1502.6089),(59 1531.9537),(60 1528.777),(61 1522.5309),(62 1532.1688),(63 1509.6483),(64 1504.3251),(65 1515.6198),(66 1488.5344),(67 1489.6984),(68 1470.5156),(69 1465.1313),(70 1463.744),(71 1497.4655),(72 1478.5839),(73 1474.2374),(74 1492.4984),(75 1496.576),(76 1503.1536),(77 1541.4203),(78 1580.4889),(79 1575.2728),
(1 643.88776),(2 844.72),(3 1039.8492),(4 1095.24),(5 1148.4097),(6 1234.3717),(7 1266.9574),(8 1312.0769),(9 1359.5046),(10 1375.6407),(11 1389.5485),(12 1430.8324),(13 1410.9568),(14 1408.0294),(15 1430.7721),(16 1416.4028),(17 1427.2103),(18 1419.5966),(19 1431.3751),(20 1422.5933),(21 1423.8074),(22 1440.8132),(23 1421.7839),(24 1415.4718),(25 1435.412),(26 1436.1427),(27 1456.7499),(28 1493.9956),(29 1486.2345),(30 1492.0924),(31 1503.4841),(32 1497.4655),(33 1510.9181),(34 1542.2394),(35 1527.0443),(36 1530.0773),(37 1548.8853),(38 1516.8345),(39 1528.7189),(40 1552.0266),(41 1548.0522),(42 1570.9106),(43 1539.2811),(44 1544.2354),(45 1523.8394),(46 1507.9341),(47 1523.6943),(48 1494.1237),(49 1482.6377),(50 1511.8647),(51 1471.8293),(52 1457.2887),(53 1470.9744),(54 1457.58),(55 1455.245),(56 1497.8845),(57 1489.4569),(58 1480.0619),(59 1506.8195),(60 1506.0914),(61 1506.3075),(62 1526.542),(63 1495.5763),(64 1488.8362),(65 1503.3574),(66 1489.4188),(67 1493.2339),(68 1494.7012),(69 1494.5352),(70 1492.9913),(71 1520.6852),(72 1509.0203),(73 1511.003),(74 1536.9402),(75 1530.2806),(76 1537.2084),(77 1582.4297),(78 1602.8976),(79 1595.1033),
(1 651.0821),(2 868.81964),(3 1075.2622),(4 1138.8848),(5 1191.3573),(6 1291.2767),(7 1323.9857),(8 1346.7754),(9 1393.4215),(10 1395.1514),(11 1396.6056),(12 1441.543),(13 1406.8308),(14 1404.6382),(15 1427.2533),(16 1419.2897),(17 1448.0143),(18 1441.6808),(19 1457.1603),(20 1449.462),(21 1440.4368),(22 1455.2324),(23 1450.0066),(24 1449.8688),(25 1463.9154),(26 1467.4945),(27 1461.546),(28 1492.7716),(29 1481.552),(30 1462.1217),(31 1468.7086),(32 1475.2146),(33 1482.4354),(34 1506.8932),(35 1483.6068),(36 1482.4032),(37 1510.7014),(38 1484.9789),(39 1491.4905),(40 1519.4774),(41 1512.7218),(42 1530.3889),(43 1497.8054),(44 1523.0724),(45 1506.6046),(46 1482.4736),(47 1494.3373),(48 1476.1233),(49 1474.1786),(50 1487.0205),(51 1460.0365),(52 1444.6062),(53 1484.6196),(54 1473.8137),(55 1477.3938),(56 1531.1041),(57 1515.4429),(58 1509.2687),(59 1533.6659),(60 1519.2247),(61 1509.0206),(62 1534.9407),(63 1511.0223),(64 1505.7322),(65 1526.3008),(66 1489.0039),(67 1494.1995),(68 1519.2401),(69 1514.567),(70 1514.307),(71 1534.0895),(72 1526.7952),(73 1516.7662),(74 1537.535),(75 1531.9183),(76 1513.5857),(77 1527.9526),(78 1579.6841),(79 1557.9636),
(1 635.9068),(2 831.45734),(3 1009.2053),(4 1067.7002),(5 1137.9965),(6 1225.1857),(7 1221.2986),(8 1245.6263),(9 1290.3782),(10 1286.3279),(11 1284.5416),(12 1318.3584),(13 1296.2206),(14 1305.6376),(15 1345.05),(16 1330.9955),(17 1360.3033),(18 1358.1583),(19 1374.9407),(20 1371.7588),(21 1370.7034),(22 1373.4724),(23 1378.1045),(24 1378.8304),(25 1406.165),(26 1395.0284),(27 1406.4126),(28 1421.4613),(29 1413.7698),(30 1407.1476),(31 1437.3992),(32 1413.6979),(33 1421.0225),(34 1444.7487),(35 1425.944),(36 1416.6633),(37 1448.003),(38 1405.6245),(39 1411.4637),(40 1432.2144),(41 1426.0259),(42 1446.1548),(43 1421.7057),(44 1438.9843),(45 1412.5665),(46 1397.5177),(47 1401.5162),(48 1377.8519),(49 1386.1415),(50 1404.7119),(51 1383.712),(52 1367.1771),(53 1391.9729),(54 1370.8077),(55 1371.39),(56 1396.1646),(57 1382.8344),(58 1370.8555),(59 1394.3442),(60 1379.893),(61 1386.6143),(62 1408.7386),(63 1375.6934),(64 1377.213),(65 1397.3857),(66 1380.9578),(67 1399.7266),(68 1433.8395),(69 1419.6256),(70 1420.4598),(71 1450.4889),(72 1454.7344),(73 1453.438),(74 1463.6176),(75 1463.0547),(76 1446.773),(77 1462.7646),(78 1482.4578),(79 1470.7076),
(1 630.49963),(2 806.7381),(3 1010.34564),(4 1063.5052),(5 1121.7322),(6 1187.139),(7 1201.1002),(8 1233.2384),(9 1275.8965),(10 1274.264),(11 1277.4861),(12 1302.7826),(13 1290.1268),(14 1288.5519),(15 1323.2845),(16 1301.3356),(17 1326.4602),(18 1326.513),(19 1336.7665),(20 1330.4253),(21 1339.0221),(22 1358.9395),(23 1361.685),(24 1363.5582),(25 1393.9524),(26 1383.9381),(27 1398.3214),(28 1415.1793),(29 1407.7585),(30 1409.4005),(31 1434.3068),(32 1436.3502),(33 1439.672),(34 1470.801),(35 1447.2887),(36 1438.1299),(37 1463.8015),(38 1437.258),(39 1437.5981),(40 1455.7092),(41 1426.9515),(42 1434.1669),(43 1413.1864),(44 1415.043),(45 1385.0026),(46 1370.71),(47 1371.3302),(48 1346.5549),(49 1345.8418),(50 1352.1061),(51 1340.1531),(52 1345.7266),(53 1370.3503),(54 1356.1921),(55 1364.7766),(56 1393.6697),(57 1387.1407),(58 1375.9509),(59 1402.2418),(60 1403.4724),(61 1408.6057),(62 1428.332),(63 1414.3546),(64 1415.4409),(65 1425.7018),(66 1412.9418),(67 1425.8882),(68 1452.9441),(69 1443.1019),(70 1452.1041),(71 1478.9698),(72 1468.0619),(73 1479.8353),(74 1499.9435),(75 1484.35),(76 1488.8412),(77 1483.48),(78 1476.0094),(79 1454.1691),
