1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 84750),(2 298334.97),(3 656842.56),(4 1165454.4),(5 1886142),(6 2795828.5),(7 3943780.3),(8 5354340.5),(9 7021919.5),(10 8973078),(11 11134971),(12 13627747),(13 16371187),(14 19418510),(15 22699634),(16 26435094),(17 30765168),(18 35510144),(19 40953516),(20 46782844),(21 53263410),(22 60378764),(23 68451530),(24 76667390),(25 84962770),(26 92734424),(27 100453960),(28 108205530),(29 115904380),(30 123558910),(31 130069000),(32 135243150),(33 139431120),(34 142675950),(35 145186060),(36 147294340),(37 148391630),(38 149115440),(39 148850220),(40 147681630),(41 145783730),(42 142966640),(43 139213040),(44 134415800),(45 129206360),(46 122998470),(47 116361150),(48 109244250),(49 101732410),(50 93698390),(51 85898376),(52 77647530),(53 70443720),(54 63537036),(55 57496132),(56 52127108),(57 47488068),(58 43833788),(59 41023650),(60 39271820),(61 37834636),(62 36870604),(63 36587644),(64 36726880),(65 37510956),(66 38527084),(67 39289330),(68 40433324),(69 41728660),(70 43443970),(71 45182964),(72 46685764),(73 48339696),(74 49752096),(75 51164064),(76 52638524),(77 54143300),(78 55612944),(79 56985692),
(1 2146.7168),(2 2559.978),(3 2575.9277),(4 2940.096),(5 3063.5085),(6 3150.5098),(7 3216.6543),(8 3431.6199),(9 3495.7673),(10 3607.6682),(11 3647.1453),(12 3727.5273),(13 3938.7324),(14 3971.782),(15 3997.15),(16 4023.383),(17 4057.7495),(18 3998.5977),(19 3911.6895),(20 3925.6252),(21 3860.99),(22 3898.8123),(23 3885.829),(24 3859.8093),(25 3891.0825),(26 3874.7844),(27 3941.579),(28 3934.4773),(29 3809.3752),(30 3910.191),(31 3971.9768),(32 3998.5867),(33 3943.862),(34 3966.7346),(35 4034.736),(36 4145.81),(37 4135.417),(38 4168.785),(39 4124.3594),(40 4229.2),(41 4129.787),(42 4154.061),(43 4186.078),(44 4084.5667),(45 4127.512),(46 3998.4165),(47 3983.128),(48 3972.6506),(49 3948.172),(50 3847.3389),(51 3923.412),(52 3874.7676),(53 3845.3457),(54 3917.3765),(55 3817.7031),(56 3845.2373),(57 3849.105),(58 3794.4746),(59 3792.7388),(60 3794.0635),(61 3889.0535),(62 3854.5862),(63 3788.1277),(64 3807.5696),(65 3848.923),(66 3847.691),(67 3859.184),(68 3835.9143),(69 3869.3015),(70 3906.2776),(71 3857.9888),(72 3961.8215),(73 3996.4116),(74 3998.405),(75 3996.818),(76 4000.4294),(77 4068.0972),(78 4027.9436),(79 4048.7622),
(1 2146.6904),(2 2546.2183),(3 2608.5125),(4 2944.1484),(5 3042.886),(6 3121.8193),(7 3233.2966),(8 3423.6304),(9 3498.5127),(10 3579.522),(11 3659.2996),(12 3638.661),(13 3880.5244),(14 3866.5693),(15 3930.2449),(16 3858.9736),(17 3933.6785),(18 3885.691),(19 3869.5283),(20 3875.853),(21 3865.3547),(22 3877.0137),(23 3799.2278),(24 3855.6384),(25 3875.9963),(26 3905.8203),(27 4072.6191),(28 4042.299),(29 3952.724),(30 4042.059),(31 4080.4587),(32 4093.535),(33 4067.0562),(34 4076.4514),(35 4125.7373),(36 4177.617),(37 4234.917),(38 4191.236),(39 4127.236),(40 4188.9277),(41 4132.1553),(42 4093.3677),(43 4083.3042),(44 4145.261),(45 4087.5198),(46 3972.0112),(47 3914.4094),(48 3875.9417),(49 3847.445),(50 3762.963),(51 3819.3848),(52 3784.1985),(53 3765.3684),(54 3781.5718),(55 3684.9614),(56 3755.4207),(57 3693.5088),(58 3652.1062),(59 3686.4204),(60 3677.274),(61 3739.239),(62 3730.2505),(63 3724.1152),(64 3778.6636),(65 3862.1582),(66 3837.5852),(67 3865.5903),(68 3815.1167),(69 3879.222),(70 3918.1345),(71 3902.2844),(72 3923.8914),(73 3968.467),(74 3996.3245),(75 3945.0886),(76 3975.9463),(77 4060.796),(78 3968.674),(79 3975.3882),
(1 2066.0193),(2 2462.569),(3 2562.6023),(4 2902.6228),(5 2976.2854),(6 3033.8264),(7 3217.2375),(8 3324.1611),(9 3386.7515),(10 3462.1653),(11 3518.8252),(12 3552.7622),(13 3800.0735),(14 3785.8538),(15 3873.9922),(16 3794.4197),(17 3872.9954),(18 3859.7117),(19 3790.7854),(20 3771.0261),(21 3771.0684),(22 3705.9321),(23 3680.5098),(24 3680.3662),(25 3654.52),(26 3747.3452),(27 3805.1377),(28 3780.8452),(29 3693.8708),(30 3817.9998),(31 3824.2559),(32 3844.7385),(33 3841.4946),(34 3889.848),(35 3840.957),(36 3935.0186),(37 4020.6226),(38 3919.8904),(39 4001.4866),(40 3990.0334),(41 3982.8416),(42 3902.3528),(43 3903.2527),(44 3969.0378),(45 3869.904),(46 3834.6328),(47 3710.2083),(48 3753.7412),(49 3720.0796),(50 3722.275),(51 3750.2366),(52 3762.7034),(53 3806.3398),(54 3780.42),(55 3682.9),(56 3741.56),(57 3634.9834),(58 3615.3542),(59 3589.4763),(60 3625.2751),(61 3712.7542),(62 3692.8088),(63 3683.611),(64 3693),(65 3772.034),(66 3692.1409),(67 3716.1355),(68 3728.3333),(69 3739.6877),(70 3780.033),(71 3795.0554),(72 3766.7478),(73 3842.226),(74 3833.6924),(75 3751.628),(76 3785.3237),(77 3827.2588),(78 3800.0662),(79 3810.5234),
(1 2010.0461),(2 2331.2354),(3 2447.677),(4 2782.8333),(5 2860.543),(6 2927.6472),(7 3136.6016),(8 3200.8325),(9 3281.1245),(10 3433.1653),(11 3484.2336),(12 3526.046),(13 3676.9475),(14 3730.5461),(15 3821.3716),(16 3814.7437),(17 3827.8096),(18 3818.155),(19 3761.567),(20 3759.852),(21 3778.251),(22 3688.9358),(23 3679.8955),(24 3753.4998),(25 3757.9863),(26 3752.5195),(27 3830.147),(28 3901.907),(29 3706.639),(30 3908.1086),(31 3815.321),(32 3857.7788),(33 3878.3289),(34 3912.1904),(35 3871.1794),(36 3966.7656),(37 3999.7761),(38 3960.3433),(39 4001.009),(40 3992.58),(41 4003.3777),(42 3966.6035),(43 3946.4727),(44 3973.1597),(45 3908.26),(46 3808.6047),(47 3732.3823),(48 3792.8167),(49 3672.9326),(50 3730.8506),(51 3635.7332),(52 3636.3796),(53 3663.6292),(54 3641.1409),(55 3570.4944),(56 3613.1658),(57 3586.6233),(58 3563.376),(59 3606.0698),(60 3577.6304),(61 3666.898),(62 3656.06),(63 3630.2585),(64 3706.415),(65 3664.308),(66 3620.4712),(67 3639.1067),(68 3635.6099),(69 3634.611),(70 3616.7405),(71 3655.1064),(72 3673.6238),(73 3733.8513),(74 3753.3416),(75 3695.5737),(76 3716.1465),(77 3695.8904),(78 3705.9834),(79 3687.1858),
(1 1982.4675),(2 2303.3823),(3 2476.3157),(4 2841.3496),(5 2869.2786),(6 3013.1506),(7 3173.5308),(8 3259.979),(9 3351.2537),(10 3522.6326),(11 3585.1958),(12 3609.235),(13 3734.231),(14 3779.1196),(15 3846.503),(16 3826.7678),(17 3782.2502),(18 3789.6763),(19 3756.253),(20 3755.4343),(21 3758.2861),(22 3723.8445),(23 3672.1675),(24 3671.1733),(25 3631.5378),(26 3604.5183),(27 3772.2053),(28 3786.5508),(29 3676.9888),(30 3822.3906),(31 3760.5522),(32 3860.8105),(33 3862.7783),(34 3900.088),(35 3914.8982),(36 3934.8396),(37 4021.4988),(38 3985.8208),(39 3950.4985),(40 4018.96),(41 3967.331),(42 3970.691),(43 3888.4546),(44 3925.011),(45 3917.3213),(46 3726.1453),(47 3730.512),(48 3665.0325),(49 3625.809),(50 3619.1604),(51 3558.848),(52 3569.8372),(53 3579.0032),(54 3592.337),(55 3508.6343),(56 3507.575),(57 3501.2205),(58 3448.6492),(59 3559.5295),(60 3500.1326),(61 3553.726),(62 3554.4836),(63 3483.6272),(64 3557.237),(65 3554.4148),(66 3563.8257),(67 3592.8215),(68 3573.6155),(69 3553.122),(70 3596.0083),(71 3632.1624),(72 3619.319),(73 3631.361),(74 3706.4768),(75 3635.3386),(76 3670.8486),(77 3680.9468),(78 3682.0708),(79 3662.3225),
(1 1905.3595),(2 2233.86),(3 2378.3635),(4 2730.85),(5 2736.397),(6 2912.2205),(7 3052.6958),(8 3098.1516),(9 3301.5356),(10 3500.0313),(11 3510.9907),(12 3579.0208),(13 3696.125),(14 3703.4617),(15 3792.6958),(16 3744.0984),(17 3733.1458),(18 3734.5247),(19 3687.2705),(20 3689.1472),(21 3652.2957),(22 3657.829),(23 3667.2605),(24 3693.406),(25 3627.395),(26 3656.824),(27 3775.8906),(28 3776.4146),(29 3775.7188),(30 3773.543),(31 3794.495),(32 3827.0073),(33 3807.9392),(34 3841.615),(35 3808.2207),(36 3855.8806),(37 3963.3901),(38 3869.5164),(39 3868.6018),(40 3905.8135),(41 3865.0452),(42 3853.1494),(43 3761.9854),(44 3817.5002),(45 3776.278),(46 3687.3833),(47 3615.3623),(48 3573.1726),(49 3561.6946),(50 3489.1223),(51 3522.0176),(52 3434.724),(53 3486.0603),(54 3476.1873),(55 3423.462),(56 3464.2922),(57 3406.8467),(58 3422.898),(59 3476.185),(60 3453.1975),(61 3487.26),(62 3477.7532),(63 3434.4656),(64 3426.2976),(65 3516.3179),(66 3440.7747),(67 3485.2512),(68 3426.8298),(69 3464.394),(70 3442.2175),(71 3533.9192),(72 3494.5234),(73 3506.4187),(74 3580.0159),(75 3520.9548),(76 3545.8264),(77 3535.0913),(78 3539.3784),(79 3521.0808),
(1 1873.475),(2 2188.8315),(3 2351.593),(4 2692.4153),(5 2670.5254),(6 2839.461),(7 3017.1367),(8 3058.9487),(9 3218.2966),(10 3392.8298),(11 3395.09),(12 3415.524),(13 3491.7305),(14 3573.5256),(15 3597.739),(16 3584.709),(17 3650.0137),(18 3594.3508),(19 3547.7563),(20 3508.9407),(21 3513.4202),(22 3495.821),(23 3466.5107),(24 3497.774),(25 3336.9143),(26 3391.1853),(27 3458.774),(28 3504.209),(29 3514.6538),(30 3501.819),(31 3584.7117),(32 3558.526),(33 3625.9321),(34 3610.928),(35 3645.168),(36 3718.8276),(37 3752.927),(38 3701.6182),(39 3673.4011),(40 3696.1008),(41 3702.4849),(42 3673.6736),(43 3664.7764),(44 3699.6858),(45 3623.4998),(46 3584.7043),(47 3498.9243),(48 3500.175),(49 3447.8535),(50 3486.4631),(51 3476.015),(52 3409.3655),(53 3490.0576),(54 3414.1863),(55 3374.2986),(56 3428.9502),(57 3331.8926),(58 3366.8857),(59 3315.863),(60 3341.005),(61 3383.2283),(62 3371.4155),(63 3303.3696),(64 3345.5315),(65 3320.508),(66 3262.004),(67 3274.0159),(68 3272.5515),(69 3253.2065),(70 3220.0083),(71 3335.0159),(72 3347.861),(73 3402.7947),(74 3409.97),(75 3431.7212),(76 3452.1526),(77 3443.8215),(78 3468.0916),(79 3487.4202),
(1 1827.8514),(2 2162.034),(3 2312.129),(4 2664.2476),(5 2616.9739),(6 2849.76),(7 2988.369),(8 3058.251),(9 3156.7305),(10 3352.2808),(11 3387.9053),(12 3397.1404),(13 3525.5588),(14 3617.3486),(15 3594.9153),(16 3586.6226),(17 3616.7063),(18 3552.3237),(19 3668.0408),(20 3540.6697),(21 3593.1614),(22 3592.859),(23 3546.0044),(24 3560.07),(25 3436.472),(26 3428.063),(27 3473.6384),(28 3534.7278),(29 3500.1592),(30 3559.5525),(31 3522.2246),(32 3594.8496),(33 3623.3408),(34 3577.6387),(35 3648.078),(36 3664.831),(37 3715.432),(38 3690.331),(39 3623.622),(40 3658.4924),(41 3614.214),(42 3657.1187),(43 3590.2544),(44 3607.712),(45 3559.1345),(46 3490.3105),(47 3432.9548),(48 3401.52),(49 3367.8794),(50 3410.036),(51 3370.5305),(52 3321.6272),(53 3392.074),(54 3301.8726),(55 3324.933),(56 3304.4124),(57 3233.1816),(58 3275.1785),(59 3296.4324),(60 3244.2075),(61 3287.485),(62 3310.2656),(63 3203.18),(64 3320.115),(65 3319.3882),(66 3280.6182),(67 3300.943),(68 3315.1016),(69 3271.5134),(70 3266.044),(71 3296.8313),(72 3330.6167),(73 3378.262),(74 3404.926),(75 3406.391),(76 3391.0593),(77 3410.9521),(78 3433.916),(79 3452.244),
(1 1779.5808),(2 2112.29),(3 2223.5552),(4 2536.3994),(5 2520.327),(6 2786.0696),(7 2961.0293),(8 3023.3538),(9 3111.054),(10 3252.7004),(11 3326.7612),(12 3385.238),(13 3421.3892),(14 3454.8013),(15 3479.388),(16 3452.4731),(17 3473.52),(18 3397.1838),(19 3470.467),(20 3393.7761),(21 3408.9878),(22 3390.0552),(23 3313.1204),(24 3354.3105),(25 3342.7717),(26 3296.8303),(27 3314.651),(28 3372.0056),(29 3349.8657),(30 3375.5762),(31 3374.9373),(32 3493.784),(33 3467.8257),(34 3500.964),(35 3519.8188),(36 3536.0435),(37 3665.2268),(38 3573.4458),(39 3572.9155),(40 3561.8115),(41 3485.1692),(42 3545.9019),(43 3448.7441),(44 3471.194),(45 3377.1265),(46 3395.196),(47 3298.284),(48 3297.462),(49 3289.376),(50 3335.8162),(51 3334.844),(52 3286.5833),(53 3297.854),(54 3264.5461),(55 3244.1892),(56 3184.157),(57 3199.1506),(58 3188.7087),(59 3239.7363),(60 3204.1284),(61 3245.5176),(62 3245.0522),(63 3177.0828),(64 3270.2488),(65 3298.9565),(66 3214.999),(67 3248.3435),(68 3236.1648),(69 3205.0063),(70 3247.89),(71 3309.928),(72 3250.818),(73 3296.1128),(74 3339.5754),(75 3345.699),(76 3399.3342),(77 3423.6465),(78 3443.36),(79 3434.8062),
(1 1729.6028),(2 2031.0703),(3 2158.444),(4 2453.3284),(5 2473.6965),(6 2715.863),(7 2934.595),(8 2982.944),(9 3077.3652),(10 3236.0876),(11 3319.4219),(12 3391.7705),(13 3426.169),(14 3475.9639),(15 3495.0774),(16 3434.2832),(17 3470.9578),(18 3351.9658),(19 3402.5017),(20 3386.61),(21 3408.1155),(22 3421.1401),(23 3307.9949),(24 3356.4407),(25 3340.7036),(26 3297.6638),(27 3311.424),(28 3364.079),(29 3379.6184),(30 3333.8704),(31 3465.263),(32 3501.3047),(33 3551.1968),(34 3590.092),(35 3575.7654),(36 3624.2305),(37 3685.058),(38 3596.734),(39 3636.003),(40 3527.0776),(41 3466.045),(42 3501.5273),(43 3463.386),(44 3420.5042),(45 3377.4343),(46 3413.8137),(47 3332.5706),(48 3324.008),(49 3291.0334),(50 3292.026),(51 3295.5696),(52 3246.3997),(53 3247.9773),(54 3252.703),(55 3227.0393),(56 3211.471),(57 3213.7588),(58 3206.5427),(59 3179.4614),(60 3183.0867),(61 3203.1384),(62 3222.6892),(63 3167.632),(64 3177.126),(65 3228.5098),(66 3139.6277),(67 3201.3267),(68 3180.2793),(69 3148.637),(70 3151.8872),(71 3191.6858),(72 3143.6975),(73 3169.722),(74 3180.704),(75 3150.979),(76 3217.0498),(77 3214.3833),(78 3276.4956),(79 3290.7622),
(1 1710.884),(2 2030.4872),(3 2168.1719),(4 2465.0708),(5 2492.5886),(6 2734.1238),(7 2967.2654),(8 2972.7139),(9 3056.4072),(10 3210.0476),(11 3273.9087),(12 3371.347),(13 3392.2913),(14 3414.2876),(15 3362.6416),(16 3318.9617),(17 3322.6196),(18 3216.9197),(19 3304.2285),(20 3212.2234),(21 3294.8936),(22 3321.556),(23 3235.712),(24 3282.7808),(25 3254.445),(26 3231.7488),(27 3218.0706),(28 3238.0308),(29 3281.7292),(30 3267.2021),(31 3341.0208),(32 3328.1897),(33 3446.8494),(34 3386.073),(35 3402.3943),(36 3461.8142),(37 3481.607),(38 3535.65),(39 3539.928),(40 3438.3362),(41 3495.2231),(42 3515.739),(43 3475.8887),(44 3462.6),(45 3447.0676),(46 3446.1458),(47 3398.751),(48 3379.744),(49 3333.0796),(50 3363.2393),(51 3336.3638),(52 3315.035),(53 3325.2527),(54 3289.4836),(55 3284.2588),(56 3206.1165),(57 3184.8225),(58 3223.531),(59 3161.6929),(60 3153.118),(61 3156.044),(62 3158.1143),(63 3090.627),(64 3148.945),(65 3126.8),(66 3102.6516),(67 3103.8826),(68 3132.8936),(69 3081.6616),(70 3108.5544),(71 3086.3374),(72 3071.434),(73 3134.112),(74 3108.9185),(75 3131.4265),(76 3181.261),(77 3209.4158),(78 3232.7798),(79 3270.5364),
(1 1684.534),(2 1981.5634),(3 2067.2698),(4 2342.4536),(5 2391.0015),(6 2614.7412),(7 2809.9875),(8 2872.2988),(9 2927.745),(10 3075.2417),(11 3126.1694),(12 3266.2634),(13 3244.191),(14 3288.568),(15 3277.068),(16 3222.959),(17 3210.3545),(18 3139.1284),(19 3199.016),(20 3144.915),(21 3254.2114),(22 3228.8137),(23 3226.3755),(24 3244.5596),(25 3233.6995),(26 3175.9126),(27 3211.3198),(28 3209.8635),(29 3153.4575),(30 3169.7551),(31 3176.453),(32 3215.1133),(33 3274.2903),(34 3215.6091),(35 3334.6626),(36 3324.4614),(37 3340.7632),(38 3374.3096),(39 3383.328),(40 3306.5896),(41 3322.696),(42 3325.4119),(43 3258.3442),(44 3293.653),(45 3258.9045),(46 3291.7087),(47 3234.3308),(48 3203.4983),(49 3153.7551),(50 3219.2485),(51 3221.8257),(52 3191.6418),(53 3172.4546),(54 3180.3203),(55 3132.327),(56 3091.7808),(57 3104.1553),(58 3146.173),(59 3083.9314),(60 3067.5596),(61 3081.3083),(62 3090.4124),(63 2994.5764),(64 3144.133),(65 3032.702),(66 3031.0974),(67 3049.406),(68 3034.4097),(69 2996.3289),(70 3038.9827),(71 3001.4146),(72 3059.6343),(73 3112.454),(74 3048.475),(75 3054.5618),(76 3111.4666),(77 3129.0806),(78 3142.596),(79 3148.3784),
(1 1673.5376),(2 1940.7693),(3 2013.4104),(4 2284.048),(5 2305.5005),(6 2499.6995),(7 2711.4336),(8 2789.2983),(9 2844.1953),(10 2996.844),(11 3003.2402),(12 3125.1377),(13 3100.8008),(14 3162.4058),(15 3164.7659),(16 3107.0408),(17 3093.2837),(18 2964.4092),(19 3062.0005),(20 3009.458),(21 3044.1108),(22 3047.7283),(23 3084.8438),(24 3125.229),(25 3106.8794),(26 2996.7383),(27 3075.87),(28 3065.6165),(29 3050.3594),(30 3055.4382),(31 3032.765),(32 3088.4517),(33 3107.948),(34 3081.234),(35 3129.0344),(36 3142.3506),(37 3204.166),(38 3182.5955),(39 3283.3606),(40 3187.0938),(41 3207.943),(42 3225.805),(43 3154.1316),(44 3165.4954),(45 3134.2207),(46 3194.8972),(47 3118.4753),(48 3119.034),(49 3074.1086),(50 3110.9822),(51 3136.2617),(52 3065.0256),(53 3057.6987),(54 3051.117),(55 3024.175),(56 3023.9873),(57 2999.4539),(58 3006.1865),(59 2989.9182),(60 2977.5347),(61 3053.5015),(62 3009.045),(63 2917.5789),(64 2999.3782),(65 2935.4321),(66 2975.5159),(67 3052.4397),(68 2983.458),(69 2952.8655),(70 2998.8828),(71 2950.8005),(72 2979.2312),(73 3027.3008),(74 2946.1245),(75 2980.7263),(76 3026.81),(77 3051.638),(78 3065.561),(79 3104.2761),
(1 1668.5593),(2 1943.6938),(3 2052.6658),(4 2327.8152),(5 2301.149),(6 2545.9402),(7 2763.3916),(8 2762.2834),(9 2844.5078),(10 2976.0134),(11 2996.0188),(12 3079.9902),(13 3064.341),(14 3161.8318),(15 3178.9656),(16 3147.982),(17 3127.8508),(18 3014.739),(19 3106.7483),(20 3042.8525),(21 3081.9722),(22 3076.9897),(23 3074.918),(24 3142.1226),(25 3133.2014),(26 3094.3108),(27 3119.1519),(28 3072.9404),(29 3131.2708),(30 3120.6755),(31 3069.7344),(32 3089.384),(33 3166.4097),(34 3119.5737),(35 3145.3247),(36 3211.7415),(37 3230.7942),(38 3222.636),(39 3329.7986),(40 3264.7764),(41 3316.438),(42 3315.1826),(43 3264.245),(44 3259.2087),(45 3216.0361),(46 3260.5857),(47 3216.9067),(48 3194.0408),(49 3142.4897),(50 3165.4072),(51 3197.8516),(52 3090.128),(53 3166.2942),(54 3121.8838),(55 3149.1526),(56 3146.6572),(57 3105.6335),(58 3167.727),(59 3151.4197),(60 3074.8054),(61 3094.1438),(62 3022.315),(63 2967.8704),(64 3047.3054),(65 2946.6982),(66 2980.7937),(67 3007.3567),(68 3001.2476),(69 2975.1982),(70 3054.0137),(71 2966.7715),(72 2982.346),(73 3088.189),(74 2954.2864),(75 3060.6907),(76 3075.2986),(77 3137.2397),(78 3093.223),(79 3113.188),
(1 1640.4506),(2 1887.5676),(3 1997.2444),(4 2249.0093),(5 2223.8245),(6 2469.0264),(7 2634.8447),(8 2728.38),(9 2814.897),(10 2957.2048),(11 2972.2903),(12 3072.9246),(13 3061.5925),(14 3191.3967),(15 3150.6472),(16 3125.5024),(17 3080.519),(18 3046.4329),(19 3046.7195),(20 2999.7737),(21 3011.7441),(22 3004.2363),(23 2979.6292),(24 3024.2388),(25 3013.2048),(26 3025.2166),(27 2997.6384),(28 2980.45),(29 3018.6436),(30 3021.419),(31 2974.5105),(32 3016.5398),(33 3089.551),(34 3044.8098),(35 3094.1738),(36 3086.352),(37 3119.9326),(38 3186.547),(39 3195.0557),(40 3211.7942),(41 3235.3481),(42 3223.949),(43 3182.8162),(44 3186.327),(45 3120.3132),(46 3188.135),(47 3122.3735),(48 3066.3308),(49 2999.1775),(50 3054.3354),(51 3109.3909),(52 3018.9983),(53 3073.2117),(54 3014.8088),(55 3046.5483),(56 3017.39),(57 3004.4216),(58 3029.1423),(59 3020.8174),(60 2994.8223),(61 2992.9282),(62 2967.1792),(63 2922.648),(64 2972.5344),(65 2830.4836),(66 2871.2268),(67 2891.8628),(68 2894.9402),(69 2846.978),(70 2933.7307),(71 2923.2239),(72 2901.2297),(73 2984.137),(74 2877.8264),(75 2978.0894),(76 3042.8206),(77 3047.247),(78 3023.2954),(79 3078.1028),
(1 1597.8491),(2 1821.353),(3 1962.0366),(4 2221.9116),(5 2208.7117),(6 2455.1914),(7 2599.8577),(8 2697.2883),(9 2734.3953),(10 2903.5432),(11 2931.5632),(12 3041.062),(13 3031.5415),(14 3096.148),(15 3058.225),(16 3071.194),(17 3072.797),(18 2959.0903),(19 2924.3865),(20 2888.4624),(21 2892.891),(22 2887.4543),(23 2911.1218),(24 2922.8616),(25 2881.1792),(26 2905.366),(27 2892.8535),(28 2868.9565),(29 2914.0017),(30 2964.4583),(31 2938.575),(32 2972.6848),(33 3011.841),(34 3034.5542),(35 3087.2966),(36 3031.0847),(37 3102.2295),(38 3131.1445),(39 3110.1487),(40 3101.9636),(41 3108.643),(42 3172.3955),(43 3129.0972),(44 3104.772),(45 3096.033),(46 3133.926),(47 3043.3716),(48 3006.041),(49 2936.8665),(50 2996.2874),(51 2984.7427),(52 2940.768),(53 2953.226),(54 2905.8643),(55 2912.344),(56 2884.1572),(57 2871.2483),(58 2895.7192),(59 2866.88),(60 2850.0737),(61 2863.2646),(62 2827.3467),(63 2799.228),(64 2846.7036),(65 2710.042),(66 2806.0415),(67 2799.7793),(68 2763.0635),(69 2766.4631),(70 2867.4578),(71 2791.6243),(72 2829.7964),(73 2873.8281),(74 2786.3308),(75 2892.7266),(76 2941.6172),(77 2958.309),(78 2948.0718),(79 2948.6733),
