1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 20630.164),(2 50097.137),(3 88533.75),(4 138460.23),(5 191955.92),(6 243801.5),(7 298845.16),(8 362205.16),(9 412094.75),(10 454166.5),(11 496147.5),(12 519008.13),(13 553230.56),(14 589945.2),(15 622017.3),(16 658751.94),(17 697811.44),(18 731449.25),(19 774774.25),(20 824590.2),(21 864361.2),(22 914693.25),(23 963769.44),(24 1002850.25),(25 1040553.75),(26 1068329.4),(27 1078258.5),(28 1091191.6),(29 1104389.6),(30 1150156),(31 1180339.5),(32 1227554.9),(33 1298320.9),(34 1355190.1),(35 1429105.1),(36 1494866.4),(37 1543892.4),(38 1619346),(39 1672921.6),(40 1689497.6),(41 1733111.4),(42 1762733.4),(43 1769389),(44 1799398),(45 1830022),(46 1846007.1),(47 1865655.1),(48 1882064.9),(49 1929153.6),(50 1990481.9),(51 2068547),(52 2145370),(53 2242240),(54 2317773.8),(55 2452234.3),(56 2554841.3),(57 2663873.8),(58 2772184.5),(59 2883696),(60 3002650.8),(61 3137946),(62 3292604),(63 3430741.8),(64 3553940.8),(65 3681838.8),(66 3793642.8),(67 3920637.8),(68 4073888.3),(69 4223992),(70 4372622.5),(71 4512168),(72 4638768),(73 4783180.5),(74 4882308.5),(75 4995324.5),(76 5102508.5),(77 5222523.5),(78 5313596),(79 5414284),
(1 1073.9836),(2 1632.0648),(3 1962.3351),(4 2252.703),(5 2516.9404),(6 2605.682),(7 2737.7751),(8 2857.9958),(9 2908.5754),(10 2953.079),(11 2998.011),(12 3003.3118),(13 3081.8997),(14 3159.2976),(15 3128.378),(16 3173.0361),(17 3272.4468),(18 3256.8682),(19 3273.4175),(20 3320.122),(21 3305.1865),(22 3376.4187),(23 3428.601),(24 3443.8745),(25 3453.6174),(26 3517.2542),(27 3499.7505),(28 3518.8164),(29 3601.4336),(30 3597.0637),(31 3664.55),(32 3680.976),(33 3684.7205),(34 3776.2014),(35 3749.8184),(36 3740.5288),(37 3806.9631),(38 3741.3386),(39 3727.3591),(40 3777.0422),(41 3698.2104),(42 3674.642),(43 3687.5176),(44 3653.4063),(45 3672.8293),(46 3722.1838),(47 3710.73),(48 3676.5627),(49 3732.4233),(50 3720.276),(51 3680.0505),(52 3716.4912),(53 3710.4011),(54 3704.5403),(55 3752.9658),(56 3677.5867),(57 3674.8367),(58 3736.0007),(59 3667.3872),(60 3679.9756),(61 3731.7644),(62 3686.1687),(63 3654.58),(64 3694.6484),(65 3655.5757),(66 3644.7725),(67 3660.1797),(68 3578.0732),(69 3559.2864),(70 3584.7744),(71 3547.554),(72 3548.704),(73 3608.5784),(74 3567.433),(75 3589.0232),(76 3612.9346),(77 3604.228),(78 3594.5088),(79 3702.1853),
(1 1060.0688),(2 1622.2743),(3 1946.9708),(4 2182.0571),(5 2444.5217),(6 2553.1394),(7 2688.9714),(8 2827.248),(9 2885.0598),(10 2942.5745),(11 2981.5002),(12 3009.7305),(13 3055.3254),(14 3115.1),(15 3086.7246),(16 3108.6848),(17 3189.6863),(18 3160.6672),(19 3156.242),(20 3193.8298),(21 3177.7935),(22 3229.0742),(23 3280.6597),(24 3263.417),(25 3314.7268),(26 3400.4133),(27 3395.1125),(28 3383.109),(29 3476.0654),(30 3484.953),(31 3536.7224),(32 3504.3545),(33 3525.8225),(34 3613.2842),(35 3616.984),(36 3637.1008),(37 3694.9456),(38 3637.5676),(39 3628.0718),(40 3702.747),(41 3652.2703),(42 3664.1082),(43 3692.164),(44 3678.0654),(45 3686.7412),(46 3744.9827),(47 3696.894),(48 3729.6143),(49 3785.332),(50 3742.2375),(51 3763.518),(52 3824.7747),(53 3790.949),(54 3789.6375),(55 3843.0933),(56 3782.947),(57 3823.6948),(58 3851.7485),(59 3810.1082),(60 3825.5776),(61 3873.9172),(62 3828.405),(63 3807.433),(64 3830.3313),(65 3767.7332),(66 3749.168),(67 3733.8982),(68 3629.5452),(69 3592.5706),(70 3623.6125),(71 3527.0225),(72 3477.0022),(73 3537.6802),(74 3521.6272),(75 3536.266),(76 3575.9722),(77 3556.383),(78 3576.5757),(79 3661.8389),
(1 1060.6682),(2 1591.1445),(3 1913.4489),(4 2134.2769),(5 2405.9014),(6 2512.0784),(7 2641.398),(8 2795.0393),(9 2858.3984),(10 2911.2976),(11 3016.3208),(12 2996.4363),(13 3029.9094),(14 3082.1235),(15 3074.3508),(16 3110.2368),(17 3170.9392),(18 3111.752),(19 3096.898),(20 3123.8354),(21 3104.66),(22 3122.6157),(23 3145.2534),(24 3103.7854),(25 3123.187),(26 3173.2231),(27 3132.6594),(28 3174.9504),(29 3277.2354),(30 3314.2495),(31 3359.336),(32 3325.303),(33 3324.8806),(34 3364.0344),(35 3360.3413),(36 3340.3755),(37 3383.2332),(38 3315.281),(39 3271.2183),(40 3347.7527),(41 3303.3208),(42 3310.5786),(43 3400.1477),(44 3350.8645),(45 3357.85),(46 3405.767),(47 3417.5146),(48 3387.8484),(49 3417.5186),(50 3377.031),(51 3432.0762),(52 3452.036),(53 3470.8604),(54 3454.4695),(55 3555.1357),(56 3525.9402),(57 3569.2642),(58 3604.021),(59 3541.0112),(60 3558.8162),(61 3598.4944),(62 3526.4995),(63 3568.3604),(64 3586.6582),(65 3523.589),(66 3480.6003),(67 3469.9116),(68 3396.2246),(69 3410.0212),(70 3402.0203),(71 3332.2441),(72 3311.3152),(73 3377.5012),(74 3342.032),(75 3377.6167),(76 3445.4053),(77 3453.0884),(78 3490.7676),(79 3602.0813),
(1 1041.0874),(2 1579.489),(3 1894.4585),(4 2117.8884),(5 2391.0525),(6 2430.5513),(7 2576.4187),(8 2732.1284),(9 2806.7644),(10 2851.0645),(11 2941.6284),(12 2939.764),(13 2978.5237),(14 3025.728),(15 3001.8452),(16 3004.1594),(17 3052.0308),(18 3007.3452),(19 3044.8884),(20 3076.1414),(21 3023.6763),(22 3036.9255),(23 3084.5173),(24 3050.7124),(25 3055.499),(26 3085.3816),(27 3086.778),(28 3172.003),(29 3242.995),(30 3274.9402),(31 3315.0535),(32 3290.1934),(33 3281.6362),(34 3316.6042),(35 3275.8738),(36 3279.4392),(37 3331.9065),(38 3271.9436),(39 3288.559),(40 3347.4307),(41 3291.6016),(42 3327.2134),(43 3407.1257),(44 3391.7615),(45 3399.8372),(46 3467.6558),(47 3482.711),(48 3436.132),(49 3490.1355),(50 3421.8862),(51 3446.0737),(52 3482.095),(53 3466.1736),(54 3461.595),(55 3539.0857),(56 3488.5542),(57 3509.123),(58 3553.7942),(59 3491.0864),(60 3536.84),(61 3582.8335),(62 3511.8213),(63 3501.221),(64 3510.6145),(65 3479.1936),(66 3432.3813),(67 3443.921),(68 3371.8313),(69 3381.7998),(70 3412.5657),(71 3371.8074),(72 3355.204),(73 3405.1257),(74 3365.6558),(75 3393.214),(76 3405.18),(77 3413.2363),(78 3434.165),(79 3503.4094),
(1 1025.6581),(2 1527.0138),(3 1849.9226),(4 2084.687),(5 2332.7156),(6 2413.5894),(7 2512.0842),(8 2642.8965),(9 2683.5225),(10 2747.0388),(11 2846.5154),(12 2849.8706),(13 2872.4343),(14 2895.3145),(15 2851.8735),(16 2884.3203),(17 2953.7988),(18 2930.53),(19 2976.0354),(20 3041.2654),(21 3029.2322),(22 3081.1216),(23 3109.7676),(24 3060.2285),(25 3097.9329),(26 3127.6633),(27 3088.415),(28 3102.9016),(29 3217.805),(30 3239.178),(31 3266.2573),(32 3241.3123),(33 3237.7964),(34 3303.6858),(35 3241.8179),(36 3247.809),(37 3274.0535),(38 3212.2827),(39 3219.1792),(40 3277.8967),(41 3257.328),(42 3270.4336),(43 3321.901),(44 3280.459),(45 3270.4365),(46 3331.268),(47 3283.2239),(48 3253.0486),(49 3281.9993),(50 3242.628),(51 3266.5427),(52 3334.69),(53 3313.8433),(54 3319.4392),(55 3403.6533),(56 3366.8843),(57 3355.1418),(58 3368.2854),(59 3345.45),(60 3376.211),(61 3468.1316),(62 3427.8938),(63 3430.0925),(64 3468.75),(65 3422.5073),(66 3419.572),(67 3449.361),(68 3324.7197),(69 3357.6877),(70 3418.8105),(71 3400.9524),(72 3371.17),(73 3395.6719),(74 3366.8203),(75 3365.903),(76 3382.7505),(77 3413.377),(78 3475.135),(79 3536.768),
(1 1000.04803),(2 1499.9341),(3 1792.0586),(4 1980.3275),(5 2216.303),(6 2311.3862),(7 2367.0962),(8 2472.0342),(9 2545.6714),(10 2588.202),(11 2691.3782),(12 2664.0327),(13 2708.7346),(14 2760.6387),(15 2760.5715),(16 2777.2085),(17 2856.5938),(18 2834.9092),(19 2834.2102),(20 2878.2107),(21 2838.5366),(22 2902.4998),(23 2955.5283),(24 2941.4746),(25 2949.41),(26 3043.4758),(27 3034.3667),(28 3007.3533),(29 3101.3958),(30 3073.8728),(31 3106.855),(32 3109.0884),(33 3113.5925),(34 3178.118),(35 3152.131),(36 3148.1458),(37 3199.2346),(38 3180.2876),(39 3172.0645),(40 3199.0818),(41 3152.1187),(42 3189.3728),(43 3198.7188),(44 3151.437),(45 3149.1943),(46 3211.8972),(47 3217.8909),(48 3249.8237),(49 3296.3535),(50 3267.9873),(51 3298.4277),(52 3349.4077),(53 3381.9568),(54 3393.3853),(55 3428.4714),(56 3380.9988),(57 3371.368),(58 3427.6875),(59 3386.2266),(60 3405.7522),(61 3447.7603),(62 3426.0283),(63 3440.6748),(64 3454.16),(65 3378.0852),(66 3360.7222),(67 3317.7373),(68 3247.939),(69 3252.7463),(70 3297.6477),(71 3262.2869),(72 3238.5117),(73 3261.8845),(74 3211.0513),(75 3251.6077),(76 3327.0764),(77 3341.8484),(78 3350.0398),(79 3411.7124),
(1 973.31195),(2 1494.4799),(3 1768.5994),(4 1946.541),(5 2232.0369),(6 2301.0486),(7 2364.168),(8 2479.9148),(9 2530.8323),(10 2554.8987),(11 2630.8477),(12 2607.7974),(13 2654.9402),(14 2741.6592),(15 2726.3816),(16 2727.2249),(17 2832.703),(18 2813.2026),(19 2819.2546),(20 2881.068),(21 2840.012),(22 2866.3884),(23 2914.8108),(24 2885.5588),(25 2893.2634),(26 2910.808),(27 2910.0789),(28 2892.2573),(29 2972.0657),(30 2918.6626),(31 2920.429),(32 2956.4028),(33 2972.7483),(34 3013.9282),(35 3023.2915),(36 3019.9912),(37 3031.753),(38 2998.9873),(39 2999.1294),(40 3011.4646),(41 2960.1604),(42 2953.3523),(43 2983.6313),(44 2971.249),(45 2988.92),(46 3090.0115),(47 3098.812),(48 3114.422),(49 3151.3652),(50 3158.5195),(51 3200.662),(52 3256.2395),(53 3258.8293),(54 3271.963),(55 3354.3088),(56 3298.2295),(57 3268.994),(58 3300.2793),(59 3257.3105),(60 3286.2957),(61 3307.3718),(62 3254.7722),(63 3264.3645),(64 3264.2637),(65 3207.7207),(66 3162.6099),(67 3220.3157),(68 3153.6165),(69 3146.7886),(70 3171.353),(71 3113.8904),(72 3132.9207),(73 3175.8408),(74 3120.9316),(75 3130.902),(76 3161.9788),(77 3150.2126),(78 3140.6863),(79 3172.7312),
(1 959.30914),(2 1421.5276),(3 1736.0637),(4 1889.592),(5 2152.9028),(6 2243.6611),(7 2320.174),(8 2446.0476),(9 2493.202),(10 2502.2908),(11 2567.2654),(12 2585.591),(13 2612.8489),(14 2668.7366),(15 2641.0278),(16 2621.1628),(17 2681.2078),(18 2689.8118),(19 2697.152),(20 2770.1772),(21 2772.3662),(22 2806.0615),(23 2874.9363),(24 2850.4124),(25 2870.112),(26 2909.8152),(27 2908.5305),(28 2907.3438),(29 2982.3748),(30 2970.5662),(31 3000.0122),(32 2962.5315),(33 2929.7683),(34 2980.1763),(35 2957.4783),(36 2941.9988),(37 2989.9697),(38 2960.9517),(39 2934.2502),(40 2944.7146),(41 2897.3054),(42 2880.2656),(43 2907.3552),(44 2894.5808),(45 2899.2214),(46 2974.5532),(47 2968.4683),(48 2964.9001),(49 2973.075),(50 2970.3135),(51 3010.8198),(52 3078.9568),(53 3056.7908),(54 3086.5024),(55 3138.2158),(56 3142.0662),(57 3152.0933),(58 3227.9702),(59 3161.3274),(60 3159.4377),(61 3167.641),(62 3107.8088),(63 3113.512),(64 3145.5916),(65 3121.9272),(66 3081.0195),(67 3113.7422),(68 3053.2583),(69 3042.4229),(70 3064.3105),(71 2972.0688),(72 2961.0115),(73 2944.013),(74 2938.3843),(75 2959.2952),(76 2996.7842),(77 3042.951),(78 3064.5725),(79 3079.7249),
(1 969.263),(2 1443.4053),(3 1737.8411),(4 1940.5797),(5 2211.2317),(6 2336.133),(7 2417.406),(8 2511.3062),(9 2586.0854),(10 2626.0186),(11 2688.5054),(12 2687.8916),(13 2695.5864),(14 2736.0076),(15 2660.9697),(16 2670.6074),(17 2719.7605),(18 2684.2212),(19 2678.2263),(20 2748.566),(21 2725.6218),(22 2769.0674),(23 2826.7227),(24 2816.6882),(25 2836.863),(26 2860.6045),(27 2864.012),(28 2877.712),(29 2967.1863),(30 2937.3918),(31 3016.026),(32 2984.8333),(33 2980.714),(34 3033.522),(35 3024.3887),(36 3023.3384),(37 3053.5205),(38 3027.08),(39 2992.6873),(40 3014.6528),(41 2987.0012),(42 2970.3245),(43 2935.7778),(44 2911.1143),(45 2927.426),(46 2951.429),(47 2948.8918),(48 2929.6172),(49 2985.1865),(50 2978.7998),(51 3007.0916),(52 3050.302),(53 3078.3079),(54 3101.061),(55 3196.7742),(56 3135.2844),(57 3139.286),(58 3199.049),(59 3156.4976),(60 3145.8594),(61 3141.9722),(62 3115.008),(63 3147.6685),(64 3179.8281),(65 3120.3804),(66 3075.8958),(67 3089.003),(68 3021.4858),(69 3017.988),(70 3030.3447),(71 2956.1704),(72 2958.3635),(73 2978.6926),(74 2972.5044),(75 2961.707),(76 3003.5903),(77 3012.5615),(78 3048.6223),(79 3087.2502),
(1 928.43365),(2 1388.1339),(3 1652.6753),(4 1830.3931),(5 2057.5686),(6 2149.2827),(7 2246.7236),(8 2340.4387),(9 2409.4028),(10 2438.5515),(11 2542.7388),(12 2551.4749),(13 2572.8987),(14 2601.418),(15 2571.0032),(16 2575.6724),(17 2623.5474),(18 2582.3499),(19 2576.9902),(20 2622.9133),(21 2587.4182),(22 2631.548),(23 2677.7883),(24 2662.949),(25 2667.6592),(26 2730.3127),(27 2764.6997),(28 2740.0146),(29 2818.4216),(30 2813.919),(31 2874.03),(32 2850.2483),(33 2848.6838),(34 2918.802),(35 2893.3928),(36 2875.6633),(37 2925.206),(38 2896.3403),(39 2879.4722),(40 2892.7024),(41 2842.8147),(42 2832.9265),(43 2823.6853),(44 2784.3591),(45 2760.3335),(46 2790.357),(47 2770.6865),(48 2752.5554),(49 2803.5188),(50 2849.5723),(51 2834.7231),(52 2840.001),(53 2854.2107),(54 2873.4163),(55 2930.3228),(56 2903.38),(57 2929.511),(58 2974.6768),(59 2911.019),(60 2908.9587),(61 2924.5679),(62 2877.6494),(63 2874.7024),(64 2916.662),(65 2867.2546),(66 2829.9653),(67 2841.3284),(68 2789.7776),(69 2786.2046),(70 2831.6936),(71 2796.1904),(72 2795.9844),(73 2834.5967),(74 2829.9475),(75 2815.9014),(76 2869.882),(77 2898.8528),(78 2931.585),(79 2985.497),
(1 917.50024),(2 1346.1389),(3 1598.2927),(4 1772.1669),(5 2005.1863),(6 2085.1292),(7 2182.973),(8 2282.801),(9 2334.8496),(10 2377.796),(11 2476.0757),(12 2447.4731),(13 2488.8867),(14 2543.529),(15 2536.3413),(16 2553.433),(17 2616.2573),(18 2584.5522),(19 2576.5105),(20 2636.15),(21 2569.913),(22 2579.4802),(23 2629.4846),(24 2641.0527),(25 2663.106),(26 2717.2869),(27 2741.8818),(28 2760.3975),(29 2837.963),(30 2884.6094),(31 2941.909),(32 2897.521),(33 2897.2832),(34 2922.7744),(35 2949.7917),(36 2941.3604),(37 2990.2603),(38 2962.3916),(39 2922.0952),(40 2973.1917),(41 2932.7444),(42 2945.318),(43 2954.196),(44 2905.0527),(45 2884.0647),(46 2894.4038),(47 2897.7996),(48 2873.2524),(49 2900.9636),(50 2915.21),(51 2912.5815),(52 2966.1028),(53 2981.598),(54 2957.4067),(55 2977.0273),(56 2928.255),(57 2927.622),(58 2965.9626),(59 2929.059),(60 2927.9033),(61 2938.5786),(62 2877.4385),(63 2875.198),(64 2912.6912),(65 2848.5793),(66 2816.4597),(67 2832.436),(68 2746.076),(69 2740.7268),(70 2780.0354),(71 2736.4678),(72 2746.446),(73 2788.6204),(74 2748.3345),(75 2783.6733),(76 2841.453),(77 2871.0664),(78 2893.0168),(79 2966.688),
(1 917.41644),(2 1324.629),(3 1631.5878),(4 1830.9728),(5 2052.7942),(6 2133.7158),(7 2231.8638),(8 2319.8848),(9 2338.0264),(10 2386.092),(11 2454.71),(12 2437.544),(13 2474.7017),(14 2484.3467),(15 2489.5974),(16 2482.505),(17 2571.9587),(18 2564.5947),(19 2534.5942),(20 2591.9575),(21 2568.1467),(22 2555.8777),(23 2637.052),(24 2613.7976),(25 2638.3408),(26 2729.89),(27 2755.6443),(28 2765.4907),(29 2828.4397),(30 2858.4482),(31 2922.1184),(32 2888.3828),(33 2931.1138),(34 2957.5527),(35 2921.6218),(36 2895.945),(37 2931.2698),(38 2867.3284),(39 2838.9202),(40 2863.7432),(41 2842.5598),(42 2817.717),(43 2821.0981),(44 2793.8982),(45 2809.8005),(46 2851.757),(47 2823.9827),(48 2837.2346),(49 2886.7063),(50 2844.359),(51 2832.9844),(52 2890.9387),(53 2903.3096),(54 2893.6333),(55 2926.756),(56 2867.74),(57 2826.7385),(58 2867.6748),(59 2871.8728),(60 2870.6382),(61 2934.2173),(62 2862.3193),(63 2859.8313),(64 2877.5132),(65 2814.788),(66 2805.439),(67 2830.4563),(68 2748.3572),(69 2746.7131),(70 2790.8533),(71 2747.308),(72 2754.7358),(73 2787.5442),(74 2786.0784),(75 2792.3186),(76 2841.5537),(77 2884.6023),(78 2896.9382),(79 2933.6267),
(1 894.1716),(2 1303.9363),(3 1581.536),(4 1789.4117),(5 2001.4045),(6 2100.292),(7 2184.65),(8 2266.4792),(9 2302.8481),(10 2351.8237),(11 2413.3503),(12 2382.9204),(13 2423.556),(14 2469.093),(15 2471.8389),(16 2473.858),(17 2560.8853),(18 2551.224),(19 2552.2126),(20 2589.3203),(21 2575.8232),(22 2596.2314),(23 2613.41),(24 2578.378),(25 2571.326),(26 2608.3533),(27 2590.967),(28 2619.8118),(29 2687.614),(30 2683.009),(31 2723.8523),(32 2688.8337),(33 2724.6067),(34 2766.0645),(35 2757.1074),(36 2714.4204),(37 2731.86),(38 2705.6116),(39 2702.0994),(40 2713.1582),(41 2683.8035),(42 2678.2979),(43 2699.7734),(44 2657.7554),(45 2674.8352),(46 2753.3926),(47 2731.5461),(48 2736.3865),(49 2783.8396),(50 2762.4329),(51 2743.6626),(52 2799.8599),(53 2772.022),(54 2768.321),(55 2822.5957),(56 2790.3064),(57 2786.2102),(58 2805.0356),(59 2758.3862),(60 2785.3323),(61 2865.241),(62 2815.6177),(63 2799.319),(64 2825.1057),(65 2771.9412),(66 2787.1812),(67 2845.2942),(68 2803.9624),(69 2782.6836),(70 2815.6687),(71 2775.018),(72 2751.9868),(73 2791.4185),(74 2762.445),(75 2751.927),(76 2801.5203),(77 2848.9983),(78 2860.0063),(79 2921.7646),
(1 905.56757),(2 1332.9402),(3 1590.0187),(4 1761.3196),(5 2011.4042),(6 2090.5698),(7 2145.3325),(8 2240.5908),(9 2292.375),(10 2344.711),(11 2392.923),(12 2396.9646),(13 2423.8918),(14 2460.9995),(15 2462.452),(16 2489.6877),(17 2580.1255),(18 2550.3416),(19 2581.9817),(20 2637.2114),(21 2588.7476),(22 2602.615),(23 2613.2517),(24 2554.2964),(25 2554.538),(26 2619.0115),(27 2633.984),(28 2647.047),(29 2675.88),(30 2699.872),(31 2679.8682),(32 2655.9167),(33 2658.9304),(34 2698.9844),(35 2673.1353),(36 2662.9934),(37 2687.3123),(38 2657.0588),(39 2691.9807),(40 2745.2573),(41 2690.4707),(42 2681.1365),(43 2724.0334),(44 2715.4182),(45 2702.3062),(46 2756.3137),(47 2712.182),(48 2727.6858),(49 2769.8418),(50 2720.6362),(51 2763.2935),(52 2772.2861),(53 2745.8796),(54 2727.126),(55 2763.096),(56 2722.7146),(57 2750.7507),(58 2834.9275),(59 2752.369),(60 2765.4946),(61 2809.7046),(62 2776.8167),(63 2743.2935),(64 2795.9807),(65 2740.539),(66 2741.3564),(67 2794.028),(68 2751.1262),(69 2730.4468),(70 2748.3462),(71 2733.638),(72 2706.3606),(73 2739.4968),(74 2660.2747),(75 2689.2336),(76 2749.8384),(77 2785.2178),(78 2806.277),(79 2872.914),
(1 883.55457),(2 1277.6615),(3 1526.9724),(4 1690.906),(5 1943.463),(6 2004.8567),(7 2072.048),(8 2164.0073),(9 2209.7869),(10 2233.8462),(11 2284.9578),(12 2269.5278),(13 2287.1768),(14 2337.891),(15 2343.1426),(16 2356.2327),(17 2441.5657),(18 2419.4885),(19 2419.7417),(20 2443.3564),(21 2397.1345),(22 2395.4536),(23 2421.9553),(24 2388.201),(25 2406.6028),(26 2467.071),(27 2457.261),(28 2449.2576),(29 2506.7708),(30 2522.1353),(31 2546.5288),(32 2522.2668),(33 2530.7124),(34 2546.8345),(35 2562.3),(36 2543.7063),(37 2563.7515),(38 2524.5693),(39 2520.9268),(40 2534.851),(41 2494.1084),(42 2468.9897),(43 2478.326),(44 2450.6152),(45 2437.9697),(46 2494.356),(47 2470.3882),(48 2490.9858),(49 2537.415),(50 2511.98),(51 2548.249),(52 2559.6877),(53 2555.9434),(54 2567.5889),(55 2620.5283),(56 2632.5044),(57 2650.1362),(58 2737.7522),(59 2689.5632),(60 2704.3496),(61 2762.796),(62 2733.5027),(63 2734.0095),(64 2769.7498),(65 2706.7825),(66 2664.0627),(67 2717.3284),(68 2663.0288),(69 2649.319),(70 2687.256),(71 2647.5378),(72 2628.5938),(73 2658.4429),(74 2620.9097),(75 2625.542),(76 2639.2988),(77 2615.4426),(78 2650.7368),(79 2686.5251),
(1 894.87146),(2 1287.5773),(3 1531.712),(4 1709.5519),(5 1977.6554),(6 2059.6116),(7 2132.6802),(8 2225.0898),(9 2268.244),(10 2279.7463),(11 2311.5388),(12 2293.9678),(13 2300.2427),(14 2359.6973),(15 2350.4631),(16 2383.0986),(17 2472.816),(18 2425.3433),(19 2446.7737),(20 2461.319),(21 2422.9343),(22 2451.7732),(23 2514.2715),(24 2473.0896),(25 2474.8987),(26 2515.328),(27 2485.062),(28 2460.8984),(29 2525.3455),(30 2490.826),(31 2530.6858),(32 2499.0747),(33 2520.1765),(34 2555.6125),(35 2532.2239),(36 2508.8506),(37 2525.0674),(38 2490.9868),(39 2492.1802),(40 2518.4102),(41 2482.442),(42 2466.8481),(43 2468.1213),(44 2448.8193),(45 2431.421),(46 2478.8025),(47 2454.676),(48 2472.238),(49 2528.3835),(50 2516.7888),(51 2527.6077),(52 2561.2107),(53 2572.627),(54 2601.6157),(55 2651.1174),(56 2640.6172),(57 2683.599),(58 2765.244),(59 2747.8337),(60 2757.4905),(61 2801.865),(62 2784.4524),(63 2784.0608),(64 2824.7405),(65 2758.2195),(66 2735.8083),(67 2772.2795),(68 2725.1665),(69 2726.8423),(70 2773.071),(71 2725.4917),(72 2713.9998),(73 2718.9387),(74 2690.6663),(75 2687.0125),(76 2734.8772),(77 2721.4236),(78 2718.3167),(79 2813.5876),
