1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6967.228),(2 21284.514),(3 41102.426),(4 62297.996),(5 87935.87),(6 114725.98),(7 146909.3),(8 185690.83),(9 226868.56),(10 264261.6),(11 309582.9),(12 344216.5),(13 387104.9),(14 428389.6),(15 467112.84),(16 500926.16),(17 530822.94),(18 558611.44),(19 586856.7),(20 613279.06),(21 644316.2),(22 677955.25),(23 717637.06),(24 758156.25),(25 801213.7),(26 845846.8),(27 890859.2),(28 930265.5),(29 957707.5),(30 968688.06),(31 956655.5),(32 945010.7),(33 931677.25),(34 912336.2),(35 891344.06),(36 874056.5),(37 851808.2),(38 838397.56),(39 831717.3),(40 828576.3),(41 822635.5),(42 806594.44),(43 789813.8),(44 777670.8),(45 757982.94),(46 726951.8),(47 685575.8),(48 640506.94),(49 594135.5),(50 553156.44),(51 528198.1),(52 518221.84),(53 516259.22),(54 521007.63),(55 536281.25),(56 555392.2),(57 584535.9),(58 613458.7),(59 639591.7),(60 657969.56),(61 671063.9),(62 690126.25),(63 716814.5),(64 736666.3),(65 751467.2),(66 767178.5),(67 784997.06),(68 810844.44),(69 838007),(70 859333.2),(71 877100.2),(72 881766.3),(73 892458),(74 902456.3),(75 902128.2),(76 907858.06),(77 915013.56),(78 916135.8),(79 917635.5),
(1 823.88837),(2 1468.1833),(3 1998.4612),(4 2368.6907),(5 2678.483),(6 2909.293),(7 3144.6248),(8 3332.282),(9 3501.6277),(10 3622.6067),(11 3772.4678),(12 3905.5676),(13 4076.2502),(14 4174.633),(15 4277.9595),(16 4354.11),(17 4398.8066),(18 4467.435),(19 4525.042),(20 4578.013),(21 4630.585),(22 4675.5283),(23 4716.295),(24 4773.257),(25 4830.6016),(26 4882.345),(27 4956.5615),(28 4988.3213),(29 5032.209),(30 5046.0366),(31 5066.4634),(32 5080.7974),(33 5086.931),(34 5113.394),(35 5122.787),(36 5153.0083),(37 5146.2544),(38 5159.693),(39 5180.4556),(40 5151.123),(41 5169.081),(42 5176.2285),(43 5197.0527),(44 5236.616),(45 5214.72),(46 5234.787),(47 5244.298),(48 5242.0273),(49 5246.1084),(50 5247.629),(51 5277.9663),(52 5278.282),(53 5283.319),(54 5300.7896),(55 5316.5313),(56 5317.3687),(57 5351.4385),(58 5358.5825),(59 5390.9795),(60 5430.302),(61 5448.0693),(62 5466.5635),(63 5504.6245),(64 5534.018),(65 5550.9907),(66 5583.0166),(67 5602.629),(68 5620.9355),(69 5625.012),(70 5684.8647),(71 5722.51),(72 5709.151),(73 5726.6084),(74 5726.106),(75 5744.775),(76 5704.5313),(77 5728.7393),(78 5735.0547),(79 5733.576),
(1 839.19305),(2 1474.0986),(3 1985.1263),(4 2359.8171),(5 2642.9011),(6 2876.3452),(7 3092.209),(8 3261.045),(9 3424.846),(10 3561.924),(11 3708.8062),(12 3799.9104),(13 3976.0022),(14 4084.5908),(15 4194.0205),(16 4269.3145),(17 4342.5503),(18 4429.9165),(19 4479.087),(20 4550.1177),(21 4595.677),(22 4632.451),(23 4659.9863),(24 4699.7896),(25 4744.331),(26 4800.7827),(27 4842.446),(28 4871.396),(29 4894.1704),(30 4884.379),(31 4882.352),(32 4887.5303),(33 4917.112),(34 4934.806),(35 4969.1465),(36 5015.738),(37 5066.9575),(38 5103.48),(39 5116.047),(40 5110.35),(41 5127.648),(42 5158.5474),(43 5200.744),(44 5248.8774),(45 5254.8574),(46 5279.628),(47 5312.448),(48 5314.175),(49 5330.5967),(50 5358.4224),(51 5395.8574),(52 5393.9077),(53 5429.145),(54 5476.163),(55 5502.287),(56 5513.9106),(57 5544.3184),(58 5560.646),(59 5598.099),(60 5620.6445),(61 5639.3223),(62 5636.9844),(63 5685.3003),(64 5659.6196),(65 5677.3247),(66 5666.869),(67 5663.543),(68 5656.783),(69 5642.7617),(70 5671.2397),(71 5686.4375),(72 5681.074),(73 5681.4165),(74 5669.5894),(75 5660.868),(76 5643.507),(77 5657.244),(78 5659.146),(79 5710.3525),
(1 824.97815),(2 1445.7238),(3 1958.7595),(4 2324.9058),(5 2606.7336),(6 2848.336),(7 3082.3),(8 3274.2744),(9 3443.0051),(10 3610.4187),(11 3753.8494),(12 3857.4307),(13 4019.4075),(14 4128.437),(15 4236.871),(16 4293.3574),(17 4334.7446),(18 4405.301),(19 4425.825),(20 4475.1685),(21 4509.244),(22 4531.3745),(23 4552.3843),(24 4575.2856),(25 4600.262),(26 4644.256),(27 4707.696),(28 4729.578),(29 4749.014),(30 4779.7373),(31 4820.5713),(32 4881.5845),(33 4874.2383),(34 4841.2817),(35 4832.159),(36 4830.3765),(37 4839.3896),(38 4835.223),(39 4809.0825),(40 4806.968),(41 4803.748),(42 4826.056),(43 4844.872),(44 4874.29),(45 4901.472),(46 4930.9067),(47 4993.2),(48 4995.3257),(49 5033.1387),(50 5086.3994),(51 5099.369),(52 5119.0566),(53 5158.6416),(54 5213.0054),(55 5231.7896),(56 5224.3687),(57 5218.5313),(58 5202.7837),(59 5225.7266),(60 5223.5444),(61 5255.4604),(62 5270.793),(63 5302.252),(64 5337.939),(65 5349.409),(66 5324.315),(67 5314.285),(68 5303.987),(69 5292.505),(70 5302.6953),(71 5308.9995),(72 5315.303),(73 5307.281),(74 5298.664),(75 5301.5996),(76 5278.5713),(77 5291.1655),(78 5282.232),(79 5291.963),
(1 806.004),(2 1407.7198),(3 1920.437),(4 2264.822),(5 2534.9473),(6 2765.915),(7 2981.5151),(8 3173.4158),(9 3332.5835),(10 3507.0317),(11 3666.1125),(12 3792.245),(13 3969.266),(14 4097.5493),(15 4200.7207),(16 4263.3325),(17 4309.1953),(18 4378.5273),(19 4417.227),(20 4464.2173),(21 4504.2104),(22 4548.655),(23 4588.843),(24 4611.051),(25 4655.9673),(26 4710.5044),(27 4736.8057),(28 4749.5815),(29 4737.745),(30 4775.7173),(31 4815.1606),(32 4854.6606),(33 4869.0977),(34 4859.8135),(35 4902.396),(36 4910.951),(37 4926.745),(38 4966.393),(39 4976.9277),(40 4964.3003),(41 4958.0894),(42 4958.9956),(43 4954.782),(44 4981.1577),(45 4992.458),(46 5007.0083),(47 5054.315),(48 5061.525),(49 5097.1016),(50 5117.613),(51 5156.664),(52 5190.554),(53 5210.129),(54 5201.771),(55 5219.706),(56 5215.9023),(57 5207.9375),(58 5222.379),(59 5252.666),(60 5266.7197),(61 5254.673),(62 5274.6567),(63 5307.2266),(64 5303),(65 5286.69),(66 5304.448),(67 5309.244),(68 5305.8594),(69 5301.037),(70 5319.271),(71 5310.2734),(72 5335.8545),(73 5319.4805),(74 5310.7363),(75 5325.9116),(76 5343.4453),(77 5354.099),(78 5379.713),(79 5389.8677),
(1 803.117),(2 1411.552),(3 1936.7594),(4 2286.8853),(5 2552.3782),(6 2782.232),(7 2973.3042),(8 3149.66),(9 3303.996),(10 3438.66),(11 3563.5837),(12 3647.5068),(13 3821.2131),(14 3912.2136),(15 4032.588),(16 4126.857),(17 4201.1714),(18 4273.8286),(19 4328.145),(20 4355.6646),(21 4407.752),(22 4458.476),(23 4495.329),(24 4550.527),(25 4580.8657),(26 4654.9785),(27 4680.654),(28 4710.6577),(29 4732.1245),(30 4782.992),(31 4840.339),(32 4859.618),(33 4888.24),(34 4916.4507),(35 4951.0083),(36 4950.5225),(37 4989.3076),(38 5035.406),(39 5082.014),(40 5065.2085),(41 5076.956),(42 5097.058),(43 5116.245),(44 5122.9746),(45 5104.255),(46 5138.791),(47 5143.576),(48 5146.1025),(49 5187.5303),(50 5199.48),(51 5255.1475),(52 5275.695),(53 5297.0166),(54 5321.8794),(55 5330.5776),(56 5330.808),(57 5335.1597),(58 5343.4424),(59 5345.6187),(60 5300.01),(61 5289.046),(62 5295.224),(63 5307.1465),(64 5262.1626),(65 5232.073),(66 5216.4995),(67 5195.0205),(68 5166.7905),(69 5159.6357),(70 5175.6655),(71 5166.6577),(72 5158.3174),(73 5183.045),(74 5204.985),(75 5227.92),(76 5251.127),(77 5231.5615),(78 5258.7324),(79 5261.9917),
(1 793.8913),(2 1403.1863),(3 1928.4125),(4 2269.8154),(5 2563.4736),(6 2808.0989),(7 3016.9175),(8 3188.8125),(9 3330.0437),(10 3458.088),(11 3566.9211),(12 3655.9194),(13 3790.2708),(14 3880.1182),(15 3968.9724),(16 4036.8591),(17 4103.338),(18 4184.7754),(19 4250.345),(20 4258.147),(21 4306.6675),(22 4343.19),(23 4395.876),(24 4440.972),(25 4471.6924),(26 4508.057),(27 4551.8936),(28 4588.3594),(29 4623.4297),(30 4625.4766),(31 4665.0757),(32 4679.7886),(33 4697.683),(34 4716.839),(35 4770.4434),(36 4780.525),(37 4815.949),(38 4842.158),(39 4871.3496),(40 4879.889),(41 4881.7627),(42 4886.7603),(43 4934.474),(44 4955.5044),(45 4991.357),(46 5043.1357),(47 5051.2197),(48 5072.1543),(49 5133.0947),(50 5158.4844),(51 5210.4106),(52 5204.037),(53 5219.5684),(54 5204.1187),(55 5192.654),(56 5183.9126),(57 5170.874),(58 5177.6323),(59 5177.3306),(60 5153.5493),(61 5169.752),(62 5159.1274),(63 5176.403),(64 5185.218),(65 5191.5073),(66 5193.183),(67 5195.889),(68 5162.2583),(69 5122.875),(70 5127.177),(71 5148.794),(72 5152.9585),(73 5176.9624),(74 5220.7505),(75 5234.6978),(76 5225.5654),(77 5237.1353),(78 5236.03),(79 5261.196),
(1 800.4733),(2 1394.737),(3 1896.9955),(4 2236.6848),(5 2519.308),(6 2762.858),(7 2984.042),(8 3164.2842),(9 3342.8838),(10 3477.7456),(11 3593.1775),(12 3683.5698),(13 3836.842),(14 3927.9817),(15 4053.0012),(16 4114.329),(17 4181.5264),(18 4254.572),(19 4309.6563),(20 4350.1514),(21 4417.7007),(22 4485.155),(23 4566.7056),(24 4612.2124),(25 4621.926),(26 4650.6465),(27 4701.5845),(28 4701.2993),(29 4718.2046),(30 4744.3647),(31 4772.6255),(32 4806.3013),(33 4829.0645),(34 4867.714),(35 4920.313),(36 4950.0186),(37 4977.5176),(38 5016.551),(39 5020.1206),(40 5010.3574),(41 5030.2334),(42 5025.1084),(43 5068.9526),(44 5104.545),(45 5118.6533),(46 5157.9785),(47 5157.3496),(48 5162.6973),(49 5206.829),(50 5214.7324),(51 5218.336),(52 5234.3213),(53 5244.1123),(54 5252.252),(55 5246.6626),(56 5221.815),(57 5192.571),(58 5184.9614),(59 5172.5703),(60 5130.7676),(61 5134.786),(62 5150.2183),(63 5183.123),(64 5152.6025),(65 5128.7817),(66 5127.718),(67 5129.4585),(68 5110.6377),(69 5084.418),(70 5096.673),(71 5113.9087),(72 5144.592),(73 5138.416),(74 5159.266),(75 5159.276),(76 5170.0244),(77 5193.181),(78 5211.7456),(79 5211.3345),
(1 771.93823),(2 1330.8134),(3 1815.2046),(4 2140.5315),(5 2386.943),(6 2617.0881),(7 2808.3179),(8 2978.6372),(9 3141.0352),(10 3293.8076),(11 3428.216),(12 3524.7073),(13 3671.741),(14 3778.2217),(15 3901.9414),(16 3981.605),(17 4053.8423),(18 4095.0015),(19 4153.6587),(20 4192.324),(21 4220.423),(22 4308.9395),(23 4361.057),(24 4392.2817),(25 4449.164),(26 4462.027),(27 4523.529),(28 4546.9297),(29 4567.936),(30 4602.657),(31 4629.471),(32 4634.3745),(33 4652.6973),(34 4669.6284),(35 4711.609),(36 4724.4688),(37 4758.844),(38 4782.078),(39 4793.743),(40 4800.2104),(41 4820.3545),(42 4846.294),(43 4893.093),(44 4927.709),(45 4968.0874),(46 4978.6377),(47 4977.296),(48 4986.829),(49 5007.749),(50 5029.9727),(51 5045.1885),(52 5065.605),(53 5097.6084),(54 5086.8154),(55 5101.8926),(56 5099.0225),(57 5096.3105),(58 5099.8916),(59 5104.5684),(60 5101.0825),(61 5115.799),(62 5130.682),(63 5153.172),(64 5161.7495),(65 5175.2666),(66 5170.0093),(67 5178.857),(68 5181.7646),(69 5160.3037),(70 5167.6504),(71 5194.4746),(72 5201.752),(73 5174.5537),(74 5198.029),(75 5237.575),(76 5220.6587),(77 5239.0986),(78 5256.815),(79 5256.5796),
(1 772.0742),(2 1322.7839),(3 1802.1963),(4 2126.0356),(5 2388.292),(6 2632.8665),(7 2853.728),(8 3053.0085),(9 3194.096),(10 3313.0837),(11 3411.1677),(12 3498.5544),(13 3652.3628),(14 3749.1294),(15 3867.4375),(16 3920.101),(17 3975.5435),(18 3984.9956),(19 4005.1),(20 4053.4236),(21 4093.497),(22 4155.384),(23 4191.298),(24 4223.3916),(25 4279.823),(26 4326.067),(27 4360.542),(28 4372.5713),(29 4397.7964),(30 4441.8247),(31 4501.8364),(32 4544.4565),(33 4569.105),(34 4603.5786),(35 4636.2134),(36 4665.1187),(37 4714.5615),(38 4740.0225),(39 4754.6177),(40 4750.417),(41 4773.527),(42 4790.528),(43 4822.886),(44 4824.6187),(45 4848.523),(46 4858.337),(47 4860.3916),(48 4854.8857),(49 4861.936),(50 4883.566),(51 4907.8867),(52 4931.788),(53 4932.4727),(54 4928.8306),(55 4918.4277),(56 4915.6685),(57 4919.0073),(58 4914.9424),(59 4899.812),(60 4879.798),(61 4921.2783),(62 4942.771),(63 4998.001),(64 5015.1934),(65 5009.031),(66 5021.3945),(67 5018.383),(68 5022.1465),(69 5004.4976),(70 5010.0337),(71 5033.897),(72 5034.8164),(73 5024.836),(74 5023.305),(75 5017.762),(76 5008.792),(77 5021.1587),(78 5006.996),(79 5026.258),
(1 763.2014),(2 1323.0394),(3 1800.9268),(4 2087.886),(5 2352.577),(6 2589.2444),(7 2796.278),(8 2973.303),(9 3097.0027),(10 3217.252),(11 3309.826),(12 3392.1914),(13 3522.2566),(14 3609.7383),(15 3726),(16 3795.8823),(17 3872.0742),(18 3912.3328),(19 3950.128),(20 4012.0999),(21 4065.8667),(22 4116.492),(23 4148.6675),(24 4197.715),(25 4242.8823),(26 4304.0513),(27 4356.545),(28 4382.703),(29 4414.0435),(30 4469.3438),(31 4521.946),(32 4573.6396),(33 4597.951),(34 4604.915),(35 4630.2524),(36 4616.9316),(37 4634.444),(38 4641.7383),(39 4670.711),(40 4651.1665),(41 4657.0356),(42 4647.667),(43 4633.682),(44 4633.2695),(45 4610.5117),(46 4610.169),(47 4614.4204),(48 4594.751),(49 4631.747),(50 4657.8477),(51 4687.0776),(52 4692.747),(53 4682.286),(54 4689.341),(55 4685.585),(56 4679.904),(57 4687.0674),(58 4694.5474),(59 4682.388),(60 4666.3115),(61 4660.6577),(62 4677.3027),(63 4709.283),(64 4706.3755),(65 4718.9463),(66 4751.2197),(67 4803.7817),(68 4833.509),(69 4865.51),(70 4887.042),(71 4912.5894),(72 4936.012),(73 4968.5957),(74 4976.088),(75 5002.154),(76 5003.395),(77 5029.6836),(78 5052.5396),(79 5055.7104),
(1 762.05145),(2 1313.3505),(3 1784.6644),(4 2102.0144),(5 2361.6597),(6 2594.4492),(7 2805.995),(8 2961.6028),(9 3112.961),(10 3230.8098),(11 3338.9417),(12 3417.4893),(13 3526.505),(14 3613.9822),(15 3729.932),(16 3794.2874),(17 3886.0962),(18 3925.159),(19 3967.1677),(20 4018.941),(21 4066.4595),(22 4122.802),(23 4179.186),(24 4215.1523),(25 4248.2446),(26 4264.1914),(27 4294.083),(28 4288.457),(29 4295.236),(30 4313.2773),(31 4369.3877),(32 4436.0386),(33 4466.793),(34 4486.5054),(35 4513.305),(36 4517.9507),(37 4533.5728),(38 4553.283),(39 4567.4424),(40 4547.1636),(41 4564.8545),(42 4563.25),(43 4575.8027),(44 4582.1064),(45 4570.4053),(46 4592.001),(47 4595.236),(48 4597.045),(49 4606.024),(50 4614.415),(51 4672.639),(52 4676.1196),(53 4692.84),(54 4694.2163),(55 4690.7676),(56 4676.803),(57 4699.5747),(58 4691.763),(59 4674.6523),(60 4660.997),(61 4648.724),(62 4644.8076),(63 4678.0728),(64 4680.919),(65 4693.087),(66 4684.7734),(67 4689.012),(68 4697.2407),(69 4697.5117),(70 4681.7676),(71 4680.6685),(72 4647.629),(73 4633.7964),(74 4631.8647),(75 4659.893),(76 4643.6597),(77 4629.5884),(78 4664.4565),(79 4659.098),
(1 748.6259),(2 1302.1702),(3 1758.8336),(4 2067.0464),(5 2334.4478),(6 2579.7166),(7 2769.3906),(8 2964.658),(9 3122.239),(10 3243.8992),(11 3379.8958),(12 3495.225),(13 3607.1313),(14 3690.553),(15 3792.1792),(16 3864.4614),(17 3927.7893),(18 3951.0713),(19 4022.2078),(20 4068.8013),(21 4119.5596),(22 4171.786),(23 4205.52),(24 4221.8086),(25 4233.7505),(26 4248.595),(27 4297.2847),(28 4315.7),(29 4312.6426),(30 4325.043),(31 4334.4375),(32 4348.5767),(33 4353.4253),(34 4385.401),(35 4410.6606),(36 4424.265),(37 4442.299),(38 4458.2603),(39 4468.2217),(40 4439.674),(41 4464.993),(42 4505.053),(43 4540.863),(44 4582.6396),(45 4606.616),(46 4642.8784),(47 4664.291),(48 4688.446),(49 4700.492),(50 4711.4224),(51 4735.8413),(52 4726.418),(53 4747.8105),(54 4739.3584),(55 4708.274),(56 4690.0303),(57 4701.1826),(58 4710.087),(59 4734.541),(60 4749.1416),(61 4765.709),(62 4765.8433),(63 4797.3),(64 4827.73),(65 4820.059),(66 4804.674),(67 4814.002),(68 4813.28),(69 4806.1196),(70 4815.1387),(71 4830.603),(72 4848.066),(73 4866.251),(74 4893.831),(75 4906.66),(76 4927.122),(77 4937.182),(78 4941.09),(79 4921.981),
(1 734.66327),(2 1260.8241),(3 1717.5619),(4 2002.3726),(5 2253.5723),(6 2472.842),(7 2658.0554),(8 2835.7651),(9 2976.7625),(10 3097.6636),(11 3238.7156),(12 3358.8413),(13 3494.9272),(14 3618.038),(15 3735.2434),(16 3795.8264),(17 3852.5483),(18 3904.1526),(19 3951.4155),(20 3991.8794),(21 4041.713),(22 4075.5645),(23 4126.9775),(24 4131.772),(25 4160.3706),(26 4202.2266),(27 4259.0396),(28 4290.8467),(29 4307.6426),(30 4329.401),(31 4369.144),(32 4389.799),(33 4414.84),(34 4436.812),(35 4453.3647),(36 4475.332),(37 4484.9004),(38 4489.353),(39 4492.4463),(40 4464.7),(41 4479.886),(42 4479.8506),(43 4506.7373),(44 4513.32),(45 4522.6763),(46 4564.557),(47 4575.986),(48 4599.3394),(49 4626.8384),(50 4661.894),(51 4693.147),(52 4686.602),(53 4683.757),(54 4693.3457),(55 4687.748),(56 4685.409),(57 4701.0938),(58 4650.4263),(59 4641.4463),(60 4637.5757),(61 4644.9785),(62 4635.1104),(63 4636.2085),(64 4676.452),(65 4682.29),(66 4714.445),(67 4735.6187),(68 4749.2344),(69 4751.132),(70 4743.046),(71 4778.7954),(72 4781.203),(73 4792.614),(74 4787.2124),(75 4774.0986),(76 4776.437),(77 4769.884),(78 4779.0703),(79 4767.2188),
(1 740.1553),(2 1280.8193),(3 1744.1713),(4 2043.3262),(5 2293.9575),(6 2541.4482),(7 2741.5486),(8 2925.597),(9 3073.804),(10 3206.2368),(11 3332.9292),(12 3453.025),(13 3598.0703),(14 3686.07),(15 3776.2378),(16 3824.832),(17 3871.5637),(18 3916.2202),(19 3926.0295),(20 3961.6494),(21 3996.0427),(22 4029.8027),(23 4076.3726),(24 4094.013),(25 4130.9756),(26 4153.438),(27 4170.134),(28 4178.07),(29 4205.617),(30 4218.3315),(31 4255.61),(32 4256.631),(33 4275.186),(34 4340.341),(35 4384.598),(36 4447.7197),(37 4458.171),(38 4471.624),(39 4518.0444),(40 4524.509),(41 4536.9585),(42 4549.021),(43 4582.977),(44 4624.9644),(45 4647.5957),(46 4685.8506),(47 4704.8203),(48 4713.8594),(49 4748.064),(50 4762.8374),(51 4752.2983),(52 4764.9355),(53 4767.7935),(54 4804.345),(55 4823.757),(56 4830.891),(57 4848.2036),(58 4836.181),(59 4840.445),(60 4849.933),(61 4861.6533),(62 4866.65),(63 4889.4243),(64 4924.181),(65 4957.539),(66 4969.096),(67 4976.015),(68 4955.8145),(69 4935.921),(70 4922.556),(71 4901.689),(72 4887.4995),(73 4870.6963),(74 4853.11),(75 4857.458),(76 4840.599),(77 4803.024),(78 4786.1714),(79 4789.05),
(1 729.59906),(2 1262.8191),(3 1706.0289),(4 1989.9875),(5 2223.9922),(6 2427.3845),(7 2610.623),(8 2777.225),(9 2910.3418),(10 3035.6084),(11 3153.535),(12 3266.9397),(13 3415.7014),(14 3511.0605),(15 3610.3762),(16 3656.3748),(17 3713.964),(18 3764.5886),(19 3810.7466),(20 3874.6807),(21 3939.8105),(22 3971.3042),(23 4019.806),(24 4063.2966),(25 4096.3345),(26 4130.7617),(27 4180.3145),(28 4175.6587),(29 4205.9224),(30 4247.3687),(31 4292.336),(32 4313.208),(33 4327.4946),(34 4361.059),(35 4418.863),(36 4474.4004),(37 4494.463),(38 4521.08),(39 4564.193),(40 4587.868),(41 4586.659),(42 4583.047),(43 4585.3457),(44 4587.0884),(45 4590.6064),(46 4621.845),(47 4631.7715),(48 4623.5083),(49 4650.84),(50 4711.6553),(51 4715.2295),(52 4743.699),(53 4761.1553),(54 4801.181),(55 4809.9272),(56 4816.138),(57 4814.742),(58 4774.8174),(59 4771.1147),(60 4773.468),(61 4770.5947),(62 4796.5674),(63 4830.396),(64 4847.973),(65 4872.881),(66 4884.6787),(67 4872.6924),(68 4887.1807),(69 4890.2476),(70 4878.8804),(71 4842.3965),(72 4840.623),(73 4794.943),(74 4780.6445),(75 4798.4556),(76 4778.2666),(77 4766.738),(78 4757.4194),(79 4771.7637),
(1 725.2752),(2 1233.7773),(3 1702.0455),(4 2003.2078),(5 2246.4548),(6 2465.3398),(7 2644.8506),(8 2803.0266),(9 2939.4229),(10 3054.3113),(11 3168.6946),(12 3259.7446),(13 3411.686),(14 3508.7742),(15 3600.381),(16 3639.9922),(17 3686.134),(18 3749.5508),(19 3776.5144),(20 3819.167),(21 3874.8652),(22 3901.2627),(23 3942.1519),(24 3993.2136),(25 4008.0012),(26 4060.1875),(27 4111.2925),(28 4149.5425),(29 4149.9355),(30 4137.994),(31 4178.7607),(32 4184.9463),(33 4179.236),(34 4183.8257),(35 4182.2017),(36 4232.237),(37 4268.3247),(38 4277.1484),(39 4291.9756),(40 4317.958),(41 4339.145),(42 4354.704),(43 4332.1704),(44 4338.1016),(45 4318.217),(46 4327.6016),(47 4339.151),(48 4352.249),(49 4350.5854),(50 4345.4517),(51 4350.541),(52 4373.357),(53 4398.3687),(54 4436.228),(55 4432.958),(56 4432.883),(57 4430.454),(58 4410.177),(59 4424.9805),(60 4437.632),(61 4437.2163),(62 4455.0234),(63 4442.5454),(64 4471.39),(65 4463.326),(66 4469.951),(67 4472.2017),(68 4483.4272),(69 4492.108),(70 4484.8433),(71 4490.236),(72 4498.1196),(73 4470.9707),(74 4468.8267),(75 4487.0996),(76 4497.081),(77 4495.8813),(78 4479.6084),(79 4483.139),
