1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 109537.125),(2 184759.67),(3 234285.69),(4 470150.25),(5 694329),(6 894616.06),(7 1249308.9),(8 1610425.9),(9 1960377.6),(10 2440182),(11 2963679.3),(12 3465028.8),(13 4144183),(14 4804487.5),(15 5502202.5),(16 6272343.5),(17 7173466),(18 8039616.5),(19 9002304),(20 10060220),(21 11267048),(22 12297125),(23 13575949),(24 14678688),(25 15713355),(26 16861072),(27 17950386),(28 18942672),(29 20211108),(30 21220906),(31 22225596),(32 23350454),(33 24367024),(34 25275094),(35 26360010),(36 27598390),(37 28527218),(38 29719270),(39 30834992),(40 31793582),(41 32944262),(42 33929356),(43 34785740),(44 35717696),(45 36610436),(46 37364410),(47 38396704),(48 39329204),(49 40180704),(50 41204430),(51 42333372),(52 43227348),(53 44552770),(54 45795730),(55 47069504),(56 48560640),(57 49937364),(58 51178228),(59 52639840),(60 54076076),(61 55304492),(62 56729068),(63 58125188),(64 59258924),(65 60740204),(66 62207892),(67 63367100),(68 64837372),(69 66306068),(70 67547990),(71 69073000),(72 70463930),(73 71765816),(74 73246810),(75 74747170),(76 75782480),(77 77112696),(78 78385860),(79 79357800),
(1 38361.082),(2 139566.05),(3 276967.53),(4 421836),(5 553285.44),(6 661525.5),(7 742847),(8 796931.3),(9 825072.5),(10 835291.5),(11 836448.94),(12 836234.7),(13 840516.56),(14 851171.3),(15 863790.9),(16 878244.94),(17 890940.06),(18 900517.56),(19 907317.6),(20 908791.8),(21 906093.5),(22 907475.06),(23 911848.5),(24 917395.75),(25 926875.3),(26 938582.1),(27 948790.9),(28 955199.5),(29 955634.2),(30 948430.1),(31 933679.94),(32 915028.8),(33 895299.94),(34 878961.44),(35 868309),(36 861990.7),(37 861439.3),(38 863624),(39 866778.8),(40 871790.56),(41 875588.94),(42 881529.1),(43 884768.94),(44 886485.8),(45 884241.44),(46 877282.75),(47 866476.5),(48 855122.2),(49 843730.8),(50 836217.1),(51 830126.44),(52 824985.5),(53 819937.75),(54 814204.7),(55 808629.1),(56 803423.5),(57 800002.06),(58 795302.1),(59 790933.56),(60 787357),(61 783897.8),(62 784557.25),(63 786396.94),(64 792079.4),(65 802177.44),(66 821651.75),(67 846936.56),(68 875608.3),(69 905083.6),(70 936524.56),(71 963580.3),(72 979439),(73 985965.56),(74 980201.2),(75 968199.75),(76 950842.06),(77 931169.44),(78 912933.3),(79 898105.3),
(1 35531.51),(2 129569.56),(3 257578.88),(4 387953.5),(5 499541.25),(6 585099.1),(7 643748.94),(8 675792.7),(9 686738.44),(10 687712.94),(11 683789.7),(12 685933.3),(13 698484.06),(14 721256.06),(15 746916.75),(16 770698.2),(17 789384.7),(18 802446.44),(19 812176.5),(20 818929.7),(21 821248.8),(22 825994),(23 831271.2),(24 837440.8),(25 847715.3),(26 862187.7),(27 875677.2),(28 886089.2),(29 887206.5),(30 881506.8),(31 870262.75),(32 859723.25),(33 852441.25),(34 851353.8),(35 854635.5),(36 860852.25),(37 867487.7),(38 874137.5),(39 877450),(40 879957.25),(41 880567.3),(42 879898.7),(43 874571.7),(44 863144.8),(45 847418.2),(46 830012.7),(47 815395.7),(48 802284.2),(49 791761),(50 787444.25),(51 787278.25),(52 790512.7),(53 797078.7),(54 804496.5),(55 812226.3),(56 822471.5),(57 831529.5),(58 837612),(59 840666.8),(60 837749.75),(61 832545.3),(62 829065.2),(63 826435.7),(64 827347.2),(65 831913.3),(66 841843.2),(67 855082),(68 870865.25),(69 888494.44),(70 905716.8),(71 919159.75),(72 930555.8),(73 941067.3),(74 950338.2),(75 959017.5),(76 967344.2),(77 975280.2),(78 982210.2),(79 987540.3),
(1 35643.848),(2 130287.664),(3 256520),(4 383321.63),(5 491672.13),(6 574842.7),(7 628907.9),(8 656535.7),(9 665756),(10 670138.94),(11 671630.5),(12 681160.06),(13 701035),(14 730003),(15 759542.2),(16 784791.1),(17 801620.4),(18 810210.56),(19 817557.8),(20 824632.7),(21 833560.25),(22 846771.3),(23 862237.94),(24 877304.75),(25 892251.5),(26 902529.9),(27 907541.4),(28 909867.94),(29 908553.3),(30 902207.25),(31 890140.5),(32 878202.9),(33 868064),(34 861980.6),(35 858428.6),(36 856322.8),(37 857686.9),(38 861179.6),(39 862682.6),(40 864531.4),(41 864955.56),(42 861860.75),(43 852538.3),(44 834839.56),(45 813508.06),(46 791925.1),(47 773858.1),(48 755322.3),(49 742038.25),(50 731877.9),(51 723873.94),(52 720761.7),(53 722363.94),(54 727308.6),(55 735145.3),(56 743248.06),(57 749926.44),(58 752325.44),(59 751384.06),(60 750266.25),(61 754177.4),(62 758649.5),(63 762438.7),(64 769131.56),(65 778806.8),(66 793933.5),(67 808927.94),(68 821173.5),(69 829706.7),(70 836604.9),(71 836823.6),(72 830960.4),(73 825500.9),(74 821213.94),(75 822059.7),(76 826333.5),(77 829649),(78 832589.94),(79 836977.44),
(1 32266.17),(2 115857.3),(3 226286),(4 339923.72),(5 441731.22),(6 526620.25),(7 591539.7),(8 634824.2),(9 660752.3),(10 674480.5),(11 683494.2),(12 693934.7),(13 711328.94),(14 733941.44),(15 758812),(16 781413),(17 800208.8),(18 813069.3),(19 823424.5),(20 830942.2),(21 835900.5),(22 839124.3),(23 838541.44),(24 837207.7),(25 837944.06),(26 838078.8),(27 835354.8),(28 828605),(29 816555.75),(30 800153.44),(31 781644.5),(32 764287.75),(33 751661.25),(34 744802.2),(35 744346.8),(36 748096.6),(37 756234.2),(38 767173),(39 778025.6),(40 787796.2),(41 795940.25),(42 803342.2),(43 806442.1),(44 804894.2),(45 797526.5),(46 785256.8),(47 771627.8),(48 757597),(49 745142.4),(50 737444.9),(51 733983.3),(52 736724.2),(53 745517.25),(54 756928.7),(55 769946.4),(56 784141.3),(57 797426.9),(58 809666.5),(59 814128.94),(60 811794.56),(61 807328.2),(62 801334.9),(63 795362.25),(64 793333.94),(65 791529.2),(66 790238.44),(67 789936.6),(68 793763.2),(69 800144.5),(70 809128.94),(71 814116.9),(72 817313.2),(73 819959.7),(74 818367.1),(75 814209.94),(76 810565.1),(77 808640.7),(78 807799),(79 809122.56),
(1 32422.902),(2 116600.82),(3 227302.2),(4 338385.63),(5 434681.94),(6 509785.25),(7 559163.4),(8 583796.2),(9 595632.94),(10 603775),(11 611175.6),(12 622608),(13 640912.5),(14 663776.9),(15 686072.2),(16 707914.1),(17 727235.5),(18 743164.5),(19 757461.25),(20 769316.4),(21 775443.5),(22 777224.3),(23 773914.56),(24 767964.1),(25 761413.5),(26 754829.8),(27 745865.75),(28 736871.4),(29 728474.5),(30 721543.44),(31 716754.6),(32 713792.1),(33 709156.56),(34 704438.2),(35 699863.7),(36 693840.5),(37 688616.06),(38 681485.06),(39 674448.6),(40 666155.25),(41 658443.8),(42 651102.75),(43 643141),(44 634216.06),(45 623038.56),(46 612627.25),(47 604062.75),(48 597973.4),(49 594101.25),(50 594025.2),(51 599222),(52 610140.8),(53 624770.75),(54 639092.6),(55 651460.6),(56 663787.1),(57 675373.6),(58 685643.5),(59 694063.5),(60 697596.75),(61 697433.25),(62 696496),(63 691496.4),(64 688863.5),(65 684484.1),(66 679847.8),(67 676122.06),(68 675084.06),(69 675536.8),(70 679661.06),(71 686535.4),(72 697192.9),(73 709466.25),(74 722677.7),(75 734949.8),(76 745213.4),(77 751904.44),(78 756922.56),(79 760139.94),
(1 33639.684),(2 120548.65),(3 234742.53),(4 349248),(5 448160.2),(6 525853.75),(7 580279.56),(8 611144.25),(9 627512.8),(10 631281.9),(11 628698.1),(12 627425.3),(13 630554.1),(14 641722.7),(15 658879.3),(16 679013.4),(17 700142.7),(18 717017.06),(19 730044.7),(20 737890.44),(21 741946.1),(22 743733.44),(23 743308.94),(24 740360.4),(25 736852.25),(26 731395.75),(27 725639.75),(28 722767.06),(29 719355.3),(30 719143.4),(31 722147.44),(32 727604.8),(33 734141.3),(34 739391.9),(35 740685.94),(36 739259.75),(37 737336.9),(38 732084.25),(39 725564.8),(40 717637.25),(41 707719.56),(42 696854.3),(43 686599.56),(44 676142.8),(45 668949.44),(46 664249.9),(47 663196),(48 660291.25),(49 657793.9),(50 656218.9),(51 656701.2),(52 658623.7),(53 663245.4),(54 668574.94),(55 674227.06),(56 680151.44),(57 686567.44),(58 693666.56),(59 699593.75),(60 705756),(61 711841.06),(62 716364.1),(63 716552.25),(64 716576.4),(65 715864.8),(66 715130.6),(67 712925.4),(68 710345.94),(69 708220.7),(70 710294.25),(71 712548.94),(72 714181.75),(73 714327.6),(74 714928.3),(75 717752.06),(76 723219.3),(77 726016.56),(78 728750.06),(79 732358.56),
(1 32465.166),(2 115106.23),(3 219949.73),(4 322033.7),(5 407575.22),(6 473794.4),(7 522884.53),(8 559374.94),(9 586192.7),(10 604764.5),(11 618735.5),(12 629812),(13 641589.56),(14 654962.56),(15 669641.7),(16 686756.8),(17 705442.56),(18 725888.06),(19 748404.25),(20 769230.06),(21 784487.25),(22 793394.44),(23 797273.2),(24 800740.25),(25 803448.75),(26 803676.7),(27 799303.6),(28 788973.1),(29 774856.44),(30 761488.9),(31 752266.94),(32 748769.4),(33 747090.1),(34 743231.9),(35 735668.3),(36 722806.6),(37 709188.8),(38 695249.5),(39 682805.1),(40 669983.2),(41 658733.06),(42 650569.9),(43 645574.25),(44 644283.75),(45 647617.1),(46 653648.6),(47 659606.2),(48 662920.4),(49 665423.94),(50 665544.6),(51 664230.94),(52 660706.94),(53 658411),(54 652486.2),(55 644931.4),(56 641112.06),(57 643288.6),(58 648918.5),(59 654714.8),(60 657188.1),(61 661759.4),(62 670477.2),(63 678157.4),(64 687327.56),(65 692967.1),(66 696897.5),(67 699160.4),(68 698876.8),(69 698411.75),(70 701957.44),(71 707359.56),(72 717758.44),(73 730788.75),(74 742827),(75 754282.56),(76 764516.6),(77 771117.9),(78 774503.25),(79 775800.7),
(1 34003.18),(2 121436.11),(3 232388.31),(4 338493.03),(5 426148.56),(6 490301.7),(7 530479.7),(8 550305.44),(9 555396.5),(10 549359.75),(11 542551.7),(12 540216.3),(13 541736.6),(14 544355.44),(15 544339.75),(16 543830.25),(17 544523.75),(18 548574.9),(19 559199.2),(20 575715.6),(21 592986.5),(22 609084.3),(23 621262.8),(24 632202.1),(25 640952.9),(26 646466.5),(27 648467.8),(28 647077.25),(29 645154.44),(30 644143.6),(31 644959.25),(32 645180.5),(33 642940.9),(34 635746.7),(35 622369.2),(36 602958.94),(37 582877.75),(38 563825.06),(39 547297.7),(40 536378.2),(41 528723.25),(42 527509.94),(43 534295.44),(44 547245.6),(45 561678.94),(46 572658.94),(47 580199.9),(48 582177.4),(49 578526.25),(50 570576.8),(51 561386.4),(52 550369.6),(53 540004.2),(54 529838.8),(55 523421.97),(56 524303.9),(57 534009.8),(58 549089.75),(59 565454.6),(60 580254.06),(61 592045.06),(62 600100.6),(63 601861.56),(64 600240.1),(65 595532.44),(66 592465.4),(67 592125.8),(68 593450.1),(69 597252.9),(70 608619.4),(71 624070.94),(72 641636.56),(73 657639.2),(74 668617.2),(75 676287.9),(76 679300.25),(77 678081.94),(78 676275.25),(79 675660.5),
(1 30646.201),(2 106758.914),(3 199178.84),(4 283258.78),(5 349827.22),(6 395604.6),(7 422934),(8 437159.38),(9 441624.97),(10 441710.4),(11 443485.97),(12 450678.25),(13 462934.8),(14 475306.22),(15 485808.13),(16 494755.56),(17 502262.78),(18 509588.4),(19 518124.53),(20 526573.1),(21 533392.1),(22 539617),(23 542865.4),(24 543642.1),(25 543413.6),(26 542546.5),(27 542027.94),(28 544541.1),(29 551470.94),(30 563472.4),(31 578979.8),(32 592596.9),(33 600278.7),(34 599331.94),(35 590747.3),(36 574049.3),(37 553969.5),(38 532244.06),(39 510445.13),(40 492398.9),(41 479652.56),(42 473757.66),(43 471793.97),(44 473890.9),(45 479566.2),(46 484538.8),(47 485760.1),(48 481886.7),(49 474366.7),(50 466669.6),(51 459093.44),(52 451385.03),(53 443332.8),(54 435751.06),(55 430781.78),(56 431491.2),(57 437665.2),(58 445865.2),(59 454759.78),(60 462435.66),(61 469059.3),(62 475829.3),(63 478534.13),(64 482159.6),(65 484834.72),(66 487204.25),(67 491506.56),(68 497981.38),(69 506486.3),(70 519082.2),(71 530549.3),(72 540716.06),(73 548183.2),(74 552074.75),(75 553457.06),(76 551262.6),(77 545890.4),(78 539214.4),(79 533816.6),
(1 30998.549),(2 106475.55),(3 195775.22),(4 275820.28),(5 334459.8),(6 368329.1),(7 380819.22),(8 381561.44),(9 380988.22),(10 385434.22),(11 398491.8),(12 420189.2),(13 447259.3),(14 473865.56),(15 492941.2),(16 504876.3),(17 513766.38),(18 522507.8),(19 533499.9),(20 547427.06),(21 562068.56),(22 576052.5),(23 585648.75),(24 589615.8),(25 587553.06),(26 583382.3),(27 582046.9),(28 585813.06),(29 594187.56),(30 605387.25),(31 616286.7),(32 622547.44),(33 622870.06),(34 616758),(35 604414.7),(36 586346.06),(37 568977.6),(38 554242.7),(39 542076.8),(40 530926.56),(41 519514.5),(42 509407.53),(43 501044.84),(44 493838.3),(45 488179.6),(46 484128.34),(47 480555.84),(48 474810.66),(49 465887.7),(50 455398.75),(51 442848.38),(52 430128),(53 419136.97),(54 409671.66),(55 400949.16),(56 396740.5),(57 399459.53),(58 406069.56),(59 413304.2),(60 419665.1),(61 424985.66),(62 429726.78),(63 433229.88),(64 438279.7),(65 442919.5),(66 449971.66),(67 457439.47),(68 467440.53),(69 478015),(70 490697.13),(71 502530.8),(72 513311.6),(73 522205.63),(74 527381.5),(75 529547.6),(76 526727.25),(77 520787.47),(78 512194.88),(79 503485.2),
(1 29885.162),(2 102897.23),(3 191482.36),(4 273597.78),(5 336690.6),(6 375788.63),(7 397138.72),(8 409851.88),(9 417492.5),(10 423296.94),(11 431652.34),(12 443687.88),(13 458506.94),(14 474279),(15 487627.78),(16 500336.03),(17 511844.9),(18 522048.94),(19 532701),(20 541505.3),(21 547402.4),(22 550366.4),(23 547537.25),(24 540870.5),(25 535592.5),(26 535771.56),(27 543162.25),(28 557730.8),(29 575757.56),(30 592554.44),(31 605047.3),(32 610140.6),(33 608136.6),(34 601216.56),(35 590291.94),(36 578134.6),(37 565199.5),(38 552461.44),(39 539938.6),(40 526718),(41 515421.44),(42 507920.7),(43 504534.53),(44 503741.94),(45 504361.03),(46 505040.22),(47 504539.28),(48 499824.8),(49 491524.13),(50 482929.56),(51 476390.4),(52 472865.22),(53 472175.38),(54 472891.7),(55 472331),(56 472884.75),(57 474626.53),(58 476066.28),(59 477002.16),(60 476973.2),(61 478482.6),(62 483006.84),(63 488047.56),(64 497230.47),(65 506746.94),(66 514930.4),(67 520398.28),(68 522907.06),(69 524063.94),(70 528320),(71 532849),(72 535606.44),(73 534183.9),(74 526892.2),(75 517595.8),(76 510173.72),(77 505453.84),(78 503865.1),(79 504514.28),
(1 33916.37),(2 116932.54),(3 214269.9),(4 299156.34),(5 360003.3),(6 396091.66),(7 414412.9),(8 421482.03),(9 423621.7),(10 425513.06),(11 430305.4),(12 438654.28),(13 451480),(14 466683.53),(15 480571.84),(16 491882.13),(17 500412.63),(18 504440.75),(19 507254.78),(20 507547.25),(21 504529.94),(22 498735.97),(23 492158.34),(24 488591.06),(25 489700.2),(26 494701.34),(27 503645.47),(28 515374.8),(29 527284.6),(30 537060.06),(31 542064.06),(32 541689.9),(33 537907.44),(34 532552.56),(35 526534.06),(36 521171.25),(37 517102.44),(38 513725.22),(39 511704.25),(40 510278.22),(41 509233.28),(42 508264.28),(43 507519.8),(44 506982.28),(45 508893.94),(46 511506.44),(47 513317.47),(48 513735.6),(49 511131.9),(50 506194.16),(51 499928.25),(52 489216.3),(53 478077.9),(54 466383.2),(55 455425.7),(56 448394.28),(57 447439.7),(58 450082.47),(59 453366.34),(60 456803.66),(61 460803.8),(62 465742.9),(63 467091.03),(64 467528.4),(65 464814.7),(66 462187.9),(67 457490.56),(68 454011.38),(69 452939.88),(70 458018),(71 467263.72),(72 478102.72),(73 487980.28),(74 494232.7),(75 497888.38),(76 501287.75),(77 501826.28),(78 501135.13),(79 500371.8),
(1 28381.666),(2 95856.09),(3 173073.86),(4 238373.97),(5 284420.47),(6 311358.44),(7 323256.53),(8 326884.84),(9 327644.78),(10 331142.84),(11 340293.44),(12 354562),(13 371970.84),(14 390213.03),(15 406957.47),(16 421323.8),(17 432385.78),(18 438487.13),(19 442523.94),(20 446499.8),(21 448313.16),(22 448775),(23 449454.78),(24 452736.72),(25 460239.94),(26 474112.1),(27 490479.72),(28 507989.5),(29 522637),(30 532688.8),(31 536114.8),(32 533490.94),(33 527248.3),(34 518200.34),(35 508011.6),(36 498337.63),(37 489594.25),(38 481016.66),(39 473533.75),(40 466836.7),(41 462773),(42 460710.2),(43 458199.38),(44 454547.25),(45 450436.75),(46 444758.44),(47 437728.78),(48 430834.5),(49 425402.22),(50 423666.84),(51 425240.56),(52 429229.9),(53 432426.06),(54 433906.84),(55 431061.94),(56 424856.16),(57 415392.3),(58 406104.66),(59 397017.8),(60 388274.78),(61 383142.66),(62 383702.56),(63 385711.72),(64 389886.78),(65 394282.7),(66 400384.6),(67 406944.28),(68 412083.16),(69 414634.8),(70 417019.6),(71 417794.3),(72 416111.13),(73 413954.38),(74 414107.4),(75 420475.3),(76 431186.1),(77 443308.8),(78 455533.75),(79 467049.22),
(1 29088.004),(2 98853.79),(3 177918.98),(4 244089.22),(5 290489.38),(6 318493.63),(7 332716.38),(8 340429.06),(9 346203.13),(10 354402.34),(11 366019.72),(12 381857.56),(13 401776.25),(14 423549.03),(15 442369.53),(16 456340.53),(17 464676.53),(18 468270.75),(19 468203),(20 464045.3),(21 454335.4),(22 444016.7),(23 436400.53),(24 435789),(25 444423.5),(26 459605.44),(27 476082.9),(28 489089.56),(29 497523.06),(30 500471.47),(31 497103.94),(32 490232.53),(33 482480.75),(34 474380.34),(35 468624.9),(36 465737.22),(37 464343.22),(38 462755.63),(39 460198.44),(40 454648.06),(41 446773.3),(42 438571.63),(43 431776.53),(44 425706.63),(45 420567.72),(46 415704),(47 414988.16),(48 417315.6),(49 421011.3),(50 423365.06),(51 424521.56),(52 425373.72),(53 427034.94),(54 428577.2),(55 427715.53),(56 425828.66),(57 423534.94),(58 421960.8),(59 421395.16),(60 422394.47),(61 426089.7),(62 430924.47),(63 431560.6),(64 429370.78),(65 423424.53),(66 416620.75),(67 410952.16),(68 406452.97),(69 404762.03),(70 407897.7),(71 415333.84),(72 425343.1),(73 437511.88),(74 446314.84),(75 451722.56),(76 453864.2),(77 453074.7),(78 450878.75),(79 450363.1),
(1 27829.285),(2 93076.54),(3 166350.17),(4 226320.56),(5 265583.34),(6 285328.63),(7 293115.1),(8 295433.03),(9 295461.94),(10 299255.56),(11 307037.22),(12 318612.75),(13 332595.75),(14 345978.75),(15 354837.88),(16 359952.88),(17 362316.6),(18 362512.16),(19 362215),(20 361986.97),(21 362600.13),(22 364657.16),(23 368565.47),(24 376895.94),(25 391017.9),(26 405083.34),(27 416428.8),(28 423773),(29 426353.13),(30 423855.78),(31 417999.63),(32 410345.8),(33 402880.16),(34 396349.66),(35 393434.3),(36 392934.78),(37 395583.9),(38 399101.3),(39 400679.5),(40 402088.56),(41 402840.88),(42 401942),(43 397659.5),(44 391108.13),(45 384220.56),(46 376210.06),(47 368206.66),(48 361633.25),(49 358784.88),(50 359088.13),(51 362152.8),(52 366263.94),(53 370189),(54 372230.34),(55 370377.47),(56 365745.53),(57 361094.56),(58 356130.9),(59 352541.5),(60 352217.94),(61 354689.97),(62 359606.66),(63 361992.44),(64 365381.3),(65 369137.66),(66 372952.03),(67 373368.88),(68 371982.84),(69 371107),(70 371994.7),(71 373519.34),(72 377506.34),(73 384371.44),(74 391756.13),(75 399412.97),(76 405470.75),(77 408697.66),(78 410909.38),(79 411641.16),
(1 29966.348),(2 102207.56),(3 186329.89),(4 260286.44),(5 312270),(6 341994.47),(7 357062.28),(8 364030.5),(9 365992.72),(10 366891.38),(11 370813.3),(12 375693.4),(13 382340),(14 389176.88),(15 394994.8),(16 399941.22),(17 402322.88),(18 401629.84),(19 399950.56),(20 397556.78),(21 394985.25),(22 395589.78),(23 398699.63),(24 405466.13),(25 414573.34),(26 425432.97),(27 436479.38),(28 445093),(29 448680.34),(30 449545.16),(31 447918.78),(32 445894.63),(33 444329.44),(34 444185.38),(35 446547.16),(36 448981.22),(37 449710.84),(38 448247.5),(39 443968.06),(40 438408.78),(41 432114.16),(42 426728.06),(43 422383.6),(44 418655.25),(45 412725.94),(46 403452.63),(47 394331.03),(48 384720.47),(49 377525.63),(50 372922.06),(51 368214.66),(52 362888.66),(53 359174.66),(54 358094.28),(55 358575.6),(56 361116),(57 364820.28),(58 368934.53),(59 372399.78),(60 373963.75),(61 373373.44),(62 373255.8),(63 370794.16),(64 371463.22),(65 373356.16),(66 377063.28),(67 380262.1),(68 384976.63),(69 391812.03),(70 398742.44),(71 403585.34),(72 406799.72),(73 409271.66),(74 409482.7),(75 409341.7),(76 409485.94),(77 408695.8),(78 407030.44),(79 406843.16),
(1 30214.365),(2 100925.73),(3 180277.75),(4 247444.9),(5 291789.16),(6 312634.38),(7 318558.84),(8 318386.97),(9 315361.28),(10 313344.7),(11 314782),(12 320165.56),(13 327952.8),(14 335508.6),(15 341009),(16 343995.25),(17 344043.25),(18 342581.1),(19 341472.94),(20 342301.56),(21 344325.8),(22 350140.6),(23 361041.56),(24 373737.34),(25 384601.72),(26 391007.66),(27 394155.2),(28 393397.2),(29 389302.72),(30 383682.72),(31 378053.4),(32 374655.28),(33 371978.72),(34 369955.6),(35 368858.66),(36 369409.7),(37 370246.44),(38 370509.03),(39 371735.8),(40 374643.75),(41 378232.8),(42 381169.5),(43 381628.4),(44 378938.84),(45 373577.16),(46 368221),(47 363415.22),(48 360056.06),(49 358048.1),(50 355316.34),(51 352025.72),(52 348244.2),(53 344681.8),(54 342155.53),(55 338931.1),(56 335671.66),(57 334124.4),(58 333579.88),(59 333159.78),(60 333722.5),(61 336123.38),(62 339959.06),(63 341448.97),(64 342814.03),(65 345041.16),(66 348867.78),(67 353215),(68 357578.5),(69 361552.6),(70 366468.13),(71 370938.2),(72 374481.97),(73 377798.13),(74 379570.7),(75 379883.6),(76 380058.78),(77 381610.3),(78 385776.3),(79 390305.63),
(1 26909.465),(2 90274.75),(3 161378.9),(4 220883.97),(5 260324.94),(6 283622.47),(7 298619.88),(8 311980),(9 323643.78),(10 334040.53),(11 343156.8),(12 347844.44),(13 347248.22),(14 343086.78),(15 339041.38),(16 338824.28),(17 342700.3),(18 346957.53),(19 349421.9),(20 347072.53),(21 344421.5),(22 344352.63),(23 346878.88),(24 350784.53),(25 354439.25),(26 356236.4),(27 357077.2),(28 356408.28),(29 352421.53),(30 348823.28),(31 346582.34),(32 347078.66),(33 349977.84),(34 355756.97),(35 363895.84),(36 370956.47),(37 374697.28),(38 377173.72),(39 378021.03),(40 378630.4),(41 378406.94),(42 376977.34),(43 374758.9),(44 373119.13),(45 370545.2),(46 367331.47),(47 365629.28),(48 363821.4),(49 361395.1),(50 359915.1),(51 358074.06),(52 355264.8),(53 352120.44),(54 350174.28),(55 348099.34),(56 345139.84),(57 341208.28),(58 336984.06),(59 332535.8),(60 329503.6),(61 328682.1),(62 332255.2),(63 335621.03),(64 341879.03),(65 346495.44),(66 350379.53),(67 353433.3),(68 355066.28),(69 355281.5),(70 357194.16),(71 358496.03),(72 359014.94),(73 360937.75),(74 363966.66),(75 368402.22),(76 373036.88),(77 376680.38),(78 381837.56),(79 386529.6),
