1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11139.376),(2 27110.111),(3 55895.656),(4 81839.77),(5 115388.875),(6 150645.05),(7 190865.3),(8 227958.19),(9 266554.6),(10 302640.5),(11 343358.72),(12 380398),(13 416017.5),(14 449194.34),(15 479863.9),(16 506864.6),(17 535514.3),(18 562090.8),(19 592003.06),(20 623467.94),(21 659142.8),(22 703912.25),(23 749317.94),(24 794359.2),(25 846421.94),(26 891227.5),(27 950136.8),(28 1005395.8),(29 1065594.4),(30 1126107),(31 1194268.5),(32 1267982.3),(33 1332741.3),(34 1407257.9),(35 1490369.5),(36 1575377.6),(37 1651979.5),(38 1733344.6),(39 1822423),(40 1899700.1),(41 1980113),(42 2064823.4),(43 2144068),(44 2211537.3),(45 2282131),(46 2359014.8),(47 2435886),(48 2514311.8),(49 2593484.8),(50 2675003),(51 2760443.3),(52 2841105),(53 2932487),(54 3040526.8),(55 3156727.8),(56 3278333.3),(57 3399166),(58 3511707.3),(59 3629594),(60 3744050.8),(61 3884397),(62 4019796),(63 4168191.3),(64 4309481.5),(65 4459714.5),(66 4598952),(67 4708656.5),(68 4822058.5),(69 4938188),(70 5089210.5),(71 5234998.5),(72 5380228.5),(73 5544486.5),(74 5703176),(75 5850222),(76 5978340),(77 6124754.5),(78 6266593.5),(79 6400180),
(1 219.63593),(2 269.22922),(3 290.63983),(4 300.73532),(5 311.40515),(6 318.01532),(7 328.28107),(8 335.43097),(9 331.79764),(10 336.99313),(11 336.9054),(12 346.63242),(13 341.55023),(14 336.92972),(15 340.50992),(16 335.96933),(17 339.77954),(18 344.0741),(19 347.94238),(20 341.10083),(21 337.1619),(22 343.27286),(23 345.3761),(24 344.50482),(25 347.79437),(26 348.89087),(27 349.49838),(28 350.61423),(29 350.1214),(30 354.84753),(31 354.7788),(32 356.93347),(33 356.02954),(34 360.2877),(35 353.60522),(36 351.852),(37 355.59363),(38 354.4876),(39 355.3178),(40 356.33447),(41 353.78888),(42 354.11917),(43 354.55417),(44 355.48044),(45 356.62418),(46 357.58328),(47 356.05923),(48 355.56326),(49 360.49548),(50 355.49805),(51 356.3188),(52 356.35907),(53 359.60217),(54 358.39777),(55 353.73206),(56 352.88937),(57 348.9622),(58 352.90924),(59 350.2154),(60 350.696),(61 350.64233),(62 357.37036),(63 351.67712),(64 351.57028),(65 353.4349),(66 348.71664),(67 350.45584),(68 349.6202),(69 350.80615),(70 355.90714),(71 356.412),(72 355.9143),(73 352.30957),(74 356.7603),(75 352.0866),(76 348.16446),(77 346.83093),(78 352.57434),(79 352.31326),
(1 217.56152),(2 272.188),(3 293.25604),(4 300.83112),(5 307.7573),(6 313.2407),(7 323.93768),(8 325.58917),(9 324.05377),(10 331.10056),(11 332.63232),(12 338.97678),(13 333.2929),(14 338.03375),(15 333.98795),(16 340.69278),(17 344.52438),(18 345.95322),(19 352.0387),(20 349.21228),(21 346.13306),(22 345.93045),(23 349.41022),(24 349.93387),(25 353.98257),(26 350.79175),(27 354.93985),(28 354.92963),(29 353.0654),(30 350.62778),(31 351.29648),(32 352.3117),(33 347.88596),(34 346.4805),(35 348.17184),(36 348.3689),(37 349.7667),(38 350.6069),(39 353.0621),(40 351.1668),(41 348.5767),(42 351.46152),(43 355.36127),(44 352.25757),(45 348.9715),(46 352.66473),(47 353.473),(48 352.9123),(49 360.3945),(50 361.25272),(51 355.08377),(52 351.37558),(53 353.27753),(54 350.7609),(55 351.1399),(56 350.3396),(57 347.33228),(58 360.44824),(59 356.3898),(60 353.73398),(61 355.82373),(62 363.86813),(63 365.85144),(64 362.03473),(65 364.26785),(66 362.8385),(67 358.1007),(68 356.85468),(69 354.2275),(70 359.4663),(71 359.081),(72 365.2496),(73 366.74432),(74 364.97174),(75 367.48145),(76 362.97842),(77 357.06277),(78 363.06815),(79 360.83997),
(1 207.79706),(2 254.26376),(3 277.46826),(4 289.4482),(5 293.14706),(6 300.8274),(7 308.57706),(8 310.74023),(9 311.20258),(10 311.5286),(11 313.365),(12 318.77197),(13 314.28806),(14 319.12488),(15 315.0744),(16 310.476),(17 319.79797),(18 321.4173),(19 323.0471),(20 325.5747),(21 324.74704),(22 324.7923),(23 323.33447),(24 325.63123),(25 323.60303),(26 323.69418),(27 330.553),(28 328.47647),(29 331.13342),(30 327.7054),(31 327.0699),(32 327.93503),(33 327.90564),(34 327.31296),(35 324.764),(36 326.498),(37 327.33786),(38 325.82846),(39 329.8289),(40 330.22116),(41 327.83835),(42 329.5651),(43 332.1548),(44 333.74323),(45 335.08615),(46 337.9743),(47 338.7824),(48 337.6665),(49 339.17865),(50 344.53885),(51 342.8133),(52 344.5987),(53 345.58603),(54 343.76273),(55 343.44727),(56 339.10266),(57 345.33087),(58 346.66238),(59 344.27374),(60 344.1567),(61 343.36783),(62 345.0021),(63 346.2413),(64 338.2459),(65 340.7727),(66 342.71262),(67 337.16885),(68 342.92233),(69 341.52774),(70 342.75067),(71 339.84714),(72 346.883),(73 344.03278),(74 343.70004),(75 349.8715),(76 347.04968),(77 343.23737),(78 344.18292),(79 343.84506),
(1 209.52896),(2 254.0291),(3 274.29245),(4 281.79382),(5 289.59802),(6 296.14752),(7 298.7246),(8 305.54742),(9 307.0642),(10 306.96414),(11 310.28143),(12 314.1177),(13 313.90775),(14 319.78503),(15 317.2033),(16 316.3824),(17 320.28305),(18 321.14145),(19 325.3326),(20 330.84628),(21 327.67407),(22 333.0209),(23 329.5336),(24 331.3307),(25 331.1342),(26 330.65295),(27 329.9635),(28 332.2667),(29 329.262),(30 328.4985),(31 333.33078),(32 330.8605),(33 330.24026),(34 331.315),(35 330.36346),(36 327.78693),(37 325.85446),(38 331.90332),(39 332.74203),(40 329.8023),(41 334.47232),(42 334.6853),(43 336.66922),(44 335.21652),(45 337.8602),(46 336.86526),(47 334.7586),(48 336.49762),(49 337.76096),(50 337.48434),(51 338.9783),(52 338.5842),(53 334.0402),(54 339.16125),(55 336.94934),(56 330.5693),(57 337.1888),(58 338.5563),(59 335.90375),(60 335.45618),(61 336.67648),(62 338.30383),(63 339.86163),(64 341.76517),(65 340.80728),(66 341.8012),(67 342.18698),(68 348.63925),(69 340.44498),(70 341.28098),(71 340.55438),(72 344.46762),(73 344.12256),(74 347.00476),(75 342.01154),(76 340.49924),(77 337.13123),(78 342.1209),(79 341.51196),
(1 202.91985),(2 245.93697),(3 266.509),(4 276.33954),(5 285.21396),(6 292.6574),(7 297.45474),(8 298.86154),(9 301.61838),(10 301.62448),(11 302.0703),(12 307.1421),(13 308.27493),(14 305.76376),(15 307.87448),(16 309.98282),(17 313.98395),(18 313.52698),(19 316.92572),(20 316.05347),(21 310.8055),(22 314.40787),(23 310.08588),(24 314.14063),(25 313.42514),(26 317.61835),(27 319.41364),(28 320.74808),(29 321.06787),(30 325.05698),(31 324.42508),(32 321.2353),(33 318.68732),(34 317.19415),(35 317.93176),(36 320.08826),(37 321.20215),(38 321.31738),(39 319.76938),(40 319.47586),(41 322.38477),(42 322.09467),(43 322.9096),(44 318.80734),(45 316.54932),(46 314.68417),(47 313.26413),(48 318.1356),(49 317.92535),(50 316.75504),(51 314.1843),(52 323.37643),(53 319.50143),(54 318.87314),(55 318.7665),(56 323.51733),(57 322.08395),(58 325.32077),(59 326.23538),(60 329.18307),(61 330.15668),(62 327.07053),(63 328.27948),(64 326.23087),(65 327.35696),(66 326.35654),(67 324.5579),(68 328.2454),(69 325.5294),(70 325.03186),(71 320.91068),(72 322.7724),(73 326.15503),(74 325.4),(75 323.8679),(76 325.44415),(77 323.87598),(78 327.10037),(79 328.2114),
(1 204.98973),(2 244.19409),(3 264.6576),(4 275.4358),(5 284.12225),(6 286.8714),(7 293.14383),(8 296.82553),(9 299.06454),(10 297.34885),(11 302.5165),(12 308.80542),(13 311.18533),(14 311.08636),(15 312.8103),(16 312.13263),(17 314.61865),(18 318.4282),(19 322.21487),(20 322.76852),(21 318.9066),(22 325.89716),(23 322.8483),(24 323.84387),(25 324.93082),(26 326.888),(27 327.43973),(28 321.91922),(29 325.55566),(30 324.50156),(31 321.0606),(32 317.76166),(33 316.69873),(34 319.2709),(35 314.86136),(36 317.89252),(37 316.24673),(38 321.01825),(39 323.3704),(40 320.3954),(41 323.7294),(42 320.49387),(43 317.20953),(44 318.32318),(45 318.31168),(46 318.12314),(47 314.42822),(48 314.08676),(49 316.2205),(50 315.4281),(51 314.47537),(52 314.24722),(53 315.99023),(54 317.5401),(55 316.19205),(56 321.0769),(57 317.9837),(58 321.76584),(59 327.22736),(60 321.85843),(61 326.55466),(62 329.46222),(63 328.3068),(64 328.04672),(65 325.59293),(66 332.5313),(67 326.53745),(68 331.94565),(69 329.46692),(70 327.32648),(71 320.6855),(72 325.5283),(73 326.40628),(74 330.60046),(75 330.72168),(76 326.92014),(77 327.76068),(78 330.7938),(79 329.59515),
(1 197.51698),(2 238.7371),(3 258.76242),(4 267.27127),(5 268.88666),(6 279.1299),(7 287.498),(8 289.68732),(9 288.69022),(10 290.27963),(11 292.3564),(12 295.1863),(13 294.70285),(14 296.72797),(15 298.893),(16 302.18472),(17 300.25327),(18 305.66754),(19 311.78894),(20 307.79224),(21 308.3966),(22 315.80386),(23 312.4176),(24 317.46478),(25 312.83755),(26 316.14636),(27 323.46472),(28 317.45816),(29 321.80673),(30 321.32642),(31 323.12878),(32 323.26987),(33 326.4836),(34 323.9474),(35 322.97098),(36 321.72403),(37 317.95798),(38 323.8991),(39 320.06207),(40 322.658),(41 321.43097),(42 322.02457),(43 324.02155),(44 325.44193),(45 328.0284),(46 325.4345),(47 322.14667),(48 323.81546),(49 326.0553),(50 326.08762),(51 323.3577),(52 316.65103),(53 317.63318),(54 316.63016),(55 318.3766),(56 320.5059),(57 318.52557),(58 321.4945),(59 322.98416),(60 324.27753),(61 319.98764),(62 323.62637),(63 322.66708),(64 324.4323),(65 322.41885),(66 324.9417),(67 324.24722),(68 328.8483),(69 328.96426),(70 326.2463),(71 320.95953),(72 322.5078),(73 326.2792),(74 329.31894),(75 329.4055),(76 324.28784),(77 325.87857),(78 331.63895),(79 330.88464),
(1 197.5671),(2 235.6726),(3 255.34158),(4 265.49283),(5 274.016),(6 283.47232),(7 286.21442),(8 291.98224),(9 291.81958),(10 297.68234),(11 296.1345),(12 301.21695),(13 297.94568),(14 298.04587),(15 296.62125),(16 297.41556),(17 299.77896),(18 299.85666),(19 299.8873),(20 302.42007),(21 301.5305),(22 305.8739),(23 304.61),(24 305.73383),(25 302.4175),(26 311.74084),(27 306.03867),(28 309.14273),(29 312.6951),(30 308.95648),(31 312.42337),(32 307.57928),(33 312.1463),(34 310.08423),(35 307.76648),(36 307.4657),(37 305.0242),(38 306.79602),(39 307.64743),(40 303.5954),(41 303.41788),(42 303.36392),(43 307.46686),(44 308.34253),(45 310.50244),(46 309.85425),(47 314.82404),(48 314.04962),(49 313.92023),(50 318.9325),(51 322.8909),(52 320.42282),(53 324.1313),(54 318.31924),(55 315.89862),(56 315.11145),(57 313.48447),(58 316.75003),(59 313.6347),(60 317.08032),(61 313.87393),(62 316.73743),(63 320.8727),(64 319.08557),(65 323.4257),(66 320.0473),(67 320.09775),(68 322.13068),(69 316.18185),(70 316.0201),(71 316.32892),(72 315.25732),(73 315.59717),(74 316.64206),(75 315.17838),(76 314.00958),(77 315.60907),(78 323.56183),(79 321.95963),
(1 195.45598),(2 234.7444),(3 250.8557),(4 260.8517),(5 266.88867),(6 275.51538),(7 275.11755),(8 281.6233),(9 282.5002),(10 284.58386),(11 289.97556),(12 285.2501),(13 285.99466),(14 290.13385),(15 287.93234),(16 290.1913),(17 292.10306),(18 289.1286),(19 293.00308),(20 294.9993),(21 295.68973),(22 302.6582),(23 297.8951),(24 299.1511),(25 298.6395),(26 302.10776),(27 305.07346),(28 303.5954),(29 301.2256),(30 306.2685),(31 308.62363),(32 306.503),(33 305.81918),(34 309.91483),(35 306.59656),(36 305.6193),(37 308.84122),(38 308.74432),(39 309.6338),(40 310.0848),(41 311.63776),(42 311.827),(43 309.76703),(44 312.15057),(45 315.4341),(46 317.01514),(47 312.62137),(48 315.85455),(49 318.2024),(50 321.49966),(51 322.09247),(52 319.1754),(53 320.204),(54 322.26892),(55 318.545),(56 317.48553),(57 316.89886),(58 315.7935),(59 316.21188),(60 315.7503),(61 319.0616),(62 314.80527),(63 317.0484),(64 317.11993),(65 315.6873),(66 312.65552),(67 309.62064),(68 312.6483),(69 311.91217),(70 312.2375),(71 310.20132),(72 313.12128),(73 313.34076),(74 314.99246),(75 317.14526),(76 315.9235),(77 314.71024),(78 315.13376),(79 310.85764),
(1 191.60196),(2 227.13225),(3 245.47176),(4 249.57225),(5 258.57513),(6 267.1844),(7 275.6924),(8 275.57806),(9 277.1701),(10 280.6912),(11 282.23984),(12 283.18918),(13 283.18488),(14 284.954),(15 281.57916),(16 282.47433),(17 282.84897),(18 287.7128),(19 287.85196),(20 289.39612),(21 291.0587),(22 296.35443),(23 296.6054),(24 296.555),(25 297.56268),(26 302.2851),(27 293.55338),(28 298.38495),(29 299.03806),(30 296.54123),(31 295.50308),(32 294.88986),(33 295.25153),(34 296.215),(35 298.4002),(36 299.10318),(37 301.61673),(38 301.4241),(39 304.01468),(40 301.82718),(41 301.49332),(42 301.70078),(43 299.3239),(44 295.69904),(45 299.69064),(46 299.48248),(47 299.25397),(48 299.52872),(49 299.55927),(50 303.2678),(51 305.80182),(52 299.5551),(53 300.5861),(54 302.7266),(55 301.25247),(56 300.32623),(57 304.0679),(58 305.03616),(59 301.41196),(60 302.1856),(61 301.20786),(62 302.35242),(63 302.44766),(64 302.4764),(65 304.59302),(66 304.54166),(67 303.37668),(68 300.77515),(69 300.3792),(70 302.30347),(71 303.6202),(72 304.8485),(73 305.25378),(74 311.3189),(75 312.72705),(76 309.08322),(77 310.70953),(78 312.95886),(79 312.54013),
(1 188.63292),(2 223.08736),(3 239.476),(4 246.44894),(5 254.0851),(6 262.8799),(7 269.99036),(8 271.5105),(9 275.8744),(10 277.89212),(11 281.605),(12 280.58133),(13 281.07568),(14 282.28647),(15 284.36023),(16 280.47314),(17 281.2443),(18 283.31586),(19 280.90424),(20 280.69684),(21 280.55524),(22 282.23068),(23 279.96515),(24 286.41592),(25 284.05814),(26 288.33453),(27 287.88947),(28 287.66214),(29 288.07013),(30 291.02228),(31 288.93976),(32 286.97076),(33 292.33936),(34 293.0948),(35 290.593),(36 287.6787),(37 288.5779),(38 289.55713),(39 294.3133),(40 295.00943),(41 297.02103),(42 296.53943),(43 296.5523),(44 299.9257),(45 298.7063),(46 298.51343),(47 296.84802),(48 300.5644),(49 299.74365),(50 302.50378),(51 301.42776),(52 300.13815),(53 295.58835),(54 290.7887),(55 291.88553),(56 295.21796),(57 294.39493),(58 295.53238),(59 296.50452),(60 297.41785),(61 294.54312),(62 299.5584),(63 297.33673),(64 301.821),(65 300.6795),(66 299.955),(67 302.53195),(68 302.3642),(69 301.48798),(70 303.84686),(71 302.98587),(72 305.80472),(73 304.51678),(74 304.6488),(75 305.40527),(76 303.90588),(77 305.1096),(78 304.15518),(79 299.72327),
(1 188.84308),(2 222.0756),(3 241.32326),(4 249.01315),(5 257.03403),(6 270.18207),(7 273.7675),(8 275.5306),(9 275.0657),(10 279.23965),(11 281.7768),(12 281.89957),(13 281.429),(14 283.15405),(15 283.44016),(16 280.111),(17 278.05875),(18 281.42456),(19 280.60236),(20 287.12372),(21 286.52954),(22 286.8793),(23 288.53433),(24 290.9946),(25 289.7275),(26 291.41266),(27 290.8535),(28 290.80728),(29 288.41275),(30 290.32013),(31 287.11182),(32 284.30505),(33 285.3906),(34 289.2843),(35 284.05365),(36 285.65475),(37 288.08054),(38 286.6665),(39 291.65463),(40 289.25842),(41 290.24957),(42 285.6142),(43 286.70645),(44 289.66357),(45 290.41803),(46 288.2956),(47 288.90875),(48 289.2021),(49 286.2078),(50 290.47473),(51 291.6544),(52 292.73022),(53 292.49634),(54 291.43927),(55 292.56827),(56 290.86084),(57 294.06332),(58 292.304),(59 294.02094),(60 292.34213),(61 294.53918),(62 296.52133),(63 296.3312),(64 299.27795),(65 300.79114),(66 303.02176),(67 303.26584),(68 300.33356),(69 300.04428),(70 302.52988),(71 301.87997),(72 304.76038),(73 303.412),(74 301.89688),(75 304.03287),(76 303.89166),(77 308.26978),(78 310.3648),(79 309.62915),
(1 182.57072),(2 216.47462),(3 229.64919),(4 236.30446),(5 244.47606),(6 249.19325),(7 252.49072),(8 260.132),(9 257.26563),(10 259.6436),(11 265.19135),(12 265.3274),(13 265.01566),(14 269.09564),(15 267.62576),(16 269.54376),(17 268.39423),(18 269.46252),(19 269.2568),(20 273.31122),(21 271.10132),(22 270.74768),(23 269.2758),(24 271.0099),(25 273.77536),(26 274.44177),(27 273.76837),(28 276.05008),(29 275.54282),(30 275.07352),(31 272.95212),(32 271.0602),(33 277.88342),(34 279.34738),(35 277.7769),(36 280.382),(37 281.48575),(38 279.2568),(39 276.55826),(40 274.50345),(41 274.69806),(42 277.7115),(43 278.7547),(44 278.444),(45 280.56726),(46 283.63394),(47 283.4374),(48 288.57385),(49 286.06033),(50 284.2502),(51 284.62512),(52 281.77695),(53 283.9516),(54 282.06903),(55 283.03137),(56 283.02618),(57 281.05878),(58 282.15274),(59 284.41794),(60 287.18686),(61 287.51346),(62 288.2595),(63 294.46774),(64 292.95273),(65 292.28635),(66 294.12994),(67 291.33185),(68 289.0081),(69 285.4578),(70 285.88266),(71 289.69098),(72 290.62704),(73 291.61298),(74 290.2106),(75 295.71677),(76 292.80182),(77 293.37283),(78 296.23328),(79 294.91437),
(1 180.81412),(2 213.94174),(3 227.0969),(4 234.44255),(5 242.74745),(6 248.56361),(7 250.81248),(8 257.6181),(9 255.60269),(10 258.68726),(11 262.40994),(12 265.45358),(13 264.01385),(14 266.66595),(15 268.8196),(16 267.8363),(17 270.13797),(18 272.8425),(19 273.1821),(20 274.26215),(21 275.93716),(22 280.3792),(23 280.87054),(24 285.80487),(25 281.75974),(26 287.16495),(27 285.23083),(28 287.87863),(29 285.72995),(30 282.7753),(31 285.04343),(32 279.5127),(33 284.27313),(34 284.3785),(35 280.41693),(36 281.91904),(37 281.63098),(38 279.43045),(39 283.51453),(40 279.35178),(41 280.01047),(42 279.92508),(43 281.20978),(44 280.34732),(45 278.4936),(46 281.20374),(47 278.745),(48 280.36826),(49 280.14386),(50 280.47827),(51 279.02628),(52 277.13205),(53 277.9031),(54 279.99194),(55 281.25095),(56 277.11356),(57 276.31088),(58 276.5981),(59 279.6397),(60 277.9559),(61 280.22565),(62 281.07565),(63 282.6304),(64 282.99646),(65 283.13568),(66 279.311),(67 279.8445),(68 285.08502),(69 284.90173),(70 287.37863),(71 284.8836),(72 282.0174),(73 281.95004),(74 280.64175),(75 285.49805),(76 286.5884),(77 282.8832),(78 286.78418),(79 282.5598),
(1 176.41422),(2 213.18388),(3 226.22685),(4 234.65561),(5 243.71277),(6 247.0098),(7 248.0227),(8 248.71942),(9 247.58202),(10 250.86052),(11 256.08945),(12 253.90128),(13 257.29425),(14 261.31885),(15 261.1593),(16 260.80753),(17 259.19492),(18 262.58765),(19 262.63602),(20 261.8231),(21 263.73602),(22 266.25674),(23 263.48947),(24 265.7889),(25 268.036),(26 269.73898),(27 272.75006),(28 270.0907),(29 270.93808),(30 273.9471),(31 271.23813),(32 269.43588),(33 269.63998),(34 265.1702),(35 266.94354),(36 267.30716),(37 270.90854),(38 272.54208),(39 269.67523),(40 270.72565),(41 272.25204),(42 272.76077),(43 271.2404),(44 274.43048),(45 274.53793),(46 273.31818),(47 277.89508),(48 276.74408),(49 277.58185),(50 279.3866),(51 277.08063),(52 276.86725),(53 279.9457),(54 279.41855),(55 281.90726),(56 280.9912),(57 277.44754),(58 278.8907),(59 274.5666),(60 275.27176),(61 276.26944),(62 274.1093),(63 276.1362),(64 272.58078),(65 278.30264),(66 275.009),(67 279.31946),(68 277.36926),(69 274.82343),(70 277.86816),(71 273.00943),(72 279.47046),(73 276.3509),(74 273.9703),(75 276.73434),(76 275.64926),(77 272.2254),(78 274.6511),(79 270.5548),
(1 172.37141),(2 203.45663),(3 217.44792),(4 224.92802),(5 231.41539),(6 236.96643),(7 241.9222),(8 244.40947),(9 244.88405),(10 248.72055),(11 249.97162),(12 252.02534),(13 255.75313),(14 256.19354),(15 254.24217),(16 254.79137),(17 259.29846),(18 259.92),(19 260.32858),(20 260.0643),(21 261.38336),(22 264.48032),(23 265.73953),(24 266.2622),(25 265.15384),(26 270.43442),(27 268.00946),(28 268.69037),(29 273.5052),(30 270.15875),(31 272.50665),(32 269.16412),(33 275.08295),(34 273.9538),(35 269.35507),(36 271.1228),(37 269.7792),(38 269.36053),(39 264.4401),(40 266.87216),(41 266.21317),(42 268.87134),(43 267.7595),(44 263.38904),(45 265.6114),(46 266.512),(47 264.66058),(48 263.634),(49 262.28296),(50 262.26306),(51 265.30917),(52 263.9746),(53 260.73642),(54 264.34818),(55 260.039),(56 265.24994),(57 262.43582),(58 260.7243),(59 262.02216),(60 263.57117),(61 265.28967),(62 266.62695),(63 268.15115),(64 267.94727),(65 265.40268),(66 263.05075),(67 266.02887),(68 267.61618),(69 265.80527),(70 270.59027),(71 264.6513),(72 264.88724),(73 265.1216),(74 268.5678),(75 268.37244),(76 266.768),(77 266.54077),(78 266.58102),(79 265.85654),
(1 173.4968),(2 202.55399),(3 211.79118),(4 216.4373),(5 227.19298),(6 229.94765),(7 237.8065),(8 240.92119),(9 240.19907),(10 244.07417),(11 245.57626),(12 245.87793),(13 249.59474),(14 251.02028),(15 251.57356),(16 246.83975),(17 250.91724),(18 252.03372),(19 252.73526),(20 255.53737),(21 258.55267),(22 260.49164),(23 259.2964),(24 260.3841),(25 259.74176),(26 260.7942),(27 263.23413),(28 261.2581),(29 263.92624),(30 261.98047),(31 261.40814),(32 262.72083),(33 262.50314),(34 260.10254),(35 258.15967),(36 261.5465),(37 266.06845),(38 263.1691),(39 262.6832),(40 264.36282),(41 263.5046),(42 261.14514),(43 264.06247),(44 261.02426),(45 263.9936),(46 262.35925),(47 261.5475),(48 263.23856),(49 262.83313),(50 262.9702),(51 259.91168),(52 257.36908),(53 257.92517),(54 257.25912),(55 258.6208),(56 261.6802),(57 262.68015),(58 259.26346),(59 256.92853),(60 258.42148),(61 260.10797),(62 260.10468),(63 261.4635),(64 261.255),(65 259.24728),(66 262.1564),(67 259.86392),(68 260.6445),(69 259.0184),(70 261.95624),(71 258.0352),(72 257.24234),(73 258.44125),(74 257.49924),(75 262.45215),(76 262.1029),(77 260.96762),(78 262.37646),(79 265.00177),
(1 168.89818),(2 201.31761),(3 215.17442),(4 221.03458),(5 220.75813),(6 230.23885),(7 238.09471),(8 241.1035),(9 243.51447),(10 245.30585),(11 247.36502),(12 249.66618),(13 248.88297),(14 247.52023),(15 252.22615),(16 248.33281),(17 251.92635),(18 253.38895),(19 253.8283),(20 253.92844),(21 254.89514),(22 253.63017),(23 256.70175),(24 256.6492),(25 260.24585),(26 262.53122),(27 262.43054),(28 262.69528),(29 261.864),(30 260.45013),(31 262.50037),(32 262.44955),(33 259.2423),(34 256.62344),(35 260.3238),(36 256.4194),(37 259.78937),(38 257.2287),(39 261.17896),(40 260.31235),(41 257.29663),(42 257.80914),(43 261.23804),(44 262.5655),(45 259.5351),(46 258.4878),(47 258.24255),(48 255.05753),(49 258.76987),(50 261.9851),(51 259.04123),(52 259.12265),(53 258.21014),(54 258.54968),(55 256.0429),(56 258.037),(57 258.63177),(58 259.2884),(59 258.70114),(60 259.63965),(61 260.91125),(62 261.17453),(63 263.27454),(64 263.7108),(65 264.1103),(66 264.88678),(67 263.1707),(68 265.93076),(69 261.04236),(70 261.83023),(71 261.80292),(72 264.2874),(73 265.6439),(74 264.75687),(75 262.62894),(76 260.79532),(77 262.72964),(78 261.4172),(79 260.77777),
