1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 2099562.5),(2 3934906.3),(3 4135792),(4 4615686.5),(5 4934707.5),(6 5257469.5),(7 5818194.5),(8 6296613.5),(9 6634298),(10 6858849.5),(11 7015951.5),(12 7083268),(13 7183506.5),(14 7257176),(15 7370362.5),(16 7706874.5),(17 7757478),(18 7556949.5),(19 7558800),(20 7908662.5),(21 7842208.5),(22 8077409.5),(23 8308986.5),(24 7978826),(25 7629736),(26 7604262),(27 7973329.5),(28 8320749.5),(29 8571243),(30 8918161),(31 9392435),(32 9471265),(33 9407168),(34 9369650),(35 9657333),(36 9874188),(37 9997038),(38 10282920),(39 10713539),(40 11399413),(41 11908584),(42 11849557),(43 11957349),(44 12551593),(45 12580376),(46 12632459),(47 12774907),(48 12407261),(49 12120243),(50 11663152),(51 10742972),(52 10571957),(53 10485858),(54 10576433),(55 10515439),(56 10937867),(57 11396472),(58 12048293),(59 12636532),(60 12934048),(61 35161104),(62 45162748),(63 32456400),(64 32323986),(65 32362826),(66 31810890),(67 31837032),(68 32133008),(69 32258104),(70 33187258),(71 34310290),(72 34956908),(73 35760124),(74 37382340),(75 35380790),(76 32206702),(77 22393142),(78 12623224),(79 12285957),
(1 643.1408),(2 1073.374),(3 1390.135),(4 1611.0929),(5 1745.6002),(6 1833.5099),(7 1899.7523),(8 1947.678),(9 2011.221),(10 2044.8636),(11 2066.3982),(12 2096.9602),(13 2154.8281),(14 2185.977),(15 2204.1973),(16 2231.8877),(17 2283.3027),(18 2302.8293),(19 2318.6829),(20 2338.0806),(21 2366.4668),(22 2383.081),(23 2395.2783),(24 2408.1396),(25 2440.8755),(26 2456.1194),(27 2456.3123),(28 2454.6528),(29 2429.8684),(30 2430.552),(31 2445.7925),(32 2413.0369),(33 2406.3262),(34 2372.2573),(35 2352.5168),(36 2341.4426),(37 2342.7407),(38 2315.1384),(39 2292.5137),(40 2268.755),(41 2264.9463),(42 2263.2527),(43 2275.9895),(44 2283.9983),(45 2308.2476),(46 2313.8665),(47 2303.902),(48 2282.536),(49 2295.8372),(50 2316.6096),(51 2325.3433),(52 2332.3398),(53 2348.0635),(54 2346.7073),(55 2335.0408),(56 2329.6045),(57 2337.7502),(58 2325.9436),(59 2311.5515),(60 2306.5276),(61 2270.9653),(62 2246.613),(63 2247.149),(64 2245.1863),(65 2236.8872),(66 2234.5623),(67 2239.8433),(68 2242.2466),(69 2234.788),(70 2222.995),(71 2234.4084),(72 2268.8938),(73 2290.0388),(74 2286.5),(75 2290.1892),(76 2272.802),(77 2302.007),(78 2319.388),(79 2333.961),
(1 636.7835),(2 1064.4528),(3 1373.4642),(4 1597.3678),(5 1735.9303),(6 1823.803),(7 1881.8494),(8 1943.8738),(9 2007.7676),(10 2029.3146),(11 2036.535),(12 2057.853),(13 2116.9036),(14 2139.2126),(15 2163.2878),(16 2199.108),(17 2237.0825),(18 2268.163),(19 2298.6255),(20 2297.3804),(21 2308.7383),(22 2319.4517),(23 2335.7205),(24 2339.607),(25 2361.8086),(26 2367.1929),(27 2355.744),(28 2346.0466),(29 2352.778),(30 2357.5027),(31 2322.8584),(32 2302.8025),(33 2311.8223),(34 2299.0151),(35 2262.2441),(36 2251.6821),(37 2278.5513),(38 2289.128),(39 2260.124),(40 2259.308),(41 2265.9385),(42 2264.1338),(43 2263.7424),(44 2268.5952),(45 2258.427),(46 2248.1243),(47 2245.0952),(48 2236.792),(49 2232.5918),(50 2218.1848),(51 2200.8843),(52 2200.3647),(53 2216.0764),(54 2220.592),(55 2208.9373),(56 2204.2195),(57 2211.1863),(58 2208.4028),(59 2193.9019),(60 2178.3494),(61 2148.2102),(62 2118.2932),(63 2108.8691),(64 2122.241),(65 2106.6697),(66 2108.1685),(67 2134.6614),(68 2153.53),(69 2148.3672),(70 2139.2852),(71 2152.7742),(72 2178.0212),(73 2189.9958),(74 2186.2056),(75 2182.7703),(76 2175.1091),(77 2210.2446),(78 2229.8918),(79 2254.549),
(1 617.09314),(2 1028.0465),(3 1345.488),(4 1574.1083),(5 1712.5986),(6 1791.6909),(7 1851.7583),(8 1908.4152),(9 1984.1996),(10 2012.6503),(11 2040.7472),(12 2066.623),(13 2093.622),(14 2091.2324),(15 2117.9783),(16 2152.7725),(17 2210.634),(18 2227.5151),(19 2240.3704),(20 2244.998),(21 2279.696),(22 2299.8489),(23 2304.8782),(24 2311.0618),(25 2323.4658),(26 2323.066),(27 2304.9446),(28 2315.6729),(29 2332.8948),(30 2353.3918),(31 2335.9133),(32 2285.9797),(33 2267.0378),(34 2239.304),(35 2223.875),(36 2204.0913),(37 2240.6938),(38 2252.097),(39 2238.7668),(40 2209.6492),(41 2226.4604),(42 2225.402),(43 2228.6533),(44 2230.2432),(45 2218.9714),(46 2205.6545),(47 2187.7012),(48 2178.3276),(49 2203.0027),(50 2218.4314),(51 2211.0784),(52 2206.5286),(53 2202.4004),(54 2186.3086),(55 2193.0762),(56 2207.5442),(57 2195.1802),(58 2182.9753),(59 2168.2722),(60 2149.1423),(61 2133.09),(62 2113.7583),(63 2112.3162),(64 2118.982),(65 2114.9956),(66 2113.5413),(67 2119.1917),(68 2121.793),(69 2102.4314),(70 2090.714),(71 2112.4456),(72 2153.764),(73 2153.8857),(74 2152.486),(75 2162.5342),(76 2157.8943),(77 2189.3918),(78 2213.6494),(79 2241.4487),
(1 609.3531),(2 1028.9977),(3 1336.9196),(4 1557.2308),(5 1696.2759),(6 1770.1478),(7 1812.3864),(8 1862.116),(9 1914.0193),(10 1944.025),(11 1964.9811),(12 1993.4236),(13 2042.8375),(14 2061.8552),(15 2067.5857),(16 2099.5374),(17 2139.776),(18 2170.2708),(19 2187.2275),(20 2188.9915),(21 2218.4702),(22 2229.7483),(23 2242.53),(24 2244.6465),(25 2256.8398),(26 2253.0513),(27 2237.7603),(28 2218.3127),(29 2226.0454),(30 2227.5132),(31 2210.8083),(32 2214.3667),(33 2216.22),(34 2189.776),(35 2157.7786),(36 2158.3528),(37 2201.9905),(38 2220.1077),(39 2210.0918),(40 2191.1428),(41 2191.0657),(42 2169.2668),(43 2166.5222),(44 2156.1157),(45 2169.7698),(46 2164.4382),(47 2154.1887),(48 2151.8032),(49 2182.6316),(50 2192.3499),(51 2167.6206),(52 2150.5315),(53 2155.606),(54 2152.5205),(55 2160.55),(56 2151.1396),(57 2152.738),(58 2140.666),(59 2123.8909),(60 2134.2905),(61 2117.0583),(62 2101.2544),(63 2101.6824),(64 2097.6172),(65 2077.9036),(66 2043.5436),(67 2029.549),(68 2032.5024),(69 2034.5432),(70 2041.5269),(71 2049.3208),(72 2079.1667),(73 2092.11),(74 2085.1873),(75 2089.7334),(76 2082.62),(77 2127.2122),(78 2147.2976),(79 2167.532),
(1 609.94104),(2 1036.8362),(3 1325.5646),(4 1526.7196),(5 1644.5193),(6 1703.6875),(7 1780.012),(8 1844.933),(9 1919.1709),(10 1957.5674),(11 1986.3577),(12 1995.7971),(13 2035.5518),(14 2055.512),(15 2054.6465),(16 2087.637),(17 2119.3928),(18 2144.7847),(19 2155.1448),(20 2167.1829),(21 2217.3386),(22 2240.6946),(23 2242.5588),(24 2249.4272),(25 2253.3892),(26 2252.5574),(27 2241.5823),(28 2239.7566),(29 2262.025),(30 2273.8801),(31 2256.2761),(32 2228.363),(33 2224.4595),(34 2202.8252),(35 2184.9238),(36 2182.7095),(37 2195.8757),(38 2194.0527),(39 2175.2126),(40 2170.394),(41 2164.7747),(42 2146.5515),(43 2123.8025),(44 2140.816),(45 2153.438),(46 2158.6482),(47 2146.0251),(48 2140.3267),(49 2156.3538),(50 2148.872),(51 2117.9077),(52 2110.2727),(53 2125.939),(54 2124.3506),(55 2124.586),(56 2111.1987),(57 2100.7515),(58 2094.5579),(59 2088.9312),(60 2086.1433),(61 2077.1458),(62 2072.2266),(63 2063.64),(64 2053.818),(65 2033.1141),(66 2010.0597),(67 2023.9591),(68 2020.9833),(69 2005.2756),(70 1987.4587),(71 2003.943),(72 2029.7296),(73 2059.0686),(74 2076.7388),(75 2082.5503),(76 2083.3613),(77 2119.5386),(78 2139.9285),(79 2175.1975),
(1 578.8536),(2 969.24457),(3 1251.1174),(4 1427.2993),(5 1552.8226),(6 1640.0648),(7 1727.1862),(8 1776.9626),(9 1820.8744),(10 1851.2363),(11 1879.95),(12 1909.2826),(13 1950.1716),(14 1970.3547),(15 1973.9275),(16 1999.1984),(17 2020.6056),(18 2034.0979),(19 2038.1852),(20 2047.7262),(21 2064.0051),(22 2063.6086),(23 2063.537),(24 2069.24),(25 2094.6062),(26 2095.9846),(27 2079.473),(28 2090.182),(29 2086.3494),(30 2095.307),(31 2093.2925),(32 2091.016),(33 2095.7927),(34 2081.7808),(35 2068.067),(36 2045.3206),(37 2060.4224),(38 2054.0178),(39 2049.218),(40 2068.118),(41 2071.3672),(42 2080.309),(43 2089.838),(44 2107.491),(45 2098.4478),(46 2076.044),(47 2051.3801),(48 2031.5415),(49 2031.4631),(50 2021.4464),(51 2015.4017),(52 1996.9879),(53 1996.4796),(54 1980.778),(55 1970.8508),(56 1975.7766),(57 1991.0956),(58 1989.6201),(59 1976.7982),(60 1991.3164),(61 1971.9576),(62 1962.2588),(63 1961.9636),(64 1957.2688),(65 1939.3446),(66 1927.517),(67 1922.559),(68 1947.8472),(69 1942.4362),(70 1946.6263),(71 1969.4873),(72 1998.2031),(73 2004.8302),(74 2020.9167),(75 2043.4279),(76 2041.017),(77 2060.2268),(78 2069.3267),(79 2079.6348),
(1 563.667),(2 948.074),(3 1216.3606),(4 1418.4247),(5 1542.2307),(6 1632.4895),(7 1697.8956),(8 1730.6752),(9 1788.3597),(10 1813.1486),(11 1822.1523),(12 1845.1664),(13 1890.2239),(14 1918.1489),(15 1925.3967),(16 1945.0796),(17 1977.9387),(18 1999.6416),(19 2029.5013),(20 2037.6058),(21 2075.633),(22 2087.3926),(23 2083.8928),(24 2097.0654),(25 2125.895),(26 2142.3481),(27 2145.2864),(28 2146.0151),(29 2144.753),(30 2133.306),(31 2112.9421),(32 2102.7786),(33 2103.8142),(34 2095.153),(35 2077.8538),(36 2058.437),(37 2061.7021),(38 2041.9321),(39 2011.8733),(40 1997.5054),(41 1991.5796),(42 1982.0328),(43 1970.3851),(44 1977.4998),(45 1992.77),(46 2002.654),(47 2000.0493),(48 1990.1901),(49 2018.6925),(50 2026.1438),(51 2002.6271),(52 2002.7439),(53 2009.8021),(54 2002.9015),(55 2005.597),(56 1999.0951),(57 2003.1287),(58 1996.2108),(59 1991.1638),(60 1990.7075),(61 1955.6235),(62 1926.284),(63 1913.9989),(64 1914.2395),(65 1896.7438),(66 1882.5497),(67 1864.7515),(68 1892.1262),(69 1882.929),(70 1889.7646),(71 1913.943),(72 1949.0184),(73 1961.1011),(74 1990.9343),(75 2024.2499),(76 2026.3787),(77 2069.951),(78 2092.6536),(79 2106.2676),
(1 572.8174),(2 950.7812),(3 1237.4714),(4 1425.0354),(5 1526.0564),(6 1591.812),(7 1646.8186),(8 1692.066),(9 1769.5552),(10 1797.0933),(11 1813.6976),(12 1842.7144),(13 1893.9164),(14 1913.4006),(15 1928.2162),(16 1948.5361),(17 1978.8776),(18 1996.2937),(19 2011.8752),(20 2021.2776),(21 2054.4666),(22 2068.1284),(23 2080.321),(24 2100.2344),(25 2124.4492),(26 2119.0615),(27 2101.9998),(28 2112.143),(29 2095.0742),(30 2094.2783),(31 2085.0364),(32 2077.7405),(33 2081.549),(34 2062.3572),(35 2040.347),(36 2010.6813),(37 2004.3837),(38 1987.454),(39 1978.5831),(40 1977.6),(41 1998.0431),(42 2002.5742),(43 1980.4486),(44 1997.4225),(45 2017.8407),(46 2022.3711),(47 2027.4915),(48 2020.5032),(49 2016.9169),(50 2017.4077),(51 2022.4789),(52 2002.9192),(53 2002.8098),(54 1988.1749),(55 1975.3967),(56 1946.3633),(57 1947.1687),(58 1935.2886),(59 1911.4114),(60 1911.8485),(61 1884.1279),(62 1859.6556),(63 1837.6201),(64 1841.9636),(65 1839.5531),(66 1838.1517),(67 1854.7213),(68 1863.4214),(69 1863.0062),(70 1861.7261),(71 1872.5939),(72 1898.2198),(73 1925.1024),(74 1937.6193),(75 1946.142),(76 1947.3827),(77 1981.8011),(78 2000.669),(79 2021.1627),
(1 559.662),(2 941.2248),(3 1221.3376),(4 1418.9478),(5 1549.5842),(6 1625.1809),(7 1683.8693),(8 1727.8646),(9 1781.0002),(10 1821.165),(11 1837.2424),(12 1855.2808),(13 1904.6467),(14 1928.6752),(15 1940.5089),(16 1950.9447),(17 1966.0275),(18 1981.0431),(19 1983.7079),(20 1983.5922),(21 2017.4861),(22 2035.1464),(23 2047.3445),(24 2049.5044),(25 2077.9355),(26 2075.7446),(27 2054.9863),(28 2022.8179),(29 2017.0739),(30 2026.2745),(31 2039.6696),(32 2042.7958),(33 2060.6196),(34 2065.9158),(35 2053.0713),(36 2061.9553),(37 2046.7334),(38 2029.9177),(39 2009.783),(40 1989.822),(41 1992.8705),(42 1976.3313),(43 1964.5771),(44 1967.158),(45 1950.6654),(46 1934.6796),(47 1935.2344),(48 1940.6896),(49 1944.076),(50 1936.54),(51 1920.1747),(52 1907.9176),(53 1906.4993),(54 1895.9509),(55 1871.1058),(56 1867.0131),(57 1868.9039),(58 1856.3911),(59 1841.4857),(60 1826.036),(61 1807.0405),(62 1793.1792),(63 1792.8143),(64 1794.0082),(65 1789.7415),(66 1775.0896),(67 1775.5181),(68 1781.4967),(69 1783.4072),(70 1792.9407),(71 1822.3126),(72 1856.5754),(73 1871.6083),(74 1887.6476),(75 1912.6508),(76 1906.6212),(77 1921.6444),(78 1941.007),(79 1956.7408),
(1 563.0246),(2 933.3851),(3 1192.3237),(4 1359.5737),(5 1475.4717),(6 1547.8457),(7 1596.345),(8 1645.7056),(9 1691.8444),(10 1726.1195),(11 1757.9656),(12 1784.338),(13 1818.6653),(14 1815.7576),(15 1809.4569),(16 1826.5957),(17 1856.7231),(18 1875.8453),(19 1898.8691),(20 1903.0797),(21 1955.2184),(22 1976.9703),(23 1973.2594),(24 1971.5764),(25 1992.6284),(26 1994.4811),(27 1989.8359),(28 1983.8517),(29 1994.5309),(30 1988.9175),(31 1970.5042),(32 1975.6001),(33 1988.4261),(34 1986.207),(35 1968.965),(36 1950.9221),(37 1958.5107),(38 1945.3253),(39 1921.2119),(40 1920.7891),(41 1928.1807),(42 1938.5364),(43 1942.7518),(44 1932.5719),(45 1928.1256),(46 1928.9556),(47 1930.0016),(48 1925.6783),(49 1927.9944),(50 1918.1024),(51 1918.0829),(52 1899.6198),(53 1895.9839),(54 1884.7166),(55 1875.9767),(56 1862.867),(57 1858.4227),(58 1852.216),(59 1840.1454),(60 1820.0377),(61 1808.3721),(62 1792.2096),(63 1773.336),(64 1780.7926),(65 1768.4664),(66 1754.6848),(67 1749.0781),(68 1769.2855),(69 1779.7501),(70 1788.306),(71 1800.9272),(72 1817.992),(73 1830.3682),(74 1832.6526),(75 1843.5879),(76 1843.3284),(77 1867.0076),(78 1897.7145),(79 1918.4928),
(1 554.0562),(2 921.4132),(3 1181.9998),(4 1356.7006),(5 1463.7194),(6 1542.4337),(7 1604.8868),(8 1651.8934),(9 1701.5986),(10 1731.0905),(11 1744.0858),(12 1752.7509),(13 1784.0237),(14 1796.6038),(15 1809.0963),(16 1848.8363),(17 1868.849),(18 1876.7461),(19 1874.5846),(20 1890.0568),(21 1926.9152),(22 1952.2258),(23 1942.788),(24 1938.3094),(25 1949.5571),(26 1948.3066),(27 1951.5781),(28 1952.0964),(29 1953.473),(30 1959.5685),(31 1955.56),(32 1949.2933),(33 1942.1315),(34 1930.4602),(35 1909.5039),(36 1908.6295),(37 1909.1615),(38 1902.3516),(39 1895.2701),(40 1893.361),(41 1882.5319),(42 1865.033),(43 1858.3464),(44 1861.0343),(45 1860.3551),(46 1851.8381),(47 1851.2821),(48 1862.8032),(49 1870.0319),(50 1870.177),(51 1849.5641),(52 1837.1564),(53 1843.5458),(54 1847.3766),(55 1850.5641),(56 1839.1156),(57 1851.0187),(58 1844.7626),(59 1836.3896),(60 1829.686),(61 1814.4288),(62 1799.4248),(63 1797.2786),(64 1808.136),(65 1803.4828),(66 1789.3075),(67 1792.088),(68 1799.9381),(69 1812.328),(70 1817.5515),(71 1834.0059),(72 1864.5411),(73 1870.9705),(74 1879.6469),(75 1891.0941),(76 1877.2816),(77 1902.673),(78 1922.1259),(79 1926.7968),
(1 535.5427),(2 888.1525),(3 1145.3956),(4 1308.22),(5 1401.593),(6 1462.7723),(7 1525.0557),(8 1580.0009),(9 1631.581),(10 1661.3534),(11 1684.6832),(12 1699.8682),(13 1746.9579),(14 1761.6624),(15 1766.981),(16 1785.0524),(17 1832.4312),(18 1844.6483),(19 1836.7845),(20 1839.451),(21 1865.9613),(22 1894.4258),(23 1905.2947),(24 1906.9717),(25 1925.064),(26 1925.2084),(27 1915.6747),(28 1913.7507),(29 1925.7228),(30 1930.9128),(31 1909.932),(32 1895.7208),(33 1897.1215),(34 1891.6129),(35 1878.2412),(36 1862.1959),(37 1871.2346),(38 1870.1208),(39 1861.5093),(40 1871.3385),(41 1878.9756),(42 1874.8586),(43 1859.6687),(44 1865.0706),(45 1857.5188),(46 1851.5529),(47 1856.3351),(48 1863.0857),(49 1878.0803),(50 1875.1348),(51 1869.5485),(52 1872.343),(53 1860.2189),(54 1847.1909),(55 1830.129),(56 1832.7458),(57 1851.7097),(58 1851.0182),(59 1827.81),(60 1791.4944),(61 1784.5055),(62 1758.6224),(63 1751.7024),(64 1747.7815),(65 1746.4681),(66 1748.7196),(67 1767.8448),(68 1777.4669),(69 1767.718),(70 1756.7455),(71 1756.7034),(72 1776.6205),(73 1795.4801),(74 1798.6101),(75 1813.7507),(76 1824.9573),(77 1855.848),(78 1862.8779),(79 1868.2181),
(1 529.50024),(2 887.51074),(3 1149.7284),(4 1329.1655),(5 1439.3857),(6 1505.0729),(7 1569.5164),(8 1610.2344),(9 1663.2992),(10 1682.1278),(11 1703.3031),(12 1727.5697),(13 1767.0986),(14 1790.5879),(15 1806.409),(16 1827.631),(17 1853.6841),(18 1850.5342),(19 1841.7289),(20 1823.9202),(21 1866.2446),(22 1896.3801),(23 1902.0146),(24 1911.9874),(25 1943.4054),(26 1946.4613),(27 1938.6217),(28 1937.2228),(29 1939.9982),(30 1929.7021),(31 1910.8331),(32 1877.3295),(33 1857.629),(34 1841.917),(35 1820.6456),(36 1814.062),(37 1821.1244),(38 1824.0509),(39 1825.5895),(40 1832.0105),(41 1830.7728),(42 1826.5002),(43 1830.4998),(44 1858.1337),(45 1855.0919),(46 1850.0647),(47 1840.839),(48 1833.5001),(49 1843.491),(50 1847.8237),(51 1839.2024),(52 1836.3257),(53 1857.1525),(54 1863.1106),(55 1839.6318),(56 1825.8258),(57 1832.3762),(58 1835.407),(59 1819.2914),(60 1811.1127),(61 1787.1427),(62 1769.0638),(63 1770.242),(64 1763.8466),(65 1761.1432),(66 1741.5743),(67 1731.6487),(68 1737.2429),(69 1717.2264),(70 1716.2748),(71 1732.9463),(72 1760.402),(73 1767.4308),(74 1779.1255),(75 1801.8864),(76 1798.405),(77 1820.4646),(78 1839.1963),(79 1845.9828),
(1 520.1698),(2 873.031),(3 1119.1609),(4 1277.5493),(5 1375.2069),(6 1427.7865),(7 1485.8014),(8 1537.1306),(9 1570.288),(10 1598.5577),(11 1624.2405),(12 1646.006),(13 1678.9658),(14 1698.2703),(15 1695.5438),(16 1710.9292),(17 1733.0789),(18 1740.4185),(19 1753.0345),(20 1750.3573),(21 1785.4169),(22 1805.6552),(23 1802.7827),(24 1812.2261),(25 1832.4532),(26 1845.3395),(27 1829.6046),(28 1844.7438),(29 1836.9214),(30 1838.9073),(31 1829.0461),(32 1818.0223),(33 1832.9257),(34 1833.44),(35 1818.4465),(36 1811.7274),(37 1813.5615),(38 1797.4183),(39 1771.7601),(40 1786.3782),(41 1777.453),(42 1770.6221),(43 1764.4684),(44 1765.1248),(45 1771.1217),(46 1763.317),(47 1750.7485),(48 1730.0142),(49 1740.6984),(50 1736.183),(51 1720.3289),(52 1705.1355),(53 1712.1506),(54 1714.5947),(55 1703.2937),(56 1719.8671),(57 1731.043),(58 1726.4885),(59 1704.672),(60 1693.7197),(61 1675.9071),(62 1662.8262),(63 1669.5707),(64 1676.6351),(65 1672.1815),(66 1672.7274),(67 1691.904),(68 1696.7703),(69 1699.6831),(70 1697.129),(71 1715.3948),(72 1719.4095),(73 1736.375),(74 1741.7032),(75 1747.3691),(76 1751.0867),(77 1796.0713),(78 1819.106),(79 1835.9568),
(1 508.61072),(2 858.5309),(3 1114.666),(4 1273.485),(5 1367.0544),(6 1424.725),(7 1481.8484),(8 1521.929),(9 1574.934),(10 1593.0558),(11 1603.8805),(12 1614.7041),(13 1668.559),(14 1695.8486),(15 1700.3118),(16 1720.7521),(17 1741.8905),(18 1744.3107),(19 1747.0144),(20 1753.0918),(21 1761.6715),(22 1774.4679),(23 1782.5902),(24 1801.3167),(25 1826.9713),(26 1844.4193),(27 1836.6909),(28 1835.9021),(29 1852.4653),(30 1850.4236),(31 1840.8186),(32 1835.7041),(33 1830.5082),(34 1821.0835),(35 1808.169),(36 1792.1655),(37 1781.9541),(38 1772.7236),(39 1768.0315),(40 1770.7081),(41 1769.6035),(42 1770.2269),(43 1786.2695),(44 1795.7571),(45 1777.1415),(46 1763.8674),(47 1750.4651),(48 1757.684),(49 1767.1836),(50 1764.2694),(51 1759.9431),(52 1759.4974),(53 1754.3408),(54 1746.4512),(55 1724.6754),(56 1710.4146),(57 1712.4985),(58 1701.848),(59 1674.7301),(60 1656.4685),(61 1640.0563),(62 1626.2405),(63 1624.8655),(64 1631.1422),(65 1619.9026),(66 1613.6616),(67 1617.4949),(68 1634.4265),(69 1627.5057),(70 1642.6774),(71 1674.6367),(72 1702.3605),(73 1711.0393),(74 1713.5308),(75 1732.4777),(76 1739.1256),(77 1763.3124),(78 1789.0074),(79 1802.8024),
(1 507.55096),(2 850.2622),(3 1106.7618),(4 1272.7041),(5 1375.977),(6 1439.8743),(7 1501.073),(8 1540.2268),(9 1581.3601),(10 1600.6621),(11 1599.3892),(12 1618.3464),(13 1665.4557),(14 1679.26),(15 1683.0234),(16 1691.819),(17 1724.1608),(18 1738.7944),(19 1763.7905),(20 1783.0566),(21 1789.8082),(22 1794.2217),(23 1785.6487),(24 1776.4957),(25 1776.6406),(26 1783.806),(27 1789.7789),(28 1789.0153),(29 1800.2635),(30 1800.191),(31 1790.2751),(32 1778.8788),(33 1785.9443),(34 1779.423),(35 1757.3112),(36 1737.7521),(37 1746.783),(38 1752.7311),(39 1754.6805),(40 1758.8496),(41 1764.4172),(42 1749.9534),(43 1738.8506),(44 1741.1761),(45 1736.4128),(46 1735.9165),(47 1740.4485),(48 1742.0934),(49 1760.6525),(50 1761.2462),(51 1753.175),(52 1746.0012),(53 1733.8977),(54 1715.4076),(55 1695.3857),(56 1689.8928),(57 1698.3258),(58 1696.537),(59 1688.6589),(60 1679.0837),(61 1684.1838),(62 1677.125),(63 1664.8926),(64 1678.2866),(65 1662.0422),(66 1654.6729),(67 1659.8008),(68 1656.2281),(69 1660.1119),(70 1657.2056),(71 1672.0266),(72 1696.9299),(73 1698.0339),(74 1704.1854),(75 1718.9072),(76 1725.5504),(77 1736.9521),(78 1744.7677),(79 1755.5353),
