1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 29807.273),(2 46726.996),(3 56420.457),(4 108486.6),(5 152124.1),(6 182224.58),(7 256431.83),(8 322961.38),(9 376313),(10 463311),(11 545706.2),(12 618210.25),(13 725891.8),(14 823888.8),(15 937183.56),(16 1081217.6),(17 1230891.4),(18 1385386.9),(19 1579262),(20 1777710.1),(21 1986709.4),(22 2222920.8),(23 2459717.3),(24 2698800.8),(25 2954277.3),(26 3212776),(27 3502232.8),(28 3764550.3),(29 4054100.8),(30 4315052.5),(31 4616947),(32 4931991.5),(33 5236949),(34 5547777),(35 5898172.5),(36 6221600),(37 6573413.5),(38 6915813.5),(39 7268889.5),(40 7587429.5),(41 7909030.5),(42 8232209.5),(43 8525872),(44 8867799),(45 9229535),(46 9631581),(47 10066707),(48 10512878),(49 10986741),(50 11461861),(51 11920425),(52 12392380),(53 12889636),(54 13322811),(55 13778089),(56 14220213),(57 14651901),(58 15123619),(59 15583837),(60 15972109),(61 16432396),(62 16888360),(63 17316284),(64 17718810),(65 18100826),(66 18446224),(67 18748710),(68 19020088),(69 19241400),(70 19442426),(71 19663610),(72 19850286),(73 20100926),(74 20323368),(75 20571586),(76 20835710),(77 21143750),(78 21442932),(79 21708304),
(1 1117.5933),(2 1906.0831),(3 1987.1844),(4 2026.9796),(5 2106.682),(6 2084.799),(7 2118.1572),(8 2169.5881),(9 2189.1672),(10 2226.9697),(11 2244.5051),(12 2258.7773),(13 2286.5483),(14 2289.8938),(15 2301.7148),(16 2338.7615),(17 2402.1118),(18 2440.7432),(19 2447.5332),(20 2457.0376),(21 2449.143),(22 2504.0232),(23 2559.6375),(24 2593.9114),(25 2594.6501),(26 2595.0635),(27 2673.7393),(28 2720.1704),(29 2761.5837),(30 2845.339),(31 2843.932),(32 2854.2205),(33 2884.0554),(34 2901.8374),(35 2900.4858),(36 2939.923),(37 3000.988),(38 3037.9343),(39 3132.1765),(40 3157.3845),(41 3116.7285),(42 3108.3823),(43 3129.7988),(44 3185.8428),(45 3210.9067),(46 3232.4534),(47 3254.3015),(48 3242.6484),(49 3216.2788),(50 3246.46),(51 3231.7786),(52 3218.5557),(53 3153.1624),(54 3164.036),(55 3198.44),(56 3201.0935),(57 3131.1763),(58 3096.756),(59 3075.8237),(60 3035.2554),(61 2998.4817),(62 2945.0085),(63 2907.1519),(64 2928.5854),(65 2946.0085),(66 2969.5042),(67 2898.52),(68 2872.2092),(69 2895.274),(70 2908.6724),(71 2929.5042),(72 2939.0588),(73 2952.6887),(74 2940.8477),(75 2935.5195),(76 3040.5266),(77 3072.1094),(78 3043.8608),(79 3047.259),
(1 1094.073),(2 1807.035),(3 1903.6354),(4 1954.2947),(5 2012.6516),(6 2025.248),(7 2065.7212),(8 2134.7505),(9 2155.7844),(10 2184.4185),(11 2208.2747),(12 2253.9067),(13 2233.8608),(14 2252.8103),(15 2316.0554),(16 2337.1858),(17 2389.8213),(18 2427.455),(19 2396.2385),(20 2385.9233),(21 2401),(22 2426.525),(23 2474.911),(24 2473.1865),(25 2494.043),(26 2552.5518),(27 2605.073),(28 2613.2205),(29 2629.6504),(30 2685.5154),(31 2690.78),(32 2713.4849),(33 2756.7021),(34 2775.2449),(35 2806.4746),(36 2821.438),(37 2904.7585),(38 2927.1863),(39 2995.69),(40 3059.0886),(41 3029.4272),(42 3024.5554),(43 3050.7012),(44 3121.8782),(45 3151.7942),(46 3141.508),(47 3098.5032),(48 3083.93),(49 3119.6257),(50 3177.9443),(51 3141.9968),(52 3126.9985),(53 3050.6882),(54 3031.3293),(55 3058.0962),(56 3076.7249),(57 2988.5154),(58 2928.5435),(59 2939.7383),(60 2921.8035),(61 2900.0105),(62 2866.207),(63 2856.5176),(64 2864.889),(65 2889.918),(66 2837.2239),(67 2851.4905),(68 2864.887),(69 2933.2148),(70 2953.2922),(71 3005.36),(72 3040.9077),(73 3019.9917),(74 3042.5376),(75 3064.7637),(76 3091.058),(77 3093.4412),(78 3110.0479),(79 3136.4424),
(1 1083.6719),(2 1783.9005),(3 1849.0673),(4 1881.028),(5 1925.9196),(6 1928.656),(7 1987.5527),(8 2096.015),(9 2134.6584),(10 2107.8926),(11 2130.5806),(12 2175.7742),(13 2185.8179),(14 2185.8772),(15 2251.9827),(16 2288.5586),(17 2344.1057),(18 2351.5188),(19 2325.0894),(20 2322.2605),(21 2357.484),(22 2400.431),(23 2419.6885),(24 2475.6465),(25 2499.9858),(26 2546.3694),(27 2612.1792),(28 2632.8494),(29 2709.369),(30 2772.5806),(31 2775.0762),(32 2788.6167),(33 2835.7021),(34 2887.9968),(35 2956.6677),(36 2987.911),(37 3063.2922),(38 3054.8406),(39 3107.4749),(40 3125.9875),(41 3160.5344),(42 3172.4011),(43 3192.954),(44 3249.6284),(45 3280.395),(46 3253.5771),(47 3183.7527),(48 3170.9775),(49 3153.8567),(50 3160.1526),(51 3112.15),(52 3111.9705),(53 3062.4233),(54 3051.2188),(55 3015.8645),(56 2999.686),(57 2977.8938),(58 2968.2473),(59 2947.7236),(60 2874.313),(61 2814.1274),(62 2795.6162),(63 2826.1946),(64 2843.6887),(65 2804.8428),(66 2756.9373),(67 2731.1946),(68 2778.8987),(69 2795.9038),(70 2797.842),(71 2808.9485),(72 2862.9558),(73 2885.3196),(74 2880.5288),(75 2820.1877),(76 2884.7048),(77 2970.7415),(78 2978.4653),(79 2956.5251),
(1 1043.3712),(2 1742.9106),(3 1846.2634),(4 1888.7245),(5 1938.0681),(6 1982.1913),(7 2057.6475),(8 2133.091),(9 2141.6292),(10 2103.8772),(11 2130.4854),(12 2152.405),(13 2160.615),(14 2186.5217),(15 2246.097),(16 2275.415),(17 2294.3564),(18 2309.3596),(19 2266.8423),(20 2285.748),(21 2353.8367),(22 2396.266),(23 2438.092),(24 2480.0776),(25 2502.267),(26 2554.708),(27 2636.5298),(28 2621.252),(29 2653.7195),(30 2709.0557),(31 2756.2976),(32 2794.351),(33 2833.2117),(34 2826.9067),(35 2848.6963),(36 2899.0754),(37 2940.9902),(38 2936.2944),(39 2996.4426),(40 3035.9866),(41 3015.331),(42 3051.3384),(43 3058.0317),(44 3094.3306),(45 3104.7642),(46 3079.5747),(47 3075.5652),(48 3053.067),(49 3042.3123),(50 3035.9585),(51 3008.9392),(52 3011.9414),(53 2981.5684),(54 2968.5269),(55 2945.3933),(56 2898.8572),(57 2886.2913),(58 2883.6255),(59 2876.1965),(60 2802.801),(61 2786.0178),(62 2838.291),(63 2827.473),(64 2821.1223),(65 2823.5867),(66 2815.1563),(67 2794.8389),(68 2817.6494),(69 2791.26),(70 2829.172),(71 2854.2173),(72 2837.7876),(73 2829.9805),(74 2822.271),(75 2805.3596),(76 2895.2195),(77 2949.993),(78 2939.3171),(79 2985.2498),
(1 1055.252),(2 1746.5635),(3 1838.8851),(4 1846.7736),(5 1898.7264),(6 1956.6667),(7 2048.8525),(8 2116.3652),(9 2134.4016),(10 2110.8032),(11 2160.8823),(12 2193.5752),(13 2192.9111),(14 2209.2175),(15 2267.2979),(16 2287.3594),(17 2324.6218),(18 2298.7996),(19 2283.3264),(20 2314.558),(21 2336.3496),(22 2348.699),(23 2424.722),(24 2467.9746),(25 2481.49),(26 2509.9963),(27 2555.3438),(28 2519.106),(29 2557.7822),(30 2600.641),(31 2630.2112),(32 2689.7856),(33 2746.23),(34 2758.0996),(35 2810.0518),(36 2846.5857),(37 2891.1895),(38 2900.9314),(39 2971.8066),(40 3047.7239),(41 3053.8691),(42 3045.582),(43 3059.4758),(44 3079.6653),(45 3053.7727),(46 3060.3264),(47 3072.609),(48 3053.585),(49 3063.3044),(50 3019.4343),(51 2999.4739),(52 3006.0898),(53 2940.5532),(54 2936.7249),(55 2906.402),(56 2885.8413),(57 2926.2502),(58 2949.6582),(59 2877.505),(60 2811.1313),(61 2814.748),(62 2780.088),(63 2757.8914),(64 2751.1113),(65 2741.8484),(66 2720.938),(67 2696.3538),(68 2662.3262),(69 2649.5222),(70 2720.9016),(71 2789.0818),(72 2797.681),(73 2780.907),(74 2749.7356),(75 2790.1045),(76 2868.9456),(77 2896.2095),(78 2872.7253),(79 2896.5586),
(1 1028.1079),(2 1708.489),(3 1834.5134),(4 1868.2732),(5 1906.2828),(6 1943.3895),(7 1991.0148),(8 2059.8987),(9 2042.991),(10 2054.2312),(11 2093.7544),(12 2123.9346),(13 2106.165),(14 2131.8235),(15 2214.3535),(16 2236.0664),(17 2266.6528),(18 2255.7537),(19 2244.533),(20 2262.1653),(21 2322.4812),(22 2340.2668),(23 2362.9192),(24 2415.4495),(25 2468.128),(26 2516.5442),(27 2550.7578),(28 2526.9912),(29 2546.069),(30 2602.2112),(31 2617.3335),(32 2645.9414),(33 2682.0283),(34 2728.8433),(35 2774.9192),(36 2817.4458),(37 2888.6396),(38 2878.4116),(39 2936.613),(40 2960.032),(41 2962.823),(42 2999.2563),(43 3027.9119),(44 3042.2236),(45 3028.2166),(46 2998.8953),(47 2965.6313),(48 2937.0054),(49 2920.0713),(50 2899.7563),(51 2877.7947),(52 2883.7583),(53 2839.848),(54 2858.872),(55 2837.5981),(56 2816.8452),(57 2825.7375),(58 2782.1213),(59 2722.9753),(60 2654.182),(61 2623.363),(62 2608.392),(63 2573.931),(64 2608.9246),(65 2631.836),(66 2574.4841),(67 2581.968),(68 2579.079),(69 2581.828),(70 2655.5645),(71 2630.8037),(72 2628.5378),(73 2634.3367),(74 2635.4673),(75 2674.532),(76 2746.3506),(77 2735.654),(78 2701.065),(79 2741.8237),
(1 1020.47406),(2 1659.4725),(3 1793.1954),(4 1839.9327),(5 1861.6985),(6 1896.5212),(7 2001.5709),(8 2088.8604),(9 2132.5913),(10 2088.602),(11 2090.3857),(12 2121.5813),(13 2136.0862),(14 2157.2053),(15 2179.7969),(16 2191.5833),(17 2195.7803),(18 2186.8267),(19 2179.7883),(20 2201.863),(21 2250.2847),(22 2290.4365),(23 2344.4873),(24 2385.3909),(25 2377.7544),(26 2422.3274),(27 2494.0205),(28 2475.357),(29 2550.4373),(30 2555.801),(31 2596.2776),(32 2646.4897),(33 2700.3154),(34 2722.483),(35 2766.6455),(36 2800.6409),(37 2862.9333),(38 2890.6748),(39 2923.1353),(40 2954.782),(41 2973.227),(42 2984.637),(43 2969.379),(44 2977.7292),(45 2966.1624),(46 2937.9236),(47 2962.6787),(48 2949.403),(49 2909.1526),(50 2873.306),(51 2865.465),(52 2882.6992),(53 2874.356),(54 2862.6035),(55 2814.642),(56 2796.336),(57 2812.4453),(58 2723.5076),(59 2638.0923),(60 2648.3745),(61 2634.2197),(62 2617.2163),(63 2608.7358),(64 2624.8164),(65 2651.3877),(66 2636.8828),(67 2590.5583),(68 2568.3354),(69 2577.9575),(70 2636.9546),(71 2644.7363),(72 2630.314),(73 2637.2813),(74 2619.9797),(75 2660.0703),(76 2669.7517),(77 2694.8137),(78 2691.7573),(79 2738.1711),
(1 1061.3358),(2 1732.1719),(3 1815.1523),(4 1881.793),(5 1928.4917),(6 1931.9194),(7 1960.4149),(8 2049.7075),(9 2071.4968),(10 2040.4822),(11 2081.989),(12 2074.2405),(13 2104.7234),(14 2144.02),(15 2163.092),(16 2130.1611),(17 2118.7488),(18 2161.8704),(19 2141.9683),(20 2172.0757),(21 2248.6401),(22 2268.7454),(23 2307.049),(24 2355.7856),(25 2362.296),(26 2442.699),(27 2491.484),(28 2510.1477),(29 2565.55),(30 2598.8142),(31 2636.9478),(32 2693.7068),(33 2745.0706),(34 2781.3748),(35 2801.7717),(36 2873.2458),(37 2933.8389),(38 2965.6794),(39 3006.5183),(40 3021.674),(41 3059.659),(42 3068.5806),(43 3076.774),(44 3059.0454),(45 3062.6934),(46 3035.2607),(47 3039.5771),(48 3029.0542),(49 3007.509),(50 2987.383),(51 2982.8438),(52 2949.3625),(53 2969.4404),(54 2952.858),(55 2910.1729),(56 2904.0098),(57 2869.5596),(58 2780.7952),(59 2709.6462),(60 2667.7402),(61 2638.8196),(62 2630.2314),(63 2628.8105),(64 2625.9731),(65 2661.452),(66 2655.5867),(67 2606.8584),(68 2592.8284),(69 2621.303),(70 2658.0703),(71 2628.6667),(72 2613.161),(73 2648.815),(74 2634.454),(75 2629.3342),(76 2652.2505),(77 2647.6716),(78 2668.4172),(79 2687.7822),
(1 1005.4457),(2 1653.0708),(3 1754.1129),(4 1780.7128),(5 1810.1954),(6 1844.5734),(7 1928.339),(8 2000.8098),(9 2033.365),(10 2025.6466),(11 2044.8639),(12 2042.939),(13 2029.3413),(14 2049.678),(15 2085.4429),(16 2109.6494),(17 2114.6216),(18 2083.9797),(19 2119.6682),(20 2128.9478),(21 2208.777),(22 2216.9058),(23 2260.0554),(24 2299.6064),(25 2279.0308),(26 2297.6194),(27 2327.2837),(28 2346.186),(29 2376.9014),(30 2432.362),(31 2488.6147),(32 2549.4453),(33 2551.968),(34 2600.0728),(35 2644.7388),(36 2686.077),(37 2754.0522),(38 2772.236),(39 2804.4722),(40 2831.779),(41 2861.075),(42 2878.088),(43 2904.7825),(44 2900.023),(45 2900.6694),(46 2897.7961),(47 2886.1313),(48 2860.7783),(49 2843.2644),(50 2855.057),(51 2832.183),(52 2795.3672),(53 2791.788),(54 2757.5105),(55 2730.4968),(56 2736.156),(57 2744.4478),(58 2660.071),(59 2624.0464),(60 2603.9192),(61 2580.2302),(62 2591.9053),(63 2577.1003),(64 2516.4983),(65 2504.206),(66 2500.4272),(67 2486.9675),(68 2470.0771),(69 2477.6755),(70 2518.335),(71 2538.9597),(72 2538.568),(73 2527.446),(74 2526.064),(75 2565.0984),(76 2600.798),(77 2582.0833),(78 2565.9292),(79 2579.5115),
(1 1033.6615),(2 1674.6974),(3 1764.3114),(4 1743.3771),(5 1761.023),(6 1819.765),(7 1920.6796),(8 1985.0137),(9 2025.6934),(10 2020.5417),(11 2048.6836),(12 2018.5619),(13 2011.2599),(14 2050.908),(15 2080.0022),(16 2101.0261),(17 2104.997),(18 2078.7698),(19 2106.3726),(20 2122.3508),(21 2150.1228),(22 2201.767),(23 2255.45),(24 2274.2637),(25 2257.254),(26 2299.3955),(27 2347.0818),(28 2350.67),(29 2419.1428),(30 2459.248),(31 2496.7607),(32 2523.5586),(33 2521.3086),(34 2549.255),(35 2624.3252),(36 2643.251),(37 2721.198),(38 2721.2979),(39 2731.1167),(40 2797.0981),(41 2816.1636),(42 2788.7212),(43 2781.0874),(44 2813.5864),(45 2858.242),(46 2841.0999),(47 2838.4678),(48 2809.7317),(49 2821.3733),(50 2814.893),(51 2777.357),(52 2788.662),(53 2796.9006),(54 2756.9644),(55 2735.9153),(56 2758.2402),(57 2779.4912),(58 2677.485),(59 2630.0107),(60 2589.956),(61 2549.3376),(62 2513.628),(63 2528.3113),(64 2531.216),(65 2532.6716),(66 2500.734),(67 2422.5322),(68 2419.304),(69 2451.6885),(70 2499.066),(71 2524.056),(72 2545.19),(73 2517.7266),(74 2506.857),(75 2528.328),(76 2518.0347),(77 2556.23),(78 2566.22),(79 2588.1597),
(1 988.9075),(2 1573.1104),(3 1659.9563),(4 1705.401),(5 1719.0919),(6 1766.2216),(7 1809.3398),(8 1879.3822),(9 1938.4128),(10 1949.3478),(11 1968.3252),(12 1945.0988),(13 1935.8757),(14 2013.2992),(15 2037.9762),(16 2013.2048),(17 1978.4884),(18 1976.9006),(19 1996.0771),(20 2029.5413),(21 2062.4045),(22 2101.122),(23 2161.9739),(24 2174.2493),(25 2212.2764),(26 2266.373),(27 2244.9575),(28 2279.503),(29 2360.0798),(30 2364.6028),(31 2405.4229),(32 2429.9019),(33 2437.9175),(34 2482.2244),(35 2554.5876),(36 2595.3574),(37 2630.6033),(38 2613.8103),(39 2633.3882),(40 2668.9685),(41 2722.369),(42 2745.6506),(43 2746.492),(44 2729.8516),(45 2695.5034),(46 2708.1138),(47 2755.5498),(48 2737.5012),(49 2714.0698),(50 2728.2913),(51 2684.3384),(52 2662.264),(53 2654.3984),(54 2653.6533),(55 2651.2898),(56 2682.5054),(57 2641.962),(58 2588.0354),(59 2529.7517),(60 2481.1133),(61 2448.838),(62 2445.671),(63 2481.9216),(64 2427.4568),(65 2425.1553),(66 2407.327),(67 2376.5059),(68 2416.8948),(69 2442.2651),(70 2446.1697),(71 2453.4724),(72 2446.2397),(73 2446.7996),(74 2470.4878),(75 2465.937),(76 2499.4429),(77 2523.8894),(78 2509.646),(79 2517.9668),
(1 1002.0477),(2 1592.7278),(3 1655.7852),(4 1708.8473),(5 1745.8885),(6 1752.2202),(7 1810.4165),(8 1904.08),(9 1990.9786),(10 1960.4902),(11 1953.9677),(12 1964.803),(13 1972.9437),(14 1991.6393),(15 2005.5697),(16 2007.636),(17 2003.4633),(18 2013.326),(19 2042.6552),(20 2062.9119),(21 2064.0398),(22 2090.4602),(23 2131.8796),(24 2164.022),(25 2194.9482),(26 2214.202),(27 2259.8438),(28 2283.6685),(29 2356.8423),(30 2382.7014),(31 2419.0764),(32 2440.6416),(33 2448.2043),(34 2490.9946),(35 2545.702),(36 2562.336),(37 2632.0205),(38 2673.5195),(39 2687.9304),(40 2734.6335),(41 2756.553),(42 2754.803),(43 2753.8452),(44 2755.923),(45 2753.5718),(46 2720.6975),(47 2739.236),(48 2722.1238),(49 2696.012),(50 2708.0793),(51 2684.7327),(52 2648.4836),(53 2630.8745),(54 2641.628),(55 2644.525),(56 2652.098),(57 2650.2908),(58 2580.3281),(59 2511.8066),(60 2481.638),(61 2433.823),(62 2445.8152),(63 2452.6333),(64 2448.6),(65 2438.2769),(66 2405.1821),(67 2433.8606),(68 2470.3887),(69 2467.3672),(70 2478.459),(71 2488.4346),(72 2488.5383),(73 2495.313),(74 2492.9348),(75 2490.2869),(76 2513.6333),(77 2529.761),(78 2529.2534),(79 2550.4082),
(1 981.9362),(2 1561.5237),(3 1632.2927),(4 1663.0597),(5 1702.692),(6 1749.9286),(7 1790.739),(8 1846.2242),(9 1903.1685),(10 1912.2518),(11 1916.1078),(12 1892.8065),(13 1923.3835),(14 1958.2832),(15 2009.1864),(16 2005.9448),(17 2019.6011),(18 2041.2487),(19 2034.144),(20 2034.7976),(21 2033.0897),(22 2097.8127),(23 2134.6792),(24 2169.76),(25 2191.0964),(26 2196.8647),(27 2212.68),(28 2247.1506),(29 2309.4094),(30 2334.7969),(31 2380.253),(32 2417.9365),(33 2422.0212),(34 2441.0276),(35 2468.3367),(36 2516.9648),(37 2559.3877),(38 2589.7742),(39 2604.579),(40 2646.9993),(41 2655.2915),(42 2668.6577),(43 2662.3389),(44 2700.165),(45 2708.5825),(46 2720.9182),(47 2720.468),(48 2687.019),(49 2684.2954),(50 2671.573),(51 2650.108),(52 2647.2837),(53 2626.1824),(54 2603.7036),(55 2619.7266),(56 2617.8516),(57 2595.9426),(58 2542.7627),(59 2473.3408),(60 2425.747),(61 2416.9119),(62 2423.3328),(63 2397.7734),(64 2396.7075),(65 2402.4768),(66 2370.0046),(67 2393.5298),(68 2387.6963),(69 2393.249),(70 2386.397),(71 2334.3872),(72 2347.854),(73 2402.6682),(74 2395.8452),(75 2387.4504),(76 2416.9883),(77 2431.1345),(78 2432.807),(79 2428.0906),
(1 984.0013),(2 1569.0858),(3 1654.0725),(4 1676.6267),(5 1696.0004),(6 1726.9983),(7 1840.9922),(8 1922.5082),(9 1944.0275),(10 1909.3336),(11 1907.8119),(12 1918.3268),(13 1941.9797),(14 1972.7726),(15 2005.8022),(16 2020.9883),(17 2012.8718),(18 2001.4332),(19 1993.6053),(20 1993.319),(21 2021.9851),(22 2057.3628),(23 2093.7893),(24 2147.0527),(25 2164.1213),(26 2228.6099),(27 2272.5898),(28 2275.9849),(29 2333.8616),(30 2376.3228),(31 2394.4966),(32 2415.923),(33 2432.188),(34 2456.4119),(35 2494.6072),(36 2549.4753),(37 2592.7534),(38 2611.8323),(39 2604.3591),(40 2631.908),(41 2656.037),(42 2681.4756),(43 2687.6228),(44 2676.1934),(45 2709.5642),(46 2746.2346),(47 2712.6401),(48 2652.5298),(49 2665.6936),(50 2710.6416),(51 2662.0847),(52 2614.1563),(53 2612.8591),(54 2610.267),(55 2608.2937),(56 2573.1748),(57 2499.5723),(58 2443.7307),(59 2380.1538),(60 2354.6084),(61 2363.785),(62 2358.7488),(63 2320.1077),(64 2314.511),(65 2324.5564),(66 2307.6616),(67 2317.843),(68 2365.5833),(69 2334.4531),(70 2361.7256),(71 2357.1245),(72 2351.9678),(73 2373.9673),(74 2343.083),(75 2326.1384),(76 2382.7854),(77 2390.2056),(78 2374.1917),(79 2428.6052),
(1 968.7597),(2 1538.6188),(3 1623.2388),(4 1654.7024),(5 1657.9369),(6 1687.8389),(7 1785.1521),(8 1841.7915),(9 1879.6515),(10 1867.2059),(11 1880.1191),(12 1883.492),(13 1876.1351),(14 1915.1818),(15 1933.2035),(16 1942.2919),(17 1953.6572),(18 1973.6777),(19 1948.2588),(20 1974.993),(21 2001.5886),(22 2058.2131),(23 2119.3755),(24 2134.7168),(25 2120.6416),(26 2139.279),(27 2182.0889),(28 2233.7134),(29 2245.1174),(30 2255.5688),(31 2291.184),(32 2308.3086),(33 2309.5513),(34 2383.9243),(35 2430.4363),(36 2480.4436),(37 2515.6882),(38 2504.1326),(39 2548.7556),(40 2589.1563),(41 2615.616),(42 2644.571),(43 2638.3894),(44 2620.1912),(45 2633.495),(46 2620.286),(47 2608.2578),(48 2580.062),(49 2616.4653),(50 2608.155),(51 2574.3967),(52 2608.0168),(53 2545.205),(54 2526.1462),(55 2514.4976),(56 2499.1677),(57 2466.2166),(58 2421.0786),(59 2369.3687),(60 2329.8936),(61 2325.5608),(62 2337.3098),(63 2291.8286),(64 2277.532),(65 2291.3904),(66 2323.3103),(67 2312.6118),(68 2337.4958),(69 2308.1348),(70 2340.35),(71 2337.965),(72 2352.339),(73 2319.9993),(74 2302.6248),(75 2305.9011),(76 2338.0674),(77 2358.4326),(78 2388.6042),(79 2411.7852),
(1 960.287),(2 1527.3765),(3 1591.728),(4 1665.8461),(5 1693.4608),(6 1693.3053),(7 1749.3455),(8 1789.2539),(9 1838.257),(10 1855.3402),(11 1837.5277),(12 1842.1289),(13 1835.4229),(14 1837.594),(15 1864.048),(16 1873.4454),(17 1856.3882),(18 1853.8461),(19 1865.5823),(20 1886.7296),(21 1924.9819),(22 1966.2664),(23 1974.5367),(24 1982.8143),(25 1997.4624),(26 2042.409),(27 2091.363),(28 2123.538),(29 2157.0515),(30 2192.8293),(31 2206.46),(32 2210.518),(33 2240.6636),(34 2290.9417),(35 2332.4717),(36 2397.4846),(37 2397.6528),(38 2410.804),(39 2473.675),(40 2500.5388),(41 2529.6318),(42 2558.0537),(43 2540.464),(44 2540.802),(45 2551.2312),(46 2536.481),(47 2518.4558),(48 2539.5005),(49 2547.652),(50 2541.309),(51 2491.0522),(52 2492.0103),(53 2503.6418),(54 2496.4697),(55 2453.8987),(56 2445.3545),(57 2422.0378),(58 2355.1675),(59 2277.4348),(60 2245.773),(61 2231.7551),(62 2205.8635),(63 2170.7515),(64 2191.6775),(65 2219.3376),(66 2236.4246),(67 2235.1125),(68 2232.7122),(69 2247.8499),(70 2291.4128),(71 2291.512),(72 2314.2402),(73 2315.1426),(74 2302.4097),(75 2252.5576),(76 2301.905),(77 2334.1833),(78 2355.8254),(79 2356.919),
