1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 100687.85),(2 131465.45),(3 95789.445),(4 228915.83),(5 313052.84),(6 324600.38),(7 497386.1),(8 631722.06),(9 715243.5),(10 950114.8),(11 1184754.1),(12 1334037.6),(13 1640226.4),(14 1920303.5),(15 2169283.8),(16 2536861.8),(17 2933882),(18 3283977),(19 3726480.8),(20 4206470.5),(21 4616132.5),(22 5092887),(23 5588816.5),(24 6002262),(25 6532320.5),(26 7094035.5),(27 7532278),(28 8076054.5),(29 8670920),(30 9174019),(31 9767766),(32 10414768),(33 10918873),(34 11520785),(35 12195677),(36 12754812),(37 13454769),(38 14245815),(39 14829723),(40 15563764),(41 16397627),(42 17050094),(43 17872462),(44 18851964),(45 19654786),(46 20613582),(47 21692378),(48 22568416),(49 23506102),(50 24553798),(51 25385378),(52 26270818),(53 27273978),(54 28052606),(55 28900106),(56 29893216),(57 30630312),(58 31322026),(59 32196774),(60 32839194),(61 33395312),(62 34225964),(63 34762612),(64 35331820),(65 35955344),(66 36367660),(67 36811236),(68 37361156),(69 37709984),(70 38093190),(71 38643340),(72 39003000),(73 39272268),(74 39856596),(75 40365750),(76 40940096),(77 41748776),(78 42389332),(79 43185564),
(1 715.41766),(2 1019.0451),(3 1251.4012),(4 1364.5441),(5 1463.5557),(6 1514.7799),(7 1489.3802),(8 1441.2783),(9 1370.6149),(10 1308.7341),(11 1262.691),(12 1230.3843),(13 1246.3142),(14 1284.2854),(15 1337.0569),(16 1367.5002),(17 1418.8661),(18 1457.3241),(19 1469.2406),(20 1464.0654),(21 1463.108),(22 1441.1074),(23 1407.7295),(24 1382.0863),(25 1384.5773),(26 1385.9921),(27 1373.2396),(28 1381.0127),(29 1398.3575),(30 1423.1293),(31 1433.8411),(32 1428.7174),(33 1436.8676),(34 1428.4174),(35 1412.9565),(36 1395.457),(37 1396.5427),(38 1395.8303),(39 1397.6387),(40 1405.9275),(41 1398.6493),(42 1370.277),(43 1333.3145),(44 1292.9348),(45 1259.808),(46 1228.3293),(47 1220.3688),(48 1220.1677),(49 1229.1632),(50 1232.6179),(51 1242.9751),(52 1258.1741),(53 1253.0016),(54 1257.6597),(55 1241.7485),(56 1222.5441),(57 1200.6421),(58 1211.0792),(59 1225.1344),(60 1232.1544),(61 1222.7833),(62 1231.5692),(63 1243.4619),(64 1244.6735),(65 1269.1698),(66 1282.4362),(67 1293.3864),(68 1297.8993),(69 1300.9485),(70 1318.4604),(71 1318.1244),(72 1327.0593),(73 1314.8452),(74 1292.3403),(75 1282.5482),(76 1286.5376),(77 1310.3644),(78 1318.3207),(79 1327.9479),
(1 692.19214),(2 982.78125),(3 1193.5363),(4 1299.5669),(5 1397.5353),(6 1428.9652),(7 1414.8359),(8 1402.8737),(9 1355.9958),(10 1300.9626),(11 1240.9518),(12 1217.7307),(13 1207.6183),(14 1236.9692),(15 1295.6487),(16 1347.4149),(17 1394.5619),(18 1422.2213),(19 1431.9133),(20 1418.0317),(21 1408.0422),(22 1395.96),(23 1362.0721),(24 1342.4),(25 1333.7825),(26 1326.3545),(27 1337.3525),(28 1346.5002),(29 1366.2501),(30 1394.8882),(31 1388.6447),(32 1388.8682),(33 1394.4875),(34 1399.567),(35 1392.396),(36 1377.5746),(37 1385.3519),(38 1388.6244),(39 1381.9304),(40 1368.846),(41 1363.4854),(42 1349.973),(43 1316.1107),(44 1273.161),(45 1243.4491),(46 1224.4348),(47 1220.5623),(48 1219.8336),(49 1228.9426),(50 1239.0415),(51 1261.6644),(52 1271.6796),(53 1264.4526),(54 1249.794),(55 1222.4476),(56 1204.646),(57 1194.8629),(58 1186.9235),(59 1198.5739),(60 1209.21),(61 1225.295),(62 1234.8234),(63 1236.3926),(64 1237.8336),(65 1240.9459),(66 1240.8702),(67 1251.1146),(68 1267.5442),(69 1283.068),(70 1284.8844),(71 1293.8751),(72 1291.7268),(73 1277.1613),(74 1285.1517),(75 1298.9855),(76 1283.6134),(77 1280.7604),(78 1286.7311),(79 1301.7653),
(1 686.8545),(2 973.1511),(3 1176.2355),(4 1291.5956),(5 1401.8945),(6 1433.629),(7 1425.5275),(8 1405.5144),(9 1338.9359),(10 1284.5684),(11 1227.9486),(12 1200.7614),(13 1201.0024),(14 1230.9292),(15 1289.6544),(16 1321.0602),(17 1359.9849),(18 1384.6914),(19 1391.8479),(20 1409.8192),(21 1414.8708),(22 1393.8253),(23 1369.217),(24 1344.4968),(25 1329.0637),(26 1330.4211),(27 1329.3634),(28 1328.4596),(29 1336.3994),(30 1360.5308),(31 1364.7238),(32 1355.6046),(33 1366.168),(34 1364.1984),(35 1372.53),(36 1359.3837),(37 1360.4941),(38 1357.2235),(39 1353.7793),(40 1350.8289),(41 1337.2471),(42 1317.0356),(43 1283.8326),(44 1257.401),(45 1236.7794),(46 1216.8433),(47 1202.3782),(48 1208.8876),(49 1222.2745),(50 1235.6335),(51 1236.3076),(52 1250.0735),(53 1244.3942),(54 1228.4708),(55 1195.4088),(56 1164.2258),(57 1162.5424),(58 1154.187),(59 1155.0221),(60 1171.7131),(61 1180.0558),(62 1186.119),(63 1199.0045),(64 1212.837),(65 1224.7108),(66 1236.2672),(67 1239.8328),(68 1252.6494),(69 1258.4722),(70 1263.2374),(71 1258.7916),(72 1247.3448),(73 1249.579),(74 1254.1104),(75 1264.4725),(76 1264.276),(77 1247.2513),(78 1265.768),(79 1268.8165),
(1 676.8475),(2 961.4451),(3 1169.8203),(4 1284.3623),(5 1374.5635),(6 1408.9768),(7 1398.891),(8 1367.6138),(9 1313.1354),(10 1263.3182),(11 1216.9875),(12 1196.9868),(13 1184.4971),(14 1203.4122),(15 1265.9569),(16 1311.387),(17 1354.4336),(18 1381.1125),(19 1370.802),(20 1378.8716),(21 1382.7761),(22 1364.2742),(23 1340.1764),(24 1317.8016),(25 1301.5602),(26 1282.1349),(27 1280.4773),(28 1312.8794),(29 1332.4513),(30 1349.5067),(31 1357.4003),(32 1349.5311),(33 1365.8085),(34 1366.0668),(35 1361.2563),(36 1341.3556),(37 1341.5199),(38 1328.4886),(39 1323.0931),(40 1320.0168),(41 1312.3069),(42 1305.5183),(43 1274.0485),(44 1243.0771),(45 1219.986),(46 1201.6741),(47 1188.2623),(48 1185.1582),(49 1200.6091),(50 1210.6836),(51 1234.9614),(52 1244.6154),(53 1254.8396),(54 1232.4412),(55 1207.5328),(56 1183.3442),(57 1170.1648),(58 1155.712),(59 1157.6523),(60 1170.0427),(61 1171.9698),(62 1181.5972),(63 1183.1373),(64 1196.5214),(65 1206.1436),(66 1211.0547),(67 1234.9023),(68 1255.0157),(69 1263.2623),(70 1266.5631),(71 1259.9792),(72 1248.6036),(73 1252.6556),(74 1246.7625),(75 1245.8275),(76 1254.634),(77 1255.3506),(78 1285.58),(79 1291.1758),
(1 664.89185),(2 948.08014),(3 1161.7887),(4 1270.9298),(5 1371.5215),(6 1392.014),(7 1375.2323),(8 1342.3639),(9 1277.1516),(10 1195.6987),(11 1171.6865),(12 1161.6036),(13 1185.8892),(14 1211.6085),(15 1283.7081),(16 1330.1404),(17 1372.9335),(18 1384.1276),(19 1368.3579),(20 1359.9255),(21 1349.7852),(22 1331.6625),(23 1319.2837),(24 1308.0967),(25 1300.156),(26 1291.7322),(27 1306.5756),(28 1313.3362),(29 1332.6686),(30 1336.7421),(31 1324.9845),(32 1335.4825),(33 1336.6105),(34 1347.8439),(35 1331.7902),(36 1315.4874),(37 1323.838),(38 1321.3911),(39 1305.452),(40 1302.4158),(41 1290.472),(42 1292.691),(43 1250.0225),(44 1213.4376),(45 1181.3085),(46 1165.4341),(47 1148.0692),(48 1132.9929),(49 1144.827),(50 1165.5988),(51 1172.6165),(52 1186.0502),(53 1185.2915),(54 1170.82),(55 1160.801),(56 1135.0553),(57 1142.3152),(58 1144.414),(59 1146.0721),(60 1151.7063),(61 1161.2788),(62 1169.6971),(63 1174.9822),(64 1181.5767),(65 1192.4144),(66 1204.1602),(67 1212.4388),(68 1220.7194),(69 1223.6312),(70 1232.9668),(71 1235.0125),(72 1226.8068),(73 1224.1833),(74 1216.8907),(75 1213.8152),(76 1207.7073),(77 1224.8971),(78 1237.2601),(79 1227.5875),
(1 655.98083),(2 933.1762),(3 1142.4374),(4 1254.2943),(5 1341.1377),(6 1363.7169),(7 1364.094),(8 1327.2971),(9 1269.0585),(10 1205.9769),(11 1150.4442),(12 1135.9485),(13 1154.8635),(14 1189.7773),(15 1246.0123),(16 1293.8263),(17 1340.415),(18 1356.7858),(19 1338.1366),(20 1333.8481),(21 1325.0543),(22 1307.7129),(23 1270.0382),(24 1255.3951),(25 1259.7789),(26 1259.5521),(27 1276.296),(28 1304.5192),(29 1315.062),(30 1316.156),(31 1315.0839),(32 1319.8553),(33 1317.2373),(34 1310.1493),(35 1305.8016),(36 1300.5703),(37 1303.6978),(38 1314.6299),(39 1302.156),(40 1296.3712),(41 1281.1886),(42 1269.923),(43 1240.6691),(44 1205.5153),(45 1179.7754),(46 1154.3016),(47 1149.7385),(48 1155.879),(49 1160.374),(50 1176.5269),(51 1184.6146),(52 1195.3671),(53 1196.8005),(54 1195.7896),(55 1175.0226),(56 1144.8862),(57 1138.0072),(58 1132.5585),(59 1143.71),(60 1138.6844),(61 1145.0181),(62 1161.6719),(63 1165.5973),(64 1171.0281),(65 1170.7517),(66 1190.7782),(67 1192.8724),(68 1204.5228),(69 1226.0659),(70 1223.3363),(71 1215.945),(72 1223.4197),(73 1221.5204),(74 1211.3623),(75 1209.6624),(76 1205.8541),(77 1209.522),(78 1220.9811),(79 1227.3704),
(1 639.27795),(2 908.02734),(3 1096.487),(4 1196.5048),(5 1271.7943),(6 1298.2643),(7 1280.1221),(8 1258.1488),(9 1204.3363),(10 1155.4163),(11 1123.5537),(12 1118.7372),(13 1128.4904),(14 1140.6897),(15 1200.6368),(16 1244.7946),(17 1281.4578),(18 1302.8901),(19 1299.0468),(20 1304.7256),(21 1314.8326),(22 1298.0807),(23 1271.7233),(24 1260.5684),(25 1243.0778),(26 1245.0842),(27 1264.8981),(28 1272.2749),(29 1270.62),(30 1269.4865),(31 1278.152),(32 1278.7543),(33 1276.1504),(34 1280.8329),(35 1273.7456),(36 1273.8152),(37 1278.5533),(38 1281.3445),(39 1276.8596),(40 1262.2507),(41 1261.8447),(42 1230.6909),(43 1181.8956),(44 1163.0153),(45 1146.7373),(46 1127.5874),(47 1121.6019),(48 1122.2738),(49 1123.5018),(50 1128.9069),(51 1149.2333),(52 1161.1909),(53 1160.1191),(54 1154.4506),(55 1138.303),(56 1107.736),(57 1090.9457),(58 1100.948),(59 1115.876),(60 1117.8241),(61 1129.1799),(62 1132.0813),(63 1132.5881),(64 1135.4554),(65 1151.2953),(66 1159.6547),(67 1176.1318),(68 1187.4594),(69 1188.4774),(70 1195.248),(71 1201.2898),(72 1204.4269),(73 1188.1953),(74 1181.9242),(75 1177.369),(76 1177.3804),(77 1194.2406),(78 1193.571),(79 1196.9684),
(1 641.4296),(2 900.0596),(3 1089.3656),(4 1178.4691),(5 1252.5154),(6 1269.2009),(7 1267.5608),(8 1242.147),(9 1215.2428),(10 1173.663),(11 1135.5599),(12 1133.4747),(13 1146.2366),(14 1161.5052),(15 1190.3165),(16 1216.9692),(17 1269.0001),(18 1293.4557),(19 1292.8898),(20 1297.1683),(21 1298.7125),(22 1299.8878),(23 1261.6039),(24 1244.5688),(25 1232.3837),(26 1232.7515),(27 1238.7706),(28 1241.4198),(29 1235.682),(30 1242.6576),(31 1246.3523),(32 1254.382),(33 1263.489),(34 1258.8839),(35 1249.5243),(36 1241.3057),(37 1251.3813),(38 1259.4276),(39 1254.7709),(40 1250.3984),(41 1236.3851),(42 1210.7513),(43 1170.9469),(44 1143.1621),(45 1112.43),(46 1107.0018),(47 1096.4106),(48 1094.0411),(49 1092.7029),(50 1108.3925),(51 1122.9052),(52 1126.9799),(53 1130.2461),(54 1135.1602),(55 1122.4309),(56 1094.6061),(57 1091.2147),(58 1088.6393),(59 1101.3063),(60 1113.038),(61 1110.0985),(62 1117.6918),(63 1133.781),(64 1135.0197),(65 1125.8126),(66 1129.3107),(67 1142.0443),(68 1161.897),(69 1179.1587),(70 1183.739),(71 1177.349),(72 1176.5531),(73 1175.6396),(74 1172.513),(75 1170.083),(76 1164.7551),(77 1170.8207),(78 1190.7715),(79 1204.0978),
(1 633.31604),(2 891.614),(3 1061.6687),(4 1159.8796),(5 1243.4752),(6 1278.2731),(7 1270.1512),(8 1241.7904),(9 1184.599),(10 1128.37),(11 1085.8936),(12 1084.935),(13 1094.5205),(14 1110.4207),(15 1150.7064),(16 1188.1056),(17 1226.4813),(18 1230.4155),(19 1227.8226),(20 1226.3442),(21 1221.3658),(22 1209.7019),(23 1194.815),(24 1180.0491),(25 1182.6344),(26 1172.7649),(27 1188.1626),(28 1193.5168),(29 1183.8505),(30 1205.7965),(31 1219.2806),(32 1195.682),(33 1210.3789),(34 1220.6222),(35 1202.3414),(36 1190.7552),(37 1190.2811),(38 1189.9922),(39 1204.1844),(40 1200.1943),(41 1203.8458),(42 1187.1932),(43 1146.1825),(44 1104.9321),(45 1079.3514),(46 1067.51),(47 1060.2683),(48 1060.1392),(49 1067.2542),(50 1082.4119),(51 1084.7832),(52 1086.9432),(53 1093.3273),(54 1092.7031),(55 1078.8115),(56 1062.5045),(57 1060.1644),(58 1053.0015),(59 1072.1294),(60 1081.6394),(61 1089.6404),(62 1087.1067),(63 1093.4636),(64 1097.1619),(65 1107.6454),(66 1119.9095),(67 1121.5525),(68 1132.6722),(69 1144.8729),(70 1150.7516),(71 1146.6501),(72 1136.4889),(73 1125.7653),(74 1124.5262),(75 1135.3805),(76 1126.3884),(77 1137.1797),(78 1145.5146),(79 1156.0032),
(1 626.78015),(2 876.97253),(3 1072.7516),(4 1180.586),(5 1257.2809),(6 1299.934),(7 1281.8574),(8 1244.849),(9 1178.4656),(10 1120.881),(11 1080.1407),(12 1073.4972),(13 1105.4288),(14 1116.5583),(15 1168.8462),(16 1199.9912),(17 1242.109),(18 1260.6204),(19 1259.6901),(20 1260.0538),(21 1249.5275),(22 1227.1069),(23 1208.4373),(24 1202.6555),(25 1209.5414),(26 1217.5016),(27 1231.2937),(28 1233.3638),(29 1229.7709),(30 1243.7616),(31 1236.7457),(32 1230.4242),(33 1236.8767),(34 1235.7748),(35 1228.9791),(36 1216.4622),(37 1211.2957),(38 1213.748),(39 1202.3689),(40 1194.0098),(41 1174.9276),(42 1159.9506),(43 1132.975),(44 1100.5563),(45 1066.8842),(46 1055.2958),(47 1055.4724),(48 1060.3892),(49 1054.224),(50 1063.5452),(51 1083.83),(52 1091.0914),(53 1096.0853),(54 1089.9442),(55 1078.1056),(56 1066.0858),(57 1068.8643),(58 1064.9857),(59 1075.4222),(60 1085.1975),(61 1090.6979),(62 1089.2622),(63 1095.0013),(64 1087.8163),(65 1094.022),(66 1113.6267),(67 1117.5925),(68 1123.5526),(69 1124.2141),(70 1130.7631),(71 1139.6251),(72 1126.5234),(73 1126.7412),(74 1118.9224),(75 1127.7612),(76 1115.2546),(77 1124.5026),(78 1138.2932),(79 1146.7405),
(1 602.7499),(2 857.9846),(3 1027.7213),(4 1117.0676),(5 1199.9119),(6 1240.2452),(7 1215.9415),(8 1202.1248),(9 1145.1813),(10 1091.5046),(11 1056.3892),(12 1047.1915),(13 1079.1475),(14 1103.682),(15 1149.0952),(16 1174.7782),(17 1210.4846),(18 1228.1548),(19 1233.1835),(20 1222.3278),(21 1210.449),(22 1203.8861),(23 1179.2062),(24 1160.348),(25 1177.8976),(26 1179.5045),(27 1198.5587),(28 1198.6624),(29 1188.5012),(30 1200.6025),(31 1210.5673),(32 1196.4934),(33 1200.9967),(34 1200.8229),(35 1195.3141),(36 1198.8201),(37 1193.6976),(38 1198.6426),(39 1201.7089),(40 1191.1569),(41 1173.1373),(42 1144.3536),(43 1109.8876),(44 1081.1058),(45 1060.4097),(46 1049.9286),(47 1058.7711),(48 1054.1613),(49 1051.198),(50 1047.9979),(51 1057.5548),(52 1066.0446),(53 1072.1505),(54 1067.8036),(55 1064.5575),(56 1053.4314),(57 1036.7666),(58 1028.0743),(59 1035.0884),(60 1065.7799),(61 1073.7156),(62 1074.5706),(63 1085.8102),(64 1088.3783),(65 1105.3463),(66 1132.583),(67 1133.35),(68 1127.0508),(69 1126.6471),(70 1148.3936),(71 1143.8444),(72 1124.8003),(73 1114.1716),(74 1114.2717),(75 1120.0983),(76 1109.9181),(77 1116.5515),(78 1124.63),(79 1135.3823),
(1 590.7217),(2 837.72455),(3 1004.03467),(4 1103.7775),(5 1184.8643),(6 1211.2474),(7 1195.8165),(8 1169.7573),(9 1107.7379),(10 1050.0641),(11 1014.5488),(12 1020.554),(13 1031.8422),(14 1058.106),(15 1102.5808),(16 1151.5428),(17 1184.5383),(18 1204.3821),(19 1200.5941),(20 1186.693),(21 1176.3818),(22 1166.6927),(23 1145.9807),(24 1128.2957),(25 1123.2825),(26 1124.981),(27 1147.2076),(28 1167.5826),(29 1163.8268),(30 1175.9484),(31 1171.336),(32 1167.6014),(33 1176.7036),(34 1172.972),(35 1164.72),(36 1164.3146),(37 1156.2112),(38 1150.5037),(39 1146.6118),(40 1128.2178),(41 1121.3196),(42 1108.9452),(43 1087.6201),(44 1058.0927),(45 1032.1011),(46 1018.64557),(47 1013.7279),(48 1031.5266),(49 1031.3107),(50 1031.414),(51 1050.4805),(52 1069.2269),(53 1055.549),(54 1051.9506),(55 1048.2678),(56 1030.451),(57 1018.71594),(58 1025.1504),(59 1054.6592),(60 1065.9398),(61 1055.9777),(62 1056.6619),(63 1071.9841),(64 1076.6035),(65 1100.1787),(66 1107.0962),(67 1110.1338),(68 1115.3423),(69 1116.7802),(70 1130.7008),(71 1131.7512),(72 1129.1777),(73 1119.2578),(74 1106.3356),(75 1101.7467),(76 1095.1947),(77 1101.8826),(78 1117.0259),(79 1115.416),
(1 581.2196),(2 827.44324),(3 997.09564),(4 1088.7573),(5 1163.6707),(6 1185.602),(7 1162.8622),(8 1133.6625),(9 1087.874),(10 1052.1858),(11 1009.19476),(12 1003.9486),(13 1027.7798),(14 1054.6359),(15 1089.876),(16 1116.4077),(17 1146.933),(18 1172.1855),(19 1164.9095),(20 1163.8773),(21 1161.8977),(22 1145.6278),(23 1133.8926),(24 1119.0023),(25 1124.2672),(26 1125.1749),(27 1144.5519),(28 1160.7766),(29 1152.917),(30 1158.8676),(31 1158.1449),(32 1149.8849),(33 1162.81),(34 1175.2786),(35 1157.9751),(36 1151.5853),(37 1152.8309),(38 1155.2896),(39 1158.726),(40 1139.5408),(41 1135.8517),(42 1114.7192),(43 1075.8563),(44 1050.488),(45 1032.3743),(46 1021.3977),(47 1007.56805),(48 1013.0376),(49 1010.78394),(50 1031.2202),(51 1048.5514),(52 1050.1769),(53 1054.3531),(54 1052.2229),(55 1032.6273),(56 1018.9851),(57 1004.6255),(58 998.50006),(59 1014.66675),(60 1026.8737),(61 1031.0248),(62 1033.3103),(63 1042.3671),(64 1049.1636),(65 1064.093),(66 1082.1357),(67 1092.4197),(68 1095.3549),(69 1114.9072),(70 1106.4459),(71 1107.9142),(72 1098.1),(73 1098.955),(74 1096.3928),(75 1101.2714),(76 1091.0299),(77 1094.8546),(78 1098.3284),(79 1099.4729),
(1 569.86597),(2 797.5173),(3 962.8737),(4 1053.1215),(5 1129.6228),(6 1150.7107),(7 1131.3339),(8 1104.3433),(9 1071.918),(10 1017.6589),(11 993.64575),(12 990.37744),(13 1017.221),(14 1040.7264),(15 1083.8722),(16 1113.3453),(17 1140.6956),(18 1152.5913),(19 1157.4008),(20 1136.0519),(21 1122.2587),(22 1103.3572),(23 1101.1663),(24 1098.9529),(25 1100.3448),(26 1107.6288),(27 1110.7312),(28 1138.2527),(29 1144.9608),(30 1149.1307),(31 1139.2086),(32 1129.8325),(33 1136.0248),(34 1132.087),(35 1122.131),(36 1116.1511),(37 1119.495),(38 1121.7694),(39 1125.8866),(40 1115.0453),(41 1102.8677),(42 1084.1976),(43 1061.7228),(44 1031.0646),(45 1007.0005),(46 1006.1167),(47 994.75354),(48 1002.92914),(49 999.28577),(50 1005.98444),(51 1016.0397),(52 1016.0929),(53 1019.4506),(54 1012.63196),(55 1005.6388),(56 1002.3999),(57 1002.163),(58 988.9318),(59 994.8672),(60 996.9174),(61 997.57367),(62 998.56146),(63 1001.0715),(64 1005.06476),(65 1028.9567),(66 1042.0964),(67 1059.3864),(68 1060.549),(69 1071.2152),(70 1075.7318),(71 1073.1165),(72 1064.1921),(73 1058.1343),(74 1056.2318),(75 1044.2186),(76 1036.8508),(77 1036.5198),(78 1042.22),(79 1055.3636),
(1 555.8069),(2 782.78033),(3 951.4354),(4 1041.0658),(5 1116.986),(6 1139.1326),(7 1122.6641),(8 1087.7344),(9 1037.968),(10 987.869),(11 962.6548),(12 972.4069),(13 997.39703),(14 1025.8267),(15 1066.3481),(16 1091.0973),(17 1132.3918),(18 1155.3671),(19 1155.6597),(20 1143.0109),(21 1140.0295),(22 1122.516),(23 1110.3241),(24 1101.644),(25 1106.0651),(26 1098.1395),(27 1109.615),(28 1117.0695),(29 1121.0675),(30 1134.4567),(31 1131.1113),(32 1116.8948),(33 1124.4508),(34 1124.3049),(35 1119.1632),(36 1109.73),(37 1104.826),(38 1101.0592),(39 1096.1611),(40 1091.8953),(41 1079.9865),(42 1056.0177),(43 1021.8864),(44 998.1889),(45 986.83093),(46 971.3547),(47 954.9921),(48 952.6727),(49 967.2231),(50 974.1427),(51 985.18634),(52 986.62024),(53 990.69653),(54 978.5445),(55 970.22534),(56 961.61646),(57 953.41754),(58 952.38995),(59 961.4187),(60 976.1036),(61 972.84875),(62 977.62915),(63 976.6539),(64 988.41284),(65 1002.0381),(66 1010.5124),(67 1025.7216),(68 1030.9651),(69 1034.0217),(70 1039.2104),(71 1047.313),(72 1043.5133),(73 1032.6226),(74 1025.7473),(75 1019.1606),(76 1017.93536),(77 1021.7976),(78 1026.6333),(79 1041.1617),
(1 559.2514),(2 793.9253),(3 948.47034),(4 1044.5836),(5 1103.1052),(6 1117.6945),(7 1087.5096),(8 1060.1407),(9 1026.6713),(10 997.4603),(11 973.46844),(12 972.9749),(13 994.45276),(14 1032.3527),(15 1062.6443),(16 1093.454),(17 1121.6376),(18 1129.5245),(19 1134.9583),(20 1129.9972),(21 1122.4554),(22 1107.1517),(23 1106.3798),(24 1104.6976),(25 1109.3369),(26 1113.4744),(27 1121.0378),(28 1123.775),(29 1130.3705),(30 1140.1696),(31 1137.9264),(32 1142.1837),(33 1146.275),(34 1141.552),(35 1131.8597),(36 1120.5157),(37 1123.054),(38 1117.7932),(39 1112.0874),(40 1106.7074),(41 1099.8643),(42 1083.8524),(43 1055.6322),(44 1030.9707),(45 1020.04266),(46 1010.35706),(47 995.4254),(48 989.695),(49 990.18884),(50 1004.79803),(51 1012.6163),(52 1017.1737),(53 1012.37665),(54 1012.52),(55 1001.39215),(56 981.8314),(57 984.4979),(58 987.54724),(59 996.28204),(60 1001.92993),(61 1004.8084),(62 996.0926),(63 997.9448),(64 1005.67755),(65 1006.9685),(66 1019.2987),(67 1021.6026),(68 1028.1848),(69 1042.363),(70 1054.8307),(71 1051.2078),(72 1043.2894),(73 1040.8481),(74 1043.9908),(75 1033.0085),(76 1020.5389),(77 1031.2272),(78 1043.8167),(79 1049.1437),
