1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 45635.285),(2 113727.32),(3 207159.63),(4 323876.6),(5 480619.9),(6 636355.7),(7 813324.3),(8 1014061.3),(9 1236606.4),(10 1490604.4),(11 1771330),(12 2083447.1),(13 2436845.3),(14 2802542.3),(15 3188242.3),(16 3671094),(17 4160760.8),(18 4628206.5),(19 5115086.5),(20 5625548),(21 6194334.5),(22 6834994.5),(23 7693808),(24 8549741),(25 9574401),(26 10611498),(27 11747685),(28 13004507),(29 14316044),(30 15749399),(31 17150090),(32 18790168),(33 20373200),(34 21959330),(35 23652568),(36 25310872),(37 26956042),(38 28534502),(39 30412058),(40 32011338),(41 33593024),(42 35016348),(43 36491600),(44 37816496),(45 39125916),(46 40411868),(47 41787676),(48 43065956),(49 44337996),(50 45534252),(51 46835820),(52 48002404),(53 49229204),(54 50289716),(55 51347200),(56 52390668),(57 53376510),(58 54248268),(59 55119664),(60 56285516),(61 57322260),(62 58328256),(63 59424576),(64 60516000),(65 61589532),(66 62618476),(67 63814076),(68 64807364),(69 65703732),(70 66608940),(71 67517990),(72 68227144),(73 69065860),(74 69803490),(75 70595610),(76 71549240),(77 72601640),(78 73652590),(79 75068200),
(1 386.1573),(2 488.89297),(3 511.03204),(4 533.7351),(5 568.50256),(6 574.2924),(7 581.47687),(8 599.46436),(9 600.3186),(10 594.1725),(11 612.0529),(12 609.74506),(13 628.34656),(14 635.042),(15 636.01685),(16 645.0979),(17 650.4364),(18 641.07574),(19 629.6518),(20 636.3712),(21 632.9977),(22 634.88544),(23 647.6516),(24 635.48895),(25 649.1575),(26 654.6374),(27 655.2391),(28 676.11804),(29 667.27216),(30 665.48865),(31 676.7373),(32 656.45233),(33 661.2814),(34 670.68085),(35 658.22894),(36 645.99365),(37 648.2714),(38 635.4288),(39 648.8837),(40 653.57404),(41 639.499),(42 636.8668),(43 644.05176),(44 644.3538),(45 647.8625),(46 647.4823),(47 644.7766),(48 642.38715),(49 634.1594),(50 620.8681),(51 623.00195),(52 615.923),(53 613.25024),(54 609.9642),(55 608.56696),(56 612.90753),(57 622.9036),(58 627.60406),(59 624.2118),(60 616.3058),(61 616.4958),(62 621.78705),(63 633.5459),(64 628.5293),(65 623.1734),(66 626.9383),(67 623.5371),(68 618.2667),(69 634.1862),(70 624.41235),(71 624.6096),(72 628.8932),(73 627.8381),(74 633.4201),(75 650.0379),(76 637.43475),(77 644.49084),(78 656.2081),(79 651.9347),
(1 385.53146),(2 491.0325),(3 513.4014),(4 540.1923),(5 576.7548),(6 579.1759),(7 591.49524),(8 609.15735),(9 607.0361),(10 605.44275),(11 616.9766),(12 620.4667),(13 630.71796),(14 638.54565),(15 646.13354),(16 646.0113),(17 640.6862),(18 635.36414),(19 630.50885),(20 635.5552),(21 628.2551),(22 631.53174),(23 650.1237),(24 640.72894),(25 638.2624),(26 645.6102),(27 652.8007),(28 672.3105),(29 666.3554),(30 667.36096),(31 669.11993),(32 645.7874),(33 642.03174),(34 653.1194),(35 645.79663),(36 634.8718),(37 640.1215),(38 633.8198),(39 637.0112),(40 641.6473),(41 634.70465),(42 626.7571),(43 631.0144),(44 623.7362),(45 638.49493),(46 635.4733),(47 631.13416),(48 633.59045),(49 626.9589),(50 620.16705),(51 619.0495),(52 619.6879),(53 621.5126),(54 620.3429),(55 615.22894),(56 617.67914),(57 624.1189),(58 621.9414),(59 624.1354),(60 624.4557),(61 619.853),(62 617.44666),(63 636.03845),(64 627.1063),(65 628.2794),(66 630.5011),(67 626.438),(68 623.4763),(69 637.1002),(70 624.88654),(71 625.5748),(72 631.5619),(73 623.2761),(74 612.6223),(75 630.82886),(76 612.6722),(77 621.19586),(78 633.7349),(79 627.9814),
(1 385.82324),(2 491.11456),(3 515.45984),(4 543.94763),(5 581.83105),(6 580.0938),(7 596.319),(8 613.8705),(9 621.4894),(10 610.076),(11 617.34296),(12 616.674),(13 629.61444),(14 642.3203),(15 645.625),(16 652.60706),(17 649.5915),(18 640.51855),(19 645.4287),(20 632.41943),(21 631.97485),(22 632.95264),(23 635.201),(24 633.21136),(25 635.1679),(26 638.87585),(27 638.16943),(28 669.40765),(29 648.1776),(30 646.8239),(31 658.1922),(32 643.08655),(33 644.53625),(34 644.9611),(35 639.3488),(36 628.71405),(37 628.70544),(38 625.63654),(39 630.29785),(40 627.65344),(41 636.2877),(42 644.0464),(43 643.40283),(44 632.6136),(45 635.58453),(46 637.8079),(47 628.63873),(48 631.99756),(49 622.3863),(50 612.38513),(51 621.1848),(52 617.75934),(53 624.0868),(54 631.8236),(55 620.66846),(56 619.81683),(57 623.62634),(58 632.80273),(59 634.67145),(60 630.3804),(61 625.01495),(62 611.3685),(63 623.40295),(64 619.7273),(65 622.6408),(66 632.18604),(67 625.518),(68 623.8799),(69 633.07794),(70 624.46747),(71 624.96857),(72 621.119),(73 618.7729),(74 619.23663),(75 634.5326),(76 620.28815),(77 622.74725),(78 621.4959),(79 619.43427),
(1 396.08655),(2 494.14563),(3 518.0378),(4 541.47766),(5 579.07465),(6 572.5628),(7 592.9426),(8 604.391),(9 597.5204),(10 597.50806),(11 611.0215),(12 608.94104),(13 614.3991),(14 623.90326),(15 633.54987),(16 636.4975),(17 640.63904),(18 632.7644),(19 642.5311),(20 638.2328),(21 631.5419),(22 630.5562),(23 635.6638),(24 627.4068),(25 632.84607),(26 637.15326),(27 639.4063),(28 658.19385),(29 645.3467),(30 650.9591),(31 654.6266),(32 643.23145),(33 637.28326),(34 650.3429),(35 641.3249),(36 623.2208),(37 623.2874),(38 616.85516),(39 632.27985),(40 628.6977),(41 624.044),(42 625.90497),(43 626.89124),(44 620.5018),(45 622.0936),(46 611.8938),(47 615.59937),(48 618.4885),(49 622.37067),(50 605.54834),(51 613.00073),(52 605.8145),(53 608.69507),(54 607.8008),(55 614.8989),(56 607.08105),(57 610.477),(58 611.5954),(59 617.9497),(60 626.2136),(61 624.68823),(62 620.03046),(63 633.4594),(64 628.8263),(65 630.759),(66 635.9752),(67 629.8732),(68 633.32135),(69 646.7184),(70 637.6634),(71 634.8264),(72 638.5186),(73 636.7955),(74 634.7616),(75 649.35767),(76 639.92377),(77 640.3581),(78 645.8551),(79 639.27106),
(1 381.0546),(2 468.16663),(3 493.78348),(4 515.141),(5 545.051),(6 553.69336),(7 568.23694),(8 582.1306),(9 584.3437),(10 593.0931),(11 596.30945),(12 602.3655),(13 606.293),(14 617.4688),(15 623.8597),(16 615.0259),(17 613.4807),(18 615.2396),(19 613.3871),(20 608.6575),(21 606.2857),(22 604.4772),(23 610.85693),(24 602.21875),(25 608.7278),(26 612.61957),(27 600.49805),(28 626.45245),(29 621.6122),(30 629.17267),(31 633.6685),(32 619.0114),(33 617.5342),(34 623.5957),(35 609.04913),(36 605.30743),(37 616.1952),(38 602.79706),(39 620.0802),(40 616.4318),(41 605.6779),(42 616.00116),(43 616.16656),(44 611.8388),(45 612.32),(46 603.98016),(47 593.7964),(48 599.10583),(49 601.9853),(50 603.0531),(51 599.52875),(52 589.95044),(53 595.67426),(54 589.53),(55 595.0836),(56 587.25977),(57 592.8923),(58 597.03033),(59 599.9842),(60 600.85),(61 595.5457),(62 596.0935),(63 602.4671),(64 597.61115),(65 597.8313),(66 600.4381),(67 591.1116),(68 603.55676),(69 613.0751),(70 606.6479),(71 608.6219),(72 607.319),(73 600.9018),(74 600.04626),(75 616.0224),(76 607.49506),(77 613.70447),(78 617.36993),(79 612.67255),
(1 389.4141),(2 484.1339),(3 513.7319),(4 533.70667),(5 567.49493),(6 568.97186),(7 582.38495),(8 599.9333),(9 599.39594),(10 614.361),(11 616.1477),(12 615.6957),(13 616.6767),(14 622.3427),(15 621.3533),(16 635.8881),(17 627.5349),(18 636.9221),(19 629.7724),(20 624.60626),(21 619.4079),(22 622.621),(23 627.5795),(24 622.9116),(25 629.9272),(26 631.4452),(27 629.8758),(28 650.07214),(29 649.1759),(30 638.78613),(31 647.8984),(32 637.31647),(33 641.5905),(34 645.05206),(35 630.8564),(36 634.6369),(37 631.9724),(38 627.57806),(39 642.50995),(40 642.6085),(41 640.3199),(42 641.41656),(43 640.1919),(44 638.0798),(45 633.2466),(46 628.605),(47 620.06604),(48 625.7056),(49 625.65094),(50 615.3666),(51 611.5891),(52 601.7041),(53 608.2506),(54 615.6832),(55 615.9851),(56 608.6897),(57 617.375),(58 617.19116),(59 626.57263),(60 627.6905),(61 630.7262),(62 627.35016),(63 634.679),(64 626.48376),(65 632.75116),(66 637.8227),(67 621.5734),(68 618.6144),(69 635.57983),(70 626.0951),(71 631.5138),(72 637.73596),(73 634.02155),(74 633.9661),(75 645.1911),(76 637.4356),(77 642.866),(78 639.2649),(79 635.88464),
(1 381.82178),(2 470.77832),(3 505.7084),(4 517.9089),(5 549.5889),(6 553.3748),(7 560.1072),(8 578.6489),(9 573.0591),(10 586.3958),(11 601.84546),(12 593.829),(13 607.16187),(14 623.3406),(15 627.8438),(16 618.30505),(17 609.268),(18 619.3549),(19 610.2818),(20 615.6953),(21 602.7608),(22 600.2877),(23 605.92993),(24 604.08246),(25 617.18945),(26 613.13367),(27 612.1303),(28 630.76807),(29 628.0472),(30 628.0186),(31 633.6203),(32 621.13226),(33 621.65424),(34 623.00385),(35 614.1472),(36 616.05426),(37 619.76776),(38 610.4742),(39 617.95026),(40 618.5685),(41 619.25616),(42 631.50726),(43 633.3924),(44 630.18243),(45 616.3516),(46 609.50006),(47 609.7279),(48 603.856),(49 609.01855),(50 605.4861),(51 604.3319),(52 595.6521),(53 593.60266),(54 599.35236),(55 606.6976),(56 598.44775),(57 601.91907),(58 604.3979),(59 612.9395),(60 614.4327),(61 612.4871),(62 616.1783),(63 617.02985),(64 601.44293),(65 605.06445),(66 608.36426),(67 602.19806),(68 606.89874),(69 621.2048),(70 606.4526),(71 603.8167),(72 601.2874),(73 591.7906),(74 593.45715),(75 602.4995),(76 598.19214),(77 594.63574),(78 599.2373),(79 602.62897),
(1 377.39883),(2 478.44104),(3 512.0672),(4 528.8926),(5 555.1858),(6 554.96173),(7 564.60376),(8 581.81287),(9 569.28864),(10 577.2449),(11 586.65045),(12 586.5295),(13 603.1134),(14 618.8103),(15 618.4184),(16 614.12256),(17 601.04156),(18 598.53894),(19 602.43176),(20 616.82965),(21 603.7483),(22 603.3133),(23 608.9596),(24 602.4548),(25 601.7422),(26 608.68604),(27 608.09094),(28 634.4465),(29 629.63226),(30 638.8412),(31 644.97906),(32 637.3378),(33 632.8527),(34 636.96185),(35 623.8886),(36 627.2267),(37 626.7007),(38 619.03046),(39 622.04156),(40 624.7187),(41 622.66284),(42 633.84937),(43 645.4604),(44 636.3535),(45 624.43414),(46 620.704),(47 614.9425),(48 606.46686),(49 610.0421),(50 600.3606),(51 597.06525),(52 597.6608),(53 588.16925),(54 598.3628),(55 594.5744),(56 593.0323),(57 591.90216),(58 594.8024),(59 593.34174),(60 593.8461),(61 589.3806),(62 597.47186),(63 607.4706),(64 592.4352),(65 589.82605),(66 600.81244),(67 593.1122),(68 591.0598),(69 613.1007),(70 598.9536),(71 590.01025),(72 608.1108),(73 600.66364),(74 599.07477),(75 615.89294),(76 611.25714),(77 604.6498),(78 603.69257),(79 605.22144),
(1 383.01718),(2 488.00684),(3 522.6697),(4 533.49225),(5 556.171),(6 559.0217),(7 566.44543),(8 582.6666),(9 583.0021),(10 588.4883),(11 591.8907),(12 595.2),(13 610.3271),(14 617.41925),(15 620.89856),(16 613.1596),(17 608.3157),(18 606.362),(19 599.1488),(20 610.1241),(21 609.20294),(22 603.5996),(23 611.2913),(24 610.5221),(25 612.3474),(26 605.4176),(27 604.22064),(28 622.6419),(29 618.20825),(30 632.1381),(31 636.34644),(32 627.38837),(33 617.6798),(34 625.1758),(35 622.5394),(36 619.7004),(37 616.3388),(38 614.58844),(39 627.241),(40 619.558),(41 622.0547),(42 623.9992),(43 630.03186),(44 624.32684),(45 615.52325),(46 611.3072),(47 606.214),(48 607.06067),(49 609.33636),(50 594.41846),(51 595.3077),(52 593.5318),(53 594.61383),(54 597.47766),(55 595.30676),(56 590.20447),(57 592.1659),(58 589.11456),(59 587.53467),(60 591.3063),(61 592.57495),(62 593.38306),(63 606.43225),(64 597.9344),(65 597.21765),(66 609.2665),(67 600.2831),(68 606.3964),(69 633.327),(70 614.548),(71 600.50085),(72 609.1351),(73 603.48615),(74 603.36865),(75 616.84766),(76 612.0068),(77 617.1362),(78 614.95465),(79 616.61884),
(1 369.6464),(2 469.27414),(3 498.8009),(4 511.6312),(5 537.1507),(6 534.1375),(7 544.6565),(8 559.2314),(9 559.2048),(10 564.6213),(11 575.5353),(12 568.7243),(13 579.44904),(14 583.58405),(15 583.89044),(16 575.2675),(17 576.9868),(18 578.61816),(19 573.126),(20 585.298),(21 584.3066),(22 582.5109),(23 583.25354),(24 571.0055),(25 573.7188),(26 570.05475),(27 580.6478),(28 599.3722),(29 597.91614),(30 604.1277),(31 611.1358),(32 601.4938),(33 602.84564),(34 607.3049),(35 599.45026),(36 599.3648),(37 592.4352),(38 586.1696),(39 594.91895),(40 597.2771),(41 597.09625),(42 607.27686),(43 605.20325),(44 595.0168),(45 592.3201),(46 574.87134),(47 579.47455),(48 583.6511),(49 579.8528),(50 571.3898),(51 573.7727),(52 569.0692),(53 565.28033),(54 563.1224),(55 567.60345),(56 577.33997),(57 580.66504),(58 582.65546),(59 572.4534),(60 576.8766),(61 574.56934),(62 571.0105),(63 581.3483),(64 570.68),(65 567.61664),(66 570.58154),(67 563.847),(68 568.18335),(69 587.0304),(70 579.28357),(71 573.9242),(72 570.7848),(73 574.66),(74 577.3424),(75 594.02185),(76 586.43353),(77 591.0471),(78 594.4824),(79 582.2506),
(1 378.88055),(2 476.0938),(3 500.7253),(4 513.32684),(5 543.46436),(6 545.02814),(7 563.6953),(8 573.32697),(9 572.1466),(10 574.7743),(11 586.9549),(12 590.8015),(13 595.1026),(14 606.80005),(15 609.3198),(16 596.4699),(17 598.7839),(18 595.6221),(19 594.26984),(20 598.2962),(21 592.4426),(22 593.6332),(23 597.7004),(24 589.98596),(25 585.59644),(26 591.14343),(27 583.955),(28 604.994),(29 599.8043),(30 604.70013),(31 612.6916),(32 603.18463),(33 599.8239),(34 594.3174),(35 583.71674),(36 587.5543),(37 585.75323),(38 579.61066),(39 591.36725),(40 585.1722),(41 586.4012),(42 601.75256),(43 610.4656),(44 602.9664),(45 593.5121),(46 579.5623),(47 582.8199),(48 586.9036),(49 586.4495),(50 580.28625),(51 583.4483),(52 582.1537),(53 577.3468),(54 567.8226),(55 566.6156),(56 560.92584),(57 578.72437),(58 585.8597),(59 581.9829),(60 587.25977),(61 588.25165),(62 582.8721),(63 587.05475),(64 580.0887),(65 587.8247),(66 592.1846),(67 587.2201),(68 593.63525),(69 605.25653),(70 590.45874),(71 586.6391),(72 593.22314),(73 592.63855),(74 593.0984),(75 603.5974),(76 593.5804),(77 592.7502),(78 596.69196),(79 593.931),
(1 363.73373),(2 463.66702),(3 487.23975),(4 506.88022),(5 537.7874),(6 539.0865),(7 550.02875),(8 561.9023),(9 572.69104),(10 571.03754),(11 582.66327),(12 580.00854),(13 592.00854),(14 592.73254),(15 602.2295),(16 592.37634),(17 589.4569),(18 584.6378),(19 583.52734),(20 589.0967),(21 586.55536),(22 584.76013),(23 583.7654),(24 581.1336),(25 589.69366),(26 579.158),(27 583.74194),(28 599.9966),(29 588.55707),(30 598.159),(31 608.06055),(32 589.07904),(33 586.62646),(34 583.7118),(35 577.96216),(36 581.479),(37 581.71313),(38 574.4698),(39 582.4655),(40 589.8832),(41 576.73346),(42 578.8987),(43 585.4957),(44 582.4173),(45 582.2714),(46 579.88324),(47 579.0953),(48 575.49194),(49 569.0829),(50 571.9457),(51 576.68634),(52 581.13025),(53 580.0058),(54 571.7241),(55 569.23016),(56 570.1181),(57 576.1234),(58 582.84045),(59 577.46204),(60 586.2762),(61 580.37244),(62 567.6733),(63 578.55756),(64 562.8116),(65 571.0417),(66 577.4333),(67 579.08966),(68 571.2737),(69 579.8983),(70 567.6827),(71 569.6866),(72 580.98737),(73 582.79346),(74 580.98267),(75 591.97363),(76 579.5171),(77 576.82715),(78 580.9028),(79 591.2502),
(1 367.77078),(2 466.73465),(3 495.84897),(4 522.19867),(5 537.6556),(6 527.3489),(7 542.4728),(8 558.90796),(9 557.90784),(10 569.55225),(11 574.9057),(12 574.4487),(13 589.1023),(14 597.81744),(15 606.1584),(16 593.66046),(17 589.68884),(18 586.8149),(19 585.0782),(20 585.3392),(21 576.7919),(22 576.91626),(23 589.964),(24 594.0328),(25 595.70074),(26 589.9981),(27 590.2481),(28 609.863),(29 603.49316),(30 608.35754),(31 603.3784),(32 588.6288),(33 589.44617),(34 595.54004),(35 580.16583),(36 579.882),(37 577.28986),(38 570.88055),(39 570.7401),(40 575.478),(41 570.6209),(42 578.7898),(43 578.287),(44 569.5032),(45 567.0936),(46 571.9026),(47 570.3412),(48 566.5722),(49 564.9342),(50 557.9427),(51 557.73987),(52 569.1251),(53 567.3891),(54 562.77423),(55 568.4733),(56 565.8334),(57 564.75226),(58 575.558),(59 572.7925),(60 579.3076),(61 579.12427),(62 574.0566),(63 587.9964),(64 576.4084),(65 579.4734),(66 589.9758),(67 579.95056),(68 583.185),(69 596.3525),(70 580.8027),(71 577.7511),(72 586.66547),(73 584.6425),(74 586.7463),(75 591.0326),(76 582.7403),(77 575.2522),(78 586.12286),(79 584.4985),
(1 363.6545),(2 464.837),(3 506.7448),(4 522.8481),(5 543.3854),(6 538.50354),(7 551.7434),(8 566.07263),(9 569.61536),(10 573.16034),(11 582.1404),(12 583.33527),(13 590.84076),(14 588.61505),(15 588.4432),(16 587.13434),(17 586.1067),(18 590.69226),(19 575.34534),(20 580.66644),(21 573.35474),(22 567.52234),(23 584.4508),(24 581.6058),(25 586.2022),(26 586.7508),(27 593.7251),(28 606.25085),(29 602.8524),(30 612.0444),(31 619.4838),(32 597.01855),(33 597.6114),(34 597.73065),(35 583.00793),(36 586.65625),(37 596.62354),(38 584.2268),(39 583.8667),(40 584.68365),(41 568.6787),(42 572.1448),(43 583.38385),(44 580.4471),(45 581.1833),(46 581.06586),(47 575.6638),(48 576.10345),(49 578.0603),(50 562.8477),(51 565.8618),(52 564.694),(53 565.99207),(54 562.43787),(55 570.2019),(56 567.86316),(57 564.68835),(58 571.69275),(59 573.4942),(60 582.14594),(61 575.1956),(62 568.6337),(63 583.055),(64 574.6471),(65 575.1782),(66 580.9869),(67 574.84924),(68 576.65753),(69 583.0168),(70 572.979),(71 571.26715),(72 568.1539),(73 563.97565),(74 569.31824),(75 585.1698),(76 575.6573),(77 574.2283),(78 578.57275),(79 569.67645),
(1 358.87128),(2 455.72174),(3 487.51953),(4 504.6749),(5 526.1509),(6 526.1535),(7 538.25775),(8 553.2414),(9 553.9848),(10 557.8122),(11 562.049),(12 567.80316),(13 575.97906),(14 578.69684),(15 583.25183),(16 585.3533),(17 584.40356),(18 578.34845),(19 569.64856),(20 579.9571),(21 569.96313),(22 573.679),(23 572.8722),(24 567.5769),(25 577.32855),(26 573.8173),(27 578.60626),(28 592.81604),(29 586.65533),(30 589.51245),(31 597.2691),(32 575.3814),(33 572.8266),(34 579.65454),(35 565.51935),(36 570.8959),(37 585.7248),(38 570.409),(39 565.317),(40 572.9017),(41 567.7037),(42 574.0142),(43 581.6527),(44 584.127),(45 582.9556),(46 575.41583),(47 569.0899),(48 572.7067),(49 569.54047),(50 560.1479),(51 563.205),(52 562.9093),(53 571.69275),(54 579.14),(55 575.08716),(56 575.97705),(57 575.5997),(58 575.6886),(59 576.78613),(60 582.2643),(61 583.3704),(62 572.7171),(63 581.72534),(64 573.4706),(65 573.80634),(66 576.59973),(67 560.0614),(68 563.13586),(69 574.8348),(70 566.6023),(71 565.2247),(72 566.59937),(73 559.366),(74 560.10345),(75 568.5643),(76 564.36444),(77 567.48724),(78 571.65924),(79 560.2469),
(1 364.2144),(2 459.61105),(3 489.95358),(4 509.58734),(5 538.4835),(6 530.09485),(7 548.1568),(8 560.2927),(9 565.38257),(10 567.57184),(11 575.36646),(12 575.1572),(13 579.3274),(14 576.63446),(15 573.84955),(16 578.38947),(17 586.70233),(18 579.27466),(19 576.7237),(20 586.2574),(21 577.12177),(22 574.8502),(23 575.0351),(24 576.72546),(25 583.818),(26 583.5006),(27 579.23926),(28 604.1925),(29 594.6881),(30 593.18494),(31 596.231),(32 579.0781),(33 572.3921),(34 577.94037),(35 568.79486),(36 570.8348),(37 585.8545),(38 573.2835),(39 570.7109),(40 564.15173),(41 556.7561),(42 566.53345),(43 573.21533),(44 570.76654),(45 570.55444),(46 574.117),(47 573.38306),(48 575.36694),(49 571.1756),(50 558.7679),(51 573.2638),(52 567.0247),(53 573.0644),(54 580.2748),(55 581.12335),(56 579.43365),(57 578.0929),(58 577.99774),(59 585.0708),(60 592.45044),(61 591.05334),(62 584.2871),(63 591.75085),(64 583.4984),(65 582.2029),(66 586.55194),(67 573.5854),(68 583.645),(69 598.93604),(70 585.2594),(71 578.0838),(72 574.4875),(73 564.6027),(74 565.3239),(75 576.193),(76 578.25256),(77 576.5753),(78 575.6486),(79 566.58405),
(1 359.453),(2 457.2913),(3 482.1555),(4 503.87766),(5 538.4783),(6 534.68085),(7 545.54785),(8 558.0863),(9 557.2466),(10 562.8376),(11 569.5559),(12 574.6216),(13 573.20215),(14 579.00024),(15 580.42175),(16 583.4289),(17 580.7718),(18 572.46185),(19 564.3016),(20 573.04065),(21 561.94214),(22 554.36066),(23 560.9536),(24 562.29724),(25 571.2195),(26 567.8095),(27 572.56537),(28 599.4618),(29 590.9259),(30 591.1764),(31 592.0733),(32 575.3954),(33 573.2015),(34 577.1034),(35 570.6397),(36 574.6254),(37 577.0667),(38 572.29926),(39 587.53033),(40 580.49164),(41 579.3159),(42 595.69696),(43 586.8771),(44 582.89484),(45 582.02325),(46 583.62646),(47 584.5346),(48 578.25665),(49 562.2768),(50 552.3026),(51 568.2765),(52 555.56433),(53 557.02356),(54 564.1711),(55 555.3373),(56 566.2659),(57 571.06323),(58 566.81396),(59 565.0198),(60 561.3774),(61 562.04596),(62 563.3565),(63 564.2653),(64 550.90704),(65 556.681),(66 563.63446),(67 554.4944),(68 556.064),(69 576.53033),(70 561.3784),(71 555.5265),(72 559.73145),(73 556.89655),(74 557.53357),(75 571.3561),(76 565.03204),(77 558.6493),(78 566.42487),(79 565.95233),
(1 356.74188),(2 442.3934),(3 465.33524),(4 483.52002),(5 515.52765),(6 515.2779),(7 532.2963),(8 538.05316),(9 537.0858),(10 535.63214),(11 545.86383),(12 545.832),(13 553.8363),(14 556.7727),(15 567.8042),(16 570.5945),(17 564.65985),(18 555.7529),(19 552.4737),(20 564.1092),(21 548.0268),(22 544.87866),(23 549.5276),(24 547.6765),(25 550.61475),(26 542.28326),(27 542.64813),(28 560.2931),(29 550.12683),(30 553.8731),(31 560.1468),(32 551.0225),(33 558.1935),(34 563.9304),(35 552.571),(36 550.3836),(37 557.97516),(38 555.444),(39 575.2496),(40 565.816),(41 552.57513),(42 559.92413),(43 561.8885),(44 541.3699),(45 547.2423),(46 554.5177),(47 546.6358),(48 538.5618),(49 537.009),(50 529.45953),(51 541.7395),(52 540.74713),(53 538.35205),(54 537.7373),(55 541.9213),(56 539.0726),(57 548.44366),(58 547.0852),(59 547.47437),(60 554.0912),(61 550.507),(62 551.5442),(63 559.1041),(64 546.6906),(65 546.5793),(66 555.7438),(67 544.0931),(68 548.0056),(69 558.4178),(70 547.0073),(71 543.7513),(72 552.29614),(73 544.6123),(74 540.67365),(75 551.1318),(76 544.0611),(77 542.732),(78 545.4244),(79 546.6475),
