1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40173.285),(2 59327.168),(3 63209.395),(4 129802),(5 178342.8),(6 200947),(7 278958.1),(8 339069.1),(9 341649.78),(10 404024.34),(11 440746.4),(12 421515.84),(13 472070.4),(14 500362.84),(15 484845.5),(16 548007.44),(17 593204.9),(18 597602.4),(19 680620.7),(20 722281.3),(21 745746.7),(22 842088.56),(23 892628),(24 887842.8),(25 956123.75),(26 980622.5),(27 951084.2),(28 1000072),(29 1005537.2),(30 957209.3),(31 999473.8),(32 1016367.3),(33 982875.8),(34 1035682.56),(35 1061630),(36 1030776.25),(37 1087084.5),(38 1121037.4),(39 1093235.9),(40 1147317.6),(41 1176437.6),(42 1140313.9),(43 1179016.4),(44 1247983.8),(45 1237205.9),(46 1299208.9),(47 1368103.1),(48 1359788.5),(49 1418699.4),(50 1479724),(51 1481471),(52 1562784.5),(53 1661780.6),(54 1696170.6),(55 1810062.9),(56 1942017.5),(57 2020565.1),(58 2162971.3),(59 2310451),(60 2392991),(61 2552730),(62 2731805.8),(63 2824690),(64 2996769.3),(65 3146773.3),(66 3244013.3),(67 3400432),(68 3558014.8),(69 3615504.8),(70 3761264.8),(71 3901540),(72 3991144),(73 4139342.8),(74 4293979),(75 4390830.5),(76 4545927.5),(77 4696364),(78 4771223.5),(79 4893865),
(1 405.97244),(2 597.6703),(3 715.0084),(4 781.1114),(5 828.65045),(6 860.27563),(7 874.0423),(8 904.8585),(9 923.1487),(10 941.5823),(11 968.7329),(12 969.37317),(13 983.5259),(14 980.97473),(15 1004.991),(16 1016.4519),(17 1030.6927),(18 1038.9906),(19 1045.6404),(20 1058.4769),(21 1069.4581),(22 1083.5184),(23 1095.1377),(24 1097.7377),(25 1098.6942),(26 1104.762),(27 1106.7605),(28 1113.5607),(29 1123.4785),(30 1133.1559),(31 1123.4164),(32 1115.4641),(33 1116.3608),(34 1115.3855),(35 1122.2394),(36 1130.9745),(37 1131.4567),(38 1147.4219),(39 1149.183),(40 1140.2484),(41 1137.5603),(42 1125.1205),(43 1106.4714),(44 1113.9664),(45 1119.0033),(46 1114.9438),(47 1123.8131),(48 1126.1188),(49 1141.4552),(50 1140.5845),(51 1148.9177),(52 1143.5254),(53 1143.887),(54 1144.3462),(55 1144.2139),(56 1139.479),(57 1149.5911),(58 1153.3967),(59 1150.476),(60 1146.6504),(61 1145.1976),(62 1145.7037),(63 1155.5461),(64 1171.0072),(65 1179.8171),(66 1184.7228),(67 1193.4156),(68 1196.8506),(69 1187.434),(70 1180.9249),(71 1190.4543),(72 1183.4622),(73 1179.3164),(74 1178.0466),(75 1181.2677),(76 1180.2523),(77 1189.8296),(78 1182.4866),(79 1178.8052),
(1 389.5338),(2 570.9048),(3 692.33356),(4 762.70197),(5 805.07666),(6 833.3427),(7 852.94336),(8 884.1032),(9 898.9239),(10 921.2738),(11 935.79675),(12 941.80096),(13 950.58795),(14 966.5342),(15 981.34216),(16 1003.1304),(17 1002.97723),(18 1007.33606),(19 1024.9911),(20 1041.3116),(21 1047.5864),(22 1051.7734),(23 1055.1322),(24 1074.5869),(25 1080.1082),(26 1076.3198),(27 1079.6073),(28 1070.7327),(29 1069.6285),(30 1062.595),(31 1059.6536),(32 1050.425),(33 1064.302),(34 1060.8809),(35 1063.014),(36 1073.6741),(37 1080.8472),(38 1082.6094),(39 1096.3829),(40 1088.6147),(41 1085.0203),(42 1081.0509),(43 1074.3394),(44 1091.9629),(45 1100.2383),(46 1095.1283),(47 1100.7815),(48 1105.4806),(49 1109.1843),(50 1120.5363),(51 1129.3661),(52 1130.5209),(53 1143.1675),(54 1145.5687),(55 1142.7196),(56 1141.7817),(57 1139.2395),(58 1146.1962),(59 1157.727),(60 1147.2906),(61 1142.7018),(62 1136.3395),(63 1145.493),(64 1147.8783),(65 1158.2257),(66 1165.9539),(67 1165.4779),(68 1170.375),(69 1166.0088),(70 1162.5393),(71 1167.1544),(72 1164.7577),(73 1167.6465),(74 1157.061),(75 1158.2513),(76 1158.975),(77 1162.8407),(78 1166.043),(79 1172.5864),
(1 393.64612),(2 572.92194),(3 685.8688),(4 760.3869),(5 802.9619),(6 830.3206),(7 859.1501),(8 884.947),(9 899.82587),(10 916.5127),(11 932.44727),(12 934.8782),(13 947.22565),(14 961.5085),(15 976.5429),(16 988.65924),(17 995.6971),(18 993.04315),(19 1001.4122),(20 1004.0651),(21 1011.3565),(22 1023.09796),(23 1044.041),(24 1055.8494),(25 1060.6322),(26 1068.9283),(27 1068.5614),(28 1070.18),(29 1087.0547),(30 1091.5588),(31 1098.7727),(32 1088.4541),(33 1098.4504),(34 1100.1431),(35 1107.285),(36 1117.7433),(37 1138.0303),(38 1145),(39 1147.7242),(40 1146.5883),(41 1162.9446),(42 1160.6232),(43 1166.0494),(44 1175.4148),(45 1166.6146),(46 1158.2771),(47 1158.7223),(48 1164.3077),(49 1165.889),(50 1155.8612),(51 1157.8577),(52 1160.7445),(53 1167.2213),(54 1158.1112),(55 1149.001),(56 1148.1487),(57 1151.9392),(58 1159.6218),(59 1155.3435),(60 1141.6632),(61 1139.3044),(62 1126.1567),(63 1141.1724),(64 1139.8152),(65 1132.9835),(66 1132.7833),(67 1137.2428),(68 1152.7365),(69 1150.8156),(70 1157.7402),(71 1154.7905),(72 1147.6035),(73 1136.7394),(74 1128.4186),(75 1127.4889),(76 1132.3087),(77 1140.1154),(78 1139.1006),(79 1149.9441),
(1 394.6097),(2 570.0073),(3 675.2459),(4 731.4855),(5 781.8839),(6 816.4659),(7 845.2233),(8 869.45435),(9 884.2255),(10 905.57446),(11 922.39777),(12 925.04944),(13 933.5967),(14 947.03534),(15 961.3787),(16 957.83435),(17 961.20575),(18 965.6568),(19 968.86456),(20 978.55646),(21 985.838),(22 985.92474),(23 995.33124),(24 1004.08246),(25 1013.2442),(26 1022.6762),(27 1033.2858),(28 1038.6115),(29 1044.5024),(30 1055.4655),(31 1059.5977),(32 1054.4198),(33 1059.5431),(34 1058.1306),(35 1057.9792),(36 1053.5616),(37 1065.1885),(38 1082.0483),(39 1097.1301),(40 1101.8033),(41 1108.0236),(42 1112.8022),(43 1106.2736),(44 1105.3726),(45 1097.1691),(46 1096.9833),(47 1106.1981),(48 1110.8304),(49 1111.4541),(50 1113.7765),(51 1125.5035),(52 1129.314),(53 1136.4308),(54 1125.9856),(55 1126.2448),(56 1126.6489),(57 1112.6848),(58 1118.8925),(59 1121.1858),(60 1117.594),(61 1117.5121),(62 1111.8126),(63 1113.9855),(64 1106.6155),(65 1104.7661),(66 1105.302),(67 1104.096),(68 1103.9573),(69 1104.873),(70 1117.5209),(71 1118.495),(72 1116.4207),(73 1113.8148),(74 1116.2064),(75 1116.9828),(76 1114.2911),(77 1118.8121),(78 1122.571),(79 1134.9432),
(1 376.66864),(2 547.1465),(3 650.60065),(4 710.1158),(5 757.3963),(6 796.2419),(7 818.794),(8 840.1997),(9 837.82996),(10 852.6015),(11 868.0353),(12 877.0704),(13 897.1223),(14 902.41284),(15 919.3525),(16 925.583),(17 935.6151),(18 941.8321),(19 948.91974),(20 959.286),(21 962.4948),(22 975.84607),(23 993.0797),(24 993.89624),(25 1001.37396),(26 1010.40186),(27 1021.39594),(28 1027.1271),(29 1015.99316),(30 1020.56647),(31 1024.207),(32 1030.169),(33 1039.2625),(34 1037.1622),(35 1030.1797),(36 1016.08527),(37 1025.5409),(38 1025.4559),(39 1041.1599),(40 1036.4136),(41 1046.3462),(42 1045.2329),(43 1041.237),(44 1038.5382),(45 1036.2654),(46 1036.1252),(47 1032.6716),(48 1033.4407),(49 1029.5555),(50 1043.3296),(51 1066.3612),(52 1063.1044),(53 1071.0875),(54 1055.987),(55 1052.097),(56 1054.9738),(57 1057.7504),(58 1058.3531),(59 1063.036),(60 1066.075),(61 1068.0343),(62 1069.0822),(63 1065.2263),(64 1064.6937),(65 1069.996),(66 1065.287),(67 1061.5122),(68 1077.0488),(69 1074.0922),(70 1079.2588),(71 1076.7146),(72 1068.9707),(73 1061.9154),(74 1072.7145),(75 1076.4193),(76 1082.0731),(77 1079.6862),(78 1077.2992),(79 1086.3469),
(1 373.98984),(2 540.38135),(3 646.6781),(4 709.8244),(5 750.8908),(6 775.841),(7 793.89197),(8 819.30096),(9 819.7329),(10 834.34344),(11 853.33704),(12 871.26483),(13 881.01495),(14 891.42596),(15 900.78076),(16 904.8394),(17 914.8028),(18 926.38135),(19 938.5657),(20 953.6941),(21 961.6175),(22 968.82135),(23 982.5038),(24 996.4784),(25 994.7932),(26 999.75616),(27 1016.04706),(28 1017.6891),(29 1015.7205),(30 1022.29443),(31 1023.2166),(32 1017.07477),(33 1026.8262),(34 1018.34247),(35 1014.65375),(36 1015.1245),(37 1021.17267),(38 1020.47546),(39 1024.4099),(40 1018.56104),(41 1023.7277),(42 1021.30084),(43 1019.5627),(44 1016.23895),(45 1013.05646),(46 1011.583),(47 1015.7921),(48 1011.96857),(49 1005.2108),(50 1012.7608),(51 1013.6732),(52 1011.3145),(53 1018.87463),(54 1006.1726),(55 1015.7488),(56 1006.1191),(57 1006.0729),(58 1012.8414),(59 1019.4748),(60 1014.77686),(61 1017.0328),(62 1018.7886),(63 1009.6655),(64 1015.6036),(65 1011.1421),(66 1024.652),(67 1020.0181),(68 1027.2881),(69 1026.946),(70 1020.199),(71 1021.60724),(72 1019.1012),(73 1012.58374),(74 1020.22015),(75 1036.5619),(76 1032.2748),(77 1032.8756),(78 1025.0465),(79 1032.7877),
(1 375.1916),(2 540.5692),(3 649.8648),(4 713.15564),(5 749.6315),(6 791.03467),(7 811.8907),(8 835.104),(9 847.7797),(10 864.32574),(11 882.7657),(12 885.41113),(13 894.77765),(14 901.3213),(15 916.47766),(16 925.9671),(17 931.56287),(18 943.7006),(19 950.9404),(20 966.61414),(21 967.7689),(22 972.8424),(23 980.8581),(24 984.0718),(25 977.418),(26 985.00006),(27 987.3662),(28 1003.6586),(29 1012.3398),(30 1014.2387),(31 1015.321),(32 1005.9115),(33 1013.55524),(34 1009.2114),(35 1008.3647),(36 1007.70654),(37 1005.08527),(38 1003.4517),(39 1000.37317),(40 1003.07336),(41 1010.81586),(42 1016.666),(43 1012.86584),(44 1020.11597),(45 1014.0827),(46 1013.91315),(47 1012.438),(48 1025.7535),(49 1019.9748),(50 1012.39404),(51 1010.45654),(52 1006.6574),(53 1020.6388),(54 1020.5837),(55 1024.206),(56 1029.132),(57 1033.4049),(58 1035.3741),(59 1040.2385),(60 1041.1317),(61 1044.6204),(62 1044.2905),(63 1038.2786),(64 1049.901),(65 1046.2186),(66 1058.3799),(67 1056.1991),(68 1053.1332),(69 1048.4924),(70 1055.3501),(71 1054.1718),(72 1057.9108),(73 1062.0428),(74 1074.8539),(75 1078.2408),(76 1074.8026),(77 1073.9485),(78 1070.6743),(79 1077.2424),
(1 366.13486),(2 525.86084),(3 631.374),(4 698.602),(5 735.2614),(6 764.9898),(7 798.23645),(8 823.73395),(9 837.8774),(10 846.1449),(11 857.5871),(12 854.78357),(13 864.4292),(14 856.5976),(15 869.5223),(16 872.9846),(17 885.7644),(18 904.4669),(19 911.2667),(20 909.30536),(21 911.0474),(22 924.06946),(23 926.93365),(24 926.6305),(25 935.39716),(26 941.3521),(27 944.4703),(28 949.2319),(29 949.58203),(30 947.54083),(31 948.2696),(32 943.8006),(33 955.06836),(34 952.0195),(35 958.5532),(36 952.18866),(37 956.9131),(38 972.67084),(39 981.5668),(40 977.2559),(41 982.73816),(42 982.9999),(43 978.20636),(44 985.5441),(45 1000.6492),(46 1005.4502),(47 1006.4966),(48 1021.62317),(49 1023.8227),(50 1023.15454),(51 1013.1334),(52 1011.2173),(53 1005.39844),(54 1008.4815),(55 1007.1327),(56 1010.4166),(57 1007.06024),(58 1012.2482),(59 1009.00433),(60 1016.33813),(61 1029.9822),(62 1027.8842),(63 1031.3135),(64 1035.0575),(65 1036.1704),(66 1036.1127),(67 1043.2639),(68 1046.5332),(69 1034.995),(70 1027.9104),(71 1024.5676),(72 1028.6073),(73 1032.1884),(74 1029.8608),(75 1025.3682),(76 1025.0807),(77 1026.5938),(78 1021.4101),(79 1025.9106),
(1 358.19446),(2 514.31036),(3 608.9191),(4 670.4498),(5 713.5257),(6 740.7036),(7 774.2403),(8 798.83276),(9 810.5071),(10 824.0276),(11 840.0052),(12 852.9213),(13 859.92505),(14 862.79333),(15 867.0638),(16 871.134),(17 872.52167),(18 884.61615),(19 896.5795),(20 902.2744),(21 910.0841),(22 916.4405),(23 927.9591),(24 924.88336),(25 936.277),(26 936.5409),(27 939.0943),(28 938.8473),(29 936.2985),(30 940.69183),(31 947.36835),(32 944.6289),(33 953.84973),(34 966.7175),(35 967.817),(36 962.74274),(37 987.87634),(38 992.9044),(39 1003.6073),(40 1000.69086),(41 1011.1316),(42 1006.2049),(43 1011.19415),(44 1013.5423),(45 1026.2081),(46 1034.5824),(47 1036.1536),(48 1047.0745),(49 1050.8453),(50 1050.5571),(51 1050.0549),(52 1040.7261),(53 1043.8737),(54 1046.0579),(55 1040.1094),(56 1042.2462),(57 1044.6954),(58 1053.9661),(59 1056.0265),(60 1057.3011),(61 1063.7166),(62 1066.6395),(63 1079.0343),(64 1067.5975),(65 1057.7988),(66 1065.5187),(67 1065.108),(68 1078.0488),(69 1072.2255),(70 1074.3943),(71 1068.7831),(72 1076.2113),(73 1082.0735),(74 1076.8225),(75 1073.248),(76 1070.6785),(77 1063.9232),(78 1059.9506),(79 1055.6182),
(1 354.7096),(2 507.93515),(3 607.49976),(4 666.5013),(5 705.8447),(6 742.93994),(7 766.6795),(8 803.94305),(9 819.8725),(10 826.8603),(11 838.8779),(12 850.5793),(13 853.99396),(14 852.1316),(15 858.06537),(16 856.52106),(17 861.3251),(18 861.17834),(19 868.4275),(20 874.65765),(21 887.8015),(22 893.4885),(23 902.41376),(24 896.6694),(25 905.2318),(26 907.5315),(27 918.13727),(28 922.5024),(29 920.0442),(30 927.8543),(31 934.5234),(32 930.93115),(33 943.9529),(34 952.47504),(35 956.6273),(36 950.84),(37 957.10406),(38 959.7782),(39 965.33167),(40 968.8484),(41 975.2545),(42 979.8424),(43 987.4727),(44 992.08905),(45 997.3918),(46 1000.0242),(47 994.7961),(48 1003.67224),(49 1011.3438),(50 1012.2906),(51 1009.61163),(52 1015.8062),(53 1019.2768),(54 1030.7004),(55 1026.4103),(56 1031.5115),(57 1035.3676),(58 1034.8729),(59 1027.802),(60 1038.1239),(61 1045.6039),(62 1042.7109),(63 1060.6083),(64 1060.1287),(65 1049.1068),(66 1054.424),(67 1049.8907),(68 1053.315),(69 1046.6106),(70 1039.7839),(71 1041.7152),(72 1050.8535),(73 1057.2172),(74 1060.4783),(75 1059.0392),(76 1056.3477),(77 1052.1193),(78 1056.1914),(79 1052.3906),
(1 349.6973),(2 498.92407),(3 596.63403),(4 649.56635),(5 681.81024),(6 709.98346),(7 737.40454),(8 772.5822),(9 789.8244),(10 811.92865),(11 831.03613),(12 843.48376),(13 851.0174),(14 853.1036),(15 855.768),(16 856.21265),(17 869.4876),(18 865.0779),(19 864.0996),(20 865.8817),(21 869.97565),(22 874.60504),(23 885.36005),(24 885.82196),(25 885.7635),(26 880.61865),(27 886.16925),(28 889.23444),(29 893.8343),(30 894.6768),(31 908.1069),(32 913.80115),(33 926.0277),(34 944.0188),(35 943.1401),(36 946.1086),(37 957.96),(38 960.7819),(39 959.8428),(40 953.39734),(41 957.28186),(42 962.44806),(43 965.4533),(44 962.3564),(45 963.76764),(46 962.95245),(47 957.96765),(48 956.44037),(49 958.22504),(50 959.7288),(51 968.36285),(52 973.4209),(53 974.1143),(54 970.3463),(55 963.46936),(56 961.73224),(57 954.6084),(58 960.9988),(59 963.04987),(60 966.7775),(61 971.9433),(62 972.1284),(63 979.75323),(64 977.9384),(65 975.7154),(66 976.4435),(67 974.6181),(68 971.72406),(69 969.83374),(70 968.3586),(71 970.5338),(72 969.5781),(73 965.8413),(74 965.2642),(75 966.81396),(76 962.80884),(77 960.5609),(78 969.1974),(79 974.15594),
(1 352.2915),(2 496.22116),(3 595.8307),(4 653.5397),(5 679.5723),(6 720.052),(7 743.9751),(8 770.4322),(9 771.76904),(10 795.1188),(11 812.01624),(12 831.15155),(13 844.0521),(14 851.4419),(15 864.98346),(16 866.7364),(17 870.9804),(18 880.99316),(19 893.5025),(20 895.12415),(21 903.4712),(22 903.04816),(23 914.02014),(24 917.5811),(25 923.4067),(26 922.9929),(27 923.77527),(28 935.09906),(29 938.67224),(30 938.525),(31 940.9005),(32 947.55493),(33 948.852),(34 948.3041),(35 957.39624),(36 955.09735),(37 970.2732),(38 988.67053),(39 992.56757),(40 985.84766),(41 993.4291),(42 998.9546),(43 999.1064),(44 1004.32135),(45 1003.3669),(46 1001.50464),(47 1002.812),(48 1001.31305),(49 1001.7191),(50 1010.31494),(51 1016.38934),(52 1012.6318),(53 1018.0439),(54 1010.7185),(55 1008.8596),(56 1007.2945),(57 1005.7553),(58 1007.8104),(59 1011.5379),(60 1019.32117),(61 1027.9688),(62 1015.733),(63 1011.61096),(64 1014.0164),(65 1018.3868),(66 1008.60394),(67 1009.6572),(68 1010.86804),(69 1011.9476),(70 1012.35736),(71 1009.33405),(72 1006.64954),(73 1020.33307),(74 1019.1062),(75 1016.1774),(76 1005.3856),(77 1010.32336),(78 1002.842),(79 1002.5639),
(1 337.5856),(2 481.22366),(3 574.79645),(4 618.0055),(5 646.69446),(6 670.9362),(7 693.8964),(8 727.81775),(9 734.5313),(10 755.191),(11 765.2166),(12 770.70764),(13 789.3669),(14 794.3107),(15 817.5737),(16 817.27075),(17 824.6629),(18 838.581),(19 846.09296),(20 842.8191),(21 851.2894),(22 861.7192),(23 878.5028),(24 881.59503),(25 881.69965),(26 891.395),(27 892.7213),(28 889.6404),(29 887.7873),(30 885.25793),(31 891.2884),(32 890.82324),(33 901.11346),(34 905.665),(35 902.15985),(36 900.79834),(37 899.0086),(38 905.55304),(39 914.8991),(40 912.36615),(41 911.9617),(42 919.1499),(43 916.92975),(44 906.6008),(45 910.1873),(46 917.21124),(47 921.4593),(48 936.6531),(49 938.7347),(50 947.8145),(51 946.9014),(52 944.3167),(53 956.4351),(54 959.7664),(55 966.0198),(56 968.30365),(57 973.332),(58 986.69977),(59 989.2441),(60 986.94916),(61 992.309),(62 990.9653),(63 980.08777),(64 983.78754),(65 989.4358),(66 988.1268),(67 988.07623),(68 984.63306),(69 988.08136),(70 996.16406),(71 1006.10065),(72 1004.7471),(73 995.4289),(74 989.43896),(75 988.941),(76 987.4606),(77 978.8653),(78 974.58264),(79 972.5962),
(1 337.1981),(2 475.02798),(3 562.9015),(4 612.63324),(5 648.7165),(6 668.8284),(7 685.6088),(8 718.8512),(9 736.77704),(10 758.6361),(11 770.59485),(12 781.8494),(13 792.57135),(14 800.67505),(15 816.7311),(16 822.9051),(17 824.1195),(18 838.8623),(19 842.0202),(20 852.5144),(21 857.746),(22 863.1153),(23 871.7143),(24 873.65564),(25 880.3407),(26 884.2149),(27 886.7199),(28 893.8349),(29 889.532),(30 887.7687),(31 888.4157),(32 880.81775),(33 886.15576),(34 896.3595),(35 897.3212),(36 892.06616),(37 903.731),(38 917.0973),(39 916.034),(40 915.5236),(41 917.0709),(42 905.2419),(43 908.721),(44 899.10706),(45 910.54193),(46 913.6211),(47 917.9655),(48 924.91296),(49 924.6231),(50 932.5599),(51 927.49695),(52 933.42096),(53 951.43353),(54 952.8354),(55 951.1245),(56 948.7416),(57 956.6361),(58 960.85236),(59 963.0001),(60 967.4934),(61 965.7969),(62 966.36993),(63 968.91876),(64 961.4476),(65 965.94135),(66 969.3595),(67 962.6331),(68 970.40796),(69 968.72754),(70 963.36304),(71 963.1275),(72 967.60187),(73 966.0455),(74 963.9335),(75 962.4766),(76 957.49786),(77 958.6074),(78 956.0986),(79 961.76245),
(1 327.10992),(2 461.97208),(3 544.2907),(4 593.8707),(5 631.1346),(6 647.3538),(7 666.3032),(8 701.18304),(9 708.51),(10 724.8036),(11 740.97394),(12 756.58905),(13 764.2909),(14 759.9688),(15 770.7153),(16 774.1137),(17 778.37006),(18 782.4867),(19 787.7943),(20 800.4371),(21 814.81226),(22 818.1909),(23 832.5999),(24 838.80273),(25 852.8726),(26 864.0691),(27 875.64844),(28 885.67065),(29 884.34515),(30 880.0338),(31 874.9562),(32 874.7488),(33 869.4995),(34 872.1226),(35 879.332),(36 883.71606),(37 890.7092),(38 895.2832),(39 906.06885),(40 904.28),(41 909.5625),(42 901.2976),(43 903.6165),(44 899.9223),(45 899.28656),(46 901.215),(47 907.35406),(48 913.9976),(49 913.9359),(50 918.60065),(51 918.9679),(52 915.8715),(53 925.9819),(54 929.00024),(55 925.3277),(56 923.19965),(57 923.6645),(58 924.3558),(59 933.303),(60 942.9021),(61 946.2255),(62 949.8251),(63 952.11194),(64 946.729),(65 941.782),(66 941.68823),(67 940.43256),(68 947.9399),(69 940.4207),(70 939.8701),(71 940.125),(72 946.92163),(73 934.7572),(74 926.13196),(75 920.48096),(76 926.37915),(77 933.054),(78 931.33527),(79 924.9637),
(1 328.3665),(2 457.00436),(3 539.1947),(4 594.63544),(5 623.79285),(6 653.8374),(7 667.1968),(8 689.5572),(9 702.5802),(10 717.9657),(11 723.72284),(12 735.4987),(13 745.858),(14 743.0401),(15 754.6189),(16 761.2786),(17 768.41254),(18 767.13293),(19 778.73193),(20 782.972),(21 790.0513),(22 790.49493),(23 803.7668),(24 794.7652),(25 800.2458),(26 814.1951),(27 819.7718),(28 829.847),(29 822.9552),(30 818.46857),(31 822.2),(32 822.18604),(33 820.4605),(34 819.58075),(35 825.7661),(36 822.1237),(37 829.59),(38 829.8993),(39 842.50885),(40 839.4363),(41 845.27704),(42 835.9943),(43 840.6961),(44 842.3624),(45 850.9538),(46 855.3542),(47 863.46765),(48 870.27637),(49 863.5409),(50 880.9184),(51 883.89557),(52 878.33923),(53 897.135),(54 901.46796),(55 906.8628),(56 919.2526),(57 924.08203),(58 928.8314),(59 925.9358),(60 926.31885),(61 939.5833),(62 946.1527),(63 947.3575),(64 952.2313),(65 955.0102),(66 940.5883),(67 933.0966),(68 931.0465),(69 922.0523),(70 913.82056),(71 911.8596),(72 909.76294),(73 903.8181),(74 901.9028),(75 898.79736),(76 903.7068),(77 902.94684),(78 897.7554),(79 894.15094),
(1 321.85312),(2 454.645),(3 531.66376),(4 580.20746),(5 606.223),(6 626.30444),(7 642.03375),(8 680.87463),(9 685.53674),(10 698.07465),(11 704.72815),(12 711.848),(13 732.1254),(14 733.4011),(15 746.01105),(16 745.3198),(17 749.1301),(18 762.7997),(19 775.9372),(20 785.2069),(21 794.624),(22 799.24896),(23 797.843),(24 792.47076),(25 801.08887),(26 813.3088),(27 824.7405),(28 828.1435),(29 822.3164),(30 812.87463),(31 819.6152),(32 824.39905),(33 817.8535),(34 821.3145),(35 831.1016),(36 826.5138),(37 825.6343),(38 839.4114),(39 841.0166),(40 841.3073),(41 855.6132),(42 854.5744),(43 851.92773),(44 854.3246),(45 859.6009),(46 859.5559),(47 863.28534),(48 865.43646),(49 863.4451),(50 864.9278),(51 863.6671),(52 866.5058),(53 887.95703),(54 893.34766),(55 902.46924),(56 911.26544),(57 917.49567),(58 924.17194),(59 915.18964),(60 914.6738),(61 917.1508),(62 926.5074),(63 928.02954),(64 924.638),(65 921.25867),(66 910.26733),(67 904.2189),(68 915.84125),(69 910.99335),(70 903.3852),(71 902.9064),(72 899.0781),(73 895.64325),(74 888.0721),(75 884.56),(76 872.71576),(77 876.0183),(78 871.0173),(79 869.4774),
