1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 47693.88),(2 141478.5),(3 269680),(4 409453.47),(5 549559.44),(6 704620.8),(7 858526.44),(8 1016330.3),(9 1178977.3),(10 1298552.6),(11 1421897),(12 1547745.4),(13 1679927.9),(14 1832995.5),(15 2009994),(16 2191165.5),(17 2375563.8),(18 2594225.8),(19 2792058.3),(20 2970968.8),(21 3154965.8),(22 3354606),(23 3551340),(24 3799103.8),(25 4004179.8),(26 4242181),(27 4480794.5),(28 4713793.5),(29 5021627.5),(30 5347252),(31 5690096),(32 6048704.5),(33 6352188.5),(34 6612949.5),(35 6834186.5),(36 7044068),(37 7222724.5),(38 7375629.5),(39 7549180),(40 7742970.5),(41 7900038.5),(42 8003388),(43 8081390.5),(44 8082346.5),(45 7986646),(46 7856226.5),(47 7743100.5),(48 7649967.5),(49 7532644.5),(50 7425095.5),(51 7333355.5),(52 7310210.5),(53 7287327.5),(54 7353583.5),(55 7430749.5),(56 7526961.5),(57 7569826),(58 7612549.5),(59 7692142),(60 7723306.5),(61 7876788.5),(62 8042872),(63 8178599.5),(64 8432006),(65 8634553),(66 8863755),(67 9127219),(68 9467304),(69 9669472),(70 10035317),(71 10527551),(72 10958767),(73 11314825),(74 11657471),(75 12126867),(76 12565509),(77 12982941),(78 13465099),(79 13792127),
(1 166.99533),(2 206.47974),(3 229.33514),(4 240.14435),(5 245.58061),(6 250.02809),(7 255.11871),(8 255.74054),(9 262.5922),(10 268.6262),(11 271.27975),(12 275.919),(13 274.76257),(14 277.6776),(15 276.57355),(16 274.30777),(17 273.84637),(18 275.9594),(19 272.22943),(20 273.13052),(21 271.61478),(22 270.1606),(23 274.1468),(24 270.14188),(25 275.90463),(26 274.01968),(27 274.9812),(28 274.04865),(29 274.16434),(30 275.59283),(31 278.97263),(32 274.0094),(33 276.0612),(34 275.8835),(35 276.31085),(36 275.43393),(37 276.51227),(38 277.21112),(39 280.52515),(40 279.2161),(41 277.40176),(42 281.9545),(43 282.11118),(44 283.788),(45 282.8383),(46 283.56073),(47 284.54095),(48 283.70572),(49 285.33374),(50 285.11044),(51 285.8776),(52 284.80432),(53 279.92725),(54 283.34824),(55 279.78098),(56 276.92642),(57 276.8325),(58 279.9624),(59 283.8144),(60 284.90668),(61 283.43002),(62 281.07062),(63 282.49924),(64 281.1461),(65 281.1586),(66 282.21716),(67 280.78204),(68 282.86237),(69 279.9765),(70 282.52634),(71 282.9108),(72 282.26395),(73 285.65125),(74 288.32376),(75 285.74158),(76 287.33426),(77 287.8194),(78 290.18887),(79 290.40024),
(1 167.16335),(2 208.16928),(3 230.06891),(4 242.20459),(5 253.77107),(6 257.358),(7 260.20514),(8 265.1037),(9 268.02347),(10 270.84448),(11 273.16232),(12 278.36935),(13 279.30862),(14 278.7458),(15 281.65317),(16 276.56592),(17 276.035),(18 279.57028),(19 277.22888),(20 275.66458),(21 275.62854),(22 276.93515),(23 270.8378),(24 269.2466),(25 269.71924),(26 269.9765),(27 272.96194),(28 275.4529),(29 274.69095),(30 274.1594),(31 275.60583),(32 275.7089),(33 274.97577),(34 275.3579),(35 275.32816),(36 275.11597),(37 277.95575),(38 275.23297),(39 280.8924),(40 277.9552),(41 279.68076),(42 280.92874),(43 283.78558),(44 282.20355),(45 281.75708),(46 282.2696),(47 280.8375),(48 283.14435),(49 284.57782),(50 283.1394),(51 285.3614),(52 281.10406),(53 280.57123),(54 278.8982),(55 277.7322),(56 276.94916),(57 280.44547),(58 281.93622),(59 281.27756),(60 280.26004),(61 283.99753),(62 284.15057),(63 284.03473),(64 284.71317),(65 281.345),(66 280.2324),(67 280.80078),(68 281.78134),(69 281.6369),(70 282.88876),(71 285.53476),(72 288.82715),(73 287.98383),(74 288.0377),(75 292.5015),(76 293.12988),(77 290.69714),(78 294.04312),(79 290.7553),
(1 167.4922),(2 203.50534),(3 226.04877),(4 235.25446),(5 243.71756),(6 248.44508),(7 250.52744),(8 255.90143),(9 257.3732),(10 260.6389),(11 260.98788),(12 264.74097),(13 265.02533),(14 269.8621),(15 267.1896),(16 267.01416),(17 266.37436),(18 268.55106),(19 265.86072),(20 266.11282),(21 265.52313),(22 267.10687),(23 265.64508),(24 261.96048),(25 263.94),(26 263.50443),(27 265.7895),(28 268.65735),(29 265.61484),(30 262.2071),(31 266.2862),(32 265.5108),(33 267.6163),(34 268.1123),(35 267.16162),(36 267.38336),(37 268.16522),(38 268.5985),(39 266.87143),(40 268.4243),(41 272.04468),(42 271.2393),(43 271.84384),(44 272.06042),(45 273.48007),(46 280.242),(47 278.03345),(48 275.53592),(49 276.31653),(50 276.3485),(51 273.74097),(52 275.11612),(53 276.48538),(54 277.16537),(55 274.92316),(56 275.99808),(57 275.936),(58 276.46484),(59 276.28772),(60 278.0176),(61 278.07758),(62 275.7421),(63 273.48517),(64 273.63837),(65 275.42032),(66 273.90445),(67 275.67438),(68 276.00763),(69 276.19922),(70 280.76508),(71 280.06754),(72 281.37042),(73 279.69736),(74 281.81964),(75 281.65442),(76 283.34912),(77 283.0489),(78 288.6912),(79 287.4708),
(1 163.25366),(2 197.22195),(3 220.699),(4 230.96796),(5 234.07916),(6 240.22896),(7 245.6321),(8 248.63867),(9 251.52586),(10 256.40833),(11 257.69678),(12 263.09818),(13 264.7324),(14 268.48996),(15 269.0033),(16 266.85388),(17 268.15073),(18 266.83478),(19 263.88492),(20 260.8149),(21 261.8253),(22 264.80148),(23 263.76843),(24 261.68506),(25 262.2503),(26 261.42297),(27 264.30634),(28 261.48074),(29 262.00842),(30 258.16553),(31 257.53122),(32 258.23224),(33 259.62094),(34 261.48233),(35 262.45126),(36 260.8896),(37 261.96313),(38 261.56036),(39 264.01227),(40 260.6249),(41 264.07742),(42 267.05682),(43 266.68607),(44 266.5233),(45 266.62653),(46 269.47348),(47 267.74927),(48 271.01868),(49 268.22156),(50 273.73148),(51 269.77676),(52 273.2332),(53 273.74112),(54 272.06424),(55 271.0012),(56 271.972),(57 270.6035),(58 274.27292),(59 275.14105),(60 274.7131),(61 273.9793),(62 273.6364),(63 272.1215),(64 273.17117),(65 274.0582),(66 277.09305),(67 275.37524),(68 273.65402),(69 271.84024),(70 274.35745),(71 276.69815),(72 276.19052),(73 277.0516),(74 279.75363),(75 277.31134),(76 282.15524),(77 282.46652),(78 282.75912),(79 280.53732),
(1 162.04082),(2 196.14407),(3 217.15239),(4 227.06587),(5 237.02048),(6 240.8774),(7 244.79558),(8 249.14957),(9 257.36942),(10 259.26776),(11 262.87387),(12 263.5172),(13 261.74316),(14 266.88226),(15 264.1569),(16 265.39755),(17 268.40732),(18 270.16006),(19 261.66373),(20 262.49234),(21 262.4527),(22 265.7454),(23 262.26932),(24 263.0391),(25 264.1074),(26 264.2323),(27 262.68628),(28 263.4121),(29 260.1911),(30 258.79037),(31 259.26086),(32 256.2671),(33 259.9251),(34 263.8635),(35 261.85394),(36 260.09528),(37 262.79718),(38 266.178),(39 265.28113),(40 265.14645),(41 263.9764),(42 264.79077),(43 264.6781),(44 268.0746),(45 264.62805),(46 263.16882),(47 262.91525),(48 262.4634),(49 264.73703),(50 264.50827),(51 264.8342),(52 263.9601),(53 264.33356),(54 261.4268),(55 263.75607),(56 264.46112),(57 265.73566),(58 265.71487),(59 267.86557),(60 266.88715),(61 267.06934),(62 270.043),(63 266.77216),(64 266.19955),(65 264.3521),(66 266.59088),(67 265.99417),(68 268.7463),(69 267.10336),(70 272.3989),(71 273.74405),(72 272.66605),(73 274.78314),(74 275.17917),(75 277.144),(76 277.0709),(77 274.34323),(78 277.4803),(79 273.63034),
(1 158.69363),(2 194.14),(3 214.47092),(4 228.02379),(5 234.01659),(6 239.43741),(7 241.26845),(8 243.41025),(9 247.26218),(10 252.22427),(11 254.85434),(12 257.29398),(13 257.0026),(14 262.00308),(15 259.33286),(16 260.06607),(17 260.6187),(18 263.6928),(19 261.74997),(20 259.7383),(21 258.65335),(22 263.15793),(23 258.65094),(24 256.6422),(25 260.23618),(26 260.7784),(27 258.96225),(28 257.02194),(29 256.50876),(30 257.28693),(31 257.19998),(32 255.09125),(33 256.98328),(34 259.32407),(35 258.8521),(36 261.01004),(37 259.2098),(38 261.09738),(39 258.83572),(40 256.7198),(41 260.3905),(42 262.9223),(43 259.20493),(44 263.2381),(45 265.66385),(46 268.31686),(47 266.43466),(48 265.57727),(49 268.1486),(50 264.155),(51 264.4495),(52 264.68695),(53 264.75943),(54 263.1408),(55 263.17328),(56 261.42868),(57 261.58032),(58 264.78632),(59 263.85757),(60 264.58878),(61 265.9),(62 265.3886),(63 266.17923),(64 264.31708),(65 261.44556),(66 263.88623),(67 262.82144),(68 262.30408),(69 262.88934),(70 263.40128),(71 268.09766),(72 270.36243),(73 271.16376),(74 271.91785),(75 270.72852),(76 272.45364),(77 274.26422),(78 275.20898),(79 275.61798),
(1 157.71796),(2 193.27907),(3 216.1984),(4 228.75961),(5 232.49937),(6 235.14563),(7 237.57161),(8 243.32147),(9 243.50523),(10 249.9696),(11 250.45569),(12 251.58234),(13 251.55823),(14 254.4011),(15 255.14302),(16 255.09044),(17 256.8154),(18 257.1181),(19 254.32529),(20 251.92882),(21 253.37318),(22 257.7238),(23 258.31845),(24 256.8323),(25 258.41367),(26 258.92218),(27 257.09598),(28 253.69649),(29 256.21872),(30 256.41574),(31 256.89746),(32 258.3416),(33 259.19925),(34 260.31458),(35 258.4196),(36 259.20502),(37 257.16132),(38 254.75378),(39 253.78868),(40 256.92426),(41 258.21188),(42 256.09933),(43 259.23322),(44 259.21423),(45 261.8971),(46 263.2768),(47 263.5446),(48 262.33902),(49 265.90506),(50 264.5979),(51 263.93448),(52 264.28683),(53 262.81018),(54 260.66238),(55 259.3377),(56 258.2441),(57 261.88788),(58 263.86227),(59 264.5321),(60 264.03827),(61 263.97464),(62 263.42355),(63 263.43506),(64 265.1602),(65 263.8376),(66 265.89157),(67 264.4106),(68 261.8774),(69 260.35855),(70 261.8276),(71 265.93344),(72 269.57843),(73 270.2419),(74 269.24506),(75 268.70023),(76 269.29623),(77 271.30206),(78 273.84384),(79 272.9063),
(1 154.91113),(2 188.32242),(3 208.29277),(4 221.68158),(5 227.10997),(6 232.4297),(7 234.22575),(8 233.9453),(9 239.62938),(10 243.33763),(11 246.57813),(12 247.62177),(13 247.89107),(14 253.37483),(15 252.22874),(16 250.0471),(17 250.38477),(18 249.9174),(19 249.65198),(20 249.84335),(21 251.07661),(22 251.37152),(23 253.51314),(24 253.42654),(25 250.94606),(26 250.00746),(27 248.46886),(28 246.29704),(29 245.67519),(30 244.22473),(31 247.82259),(32 245.62294),(33 248.0186),(34 249.16846),(35 250.91618),(36 251.07465),(37 252.713),(38 253.52817),(39 253.13197),(40 253.66998),(41 256.8354),(42 254.77893),(43 256.1242),(44 254.81628),(45 254.68095),(46 255.16248),(47 254.38213),(48 253.77979),(49 256.75067),(50 255.99161),(51 256.30527),(52 257.9879),(53 256.46527),(54 257.48),(55 256.9812),(56 256.92676),(57 257.30945),(58 260.52332),(59 263.48734),(60 262.22452),(61 256.83362),(62 256.6247),(63 255.97278),(64 254.24124),(65 256.15753),(66 256.12936),(67 258.43625),(68 257.73978),(69 257.36926),(70 257.99466),(71 258.1461),(72 258.67496),(73 258.67026),(74 261.39865),(75 259.85944),(76 263.7582),(77 263.61356),(78 264.6777),(79 264.1432),
(1 153.49915),(2 188.3953),(3 206.66872),(4 218.40111),(5 225.79607),(6 228.33986),(7 231.87132),(8 235.39421),(9 237.04993),(10 236.62292),(11 239.11232),(12 245.02928),(13 247.2226),(14 248.08293),(15 246.9004),(16 246.6186),(17 246.31497),(18 245.94577),(19 244.26352),(20 243.68176),(21 244.18889),(22 245.22913),(23 246.70667),(24 246.0071),(25 245.4111),(26 245.01535),(27 244.37984),(28 245.89627),(29 245.73196),(30 246.24959),(31 248.19865),(32 247.80183),(33 248.21507),(34 249.8435),(35 248.90855),(36 250.03848),(37 251.31479),(38 253.16707),(39 255.11133),(40 255.70226),(41 254.88104),(42 258.31454),(43 254.9357),(44 256.49084),(45 255.84831),(46 254.58684),(47 255.13583),(48 253.7969),(49 255.01273),(50 254.68863),(51 254.08788),(52 257.29532),(53 257.7588),(54 258.4748),(55 254.54065),(56 258.43665),(57 257.41943),(58 261.21863),(59 258.78918),(60 259.5312),(61 259.68628),(62 260.502),(63 258.31046),(64 258.87408),(65 258.70016),(66 259.4631),(67 257.71487),(68 260.35193),(69 255.90825),(70 259.14832),(71 260.41714),(72 262.80093),(73 264.40063),(74 265.07947),(75 267.05225),(76 269.81326),(77 268.62445),(78 269.48233),(79 270.25015),
(1 151.55313),(2 185.14476),(3 205.85686),(4 216.8008),(5 221.90375),(6 226.79768),(7 229.83568),(8 234.26219),(9 236.61467),(10 243.56801),(11 242.5078),(12 245.84016),(13 244.92238),(14 247.16199),(15 246.44244),(16 250.12653),(17 248.55084),(18 249.95001),(19 244.42183),(20 243.5991),(21 245.04543),(22 245.30623),(23 244.87675),(24 243.69612),(25 240.90276),(26 243.86745),(27 244.64975),(28 245.17935),(29 244.23087),(30 245.18867),(31 243.5386),(32 244.25745),(33 247.0339),(34 250.11171),(35 251.16968),(36 248.66869),(37 247.85463),(38 248.10222),(39 251.45132),(40 251.90459),(41 253.37267),(42 252.28804),(43 254.3899),(44 250.76575),(45 254.6766),(46 251.57668),(47 249.55272),(48 247.37701),(49 249.74762),(50 251.3024),(51 252.93643),(52 254.42656),(53 257.52435),(54 256.06055),(55 254.94276),(56 256.77628),(57 257.11877),(58 260.98413),(59 260.09503),(60 259.2608),(61 259.47522),(62 259.3642),(63 257.5995),(64 259.00122),(65 261.07248),(66 258.87122),(67 261.9532),(68 259.76733),(69 258.8885),(70 262.79443),(71 260.70645),(72 265.57693),(73 263.169),(74 264.8597),(75 264.23956),(76 264.3494),(77 264.57513),(78 263.1663),(79 266.2342),
(1 150.38689),(2 181.89655),(3 204.03448),(4 214.77243),(5 218.06232),(6 225.77919),(7 229.93695),(8 229.2596),(9 234.38472),(10 236.52023),(11 234.7418),(12 237.9631),(13 239.73486),(14 240.9606),(15 242.25992),(16 239.48042),(17 240.53758),(18 240.77483),(19 240.02556),(20 236.94185),(21 237.99446),(22 235.18436),(23 238.3832),(24 237.44904),(25 238.48317),(26 238.00702),(27 236.73123),(28 238.13779),(29 239.56131),(30 237.13263),(31 237.00867),(32 238.87306),(33 239.58635),(34 241.77655),(35 241.63217),(36 240.37567),(37 242.0552),(38 244.42146),(39 246.53053),(40 245.37807),(41 245.22067),(42 243.36923),(43 244.56691),(44 247.59444),(45 247.53859),(46 247.35089),(47 243.78671),(48 244.90778),(49 245.04126),(50 244.22633),(51 248.80565),(52 252.06212),(53 247.75995),(54 249.6242),(55 245.5059),(56 246.66382),(57 246.96588),(58 251.98447),(59 249.57248),(60 249.0367),(61 251.36095),(62 248.025),(63 251.3715),(64 251.15527),(65 252.25395),(66 251.61726),(67 250.54596),(68 249.81013),(69 247.14214),(70 251.06195),(71 253.01122),(72 253.57306),(73 253.63863),(74 254.73076),(75 255.36467),(76 258.60657),(77 258.19974),(78 262.40955),(79 262.0481),
(1 152.41794),(2 185.70088),(3 208.78175),(4 220.99112),(5 225.86836),(6 230.77094),(7 233.91498),(8 238.69351),(9 238.0322),(10 241.1463),(11 242.57938),(12 247.76949),(13 249.22272),(14 251.84966),(15 249.58237),(16 249.3495),(17 249.70053),(18 248.34297),(19 246.65541),(20 249.05289),(21 249.78558),(22 245.44814),(23 244.5323),(24 243.26308),(25 246.65578),(26 244.17612),(27 248.02437),(28 247.13933),(29 245.19572),(30 246.53453),(31 246.77103),(32 247.80803),(33 247.39667),(34 248.16266),(35 247.01875),(36 246.88751),(37 249.05217),(38 248.04309),(39 247.76208),(40 249.08182),(41 251.16548),(42 247.11775),(43 248.81937),(44 248.41545),(45 249.78438),(46 251.01213),(47 252.10007),(48 253.29376),(49 251.10738),(50 254.1817),(51 254.65369),(52 256.13516),(53 252.91507),(54 255.3367),(55 255.24217),(56 250.65608),(57 253.32674),(58 254.69109),(59 257.02853),(60 258.3197),(61 258.26022),(62 257.49155),(63 255.48949),(64 255.618),(65 257.23837),(66 254.06824),(67 256.805),(68 254.99652),(69 252.79756),(70 254.03026),(71 256.71088),(72 258.43307),(73 258.16403),(74 258.44296),(75 260.8948),(76 259.92715),(77 262.45227),(78 261.3012),(79 262.72107),
(1 149.85086),(2 179.09818),(3 202.69846),(4 208.51814),(5 215.20372),(6 218.15479),(7 219.91483),(8 221.81346),(9 223.7666),(10 224.99706),(11 231.07292),(12 231.49411),(13 230.40028),(14 233.46622),(15 233.2171),(16 231.38644),(17 233.2241),(18 235.57373),(19 232.17213),(20 232.05591),(21 232.29694),(22 233.49278),(23 233.44235),(24 231.4871),(25 230.82013),(26 233.30232),(27 230.1825),(28 230.8398),(29 229.7775),(30 231.15907),(31 231.849),(32 231.83218),(33 235.3713),(34 237.0973),(35 238.15546),(36 237.20926),(37 240.13852),(38 237.79205),(39 237.60486),(40 239.7881),(41 239.54352),(42 239.76317),(43 238.97633),(44 241.25783),(45 240.90428),(46 242.07019),(47 241.15436),(48 241.1853),(49 240.30237),(50 241.11507),(51 244.9528),(52 241.81088),(53 240.20161),(54 240.06075),(55 240.12251),(56 240.21939),(57 239.21954),(58 240.06145),(59 241.0066),(60 242.19447),(61 242.74097),(62 245.94362),(63 244.84239),(64 242.05148),(65 244.07051),(66 244.6163),(67 244.87889),(68 247.82544),(69 244.4576),(70 248.50043),(71 247.06215),(72 250.42001),(73 251.32906),(74 251.16716),(75 252.99936),(76 256.21082),(77 257.06564),(78 256.81393),(79 256.2657),
(1 148.51355),(2 178.81256),(3 196.67838),(4 204.94191),(5 211.3149),(6 215.37175),(7 217.05962),(8 221.3095),(9 225.44339),(10 229.70128),(11 230.96799),(12 234.3933),(13 235.12479),(14 236.32896),(15 235.76303),(16 233.65778),(17 236.08006),(18 237.08423),(19 235.24568),(20 231.84645),(21 232.38086),(22 230.52411),(23 233.57759),(24 230.57137),(25 234.09933),(26 230.9552),(27 231.8012),(28 232.65263),(29 232.14584),(30 230.34882),(31 230.52063),(32 232.64243),(33 232.89177),(34 236.21729),(35 237.57048),(36 236.11871),(37 236.54788),(38 235.41339),(39 235.97525),(40 239.28001),(41 239.50003),(42 238.76645),(43 241.33508),(44 240.47293),(45 238.03204),(46 238.27673),(47 237.95937),(48 236.47905),(49 239.99982),(50 240.1653),(51 240.72084),(52 239.8846),(53 237.39345),(54 239.39642),(55 239.3036),(56 241.92613),(57 239.15567),(58 242.00244),(59 242.75897),(60 240.027),(61 240.65536),(62 238.49396),(63 237.8873),(64 236.22096),(65 240.96193),(66 243.177),(67 242.33417),(68 239.87749),(69 242.2642),(70 246.54056),(71 243.35616),(72 244.58456),(73 246.44049),(74 246.81259),(75 249.29353),(76 253.39873),(77 251.71425),(78 252.3426),(79 254.41875),
(1 146.9878),(2 176.01962),(3 196.69943),(4 207.62126),(5 213.03383),(6 213.69379),(7 215.81233),(8 219.32816),(9 222.63133),(10 223.82025),(11 228.06894),(12 230.47694),(13 230.329),(14 233.52306),(15 232.9035),(16 232.84444),(17 234.1084),(18 234.17834),(19 234.48737),(20 230.34352),(21 231.81274),(22 230.6548),(23 229.67772),(24 229.63686),(25 230.71332),(26 228.96532),(27 230.66609),(28 227.58575),(29 225.83153),(30 226.6812),(31 228.45755),(32 225.82613),(33 230.5189),(34 232.6697),(35 232.74171),(36 231.42365),(37 233.05553),(38 234.66786),(39 235.52487),(40 235.01855),(41 237.53662),(42 239.09534),(43 237.67644),(44 235.7324),(45 236.64047),(46 239.77626),(47 237.7767),(48 239.35333),(49 240.91652),(50 242.42386),(51 240.5841),(52 237.8193),(53 237.81593),(54 237.68633),(55 237.36833),(56 235.11995),(57 234.56065),(58 239.22731),(59 238.91986),(60 237.1195),(61 238.44823),(62 236.5419),(63 235.33615),(64 238.22261),(65 236.64569),(66 237.13974),(67 236.0825),(68 237.414),(69 239.29973),(70 239.97633),(71 243.80748),(72 245.31432),(73 246.03877),(74 245.82205),(75 246.89357),(76 248.20534),(77 247.55731),(78 250.13243),(79 249.21089),
(1 141.38524),(2 173.3001),(3 191.70807),(4 199.91258),(5 206.8164),(6 213.30733),(7 215.41411),(8 214.99417),(9 217.12027),(10 222.96863),(11 223.50624),(12 223.6398),(13 226.10387),(14 228.57652),(15 225.33688),(16 227.17514),(17 227.50346),(18 223.5178),(19 225.23254),(20 224.59128),(21 224.99689),(22 227.43352),(23 225.97334),(24 225.1103),(25 226.30206),(26 226.39969),(27 228.1538),(28 226.49788),(29 226.32799),(30 226.04695),(31 227.80771),(32 226.56458),(33 228.63116),(34 230.41806),(35 231.7867),(36 229.00296),(37 229.18295),(38 231.22603),(39 227.3817),(40 229.12508),(41 230.25418),(42 228.74754),(43 227.87846),(44 227.00552),(45 227.2248),(46 226.6783),(47 226.46259),(48 227.05568),(49 227.32977),(50 229.59323),(51 231.4243),(52 232.39397),(53 231.40169),(54 237.12415),(55 234.68385),(56 230.1947),(57 231.27162),(58 230.14708),(59 232.55412),(60 229.8013),(61 228.562),(62 230.23418),(63 226.9773),(64 230.31134),(65 230.56276),(66 231.66441),(67 231.90973),(68 231.01012),(69 230.08345),(70 232.52643),(71 238.69785),(72 237.06279),(73 236.12411),(74 235.4043),(75 238.52742),(76 241.7999),(77 244.26634),(78 244.62877),(79 243.45998),
(1 143.21783),(2 173.78865),(3 194.19023),(4 202.48553),(5 209.2047),(6 211.70508),(7 210.61632),(8 213.01012),(9 217.2743),(10 222.06189),(11 221.85191),(12 226.1489),(13 224.88042),(14 227.23662),(15 227.74406),(16 225.24652),(17 225.74638),(18 228.80894),(19 228.81728),(20 228.39743),(21 226.57526),(22 226.20508),(23 224.04048),(24 225.97034),(25 228.10252),(26 227.39627),(27 227.7528),(28 227.65347),(29 227.7851),(30 225.6124),(31 226.841),(32 226.29686),(33 228.49005),(34 229.10997),(35 227.45343),(36 229.78137),(37 228.71455),(38 229.1553),(39 229.22766),(40 227.04648),(41 228.46881),(42 228.6952),(43 227.61087),(44 231.83467),(45 231.22682),(46 233.20776),(47 231.87663),(48 231.72682),(49 231.97221),(50 230.64429),(51 233.85243),(52 235.68683),(53 234.15446),(54 234.88037),(55 235.27515),(56 232.17294),(57 232.22719),(58 237.02692),(59 235.95465),(60 238.81772),(61 233.12419),(62 235.27977),(63 231.85667),(64 235.06862),(65 234.50415),(66 234.5947),(67 233.03139),(68 234.47075),(69 236.74164),(70 240.40005),(71 239.48036),(72 240.75015),(73 240.87651),(74 239.03522),(75 241.02396),(76 243.53171),(77 242.22014),(78 243.50914),(79 242.89381),
